Orthogroup	NEMVE	MOUSE
OG0000393	NEMVE10034	MOUSE37529, MOUSE37530, MOUSE37528, MOUSE41790
OG0000393	NEMVE23058	MOUSE12782
OG0000393	NEMVE10184	MOUSE06185
OG0000395	NEMVE11003, NEMVE10074	MOUSE16481, MOUSE51097, MOUSE51095
OG0000397	NEMVE01578	MOUSE40376, MOUSE40377, MOUSE40374, MOUSE40371, MOUSE40373, MOUSE40372
OG0000399	NEMVE08302	MOUSE07411, MOUSE07410, MOUSE07412, MOUSE07413, MOUSE07409
OG0000399	NEMVE13243	MOUSE30468, MOUSE06544
OG0000399	NEMVE13654	MOUSE30469, MOUSE51796, MOUSE48644
OG0000400	NEMVE03765	MOUSE32133, MOUSE32134
OG0000401	NEMVE22826	MOUSE05326, MOUSE05325, MOUSE25077, MOUSE25075, MOUSE25076, MOUSE05327
OG0000402	NEMVE01259	MOUSE39022
OG0000402	NEMVE08796, NEMVE12680	MOUSE48026, MOUSE20939
OG0000402	NEMVE24242, NEMVE07426, NEMVE15505, NEMVE15504, NEMVE13271, NEMVE07421	MOUSE29094, MOUSE12311
OG0000403	NEMVE25175	MOUSE50086, MOUSE50085, MOUSE50089, MOUSE50088, MOUSE50087, MOUSE50083
OG0000403	NEMVE25868	MOUSE29140, MOUSE53960
OG0000404	NEMVE07548	MOUSE33081, MOUSE33455
OG0000404	NEMVE11475	MOUSE20760
OG0000404	NEMVE01923	MOUSE20759
OG0000405	NEMVE13877	MOUSE30202, MOUSE30201, MOUSE30203, MOUSE30204, MOUSE44618, MOUSE44617, MOUSE44620, MOUSE44616, MOUSE44621, MOUSE10163, MOUSE10157, MOUSE10159, MOUSE10167, MOUSE10169, MOUSE10166, MOUSE10165, MOUSE10144, MOUSE10148, MOUSE10161, MOUSE10149, MOUSE10145, MOUSE10152, MOUSE10153, MOUSE10155, MOUSE10156, MOUSE10168, MOUSE10162, MOUSE10164, MOUSE10151, MOUSE10158, MOUSE10150, MOUSE10160
OG0000410	NEMVE16822, NEMVE22138	MOUSE43091, MOUSE43092, MOUSE19406, MOUSE36951
OG0000411	NEMVE17743, NEMVE08444	MOUSE34395, MOUSE34396, MOUSE52176, MOUSE52182, MOUSE52175, MOUSE52179, MOUSE52178, MOUSE52177, MOUSE52183, MOUSE34399, MOUSE52181
OG0000411	NEMVE15903	MOUSE20866, MOUSE20865, MOUSE20867, MOUSE20864
OG0000412	NEMVE11551, NEMVE13684	MOUSE33377, MOUSE33375
OG0000412	NEMVE12461, NEMVE13451, NEMVE16451, NEMVE06524, NEMVE00046	MOUSE25647, MOUSE11433, MOUSE11432, MOUSE25648, MOUSE25646
OG0000413	NEMVE05971	MOUSE27417, MOUSE28007, MOUSE43292
OG0000413	NEMVE18974	MOUSE15629, MOUSE45112, MOUSE55054, MOUSE55052, MOUSE55053, MOUSE55057, MOUSE55056, MOUSE45114, MOUSE45113
OG0000415	NEMVE02035, NEMVE12523, NEMVE06692	MOUSE53394, MOUSE53393, MOUSE53392, MOUSE12435, MOUSE09158, MOUSE28551, MOUSE28550, MOUSE27839, MOUSE27838
OG0000420	NEMVE15235, NEMVE22999	MOUSE29772, MOUSE29773, MOUSE29774, MOUSE29775, MOUSE09584, MOUSE09585
OG0000422	NEMVE02846	MOUSE33839, MOUSE33840, MOUSE06628, MOUSE06631, MOUSE06630, MOUSE06629
OG0000424	NEMVE13993, NEMVE20112, NEMVE07389, NEMVE14806, NEMVE19359, NEMVE13676	MOUSE20885, MOUSE20880, MOUSE20881, MOUSE20883, MOUSE20884, MOUSE20882, MOUSE20886, MOUSE20893, MOUSE20892, MOUSE20890, MOUSE20889, MOUSE20888, MOUSE20895, MOUSE20903
OG0000425	NEMVE09242	MOUSE42633, MOUSE42630, MOUSE42631, MOUSE42632, MOUSE42634, MOUSE02954, MOUSE02952, MOUSE02951, MOUSE02956, MOUSE02955, MOUSE02953, MOUSE27386, MOUSE27388, MOUSE27385, MOUSE27387, MOUSE27384, MOUSE27383
OG0000425	NEMVE01586	MOUSE17393, MOUSE50668
OG0000426	NEMVE05016	MOUSE03252, MOUSE03251
OG0000426	NEMVE22427	MOUSE03838
OG0000426	NEMVE09058	MOUSE42322, MOUSE03837, MOUSE14180, MOUSE42323, MOUSE05136, MOUSE42324, MOUSE42321, MOUSE03830, MOUSE03832, MOUSE03833, MOUSE03834, MOUSE03835, MOUSE03836, MOUSE03831
OG0000427	NEMVE19474	MOUSE45881, MOUSE45880, MOUSE45878, MOUSE45877, MOUSE45879
OG0000427	NEMVE10410, NEMVE10716	MOUSE34466, MOUSE34463, MOUSE34462, MOUSE34461, MOUSE34464, MOUSE15450, MOUSE15454, MOUSE15446, MOUSE15449, MOUSE15457, MOUSE15447, MOUSE15451, MOUSE15452, MOUSE15448
OG0000429	NEMVE13930, NEMVE22433	MOUSE10868, MOUSE10869
OG0000430	NEMVE17451, NEMVE09634	MOUSE44209, MOUSE10057, MOUSE44211, MOUSE53642, MOUSE53643, MOUSE53644, MOUSE53641, MOUSE53640, MOUSE19493, MOUSE20457
OG0000432	NEMVE00377, NEMVE08466	MOUSE41192, MOUSE41193, MOUSE11245, MOUSE11244, MOUSE11241
OG0000433	NEMVE05274	MOUSE06145, MOUSE06147, MOUSE03778, MOUSE03779
OG0000433	NEMVE25882, NEMVE19705	MOUSE15809, MOUSE00110, MOUSE00111, MOUSE00113, MOUSE00112, MOUSE15808, MOUSE15805, MOUSE15807, MOUSE15806, MOUSE15804
OG0000434	NEMVE23107, NEMVE01233, NEMVE09499, NEMVE05105	MOUSE09325, MOUSE09326, MOUSE09323, MOUSE09324, MOUSE09322, MOUSE09321
OG0000435	NEMVE18620	MOUSE11750, MOUSE11753, MOUSE11749, MOUSE11751, MOUSE11752
OG0000435	NEMVE24017	MOUSE28494, MOUSE18591, MOUSE18593, MOUSE18592, MOUSE18590, MOUSE18589, MOUSE18588, MOUSE18587, MOUSE18586, MOUSE33988, MOUSE33989, MOUSE47650, MOUSE47651, MOUSE47649, MOUSE28492, MOUSE28490, MOUSE28491, MOUSE28500, MOUSE28495, MOUSE28498, MOUSE28499
OG0000436	NEMVE06326	MOUSE23265, MOUSE23253, MOUSE23262, MOUSE23258, MOUSE23256, MOUSE23257, MOUSE23252, MOUSE23260, MOUSE23259, MOUSE23261, MOUSE23267, MOUSE23264, MOUSE23255, MOUSE23251, MOUSE23250, MOUSE53124, MOUSE53120, MOUSE53121, MOUSE53123, MOUSE23263, MOUSE53119, MOUSE53118, MOUSE53122
OG0000442	NEMVE15081, NEMVE00053	MOUSE29994, MOUSE29993, MOUSE29995, MOUSE12602
OG0000442	NEMVE13826	MOUSE15751, MOUSE34094, MOUSE34093, MOUSE34095, MOUSE15757
OG0000442	NEMVE15124	MOUSE38695, MOUSE05918, MOUSE18817, MOUSE05916
OG0000443	NEMVE03493	MOUSE32686, MOUSE32684, MOUSE23283, MOUSE23282, MOUSE23280, MOUSE23281
OG0000443	NEMVE10812	MOUSE19147
OG0000444	NEMVE14919	MOUSE41959, MOUSE41957, MOUSE41958, MOUSE23532, MOUSE23533
OG0000444	NEMVE13025, NEMVE11937, NEMVE06859	MOUSE19976, MOUSE19978, MOUSE19975, MOUSE14459, MOUSE14458, MOUSE14457
OG0000446	NEMVE22464	MOUSE12677
OG0000446	NEMVE13778, NEMVE12791	MOUSE27113, MOUSE27119, MOUSE27118, MOUSE27115, MOUSE27114
OG0000447	NEMVE16106	MOUSE48709, MOUSE48707, MOUSE48708, MOUSE54566, MOUSE50106, MOUSE50107, MOUSE54565, MOUSE54564, MOUSE50105, MOUSE19382, MOUSE19381, MOUSE19380, MOUSE19378
OG0000449	NEMVE20689	MOUSE15853
OG0000450	NEMVE22423	MOUSE16109, MOUSE00139, MOUSE46535, MOUSE20568, MOUSE20569, MOUSE20565, MOUSE20567, MOUSE37990, MOUSE37989, MOUSE46533, MOUSE38152, MOUSE38153, MOUSE38154, MOUSE46534
OG0000452	NEMVE13251, NEMVE21957	MOUSE32609, MOUSE32608, MOUSE32612, MOUSE32611, MOUSE32610, MOUSE32614, MOUSE07592, MOUSE07584, MOUSE07581, MOUSE07582, MOUSE07588, MOUSE07586, MOUSE07587, MOUSE07590, MOUSE07591, MOUSE07585, MOUSE07589, MOUSE07593, MOUSE32613, MOUSE07583
OG0000454	NEMVE05253	MOUSE30460
OG0000458	NEMVE08200, NEMVE08773	MOUSE47677, MOUSE47674, MOUSE47675
OG0000458	NEMVE19181, NEMVE20462	MOUSE34210, MOUSE21610
OG0000459	NEMVE22834	MOUSE16376, MOUSE16375, MOUSE16374
OG0000461	NEMVE16015, NEMVE02669	MOUSE05548, MOUSE05549, MOUSE05551, MOUSE05550
OG0000461	NEMVE01791	MOUSE38172, MOUSE38173
OG0000461	NEMVE24592	MOUSE38168, MOUSE38169, MOUSE38170, MOUSE38167, MOUSE38171, MOUSE38166, MOUSE37814, MOUSE37812, MOUSE37813
OG0000463	NEMVE04814	MOUSE39352, MOUSE39351, MOUSE26967, MOUSE26966, MOUSE26965, MOUSE26968
OG0000463	NEMVE21255, NEMVE25382, NEMVE25677	MOUSE09650, MOUSE09646, MOUSE09649, MOUSE09648, MOUSE09653, MOUSE09651, MOUSE44686, MOUSE44687, MOUSE44688
OG0000465	NEMVE13428	MOUSE18958, MOUSE18959, MOUSE18960
OG0000467	NEMVE14048	MOUSE55119, MOUSE55118, MOUSE52896, MOUSE52893, MOUSE52894, MOUSE23397, MOUSE23398, MOUSE23396, MOUSE23399, MOUSE23395, MOUSE23394, MOUSE24991, MOUSE24990, MOUSE24992, MOUSE24995, MOUSE24993, MOUSE24987, MOUSE24986, MOUSE24989, MOUSE24996, MOUSE24994, MOUSE24988, MOUSE55117, MOUSE23401
OG0000468	NEMVE13616	MOUSE07604, MOUSE07603, MOUSE07605, MOUSE07602
OG0000469	NEMVE09305	MOUSE40958, MOUSE52727, MOUSE52724, MOUSE24846, MOUSE24848, MOUSE24847, MOUSE40957, MOUSE24924, MOUSE24923, MOUSE54260, MOUSE54259
OG0000469	NEMVE11884, NEMVE14640	MOUSE19141
OG0000470	NEMVE21967	MOUSE07539, MOUSE07538, MOUSE07537, MOUSE07532, MOUSE07534, MOUSE07530, MOUSE07541, MOUSE07540, MOUSE07533, MOUSE07542, MOUSE07531, MOUSE07529, MOUSE24458, MOUSE24459, MOUSE24460
OG0000471	NEMVE05341, NEMVE24949	MOUSE11514, MOUSE11515, MOUSE09544, MOUSE09545, MOUSE31704, MOUSE31706, MOUSE31707, MOUSE31703, MOUSE31705, MOUSE09543, MOUSE09542, MOUSE09546
OG0000472	NEMVE20356, NEMVE23755, NEMVE16025, NEMVE01070, NEMVE13924	MOUSE49661, MOUSE49662, MOUSE31980, MOUSE51216
OG0000473	NEMVE06759, NEMVE16803, NEMVE13559, NEMVE05998, NEMVE06741	MOUSE05546, MOUSE50309
OG0000474	NEMVE14315, NEMVE13253, NEMVE13254	MOUSE22407, MOUSE02524, MOUSE02522, MOUSE02526, MOUSE02525, MOUSE02523, MOUSE02529, MOUSE05803, MOUSE05802, MOUSE53048, MOUSE53047, MOUSE53046, MOUSE22409, MOUSE22410, MOUSE22411, MOUSE22408
OG0000475	NEMVE24885	MOUSE02377
OG0000475	NEMVE01730	MOUSE15715, MOUSE15717, MOUSE15719, MOUSE15720, MOUSE02375, MOUSE02376, MOUSE02374, MOUSE02373
OG0000476	NEMVE26012, NEMVE14062	MOUSE32804, MOUSE32803
OG0000476	NEMVE18829	MOUSE32798, MOUSE32797
OG0000477	NEMVE06227, NEMVE19028, NEMVE02504	MOUSE33283, MOUSE01316, MOUSE01315, MOUSE01314, MOUSE10580, MOUSE10579
OG0000478	NEMVE07361, NEMVE10350	MOUSE39046, MOUSE39045, MOUSE40915, MOUSE39053, MOUSE39051, MOUSE39052, MOUSE39049, MOUSE39048
OG0000479	NEMVE08501	MOUSE34250, MOUSE16521, MOUSE53992
OG0000479	NEMVE01571	MOUSE26651, MOUSE15313
OG0000480	NEMVE15945, NEMVE13632, NEMVE03415	MOUSE15596, MOUSE15597, MOUSE15577, MOUSE15578, MOUSE15576, MOUSE15585, MOUSE15580, MOUSE15582, MOUSE15581, MOUSE34567, MOUSE34569, MOUSE34568
OG0000481	NEMVE14291	MOUSE46325, MOUSE46326, MOUSE46327
OG0000481	NEMVE08558	MOUSE26095
OG0000481	NEMVE15147	MOUSE03456, MOUSE47997
OG0000482	NEMVE00020	MOUSE20316, MOUSE27998, MOUSE27999, MOUSE27419, MOUSE27420
OG0000482	NEMVE16583	MOUSE28001, MOUSE28002, MOUSE28003, MOUSE28004
OG0000484	NEMVE01977	MOUSE50341, MOUSE50342, MOUSE50340, MOUSE33234, MOUSE33236, MOUSE33235, MOUSE33237, MOUSE33227, MOUSE33232, MOUSE33230, MOUSE10537, MOUSE10539, MOUSE10538, MOUSE10533, MOUSE10534, MOUSE10535, MOUSE10532, MOUSE10529, MOUSE10531, MOUSE10530, MOUSE48510, MOUSE48511, MOUSE48512, MOUSE48513, MOUSE10540
OG0000485	NEMVE22788, NEMVE13734, NEMVE13331	MOUSE22584, MOUSE22583, MOUSE22581, MOUSE53133, MOUSE53132
OG0000485	NEMVE07747, NEMVE13855, NEMVE20860, NEMVE14808	MOUSE50507, MOUSE50508, MOUSE50506, MOUSE50503, MOUSE50502, MOUSE50504, MOUSE50505, MOUSE50509
OG0000487	NEMVE15284, NEMVE17178, NEMVE15364, NEMVE18053, NEMVE16703, NEMVE16612	MOUSE07740, MOUSE07738, MOUSE07739
OG0000488	NEMVE15686, NEMVE21984, NEMVE10971, NEMVE05317, NEMVE01783	MOUSE28605
OG0000488	NEMVE08013	MOUSE28606
OG0000489	NEMVE06997	MOUSE13477, MOUSE13481, MOUSE13480, MOUSE13479, MOUSE13478, MOUSE21691, MOUSE21690, MOUSE21696, MOUSE21695, MOUSE21688, MOUSE21689, MOUSE21692, MOUSE28647, MOUSE21694, MOUSE21693, MOUSE13482, MOUSE33816
OG0000490	NEMVE01389	MOUSE17574, MOUSE17571, MOUSE17572, MOUSE17569, MOUSE25487, MOUSE25489, MOUSE25488
OG0000491	NEMVE02605	MOUSE33998, MOUSE54193, MOUSE54192, MOUSE38834, MOUSE38833, MOUSE38832, MOUSE38835, MOUSE38836, MOUSE48261, MOUSE48260
OG0000494	NEMVE07299, NEMVE07527	MOUSE04386, MOUSE04387, MOUSE04385, MOUSE26674, MOUSE26676, MOUSE26675, MOUSE37244, MOUSE37245, MOUSE37243, MOUSE37241, MOUSE37242, MOUSE04377, MOUSE04378, MOUSE37754, MOUSE37753, MOUSE37752, MOUSE37750
OG0000495	NEMVE08235, NEMVE12792, NEMVE20582, NEMVE17007, NEMVE13773, NEMVE00109	MOUSE16569, MOUSE16650
OG0000496	NEMVE01918	MOUSE09984, MOUSE09983, MOUSE09982, MOUSE49029, MOUSE49030, MOUSE09985, MOUSE49032, MOUSE49031, MOUSE09986, MOUSE18918, MOUSE09988, MOUSE49033, MOUSE49034
OG0000497	NEMVE08101	MOUSE37564, MOUSE04901, MOUSE04902, MOUSE04903
OG0000497	NEMVE01201	MOUSE25391, MOUSE25392, MOUSE23884, MOUSE23883
OG0000498	NEMVE24427	MOUSE49431, MOUSE49430, MOUSE49429, MOUSE12456, MOUSE12455, MOUSE12454, MOUSE12453, MOUSE19882, MOUSE19881, MOUSE19879, MOUSE19880, MOUSE28863, MOUSE28862, MOUSE28861, MOUSE28860, MOUSE28859, MOUSE49487, MOUSE49483, MOUSE49482, MOUSE49484, MOUSE49485, MOUSE49486, MOUSE49488, MOUSE12452
OG0000503	NEMVE05391, NEMVE14143	MOUSE44106, MOUSE44108, MOUSE44107, MOUSE44111, MOUSE44109, MOUSE44110, MOUSE27250, MOUSE39196, MOUSE39199, MOUSE39195, MOUSE39197, MOUSE39198, MOUSE39194, MOUSE39200, MOUSE39201
OG0000503	NEMVE14616, NEMVE21447, NEMVE04604	MOUSE51373
OG0000504	NEMVE09966	MOUSE30319, MOUSE10633, MOUSE01347, MOUSE51548
OG0000505	NEMVE01165	MOUSE01611, MOUSE20688, MOUSE20689, MOUSE20690, MOUSE20687, MOUSE51848, MOUSE51847, MOUSE51846, MOUSE30718, MOUSE30720, MOUSE30717, MOUSE30719
OG0000505	NEMVE08537	MOUSE30721
OG0000506	NEMVE02126	MOUSE15615, MOUSE04165
OG0000508	NEMVE05943	MOUSE04787, MOUSE04786, MOUSE02862
OG0000508	NEMVE14310	MOUSE02442, MOUSE22065, MOUSE22066, MOUSE22067, MOUSE22064, MOUSE22068
OG0000508	NEMVE00947	MOUSE37391, MOUSE37393, MOUSE37392, MOUSE04524, MOUSE04525, MOUSE04526
OG0000510	NEMVE20557, NEMVE22375	MOUSE05540, MOUSE05542, MOUSE05544, MOUSE05541, MOUSE39401, MOUSE37932, MOUSE19983, MOUSE19980
OG0000513	NEMVE10614	MOUSE21354, MOUSE21357, MOUSE21365, MOUSE21367, MOUSE21366, MOUSE21360, MOUSE21356, MOUSE21355, MOUSE21358, MOUSE21364, MOUSE21359, MOUSE21362, MOUSE21361, MOUSE21363, MOUSE21369, MOUSE21370, MOUSE21368, MOUSE40310, MOUSE40309, MOUSE40308, MOUSE31553, MOUSE31554, MOUSE31552, MOUSE31555, MOUSE03463
OG0000514	NEMVE02331	MOUSE13991, MOUSE13994, MOUSE13990, MOUSE13989, MOUSE13986, MOUSE13995, MOUSE13996, MOUSE13987, MOUSE13992, MOUSE13997, MOUSE13988, MOUSE15035, MOUSE15034, MOUSE06334, MOUSE06331, MOUSE06336, MOUSE06332, MOUSE06330, MOUSE06333, MOUSE06335
OG0000515	NEMVE15353, NEMVE06339, NEMVE00211	MOUSE20985
OG0000519	NEMVE08236, NEMVE08233	MOUSE02734, MOUSE02732, MOUSE02731
OG0000520	NEMVE02355	MOUSE37796, MOUSE37797, MOUSE46520, MOUSE46521, MOUSE46522, MOUSE46523, MOUSE46519
OG0000521	NEMVE23333	MOUSE42629, MOUSE42628, MOUSE07495, MOUSE07494, MOUSE07496, MOUSE18729, MOUSE18728, MOUSE18730
OG0000522	NEMVE17699	MOUSE36139, MOUSE36138, MOUSE36141, MOUSE36142, MOUSE36146, MOUSE36140, MOUSE36143, MOUSE36147, MOUSE36145, MOUSE36144
OG0000523	NEMVE14414	MOUSE37655, MOUSE37652, MOUSE32535
OG0000523	NEMVE12314, NEMVE14490, NEMVE25107	MOUSE20709, MOUSE20708, MOUSE51883, MOUSE44593
OG0000524	NEMVE05824, NEMVE20629	MOUSE11129, MOUSE11143, MOUSE11124, MOUSE11115, MOUSE11123, MOUSE11120, MOUSE11117, MOUSE11116, MOUSE11122, MOUSE11121, MOUSE11126, MOUSE11137, MOUSE11135, MOUSE11114, MOUSE11125, MOUSE11136, MOUSE11141, MOUSE11140, MOUSE11139, MOUSE11130, MOUSE11133, MOUSE11119, MOUSE11112, MOUSE11113, MOUSE11128, MOUSE11138, MOUSE11131, MOUSE11132, MOUSE11134, MOUSE11118, MOUSE47896
OG0000525	NEMVE09218	MOUSE23827, MOUSE23825, MOUSE25729, MOUSE25730
OG0000525	NEMVE08240, NEMVE00576	MOUSE23826
OG0000525	NEMVE09107	MOUSE44263, MOUSE16909, MOUSE03969, MOUSE03968
OG0000526	NEMVE02137	MOUSE27970, MOUSE40599, MOUSE27968, MOUSE40598, MOUSE27969, MOUSE27967
OG0000527	NEMVE23398, NEMVE20683	MOUSE23663, MOUSE23664, MOUSE23665, MOUSE23666, MOUSE47392, MOUSE47388, MOUSE47386, MOUSE47389, MOUSE47391, MOUSE47385, MOUSE47384, MOUSE47387, MOUSE47390
OG0000527	NEMVE15963	MOUSE25378, MOUSE25385, MOUSE25383, MOUSE25381, MOUSE25382, MOUSE25380, MOUSE25379, MOUSE25377, MOUSE25376
OG0000528	NEMVE00929	MOUSE08078, MOUSE08077, MOUSE08080, MOUSE08079, MOUSE42764, MOUSE42765, MOUSE42767, MOUSE42766, MOUSE20445, MOUSE20444, MOUSE20446, MOUSE18735, MOUSE18737, MOUSE18736
OG0000529	NEMVE16403	MOUSE24044, MOUSE24042, MOUSE24043
OG0000529	NEMVE03332	MOUSE41488, MOUSE41489, MOUSE41487, MOUSE41486, MOUSE04006, MOUSE04007, MOUSE34925
OG0000530	NEMVE06599	MOUSE01368, MOUSE01373, MOUSE01369, MOUSE01370, MOUSE32745, MOUSE01376, MOUSE32738, MOUSE32739, MOUSE32737, MOUSE32741, MOUSE32742, MOUSE32740, MOUSE31361, MOUSE31363, MOUSE31366, MOUSE31362
OG0000531	NEMVE01413	MOUSE05197, MOUSE05196
OG0000531	NEMVE12231, NEMVE01249	MOUSE25152, MOUSE25153, MOUSE25162, MOUSE25156, MOUSE25155, MOUSE25157, MOUSE25159, MOUSE25158, MOUSE25160, MOUSE25161, MOUSE25154, MOUSE22281, MOUSE22280, MOUSE22285, MOUSE22286, MOUSE22288, MOUSE22287, MOUSE22282, MOUSE22279, MOUSE22284, MOUSE22283
OG0000532	NEMVE20756, NEMVE25016	MOUSE35783, MOUSE35784
OG0000535	NEMVE02217, NEMVE22814, NEMVE02030	MOUSE25279, MOUSE09525, MOUSE09526, MOUSE36224, MOUSE36223
OG0000537	NEMVE10025, NEMVE12209, NEMVE20117, NEMVE01223	MOUSE55030, MOUSE47509, MOUSE22723
OG0000537	NEMVE10023	MOUSE22725, MOUSE22726, MOUSE47506, MOUSE22724, MOUSE55032, MOUSE55031, MOUSE47504
OG0000538	NEMVE04777	MOUSE26109, MOUSE26108, MOUSE26107, MOUSE02402, MOUSE02401, MOUSE18904, MOUSE18906, MOUSE18901, MOUSE18905, MOUSE18907, MOUSE18908, MOUSE18902, MOUSE18903
OG0000539	NEMVE13521, NEMVE17604	MOUSE05354, MOUSE39879, MOUSE51182, MOUSE51181
OG0000542	NEMVE06432	MOUSE30131, MOUSE30132, MOUSE30133, MOUSE30129, MOUSE30134, MOUSE30130, MOUSE29812, MOUSE29810, MOUSE29811, MOUSE55060, MOUSE55059, MOUSE55061, MOUSE29813, MOUSE29814
OG0000542	NEMVE07119	MOUSE53102
OG0000542	NEMVE06451	MOUSE29818, MOUSE29815, MOUSE29820, MOUSE29817, MOUSE29816, MOUSE29819
OG0000544	NEMVE07821	MOUSE29764
OG0000544	NEMVE17337	MOUSE36878, MOUSE32959, MOUSE32958, MOUSE32957, MOUSE32960
OG0000545	NEMVE22844	MOUSE27509, MOUSE43194
OG0000545	NEMVE13567	MOUSE03097, MOUSE03098, MOUSE03096, MOUSE20075, MOUSE07401, MOUSE07400, MOUSE43196, MOUSE43195, MOUSE43197
OG0000545	NEMVE22845	MOUSE27510
OG0000547	NEMVE07087	MOUSE40914
OG0000548	NEMVE04844	MOUSE17190, MOUSE48022, MOUSE27774, MOUSE21325
OG0000548	NEMVE06148	MOUSE02054, MOUSE02055, MOUSE52547, MOUSE52548, MOUSE54258
OG0000550	NEMVE06631	MOUSE26528, MOUSE26529, MOUSE26530, MOUSE26531
OG0000551	NEMVE08380, NEMVE08363	MOUSE11257
OG0000552	NEMVE21688	MOUSE10141
OG0000552	NEMVE07685	MOUSE54213
OG0000552	NEMVE13052, NEMVE19772, NEMVE22528	MOUSE29634, MOUSE29636
OG0000553	NEMVE17027	MOUSE23561, MOUSE53922, MOUSE53921, MOUSE02032, MOUSE02031
OG0000553	NEMVE01847	MOUSE16157, MOUSE18362, MOUSE16156, MOUSE51274, MOUSE51273
OG0000553	NEMVE02314	MOUSE14233, MOUSE05108
OG0000554	NEMVE13310	MOUSE13488
OG0000560	NEMVE05955, NEMVE05072, NEMVE03063, NEMVE10552	MOUSE00939, MOUSE00938, MOUSE00940
OG0000561	NEMVE13983	MOUSE08091
OG0000561	NEMVE07923	MOUSE08092, MOUSE08093, MOUSE20194, MOUSE20195, MOUSE20193, MOUSE20192, MOUSE20191, MOUSE09576
OG0000562	NEMVE24693	MOUSE48585, MOUSE48586
OG0000562	NEMVE00965, NEMVE00354, NEMVE11153	MOUSE53359, MOUSE53357, MOUSE53360, MOUSE53355, MOUSE53354, MOUSE53358
OG0000563	NEMVE22560	MOUSE05023
OG0000564	NEMVE09523	MOUSE16694, MOUSE27468
OG0000564	NEMVE18240	MOUSE43261
OG0000565	NEMVE07590, NEMVE08439	MOUSE38941, MOUSE38943, MOUSE38942, MOUSE38947, MOUSE38945, MOUSE38946
OG0000566	NEMVE21317	MOUSE19799
OG0000566	NEMVE25701, NEMVE12453	MOUSE04915
OG0000567	NEMVE14988	MOUSE11935, MOUSE30473
OG0000570	NEMVE22864	MOUSE01815, MOUSE53762, MOUSE01814, MOUSE06313, MOUSE06314, MOUSE41047, MOUSE41048
OG0000572	NEMVE11725, NEMVE07899	MOUSE18741, MOUSE18742, MOUSE18747, MOUSE18745, MOUSE18743, MOUSE08285, MOUSE08283, MOUSE08284, MOUSE08282, MOUSE08281, MOUSE20447, MOUSE18746
OG0000572	NEMVE06248	MOUSE34897, MOUSE34899, MOUSE34900, MOUSE41405, MOUSE41406, MOUSE34901, MOUSE34898
OG0000573	NEMVE07663	MOUSE38345, MOUSE38346, MOUSE35087, MOUSE35088, MOUSE38344, MOUSE38343, MOUSE38342, MOUSE38341, MOUSE29526, MOUSE35086
OG0000573	NEMVE24870	MOUSE51991, MOUSE51992
OG0000574	NEMVE05113, NEMVE00288	MOUSE03923, MOUSE03922
OG0000574	NEMVE21832	MOUSE47456, MOUSE47457, MOUSE47458, MOUSE47452, MOUSE47455, MOUSE47454, MOUSE47460, MOUSE47453
OG0000575	NEMVE02996, NEMVE04558	MOUSE15329, MOUSE15327, MOUSE15326, MOUSE26633, MOUSE26640, MOUSE26630, MOUSE26631, MOUSE26628, MOUSE26625, MOUSE26635, MOUSE26629, MOUSE26626, MOUSE26638, MOUSE26639, MOUSE26636, MOUSE26642, MOUSE26641, MOUSE26624, MOUSE26634, MOUSE26637, MOUSE26627, MOUSE26632, MOUSE13339, MOUSE13341, MOUSE26235, MOUSE26230, MOUSE26233, MOUSE26232, MOUSE26229, MOUSE15328
OG0000576	NEMVE22593	MOUSE01166, MOUSE14852, MOUSE14850, MOUSE14851, MOUSE40559, MOUSE01164, MOUSE01163, MOUSE01165, MOUSE52581, MOUSE52578, MOUSE52574, MOUSE52580, MOUSE52576, MOUSE52579, MOUSE52577, MOUSE52575, MOUSE52582, MOUSE52584, MOUSE52587, MOUSE52586, MOUSE52585, MOUSE52583
OG0000578	NEMVE11292	MOUSE20360, MOUSE20359, MOUSE20362, MOUSE20361, MOUSE03091, MOUSE03087, MOUSE03090, MOUSE03088, MOUSE03089, MOUSE07290, MOUSE07291, MOUSE07292
OG0000579	NEMVE14544, NEMVE13622, NEMVE13623	MOUSE02041, MOUSE23552, MOUSE23553, MOUSE23554, MOUSE23550, MOUSE02042, MOUSE41019, MOUSE41020, MOUSE41018, MOUSE41021, MOUSE54255, MOUSE54257, MOUSE54256
OG0000580	NEMVE07001	MOUSE47258, MOUSE47257, MOUSE21684, MOUSE21685, MOUSE21687, MOUSE21683, MOUSE33811
OG0000581	NEMVE10447	MOUSE18768, MOUSE18769
OG0000581	NEMVE09955	MOUSE18770, MOUSE07320
OG0000581	NEMVE11190, NEMVE03274	MOUSE07322
OG0000582	NEMVE25170	MOUSE17430, MOUSE17431, MOUSE17428, MOUSE17429, MOUSE23946, MOUSE23947, MOUSE25981, MOUSE25982, MOUSE25983, MOUSE25975, MOUSE25979, MOUSE25984, MOUSE25974, MOUSE25976, MOUSE25978, MOUSE17216, MOUSE17215, MOUSE17213, MOUSE17212, MOUSE17214, MOUSE17211, MOUSE17210, MOUSE23948
