Orthogroup	NEMVE	DROME
OG0001039	NEMVE05718, NEMVE05729	DROME19717, DROME19715, DROME19716, DROME12713
OG0001042	NEMVE20161, NEMVE25296	DROME12465, DROME12464, DROME12463, DROME12462
OG0001049	NEMVE24151	DROME15991
OG0001050	NEMVE11321	DROME09499, DROME09500
OG0001052	NEMVE24748	DROME00663, DROME00661, DROME00662
OG0001052	NEMVE21906	DROME00167
OG0001053	NEMVE01408	DROME11830
OG0001056	NEMVE07347	DROME10790
OG0001059	NEMVE05294	DROME05567, DROME05571, DROME05569, DROME05566, DROME05568, DROME05572, DROME05570
OG0001060	NEMVE02960, NEMVE14652, NEMVE13876	DROME06478, DROME01930
OG0001062	NEMVE01533	DROME12175, DROME12172
OG0001063	NEMVE08862	DROME16034, DROME16033, DROME14111
OG0001064	NEMVE19071, NEMVE22336, NEMVE14457, NEMVE15119, NEMVE08642, NEMVE03711, NEMVE20842	DROME16728
OG0001064	NEMVE03288	DROME20769
OG0001066	NEMVE24583	DROME06399
OG0001072	NEMVE08244, NEMVE08252, NEMVE00953, NEMVE07521	DROME08170
OG0001073	NEMVE11637, NEMVE14006, NEMVE02704	DROME03543, DROME03544, DROME03542
OG0001075	NEMVE07705, NEMVE15967	DROME05007, DROME05008
OG0001076	NEMVE01471	DROME10433, DROME10436, DROME10429, DROME10434, DROME10430, DROME10435, DROME10431, DROME10432
OG0001077	NEMVE06665	DROME13463, DROME13462, DROME14374, DROME15216, DROME15217, DROME15215, DROME15218
OG0001078	NEMVE21841, NEMVE03024	DROME16039, DROME16040
OG0001079	NEMVE10902	DROME12134, DROME12135, DROME12136
OG0001080	NEMVE20880	DROME21548, DROME21547
OG0001081	NEMVE14063	DROME00421, DROME00420, DROME00419, DROME02998, DROME02997
OG0001082	NEMVE13496	DROME16087, DROME16088, DROME16090, DROME16089
OG0001083	NEMVE07865	DROME07895, DROME07890, DROME07893, DROME07892, DROME07896, DROME07887, DROME07888, DROME07889, DROME07891, DROME07885, DROME07886, DROME07894
OG0001084	NEMVE15577, NEMVE10374, NEMVE06345	DROME15262, DROME15263
OG0001085	NEMVE23730	DROME18407, DROME18408, DROME18409
OG0001086	NEMVE21870	DROME20573
OG0001086	NEMVE10921	DROME03964, DROME03962, DROME03963, DROME03961
OG0001089	NEMVE21830	DROME21284, DROME21282, DROME21280, DROME21281, DROME21283
OG0001091	NEMVE05727	DROME08376, DROME08378, DROME08377
OG0001092	NEMVE00964, NEMVE07353, NEMVE01451	DROME19209, DROME19207, DROME19204, DROME19205, DROME19206, DROME19208, DROME19203
OG0001093	NEMVE01792	DROME09012, DROME09005, DROME09009, DROME09004, DROME09007, DROME09010, DROME09011, DROME09006, DROME09008
OG0001096	NEMVE22598, NEMVE10292, NEMVE12692	DROME20588, DROME20589, DROME02389
OG0001097	NEMVE07237	DROME12546, DROME12547
OG0001101	NEMVE14957	DROME01099
OG0001102	NEMVE01649	DROME11539
OG0001102	NEMVE08655, NEMVE08649, NEMVE13238, NEMVE19915, NEMVE07408	DROME20883
OG0001103	NEMVE01302	DROME13242, DROME13241, DROME13243, DROME13244
OG0001104	NEMVE04017, NEMVE06719	DROME04004
OG0001104	NEMVE25846	DROME02777, DROME02778, DROME02350, DROME02351
OG0001105	NEMVE00247, NEMVE17686, NEMVE17688	DROME22092, DROME02326
OG0001107	NEMVE00952	DROME03977
OG0001108	NEMVE22820	DROME12857, DROME12858, DROME12856, DROME12855
OG0001108	NEMVE03343	DROME21101, DROME21100, DROME21098, DROME21099, DROME21102, DROME18011
OG0001109	NEMVE17631	DROME00590, DROME00591, DROME00592, DROME00589, DROME19273, DROME19275, DROME19274
OG0001111	NEMVE17909, NEMVE18987	DROME01145
OG0001112	NEMVE18988	DROME13039, DROME13038, DROME13037, DROME13036
OG0001113	NEMVE11789, NEMVE13858	DROME08567, DROME18531, DROME18532
OG0001113	NEMVE14477	DROME05388
OG0001113	NEMVE22434	DROME01680
OG0001114	NEMVE13059	DROME00496, DROME16340, DROME16339
OG0001118	NEMVE08045	DROME14402, DROME14401
OG0001119	NEMVE00905, NEMVE12022	DROME17259, DROME17271, DROME17273, DROME17270, DROME17257, DROME17260, DROME17272, DROME17265, DROME17267, DROME17258, DROME17266, DROME17262, DROME17261, DROME17268, DROME17263, DROME17264, DROME17269
OG0001121	NEMVE15144	DROME11643, DROME11644, DROME11645, DROME11642
OG0001123	NEMVE07317	DROME20601
OG0001124	NEMVE14042	DROME13810
OG0001126	NEMVE21706	DROME07144
OG0001127	NEMVE23507	DROME21295, DROME21293, DROME21294, DROME21292
OG0001128	NEMVE07541	DROME07099, DROME07102, DROME07101, DROME07098, DROME07100
OG0001129	NEMVE22537, NEMVE23490, NEMVE23489	DROME06610
OG0001130	NEMVE21964, NEMVE14047	DROME08159
OG0001131	NEMVE02265	DROME00544
OG0001133	NEMVE22361	DROME02832
OG0001135	NEMVE08713, NEMVE13852	DROME18153, DROME18152
OG0001136	NEMVE14986	DROME15241, DROME15244, DROME15239, DROME15245, DROME15243, DROME15240, DROME15238, DROME15242, DROME15236, DROME15237
OG0001137	NEMVE09543	DROME07212, DROME07220, DROME07223, DROME07218, DROME07213, DROME07221, DROME07215, DROME07214, DROME07216, DROME07226, DROME07219, DROME07222, DROME07224, DROME07227, DROME07229, DROME07217, DROME07228, DROME07225
OG0001138	NEMVE25571, NEMVE23415, NEMVE15977	DROME16831, DROME16832, DROME16830, DROME16829
OG0001139	NEMVE14993, NEMVE07868	DROME11285, DROME11284, DROME20784
OG0001140	NEMVE06552, NEMVE12189, NEMVE00314	DROME04492, DROME04491
OG0001141	NEMVE13888	DROME07353, DROME07352, DROME07355, DROME07354, DROME07356
OG0001142	NEMVE20807, NEMVE13380	DROME15460, DROME15458, DROME15459
OG0001143	NEMVE07319	DROME17973, DROME17969, DROME17968, DROME17972, DROME17970, DROME17971, DROME17975, DROME17976, DROME17974, DROME17978, DROME17977
OG0001144	NEMVE02135	DROME08380
OG0001148	NEMVE24407, NEMVE09889	DROME04431, DROME04432
OG0001156	NEMVE14927	DROME20509, DROME20508, DROME20507, DROME20506, DROME20511, DROME20510
OG0001158	NEMVE13124	DROME08138, DROME08137
OG0001159	NEMVE02254	DROME00704, DROME00657, DROME00658, DROME00654, DROME00655
OG0001161	NEMVE13207	DROME10169, DROME10171, DROME10167, DROME10168, DROME10170
OG0001162	NEMVE23909, NEMVE23908, NEMVE22577	DROME19105, DROME19103, DROME19101, DROME19104, DROME19102, DROME19106, DROME19107
OG0001163	NEMVE01640	DROME10630, DROME14555, DROME14557, DROME14693, DROME17901, DROME17899
OG0001164	NEMVE07314	DROME08761, DROME08760, DROME08762, DROME08763, DROME08759
OG0001165	NEMVE15007, NEMVE15056	DROME20938, DROME07288
OG0001167	NEMVE01035	DROME17311
OG0001168	NEMVE14002	DROME02336
OG0001170	NEMVE01927	DROME16781
OG0001172	NEMVE14607	DROME12074, DROME12075
OG0001172	NEMVE13977	DROME11227, DROME11226
OG0001174	NEMVE06466, NEMVE20623	DROME01257, DROME01258
OG0001175	NEMVE18808, NEMVE00944	DROME10674
OG0001177	NEMVE07007	DROME01933, DROME01934, DROME21906
OG0001178	NEMVE14023	DROME18168, DROME18169, DROME18170, DROME18167
OG0001184	NEMVE23775	DROME03279
OG0001184	NEMVE05038	DROME17805
OG0001185	NEMVE15207	DROME09235, DROME09236, DROME09242, DROME09234, DROME09239, DROME09241, DROME09240, DROME09237, DROME09238
OG0001186	NEMVE07796	DROME11811, DROME11812
OG0001186	NEMVE14205	DROME18932
OG0001188	NEMVE13134, NEMVE04912	DROME07119, DROME07117, DROME07120, DROME07116, DROME07118
OG0001190	NEMVE07335, NEMVE20942	DROME21340, DROME21342, DROME21339, DROME21341
OG0001191	NEMVE02357	DROME15546, DROME15547, DROME15549, DROME15548
OG0001197	NEMVE01874	DROME14364
OG0001197	NEMVE22522, NEMVE09933	DROME07563
OG0001201	NEMVE09573	DROME20824, DROME20825, DROME20823, DROME20822
OG0001203	NEMVE06946	DROME16841
OG0001204	NEMVE16401	DROME15252
OG0001205	NEMVE12458	DROME09818, DROME09817
OG0001208	NEMVE13141	DROME21826, DROME21829, DROME21823, DROME21824, DROME21830, DROME21827, DROME21819, DROME21821, DROME21825, DROME21822, DROME21820, DROME21828, DROME21813, DROME21818, DROME21814, DROME21817, DROME21815, DROME21816
OG0001209	NEMVE13903	DROME03307
OG0001211	NEMVE14313	DROME14817, DROME14816, DROME14814, DROME14815
OG0001212	NEMVE08966, NEMVE10705, NEMVE02933, NEMVE00040	DROME03019, DROME03020, DROME03017, DROME03018, DROME03022, DROME03021
OG0001213	NEMVE09096	DROME12028
OG0001213	NEMVE14427	DROME15857
OG0001214	NEMVE06648, NEMVE11810, NEMVE05859	DROME14229, DROME14228, DROME14227, DROME14223, DROME14224, DROME14225, DROME14226
OG0001215	NEMVE25378	DROME05613, DROME05611, DROME05612
OG0001216	NEMVE13574	DROME20096, DROME20097, DROME20095, DROME15498
OG0001218	NEMVE21894	DROME12108, DROME12211, DROME12213, DROME12212
OG0001219	NEMVE22457	DROME17625, DROME17624, DROME17623, DROME17626, DROME17619, DROME17620, DROME17618, DROME17621, DROME17622, DROME17627, DROME17628
OG0001220	NEMVE01931, NEMVE13508, NEMVE06753, NEMVE21490, NEMVE23904	DROME02744, DROME20493, DROME20492
OG0001221	NEMVE10455, NEMVE21175	DROME09514
OG0001225	NEMVE24191	DROME13797, DROME13796, DROME13795, DROME13790, DROME13789, DROME13791, DROME13793, DROME13792, DROME13788, DROME13794
OG0001230	NEMVE14462	DROME05921, DROME05920
OG0001231	NEMVE18418	DROME17241, DROME17722, DROME17723, DROME17725, DROME17724
OG0001232	NEMVE19947, NEMVE16316, NEMVE01186, NEMVE16317, NEMVE08692	DROME01876, DROME01877, DROME01878
OG0001234	NEMVE18230, NEMVE12291	DROME10228, DROME10226, DROME10225, DROME10229, DROME10230, DROME10227, DROME10232, DROME10231
OG0001236	NEMVE24358	DROME06609, DROME04424, DROME20964
OG0001238	NEMVE14613	DROME21058
OG0001238	NEMVE05651	DROME05136, DROME05137, DROME05138, DROME14291, DROME14292
OG0001239	NEMVE13393	DROME18412, DROME18411, DROME18415, DROME18413, DROME18414
OG0001241	NEMVE23698	DROME02596
OG0001241	NEMVE22413	DROME03537
OG0001243	NEMVE04580	DROME15537, DROME15539, DROME15534, DROME15540, DROME15538, DROME15536, DROME15535
OG0001244	NEMVE18953, NEMVE13181, NEMVE05200, NEMVE06276, NEMVE06601, NEMVE25505, NEMVE07927, NEMVE07933, NEMVE25684, NEMVE03017, NEMVE10603, NEMVE13558, NEMVE14877	DROME15047, DROME00314, DROME03813, DROME14424, DROME00499, DROME03809, DROME02175, DROME02174, DROME08742, DROME03464, DROME17576, DROME01734, DROME01735, DROME01736, DROME16041, DROME10132, DROME10131
OG0001245	NEMVE23124	DROME06795
OG0001247	NEMVE03420	DROME18852
OG0001248	NEMVE14608	DROME02625, DROME02624, DROME02623
OG0001249	NEMVE08338	DROME05745, DROME05744, DROME04456, DROME04455
OG0001250	NEMVE07058	DROME10391, DROME10390, DROME10392
OG0001251	NEMVE15250	DROME08364
OG0001251	NEMVE05777	DROME04532
OG0001253	NEMVE14445	DROME16727, DROME02601
OG0001254	NEMVE01446, NEMVE14277	DROME22031, DROME22029, DROME22030, DROME22035, DROME22032, DROME22034, DROME22036, DROME22038, DROME22037, DROME22033
OG0001256	NEMVE11467, NEMVE20435	DROME16302, DROME16304, DROME16303, DROME16300, DROME16301
OG0001261	NEMVE12600, NEMVE24381	DROME00542, DROME00543, DROME00540, DROME00541
OG0001262	NEMVE20477, NEMVE18940, NEMVE25315	DROME01661
OG0001264	NEMVE09188	DROME08249, DROME08250, DROME08248
OG0001266	NEMVE14615, NEMVE13420, NEMVE23687	DROME19377
OG0001267	NEMVE22271	DROME13068
OG0001268	NEMVE10358	DROME04920, DROME04921
OG0001270	NEMVE21909, NEMVE12078	DROME12379
OG0001270	NEMVE22554	DROME02961
OG0001271	NEMVE16016, NEMVE12266	DROME20484
OG0001272	NEMVE24865	DROME17237, DROME17236, DROME17235, DROME17243
OG0001273	NEMVE06058	DROME01252, DROME01250, DROME01249, DROME01248, DROME01251
OG0001274	NEMVE24783	DROME06585, DROME06586, DROME06584
OG0001276	NEMVE24658	DROME10323, DROME10324, DROME10319, DROME10320, DROME10316, DROME10317, DROME10321, DROME10318, DROME10322
OG0001278	NEMVE08441	DROME15730
OG0001279	NEMVE06730	DROME15211, DROME15210
OG0001280	NEMVE15111, NEMVE13261	DROME15706
OG0001281	NEMVE06870, NEMVE11367	DROME19100
OG0001282	NEMVE13494	DROME04060, DROME04059, DROME04058
OG0001284	NEMVE12745, NEMVE19495	DROME05418
OG0001286	NEMVE08364	DROME11490, DROME11489, DROME11491
OG0001287	NEMVE13851	DROME15976, DROME15975, DROME04476
OG0001288	NEMVE21102, NEMVE22721, NEMVE20273	DROME19787, DROME09388, DROME09389
OG0001290	NEMVE22813, NEMVE07506	DROME13148, DROME13147, DROME10925, DROME10926, DROME10924
OG0001291	NEMVE25091	DROME21166, DROME21165, DROME18055, DROME18056
OG0001293	NEMVE24929	DROME19380, DROME19378, DROME19379
OG0001294	NEMVE10810	DROME19278
OG0001295	NEMVE10114	DROME16525, DROME16522, DROME16520, DROME16519, DROME16524, DROME16523, DROME16521
OG0001296	NEMVE10339	DROME21670, DROME21668, DROME21671, DROME21667, DROME21666, DROME21669
OG0001297	NEMVE00713, NEMVE18614, NEMVE04552, NEMVE09620	DROME13456, DROME08203, DROME08204
OG0001300	NEMVE10660	DROME21326, DROME21325, DROME21324
OG0001302	NEMVE13962, NEMVE18411, NEMVE11902	DROME00539
OG0001304	NEMVE01937	DROME00069, DROME00065, DROME00070, DROME00066, DROME00067, DROME00068
OG0001305	NEMVE06825	DROME04834, DROME04832, DROME04829, DROME04830, DROME04835, DROME04836, DROME04825, DROME04826, DROME04833, DROME04837, DROME04827, DROME04838, DROME04828, DROME04839, DROME04831
OG0001306	NEMVE08625	DROME08751, DROME08752
OG0001308	NEMVE00513, NEMVE16301, NEMVE11684, NEMVE06230	DROME17402, DROME17401, DROME17403, DROME17400, DROME17399
OG0001310	NEMVE22452	DROME15600
OG0001311	NEMVE05964, NEMVE03793	DROME20740, DROME20738, DROME20739, DROME20741, DROME06164
OG0001318	NEMVE22575	DROME17213
OG0001318	NEMVE14651	DROME09513
OG0001319	NEMVE01465	DROME01307
OG0001321	NEMVE21741, NEMVE15029	DROME16103
OG0001322	NEMVE05068, NEMVE21787	DROME15932
OG0001323	NEMVE17138	DROME18781, DROME18779, DROME18782, DROME18780
OG0001326	NEMVE14355	DROME03927
OG0001327	NEMVE09298	DROME02674, DROME02673, DROME02675
OG0001330	NEMVE14535	DROME21688, DROME21687, DROME21684, DROME21685, DROME21686, DROME21683
OG0001331	NEMVE23983	DROME17517, DROME17519, DROME17518
OG0001335	NEMVE06061	DROME08039, DROME08040, DROME08041, DROME08038, DROME08042
OG0001337	NEMVE04512, NEMVE11126	DROME07933, DROME07937
OG0001337	NEMVE05602	DROME20158
OG0001339	NEMVE09406	DROME19223, DROME16443, DROME14812, DROME07497, DROME07496
OG0001341	NEMVE00960, NEMVE01284	DROME19896, DROME19897, DROME19895
OG0001344	NEMVE22371	DROME04657, DROME04656
OG0001348	NEMVE25188	DROME03492, DROME03491, DROME03495, DROME03494, DROME03493, DROME03496
OG0001350	NEMVE14117	DROME03240, DROME03239
OG0001351	NEMVE17590	DROME16250, DROME16247, DROME16248, DROME16245, DROME16246, DROME16249
OG0001352	NEMVE14525, NEMVE21813	DROME11579, DROME11580
OG0001353	NEMVE14645	DROME12504, DROME12505
OG0001354	NEMVE15993	DROME19155, DROME19156
OG0001354	NEMVE15994, NEMVE05871	DROME18928
OG0001355	NEMVE14405	DROME18115
OG0001356	NEMVE04630	DROME04210, DROME04209, DROME04208, DROME04203, DROME04201, DROME04202
OG0001358	NEMVE11838	DROME16322, DROME16324, DROME16323, DROME16316, DROME16315, DROME16314, DROME16318, DROME16317, DROME16319
OG0001360	NEMVE11479, NEMVE02997, NEMVE11480, NEMVE03456	DROME16475, DROME16474, DROME01288, DROME01289
OG0001361	NEMVE13054	DROME10441
OG0001362	NEMVE12236	DROME17431, DROME22085
OG0001363	NEMVE24406	DROME20227, DROME20225, DROME20226, DROME20228, DROME00044
OG0001364	NEMVE25546, NEMVE21006	DROME18347, DROME18348
OG0001366	NEMVE02077, NEMVE15255, NEMVE13095	DROME19931, DROME19932, DROME19933, DROME19934
OG0001367	NEMVE10311	DROME04540, DROME04542, DROME04539, DROME04538, DROME04541, DROME04537, DROME04535, DROME04534, DROME04536
OG0001368	NEMVE04773, NEMVE01407	DROME00518, DROME00521, DROME00519, DROME00520
OG0001370	NEMVE14662	DROME10125, DROME10122, DROME10123, DROME10124, DROME10126
OG0001371	NEMVE13180, NEMVE10017, NEMVE03671	DROME15115, DROME15085, DROME15086, DROME10858, DROME10857, DROME16916, DROME17983, DROME17981, DROME17980, DROME17848, DROME06809
OG0001372	NEMVE14621, NEMVE12678	DROME06987
OG0001373	NEMVE13198	DROME15869, DROME15867, DROME15866, DROME15868
OG0001375	NEMVE21718, NEMVE18400	DROME11058
OG0001375	NEMVE06380	DROME12544
OG0001376	NEMVE14506	DROME18505, DROME18503, DROME18507, DROME18504, DROME18508, DROME18506
OG0001378	NEMVE14996	DROME14090, DROME14089
OG0001379	NEMVE14262	DROME02340
OG0001381	NEMVE08816	DROME21356, DROME21357, DROME21358, DROME21359, DROME20082, DROME20083, DROME20084
OG0001382	NEMVE18444	DROME16755, DROME15883
OG0001383	NEMVE09447	DROME08849, DROME08848, DROME08850, DROME08851
OG0001386	NEMVE06344	DROME03356
OG0001388	NEMVE06267	DROME19691
OG0001389	NEMVE07341	DROME08448, DROME08449, DROME08447
OG0001390	NEMVE04656, NEMVE04886	DROME19014, DROME19015, DROME19016
OG0001390	NEMVE03437, NEMVE13301, NEMVE04594	DROME06967, DROME06966
OG0001394	NEMVE08699	DROME15845, DROME15844, DROME15847, DROME15846, DROME15843, DROME15848
OG0001395	NEMVE10872, NEMVE02945	DROME22042
OG0001397	NEMVE22946	DROME12938
OG0001397	NEMVE25397	DROME12061
OG0001398	NEMVE01787	DROME00533
OG0001399	NEMVE23382	DROME18551, DROME15177
OG0001401	NEMVE23498	DROME07715
OG0001402	NEMVE22752	DROME14376, DROME21039, DROME21038, DROME21040, DROME21037
OG0001403	NEMVE08195	DROME02115, DROME02116, DROME02114
OG0001405	NEMVE25349	DROME06373
OG0001405	NEMVE08567	DROME02126
OG0001406	NEMVE18633, NEMVE16331	DROME14082, DROME14079, DROME14080, DROME14081, DROME14077, DROME14078, DROME14084, DROME14083
OG0001408	NEMVE25885	DROME21635, DROME21636, DROME21634
OG0001409	NEMVE14897	DROME18107
OG0001410	NEMVE03165	DROME00626
OG0001411	NEMVE25920	DROME13591, DROME09768, DROME09769
OG0001413	NEMVE06553, NEMVE06540	DROME21681, DROME21682
OG0001413	NEMVE20094	DROME17078
OG0001414	NEMVE11734	DROME16698, DROME16697
OG0001415	NEMVE03240	DROME17030, DROME17031
OG0001416	NEMVE10436	DROME04879, DROME04878, DROME04877, DROME04874, DROME04873, DROME04875, DROME04876
OG0001417	NEMVE02519	DROME21398, DROME21399, DROME04528
OG0001418	NEMVE12090, NEMVE01985	DROME11411
OG0001419	NEMVE05935, NEMVE01378	DROME00719
OG0001421	NEMVE00612	DROME08210
OG0001422	NEMVE07209	DROME19262, DROME19263
OG0001423	NEMVE08632	DROME11161, DROME11163, DROME11162
OG0001424	NEMVE01171	DROME10397
OG0001424	NEMVE19994, NEMVE02440	DROME21291
OG0001425	NEMVE19543, NEMVE14280	DROME10455
OG0001426	NEMVE13859, NEMVE08760	DROME16504, DROME16505
OG0001427	NEMVE15208	DROME04112, DROME04111, DROME04110
OG0001428	NEMVE21876	DROME00299, DROME00300
OG0001430	NEMVE13108	DROME14607, DROME14606
OG0001431	NEMVE23887	DROME08311, DROME08313, DROME08312
OG0001432	NEMVE01898	DROME12684, DROME12683, DROME12682, DROME12685
OG0001433	NEMVE06558	DROME07801, DROME07778, DROME07641, DROME07752, DROME07757, DROME06719, DROME06720, DROME07755, DROME07754, DROME07756, DROME07764
OG0001437	NEMVE13628	DROME11504, DROME11507, DROME11506, DROME11505, DROME12503, DROME12502
OG0001438	NEMVE23399	DROME02079, DROME08565
OG0001440	NEMVE03715	DROME00857, DROME00860, DROME00861, DROME00859, DROME00858
OG0001442	NEMVE02309, NEMVE00471, NEMVE11175, NEMVE12421, NEMVE01347	DROME14822, DROME14823, DROME14821
OG0001445	NEMVE05296	DROME19218
OG0001447	NEMVE05648	DROME20519, DROME20520, DROME20518
OG0001449	NEMVE14841, NEMVE20272	DROME21187
OG0001454	NEMVE14180	DROME17550, DROME17549, DROME17548
OG0001455	NEMVE14951	DROME05198
OG0001456	NEMVE11845, NEMVE11079, NEMVE05799	DROME21079
OG0001459	NEMVE25233, NEMVE00289	DROME20534
OG0001460	NEMVE07626	DROME19034
OG0001461	NEMVE22415, NEMVE00568	DROME01468
OG0001462	NEMVE11473	DROME07618, DROME07619
OG0001463	NEMVE09388, NEMVE13964	DROME17238, DROME10819
OG0001464	NEMVE06290, NEMVE07201, NEMVE10766	DROME03533, DROME03534
OG0001465	NEMVE09468	DROME18897, DROME18898, DROME18892, DROME18885, DROME18884, DROME18891, DROME18890, DROME18896, DROME18881, DROME18886, DROME18879, DROME18888, DROME18893, DROME18894, DROME18880, DROME18889, DROME18882, DROME18887, DROME18878, DROME18883, DROME18877, DROME18895
OG0001466	NEMVE11395, NEMVE24631, NEMVE04483	DROME20715
OG0001467	NEMVE09380	DROME03510
OG0001468	NEMVE03519	DROME11512, DROME11513
OG0001469	NEMVE13119	DROME11498
OG0001469	NEMVE05710	DROME15100
OG0001470	NEMVE01457	DROME17188, DROME17190, DROME17187, DROME17189, DROME17191
OG0001472	NEMVE05967	DROME03418
OG0001472	NEMVE23386	DROME01627
OG0001474	NEMVE03081, NEMVE10570	DROME02835, DROME02834
OG0001475	NEMVE23631	DROME11371, DROME08104, DROME08103
OG0001476	NEMVE10281	DROME09584, DROME09583, DROME09582, DROME09581, DROME09574, DROME09573, DROME09580, DROME09576, DROME09577, DROME09578, DROME09579, DROME09575
OG0001478	NEMVE11979	DROME17873, DROME17872
OG0001479	NEMVE06797, NEMVE06784	DROME09340
OG0001480	NEMVE16556	DROME01335, DROME01336, DROME01334, DROME01333
OG0001482	NEMVE13241	DROME08131, DROME08132, DROME08133
OG0001483	NEMVE23590	DROME17221
OG0001484	NEMVE23070	DROME00233, DROME00235, DROME00237
OG0001485	NEMVE05976	DROME07030, DROME07029, DROME07028, DROME07027, DROME07031
OG0001486	NEMVE22710	DROME20978
OG0001487	NEMVE08786	DROME03483, DROME03486, DROME03489, DROME03481, DROME03482, DROME03484, DROME03485, DROME03488, DROME03487
OG0001492	NEMVE17956	DROME03966
OG0001493	NEMVE14619	DROME09887
OG0001495	NEMVE15483	DROME13469
OG0001496	NEMVE13319	DROME19745
OG0001500	NEMVE07759	DROME13574, DROME13575, DROME13573, DROME13571, DROME13572, DROME13570
OG0001501	NEMVE14114, NEMVE20248, NEMVE10383, NEMVE02681	DROME17335, DROME17336
OG0001502	NEMVE06315	DROME08522, DROME08516, DROME08521, DROME08519, DROME08518, DROME08517, DROME08520
OG0001503	NEMVE13535	DROME04749
OG0001503	NEMVE15019	DROME03622
OG0001504	NEMVE10459	DROME21429, DROME21424, DROME21428, DROME21422
OG0001505	NEMVE14234	DROME08192
OG0001506	NEMVE16287	DROME06158, DROME06155, DROME06153, DROME06152, DROME06154, DROME06151, DROME06157, DROME06159, DROME06160, DROME06150, DROME06156
OG0001508	NEMVE06884	DROME11905
OG0001509	NEMVE23903	DROME10512, DROME10511
OG0001510	NEMVE00716, NEMVE23759	DROME00025
OG0001511	NEMVE06177	DROME00185, DROME00183, DROME00181, DROME00182, DROME00184
OG0001512	NEMVE08553, NEMVE14517	DROME19876, DROME13867, DROME13866
OG0001513	NEMVE06320	DROME05379
OG0001515	NEMVE14908	DROME21741
OG0001516	NEMVE23626	DROME13883
OG0001517	NEMVE14577, NEMVE14581	DROME03470
OG0001517	NEMVE23679	DROME02323
OG0001518	NEMVE10672	DROME10968
OG0001519	NEMVE22706	DROME20785, DROME20788, DROME20786, DROME20787
OG0001520	NEMVE06996	DROME13841, DROME13840, DROME13837, DROME13839, DROME13838
OG0001521	NEMVE01970, NEMVE01552	DROME01243, DROME01242
OG0001522	NEMVE03232, NEMVE14033	DROME02905, DROME02904
OG0001523	NEMVE04670	DROME11130
OG0001524	NEMVE25396	DROME06417, DROME06418
OG0001524	NEMVE05484	DROME00342, DROME00343
OG0001525	NEMVE02407	DROME04644, DROME04645, DROME06563, DROME06562, DROME04650, DROME04646, DROME04647, DROME04648, DROME05288
OG0001526	NEMVE00906	DROME05114, DROME05113, DROME05111, DROME05117, DROME05112, DROME05115, DROME05116, DROME05109, DROME05110
OG0001527	NEMVE14422	DROME15289
OG0001527	NEMVE03078	DROME00338
OG0001528	NEMVE14401	DROME09325
OG0001529	NEMVE02084, NEMVE24342	DROME07602, DROME07601
OG0001530	NEMVE08975	DROME01073
OG0001531	NEMVE05034	DROME10267, DROME10266
OG0001532	NEMVE02971	DROME20201
OG0001533	NEMVE01320	DROME19066, DROME19064, DROME19065, DROME19063, DROME19062, DROME19060, DROME19061, DROME13969
OG0001534	NEMVE00470	DROME09046, DROME09047
OG0001538	NEMVE11486	DROME07056, DROME07054, DROME07055
OG0001546	NEMVE08644	DROME13625, DROME13628, DROME13624, DROME13627, DROME13626, DROME13623
OG0001551	NEMVE01664	DROME08057
OG0001553	NEMVE15083	DROME02123, DROME02122
OG0001554	NEMVE07256	DROME16741
OG0001557	NEMVE19058, NEMVE25522, NEMVE15026	DROME07367
OG0001558	NEMVE08767	DROME19656, DROME19657
OG0001559	NEMVE13708	DROME00558
OG0001559	NEMVE10463	DROME02902
OG0001560	NEMVE07241	DROME14810, DROME17871
OG0001561	NEMVE13680	DROME04222
OG0001562	NEMVE13576	DROME16718
OG0001563	NEMVE09315, NEMVE16630, NEMVE15254	DROME03209
OG0001567	NEMVE07133	DROME19417, DROME19416
OG0001568	NEMVE12145, NEMVE13029	DROME19219
OG0001569	NEMVE22103	DROME03783
OG0001570	NEMVE10457, NEMVE19638	DROME13692
OG0001572	NEMVE21698	DROME11998
OG0001574	NEMVE24808	DROME21965, DROME21966, DROME21964, DROME21967
OG0001575	NEMVE08150	DROME14105, DROME14107, DROME14106, DROME14108
OG0001576	NEMVE10771	DROME08048, DROME08043, DROME08045, DROME08044, DROME08047, DROME08046, DROME08049
OG0001577	NEMVE14595	DROME17515, DROME17516
OG0001580	NEMVE04880	DROME10962, DROME10960, DROME10959, DROME10957, DROME10956, DROME10963, DROME10961, DROME10958
OG0001581	NEMVE09495, NEMVE13982, NEMVE20122	DROME04945
OG0001582	NEMVE14586, NEMVE16677	DROME15756, DROME15757
OG0001583	NEMVE12298, NEMVE07434	DROME08180, DROME08179
OG0001584	NEMVE03502	DROME19782
OG0001589	NEMVE15586	DROME16983, DROME16982, DROME16981, DROME09858
OG0001590	NEMVE15049	DROME14234, DROME13421
OG0001593	NEMVE07459	DROME06841, DROME06840
OG0001594	NEMVE20923, NEMVE00343	DROME05350, DROME05351, DROME05349
OG0001594	NEMVE22378	DROME10666, DROME10665
OG0001596	NEMVE06150	DROME03082, DROME03081, DROME03080
OG0001597	NEMVE17805	DROME12080
OG0001599	NEMVE14138	DROME14559
OG0001600	NEMVE22964, NEMVE13153, NEMVE05024, NEMVE14354, NEMVE09552, NEMVE02321, NEMVE09547	DROME19005
