Orthogroup	NEMVE	CAPO3
OG0001583	NEMVE12298, NEMVE07434	CAPO306289
OG0001584	NEMVE03502	CAPO301068
OG0001589	NEMVE15586	CAPO303301, CAPO304004
OG0001590	NEMVE15049	CAPO302386
OG0001593	NEMVE07459	CAPO305942
OG0001594	NEMVE20923, NEMVE00343	CAPO307886
OG0001594	NEMVE22378	CAPO304243
OG0001597	NEMVE17805	CAPO302703
OG0001599	NEMVE14138	CAPO300887
OG0001600	NEMVE22964, NEMVE13153, NEMVE05024, NEMVE14354, NEMVE09552, NEMVE02321, NEMVE09547	CAPO305994
OG0001603	NEMVE00310, NEMVE01456	CAPO306228
OG0001604	NEMVE11011, NEMVE01133	CAPO303898
OG0001605	NEMVE21422, NEMVE17315	CAPO307473
OG0001609	NEMVE17441	CAPO304683
OG0001609	NEMVE13471	CAPO302057
OG0001610	NEMVE21979	CAPO301483
OG0001611	NEMVE04740	CAPO305038
OG0001612	NEMVE00995, NEMVE00916	CAPO302202
OG0001614	NEMVE02024	CAPO303895
OG0001614	NEMVE09707, NEMVE14265	CAPO307630
OG0001615	NEMVE00681, NEMVE24769	CAPO300749
OG0001617	NEMVE00005, NEMVE24839, NEMVE25980	CAPO302798
OG0001621	NEMVE07688	CAPO302875
OG0001628	NEMVE19330	CAPO300760, CAPO302722
OG0001634	NEMVE13518	CAPO305688
OG0001634	NEMVE22588	CAPO305614
OG0001638	NEMVE24596	CAPO303528
OG0001641	NEMVE14484, NEMVE06204, NEMVE20026	CAPO303281
OG0001643	NEMVE20743, NEMVE11046	CAPO306838
OG0001644	NEMVE22640	CAPO303665
OG0001652	NEMVE12395, NEMVE00956, NEMVE05109	CAPO302838
OG0001653	NEMVE00904	CAPO305118
OG0001655	NEMVE19053	CAPO302812
OG0001657	NEMVE13455	CAPO304165, CAPO303952
OG0001657	NEMVE14680	CAPO300404
OG0001660	NEMVE15239	CAPO305930
OG0001661	NEMVE07312, NEMVE10092, NEMVE22246	CAPO302789
OG0001661	NEMVE01351, NEMVE13539	CAPO304920
OG0001663	NEMVE21018, NEMVE23853	CAPO301057
OG0001664	NEMVE25426	CAPO303152
OG0001665	NEMVE09117, NEMVE05163	CAPO302331
OG0001672	NEMVE22147	CAPO301880
OG0001673	NEMVE07546	CAPO305520
OG0001674	NEMVE25306	CAPO301357
OG0001675	NEMVE03414	CAPO307574
OG0001676	NEMVE11180, NEMVE13897	CAPO300524
OG0001676	NEMVE17801	CAPO305992
OG0001676	NEMVE10188, NEMVE14059	CAPO305255
OG0001677	NEMVE08811	CAPO307978
OG0001679	NEMVE06179	CAPO302155, CAPO305784
OG0001680	NEMVE10805	CAPO304235, CAPO304477
OG0001685	NEMVE22402	CAPO307707
OG0001686	NEMVE12538, NEMVE21686, NEMVE15921	CAPO307138
OG0001687	NEMVE13557, NEMVE13398, NEMVE20346	CAPO302907
OG0001688	NEMVE01983	CAPO300133
OG0001690	NEMVE10364	CAPO304820
OG0001691	NEMVE08246	CAPO307420
OG0001699	NEMVE01135, NEMVE21954, NEMVE24398	CAPO306472, CAPO300057
OG0001704	NEMVE21188, NEMVE00356, NEMVE24161, NEMVE25865, NEMVE23380, NEMVE07682	CAPO304434
OG0001706	NEMVE23731	CAPO301033
OG0001706	NEMVE05030	CAPO304012, CAPO300702
OG0001707	NEMVE04981, NEMVE14075	CAPO303836
OG0001708	NEMVE12748, NEMVE25417, NEMVE11609, NEMVE25416, NEMVE10072	CAPO303804
OG0001709	NEMVE00183, NEMVE02103, NEMVE13278	CAPO304969
OG0001711	NEMVE10176, NEMVE10178	CAPO301872
OG0001713	NEMVE19673	CAPO308041
OG0001713	NEMVE15326	CAPO302278
OG0001714	NEMVE20785, NEMVE14822	CAPO306669
OG0001714	NEMVE15425	CAPO300188
OG0001718	NEMVE25579	CAPO301559, CAPO301838
OG0001720	NEMVE00978, NEMVE05172	CAPO303957
OG0001721	NEMVE14398	CAPO302302
OG0001723	NEMVE01559, NEMVE07760	CAPO308089
OG0001724	NEMVE13963	CAPO306474
OG0001727	NEMVE05094, NEMVE01092	CAPO301729
OG0001728	NEMVE01564	CAPO304086
OG0001730	NEMVE00988	CAPO303469
OG0001732	NEMVE08717	CAPO304710
OG0001733	NEMVE04835	CAPO306615
OG0001735	NEMVE08944, NEMVE20783	CAPO301389
OG0001736	NEMVE14430	CAPO300355
OG0001738	NEMVE05920	CAPO301655
OG0001739	NEMVE22586, NEMVE20891	CAPO304154
OG0001743	NEMVE08168	CAPO306128
OG0001746	NEMVE17218, NEMVE19788, NEMVE19907, NEMVE12201	CAPO306662
OG0001750	NEMVE21750	CAPO304954
OG0001755	NEMVE14907	CAPO300413
OG0001756	NEMVE14922	CAPO301153
OG0001756	NEMVE13947	CAPO306605
OG0001769	NEMVE10615	CAPO300754
OG0001769	NEMVE24301	CAPO306748
OG0001770	NEMVE14281, NEMVE00088	CAPO304551
OG0001772	NEMVE05103	CAPO303731
OG0001774	NEMVE14068, NEMVE25139	CAPO302411
OG0001775	NEMVE13368, NEMVE02560, NEMVE03860	CAPO300385, CAPO303998
OG0001780	NEMVE15664, NEMVE22327	CAPO305647
OG0001781	NEMVE14316, NEMVE13106	CAPO304059
OG0001783	NEMVE25002	CAPO302497
OG0001787	NEMVE06362	CAPO302384
OG0001789	NEMVE02570	CAPO303597
OG0001792	NEMVE17254	CAPO305067
OG0001793	NEMVE22918	CAPO302934
OG0001793	NEMVE14464	CAPO300098
OG0001797	NEMVE05370	CAPO305230
OG0001799	NEMVE02952	CAPO307439
OG0001800	NEMVE12705, NEMVE21805	CAPO302099, CAPO301494
OG0001804	NEMVE23206	CAPO307706
OG0001805	NEMVE14596	CAPO301307
OG0001807	NEMVE03359, NEMVE21133	CAPO305640
OG0001808	NEMVE06614	CAPO300354
OG0001809	NEMVE14997, NEMVE12260	CAPO307543
OG0001811	NEMVE04624, NEMVE00892	CAPO304043
OG0001814	NEMVE08912, NEMVE24451	CAPO305508
OG0001816	NEMVE16539	CAPO300431
OG0001818	NEMVE14370	CAPO302088
OG0001819	NEMVE23893	CAPO307172
OG0001820	NEMVE14972	CAPO300515
OG0001822	NEMVE13743	CAPO301119
OG0001825	NEMVE05416, NEMVE05456	CAPO306238
OG0001827	NEMVE06953, NEMVE22019, NEMVE13541	CAPO303060
OG0001828	NEMVE13351	CAPO305081
OG0001830	NEMVE00966, NEMVE10828	CAPO300316
OG0001831	NEMVE08518, NEMVE11776	CAPO306824
OG0001832	NEMVE03259	CAPO300612
OG0001834	NEMVE20987, NEMVE01038	CAPO301512
OG0001850	NEMVE05785, NEMVE03645	CAPO301689
OG0001851	NEMVE24064, NEMVE20602, NEMVE20160, NEMVE21455, NEMVE21091	CAPO303828
OG0001852	NEMVE23749	CAPO303604
OG0001857	NEMVE23842	CAPO306766
OG0001859	NEMVE23690	CAPO304942
OG0001860	NEMVE22498	CAPO306960
OG0001863	NEMVE04600	CAPO300966
OG0001864	NEMVE08923	CAPO300448
OG0001866	NEMVE00845, NEMVE00644, NEMVE18906	CAPO306683
OG0001867	NEMVE05147	CAPO302026
OG0001870	NEMVE21714	CAPO303422
OG0001873	NEMVE21702, NEMVE17269, NEMVE13980	CAPO305494
OG0001875	NEMVE13467	CAPO303129
OG0001875	NEMVE24956	CAPO300770
OG0001877	NEMVE14312	CAPO305419
OG0001878	NEMVE04635	CAPO300594
OG0001879	NEMVE20764, NEMVE13735	CAPO302675
OG0001879	NEMVE13330, NEMVE07077	CAPO304068
OG0001882	NEMVE14336	CAPO302587
OG0001883	NEMVE23661	CAPO304395
OG0001886	NEMVE14073	CAPO301013
OG0001888	NEMVE14388	CAPO307373
OG0001894	NEMVE14144	CAPO305070
OG0001895	NEMVE08995, NEMVE08991	CAPO300178
OG0001898	NEMVE05042, NEMVE00078, NEMVE11971, NEMVE10699	CAPO303887
OG0001900	NEMVE02795, NEMVE14738	CAPO306468, CAPO308362
OG0001901	NEMVE04718	CAPO302174
OG0001903	NEMVE23014, NEMVE15464	CAPO301651
OG0001913	NEMVE05008	CAPO308270
OG0001914	NEMVE24283, NEMVE00127, NEMVE16870	CAPO308187
OG0001915	NEMVE01292, NEMVE15067	CAPO305922
OG0001917	NEMVE22972, NEMVE06545, NEMVE09944	CAPO303937
OG0001919	NEMVE14664	CAPO305966
OG0001919	NEMVE06104	CAPO300799
OG0001923	NEMVE13404	CAPO300364
OG0001926	NEMVE14562	CAPO308203
OG0001927	NEMVE05097, NEMVE10782, NEMVE00298, NEMVE10781	CAPO303832
OG0001928	NEMVE07338, NEMVE05794	CAPO303627
OG0001930	NEMVE13232, NEMVE09148	CAPO301567
OG0001932	NEMVE10249	CAPO304653
OG0001935	NEMVE11819, NEMVE13529, NEMVE10442	CAPO301339
OG0001937	NEMVE01966, NEMVE01539, NEMVE05349, NEMVE21633, NEMVE24993, NEMVE15387, NEMVE23172	CAPO301986
OG0001938	NEMVE14591	CAPO303883
OG0001939	NEMVE08131, NEMVE13358, NEMVE20322, NEMVE14627, NEMVE14690, NEMVE08857, NEMVE22666	CAPO304703
OG0001940	NEMVE13882	CAPO307447
OG0001941	NEMVE10103	CAPO303660
OG0001943	NEMVE12989	CAPO306393
OG0001943	NEMVE07567	CAPO304272
OG0001945	NEMVE08582	CAPO302125, CAPO302413
OG0001947	NEMVE14499	CAPO306182
OG0001948	NEMVE06973	CAPO307548
OG0001949	NEMVE23793	CAPO303945
OG0001951	NEMVE12966, NEMVE23680, NEMVE18054	CAPO305792
OG0001953	NEMVE09970	CAPO306993
OG0001956	NEMVE25992, NEMVE20264, NEMVE01458	CAPO302405
OG0001957	NEMVE08808	CAPO307027
OG0001961	NEMVE05332, NEMVE05331	CAPO301591
OG0001963	NEMVE05882	CAPO304558
OG0001963	NEMVE05900	CAPO304559
OG0001964	NEMVE13227	CAPO306144
OG0001965	NEMVE22556	CAPO305377
OG0001966	NEMVE05589, NEMVE18674	CAPO308069
OG0001968	NEMVE00494	CAPO303436
OG0001969	NEMVE21988, NEMVE15841	CAPO301897
OG0001972	NEMVE06243, NEMVE11911	CAPO302726
OG0001985	NEMVE14018, NEMVE09656	CAPO307425
OG0001988	NEMVE13461, NEMVE20802, NEMVE11686	CAPO301454
OG0001989	NEMVE06852	CAPO303699
OG0001992	NEMVE10979	CAPO301694
OG0001994	NEMVE19315, NEMVE05452	CAPO307422
OG0001998	NEMVE25642	CAPO304168
OG0001999	NEMVE06295, NEMVE03425	CAPO303159
OG0002000	NEMVE05625, NEMVE16765	CAPO305912
OG0002001	NEMVE14609	CAPO301730, CAPO305766
OG0002003	NEMVE20343, NEMVE13572	CAPO306645
OG0002004	NEMVE24875, NEMVE22284	CAPO305661, CAPO300359
OG0002006	NEMVE18013	CAPO302881
OG0002007	NEMVE21286, NEMVE10091	CAPO301764
OG0002008	NEMVE21351, NEMVE07071	CAPO308237
OG0002009	NEMVE16636	CAPO305521
OG0002009	NEMVE14215	CAPO304107
OG0002010	NEMVE02123, NEMVE02132, NEMVE20902	CAPO303286
OG0002011	NEMVE07404, NEMVE13629, NEMVE13630	CAPO305222
OG0002014	NEMVE23062	CAPO305309
OG0002015	NEMVE17796, NEMVE22689	CAPO304377
OG0002016	NEMVE07667	CAPO300736, CAPO303360
OG0002019	NEMVE13416	CAPO303943, CAPO301189
OG0002020	NEMVE04992	CAPO301809, CAPO306607
OG0002024	NEMVE25593	CAPO300776
OG0002025	NEMVE09569	CAPO301502
OG0002026	NEMVE05540	CAPO307889, CAPO306582
OG0002027	NEMVE24604	CAPO307021
OG0002029	NEMVE16639	CAPO303181
OG0002029	NEMVE13568	CAPO304041
OG0002031	NEMVE22573	CAPO300135
OG0002032	NEMVE22365	CAPO304689
OG0002034	NEMVE07403, NEMVE13257	CAPO306318
OG0002042	NEMVE22387	CAPO300525
OG0002043	NEMVE21953	CAPO306649
OG0002062	NEMVE07454	CAPO301382
OG0002063	NEMVE21994	CAPO302417
OG0002066	NEMVE22624, NEMVE06128	CAPO300576
OG0002068	NEMVE21886	CAPO303650
OG0002069	NEMVE18129, NEMVE24957	CAPO306402
OG0002073	NEMVE08047	CAPO302333
OG0002074	NEMVE22585, NEMVE24126, NEMVE24125, NEMVE23976	CAPO304152
OG0002074	NEMVE06023, NEMVE06035	CAPO307137
OG0002076	NEMVE01949	CAPO303117
OG0002078	NEMVE06296	CAPO302217
OG0002079	NEMVE21701	CAPO301402
OG0002080	NEMVE01454, NEMVE01941	CAPO307474, CAPO307552
OG0002087	NEMVE06824	CAPO306536
OG0002093	NEMVE26014	CAPO304254
OG0002097	NEMVE13006, NEMVE08209	CAPO302111
OG0002099	NEMVE11724, NEMVE05667	CAPO306675
OG0002101	NEMVE18728	CAPO307803
OG0002103	NEMVE24638	CAPO305235
OG0002107	NEMVE13149	CAPO302852
OG0002108	NEMVE14269, NEMVE14369, NEMVE00973	CAPO303834
OG0002122	NEMVE24209	CAPO300191
OG0002123	NEMVE15053	CAPO303373
OG0002124	NEMVE16310, NEMVE04865	CAPO300980
OG0002129	NEMVE23727	CAPO305068
OG0002130	NEMVE19758	CAPO301943
OG0002131	NEMVE04261, NEMVE14040	CAPO302159
OG0002135	NEMVE08407, NEMVE00050	CAPO300616, CAPO300802
OG0002136	NEMVE23649	CAPO300292
OG0002137	NEMVE20092, NEMVE08641, NEMVE14838	CAPO306593
OG0002138	NEMVE07042	CAPO304101
OG0002140	NEMVE22622	CAPO300489
OG0002141	NEMVE14733	CAPO300491
OG0002144	NEMVE24612	CAPO308205
OG0002145	NEMVE22803	CAPO305963
OG0002146	NEMVE14303, NEMVE22492	CAPO303694
OG0002147	NEMVE14395	CAPO307247
OG0002148	NEMVE17376, NEMVE13123	CAPO301311
OG0002150	NEMVE13668	CAPO305991
OG0002151	NEMVE14212	CAPO300513
OG0002152	NEMVE13660	CAPO305214
OG0002156	NEMVE22212	CAPO307789
OG0002158	NEMVE23716	CAPO300426
OG0002159	NEMVE22508	CAPO301618
OG0002160	NEMVE14377	CAPO306354
OG0002165	NEMVE13553	CAPO306860
OG0002166	NEMVE07576	CAPO300536
OG0002168	NEMVE23404, NEMVE16843	CAPO305846
OG0002169	NEMVE25833, NEMVE01480, NEMVE01816	CAPO305188, CAPO305186
OG0002170	NEMVE13172, NEMVE13595	CAPO306065
OG0002171	NEMVE18921	CAPO300657
OG0002172	NEMVE04603	CAPO300117
OG0002173	NEMVE21933, NEMVE09938	CAPO300163
OG0002177	NEMVE06715	CAPO303715
OG0002178	NEMVE08226	CAPO300762
OG0002179	NEMVE05933	CAPO301344
OG0002182	NEMVE24371	CAPO300304
OG0002184	NEMVE24412	CAPO302808
OG0002185	NEMVE15000, NEMVE23238	CAPO306894
OG0002187	NEMVE22527	CAPO303260
OG0002188	NEMVE13879	CAPO307308
OG0002189	NEMVE23618, NEMVE19763	CAPO302919, CAPO302901
OG0002190	NEMVE00300	CAPO305794
OG0002191	NEMVE25926, NEMVE16582	CAPO306349
OG0002193	NEMVE14485, NEMVE13347	CAPO307827, CAPO303661
OG0002199	NEMVE05728, NEMVE04819, NEMVE10032, NEMVE10038, NEMVE16712, NEMVE08406, NEMVE04936, NEMVE11271, NEMVE19723, NEMVE21038, NEMVE17123	CAPO306236, CAPO308165
OG0002199	NEMVE16231, NEMVE17101, NEMVE04892, NEMVE17124, NEMVE04944, NEMVE00776, NEMVE17225, NEMVE10045, NEMVE16232, NEMVE17399, NEMVE16659, NEMVE17223, NEMVE16881	CAPO302045, CAPO307109
OG0002201	NEMVE04881	CAPO305256
OG0002213	NEMVE01046	CAPO301692
OG0002216	NEMVE08163, NEMVE08160, NEMVE13762	CAPO308083
OG0002219	NEMVE15819, NEMVE02183	CAPO301953
OG0002222	NEMVE18035	CAPO300961
OG0002224	NEMVE14874	CAPO304952
OG0002224	NEMVE12524	CAPO304640
OG0002225	NEMVE06935	CAPO301769
OG0002226	NEMVE12046, NEMVE13683	CAPO307804
OG0002227	NEMVE05812, NEMVE00081	CAPO307820, CAPO307799
OG0002228	NEMVE07969	CAPO301630, CAPO300068
OG0002229	NEMVE01194, NEMVE20352, NEMVE14661	CAPO308040
OG0002237	NEMVE14800	CAPO306506
OG0002239	NEMVE19625	CAPO301966
OG0002240	NEMVE13693	CAPO306707
OG0002241	NEMVE24926	CAPO303979
OG0002243	NEMVE14204	CAPO301335, CAPO300484
OG0002244	NEMVE19154, NEMVE14375	CAPO303840
OG0002245	NEMVE25535	CAPO302737
OG0002246	NEMVE14848	CAPO301929
OG0002251	NEMVE09002	CAPO302537
OG0002252	NEMVE13916	CAPO304306
OG0002255	NEMVE07533, NEMVE08622	CAPO301475, CAPO302337
OG0002258	NEMVE03440, NEMVE05385	CAPO300693
OG0002258	NEMVE22688	CAPO302229
OG0002261	NEMVE22484	CAPO303559
OG0002263	NEMVE18735, NEMVE18736, NEMVE20565	CAPO304694
OG0002264	NEMVE14171	CAPO304810
OG0002266	NEMVE25497, NEMVE10301	CAPO307392
OG0002270	NEMVE06470, NEMVE23940, NEMVE05227	CAPO302042
OG0002272	NEMVE09465, NEMVE09461	CAPO301905
OG0002279	NEMVE10911, NEMVE10903, NEMVE00393	CAPO304874
OG0002282	NEMVE22583	CAPO300014
OG0002284	NEMVE21975	CAPO304167
OG0002287	NEMVE18229	CAPO306430
OG0002288	NEMVE11591	CAPO306855
OG0002292	NEMVE25224	CAPO308118, CAPO308288
OG0002293	NEMVE02991	CAPO302207
OG0002294	NEMVE23623	CAPO300522
OG0002312	NEMVE14597	CAPO305339
OG0002316	NEMVE13597	CAPO302192
OG0002317	NEMVE00994	CAPO301129
OG0002318	NEMVE14046	CAPO302292
OG0002319	NEMVE14710	CAPO306342
OG0002321	NEMVE08031	CAPO300390
OG0002322	NEMVE15288, NEMVE21771, NEMVE17651	CAPO300979
OG0002323	NEMVE23408	CAPO308299
OG0002324	NEMVE12958, NEMVE13483	CAPO301866
OG0002325	NEMVE08574	CAPO300458
OG0002326	NEMVE13090	CAPO302239
OG0002327	NEMVE02446, NEMVE05520, NEMVE13392	CAPO302954
OG0002330	NEMVE22193, NEMVE18821	CAPO300172
OG0002331	NEMVE00902	CAPO302246
OG0002332	NEMVE13746	CAPO300761
OG0002337	NEMVE20707, NEMVE07310	CAPO307155
OG0002340	NEMVE14889	CAPO307906
OG0002341	NEMVE07364, NEMVE21241	CAPO300617
OG0002343	NEMVE21898	CAPO303889
OG0002344	NEMVE13994	CAPO307434
OG0002345	NEMVE15311	CAPO304277
OG0002346	NEMVE22393	CAPO307106
OG0002354	NEMVE25207	CAPO306383
OG0002356	NEMVE14410	CAPO305051
OG0002357	NEMVE10988, NEMVE16493	CAPO302341
OG0002358	NEMVE00249, NEMVE05922	CAPO307788
OG0002359	NEMVE15077	CAPO302128
OG0002361	NEMVE23990	CAPO304727
OG0002362	NEMVE14488	CAPO301902
OG0002363	NEMVE13201	CAPO302980
OG0002367	NEMVE09858, NEMVE01094	CAPO304316
OG0002368	NEMVE14745	CAPO301447
OG0002369	NEMVE02379, NEMVE20377, NEMVE23831	CAPO301279
OG0002370	NEMVE21773	CAPO303015
OG0002371	NEMVE14124, NEMVE15035	CAPO304426
OG0002372	NEMVE14910	CAPO303540
OG0002372	NEMVE22880, NEMVE20712	CAPO303041
OG0002373	NEMVE03888	CAPO306145
OG0002373	NEMVE25614, NEMVE10608, NEMVE07946	CAPO306206
OG0002374	NEMVE08260	CAPO302309
OG0002375	NEMVE09792	CAPO305178, CAPO300285
OG0002376	NEMVE06579, NEMVE00678, NEMVE06595	CAPO304863
OG0002377	NEMVE25018	CAPO301847
OG0002379	NEMVE18344	CAPO301214
OG0002383	NEMVE21384, NEMVE21336, NEMVE10697, NEMVE12671, NEMVE06163, NEMVE05679, NEMVE22335, NEMVE15818	CAPO302731
OG0002396	NEMVE25624, NEMVE06812, NEMVE00769	CAPO302410
OG0002398	NEMVE14290, NEMVE07791	CAPO306938
OG0002405	NEMVE22447	CAPO308161
OG0002406	NEMVE05742	CAPO304138
OG0002407	NEMVE24388	CAPO301366
OG0002409	NEMVE15101, NEMVE13448	CAPO301533
OG0002410	NEMVE22081, NEMVE07328, NEMVE02435	CAPO305170
OG0002411	NEMVE10406	CAPO305052
OG0002412	NEMVE02018, NEMVE25047, NEMVE09211, NEMVE01529	CAPO302706
OG0002413	NEMVE25129	CAPO307797
OG0002414	NEMVE21892	CAPO304631
OG0002415	NEMVE13203	CAPO304905
OG0002417	NEMVE13114, NEMVE14320, NEMVE06835, NEMVE06864, NEMVE24442, NEMVE04824	CAPO307671
OG0002419	NEMVE22379, NEMVE09803, NEMVE05203	CAPO303825
OG0002421	NEMVE14459	CAPO305365
OG0002422	NEMVE02831, NEMVE10635	CAPO302014
OG0002425	NEMVE14584, NEMVE13513, NEMVE21194, NEMVE19459	CAPO304491
OG0002426	NEMVE22514	CAPO303294
OG0002429	NEMVE07411, NEMVE09741	CAPO305260
OG0002433	NEMVE20617, NEMVE15590	CAPO302444
OG0002435	NEMVE23060, NEMVE13959	CAPO304613
OG0002436	NEMVE06541	CAPO307054
OG0002437	NEMVE13512	CAPO303352
OG0002439	NEMVE04556	CAPO302565
OG0002441	NEMVE24762	CAPO304429
OG0002442	NEMVE21948	CAPO300535
OG0002443	NEMVE14202	CAPO301424
OG0002445	NEMVE13825	CAPO304782
OG0002446	NEMVE13007	CAPO303707
OG0002448	NEMVE13491	CAPO308204
OG0002453	NEMVE11318	CAPO305834
OG0002454	NEMVE08809, NEMVE11711, NEMVE14844	CAPO305157
OG0002466	NEMVE15736, NEMVE01969	CAPO305593
OG0002467	NEMVE22035, NEMVE06453	CAPO302869
OG0002476	NEMVE14890	CAPO307617
OG0002484	NEMVE06285, NEMVE16323	CAPO305360
OG0002486	NEMVE16930	CAPO303598
OG0002489	NEMVE24996	CAPO304231
OG0002490	NEMVE02204	CAPO307409, CAPO300849
OG0002492	NEMVE04398, NEMVE15055	CAPO305743
OG0002494	NEMVE15130	CAPO307620
OG0002495	NEMVE25970, NEMVE11239, NEMVE11237	CAPO306559
OG0002497	NEMVE06652	CAPO301629
OG0002499	NEMVE12047, NEMVE05319	CAPO308309
OG0002500	NEMVE21891	CAPO305159
OG0002501	NEMVE07528	CAPO305150
OG0002502	NEMVE16269	CAPO304947
OG0002503	NEMVE17773, NEMVE24712, NEMVE23269	CAPO301024
OG0002505	NEMVE19951, NEMVE01459, NEMVE03128, NEMVE20815, NEMVE17116	CAPO302692
OG0002506	NEMVE04873	CAPO305033, CAPO301029
OG0002507	NEMVE14545	CAPO303215
OG0002509	NEMVE25172	CAPO305905, CAPO306732
OG0002510	NEMVE25080	CAPO305793
OG0002511	NEMVE22149	CAPO303146
OG0002516	NEMVE22681	CAPO307569
OG0002518	NEMVE14734	CAPO304200
OG0002519	NEMVE24207	CAPO302874
OG0002523	NEMVE25812	CAPO301008
OG0002525	NEMVE17542	CAPO300787
OG0002526	NEMVE05239	CAPO303145
OG0002527	NEMVE14552	CAPO306066
OG0002528	NEMVE14679	CAPO301891
OG0002529	NEMVE05888	CAPO301231, CAPO301232
OG0002531	NEMVE13170	CAPO304673
OG0002532	NEMVE05153	CAPO307265
OG0002533	NEMVE03417	CAPO302353
OG0002534	NEMVE24013	CAPO302248
OG0002539	NEMVE22213	CAPO305908
OG0002542	NEMVE22658	CAPO300062
OG0002543	NEMVE17118	CAPO306889, CAPO301493
OG0002548	NEMVE06587	CAPO303502
OG0002555	NEMVE13837	CAPO301095
OG0002556	NEMVE14415, NEMVE13533, NEMVE12299, NEMVE14944, NEMVE09666, NEMVE02136, NEMVE06014	CAPO306661
OG0002557	NEMVE14082	CAPO302757
OG0002558	NEMVE19105	CAPO301820
OG0002559	NEMVE14223	CAPO306363
OG0002561	NEMVE05064	CAPO306761
OG0002562	NEMVE07092, NEMVE01906	CAPO305283
OG0002563	NEMVE08352	CAPO307417
OG0002564	NEMVE00075, NEMVE01546	CAPO307297
OG0002565	NEMVE13158	CAPO302611
OG0002566	NEMVE14051	CAPO303827
OG0002567	NEMVE00969, NEMVE13679	CAPO304319
OG0002570	NEMVE13046, NEMVE14150	CAPO307215
OG0002585	NEMVE08616, NEMVE23678, NEMVE25329, NEMVE22669, NEMVE22558, NEMVE12436, NEMVE22764, NEMVE10423, NEMVE24786, NEMVE16858, NEMVE24094, NEMVE24093, NEMVE18017, NEMVE22539, NEMVE22673	CAPO304733, CAPO306606, CAPO302856
OG0002587	NEMVE09616, NEMVE03334	CAPO300512
OG0002589	NEMVE08810, NEMVE18480, NEMVE02141	CAPO302447
OG0002592	NEMVE17971	CAPO300278
OG0002594	NEMVE07262	CAPO304177
OG0002598	NEMVE22416	CAPO300566
OG0002599	NEMVE17323	CAPO303706
OG0002600	NEMVE24873	CAPO305861
OG0002601	NEMVE06924	CAPO300675
OG0002602	NEMVE05264, NEMVE15576	CAPO303637
OG0002603	NEMVE17855, NEMVE02290, NEMVE17152, NEMVE16277, NEMVE17858, NEMVE18982, NEMVE25596, NEMVE15054, NEMVE00474	CAPO302609
OG0002605	NEMVE01455	CAPO303522
OG0002608	NEMVE02967	CAPO303192
OG0002609	NEMVE14492	CAPO304999
OG0002610	NEMVE22485, NEMVE22440	CAPO307043
OG0002611	NEMVE06962	CAPO302425
OG0002617	NEMVE13584	CAPO307606
OG0002621	NEMVE01523, NEMVE05356, NEMVE04815	CAPO305708, CAPO305709, CAPO305858
OG0002624	NEMVE05771	CAPO307642
OG0002629	NEMVE25616, NEMVE10618, NEMVE12665	CAPO306781
OG0002630	NEMVE25025	CAPO300618
OG0002631	NEMVE05706	CAPO302228
OG0002632	NEMVE00534, NEMVE10587, NEMVE10788, NEMVE11872	CAPO301605
OG0002633	NEMVE07535, NEMVE07536, NEMVE07534	CAPO301845
OG0002634	NEMVE06072, NEMVE06052	CAPO303763
OG0002636	NEMVE09564, NEMVE09568	CAPO302443
OG0002638	NEMVE16638	CAPO302461
OG0002642	NEMVE14573	CAPO302887
OG0002643	NEMVE08951, NEMVE12990	CAPO305403
OG0002644	NEMVE04724	CAPO300686
OG0002645	NEMVE01929, NEMVE09904	CAPO302012
OG0002646	NEMVE07455	CAPO300302
OG0002651	NEMVE03413	CAPO307502
OG0002656	NEMVE15375, NEMVE15374	CAPO301386
OG0002657	NEMVE22821	CAPO301921
OG0002659	NEMVE10090, NEMVE05819	CAPO302308
OG0002661	NEMVE13146	CAPO300165
OG0002662	NEMVE13719	CAPO307949
OG0002663	NEMVE25219	CAPO308163
OG0002665	NEMVE09436, NEMVE09422	CAPO307055
OG0002666	NEMVE21724, NEMVE11065	CAPO308350
OG0002668	NEMVE14931	CAPO301754
OG0002669	NEMVE14602	CAPO301762
OG0002672	NEMVE22653	CAPO307527
OG0002677	NEMVE12505, NEMVE16320, NEMVE14524, NEMVE13048	CAPO303005
OG0002682	NEMVE13468, NEMVE05362	CAPO301064
OG0002705	NEMVE14386	CAPO303959
OG0002706	NEMVE20591, NEMVE05114, NEMVE13185	CAPO306125
OG0002708	NEMVE05514	CAPO306708
OG0002715	NEMVE05588	CAPO303783
OG0002716	NEMVE15936	CAPO302306
OG0002717	NEMVE22661	CAPO307873
OG0002718	NEMVE13409	CAPO306705
OG0002720	NEMVE22329, NEMVE14278	CAPO304077
OG0002722	NEMVE25372	CAPO300697
OG0002726	NEMVE07352	CAPO303092
OG0002728	NEMVE23767	CAPO304582
OG0002730	NEMVE18936, NEMVE10147	CAPO300185
OG0002731	NEMVE23784	CAPO304916
OG0002732	NEMVE09100	CAPO305751
OG0002736	NEMVE17741	CAPO302364
OG0002739	NEMVE01084, NEMVE21818	CAPO303462
OG0002740	NEMVE10432	CAPO303044
OG0002741	NEMVE14870	CAPO305001
OG0002743	NEMVE14452, NEMVE13517	CAPO305659
OG0002744	NEMVE05534	CAPO307532
OG0002745	NEMVE14885	CAPO302960
