Orthogroup	NEMVE	YEAST
OG0001001	NEMVE20649, NEMVE24599, NEMVE12542	YEAST00341
OG0001006	NEMVE21915, NEMVE10239	YEAST04513
OG0001016	NEMVE14344, NEMVE14850	YEAST00830
OG0001018	NEMVE25537, NEMVE07573	YEAST01172
OG0001024	NEMVE22572	YEAST01024, YEAST00308
OG0001033	NEMVE03845	YEAST02124
OG0001064	NEMVE19071, NEMVE22336, NEMVE14457, NEMVE15119, NEMVE08642, NEMVE03711, NEMVE20842, NEMVE03288	YEAST00458
OG0001066	NEMVE24583, NEMVE01656	YEAST06311
OG0001075	NEMVE07705, NEMVE15967	YEAST05636
OG0001076	NEMVE01471	YEAST01570
OG0001081	NEMVE14063	YEAST04460
OG0001082	NEMVE13496	YEAST03919, YEAST02905, YEAST05331
OG0001094	NEMVE22605, NEMVE25441, NEMVE16663, NEMVE22581, NEMVE21711, NEMVE21712, NEMVE18919	YEAST03837
OG0001095	NEMVE24881	YEAST00773
OG0001096	NEMVE22598, NEMVE10292, NEMVE12692	YEAST01384
OG0001101	NEMVE14957	YEAST03434
OG0001101	NEMVE01007	YEAST04701
OG0001108	NEMVE14019, NEMVE25264, NEMVE22820, NEMVE03343	YEAST06309
OG0001111	NEMVE12657, NEMVE05880, NEMVE17909, NEMVE18987, NEMVE05284, NEMVE18142	YEAST06003
OG0001113	NEMVE11789, NEMVE13858	YEAST05320
OG0001113	NEMVE22434	YEAST00954
OG0001114	NEMVE13059	YEAST00036, YEAST05811
OG0001124	NEMVE14042, NEMVE14572	YEAST02719
OG0001133	NEMVE17872	YEAST04296
OG0001133	NEMVE22361	YEAST03271
OG0001134	NEMVE10572	YEAST05015
OG0001135	NEMVE08713, NEMVE13852	YEAST03641
OG0001136	NEMVE14986	YEAST05047, YEAST02997
OG0001140	NEMVE06552, NEMVE12189, NEMVE00314	YEAST03519
OG0001142	NEMVE20807, NEMVE13380	YEAST04001
OG0001163	NEMVE01640	YEAST02433
OG0001164	NEMVE07314, NEMVE17008	YEAST03454
OG0001171	NEMVE08775	YEAST04620, YEAST03578
OG0001175	NEMVE18808, NEMVE00944	YEAST00534
OG0001177	NEMVE07007	YEAST06137
OG0001181	NEMVE04930	YEAST02051
OG0001184	NEMVE23775, NEMVE05038	YEAST01681
OG0001185	NEMVE15207	YEAST04969
OG0001186	NEMVE07796, NEMVE14205	YEAST04605, YEAST01886
OG0001191	NEMVE05248, NEMVE02357	YEAST04707
OG0001197	NEMVE01874, NEMVE09865, NEMVE22522, NEMVE09933	YEAST01499
OG0001201	NEMVE09573	YEAST05452
OG0001204	NEMVE16401	YEAST05200
OG0001207	NEMVE23146	YEAST03225, YEAST00090
OG0001207	NEMVE05326, NEMVE07504	YEAST04258
OG0001210	NEMVE24102	YEAST02318
OG0001212	NEMVE12507, NEMVE08966, NEMVE10705, NEMVE02933, NEMVE00040	YEAST03971
OG0001214	NEMVE06648, NEMVE11810, NEMVE05859	YEAST00577
OG0001216	NEMVE13574, NEMVE14479	YEAST00145
OG0001219	NEMVE22457	YEAST03867
OG0001236	NEMVE24358, NEMVE20150	YEAST03325, YEAST02687, YEAST03269
OG0001238	NEMVE14613, NEMVE05651	YEAST04481
OG0001241	NEMVE23698	YEAST02002
OG0001241	NEMVE22413	YEAST03967, YEAST01074
OG0001243	NEMVE04580	YEAST00739, YEAST05004
OG0001249	NEMVE08338	YEAST01062, YEAST02067
OG0001250	NEMVE07058	YEAST02968, YEAST01339
OG0001251	NEMVE15250	YEAST00750
OG0001251	NEMVE05777	YEAST01707
OG0001253	NEMVE14445	YEAST03998
OG0001254	NEMVE20396, NEMVE01446, NEMVE14277	YEAST04309
OG0001262	NEMVE20477, NEMVE18940, NEMVE25315	YEAST00911
OG0001263	NEMVE21893, NEMVE01880, NEMVE01509, NEMVE22016	YEAST00172
OG0001268	NEMVE13796, NEMVE10358	YEAST03495
OG0001270	NEMVE21909, NEMVE12078	YEAST01703
OG0001270	NEMVE22554	YEAST02398
OG0001271	NEMVE00839, NEMVE16016, NEMVE12266	YEAST05227, YEAST00662
OG0001278	NEMVE22456, NEMVE13270, NEMVE08441	YEAST01893
OG0001279	NEMVE06730, NEMVE12857	YEAST03070
OG0001280	NEMVE15111, NEMVE13261, NEMVE12885	YEAST00846
OG0001282	NEMVE13494	YEAST03744
OG0001284	NEMVE15039, NEMVE12745, NEMVE19495	YEAST00567, YEAST01498
OG0001286	NEMVE08364	YEAST00588, YEAST01486, YEAST03604
OG0001291	NEMVE25091	YEAST04453, YEAST04334
OG0001300	NEMVE13700, NEMVE10660, NEMVE19269	YEAST01098
OG0001302	NEMVE13962, NEMVE18411, NEMVE11902	YEAST02328
OG0001302	NEMVE17610	YEAST00299
OG0001310	NEMVE22452, NEMVE14637	YEAST00887
OG0001318	NEMVE22575, NEMVE14651	YEAST03712
OG0001319	NEMVE01465	YEAST01678
OG0001321	NEMVE14319, NEMVE21741, NEMVE15029, NEMVE14121	YEAST02280, YEAST01901
OG0001322	NEMVE14406, NEMVE05068, NEMVE21787	YEAST06128
OG0001324	NEMVE19268, NEMVE11187	YEAST00078
OG0001326	NEMVE14355	YEAST05395
OG0001327	NEMVE09298, NEMVE15997	YEAST03176
OG0001332	NEMVE13389, NEMVE22532, NEMVE10338	YEAST03929, YEAST02705, YEAST00687
OG0001341	NEMVE08679, NEMVE02363, NEMVE00960, NEMVE01284	YEAST06006
OG0001345	NEMVE15150	YEAST03613
OG0001353	NEMVE14778, NEMVE14645	YEAST00020, YEAST04041
OG0001363	NEMVE24406	YEAST06180
OG0001364	NEMVE25546, NEMVE21006	YEAST06038, YEAST00402
OG0001367	NEMVE10311	YEAST04688
OG0001368	NEMVE07089, NEMVE22569, NEMVE25218, NEMVE04773, NEMVE01407	YEAST01821
OG0001370	NEMVE16952, NEMVE14662	YEAST04067, YEAST05195, YEAST00897
OG0001371	NEMVE13180, NEMVE10017, NEMVE03671	YEAST00532, YEAST03976
OG0001372	NEMVE14621, NEMVE12678	YEAST00070
OG0001372	NEMVE24235	YEAST02226
OG0001372	NEMVE12993	YEAST04198
OG0001375	NEMVE21718, NEMVE18400, NEMVE06380	YEAST05499, YEAST05567
OG0001378	NEMVE14996	YEAST02300
OG0001379	NEMVE14262	YEAST04155
OG0001386	NEMVE06336, NEMVE11740, NEMVE06344, NEMVE13418	YEAST05114
OG0001397	NEMVE22946, NEMVE25397	YEAST05731
OG0001409	NEMVE14897	YEAST00885, YEAST04659
OG0001410	NEMVE03165, NEMVE24971	YEAST05046
OG0001411	NEMVE25920	YEAST04834
OG0001412	NEMVE19652	YEAST04490
OG0001413	NEMVE06553, NEMVE06540, NEMVE23533, NEMVE20094	YEAST04294
OG0001414	NEMVE11734	YEAST06070, YEAST01920
OG0001415	NEMVE14658	YEAST04230
OG0001415	NEMVE01687, NEMVE08737, NEMVE04278, NEMVE03240	YEAST00964
OG0001421	NEMVE00612	YEAST05252
OG0001422	NEMVE07209	YEAST05588, YEAST01363
OG0001424	NEMVE01171, NEMVE20550, NEMVE19994, NEMVE02440, NEMVE25742	YEAST01127
OG0001427	NEMVE15208	YEAST01885
OG0001428	NEMVE21876	YEAST04862, YEAST05862, YEAST02749, YEAST03037
OG0001430	NEMVE23825, NEMVE23241, NEMVE13108	YEAST01712
OG0001434	NEMVE01448, NEMVE01045	YEAST03991
OG0001437	NEMVE13628	YEAST01264, YEAST02900
OG0001445	NEMVE05296	YEAST01715
OG0001449	NEMVE14841, NEMVE20272	YEAST03188
OG0001449	NEMVE00941	YEAST05764
OG0001452	NEMVE10972, NEMVE03037, NEMVE19496, NEMVE24352, NEMVE00042	YEAST05900
OG0001454	NEMVE14180, NEMVE10878, NEMVE01670	YEAST01495, YEAST00573
OG0001456	NEMVE20973, NEMVE22085, NEMVE07444, NEMVE12431, NEMVE11845, NEMVE11079, NEMVE05799	YEAST00365
OG0001459	NEMVE25233, NEMVE00289	YEAST03073, YEAST03464
OG0001461	NEMVE22415, NEMVE00568	YEAST05255
OG0001468	NEMVE03519	YEAST03875, YEAST03904
OG0001469	NEMVE13119	YEAST02070
OG0001469	NEMVE05710	YEAST02765
OG0001470	NEMVE12221, NEMVE01457	YEAST00369, YEAST05375
OG0001472	NEMVE05967, NEMVE00566, NEMVE03621, NEMVE23386	YEAST03031
OG0001473	NEMVE02159, NEMVE12413	YEAST05711
OG0001474	NEMVE07106, NEMVE03081, NEMVE10570	YEAST01416, YEAST05312
OG0001478	NEMVE11979	YEAST02078
OG0001479	NEMVE06797, NEMVE06784	YEAST01132
OG0001503	NEMVE13535	YEAST03032
OG0001503	NEMVE15019	YEAST02920
OG0001504	NEMVE10459	YEAST05406
OG0001505	NEMVE14234	YEAST03361
OG0001508	NEMVE06884	YEAST04143
OG0001515	NEMVE14908	YEAST03569
OG0001520	NEMVE24027, NEMVE06996	YEAST03872
OG0001524	NEMVE25396, NEMVE05484	YEAST03912
OG0001525	NEMVE02407	YEAST00757
OG0001527	NEMVE14422, NEMVE03078	YEAST01395
OG0001529	NEMVE02084, NEMVE24342	YEAST01143
OG0001530	NEMVE08975	YEAST00643
OG0001546	NEMVE08644	YEAST03111
OG0001550	NEMVE19108, NEMVE17874	YEAST02405, YEAST05953
OG0001551	NEMVE01664	YEAST04817
OG0001553	NEMVE15083	YEAST05147, YEAST01586
OG0001557	NEMVE19058, NEMVE25522, NEMVE15026	YEAST04551
OG0001558	NEMVE08767	YEAST04449
OG0001559	NEMVE13708, NEMVE10463	YEAST00445, YEAST02434
OG0001561	NEMVE13680	YEAST06176
OG0001564	NEMVE23916, NEMVE02241, NEMVE01813, NEMVE12776	YEAST05390
OG0001570	NEMVE10457, NEMVE19638	YEAST04678
OG0001573	NEMVE05590, NEMVE17379	YEAST03285
OG0001578	NEMVE02073	YEAST01872
OG0001580	NEMVE04880	YEAST06270
OG0001590	NEMVE15049	YEAST03476, YEAST00717, YEAST03955
OG0001594	NEMVE20923, NEMVE00343, NEMVE13600, NEMVE22378	YEAST03418
OG0001597	NEMVE17805, NEMVE07623	YEAST01702
OG0001603	NEMVE00310, NEMVE01456	YEAST02584
OG0001604	NEMVE20359, NEMVE13990, NEMVE11011, NEMVE01133	YEAST01428
OG0001605	NEMVE21422, NEMVE17315	YEAST04101
OG0001609	NEMVE17441, NEMVE13471	YEAST02739
OG0001610	NEMVE21979	YEAST00596, YEAST02062
OG0001612	NEMVE00995, NEMVE00916	YEAST01109
OG0001628	NEMVE19330, NEMVE08310, NEMVE19331	YEAST04790
OG0001653	NEMVE00904	YEAST01151
OG0001655	NEMVE19053	YEAST03354
OG0001657	NEMVE13455, NEMVE14680	YEAST00101, YEAST00944
OG0001663	NEMVE21018, NEMVE23853	YEAST05642
OG0001676	NEMVE11180, NEMVE13897	YEAST02848
OG0001676	NEMVE17801, NEMVE10188, NEMVE14059	YEAST06155
OG0001679	NEMVE06179	YEAST05302, YEAST02334, YEAST02449, YEAST01523
OG0001680	NEMVE10805	YEAST01119, YEAST04022
OG0001685	NEMVE22402	YEAST01147
OG0001687	NEMVE13557, NEMVE13398, NEMVE20346	YEAST05279
OG0001691	NEMVE08246	YEAST01315
OG0001704	NEMVE21188, NEMVE00356, NEMVE24161, NEMVE25865, NEMVE23380, NEMVE07682	YEAST01293
OG0001706	NEMVE23731, NEMVE05030	YEAST03424
OG0001707	NEMVE04981, NEMVE14075	YEAST06049, YEAST00407, YEAST04739
OG0001708	NEMVE12748, NEMVE25417, NEMVE11609, NEMVE25416, NEMVE10072	YEAST05744, YEAST05745
OG0001709	NEMVE00183, NEMVE02103, NEMVE13278	YEAST04440
OG0001713	NEMVE19673, NEMVE15326	YEAST04039
OG0001718	NEMVE15484, NEMVE25579	YEAST01537
OG0001721	NEMVE14398	YEAST04881, YEAST05253, YEAST00698
OG0001723	NEMVE01559, NEMVE07760	YEAST01435
OG0001727	NEMVE05094, NEMVE01092	YEAST04543
OG0001728	NEMVE01564, NEMVE16908	YEAST03347
OG0001730	NEMVE00988	YEAST00177
OG0001736	NEMVE14430	YEAST04588
OG0001739	NEMVE22586, NEMVE20891	YEAST03760
OG0001745	NEMVE23300, NEMVE23314	YEAST01431
OG0001750	NEMVE21750	YEAST03628
OG0001754	NEMVE14105, NEMVE20494	YEAST03682
OG0001755	NEMVE00794	YEAST02688
OG0001755	NEMVE21726	YEAST05131
OG0001756	NEMVE14922, NEMVE13947	YEAST00620
OG0001769	NEMVE10615, NEMVE24301	YEAST04726
OG0001770	NEMVE14281, NEMVE00088	YEAST02590
OG0001774	NEMVE14068, NEMVE25139	YEAST05166
OG0001775	NEMVE13368, NEMVE02560, NEMVE03860	YEAST05594
OG0001780	NEMVE03550, NEMVE15664, NEMVE22327	YEAST03768
OG0001781	NEMVE14316, NEMVE13106	YEAST01882
OG0001785	NEMVE06191, NEMVE01945	YEAST02713
OG0001787	NEMVE06362	YEAST03546
OG0001792	NEMVE17254	YEAST04331
OG0001792	NEMVE17256	YEAST02075
OG0001793	NEMVE22918, NEMVE14464	YEAST02466
OG0001805	NEMVE14596	YEAST05496, YEAST01242
OG0001807	NEMVE03359, NEMVE21133	YEAST05464
OG0001808	NEMVE06614, NEMVE13479	YEAST01298
OG0001818	NEMVE14370	YEAST05902, YEAST04712
OG0001822	NEMVE13743	YEAST04378, YEAST01659
OG0001826	NEMVE15142	YEAST04777, YEAST01697, YEAST05781
OG0001828	NEMVE13351	YEAST04676
OG0001829	NEMVE10642	YEAST01613, YEAST00136, YEAST02008
OG0001831	NEMVE08518, NEMVE11776	YEAST00024
OG0001832	NEMVE03211, NEMVE02593, NEMVE03259	YEAST05376
OG0001842	NEMVE22493	YEAST00524
OG0001846	NEMVE11075, NEMVE11783	YEAST05067
OG0001850	NEMVE05785, NEMVE03645	YEAST01913
OG0001852	NEMVE23749	YEAST03121
OG0001853	NEMVE07936	YEAST05176
OG0001857	NEMVE23842	YEAST04741
OG0001860	NEMVE22498	YEAST00188
OG0001863	NEMVE17199, NEMVE04600	YEAST03017
OG0001866	NEMVE00845, NEMVE00644, NEMVE18906	YEAST05095, YEAST05570
OG0001867	NEMVE05147	YEAST01669
OG0001873	NEMVE21702, NEMVE17269, NEMVE13980	YEAST00981, YEAST00267
OG0001875	NEMVE13467, NEMVE24956	YEAST04137
OG0001877	NEMVE14312	YEAST04134
OG0001886	NEMVE14073	YEAST03260
OG0001888	NEMVE14388	YEAST05749, YEAST01573
OG0001893	NEMVE10940	YEAST01023
OG0001894	NEMVE00792, NEMVE21289, NEMVE01712, NEMVE14144	YEAST00433
OG0001899	NEMVE00990	YEAST01210, YEAST04466
OG0001903	NEMVE23014, NEMVE15464	YEAST06020
OG0001913	NEMVE05008	YEAST05520
OG0001915	NEMVE01292, NEMVE15067	YEAST04791
OG0001917	NEMVE22972, NEMVE06545, NEMVE09944	YEAST01859
OG0001923	NEMVE13404	YEAST05881
OG0001926	NEMVE14562	YEAST02948
OG0001932	NEMVE10249, NEMVE10245, NEMVE00785	YEAST03770, YEAST03179
OG0001934	NEMVE09811, NEMVE23059	YEAST00877
OG0001935	NEMVE11819, NEMVE13529, NEMVE10442	YEAST00431
OG0001938	NEMVE14591	YEAST03931
OG0001940	NEMVE13882	YEAST04188, YEAST05646
OG0001943	NEMVE12989, NEMVE07567	YEAST02393, YEAST05966
OG0001945	NEMVE08582	YEAST01671
OG0001947	NEMVE14499	YEAST02570
OG0001951	NEMVE12966, NEMVE23680, NEMVE18054	YEAST00941, YEAST05396
OG0001952	NEMVE10151	YEAST04673, YEAST01990, YEAST00155
OG0001965	NEMVE22556	YEAST04582
OG0001968	NEMVE00494	YEAST04910
OG0001969	NEMVE21988, NEMVE15841	YEAST06173
OG0001972	NEMVE06243, NEMVE11911	YEAST01822, YEAST03363
OG0001985	NEMVE14018, NEMVE09656	YEAST04959
OG0001992	NEMVE10979, NEMVE19512	YEAST02679
OG0001998	NEMVE25942, NEMVE25642	YEAST00890
OG0002001	NEMVE14609, NEMVE10299	YEAST00502, YEAST03944
OG0002003	NEMVE20343, NEMVE13572	YEAST02826, YEAST03671
OG0002008	NEMVE21351, NEMVE07071	YEAST00768
OG0002010	NEMVE02123, NEMVE02132, NEMVE20902	YEAST00609
OG0002013	NEMVE22426	YEAST03040
OG0002014	NEMVE23062	YEAST02422
OG0002015	NEMVE17796, NEMVE22689	YEAST05525
OG0002025	NEMVE09569	YEAST03650
OG0002026	NEMVE05540	YEAST01247
OG0002029	NEMVE16639, NEMVE13568	YEAST02646
OG0002031	NEMVE22573	YEAST02752
OG0002032	NEMVE22365	YEAST01221
OG0002042	NEMVE22387	YEAST02880
OG0002043	NEMVE21953	YEAST04003
OG0002059	NEMVE14966	YEAST05893, YEAST04718
OG0002062	NEMVE07454	YEAST05454
OG0002063	NEMVE12606, NEMVE21994, NEMVE13375	YEAST00838
OG0002069	NEMVE18129, NEMVE24957	YEAST05962
OG0002073	NEMVE08047	YEAST04552
OG0002076	NEMVE01949	YEAST02206
OG0002078	NEMVE06296	YEAST06232
OG0002079	NEMVE21701	YEAST05765, YEAST00483
OG0002080	NEMVE01454, NEMVE01941	YEAST05220, YEAST04736
OG0002087	NEMVE06824	YEAST05702
OG0002090	NEMVE00378, NEMVE20058, NEMVE00177, NEMVE11698	YEAST02246
OG0002093	NEMVE26014	YEAST02255
OG0002097	NEMVE13006, NEMVE08209	YEAST02697
OG0002101	NEMVE18728	YEAST03902
OG0002103	NEMVE24638	YEAST05974
OG0002106	NEMVE11787, NEMVE23849	YEAST03654
OG0002107	NEMVE13149	YEAST05313, YEAST04340
OG0002108	NEMVE14269, NEMVE14369, NEMVE00973	YEAST03715
OG0002123	NEMVE15053	YEAST02444
OG0002125	NEMVE01005	YEAST05183
OG0002131	NEMVE04261, NEMVE14040	YEAST04275
OG0002137	NEMVE20092, NEMVE08641, NEMVE14838	YEAST04320
OG0002138	NEMVE07042	YEAST02406
OG0002144	NEMVE24612	YEAST02673
OG0002146	NEMVE14303, NEMVE22492	YEAST04333, YEAST00109, YEAST03088, YEAST04454
OG0002147	NEMVE14395	YEAST04532, YEAST01219
OG0002148	NEMVE17376, NEMVE13123	YEAST02060
OG0002152	NEMVE13660	YEAST05624
OG0002156	NEMVE22212	YEAST03007
OG0002160	NEMVE14377	YEAST03960
OG0002165	NEMVE13553	YEAST04504
OG0002168	NEMVE23404, NEMVE16843	YEAST00516
OG0002169	NEMVE25833, NEMVE01480, NEMVE01816	YEAST02258
OG0002175	NEMVE13452	YEAST04956
OG0002184	NEMVE24412	YEAST00242
OG0002185	NEMVE15000, NEMVE23238	YEAST05212
OG0002188	NEMVE13879	YEAST04638, YEAST03913
OG0002189	NEMVE23618, NEMVE19763	YEAST02882, YEAST04447
OG0002197	NEMVE04375, NEMVE03943, NEMVE04423, NEMVE03828, NEMVE03829, NEMVE04296, NEMVE04414, NEMVE04421, NEMVE04491, NEMVE03936, NEMVE03865, NEMVE04482, NEMVE03863, NEMVE03862, NEMVE04406, NEMVE04420, NEMVE04404, NEMVE03929, NEMVE03935, NEMVE04440, NEMVE04426, NEMVE04444, NEMVE03974, NEMVE04436, NEMVE04408, NEMVE03931, NEMVE03942, NEMVE12831, NEMVE03831, NEMVE03830, NEMVE04374, NEMVE03952, NEMVE12920, NEMVE07381, NEMVE03833, NEMVE03971, NEMVE03858, NEMVE13035, NEMVE04417, NEMVE04425	YEAST04045
OG0002213	NEMVE01046	YEAST01241, YEAST05495
OG0002216	NEMVE08163, NEMVE08160, NEMVE13762	YEAST06040
OG0002222	NEMVE18035	YEAST03240
OG0002224	NEMVE14874, NEMVE12524	YEAST01574
OG0002225	NEMVE06935	YEAST04939
OG0002226	NEMVE12046, NEMVE13683, NEMVE04115	YEAST00948
OG0002228	NEMVE07969	YEAST04154, YEAST05632
OG0002233	NEMVE09202, NEMVE06726	YEAST00277
OG0002239	NEMVE19625	YEAST01621
OG0002241	NEMVE24926, NEMVE10724, NEMVE05133, NEMVE11206	YEAST02005
OG0002243	NEMVE14204	YEAST04599, YEAST03601, YEAST04600
OG0002244	NEMVE19154, NEMVE14375	YEAST02768
OG0002252	NEMVE13916	YEAST00826
OG0002261	NEMVE22484	YEAST00472
OG0002264	NEMVE14171	YEAST01705
OG0002279	NEMVE01250, NEMVE11597, NEMVE00093, NEMVE10907, NEMVE10911, NEMVE10903, NEMVE00393	YEAST05800
OG0002282	NEMVE22583	YEAST00881
OG0002288	NEMVE11591	YEAST01591, YEAST05154
OG0002292	NEMVE25224	YEAST00152
OG0002292	NEMVE19618	YEAST03411
OG0002312	NEMVE14597	YEAST06295
OG0002316	NEMVE13597	YEAST01805
OG0002318	NEMVE14046	YEAST02923
OG0002319	NEMVE14710	YEAST00329
OG0002321	NEMVE08031	YEAST02461
OG0002324	NEMVE12958, NEMVE13483	YEAST02615, YEAST06287
OG0002326	NEMVE13090	YEAST00310, YEAST02699
OG0002327	NEMVE02446, NEMVE05520, NEMVE13392	YEAST00346, YEAST06217
OG0002331	NEMVE00902	YEAST01653
OG0002332	NEMVE13746	YEAST01606, YEAST05184, YEAST00285
OG0002341	NEMVE07364, NEMVE21241, NEMVE17028	YEAST03640, YEAST04562
OG0002344	NEMVE13994	YEAST02312, YEAST02019
OG0002346	NEMVE22393	YEAST02012
OG0002355	NEMVE04699	YEAST00016
OG0002356	NEMVE14410	YEAST00259
OG0002361	NEMVE23990	YEAST01027
OG0002367	NEMVE00347, NEMVE06194, NEMVE09858, NEMVE01094	YEAST01179
OG0002369	NEMVE02379, NEMVE20377, NEMVE23831	YEAST03766
OG0002374	NEMVE08260	YEAST02010, YEAST00133
OG0002377	NEMVE25018	YEAST05000
OG0002385	NEMVE24797	YEAST03974
OG0002406	NEMVE05742	YEAST05509
OG0002407	NEMVE24388	YEAST00012
OG0002409	NEMVE15101, NEMVE13448	YEAST02027
OG0002411	NEMVE10406	YEAST05950, YEAST02407
OG0002412	NEMVE02018, NEMVE25047, NEMVE09211, NEMVE01529	YEAST06171
OG0002413	NEMVE25129	YEAST01196
OG0002415	NEMVE13203	YEAST01271
OG0002421	NEMVE25383, NEMVE14459	YEAST02982
OG0002422	NEMVE02831, NEMVE10635	YEAST05026
OG0002426	NEMVE22514	YEAST00184
OG0002441	NEMVE24762	YEAST00068, YEAST02278, YEAST05821
OG0002442	NEMVE21948	YEAST05932
OG0002443	NEMVE14202	YEAST04906
OG0002446	NEMVE14521, NEMVE13007, NEMVE12488	YEAST04254
OG0002448	NEMVE13491	YEAST00626
OG0002450	NEMVE00233, NEMVE22469	YEAST04575
OG0002453	NEMVE11318	YEAST00512
OG0002476	NEMVE14890	YEAST05799
OG0002486	NEMVE16930	YEAST01433
OG0002492	NEMVE04398, NEMVE15055	YEAST01624
OG0002494	NEMVE15130	YEAST02402
OG0002495	NEMVE25970, NEMVE11239, NEMVE11237	YEAST02772
OG0002497	NEMVE06652	YEAST02747
OG0002500	NEMVE21891	YEAST05648
OG0002505	NEMVE19951, NEMVE01459, NEMVE03128, NEMVE20815, NEMVE17116	YEAST02959
OG0002510	NEMVE25080	YEAST04753
OG0002516	NEMVE22681	YEAST00066
OG0002518	NEMVE14734	YEAST02890
OG0002520	NEMVE02312	YEAST05256
OG0002523	NEMVE25812	YEAST06234
OG0002527	NEMVE14552	YEAST01639
OG0002528	NEMVE14679	YEAST00372
OG0002530	NEMVE10791	YEAST05530, YEAST03790
OG0002532	NEMVE25959, NEMVE05153	YEAST03235
OG0002533	NEMVE03417	YEAST04525
OG0002543	NEMVE17118	YEAST00527
OG0002557	NEMVE14082	YEAST06243
OG0002561	NEMVE05064	YEAST04438, YEAST02106
OG0002562	NEMVE07092, NEMVE01906	YEAST03992
OG0002564	NEMVE00075, NEMVE01546	YEAST02186
OG0002565	NEMVE13158	YEAST04224, YEAST02499
OG0002570	NEMVE13046, NEMVE14150	YEAST00592
OG0002594	NEMVE07262	YEAST06174
OG0002598	NEMVE22416	YEAST04621, YEAST03577
OG0002605	NEMVE01455	YEAST06332
OG0002608	NEMVE02967	YEAST03716, YEAST02846
OG0002609	NEMVE14492	YEAST01355
OG0002610	NEMVE22485, NEMVE22440	YEAST01078, YEAST03973
OG0002612	NEMVE06142	YEAST03508
OG0002617	NEMVE13584	YEAST00866
OG0002618	NEMVE02148	YEAST06247
OG0002621	NEMVE01523, NEMVE05356, NEMVE04815	YEAST05551
OG0002629	NEMVE04921, NEMVE21295, NEMVE25616, NEMVE10618, NEMVE12665	YEAST05919
OG0002632	NEMVE00534, NEMVE10587, NEMVE10788, NEMVE11872	YEAST02755
OG0002633	NEMVE07535, NEMVE07536, NEMVE07534	YEAST04206
OG0002636	NEMVE09564, NEMVE09568	YEAST01664, YEAST06215
OG0002638	NEMVE16638	YEAST00919
OG0002643	NEMVE21040, NEMVE08951, NEMVE12990	YEAST01938
OG0002644	NEMVE04724	YEAST00724
OG0002645	NEMVE01929, NEMVE09904	YEAST01436
OG0002646	NEMVE07455	YEAST01946
OG0002651	NEMVE03413	YEAST02868
OG0002656	NEMVE15375, NEMVE15374	YEAST05701
OG0002659	NEMVE10090, NEMVE05819	YEAST06290
OG0002666	NEMVE21724, NEMVE11065	YEAST02507
OG0002668	NEMVE14931	YEAST02324
OG0002677	NEMVE12505, NEMVE16320, NEMVE14524, NEMVE13048	YEAST05210
OG0002681	NEMVE03202	YEAST02557
OG0002681	NEMVE01609	YEAST04585
OG0002683	NEMVE07779	YEAST03676
OG0002705	NEMVE14386	YEAST00553
OG0002715	NEMVE05588	YEAST01174, YEAST04131
OG0002717	NEMVE22661	YEAST02430
OG0002718	NEMVE13409	YEAST03380, YEAST03502
OG0002720	NEMVE22329, NEMVE14278	YEAST01914
OG0002722	NEMVE25372, NEMVE21443	YEAST04059
OG0002726	NEMVE07352	YEAST02958
OG0002729	NEMVE08752	YEAST01155
OG0002739	NEMVE01084, NEMVE21818	YEAST01877
OG0002740	NEMVE10432	YEAST01658
OG0002742	NEMVE22055	YEAST03713
OG0002743	NEMVE14452, NEMVE13517	YEAST01824, YEAST03362
OG0002745	NEMVE14885	YEAST04244
OG0002746	NEMVE14034	YEAST04902, YEAST05332
OG0002747	NEMVE10058	YEAST05617
OG0002749	NEMVE18522	YEAST02810
OG0002750	NEMVE06517, NEMVE06505	YEAST04952
OG0002752	NEMVE14798	YEAST03686
OG0002753	NEMVE01848	YEAST03742
OG0002754	NEMVE21810	YEAST03620
OG0002756	NEMVE15690	YEAST04058
OG0002758	NEMVE19236, NEMVE14585	YEAST04409
OG0002760	NEMVE15085	YEAST01927
OG0002761	NEMVE10992, NEMVE15148, NEMVE22097, NEMVE08698, NEMVE16117, NEMVE23522, NEMVE06013	YEAST03261
OG0002763	NEMVE22020, NEMVE04792	YEAST00260
OG0002764	NEMVE22629, NEMVE15240, NEMVE15234	YEAST00423
OG0002765	NEMVE13625	YEAST01667, YEAST05523
OG0002766	NEMVE19107	YEAST05357
OG0002767	NEMVE04648, NEMVE13082	YEAST04591
OG0002771	NEMVE16523	YEAST02043
OG0002772	NEMVE13724	YEAST03384
OG0002773	NEMVE14937, NEMVE03996	YEAST03677
OG0002774	NEMVE11224, NEMVE09708	YEAST03575
OG0002775	NEMVE25809, NEMVE15309	YEAST03021
OG0002781	NEMVE14606, NEMVE21621	YEAST05450
OG0002782	NEMVE21836, NEMVE21854, NEMVE13717	YEAST02121
OG0002785	NEMVE16275	YEAST06106, YEAST01228
OG0002788	NEMVE07375, NEMVE07382	YEAST02578, YEAST01232
OG0002793	NEMVE01483	YEAST01371
OG0002799	NEMVE05438, NEMVE05411	YEAST01461
OG0002817	NEMVE09140	YEAST01189, YEAST04922
OG0002824	NEMVE22929	YEAST02137
OG0002826	NEMVE14159	YEAST00174
OG0002827	NEMVE07236, NEMVE07233	YEAST05976
OG0002828	NEMVE01026	YEAST00227, YEAST00963
