Orthogroup	NEMVE	HUMAN
OG0000627	NEMVE06184	HUMAN09736, HUMAN05647, HUMAN05648, HUMAN15261, HUMAN15260, HUMAN21321
OG0000628	NEMVE01732	HUMAN00812, HUMAN29648
OG0000628	NEMVE14770, NEMVE01487	HUMAN19013, HUMAN19012, HUMAN25575, HUMAN13689, HUMAN13690
OG0000634	NEMVE11198, NEMVE11196, NEMVE09232	HUMAN19294
OG0000636	NEMVE13522	HUMAN22182, HUMAN24046, HUMAN03669, HUMAN24047
OG0000637	NEMVE11757	HUMAN29494
OG0000637	NEMVE22914	HUMAN13558
OG0000639	NEMVE13335	HUMAN09533, HUMAN09532, HUMAN14008, HUMAN14006
OG0000639	NEMVE13125, NEMVE04888	HUMAN11331, HUMAN27984, HUMAN18874
OG0000642	NEMVE06951	HUMAN22651
OG0000643	NEMVE06808	HUMAN15348, HUMAN16800
OG0000643	NEMVE10252	HUMAN07323, HUMAN26427
OG0000644	NEMVE16752, NEMVE18367, NEMVE09302, NEMVE23922, NEMVE18366	HUMAN22116, HUMAN17148, HUMAN17149
OG0000645	NEMVE09157	HUMAN10998
OG0000645	NEMVE23952	HUMAN28596, HUMAN09882
OG0000646	NEMVE08138	HUMAN00330, HUMAN00331, HUMAN27168, HUMAN27166, HUMAN21940, HUMAN26714, HUMAN26713, HUMAN26712
OG0000646	NEMVE10645	HUMAN08137, HUMAN15251, HUMAN20778
OG0000647	NEMVE14504, NEMVE21056	HUMAN18655, HUMAN03823
OG0000648	NEMVE15084	HUMAN24454, HUMAN24452
OG0000648	NEMVE22274	HUMAN30639, HUMAN30638, HUMAN30677, HUMAN30667, HUMAN24455, HUMAN11456
OG0000649	NEMVE05779	HUMAN25984
OG0000650	NEMVE00579, NEMVE08484	HUMAN18217, HUMAN06708, HUMAN20675, HUMAN29107, HUMAN26004, HUMAN26007, HUMAN18218, HUMAN17225
OG0000650	NEMVE16607	HUMAN29108
OG0000651	NEMVE14632	HUMAN06591, HUMAN26012, HUMAN21917, HUMAN06593
OG0000653	NEMVE19074	HUMAN08397, HUMAN08396, HUMAN14284
OG0000653	NEMVE18279	HUMAN12926, HUMAN26558, HUMAN26556
OG0000653	NEMVE23026	HUMAN14283, HUMAN01134, HUMAN08393, HUMAN08395, HUMAN04740, HUMAN02676, HUMAN15855, HUMAN29035, HUMAN01203
OG0000654	NEMVE01760	HUMAN06312
OG0000654	NEMVE10112	HUMAN06311, HUMAN02928, HUMAN12517, HUMAN12516, HUMAN17734
OG0000657	NEMVE12346, NEMVE25351, NEMVE21856	HUMAN28804, HUMAN09580
OG0000660	NEMVE09574	HUMAN17951
OG0000660	NEMVE22331	HUMAN29765, HUMAN20002, HUMAN12473
OG0000662	NEMVE13299, NEMVE13159	HUMAN07575, HUMAN24055
OG0000662	NEMVE01041	HUMAN20160, HUMAN13608, HUMAN20161, HUMAN20159
OG0000663	NEMVE12167	HUMAN16610
OG0000664	NEMVE05215	HUMAN29786, HUMAN06961, HUMAN02401
OG0000664	NEMVE23867	HUMAN18076, HUMAN26530
OG0000665	NEMVE13408, NEMVE06240	HUMAN09548, HUMAN28609, HUMAN01767, HUMAN01766, HUMAN17334, HUMAN28606, HUMAN28736
OG0000670	NEMVE22694	HUMAN11951, HUMAN30284, HUMAN07897, HUMAN21594, HUMAN21596, HUMAN02100, HUMAN21597, HUMAN21595
OG0000672	NEMVE12239	HUMAN21925, HUMAN11935
OG0000672	NEMVE22511	HUMAN13493
OG0000674	NEMVE08889	HUMAN09924, HUMAN01613
OG0000674	NEMVE21073, NEMVE10599	HUMAN06161, HUMAN04193, HUMAN04194
OG0000676	NEMVE24025	HUMAN28075, HUMAN19050, HUMAN28076
OG0000676	NEMVE10858, NEMVE20237, NEMVE10856	HUMAN18527, HUMAN30341, HUMAN07788
OG0000678	NEMVE13917, NEMVE20139	HUMAN12984, HUMAN10229, HUMAN20207
OG0000680	NEMVE06900, NEMVE06887, NEMVE25832	HUMAN06270
OG0000681	NEMVE03851	HUMAN22874, HUMAN22875, HUMAN30330, HUMAN07593
OG0000681	NEMVE04836	HUMAN02332, HUMAN04346, HUMAN04345, HUMAN04347
OG0000682	NEMVE17718, NEMVE16780, NEMVE07021	HUMAN17110, HUMAN03634, HUMAN22132
OG0000683	NEMVE21952	HUMAN29566
OG0000683	NEMVE09341	HUMAN01198
OG0000684	NEMVE15727, NEMVE25884, NEMVE05474	HUMAN11585, HUMAN11583, HUMAN13719, HUMAN11584
OG0000685	NEMVE02060	HUMAN15987, HUMAN05078, HUMAN05077, HUMAN05080, HUMAN02355, HUMAN06870
OG0000685	NEMVE15319	HUMAN06871
OG0000690	NEMVE04578	HUMAN00660, HUMAN25490
OG0000690	NEMVE25619	HUMAN30038
OG0000690	NEMVE08336	HUMAN23985
OG0000691	NEMVE15878	HUMAN27973, HUMAN11217
OG0000691	NEMVE22438	HUMAN27972, HUMAN11215
OG0000691	NEMVE12723	HUMAN16622, HUMAN00463, HUMAN24570, HUMAN18866
OG0000692	NEMVE10690, NEMVE10687, NEMVE25957	HUMAN11735
OG0000693	NEMVE08217, NEMVE08755	HUMAN00433, HUMAN11745
OG0000693	NEMVE20668, NEMVE09217	HUMAN29182, HUMAN29183
OG0000694	NEMVE18564	HUMAN02728, HUMAN02501, HUMAN17273
OG0000696	NEMVE01737	HUMAN25700
OG0000696	NEMVE05214, NEMVE05168, NEMVE16042	HUMAN02408
OG0000697	NEMVE14547	HUMAN26804, HUMAN26803, HUMAN01360, HUMAN29864, HUMAN29865, HUMAN21104, HUMAN21106
OG0000698	NEMVE22163, NEMVE01912, NEMVE22218	HUMAN02486, HUMAN02485
OG0000699	NEMVE13812, NEMVE21875, NEMVE05953	HUMAN05215, HUMAN29998, HUMAN29994, HUMAN29993, HUMAN29997, HUMAN26731, HUMAN26730
OG0000699	NEMVE06767, NEMVE22384, NEMVE24758	HUMAN18295, HUMAN05213, HUMAN05214
OG0000700	NEMVE20231, NEMVE20652	HUMAN01382, HUMAN06079, HUMAN03881, HUMAN16330, HUMAN16329
OG0000701	NEMVE21835	HUMAN24288, HUMAN03226, HUMAN03225, HUMAN17194, HUMAN26260, HUMAN26261
OG0000702	NEMVE17196	HUMAN14229, HUMAN13986, HUMAN09541
OG0000703	NEMVE15172	HUMAN24282, HUMAN22696, HUMAN22695, HUMAN22697
OG0000706	NEMVE06133, NEMVE16186	HUMAN02403, HUMAN02402
OG0000708	NEMVE25462	HUMAN01283
OG0000708	NEMVE24967	HUMAN06223, HUMAN30508, HUMAN30507
OG0000709	NEMVE22208	HUMAN04953, HUMAN25132
OG0000710	NEMVE10055	HUMAN23146, HUMAN11225, HUMAN17439, HUMAN17440, HUMAN00560, HUMAN00561
OG0000711	NEMVE22699	HUMAN07022, HUMAN04234, HUMAN06823, HUMAN03946
OG0000713	NEMVE17891, NEMVE22671, NEMVE16279	HUMAN11950
OG0000715	NEMVE23095	HUMAN20619
OG0000715	NEMVE04746	HUMAN17781, HUMAN06635, HUMAN06633, HUMAN20618, HUMAN20620
OG0000716	NEMVE01624	HUMAN29657, HUMAN29658, HUMAN25164
OG0000717	NEMVE21831	HUMAN02063, HUMAN29172, HUMAN24856, HUMAN15098, HUMAN02062
OG0000718	NEMVE14726, NEMVE25058	HUMAN01467, HUMAN15637, HUMAN01962, HUMAN01963, HUMAN15306, HUMAN07484
OG0000720	NEMVE07453	HUMAN23733, HUMAN09669, HUMAN09667
OG0000721	NEMVE22360	HUMAN19959
OG0000721	NEMVE25732	HUMAN29978, HUMAN05451, HUMAN25792
OG0000722	NEMVE02310	HUMAN09223, HUMAN02691, HUMAN04759, HUMAN04418, HUMAN27014
OG0000723	NEMVE02161, NEMVE02153	HUMAN21074, HUMAN10317, HUMAN10400, HUMAN10399
OG0000724	NEMVE05669	HUMAN25095, HUMAN09359, HUMAN09361
OG0000725	NEMVE13886	HUMAN01233
OG0000725	NEMVE15404, NEMVE03108	HUMAN06087, HUMAN06085, HUMAN06086, HUMAN04133
OG0000726	NEMVE24264	HUMAN03025, HUMAN03026, HUMAN03027, HUMAN03023, HUMAN03018, HUMAN03024, HUMAN03021, HUMAN18123, HUMAN18124, HUMAN06404
OG0000730	NEMVE15279	HUMAN06577, HUMAN17989
OG0000731	NEMVE14724	HUMAN22042, HUMAN22043, HUMAN30245, HUMAN07638, HUMAN26695, HUMAN26696
OG0000732	NEMVE16239	HUMAN30214, HUMAN18534, HUMAN18537, HUMAN18535, HUMAN18536
OG0000732	NEMVE22346	HUMAN14638, HUMAN14637, HUMAN14636, HUMAN01096
OG0000733	NEMVE13174	HUMAN08500, HUMAN04842, HUMAN02482
OG0000733	NEMVE00072	HUMAN08921, HUMAN08918, HUMAN25076
OG0000734	NEMVE19740	HUMAN29415, HUMAN29414, HUMAN01343, HUMAN01342
OG0000735	NEMVE14467	HUMAN25549, HUMAN25550, HUMAN18959, HUMAN28130, HUMAN28133
OG0000737	NEMVE10658	HUMAN03705, HUMAN17101, HUMAN17102
OG0000740	NEMVE01913	HUMAN18572, HUMAN28388
OG0000743	NEMVE10602, NEMVE15509, NEMVE05453	HUMAN10614, HUMAN16281, HUMAN13445
OG0000744	NEMVE09152	HUMAN00289, HUMAN00292, HUMAN00290, HUMAN00281, HUMAN07979, HUMAN27970, HUMAN18870
OG0000745	NEMVE09518, NEMVE18143	HUMAN16914, HUMAN16913, HUMAN16912
OG0000746	NEMVE08669	HUMAN06050
OG0000748	NEMVE13110	HUMAN12918, HUMAN12919
OG0000749	NEMVE13534	HUMAN25082, HUMAN04939, HUMAN04940, HUMAN04938, HUMAN08964, HUMAN08965, HUMAN08966, HUMAN08963, HUMAN15786
OG0000750	NEMVE05904, NEMVE11347	HUMAN08524, HUMAN20901, HUMAN20902
OG0000750	NEMVE04853, NEMVE04866, NEMVE22873	HUMAN24690, HUMAN24689, HUMAN24092
OG0000750	NEMVE08658	HUMAN24093
OG0000751	NEMVE06350	HUMAN26069, HUMAN21913
OG0000751	NEMVE22234, NEMVE26010	HUMAN29824, HUMAN14197, HUMAN14196, HUMAN14195
OG0000752	NEMVE14796, NEMVE20340	HUMAN29677, HUMAN29676, HUMAN29675
OG0000752	NEMVE15527	HUMAN00918, HUMAN14778
OG0000753	NEMVE09279, NEMVE20008	HUMAN09485
OG0000753	NEMVE09763	HUMAN02007, HUMAN05622, HUMAN05621
OG0000755	NEMVE04854	HUMAN08181, HUMAN24591
OG0000756	NEMVE17524	HUMAN24074
OG0000757	NEMVE25201	HUMAN10800
OG0000757	NEMVE05970	HUMAN18080
OG0000758	NEMVE19854	HUMAN28239
OG0000759	NEMVE07096	HUMAN17791, HUMAN17793
OG0000759	NEMVE07127, NEMVE15354	HUMAN17790, HUMAN17794, HUMAN27300, HUMAN27301, HUMAN17543
OG0000761	NEMVE07056	HUMAN29145, HUMAN14464, HUMAN02283
OG0000762	NEMVE08946	HUMAN06537, HUMAN17947, HUMAN17946, HUMAN26153
OG0000764	NEMVE08398, NEMVE01257	HUMAN01181
OG0000765	NEMVE15020	HUMAN01542, HUMAN07243
OG0000766	NEMVE13890	HUMAN01845, HUMAN01843, HUMAN14280, HUMAN23727
OG0000767	NEMVE21839	HUMAN09350, HUMAN18691, HUMAN18692
OG0000768	NEMVE24837, NEMVE20124	HUMAN02829, HUMAN02830, HUMAN21054, HUMAN21055
OG0000772	NEMVE14663, NEMVE13205	HUMAN28705, HUMAN28706, HUMAN28704
OG0000774	NEMVE18724	HUMAN01303
OG0000774	NEMVE06617	HUMAN01304, HUMAN25353
OG0000774	NEMVE14955, NEMVE01618	HUMAN29842
OG0000775	NEMVE13607, NEMVE14906	HUMAN25468, HUMAN07094
OG0000776	NEMVE25221, NEMVE11470, NEMVE23261	HUMAN22855, HUMAN23098, HUMAN29543, HUMAN30264
OG0000777	NEMVE05532	HUMAN13332
OG0000777	NEMVE21910, NEMVE15143	HUMAN13333
OG0000778	NEMVE13753	HUMAN18394, HUMAN18393, HUMAN11998, HUMAN00345, HUMAN00344, HUMAN00118, HUMAN21684, HUMAN00117
OG0000779	NEMVE24334	HUMAN29418
OG0000779	NEMVE02313	HUMAN19017, HUMAN25627, HUMAN25628, HUMAN25626, HUMAN27878
OG0000780	NEMVE09488	HUMAN08674
OG0000780	NEMVE05870	HUMAN12283, HUMAN12282
OG0000781	NEMVE23221, NEMVE21745, NEMVE06147, NEMVE10644	HUMAN25364
OG0000782	NEMVE10772	HUMAN13919, HUMAN01526, HUMAN09694
OG0000784	NEMVE16267	HUMAN18358, HUMAN24114, HUMAN21806, HUMAN07657, HUMAN19259
OG0000787	NEMVE12098	HUMAN24287, HUMAN27681, HUMAN24285, HUMAN03250, HUMAN22686, HUMAN24286
OG0000788	NEMVE01862	HUMAN04411, HUMAN04410, HUMAN27018
OG0000788	NEMVE24569	HUMAN28674, HUMAN01749, HUMAN14357
OG0000791	NEMVE13487	HUMAN27291, HUMAN27292, HUMAN06332, HUMAN18232
OG0000792	NEMVE08948	HUMAN26127
OG0000793	NEMVE19406	HUMAN01813, HUMAN23530, HUMAN23529, HUMAN09808, HUMAN09807, HUMAN09806, HUMAN14239, HUMAN09819, HUMAN09820
OG0000794	NEMVE13875	HUMAN05033, HUMAN05029
OG0000795	NEMVE18602	HUMAN30438, HUMAN30437, HUMAN30436
OG0000797	NEMVE07332, NEMVE20914	HUMAN23752, HUMAN23754, HUMAN23003, HUMAN23004
OG0000798	NEMVE05537	HUMAN12996, HUMAN10260
OG0000799	NEMVE24041	HUMAN03572, HUMAN03573, HUMAN24207, HUMAN24208, HUMAN24205, HUMAN22273, HUMAN22272, HUMAN22274, HUMAN17345, HUMAN17346, HUMAN24206
OG0000802	NEMVE11136, NEMVE06054	HUMAN01155, HUMAN01153, HUMAN01154, HUMAN14855, HUMAN01190, HUMAN01189, HUMAN14331, HUMAN14330, HUMAN15853, HUMAN15854, HUMAN08400, HUMAN08401, HUMAN23294
OG0000803	NEMVE22189	HUMAN04198, HUMAN06177
OG0000805	NEMVE08735	HUMAN29084, HUMAN29083, HUMAN24786, HUMAN24785, HUMAN02138, HUMAN21807
OG0000809	NEMVE08335, NEMVE12321	HUMAN15029
OG0000810	NEMVE18390	HUMAN00991, HUMAN00992
OG0000810	NEMVE02291	HUMAN21423, HUMAN20624, HUMAN20625
OG0000811	NEMVE21518	HUMAN20401, HUMAN20400
OG0000813	NEMVE25754, NEMVE22200, NEMVE24635	HUMAN03259, HUMAN22179
OG0000814	NEMVE06776, NEMVE16660	HUMAN09482, HUMAN26312
OG0000815	NEMVE13499	HUMAN17849, HUMAN02971
OG0000816	NEMVE14127, NEMVE00812	HUMAN15774, HUMAN04902, HUMAN17010, HUMAN15773, HUMAN22732, HUMAN03583
OG0000817	NEMVE14686	HUMAN13385, HUMAN06596
OG0000817	NEMVE01689, NEMVE21825	HUMAN03169
OG0000817	NEMVE14311	HUMAN27263
OG0000818	NEMVE25555	HUMAN20109
OG0000818	NEMVE08706	HUMAN25966, HUMAN13463, HUMAN15929, HUMAN15930, HUMAN15928
OG0000819	NEMVE14350	HUMAN04360
OG0000819	NEMVE07543, NEMVE14834	HUMAN12285, HUMAN12284
OG0000820	NEMVE08902	HUMAN12563, HUMAN26046, HUMAN26049, HUMAN26047, HUMAN17877, HUMAN06271, HUMAN06272
OG0000822	NEMVE07227	HUMAN06077, HUMAN06076, HUMAN06089, HUMAN06088
OG0000824	NEMVE05752	HUMAN12192, HUMAN12199
OG0000825	NEMVE07795, NEMVE11350	HUMAN17393, HUMAN24372
OG0000825	NEMVE06157, NEMVE15274, NEMVE01111, NEMVE19057	HUMAN06887
OG0000826	NEMVE01532, NEMVE25209	HUMAN18961
OG0000827	NEMVE06012	HUMAN28623
OG0000828	NEMVE13102, NEMVE13594	HUMAN09906, HUMAN09908, HUMAN09907, HUMAN23682, HUMAN23683
OG0000828	NEMVE15094	HUMAN07354
OG0000829	NEMVE08791	HUMAN09769, HUMAN09770, HUMAN23704, HUMAN03517, HUMAN27574, HUMAN17189
OG0000832	NEMVE01204, NEMVE18227, NEMVE20901, NEMVE16417, NEMVE04715	HUMAN08917, HUMAN08744, HUMAN08745, HUMAN01034
OG0000833	NEMVE18727	HUMAN14526, HUMAN14694, HUMAN28569, HUMAN00981, HUMAN14527
OG0000834	NEMVE05965	HUMAN12572
OG0000835	NEMVE10452	HUMAN25456
OG0000835	NEMVE08598, NEMVE20600	HUMAN04187, HUMAN19692, HUMAN19697
OG0000836	NEMVE01499	HUMAN09550
OG0000837	NEMVE25541	HUMAN25283, HUMAN19289
OG0000838	NEMVE09615, NEMVE02207, NEMVE03582, NEMVE04654, NEMVE17040	HUMAN01404, HUMAN07009
OG0000841	NEMVE05492	HUMAN11209, HUMAN11208, HUMAN28390, HUMAN28389, HUMAN25529
OG0000842	NEMVE20517, NEMVE23509, NEMVE25014, NEMVE03321, NEMVE17616, NEMVE24628, NEMVE17617	HUMAN11438, HUMAN28733, HUMAN28739, HUMAN28726, HUMAN17591, HUMAN12703, HUMAN27200
OG0000844	NEMVE07470, NEMVE07462	HUMAN00341, HUMAN00340, HUMAN00339, HUMAN21889, HUMAN21890, HUMAN27161, HUMAN27162
OG0000845	NEMVE19954, NEMVE05692	HUMAN05320
OG0000847	NEMVE07778	HUMAN12189
OG0000847	NEMVE08888	HUMAN19801, HUMAN10864
OG0000848	NEMVE21784	HUMAN07569, HUMAN22921, HUMAN23842
OG0000848	NEMVE13752	HUMAN09682, HUMAN13934
OG0000849	NEMVE14809	HUMAN01370, HUMAN01371, HUMAN01454, HUMAN04171
OG0000850	NEMVE15099	HUMAN00998
OG0000850	NEMVE19061	HUMAN03431
OG0000850	NEMVE21917	HUMAN03430
OG0000851	NEMVE23273	HUMAN17389, HUMAN22898
OG0000852	NEMVE25782	HUMAN01598
OG0000852	NEMVE07789	HUMAN18978, HUMAN18977, HUMAN13869
OG0000853	NEMVE23651	HUMAN08276, HUMAN15868
OG0000856	NEMVE05473, NEMVE14626, NEMVE21694	HUMAN05022, HUMAN05021, HUMAN05020, HUMAN01381, HUMAN01373, HUMAN01375, HUMAN01376, HUMAN01377, HUMAN01378, HUMAN01380, HUMAN01374, HUMAN01379
OG0000857	NEMVE18201	HUMAN15999, HUMAN24948, HUMAN05809, HUMAN04190
OG0000858	NEMVE13289	HUMAN27046, HUMAN27045
OG0000858	NEMVE05877	HUMAN19566, HUMAN05690
OG0000859	NEMVE19193, NEMVE00437	HUMAN01835, HUMAN09993, HUMAN23491, HUMAN14489
OG0000860	NEMVE23955, NEMVE13259	HUMAN14477, HUMAN29300, HUMAN01277
OG0000861	NEMVE21201, NEMVE01293, NEMVE09770, NEMVE15469, NEMVE06681, NEMVE09391	HUMAN28119, HUMAN28117
OG0000863	NEMVE07030, NEMVE18750, NEMVE13303, NEMVE13302, NEMVE13474, NEMVE06880	HUMAN25393
OG0000866	NEMVE20292, NEMVE18737, NEMVE19120, NEMVE19080, NEMVE20220, NEMVE19768	HUMAN26002
OG0000868	NEMVE25015, NEMVE26025	HUMAN23128
OG0000869	NEMVE07859	HUMAN00016
OG0000869	NEMVE23299	HUMAN23280
OG0000870	NEMVE02461, NEMVE01574	HUMAN13265
OG0000871	NEMVE16871	HUMAN30324
OG0000871	NEMVE14071	HUMAN03633
OG0000872	NEMVE14190	HUMAN05052, HUMAN05051
OG0000873	NEMVE10811	HUMAN09518
OG0000874	NEMVE13256	HUMAN22955, HUMAN04088
OG0000874	NEMVE13222, NEMVE18182, NEMVE17061, NEMVE18841, NEMVE13223, NEMVE01986, NEMVE02990, NEMVE11626	HUMAN20636
OG0000875	NEMVE12865, NEMVE19619	HUMAN28345
OG0000875	NEMVE14079	HUMAN18108
OG0000876	NEMVE02940, NEMVE11949	HUMAN02798
OG0000877	NEMVE16415	HUMAN20047
OG0000878	NEMVE02420	HUMAN04661, HUMAN04660, HUMAN26944, HUMAN26167
OG0000879	NEMVE13129	HUMAN06283, HUMAN21911
OG0000880	NEMVE13288	HUMAN21143, HUMAN21144, HUMAN25036, HUMAN26847
OG0000880	NEMVE15899	HUMAN25037
OG0000881	NEMVE13265	HUMAN24746
OG0000881	NEMVE14845	HUMAN12291
OG0000882	NEMVE02007	HUMAN25185, HUMAN24492, HUMAN24494, HUMAN24493, HUMAN19192, HUMAN25186, HUMAN00713
OG0000887	NEMVE10146	HUMAN19125, HUMAN02796
OG0000888	NEMVE10813	HUMAN01523, HUMAN14144
OG0000888	NEMVE11848	HUMAN17235
OG0000889	NEMVE22565	HUMAN16803
OG0000889	NEMVE14419	HUMAN04560, HUMAN10862, HUMAN13087, HUMAN19799, HUMAN19800
OG0000890	NEMVE06371, NEMVE00333, NEMVE16346	HUMAN16690, HUMAN19479, HUMAN19478
OG0000893	NEMVE20101, NEMVE02240, NEMVE02067, NEMVE02075	HUMAN20939, HUMAN20942, HUMAN26905, HUMAN26904, HUMAN20941
OG0000894	NEMVE23274	HUMAN22934
OG0000894	NEMVE14617	HUMAN20156, HUMAN25909
OG0000896	NEMVE21907	HUMAN05088, HUMAN05089
OG0000896	NEMVE10977	HUMAN02560, HUMAN04868
OG0000897	NEMVE06224, NEMVE12475	HUMAN20369
OG0000897	NEMVE14979	HUMAN01428
OG0000898	NEMVE14546, NEMVE21727	HUMAN01291, HUMAN01290, HUMAN01289
OG0000899	NEMVE18761	HUMAN05148, HUMAN05147, HUMAN22308, HUMAN23989
OG0000904	NEMVE08753	HUMAN03047, HUMAN24362, HUMAN30132, HUMAN03200
OG0000906	NEMVE15755	HUMAN24852, HUMAN29427
OG0000907	NEMVE00986	HUMAN01311
OG0000909	NEMVE10272	HUMAN25146, HUMAN25145, HUMAN19496, HUMAN00496
OG0000911	NEMVE24020	HUMAN12682, HUMAN12683, HUMAN06653, HUMAN18001, HUMAN18002
OG0000912	NEMVE23980	HUMAN17095, HUMAN17096, HUMAN03635, HUMAN03636, HUMAN24298, HUMAN22119
OG0000912	NEMVE23705	HUMAN11740
OG0000913	NEMVE23286, NEMVE05585, NEMVE00499, NEMVE04717	HUMAN24104, HUMAN24103, HUMAN24106, HUMAN05337
OG0000914	NEMVE08606	HUMAN24959, HUMAN26794, HUMAN30514, HUMAN26792, HUMAN26791, HUMAN30512, HUMAN24958, HUMAN30513, HUMAN26793, HUMAN26790
OG0000915	NEMVE05638	HUMAN30522, HUMAN20445, HUMAN01514, HUMAN01508, HUMAN02420, HUMAN06732
OG0000916	NEMVE00760, NEMVE23155, NEMVE15635	HUMAN01193, HUMAN01192, HUMAN01191
OG0000921	NEMVE04805	HUMAN17556, HUMAN17558, HUMAN17557, HUMAN17559
OG0000921	NEMVE19737, NEMVE09442	HUMAN02198
OG0000925	NEMVE21937, NEMVE05629, NEMVE00068	HUMAN23362, HUMAN23363, HUMAN23364
OG0000925	NEMVE22442, NEMVE00338	HUMAN30631, HUMAN29752
OG0000926	NEMVE13598, NEMVE10833	HUMAN25003
OG0000926	NEMVE13988	HUMAN23202
OG0000928	NEMVE08415, NEMVE20627	HUMAN14950, HUMAN14947, HUMAN14948, HUMAN09734
OG0000929	NEMVE10278	HUMAN07498, HUMAN07497, HUMAN25465, HUMAN00572
OG0000930	NEMVE06499, NEMVE09880, NEMVE16667, NEMVE11111	HUMAN24832, HUMAN24833, HUMAN24830, HUMAN24828, HUMAN24829
OG0000931	NEMVE13552	HUMAN18621
OG0000932	NEMVE15050, NEMVE02393	HUMAN26746
OG0000933	NEMVE25450, NEMVE09603	HUMAN18787, HUMAN04834, HUMAN08387
OG0000933	NEMVE12353	HUMAN18788
OG0000934	NEMVE09369	HUMAN07465, HUMAN25721, HUMAN25723
OG0000934	NEMVE07036	HUMAN24974, HUMAN06158
OG0000935	NEMVE24478, NEMVE06639	HUMAN14530, HUMAN10106, HUMAN01617, HUMAN01618, HUMAN06391, HUMAN06392, HUMAN06390, HUMAN17822
OG0000936	NEMVE05234, NEMVE18875, NEMVE23076, NEMVE15700, NEMVE23217, NEMVE18236, NEMVE04950, NEMVE18876	HUMAN20877, HUMAN20876
OG0000943	NEMVE15785, NEMVE08924	HUMAN04649, HUMAN07383
OG0000944	NEMVE07708	HUMAN07470, HUMAN27468, HUMAN30061
OG0000945	NEMVE22316, NEMVE22428	HUMAN07967, HUMAN07969, HUMAN07968, HUMAN07970, HUMAN11233, HUMAN23148
OG0000946	NEMVE11477	HUMAN04147, HUMAN02309, HUMAN07074
OG0000946	NEMVE07731	HUMAN03947, HUMAN07023
OG0000947	NEMVE04758	HUMAN17713, HUMAN20687
OG0000947	NEMVE07474	HUMAN20621
OG0000949	NEMVE24705, NEMVE16573, NEMVE25704, NEMVE24321	HUMAN29456, HUMAN24815, HUMAN30599, HUMAN19495, HUMAN00495, HUMAN25148, HUMAN25147
OG0000950	NEMVE08112	HUMAN13056, HUMAN13055, HUMAN07390
OG0000951	NEMVE21998	HUMAN01583, HUMAN09204
OG0000952	NEMVE04659	HUMAN23779, HUMAN22570
OG0000952	NEMVE02164	HUMAN24186, HUMAN22573, HUMAN22572
OG0000953	NEMVE12932	HUMAN23240, HUMAN28290, HUMAN28289, HUMAN00190
OG0000954	NEMVE06460	HUMAN18210, HUMAN18209
OG0000954	NEMVE05247, NEMVE12295	HUMAN10206, HUMAN10205, HUMAN10272
OG0000955	NEMVE14901	HUMAN28653
OG0000955	NEMVE06008	HUMAN09438
OG0000955	NEMVE08350	HUMAN22849
OG0000957	NEMVE00980	HUMAN14647, HUMAN29143, HUMAN14343, HUMAN23229, HUMAN29142
OG0000958	NEMVE24805, NEMVE17902	HUMAN28882, HUMAN05775, HUMAN05774
OG0000960	NEMVE02244	HUMAN11354, HUMAN28219, HUMAN28220
OG0000963	NEMVE06216	HUMAN14179, HUMAN14180, HUMAN14181, HUMAN14182
OG0000963	NEMVE03242	HUMAN23351, HUMAN01011
OG0000965	NEMVE10501	HUMAN22507
OG0000965	NEMVE02072	HUMAN08123
OG0000966	NEMVE06417	HUMAN12399, HUMAN12400, HUMAN07294, HUMAN07293
OG0000967	NEMVE05572	HUMAN07448, HUMAN07447, HUMAN19350
OG0000967	NEMVE11722, NEMVE10506	HUMAN03396, HUMAN03397
OG0000968	NEMVE14701	HUMAN06994, HUMAN04278
OG0000968	NEMVE10433	HUMAN12426, HUMAN19951
OG0000969	NEMVE14628	HUMAN26507
OG0000970	NEMVE08789	HUMAN19711, HUMAN30698
OG0000971	NEMVE04769, NEMVE03462, NEMVE04763, NEMVE04779, NEMVE02124, NEMVE04808, NEMVE04754, NEMVE04770	HUMAN17931
OG0000972	NEMVE04609, NEMVE00954	HUMAN19914, HUMAN05358, HUMAN07389
OG0000972	NEMVE10082	HUMAN27539
OG0000973	NEMVE17915	HUMAN24825
OG0000974	NEMVE13444	HUMAN24126
OG0000976	NEMVE06490, NEMVE05744	HUMAN17462
OG0000978	NEMVE25212	HUMAN23161, HUMAN19104, HUMAN11274, HUMAN09230
OG0000979	NEMVE17920, NEMVE04790, NEMVE16326	HUMAN03626, HUMAN03625
OG0000981	NEMVE22521	HUMAN23534, HUMAN23535
OG0000982	NEMVE07619, NEMVE11958	HUMAN14333, HUMAN01637, HUMAN28757
OG0000984	NEMVE21717	HUMAN23607
OG0000985	NEMVE09786, NEMVE11913	HUMAN17532, HUMAN03584, HUMAN03585, HUMAN27498, HUMAN27502, HUMAN23895
OG0000987	NEMVE05580	HUMAN02812, HUMAN02813, HUMAN06286, HUMAN19599
OG0000988	NEMVE15851, NEMVE11568, NEMVE19955, NEMVE23928, NEMVE06782	HUMAN29197, HUMAN29196, HUMAN29296, HUMAN29297, HUMAN02183
OG0000992	NEMVE11620	HUMAN13425, HUMAN05365
OG0000992	NEMVE04858	HUMAN25362, HUMAN00479, HUMAN00478
OG0000993	NEMVE12763	HUMAN18155
OG0000994	NEMVE24464	HUMAN25360
