Orthogroup	HUMAN	DROME
OG0000844	HUMAN00341, HUMAN00340, HUMAN00339, HUMAN21889, HUMAN21890, HUMAN27161, HUMAN27162	DROME14407, DROME14403, DROME14406, DROME14408, DROME14404, DROME14409
OG0000847	HUMAN12189	DROME16726
OG0000847	HUMAN19801, HUMAN10864	DROME03898, DROME03895, DROME03896, DROME03897
OG0000848	HUMAN07569, HUMAN22921, HUMAN23842	DROME00579, DROME00580
OG0000848	HUMAN09682, HUMAN13934	DROME19683
OG0000849	HUMAN01370, HUMAN01371, HUMAN01454, HUMAN04171	DROME20644, DROME20643, DROME20641, DROME20642, DROME20640, DROME20638, DROME20637, DROME20639
OG0000850	HUMAN00998, HUMAN03431	DROME12440, DROME20308
OG0000850	HUMAN03430	DROME12322
OG0000851	HUMAN17389, HUMAN22898	DROME20685, DROME20686
OG0000852	HUMAN01598	DROME03192, DROME03193, DROME03191
OG0000852	HUMAN18978, HUMAN18977, HUMAN13869	DROME08938, DROME08937
OG0000855	HUMAN12462	DROME19819, DROME20290, DROME16140, DROME01127, DROME11147, DROME22053, DROME22054, DROME22052, DROME20174, DROME16331
OG0000857	HUMAN15999, HUMAN24948, HUMAN05809, HUMAN04190	DROME20946, DROME20950, DROME20948, DROME20947, DROME20949, DROME20951
OG0000858	HUMAN19566, HUMAN05690	DROME07517, DROME07518
OG0000859	HUMAN01835, HUMAN09993, HUMAN23491, HUMAN14489	DROME03370, DROME03371
OG0000860	HUMAN14477, HUMAN29300, HUMAN01277	DROME09397, DROME09396, DROME09404, DROME09403, DROME09399, DROME09402, DROME09401, DROME09400, DROME09405, DROME09398
OG0000869	HUMAN23280	DROME06391
OG0000870	HUMAN13265	DROME20283
OG0000871	HUMAN30324	DROME14585
OG0000871	HUMAN03633	DROME03028
OG0000872	HUMAN05052, HUMAN05051, HUMAN16344, HUMAN20384	DROME09696, DROME09697, DROME09695
OG0000874	HUMAN22955, HUMAN04088, HUMAN20636	DROME04338
OG0000875	HUMAN28345	DROME01940, DROME01939
OG0000875	HUMAN18108	DROME06587
OG0000876	HUMAN02798	DROME08528, DROME08526, DROME08524, DROME08527, DROME08525
OG0000878	HUMAN04661, HUMAN04660, HUMAN26944, HUMAN26167	DROME07549
OG0000879	HUMAN21910, HUMAN11932, HUMAN22026, HUMAN22025, HUMAN11931, HUMAN11933, HUMAN06283, HUMAN21911	DROME00001, DROME21621, DROME11009
OG0000880	HUMAN21143, HUMAN21144, HUMAN25036, HUMAN26847	DROME13991, DROME13992
OG0000881	HUMAN24746	DROME06288, DROME06289
OG0000881	HUMAN12291	DROME20749, DROME20746, DROME20750, DROME20748, DROME20747, DROME20751, DROME20752, DROME20753
OG0000882	HUMAN24492	DROME12593, DROME12592, DROME12589, DROME12588, DROME12591, DROME12590
OG0000888	HUMAN01523, HUMAN14144	DROME13818
OG0000888	HUMAN17235	DROME15657
OG0000889	HUMAN16803	DROME20531, DROME20532
OG0000889	HUMAN04560, HUMAN10862, HUMAN13087, HUMAN19799, HUMAN19800	DROME20008
OG0000894	HUMAN22934	DROME01898, DROME01895, DROME01896, DROME01894, DROME01897
OG0000894	HUMAN20156, HUMAN25909	DROME08778, DROME08777
OG0000896	HUMAN02560	DROME07637, DROME07636
OG0000897	HUMAN20369	DROME09205, DROME09206
OG0000897	HUMAN20370	DROME05934, DROME06642
OG0000904	HUMAN03047, HUMAN24362, HUMAN30132, HUMAN03200, HUMAN22497, HUMAN22498	DROME14411, DROME14410
OG0000906	HUMAN24852, HUMAN29427	DROME09411
OG0000907	HUMAN01311, HUMAN28917, HUMAN28918, HUMAN28916	DROME01472, DROME01473, DROME01474, DROME01471
OG0000908	HUMAN03690, HUMAN27510	DROME05842, DROME05841
OG0000908	HUMAN03117	DROME15683
OG0000909	HUMAN25146, HUMAN25145, HUMAN19496, HUMAN00496	DROME21889, DROME21890, DROME21873, DROME21876, DROME21877, DROME21875
OG0000911	HUMAN06653, HUMAN18001, HUMAN18002	DROME15954, DROME15951, DROME15953, DROME15956, DROME15955, DROME15952, DROME15957
OG0000913	HUMAN24104, HUMAN24103, HUMAN24106, HUMAN05337	DROME01636, DROME01633, DROME01634, DROME01635, DROME10634, DROME10638, DROME10637, DROME10636, DROME10635, DROME10633, DROME05629, DROME10407, DROME10406, DROME08899, DROME10631, DROME10640, DROME10639, DROME21277, DROME21276, DROME21275
OG0000914	HUMAN24959, HUMAN26794	DROME20954
OG0000914	HUMAN30514, HUMAN26792, HUMAN26791, HUMAN30512, HUMAN24958, HUMAN30513, HUMAN26793, HUMAN26790	DROME06233, DROME06234, DROME06235
OG0000921	HUMAN02905	DROME09822, DROME10234, DROME09821, DROME09823
OG0000921	HUMAN17556, HUMAN17558, HUMAN17557, HUMAN17559	DROME01540
OG0000921	HUMAN02198	DROME21958
OG0000923	HUMAN17831	DROME19914
OG0000923	HUMAN06654, HUMAN17698	DROME04554, DROME04553
OG0000925	HUMAN23362, HUMAN23363, HUMAN23364	DROME02761
OG0000925	HUMAN30631, HUMAN29752	DROME13733, DROME13734
OG0000926	HUMAN25003	DROME13962, DROME13964, DROME13963, DROME13961
OG0000927	HUMAN21812, HUMAN30637, HUMAN30636, HUMAN29567, HUMAN30015, HUMAN11917, HUMAN21813	DROME15912, DROME15911, DROME13544, DROME01290
OG0000929	HUMAN07498, HUMAN07497, HUMAN25465, HUMAN00572	DROME02144, DROME02147, DROME02145, DROME02146, DROME02148, DROME02143
OG0000931	HUMAN18621	DROME06107, DROME06103, DROME06106, DROME06105, DROME06104
OG0000933	HUMAN18787, HUMAN04834, HUMAN08387, HUMAN18788	DROME00363
OG0000934	HUMAN07465, HUMAN25721, HUMAN25723	DROME18021
OG0000934	HUMAN24974, HUMAN06158	DROME12197, DROME12198
OG0000935	HUMAN14530, HUMAN10106, HUMAN01617, HUMAN01618, HUMAN06391, HUMAN06392, HUMAN06390, HUMAN17822	DROME19387
OG0000944	HUMAN07470, HUMAN27468, HUMAN30061	DROME05002, DROME05004, DROME05003, DROME05001, DROME05005, DROME04999, DROME05000
OG0000945	HUMAN07967, HUMAN07969, HUMAN07968, HUMAN07970, HUMAN11233, HUMAN23148	DROME11635, DROME10522
OG0000946	HUMAN03947, HUMAN07023	DROME18472, DROME18473, DROME18474, DROME18476
OG0000947	HUMAN17713, HUMAN20687	DROME14910, DROME14909
OG0000949	HUMAN29456, HUMAN24815, HUMAN30599, HUMAN19495, HUMAN00495, HUMAN25148, HUMAN25147	DROME20631
OG0000950	HUMAN13056, HUMAN13055, HUMAN07390	DROME15080, DROME15081, DROME15075, DROME15077, DROME15078, DROME15076, DROME15082, DROME15083, DROME15079
OG0000952	HUMAN22571	DROME18132
OG0000953	HUMAN23240, HUMAN28290, HUMAN28289, HUMAN00190	DROME12838, DROME10330
OG0000954	HUMAN10206, HUMAN10205, HUMAN10272	DROME12405, DROME12406, DROME12407
OG0000955	HUMAN28653	DROME04991, DROME04992, DROME04993, DROME04990
OG0000955	HUMAN09439	DROME09197
OG0000955	HUMAN09438	DROME02414
OG0000957	HUMAN14647, HUMAN29143, HUMAN14343, HUMAN23229, HUMAN29142	DROME11550, DROME11548, DROME11549
OG0000958	HUMAN28882, HUMAN05775, HUMAN05774	DROME14600, DROME14604, DROME14602, DROME14603, DROME14601, DROME14605, DROME10611, DROME10609, DROME10610, DROME10608, DROME12027
OG0000960	HUMAN11354, HUMAN28219, HUMAN28220	DROME04151, DROME04150, DROME04154, DROME04153, DROME04158, DROME04156, DROME04161, DROME04149, DROME04152, DROME04155, DROME04157, DROME04160, DROME04159
OG0000963	HUMAN14179, HUMAN14180, HUMAN14181, HUMAN14182, HUMAN23351, HUMAN01011	DROME09182, DROME09184, DROME09183, DROME07082
OG0000964	HUMAN15564, HUMAN15563	DROME14012
OG0000965	HUMAN22507	DROME10303
OG0000965	HUMAN08123	DROME10622
OG0000967	HUMAN03396, HUMAN03397	DROME01950, DROME01951, DROME01952
OG0000968	HUMAN12426, HUMAN19951	DROME19457
OG0000969	HUMAN26507	DROME17496
OG0000972	HUMAN19914, HUMAN05358, HUMAN07389	DROME02149, DROME02155, DROME02156
OG0000972	HUMAN27539	DROME12808, DROME12809
OG0000974	HUMAN24126	DROME20587, DROME20537, DROME20538
OG0000978	HUMAN23161, HUMAN19104, HUMAN11274, HUMAN09230	DROME08128, DROME08129, DROME08130, DROME08127, DROME08125, DROME08126
OG0000979	HUMAN03626, HUMAN03625	DROME10162, DROME10163, DROME10160, DROME10161, DROME10164
OG0000984	HUMAN23607, HUMAN02268, HUMAN02267	DROME12019, DROME07638
OG0000985	HUMAN17532, HUMAN03584, HUMAN03585, HUMAN27498, HUMAN27502, HUMAN23895, HUMAN27499, HUMAN17533	DROME16403, DROME16400, DROME16401, DROME16404, DROME16402
OG0000986	HUMAN17228	DROME00031, DROME00030, DROME00032
OG0000987	HUMAN02812, HUMAN02813, HUMAN06286, HUMAN19599	DROME05032, DROME05034, DROME05033, DROME05035, DROME05036
OG0000988	HUMAN29197, HUMAN29196, HUMAN29296, HUMAN29297, HUMAN02183	DROME19158
OG0000992	HUMAN25363, HUMAN13425, HUMAN05365, HUMAN00480, HUMAN25362, HUMAN00479, HUMAN00478	DROME02382, DROME02383
OG0000994	HUMAN25360	DROME20689
OG0000994	HUMAN17151, HUMAN17152	DROME05396
OG0000997	HUMAN03989	DROME00173
OG0000997	HUMAN03987, HUMAN03986, HUMAN03990, HUMAN03988	DROME00174
OG0000999	HUMAN16037, HUMAN05058, HUMAN20396	DROME05157, DROME05156
OG0001000	HUMAN29732, HUMAN30113, HUMAN25791, HUMAN00567	DROME14938, DROME14943, DROME14945, DROME14944, DROME14942, DROME14939, DROME14940, DROME14941
OG0001001	HUMAN11958	DROME01963, DROME01964, DROME01966, DROME01965
OG0001003	HUMAN07373, HUMAN07372, HUMAN12090	DROME20428, DROME20429
OG0001004	HUMAN14314, HUMAN28506, HUMAN01082, HUMAN14803, HUMAN14804	DROME18265, DROME18264
OG0001005	HUMAN21015	DROME16898
OG0001006	HUMAN10719	DROME12303
OG0001008	HUMAN02324, HUMAN06853, HUMAN06852, HUMAN04267	DROME03430, DROME03431, DROME03434, DROME03433, DROME03432, DROME03436, DROME03435, DROME03437, DROME03438
OG0001013	HUMAN06060, HUMAN06061, HUMAN10491, HUMAN15925, HUMAN13289	DROME18675, DROME18672, DROME18676, DROME18674, DROME18673
OG0001015	HUMAN20176, HUMAN20174, HUMAN26299, HUMAN26298, HUMAN25884, HUMAN25885, HUMAN25882	DROME02246, DROME04125
OG0001016	HUMAN03017	DROME03793
OG0001016	HUMAN27202	DROME04453
OG0001017	HUMAN06335	DROME18747, DROME18746
OG0001017	HUMAN27297	DROME08120, DROME08121
OG0001018	HUMAN19498	DROME08789
OG0001018	HUMAN08887	DROME19524
OG0001019	HUMAN28394, HUMAN11824, HUMAN18576	DROME18178
OG0001022	HUMAN26689, HUMAN07618, HUMAN30205, HUMAN30207, HUMAN30206	DROME02393, DROME02395, DROME02392, DROME02397, DROME02396, DROME02398, DROME02391, DROME02394, DROME02390
OG0001023	HUMAN05807, HUMAN04131, HUMAN24949, HUMAN15956, HUMAN05808	DROME07472, DROME07471
OG0001024	HUMAN26241, HUMAN26240, HUMAN22736, HUMAN22737, HUMAN23893, HUMAN03150, HUMAN26239	DROME14925
OG0001027	HUMAN29295, HUMAN06083	DROME20791, DROME20790, DROME20789, DROME21920, DROME21919
OG0001028	HUMAN14304, HUMAN09715, HUMAN09716, HUMAN28814, HUMAN28812	DROME17206, DROME17210, DROME17209, DROME17205, DROME17207, DROME17208
OG0001029	HUMAN11011, HUMAN08233	DROME08324
OG0001030	HUMAN09016, HUMAN18699	DROME15420, DROME15421, DROME15419
OG0001031	HUMAN03538	DROME02372
OG0001032	HUMAN01331, HUMAN14460, HUMAN14458, HUMAN14461, HUMAN14454, HUMAN29217, HUMAN14453, HUMAN29218, HUMAN29214, HUMAN29215, HUMAN29216	DROME10930, DROME10931, DROME10932
OG0001033	HUMAN22499, HUMAN17164	DROME16359
OG0001033	HUMAN00952, HUMAN28581, HUMAN14253	DROME01958
OG0001034	HUMAN12490, HUMAN02962	DROME18698, DROME18697, DROME18692, DROME18699, DROME18696, DROME18690, DROME18691, DROME18695, DROME18700, DROME18694, DROME18693
OG0001036	HUMAN19198, HUMAN24555, HUMAN24554	DROME21959
OG0001037	HUMAN29275, HUMAN29274, HUMAN01227	DROME07145, DROME07148, DROME07147, DROME07146
OG0001038	HUMAN03489, HUMAN22265, HUMAN22267, HUMAN24196, HUMAN03488	DROME06346, DROME06343, DROME06345, DROME06344
OG0001039	HUMAN19739, HUMAN19738, HUMAN19737	DROME19717, DROME19715, DROME19716, DROME12713
OG0001042	HUMAN29925, HUMAN20525, HUMAN05764	DROME12465, DROME12464, DROME12463, DROME12462
OG0001046	HUMAN10290, HUMAN10289, HUMAN10288, HUMAN20197, HUMAN20196, HUMAN20198, HUMAN20195, HUMAN15923, HUMAN15922, HUMAN13448	DROME05889
OG0001049	HUMAN21566, HUMAN00206	DROME15991
OG0001050	HUMAN25173, HUMAN10022, HUMAN01869	DROME09499, DROME09500
OG0001052	HUMAN03137, HUMAN03136	DROME00663, DROME00661, DROME00662
OG0001052	HUMAN22593	DROME01922
OG0001053	HUMAN12525, HUMAN26150, HUMAN06551, HUMAN17942, HUMAN23827, HUMAN22798, HUMAN03229	DROME11830
OG0001058	HUMAN01956, HUMAN05750	DROME00756, DROME00761, DROME00757, DROME00759, DROME00758, DROME00755, DROME00762, DROME00760, DROME00763
OG0001060	HUMAN20265	DROME06478, DROME01930
OG0001062	HUMAN14494, HUMAN01209, HUMAN01211	DROME12175, DROME12172
OG0001063	HUMAN16934, HUMAN16936, HUMAN16935	DROME16034, DROME16033
OG0001065	HUMAN09272, HUMAN02537	DROME13255
OG0001066	HUMAN01431, HUMAN20904, HUMAN20903, HUMAN01429	DROME06399
OG0001072	HUMAN07095	DROME08170
OG0001073	HUMAN23983, HUMAN30107, HUMAN07711	DROME03543, DROME03544, DROME03542
OG0001075	HUMAN24569, HUMAN16597, HUMAN16596	DROME05007, DROME05008
OG0001076	HUMAN22388, HUMAN07537, HUMAN07536, HUMAN22387	DROME10433, DROME10436, DROME10429, DROME10434, DROME10430, DROME10435, DROME10431, DROME10432
OG0001077	HUMAN02958	DROME13463, DROME13462
OG0001077	HUMAN26035	DROME14374
OG0001078	HUMAN20283, HUMAN24929, HUMAN04434	DROME16039, DROME16040
OG0001079	HUMAN01422, HUMAN26876, HUMAN29846, HUMAN29847	DROME12134, DROME12135, DROME12136
OG0001080	HUMAN15213	DROME21548, DROME21547
OG0001081	HUMAN15960	DROME00421, DROME00420, DROME00419, DROME02998, DROME02997
OG0001082	HUMAN18213, HUMAN06409, HUMAN06410	DROME16087, DROME16088, DROME16090, DROME16089
OG0001083	HUMAN03184, HUMAN03185, HUMAN23866, HUMAN23865, HUMAN27528, HUMAN27527, HUMAN17258, HUMAN17257	DROME07895, DROME07890, DROME07893, DROME07892, DROME07896, DROME07887, DROME07888, DROME07889, DROME07891, DROME07885, DROME07886, DROME07894
OG0001084	HUMAN26028	DROME15262, DROME15263
OG0001085	HUMAN21139, HUMAN29849, HUMAN26851, HUMAN26850, HUMAN25039	DROME18407, DROME18408, DROME18409
OG0001086	HUMAN08606, HUMAN08605	DROME20573
OG0001089	HUMAN05584, HUMAN21288, HUMAN21287	DROME21284, DROME21282, DROME21280, DROME21281, DROME21283
OG0001091	HUMAN17874, HUMAN17873, HUMAN12948, HUMAN26589, HUMAN26587, HUMAN26588, HUMAN17872, HUMAN12947, HUMAN12946, HUMAN12945	DROME08376, DROME08378, DROME08377
OG0001092	HUMAN07557, HUMAN22940	DROME19209, DROME19207, DROME19204, DROME19205, DROME19206, DROME19208, DROME19203
OG0001093	HUMAN26567, HUMAN12954	DROME09012, DROME09005, DROME09009, DROME09004, DROME09007, DROME09010, DROME09011, DROME09006, DROME09008
OG0001094	HUMAN18720, HUMAN08291, HUMAN04909	DROME08185, DROME21556
OG0001101	HUMAN05769	DROME01099
OG0001102	HUMAN18703	DROME11539
OG0001102	HUMAN04710, HUMAN18704, HUMAN04709	DROME20883
OG0001104	HUMAN09442	DROME04004
OG0001105	HUMAN18846	DROME22092, DROME02326
OG0001108	HUMAN06470	DROME12857, DROME12858, DROME12856, DROME12855
OG0001108	HUMAN26420	DROME21101, DROME21100, DROME21098, DROME21099, DROME21102, DROME18011
OG0001109	HUMAN13295, HUMAN13298, HUMAN22148	DROME00590, DROME00591, DROME00592, DROME00589, DROME19273, DROME19275, DROME19274
OG0001111	HUMAN08205, HUMAN08204	DROME01145
OG0001111	HUMAN23671, HUMAN19715	DROME15662
OG0001112	HUMAN30342, HUMAN07785, HUMAN07783, HUMAN18526	DROME13039, DROME13038, DROME13037, DROME13036
OG0001113	HUMAN20232	DROME18531, DROME18532
OG0001113	HUMAN21591	DROME05388
OG0001113	HUMAN13568, HUMAN13567, HUMAN13565, HUMAN13566	DROME01680
OG0001114	HUMAN09738, HUMAN09739, HUMAN01816	DROME00496, DROME16340, DROME16339
OG0001118	HUMAN04168, HUMAN20385	DROME14402, DROME14401
OG0001119	HUMAN25212	DROME17259, DROME17271, DROME17273, DROME17270, DROME17257, DROME17260, DROME17272, DROME17265, DROME17267, DROME17258, DROME17266, DROME17262, DROME17261, DROME17268, DROME17263, DROME17264, DROME17269
OG0001121	HUMAN25819, HUMAN25818, HUMAN25820, HUMAN25821, HUMAN19588	DROME11643, DROME11644, DROME11645, DROME11642
OG0001124	HUMAN13636	DROME13810
OG0001126	HUMAN11886, HUMAN21463, HUMAN11885, HUMAN11887, HUMAN11884	DROME07144
OG0001127	HUMAN18103, HUMAN03016	DROME21295, DROME21293, DROME21294, DROME21292
OG0001128	HUMAN08898, HUMAN08899, HUMAN15801, HUMAN15800, HUMAN02562, HUMAN02561	DROME07099, DROME07102, DROME07101, DROME07098, DROME07100
OG0001129	HUMAN11361, HUMAN28007	DROME06610
OG0001130	HUMAN23634	DROME08159
OG0001131	HUMAN17000, HUMAN08891, HUMAN08890, HUMAN08889	DROME00544
OG0001132	HUMAN28769	DROME12585, DROME12584, DROME12583, DROME12582
OG0001133	HUMAN23355	DROME02832
OG0001135	HUMAN12999, HUMAN12998, HUMAN10157, HUMAN10262, HUMAN10159, HUMAN10160, HUMAN10158, HUMAN10261	DROME18153, DROME18152
OG0001136	HUMAN14242, HUMAN23717, HUMAN09626, HUMAN09622	DROME15241, DROME15244, DROME15239, DROME15245, DROME15243, DROME15240, DROME15238, DROME15242, DROME15236, DROME15237
OG0001137	HUMAN15474	DROME07212, DROME07220, DROME07223, DROME07218, DROME07213, DROME07221, DROME07215, DROME07214, DROME07216, DROME07226, DROME07219, DROME07222, DROME07224, DROME07227, DROME07229, DROME07217, DROME07228, DROME07225
OG0001138	HUMAN06608, HUMAN27335, HUMAN21562	DROME16831, DROME16832, DROME16830, DROME16829
OG0001139	HUMAN29573, HUMAN24969, HUMAN20297, HUMAN20298, HUMAN03896	DROME11285, DROME11284, DROME20784
OG0001140	HUMAN28111, HUMAN00689, HUMAN16613	DROME04492, DROME04491
OG0001141	HUMAN28829	DROME07353, DROME07352, DROME07355, DROME07354, DROME07356
OG0001142	HUMAN04836, HUMAN04835	DROME15460, DROME15458, DROME15459
OG0001143	HUMAN26902, HUMAN09500, HUMAN09501, HUMAN28929, HUMAN01633	DROME17973, DROME17969, DROME17968, DROME17972, DROME17970, DROME17971, DROME17975, DROME17976, DROME17974, DROME17978, DROME17977
OG0001144	HUMAN06501, HUMAN06503, HUMAN17895, HUMAN06504, HUMAN26116	DROME08380
OG0001148	HUMAN20750	DROME04431, DROME04432
OG0001149	HUMAN24814, HUMAN01215	DROME20514
OG0001156	HUMAN06276, HUMAN06274, HUMAN12764, HUMAN26033, HUMAN18478, HUMAN18476	DROME20509, DROME20508, DROME20507, DROME20506, DROME20511, DROME20510
OG0001158	HUMAN19221, HUMAN13723, HUMAN13724	DROME08138, DROME08137
OG0001159	HUMAN16647, HUMAN28079, HUMAN28078	DROME00658
OG0001160	HUMAN07003, HUMAN07004, HUMAN01405	DROME05833, DROME05832, DROME05835, DROME05834
OG0001162	HUMAN05494, HUMAN05495, HUMAN05496, HUMAN05497, HUMAN19367	DROME19105, DROME19103, DROME19101, DROME19104, DROME19102, DROME19106, DROME19107
OG0001163	HUMAN03540, HUMAN22604, HUMAN22605	DROME10630, DROME14555, DROME14557, DROME14693, DROME17901, DROME17899
OG0001164	HUMAN20034, HUMAN20033	DROME08761, DROME08760, DROME08762, DROME08763, DROME08759
OG0001165	HUMAN25194, HUMAN25193, HUMAN25195, HUMAN29763	DROME20938, DROME07288
OG0001167	HUMAN08882, HUMAN08883, HUMAN17001	DROME17311
OG0001168	HUMAN26184, HUMAN26183, HUMAN19115, HUMAN19116, HUMAN11218	DROME02336
OG0001172	HUMAN03030, HUMAN18130	DROME12074, DROME12075
OG0001173	HUMAN01792	DROME08477, DROME08476, DROME08478, DROME08741
OG0001173	HUMAN01793	DROME11068
OG0001174	HUMAN20367, HUMAN20467, HUMAN20469, HUMAN20468, HUMAN20465	DROME01257, DROME01258
OG0001175	HUMAN27761, HUMAN17515	DROME10674
OG0001177	HUMAN13792, HUMAN13793, HUMAN13794, HUMAN26270	DROME01933, DROME01934, DROME21906
OG0001178	HUMAN30630, HUMAN29750	DROME18168, DROME18169, DROME18170, DROME18167
OG0001180	HUMAN22452	DROME01245, DROME01246
OG0001184	HUMAN24892, HUMAN24891	DROME03279
OG0001184	HUMAN04448, HUMAN04447	DROME17805
OG0001185	HUMAN25682, HUMAN25681	DROME09235, DROME09236, DROME09242, DROME09234, DROME09239, DROME09241, DROME09240, DROME09237, DROME09238
OG0001186	HUMAN13742	DROME11811, DROME11812
OG0001186	HUMAN11615	DROME18932
OG0001188	HUMAN04837, HUMAN15459, HUMAN08381, HUMAN16878	DROME07119, DROME07117, DROME07120, DROME07116, DROME07118
OG0001190	HUMAN27353, HUMAN00374	DROME21340, DROME21342, DROME21339, DROME21341
OG0001191	HUMAN27560, HUMAN03181, HUMAN23867	DROME15546, DROME15547, DROME15549, DROME15548
OG0001196	HUMAN15281	DROME19139
OG0001197	HUMAN04807	DROME14364
OG0001197	HUMAN26126, HUMAN17925	DROME07563
OG0001201	HUMAN19000, HUMAN28333	DROME20824, DROME20825, DROME20823, DROME20822
OG0001203	HUMAN16859, HUMAN04776, HUMAN04775, HUMAN08382, HUMAN16858	DROME16841
OG0001204	HUMAN07266, HUMAN13045	DROME15252
OG0001205	HUMAN22954	DROME09818, DROME09817
OG0001208	HUMAN17864, HUMAN26576	DROME21826, DROME21829, DROME21823, DROME21824, DROME21830, DROME21827, DROME21819, DROME21821, DROME21825, DROME21822, DROME21820, DROME21828, DROME21813, DROME21818, DROME21814, DROME21817, DROME21815, DROME21816
OG0001209	HUMAN27649, HUMAN27648	DROME03307
OG0001210	HUMAN18754	DROME01292
OG0001210	HUMAN21606	DROME21654, DROME21653
OG0001211	HUMAN17696, HUMAN17695, HUMAN12935	DROME14817, DROME14816, DROME14814, DROME14815
OG0001212	HUMAN22840	DROME03019, DROME03020, DROME03017, DROME03018, DROME03022, DROME03021
OG0001213	HUMAN03742	DROME12028
OG0001213	HUMAN07278, HUMAN07279	DROME15857
OG0001214	HUMAN02956, HUMAN02957, HUMAN06746, HUMAN06745, HUMAN06748, HUMAN06749	DROME14229, DROME14228, DROME14227, DROME14223, DROME14224, DROME14225, DROME14226
OG0001215	HUMAN26208, HUMAN26209, HUMAN17597, HUMAN06423	DROME05613, DROME05611, DROME05612
OG0001216	HUMAN05988, HUMAN05987, HUMAN11890	DROME20096, DROME20097, DROME20095, DROME15498
OG0001217	HUMAN29664, HUMAN25763	DROME06701
OG0001218	HUMAN05862, HUMAN00140, HUMAN11965	DROME12211, DROME12213, DROME12212
OG0001219	HUMAN18053, HUMAN24346, HUMAN01814, HUMAN09792, HUMAN09790	DROME17625, DROME17624, DROME17623, DROME17626, DROME17619, DROME17620, DROME17618, DROME17621, DROME17622, DROME17627, DROME17628
OG0001220	HUMAN07348, HUMAN14183	DROME02744, DROME20493, DROME20492
OG0001221	HUMAN08173, HUMAN08174, HUMAN08177, HUMAN08176, HUMAN08178, HUMAN08175, HUMAN08179, HUMAN08180	DROME09514
OG0001223	HUMAN27843, HUMAN11032, HUMAN07991, HUMAN19019, HUMAN11033	DROME08781, DROME08780
OG0001225	HUMAN09188, HUMAN28761, HUMAN14334	DROME13797, DROME13796, DROME13795, DROME13790, DROME13789, DROME13791, DROME13793, DROME13792, DROME13788, DROME13794
OG0001226	HUMAN19536, HUMAN30088, HUMAN25307	DROME09885, DROME09884, DROME09883, DROME09882
OG0001227	HUMAN20885, HUMAN00710, HUMAN07454, HUMAN30017	DROME17416, DROME17415, DROME17418, DROME17417, DROME17419
OG0001231	HUMAN08474, HUMAN08473, HUMAN16911	DROME17241, DROME17722, DROME17723, DROME17725, DROME17724
OG0001232	HUMAN10318	DROME01876, DROME01877, DROME01878
OG0001234	HUMAN13874, HUMAN11222	DROME10228, DROME10226, DROME10225, DROME10229, DROME10230, DROME10227, DROME10232, DROME10231
OG0001236	HUMAN15304, HUMAN05859	DROME06609, DROME04424, DROME20964
OG0001237	HUMAN10071, HUMAN01580, HUMAN23506	DROME17018, DROME17017, DROME15311, DROME20284, DROME14186, DROME18581, DROME19481
OG0001238	HUMAN09752, HUMAN24272	DROME21058
OG0001238	HUMAN20738, HUMAN12789, HUMAN06408	DROME14293, DROME05136, DROME05137, DROME05138, DROME14291, DROME14292
OG0001239	HUMAN21103, HUMAN26890, HUMAN21102	DROME18412, DROME18411, DROME18415, DROME18413, DROME18414
OG0001241	HUMAN18832, HUMAN18831	DROME02596
OG0001241	HUMAN07799	DROME03537
OG0001243	HUMAN27651, HUMAN27653, HUMAN27652, HUMAN27650, HUMAN09639	DROME15537, DROME15539, DROME15534, DROME15540, DROME15538, DROME15536, DROME15535
OG0001245	HUMAN22661, HUMAN23851, HUMAN22660, HUMAN03158, HUMAN03156, HUMAN03157	DROME06795
OG0001247	HUMAN27059, HUMAN20519, HUMAN29792, HUMAN27060	DROME18852
OG0001248	HUMAN18428, HUMAN27270, HUMAN27268	DROME02625, DROME02624, DROME02623
OG0001249	HUMAN14397, HUMAN05364, HUMAN05363, HUMAN28497, HUMAN00860, HUMAN14396	DROME05745, DROME05744, DROME04456, DROME04455
OG0001250	HUMAN13009, HUMAN20055, HUMAN20056, HUMAN20057, HUMAN12131	DROME10391, DROME10390, DROME10392
OG0001251	HUMAN11600, HUMAN08159, HUMAN08158	DROME04532
OG0001253	HUMAN20377, HUMAN24966, HUMAN20379, HUMAN24965	DROME16727, DROME02601
OG0001254	HUMAN23637, HUMAN09380	DROME22031, DROME22029, DROME22030, DROME22035, DROME22032, DROME22034, DROME22036, DROME22038, DROME22037, DROME22033
OG0001255	HUMAN28258, HUMAN25482, HUMAN01216, HUMAN19038, HUMAN19039, HUMAN25595, HUMAN28179	DROME11892
OG0001256	HUMAN25828	DROME16302, DROME16304, DROME16303, DROME16300, DROME16301
OG0001261	HUMAN22947, HUMAN04078, HUMAN04079	DROME00542, DROME00543, DROME00540, DROME00541
OG0001262	HUMAN29428, HUMAN24853	DROME20437
OG0001263	HUMAN12942	DROME01386, DROME01387
OG0001264	HUMAN28020, HUMAN18861, HUMAN18860, HUMAN11601, HUMAN28023	DROME08249, DROME08250, DROME08248
OG0001266	HUMAN13676, HUMAN13675, HUMAN18946	DROME19377
OG0001267	HUMAN26403, HUMAN07336, HUMAN07335, HUMAN04653, HUMAN27474, HUMAN27478	DROME13068
OG0001268	HUMAN29785, HUMAN29783	DROME04920, DROME04921
OG0001270	HUMAN10267, HUMAN10268, HUMAN10266	DROME12379
