Orthogroup	HUMAN	MOUSE
OG0000374	HUMAN22685	MOUSE31694
OG0000374	HUMAN06431, HUMAN06430	MOUSE14767
OG0000374	HUMAN17757	MOUSE26220
OG0000375	HUMAN10694	MOUSE46135
OG0000375	HUMAN10742	MOUSE46200
OG0000375	HUMAN10275	MOUSE16985
OG0000375	HUMAN12054	MOUSE03908
OG0000375	HUMAN12057	MOUSE03905
OG0000375	HUMAN22225	MOUSE36106, MOUSE36105, MOUSE36104
OG0000375	HUMAN25491	MOUSE00473
OG0000377	HUMAN21744	MOUSE29992, MOUSE29991
OG0000378	HUMAN00762	MOUSE33886
OG0000378	HUMAN25391	MOUSE32153
OG0000378	HUMAN17445	MOUSE21992
OG0000378	HUMAN30089	MOUSE54764
OG0000378	HUMAN05631, HUMAN05632	MOUSE50906, MOUSE50905
OG0000378	HUMAN02081	MOUSE24152, MOUSE24147, MOUSE24153, MOUSE24148, MOUSE24157, MOUSE24150, MOUSE24156, MOUSE24151, MOUSE24149
OG0000378	HUMAN15642	MOUSE43064
OG0000378	HUMAN15643	MOUSE43066, MOUSE43061, MOUSE43068, MOUSE43062, MOUSE43065, MOUSE43063
OG0000378	HUMAN15646	MOUSE24154, MOUSE43069
OG0000379	HUMAN11868	MOUSE04352
OG0000379	HUMAN10494	MOUSE15062, MOUSE15063
OG0000379	HUMAN12062	MOUSE03903
OG0000379	HUMAN30691, HUMAN17335	MOUSE17074
OG0000379	HUMAN00722	MOUSE33956
OG0000379	HUMAN00721	MOUSE33955
OG0000380	HUMAN22952, HUMAN24062	MOUSE30109
OG0000380	HUMAN28346	MOUSE13837
OG0000380	HUMAN22662	MOUSE39986
OG0000380	HUMAN05376	MOUSE50110
OG0000380	HUMAN28299	MOUSE13767
OG0000380	HUMAN04882	MOUSE20196
OG0000380	HUMAN18649	MOUSE27917
OG0000382	HUMAN02456	MOUSE24840, MOUSE24839
OG0000382	HUMAN06950	MOUSE01978
OG0000382	HUMAN26823	MOUSE06877, MOUSE06876
OG0000382	HUMAN20891	MOUSE52801
OG0000384	HUMAN22826	MOUSE31413, MOUSE31414
OG0000384	HUMAN17917	MOUSE26514, MOUSE26513
OG0000385	HUMAN17828	MOUSE26354, MOUSE26353
OG0000385	HUMAN26509	MOUSE35288, MOUSE35289
OG0000385	HUMAN26510	MOUSE35284, MOUSE35286
OG0000385	HUMAN26041	MOUSE08532
OG0000386	HUMAN23124	MOUSE48104
OG0000386	HUMAN05335	MOUSE50199
OG0000386	HUMAN30459	MOUSE54194
OG0000389	HUMAN05183	MOUSE45224, MOUSE45222
OG0000389	HUMAN23760	MOUSE03530, MOUSE03531
OG0000389	HUMAN03279	MOUSE00739, MOUSE00738, MOUSE00737
OG0000391	HUMAN03741	MOUSE46710, MOUSE46709
OG0000391	HUMAN12541, HUMAN12542	MOUSE05361
OG0000391	HUMAN06600	MOUSE02543, MOUSE02540, MOUSE02541
OG0000391	HUMAN26310	MOUSE02909, MOUSE02908, MOUSE02907, MOUSE02906
OG0000391	HUMAN18162	MOUSE22423, MOUSE22420, MOUSE22422, MOUSE22421, MOUSE22418, MOUSE22419
OG0000392	HUMAN23483	MOUSE10378, MOUSE10373, MOUSE10376, MOUSE10377, MOUSE10375
OG0000392	HUMAN23482	MOUSE10374
OG0000392	HUMAN14994	MOUSE48618, MOUSE48619
OG0000392	HUMAN01116	MOUSE33244, MOUSE33239, MOUSE33238, MOUSE33243, MOUSE33241
OG0000393	HUMAN07234	MOUSE37529, MOUSE37530, MOUSE37528, MOUSE41790
OG0000393	HUMAN27562	MOUSE12782
OG0000393	HUMAN13374	MOUSE06185
OG0000395	HUMAN19542	MOUSE16481
OG0000395	HUMAN05545	MOUSE51095
OG0000396	HUMAN09495	MOUSE51316
OG0000396	HUMAN29153	MOUSE26077
OG0000396	HUMAN02128	MOUSE24045
OG0000396	HUMAN29390	MOUSE25502, MOUSE25501, MOUSE25503
OG0000396	HUMAN01318	MOUSE31296
OG0000396	HUMAN01319	MOUSE31294, MOUSE31295
OG0000396	HUMAN14594	MOUSE50305, MOUSE50307
OG0000396	HUMAN14593	MOUSE50306
OG0000397	HUMAN22189	MOUSE35972, MOUSE35970
OG0000397	HUMAN03732	MOUSE46687
OG0000397	HUMAN27717	MOUSE47841
OG0000397	HUMAN17188	MOUSE40376, MOUSE40377, MOUSE40374, MOUSE40371, MOUSE40373, MOUSE40372
OG0000399	HUMAN08526	MOUSE07411, MOUSE07410, MOUSE07412, MOUSE07413, MOUSE07409
OG0000399	HUMAN16706	MOUSE06544
OG0000399	HUMAN01751	MOUSE30469
OG0000399	HUMAN09596	MOUSE51796
OG0000399	HUMAN14913	MOUSE48644
OG0000400	HUMAN25403	MOUSE32133, MOUSE32134
OG0000401	HUMAN12512	MOUSE05326, MOUSE05325
OG0000401	HUMAN02934	MOUSE25077, MOUSE25075, MOUSE25076
OG0000402	HUMAN26844	MOUSE39022
OG0000402	HUMAN27407	MOUSE48026
OG0000402	HUMAN03424	MOUSE20939
OG0000402	HUMAN19232	MOUSE29094
OG0000402	HUMAN08155	MOUSE12311
OG0000403	HUMAN05388	MOUSE50085, MOUSE50089, MOUSE50088, MOUSE50087
OG0000403	HUMAN05390	MOUSE50083
OG0000403	HUMAN19272, HUMAN19273	MOUSE29140
OG0000403	HUMAN16242, HUMAN30309	MOUSE53960
OG0000404	HUMAN28568	MOUSE33081
OG0000404	HUMAN00982	MOUSE33455
OG0000404	HUMAN28450	MOUSE20758, MOUSE20757
OG0000404	HUMAN28453	MOUSE20760
OG0000404	HUMAN28451	MOUSE20759
OG0000405	HUMAN01875	MOUSE30202, MOUSE30201, MOUSE30203, MOUSE30204
OG0000405	HUMAN10099	MOUSE44618, MOUSE44617, MOUSE44620, MOUSE44616
OG0000405	HUMAN23576	MOUSE10167, MOUSE10169, MOUSE10166, MOUSE10165, MOUSE10144, MOUSE10148, MOUSE10161, MOUSE10149
OG0000405	HUMAN23577	MOUSE10162
OG0000405	HUMAN15074, HUMAN15075	MOUSE44619
OG0000406	HUMAN06684	MOUSE02370
OG0000406	HUMAN06683	MOUSE02369
OG0000406	HUMAN12925	MOUSE05199
OG0000409	HUMAN12099	MOUSE03881
OG0000409	HUMAN07118	MOUSE37414, MOUSE37415, MOUSE37416, MOUSE37417
OG0000409	HUMAN11758	MOUSE04398
OG0000409	HUMAN11760	MOUSE04394, MOUSE04395, MOUSE04397, MOUSE04396
OG0000409	HUMAN27148	MOUSE39561, MOUSE39562
OG0000409	HUMAN27147	MOUSE39559, MOUSE39560
OG0000410	HUMAN15661	MOUSE43091, MOUSE43092
OG0000410	HUMAN24012	MOUSE19406
OG0000410	HUMAN22614	MOUSE36951
OG0000411	HUMAN00458	MOUSE34395, MOUSE34396
OG0000411	HUMAN25340	MOUSE52182, MOUSE52175, MOUSE52179, MOUSE52178, MOUSE52177, MOUSE52183, MOUSE34399, MOUSE52181
OG0000411	HUMAN22974	MOUSE30078, MOUSE30077, MOUSE30076
OG0000411	HUMAN03134	MOUSE20866, MOUSE20865
OG0000411	HUMAN03135	MOUSE20867, MOUSE20864
OG0000411	HUMAN23920	MOUSE19258
OG0000411	HUMAN22345	MOUSE36328, MOUSE36327
OG0000412	HUMAN01024	MOUSE33377, MOUSE33375
OG0000412	HUMAN03115	MOUSE11432
OG0000412	HUMAN29280	MOUSE25648, MOUSE25646
OG0000413	HUMAN15492	MOUSE55055
OG0000413	HUMAN09264	MOUSE27417
OG0000413	HUMAN18689	MOUSE28007
OG0000413	HUMAN15493	MOUSE43292
OG0000413	HUMAN22024	MOUSE15629
OG0000413	HUMAN05237	MOUSE45112
OG0000413	HUMAN30227	MOUSE55054, MOUSE55052, MOUSE55053, MOUSE55057, MOUSE55056, MOUSE45114, MOUSE45113
OG0000415	HUMAN20769	MOUSE53394, MOUSE53393, MOUSE53392
OG0000415	HUMAN08217	MOUSE12435
OG0000415	HUMAN24467, HUMAN24466	MOUSE09158
OG0000415	HUMAN18980	MOUSE28551, MOUSE28550
OG0000415	HUMAN18610	MOUSE27839
OG0000415	HUMAN18609	MOUSE27838
OG0000416	HUMAN01240, HUMAN01239	MOUSE31718, MOUSE31715, MOUSE31714, MOUSE31712, MOUSE37041, MOUSE37038, MOUSE37034
OG0000416	HUMAN01245	MOUSE31708, MOUSE31709, MOUSE31710
OG0000416	HUMAN01241, HUMAN01238, HUMAN01242	MOUSE31716, MOUSE31717
OG0000416	HUMAN01246	MOUSE37035, MOUSE37036, MOUSE37037, MOUSE37043, MOUSE37044, MOUSE37033, MOUSE37032, MOUSE37042, MOUSE37039, MOUSE37040
OG0000416	HUMAN01243, HUMAN01244	MOUSE31711, MOUSE31713
OG0000417	HUMAN02370	MOUSE23547
OG0000417	HUMAN20361	MOUSE14397
OG0000419	HUMAN03930	MOUSE47172
OG0000419	HUMAN03929	MOUSE47173
OG0000419	HUMAN16074	MOUSE43962
OG0000419	HUMAN02377	MOUSE23530
OG0000419	HUMAN04658, HUMAN04656, HUMAN04654, HUMAN04657, HUMAN04655, HUMAN04659	MOUSE20494
OG0000419	HUMAN02414	MOUSE23445, MOUSE23446
OG0000420	HUMAN07576	MOUSE29772, MOUSE29773, MOUSE29774, MOUSE29775
OG0000420	HUMAN23840	MOUSE09584, MOUSE09585
OG0000421	HUMAN15081	MOUSE48414
OG0000421	HUMAN15082	MOUSE48413
OG0000421	HUMAN23568	MOUSE10189
OG0000421	HUMAN10012	MOUSE44715, MOUSE44716
OG0000421	HUMAN10013	MOUSE44714
OG0000421	HUMAN01883	MOUSE30191
OG0000421	HUMAN10009	MOUSE44712
OG0000421	HUMAN01884	MOUSE30189, MOUSE30190
OG0000422	HUMAN00789	MOUSE33839, MOUSE33840
OG0000422	HUMAN16673	MOUSE06628, MOUSE06631, MOUSE06630, MOUSE06629
OG0000424	HUMAN03402	MOUSE20885, MOUSE20880, MOUSE20881, MOUSE20883, MOUSE20884, MOUSE20882, MOUSE20886, MOUSE20893, MOUSE20892
OG0000424	HUMAN03401	MOUSE20890, MOUSE20889
OG0000424	HUMAN03400	MOUSE20888
OG0000424	HUMAN03403	MOUSE20895
OG0000424	HUMAN03410	MOUSE20903
OG0000425	HUMAN15884	MOUSE42633, MOUSE42630, MOUSE42631
OG0000425	HUMAN15882, HUMAN15881	MOUSE42632, MOUSE42634
OG0000425	HUMAN17058	MOUSE02953
OG0000425	HUMAN09246	MOUSE27384, MOUSE27383
OG0000425	HUMAN19570	MOUSE17393
OG0000425	HUMAN05692	MOUSE50668
OG0000426	HUMAN24154	MOUSE03252, MOUSE03251
OG0000426	HUMAN24155	MOUSE03838
OG0000426	HUMAN20208	MOUSE42322, MOUSE03837, MOUSE14180, MOUSE42323
OG0000426	HUMAN12979	MOUSE05136
OG0000426	HUMAN16387	MOUSE42324, MOUSE42321
OG0000426	HUMAN12181	MOUSE03830, MOUSE03832, MOUSE03833, MOUSE03834, MOUSE03835, MOUSE03836, MOUSE03831
OG0000427	HUMAN04181	MOUSE45881, MOUSE45880, MOUSE45878, MOUSE45877
OG0000427	HUMAN00426	MOUSE34466, MOUSE34463, MOUSE34462, MOUSE34461, MOUSE34464
OG0000427	HUMAN21885	MOUSE15450, MOUSE15454, MOUSE15446, MOUSE15449, MOUSE15457, MOUSE15447, MOUSE15451, MOUSE15452, MOUSE15448
OG0000429	HUMAN21085	MOUSE10868, MOUSE10869
OG0000429	HUMAN13379	MOUSE06190, MOUSE06189, MOUSE06191
OG0000430	HUMAN15964	MOUSE44209, MOUSE10057, MOUSE44211
OG0000430	HUMAN29714	MOUSE53642, MOUSE53643, MOUSE53644, MOUSE53641, MOUSE53640
OG0000430	HUMAN23702	MOUSE19493
OG0000430	HUMAN04700	MOUSE20457
OG0000431	HUMAN10656	MOUSE46075, MOUSE46076, MOUSE46077
OG0000431	HUMAN22396	MOUSE36473, MOUSE36474, MOUSE36472
OG0000431	HUMAN05405	MOUSE50061
OG0000431	HUMAN05406	MOUSE50060
OG0000431	HUMAN21847	MOUSE29578, MOUSE29583, MOUSE29582, MOUSE29579, MOUSE09376
OG0000431	HUMAN07891, HUMAN07892	MOUSE47610, MOUSE47606, MOUSE47605, MOUSE47607, MOUSE29585, MOUSE29586, MOUSE29581, MOUSE29580, MOUSE47609
OG0000431	HUMAN07890	MOUSE47608
OG0000432	HUMAN05787, HUMAN05786	MOUSE41192, MOUSE41193
OG0000432	HUMAN21045	MOUSE11245, MOUSE11244, MOUSE11241
OG0000432	HUMAN26492	MOUSE35363, MOUSE35366, MOUSE35364, MOUSE35362, MOUSE35365, MOUSE35361
OG0000432	HUMAN20952	MOUSE52639, MOUSE52640, MOUSE52642, MOUSE52643, MOUSE52638, MOUSE52641
OG0000433	HUMAN13341	MOUSE06145, MOUSE06147
OG0000433	HUMAN12146	MOUSE03778, MOUSE03779
OG0000433	HUMAN13342	MOUSE06148, MOUSE06149, MOUSE06150, MOUSE06146, MOUSE06151
OG0000433	HUMAN25706	MOUSE00110, MOUSE00111, MOUSE00113
OG0000433	HUMAN25705	MOUSE00112
OG0000433	HUMAN21369	MOUSE15808, MOUSE15805, MOUSE15807, MOUSE15806, MOUSE15804
OG0000434	HUMAN24562	MOUSE09325, MOUSE09326, MOUSE09323, MOUSE09324, MOUSE09322, MOUSE09321
OG0000435	HUMAN27349	MOUSE11750
OG0000435	HUMAN08429	MOUSE11753, MOUSE11749, MOUSE11751, MOUSE11752
OG0000435	HUMAN13679	MOUSE18591, MOUSE18593, MOUSE18592, MOUSE18590, MOUSE18589, MOUSE18588, MOUSE18587, MOUSE18586
OG0000435	HUMAN00704	MOUSE33988, MOUSE33989
OG0000435	HUMAN27348	MOUSE47650, MOUSE47651, MOUSE47649
OG0000435	HUMAN18944	MOUSE28492, MOUSE28490, MOUSE28491
OG0000435	HUMAN18945	MOUSE28500, MOUSE28495, MOUSE28498, MOUSE28499
OG0000436	HUMAN17585	MOUSE23253, MOUSE23262, MOUSE23258, MOUSE23256, MOUSE23257, MOUSE23252, MOUSE23260, MOUSE23259, MOUSE23261, MOUSE23267, MOUSE23264, MOUSE23255, MOUSE23251, MOUSE23250
OG0000436	HUMAN20650	MOUSE53124, MOUSE53120, MOUSE53121, MOUSE53123
OG0000436	HUMAN20652	MOUSE23263, MOUSE53119, MOUSE53118, MOUSE53122
OG0000442	HUMAN21746	MOUSE29994, MOUSE29993
OG0000442	HUMAN07667	MOUSE12602
OG0000442	HUMAN21390	MOUSE15751
OG0000442	HUMAN00644	MOUSE34094, MOUSE34093, MOUSE34095
OG0000442	HUMAN26607	MOUSE38695
OG0000442	HUMAN13221	MOUSE05918, MOUSE18817, MOUSE05916
OG0000443	HUMAN29014	MOUSE32686, MOUSE32684
OG0000443	HUMAN17576	MOUSE23282
OG0000443	HUMAN17575	MOUSE23280, MOUSE23281
OG0000443	HUMAN23658	MOUSE19147
OG0000444	HUMAN06130, HUMAN06129	MOUSE41959, MOUSE41957, MOUSE41958
OG0000444	HUMAN02376, HUMAN02375, HUMAN02373	MOUSE23532
OG0000444	HUMAN02374	MOUSE23533
OG0000444	HUMAN05043	MOUSE19976, MOUSE19978, MOUSE19975
OG0000444	HUMAN20398	MOUSE14459, MOUSE14458, MOUSE14457
OG0000445	HUMAN25336, HUMAN25337	MOUSE52167
OG0000446	HUMAN27630	MOUSE12677
OG0000446	HUMAN01314	MOUSE31305, MOUSE31304
OG0000446	HUMAN04379	MOUSE27113, MOUSE27119, MOUSE27118, MOUSE27115, MOUSE27114
OG0000446	HUMAN00515	MOUSE34312
OG0000446	HUMAN28173	MOUSE13550
OG0000447	HUMAN22936	MOUSE48709, MOUSE48707, MOUSE48708
OG0000447	HUMAN29983	MOUSE54565, MOUSE54564
OG0000447	HUMAN05378	MOUSE50105
OG0000447	HUMAN24000	MOUSE19382, MOUSE19381, MOUSE19380
OG0000447	HUMAN24001	MOUSE19378
OG0000448	HUMAN07702	MOUSE12972, MOUSE12971
OG0000448	HUMAN07715	MOUSE12990, MOUSE12987, MOUSE12988, MOUSE12986, MOUSE12985
OG0000448	HUMAN30104, HUMAN30616	MOUSE54818, MOUSE54817, MOUSE54819, MOUSE54820, MOUSE54821
OG0000448	HUMAN23990	MOUSE19366, MOUSE19365
OG0000448	HUMAN22306	MOUSE36245, MOUSE36243, MOUSE36247, MOUSE36248, MOUSE36246
OG0000448	HUMAN22305	MOUSE36244
OG0000449	HUMAN16132	MOUSE43846, MOUSE43845
OG0000449	HUMAN05747	MOUSE50530
OG0000449	HUMAN05746	MOUSE50531
OG0000449	HUMAN05748	MOUSE50526, MOUSE50527
OG0000449	HUMAN21335	MOUSE15854, MOUSE15855
OG0000449	HUMAN21336	MOUSE15848, MOUSE15852, MOUSE15851
OG0000449	HUMAN01157	MOUSE31944, MOUSE31946, MOUSE31947, MOUSE31945
OG0000450	HUMAN21185	MOUSE16109
OG0000450	HUMAN25687	MOUSE00139
OG0000450	HUMAN10924	MOUSE46535
OG0000450	HUMAN04606	MOUSE20568, MOUSE20569
OG0000450	HUMAN04607	MOUSE20565, MOUSE20567
OG0000450	HUMAN07391	MOUSE37990, MOUSE37989
OG0000450	HUMAN10922	MOUSE46533
OG0000450	HUMAN26408	MOUSE38152
OG0000450	HUMAN26409	MOUSE38153, MOUSE38154
OG0000450	HUMAN07392	MOUSE37992
OG0000452	HUMAN28968	MOUSE32609, MOUSE32608, MOUSE32612, MOUSE32611, MOUSE32610, MOUSE32614
OG0000452	HUMAN08620	MOUSE07592
OG0000452	HUMAN08619	MOUSE07584
OG0000452	HUMAN08617, HUMAN08618	MOUSE07581, MOUSE07582, MOUSE07588, MOUSE07586, MOUSE07587, MOUSE07590, MOUSE07591, MOUSE07585, MOUSE07589, MOUSE07593
OG0000454	HUMAN14911	MOUSE30460
OG0000454	HUMAN09584	MOUSE51813, MOUSE51809, MOUSE51818, MOUSE51805, MOUSE51811, MOUSE51810, MOUSE51816
OG0000454	HUMAN01758	MOUSE30456
OG0000454	HUMAN01761	MOUSE30455
OG0000454	HUMAN28671, HUMAN28672	MOUSE32415, MOUSE32417, MOUSE32416
OG0000454	HUMAN09585, HUMAN09586	MOUSE32418
OG0000454	HUMAN09587	MOUSE51804, MOUSE51808
OG0000458	HUMAN27361	MOUSE47677, MOUSE47674, MOUSE47675
OG0000458	HUMAN27427	MOUSE12649, MOUSE12648
OG0000458	HUMAN27426	MOUSE12647
OG0000458	HUMAN27814	MOUSE21478
OG0000458	HUMAN18825	MOUSE28265
OG0000458	HUMAN00588	MOUSE34210
OG0000458	HUMAN27908, HUMAN27907	MOUSE21610
OG0000459	HUMAN19503	MOUSE16376
OG0000459	HUMAN19500, HUMAN19501, HUMAN19502, HUMAN19499	MOUSE16375, MOUSE16374
OG0000460	HUMAN12680	MOUSE05528
OG0000461	HUMAN12693	MOUSE05548, MOUSE05549, MOUSE05551, MOUSE05550
OG0000461	HUMAN26401	MOUSE38168, MOUSE38169, MOUSE38170, MOUSE38167, MOUSE38171
OG0000461	HUMAN26402	MOUSE38166
OG0000461	HUMAN07313, HUMAN07312	MOUSE37814
OG0000461	HUMAN07311	MOUSE37812
OG0000461	HUMAN07310	MOUSE37813
OG0000462	HUMAN11153	MOUSE49237
OG0000462	HUMAN14024	MOUSE23189
OG0000462	HUMAN14053	MOUSE23232
OG0000462	HUMAN11151	MOUSE49233, MOUSE49232, MOUSE49231, MOUSE49230, MOUSE49234
OG0000462	HUMAN11152	MOUSE49236
OG0000462	HUMAN23216	MOUSE13292
OG0000462	HUMAN23220	MOUSE13288
OG0000462	HUMAN23219	MOUSE13289
OG0000462	HUMAN23218	MOUSE13291, MOUSE13290
OG0000462	HUMAN23215	MOUSE13294, MOUSE13296, MOUSE13297, MOUSE13298, MOUSE13295
OG0000462	HUMAN19113	MOUSE28763, MOUSE28762
OG0000462	HUMAN14054	MOUSE23236
OG0000462	HUMAN08144	MOUSE12282, MOUSE12283
OG0000463	HUMAN26997	MOUSE39352, MOUSE39351
OG0000463	HUMAN04467	MOUSE26967, MOUSE26966, MOUSE26965, MOUSE26968
OG0000463	HUMAN28833	MOUSE09646, MOUSE09649, MOUSE09648, MOUSE09653, MOUSE09651
OG0000463	HUMAN09995	MOUSE44686, MOUSE44687, MOUSE44688
OG0000464	HUMAN00706	MOUSE33985, MOUSE33984
OG0000464	HUMAN24172	MOUSE38021
OG0000465	HUMAN13778	MOUSE18958, MOUSE18959, MOUSE18960
OG0000465	HUMAN00068	MOUSE35100, MOUSE35099
OG0000466	HUMAN01325, HUMAN01326, HUMAN01324, HUMAN01323, HUMAN01322	MOUSE31280, MOUSE31282, MOUSE31281, MOUSE31279, MOUSE31284
OG0000467	HUMAN02442	MOUSE52897, MOUSE23400
OG0000467	HUMAN29942	MOUSE55119, MOUSE55118
OG0000467	HUMAN20849	MOUSE52896, MOUSE52893, MOUSE52894
OG0000467	HUMAN02441	MOUSE23397, MOUSE23398, MOUSE23396, MOUSE23399, MOUSE23395, MOUSE23394
OG0000467	HUMAN02850	MOUSE24986
OG0000467	HUMAN02852	MOUSE24989, MOUSE24996, MOUSE24994, MOUSE24988
OG0000467	HUMAN02440, HUMAN20851	MOUSE55117, MOUSE23401
OG0000468	HUMAN29031	MOUSE32725
OG0000468	HUMAN08624	MOUSE07604, MOUSE07603, MOUSE07605, MOUSE07602
OG0000469	HUMAN20925	MOUSE52727, MOUSE52724
OG0000469	HUMAN02455	MOUSE24846, MOUSE24848, MOUSE24847
OG0000469	HUMAN20460	MOUSE40957
OG0000469	HUMAN20461	MOUSE24924
OG0000469	HUMAN02876	MOUSE24923
OG0000469	HUMAN30502, HUMAN30503	MOUSE54260, MOUSE54259
OG0000469	HUMAN23651	MOUSE19141
OG0000470	HUMAN10148	MOUSE17175, MOUSE17176
OG0000470	HUMAN13194	MOUSE05969, MOUSE05967, MOUSE05968
OG0000470	HUMAN08602	MOUSE07539, MOUSE07538, MOUSE07537, MOUSE07532, MOUSE07534, MOUSE07530, MOUSE07541, MOUSE07540, MOUSE07533, MOUSE07542, MOUSE07531
OG0000470	HUMAN08603	MOUSE07529
OG0000470	HUMAN02695	MOUSE24458, MOUSE24459, MOUSE24460
OG0000471	HUMAN27547	MOUSE12794
OG0000471	HUMAN23110	MOUSE48142
OG0000471	HUMAN23109	MOUSE48143
OG0000471	HUMAN23762	MOUSE03527, MOUSE03528, MOUSE03526
OG0000471	HUMAN03462	MOUSE21015, MOUSE21016
OG0000471	HUMAN03379	MOUSE11514, MOUSE11515
OG0000471	HUMAN24314	MOUSE09544, MOUSE09545
OG0000471	HUMAN22679	MOUSE31704, MOUSE31706, MOUSE31707, MOUSE31703, MOUSE31705
OG0000471	HUMAN24313	MOUSE09542
OG0000472	HUMAN11470	MOUSE49661, MOUSE49662
OG0000472	HUMAN01138	MOUSE31980
OG0000472	HUMAN05491	MOUSE51216
OG0000473	HUMAN12691	MOUSE05546
OG0000473	HUMAN14596	MOUSE50309
OG0000474	HUMAN06611, HUMAN06612	MOUSE02524, MOUSE02522, MOUSE02526, MOUSE02525, MOUSE02523
OG0000474	HUMAN06609	MOUSE02529
OG0000474	HUMAN12853, HUMAN12852	MOUSE05803, MOUSE05802
OG0000474	HUMAN20808	MOUSE53048, MOUSE53047, MOUSE53046
OG0000474	HUMAN18157	MOUSE22409, MOUSE22410, MOUSE22411, MOUSE22408
OG0000475	HUMAN21413	MOUSE15715, MOUSE15717, MOUSE15719, MOUSE15720
OG0000475	HUMAN06680	MOUSE02375, MOUSE02376, MOUSE02374, MOUSE02373
OG0000475	HUMAN23203	MOUSE13336, MOUSE13334, MOUSE13331, MOUSE13333
OG0000475	HUMAN21411	MOUSE15725, MOUSE15723, MOUSE15727, MOUSE15722, MOUSE15724, MOUSE15726, MOUSE15721, MOUSE15718, MOUSE15716
OG0000476	HUMAN29055	MOUSE32804, MOUSE32803
OG0000476	HUMAN29052	MOUSE32798, MOUSE32797
OG0000477	HUMAN01068	MOUSE33283
OG0000477	HUMAN14127, HUMAN14126	MOUSE01316, MOUSE01315, MOUSE01314
OG0000477	HUMAN23358, HUMAN23357	MOUSE10580, MOUSE10579
OG0000478	HUMAN26855	MOUSE39046, MOUSE39045
OG0000478	HUMAN20441	MOUSE40915
OG0000478	HUMAN26857	MOUSE39053, MOUSE39051, MOUSE39052, MOUSE39049, MOUSE39048
OG0000479	HUMAN00548	MOUSE34250
OG0000479	HUMAN25778	MOUSE16521
OG0000479	HUMAN30326	MOUSE53992
OG0000479	HUMAN04562	MOUSE26651
OG0000479	HUMAN19754	MOUSE15313
OG0000480	HUMAN21970	MOUSE15596, MOUSE15597
OG0000480	HUMAN21960	MOUSE15577, MOUSE15578, MOUSE15576
OG0000480	HUMAN21962	MOUSE15585, MOUSE15580, MOUSE15582, MOUSE15581
OG0000480	HUMAN00364, HUMAN00362	MOUSE34567, MOUSE34569, MOUSE34568
OG0000481	HUMAN10860	MOUSE46329
OG0000481	HUMAN10858	MOUSE46325
OG0000481	HUMAN29163	MOUSE26095
OG0000481	HUMAN29162	MOUSE26092, MOUSE26094
OG0000481	HUMAN23804	MOUSE03456
OG0000481	HUMAN27663	MOUSE47997
OG0000482	HUMAN04810	MOUSE20316
OG0000482	HUMAN18681	MOUSE27998, MOUSE27999
OG0000482	HUMAN09268	MOUSE27419, MOUSE27420
OG0000482	HUMAN18687	MOUSE28001, MOUSE28002, MOUSE28003, MOUSE28004
OG0000484	HUMAN14629	MOUSE50341, MOUSE50342, MOUSE50340
OG0000484	HUMAN01113	MOUSE33227
OG0000484	HUMAN01114	MOUSE33232, MOUSE33230
OG0000484	HUMAN23384	MOUSE10529
OG0000484	HUMAN23383	MOUSE10531
OG0000484	HUMAN23382	MOUSE10530
OG0000484	HUMAN15014	MOUSE48510, MOUSE48511, MOUSE48512, MOUSE48513
OG0000485	HUMAN18255	MOUSE22584, MOUSE22583, MOUSE22581
OG0000485	HUMAN20638	MOUSE53133, MOUSE53132
OG0000485	HUMAN05761	MOUSE50507, MOUSE50508
OG0000485	HUMAN05762	MOUSE50506, MOUSE50503, MOUSE50502, MOUSE50504, MOUSE50505
OG0000486	HUMAN22789	MOUSE31513, MOUSE31511
OG0000486	HUMAN03580	MOUSE21232
OG0000487	HUMAN08710	MOUSE07740, MOUSE07738, MOUSE07739
OG0000487	HUMAN13410	MOUSE06228
OG0000488	HUMAN00613	MOUSE34152
OG0000488	HUMAN19011	MOUSE28605
OG0000488	HUMAN08584	MOUSE07487
OG0000488	HUMAN08583	MOUSE07485, MOUSE07486
OG0000488	HUMAN19010	MOUSE28606
OG0000489	HUMAN28123	MOUSE13481
OG0000489	HUMAN28122	MOUSE13480
OG0000489	HUMAN25265	MOUSE21691, MOUSE21690, MOUSE21696, MOUSE21695, MOUSE21688, MOUSE21689, MOUSE21692
OG0000489	HUMAN19041	MOUSE28647
OG0000489	HUMAN28124	MOUSE13482
OG0000489	HUMAN00804	MOUSE33816
OG0000490	HUMAN01260	MOUSE37078, MOUSE37079
OG0000490	HUMAN14885	MOUSE17415, MOUSE17414, MOUSE17416, MOUSE17412, MOUSE17413
OG0000490	HUMAN24885	MOUSE17573
OG0000490	HUMAN24884	MOUSE17574, MOUSE17571, MOUSE17572, MOUSE17569
OG0000490	HUMAN29378	MOUSE25487, MOUSE25489, MOUSE25488
OG0000491	HUMAN00697	MOUSE33998
OG0000491	HUMAN30458	MOUSE54193, MOUSE54192
OG0000491	HUMAN07527	MOUSE38834, MOUSE38833, MOUSE38832
OG0000491	HUMAN23052	MOUSE48260
