Orthogroup	HUMAN	AENJA_ok
OG0001561	HUMAN20456, HUMAN24967, HUMAN20360	AENJA_09420
OG0001562	HUMAN18910	AENJA_10266
OG0001563	HUMAN09891	AENJA_12465
OG0001564	HUMAN18396, HUMAN05131	AENJA_11930
OG0001565	HUMAN15336, HUMAN05720, HUMAN01912	AENJA_12372
OG0001566	HUMAN25664, HUMAN29643	AENJA_12513
OG0001567	HUMAN00268, HUMAN21826	AENJA_13019
OG0001568	HUMAN20082, HUMAN20081	AENJA_13880
OG0001569	HUMAN07886, HUMAN30285, HUMAN30286, HUMAN30287	AENJA_14238
OG0001570	HUMAN16050	AENJA_16842
OG0001570	HUMAN16051	AENJA_24461
OG0001571	HUMAN05678	AENJA_17758
OG0001572	HUMAN13726	AENJA_22665
OG0001572	HUMAN11626, HUMAN11627	AENJA_18250
OG0001573	HUMAN01295, HUMAN29048	AENJA_19183
OG0001574	HUMAN25927, HUMAN25926, HUMAN25928, HUMAN25929, HUMAN13261, HUMAN16297, HUMAN16298	AENJA_21910
OG0001575	HUMAN20049	AENJA_21922
OG0001575	HUMAN20511	AENJA_21919
OG0001576	HUMAN23520, HUMAN09989, HUMAN09990	AENJA_23479
OG0001578	HUMAN27577, HUMAN27576, HUMAN03525	AENJA_24180
OG0001579	HUMAN03141, HUMAN03143, HUMAN03144	AENJA_24228
OG0001580	HUMAN19240, HUMAN19239, HUMAN19238, HUMAN15241	AENJA_25168
OG0001581	HUMAN02526	AENJA_26170
OG0001581	HUMAN02524, HUMAN02525	AENJA_26171
OG0001582	HUMAN11711, HUMAN11710, HUMAN19935	AENJA_26338
OG0001583	HUMAN22254, HUMAN22253, HUMAN22251, HUMAN22252, HUMAN03577	AENJA_26528
OG0001584	HUMAN22038	AENJA_26828
OG0001589	HUMAN13366	AENJA_00308
OG0001589	HUMAN10236	AENJA_25068
OG0001590	HUMAN09424	AENJA_00406, AENJA_14826, AENJA_14823
OG0001592	HUMAN09531, HUMAN09657, HUMAN09656	AENJA_17749, AENJA_01022, AENJA_25249
OG0001593	HUMAN28942, HUMAN09707, HUMAN06299, HUMAN01587	AENJA_01627
OG0001596	HUMAN06207, HUMAN28876	AENJA_02913, AENJA_03897, AENJA_02915
OG0001597	HUMAN26560, HUMAN26561, HUMAN26559, HUMAN03834, HUMAN03833, HUMAN03832	AENJA_17835, AENJA_03457
OG0001599	HUMAN13426	AENJA_04501
OG0001600	HUMAN00788, HUMAN00787, HUMAN16635, HUMAN28233	AENJA_04862
OG0001603	HUMAN24819	AENJA_25082, AENJA_05289
OG0001604	HUMAN12471, HUMAN12472	AENJA_11253
OG0001605	HUMAN07945, HUMAN07944	AENJA_06440
OG0001606	HUMAN13929	AENJA_06477
OG0001609	HUMAN07643	AENJA_08323
OG0001609	HUMAN21122, HUMAN07645	AENJA_19787
OG0001610	HUMAN22869, HUMAN00777, HUMAN19044, HUMAN07487, HUMAN28094	AENJA_08526, AENJA_08533, AENJA_08527, AENJA_09111, AENJA_08532
OG0001611	HUMAN08978, HUMAN02546	AENJA_08569
OG0001612	HUMAN25319	AENJA_09589
OG0001613	HUMAN24818	AENJA_09920
OG0001614	HUMAN14358	AENJA_17703
OG0001614	HUMAN13572	AENJA_10096
OG0001615	HUMAN04414, HUMAN27016	AENJA_10716
OG0001617	HUMAN20425, HUMAN06149, HUMAN24916	AENJA_12188
OG0001620	HUMAN24750, HUMAN24751, HUMAN02052	AENJA_13924
OG0001621	HUMAN10405, HUMAN20233	AENJA_13994, AENJA_13992
OG0001622	HUMAN03730, HUMAN03729, HUMAN27716	AENJA_14211
OG0001624	HUMAN25539, HUMAN25540, HUMAN00624, HUMAN19275, HUMAN19274, HUMAN27856	AENJA_14605
OG0001625	HUMAN01087, HUMAN01088, HUMAN28505	AENJA_14706
OG0001627	HUMAN28211	AENJA_19284
OG0001628	HUMAN16897, HUMAN16898	AENJA_16821, AENJA_21898, AENJA_21897
OG0001632	HUMAN20860, HUMAN20348, HUMAN01354	AENJA_18126
OG0001633	HUMAN28383	AENJA_18234
OG0001634	HUMAN29106	AENJA_18695
OG0001635	HUMAN30203, HUMAN26031, HUMAN29595	AENJA_18913
OG0001636	HUMAN11118	AENJA_19487
OG0001637	HUMAN21485	AENJA_19510
OG0001638	HUMAN10802, HUMAN10801, HUMAN11783, HUMAN11785, HUMAN11784	AENJA_20882
OG0001639	HUMAN09764, HUMAN14138	AENJA_22054
OG0001640	HUMAN21156, HUMAN21157	AENJA_23181
OG0001641	HUMAN02994	AENJA_23210
OG0001642	HUMAN04974, HUMAN04971, HUMAN04972, HUMAN04973, HUMAN04975, HUMAN04979, HUMAN04977, HUMAN04978, HUMAN04976	AENJA_23879
OG0001643	HUMAN05730, HUMAN15333, HUMAN15332, HUMAN15331	AENJA_24340
OG0001644	HUMAN24567	AENJA_26289
OG0001651	HUMAN24385, HUMAN03098, HUMAN22631	AENJA_00391
OG0001652	HUMAN08985	AENJA_22805, AENJA_00850
OG0001653	HUMAN23274	AENJA_21125
OG0001654	HUMAN24521, HUMAN24522, HUMAN25677	AENJA_02592
OG0001655	HUMAN23043, HUMAN29586, HUMAN29889	AENJA_03001
OG0001656	HUMAN07547, HUMAN12664	AENJA_03159
OG0001657	HUMAN20003, HUMAN20005, HUMAN20004, HUMAN04603	AENJA_03268
OG0001658	HUMAN13848, HUMAN18839, HUMAN13849	AENJA_03637
OG0001658	HUMAN18841	AENJA_05073
OG0001659	HUMAN00545, HUMAN00546, HUMAN25769	AENJA_04668
OG0001660	HUMAN24142, HUMAN22382, HUMAN29625, HUMAN30126, HUMAN22381	AENJA_04731
OG0001661	HUMAN07166	AENJA_05905
OG0001661	HUMAN21509	AENJA_05238
OG0001662	HUMAN05309	AENJA_07124
OG0001662	HUMAN26391, HUMAN07388	AENJA_05672
OG0001663	HUMAN26903, HUMAN29828	AENJA_06086
OG0001664	HUMAN14776, HUMAN14775	AENJA_22480
OG0001665	HUMAN13477, HUMAN13476	AENJA_11003
OG0001665	HUMAN10572	AENJA_06300
OG0001666	HUMAN07809	AENJA_07102
OG0001667	HUMAN12734, HUMAN26001, HUMAN26000, HUMAN06279, HUMAN06280, HUMAN06278	AENJA_07191
OG0001668	HUMAN25853	AENJA_07885
OG0001669	HUMAN00518, HUMAN18608	AENJA_09112
OG0001671	HUMAN20911	AENJA_09175
OG0001672	HUMAN29688, HUMAN17876, HUMAN12952, HUMAN26575	AENJA_09939
OG0001673	HUMAN08249, HUMAN08251, HUMAN15858, HUMAN16851	AENJA_11329
OG0001674	HUMAN09862, HUMAN09861, HUMAN09864, HUMAN09865, HUMAN13900	AENJA_11464
OG0001675	HUMAN28279, HUMAN27610	AENJA_11671
OG0001676	HUMAN03206	AENJA_26746
OG0001676	HUMAN15070	AENJA_11724
OG0001677	HUMAN07349, HUMAN07350	AENJA_11807
OG0001678	HUMAN25999, HUMAN17691	AENJA_18698
OG0001682	HUMAN18147	AENJA_17431
OG0001683	HUMAN30085, HUMAN01479, HUMAN00558, HUMAN25314	AENJA_18304
OG0001684	HUMAN14785, HUMAN01201	AENJA_18312
OG0001685	HUMAN22339	AENJA_18914
OG0001687	HUMAN03234	AENJA_21090, AENJA_20311
OG0001688	HUMAN22303, HUMAN22304, HUMAN22302, HUMAN03992	AENJA_20867, AENJA_20868
OG0001689	HUMAN11737, HUMAN19915	AENJA_21847
OG0001691	HUMAN10903	AENJA_24035
OG0001692	HUMAN00929, HUMAN00928, HUMAN15010, HUMAN23437, HUMAN23438	AENJA_24257
OG0001703	HUMAN09709	AENJA_18887, AENJA_19782, AENJA_00606, AENJA_19856
OG0001704	HUMAN06407, HUMAN06567	AENJA_00857
OG0001706	HUMAN30453, HUMAN05373, HUMAN30452	AENJA_00912
OG0001707	HUMAN13776, HUMAN13775, HUMAN16739	AENJA_00981, AENJA_25581
OG0001708	HUMAN01995, HUMAN01996	AENJA_01039
OG0001710	HUMAN06210, HUMAN24986, HUMAN29936, HUMAN28878	AENJA_24366
OG0001711	HUMAN04935, HUMAN04934, HUMAN04933, HUMAN09017	AENJA_11819, AENJA_01555
OG0001712	HUMAN22752, HUMAN17161, HUMAN03209	AENJA_02081
OG0001713	HUMAN11446, HUMAN11444, HUMAN11445	AENJA_02209
OG0001714	HUMAN20171, HUMAN20172	AENJA_02224
OG0001714	HUMAN25119	AENJA_13337
OG0001718	HUMAN25013, HUMAN25014	AENJA_02907
OG0001720	HUMAN12316, HUMAN04993, HUMAN07123	AENJA_03434
OG0001721	HUMAN25291, HUMAN08491	AENJA_03497
OG0001723	HUMAN30388	AENJA_04029
OG0001723	HUMAN21619, HUMAN30386, HUMAN29777	AENJA_12578
OG0001724	HUMAN25295	AENJA_04715, AENJA_04714
OG0001725	HUMAN24357, HUMAN03245, HUMAN22506	AENJA_21341, AENJA_05653, AENJA_21489, AENJA_08894, AENJA_08893
OG0001726	HUMAN16877, HUMAN08380	AENJA_06017
OG0001726	HUMAN22539	AENJA_11860
OG0001727	HUMAN15860, HUMAN15859, HUMAN08259, HUMAN16842	AENJA_06020
OG0001728	HUMAN09496, HUMAN23695	AENJA_08879
OG0001729	HUMAN26808, HUMAN20869, HUMAN20870	AENJA_08928
OG0001730	HUMAN14924, HUMAN00990, HUMAN14923	AENJA_09007
OG0001731	HUMAN24935, HUMAN06976, HUMAN06977	AENJA_09521
OG0001732	HUMAN30348, HUMAN07896, HUMAN21599, HUMAN21598, HUMAN21600	AENJA_11224
OG0001733	HUMAN17168	AENJA_11585
OG0001734	HUMAN04688	AENJA_13245
OG0001735	HUMAN17857, HUMAN13129	AENJA_13640, AENJA_13638
OG0001736	HUMAN11325, HUMAN14071	AENJA_14070
OG0001737	HUMAN19449, HUMAN25649	AENJA_14224
OG0001738	HUMAN07064, HUMAN07066, HUMAN03839, HUMAN03837, HUMAN07063, HUMAN07065, HUMAN03838	AENJA_15108
OG0001739	HUMAN06840, HUMAN06841, HUMAN06839, HUMAN03964	AENJA_15111
OG0001740	HUMAN04153, HUMAN24941, HUMAN20293, HUMAN20292, HUMAN04152, HUMAN20291	AENJA_15168
OG0001742	HUMAN06932, HUMAN06929, HUMAN06931, HUMAN06930	AENJA_22249
OG0001743	HUMAN29328, HUMAN29326	AENJA_16159
OG0001744	HUMAN27314, HUMAN18242, HUMAN27316, HUMAN27315, HUMAN27317, HUMAN06338	AENJA_17309
OG0001746	HUMAN04189, HUMAN20301, HUMAN20300, HUMAN20302	AENJA_19060
OG0001747	HUMAN19647, HUMAN19645, HUMAN19646, HUMAN18323, HUMAN18324, HUMAN02105	AENJA_20575
OG0001748	HUMAN03464, HUMAN03465, HUMAN03463, HUMAN27544	AENJA_22163
OG0001752	HUMAN14402, HUMAN14401, HUMAN09557	AENJA_23699
OG0001754	HUMAN25325, HUMAN05304, HUMAN05305, HUMAN05303, HUMAN13962	AENJA_24677
OG0001755	HUMAN04349	AENJA_24912
OG0001756	HUMAN03565, HUMAN03566	AENJA_25749
OG0001756	HUMAN27756, HUMAN27755	AENJA_25480
OG0001757	HUMAN02532, HUMAN02531, HUMAN08337, HUMAN08338, HUMAN27193, HUMAN25593, HUMAN27189, HUMAN27178, HUMAN27173, HUMAN13781, HUMAN08339	AENJA_25965
OG0001768	HUMAN09704	AENJA_00276
OG0001768	HUMAN23681, HUMAN14390	AENJA_00711, AENJA_26065
OG0001769	HUMAN03651	AENJA_00392
OG0001769	HUMAN08557, HUMAN08556, HUMAN08559	AENJA_14833
OG0001770	HUMAN24382, HUMAN17425, HUMAN30193, HUMAN24381, HUMAN22894	AENJA_00514
OG0001772	HUMAN02529, HUMAN08892	AENJA_00723
OG0001774	HUMAN18619	AENJA_01099
OG0001774	HUMAN30515, HUMAN30516	AENJA_09499
OG0001775	HUMAN14353	AENJA_01192
OG0001778	HUMAN08147	AENJA_03171
OG0001778	HUMAN08146	AENJA_03170
OG0001780	HUMAN19749	AENJA_03267
OG0001780	HUMAN30120	AENJA_06530
OG0001781	HUMAN12739	AENJA_25405
OG0001781	HUMAN24740	AENJA_03406
OG0001782	HUMAN23640	AENJA_04195
OG0001782	HUMAN03280	AENJA_22157
OG0001783	HUMAN10327, HUMAN10326	AENJA_04445
OG0001787	HUMAN19491, HUMAN19493, HUMAN19494, HUMAN19492, HUMAN25152, HUMAN25151, HUMAN00492	AENJA_05662
OG0001788	HUMAN16667	AENJA_05784
OG0001789	HUMAN19923, HUMAN12300	AENJA_06214
OG0001790	HUMAN15656, HUMAN15657	AENJA_06251
OG0001792	HUMAN29333	AENJA_21975, AENJA_24891, AENJA_21976, AENJA_21971
OG0001792	HUMAN15054	AENJA_06373
OG0001793	HUMAN20623	AENJA_07131
OG0001794	HUMAN19680	AENJA_07515, AENJA_16390
OG0001796	HUMAN19025, HUMAN19024, HUMAN19023, HUMAN19026, HUMAN27928	AENJA_24046, AENJA_08003
OG0001798	HUMAN14327, HUMAN14328, HUMAN09868	AENJA_08367, AENJA_24416
OG0001799	HUMAN11851, HUMAN07342, HUMAN05015	AENJA_08605
OG0001800	HUMAN21427, HUMAN21429, HUMAN21428, HUMAN02409, HUMAN07046	AENJA_09181
OG0001801	HUMAN01406, HUMAN04138, HUMAN27053, HUMAN01453, HUMAN04141, HUMAN04140	AENJA_09455
OG0001802	HUMAN10430, HUMAN10427, HUMAN10426	AENJA_09560, AENJA_23064
OG0001803	HUMAN17083, HUMAN17084, HUMAN22587, HUMAN22586, HUMAN03075	AENJA_09994, AENJA_09997
OG0001804	HUMAN11697, HUMAN11700, HUMAN11696, HUMAN11695, HUMAN11698, HUMAN19866	AENJA_10202
OG0001805	HUMAN06844, HUMAN04264, HUMAN06848	AENJA_10542
OG0001806	HUMAN26954, HUMAN26956, HUMAN01386	AENJA_10903
OG0001807	HUMAN12665	AENJA_12201
OG0001808	HUMAN22068, HUMAN01110	AENJA_13026
OG0001809	HUMAN02155, HUMAN02158, HUMAN02157, HUMAN02156, HUMAN02154	AENJA_13412
OG0001810	HUMAN25995, HUMAN25994, HUMAN18086	AENJA_13786
OG0001812	HUMAN05677	AENJA_14467, AENJA_14466, AENJA_14468
OG0001814	HUMAN12655, HUMAN12657, HUMAN26160, HUMAN26161	AENJA_26556
OG0001815	HUMAN15582, HUMAN02646, HUMAN08284, HUMAN08283, HUMAN15583, HUMAN15584	AENJA_15476
OG0001816	HUMAN23424	AENJA_15931
OG0001817	HUMAN10762, HUMAN16372, HUMAN16373	AENJA_17964
OG0001818	HUMAN08932, HUMAN25133	AENJA_18459
OG0001819	HUMAN26303, HUMAN26302, HUMAN17758	AENJA_19342
OG0001820	HUMAN22655, HUMAN22654, HUMAN22657, HUMAN03192	AENJA_19468, AENJA_19465, AENJA_19466
OG0001821	HUMAN20150	AENJA_21035
OG0001822	HUMAN20278, HUMAN04122	AENJA_21678
OG0001823	HUMAN28818	AENJA_22880
OG0001823	HUMAN28819	AENJA_22883, AENJA_22884
OG0001825	HUMAN28268, HUMAN25258, HUMAN28269, HUMAN28270	AENJA_23001
OG0001826	HUMAN18296, HUMAN30222	AENJA_23249
OG0001827	HUMAN29268, HUMAN29270	AENJA_23535
OG0001828	HUMAN20552	AENJA_23757
OG0001829	HUMAN11147, HUMAN11495	AENJA_24206
OG0001830	HUMAN13769, HUMAN16621	AENJA_25556
OG0001831	HUMAN10191, HUMAN10190, HUMAN12366, HUMAN12368	AENJA_25733
OG0001846	HUMAN25244, HUMAN18589, HUMAN16677, HUMAN18592, HUMAN16676	AENJA_23250, AENJA_00173
OG0001848	HUMAN02996	AENJA_12672
OG0001848	HUMAN04716	AENJA_19651
OG0001849	HUMAN06580, HUMAN06581, HUMAN06579, HUMAN06583	AENJA_00715
OG0001851	HUMAN21496	AENJA_18108
OG0001852	HUMAN06720, HUMAN20898	AENJA_01522, AENJA_13282, AENJA_18334
OG0001853	HUMAN28392, HUMAN18575	AENJA_03214, AENJA_13354
OG0001854	HUMAN06535	AENJA_20502, AENJA_08051, AENJA_22619, AENJA_04892, AENJA_16241, AENJA_22636, AENJA_03291, AENJA_26517, AENJA_20181, AENJA_07616, AENJA_12416, AENJA_20525, AENJA_18496
OG0001856	HUMAN26595, HUMAN13519	AENJA_04493
OG0001857	HUMAN16699, HUMAN28241	AENJA_04553
OG0001858	HUMAN26275	AENJA_04702
OG0001861	HUMAN02516	AENJA_25398, AENJA_11706, AENJA_05340
OG0001862	HUMAN14487, HUMAN01898, HUMAN10090	AENJA_06207
OG0001863	HUMAN27302	AENJA_14971
OG0001864	HUMAN13784, HUMAN13785, HUMAN19255	AENJA_07207
OG0001865	HUMAN23790, HUMAN22856, HUMAN07532	AENJA_07271
OG0001866	HUMAN25781	AENJA_07311
OG0001866	HUMAN25782	AENJA_07312
OG0001867	HUMAN25878, HUMAN13230	AENJA_07397
OG0001868	HUMAN08197	AENJA_07733
OG0001869	HUMAN00228, HUMAN00227	AENJA_07813
OG0001870	HUMAN28292, HUMAN00640, HUMAN25247	AENJA_07921
OG0001871	HUMAN07522, HUMAN27482	AENJA_07935, AENJA_18281
OG0001873	HUMAN16807, HUMAN16808, HUMAN16809	AENJA_08353, AENJA_24095
OG0001874	HUMAN21243	AENJA_08461
OG0001875	HUMAN17871	AENJA_09123
OG0001875	HUMAN22698	AENJA_16491
OG0001876	HUMAN16595	AENJA_09312
OG0001877	HUMAN08708, HUMAN25127, HUMAN02567	AENJA_09356
OG0001878	HUMAN07553, HUMAN29985, HUMAN27457	AENJA_09652
OG0001879	HUMAN07208	AENJA_10214
OG0001881	HUMAN06131, HUMAN04212, HUMAN02372	AENJA_11391
OG0001882	HUMAN12928, HUMAN17839	AENJA_13635
OG0001883	HUMAN10705, HUMAN10706, HUMAN10704, HUMAN20116, HUMAN13322	AENJA_14004
OG0001884	HUMAN27931, HUMAN19032, HUMAN19030, HUMAN19029	AENJA_14156
OG0001886	HUMAN29265, HUMAN01236	AENJA_14779
OG0001887	HUMAN24008, HUMAN07736, HUMAN22363, HUMAN22362	AENJA_15098
OG0001889	HUMAN13282, HUMAN10294, HUMAN10295, HUMAN10296	AENJA_16220
OG0001890	HUMAN27039, HUMAN01447, HUMAN04331	AENJA_16222
OG0001892	HUMAN21354, HUMAN25414	AENJA_17692
OG0001893	HUMAN24851, HUMAN24850	AENJA_19715
OG0001894	HUMAN24228, HUMAN24227, HUMAN24229, HUMAN03619	AENJA_21040
OG0001895	HUMAN19223	AENJA_22777
OG0001896	HUMAN29380, HUMAN02065	AENJA_22934
OG0001897	HUMAN01785, HUMAN01784, HUMAN14131, HUMAN28852, HUMAN09463	AENJA_24823
OG0001898	HUMAN15350	AENJA_25485
OG0001899	HUMAN08346	AENJA_25912
OG0001913	HUMAN10068, HUMAN10067	AENJA_00224
OG0001914	HUMAN25807, HUMAN25808	AENJA_20686
OG0001914	HUMAN10542	AENJA_00249
OG0001915	HUMAN30648, HUMAN29662	AENJA_00588
OG0001916	HUMAN08379, HUMAN08376, HUMAN08378	AENJA_10036
OG0001916	HUMAN15612	AENJA_00736
OG0001917	HUMAN01077, HUMAN14777, HUMAN15018	AENJA_01170
OG0001918	HUMAN18185, HUMAN18184	AENJA_08485
OG0001918	HUMAN17680	AENJA_16586
OG0001919	HUMAN03322	AENJA_02076
OG0001920	HUMAN14537	AENJA_26833
OG0001923	HUMAN14644, HUMAN14642, HUMAN14921	AENJA_03271
OG0001925	HUMAN17583, HUMAN26221, HUMAN06665	AENJA_04307
OG0001926	HUMAN01202	AENJA_04624
OG0001928	HUMAN25622	AENJA_05549
OG0001929	HUMAN19567	AENJA_13809
OG0001930	HUMAN10045	AENJA_06548
OG0001933	HUMAN11040, HUMAN11041	AENJA_07871
OG0001934	HUMAN10144, HUMAN27036	AENJA_08721
OG0001935	HUMAN02626	AENJA_16826
OG0001935	HUMAN03611	AENJA_08803
OG0001936	HUMAN27676	AENJA_09069
OG0001937	HUMAN21397	AENJA_09118
OG0001938	HUMAN04426	AENJA_09456
OG0001939	HUMAN11453	AENJA_09829
OG0001940	HUMAN07394, HUMAN07393	AENJA_10312
OG0001941	HUMAN18090, HUMAN20811	AENJA_10713
OG0001943	HUMAN13678, HUMAN18947	AENJA_12411
OG0001944	HUMAN18721	AENJA_12452
OG0001945	HUMAN21241, HUMAN25293	AENJA_12644, AENJA_24575
OG0001946	HUMAN24077, HUMAN03301, HUMAN22814, HUMAN22811	AENJA_12969
OG0001947	HUMAN20996, HUMAN06249, HUMAN06248	AENJA_13122
OG0001948	HUMAN15430, HUMAN15431, HUMAN08601, HUMAN02652, HUMAN04901	AENJA_17928
OG0001949	HUMAN12315, HUMAN07122, HUMAN12313, HUMAN12314	AENJA_14418
OG0001950	HUMAN14684, HUMAN14683, HUMAN28967, HUMAN01297	AENJA_14900
OG0001951	HUMAN06387, HUMAN20627, HUMAN06388	AENJA_15959
OG0001952	HUMAN25420	AENJA_16307
OG0001953	HUMAN10575	AENJA_16687
OG0001953	HUMAN12011, HUMAN12010, HUMAN12008, HUMAN10577, HUMAN10576, HUMAN10578, HUMAN10574	AENJA_16686
OG0001955	HUMAN09387, HUMAN09386	AENJA_17038
OG0001956	HUMAN13995	AENJA_17146
OG0001957	HUMAN04994, HUMAN12320, HUMAN12321, HUMAN07092, HUMAN07091	AENJA_17381
OG0001958	HUMAN18312, HUMAN07838	AENJA_17819
OG0001959	HUMAN23786, HUMAN17413, HUMAN30435, HUMAN22638, HUMAN22637	AENJA_18014
OG0001961	HUMAN06222, HUMAN02307	AENJA_18261
OG0001962	HUMAN30018, HUMAN07452, HUMAN00709	AENJA_18299
OG0001963	HUMAN01746, HUMAN09665, HUMAN28531	AENJA_18795
OG0001964	HUMAN17471, HUMAN17608, HUMAN17469, HUMAN17470, HUMAN17482, HUMAN17490, HUMAN17609	AENJA_20596
OG0001965	HUMAN13579, HUMAN13582, HUMAN13580, HUMAN13581, HUMAN13578, HUMAN13577	AENJA_21031, AENJA_26304
OG0001966	HUMAN14884, HUMAN01261	AENJA_21166
OG0001967	HUMAN01106	AENJA_22714
OG0001968	HUMAN03672, HUMAN29233	AENJA_22770
OG0001969	HUMAN23666, HUMAN23664, HUMAN23665, HUMAN14220, HUMAN14219	AENJA_23560
OG0001970	HUMAN08288, HUMAN04910, HUMAN18723, HUMAN18724, HUMAN08289, HUMAN08290	AENJA_24796
OG0001971	HUMAN14230, HUMAN14001, HUMAN09514	AENJA_26115
OG0001972	HUMAN00080, HUMAN00081	AENJA_26436
OG0001985	HUMAN07334, HUMAN26445	AENJA_00265
OG0001986	HUMAN01344, HUMAN01345	AENJA_24570, AENJA_22460, AENJA_09255, AENJA_24019, AENJA_05477, AENJA_23041, AENJA_00294, AENJA_05042, AENJA_06153, AENJA_00828, AENJA_18789, AENJA_09284, AENJA_21178, AENJA_22461, AENJA_25463, AENJA_00618, AENJA_22801, AENJA_10055, AENJA_26591, AENJA_23184, AENJA_19156, AENJA_04523, AENJA_03013, AENJA_12429, AENJA_25383, AENJA_20483, AENJA_01769, AENJA_17684
OG0001987	HUMAN19974, HUMAN19975, HUMAN10877, HUMAN05001	AENJA_00303
OG0001988	HUMAN28137	AENJA_00356
OG0001989	HUMAN06979, HUMAN24933	AENJA_01331
OG0001990	HUMAN18834	AENJA_09415
OG0001991	HUMAN18994	AENJA_04869
OG0001992	HUMAN25065	AENJA_04726, AENJA_03071
OG0001993	HUMAN17210, HUMAN23872, HUMAN03186	AENJA_03401
OG0001994	HUMAN07229, HUMAN12231	AENJA_03433, AENJA_03430
OG0001997	HUMAN08836, HUMAN08834, HUMAN08837, HUMAN00575	AENJA_08405
OG0001998	HUMAN28974, HUMAN10909, HUMAN10908	AENJA_04890
OG0001999	HUMAN25970	AENJA_14288
OG0001999	HUMAN04679	AENJA_06057
OG0002000	HUMAN23473	AENJA_09407
OG0002001	HUMAN06657	AENJA_07130
OG0002001	HUMAN12156	AENJA_13848
OG0002002	HUMAN18498, HUMAN18497, HUMAN05241	AENJA_09337, AENJA_07305
OG0002003	HUMAN17505, HUMAN09339, HUMAN09338	AENJA_07348, AENJA_16965
OG0002005	HUMAN03512, HUMAN27735, HUMAN27734	AENJA_08069
OG0002006	HUMAN12661	AENJA_08834
OG0002007	HUMAN22823, HUMAN03290	AENJA_08990
OG0002010	HUMAN20263, HUMAN13434, HUMAN13440, HUMAN10451, HUMAN10452, HUMAN13438, HUMAN13437	AENJA_11279
OG0002011	HUMAN19203, HUMAN08184	AENJA_11419
OG0002012	HUMAN04610, HUMAN04611, HUMAN04609, HUMAN19998	AENJA_11623
OG0002014	HUMAN01361, HUMAN26801, HUMAN26800, HUMAN26799, HUMAN01362, HUMAN21111	AENJA_13118
OG0002015	HUMAN10277, HUMAN20192	AENJA_13757
OG0002016	HUMAN22594, HUMAN22595, HUMAN24384, HUMAN03045	AENJA_13775
OG0002017	HUMAN00207, HUMAN05916, HUMAN21581	AENJA_13858
OG0002018	HUMAN22930, HUMAN07753, HUMAN24015	AENJA_13942
OG0002019	HUMAN23213, HUMAN12701, HUMAN12700	AENJA_14020
OG0002020	HUMAN24224, HUMAN24223, HUMAN03621	AENJA_14430
OG0002022	HUMAN02191, HUMAN02193	AENJA_24175, AENJA_16609
OG0002023	HUMAN15593, HUMAN04741, HUMAN02722	AENJA_16732
OG0002024	HUMAN02179, HUMAN02180, HUMAN29178, HUMAN29177, HUMAN29179	AENJA_16927
OG0002026	HUMAN30074, HUMAN07690	AENJA_17399, AENJA_20637
OG0002027	HUMAN07656, HUMAN07655, HUMAN21805	AENJA_17663
OG0002028	HUMAN18734	AENJA_17773
OG0002029	HUMAN19340, HUMAN19571, HUMAN19572	AENJA_23173
OG0002030	HUMAN01108, HUMAN14623, HUMAN14622, HUMAN14998, HUMAN28476	AENJA_19423
OG0002031	HUMAN12775, HUMAN26512	AENJA_20118
OG0002032	HUMAN05596, HUMAN05597	AENJA_20630
OG0002035	HUMAN14128, HUMAN01124, HUMAN23374	AENJA_24470
OG0002036	HUMAN08247, HUMAN08246, HUMAN15835	AENJA_25210
OG0002037	HUMAN03003, HUMAN03002, HUMAN17707, HUMAN17706	AENJA_25686
OG0002038	HUMAN01272, HUMAN24909, HUMAN29102, HUMAN29101	AENJA_26727
OG0002057	HUMAN28905, HUMAN00904, HUMAN28904	AENJA_00395
OG0002059	HUMAN14516, HUMAN01268, HUMAN01269	AENJA_02772
OG0002060	HUMAN08797, HUMAN16994, HUMAN16993	AENJA_02775
OG0002061	HUMAN27408	AENJA_02978
OG0002062	HUMAN09834, HUMAN14941, HUMAN14940	AENJA_03055
OG0002063	HUMAN28682	AENJA_04991
OG0002064	HUMAN02629	AENJA_05029
OG0002065	HUMAN11195	AENJA_16274
OG0002066	HUMAN16636, HUMAN28236	AENJA_05224
OG0002067	HUMAN27451, HUMAN27446, HUMAN10469	AENJA_05900
OG0002068	HUMAN08933, HUMAN15823	AENJA_06271
OG0002069	HUMAN28251, HUMAN28252, HUMAN28249, HUMAN18933, HUMAN18934, HUMAN28250	AENJA_06511
OG0002070	HUMAN14478, HUMAN01278, HUMAN29198, HUMAN29199	AENJA_07189
OG0002072	HUMAN10265	AENJA_13616
OG0002073	HUMAN23862, HUMAN23861, HUMAN20828, HUMAN18650	AENJA_09126, AENJA_08139
OG0002074	HUMAN27012	AENJA_08254
OG0002075	HUMAN16959, HUMAN16957, HUMAN16958, HUMAN08748	AENJA_08572
OG0002076	HUMAN06613, HUMAN20823	AENJA_09702
OG0002077	HUMAN12493, HUMAN12495, HUMAN12494, HUMAN02943	AENJA_09973
OG0002078	HUMAN13179	AENJA_10297
OG0002080	HUMAN07100, HUMAN12467	AENJA_12041
OG0002084	HUMAN03437, HUMAN03435, HUMAN03436, HUMAN17130, HUMAN17131	AENJA_17921, AENJA_14845, AENJA_17915, AENJA_25742
