Orthogroup	HUMAN	CAEEL
OG0000856	HUMAN05021, HUMAN05020	CAEEL00189, CAEEL08452, CAEEL13523
OG0000857	HUMAN15999, HUMAN24948, HUMAN05809, HUMAN04190	CAEEL04547
OG0000858	HUMAN27046, HUMAN27045	CAEEL16889, CAEEL11559, CAEEL11560, CAEEL11558
OG0000869	HUMAN00016	CAEEL04762
OG0000869	HUMAN23280	CAEEL04725
OG0000870	HUMAN13265	CAEEL05330
OG0000871	HUMAN30324	CAEEL00780
OG0000871	HUMAN03633	CAEEL00781, CAEEL13789
OG0000872	HUMAN05054	CAEEL05833
OG0000874	HUMAN22955, HUMAN04088	CAEEL03105
OG0000875	HUMAN28345, HUMAN18108	CAEEL08184, CAEEL12416
OG0000876	HUMAN02798	CAEEL00773, CAEEL00774
OG0000877	HUMAN20047	CAEEL14736, CAEEL01576, CAEEL15069, CAEEL11424, CAEEL10392, CAEEL07961, CAEEL14735, CAEEL06683, CAEEL20717
OG0000879	HUMAN06283, HUMAN21911	CAEEL07550
OG0000880	HUMAN25037	CAEEL10369
OG0000882	HUMAN24492	CAEEL04669
OG0000888	HUMAN01523, HUMAN14144	CAEEL00418
OG0000888	HUMAN14143	CAEEL02556, CAEEL08408
OG0000889	HUMAN16803	CAEEL09857, CAEEL09856
OG0000889	HUMAN04560, HUMAN10862, HUMAN13087, HUMAN19799, HUMAN19800	CAEEL07245
OG0000893	HUMAN20939, HUMAN20942, HUMAN26905, HUMAN26904, HUMAN20941	CAEEL05208
OG0000894	HUMAN20156, HUMAN25909	CAEEL20455
OG0000896	HUMAN05088, HUMAN05089	CAEEL17889
OG0000904	HUMAN03047, HUMAN24362, HUMAN30132, HUMAN03200, HUMAN22497, HUMAN22498	CAEEL10501
OG0000907	HUMAN28917, HUMAN28918, HUMAN28916	CAEEL04446, CAEEL04445
OG0000908	HUMAN03690, HUMAN27510	CAEEL18895
OG0000908	HUMAN03117	CAEEL09910
OG0000909	HUMAN25146, HUMAN25145, HUMAN19496, HUMAN00496	CAEEL00966
OG0000911	HUMAN18001, HUMAN18002	CAEEL15173
OG0000912	HUMAN17095, HUMAN17096, HUMAN03635, HUMAN03636, HUMAN24298, HUMAN22119	CAEEL19084
OG0000913	HUMAN24104, HUMAN24103, HUMAN24106, HUMAN05337	CAEEL03086, CAEEL09227, CAEEL01751, CAEEL17909, CAEEL04783, CAEEL08435
OG0000914	HUMAN24959, HUMAN26794, HUMAN30514, HUMAN26792, HUMAN26791, HUMAN30512, HUMAN24958, HUMAN30513, HUMAN26793, HUMAN26790	CAEEL08534, CAEEL08535
OG0000915	HUMAN30522, HUMAN20445, HUMAN01514, HUMAN01508, HUMAN02420, HUMAN06732	CAEEL11744
OG0000921	HUMAN24453, HUMAN02198	CAEEL05986
OG0000923	HUMAN17831	CAEEL01410
OG0000925	HUMAN23362, HUMAN23363, HUMAN23364	CAEEL00439, CAEEL07058
OG0000927	HUMAN21812, HUMAN30637, HUMAN30636, HUMAN29567, HUMAN30015, HUMAN11917, HUMAN21813	CAEEL20274
OG0000928	HUMAN14950, HUMAN14947, HUMAN14948, HUMAN09734	CAEEL00085
OG0000929	HUMAN07498, HUMAN07497, HUMAN25465, HUMAN00572	CAEEL02357
OG0000931	HUMAN18621	CAEEL20467
OG0000932	HUMAN07156, HUMAN07155, HUMAN26747	CAEEL07026, CAEEL07025
OG0000933	HUMAN18787, HUMAN04834, HUMAN08387, HUMAN18788	CAEEL13637
OG0000934	HUMAN07465, HUMAN25721, HUMAN25723	CAEEL20095, CAEEL02005
OG0000934	HUMAN24974, HUMAN06158	CAEEL18567
OG0000935	HUMAN14530, HUMAN10106, HUMAN01617, HUMAN01618, HUMAN06391, HUMAN06392, HUMAN06390, HUMAN17822	CAEEL10988, CAEEL18743
OG0000944	HUMAN07470, HUMAN27468, HUMAN30061	CAEEL08647, CAEEL08646
OG0000945	HUMAN07967, HUMAN07969, HUMAN07968, HUMAN07970, HUMAN11233, HUMAN23148	CAEEL00537
OG0000946	HUMAN04147, HUMAN02309, HUMAN07074	CAEEL05453
OG0000947	HUMAN17713, HUMAN20687, HUMAN20621	CAEEL07660
OG0000949	HUMAN29456, HUMAN24815, HUMAN30599, HUMAN19495, HUMAN00495, HUMAN25148, HUMAN25147	CAEEL02872, CAEEL06438
OG0000950	HUMAN13056, HUMAN13055, HUMAN07390	CAEEL06912
OG0000951	HUMAN01583, HUMAN09204	CAEEL00056
OG0000952	HUMAN22571	CAEEL07628
OG0000954	HUMAN18210, HUMAN18209, HUMAN10206, HUMAN10205, HUMAN10272	CAEEL05990
OG0000955	HUMAN28653	CAEEL05680, CAEEL05073
OG0000955	HUMAN09438	CAEEL01495
OG0000957	HUMAN14343, HUMAN23229	CAEEL00119
OG0000963	HUMAN23351, HUMAN01011	CAEEL19266, CAEEL06520, CAEEL01905, CAEEL10906
OG0000965	HUMAN22507	CAEEL09524
OG0000965	HUMAN08123	CAEEL02685
OG0000967	HUMAN07448, HUMAN07447, HUMAN19350, HUMAN03396, HUMAN03397	CAEEL09409
OG0000969	HUMAN26507	CAEEL17140, CAEEL19686
OG0000970	HUMAN19711, HUMAN30698	CAEEL12249
OG0000972	HUMAN19914, HUMAN05358, HUMAN07389	CAEEL01404, CAEEL10528
OG0000974	HUMAN24126	CAEEL05136, CAEEL05137
OG0000978	HUMAN23161, HUMAN19104, HUMAN11274, HUMAN09230	CAEEL10436, CAEEL10678, CAEEL04915
OG0000979	HUMAN03626, HUMAN03625	CAEEL17012, CAEEL08335, CAEEL08336, CAEEL08175, CAEEL06649
OG0000982	HUMAN14333, HUMAN01637, HUMAN28757	CAEEL00871
OG0000984	HUMAN23607	CAEEL00142
OG0000985	HUMAN17532, HUMAN03584, HUMAN03585, HUMAN27498, HUMAN27502, HUMAN23895, HUMAN27499, HUMAN17533	CAEEL11989
OG0000987	HUMAN02812, HUMAN02813, HUMAN06286, HUMAN19599	CAEEL18448
OG0000988	HUMAN29197, HUMAN29196, HUMAN29296, HUMAN29297, HUMAN02183	CAEEL12259, CAEEL12260, CAEEL05294
OG0000992	HUMAN13425, HUMAN05365	CAEEL04373
OG0000994	HUMAN25360	CAEEL01877
OG0000994	HUMAN17151, HUMAN17152	CAEEL05339, CAEEL08529
OG0000995	HUMAN20125, HUMAN12107, HUMAN12112, HUMAN20124, HUMAN20123, HUMAN12108, HUMAN12110, HUMAN12111, HUMAN12109	CAEEL01961
OG0000997	HUMAN03989	CAEEL06202
OG0000999	HUMAN16037, HUMAN05058, HUMAN20396	CAEEL12779, CAEEL06159
OG0001001	HUMAN11958	CAEEL19402, CAEEL20405, CAEEL20234, CAEEL19403
OG0001002	HUMAN21505, HUMAN16097, HUMAN04437	CAEEL07056, CAEEL14828, CAEEL19782, CAEEL15732
OG0001002	HUMAN21506	CAEEL18911
OG0001003	HUMAN12092	CAEEL08220
OG0001004	HUMAN14314, HUMAN28506, HUMAN01082, HUMAN14803, HUMAN14804	CAEEL04943
OG0001005	HUMAN21015	CAEEL01384
OG0001006	HUMAN10720, HUMAN10719	CAEEL08218, CAEEL00364, CAEEL10732
OG0001007	HUMAN02245, HUMAN29304, HUMAN29303	CAEEL19587
OG0001009	HUMAN25680, HUMAN00474	CAEEL20001
OG0001013	HUMAN06060, HUMAN06061, HUMAN10491, HUMAN15925, HUMAN13289	CAEEL16541
OG0001015	HUMAN20176, HUMAN20174, HUMAN26299, HUMAN26298, HUMAN25884, HUMAN25885, HUMAN25882	CAEEL16067, CAEEL20263
OG0001016	HUMAN03017	CAEEL09313
OG0001016	HUMAN27202	CAEEL08789, CAEEL11986
OG0001017	HUMAN06335	CAEEL09308
OG0001018	HUMAN19498	CAEEL00183
OG0001018	HUMAN08887	CAEEL07047
OG0001019	HUMAN28394, HUMAN11824, HUMAN18576	CAEEL13859, CAEEL13858
OG0001022	HUMAN26689, HUMAN07618, HUMAN30205, HUMAN30207, HUMAN30206	CAEEL06254, CAEEL20075, CAEEL20775
OG0001023	HUMAN05807, HUMAN04131, HUMAN24949, HUMAN15956, HUMAN05808	CAEEL05078
OG0001024	HUMAN26241, HUMAN26240, HUMAN22736, HUMAN22737, HUMAN23893, HUMAN03150, HUMAN26239	CAEEL11623
OG0001028	HUMAN14304, HUMAN09715, HUMAN09716, HUMAN28814, HUMAN28812	CAEEL01212
OG0001029	HUMAN11011, HUMAN08233	CAEEL01262
OG0001030	HUMAN14248, HUMAN14247, HUMAN09965, HUMAN09016, HUMAN18699	CAEEL11812
OG0001031	HUMAN03538	CAEEL12448
OG0001032	HUMAN01331, HUMAN14460, HUMAN14458, HUMAN14461, HUMAN14454, HUMAN29217, HUMAN14453, HUMAN29218, HUMAN29214, HUMAN29215, HUMAN29216	CAEEL20070, CAEEL15717
OG0001033	HUMAN00952, HUMAN28581, HUMAN14253	CAEEL10717
OG0001034	HUMAN12490, HUMAN02962	CAEEL07054, CAEEL07055
OG0001036	HUMAN19198, HUMAN24555, HUMAN24554	CAEEL18611
OG0001037	HUMAN29275, HUMAN29274, HUMAN01227	CAEEL18600
OG0001038	HUMAN03489, HUMAN22265, HUMAN22267, HUMAN24196, HUMAN03488	CAEEL20450
OG0001039	HUMAN19739, HUMAN19738, HUMAN19737	CAEEL08415
OG0001039	HUMAN07040, HUMAN07042, HUMAN21441, HUMAN07041	CAEEL10624
OG0001042	HUMAN29925, HUMAN20525, HUMAN05764	CAEEL09943
OG0001044	HUMAN13978, HUMAN13979, HUMAN23652, HUMAN23653, HUMAN23654, HUMAN09935	CAEEL20285
OG0001046	HUMAN10290, HUMAN10289, HUMAN10288, HUMAN20197, HUMAN20196, HUMAN20198, HUMAN20195, HUMAN15923, HUMAN15922, HUMAN13448	CAEEL19183
OG0001050	HUMAN25173, HUMAN10022, HUMAN01869	CAEEL14076, CAEEL15706
OG0001052	HUMAN22593	CAEEL10987
OG0001053	HUMAN12525, HUMAN26150, HUMAN06551, HUMAN17942	CAEEL07572
OG0001053	HUMAN23827, HUMAN22798, HUMAN03229	CAEEL09742
OG0001058	HUMAN01956, HUMAN05750	CAEEL19015
OG0001059	HUMAN13851	CAEEL00192
OG0001060	HUMAN20265	CAEEL15786
OG0001062	HUMAN14494, HUMAN01209, HUMAN01211	CAEEL08101
OG0001063	HUMAN16934, HUMAN16936, HUMAN16935	CAEEL15713, CAEEL15714
OG0001066	HUMAN01431, HUMAN20904, HUMAN20903, HUMAN01429	CAEEL12576
OG0001072	HUMAN07095	CAEEL08406
OG0001075	HUMAN24569, HUMAN16597, HUMAN16596	CAEEL11648, CAEEL18873
OG0001076	HUMAN07536, HUMAN22387	CAEEL07541
OG0001078	HUMAN20283, HUMAN24929, HUMAN04434	CAEEL19295
OG0001079	HUMAN01422, HUMAN26876, HUMAN29846, HUMAN29847	CAEEL10503
OG0001080	HUMAN26171, HUMAN06728, HUMAN06729, HUMAN06727	CAEEL08359
OG0001082	HUMAN18213, HUMAN06409, HUMAN06410	CAEEL19080, CAEEL19079, CAEEL09741
OG0001083	HUMAN27529, HUMAN03184, HUMAN03185, HUMAN23866, HUMAN23865, HUMAN27528, HUMAN27527, HUMAN17258, HUMAN17257	CAEEL06682
OG0001084	HUMAN26028	CAEEL01831
OG0001085	HUMAN21139, HUMAN29849, HUMAN26851, HUMAN26850, HUMAN25039	CAEEL09995, CAEEL09996
OG0001091	HUMAN12947, HUMAN12946, HUMAN12945	CAEEL07358
OG0001092	HUMAN07557, HUMAN22940	CAEEL07387
OG0001093	HUMAN26567, HUMAN12954	CAEEL00638, CAEEL00637
OG0001094	HUMAN18720, HUMAN08291, HUMAN04909	CAEEL13053, CAEEL13054
OG0001095	HUMAN06662, HUMAN17682, HUMAN20656, HUMAN20657, HUMAN17681	CAEEL07595
OG0001101	HUMAN05769	CAEEL11585
OG0001102	HUMAN18703, HUMAN04710, HUMAN18704, HUMAN04709	CAEEL08853
OG0001103	HUMAN25684, HUMAN27937, HUMAN27936	CAEEL18815
OG0001104	HUMAN09442	CAEEL09176, CAEEL09177
OG0001104	HUMAN28171, HUMAN00516, HUMAN16748	CAEEL20081
OG0001107	HUMAN21851, HUMAN30406, HUMAN07877, HUMAN07869	CAEEL18427
OG0001108	HUMAN06470, HUMAN26420	CAEEL09307
OG0001109	HUMAN13295, HUMAN13298, HUMAN22148	CAEEL14851, CAEEL20028, CAEEL14852, CAEEL14853, CAEEL13761, CAEEL14859, CAEEL09898, CAEEL19118
OG0001112	HUMAN18525, HUMAN18524, HUMAN07786, HUMAN07782	CAEEL19902
OG0001112	HUMAN30342, HUMAN07785, HUMAN07783, HUMAN18526	CAEEL19901
OG0001113	HUMAN20232	CAEEL15158
OG0001113	HUMAN21591	CAEEL01128
OG0001113	HUMAN13568, HUMAN13567, HUMAN13565, HUMAN13566	CAEEL07385
OG0001114	HUMAN09738, HUMAN09739, HUMAN01816	CAEEL11582, CAEEL01758, CAEEL01759
OG0001116	HUMAN12509	CAEEL04351
OG0001124	HUMAN13636, HUMAN29856, HUMAN29855, HUMAN29854, HUMAN29853	CAEEL08814
OG0001126	HUMAN11886, HUMAN21463, HUMAN11885, HUMAN11887, HUMAN11884	CAEEL04859
OG0001130	HUMAN23634	CAEEL00952, CAEEL00232
OG0001131	HUMAN17000, HUMAN08891, HUMAN08890, HUMAN08889	CAEEL14208
OG0001132	HUMAN28769	CAEEL04290
OG0001133	HUMAN23355	CAEEL11294
OG0001135	HUMAN10157, HUMAN10262, HUMAN10159, HUMAN10160, HUMAN10158, HUMAN10261	CAEEL02069
OG0001136	HUMAN14242, HUMAN23717, HUMAN09626, HUMAN09622	CAEEL02001
OG0001137	HUMAN15475, HUMAN15476, HUMAN16861, HUMAN15474	CAEEL04790
OG0001138	HUMAN06608, HUMAN27335, HUMAN21562	CAEEL07800, CAEEL07799
OG0001139	HUMAN29573	CAEEL06928, CAEEL15457
OG0001140	HUMAN28111, HUMAN00689, HUMAN16613	CAEEL14389
OG0001141	HUMAN28829	CAEEL01107, CAEEL01106
OG0001142	HUMAN04836, HUMAN04835	CAEEL12657
OG0001143	HUMAN26902, HUMAN09500, HUMAN09501, HUMAN28929, HUMAN01633	CAEEL01013
OG0001155	HUMAN28847, HUMAN28848, HUMAN28849	CAEEL13066, CAEEL13586, CAEEL04642, CAEEL13526
OG0001156	HUMAN06276, HUMAN06274, HUMAN12764, HUMAN26033, HUMAN18478, HUMAN18476	CAEEL20728
OG0001158	HUMAN19220, HUMAN19221, HUMAN13723, HUMAN13724	CAEEL00147
OG0001159	HUMAN16647, HUMAN28079, HUMAN28078	CAEEL07987, CAEEL18966
OG0001160	HUMAN07003, HUMAN07004, HUMAN01405	CAEEL16381, CAEEL20121
OG0001162	HUMAN05494, HUMAN05495, HUMAN05496, HUMAN05497, HUMAN19367	CAEEL18096
OG0001163	HUMAN03540, HUMAN22604, HUMAN22605	CAEEL11823, CAEEL14454, CAEEL17374
OG0001164	HUMAN20034, HUMAN20033	CAEEL07306
OG0001165	HUMAN25194, HUMAN25193, HUMAN25195	CAEEL19696
OG0001167	HUMAN08882, HUMAN08883, HUMAN17001	CAEEL04546
OG0001168	HUMAN19115	CAEEL02000
OG0001171	HUMAN27880, HUMAN25618, HUMAN25619, HUMAN19014, HUMAN19015	CAEEL20677
OG0001172	HUMAN03030, HUMAN18130	CAEEL13596
OG0001173	HUMAN01792	CAEEL15708
OG0001173	HUMAN01793	CAEEL14248
OG0001175	HUMAN27761, HUMAN17515	CAEEL15152, CAEEL14463, CAEEL15032, CAEEL15031, CAEEL06075, CAEEL10718
OG0001176	HUMAN27503, HUMAN03360	CAEEL11466
OG0001177	HUMAN13792, HUMAN13793, HUMAN13794, HUMAN26270	CAEEL08262, CAEEL18706
OG0001178	HUMAN01065	CAEEL05306
OG0001179	HUMAN19099	CAEEL07894, CAEEL04651, CAEEL04194, CAEEL05939
OG0001180	HUMAN22452	CAEEL00751
OG0001181	HUMAN12489, HUMAN02963, HUMAN12488	CAEEL08327
OG0001183	HUMAN12777	CAEEL12969, CAEEL02318
OG0001184	HUMAN24892, HUMAN24891	CAEEL20576
OG0001184	HUMAN04448, HUMAN04447	CAEEL19676
OG0001185	HUMAN24530, HUMAN24531, HUMAN00600	CAEEL01778
OG0001186	HUMAN13742	CAEEL00480
OG0001186	HUMAN11615	CAEEL09703
OG0001188	HUMAN04837, HUMAN15459, HUMAN08381, HUMAN16878	CAEEL14362
OG0001189	HUMAN19325, HUMAN16570, HUMAN27793	CAEEL01928
OG0001191	HUMAN27560, HUMAN03181, HUMAN23867	CAEEL09751, CAEEL20476, CAEEL09505
OG0001197	HUMAN04807	CAEEL11613
OG0001200	HUMAN08842, HUMAN08840	CAEEL05263
OG0001201	HUMAN19000, HUMAN28333	CAEEL02666
OG0001203	HUMAN16859, HUMAN04776, HUMAN04775, HUMAN08382, HUMAN16858	CAEEL09769
OG0001204	HUMAN07266, HUMAN13045	CAEEL09132
OG0001208	HUMAN17864, HUMAN26576	CAEEL10574
OG0001209	HUMAN27649, HUMAN27648	CAEEL00442
OG0001210	HUMAN18754	CAEEL06396
OG0001210	HUMAN21606	CAEEL06380
OG0001211	HUMAN17696	CAEEL08708
OG0001213	HUMAN03742	CAEEL01138, CAEEL01163, CAEEL01148, CAEEL04429, CAEEL04430
OG0001214	HUMAN02956, HUMAN02957	CAEEL08401
OG0001215	HUMAN26208, HUMAN26209, HUMAN17597, HUMAN06423	CAEEL11249
OG0001216	HUMAN05988, HUMAN05987, HUMAN11890	CAEEL04644
OG0001217	HUMAN29664, HUMAN25763	CAEEL08746
OG0001218	HUMAN05862, HUMAN00140, HUMAN11965	CAEEL20131, CAEEL14167
OG0001219	HUMAN18053, HUMAN24346, HUMAN01814, HUMAN09792, HUMAN09790	CAEEL20379
OG0001220	HUMAN07348	CAEEL07890
OG0001221	HUMAN08173, HUMAN08174, HUMAN08177, HUMAN08176, HUMAN08178, HUMAN08175, HUMAN08179, HUMAN08180	CAEEL13124
OG0001223	HUMAN27843, HUMAN11032, HUMAN07991, HUMAN19019, HUMAN11033	CAEEL02795
OG0001224	HUMAN00248, HUMAN00249, HUMAN00250, HUMAN15488, HUMAN15490, HUMAN00247	CAEEL07196
OG0001225	HUMAN09188, HUMAN28761, HUMAN14334	CAEEL02873
OG0001226	HUMAN19536, HUMAN30088, HUMAN25307	CAEEL02848, CAEEL02849
OG0001230	HUMAN00718	CAEEL12987, CAEEL17236, CAEEL15243, CAEEL01949
OG0001231	HUMAN08474	CAEEL15401
OG0001233	HUMAN07688	CAEEL03755, CAEEL04189
OG0001234	HUMAN11224, HUMAN13874, HUMAN11222	CAEEL00806
OG0001236	HUMAN15304, HUMAN05859	CAEEL18476, CAEEL18477, CAEEL05637, CAEEL05588
OG0001238	HUMAN09752, HUMAN24272, HUMAN20738, HUMAN12789, HUMAN06408	CAEEL05166, CAEEL11182
OG0001239	HUMAN21103, HUMAN26890, HUMAN21102	CAEEL12011
OG0001241	HUMAN18832, HUMAN18831	CAEEL01749
OG0001241	HUMAN07799	CAEEL19375
OG0001243	HUMAN27651, HUMAN27653, HUMAN27652, HUMAN27650, HUMAN09639	CAEEL01806
OG0001247	HUMAN27059, HUMAN20519, HUMAN29792, HUMAN27060	CAEEL10570
OG0001248	HUMAN18429, HUMAN18430, HUMAN03092, HUMAN03076, HUMAN03293, HUMAN03125, HUMAN03071, HUMAN27267, HUMAN06688, HUMAN18428, HUMAN27270, HUMAN27268	CAEEL08830
OG0001249	HUMAN14397, HUMAN05364, HUMAN05363, HUMAN28497, HUMAN00860, HUMAN14396	CAEEL06406
OG0001250	HUMAN13009, HUMAN20055, HUMAN20056, HUMAN20057, HUMAN12131	CAEEL18712
OG0001251	HUMAN11600, HUMAN08159, HUMAN08158	CAEEL01802
OG0001252	HUMAN15100, HUMAN01282, HUMAN14175, HUMAN14174	CAEEL05030
OG0001253	HUMAN20377, HUMAN24966, HUMAN20379, HUMAN24965	CAEEL10888, CAEEL10887
OG0001254	HUMAN23638, HUMAN23637, HUMAN09380	CAEEL00935
OG0001256	HUMAN25828	CAEEL01426, CAEEL01244, CAEEL01245, CAEEL09738, CAEEL10917, CAEEL07997
OG0001261	HUMAN22947, HUMAN04078, HUMAN04079	CAEEL07850
OG0001262	HUMAN29428, HUMAN24853	CAEEL15249, CAEEL20627
OG0001266	HUMAN13676, HUMAN13675, HUMAN18946	CAEEL07143
OG0001267	HUMAN26403, HUMAN07336, HUMAN07335, HUMAN04653, HUMAN27474, HUMAN27478	CAEEL14111
OG0001268	HUMAN20923, HUMAN22451, HUMAN29785, HUMAN29783	CAEEL11342
OG0001270	HUMAN10267, HUMAN10268, HUMAN10266, HUMAN10495	CAEEL01959
OG0001271	HUMAN13162	CAEEL15623
OG0001271	HUMAN27281, HUMAN13161, HUMAN06386	CAEEL08717, CAEEL00634
OG0001272	HUMAN10856, HUMAN12263, HUMAN28972	CAEEL07720, CAEEL09293
OG0001274	HUMAN01186, HUMAN14450, HUMAN29306	CAEEL20835, CAEEL00917, CAEEL15316, CAEEL07981
OG0001278	HUMAN13574, HUMAN02569, HUMAN02570	CAEEL20013
OG0001278	HUMAN28347	CAEEL10735
OG0001279	HUMAN15552, HUMAN15549, HUMAN09000, HUMAN02712	CAEEL15321, CAEEL15322, CAEEL20353
OG0001280	HUMAN09972, HUMAN14369, HUMAN28522	CAEEL00726
OG0001281	HUMAN05763, HUMAN25263, HUMAN04721, HUMAN04723	CAEEL05459
OG0001282	HUMAN11803, HUMAN21801	CAEEL04296
OG0001284	HUMAN27205	CAEEL08223
OG0001284	HUMAN09392	CAEEL01272
OG0001285	HUMAN22105, HUMAN03724, HUMAN03727, HUMAN27715, HUMAN22104, HUMAN03725, HUMAN03726	CAEEL06501
OG0001287	HUMAN23780, HUMAN17479, HUMAN26326, HUMAN22569, HUMAN30270	CAEEL16475
OG0001288	HUMAN09745, HUMAN23493	CAEEL18355
OG0001290	HUMAN23738, HUMAN09455, HUMAN11087	CAEEL12279
OG0001291	HUMAN27542, HUMAN22728, HUMAN03289	CAEEL11483
OG0001292	HUMAN20666, HUMAN18444, HUMAN18446	CAEEL07942
OG0001293	HUMAN07380, HUMAN07387, HUMAN07382, HUMAN04647, HUMAN12393	CAEEL07048
OG0001294	HUMAN08609	CAEEL15893
OG0001296	HUMAN08945, HUMAN04788, HUMAN02472, HUMAN02470, HUMAN02471	CAEEL00003, CAEEL14758
OG0001300	HUMAN21610, HUMAN07635, HUMAN30249	CAEEL09562
OG0001302	HUMAN00934	CAEEL01736
OG0001302	HUMAN28036	CAEEL12633
OG0001304	HUMAN07987, HUMAN11035, HUMAN27849, HUMAN19007, HUMAN07988	CAEEL00728
OG0001305	HUMAN14853, HUMAN29257, HUMAN01234	CAEEL19700
OG0001306	HUMAN01015, HUMAN01014	CAEEL05042
OG0001306	HUMAN29260	CAEEL06741
OG0001310	HUMAN09336, HUMAN09337	CAEEL16286
OG0001311	HUMAN02788	CAEEL07271, CAEEL18160
OG0001315	HUMAN13234, HUMAN13233, HUMAN25875	CAEEL20540
OG0001318	HUMAN16547, HUMAN16548	CAEEL06153
OG0001318	HUMAN21172, HUMAN21173	CAEEL02686
OG0001319	HUMAN30310, HUMAN21541	CAEEL15967
OG0001320	HUMAN27988, HUMAN27989	CAEEL02958
OG0001320	HUMAN09292, HUMAN16855, HUMAN16856	CAEEL05842, CAEEL10256, CAEEL08614, CAEEL15241, CAEEL08907
OG0001321	HUMAN01841	CAEEL02303, CAEEL00016
OG0001325	HUMAN22707, HUMAN22706, HUMAN22705, HUMAN22708, HUMAN22704, HUMAN22702, HUMAN22701, HUMAN22703	CAEEL12980
OG0001326	HUMAN03521, HUMAN17368, HUMAN17367, HUMAN03603	CAEEL18463, CAEEL12672, CAEEL19447
OG0001327	HUMAN06766, HUMAN06765, HUMAN02428	CAEEL12070
OG0001329	HUMAN02833	CAEEL03625, CAEEL07934
OG0001330	HUMAN10847, HUMAN12308, HUMAN07235, HUMAN10846	CAEEL07772
OG0001333	HUMAN20118, HUMAN10313	CAEEL08384, CAEEL10397, CAEEL14152, CAEEL14148, CAEEL14153
OG0001335	HUMAN28637	CAEEL01950
OG0001337	HUMAN13008, HUMAN23397, HUMAN00896	CAEEL08858
OG0001339	HUMAN25156, HUMAN16668	CAEEL01555
OG0001341	HUMAN13955	CAEEL12273
OG0001344	HUMAN17092	CAEEL12166
OG0001348	HUMAN07855, HUMAN07854, HUMAN07853, HUMAN30397, HUMAN07856	CAEEL20290
OG0001350	HUMAN01020	CAEEL06068
OG0001350	HUMAN18742	CAEEL05555
OG0001351	HUMAN30584	CAEEL20071, CAEEL20072
OG0001353	HUMAN18886	CAEEL07231
OG0001354	HUMAN01464, HUMAN01976	CAEEL18385
OG0001355	HUMAN24307, HUMAN22136, HUMAN03703	CAEEL19633
OG0001356	HUMAN21113, HUMAN06242	CAEEL10619
OG0001357	HUMAN16834, HUMAN04831, HUMAN09251, HUMAN15455	CAEEL15128
OG0001363	HUMAN02206	CAEEL12526, CAEEL18947, CAEEL08666, CAEEL12684, CAEEL11272
OG0001364	HUMAN18390, HUMAN26706, HUMAN18389	CAEEL16269
OG0001366	HUMAN26227, HUMAN18013	CAEEL07140
OG0001367	HUMAN19005, HUMAN13672, HUMAN16628, HUMAN16627	CAEEL16176
OG0001368	HUMAN18786, HUMAN18785, HUMAN08633	CAEEL15247
OG0001369	HUMAN20946, HUMAN20945, HUMAN02425, HUMAN02423, HUMAN02424, HUMAN06739, HUMAN06737, HUMAN06738	CAEEL05836
OG0001370	HUMAN10042	CAEEL19838
OG0001370	HUMAN18140	CAEEL11201
OG0001372	HUMAN01152	CAEEL04824, CAEEL16917
OG0001373	HUMAN10735	CAEEL18831
OG0001375	HUMAN25598, HUMAN00578, HUMAN00579	CAEEL01718
OG0001376	HUMAN05736, HUMAN05737, HUMAN15337, HUMAN19374	CAEEL18806
OG0001378	HUMAN27599, HUMAN03792, HUMAN24020, HUMAN22165, HUMAN24018	CAEEL01898
OG0001379	HUMAN30001, HUMAN21524, HUMAN05168, HUMAN05167, HUMAN17620, HUMAN17658	CAEEL20800, CAEEL08440
OG0001380	HUMAN23909, HUMAN23910, HUMAN04086, HUMAN22347	CAEEL07027
OG0001381	HUMAN14335, HUMAN09185, HUMAN28764	CAEEL01510
OG0001383	HUMAN01927	CAEEL18479
OG0001387	HUMAN17998, HUMAN17999, HUMAN06632	CAEEL01449, CAEEL05040, CAEEL06498
OG0001389	HUMAN30191, HUMAN30192, HUMAN26892, HUMAN26891, HUMAN17427, HUMAN22895, HUMAN24383	CAEEL06582
OG0001394	HUMAN27466	CAEEL16146
OG0001395	HUMAN00543, HUMAN25836, HUMAN30091, HUMAN29663	CAEEL01604
OG0001397	HUMAN24255, HUMAN03558	CAEEL05815, CAEEL05422, CAEEL16780, CAEEL05924, CAEEL19916
OG0001397	HUMAN03597	CAEEL19290
OG0001398	HUMAN30494, HUMAN20842	CAEEL14339
OG0001399	HUMAN07651, HUMAN18963, HUMAN18962, HUMAN11037	CAEEL00972
OG0001404	HUMAN10248, HUMAN10247	CAEEL15778
OG0001405	HUMAN20770, HUMAN11517, HUMAN20772	CAEEL00987
OG0001408	HUMAN29375, HUMAN14479, HUMAN01329	CAEEL19513
OG0001409	HUMAN15650, HUMAN21360	CAEEL02567
OG0001410	HUMAN18249, HUMAN18248, HUMAN25904, HUMAN25903	CAEEL16277
OG0001411	HUMAN22432, HUMAN22431	CAEEL07405
OG0001413	HUMAN07320, HUMAN07322	CAEEL08368
OG0001413	HUMAN10070	CAEEL04716
OG0001414	HUMAN16822, HUMAN26311	CAEEL13823
OG0001418	HUMAN14784, HUMAN00927, HUMAN14783, HUMAN15009, HUMAN23427	CAEEL11722
OG0001421	HUMAN04839, HUMAN08948, HUMAN02585	CAEEL14241
