Orthogroup	APOSC_ok	CAPO3
OG0001469	APOSC_21558	CAPO306371
OG0001469	APOSC_12521	CAPO301724
OG0001470	APOSC_15496	CAPO305163
OG0001472	APOSC_03478	CAPO300986
OG0001472	APOSC_26882	CAPO305311
OG0001473	APOSC_25378, APOSC_24554	CAPO304310
OG0001474	APOSC_28339	CAPO306191
OG0001475	APOSC_19285, APOSC_00671	CAPO305552
OG0001476	APOSC_20045	CAPO305062
OG0001478	APOSC_12978	CAPO303095
OG0001478	APOSC_11937	CAPO304965
OG0001479	APOSC_29168	CAPO306515
OG0001482	APOSC_19050	CAPO307610
OG0001484	APOSC_25021, APOSC_13556	CAPO301411
OG0001485	APOSC_23085, APOSC_23084, APOSC_23083	CAPO301954
OG0001486	APOSC_27432	CAPO302441
OG0001490	APOSC_22165	CAPO305433
OG0001492	APOSC_14714	CAPO305155
OG0001495	APOSC_01292	CAPO302008
OG0001496	APOSC_09640, APOSC_09641, APOSC_02129, APOSC_24932, APOSC_13192, APOSC_06926	CAPO301356
OG0001500	APOSC_10163, APOSC_10164	CAPO300054
OG0001501	APOSC_12105, APOSC_12106, APOSC_12104, APOSC_12107	CAPO305474
OG0001503	APOSC_07503	CAPO305666
OG0001503	APOSC_29093	CAPO307598
OG0001504	APOSC_05548	CAPO307661
OG0001505	APOSC_22405, APOSC_28266, APOSC_14626, APOSC_02151, APOSC_07032, APOSC_21083, APOSC_06533	CAPO301009
OG0001506	APOSC_17974, APOSC_17975, APOSC_17976	CAPO300953
OG0001507	APOSC_20414	CAPO304204
OG0001511	APOSC_07488, APOSC_26249	CAPO306127, CAPO305043
OG0001512	APOSC_13901	CAPO301118
OG0001516	APOSC_04613, APOSC_04614	CAPO300345
OG0001517	APOSC_10273	CAPO303690
OG0001519	APOSC_04846	CAPO306949
OG0001522	APOSC_05577, APOSC_16037	CAPO303667
OG0001524	APOSC_18612	CAPO300996
OG0001524	APOSC_18631	CAPO308304
OG0001526	APOSC_21222, APOSC_12286	CAPO305679
OG0001527	APOSC_26650	CAPO300128
OG0001527	APOSC_04022	CAPO307636
OG0001529	APOSC_17321, APOSC_03920	CAPO300593
OG0001530	APOSC_25625	CAPO302602
OG0001532	APOSC_13448	CAPO300282
OG0001533	APOSC_28817, APOSC_28816	CAPO306032
OG0001534	APOSC_07636	CAPO304425
OG0001545	APOSC_17565	CAPO300895
OG0001551	APOSC_25143	CAPO306604
OG0001553	APOSC_17818, APOSC_17817, APOSC_17816	CAPO308172
OG0001554	APOSC_12359	CAPO302370
OG0001557	APOSC_21247	CAPO304176
OG0001558	APOSC_12692	CAPO301132
OG0001558	APOSC_18352	CAPO303811
OG0001559	APOSC_06915	CAPO301785
OG0001561	APOSC_03964	CAPO301999
OG0001563	APOSC_15535, APOSC_15427, APOSC_27127, APOSC_21984	CAPO306378
OG0001564	APOSC_06037, APOSC_06038	CAPO301061
OG0001567	APOSC_14453	CAPO300948
OG0001568	APOSC_28643	CAPO301468
OG0001570	APOSC_29138	CAPO303364
OG0001572	APOSC_16015, APOSC_16016	CAPO304756
OG0001572	APOSC_02447	CAPO304137
OG0001573	APOSC_24147, APOSC_24146	CAPO305125, CAPO303819
OG0001576	APOSC_19353, APOSC_19354	CAPO306270
OG0001578	APOSC_25871	CAPO300715
OG0001580	APOSC_04582, APOSC_04583	CAPO307900
OG0001581	APOSC_12012	CAPO306056
OG0001582	APOSC_09174	CAPO307073
OG0001583	APOSC_05042, APOSC_05043, APOSC_05041	CAPO306289
OG0001584	APOSC_24188	CAPO301068
OG0001589	APOSC_14644	CAPO303301, CAPO304004
OG0001590	APOSC_05334, APOSC_06008, APOSC_06664	CAPO302386
OG0001593	APOSC_01201, APOSC_17370	CAPO305942
OG0001594	APOSC_14190, APOSC_13045	CAPO307886
OG0001594	APOSC_20977	CAPO304243
OG0001597	APOSC_09081	CAPO302703
OG0001599	APOSC_03974	CAPO300887
OG0001600	APOSC_23093	CAPO305994
OG0001603	APOSC_19684, APOSC_08042	CAPO306228
OG0001604	APOSC_08984	CAPO303898
OG0001605	APOSC_08927, APOSC_24537	CAPO307473
OG0001609	APOSC_15382	CAPO304683
OG0001609	APOSC_18863	CAPO302057
OG0001611	APOSC_16863	CAPO305038
OG0001612	APOSC_20257	CAPO302202
OG0001614	APOSC_25539	CAPO303895
OG0001614	APOSC_17721	CAPO307630
OG0001615	APOSC_22981, APOSC_22982	CAPO300749
OG0001617	APOSC_17358, APOSC_17357	CAPO302798
OG0001621	APOSC_06290, APOSC_06292, APOSC_06291	CAPO302875
OG0001622	APOSC_24336	CAPO302121
OG0001634	APOSC_06560	CAPO305688
OG0001634	APOSC_05598	CAPO305614
OG0001638	APOSC_28340	CAPO303528
OG0001641	APOSC_16997	CAPO303281
OG0001643	APOSC_19563	CAPO306838
OG0001644	APOSC_08859	CAPO303665
OG0001652	APOSC_23882, APOSC_23883, APOSC_28560	CAPO302838
OG0001653	APOSC_08321	CAPO305118
OG0001655	APOSC_19955	CAPO302812
OG0001657	APOSC_20037	CAPO304165, CAPO303952
OG0001660	APOSC_25851	CAPO305930
OG0001661	APOSC_05078	CAPO302789
OG0001661	APOSC_19581	CAPO304920
OG0001663	APOSC_14512, APOSC_14513, APOSC_19966, APOSC_00664	CAPO301057
OG0001664	APOSC_08011, APOSC_08010	CAPO303152
OG0001665	APOSC_03053, APOSC_26736	CAPO302331
OG0001672	APOSC_24758, APOSC_09103, APOSC_09104	CAPO301880
OG0001673	APOSC_21746	CAPO305520
OG0001674	APOSC_13291	CAPO301357
OG0001675	APOSC_15911, APOSC_00269, APOSC_15910	CAPO307574
OG0001676	APOSC_11977	CAPO300524
OG0001676	APOSC_18551	CAPO305992
OG0001677	APOSC_19672, APOSC_08955, APOSC_00896, APOSC_10740, APOSC_06257	CAPO307978
OG0001679	APOSC_20310, APOSC_22953, APOSC_12720, APOSC_11611, APOSC_27365, APOSC_06847	CAPO302155, CAPO305784
OG0001680	APOSC_05052	CAPO304235, CAPO304477
OG0001684	APOSC_05984, APOSC_05985	CAPO300563
OG0001685	APOSC_03873	CAPO307707
OG0001686	APOSC_20706	CAPO307138
OG0001687	APOSC_25333, APOSC_09970, APOSC_10763	CAPO302907
OG0001688	APOSC_10916	CAPO300133
OG0001690	APOSC_11666, APOSC_21256	CAPO304820
OG0001691	APOSC_09746, APOSC_09745, APOSC_09749, APOSC_09748	CAPO307420
OG0001704	APOSC_20746, APOSC_00421	CAPO304434
OG0001706	APOSC_11809, APOSC_11808	CAPO301033
OG0001707	APOSC_26684	CAPO303836
OG0001708	APOSC_07420	CAPO303804
OG0001709	APOSC_04296, APOSC_04297, APOSC_04295, APOSC_19317	CAPO304969
OG0001711	APOSC_08529	CAPO301872
OG0001713	APOSC_19043	CAPO308041
OG0001713	APOSC_26360	CAPO302278
OG0001714	APOSC_05609	CAPO306669
OG0001714	APOSC_27772	CAPO300188
OG0001718	APOSC_01586, APOSC_06428	CAPO301559, CAPO301838
OG0001720	APOSC_02735	CAPO303957
OG0001721	APOSC_23771	CAPO302302
OG0001723	APOSC_21374	CAPO308089
OG0001724	APOSC_17946	CAPO306474
OG0001727	APOSC_18118	CAPO301729
OG0001730	APOSC_18068, APOSC_18069	CAPO303469
OG0001732	APOSC_07953	CAPO304710
OG0001733	APOSC_23430, APOSC_24440, APOSC_23429	CAPO306615
OG0001734	APOSC_04069	CAPO306594
OG0001735	APOSC_28608	CAPO301389
OG0001736	APOSC_23753	CAPO300355
OG0001738	APOSC_01320	CAPO301655
OG0001739	APOSC_04485	CAPO304154
OG0001743	APOSC_24356	CAPO306128
OG0001746	APOSC_21933	CAPO306662
OG0001750	APOSC_05785	CAPO304954
OG0001755	APOSC_20267	CAPO300413
OG0001756	APOSC_02548	CAPO301153
OG0001756	APOSC_08277	CAPO306605
OG0001769	APOSC_25926	CAPO300754
OG0001769	APOSC_03841	CAPO306748
OG0001770	APOSC_21836, APOSC_21835	CAPO304551
OG0001772	APOSC_23516, APOSC_23515	CAPO303731
OG0001774	APOSC_20306, APOSC_14597	CAPO302411
OG0001775	APOSC_26681, APOSC_26577, APOSC_22869, APOSC_22870, APOSC_26576	CAPO300385, CAPO303998
OG0001778	APOSC_15463, APOSC_15462	CAPO303585
OG0001781	APOSC_12405	CAPO304059
OG0001781	APOSC_25815	CAPO306335
OG0001782	APOSC_24182	CAPO302329
OG0001783	APOSC_07401	CAPO302497
OG0001787	APOSC_00374	CAPO302384
OG0001789	APOSC_28424, APOSC_28423	CAPO303597
OG0001792	APOSC_10659	CAPO302146
OG0001793	APOSC_11265	CAPO302934
OG0001793	APOSC_12986, APOSC_12985	CAPO300098
OG0001794	APOSC_11754	CAPO305037
OG0001797	APOSC_08522, APOSC_28716	CAPO305230
OG0001799	APOSC_18784	CAPO307439
OG0001800	APOSC_07734	CAPO302099, CAPO301494
OG0001801	APOSC_13558	CAPO301631, CAPO300406, CAPO302328, CAPO300564
OG0001802	APOSC_09334	CAPO307992
OG0001804	APOSC_17841	CAPO307706
OG0001805	APOSC_14981	CAPO301307
OG0001807	APOSC_17157, APOSC_17156	CAPO305640
OG0001808	APOSC_21460	CAPO300354
OG0001809	APOSC_18192	CAPO307543
OG0001811	APOSC_12495, APOSC_02839, APOSC_24756, APOSC_19380	CAPO304043
OG0001814	APOSC_06810	CAPO305508
OG0001816	APOSC_13560, APOSC_20034, APOSC_13559	CAPO300431
OG0001818	APOSC_28601, APOSC_28600, APOSC_28602, APOSC_18594	CAPO302088
OG0001819	APOSC_10403	CAPO307172
OG0001820	APOSC_05874	CAPO300515
OG0001822	APOSC_18765, APOSC_02285	CAPO301119
OG0001825	APOSC_10436	CAPO306238
OG0001827	APOSC_01013	CAPO303060
OG0001830	APOSC_05587	CAPO300316
OG0001831	APOSC_23596	CAPO306824
OG0001834	APOSC_01951	CAPO301512
OG0001849	APOSC_12413, APOSC_12414, APOSC_13748, APOSC_14428, APOSC_18179	CAPO303014
OG0001850	APOSC_24800, APOSC_00640	CAPO301689
OG0001851	APOSC_16345, APOSC_26158, APOSC_16346, APOSC_26159, APOSC_18047	CAPO303828
OG0001852	APOSC_08845	CAPO303604
OG0001857	APOSC_18896	CAPO306766
OG0001859	APOSC_24401, APOSC_28844, APOSC_13507	CAPO304942
OG0001860	APOSC_14509	CAPO306960
OG0001861	APOSC_06627	CAPO303333
OG0001863	APOSC_10423, APOSC_10422, APOSC_26636	CAPO300966
OG0001864	APOSC_12878, APOSC_12877	CAPO300448
OG0001866	APOSC_28306, APOSC_28307	CAPO306683
OG0001867	APOSC_02450	CAPO302026
OG0001870	APOSC_28584, APOSC_28583	CAPO303422
OG0001871	APOSC_05233	CAPO300664
OG0001873	APOSC_24589, APOSC_02615, APOSC_02614	CAPO305494
OG0001875	APOSC_28674	CAPO303129
OG0001875	APOSC_02272	CAPO300770
OG0001877	APOSC_00171	CAPO305419
OG0001878	APOSC_07100	CAPO300594
OG0001879	APOSC_04307	CAPO302675
OG0001879	APOSC_23988	CAPO304068
OG0001882	APOSC_05527, APOSC_20571	CAPO302587
OG0001883	APOSC_24533, APOSC_18796	CAPO304395
OG0001886	APOSC_24954	CAPO301013
OG0001888	APOSC_16509, APOSC_16510	CAPO307373
OG0001894	APOSC_00243, APOSC_00244	CAPO305070
OG0001895	APOSC_15357	CAPO300178
OG0001898	APOSC_22780	CAPO303887
OG0001900	APOSC_23428, APOSC_09065, APOSC_09064, APOSC_09066	CAPO306468, CAPO308362
OG0001901	APOSC_00350, APOSC_00351	CAPO302174
OG0001903	APOSC_14862	CAPO301651
OG0001913	APOSC_27752, APOSC_27753, APOSC_27754	CAPO308270
OG0001914	APOSC_20774, APOSC_13874	CAPO308187
OG0001915	APOSC_20247, APOSC_07947	CAPO305922
OG0001916	APOSC_23888, APOSC_24601	CAPO304398
OG0001917	APOSC_15433	CAPO303937
OG0001919	APOSC_00551	CAPO305966
OG0001919	APOSC_05472	CAPO300799
OG0001923	APOSC_09651	CAPO300364
OG0001926	APOSC_03347	CAPO308203
OG0001927	APOSC_05723, APOSC_05724	CAPO303832
OG0001928	APOSC_07496, APOSC_05354	CAPO303627
OG0001930	APOSC_03335	CAPO301567
OG0001931	APOSC_26375	CAPO306905
OG0001932	APOSC_17044, APOSC_21184	CAPO304653
OG0001935	APOSC_26841, APOSC_26842, APOSC_11624	CAPO301339
OG0001937	APOSC_00483	CAPO301986
OG0001939	APOSC_04076, APOSC_15167	CAPO304703
OG0001940	APOSC_10905, APOSC_14288, APOSC_14537, APOSC_10863, APOSC_14287	CAPO307447
OG0001941	APOSC_09255	CAPO303660
OG0001943	APOSC_02483	CAPO304272
OG0001945	APOSC_02753	CAPO302125, CAPO302413
OG0001947	APOSC_08756, APOSC_08755	CAPO306182
OG0001948	APOSC_15727, APOSC_25491	CAPO307548
OG0001949	APOSC_01974, APOSC_01975	CAPO303945
OG0001951	APOSC_14703	CAPO305792
OG0001953	APOSC_21413	CAPO306993
OG0001956	APOSC_19003	CAPO302405
OG0001957	APOSC_20113	CAPO307027
OG0001961	APOSC_07087, APOSC_07086	CAPO301591
OG0001963	APOSC_19972	CAPO304559
OG0001964	APOSC_19437	CAPO306144
OG0001965	APOSC_21927	CAPO305377
OG0001966	APOSC_00471, APOSC_23471	CAPO308069
OG0001968	APOSC_15282, APOSC_28315, APOSC_15708	CAPO303436
OG0001969	APOSC_03017, APOSC_04453	CAPO301897
OG0001972	APOSC_24260, APOSC_24259, APOSC_24261, APOSC_24262	CAPO302726
OG0001985	APOSC_05664	CAPO307425
OG0001988	APOSC_25583, APOSC_25582	CAPO301454
OG0001989	APOSC_17366, APOSC_18146, APOSC_17367	CAPO303699
OG0001992	APOSC_16707	CAPO301694
OG0001994	APOSC_27175, APOSC_00668, APOSC_00667	CAPO307422
OG0001997	APOSC_07194, APOSC_07193	CAPO301018
OG0001998	APOSC_15820	CAPO304168
OG0001999	APOSC_11828, APOSC_24940	CAPO303159
OG0002000	APOSC_03132, APOSC_22658	CAPO305912
OG0002001	APOSC_06835	CAPO301730, CAPO305766
OG0002003	APOSC_24514, APOSC_24513, APOSC_11225, APOSC_24019	CAPO306645
OG0002004	APOSC_17319, APOSC_10529, APOSC_20102	CAPO305661, CAPO300359
OG0002006	APOSC_27992, APOSC_20625	CAPO302881
OG0002007	APOSC_21093	CAPO301764
OG0002008	APOSC_03844, APOSC_03845	CAPO308237
OG0002009	APOSC_02037, APOSC_02036	CAPO305521
OG0002009	APOSC_22841, APOSC_18423, APOSC_02187	CAPO304107
OG0002010	APOSC_14891	CAPO303286
OG0002011	APOSC_29016, APOSC_14058	CAPO305222
OG0002014	APOSC_11193	CAPO305309
OG0002015	APOSC_10940, APOSC_02399, APOSC_18090, APOSC_20828, APOSC_09531, APOSC_10941, APOSC_24268, APOSC_23791, APOSC_17290, APOSC_09532, APOSC_04898	CAPO304377
OG0002016	APOSC_06819, APOSC_06816, APOSC_06818, APOSC_06817	CAPO300736, CAPO303360
OG0002019	APOSC_01883, APOSC_01885, APOSC_01882, APOSC_01884	CAPO303943, CAPO301189
OG0002020	APOSC_19698, APOSC_19699	CAPO301809, CAPO306607
OG0002024	APOSC_11891	CAPO300776
OG0002026	APOSC_06220, APOSC_15641	CAPO307889, CAPO306582
OG0002027	APOSC_06267	CAPO307021
OG0002029	APOSC_07521	CAPO301097
OG0002029	APOSC_06710, APOSC_06711	CAPO303181
OG0002030	APOSC_21946	CAPO303987
OG0002031	APOSC_24523	CAPO300135
OG0002032	APOSC_00301	CAPO304689
OG0002034	APOSC_03606, APOSC_03605	CAPO306318
OG0002042	APOSC_25585, APOSC_23059, APOSC_23060	CAPO300525
OG0002043	APOSC_16723, APOSC_16722	CAPO306649
OG0002058	APOSC_18800, APOSC_07473, APOSC_25975, APOSC_02005, APOSC_11903	CAPO300289
OG0002061	APOSC_19481	CAPO307339
OG0002062	APOSC_08611, APOSC_08610	CAPO301382
OG0002063	APOSC_06813	CAPO302417
OG0002066	APOSC_24370	CAPO300576
OG0002067	APOSC_27713	CAPO302721
OG0002068	APOSC_06295	CAPO303650
OG0002069	APOSC_01667	CAPO306402
OG0002073	APOSC_01747	CAPO302333
OG0002074	APOSC_19138	CAPO304152
OG0002076	APOSC_18963, APOSC_18964	CAPO303117
OG0002078	APOSC_28182, APOSC_28181	CAPO302217
OG0002080	APOSC_01291	CAPO307474, CAPO307552
OG0002081	APOSC_27177, APOSC_27178	CAPO300584
OG0002084	APOSC_14942, APOSC_01681	CAPO300150
OG0002087	APOSC_01971, APOSC_01970, APOSC_22480	CAPO306536
OG0002093	APOSC_18156	CAPO304254
OG0002094	APOSC_18728	CAPO303399
OG0002097	APOSC_25092	CAPO302111
OG0002099	APOSC_23904	CAPO306675
OG0002101	APOSC_15179	CAPO307803
OG0002103	APOSC_03682	CAPO305235
OG0002108	APOSC_26646	CAPO303834
OG0002122	APOSC_17605	CAPO300191
OG0002123	APOSC_05309	CAPO303373
OG0002124	APOSC_05097	CAPO300980
OG0002129	APOSC_07872	CAPO305068
OG0002130	APOSC_04043, APOSC_04044	CAPO301943
OG0002131	APOSC_27598, APOSC_06286	CAPO302159
OG0002135	APOSC_12432	CAPO300616, CAPO300802
OG0002136	APOSC_15345, APOSC_15344, APOSC_15346, APOSC_19816	CAPO300292
OG0002137	APOSC_13036	CAPO306593
OG0002138	APOSC_19073	CAPO304101
OG0002140	APOSC_28534	CAPO300489
OG0002141	APOSC_00470	CAPO300491
OG0002144	APOSC_04499, APOSC_04500	CAPO308205
OG0002145	APOSC_21735	CAPO305963
OG0002146	APOSC_03650, APOSC_03649	CAPO303694
OG0002148	APOSC_21542, APOSC_14322	CAPO301311
OG0002150	APOSC_13902	CAPO305991
OG0002151	APOSC_25685	CAPO300513
OG0002152	APOSC_19987	CAPO305214
OG0002156	APOSC_16118	CAPO307789
OG0002158	APOSC_06903	CAPO300426
OG0002159	APOSC_06194	CAPO301618
OG0002160	APOSC_19331, APOSC_11192, APOSC_02113, APOSC_08854, APOSC_02505, APOSC_23874, APOSC_04273, APOSC_11575, APOSC_20222, APOSC_11922, APOSC_22980	CAPO306354
OG0002165	APOSC_17467, APOSC_20598, APOSC_01903	CAPO306860
OG0002166	APOSC_08644	CAPO300536
OG0002168	APOSC_02871, APOSC_28824	CAPO305846
OG0002169	APOSC_17032, APOSC_17033	CAPO305188, CAPO305186
OG0002170	APOSC_09368, APOSC_05594	CAPO306065
OG0002171	APOSC_14472, APOSC_14471	CAPO300657
OG0002172	APOSC_08434, APOSC_08437, APOSC_08436, APOSC_08433, APOSC_08435	CAPO300117
OG0002173	APOSC_25807	CAPO300163
OG0002177	APOSC_05272	CAPO303715
OG0002178	APOSC_02021	CAPO300762
OG0002179	APOSC_00096, APOSC_05035	CAPO301344
OG0002182	APOSC_20616	CAPO300304
OG0002184	APOSC_13034	CAPO302808
OG0002185	APOSC_21767, APOSC_21768, APOSC_21766	CAPO306894
OG0002187	APOSC_18273	CAPO303260
OG0002188	APOSC_27110	CAPO307308
OG0002189	APOSC_22959, APOSC_22958	CAPO302919, CAPO302901
OG0002190	APOSC_21143, APOSC_21142	CAPO305794
OG0002191	APOSC_07844	CAPO306349
OG0002193	APOSC_01754, APOSC_01753	CAPO307827, CAPO303661
OG0002194	APOSC_05610, APOSC_02737	CAPO306073
OG0002198	APOSC_18516	CAPO307154
OG0002201	APOSC_27145	CAPO305256
OG0002216	APOSC_12957, APOSC_00875, APOSC_17041	CAPO308083
OG0002217	APOSC_23307	CAPO303403
OG0002219	APOSC_06268	CAPO301953
OG0002222	APOSC_00538	CAPO300961
OG0002224	APOSC_18776, APOSC_18777	CAPO304952
OG0002225	APOSC_22427	CAPO301769
OG0002226	APOSC_01552	CAPO307804
OG0002227	APOSC_12739, APOSC_12738	CAPO307820, CAPO307799
OG0002228	APOSC_24187	CAPO301630, CAPO300068
OG0002229	APOSC_03333	CAPO308040
OG0002235	APOSC_04880	CAPO303035
OG0002237	APOSC_23476	CAPO306506
OG0002239	APOSC_02757	CAPO301966
OG0002240	APOSC_27129	CAPO306707
OG0002241	APOSC_00224	CAPO303979
OG0002243	APOSC_01692	CAPO301335, CAPO300484
OG0002244	APOSC_24276	CAPO303840
OG0002245	APOSC_09240, APOSC_27925, APOSC_27926, APOSC_06096, APOSC_07429, APOSC_07427, APOSC_07428, APOSC_07426	CAPO302737
OG0002246	APOSC_07557	CAPO301929
OG0002251	APOSC_10270	CAPO302537
OG0002252	APOSC_01721	CAPO304306
OG0002255	APOSC_21535, APOSC_14572	CAPO301475, CAPO302337
OG0002257	APOSC_04067, APOSC_17483	CAPO303721
OG0002258	APOSC_20196, APOSC_22619, APOSC_22618	CAPO302229
OG0002261	APOSC_09973, APOSC_01375	CAPO303559
OG0002263	APOSC_12473, APOSC_12474	CAPO304694
OG0002264	APOSC_17999, APOSC_29160, APOSC_20572	CAPO304810
OG0002266	APOSC_29040, APOSC_29039	CAPO307392
OG0002270	APOSC_06729	CAPO302042
OG0002272	APOSC_09837	CAPO301905
OG0002282	APOSC_27761, APOSC_13750, APOSC_13749	CAPO300014
OG0002284	APOSC_15122, APOSC_00182, APOSC_26404	CAPO304167
OG0002285	APOSC_01160	CAPO305012
OG0002287	APOSC_08685	CAPO306430
OG0002288	APOSC_11294, APOSC_11293	CAPO306855
OG0002292	APOSC_04092	CAPO301471
OG0002293	APOSC_29009	CAPO302207
OG0002294	APOSC_19080	CAPO300522
OG0002296	APOSC_08372, APOSC_08371, APOSC_08373, APOSC_08374	CAPO307746
OG0002312	APOSC_23301	CAPO305339
OG0002316	APOSC_08356	CAPO302192
OG0002317	APOSC_06076	CAPO301129
OG0002318	APOSC_17713	CAPO302292
OG0002319	APOSC_16802	CAPO306342
OG0002321	APOSC_10913	CAPO300390
OG0002322	APOSC_22319	CAPO300979
OG0002323	APOSC_21950	CAPO308299
OG0002324	APOSC_16211	CAPO301866
OG0002325	APOSC_00101, APOSC_12892	CAPO300458
OG0002326	APOSC_17684	CAPO302239
OG0002327	APOSC_06995, APOSC_18373	CAPO302954
OG0002330	APOSC_28633, APOSC_24342	CAPO300172
OG0002331	APOSC_25291	CAPO302246
OG0002332	APOSC_12740	CAPO300761
OG0002337	APOSC_17012, APOSC_03302, APOSC_05554	CAPO307155
OG0002340	APOSC_21511, APOSC_24506	CAPO307906
OG0002343	APOSC_16280	CAPO303889
OG0002344	APOSC_25480	CAPO307434
OG0002345	APOSC_25747	CAPO304277
OG0002346	APOSC_07336	CAPO307106
OG0002348	APOSC_18750	CAPO302095
OG0002354	APOSC_05752, APOSC_04612	CAPO306383
OG0002356	APOSC_03388	CAPO305051
OG0002357	APOSC_15358	CAPO302341
OG0002358	APOSC_25738	CAPO307788
OG0002359	APOSC_14169, APOSC_13362	CAPO302128
OG0002361	APOSC_15741	CAPO304727
OG0002362	APOSC_06944	CAPO301902
OG0002363	APOSC_19269	CAPO302980
OG0002364	APOSC_05036, APOSC_21021, APOSC_06962	CAPO306488
OG0002367	APOSC_21224	CAPO304316
OG0002368	APOSC_13583	CAPO301447
OG0002369	APOSC_26993, APOSC_26992, APOSC_17971	CAPO301279
OG0002370	APOSC_04969	CAPO303015
OG0002371	APOSC_10262	CAPO304426
OG0002372	APOSC_10426	CAPO303540
OG0002372	APOSC_22681, APOSC_28866	CAPO303041
OG0002374	APOSC_11797	CAPO302309
OG0002375	APOSC_01864, APOSC_19578	CAPO305178, CAPO300285
OG0002376	APOSC_26441	CAPO304863
OG0002377	APOSC_15267	CAPO301847
OG0002379	APOSC_02551	CAPO301214
OG0002396	APOSC_16713	CAPO302410
OG0002398	APOSC_09178	CAPO306938
OG0002405	APOSC_03556	CAPO300119
OG0002406	APOSC_03559, APOSC_03558	CAPO304138
OG0002407	APOSC_23871, APOSC_19539, APOSC_09967, APOSC_09969, APOSC_09968	CAPO301366
OG0002409	APOSC_27400	CAPO301533
OG0002410	APOSC_22198	CAPO305170
OG0002411	APOSC_04009	CAPO305052
OG0002413	APOSC_23972	CAPO307797
OG0002413	APOSC_01682	CAPO304716
OG0002414	APOSC_17956, APOSC_17957	CAPO304631
OG0002415	APOSC_02142, APOSC_02143, APOSC_16711	CAPO304905
OG0002417	APOSC_05991, APOSC_23917, APOSC_17180, APOSC_05843	CAPO307671
OG0002418	APOSC_09068	CAPO303802
OG0002419	APOSC_11227, APOSC_15337	CAPO303825
OG0002421	APOSC_18272	CAPO305365
OG0002422	APOSC_11565, APOSC_06825, APOSC_24123, APOSC_24124	CAPO302014
OG0002425	APOSC_21924	CAPO304491
OG0002426	APOSC_03921	CAPO303294
OG0002429	APOSC_28085, APOSC_18106	CAPO305260
OG0002433	APOSC_26929	CAPO302444
OG0002435	APOSC_28585	CAPO304613
OG0002436	APOSC_18153	CAPO307054
OG0002437	APOSC_11323	CAPO303352
OG0002439	APOSC_15469	CAPO302565
OG0002441	APOSC_21966	CAPO304429
OG0002442	APOSC_07036	CAPO300535
OG0002443	APOSC_05095, APOSC_06655	CAPO301424
OG0002445	APOSC_17296	CAPO304782
OG0002446	APOSC_18266	CAPO303707
OG0002448	APOSC_23526, APOSC_18984	CAPO308204
OG0002453	APOSC_12294	CAPO305834
OG0002454	APOSC_06933	CAPO305157
OG0002476	APOSC_08544, APOSC_06061	CAPO307617
OG0002484	APOSC_06260, APOSC_06259	CAPO305360
OG0002486	APOSC_24086	CAPO303598
OG0002489	APOSC_18456, APOSC_18458, APOSC_21175	CAPO304231
OG0002490	APOSC_27091	CAPO307409, CAPO300849
OG0002492	APOSC_26144, APOSC_26143	CAPO305743
OG0002494	APOSC_27422	CAPO307620
OG0002495	APOSC_23227	CAPO306559
OG0002496	APOSC_13981, APOSC_13980	CAPO300997
OG0002497	APOSC_12496	CAPO301629
OG0002499	APOSC_05018	CAPO308309
OG0002500	APOSC_26581, APOSC_26845, APOSC_03483	CAPO305159
OG0002501	APOSC_16481	CAPO305150
OG0002502	APOSC_05426, APOSC_24375, APOSC_12566	CAPO304947
OG0002503	APOSC_27241, APOSC_27239, APOSC_27240	CAPO301024
OG0002505	APOSC_20422	CAPO302692
OG0002506	APOSC_09722, APOSC_09723	CAPO301029
OG0002507	APOSC_05361, APOSC_05360	CAPO303215
OG0002509	APOSC_14957	CAPO305905, CAPO306732
OG0002510	APOSC_08174, APOSC_22448	CAPO305793
OG0002511	APOSC_28580, APOSC_28581	CAPO303146
OG0002516	APOSC_18582	CAPO307569
OG0002518	APOSC_11783	CAPO304200
OG0002519	APOSC_13975	CAPO302874
OG0002523	APOSC_20366	CAPO301008
OG0002525	APOSC_16559, APOSC_16558	CAPO300787
OG0002526	APOSC_27120	CAPO303145
OG0002527	APOSC_26177	CAPO306066
OG0002528	APOSC_06214	CAPO301891
OG0002529	APOSC_21726	CAPO301231, CAPO301232
OG0002531	APOSC_21879	CAPO304673
OG0002532	APOSC_00073	CAPO307265
OG0002533	APOSC_16025	CAPO302353
OG0002534	APOSC_26084	CAPO302248
OG0002539	APOSC_18865, APOSC_18867, APOSC_18868, APOSC_18866	CAPO305908
OG0002542	APOSC_15222, APOSC_13581	CAPO300062
OG0002543	APOSC_10448	CAPO306889, CAPO301493
OG0002548	APOSC_08751	CAPO303502
OG0002555	APOSC_10771, APOSC_01651	CAPO301095
OG0002557	APOSC_06271, APOSC_06270	CAPO302757
OG0002558	APOSC_11277, APOSC_22161	CAPO301820
OG0002559	APOSC_25736	CAPO306363
OG0002561	APOSC_22772	CAPO306761
OG0002562	APOSC_23061	CAPO305283
OG0002563	APOSC_20880	CAPO307417
OG0002564	APOSC_10079	CAPO307297
OG0002565	APOSC_12348, APOSC_12347	CAPO302611
OG0002566	APOSC_05246	CAPO303827
OG0002567	APOSC_16245, APOSC_00280	CAPO304319
OG0002569	APOSC_20870	CAPO306658
OG0002570	APOSC_04158	CAPO307215
