Orthogroup	APOSC_ok	YEAST
OG0000964	APOSC_14870, APOSC_13280, APOSC_13279, APOSC_13425, APOSC_28264	YEAST04606
OG0000965	APOSC_23312, APOSC_23311	YEAST02552
OG0000965	APOSC_09972	YEAST02050
OG0000967	APOSC_19736, APOSC_16830, APOSC_16829, APOSC_28756	YEAST05075
OG0000970	APOSC_21804, APOSC_22645	YEAST04028
OG0000982	APOSC_05256, APOSC_05255	YEAST01182
OG0000984	APOSC_25696, APOSC_17895, APOSC_25912, APOSC_05077, APOSC_01560	YEAST01493, YEAST00575
OG0000986	APOSC_14086, APOSC_10314, APOSC_22933, APOSC_16486, APOSC_14087, APOSC_17601	YEAST01481, YEAST04073
OG0000987	APOSC_18102	YEAST04734, YEAST02734
OG0000994	APOSC_21838, APOSC_16646	YEAST02360
OG0000996	APOSC_26134, APOSC_26133	YEAST00033
OG0001001	APOSC_09664	YEAST00341
OG0001003	APOSC_02292	YEAST00644
OG0001006	APOSC_03092, APOSC_20430, APOSC_16381	YEAST04513
OG0001016	APOSC_19695, APOSC_06741	YEAST00830
OG0001018	APOSC_00082, APOSC_00204	YEAST01172
OG0001024	APOSC_15001, APOSC_13882, APOSC_23658	YEAST01024, YEAST00308
OG0001033	APOSC_27603	YEAST02124
OG0001066	APOSC_28501, APOSC_18530	YEAST06311
OG0001075	APOSC_01609	YEAST05636
OG0001076	APOSC_12173	YEAST01570
OG0001081	APOSC_07539	YEAST04460
OG0001082	APOSC_13677	YEAST03919, YEAST02905, YEAST05331
OG0001094	APOSC_16150, APOSC_26607, APOSC_01941, APOSC_20471, APOSC_27561, APOSC_22898	YEAST03837
OG0001095	APOSC_09493	YEAST00773
OG0001096	APOSC_12731	YEAST01384
OG0001101	APOSC_01614	YEAST03434
OG0001108	APOSC_04910, APOSC_18668	YEAST06309
OG0001111	APOSC_27166, APOSC_15386, APOSC_13725, APOSC_01327	YEAST06003
OG0001113	APOSC_04032	YEAST05320
OG0001113	APOSC_23610	YEAST00954
OG0001114	APOSC_06726	YEAST00036, YEAST05811
OG0001124	APOSC_05655, APOSC_14707	YEAST02719
OG0001132	APOSC_22214	YEAST05421
OG0001133	APOSC_09462	YEAST04296
OG0001133	APOSC_26387	YEAST03271
OG0001134	APOSC_03277	YEAST05015
OG0001135	APOSC_26040, APOSC_23817, APOSC_07139, APOSC_21672, APOSC_23479	YEAST03641
OG0001136	APOSC_27527	YEAST05047, YEAST02997
OG0001140	APOSC_21510	YEAST03519
OG0001142	APOSC_21303, APOSC_21299, APOSC_21301, APOSC_21304, APOSC_21300, APOSC_21302	YEAST04001
OG0001163	APOSC_00653, APOSC_10789, APOSC_08646, APOSC_08645, APOSC_17340, APOSC_13361	YEAST02433
OG0001164	APOSC_13012	YEAST03454
OG0001171	APOSC_10831, APOSC_07607	YEAST04620, YEAST03578
OG0001175	APOSC_04096, APOSC_21521	YEAST00534
OG0001177	APOSC_05829, APOSC_27862, APOSC_09067	YEAST06137
OG0001179	APOSC_24042, APOSC_00450	YEAST00368, YEAST04831, YEAST02287
OG0001181	APOSC_08671	YEAST02051
OG0001184	APOSC_28467, APOSC_19647	YEAST01681
OG0001185	APOSC_20961, APOSC_20963, APOSC_20960, APOSC_20962, APOSC_20964, APOSC_02697	YEAST04969
OG0001186	APOSC_22932, APOSC_07366	YEAST04605, YEAST01886
OG0001191	APOSC_00329, APOSC_16893	YEAST04707
OG0001197	APOSC_08428, APOSC_08492, APOSC_20448	YEAST01499
OG0001201	APOSC_09437, APOSC_09439, APOSC_09438, APOSC_03781, APOSC_23148, APOSC_21279, APOSC_09441, APOSC_09436, APOSC_09435, APOSC_09440, APOSC_12369, APOSC_21883, APOSC_22185, APOSC_21884, APOSC_05515, APOSC_24393, APOSC_24392	YEAST05452
OG0001204	APOSC_02297, APOSC_24480	YEAST05200
OG0001207	APOSC_12551	YEAST04258
OG0001210	APOSC_23126	YEAST05511
OG0001210	APOSC_24521, APOSC_24519, APOSC_24520	YEAST02318
OG0001212	APOSC_25574, APOSC_05728, APOSC_05536, APOSC_01506, APOSC_20573	YEAST03971
OG0001214	APOSC_14933, APOSC_14935, APOSC_14934	YEAST00577
OG0001216	APOSC_27402, APOSC_27401, APOSC_24924, APOSC_07564, APOSC_01787	YEAST00145
OG0001219	APOSC_17654	YEAST03867
OG0001236	APOSC_08290, APOSC_12875, APOSC_20320, APOSC_04327	YEAST03325, YEAST02687, YEAST03269
OG0001237	APOSC_10087	YEAST04380
OG0001238	APOSC_09179	YEAST04481
OG0001241	APOSC_23343	YEAST02002
OG0001241	APOSC_04462	YEAST03967, YEAST01074
OG0001243	APOSC_18938	YEAST00739, YEAST05004
OG0001249	APOSC_06543	YEAST01062, YEAST02067
OG0001250	APOSC_01792	YEAST02968, YEAST01339
OG0001251	APOSC_09632	YEAST01707
OG0001253	APOSC_11036	YEAST03998
OG0001254	APOSC_13372	YEAST04309
OG0001262	APOSC_09805, APOSC_09807, APOSC_09806, APOSC_09804, APOSC_24190	YEAST00911
OG0001263	APOSC_14146, APOSC_14147	YEAST00172
OG0001268	APOSC_21922, APOSC_07653	YEAST03495
OG0001270	APOSC_07392	YEAST01703
OG0001270	APOSC_26062	YEAST02398
OG0001271	APOSC_28116	YEAST05227, YEAST00662
OG0001278	APOSC_09194, APOSC_22330, APOSC_06499, APOSC_17287	YEAST01893
OG0001279	APOSC_10702, APOSC_10701	YEAST03070
OG0001280	APOSC_27519, APOSC_27518	YEAST00846
OG0001282	APOSC_02603, APOSC_02605, APOSC_02604	YEAST03744
OG0001284	APOSC_07511, APOSC_23659	YEAST00567, YEAST01498
OG0001286	APOSC_05067	YEAST00588, YEAST01486, YEAST03604
OG0001291	APOSC_25701	YEAST04453, YEAST04334
OG0001300	APOSC_28359, APOSC_24410, APOSC_00939	YEAST01098
OG0001302	APOSC_13642	YEAST02328
OG0001302	APOSC_27436	YEAST00299
OG0001310	APOSC_08777, APOSC_16039, APOSC_12794	YEAST00887
OG0001318	APOSC_20047, APOSC_08207	YEAST03712
OG0001319	APOSC_07704	YEAST01678
OG0001321	APOSC_09384	YEAST02280, YEAST01901
OG0001322	APOSC_08768, APOSC_06842	YEAST06128
OG0001324	APOSC_00820	YEAST00078
OG0001325	APOSC_01729	YEAST00793
OG0001326	APOSC_23911	YEAST05395
OG0001327	APOSC_03248, APOSC_16461	YEAST03176
OG0001332	APOSC_22470, APOSC_17203, APOSC_16944, APOSC_26743	YEAST03929, YEAST02705, YEAST00687
OG0001333	APOSC_19820, APOSC_18829	YEAST00728
OG0001341	APOSC_25206	YEAST06006
OG0001345	APOSC_20488	YEAST03613
OG0001353	APOSC_06612, APOSC_25721, APOSC_14654, APOSC_27272	YEAST00020, YEAST04041
OG0001363	APOSC_13047, APOSC_04146, APOSC_25033	YEAST06180
OG0001364	APOSC_16425, APOSC_10770, APOSC_01652	YEAST06038, YEAST00402
OG0001367	APOSC_02909	YEAST04688
OG0001368	APOSC_19224	YEAST01821
OG0001370	APOSC_20803, APOSC_20802, APOSC_05081, APOSC_27098, APOSC_10358, APOSC_27099	YEAST04067, YEAST05195, YEAST00897
OG0001371	APOSC_04765, APOSC_24656, APOSC_24655, APOSC_12215	YEAST00532, YEAST03976
OG0001372	APOSC_13607	YEAST00070
OG0001372	APOSC_07222	YEAST02226
OG0001375	APOSC_04608, APOSC_01077	YEAST05499, YEAST05567
OG0001378	APOSC_25235	YEAST02300
OG0001379	APOSC_16176	YEAST04155
OG0001386	APOSC_07383, APOSC_07382	YEAST05114
OG0001397	APOSC_16804, APOSC_15929	YEAST05731
OG0001400	APOSC_16578, APOSC_16577	YEAST02931
OG0001409	APOSC_14068, APOSC_14069	YEAST00885, YEAST04659
OG0001410	APOSC_04943, APOSC_18435, APOSC_02633	YEAST05046
OG0001411	APOSC_10503, APOSC_27904	YEAST04834
OG0001412	APOSC_01814, APOSC_01813, APOSC_01812	YEAST04490
OG0001413	APOSC_20512, APOSC_06316	YEAST04294
OG0001414	APOSC_07127, APOSC_08515	YEAST06070, YEAST01920
OG0001415	APOSC_25795	YEAST04230
OG0001415	APOSC_18593	YEAST00964
OG0001421	APOSC_15996	YEAST05252
OG0001422	APOSC_14929	YEAST05588, YEAST01363
OG0001424	APOSC_09916, APOSC_21376	YEAST01127
OG0001427	APOSC_07659, APOSC_07658	YEAST01885
OG0001428	APOSC_06360, APOSC_19650, APOSC_18933, APOSC_19652, APOSC_19651	YEAST04862, YEAST05862, YEAST02749, YEAST03037
OG0001430	APOSC_10425	YEAST01712
OG0001434	APOSC_21365, APOSC_06186, APOSC_02988, APOSC_12550	YEAST03991
OG0001437	APOSC_06789	YEAST01264, YEAST02900
OG0001445	APOSC_01766	YEAST01715
OG0001449	APOSC_12099	YEAST03188
OG0001452	APOSC_06149	YEAST05900
OG0001454	APOSC_10077	YEAST01495, YEAST00573
OG0001456	APOSC_10360, APOSC_00503	YEAST00365
OG0001459	APOSC_03007, APOSC_19515, APOSC_11819	YEAST03073, YEAST03464
OG0001461	APOSC_22593, APOSC_22594	YEAST05255
OG0001468	APOSC_26571	YEAST03875, YEAST03904
OG0001469	APOSC_21558	YEAST02070
OG0001469	APOSC_12521	YEAST02765
OG0001470	APOSC_15496	YEAST00369, YEAST05375
OG0001472	APOSC_03478, APOSC_26882	YEAST03031
OG0001473	APOSC_25378, APOSC_24554	YEAST05711
OG0001474	APOSC_00391, APOSC_28339	YEAST01416, YEAST05312
OG0001478	APOSC_12978	YEAST01984
OG0001478	APOSC_11937	YEAST02078
OG0001479	APOSC_29168	YEAST01132
OG0001503	APOSC_07503	YEAST03032
OG0001503	APOSC_29093	YEAST02920
OG0001504	APOSC_05548	YEAST05406
OG0001505	APOSC_22405, APOSC_28266, APOSC_14626, APOSC_02151, APOSC_07032, APOSC_21083, APOSC_06533	YEAST03361
OG0001508	APOSC_21339, APOSC_21338	YEAST04143
OG0001515	APOSC_23285	YEAST03320
OG0001520	APOSC_18603	YEAST03872
OG0001524	APOSC_18612, APOSC_18631	YEAST03912
OG0001525	APOSC_11644, APOSC_13960	YEAST00757
OG0001527	APOSC_26650, APOSC_04022	YEAST01395
OG0001529	APOSC_17321, APOSC_03920	YEAST01143
OG0001530	APOSC_25625	YEAST00643
OG0001546	APOSC_12494	YEAST03111
OG0001550	APOSC_07390, APOSC_17696, APOSC_09615, APOSC_26524	YEAST02405, YEAST05953
OG0001551	APOSC_25143	YEAST04817
OG0001553	APOSC_17818, APOSC_17817, APOSC_17816, APOSC_05111	YEAST05147, YEAST01586
OG0001557	APOSC_03713, APOSC_10213	YEAST04671
OG0001557	APOSC_21247	YEAST04551
OG0001558	APOSC_12692, APOSC_18352	YEAST04449
OG0001559	APOSC_06915	YEAST00445, YEAST02434
OG0001561	APOSC_03964	YEAST06176
OG0001564	APOSC_06037, APOSC_06038	YEAST05390
OG0001570	APOSC_24458, APOSC_29138, APOSC_24457	YEAST04678
OG0001573	APOSC_24147, APOSC_24146	YEAST03285
OG0001578	APOSC_25871	YEAST01872
OG0001580	APOSC_04582, APOSC_04583	YEAST06270
OG0001590	APOSC_05334, APOSC_06008, APOSC_06664	YEAST03476, YEAST00717, YEAST03955
OG0001594	APOSC_14190, APOSC_13045, APOSC_16430, APOSC_20977	YEAST03418
OG0001597	APOSC_09081, APOSC_18499	YEAST01702
OG0001603	APOSC_19684, APOSC_08042	YEAST02584
OG0001604	APOSC_20538, APOSC_08984	YEAST01428
OG0001605	APOSC_08927, APOSC_24537	YEAST04101
OG0001609	APOSC_15382, APOSC_18863	YEAST02739
OG0001610	APOSC_11669, APOSC_11668, APOSC_17468	YEAST00596
OG0001612	APOSC_20257	YEAST01109
OG0001628	APOSC_13343, APOSC_17522	YEAST04790
OG0001653	APOSC_25182, APOSC_08056, APOSC_08321	YEAST01151
OG0001655	APOSC_19955	YEAST03354
OG0001657	APOSC_20037	YEAST00101, YEAST00944
OG0001663	APOSC_14512, APOSC_14513, APOSC_19966, APOSC_00664	YEAST05642
OG0001676	APOSC_11977	YEAST02848
OG0001676	APOSC_18551	YEAST06155
OG0001679	APOSC_20310, APOSC_22953, APOSC_12720, APOSC_11611, APOSC_27365, APOSC_06847	YEAST05302, YEAST02334, YEAST02449, YEAST01523
OG0001680	APOSC_05052	YEAST01119, YEAST04022
OG0001685	APOSC_17276, APOSC_03873	YEAST01147
OG0001687	APOSC_25333, APOSC_09970, APOSC_10763	YEAST05279
OG0001691	APOSC_09746, APOSC_09745, APOSC_09749, APOSC_09748	YEAST01315
OG0001704	APOSC_20746, APOSC_00421	YEAST01293
OG0001706	APOSC_11809, APOSC_11808	YEAST03424
OG0001707	APOSC_26684	YEAST06049, YEAST00407, YEAST04739
OG0001708	APOSC_07420	YEAST05744, YEAST05745
OG0001709	APOSC_04296, APOSC_04297, APOSC_04295, APOSC_19317	YEAST04440
OG0001713	APOSC_19043, APOSC_26360	YEAST04039
OG0001718	APOSC_01586, APOSC_06428	YEAST01537
OG0001721	APOSC_23771	YEAST04881, YEAST05253, YEAST00698
OG0001723	APOSC_21374	YEAST01435
OG0001727	APOSC_18118	YEAST04543
OG0001728	APOSC_21718, APOSC_21719, APOSC_21717	YEAST03347
OG0001730	APOSC_18068, APOSC_18069	YEAST00177
OG0001736	APOSC_23753	YEAST04588
OG0001739	APOSC_04485	YEAST03760
OG0001750	APOSC_05785	YEAST03628
OG0001754	APOSC_02170	YEAST03682
OG0001755	APOSC_01191	YEAST05131
OG0001756	APOSC_02548, APOSC_08277	YEAST00620
OG0001769	APOSC_25926, APOSC_03841	YEAST04726
OG0001770	APOSC_21836, APOSC_21835	YEAST02590
OG0001774	APOSC_20306, APOSC_14597	YEAST05166
OG0001775	APOSC_26681, APOSC_26577, APOSC_22869, APOSC_22870, APOSC_26576	YEAST05594
OG0001780	APOSC_18675	YEAST03768
OG0001781	APOSC_12405, APOSC_25815	YEAST01882
OG0001782	APOSC_24182, APOSC_15653	YEAST02421
OG0001785	APOSC_05919, APOSC_05920	YEAST02713
OG0001787	APOSC_00374	YEAST03546
OG0001792	APOSC_04470	YEAST02075
OG0001792	APOSC_10659	YEAST04595
OG0001793	APOSC_11265, APOSC_12984, APOSC_12986, APOSC_12985	YEAST02466
OG0001805	APOSC_14981	YEAST05496, YEAST01242
OG0001807	APOSC_17157, APOSC_17156	YEAST05464
OG0001808	APOSC_21460	YEAST01298
OG0001818	APOSC_28601, APOSC_28600, APOSC_28602, APOSC_18594	YEAST05902, YEAST04712
OG0001822	APOSC_18765, APOSC_02285	YEAST04378, YEAST01659
OG0001826	APOSC_12940	YEAST04777, YEAST01697, YEAST05781
OG0001828	APOSC_04726	YEAST04676
OG0001829	APOSC_07372	YEAST01613, YEAST00136, YEAST02008
OG0001831	APOSC_23596	YEAST00024
OG0001832	APOSC_14000	YEAST05376
OG0001846	APOSC_12218	YEAST05067
OG0001850	APOSC_24800, APOSC_00640	YEAST01913
OG0001852	APOSC_08845	YEAST03121
OG0001853	APOSC_26386, APOSC_12727	YEAST05176
OG0001857	APOSC_18896	YEAST04741
OG0001860	APOSC_14509	YEAST00188
OG0001861	APOSC_06627	YEAST05779, YEAST04773
OG0001863	APOSC_10423, APOSC_10422, APOSC_26636	YEAST03017
OG0001866	APOSC_28306, APOSC_28307	YEAST05095, YEAST05570
OG0001867	APOSC_02450	YEAST01669
OG0001873	APOSC_24589, APOSC_02615, APOSC_02614	YEAST00981, YEAST00267
OG0001875	APOSC_28674, APOSC_02272	YEAST04137
OG0001877	APOSC_00171	YEAST04134
OG0001886	APOSC_24954	YEAST03260
OG0001888	APOSC_16509, APOSC_16510	YEAST05749, YEAST01573
OG0001893	APOSC_28513, APOSC_28512, APOSC_24696	YEAST01023
OG0001894	APOSC_00243, APOSC_00244	YEAST00433
OG0001899	APOSC_20088, APOSC_20089	YEAST01210, YEAST04466
OG0001903	APOSC_14862, APOSC_01387	YEAST06020
OG0001913	APOSC_27752, APOSC_27753, APOSC_27754	YEAST05520
OG0001915	APOSC_20247, APOSC_07947	YEAST04791
OG0001917	APOSC_15433	YEAST01859
OG0001923	APOSC_09651	YEAST05881
OG0001926	APOSC_03347	YEAST02948
OG0001932	APOSC_17044, APOSC_21184, APOSC_21185	YEAST03770, YEAST03179
OG0001934	APOSC_08263	YEAST00877
OG0001935	APOSC_26841, APOSC_26842, APOSC_11624	YEAST00431
OG0001938	APOSC_25351, APOSC_25350	YEAST03931
OG0001940	APOSC_10905, APOSC_14288, APOSC_14537, APOSC_10863, APOSC_14287	YEAST04188, YEAST05646
OG0001943	APOSC_02483	YEAST02393, YEAST05966
OG0001945	APOSC_02753	YEAST01671
OG0001947	APOSC_08756, APOSC_08755	YEAST02570
OG0001951	APOSC_14703	YEAST00941, YEAST05396
OG0001952	APOSC_03402, APOSC_22985	YEAST04673, YEAST01990, YEAST00155
OG0001965	APOSC_21927	YEAST04582
OG0001968	APOSC_15282, APOSC_28315, APOSC_15708	YEAST04910
OG0001969	APOSC_03017, APOSC_04453	YEAST06173
OG0001972	APOSC_24260, APOSC_24259, APOSC_24261, APOSC_24262	YEAST01822, YEAST03363
OG0001985	APOSC_05664	YEAST04959
OG0001992	APOSC_16707	YEAST02679
OG0001998	APOSC_15820	YEAST00890
OG0002001	APOSC_06835, APOSC_29087	YEAST00502, YEAST03944
OG0002003	APOSC_24514, APOSC_24513, APOSC_11225, APOSC_24019	YEAST02826, YEAST03671
OG0002008	APOSC_03844, APOSC_03845	YEAST00768
OG0002010	APOSC_14891	YEAST00609
OG0002013	APOSC_00249	YEAST03040
OG0002014	APOSC_11193	YEAST02422
OG0002015	APOSC_10940, APOSC_02399, APOSC_18090, APOSC_20828, APOSC_09531, APOSC_10941, APOSC_24268, APOSC_23791, APOSC_17290, APOSC_09532, APOSC_04898	YEAST05525
OG0002026	APOSC_06220, APOSC_15641	YEAST01247
OG0002029	APOSC_07521, APOSC_06710, APOSC_06711	YEAST02646
OG0002031	APOSC_24523	YEAST02752
OG0002032	APOSC_00301	YEAST01221
OG0002042	APOSC_25585, APOSC_23059, APOSC_23060	YEAST02880
OG0002043	APOSC_16723, APOSC_16722	YEAST04003
OG0002059	APOSC_11900	YEAST05893, YEAST04718
OG0002062	APOSC_08611, APOSC_08610	YEAST05454
OG0002063	APOSC_06813, APOSC_01004	YEAST00838
OG0002067	APOSC_27713	YEAST03444
OG0002069	APOSC_01667	YEAST05962
OG0002073	APOSC_01747	YEAST04552
OG0002076	APOSC_18963, APOSC_18964	YEAST02206
OG0002078	APOSC_28182, APOSC_28181	YEAST06232
OG0002079	APOSC_02703	YEAST05765, YEAST00483
OG0002080	APOSC_01291	YEAST05220, YEAST04736
OG0002084	APOSC_14942, APOSC_01681	YEAST04529
OG0002087	APOSC_01971, APOSC_01970, APOSC_22480	YEAST05702
OG0002090	APOSC_06255	YEAST02246
OG0002093	APOSC_18156	YEAST02255
OG0002097	APOSC_25092	YEAST02697
OG0002101	APOSC_15179	YEAST03902
OG0002103	APOSC_03682	YEAST05974
OG0002108	APOSC_26646	YEAST03715
OG0002123	APOSC_05309	YEAST02444
OG0002125	APOSC_25900	YEAST05183
OG0002131	APOSC_27598, APOSC_06286	YEAST04275
OG0002137	APOSC_13036	YEAST04320
OG0002138	APOSC_19073	YEAST02406
OG0002144	APOSC_04499, APOSC_04500	YEAST02673
OG0002146	APOSC_03650, APOSC_03649	YEAST04333, YEAST00109, YEAST03088, YEAST04454
OG0002147	APOSC_27971	YEAST04532, YEAST01219
OG0002148	APOSC_21542, APOSC_14322	YEAST02060
OG0002152	APOSC_19987	YEAST05624
OG0002156	APOSC_16118	YEAST03007
OG0002160	APOSC_19331, APOSC_11192, APOSC_02113, APOSC_08854, APOSC_02505, APOSC_23874, APOSC_04273, APOSC_11575, APOSC_20222, APOSC_11922, APOSC_22980	YEAST03960
OG0002165	APOSC_17467, APOSC_20598, APOSC_01903	YEAST04504
OG0002168	APOSC_02871, APOSC_28824	YEAST00516
OG0002169	APOSC_17032, APOSC_17033	YEAST02258
OG0002175	APOSC_21787	YEAST04956
OG0002184	APOSC_13034	YEAST00242
OG0002185	APOSC_21767, APOSC_21768, APOSC_21766	YEAST05212
OG0002188	APOSC_27110	YEAST04638, YEAST03913
OG0002189	APOSC_22959, APOSC_22958	YEAST02882, YEAST04447
OG0002197	APOSC_25829, APOSC_25531	YEAST04045
OG0002213	APOSC_26472	YEAST01241, YEAST05495
OG0002216	APOSC_12957, APOSC_00875, APOSC_17041	YEAST06040
OG0002217	APOSC_23307	YEAST06033
OG0002222	APOSC_00538	YEAST03240
OG0002224	APOSC_18776, APOSC_18777	YEAST01574
OG0002225	APOSC_22427	YEAST04939
OG0002226	APOSC_01552	YEAST00948
OG0002228	APOSC_24187	YEAST04154, YEAST05632
OG0002233	APOSC_06864	YEAST00277
OG0002239	APOSC_02757	YEAST01621
OG0002241	APOSC_00224, APOSC_15886	YEAST02005
OG0002243	APOSC_01692	YEAST04599, YEAST03601, YEAST04600
OG0002244	APOSC_24276	YEAST02768
OG0002252	APOSC_08233, APOSC_10259, APOSC_01721	YEAST00826
OG0002261	APOSC_09973, APOSC_01375, APOSC_01376	YEAST00472
OG0002264	APOSC_17999, APOSC_29160, APOSC_20572	YEAST01705
OG0002279	APOSC_19817	YEAST05800
OG0002282	APOSC_27761, APOSC_13750, APOSC_13749	YEAST00881
OG0002288	APOSC_11294, APOSC_11293	YEAST01591, YEAST05154
OG0002312	APOSC_23301	YEAST06295
OG0002316	APOSC_08356	YEAST01805
OG0002318	APOSC_17713	YEAST02923
OG0002319	APOSC_16802, APOSC_18537	YEAST00329
OG0002321	APOSC_10913	YEAST02461
OG0002324	APOSC_16211	YEAST02615, YEAST06287
OG0002326	APOSC_17684	YEAST00310, YEAST02699
OG0002327	APOSC_06995, APOSC_18373	YEAST00346, YEAST06217
OG0002331	APOSC_25291	YEAST01653
OG0002332	APOSC_12740	YEAST01606, YEAST05184, YEAST00285
OG0002341	APOSC_11019	YEAST03640, YEAST04562
OG0002344	APOSC_25480	YEAST02312, YEAST02019
OG0002346	APOSC_07336	YEAST02012
OG0002348	APOSC_18750	YEAST01845
OG0002355	APOSC_10159, APOSC_08399, APOSC_27751, APOSC_27413	YEAST00016
OG0002356	APOSC_03388	YEAST00259
OG0002361	APOSC_15741	YEAST01027
OG0002367	APOSC_15926, APOSC_21224	YEAST01179
OG0002369	APOSC_26993, APOSC_26992, APOSC_17971	YEAST03766
OG0002374	APOSC_11797	YEAST02010, YEAST00133
OG0002377	APOSC_15267	YEAST05000
OG0002406	APOSC_03559, APOSC_03558	YEAST05509
OG0002407	APOSC_23871, APOSC_19539, APOSC_09967, APOSC_09969, APOSC_09968	YEAST00012
OG0002409	APOSC_27400	YEAST02027
OG0002411	APOSC_04009	YEAST05950, YEAST02407
OG0002412	APOSC_01507	YEAST06171
OG0002413	APOSC_23972, APOSC_01682	YEAST01196
OG0002415	APOSC_02142, APOSC_02143, APOSC_16711	YEAST01271
OG0002421	APOSC_00076, APOSC_18272	YEAST02982
OG0002422	APOSC_14600	YEAST02443
OG0002422	APOSC_11565, APOSC_06825, APOSC_24123, APOSC_24124	YEAST05026
OG0002426	APOSC_03921	YEAST00184
OG0002441	APOSC_21966	YEAST00068, YEAST02278, YEAST05821
OG0002442	APOSC_07036	YEAST05932
OG0002443	APOSC_05095, APOSC_06655	YEAST04906
OG0002446	APOSC_18266	YEAST04254
OG0002448	APOSC_23526, APOSC_18984	YEAST00626
OG0002450	APOSC_13991	YEAST04575
OG0002453	APOSC_12294	YEAST00512
OG0002476	APOSC_08544, APOSC_06061	YEAST05799
OG0002486	APOSC_24086	YEAST01433
OG0002492	APOSC_26144, APOSC_26143	YEAST01624
OG0002494	APOSC_27422	YEAST02402
OG0002495	APOSC_23227	YEAST02772
OG0002497	APOSC_12496	YEAST02747
OG0002500	APOSC_26581, APOSC_26845, APOSC_03483	YEAST05648
OG0002505	APOSC_20422	YEAST02959
OG0002510	APOSC_08174, APOSC_22448	YEAST04753
OG0002516	APOSC_18582	YEAST00066
OG0002518	APOSC_11783	YEAST02890
OG0002520	APOSC_09886, APOSC_05221	YEAST05256
OG0002523	APOSC_20366	YEAST06234
OG0002527	APOSC_26177	YEAST01639
OG0002528	APOSC_06214	YEAST00372
OG0002530	APOSC_20517, APOSC_20516	YEAST05530, YEAST03790
OG0002532	APOSC_00073	YEAST03235
OG0002533	APOSC_16025	YEAST04525
OG0002543	APOSC_10448	YEAST00527
OG0002557	APOSC_06271, APOSC_06270	YEAST06243
OG0002561	APOSC_22772	YEAST04438, YEAST02106
OG0002562	APOSC_23061	YEAST03992
OG0002564	APOSC_10079	YEAST02186
OG0002565	APOSC_12348, APOSC_12347	YEAST04224, YEAST02499
OG0002570	APOSC_04158	YEAST00592
OG0002574	APOSC_18559, APOSC_14927	YEAST05657
OG0002594	APOSC_20282	YEAST06174
OG0002598	APOSC_00806	YEAST04621, YEAST03577
OG0002605	APOSC_03297, APOSC_03298	YEAST06332
OG0002608	APOSC_19157, APOSC_19158, APOSC_19156	YEAST03716, YEAST02846
OG0002609	APOSC_09800	YEAST01355
OG0002610	APOSC_14574	YEAST01078, YEAST03973
OG0002612	APOSC_14336, APOSC_00532, APOSC_25869	YEAST03508
OG0002617	APOSC_17874	YEAST00866
OG0002618	APOSC_15078	YEAST06247
OG0002621	APOSC_16138	YEAST05551
OG0002629	APOSC_24143, APOSC_28514	YEAST05919
OG0002630	APOSC_13427, APOSC_22808, APOSC_27733, APOSC_03547	YEAST05943, YEAST02413
OG0002632	APOSC_11736, APOSC_11737	YEAST02755
OG0002633	APOSC_07809	YEAST04206
OG0002636	APOSC_20531	YEAST01664, YEAST06215
OG0002638	APOSC_22253	YEAST00919, YEAST04703
OG0002643	APOSC_17590, APOSC_27275, APOSC_02359	YEAST01938
OG0002644	APOSC_09983	YEAST00724
OG0002645	APOSC_20192, APOSC_14467	YEAST01436
OG0002646	APOSC_09824	YEAST01946
OG0002651	APOSC_05782	YEAST02247
OG0002651	APOSC_05783	YEAST02868
OG0002652	APOSC_02334, APOSC_02332, APOSC_02331, APOSC_02333	YEAST04937
OG0002656	APOSC_28100	YEAST05701
OG0002659	APOSC_14721	YEAST06290
OG0002666	APOSC_16626	YEAST02507
OG0002668	APOSC_14298	YEAST02324
OG0002677	APOSC_13230, APOSC_13231	YEAST05210
OG0002683	APOSC_17393	YEAST03676
OG0002705	APOSC_27917	YEAST00553
OG0002713	APOSC_05280, APOSC_03071	YEAST00413, YEAST06057
OG0002715	APOSC_07749	YEAST01174, YEAST04131
OG0002717	APOSC_26112	YEAST02430
OG0002718	APOSC_17928	YEAST03380, YEAST03502
OG0002720	APOSC_27936, APOSC_01575, APOSC_25207, APOSC_01930, APOSC_01574	YEAST01914
OG0002722	APOSC_24653	YEAST04059
OG0002726	APOSC_05201, APOSC_05202, APOSC_05200	YEAST02958
OG0002729	APOSC_17120, APOSC_21036	YEAST01155
OG0002737	APOSC_20148	YEAST02827
OG0002739	APOSC_21522	YEAST01877
OG0002740	APOSC_21986	YEAST01658
OG0002742	APOSC_06473	YEAST03713
OG0002743	APOSC_08187, APOSC_09455, APOSC_20408	YEAST01824, YEAST03362
OG0002745	APOSC_11793	YEAST04244
OG0002746	APOSC_01643, APOSC_01382, APOSC_01381, APOSC_13976, APOSC_02478, APOSC_20032	YEAST04902, YEAST05332
OG0002747	APOSC_09247, APOSC_09246	YEAST05617
OG0002749	APOSC_19739	YEAST02810
OG0002750	APOSC_07858	YEAST04952
OG0002752	APOSC_17025	YEAST03686
OG0002753	APOSC_14782, APOSC_01613	YEAST03742
OG0002754	APOSC_00654	YEAST03620
OG0002756	APOSC_00629	YEAST04058
OG0002758	APOSC_28557	YEAST04409
OG0002760	APOSC_17017, APOSC_22654	YEAST01927
