Orthogroup	BRALA	SCHMD
OG0000764	BRALA20638	SCHMD16330
OG0000765	BRALA25961	SCHMD21723, SCHMD22880
OG0000765	BRALA10305	SCHMD29001
OG0000766	BRALA15635	SCHMD07087
OG0000766	BRALA32820, BRALA18201	SCHMD23662, SCHMD13714, SCHMD13716, SCHMD13715, SCHMD28470, SCHMD22621, SCHMD06546
OG0000768	BRALA25731	SCHMD13165, SCHMD22067
OG0000772	BRALA03708	SCHMD07550, SCHMD11404
OG0000772	BRALA34004, BRALA16613, BRALA03331	SCHMD29807
OG0000774	BRALA01367	SCHMD13406
OG0000774	BRALA12795	SCHMD04364
OG0000776	BRALA29299, BRALA14518, BRALA14519, BRALA14092, BRALA29300	SCHMD10487
OG0000777	BRALA06536	SCHMD17125
OG0000778	BRALA20992, BRALA09413, BRALA00256, BRALA00257, BRALA00259	SCHMD17919, SCHMD25026, SCHMD16452, SCHMD20513
OG0000780	BRALA21364	SCHMD10385, SCHMD10386
OG0000782	BRALA18203	SCHMD01655, SCHMD14818
OG0000784	BRALA06052, BRALA25550, BRALA17554, BRALA16289, BRALA22376, BRALA25588	SCHMD19992, SCHMD27743
OG0000787	BRALA03891	SCHMD22606, SCHMD20069, SCHMD13786
OG0000788	BRALA02413	SCHMD11830, SCHMD18844
OG0000788	BRALA32315	SCHMD06628
OG0000791	BRALA14451	SCHMD12437
OG0000792	BRALA33683	SCHMD14957, SCHMD14636, SCHMD23892
OG0000794	BRALA27101, BRALA27102	SCHMD10042
OG0000797	BRALA03774	SCHMD16320
OG0000799	BRALA07756	SCHMD17640
OG0000802	BRALA01136, BRALA01137, BRALA01138	SCHMD10199
OG0000803	BRALA35065, BRALA07561	SCHMD13498, SCHMD13620, SCHMD26336
OG0000809	BRALA05348	SCHMD21850, SCHMD00682
OG0000810	BRALA00801	SCHMD03195, SCHMD03113
OG0000810	BRALA10599	SCHMD06140, SCHMD03114
OG0000813	BRALA03695	SCHMD04629, SCHMD20034, SCHMD10317, SCHMD04366, SCHMD20035, SCHMD10316, SCHMD26060
OG0000814	BRALA13770	SCHMD03060, SCHMD13676
OG0000819	BRALA07697	SCHMD03878
OG0000819	BRALA00420	SCHMD18637, SCHMD01894
OG0000819	BRALA14959	SCHMD26932, SCHMD11456, SCHMD22577, SCHMD16618
OG0000820	BRALA14102	SCHMD19766
OG0000822	BRALA02264	SCHMD16037
OG0000824	BRALA12514	SCHMD07823, SCHMD24327, SCHMD27575, SCHMD22375
OG0000826	BRALA03389, BRALA10374, BRALA19087	SCHMD01695, SCHMD01697, SCHMD12736, SCHMD10190, SCHMD02301, SCHMD07205, SCHMD20648, SCHMD19536, SCHMD29770
OG0000828	BRALA13294, BRALA17812	SCHMD18098
OG0000828	BRALA04441	SCHMD08298
OG0000828	BRALA31135	SCHMD07805
OG0000828	BRALA34346	SCHMD08624
OG0000829	BRALA16337, BRALA16336	SCHMD27680, SCHMD26916
OG0000834	BRALA06902	SCHMD11223, SCHMD19332, SCHMD16052
OG0000836	BRALA01673, BRALA04302, BRALA08044, BRALA08045	SCHMD23242
OG0000842	BRALA00081	SCHMD01343
OG0000844	BRALA18784	SCHMD01709
OG0000847	BRALA19376	SCHMD03587, SCHMD22549
OG0000848	BRALA26804	SCHMD03599
OG0000849	BRALA28673	SCHMD25311
OG0000849	BRALA24673	SCHMD22953, SCHMD26456, SCHMD01276, SCHMD04229, SCHMD16960, SCHMD16685
OG0000851	BRALA11776	SCHMD21876, SCHMD17205
OG0000855	BRALA11989, BRALA11988, BRALA11992	SCHMD29481, SCHMD01902, SCHMD15557
OG0000856	BRALA04525	SCHMD05219, SCHMD06062, SCHMD17590
OG0000858	BRALA12759	SCHMD08601
OG0000858	BRALA20038	SCHMD23221, SCHMD20483, SCHMD08351
OG0000858	BRALA08811	SCHMD22095, SCHMD27060
OG0000860	BRALA18427	SCHMD05987
OG0000863	BRALA26155	SCHMD22411
OG0000863	BRALA04288, BRALA11647, BRALA12403, BRALA20227, BRALA26732, BRALA10858, BRALA08365, BRALA35488, BRALA04291, BRALA17104, BRALA07022, BRALA15917	SCHMD07293
OG0000868	BRALA34175, BRALA35115	SCHMD05358
OG0000869	BRALA00814, BRALA00815	SCHMD07449
OG0000870	BRALA21184, BRALA21180, BRALA21179	SCHMD09425
OG0000871	BRALA16416	SCHMD06938
OG0000872	BRALA02222	SCHMD07553
OG0000873	BRALA17119	SCHMD02655, SCHMD05829
OG0000875	BRALA10301	SCHMD10815
OG0000875	BRALA09033	SCHMD17655, SCHMD18552, SCHMD00030, SCHMD10336
OG0000876	BRALA11284	SCHMD01529
OG0000878	BRALA02340	SCHMD18560
OG0000879	BRALA20286, BRALA33717, BRALA33372, BRALA20287	SCHMD10640
OG0000880	BRALA09318	SCHMD03718
OG0000881	BRALA10038	SCHMD04314, SCHMD09365, SCHMD01117, SCHMD08924
OG0000881	BRALA27657	SCHMD20926, SCHMD25363
OG0000887	BRALA10243, BRALA20178	SCHMD27495
OG0000887	BRALA32915	SCHMD18001
OG0000888	BRALA15051	SCHMD01724
OG0000889	BRALA25124	SCHMD00830, SCHMD04643
OG0000889	BRALA07192	SCHMD02281, SCHMD02130
OG0000890	BRALA24385	SCHMD09911
OG0000894	BRALA16945	SCHMD05374, SCHMD26280
OG0000894	BRALA06371	SCHMD11594, SCHMD05061
OG0000896	BRALA17653	SCHMD08034
OG0000896	BRALA22494	SCHMD03189
OG0000897	BRALA28132	SCHMD05382
OG0000900	BRALA04915, BRALA04927	SCHMD04375
OG0000905	BRALA02403	SCHMD17642, SCHMD19023
OG0000906	BRALA34042	SCHMD01676
OG0000907	BRALA01339	SCHMD03616
OG0000908	BRALA30688	SCHMD03334, SCHMD11293
OG0000908	BRALA30545, BRALA13144	SCHMD14013
OG0000909	BRALA24516	SCHMD05694, SCHMD03729
OG0000911	BRALA24857, BRALA35518, BRALA03108	SCHMD02390, SCHMD02388
OG0000913	BRALA19448	SCHMD10820, SCHMD18663
OG0000914	BRALA20034	SCHMD13078
OG0000915	BRALA15366	SCHMD14220
OG0000921	BRALA09094	SCHMD07722
OG0000921	BRALA21805	SCHMD16275
OG0000925	BRALA25852	SCHMD01205, SCHMD18689
OG0000925	BRALA14244	SCHMD00501, SCHMD05937
OG0000926	BRALA25512	SCHMD13544, SCHMD06558
OG0000926	BRALA29788	SCHMD06554, SCHMD17036, SCHMD13546, SCHMD25813
OG0000929	BRALA27860, BRALA27977	SCHMD00375, SCHMD08839
OG0000931	BRALA30526	SCHMD02356
OG0000933	BRALA17396	SCHMD01828, SCHMD29251, SCHMD08939
OG0000933	BRALA17397	SCHMD02882, SCHMD28308, SCHMD17968, SCHMD28525, SCHMD13327, SCHMD17140, SCHMD17141
OG0000934	BRALA15692	SCHMD07111, SCHMD08216
OG0000935	BRALA20990	SCHMD18664
OG0000943	BRALA03760, BRALA05220, BRALA00974	SCHMD19076
OG0000944	BRALA16973	SCHMD15750
OG0000945	BRALA12545	SCHMD15214, SCHMD06612, SCHMD06319
OG0000946	BRALA08785	SCHMD09426
OG0000946	BRALA08784	SCHMD06614
OG0000947	BRALA00543, BRALA00290	SCHMD24447
OG0000949	BRALA16910	SCHMD10151, SCHMD29084, SCHMD29079, SCHMD02016
OG0000951	BRALA33620, BRALA28201, BRALA34162, BRALA35165	SCHMD20208
OG0000954	BRALA34235	SCHMD05029, SCHMD08968, SCHMD13763
OG0000954	BRALA10453	SCHMD05469, SCHMD02974
OG0000955	BRALA00782	SCHMD06645, SCHMD03890, SCHMD04591
OG0000955	BRALA16596	SCHMD20742
OG0000957	BRALA14646	SCHMD18023
OG0000960	BRALA12453	SCHMD05680, SCHMD08670, SCHMD05681, SCHMD12110
OG0000963	BRALA03591	SCHMD22298, SCHMD11708
OG0000963	BRALA20733	SCHMD04476
OG0000965	BRALA03357	SCHMD22316, SCHMD15133, SCHMD13697, SCHMD12517
OG0000966	BRALA30500	SCHMD00065
OG0000967	BRALA11137	SCHMD11342, SCHMD26265
OG0000967	BRALA03874	SCHMD05844, SCHMD03950
OG0000968	BRALA24640	SCHMD03384, SCHMD13557, SCHMD11646, SCHMD29090
OG0000969	BRALA14830, BRALA07388, BRALA07383	SCHMD15666, SCHMD13228, SCHMD13229, SCHMD15667
OG0000972	BRALA06799	SCHMD05471
OG0000974	BRALA08524, BRALA00836	SCHMD24665, SCHMD24853, SCHMD26881
OG0000977	BRALA29523	SCHMD24427, SCHMD03391
OG0000978	BRALA19988	SCHMD15268, SCHMD25301, SCHMD25194
OG0000979	BRALA11494, BRALA16484, BRALA16483, BRALA16486, BRALA12541, BRALA12544	SCHMD24204, SCHMD01421
OG0000981	BRALA17579	SCHMD13908
OG0000982	BRALA04219	SCHMD26054
OG0000984	BRALA13541	SCHMD02865
OG0000985	BRALA03927	SCHMD13371, SCHMD11840
OG0000986	BRALA23940	SCHMD25195, SCHMD27305, SCHMD22933
OG0000988	BRALA10034	SCHMD00928
OG0000992	BRALA13132, BRALA29385	SCHMD08111
OG0000993	BRALA00562	SCHMD03348
OG0000994	BRALA12870	SCHMD16610, SCHMD07202, SCHMD11541, SCHMD07203
OG0000994	BRALA16394	SCHMD16602, SCHMD10604
OG0000997	BRALA11907	SCHMD28749
OG0000998	BRALA34224, BRALA34676	SCHMD08664
OG0000999	BRALA08770	SCHMD16857, SCHMD24576, SCHMD11146, SCHMD08208
OG0001000	BRALA29242	SCHMD22725
OG0001001	BRALA14859	SCHMD07356
OG0001002	BRALA17196, BRALA18350, BRALA01976	SCHMD17610
OG0001002	BRALA35638	SCHMD07769, SCHMD07768, SCHMD11688
OG0001003	BRALA07286	SCHMD21687, SCHMD24830
OG0001006	BRALA19471	SCHMD17048, SCHMD11571
OG0001007	BRALA19531, BRALA19530	SCHMD05810
OG0001008	BRALA24730	SCHMD04857
OG0001009	BRALA13978	SCHMD19415, SCHMD09472
OG0001011	BRALA07056, BRALA07076, BRALA01113, BRALA01112, BRALA01272, BRALA00188, BRALA21785, BRALA17632	SCHMD16803, SCHMD21485, SCHMD15129, SCHMD01138, SCHMD09256, SCHMD04133, SCHMD16573
OG0001013	BRALA25039, BRALA26373, BRALA25038, BRALA25040, BRALA34547	SCHMD14534, SCHMD13659, SCHMD16121, SCHMD28755, SCHMD14533
OG0001015	BRALA21974	SCHMD06693, SCHMD06692
OG0001016	BRALA14145	SCHMD23273, SCHMD15080
OG0001016	BRALA31587	SCHMD25548, SCHMD21254
OG0001017	BRALA00434	SCHMD07821
OG0001018	BRALA35275, BRALA04664, BRALA06928, BRALA14350	SCHMD08153
OG0001019	BRALA19089	SCHMD01848, SCHMD05447
OG0001023	BRALA20751	SCHMD07708, SCHMD18630, SCHMD28291, SCHMD19902
OG0001028	BRALA13434	SCHMD01474, SCHMD11482
OG0001029	BRALA03377, BRALA03376	SCHMD04839, SCHMD00804, SCHMD00805
OG0001030	BRALA10822	SCHMD08464
OG0001031	BRALA06708	SCHMD14040, SCHMD09371, SCHMD16991, SCHMD19644
OG0001031	BRALA31101	SCHMD19646, SCHMD16992
OG0001031	BRALA16794, BRALA30770	SCHMD17709, SCHMD09373
OG0001032	BRALA31425	SCHMD15671, SCHMD16553, SCHMD24305, SCHMD20230, SCHMD05282
OG0001033	BRALA06800	SCHMD11399, SCHMD23908
OG0001033	BRALA23440	SCHMD10492
OG0001036	BRALA13787	SCHMD05156
OG0001039	BRALA06810	SCHMD01765
OG0001039	BRALA20039	SCHMD01764
OG0001042	BRALA11036	SCHMD11839
OG0001043	BRALA21584	SCHMD02174, SCHMD16603, SCHMD02028, SCHMD17894
OG0001046	BRALA11238	SCHMD05104, SCHMD02045, SCHMD11124
OG0001047	BRALA06024	SCHMD28420
OG0001048	BRALA04010	SCHMD12160
OG0001049	BRALA08587	SCHMD16614
OG0001050	BRALA23081, BRALA05944	SCHMD03458
OG0001052	BRALA03851, BRALA06631	SCHMD09988
OG0001053	BRALA17006	SCHMD25503, SCHMD22630
OG0001056	BRALA03777, BRALA26581, BRALA28085, BRALA28084, BRALA16899, BRALA28083, BRALA12389, BRALA13609, BRALA13612, BRALA09672	SCHMD02897
OG0001059	BRALA16690	SCHMD17881, SCHMD18020, SCHMD18021
OG0001060	BRALA22460	SCHMD12337, SCHMD14762, SCHMD05051
OG0001062	BRALA01158	SCHMD24440, SCHMD23600, SCHMD17910
OG0001063	BRALA22196, BRALA22195, BRALA22198, BRALA22197, BRALA22194, BRALA22631	SCHMD00703
OG0001064	BRALA27120, BRALA30714, BRALA30301, BRALA26163	SCHMD00355, SCHMD00354
OG0001064	BRALA29488	SCHMD28345
OG0001072	BRALA23228, BRALA23227, BRALA29817	SCHMD24459, SCHMD27893
OG0001073	BRALA12664	SCHMD00478
OG0001075	BRALA09682	SCHMD13181, SCHMD04392, SCHMD00196, SCHMD16771
OG0001076	BRALA20184	SCHMD07131
OG0001077	BRALA08290	SCHMD18584, SCHMD01953
OG0001077	BRALA07396	SCHMD20077
OG0001077	BRALA31456	SCHMD18407, SCHMD17122
OG0001078	BRALA13847	SCHMD20731, SCHMD25766
OG0001079	BRALA21718	SCHMD25938
OG0001079	BRALA18533, BRALA21440, BRALA18732, BRALA10369, BRALA24636, BRALA29256, BRALA20346, BRALA25660	SCHMD15090, SCHMD18834
OG0001079	BRALA12769	SCHMD27223
OG0001080	BRALA13315	SCHMD08586
OG0001080	BRALA13682	SCHMD15438, SCHMD19176
OG0001080	BRALA13314	SCHMD05782, SCHMD22091
OG0001081	BRALA20186, BRALA18322, BRALA02329, BRALA02330	SCHMD05425
OG0001083	BRALA22369	SCHMD07690
OG0001084	BRALA34942, BRALA33764	SCHMD10717
OG0001085	BRALA18590, BRALA17350	SCHMD03894
OG0001086	BRALA26119	SCHMD22447, SCHMD28850, SCHMD24214
OG0001088	BRALA22594	SCHMD01007, SCHMD19898, SCHMD23791
OG0001089	BRALA20406	SCHMD10517
OG0001090	BRALA19647	SCHMD22171, SCHMD15052, SCHMD14871, SCHMD23868, SCHMD00934, SCHMD02957, SCHMD02170, SCHMD23588, SCHMD18161, SCHMD24510, SCHMD25428, SCHMD28135, SCHMD05847, SCHMD13313, SCHMD09556, SCHMD06679, SCHMD00092, SCHMD03303, SCHMD27352, SCHMD03833, SCHMD14325, SCHMD12843, SCHMD25555, SCHMD14278, SCHMD22966, SCHMD27178, SCHMD23857
OG0001091	BRALA18566	SCHMD13206, SCHMD15908
OG0001092	BRALA08314	SCHMD18945
OG0001093	BRALA07018	SCHMD16772
OG0001094	BRALA21202	SCHMD01339, SCHMD02841, SCHMD07133, SCHMD16607, SCHMD02809, SCHMD26909, SCHMD21662
OG0001096	BRALA33777, BRALA19152, BRALA02429, BRALA20860, BRALA19151, BRALA33488, BRALA29289, BRALA09978, BRALA29288	SCHMD11467, SCHMD14874
OG0001101	BRALA11039	SCHMD23171
OG0001102	BRALA06483	SCHMD06311
OG0001103	BRALA23451	SCHMD10595
OG0001104	BRALA14774	SCHMD11885, SCHMD14895, SCHMD18516, SCHMD03705
OG0001108	BRALA10695, BRALA14990	SCHMD08133
OG0001112	BRALA13668	SCHMD26529, SCHMD08447, SCHMD12345, SCHMD07656, SCHMD07657, SCHMD23860, SCHMD19548, SCHMD19654, SCHMD19655
OG0001113	BRALA08129	SCHMD04717
OG0001113	BRALA16554	SCHMD08665, SCHMD03992
OG0001114	BRALA27031	SCHMD02552, SCHMD07391
OG0001116	BRALA34250	SCHMD19491
OG0001117	BRALA15421	SCHMD18856
OG0001118	BRALA07680	SCHMD16905, SCHMD07256, SCHMD20803
OG0001119	BRALA13802	SCHMD23322, SCHMD22988, SCHMD23323
OG0001121	BRALA32292, BRALA13901, BRALA27511, BRALA08946	SCHMD18066, SCHMD06995, SCHMD25343, SCHMD23015, SCHMD06994
OG0001123	BRALA24284	SCHMD02756
OG0001124	BRALA23017, BRALA07725	SCHMD24013
OG0001126	BRALA16208	SCHMD17193, SCHMD24674, SCHMD17192
OG0001127	BRALA34184	SCHMD06664
OG0001128	BRALA22493	SCHMD08323
OG0001129	BRALA12498	SCHMD15504, SCHMD18282, SCHMD05846
OG0001130	BRALA09459, BRALA01930, BRALA15598	SCHMD04030
OG0001130	BRALA16826	SCHMD13287, SCHMD04031
OG0001133	BRALA03024, BRALA03023	SCHMD18643
OG0001133	BRALA00752	SCHMD29299, SCHMD19714
OG0001136	BRALA18520	SCHMD09640
OG0001137	BRALA13309	SCHMD17448, SCHMD26312, SCHMD05464, SCHMD01243
OG0001138	BRALA00020, BRALA11821	SCHMD00170
OG0001139	BRALA06120, BRALA32868, BRALA35077	SCHMD00334
OG0001141	BRALA09514	SCHMD02981, SCHMD09902, SCHMD11211, SCHMD15344, SCHMD18658
OG0001142	BRALA14735	SCHMD12785, SCHMD19807, SCHMD09379
OG0001143	BRALA04133	SCHMD05178
OG0001146	BRALA18782, BRALA05823	SCHMD06189
OG0001148	BRALA32277, BRALA19677, BRALA32275, BRALA34454, BRALA32276, BRALA12465, BRALA12466	SCHMD02133, SCHMD02134, SCHMD22264, SCHMD25588
OG0001149	BRALA02800, BRALA04751, BRALA04752, BRALA04599, BRALA04600, BRALA05458, BRALA29287, BRALA13277, BRALA05394, BRALA23727, BRALA23728, BRALA03128, BRALA02797, BRALA02801	SCHMD16336, SCHMD29633
OG0001155	BRALA32774	SCHMD01897
OG0001156	BRALA24884	SCHMD11390
OG0001158	BRALA32010	SCHMD06105
OG0001158	BRALA34638	SCHMD01514, SCHMD06104, SCHMD00376
OG0001159	BRALA12859	SCHMD21936
OG0001159	BRALA12091	SCHMD01595
OG0001160	BRALA26795, BRALA26797, BRALA19892	SCHMD18251, SCHMD20811
OG0001160	BRALA07607, BRALA18147, BRALA18618, BRALA19127, BRALA07606	SCHMD20666
OG0001162	BRALA29065	SCHMD04355, SCHMD04356
OG0001164	BRALA14948	SCHMD22065
OG0001165	BRALA14768	SCHMD11819
OG0001165	BRALA05900	SCHMD12131
OG0001167	BRALA30313	SCHMD08043, SCHMD04406
OG0001168	BRALA29323, BRALA27661, BRALA20565	SCHMD13073
OG0001169	BRALA15708, BRALA16649, BRALA16681	SCHMD01217
OG0001172	BRALA06911	SCHMD19335
OG0001172	BRALA04692	SCHMD00291
OG0001174	BRALA15302	SCHMD01912, SCHMD10503, SCHMD10504, SCHMD01914
OG0001175	BRALA00132	SCHMD18473
OG0001176	BRALA21617	SCHMD08283
OG0001177	BRALA12880	SCHMD07016, SCHMD07017, SCHMD07015
OG0001178	BRALA05138	SCHMD07684
OG0001178	BRALA06035	SCHMD13713
OG0001179	BRALA20573	SCHMD26379
OG0001180	BRALA14580, BRALA22836	SCHMD06758, SCHMD11099, SCHMD23467, SCHMD27444, SCHMD17396
OG0001181	BRALA18132	SCHMD21797
OG0001183	BRALA24188	SCHMD02325
OG0001184	BRALA10129	SCHMD12752
OG0001184	BRALA21684	SCHMD29753, SCHMD15110, SCHMD23640
OG0001185	BRALA27214	SCHMD23236
OG0001186	BRALA19974	SCHMD20610
OG0001186	BRALA16139	SCHMD05037
OG0001188	BRALA10757	SCHMD05963, SCHMD14167
OG0001189	BRALA16685	SCHMD17573, SCHMD27159, SCHMD05552
OG0001191	BRALA21369	SCHMD00186
OG0001191	BRALA27930	SCHMD11387
OG0001197	BRALA24133	SCHMD06230
OG0001197	BRALA32524, BRALA01046	SCHMD16253
OG0001198	BRALA02488	SCHMD04078
OG0001199	BRALA28833	SCHMD17507, SCHMD14047
OG0001199	BRALA15988	SCHMD17830
OG0001199	BRALA34865	SCHMD16496
OG0001201	BRALA03561	SCHMD18644
OG0001203	BRALA13355	SCHMD00135, SCHMD00546, SCHMD10565, SCHMD27661, SCHMD10341
OG0001204	BRALA24154, BRALA24153	SCHMD08657, SCHMD22624, SCHMD10325
OG0001207	BRALA21595, BRALA21596, BRALA29973	SCHMD07731
OG0001208	BRALA01086	SCHMD11671, SCHMD13440, SCHMD22806
OG0001209	BRALA26756	SCHMD22043, SCHMD28492
OG0001210	BRALA17839	SCHMD19441
OG0001210	BRALA15850	SCHMD03203
OG0001211	BRALA26659	SCHMD16385, SCHMD14428
OG0001213	BRALA28371	SCHMD01086
OG0001213	BRALA34460	SCHMD21364, SCHMD26387, SCHMD21954, SCHMD22675
OG0001214	BRALA28235	SCHMD22221
OG0001215	BRALA00597	SCHMD25774
OG0001216	BRALA19958	SCHMD13349
OG0001217	BRALA28081	SCHMD18537
OG0001218	BRALA05693	SCHMD03256
OG0001219	BRALA10294	SCHMD09614, SCHMD00713
OG0001220	BRALA35332	SCHMD07712
OG0001221	BRALA22011	SCHMD16690
OG0001223	BRALA03165	SCHMD08671
OG0001226	BRALA29243	SCHMD21222
OG0001230	BRALA09760	SCHMD18159, SCHMD04385, SCHMD04382, SCHMD28531
OG0001231	BRALA31220	SCHMD05786, SCHMD07759, SCHMD03181, SCHMD13940, SCHMD03182
OG0001236	BRALA27296	SCHMD08913, SCHMD03442
OG0001236	BRALA03699	SCHMD05776
OG0001238	BRALA16537, BRALA10747	SCHMD09688
OG0001241	BRALA15125	SCHMD04223
OG0001241	BRALA14260	SCHMD16327
OG0001245	BRALA18092	SCHMD09398
OG0001246	BRALA21012	SCHMD09297
OG0001247	BRALA17334	SCHMD01541, SCHMD06119, SCHMD06121
OG0001248	BRALA00477	SCHMD28672, SCHMD29190, SCHMD17657
OG0001250	BRALA25027	SCHMD08101, SCHMD04347
OG0001251	BRALA03569	SCHMD18877, SCHMD19053, SCHMD14253, SCHMD20912, SCHMD12715
OG0001256	BRALA27869	SCHMD23608, SCHMD16589, SCHMD16774, SCHMD00239, SCHMD25518
OG0001261	BRALA16992, BRALA16993, BRALA34932	SCHMD04419, SCHMD13436
OG0001262	BRALA35145	SCHMD20011
OG0001262	BRALA34134	SCHMD20259
OG0001263	BRALA03642, BRALA10859	SCHMD17470
OG0001264	BRALA03222	SCHMD27230, SCHMD17432
OG0001266	BRALA18491, BRALA13354	SCHMD00016, SCHMD26654
OG0001267	BRALA24251	SCHMD05399
OG0001268	BRALA01606	SCHMD01057
OG0001268	BRALA34950, BRALA34874	SCHMD24040
OG0001269	BRALA29120	SCHMD16377
OG0001270	BRALA13955	SCHMD27534, SCHMD20425, SCHMD23309, SCHMD13653
OG0001271	BRALA17017	SCHMD05357
OG0001272	BRALA07264	SCHMD27604, SCHMD21806
OG0001273	BRALA23210, BRALA35939	SCHMD13838, SCHMD25918, SCHMD21739
OG0001275	BRALA16893	SCHMD25163
OG0001279	BRALA24710	SCHMD06836
OG0001280	BRALA09515	SCHMD09937, SCHMD20104, SCHMD05674, SCHMD11884
OG0001281	BRALA30159	SCHMD05572
OG0001282	BRALA02372	SCHMD08027, SCHMD08026, SCHMD08025, SCHMD08022
OG0001284	BRALA14486	SCHMD09316
OG0001284	BRALA09529	SCHMD00434
OG0001285	BRALA34036, BRALA33761, BRALA33984, BRALA34161	SCHMD13791
OG0001286	BRALA27842	SCHMD05790
OG0001287	BRALA08199	SCHMD07530
OG0001291	BRALA17947, BRALA32920	SCHMD20641, SCHMD11793
OG0001294	BRALA29575	SCHMD26145, SCHMD28915, SCHMD26181, SCHMD17649, SCHMD26146, SCHMD20417, SCHMD20418
OG0001296	BRALA22582	SCHMD20454, SCHMD11060
OG0001297	BRALA23851	SCHMD10762
OG0001300	BRALA05943, BRALA27824	SCHMD19001, SCHMD09152, SCHMD17144, SCHMD02202
OG0001302	BRALA01346	SCHMD13885
OG0001302	BRALA17951	SCHMD08617, SCHMD27826
OG0001304	BRALA22379	SCHMD13840
OG0001306	BRALA05038	SCHMD04516
OG0001308	BRALA03706	SCHMD08020
OG0001310	BRALA22585	SCHMD19422
OG0001310	BRALA27863	SCHMD09167
OG0001311	BRALA14115	SCHMD05801
OG0001312	BRALA29353	SCHMD02056, SCHMD02055
OG0001316	BRALA15900	SCHMD15981
OG0001318	BRALA08906	SCHMD07054
OG0001318	BRALA01956	SCHMD16802
OG0001319	BRALA24213	SCHMD14764
OG0001320	BRALA11528	SCHMD01321, SCHMD01324, SCHMD01322
OG0001320	BRALA25109	SCHMD05527
OG0001321	BRALA08021	SCHMD23818
OG0001322	BRALA09871, BRALA13321	SCHMD09506
OG0001323	BRALA31053	SCHMD18380, SCHMD28053
OG0001324	BRALA11260	SCHMD06767
OG0001325	BRALA04015	SCHMD05728
OG0001326	BRALA24571, BRALA24570	SCHMD29052, SCHMD26738, SCHMD21907, SCHMD17595, SCHMD08761, SCHMD19423
OG0001327	BRALA19771	SCHMD08653, SCHMD04846
OG0001329	BRALA32195, BRALA12680	SCHMD15324
OG0001331	BRALA34572, BRALA33928	SCHMD14545
OG0001332	BRALA05167	SCHMD04204
OG0001333	BRALA25392	SCHMD15673, SCHMD23155
OG0001335	BRALA21645	SCHMD26447
OG0001337	BRALA09464	SCHMD01703
OG0001337	BRALA01268	SCHMD11229, SCHMD01704, SCHMD14444
OG0001339	BRALA35366, BRALA34173, BRALA33697	SCHMD08909
OG0001341	BRALA12816	SCHMD01188, SCHMD02608
OG0001345	BRALA34977, BRALA28899, BRALA30390, BRALA28247, BRALA32440	SCHMD01304, SCHMD10432, SCHMD01305, SCHMD01303, SCHMD21023, SCHMD24520, SCHMD19982, SCHMD16568
OG0001348	BRALA16187	SCHMD24331, SCHMD29399
OG0001350	BRALA27720	SCHMD16735, SCHMD15485, SCHMD23052
OG0001351	BRALA24199	SCHMD20739, SCHMD24185, SCHMD24241
OG0001353	BRALA23222, BRALA23221	SCHMD10586
OG0001354	BRALA17798	SCHMD11475, SCHMD26080
OG0001354	BRALA25624	SCHMD12063
OG0001355	BRALA32786	SCHMD23781
OG0001356	BRALA19061	SCHMD21598, SCHMD19916
OG0001357	BRALA15175, BRALA15174	SCHMD16921
OG0001362	BRALA13959, BRALA29842	SCHMD04122, SCHMD05643, SCHMD13617
OG0001363	BRALA22243	SCHMD05287, SCHMD16288, SCHMD05291
OG0001367	BRALA15242	SCHMD04624
OG0001368	BRALA09700, BRALA10312	SCHMD12524, SCHMD12925, SCHMD10124, SCHMD12523, SCHMD08134, SCHMD19303
OG0001368	BRALA10834	SCHMD02343
OG0001369	BRALA10956	SCHMD15727, SCHMD16208, SCHMD22520, SCHMD04521
OG0001370	BRALA16806	SCHMD12004
OG0001370	BRALA14045	SCHMD18225, SCHMD11963
OG0001371	BRALA26374, BRALA06219, BRALA06218, BRALA06220	SCHMD02523
OG0001372	BRALA00784	SCHMD12917
OG0001372	BRALA19110	SCHMD29815
OG0001374	BRALA26737	SCHMD12937
OG0001375	BRALA16842, BRALA15116	SCHMD18333
OG0001376	BRALA20906	SCHMD14191, SCHMD01800
OG0001378	BRALA16333	SCHMD12504, SCHMD07107
OG0001379	BRALA23817	SCHMD15234
OG0001383	BRALA24358	SCHMD18571, SCHMD21036
OG0001389	BRALA22941	SCHMD02031, SCHMD17776
OG0001394	BRALA31862	SCHMD23211, SCHMD24249
OG0001395	BRALA15754	SCHMD08832
OG0001397	BRALA25855	SCHMD08548, SCHMD08095
OG0001399	BRALA06146, BRALA22380	SCHMD20091, SCHMD16432
OG0001400	BRALA04732	SCHMD26317
OG0001401	BRALA23825, BRALA10783, BRALA04608, BRALA01709, BRALA02298, BRALA01710, BRALA23784, BRALA04269, BRALA10752	SCHMD15712
OG0001402	BRALA26708	SCHMD06853
OG0001404	BRALA06453	SCHMD14854
OG0001404	BRALA05435	SCHMD14853
OG0001405	BRALA05583	SCHMD16175
OG0001406	BRALA14289	SCHMD13359, SCHMD19152
OG0001408	BRALA20622	SCHMD23659, SCHMD15840, SCHMD15841
OG0001409	BRALA33418	SCHMD20637, SCHMD16856
OG0001409	BRALA30797	SCHMD04792
OG0001410	BRALA31201	SCHMD09832
OG0001410	BRALA20220	SCHMD09687
OG0001411	BRALA11764	SCHMD13416, SCHMD19137
OG0001412	BRALA11457, BRALA00239	SCHMD13223
