Orthogroup	BRALA	MOUSE
OG0000573	BRALA33118	MOUSE35087
OG0000573	BRALA01402	MOUSE51991, MOUSE51992
OG0000574	BRALA35830	MOUSE03800, MOUSE03927
OG0000574	BRALA06426	MOUSE06002, MOUSE06003, MOUSE03799
OG0000574	BRALA10469	MOUSE03923, MOUSE03922
OG0000574	BRALA02629	MOUSE47456, MOUSE47457, MOUSE47458, MOUSE47452, MOUSE47455, MOUSE47454, MOUSE47460, MOUSE47453
OG0000575	BRALA17689	MOUSE15329, MOUSE15327, MOUSE15326, MOUSE26633, MOUSE26640, MOUSE26630, MOUSE26631, MOUSE26628, MOUSE26625, MOUSE26635, MOUSE26629, MOUSE26626, MOUSE26638, MOUSE26639, MOUSE26636, MOUSE26642, MOUSE26641, MOUSE26624, MOUSE26634, MOUSE26637, MOUSE26627, MOUSE26632, MOUSE13339, MOUSE13341, MOUSE26235, MOUSE26230, MOUSE26233, MOUSE26232, MOUSE26229, MOUSE15328
OG0000576	BRALA00312	MOUSE01165
OG0000578	BRALA30383	MOUSE20360, MOUSE20359, MOUSE20362, MOUSE20361, MOUSE03091, MOUSE03087, MOUSE03090, MOUSE03088, MOUSE03089, MOUSE07290, MOUSE07291, MOUSE07292
OG0000580	BRALA02419	MOUSE47258, MOUSE47257
OG0000581	BRALA25966	MOUSE07319
OG0000581	BRALA25968	MOUSE18770, MOUSE07320
OG0000581	BRALA25970	MOUSE07322
OG0000582	BRALA24843	MOUSE17430, MOUSE17431, MOUSE17428, MOUSE17429, MOUSE23946, MOUSE23947, MOUSE25981, MOUSE25982, MOUSE25983, MOUSE25975, MOUSE25979, MOUSE25984, MOUSE25974, MOUSE25976, MOUSE25978, MOUSE17216, MOUSE17215, MOUSE17213, MOUSE17212, MOUSE17214, MOUSE17211, MOUSE17210, MOUSE23948
OG0000584	BRALA05113, BRALA05114, BRALA05271	MOUSE31344
OG0000585	BRALA20335	MOUSE40784, MOUSE40785, MOUSE40786, MOUSE40788, MOUSE40789, MOUSE40787, MOUSE40783, MOUSE40781, MOUSE40782, MOUSE35389, MOUSE35386, MOUSE35387, MOUSE35388, MOUSE35383, MOUSE35384, MOUSE35381, MOUSE35380, MOUSE35382, MOUSE31048, MOUSE31049
OG0000586	BRALA02479	MOUSE14471
OG0000587	BRALA05810	MOUSE22685, MOUSE38303, MOUSE38305, MOUSE38304, MOUSE55325, MOUSE55324, MOUSE55322, MOUSE55323
OG0000587	BRALA15179	MOUSE42665, MOUSE42667
OG0000588	BRALA00972	MOUSE48786, MOUSE48787, MOUSE31848, MOUSE32353, MOUSE32352
OG0000588	BRALA24520	MOUSE45239, MOUSE45240
OG0000589	BRALA33101, BRALA29679	MOUSE42228, MOUSE42229, MOUSE42227, MOUSE42226, MOUSE47183, MOUSE47184, MOUSE47181, MOUSE47182, MOUSE23629, MOUSE23630, MOUSE23628, MOUSE23627
OG0000590	BRALA07082	MOUSE05523, MOUSE18372, MOUSE05521, MOUSE05522, MOUSE02546
OG0000590	BRALA16075, BRALA31942	MOUSE18529, MOUSE28939, MOUSE28941
OG0000591	BRALA25344	MOUSE03776, MOUSE03774, MOUSE03773, MOUSE03775
OG0000591	BRALA13642	MOUSE45119, MOUSE45118, MOUSE45120, MOUSE45121, MOUSE45116
OG0000592	BRALA22980	MOUSE49687, MOUSE49686, MOUSE49685
OG0000592	BRALA12293, BRALA12292, BRALA25533	MOUSE27133
OG0000593	BRALA10467	MOUSE38540, MOUSE14106, MOUSE06441
OG0000593	BRALA03529	MOUSE12368, MOUSE12366, MOUSE12367, MOUSE49643, MOUSE49644, MOUSE13819, MOUSE28583
OG0000594	BRALA10983	MOUSE50538, MOUSE52223
OG0000597	BRALA07224	MOUSE46308, MOUSE46307, MOUSE04601, MOUSE04603, MOUSE04605, MOUSE04604, MOUSE20021, MOUSE46309, MOUSE37363
OG0000597	BRALA07985	MOUSE51636, MOUSE51634, MOUSE51635, MOUSE32567, MOUSE32568
OG0000598	BRALA11320, BRALA23299, BRALA25765, BRALA03034, BRALA02990, BRALA09389, BRALA08426, BRALA17485, BRALA05896, BRALA05863, BRALA15652, BRALA09868, BRALA33289, BRALA08360	MOUSE41698, MOUSE41699
OG0000600	BRALA16892	MOUSE00135, MOUSE00136
OG0000600	BRALA00923, BRALA16891	MOUSE22333
OG0000601	BRALA06469, BRALA04622, BRALA04621	MOUSE11094, MOUSE05650, MOUSE11093, MOUSE11086, MOUSE11085, MOUSE11088, MOUSE11087, MOUSE11083, MOUSE11084, MOUSE11090, MOUSE47966
OG0000602	BRALA13634	MOUSE54043, MOUSE54042, MOUSE13065, MOUSE13066, MOUSE13067
OG0000602	BRALA13638	MOUSE23060, MOUSE38461, MOUSE38463, MOUSE38462, MOUSE38460, MOUSE54041, MOUSE13068, MOUSE13069
OG0000603	BRALA11986	MOUSE18832, MOUSE18831, MOUSE20286, MOUSE20285, MOUSE20287, MOUSE20288, MOUSE07810, MOUSE07809, MOUSE07808, MOUSE07811, MOUSE18833, MOUSE18834, MOUSE18818, MOUSE18827, MOUSE18819, MOUSE18825, MOUSE18821, MOUSE20289, MOUSE20290, MOUSE18829
OG0000604	BRALA23058	MOUSE27357, MOUSE27359, MOUSE27358, MOUSE27356, MOUSE27360, MOUSE08641, MOUSE08640, MOUSE08644, MOUSE43346, MOUSE43345, MOUSE43344, MOUSE08642
OG0000607	BRALA02171	MOUSE42215, MOUSE42214, MOUSE42213, MOUSE02133, MOUSE02132, MOUSE02134, MOUSE23595, MOUSE23596, MOUSE23597
OG0000608	BRALA08057	MOUSE14207, MOUSE14208, MOUSE14204, MOUSE14206, MOUSE14205
OG0000609	BRALA13529	MOUSE07218
OG0000609	BRALA13853, BRALA18964, BRALA18966, BRALA18965, BRALA13849	MOUSE22036, MOUSE22020
OG0000609	BRALA04542	MOUSE22345
OG0000609	BRALA05170, BRALA01190, BRALA05174	MOUSE02350
OG0000610	BRALA08395, BRALA06657, BRALA26836	MOUSE51595
OG0000610	BRALA02697	MOUSE25477
OG0000611	BRALA20389	MOUSE55274, MOUSE55275, MOUSE55273, MOUSE54663, MOUSE54662, MOUSE54660, MOUSE54658, MOUSE54661, MOUSE54659, MOUSE55276
OG0000611	BRALA27313	MOUSE48953, MOUSE48957
OG0000612	BRALA24052	MOUSE46782, MOUSE46781, MOUSE40383, MOUSE40382
OG0000612	BRALA20021	MOUSE28578, MOUSE28580, MOUSE28579
OG0000613	BRALA12977	MOUSE00704, MOUSE00705, MOUSE00703, MOUSE28638, MOUSE34125, MOUSE34127, MOUSE34126, MOUSE34123, MOUSE34124
OG0000613	BRALA30072	MOUSE10241
OG0000614	BRALA26253, BRALA24121	MOUSE43293
OG0000615	BRALA14242	MOUSE29445, MOUSE21962
OG0000616	BRALA23460	MOUSE43042, MOUSE43044, MOUSE43043, MOUSE43041, MOUSE43050
OG0000617	BRALA28136	MOUSE14520, MOUSE14521
OG0000619	BRALA12118	MOUSE22712, MOUSE53834
OG0000621	BRALA26956	MOUSE15658
OG0000623	BRALA01906	MOUSE52068
OG0000623	BRALA33185	MOUSE05906, MOUSE05905, MOUSE14117
OG0000624	BRALA09192	MOUSE05834, MOUSE05836, MOUSE05833, MOUSE05837, MOUSE05835, MOUSE05832, MOUSE20490, MOUSE26414
OG0000625	BRALA19634	MOUSE16138, MOUSE16137, MOUSE16139, MOUSE16140, MOUSE16141, MOUSE16136, MOUSE50690, MOUSE50689, MOUSE50691
OG0000626	BRALA09669	MOUSE29299, MOUSE29292, MOUSE29296, MOUSE29291, MOUSE29297, MOUSE29295, MOUSE29294, MOUSE29293, MOUSE29298, MOUSE00426, MOUSE00422, MOUSE00425, MOUSE00423, MOUSE00424, MOUSE20854, MOUSE29219, MOUSE29218, MOUSE29213, MOUSE29216, MOUSE29217, MOUSE29214, MOUSE29215, MOUSE29300
OG0000627	BRALA29835	MOUSE50870, MOUSE50872, MOUSE50871, MOUSE50873, MOUSE50869, MOUSE50874, MOUSE50868, MOUSE43635, MOUSE43636, MOUSE43634, MOUSE43633, MOUSE43628, MOUSE43630, MOUSE43629, MOUSE43627, MOUSE43631, MOUSE15878
OG0000628	BRALA28627	MOUSE33803, MOUSE33805, MOUSE33806, MOUSE55288, MOUSE55287, MOUSE55289, MOUSE55291, MOUSE55290, MOUSE55292
OG0000628	BRALA16689	MOUSE28607, MOUSE00366, MOUSE00365, MOUSE18571, MOUSE18570, MOUSE18572
OG0000629	BRALA24722	MOUSE27093, MOUSE01791, MOUSE01790
OG0000634	BRALA18632	MOUSE29180, MOUSE29181, MOUSE29179
OG0000635	BRALA30993, BRALA30850, BRALA31506, BRALA28680, BRALA21096	MOUSE17432
OG0000635	BRALA05536, BRALA17413, BRALA17024	MOUSE42730
OG0000637	BRALA35665	MOUSE25268
OG0000637	BRALA25973	MOUSE06427
OG0000639	BRALA16533	MOUSE51940, MOUSE19650, MOUSE19651, MOUSE19647
OG0000639	BRALA20016	MOUSE49493, MOUSE49495, MOUSE49496, MOUSE32122, MOUSE28358
OG0000641	BRALA20745, BRALA20742, BRALA20741, BRALA26654, BRALA26656, BRALA26655	MOUSE14805, MOUSE14779, MOUSE14786, MOUSE14782, MOUSE14784, MOUSE14783, MOUSE14780, MOUSE14785, MOUSE14787, MOUSE14789, MOUSE14792, MOUSE14791, MOUSE14793, MOUSE14788, MOUSE14802, MOUSE14803, MOUSE14801, MOUSE14797, MOUSE14794, MOUSE14795, MOUSE14796, MOUSE14798, MOUSE14800, MOUSE14799
OG0000642	BRALA06680	MOUSE37031, MOUSE37030, MOUSE39970, MOUSE39974, MOUSE39972
OG0000643	BRALA01193	MOUSE43453, MOUSE18626
OG0000643	BRALA28428	MOUSE37838, MOUSE37839, MOUSE37831, MOUSE37832, MOUSE37834, MOUSE37836, MOUSE37833, MOUSE37837, MOUSE37835, MOUSE38119, MOUSE38118
OG0000645	BRALA20003	MOUSE48947
OG0000645	BRALA04294	MOUSE32254, MOUSE32255, MOUSE51331, MOUSE32253, MOUSE51330
OG0000646	BRALA05656	MOUSE39599, MOUSE15544, MOUSE15545, MOUSE38327, MOUSE38328
OG0000646	BRALA20004	MOUSE12275, MOUSE43672, MOUSE53413, MOUSE53412
OG0000647	BRALA16420	MOUSE27946, MOUSE27945, MOUSE27942, MOUSE27941, MOUSE27947, MOUSE27937, MOUSE27938, MOUSE27939, MOUSE27935, MOUSE27943, MOUSE27944, MOUSE27940, MOUSE27936, MOUSE46894, MOUSE46895
OG0000648	BRALA03156	MOUSE09133, MOUSE09132, MOUSE09134, MOUSE09135, MOUSE09136, MOUSE09138, MOUSE09137, MOUSE09139, MOUSE09140, MOUSE09131, MOUSE09130
OG0000648	BRALA03157	MOUSE09143, MOUSE09141, MOUSE49647
OG0000649	BRALA09182, BRALA11364, BRALA20887	MOUSE38973
OG0000650	BRALA06632, BRALA04575	MOUSE22507, MOUSE02344, MOUSE53197, MOUSE53198, MOUSE25960, MOUSE25962, MOUSE25961, MOUSE25959, MOUSE25964, MOUSE06986, MOUSE06987, MOUSE22508, MOUSE40297, MOUSE40293, MOUSE40295, MOUSE40296, MOUSE40294, MOUSE40292
OG0000651	BRALA33518	MOUSE06972, MOUSE02553, MOUSE06973
OG0000652	BRALA20077	MOUSE54337
OG0000653	BRALA00750	MOUSE05198, MOUSE38912, MOUSE38911
OG0000653	BRALA33623, BRALA16963	MOUSE48918, MOUSE01579, MOUSE01580, MOUSE40031, MOUSE40032, MOUSE40033, MOUSE10990, MOUSE20427, MOUSE08675, MOUSE42679
OG0000653	BRALA22618	MOUSE32732, MOUSE31803, MOUSE31802
OG0000654	BRALA04554	MOUSE14618, MOUSE14619, MOUSE25060, MOUSE25062, MOUSE25061, MOUSE25064, MOUSE05334, MOUSE05333, MOUSE05332, MOUSE05331, MOUSE05330, MOUSE26181, MOUSE26182, MOUSE26180, MOUSE26183
OG0000660	BRALA15697	MOUSE53726, MOUSE02723, MOUSE04889, MOUSE04890
OG0000660	BRALA10420	MOUSE23064
OG0000662	BRALA23622	MOUSE19603, MOUSE19601, MOUSE19604, MOUSE19602, MOUSE19605, MOUSE19607, MOUSE19606
OG0000662	BRALA06276	MOUSE06501, MOUSE14111, MOUSE06500, MOUSE06499, MOUSE14110
OG0000663	BRALA25579	MOUSE13441
OG0000664	BRALA17169	MOUSE53752, MOUSE53753, MOUSE01965, MOUSE01962, MOUSE23474
OG0000665	BRALA23202	MOUSE51882, MOUSE51880, MOUSE51881, MOUSE32269, MOUSE32268
OG0000666	BRALA33241, BRALA33926	MOUSE41228, MOUSE41218, MOUSE41226, MOUSE41227, MOUSE41215, MOUSE41219, MOUSE41225, MOUSE41224, MOUSE41216, MOUSE41217, MOUSE41230, MOUSE41229, MOUSE05583, MOUSE05581, MOUSE09357, MOUSE09355, MOUSE09353, MOUSE09354, MOUSE09356, MOUSE09348, MOUSE09352, MOUSE09349, MOUSE09350, MOUSE09347, MOUSE09351
OG0000666	BRALA28214	MOUSE55143, MOUSE55144, MOUSE55142, MOUSE55141
OG0000667	BRALA01967, BRALA00909	MOUSE32539, MOUSE32538
OG0000670	BRALA11703	MOUSE04054, MOUSE04055, MOUSE53933, MOUSE53934, MOUSE47619, MOUSE52285, MOUSE24104, MOUSE24105
OG0000671	BRALA04719, BRALA04720	MOUSE50487, MOUSE50486, MOUSE50485
OG0000671	BRALA07010, BRALA11273	MOUSE54296, MOUSE54294, MOUSE54295, MOUSE40916, MOUSE23443, MOUSE02325
OG0000672	BRALA06149	MOUSE15523, MOUSE15520, MOUSE15524, MOUSE04067, MOUSE15521
OG0000672	BRALA24117	MOUSE41797, MOUSE41126, MOUSE06352, MOUSE41798, MOUSE06353
OG0000674	BRALA23211	MOUSE44926, MOUSE44927, MOUSE30738, MOUSE30735, MOUSE30734, MOUSE30736, MOUSE30739, MOUSE44929
OG0000674	BRALA25389	MOUSE42020, MOUSE42019, MOUSE42022, MOUSE42021, MOUSE45911, MOUSE45910, MOUSE45912
OG0000675	BRALA15687, BRALA11516	MOUSE46728
OG0000676	BRALA13759	MOUSE13398, MOUSE13397, MOUSE13396, MOUSE28654
OG0000676	BRALA25556	MOUSE23124, MOUSE54030, MOUSE54029, MOUSE13098
OG0000678	BRALA27486	MOUSE17072, MOUSE17071
OG0000680	BRALA01527, BRALA18950	MOUSE14546, MOUSE14547
OG0000681	BRALA08295	MOUSE29729, MOUSE29731, MOUSE29732, MOUSE29734, MOUSE29733, MOUSE53999, MOUSE53998, MOUSE12966, MOUSE12967
OG0000681	BRALA33161	MOUSE23608, MOUSE23607, MOUSE27190, MOUSE27189, MOUSE27185, MOUSE27186, MOUSE27187, MOUSE27188, MOUSE27184
OG0000682	BRALA25456, BRALA25454, BRALA35283, BRALA25455, BRALA21676, BRALA30874	MOUSE40533, MOUSE40532, MOUSE40535, MOUSE40534, MOUSE21319, MOUSE21318, MOUSE35907, MOUSE35915, MOUSE35914, MOUSE35910, MOUSE35911, MOUSE35909, MOUSE35912, MOUSE35913
OG0000683	BRALA33661	MOUSE54444, MOUSE54443
OG0000683	BRALA00898	MOUSE48812, MOUSE48811, MOUSE31819, MOUSE31816, MOUSE31818, MOUSE31817, MOUSE31821
OG0000684	BRALA33966, BRALA35184, BRALA35989, BRALA33798	MOUSE19631, MOUSE19633, MOUSE19634, MOUSE19635, MOUSE19636, MOUSE49799, MOUSE49800, MOUSE49801, MOUSE49802
OG0000685	BRALA13886	MOUSE44185, MOUSE44186, MOUSE47322, MOUSE47323, MOUSE47321, MOUSE23574, MOUSE23575, MOUSE23573, MOUSE02122, MOUSE02123
OG0000686	BRALA19251, BRALA01995, BRALA01996, BRALA03393, BRALA12592, BRALA01972, BRALA01971, BRALA01994, BRALA01970, BRALA00770, BRALA00717, BRALA00718, BRALA00709, BRALA23849, BRALA28028, BRALA12673, BRALA11761, BRALA05022, BRALA20295, BRALA00710, BRALA09519, BRALA00719, BRALA22854, BRALA32164, BRALA00716, BRALA26777, BRALA07135, BRALA31304, BRALA04864, BRALA12674	MOUSE15353, MOUSE15352
OG0000690	BRALA29358	MOUSE54656
OG0000690	BRALA05018	MOUSE19350
OG0000691	BRALA03301	MOUSE29347, MOUSE29346, MOUSE49341
OG0000691	BRALA09683	MOUSE06742, MOUSE34387, MOUSE09040, MOUSE09041, MOUSE09042, MOUSE28336, MOUSE28335
OG0000692	BRALA07273, BRALA19399, BRALA17751, BRALA14654, BRALA12375, BRALA07885, BRALA05501, BRALA10172	MOUSE04478, MOUSE04479, MOUSE04480, MOUSE04477, MOUSE04476
OG0000693	BRALA18789	MOUSE34445, MOUSE34447, MOUSE34448, MOUSE34449, MOUSE34450, MOUSE04455, MOUSE04456
OG0000693	BRALA02763	MOUSE25877, MOUSE25875, MOUSE25876
OG0000694	BRALA10162	MOUSE24535, MOUSE24536, MOUSE24534, MOUSE24752, MOUSE40204, MOUSE40205, MOUSE40203
OG0000695	BRALA21788, BRALA13971, BRALA00498, BRALA12446	MOUSE07158, MOUSE07159, MOUSE43466, MOUSE43286, MOUSE43285, MOUSE43287, MOUSE20065, MOUSE18346
OG0000696	BRALA16043	MOUSE00120
OG0000696	BRALA19739	MOUSE23457
OG0000697	BRALA30467	MOUSE06912, MOUSE06911, MOUSE31212, MOUSE53511, MOUSE53512, MOUSE10904, MOUSE10901, MOUSE10903, MOUSE10902
OG0000698	BRALA26139	MOUSE20138, MOUSE07687
OG0000699	BRALA12181	MOUSE22674, MOUSE22675, MOUSE22676, MOUSE22673, MOUSE45160
OG0000700	BRALA08858	MOUSE41842, MOUSE41843, MOUSE41841, MOUSE41840, MOUSE47055
OG0000700	BRALA02401	MOUSE42212
OG0000701	BRALA21677	MOUSE09498, MOUSE09495, MOUSE09496, MOUSE00837, MOUSE00838, MOUSE00839, MOUSE00845, MOUSE40359, MOUSE40360, MOUSE02828, MOUSE02827
OG0000702	BRALA28498	MOUSE19754, MOUSE19750, MOUSE19745, MOUSE19735, MOUSE19738, MOUSE19742, MOUSE19747, MOUSE19732, MOUSE19728, MOUSE19724, MOUSE19720, MOUSE19719, MOUSE19726, MOUSE19722, MOUSE19721, MOUSE19717, MOUSE19716, MOUSE51901, MOUSE51899, MOUSE51898, MOUSE51903, MOUSE51905, MOUSE51902, MOUSE51897
OG0000703	BRALA03871	MOUSE09475, MOUSE09482, MOUSE09477, MOUSE09474, MOUSE09481, MOUSE09478, MOUSE09480, MOUSE31672, MOUSE31674, MOUSE31671, MOUSE31670
OG0000706	BRALA20496	MOUSE23468, MOUSE23467, MOUSE23472, MOUSE23471, MOUSE23466, MOUSE23470, MOUSE23469
OG0000708	BRALA05296	MOUSE31390, MOUSE31389
OG0000708	BRALA10976	MOUSE14490, MOUSE54269, MOUSE54268
OG0000709	BRALA10837	MOUSE20103, MOUSE18127, MOUSE18128, MOUSE18129, MOUSE18130, MOUSE18131, MOUSE18132, MOUSE18134, MOUSE18135, MOUSE18136, MOUSE18133, MOUSE18137, MOUSE18138, MOUSE18140, MOUSE18141
OG0000710	BRALA16518	MOUSE10038, MOUSE10039, MOUSE10037, MOUSE49353
OG0000711	BRALA20784	MOUSE01833, MOUSE01830
OG0000711	BRALA02434	MOUSE44352, MOUSE02178
OG0000711	BRALA02091	MOUSE47225, MOUSE47226
OG0000712	BRALA19423	MOUSE03200, MOUSE03199, MOUSE53971, MOUSE53972, MOUSE45072, MOUSE45069, MOUSE45071, MOUSE48221, MOUSE48220, MOUSE48222
OG0000713	BRALA06138, BRALA11673, BRALA17981, BRALA30637, BRALA04689, BRALA04690	MOUSE04057, MOUSE54792, MOUSE54791, MOUSE55213, MOUSE55214, MOUSE55212
OG0000715	BRALA17045	MOUSE26260, MOUSE26259, MOUSE26258, MOUSE02473, MOUSE02472, MOUSE53172, MOUSE53167, MOUSE53171, MOUSE53168, MOUSE53170, MOUSE53165, MOUSE53166, MOUSE53169, MOUSE53173
OG0000716	BRALA35786, BRALA32595, BRALA32592	MOUSE55256, MOUSE55255, MOUSE55258, MOUSE55260, MOUSE55261, MOUSE55262, MOUSE55257, MOUSE55259, MOUSE18073
OG0000717	BRALA10082	MOUSE48391, MOUSE48394, MOUSE48392, MOUSE48393, MOUSE25899
OG0000718	BRALA29518	MOUSE30953, MOUSE43056, MOUSE43055, MOUSE43054, MOUSE24376, MOUSE24375, MOUSE24369, MOUSE43537, MOUSE43538, MOUSE12486
OG0000720	BRALA08022	MOUSE19535, MOUSE19536, MOUSE51696, MOUSE51698, MOUSE51695, MOUSE51697
OG0000721	BRALA14964	MOUSE02762, MOUSE02761, MOUSE02760, MOUSE02765, MOUSE02764
OG0000722	BRALA24668, BRALA24667	MOUSE27353, MOUSE08639, MOUSE20386, MOUSE27055, MOUSE39386
OG0000723	BRALA24351, BRALA08031, BRALA10480, BRALA03115	MOUSE10858, MOUSE16922, MOUSE16920, MOUSE16919, MOUSE16921, MOUSE14963, MOUSE14962, MOUSE14965, MOUSE14964
OG0000725	BRALA28873	MOUSE31731, MOUSE31730, MOUSE31732
OG0000725	BRALA35334	MOUSE41865, MOUSE41864, MOUSE41867, MOUSE41868, MOUSE45804, MOUSE45803, MOUSE45805
OG0000725	BRALA34432	MOUSE27201, MOUSE27205, MOUSE27203, MOUSE27202, MOUSE27206, MOUSE27207, MOUSE27204
OG0000726	BRALA09055	MOUSE18851, MOUSE18868, MOUSE18854, MOUSE18855, MOUSE18870, MOUSE18857, MOUSE18848, MOUSE18866, MOUSE18865, MOUSE18850, MOUSE18841, MOUSE18847, MOUSE18859, MOUSE18852, MOUSE18846, MOUSE18849, MOUSE18862, MOUSE18844, MOUSE18861, MOUSE18867, MOUSE18853, MOUSE18864, MOUSE18860, MOUSE18845, MOUSE18858, MOUSE18842, MOUSE18856, MOUSE18871, MOUSE18872, MOUSE18843, MOUSE22343, MOUSE22340, MOUSE22341, MOUSE22342, MOUSE14710
OG0000730	BRALA23680	MOUSE02569, MOUSE22100, MOUSE22099
OG0000730	BRALA23679	MOUSE08715, MOUSE23276, MOUSE02405, MOUSE02406
OG0000732	BRALA05974	MOUSE31018, MOUSE55029, MOUSE23136, MOUSE23139, MOUSE23138, MOUSE23137, MOUSE23135
OG0000732	BRALA01121	MOUSE50346, MOUSE33183
OG0000733	BRALA13293	MOUSE07355, MOUSE07356, MOUSE20245, MOUSE24781
OG0000733	BRALA13301	MOUSE08117, MOUSE08121, MOUSE08120, MOUSE08119, MOUSE08118, MOUSE18227
OG0000734	BRALA10056	MOUSE25399, MOUSE25398, MOUSE25401, MOUSE25403, MOUSE25402, MOUSE25400, MOUSE31239, MOUSE31240
OG0000735	BRALA12877	MOUSE00416, MOUSE00415, MOUSE00410, MOUSE00414, MOUSE00409, MOUSE00411, MOUSE00413, MOUSE00412, MOUSE28517, MOUSE28516, MOUSE13496, MOUSE13495, MOUSE13497, MOUSE13498, MOUSE13499
OG0000736	BRALA00292	MOUSE53161, MOUSE53162, MOUSE14814
OG0000738	BRALA08653	MOUSE28756, MOUSE28757, MOUSE28760, MOUSE28758, MOUSE28759, MOUSE23200
OG0000738	BRALA24442, BRALA24444, BRALA24440, BRALA24441, BRALA24445	MOUSE13555
OG0000740	BRALA07389	MOUSE28205, MOUSE13925
OG0000740	BRALA17954	MOUSE39996
OG0000743	BRALA06285	MOUSE46006, MOUSE42136, MOUSE42134, MOUSE06280, MOUSE06282, MOUSE06283, MOUSE06281
OG0000743	BRALA06284	MOUSE46007, MOUSE46009, MOUSE06274
OG0000744	BRALA03822, BRALA06789, BRALA03324	MOUSE11975, MOUSE11971, MOUSE11972, MOUSE11974, MOUSE11973, MOUSE11976, MOUSE29332, MOUSE29329, MOUSE29331, MOUSE29330, MOUSE29334, MOUSE29333, MOUSE29335, MOUSE28348, MOUSE28346, MOUSE28345, MOUSE28349, MOUSE28347, MOUSE11977
OG0000745	BRALA06045	MOUSE18764
OG0000748	BRALA10606	MOUSE05204
OG0000749	BRALA28914	MOUSE18217, MOUSE20120, MOUSE20122, MOUSE20121, MOUSE08204, MOUSE08206, MOUSE08207, MOUSE08203, MOUSE08205
OG0000750	BRALA14527	MOUSE07408
OG0000750	BRALA15208, BRALA27083, BRALA15212	MOUSE08786, MOUSE08787, MOUSE03569, MOUSE03570, MOUSE03568
OG0000751	BRALA07411	MOUSE39754, MOUSE39752, MOUSE15496, MOUSE15495
OG0000751	BRALA07933	MOUSE53607, MOUSE53605, MOUSE53606, MOUSE01445, MOUSE01444, MOUSE01443
OG0000752	BRALA11552	MOUSE21464
OG0000752	BRALA28831	MOUSE55217, MOUSE55218
OG0000752	BRALA05171	MOUSE33600, MOUSE33598, MOUSE33597, MOUSE48905, MOUSE48904
OG0000753	BRALA27046	MOUSE27739, MOUSE27738
OG0000753	BRALA21594	MOUSE24295, MOUSE24293, MOUSE24296, MOUSE24294, MOUSE50919, MOUSE50920, MOUSE50917
OG0000755	BRALA12515	MOUSE12361, MOUSE08954, MOUSE08955, MOUSE08952
OG0000756	BRALA12917	MOUSE13691
OG0000757	BRALA34310	MOUSE46249, MOUSE46248
OG0000757	BRALA14460	MOUSE22247, MOUSE22248
OG0000758	BRALA13715	MOUSE34388, MOUSE13666, MOUSE13663, MOUSE13662, MOUSE13667, MOUSE13664, MOUSE13661, MOUSE13658, MOUSE13659, MOUSE13668, MOUSE13665, MOUSE13660, MOUSE13669, MOUSE06777, MOUSE06779, MOUSE06780, MOUSE06778
OG0000759	BRALA30577	MOUSE35556, MOUSE35553, MOUSE35552, MOUSE35554, MOUSE23327, MOUSE23328
OG0000760	BRALA20315	MOUSE41207, MOUSE11238, MOUSE41211, MOUSE41208, MOUSE41206, MOUSE41210, MOUSE41204, MOUSE41203, MOUSE41205, MOUSE41209, MOUSE11235, MOUSE11234, MOUSE11233, MOUSE11232, MOUSE11236
OG0000760	BRALA20314	MOUSE11237
OG0000761	BRALA23656	MOUSE26055, MOUSE26056, MOUSE18487, MOUSE23696, MOUSE23693, MOUSE23695, MOUSE23694, MOUSE23692
OG0000762	BRALA04595, BRALA07093	MOUSE39900, MOUSE14916, MOUSE14919, MOUSE14917, MOUSE26582, MOUSE26581, MOUSE26580, MOUSE26579, MOUSE26583, MOUSE39898, MOUSE39901, MOUSE39903, MOUSE39902, MOUSE39899, MOUSE39896, MOUSE39897
OG0000763	BRALA13502	MOUSE30407, MOUSE19448, MOUSE19447, MOUSE48537, MOUSE48539, MOUSE48536, MOUSE48535, MOUSE48538, MOUSE19449, MOUSE48540
OG0000764	BRALA10953, BRALA10954	MOUSE33207, MOUSE25824, MOUSE25825
OG0000764	BRALA20638	MOUSE31888
OG0000765	BRALA25961	MOUSE30890, MOUSE30889, MOUSE37512, MOUSE37513
OG0000765	BRALA10305	MOUSE30891
OG0000766	BRALA15635	MOUSE30247, MOUSE30246, MOUSE30245, MOUSE01575, MOUSE01574, MOUSE01576, MOUSE19531
OG0000767	BRALA12056, BRALA12057	MOUSE27533, MOUSE27537, MOUSE27534, MOUSE28011, MOUSE28012
OG0000768	BRALA25731	MOUSE08553, MOUSE08555, MOUSE11226, MOUSE11225, MOUSE11227
OG0000772	BRALA03708	MOUSE32505, MOUSE32506, MOUSE32503
OG0000774	BRALA01367	MOUSE31336, MOUSE31335, MOUSE31334
OG0000774	BRALA12795	MOUSE53571, MOUSE53570, MOUSE53576, MOUSE53579
OG0000775	BRALA21814, BRALA18421, BRALA18562, BRALA18561, BRALA08287	MOUSE37373, MOUSE37372, MOUSE37371
OG0000776	BRALA29300	MOUSE48168, MOUSE53845
OG0000777	BRALA06536	MOUSE06130, MOUSE06129, MOUSE06128
OG0000778	BRALA20992, BRALA09413, BRALA00256, BRALA00257, BRALA00259	MOUSE29903, MOUSE29902, MOUSE35020
OG0000779	BRALA02587	MOUSE25408, MOUSE25407, MOUSE25406
