Orthogroup	BRALA	YEAST
OG0000943	BRALA03760, BRALA05220, BRALA00974, BRALA10681, BRALA03764, BRALA03762, BRALA03763, BRALA26880	YEAST03805
OG0000944	BRALA16973	YEAST04878
OG0000954	BRALA34235, BRALA35344, BRALA10453	YEAST05503, YEAST01249
OG0000955	BRALA00782	YEAST00837
OG0000955	BRALA22745	YEAST04295
OG0000963	BRALA03591, BRALA20733	YEAST03685, YEAST00482, YEAST01749
OG0000964	BRALA08522, BRALA16405, BRALA13462, BRALA27147, BRALA26663	YEAST04606
OG0000965	BRALA04013	YEAST02552
OG0000965	BRALA03357	YEAST02050
OG0000967	BRALA11137, BRALA03874	YEAST05075
OG0000970	BRALA07313, BRALA16492, BRALA07314	YEAST04028
OG0000982	BRALA04219	YEAST01182
OG0000984	BRALA13541, BRALA16982, BRALA10027	YEAST01493, YEAST00575
OG0000986	BRALA23940, BRALA06809	YEAST01481, YEAST04073
OG0000987	BRALA15995	YEAST04734, YEAST02734
OG0000994	BRALA12870, BRALA16394	YEAST02360
OG0000996	BRALA14195	YEAST00033
OG0001001	BRALA14860, BRALA14859, BRALA05897	YEAST00341
OG0001003	BRALA07286	YEAST00644
OG0001006	BRALA19471, BRALA06003	YEAST04513
OG0001016	BRALA14145, BRALA31587, BRALA31588	YEAST00830
OG0001018	BRALA35275, BRALA04664, BRALA06928, BRALA14350, BRALA34326, BRALA13325	YEAST01172
OG0001024	BRALA03982, BRALA23987	YEAST01024, YEAST00308
OG0001033	BRALA23440	YEAST02124
OG0001064	BRALA27120, BRALA30714, BRALA30301, BRALA26163, BRALA29488	YEAST00458
OG0001066	BRALA03613, BRALA29613, BRALA15668	YEAST06311
OG0001075	BRALA09682	YEAST05636
OG0001076	BRALA20184	YEAST01570
OG0001081	BRALA20186, BRALA18322, BRALA02329, BRALA02330	YEAST04460
OG0001082	BRALA21015, BRALA24848	YEAST03919, YEAST02905, YEAST05331
OG0001094	BRALA05502, BRALA18859, BRALA21202	YEAST03837
OG0001095	BRALA00514	YEAST00773
OG0001096	BRALA33777, BRALA19152, BRALA02429, BRALA20860, BRALA19151, BRALA33488, BRALA29289, BRALA09978, BRALA29288	YEAST01384
OG0001101	BRALA11039	YEAST04701
OG0001108	BRALA10695, BRALA14990	YEAST06309
OG0001111	BRALA28901, BRALA29371, BRALA06020	YEAST06003
OG0001113	BRALA08129	YEAST05320
OG0001113	BRALA16554	YEAST00954
OG0001114	BRALA27031	YEAST00036, YEAST05811
OG0001124	BRALA23017, BRALA07725	YEAST02719
OG0001132	BRALA13540	YEAST05421
OG0001133	BRALA03024, BRALA03023	YEAST04296
OG0001133	BRALA00752	YEAST03271
OG0001134	BRALA23048	YEAST05015
OG0001135	BRALA11818	YEAST03641
OG0001136	BRALA18520	YEAST05047, YEAST02997
OG0001140	BRALA16639	YEAST03519
OG0001142	BRALA14735	YEAST04001
OG0001163	BRALA18082, BRALA03606, BRALA12377, BRALA20672, BRALA12378	YEAST02433
OG0001164	BRALA14948	YEAST03454
OG0001171	BRALA30065	YEAST04620, YEAST03578
OG0001175	BRALA00132, BRALA00133, BRALA17481	YEAST00534
OG0001177	BRALA12880	YEAST06137
OG0001179	BRALA23899, BRALA23900, BRALA03116, BRALA20573	YEAST00368, YEAST04831, YEAST02287
OG0001181	BRALA18132	YEAST02051
OG0001184	BRALA10129, BRALA21684	YEAST01681
OG0001185	BRALA27214	YEAST04969
OG0001186	BRALA19974, BRALA16139	YEAST04605, YEAST01886
OG0001191	BRALA21369, BRALA27930	YEAST04707
OG0001192	BRALA31134, BRALA31609, BRALA20503, BRALA09378, BRALA12761, BRALA07757, BRALA20502, BRALA07758, BRALA09889, BRALA07761, BRALA07760, BRALA09891, BRALA09892, BRALA07759, BRALA09888, BRALA09359, BRALA09368, BRALA18891, BRALA19222	YEAST01898
OG0001197	BRALA24133, BRALA32524, BRALA01046	YEAST01499
OG0001201	BRALA03561, BRALA28095	YEAST05452
OG0001204	BRALA24154, BRALA24153	YEAST05200
OG0001207	BRALA21595, BRALA21596, BRALA29973	YEAST04258
OG0001210	BRALA17839	YEAST05511
OG0001210	BRALA15850	YEAST02318
OG0001212	BRALA15930	YEAST03971
OG0001214	BRALA28235	YEAST00577
OG0001216	BRALA05650, BRALA19958	YEAST00145
OG0001219	BRALA10294	YEAST03867
OG0001236	BRALA27296, BRALA03699	YEAST03325, YEAST02687, YEAST03269
OG0001237	BRALA07915, BRALA04360	YEAST04380
OG0001238	BRALA16537, BRALA10747	YEAST04481
OG0001241	BRALA15125	YEAST02002
OG0001241	BRALA14260	YEAST03967, YEAST01074
OG0001243	BRALA07764	YEAST00739, YEAST05004
OG0001249	BRALA00961	YEAST01062, YEAST02067
OG0001250	BRALA25027	YEAST02968, YEAST01339
OG0001251	BRALA03569	YEAST01707
OG0001253	BRALA09366	YEAST03998
OG0001262	BRALA35145, BRALA34134	YEAST00911
OG0001263	BRALA03642, BRALA10859	YEAST00172
OG0001268	BRALA01606, BRALA34950, BRALA34874	YEAST03495
OG0001270	BRALA25030	YEAST01703
OG0001270	BRALA13955	YEAST02398
OG0001271	BRALA17017	YEAST05227, YEAST00662
OG0001278	BRALA04581, BRALA14775	YEAST01893
OG0001279	BRALA24710	YEAST03070
OG0001280	BRALA09515	YEAST00846
OG0001282	BRALA02372	YEAST03744
OG0001284	BRALA14486, BRALA09529	YEAST00567, YEAST01498
OG0001286	BRALA27842, BRALA35984	YEAST00588, YEAST01486, YEAST03604
OG0001291	BRALA17947, BRALA32920	YEAST04453, YEAST04334
OG0001300	BRALA05943, BRALA27824	YEAST01098
OG0001302	BRALA01346	YEAST02328
OG0001302	BRALA17951	YEAST00299
OG0001310	BRALA22585, BRALA27863	YEAST00887
OG0001318	BRALA08906, BRALA01956	YEAST03712
OG0001319	BRALA24213	YEAST01678
OG0001321	BRALA08021	YEAST02280, YEAST01901
OG0001322	BRALA09871, BRALA13321	YEAST06128
OG0001324	BRALA21958, BRALA33648, BRALA11260	YEAST00078
OG0001325	BRALA04015	YEAST00793
OG0001326	BRALA24571, BRALA24570	YEAST05395
OG0001327	BRALA10354, BRALA19771	YEAST03176
OG0001332	BRALA00789, BRALA05167	YEAST03929, YEAST02705, YEAST00687
OG0001333	BRALA25392	YEAST00728
OG0001341	BRALA12816	YEAST06006
OG0001345	BRALA20075, BRALA20076, BRALA00376, BRALA34977, BRALA28899, BRALA30390, BRALA28247, BRALA32440, BRALA35377, BRALA28898	YEAST03613
OG0001353	BRALA23222, BRALA23221, BRALA33739, BRALA35185	YEAST00020, YEAST04041
OG0001363	BRALA22242, BRALA22243	YEAST06180
OG0001364	BRALA08614	YEAST06038, YEAST00402
OG0001367	BRALA15242	YEAST04688
OG0001368	BRALA09700, BRALA10312, BRALA10834	YEAST01821
OG0001370	BRALA16806, BRALA14045	YEAST04067, YEAST05195, YEAST00897
OG0001371	BRALA26374, BRALA06219, BRALA06218, BRALA06220	YEAST00532, YEAST03976
OG0001372	BRALA00784	YEAST00070
OG0001372	BRALA19110	YEAST02226
OG0001375	BRALA16842, BRALA15116	YEAST05499, YEAST05567
OG0001378	BRALA16333	YEAST02300
OG0001379	BRALA23817	YEAST04155
OG0001386	BRALA07065	YEAST05114
OG0001397	BRALA25855, BRALA09927	YEAST05731
OG0001400	BRALA04732	YEAST02931
OG0001409	BRALA33418, BRALA30797	YEAST00885, YEAST04659
OG0001410	BRALA31201, BRALA20220	YEAST05046
OG0001411	BRALA11764	YEAST04834
OG0001412	BRALA11457, BRALA00239	YEAST04490
OG0001413	BRALA29483, BRALA13507	YEAST04294
OG0001414	BRALA32132, BRALA13859	YEAST06070, YEAST01920
OG0001415	BRALA28922	YEAST04230
OG0001421	BRALA21204	YEAST05252
OG0001422	BRALA00576	YEAST05588, YEAST01363
OG0001424	BRALA07796, BRALA01936	YEAST01127
OG0001427	BRALA18499, BRALA18498	YEAST01885
OG0001428	BRALA05407	YEAST04862, YEAST05862, YEAST02749, YEAST03037
OG0001430	BRALA24398, BRALA33875, BRALA33874	YEAST01712
OG0001434	BRALA19313	YEAST03991
OG0001437	BRALA17173, BRALA21217	YEAST01264, YEAST02900
OG0001445	BRALA11531	YEAST01715
OG0001449	BRALA16673	YEAST03188
OG0001452	BRALA16822	YEAST05900
OG0001454	BRALA22945	YEAST01495, YEAST00573
OG0001456	BRALA15559, BRALA15558	YEAST00365
OG0001459	BRALA19924	YEAST03073, YEAST03464
OG0001461	BRALA27194, BRALA06116, BRALA30847	YEAST05255
OG0001468	BRALA04572	YEAST03875, YEAST03904
OG0001469	BRALA25074	YEAST02070
OG0001469	BRALA11811	YEAST02765
OG0001470	BRALA29321, BRALA35553	YEAST00369, YEAST05375
OG0001472	BRALA14063, BRALA22363	YEAST03031
OG0001473	BRALA03292, BRALA33985	YEAST05711
OG0001474	BRALA09018, BRALA10385	YEAST01416, YEAST05312
OG0001478	BRALA15252	YEAST01984
OG0001478	BRALA21973	YEAST02078
OG0001479	BRALA03008	YEAST01132
OG0001503	BRALA13476	YEAST03032
OG0001503	BRALA11114	YEAST02920
OG0001504	BRALA03543, BRALA27268, BRALA26326, BRALA17671, BRALA28116, BRALA35187	YEAST05406
OG0001505	BRALA04433, BRALA27762, BRALA26671, BRALA17368	YEAST03361
OG0001508	BRALA28941	YEAST04143
OG0001515	BRALA14332	YEAST03569
OG0001520	BRALA14767	YEAST03872
OG0001524	BRALA33381, BRALA27325	YEAST03912
OG0001525	BRALA14939	YEAST00757
OG0001527	BRALA23937, BRALA19992	YEAST01395
OG0001529	BRALA15428	YEAST01143
OG0001530	BRALA35267, BRALA35388, BRALA35160, BRALA34336, BRALA34848, BRALA32247, BRALA34683, BRALA34557, BRALA32248, BRALA35113, BRALA33210	YEAST00643
OG0001546	BRALA35934, BRALA34422, BRALA33843, BRALA32104, BRALA35704, BRALA33834, BRALA35535	YEAST03111
OG0001550	BRALA18559, BRALA22178, BRALA33216, BRALA00672, BRALA22087	YEAST02405, YEAST05953
OG0001551	BRALA31004	YEAST04817
OG0001553	BRALA03739	YEAST05147, YEAST01586
OG0001557	BRALA07630	YEAST04671
OG0001557	BRALA18983	YEAST04551
OG0001558	BRALA21818	YEAST04449
OG0001559	BRALA10909, BRALA10784, BRALA30365	YEAST00445, YEAST02434
OG0001561	BRALA27873, BRALA35814, BRALA27872	YEAST06176
OG0001564	BRALA13673	YEAST05390
OG0001570	BRALA00935, BRALA17639	YEAST04678
OG0001573	BRALA01224	YEAST03285
OG0001578	BRALA11454	YEAST01872
OG0001580	BRALA20586	YEAST06270
OG0001590	BRALA12314, BRALA01640, BRALA01639, BRALA01637	YEAST03476, YEAST00717, YEAST03955
OG0001594	BRALA08965, BRALA24791, BRALA08966	YEAST03418
OG0001597	BRALA14157	YEAST01702
OG0001603	BRALA02777	YEAST02584
OG0001604	BRALA34521, BRALA35748, BRALA35294	YEAST01428
OG0001605	BRALA16476, BRALA16475	YEAST04101
OG0001609	BRALA06092, BRALA12725	YEAST02739
OG0001610	BRALA09621	YEAST00596, YEAST02062
OG0001612	BRALA19006, BRALA19004	YEAST01109
OG0001628	BRALA13390, BRALA19573	YEAST04790
OG0001653	BRALA27721, BRALA33197, BRALA27722	YEAST01151
OG0001655	BRALA11878, BRALA33466	YEAST03354
OG0001657	BRALA34847, BRALA35457, BRALA34242	YEAST00101, YEAST00944
OG0001663	BRALA35192, BRALA31880, BRALA33567	YEAST05642
OG0001676	BRALA04014	YEAST02848
OG0001676	BRALA08008, BRALA08006	YEAST06155
OG0001679	BRALA23834	YEAST05302, YEAST02334, YEAST02449, YEAST01523
OG0001680	BRALA32159	YEAST01119, YEAST04022
OG0001687	BRALA12237, BRALA12238, BRALA12235	YEAST05279
OG0001691	BRALA07231	YEAST01315
OG0001704	BRALA16940, BRALA16941, BRALA16994	YEAST01293
OG0001706	BRALA22821	YEAST03424
OG0001707	BRALA12974, BRALA12971, BRALA12976	YEAST06049, YEAST00407, YEAST04739
OG0001708	BRALA15416, BRALA08762	YEAST05744, YEAST05745
OG0001709	BRALA05359, BRALA11774	YEAST04440
OG0001713	BRALA05685, BRALA13740	YEAST04039
OG0001718	BRALA10817, BRALA10903	YEAST01537
OG0001721	BRALA19032	YEAST04881, YEAST05253, YEAST00698
OG0001723	BRALA05825	YEAST01435
OG0001727	BRALA11932	YEAST04543
OG0001728	BRALA08403, BRALA07496	YEAST03347
OG0001739	BRALA22905	YEAST03760
OG0001745	BRALA34644, BRALA07690, BRALA07691, BRALA10418, BRALA16660, BRALA16661	YEAST01431
OG0001750	BRALA21004	YEAST03628
OG0001754	BRALA33871, BRALA34601	YEAST03682
OG0001755	BRALA10335	YEAST05131
OG0001756	BRALA32677, BRALA33790, BRALA03693, BRALA34986	YEAST00620
OG0001769	BRALA06836, BRALA22299	YEAST04726
OG0001770	BRALA33462, BRALA22471	YEAST02590
OG0001774	BRALA11491, BRALA20453	YEAST05166
OG0001775	BRALA21646, BRALA34663	YEAST05594
OG0001780	BRALA15214, BRALA28923	YEAST03768
OG0001781	BRALA02795	YEAST01882
OG0001782	BRALA16828, BRALA35797, BRALA35480, BRALA35381	YEAST02421
OG0001785	BRALA02411, BRALA02410	YEAST02713
OG0001787	BRALA22039	YEAST03546
OG0001792	BRALA34635, BRALA25410	YEAST04331
OG0001792	BRALA35573	YEAST02075
OG0001792	BRALA18508	YEAST04595
OG0001793	BRALA00316, BRALA16003	YEAST02466
OG0001805	BRALA23850, BRALA23847, BRALA23846, BRALA23848	YEAST05496, YEAST01242
OG0001807	BRALA16684, BRALA16683, BRALA22880, BRALA07117	YEAST05464
OG0001808	BRALA28858, BRALA32877, BRALA30144	YEAST01298
OG0001818	BRALA12031, BRALA23438	YEAST05902, YEAST04712
OG0001822	BRALA03090	YEAST04378, YEAST01659
OG0001826	BRALA16175	YEAST04777, YEAST01697, YEAST05781
OG0001828	BRALA07406	YEAST04676
OG0001829	BRALA05641	YEAST01613, YEAST00136, YEAST02008
OG0001831	BRALA25354	YEAST00024
OG0001832	BRALA11061, BRALA04342	YEAST05376
OG0001842	BRALA26095, BRALA08852, BRALA26094, BRALA26092, BRALA26091, BRALA20499, BRALA20514, BRALA20497, BRALA20513, BRALA18791, BRALA18792, BRALA24488	YEAST00524
OG0001846	BRALA01789	YEAST05067
OG0001850	BRALA03142	YEAST01913
OG0001852	BRALA35095, BRALA18937	YEAST03121
OG0001853	BRALA09444, BRALA17066, BRALA15525, BRALA03265, BRALA08942	YEAST05176
OG0001857	BRALA08335	YEAST04741
OG0001860	BRALA24290	YEAST00188
OG0001861	BRALA29580, BRALA29583	YEAST05779, YEAST04773
OG0001863	BRALA07880, BRALA14579	YEAST03017
OG0001866	BRALA34934, BRALA33651	YEAST05095, YEAST05570
OG0001867	BRALA13098	YEAST01669
OG0001873	BRALA33467, BRALA10007, BRALA33548, BRALA35779, BRALA35099	YEAST00981, YEAST00267
OG0001875	BRALA00199, BRALA04016	YEAST04137
OG0001877	BRALA10772, BRALA10771, BRALA10773, BRALA10933	YEAST04134
OG0001886	BRALA10021	YEAST03260
OG0001888	BRALA01341	YEAST05749, YEAST01573
OG0001893	BRALA02794	YEAST01023
OG0001894	BRALA25056	YEAST00433
OG0001899	BRALA30884	YEAST01210, YEAST04466
OG0001903	BRALA07353	YEAST06020
OG0001913	BRALA24497	YEAST05520
OG0001915	BRALA35550, BRALA35655	YEAST04791
OG0001917	BRALA00831	YEAST01859
OG0001923	BRALA01345	YEAST05881
OG0001926	BRALA01100	YEAST02948
OG0001932	BRALA12072, BRALA12075	YEAST03770, YEAST03179
OG0001934	BRALA10404	YEAST00877
OG0001935	BRALA21169, BRALA05971, BRALA05972, BRALA06005	YEAST00431
OG0001938	BRALA25398	YEAST03931
OG0001940	BRALA29696	YEAST04188, YEAST05646
OG0001943	BRALA16392	YEAST02393, YEAST05966
OG0001945	BRALA27519	YEAST01671
OG0001947	BRALA12828	YEAST02570
OG0001951	BRALA10600	YEAST00941, YEAST05396
OG0001952	BRALA16632, BRALA28198	YEAST04673, YEAST01990, YEAST00155
OG0001965	BRALA18639	YEAST04582
OG0001968	BRALA02743	YEAST04910
OG0001969	BRALA08425	YEAST06173
OG0001972	BRALA15770	YEAST01822, YEAST03363
OG0001985	BRALA31266	YEAST04959
OG0001992	BRALA35191	YEAST03909
OG0001992	BRALA34190, BRALA32975, BRALA35588, BRALA35422, BRALA35278, BRALA34802, BRALA35640	YEAST02679
OG0001998	BRALA29050	YEAST00890
OG0002001	BRALA00220	YEAST00502, YEAST03944
OG0002003	BRALA11915	YEAST02826, YEAST03671
OG0002008	BRALA03742	YEAST00768
OG0002010	BRALA06492	YEAST00609
OG0002013	BRALA12490, BRALA13240, BRALA30429, BRALA20683, BRALA32151, BRALA00130, BRALA00131, BRALA12565, BRALA00129	YEAST03040
OG0002014	BRALA11040	YEAST02422
OG0002015	BRALA06336	YEAST05525
OG0002025	BRALA23019	YEAST03650
OG0002026	BRALA16933	YEAST01247
OG0002029	BRALA29066	YEAST02646
OG0002031	BRALA00375	YEAST02752
OG0002032	BRALA26240	YEAST01221
OG0002042	BRALA15454, BRALA03747	YEAST02880
OG0002043	BRALA14578	YEAST04003
OG0002059	BRALA19536	YEAST05893, YEAST04718
OG0002062	BRALA04513	YEAST05454
OG0002063	BRALA02335, BRALA04323	YEAST00838
OG0002067	BRALA23033	YEAST03444
OG0002069	BRALA09642	YEAST05962
OG0002073	BRALA24409	YEAST04552
OG0002076	BRALA00516	YEAST02206
OG0002079	BRALA33361, BRALA35611, BRALA35108, BRALA31898	YEAST05765, YEAST00483
OG0002080	BRALA01983, BRALA01982	YEAST05220, YEAST04736
OG0002084	BRALA33469, BRALA31763, BRALA32157	YEAST04529
OG0002087	BRALA02631	YEAST05702
OG0002090	BRALA15181, BRALA16204, BRALA10471	YEAST02246
OG0002093	BRALA22365, BRALA25514	YEAST02255
OG0002097	BRALA05973	YEAST02697
OG0002101	BRALA01147	YEAST03902
OG0002103	BRALA12125, BRALA22500	YEAST05974
OG0002106	BRALA21267, BRALA20596, BRALA19126, BRALA35167, BRALA06177, BRALA03236, BRALA30663, BRALA30901, BRALA02993	YEAST03654
OG0002108	BRALA26237	YEAST03715
OG0002123	BRALA29680	YEAST02444
OG0002123	BRALA29584	YEAST03709
OG0002125	BRALA35076, BRALA05686, BRALA27093, BRALA35204	YEAST05183
OG0002131	BRALA22859	YEAST04275
OG0002137	BRALA24687, BRALA05643	YEAST04320
OG0002138	BRALA07695	YEAST02406
OG0002144	BRALA33804, BRALA33560, BRALA24799	YEAST02673
OG0002146	BRALA18951	YEAST04333, YEAST00109, YEAST03088, YEAST04454
OG0002147	BRALA15803	YEAST04532, YEAST01219
OG0002148	BRALA15940, BRALA31289	YEAST02060
OG0002152	BRALA17103	YEAST05624
OG0002156	BRALA19453	YEAST03007
OG0002160	BRALA06348	YEAST03960
OG0002165	BRALA03144, BRALA03158, BRALA03145	YEAST04504
OG0002168	BRALA21154, BRALA01161	YEAST00516
OG0002169	BRALA35441, BRALA33277, BRALA34931, BRALA34043	YEAST02258
OG0002175	BRALA15343, BRALA15344	YEAST04956
OG0002184	BRALA05306	YEAST00242
OG0002185	BRALA03464	YEAST05212
OG0002188	BRALA05642	YEAST04638, YEAST03913
OG0002189	BRALA14619, BRALA00945, BRALA34565	YEAST02882, YEAST04447
OG0002213	BRALA28796, BRALA27801, BRALA30492	YEAST01241, YEAST05495
OG0002216	BRALA21038	YEAST06040
OG0002217	BRALA20635	YEAST06033
OG0002222	BRALA19604	YEAST03240
OG0002224	BRALA06615	YEAST01574
OG0002225	BRALA24494	YEAST04939
OG0002228	BRALA34398, BRALA26579, BRALA27484	YEAST04154, YEAST05632
OG0002233	BRALA22951, BRALA22952, BRALA22953	YEAST00277
OG0002239	BRALA21605	YEAST01621
OG0002241	BRALA33999	YEAST02005
OG0002243	BRALA24911	YEAST04599, YEAST03601, YEAST04600
OG0002244	BRALA08304	YEAST02768
OG0002252	BRALA06211, BRALA26755, BRALA06212	YEAST00826
OG0002261	BRALA34735, BRALA34119, BRALA35135	YEAST00472
OG0002264	BRALA16853	YEAST01705
OG0002279	BRALA06025	YEAST05800
OG0002282	BRALA02774	YEAST00881
OG0002288	BRALA03975	YEAST01591, YEAST05154
OG0002292	BRALA02622	YEAST00152
OG0002297	BRALA15511, BRALA34086, BRALA35846, BRALA05115, BRALA01286, BRALA34337	YEAST01217
OG0002312	BRALA21661, BRALA21662	YEAST06295
OG0002316	BRALA12268	YEAST01805
OG0002318	BRALA02620, BRALA04390	YEAST02923
OG0002319	BRALA14241	YEAST00329
OG0002321	BRALA24064	YEAST02461
OG0002324	BRALA02701, BRALA09305, BRALA24171	YEAST02615, YEAST06287
OG0002326	BRALA26255	YEAST00310, YEAST02699
OG0002327	BRALA18044	YEAST00346, YEAST06217
OG0002331	BRALA26591	YEAST01653
OG0002332	BRALA03823, BRALA03824	YEAST01606, YEAST05184, YEAST00285
OG0002341	BRALA22920	YEAST03640, YEAST04562
OG0002344	BRALA27826	YEAST02312, YEAST02019
OG0002346	BRALA02293	YEAST02012
OG0002348	BRALA15237, BRALA22455	YEAST01845
OG0002355	BRALA11855	YEAST00016
OG0002356	BRALA13920	YEAST00259
OG0002361	BRALA30384, BRALA08001, BRALA22779, BRALA13892	YEAST01027
OG0002367	BRALA00751, BRALA13549	YEAST01179
OG0002369	BRALA31712, BRALA35458	YEAST03766
OG0002374	BRALA20249	YEAST02010, YEAST00133
OG0002377	BRALA34759, BRALA24718, BRALA25962, BRALA34952	YEAST05000
OG0002385	BRALA19467, BRALA19466	YEAST03974
OG0002406	BRALA05674	YEAST05509
OG0002407	BRALA03716, BRALA03717	YEAST00012
OG0002409	BRALA19736	YEAST02027
OG0002411	BRALA08046	YEAST05950, YEAST02407
OG0002412	BRALA16227, BRALA08958	YEAST06171
OG0002413	BRALA01143, BRALA18576	YEAST01196
OG0002415	BRALA11304, BRALA03930	YEAST01271
OG0002421	BRALA13527, BRALA03354	YEAST02982
OG0002422	BRALA16928	YEAST05026
OG0002426	BRALA30181	YEAST00184
OG0002441	BRALA15658	YEAST00068, YEAST02278, YEAST05821
OG0002442	BRALA03567, BRALA03566, BRALA28090	YEAST05932
OG0002443	BRALA28022, BRALA11051, BRALA28046, BRALA11052, BRALA28021	YEAST04906
OG0002446	BRALA06181	YEAST04254
OG0002448	BRALA03643	YEAST00626
OG0002450	BRALA22866	YEAST04575
OG0002453	BRALA12055	YEAST00512
OG0002476	BRALA15261, BRALA28104, BRALA03553	YEAST05799
OG0002486	BRALA04851	YEAST01433
OG0002492	BRALA12186	YEAST01624
OG0002494	BRALA16505	YEAST02402
OG0002495	BRALA04561	YEAST02772
OG0002497	BRALA03649	YEAST02747
OG0002500	BRALA24159, BRALA02378, BRALA02374, BRALA13281, BRALA02379	YEAST05648
OG0002505	BRALA17014	YEAST02959
OG0002510	BRALA14248	YEAST04753
OG0002516	BRALA12043	YEAST00066
OG0002518	BRALA05701	YEAST02890
OG0002520	BRALA06803	YEAST05256
OG0002523	BRALA02515	YEAST06234
OG0002527	BRALA02595	YEAST01639
OG0002528	BRALA16277	YEAST00372
OG0002530	BRALA01609	YEAST05530, YEAST03790
OG0002532	BRALA18649	YEAST03235
OG0002533	BRALA14997, BRALA14996	YEAST04525
OG0002543	BRALA24166	YEAST00527
OG0002543	BRALA24165	YEAST04217
OG0002557	BRALA16448	YEAST06243
OG0002561	BRALA22278, BRALA11930	YEAST04438, YEAST02106
OG0002562	BRALA34434, BRALA35820, BRALA34914	YEAST03992
OG0002564	BRALA11148	YEAST02186
OG0002565	BRALA24070, BRALA14663	YEAST04224, YEAST02499
OG0002570	BRALA34882, BRALA31603	YEAST00592
OG0002574	BRALA26128	YEAST05657
OG0002594	BRALA17624	YEAST06174
OG0002598	BRALA00693, BRALA29808, BRALA29807	YEAST04621, YEAST03577
OG0002605	BRALA01001	YEAST06332
OG0002608	BRALA07527	YEAST03716, YEAST02846
OG0002610	BRALA28100	YEAST01078, YEAST03973
OG0002612	BRALA17150	YEAST03508
OG0002617	BRALA30754, BRALA34415	YEAST00866
OG0002621	BRALA17095	YEAST05551
OG0002629	BRALA10077	YEAST05919
OG0002632	BRALA17598, BRALA17599	YEAST02755
OG0002633	BRALA22300	YEAST04206
OG0002636	BRALA11242	YEAST01664, YEAST06215
OG0002638	BRALA16832, BRALA30596	YEAST00919, YEAST04703
OG0002643	BRALA16947	YEAST01938
OG0002644	BRALA08196, BRALA08197	YEAST00724
OG0002645	BRALA11042	YEAST01436
OG0002646	BRALA08873	YEAST01946
OG0002651	BRALA10810, BRALA10806, BRALA10805, BRALA10803, BRALA10804, BRALA10808, BRALA10807, BRALA10809, BRALA10927	YEAST02247
OG0002651	BRALA10926	YEAST02868
OG0002652	BRALA22384	YEAST04937
OG0002656	BRALA07458	YEAST05701
OG0002659	BRALA13850	YEAST06290
OG0002666	BRALA06311, BRALA27382, BRALA10431	YEAST02507
OG0002668	BRALA20571	YEAST02324
OG0002677	BRALA25035	YEAST05210
OG0002681	BRALA34701	YEAST02557
OG0002683	BRALA15671, BRALA00951	YEAST03676
OG0002705	BRALA29482	YEAST00553
OG0002713	BRALA06165	YEAST00413, YEAST06057
OG0002715	BRALA31042	YEAST01174, YEAST04131
OG0002717	BRALA28948	YEAST02430
OG0002718	BRALA08661	YEAST03380, YEAST03502
OG0002720	BRALA03208, BRALA18248	YEAST01914
OG0002722	BRALA24693	YEAST04059
OG0002726	BRALA03979	YEAST02958
OG0002729	BRALA22734	YEAST01155
OG0002737	BRALA04044, BRALA08077	YEAST02827
OG0002739	BRALA35567, BRALA32521, BRALA32108	YEAST01877
OG0002740	BRALA01908	YEAST01658
OG0002742	BRALA06748	YEAST03713
OG0002743	BRALA06935, BRALA13202	YEAST01824, YEAST03362
OG0002745	BRALA14450	YEAST04244
OG0002746	BRALA17638	YEAST04902, YEAST05332
OG0002747	BRALA18341	YEAST05617
OG0002750	BRALA28702	YEAST04952
OG0002752	BRALA16959	YEAST03686
OG0002753	BRALA28220, BRALA19845	YEAST03742
OG0002754	BRALA35759	YEAST00035
OG0002754	BRALA34875	YEAST03620
OG0002756	BRALA19758, BRALA07300	YEAST04058
OG0002758	BRALA21942	YEAST04409
OG0002760	BRALA12746	YEAST01927
OG0002761	BRALA33192, BRALA32473, BRALA30469	YEAST03261
OG0002763	BRALA07435	YEAST00260
OG0002764	BRALA08679	YEAST00423
OG0002765	BRALA03391	YEAST01667, YEAST05523
OG0002766	BRALA29454, BRALA30303	YEAST05357
OG0002767	BRALA16931, BRALA16930	YEAST04591
OG0002771	BRALA26146	YEAST02043
OG0002772	BRALA00839	YEAST03384
OG0002773	BRALA06118	YEAST03677
OG0002774	BRALA17566	YEAST03575
OG0002775	BRALA28982, BRALA23175	YEAST03021
OG0002781	BRALA09162	YEAST05450
OG0002782	BRALA18872	YEAST02121
OG0002785	BRALA01196	YEAST06106, YEAST01228
OG0002788	BRALA02230	YEAST02578, YEAST01232
OG0002789	BRALA20378	YEAST05269
OG0002793	BRALA24700	YEAST01371
OG0002799	BRALA27234	YEAST01461
OG0002817	BRALA31906, BRALA35378	YEAST01189, YEAST04922
OG0002824	BRALA00377	YEAST02137
OG0002826	BRALA20854	YEAST00174
OG0002827	BRALA12317	YEAST05976
OG0002828	BRALA01253, BRALA32285, BRALA33690, BRALA01251, BRALA35111	YEAST00227, YEAST00963
OG0002831	BRALA08874	YEAST03282
OG0002835	BRALA12830	YEAST02656
OG0002837	BRALA20192	YEAST01987, YEAST00157
OG0002839	BRALA04693	YEAST03148
OG0002843	BRALA29412	YEAST04737
OG0002844	BRALA18936	YEAST05563
