Orthogroup	BRALA	CAPO3
OG0001447	BRALA13329, BRALA06941, BRALA06898	CAPO307093
OG0001449	BRALA16673	CAPO306822
OG0001451	BRALA01804, BRALA02256	CAPO300036
OG0001452	BRALA16822	CAPO301933
OG0001454	BRALA22945	CAPO303806
OG0001456	BRALA15558	CAPO307965
OG0001459	BRALA19924	CAPO307035
OG0001460	BRALA14211, BRALA14210	CAPO300988
OG0001460	BRALA23956	CAPO305875
OG0001461	BRALA30847	CAPO305472
OG0001463	BRALA20798, BRALA11798, BRALA05503, BRALA20800, BRALA07681, BRALA19623, BRALA19618	CAPO304054
OG0001466	BRALA02000, BRALA06618	CAPO305831
OG0001467	BRALA17547, BRALA18447, BRALA11204, BRALA15279	CAPO304882
OG0001468	BRALA04572	CAPO306475
OG0001469	BRALA25074	CAPO306371
OG0001469	BRALA11811	CAPO301724
OG0001470	BRALA29321, BRALA35553	CAPO305163
OG0001472	BRALA14063	CAPO300986
OG0001472	BRALA22363	CAPO305311
OG0001473	BRALA03292, BRALA33985	CAPO304310
OG0001474	BRALA10385	CAPO306191
OG0001475	BRALA05604	CAPO305552
OG0001476	BRALA24804	CAPO305062
OG0001478	BRALA15252	CAPO303095
OG0001478	BRALA21973	CAPO304965
OG0001479	BRALA03008	CAPO306515
OG0001482	BRALA29699	CAPO307610
OG0001484	BRALA22671	CAPO301411
OG0001485	BRALA09598	CAPO305378, CAPO305590
OG0001486	BRALA08931	CAPO302441
OG0001490	BRALA26116	CAPO305433
OG0001492	BRALA14954	CAPO305155
OG0001495	BRALA09380	CAPO302008
OG0001496	BRALA11939, BRALA23998, BRALA33660, BRALA11958, BRALA05423	CAPO301356
OG0001500	BRALA11705	CAPO300054
OG0001501	BRALA26158	CAPO305474
OG0001503	BRALA13476	CAPO305666
OG0001503	BRALA11114	CAPO307598
OG0001504	BRALA03543, BRALA27268, BRALA26326, BRALA17671, BRALA28116, BRALA35187	CAPO307661
OG0001505	BRALA04433, BRALA27762, BRALA26671, BRALA17368	CAPO301009
OG0001506	BRALA05725	CAPO300953
OG0001507	BRALA34143, BRALA31056, BRALA34079	CAPO304204
OG0001509	BRALA35815	CAPO303933
OG0001511	BRALA33918, BRALA33917, BRALA35622	CAPO306127, CAPO305043
OG0001512	BRALA04162	CAPO301118
OG0001515	BRALA14332	CAPO302117
OG0001516	BRALA05014	CAPO300345
OG0001517	BRALA15345, BRALA01055, BRALA01054	CAPO303690
OG0001519	BRALA01688, BRALA13551	CAPO306949
OG0001522	BRALA29452, BRALA29451, BRALA01706, BRALA15136	CAPO303667
OG0001524	BRALA33381	CAPO300996
OG0001524	BRALA27325	CAPO308304
OG0001525	BRALA14939	CAPO303907
OG0001526	BRALA10086	CAPO305679
OG0001527	BRALA23937	CAPO300128
OG0001527	BRALA19992	CAPO307636
OG0001529	BRALA15428	CAPO300593
OG0001530	BRALA35267, BRALA35388, BRALA35160, BRALA34336, BRALA34848, BRALA32247, BRALA34683, BRALA34557, BRALA32248, BRALA35113, BRALA33210	CAPO302602
OG0001532	BRALA15767	CAPO300282
OG0001533	BRALA11358, BRALA21080, BRALA17503, BRALA03658	CAPO306032
OG0001534	BRALA06233	CAPO304425
OG0001537	BRALA25061, BRALA25063, BRALA10683, BRALA22249, BRALA34992, BRALA28164, BRALA09302, BRALA09952, BRALA11873, BRALA13262	CAPO300641
OG0001545	BRALA01668	CAPO300895
OG0001546	BRALA35934	CAPO301865
OG0001548	BRALA26562, BRALA09824, BRALA30894, BRALA21456, BRALA32841, BRALA32060, BRALA22843, BRALA28443	CAPO301500
OG0001551	BRALA31004	CAPO306604
OG0001553	BRALA03739	CAPO308172
OG0001554	BRALA35460, BRALA27979	CAPO302370
OG0001557	BRALA18983	CAPO304176
OG0001558	BRALA21818	CAPO301132
OG0001559	BRALA10909, BRALA10784, BRALA30365	CAPO301785
OG0001561	BRALA27873, BRALA35814, BRALA27872	CAPO301999
OG0001563	BRALA16659, BRALA25832, BRALA18213, BRALA15065	CAPO306378
OG0001564	BRALA13673	CAPO301061
OG0001567	BRALA05651	CAPO300948
OG0001568	BRALA13964	CAPO301468
OG0001570	BRALA00935	CAPO303364
OG0001572	BRALA16186	CAPO304756
OG0001572	BRALA31604	CAPO304137
OG0001573	BRALA01224	CAPO305125, CAPO303819
OG0001576	BRALA09477	CAPO306270
OG0001578	BRALA11454	CAPO300715
OG0001580	BRALA20586	CAPO307900
OG0001581	BRALA25126, BRALA24401, BRALA23458, BRALA23457, BRALA23456	CAPO306056
OG0001582	BRALA28423	CAPO307073
OG0001583	BRALA27471	CAPO306289
OG0001584	BRALA28222	CAPO301068
OG0001589	BRALA16725	CAPO303301, CAPO304004
OG0001590	BRALA01640, BRALA01639, BRALA01637	CAPO302386
OG0001593	BRALA07984	CAPO305942
OG0001594	BRALA08965, BRALA24791	CAPO307886
OG0001597	BRALA14157	CAPO302703
OG0001599	BRALA13133	CAPO300887
OG0001600	BRALA18552	CAPO305994
OG0001603	BRALA02777	CAPO306228
OG0001604	BRALA35748, BRALA35294	CAPO303898
OG0001605	BRALA16476, BRALA16475	CAPO307473
OG0001609	BRALA06092	CAPO304683
OG0001609	BRALA12725	CAPO302057
OG0001610	BRALA09621	CAPO301483
OG0001611	BRALA15161	CAPO305038
OG0001612	BRALA19006, BRALA19004	CAPO302202
OG0001614	BRALA18528	CAPO303895
OG0001614	BRALA10392	CAPO307630
OG0001615	BRALA01957	CAPO300749
OG0001617	BRALA17313	CAPO302798
OG0001621	BRALA34714, BRALA35774	CAPO302875
OG0001622	BRALA16413	CAPO302121
OG0001628	BRALA13390	CAPO300760, CAPO302722
OG0001634	BRALA18314	CAPO305688
OG0001634	BRALA31002	CAPO305614
OG0001638	BRALA28932	CAPO303528
OG0001641	BRALA30662, BRALA13229	CAPO303281
OG0001643	BRALA23075	CAPO306838
OG0001644	BRALA16637	CAPO303665
OG0001652	BRALA23461	CAPO302838
OG0001653	BRALA27722	CAPO305118
OG0001655	BRALA11878, BRALA33466	CAPO302812
OG0001657	BRALA34847, BRALA35457, BRALA34242	CAPO304165, CAPO303952
OG0001660	BRALA12583	CAPO305930
OG0001661	BRALA27100	CAPO302789
OG0001661	BRALA11317	CAPO304920
OG0001663	BRALA31880	CAPO301057
OG0001664	BRALA01214	CAPO303152
OG0001665	BRALA06391, BRALA16749	CAPO302331
OG0001672	BRALA00365	CAPO301880
OG0001673	BRALA23470, BRALA33336	CAPO305520
OG0001674	BRALA04159	CAPO301357
OG0001675	BRALA16675	CAPO307574
OG0001676	BRALA04014	CAPO300524
OG0001676	BRALA08008, BRALA08006	CAPO305992
OG0001677	BRALA31138	CAPO307978
OG0001679	BRALA23834	CAPO302155, CAPO305784
OG0001680	BRALA32159	CAPO304235, CAPO304477
OG0001684	BRALA02822, BRALA03672	CAPO300563
OG0001686	BRALA04004, BRALA27285	CAPO307138
OG0001687	BRALA12237, BRALA12238, BRALA12235	CAPO302907
OG0001688	BRALA11794	CAPO300133
OG0001690	BRALA02846	CAPO304820
OG0001691	BRALA07231	CAPO307420
OG0001699	BRALA11946, BRALA12563, BRALA12566, BRALA21255, BRALA12561, BRALA12562, BRALA29014, BRALA12564	CAPO306472, CAPO300057
OG0001704	BRALA16940, BRALA16941, BRALA16994	CAPO304434
OG0001706	BRALA22821	CAPO301033
OG0001707	BRALA12974, BRALA12971, BRALA12976	CAPO303836
OG0001708	BRALA15416, BRALA08762	CAPO303804
OG0001709	BRALA05359, BRALA11774	CAPO304969
OG0001711	BRALA31838, BRALA21578	CAPO301872
OG0001713	BRALA05685	CAPO308041
OG0001713	BRALA13740	CAPO302278
OG0001714	BRALA13029	CAPO306669
OG0001714	BRALA23437	CAPO300188
OG0001718	BRALA10817, BRALA10903	CAPO301559, CAPO301838
OG0001720	BRALA27104	CAPO303957
OG0001721	BRALA19032	CAPO302302
OG0001723	BRALA05825	CAPO308089
OG0001724	BRALA32012	CAPO306474
OG0001724	BRALA34008	CAPO305584
OG0001727	BRALA11932	CAPO301729
OG0001732	BRALA24214	CAPO304710
OG0001733	BRALA35601, BRALA34693, BRALA27459, BRALA27461, BRALA27460	CAPO306615
OG0001734	BRALA15547, BRALA16158	CAPO306594
OG0001735	BRALA07452	CAPO301389
OG0001738	BRALA23388	CAPO301655
OG0001739	BRALA22905	CAPO304154
OG0001743	BRALA27397, BRALA34917, BRALA27398	CAPO306128
OG0001746	BRALA01974	CAPO306662
OG0001750	BRALA21004	CAPO304954
OG0001755	BRALA30977	CAPO300413
OG0001756	BRALA33790	CAPO301153
OG0001756	BRALA03693	CAPO306605
OG0001769	BRALA06836	CAPO300754
OG0001769	BRALA22299	CAPO306748
OG0001770	BRALA33462, BRALA22471	CAPO304551
OG0001772	BRALA25947, BRALA25946, BRALA19449, BRALA23011	CAPO303731
OG0001774	BRALA11491, BRALA20453	CAPO302411
OG0001775	BRALA21646, BRALA34663	CAPO300385, CAPO303998
OG0001778	BRALA16488	CAPO303585
OG0001781	BRALA02795	CAPO306335
OG0001782	BRALA16828	CAPO302329
OG0001783	BRALA23810, BRALA23809, BRALA23807	CAPO302497
OG0001787	BRALA22039	CAPO302384
OG0001789	BRALA24220	CAPO303597
OG0001792	BRALA34635, BRALA25410	CAPO305067
OG0001792	BRALA18508	CAPO302146
OG0001793	BRALA00316	CAPO302934
OG0001793	BRALA16003	CAPO300098
OG0001794	BRALA30503	CAPO305037
OG0001797	BRALA11523, BRALA11530	CAPO305230
OG0001799	BRALA34118, BRALA22818	CAPO307439
OG0001800	BRALA20533	CAPO302099, CAPO301494
OG0001802	BRALA09644, BRALA25295, BRALA24684, BRALA20598, BRALA20600, BRALA20599, BRALA09646, BRALA20601	CAPO307992
OG0001804	BRALA14986, BRALA14987	CAPO307706
OG0001805	BRALA23846, BRALA23848	CAPO301307
OG0001807	BRALA16684, BRALA16683, BRALA22880, BRALA07117	CAPO305640
OG0001808	BRALA28858, BRALA32877, BRALA30144	CAPO300354
OG0001809	BRALA23647	CAPO307543
OG0001811	BRALA05289, BRALA00154	CAPO304043
OG0001814	BRALA04666, BRALA05626, BRALA08000, BRALA08002	CAPO305508
OG0001816	BRALA05148	CAPO300431
OG0001818	BRALA12031, BRALA23438	CAPO302088
OG0001819	BRALA00196	CAPO307172
OG0001820	BRALA23960	CAPO300515
OG0001822	BRALA03090	CAPO301119
OG0001825	BRALA16641	CAPO306238
OG0001827	BRALA02872	CAPO303060
OG0001828	BRALA07406	CAPO305081
OG0001830	BRALA26029, BRALA16627	CAPO300316
OG0001831	BRALA25354	CAPO306824
OG0001832	BRALA04342	CAPO300612
OG0001834	BRALA14532	CAPO301512
OG0001849	BRALA01071, BRALA01070, BRALA07421	CAPO303014
OG0001850	BRALA03142	CAPO301689
OG0001851	BRALA20584	CAPO303828
OG0001852	BRALA35095, BRALA18937	CAPO303604
OG0001857	BRALA08335	CAPO306766
OG0001859	BRALA12427	CAPO304942
OG0001860	BRALA24290	CAPO306960
OG0001861	BRALA29580, BRALA29583	CAPO303333
OG0001863	BRALA14579	CAPO300966
OG0001864	BRALA08212	CAPO300448
OG0001866	BRALA34934, BRALA33651	CAPO306683
OG0001867	BRALA13098	CAPO305885, CAPO302026
OG0001870	BRALA09761	CAPO303422
OG0001871	BRALA26798	CAPO300664
OG0001873	BRALA33467, BRALA10007, BRALA33548	CAPO305494
OG0001875	BRALA00199	CAPO303129
OG0001875	BRALA04016	CAPO300770
OG0001877	BRALA10772, BRALA10771, BRALA10773, BRALA10933	CAPO305419
OG0001878	BRALA22747	CAPO300594
OG0001879	BRALA34811, BRALA34183, BRALA33781	CAPO302675
OG0001879	BRALA06196	CAPO304068
OG0001882	BRALA14072, BRALA14071, BRALA14070	CAPO302587
OG0001883	BRALA21969	CAPO304395
OG0001886	BRALA10021	CAPO301013
OG0001888	BRALA01341	CAPO307373
OG0001894	BRALA25056	CAPO305070
OG0001895	BRALA19090, BRALA27263, BRALA28261	CAPO300178
OG0001898	BRALA30385	CAPO303887
OG0001900	BRALA13708, BRALA22276	CAPO306468, CAPO308362
OG0001901	BRALA22456	CAPO302174
OG0001903	BRALA07353	CAPO301651
OG0001913	BRALA24497	CAPO308270
OG0001914	BRALA02840, BRALA13023	CAPO308187
OG0001915	BRALA35550	CAPO305922
OG0001916	BRALA13432, BRALA13431, BRALA13430	CAPO304398
OG0001917	BRALA00831	CAPO303937
OG0001919	BRALA04529	CAPO305966
OG0001919	BRALA06853	CAPO300799
OG0001923	BRALA01345	CAPO300364
OG0001926	BRALA01100	CAPO308203
OG0001927	BRALA35455, BRALA21711	CAPO303832
OG0001928	BRALA13253, BRALA13805	CAPO303627
OG0001930	BRALA01543, BRALA16547	CAPO301567
OG0001931	BRALA13445	CAPO306905
OG0001932	BRALA12072	CAPO304653
OG0001935	BRALA21169, BRALA05971, BRALA05972, BRALA06005	CAPO301339
OG0001937	BRALA10961, BRALA10962, BRALA19735, BRALA08657, BRALA08656	CAPO301986
OG0001939	BRALA25625	CAPO304703
OG0001940	BRALA29696	CAPO307447
OG0001941	BRALA11387	CAPO303660
OG0001943	BRALA16392	CAPO304272
OG0001945	BRALA27519	CAPO302125, CAPO302413
OG0001947	BRALA12828	CAPO306182
OG0001948	BRALA31032	CAPO307548
OG0001949	BRALA24727	CAPO303945
OG0001951	BRALA10600	CAPO305792
OG0001953	BRALA16748	CAPO306993
OG0001956	BRALA04353	CAPO302405
OG0001957	BRALA19367	CAPO307027
OG0001961	BRALA13794	CAPO301591
OG0001963	BRALA14625	CAPO304559
OG0001964	BRALA06090, BRALA06079	CAPO306144
OG0001965	BRALA18639	CAPO305377
OG0001966	BRALA16509, BRALA01132, BRALA05602, BRALA01095	CAPO308069
OG0001968	BRALA02743	CAPO303436
OG0001969	BRALA08425	CAPO301897
OG0001972	BRALA15770	CAPO302726
OG0001985	BRALA31266	CAPO307425
OG0001988	BRALA17550	CAPO301454
OG0001989	BRALA07557	CAPO303699
OG0001992	BRALA35422, BRALA35278, BRALA34802	CAPO301694
OG0001994	BRALA29381	CAPO307422
OG0001998	BRALA29050	CAPO304168
OG0001999	BRALA30184, BRALA25298, BRALA35444	CAPO303159
OG0002000	BRALA01282, BRALA04183	CAPO305912
OG0002003	BRALA11915	CAPO306645
OG0002004	BRALA30344, BRALA09126	CAPO305661, CAPO300359
OG0002006	BRALA09070	CAPO302881
OG0002007	BRALA18083	CAPO301764
OG0002009	BRALA21922	CAPO305521
OG0002010	BRALA06492	CAPO303286
OG0002011	BRALA20225	CAPO305222
OG0002014	BRALA11040	CAPO305309
OG0002015	BRALA06336	CAPO304377
OG0002016	BRALA20669	CAPO300736, CAPO303360
OG0002019	BRALA14484	CAPO303943, CAPO301189
OG0002020	BRALA32768, BRALA35646, BRALA33976	CAPO301809, CAPO306607
OG0002024	BRALA03055, BRALA03051	CAPO300776
OG0002025	BRALA23019	CAPO301502
OG0002026	BRALA16933	CAPO307889, CAPO306582
OG0002027	BRALA06049	CAPO307021
OG0002029	BRALA29066	CAPO303181
OG0002030	BRALA18492	CAPO303987
OG0002031	BRALA00375	CAPO300135
OG0002032	BRALA26240	CAPO304689
OG0002034	BRALA22423	CAPO306318
OG0002042	BRALA03747	CAPO300525
OG0002043	BRALA14578	CAPO306649
OG0002061	BRALA21414	CAPO307339
OG0002062	BRALA04513	CAPO301382
OG0002063	BRALA02335, BRALA04323	CAPO302417
OG0002066	BRALA18537	CAPO300576
OG0002067	BRALA23033	CAPO302721
OG0002068	BRALA12029	CAPO303650
OG0002069	BRALA09642	CAPO306402
OG0002073	BRALA24409	CAPO302333
OG0002074	BRALA27583	CAPO304152
OG0002076	BRALA00516	CAPO303117
OG0002079	BRALA35611, BRALA35108, BRALA31898	CAPO301402
OG0002080	BRALA01983, BRALA01982	CAPO307474, CAPO307552
OG0002081	BRALA15912, BRALA15914, BRALA15913	CAPO300584
OG0002084	BRALA33469, BRALA31763, BRALA32157	CAPO300150
OG0002087	BRALA02631	CAPO306536
OG0002093	BRALA22365, BRALA25514	CAPO304254
OG0002094	BRALA12707	CAPO303399
OG0002097	BRALA05973	CAPO302111
OG0002099	BRALA24109	CAPO306675
OG0002101	BRALA01147	CAPO307803
OG0002103	BRALA12125, BRALA22500	CAPO305235
OG0002106	BRALA21267	CAPO300071
OG0002108	BRALA26237	CAPO303834
OG0002122	BRALA19240	CAPO300191
OG0002123	BRALA29680	CAPO303373
OG0002124	BRALA35178, BRALA22483, BRALA13512, BRALA20658, BRALA06874, BRALA20657, BRALA28525, BRALA30849	CAPO300980
OG0002129	BRALA28316	CAPO305068
OG0002130	BRALA19628	CAPO301943
OG0002131	BRALA22859	CAPO302159
OG0002135	BRALA19276	CAPO300616, CAPO300802
OG0002136	BRALA21701	CAPO300292
OG0002137	BRALA24687, BRALA05643	CAPO306593
OG0002138	BRALA07695	CAPO304101
OG0002140	BRALA19372	CAPO300489
OG0002141	BRALA28309	CAPO300491
OG0002144	BRALA33804, BRALA33560, BRALA24799	CAPO308205
OG0002145	BRALA17357	CAPO305963
OG0002146	BRALA18951	CAPO303694
OG0002148	BRALA15940, BRALA31289	CAPO301311
OG0002150	BRALA04285	CAPO305991
OG0002152	BRALA17103	CAPO305214
OG0002156	BRALA19453	CAPO307789
OG0002158	BRALA29886	CAPO300426
OG0002159	BRALA07565, BRALA35722, BRALA18927	CAPO301618
OG0002160	BRALA06348	CAPO306354
OG0002165	BRALA03144, BRALA03158, BRALA03145	CAPO306860
OG0002166	BRALA34998	CAPO300536
OG0002168	BRALA21154, BRALA01161	CAPO305846
OG0002169	BRALA35441, BRALA33277, BRALA34931, BRALA34043	CAPO305188, CAPO305186
OG0002170	BRALA15225, BRALA25274	CAPO306065
OG0002171	BRALA31606	CAPO300657
OG0002172	BRALA08732	CAPO300117
OG0002173	BRALA03181	CAPO300163
OG0002177	BRALA25710	CAPO303715
OG0002178	BRALA10470	CAPO300762
OG0002179	BRALA17768	CAPO301344
OG0002182	BRALA17354	CAPO300304
OG0002184	BRALA05306	CAPO302808
OG0002185	BRALA03464	CAPO306894
OG0002187	BRALA21795	CAPO303260
OG0002188	BRALA05642	CAPO307308
OG0002189	BRALA14619, BRALA00945, BRALA34565	CAPO302919, CAPO302901
OG0002190	BRALA24660	CAPO305794
OG0002191	BRALA21363	CAPO306349
OG0002193	BRALA11442	CAPO307827, CAPO303661
OG0002194	BRALA26974, BRALA10637, BRALA26972, BRALA26973, BRALA30784, BRALA16427, BRALA09154	CAPO306073
OG0002198	BRALA22825, BRALA22813, BRALA17694, BRALA00738, BRALA00707, BRALA01997, BRALA09044, BRALA00772, BRALA07134, BRALA12065, BRALA17697, BRALA17698, BRALA22826, BRALA17696, BRALA22823, BRALA22812, BRALA17699, BRALA22814, BRALA11807	CAPO307154
OG0002198	BRALA10257	CAPO303031
OG0002198	BRALA03452, BRALA07189, BRALA02968	CAPO303344
OG0002201	BRALA12527	CAPO305256
OG0002202	BRALA24435	CAPO305145
OG0002213	BRALA28796, BRALA27801, BRALA30492	CAPO301692
OG0002216	BRALA21038	CAPO308083
OG0002217	BRALA20635	CAPO303403
OG0002219	BRALA34790, BRALA33634, BRALA17537, BRALA29885	CAPO301953
OG0002222	BRALA19604	CAPO300961
OG0002224	BRALA06615	CAPO304952
OG0002225	BRALA24494	CAPO301769
OG0002227	BRALA33920, BRALA21714	CAPO307820, CAPO307799
OG0002228	BRALA34398, BRALA26579, BRALA27484	CAPO301630, CAPO300068
OG0002229	BRALA29368, BRALA29369	CAPO308040
OG0002235	BRALA22414, BRALA29529, BRALA21221	CAPO303035
OG0002237	BRALA33708, BRALA35902	CAPO306506
OG0002239	BRALA21605	CAPO301966
OG0002240	BRALA14406	CAPO306707
OG0002241	BRALA33999	CAPO303979
OG0002243	BRALA24911	CAPO301335, CAPO300484
OG0002244	BRALA08304	CAPO303840
OG0002245	BRALA10266	CAPO302737
OG0002246	BRALA15560	CAPO301929
OG0002251	BRALA21715	CAPO302537
OG0002252	BRALA26755, BRALA06212	CAPO304306
OG0002255	BRALA03062	CAPO301475, CAPO302337
OG0002257	BRALA34647, BRALA35270, BRALA30211, BRALA15714	CAPO303721
OG0002258	BRALA31922	CAPO302229
OG0002261	BRALA34119	CAPO303559
OG0002263	BRALA13683	CAPO304694
OG0002264	BRALA16853	CAPO304810
OG0002266	BRALA11206	CAPO307392
OG0002270	BRALA17302	CAPO302042
OG0002272	BRALA18102, BRALA08886, BRALA18101	CAPO301905
OG0002282	BRALA02774	CAPO300014
OG0002284	BRALA17340	CAPO304167
OG0002285	BRALA21420	CAPO305012
OG0002287	BRALA20585	CAPO306430
OG0002288	BRALA03975	CAPO306855
OG0002292	BRALA02622	CAPO308118, CAPO308288
OG0002292	BRALA26428	CAPO301471
OG0002293	BRALA19304	CAPO302207
OG0002294	BRALA00797	CAPO300522
OG0002296	BRALA21680	CAPO307746
OG0002297	BRALA15511, BRALA34086, BRALA35846, BRALA05115, BRALA01286, BRALA34337	CAPO307845
OG0002312	BRALA21661	CAPO305339
OG0002312	BRALA21662	CAPO305880
OG0002316	BRALA12268	CAPO302192
OG0002317	BRALA31350, BRALA33899	CAPO301129
OG0002318	BRALA02620, BRALA04390	CAPO302292
OG0002319	BRALA14241	CAPO306342
OG0002321	BRALA24064	CAPO300390
OG0002322	BRALA29155	CAPO300979
OG0002323	BRALA12829	CAPO308299
OG0002324	BRALA02701, BRALA09305, BRALA24171	CAPO301866
OG0002325	BRALA29052, BRALA32779	CAPO300458
OG0002326	BRALA26255	CAPO302239
OG0002327	BRALA18044	CAPO302954
OG0002330	BRALA03712, BRALA24270, BRALA09866, BRALA13865	CAPO300172
OG0002331	BRALA26591	CAPO302246
OG0002332	BRALA03823, BRALA03824	CAPO300761
OG0002337	BRALA27654	CAPO307155
OG0002340	BRALA20546	CAPO307906
OG0002343	BRALA19186	CAPO303889
OG0002344	BRALA27826	CAPO307434
OG0002345	BRALA23857	CAPO304277
OG0002346	BRALA02293	CAPO307106
OG0002348	BRALA15237, BRALA22455	CAPO302095
OG0002354	BRALA28092, BRALA03564, BRALA28091, BRALA03565	CAPO306383
OG0002356	BRALA13920	CAPO305051
OG0002357	BRALA25711	CAPO302341
OG0002358	BRALA28942	CAPO307788
OG0002359	BRALA23962	CAPO302128
OG0002361	BRALA30384, BRALA08001, BRALA22779, BRALA13892	CAPO304727
OG0002362	BRALA23213	CAPO301902
OG0002363	BRALA27482	CAPO302980
OG0002364	BRALA28889, BRALA28891, BRALA28903, BRALA28904, BRALA28888, BRALA28890	CAPO306488
OG0002367	BRALA13549	CAPO304316
OG0002368	BRALA21573	CAPO301447
OG0002369	BRALA31712, BRALA35458	CAPO301279
OG0002370	BRALA25269	CAPO303015
OG0002371	BRALA17426, BRALA17427, BRALA13908	CAPO304426
OG0002372	BRALA22190	CAPO303540
OG0002373	BRALA20876	CAPO306145
OG0002373	BRALA03974	CAPO306206
OG0002374	BRALA20249	CAPO302309
OG0002375	BRALA01414, BRALA22597	CAPO305178, CAPO300285
OG0002376	BRALA31285	CAPO304863
OG0002377	BRALA34759, BRALA24718, BRALA25962, BRALA34952	CAPO301847
OG0002379	BRALA06153	CAPO301214
OG0002383	BRALA33286, BRALA33563	CAPO302731
OG0002384	BRALA01877	CAPO305065
OG0002396	BRALA24995	CAPO302410
OG0002398	BRALA15927	CAPO306938
OG0002405	BRALA31198	CAPO300119
OG0002406	BRALA05674	CAPO304138
OG0002407	BRALA03716, BRALA03717	CAPO301366
OG0002409	BRALA19736	CAPO301533
OG0002410	BRALA01716	CAPO305170
OG0002411	BRALA08046	CAPO305052
OG0002413	BRALA01143	CAPO307797
OG0002413	BRALA18576	CAPO304716
OG0002414	BRALA34467	CAPO304631
OG0002415	BRALA11304	CAPO305027
OG0002415	BRALA03930	CAPO304905
OG0002418	BRALA27290	CAPO303802
OG0002419	BRALA16074, BRALA31943, BRALA15997, BRALA18652	CAPO303825
OG0002421	BRALA03354	CAPO305365
OG0002422	BRALA16928	CAPO302014
OG0002425	BRALA19544	CAPO304491
OG0002426	BRALA30181	CAPO303294
OG0002429	BRALA19985	CAPO305260
OG0002433	BRALA06198	CAPO302444
OG0002436	BRALA35598, BRALA28165, BRALA35260	CAPO307054
OG0002437	BRALA24099	CAPO303352
OG0002439	BRALA01969	CAPO302565
OG0002441	BRALA15658	CAPO304429
OG0002442	BRALA03567, BRALA03566, BRALA28090	CAPO300535
OG0002443	BRALA28022, BRALA11051, BRALA28046, BRALA11052, BRALA28021	CAPO301424
OG0002445	BRALA12414	CAPO304782
OG0002446	BRALA06181	CAPO303707
OG0002448	BRALA03643	CAPO308204
OG0002453	BRALA12055	CAPO305834
OG0002454	BRALA04534	CAPO305157
OG0002466	BRALA03038	CAPO305593
OG0002467	BRALA27210, BRALA29892, BRALA35648	CAPO302869
OG0002476	BRALA15261, BRALA28104, BRALA03553	CAPO307617
OG0002484	BRALA28664	CAPO305360
OG0002486	BRALA04851	CAPO303598
OG0002489	BRALA25848	CAPO304231
OG0002490	BRALA20489	CAPO307409, CAPO300849
OG0002492	BRALA12186	CAPO305743
OG0002494	BRALA16505	CAPO307620
OG0002495	BRALA04561	CAPO306559
OG0002496	BRALA16345	CAPO300997
OG0002497	BRALA03649	CAPO301629
OG0002499	BRALA15837, BRALA15835	CAPO308309
OG0002500	BRALA24159, BRALA02378, BRALA02374, BRALA13281, BRALA02379	CAPO305159
OG0002501	BRALA29380	CAPO305150
OG0002502	BRALA05607	CAPO304947
OG0002503	BRALA13184	CAPO301024
OG0002505	BRALA17014	CAPO302692
OG0002506	BRALA17835, BRALA08373	CAPO301029
OG0002507	BRALA01369	CAPO303215
OG0002509	BRALA20567	CAPO305905, CAPO306732
OG0002510	BRALA14248	CAPO305793
OG0002511	BRALA01011	CAPO303146
OG0002516	BRALA12043	CAPO307569
OG0002518	BRALA05701	CAPO304200
OG0002519	BRALA35661, BRALA33821, BRALA34090, BRALA33712	CAPO302874
OG0002523	BRALA02515	CAPO301008
OG0002525	BRALA03332	CAPO300787
OG0002526	BRALA21740	CAPO303145
OG0002527	BRALA02595	CAPO306066
OG0002528	BRALA16277	CAPO301891
OG0002529	BRALA13641	CAPO301231, CAPO301232
OG0002531	BRALA22472, BRALA22473	CAPO304673
OG0002532	BRALA18649	CAPO307265
OG0002533	BRALA14997, BRALA14996	CAPO302353
OG0002534	BRALA15795	CAPO302248
OG0002539	BRALA03074	CAPO305908
OG0002542	BRALA07348	CAPO300062
OG0002543	BRALA24166, BRALA24165	CAPO306889, CAPO301493
OG0002548	BRALA11927	CAPO303502
OG0002555	BRALA25939, BRALA25937	CAPO301095
OG0002556	BRALA23204, BRALA23429, BRALA23428, BRALA23426	CAPO306661
OG0002557	BRALA16448	CAPO302757
OG0002558	BRALA18865	CAPO301820
OG0002559	BRALA11899	CAPO306363
OG0002561	BRALA22278, BRALA11930	CAPO306761
OG0002562	BRALA34434, BRALA35820, BRALA34914	CAPO305283
OG0002563	BRALA08063	CAPO307417
OG0002564	BRALA11148	CAPO307297
OG0002565	BRALA24070, BRALA14663	CAPO302611
OG0002566	BRALA05143	CAPO303827
OG0002567	BRALA12645	CAPO304319
OG0002569	BRALA35645, BRALA35173, BRALA35658, BRALA34481	CAPO306658
OG0002570	BRALA34882, BRALA31603	CAPO307215
OG0002574	BRALA26128	CAPO307488
OG0002578	BRALA00374	CAPO301504
OG0002587	BRALA16100	CAPO300512
OG0002589	BRALA33952, BRALA22758	CAPO302447
OG0002592	BRALA30866, BRALA32156	CAPO300278
OG0002594	BRALA17624	CAPO304177
OG0002598	BRALA00693, BRALA29808, BRALA29807	CAPO300566
OG0002599	BRALA15351	CAPO303706
OG0002600	BRALA03639	CAPO305861
OG0002601	BRALA24114	CAPO300675
OG0002602	BRALA06258	CAPO303637
