Orthogroup	BRALA	ASTMX
OG0000468	BRALA16180, BRALA28186, BRALA18298, BRALA18299, BRALA18302, BRALA18300	ASTMX16968, ASTMX16966, ASTMX16964, ASTMX16965, ASTMX16967, ASTMX08249
OG0000468	BRALA11917	ASTMX07575
OG0000469	BRALA16555	ASTMX15740, ASTMX02909
OG0000470	BRALA24698	ASTMX20617, ASTMX01420, ASTMX16395, ASTMX15646, ASTMX03241, ASTMX22015
OG0000471	BRALA15053	ASTMX04676, ASTMX16280, ASTMX07614, ASTMX11079, ASTMX22458
OG0000472	BRALA15705, BRALA11327	ASTMX08847, ASTMX08908
OG0000475	BRALA33310	ASTMX05457, ASTMX04247, ASTMX09728, ASTMX05455, ASTMX08656, ASTMX22981, ASTMX05456
OG0000476	BRALA20616	ASTMX15748
OG0000476	BRALA14616, BRALA14614, BRALA14617	ASTMX15079
OG0000477	BRALA15433	ASTMX17413, ASTMX12779, ASTMX22298, ASTMX02431, ASTMX11940, ASTMX12860, ASTMX09034
OG0000478	BRALA14184	ASTMX06404, ASTMX08367, ASTMX22529, ASTMX16617
OG0000479	BRALA33937	ASTMX07487, ASTMX08702, ASTMX01240, ASTMX04831, ASTMX08818
OG0000479	BRALA33783	ASTMX21850, ASTMX17585, ASTMX15198, ASTMX05901
OG0000480	BRALA28328	ASTMX05218
OG0000480	BRALA28329	ASTMX07170
OG0000481	BRALA10023	ASTMX15759
OG0000481	BRALA03647	ASTMX21277, ASTMX10551
OG0000482	BRALA22257	ASTMX02712, ASTMX01408, ASTMX16479
OG0000482	BRALA29577	ASTMX01407, ASTMX16480
OG0000484	BRALA35066	ASTMX20535
OG0000484	BRALA34077	ASTMX05957
OG0000485	BRALA23674	ASTMX18912, ASTMX15444
OG0000485	BRALA05059, BRALA21189	ASTMX02971, ASTMX22496
OG0000486	BRALA01376, BRALA02955, BRALA02954, BRALA02956, BRALA19977, BRALA04760, BRALA04761, BRALA03985	ASTMX13378, ASTMX03758
OG0000487	BRALA23385	ASTMX08062, ASTMX13666
OG0000487	BRALA28599, BRALA25400, BRALA25401, BRALA28602	ASTMX07842, ASTMX20342
OG0000488	BRALA07851	ASTMX08717, ASTMX03433, ASTMX00689
OG0000488	BRALA29429	ASTMX04604, ASTMX15969
OG0000489	BRALA13763	ASTMX09842, ASTMX01834, ASTMX04138, ASTMX06584, ASTMX11463, ASTMX18490
OG0000491	BRALA11888	ASTMX05642, ASTMX18439, ASTMX18438, ASTMX18437, ASTMX14753, ASTMX17371, ASTMX11249
OG0000492	BRALA13872	ASTMX07363, ASTMX15985, ASTMX00365, ASTMX03605, ASTMX08527, ASTMX08299, ASTMX22795, ASTMX18734
OG0000494	BRALA14931	ASTMX16000, ASTMX05886, ASTMX17592, ASTMX10961, ASTMX13194, ASTMX13294, ASTMX10353
OG0000495	BRALA16913, BRALA16912, BRALA16952, BRALA22436, BRALA11572, BRALA07929, BRALA07931, BRALA16951, BRALA22144, BRALA16911	ASTMX01188
OG0000496	BRALA07013	ASTMX14117, ASTMX19979
OG0000497	BRALA07740	ASTMX22201, ASTMX10346, ASTMX13802, ASTMX03464, ASTMX13801
OG0000497	BRALA17523	ASTMX21023, ASTMX02074
OG0000498	BRALA29437	ASTMX00213, ASTMX00420, ASTMX17520, ASTMX13589, ASTMX20713, ASTMX07450, ASTMX11775, ASTMX16597, ASTMX00588
OG0000499	BRALA24404	ASTMX01239, ASTMX04830
OG0000503	BRALA07482, BRALA23827	ASTMX07343, ASTMX16980, ASTMX02609, ASTMX03072
OG0000503	BRALA20618	ASTMX21242
OG0000504	BRALA21734, BRALA21735	ASTMX09815, ASTMX14231, ASTMX10657, ASTMX03402, ASTMX11929, ASTMX02863, ASTMX05201, ASTMX20171
OG0000505	BRALA07980	ASTMX04944, ASTMX15734, ASTMX05133
OG0000506	BRALA05807	ASTMX20807, ASTMX05502, ASTMX16924, ASTMX20808, ASTMX10856, ASTMX08798
OG0000508	BRALA17016	ASTMX01457, ASTMX09874
OG0000508	BRALA31119	ASTMX07533
OG0000508	BRALA33555	ASTMX21261, ASTMX15755, ASTMX12540, ASTMX13811
OG0000510	BRALA00432	ASTMX10189, ASTMX20520, ASTMX12755, ASTMX12852, ASTMX10966, ASTMX16608
OG0000511	BRALA35119, BRALA33571, BRALA03901	ASTMX13576
OG0000512	BRALA04179	ASTMX15891, ASTMX12990, ASTMX21535, ASTMX22365, ASTMX21536, ASTMX10730, ASTMX01582, ASTMX01607, ASTMX22852, ASTMX06930, ASTMX06929, ASTMX06932, ASTMX06931, ASTMX21240, ASTMX20557, ASTMX06898, ASTMX03503, ASTMX01504, ASTMX08640, ASTMX01505, ASTMX10731, ASTMX21537, ASTMX07570, ASTMX08639
OG0000514	BRALA19477	ASTMX10637, ASTMX15495, ASTMX20347, ASTMX17787, ASTMX03613, ASTMX20346
OG0000515	BRALA07345	ASTMX16147
OG0000516	BRALA15544, BRALA02044, BRALA02039, BRALA02037, BRALA32371, BRALA02047, BRALA20757, BRALA02147, BRALA02350, BRALA22353, BRALA02043, BRALA02030, BRALA20755, BRALA08843, BRALA28896	ASTMX01654, ASTMX13984, ASTMX12362
OG0000516	BRALA28892, BRALA28893	ASTMX20641
OG0000517	BRALA28682, BRALA20746	ASTMX09398, ASTMX10775, ASTMX13252, ASTMX18055, ASTMX22426, ASTMX13873
OG0000519	BRALA25441, BRALA22160	ASTMX13209, ASTMX05997
OG0000520	BRALA19387	ASTMX09994, ASTMX18836, ASTMX07327
OG0000522	BRALA25053	ASTMX18924
OG0000522	BRALA25050, BRALA25052	ASTMX19564, ASTMX01611
OG0000525	BRALA20630	ASTMX22715, ASTMX10039, ASTMX12399
OG0000525	BRALA13036, BRALA13035	ASTMX17740, ASTMX22684, ASTMX02688, ASTMX11391
OG0000526	BRALA18190, BRALA08755, BRALA18192, BRALA16238, BRALA16318, BRALA23607, BRALA30521, BRALA08217, BRALA12537, BRALA00644, BRALA18595, BRALA00628, BRALA00629, BRALA00489, BRALA12135, BRALA08760, BRALA16233	ASTMX04211, ASTMX04131
OG0000527	BRALA12888	ASTMX21736, ASTMX22367, ASTMX02383, ASTMX14201, ASTMX19141
OG0000528	BRALA13353	ASTMX18461, ASTMX02315, ASTMX10467, ASTMX20121
OG0000529	BRALA34553, BRALA03729	ASTMX21144, ASTMX18927
OG0000529	BRALA17267	ASTMX11508, ASTMX07444, ASTMX17776, ASTMX00725
OG0000530	BRALA27713	ASTMX03176, ASTMX02906, ASTMX17387, ASTMX07408, ASTMX19455
OG0000531	BRALA10663	ASTMX15871, ASTMX06454, ASTMX20431, ASTMX05437
OG0000532	BRALA23832	ASTMX11129, ASTMX21141
OG0000532	BRALA07475	ASTMX01302, ASTMX15057
OG0000533	BRALA09268, BRALA09267	ASTMX16723
OG0000533	BRALA08489	ASTMX17186, ASTMX16729
OG0000534	BRALA17057	ASTMX08654, ASTMX15015, ASTMX16887, ASTMX17809, ASTMX14095
OG0000534	BRALA15529	ASTMX16886
OG0000535	BRALA25267	ASTMX07978, ASTMX01946, ASTMX20355, ASTMX22489
OG0000537	BRALA13679	ASTMX02700, ASTMX00178, ASTMX15548, ASTMX22237
OG0000537	BRALA13681	ASTMX15547, ASTMX02699, ASTMX00179
OG0000539	BRALA20475, BRALA16574, BRALA30262, BRALA04389, BRALA27236, BRALA29022, BRALA32330, BRALA23555, BRALA04388, BRALA29728	ASTMX18298, ASTMX11895
OG0000540	BRALA33330, BRALA34975, BRALA33025, BRALA32816, BRALA33558, BRALA31394, BRALA35826, BRALA31392, BRALA32895	ASTMX20622, ASTMX08053, ASTMX10282, ASTMX17477, ASTMX20569, ASTMX11992, ASTMX08565, ASTMX06601, ASTMX18502, ASTMX17476, ASTMX07387, ASTMX17150, ASTMX12690, ASTMX05290, ASTMX07380
OG0000542	BRALA22764	ASTMX11231, ASTMX21069
OG0000542	BRALA00596	ASTMX04273
OG0000544	BRALA19421	ASTMX11235, ASTMX03698, ASTMX08268
OG0000544	BRALA03994	ASTMX06964, ASTMX06963
OG0000544	BRALA34378	ASTMX02823, ASTMX10067
OG0000545	BRALA24399	ASTMX10987
OG0000545	BRALA22583	ASTMX08452, ASTMX01683, ASTMX12544, ASTMX08514, ASTMX06310
OG0000546	BRALA05876, BRALA05877	ASTMX03169
OG0000548	BRALA31695	ASTMX20814, ASTMX19774, ASTMX15937, ASTMX10502
OG0000548	BRALA21474	ASTMX10235
OG0000548	BRALA22718	ASTMX16625, ASTMX05347
OG0000550	BRALA04930, BRALA04919	ASTMX22613
OG0000550	BRALA04924	ASTMX00671
OG0000550	BRALA04937, BRALA04940, BRALA22193, BRALA04936, BRALA04939, BRALA04945, BRALA04926, BRALA04946, BRALA04935, BRALA04929, BRALA04947, BRALA04931, BRALA04943, BRALA04918, BRALA04917, BRALA04916	ASTMX00672, ASTMX00670, ASTMX00669, ASTMX00673
OG0000551	BRALA20243, BRALA20242, BRALA03802, BRALA20241, BRALA03089	ASTMX02105
OG0000553	BRALA09626	ASTMX17368, ASTMX03487, ASTMX06718
OG0000553	BRALA16722, BRALA35015	ASTMX14321, ASTMX21466, ASTMX11677
OG0000554	BRALA26471, BRALA28539	ASTMX01832
OG0000560	BRALA24504, BRALA08569, BRALA10597, BRALA25861, BRALA13005, BRALA05538, BRALA21205, BRALA19574	ASTMX10434, ASTMX12293
OG0000561	BRALA17425	ASTMX19650
OG0000561	BRALA17424	ASTMX12281, ASTMX09747, ASTMX04726
OG0000562	BRALA15030	ASTMX02939
OG0000562	BRALA19937	ASTMX18239, ASTMX07420
OG0000563	BRALA24155	ASTMX13470
OG0000564	BRALA07152, BRALA24130, BRALA33441	ASTMX10683, ASTMX04443, ASTMX18629, ASTMX04222, ASTMX15637
OG0000564	BRALA34864	ASTMX21223
OG0000564	BRALA30531	ASTMX13514, ASTMX14790, ASTMX21125
OG0000565	BRALA22484, BRALA12049, BRALA05112, BRALA08442, BRALA04573, BRALA04975	ASTMX06713
OG0000566	BRALA26624	ASTMX09638
OG0000567	BRALA12434, BRALA10631	ASTMX07889, ASTMX10650
OG0000567	BRALA01129, BRALA24836	ASTMX02913
OG0000570	BRALA12710	ASTMX10311, ASTMX21575, ASTMX01487, ASTMX14282
OG0000572	BRALA30970	ASTMX14415, ASTMX08526
OG0000572	BRALA24438	ASTMX09438, ASTMX05246
OG0000573	BRALA33118	ASTMX11352, ASTMX15555, ASTMX04860
OG0000573	BRALA01402	ASTMX02201
OG0000574	BRALA10469	ASTMX11657
OG0000574	BRALA02629	ASTMX08559
OG0000575	BRALA17689	ASTMX18324, ASTMX05900, ASTMX10924, ASTMX11741, ASTMX07926, ASTMX05390, ASTMX08403
OG0000576	BRALA00312	ASTMX02752
OG0000578	BRALA30383	ASTMX18006, ASTMX10470, ASTMX08286, ASTMX01576, ASTMX10827, ASTMX04585
OG0000580	BRALA26260	ASTMX08882
OG0000580	BRALA02419	ASTMX14484
OG0000581	BRALA25966	ASTMX10825
OG0000581	BRALA25968	ASTMX10599, ASTMX16863, ASTMX10824, ASTMX04580
OG0000581	BRALA25970	ASTMX10823
OG0000582	BRALA24843	ASTMX11411, ASTMX20610, ASTMX13349, ASTMX13077, ASTMX01858, ASTMX10152
OG0000584	BRALA05113, BRALA05114, BRALA05271	ASTMX03102, ASTMX07415, ASTMX15596, ASTMX18904
OG0000585	BRALA20335	ASTMX10753, ASTMX02113, ASTMX17466, ASTMX08311, ASTMX20178, ASTMX01009
OG0000586	BRALA02479	ASTMX21165
OG0000587	BRALA05810	ASTMX17633, ASTMX15674, ASTMX05654, ASTMX18684, ASTMX02880
OG0000587	BRALA15179	ASTMX13819
OG0000588	BRALA00972	ASTMX14157, ASTMX18468, ASTMX06494, ASTMX10386, ASTMX19382
OG0000588	BRALA24520	ASTMX03016
OG0000589	BRALA33101, BRALA29679	ASTMX00371, ASTMX03603, ASTMX00369, ASTMX00368, ASTMX00370, ASTMX02599, ASTMX02002, ASTMX18733, ASTMX08294, ASTMX08295, ASTMX08296
OG0000590	BRALA07082	ASTMX12992, ASTMX20440, ASTMX15142, ASTMX10181, ASTMX04496
OG0000590	BRALA16075, BRALA31942	ASTMX11935, ASTMX00513
OG0000591	BRALA25344	ASTMX04992, ASTMX12325
OG0000591	BRALA13642	ASTMX09194
OG0000592	BRALA22980	ASTMX01208
OG0000592	BRALA12293, BRALA12292, BRALA25533	ASTMX00581, ASTMX20394
OG0000593	BRALA10467	ASTMX11066, ASTMX07725, ASTMX21954, ASTMX04864
OG0000593	BRALA03529	ASTMX09942, ASTMX00591, ASTMX02549, ASTMX05477, ASTMX19749
OG0000597	BRALA07224	ASTMX09658, ASTMX18806, ASTMX12198, ASTMX07313, ASTMX15757
OG0000597	BRALA07985	ASTMX00247, ASTMX15148, ASTMX16916
OG0000600	BRALA16892	ASTMX20647
OG0000601	BRALA06469, BRALA04622, BRALA04621	ASTMX20990, ASTMX07640, ASTMX07641, ASTMX07642, ASTMX05034, ASTMX05939
OG0000602	BRALA13634	ASTMX11828, ASTMX15540, ASTMX07892, ASTMX18681
OG0000602	BRALA13638	ASTMX15541, ASTMX07893, ASTMX11827, ASTMX00030, ASTMX18680
OG0000603	BRALA11986	ASTMX10221, ASTMX04851, ASTMX01584, ASTMX06561, ASTMX19202
OG0000604	BRALA23058	ASTMX20952, ASTMX03236, ASTMX19938, ASTMX03235, ASTMX11005, ASTMX17547, ASTMX19569, ASTMX12146, ASTMX03234, ASTMX19571, ASTMX20953, ASTMX20951, ASTMX19937, ASTMX21867, ASTMX19572, ASTMX20954
OG0000607	BRALA02171	ASTMX02194, ASTMX15507, ASTMX16125, ASTMX15313
OG0000608	BRALA08057	ASTMX19885
OG0000609	BRALA13529	ASTMX09487
OG0000609	BRALA13853, BRALA18964, BRALA18966, BRALA18965, BRALA13849	ASTMX19499, ASTMX00147, ASTMX19500
OG0000609	BRALA04542	ASTMX13250
OG0000609	BRALA05170, BRALA01190, BRALA05174	ASTMX05358
OG0000610	BRALA08395, BRALA06657, BRALA26836	ASTMX15042
OG0000610	BRALA02697	ASTMX03105, ASTMX08602
OG0000611	BRALA20389	ASTMX07157, ASTMX09331, ASTMX05615
OG0000611	BRALA27313	ASTMX12827
OG0000612	BRALA24052	ASTMX09692, ASTMX18860, ASTMX09749
OG0000612	BRALA20021	ASTMX15804
OG0000613	BRALA12977	ASTMX01217, ASTMX05307, ASTMX07479, ASTMX16319
OG0000613	BRALA30072	ASTMX03360
OG0000614	BRALA26253, BRALA24121	ASTMX11010
OG0000615	BRALA14242	ASTMX21454, ASTMX20753
OG0000616	BRALA23460	ASTMX16225
OG0000617	BRALA28136	ASTMX00627
OG0000619	BRALA12118	ASTMX11692, ASTMX15038
OG0000620	BRALA14226	ASTMX19268, ASTMX02620
OG0000621	BRALA20891	ASTMX01766
OG0000621	BRALA26956	ASTMX12194, ASTMX07935
OG0000623	BRALA01906	ASTMX07600
OG0000623	BRALA33185	ASTMX07831, ASTMX20139, ASTMX15503
OG0000624	BRALA09192	ASTMX13226, ASTMX19412, ASTMX08664
OG0000625	BRALA19634	ASTMX11301, ASTMX11304, ASTMX11302, ASTMX16523, ASTMX16522, ASTMX11303, ASTMX14967, ASTMX11878
OG0000625	BRALA04967, BRALA05373	ASTMX10549
OG0000626	BRALA09669	ASTMX00847, ASTMX01224, ASTMX06433, ASTMX01759, ASTMX01760
OG0000627	BRALA29835	ASTMX02960, ASTMX07039, ASTMX06195
OG0000628	BRALA28627	ASTMX05782, ASTMX11840, ASTMX18687
OG0000628	BRALA16689	ASTMX03435, ASTMX03434, ASTMX12380, ASTMX18405, ASTMX15898
OG0000629	BRALA09148, BRALA24720	ASTMX09268
OG0000629	BRALA35417	ASTMX18251
OG0000629	BRALA24722	ASTMX09266, ASTMX08860, ASTMX17914, ASTMX07251
OG0000633	BRALA02705, BRALA27123, BRALA17864, BRALA05091, BRALA02704, BRALA32439, BRALA03616, BRALA10872, BRALA03615, BRALA03617, BRALA17937, BRALA03610, BRALA03611, BRALA33444, BRALA17938, BRALA12295, BRALA16604, BRALA17940, BRALA17941, BRALA33978, BRALA15799	ASTMX11538
OG0000634	BRALA18632	ASTMX01056, ASTMX12422
OG0000637	BRALA35665	ASTMX21369
OG0000637	BRALA25973	ASTMX21579, ASTMX17434
OG0000639	BRALA16533	ASTMX07088, ASTMX03393
OG0000639	BRALA20016	ASTMX02657, ASTMX18519, ASTMX07469
OG0000641	BRALA20745, BRALA20742, BRALA20741, BRALA26654, BRALA26656, BRALA26655	ASTMX22253, ASTMX00505, ASTMX10774, ASTMX10773, ASTMX09397, ASTMX00810, ASTMX22520
OG0000642	BRALA06680	ASTMX01930, ASTMX01929, ASTMX17309, ASTMX04214, ASTMX12313
OG0000643	BRALA01193	ASTMX02318, ASTMX01314
OG0000643	BRALA28428	ASTMX20408, ASTMX05940, ASTMX03512
OG0000645	BRALA20003	ASTMX12833, ASTMX02606
OG0000645	BRALA04294	ASTMX18567, ASTMX05124
OG0000646	BRALA05656	ASTMX06884, ASTMX16478, ASTMX02676
OG0000646	BRALA20004	ASTMX07029, ASTMX07086, ASTMX20232
OG0000647	BRALA16420	ASTMX19826, ASTMX06640
OG0000648	BRALA03156	ASTMX22428, ASTMX02643
OG0000648	BRALA03157	ASTMX15128, ASTMX02551
OG0000649	BRALA09182, BRALA11364, BRALA20887	ASTMX09392, ASTMX04774, ASTMX18484, ASTMX18485, ASTMX01888
OG0000650	BRALA06632, BRALA04575	ASTMX12731, ASTMX05353, ASTMX08700, ASTMX08975, ASTMX20574, ASTMX08278, ASTMX16890, ASTMX00837, ASTMX13841
OG0000653	BRALA00750	ASTMX20196, ASTMX12008
OG0000653	BRALA33623, BRALA16963	ASTMX16680, ASTMX08281, ASTMX18100, ASTMX03946, ASTMX02496
OG0000653	BRALA22618	ASTMX13550, ASTMX18970, ASTMX13180, ASTMX06484
OG0000654	BRALA04554	ASTMX13738, ASTMX11052, ASTMX19746, ASTMX10206, ASTMX17145, ASTMX00164
OG0000660	BRALA15697	ASTMX22390, ASTMX13764, ASTMX14506, ASTMX05874
OG0000660	BRALA10420	ASTMX20321
OG0000661	BRALA34508, BRALA12951	ASTMX20064, ASTMX13172, ASTMX22694, ASTMX19430, ASTMX21560, ASTMX20894, ASTMX21559, ASTMX20895, ASTMX21484, ASTMX20961, ASTMX20959, ASTMX21485, ASTMX17363, ASTMX15700, ASTMX10414, ASTMX10410, ASTMX10411
OG0000662	BRALA23622	ASTMX17885
OG0000662	BRALA06276	ASTMX16404, ASTMX12633, ASTMX19890, ASTMX07727
OG0000664	BRALA17169	ASTMX04014, ASTMX05721, ASTMX16074, ASTMX00707
OG0000665	BRALA23202	ASTMX00639, ASTMX14293, ASTMX19003, ASTMX12074, ASTMX09156, ASTMX14734, ASTMX03383
OG0000666	BRALA33241, BRALA33926	ASTMX08317, ASTMX16636, ASTMX13230, ASTMX04456, ASTMX04455, ASTMX12814, ASTMX08397
OG0000666	BRALA28214	ASTMX19047
OG0000667	BRALA01967, BRALA00909	ASTMX20350, ASTMX23022, ASTMX21283
OG0000667	BRALA35784, BRALA16950, BRALA32772, BRALA32773, BRALA32771	ASTMX23017
OG0000670	BRALA11703	ASTMX20785, ASTMX03449, ASTMX08812, ASTMX09574, ASTMX02280, ASTMX21360, ASTMX21701, ASTMX18201
OG0000671	BRALA07010, BRALA11273	ASTMX06408, ASTMX19050, ASTMX20927, ASTMX00924, ASTMX01022, ASTMX16162, ASTMX15147
OG0000672	BRALA06149	ASTMX06515, ASTMX05666
OG0000672	BRALA24117	ASTMX04882
OG0000674	BRALA23211	ASTMX09072, ASTMX11026
OG0000674	BRALA25389	ASTMX07263, ASTMX16632, ASTMX09005
OG0000675	BRALA15687, BRALA11516	ASTMX11306
OG0000676	BRALA13759	ASTMX00864, ASTMX18277
OG0000676	BRALA25556	ASTMX08754, ASTMX04107, ASTMX12053, ASTMX05384, ASTMX03141
OG0000680	BRALA12807, BRALA12803, BRALA12804, BRALA26957, BRALA11805, BRALA18023, BRALA18021, BRALA18014, BRALA18033, BRALA18022, BRALA01752	ASTMX04094, ASTMX17912, ASTMX07260
OG0000680	BRALA01527, BRALA18950	ASTMX09412
OG0000681	BRALA08295	ASTMX16270, ASTMX14874, ASTMX04528, ASTMX09518
OG0000681	BRALA33161	ASTMX09258, ASTMX00394
OG0000682	BRALA25456, BRALA25454, BRALA35283, BRALA25455, BRALA21676, BRALA30874	ASTMX11995, ASTMX12288, ASTMX10499, ASTMX07767
OG0000683	BRALA33661	ASTMX00004, ASTMX04192
OG0000683	BRALA00898	ASTMX02366, ASTMX20098, ASTMX14160
OG0000684	BRALA33966, BRALA35184, BRALA35989, BRALA33798	ASTMX02086, ASTMX02670, ASTMX17835, ASTMX13854
OG0000685	BRALA13886	ASTMX19743, ASTMX06302, ASTMX05561, ASTMX15879, ASTMX18992
OG0000686	BRALA19251, BRALA01995, BRALA01996, BRALA03393, BRALA12592, BRALA01972, BRALA01971, BRALA01994, BRALA01970, BRALA00770, BRALA00717, BRALA00718, BRALA00709, BRALA23849, BRALA28028, BRALA12673, BRALA11761, BRALA05022, BRALA20295, BRALA00710, BRALA09519, BRALA00719, BRALA22854, BRALA32164, BRALA00716, BRALA26777, BRALA07135, BRALA31304, BRALA04864, BRALA12674	ASTMX05101, ASTMX19072
OG0000690	BRALA29358	ASTMX02690
OG0000690	BRALA05018	ASTMX17891, ASTMX22294
OG0000691	BRALA03301	ASTMX15518
OG0000691	BRALA09683	ASTMX17535, ASTMX19545, ASTMX15604, ASTMX00917, ASTMX18521
OG0000692	BRALA01186	ASTMX05795
OG0000693	BRALA18789	ASTMX01005, ASTMX05252, ASTMX09341, ASTMX22319, ASTMX13726, ASTMX10635
OG0000693	BRALA02763	ASTMX11362
OG0000694	BRALA10162	ASTMX03278, ASTMX14068, ASTMX09753, ASTMX09044
OG0000695	BRALA21788, BRALA13971, BRALA00498, BRALA12446	ASTMX16491, ASTMX20005, ASTMX13926, ASTMX15636, ASTMX04364, ASTMX03944, ASTMX02716, ASTMX01311, ASTMX08058
OG0000696	BRALA16043	ASTMX10247
OG0000697	BRALA30467	ASTMX20673, ASTMX15925, ASTMX22108, ASTMX19355, ASTMX01748, ASTMX13942, ASTMX09469
OG0000698	BRALA26139	ASTMX11812, ASTMX12891, ASTMX01360, ASTMX12890, ASTMX09372
OG0000699	BRALA12181	ASTMX16931, ASTMX12166
OG0000700	BRALA08858	ASTMX10307, ASTMX02187
OG0000701	BRALA21677	ASTMX20666, ASTMX10954, ASTMX11996, ASTMX15941
OG0000702	BRALA28498	ASTMX18168, ASTMX02447, ASTMX15168, ASTMX00641, ASTMX14288
OG0000703	BRALA03871	ASTMX02735, ASTMX03772, ASTMX19327
OG0000706	BRALA20496	ASTMX06417, ASTMX00708
OG0000708	BRALA05296	ASTMX20485, ASTMX07401
OG0000708	BRALA10976	ASTMX01986, ASTMX04018
OG0000709	BRALA10837	ASTMX03927, ASTMX01587, ASTMX01677, ASTMX01678, ASTMX12944
OG0000710	BRALA16518	ASTMX11525, ASTMX00218
OG0000711	BRALA20784	ASTMX10859
OG0000711	BRALA02434	ASTMX02221, ASTMX06274
OG0000711	BRALA02091	ASTMX00349, ASTMX10858
OG0000712	BRALA19423	ASTMX22569, ASTMX03963, ASTMX04673, ASTMX01123, ASTMX10729, ASTMX02260, ASTMX21387, ASTMX03749
OG0000713	BRALA06138, BRALA11673, BRALA17981, BRALA30637, BRALA04689, BRALA04690	ASTMX05607, ASTMX20151, ASTMX06165, ASTMX06166
OG0000715	BRALA17045	ASTMX14672, ASTMX18871, ASTMX22799, ASTMX19603, ASTMX07512, ASTMX20053, ASTMX05364
OG0000716	BRALA35786, BRALA32595, BRALA32592	ASTMX07959, ASTMX03833, ASTMX05778
OG0000717	BRALA10082	ASTMX00510
OG0000718	BRALA29518	ASTMX00156, ASTMX21497, ASTMX08739, ASTMX06759, ASTMX18042, ASTMX01851
OG0000720	BRALA08022	ASTMX08205, ASTMX06231
OG0000721	BRALA14964	ASTMX09355, ASTMX10626
OG0000722	BRALA24668, BRALA24667	ASTMX11006, ASTMX22801, ASTMX12541, ASTMX04707, ASTMX03237, ASTMX11068, ASTMX03598, ASTMX02154, ASTMX08313
OG0000723	BRALA24351, BRALA08031, BRALA10480, BRALA03115	ASTMX06370, ASTMX00757, ASTMX03618
OG0000725	BRALA28873	ASTMX17945, ASTMX15661, ASTMX11197
OG0000725	BRALA35334	ASTMX12603, ASTMX18944
OG0000726	BRALA09055	ASTMX13772, ASTMX13000, ASTMX04188, ASTMX09401
OG0000730	BRALA23680	ASTMX20397, ASTMX07875, ASTMX13260
OG0000730	BRALA23679	ASTMX18548, ASTMX02642, ASTMX01674, ASTMX00160, ASTMX01043
OG0000732	BRALA05974	ASTMX04110, ASTMX08757, ASTMX08756
OG0000732	BRALA01121	ASTMX19433, ASTMX11592, ASTMX05482
OG0000733	BRALA13293	ASTMX13523, ASTMX10818, ASTMX05629, ASTMX01287
OG0000733	BRALA13301	ASTMX12275, ASTMX15113, ASTMX04231
OG0000734	BRALA10056	ASTMX19512, ASTMX21022, ASTMX19965, ASTMX01932, ASTMX22860
OG0000735	BRALA12877	ASTMX18670, ASTMX15914, ASTMX01829, ASTMX03219
OG0000736	BRALA00292	ASTMX19171
OG0000736	BRALA00409	ASTMX16058
OG0000738	BRALA08653	ASTMX10645
OG0000738	BRALA24442, BRALA24444, BRALA24440, BRALA24441, BRALA24445	ASTMX09714, ASTMX09715
OG0000740	BRALA07389	ASTMX14537, ASTMX06828, ASTMX20426, ASTMX10405
OG0000740	BRALA17954	ASTMX12672, ASTMX03661
OG0000743	BRALA06285	ASTMX20693, ASTMX11433, ASTMX04870
OG0000743	BRALA06284	ASTMX03638, ASTMX04869, ASTMX21402
OG0000744	BRALA03822, BRALA06789, BRALA03324	ASTMX08430, ASTMX13118, ASTMX02655, ASTMX15516
OG0000745	BRALA06045	ASTMX10595
OG0000746	BRALA22561, BRALA22254, BRALA18386	ASTMX14203, ASTMX19139
OG0000748	BRALA10606	ASTMX16043
OG0000749	BRALA28914	ASTMX16104, ASTMX05800, ASTMX02758
OG0000750	BRALA08581, BRALA21234	ASTMX15609
OG0000751	BRALA07411	ASTMX20516, ASTMX04152, ASTMX15696
OG0000751	BRALA07933	ASTMX19712, ASTMX07901
OG0000752	BRALA11552	ASTMX12098
OG0000752	BRALA05171	ASTMX06480, ASTMX04128
OG0000753	BRALA27046	ASTMX22178, ASTMX21967
OG0000753	BRALA21594	ASTMX20031, ASTMX02344, ASTMX11178
OG0000755	BRALA12515	ASTMX12763, ASTMX09944, ASTMX09713, ASTMX10144
OG0000756	BRALA05619, BRALA10089, BRALA00887, BRALA14420, BRALA14421, BRALA05618, BRALA08548	ASTMX17607
OG0000757	BRALA34310	ASTMX17086
OG0000757	BRALA14460	ASTMX05445
OG0000758	BRALA13715	ASTMX19547, ASTMX16359, ASTMX11953, ASTMX19955, ASTMX17536, ASTMX07595
OG0000759	BRALA30577	ASTMX18116, ASTMX06445, ASTMX15465, ASTMX13612, ASTMX13613
OG0000760	BRALA20315	ASTMX16638, ASTMX08318, ASTMX02096, ASTMX16846, ASTMX02097
OG0000761	BRALA23656	ASTMX04074, ASTMX18480, ASTMX02391
OG0000762	BRALA04595, BRALA07093	ASTMX05730, ASTMX00651
OG0000763	BRALA13502	ASTMX14556, ASTMX10316, ASTMX02051
OG0000764	BRALA20638	ASTMX06499, ASTMX03308
OG0000765	BRALA25961	ASTMX18648, ASTMX05048
OG0000766	BRALA15635	ASTMX11015, ASTMX06840, ASTMX04918, ASTMX08201
OG0000767	BRALA12056, BRALA12057	ASTMX03288, ASTMX02324, ASTMX18659, ASTMX03804
OG0000768	BRALA25731	ASTMX07141, ASTMX00777, ASTMX22777, ASTMX20032
