Orthogroup	BRALA	CAEEL
OG0001136	BRALA18520	CAEEL02001
OG0001137	BRALA13309	CAEEL04790
OG0001138	BRALA00020, BRALA11821	CAEEL07800, CAEEL07799
OG0001139	BRALA06120	CAEEL06928, CAEEL15457
OG0001139	BRALA34348	CAEEL07849
OG0001140	BRALA16639	CAEEL14389
OG0001141	BRALA09514	CAEEL01107, CAEEL01106
OG0001142	BRALA14735	CAEEL12657
OG0001143	BRALA04133	CAEEL01013
OG0001148	BRALA32277, BRALA19677, BRALA32275, BRALA34454, BRALA32276, BRALA12465, BRALA12466	CAEEL13935, CAEEL13934, CAEEL01993
OG0001155	BRALA32774	CAEEL13066, CAEEL13586, CAEEL04642, CAEEL13526, CAEEL10113, CAEEL05596, CAEEL04102, CAEEL10015, CAEEL12717, CAEEL10146
OG0001156	BRALA24884	CAEEL20728
OG0001158	BRALA32010, BRALA34638	CAEEL00147
OG0001159	BRALA12859, BRALA12862	CAEEL07987, CAEEL18966
OG0001160	BRALA07607, BRALA18147, BRALA18618, BRALA19127, BRALA07606	CAEEL16381, CAEEL20121
OG0001162	BRALA29065	CAEEL18096
OG0001163	BRALA18082, BRALA03606, BRALA12377, BRALA20672, BRALA12378	CAEEL11823, CAEEL14454, CAEEL17374
OG0001164	BRALA14948	CAEEL07306
OG0001165	BRALA14768	CAEEL19696
OG0001167	BRALA30313	CAEEL04546
OG0001168	BRALA29323, BRALA27661, BRALA20565	CAEEL02000
OG0001171	BRALA30065	CAEEL20677
OG0001172	BRALA06911	CAEEL13596
OG0001172	BRALA04692	CAEEL01942
OG0001173	BRALA04333	CAEEL15708
OG0001173	BRALA34444	CAEEL14248
OG0001175	BRALA00132, BRALA00133, BRALA17481	CAEEL15152, CAEEL14463, CAEEL15032, CAEEL15031, CAEEL06075, CAEEL10718
OG0001176	BRALA04002	CAEEL11466
OG0001177	BRALA12880	CAEEL08262, CAEEL18706
OG0001178	BRALA05138	CAEEL05306
OG0001179	BRALA03116, BRALA20573	CAEEL07894, CAEEL04651, CAEEL04194, CAEEL05939
OG0001180	BRALA14580, BRALA22836	CAEEL13860, CAEEL19829, CAEEL12500, CAEEL16391
OG0001180	BRALA14556, BRALA34405	CAEEL00751
OG0001181	BRALA18132	CAEEL08327
OG0001184	BRALA10129	CAEEL20576
OG0001184	BRALA21684	CAEEL19676
OG0001186	BRALA19974	CAEEL00480
OG0001186	BRALA16139	CAEEL09703
OG0001188	BRALA31774, BRALA10757	CAEEL14362
OG0001189	BRALA16685	CAEEL01928
OG0001191	BRALA27930	CAEEL09751, CAEEL20476, CAEEL09505
OG0001197	BRALA24133	CAEEL11613
OG0001201	BRALA03561, BRALA28095	CAEEL02666
OG0001203	BRALA13355	CAEEL12408
OG0001204	BRALA24154, BRALA24153	CAEEL09132
OG0001205	BRALA15935	CAEEL06787
OG0001208	BRALA01086	CAEEL10574
OG0001209	BRALA26756	CAEEL00442
OG0001210	BRALA17839	CAEEL06396
OG0001210	BRALA15850	CAEEL06380
OG0001211	BRALA26659	CAEEL08708
OG0001213	BRALA28371	CAEEL01138, CAEEL01163, CAEEL01148, CAEEL04429, CAEEL04430
OG0001214	BRALA28235	CAEEL08401
OG0001215	BRALA00597	CAEEL11249
OG0001216	BRALA05650	CAEEL04644
OG0001217	BRALA28081	CAEEL08746
OG0001219	BRALA10294	CAEEL20379
OG0001220	BRALA31139, BRALA34263	CAEEL07890
OG0001221	BRALA22011	CAEEL13124
OG0001223	BRALA03165	CAEEL02795
OG0001224	BRALA26622	CAEEL07196
OG0001225	BRALA04168	CAEEL02873
OG0001226	BRALA29243	CAEEL02848, CAEEL02849
OG0001230	BRALA09760	CAEEL03172, CAEEL20318, CAEEL12987, CAEEL17236, CAEEL15243, CAEEL01949
OG0001231	BRALA31220	CAEEL15401
OG0001233	BRALA20387	CAEEL03755, CAEEL04189
OG0001234	BRALA12494	CAEEL00806
OG0001236	BRALA27296, BRALA03699	CAEEL18476, CAEEL18477, CAEEL05637, CAEEL05588
OG0001238	BRALA16537, BRALA10747	CAEEL05166, CAEEL11182
OG0001241	BRALA15125	CAEEL01749
OG0001241	BRALA14260	CAEEL19375
OG0001243	BRALA07764	CAEEL01806
OG0001244	BRALA14601, BRALA11415, BRALA16821, BRALA15289, BRALA18332	CAEEL12407
OG0001247	BRALA17334	CAEEL10570
OG0001248	BRALA00477	CAEEL08830
OG0001249	BRALA00961	CAEEL06406
OG0001250	BRALA25027	CAEEL18712
OG0001251	BRALA03569	CAEEL01802
OG0001252	BRALA05331	CAEEL05030
OG0001253	BRALA09366	CAEEL10888, CAEEL10887
OG0001256	BRALA27869	CAEEL01426, CAEEL01244, CAEEL01245, CAEEL09738, CAEEL10917, CAEEL07997
OG0001261	BRALA16992, BRALA16993, BRALA34932	CAEEL07850
OG0001262	BRALA35145, BRALA34134	CAEEL15249, CAEEL20627
OG0001266	BRALA18491, BRALA13354	CAEEL20839, CAEEL20838
OG0001267	BRALA24251	CAEEL14111
OG0001268	BRALA01606, BRALA34950, BRALA34874	CAEEL11342
OG0001270	BRALA25030, BRALA18973, BRALA13955	CAEEL01959
OG0001271	BRALA17017	CAEEL08717, CAEEL00634
OG0001274	BRALA10091	CAEEL20835, CAEEL00917, CAEEL15316, CAEEL07981
OG0001278	BRALA04581, BRALA14775	CAEEL20013
OG0001279	BRALA24710	CAEEL15321, CAEEL15322, CAEEL20353
OG0001280	BRALA09515	CAEEL00726
OG0001281	BRALA30159	CAEEL05459
OG0001282	BRALA02372	CAEEL04296
OG0001284	BRALA14486	CAEEL08223
OG0001284	BRALA09529	CAEEL01272
OG0001285	BRALA34036, BRALA33761, BRALA33984, BRALA34161, BRALA34142	CAEEL06501
OG0001286	BRALA27842	CAEEL20246
OG0001287	BRALA08199	CAEEL16475
OG0001288	BRALA01436, BRALA01437, BRALA20905, BRALA01391	CAEEL18355
OG0001289	BRALA17557	CAEEL10515
OG0001290	BRALA17572	CAEEL12279
OG0001291	BRALA17947, BRALA32920	CAEEL11483
OG0001292	BRALA14445	CAEEL07942
OG0001293	BRALA33561, BRALA26881	CAEEL07048
OG0001294	BRALA29575	CAEEL15893
OG0001296	BRALA22582	CAEEL00003, CAEEL14758
OG0001300	BRALA05943, BRALA27824	CAEEL09562
OG0001302	BRALA01346	CAEEL01736
OG0001302	BRALA17951	CAEEL12633
OG0001304	BRALA22379	CAEEL00728
OG0001305	BRALA10194, BRALA10193	CAEEL19700
OG0001306	BRALA05038	CAEEL05042
OG0001306	BRALA19534	CAEEL06741
OG0001310	BRALA22585	CAEEL16286
OG0001311	BRALA14115	CAEEL07271, CAEEL18160
OG0001315	BRALA13047	CAEEL20540
OG0001318	BRALA08906	CAEEL06153
OG0001318	BRALA01956	CAEEL02686
OG0001319	BRALA24213	CAEEL15967
OG0001320	BRALA11528	CAEEL02958
OG0001320	BRALA25109	CAEEL05842, CAEEL10256, CAEEL08614, CAEEL15241, CAEEL08907
OG0001323	BRALA31053	CAEEL15888
OG0001325	BRALA04015	CAEEL12980
OG0001326	BRALA24571, BRALA24570	CAEEL18463, CAEEL12672, CAEEL19447
OG0001327	BRALA19771	CAEEL12070
OG0001329	BRALA32195, BRALA12680	CAEEL03625, CAEEL07934
OG0001330	BRALA23942	CAEEL07772
OG0001333	BRALA25392	CAEEL08384, CAEEL10397, CAEEL14152, CAEEL14148, CAEEL14153
OG0001335	BRALA21645	CAEEL01950
OG0001337	BRALA01268	CAEEL08858
OG0001339	BRALA35366, BRALA34173, BRALA33697	CAEEL01555
OG0001341	BRALA12816	CAEEL12273
OG0001344	BRALA03869	CAEEL12166
OG0001348	BRALA16187	CAEEL20290
OG0001350	BRALA27720	CAEEL06068
OG0001351	BRALA24199	CAEEL20071, CAEEL20072
OG0001353	BRALA23222, BRALA23221	CAEEL07231
OG0001354	BRALA17798	CAEEL18385
OG0001355	BRALA32786	CAEEL19633
OG0001356	BRALA19061	CAEEL10619
OG0001357	BRALA15175	CAEEL15128
OG0001360	BRALA24912	CAEEL17002, CAEEL19681, CAEEL19680
OG0001363	BRALA22242, BRALA22243	CAEEL12526, CAEEL18947, CAEEL08666, CAEEL12684, CAEEL11272
OG0001364	BRALA08614	CAEEL16269
OG0001366	BRALA16997	CAEEL07140
OG0001367	BRALA15242	CAEEL16176
OG0001368	BRALA10834	CAEEL15247
OG0001369	BRALA10956	CAEEL05836
OG0001370	BRALA16806	CAEEL19838
OG0001370	BRALA14045	CAEEL11201
OG0001372	BRALA00784	CAEEL04824, CAEEL16917
OG0001372	BRALA19110	CAEEL01785
OG0001373	BRALA10384	CAEEL18831
OG0001374	BRALA26737	CAEEL02048
OG0001375	BRALA15116	CAEEL01718
OG0001376	BRALA20906	CAEEL18806
OG0001378	BRALA16333	CAEEL01898
OG0001379	BRALA23817	CAEEL20800, CAEEL08440
OG0001380	BRALA19207, BRALA19208	CAEEL07027
OG0001381	BRALA09523	CAEEL01510
OG0001387	BRALA12192	CAEEL01449, CAEEL05040, CAEEL06498
OG0001389	BRALA22941	CAEEL06582
OG0001394	BRALA31862	CAEEL16146
OG0001395	BRALA15754	CAEEL01604
OG0001397	BRALA25855	CAEEL05815, CAEEL05422, CAEEL16780, CAEEL05924, CAEEL19916
OG0001397	BRALA09927	CAEEL19290
OG0001398	BRALA10918, BRALA10792	CAEEL14339
OG0001399	BRALA06146, BRALA22380	CAEEL00972
OG0001402	BRALA26708	CAEEL04844, CAEEL04850
OG0001404	BRALA06453	CAEEL15778
OG0001405	BRALA22383	CAEEL00987
OG0001405	BRALA05583	CAEEL02297
OG0001408	BRALA20622	CAEEL19513
OG0001409	BRALA33418, BRALA30797	CAEEL02567
OG0001410	BRALA31201	CAEEL16277
OG0001411	BRALA11764	CAEEL07405
OG0001412	BRALA00239	CAEEL09044
OG0001413	BRALA29483	CAEEL08368
OG0001413	BRALA13507	CAEEL04716
OG0001414	BRALA32132, BRALA13859	CAEEL13823
OG0001418	BRALA01078	CAEEL11722
OG0001421	BRALA21204	CAEEL14241
OG0001422	BRALA00576	CAEEL06778
OG0001423	BRALA27549	CAEEL18493
OG0001424	BRALA07796	CAEEL12121
OG0001424	BRALA01936	CAEEL10850
OG0001425	BRALA01395, BRALA23464	CAEEL12269, CAEEL12270, CAEEL12268, CAEEL12271
OG0001426	BRALA05645	CAEEL06005, CAEEL06004
OG0001428	BRALA05407	CAEEL05279
OG0001429	BRALA31269	CAEEL04279
OG0001430	BRALA24398	CAEEL14236
OG0001431	BRALA18565	CAEEL01932, CAEEL07478
OG0001432	BRALA34894, BRALA35861	CAEEL18746
OG0001433	BRALA16638	CAEEL01226
OG0001436	BRALA04579	CAEEL01644, CAEEL01645
OG0001437	BRALA17173, BRALA21217	CAEEL01346, CAEEL01345
OG0001439	BRALA18888	CAEEL14010
OG0001439	BRALA11220	CAEEL19443
OG0001440	BRALA04659	CAEEL02919
OG0001445	BRALA11531	CAEEL10043, CAEEL10044
OG0001447	BRALA06941, BRALA06898	CAEEL00798, CAEEL00797
OG0001449	BRALA16673	CAEEL05216
OG0001450	BRALA05939, BRALA18042	CAEEL12602
OG0001452	BRALA16822	CAEEL02837
OG0001454	BRALA22945	CAEEL07513
OG0001455	BRALA05122	CAEEL04493
OG0001459	BRALA19924	CAEEL20135, CAEEL17975
OG0001460	BRALA14211, BRALA14210	CAEEL11040, CAEEL11027
OG0001461	BRALA27194, BRALA06116, BRALA30847	CAEEL09368
OG0001462	BRALA13313	CAEEL03309
OG0001464	BRALA06889	CAEEL07180
OG0001465	BRALA08552	CAEEL06490
OG0001466	BRALA02000, BRALA06618	CAEEL00165
OG0001467	BRALA11204, BRALA15279	CAEEL08160, CAEEL08126
OG0001468	BRALA04572	CAEEL01968, CAEEL01966, CAEEL01967
OG0001469	BRALA25074	CAEEL06147
OG0001469	BRALA11811	CAEEL06502
OG0001472	BRALA14063	CAEEL07491
OG0001472	BRALA22363	CAEEL02663
OG0001473	BRALA03292, BRALA33985	CAEEL15728, CAEEL16017
OG0001474	BRALA10385	CAEEL07328
OG0001475	BRALA05604	CAEEL05298
OG0001476	BRALA24804	CAEEL00667
OG0001478	BRALA15252, BRALA21973	CAEEL11433
OG0001479	BRALA03008	CAEEL19246, CAEEL09400, CAEEL19245
OG0001480	BRALA11374	CAEEL01047
OG0001482	BRALA29699	CAEEL08859
OG0001484	BRALA22671	CAEEL01076, CAEEL01075
OG0001486	BRALA08931	CAEEL06199
OG0001489	BRALA05316	CAEEL05101
OG0001490	BRALA26116	CAEEL16486
OG0001492	BRALA14954	CAEEL08792
OG0001493	BRALA03715	CAEEL11731
OG0001500	BRALA11705	CAEEL11009
OG0001502	BRALA06309	CAEEL06434, CAEEL06435
OG0001503	BRALA13476	CAEEL04111
OG0001503	BRALA11114	CAEEL08520
OG0001504	BRALA03543, BRALA27268, BRALA26326, BRALA17671, BRALA28116, BRALA35187	CAEEL05392
OG0001505	BRALA04433, BRALA27762, BRALA26671, BRALA17368	CAEEL05185, CAEEL08607
OG0001506	BRALA05725	CAEEL04371
OG0001507	BRALA31056	CAEEL02101
OG0001508	BRALA28941	CAEEL19670
OG0001510	BRALA34652, BRALA01122	CAEEL19165
OG0001512	BRALA04162	CAEEL01283
OG0001513	BRALA10671	CAEEL08114
OG0001515	BRALA14332	CAEEL07033
OG0001516	BRALA05014	CAEEL05831
OG0001517	BRALA15345, BRALA01055, BRALA01054	CAEEL20700
OG0001522	BRALA29452, BRALA29451, BRALA01706, BRALA15136	CAEEL01881
OG0001523	BRALA25534	CAEEL20306
OG0001524	BRALA27325	CAEEL18987, CAEEL00715
OG0001525	BRALA14939	CAEEL08599, CAEEL13978, CAEEL13977, CAEEL14698, CAEEL08600
OG0001526	BRALA10086	CAEEL19873
OG0001527	BRALA23937	CAEEL08026
OG0001527	BRALA19992	CAEEL02029
OG0001528	BRALA26789	CAEEL20795
OG0001529	BRALA15428	CAEEL01822, CAEEL20748, CAEEL06896
OG0001530	BRALA33210	CAEEL11993
OG0001531	BRALA21412	CAEEL08503
OG0001532	BRALA15767	CAEEL04337, CAEEL04338, CAEEL04294, CAEEL05090
OG0001533	BRALA11358, BRALA21080, BRALA17503, BRALA03658	CAEEL01048, CAEEL19033, CAEEL11552
OG0001536	BRALA06104, BRALA20689, BRALA13363	CAEEL11259, CAEEL20066, CAEEL20058
OG0001538	BRALA30154, BRALA10212, BRALA19183	CAEEL15530
OG0001538	BRALA04991, BRALA10213, BRALA10214, BRALA19182, BRALA29463	CAEEL14286
OG0001546	BRALA35704	CAEEL14468
OG0001549	BRALA09715	CAEEL18956
OG0001550	BRALA00672, BRALA22087	CAEEL12391, CAEEL06493
OG0001551	BRALA31004	CAEEL13359
OG0001552	BRALA12708	CAEEL09513
OG0001553	BRALA03739	CAEEL10745
OG0001554	BRALA35460, BRALA27979	CAEEL00812
OG0001555	BRALA29965	CAEEL17420, CAEEL04181
OG0001557	BRALA07630	CAEEL09005
OG0001557	BRALA18983	CAEEL09508
OG0001558	BRALA21818	CAEEL05103, CAEEL08374
OG0001559	BRALA30365	CAEEL16062
OG0001560	BRALA27054	CAEEL01011
OG0001561	BRALA27873, BRALA35814, BRALA27872	CAEEL11007
OG0001562	BRALA08590	CAEEL04167
OG0001565	BRALA18811	CAEEL18401
OG0001567	BRALA05651	CAEEL04524
OG0001568	BRALA13964	CAEEL15339
OG0001569	BRALA14283, BRALA14287, BRALA06617, BRALA01274, BRALA06766, BRALA06767, BRALA06768, BRALA03911, BRALA06770, BRALA06769	CAEEL19014, CAEEL18168
OG0001570	BRALA00935	CAEEL11034
OG0001571	BRALA16523	CAEEL18118
OG0001572	BRALA16186	CAEEL00311
OG0001575	BRALA12711	CAEEL09642
OG0001576	BRALA09477	CAEEL00120
OG0001578	BRALA11454	CAEEL10814, CAEEL18928
OG0001580	BRALA20586	CAEEL02579
OG0001581	BRALA25126, BRALA24401, BRALA23458, BRALA23457, BRALA23456	CAEEL09430, CAEEL13347, CAEEL16915
OG0001583	BRALA27471	CAEEL19802
OG0001589	BRALA16725	CAEEL18417
OG0001590	BRALA12314, BRALA01640, BRALA01639, BRALA01637	CAEEL15262, CAEEL15263
OG0001593	BRALA07984	CAEEL02963, CAEEL13946
OG0001594	BRALA08965, BRALA24791	CAEEL08545
OG0001596	BRALA09229	CAEEL10536
OG0001597	BRALA14157	CAEEL10283
OG0001599	BRALA13133	CAEEL20479
OG0001602	BRALA13844	CAEEL18101
OG0001604	BRALA34521, BRALA35748, BRALA35294	CAEEL04879
OG0001605	BRALA16476, BRALA16475	CAEEL09382
OG0001606	BRALA04341	CAEEL14239
OG0001606	BRALA25595	CAEEL15795
OG0001609	BRALA06092	CAEEL19774
OG0001609	BRALA12725	CAEEL10790
OG0001610	BRALA09621	CAEEL02035, CAEEL20252
OG0001611	BRALA15161	CAEEL15699
OG0001612	BRALA19006	CAEEL02577
OG0001614	BRALA18528	CAEEL01012
OG0001615	BRALA01957	CAEEL04670
OG0001621	BRALA34714, BRALA35774	CAEEL08615
OG0001627	BRALA29988, BRALA29989	CAEEL00684
OG0001628	BRALA13390, BRALA19573	CAEEL00193
OG0001629	BRALA32222	CAEEL19941
OG0001630	BRALA29673	CAEEL05563
OG0001632	BRALA09279	CAEEL16035
OG0001635	BRALA33508, BRALA35025	CAEEL08024
OG0001638	BRALA28932	CAEEL09133, CAEEL15796, CAEEL12088, CAEEL20172
OG0001640	BRALA20358, BRALA28121	CAEEL10788
OG0001641	BRALA30662, BRALA13229	CAEEL00743
OG0001642	BRALA26951	CAEEL15818
OG0001643	BRALA23075	CAEEL19599
OG0001651	BRALA04011	CAEEL10611
OG0001652	BRALA23461	CAEEL15806
OG0001653	BRALA27721, BRALA33197, BRALA27722	CAEEL03026
OG0001655	BRALA11878, BRALA33466	CAEEL05314
OG0001656	BRALA04651	CAEEL07456
OG0001657	BRALA34847, BRALA35457, BRALA34242	CAEEL08928, CAEEL08927
OG0001659	BRALA25428	CAEEL00855
OG0001661	BRALA27100	CAEEL14147
OG0001663	BRALA35192, BRALA31880, BRALA33567	CAEEL10899, CAEEL10898
OG0001664	BRALA01214	CAEEL04260
OG0001665	BRALA06391, BRALA16749	CAEEL07716
OG0001666	BRALA00367	CAEEL07781
OG0001668	BRALA22974	CAEEL00277
OG0001671	BRALA17308, BRALA17315	CAEEL19781
OG0001672	BRALA00365	CAEEL08375
OG0001673	BRALA23470, BRALA33336	CAEEL17134, CAEEL17133
OG0001675	BRALA16675	CAEEL00808
OG0001676	BRALA08008, BRALA08006	CAEEL01617
OG0001677	BRALA31138	CAEEL07860
OG0001679	BRALA23834	CAEEL18912
OG0001680	BRALA32159	CAEEL15664
OG0001683	BRALA24816	CAEEL00875
OG0001684	BRALA02822, BRALA03672	CAEEL08513, CAEEL19560
OG0001688	BRALA11794	CAEEL06653
OG0001689	BRALA33887	CAEEL08769
OG0001690	BRALA02846	CAEEL02923
OG0001691	BRALA07231	CAEEL09136, CAEEL09137
OG0001706	BRALA22821	CAEEL00824
OG0001707	BRALA12974, BRALA12971, BRALA12976	CAEEL18144, CAEEL17802
OG0001709	BRALA05359, BRALA11774	CAEEL07646, CAEEL07650
OG0001710	BRALA10938	CAEEL11053
OG0001711	BRALA31838, BRALA21578	CAEEL15052
OG0001713	BRALA05685	CAEEL04261
OG0001713	BRALA13740	CAEEL02704
OG0001714	BRALA13029	CAEEL12772
OG0001714	BRALA23437	CAEEL15825
OG0001718	BRALA10817, BRALA10903	CAEEL12769
OG0001720	BRALA27104	CAEEL07819
OG0001721	BRALA19032	CAEEL10104, CAEEL11043
OG0001724	BRALA32012, BRALA34008	CAEEL00188, CAEEL09412
OG0001726	BRALA10761	CAEEL15546
OG0001727	BRALA11932	CAEEL15354
OG0001732	BRALA24214	CAEEL05337
OG0001733	BRALA35601, BRALA34693, BRALA27459, BRALA27461, BRALA27460	CAEEL11586
OG0001734	BRALA15547, BRALA16158	CAEEL11289
OG0001735	BRALA07452	CAEEL08598
OG0001736	BRALA19982	CAEEL20331
OG0001738	BRALA23388	CAEEL09745, CAEEL09746
OG0001739	BRALA22905	CAEEL10953
OG0001743	BRALA27397, BRALA34917, BRALA27398	CAEEL18830
OG0001744	BRALA09906, BRALA09907	CAEEL18540
OG0001745	BRALA16660, BRALA16661	CAEEL15294
OG0001746	BRALA01974	CAEEL09374
OG0001747	BRALA21850, BRALA18554, BRALA18056, BRALA18055	CAEEL13414, CAEEL14611, CAEEL15557
OG0001748	BRALA17956	CAEEL12231, CAEEL12232
OG0001749	BRALA08133	CAEEL07118
OG0001750	BRALA21004	CAEEL08294
OG0001752	BRALA27069	CAEEL02282
OG0001754	BRALA33871, BRALA34601	CAEEL06405
OG0001755	BRALA30977	CAEEL12716
OG0001755	BRALA10335	CAEEL16403
OG0001756	BRALA32677, BRALA33790, BRALA03693, BRALA34986	CAEEL02757
OG0001758	BRALA20386	CAEEL12018, CAEEL10328, CAEEL02808, CAEEL03701, CAEEL00164
OG0001769	BRALA06836	CAEEL12367
OG0001770	BRALA33462, BRALA22471	CAEEL12180
OG0001774	BRALA11491	CAEEL20358
OG0001774	BRALA20453	CAEEL07377, CAEEL01266
OG0001775	BRALA21646	CAEEL01757
OG0001776	BRALA09910, BRALA25529, BRALA09923, BRALA31402	CAEEL20827
OG0001777	BRALA33083, BRALA22762	CAEEL07037
OG0001779	BRALA15084	CAEEL00025, CAEEL00024
OG0001780	BRALA15214	CAEEL12979
OG0001781	BRALA02795	CAEEL06468
OG0001782	BRALA35797, BRALA35480, BRALA35381	CAEEL11605
OG0001783	BRALA23810, BRALA23809, BRALA23807	CAEEL18807
OG0001785	BRALA02411	CAEEL10450, CAEEL07502
OG0001785	BRALA02410	CAEEL07424
OG0001786	BRALA20166	CAEEL15765
OG0001786	BRALA27624	CAEEL18388
OG0001787	BRALA22039	CAEEL07669
OG0001790	BRALA25700	CAEEL19999
OG0001792	BRALA18508	CAEEL00159
OG0001793	BRALA00316	CAEEL07806
OG0001798	BRALA11427	CAEEL02504
OG0001799	BRALA34118, BRALA22818	CAEEL07172
OG0001800	BRALA20533	CAEEL10920, CAEEL02655, CAEEL10124
OG0001805	BRALA23850, BRALA23847, BRALA23846, BRALA23848	CAEEL10422, CAEEL19401
OG0001808	BRALA30144	CAEEL18904
OG0001809	BRALA23647	CAEEL18133
OG0001810	BRALA04842	CAEEL00534
OG0001811	BRALA00154	CAEEL12329
OG0001814	BRALA05626, BRALA08000, BRALA08002	CAEEL07743, CAEEL12567, CAEEL07744
OG0001815	BRALA20868	CAEEL15383
OG0001816	BRALA05148	CAEEL05710
OG0001818	BRALA12031, BRALA23438	CAEEL16460
OG0001819	BRALA00196	CAEEL08110
OG0001820	BRALA23960	CAEEL00161
OG0001821	BRALA10468	CAEEL18946, CAEEL11366, CAEEL11028, CAEEL00517, CAEEL17960, CAEEL19600
OG0001822	BRALA03090	CAEEL14275, CAEEL14276
OG0001823	BRALA04091, BRALA22312	CAEEL18465
OG0001824	BRALA02591, BRALA22639, BRALA22640	CAEEL20525
OG0001826	BRALA16175	CAEEL08005, CAEEL18927
OG0001827	BRALA02872	CAEEL12511
OG0001828	BRALA07406	CAEEL02658, CAEEL07411
OG0001830	BRALA26029, BRALA16627	CAEEL00742
OG0001831	BRALA25354	CAEEL10161, CAEEL19257
OG0001832	BRALA11061	CAEEL05995
OG0001834	BRALA14532	CAEEL08270
OG0001835	BRALA15076	CAEEL15709
OG0001842	BRALA26095, BRALA08852, BRALA26094, BRALA26092, BRALA26091, BRALA20499, BRALA20514, BRALA20497, BRALA20513, BRALA18791, BRALA18792, BRALA24488	CAEEL06944
OG0001846	BRALA01789	CAEEL02581, CAEEL02580
OG0001849	BRALA01071, BRALA01070	CAEEL04779
OG0001849	BRALA07421	CAEEL07132
OG0001850	BRALA03142	CAEEL04901
OG0001852	BRALA35095, BRALA18937	CAEEL10571
OG0001853	BRALA09444, BRALA17066, BRALA15525, BRALA03265, BRALA08942	CAEEL00334, CAEEL01622
OG0001854	BRALA28650	CAEEL12618
OG0001857	BRALA08335	CAEEL04635
OG0001860	BRALA24290	CAEEL19534
OG0001863	BRALA07880	CAEEL11286
OG0001864	BRALA08212	CAEEL00359
OG0001866	BRALA34934, BRALA33651	CAEEL12131
OG0001867	BRALA13098	CAEEL18932
OG0001870	BRALA09761	CAEEL18619
OG0001872	BRALA20547	CAEEL20718
OG0001873	BRALA33467, BRALA10007, BRALA33548	CAEEL14280, CAEEL14281, CAEEL15718
OG0001874	BRALA09243	CAEEL00933
OG0001875	BRALA04016	CAEEL09917
OG0001876	BRALA15947	CAEEL11614
OG0001878	BRALA22747	CAEEL07138
OG0001879	BRALA34811, BRALA34183, BRALA33781	CAEEL07021, CAEEL20524, CAEEL09154
OG0001881	BRALA19925	CAEEL18890
OG0001883	BRALA21969	CAEEL19810
OG0001884	BRALA19935	CAEEL01920, CAEEL19384, CAEEL00428, CAEEL18714, CAEEL01922
OG0001886	BRALA10021	CAEEL20566, CAEEL20351
OG0001887	BRALA19248	CAEEL05740
OG0001888	BRALA01341	CAEEL18672, CAEEL11639
OG0001889	BRALA16751	CAEEL11129, CAEEL11128
OG0001890	BRALA26409	CAEEL18655
OG0001895	BRALA19090, BRALA27263, BRALA28261	CAEEL00352, CAEEL16104
OG0001898	BRALA30385	CAEEL15099
OG0001899	BRALA30884	CAEEL14131
OG0001900	BRALA13708, BRALA22276	CAEEL16160
OG0001903	BRALA07353	CAEEL12995
OG0001905	BRALA25950	CAEEL18799
OG0001913	BRALA24497	CAEEL00139
OG0001914	BRALA02840	CAEEL15938
OG0001915	BRALA35550, BRALA35655	CAEEL10189
OG0001916	BRALA13432, BRALA13431	CAEEL14482
OG0001916	BRALA13430	CAEEL16425, CAEEL07131
OG0001917	BRALA00831	CAEEL05323, CAEEL05320, CAEEL05322, CAEEL05321
OG0001918	BRALA14482, BRALA16247	CAEEL07844
OG0001919	BRALA06853	CAEEL18092
OG0001920	BRALA05363	CAEEL03600
OG0001923	BRALA01345	CAEEL00866, CAEEL02499
OG0001926	BRALA01100	CAEEL05295
OG0001928	BRALA13253, BRALA13805	CAEEL19148
OG0001930	BRALA01543, BRALA16547	CAEEL01812
OG0001932	BRALA12072	CAEEL18548, CAEEL17132
OG0001932	BRALA12075	CAEEL20531
OG0001933	BRALA28907	CAEEL05724
OG0001934	BRALA10404	CAEEL04980, CAEEL04981
OG0001935	BRALA21169, BRALA05971, BRALA05972	CAEEL01455
OG0001939	BRALA25625	CAEEL05317
OG0001940	BRALA29696	CAEEL08846
OG0001945	BRALA27519	CAEEL05071
OG0001946	BRALA24921, BRALA24922	CAEEL11023
OG0001947	BRALA12828	CAEEL20697
OG0001948	BRALA31032	CAEEL15692
OG0001949	BRALA24727	CAEEL19721
OG0001950	BRALA26750, BRALA05287	CAEEL05818
OG0001951	BRALA10600	CAEEL08644, CAEEL02798
OG0001952	BRALA16632, BRALA28198	CAEEL00959
OG0001953	BRALA16748	CAEEL01457
OG0001954	BRALA25967, BRALA25979	CAEEL14762
OG0001958	BRALA33388, BRALA12840	CAEEL19146
OG0001961	BRALA13794	CAEEL11703
OG0001962	BRALA29361	CAEEL07745
OG0001963	BRALA14625	CAEEL09651
OG0001964	BRALA06090, BRALA06079	CAEEL18880
OG0001965	BRALA18639	CAEEL15340
OG0001966	BRALA16509, BRALA01132, BRALA05602, BRALA01095	CAEEL15352, CAEEL06723
OG0001968	BRALA02743	CAEEL10639
OG0001969	BRALA08425	CAEEL09244, CAEEL09472, CAEEL00361
OG0001971	BRALA04350	CAEEL16320, CAEEL14231, CAEEL18293, CAEEL18291, CAEEL04802, CAEEL10583
OG0001974	BRALA06213	CAEEL10261
OG0001978	BRALA12153, BRALA13623	CAEEL00552, CAEEL18757
OG0001985	BRALA31266	CAEEL08373, CAEEL02584, CAEEL02585
