Orthogroup	DANRE	BRALA
OG0000587	DANRE08842, DANRE08843, DANRE28077, DANRE38185, DANRE38186, DANRE38187, DANRE23765, DANRE02066, DANRE02067	BRALA05810
OG0000587	DANRE07770	BRALA15179
OG0000588	DANRE30123, DANRE16941, DANRE26565, DANRE19175, DANRE34600	BRALA00972
OG0000588	DANRE01195, DANRE01197, DANRE01196	BRALA24520
OG0000589	DANRE25936, DANRE38708, DANRE38709, DANRE38710, DANRE25938, DANRE25939, DANRE25937, DANRE12338, DANRE31600, DANRE31601, DANRE22454, DANRE37009, DANRE37011, DANRE37012, DANRE37010, DANRE30890, DANRE30889, DANRE25662, DANRE25663, DANRE25664, DANRE25665	BRALA33101, BRALA29679
OG0000590	DANRE42192, DANRE42191, DANRE42190, DANRE29030, DANRE10504, DANRE10503, DANRE14379, DANRE29029	BRALA07082
OG0000590	DANRE28274, DANRE36861	BRALA16075, BRALA31942
OG0000591	DANRE29995, DANRE15432	BRALA25344
OG0000591	DANRE12240, DANRE12241, DANRE12242	BRALA13642
OG0000592	DANRE18531	BRALA22980
OG0000592	DANRE25922, DANRE25921, DANRE38966, DANRE38965, DANRE38964	BRALA12293, BRALA12292, BRALA25533
OG0000593	DANRE30058, DANRE03638, DANRE30338, DANRE02996	BRALA10467
OG0000593	DANRE23729, DANRE26181, DANRE12961, DANRE12962, DANRE36390, DANRE36391, DANRE22365, DANRE02411, DANRE02412	BRALA03529
OG0000597	DANRE37823, DANRE20385, DANRE20386, DANRE20384, DANRE29524, DANRE34209, DANRE33695, DANRE34208	BRALA07224
OG0000597	DANRE38490, DANRE38491, DANRE24980, DANRE23651, DANRE23650, DANRE16005, DANRE16004	BRALA07985
OG0000600	DANRE15568	BRALA16892
OG0000601	DANRE05203, DANRE05202, DANRE43410, DANRE05201, DANRE05200, DANRE01528	BRALA06469, BRALA04622, BRALA04621
OG0000602	DANRE06865, DANRE06864, DANRE28060, DANRE28061, DANRE21447, DANRE21448, DANRE15344	BRALA13634
OG0000602	DANRE28063, DANRE21449, DANRE05995, DANRE05994, DANRE06863, DANRE42864, DANRE43010	BRALA13638
OG0000602	DANRE15343, DANRE15341, DANRE15342	BRALA13637
OG0000603	DANRE20006, DANRE20005, DANRE20003, DANRE11131, DANRE11132, DANRE11133, DANRE17469, DANRE17472, DANRE17471, DANRE17473, DANRE17470, DANRE04450, DANRE03756, DANRE03755, DANRE03754	BRALA11986
OG0000604	DANRE13132, DANRE11170, DANRE11169, DANRE18084, DANRE18085, DANRE04317, DANRE01045, DANRE01042, DANRE01043, DANRE01044, DANRE13130, DANRE13131	BRALA23058
OG0000607	DANRE25098, DANRE36040, DANRE36041, DANRE36039, DANRE31468, DANRE31465, DANRE31464, DANRE31466, DANRE31467, DANRE22466	BRALA02171
OG0000608	DANRE29304	BRALA08057
OG0000609	DANRE11913, DANRE11914	BRALA13529
OG0000609	DANRE15267, DANRE15268, DANRE42499, DANRE15265, DANRE15266	BRALA13853, BRALA18964, BRALA18966, BRALA18965, BRALA13849
OG0000609	DANRE21338	BRALA04542
OG0000610	DANRE26846, DANRE35194, DANRE35195	BRALA02697
OG0000611	DANRE02632, DANRE20099, DANRE20098, DANRE39012, DANRE39011, DANRE39013	BRALA20389
OG0000611	DANRE38844, DANRE38845, DANRE38847	BRALA27313
OG0000612	DANRE11619, DANRE04246, DANRE04245, DANRE35389	BRALA24052
OG0000612	DANRE22363	BRALA35398
OG0000612	DANRE22364	BRALA20021
OG0000613	DANRE18520, DANRE01714, DANRE01713, DANRE10094, DANRE14218, DANRE14219	BRALA12977
OG0000613	DANRE34847, DANRE38974	BRALA30072
OG0000614	DANRE43105, DANRE43106	BRALA26253, BRALA24121
OG0000615	DANRE34494, DANRE24463	BRALA14242
OG0000616	DANRE09788	BRALA23460
OG0000617	DANRE43335, DANRE43336, DANRE43334	BRALA28136
OG0000620	DANRE30711, DANRE30712, DANRE30713, DANRE12383	BRALA14226
OG0000621	DANRE40323	BRALA20891
OG0000621	DANRE24386	BRALA26956
OG0000623	DANRE05276	BRALA01906
OG0000623	DANRE29318, DANRE29319, DANRE29321, DANRE29320, DANRE29317, DANRE36066, DANRE36067	BRALA33185
OG0000624	DANRE29203, DANRE19512, DANRE19513, DANRE34018, DANRE41484, DANRE41483, DANRE41485	BRALA09192
OG0000625	DANRE08025, DANRE08024, DANRE08745, DANRE08746, DANRE08747, DANRE08748, DANRE00989, DANRE00990, DANRE08026, DANRE08027	BRALA19634
OG0000626	DANRE14703, DANRE14705, DANRE14702, DANRE14704, DANRE18504, DANRE18503, DANRE18506, DANRE18505, DANRE22711, DANRE22715, DANRE22712, DANRE22714, DANRE22709, DANRE22713, DANRE22710, DANRE40308, DANRE40311, DANRE40309, DANRE40310	BRALA09669
OG0000627	DANRE01285, DANRE01283, DANRE01284, DANRE13403, DANRE10285, DANRE10284, DANRE24252	BRALA29835
OG0000628	DANRE10115, DANRE10116, DANRE02554, DANRE43168, DANRE43169, DANRE10117, DANRE10118	BRALA28627
OG0000628	DANRE22397, DANRE22395, DANRE22396, DANRE17350, DANRE17351, DANRE09796, DANRE24904	BRALA16689
OG0000629	DANRE20660, DANRE20658, DANRE20659	BRALA09148, BRALA24720
OG0000629	DANRE25415	BRALA35417
OG0000629	DANRE25414, DANRE20655, DANRE20653, DANRE20654, DANRE40223, DANRE40222, DANRE31084, DANRE31085, DANRE31086, DANRE12557	BRALA24722
OG0000634	DANRE27842, DANRE27841, DANRE37078, DANRE37077, DANRE37547, DANRE37548	BRALA18632
OG0000635	DANRE28867	BRALA30993, BRALA30850, BRALA31506, BRALA28680, BRALA21096
OG0000635	DANRE13256	BRALA22165, BRALA20517
OG0000637	DANRE35201, DANRE35202, DANRE00403	BRALA35665
OG0000637	DANRE30450, DANRE36117	BRALA25973
OG0000639	DANRE12180, DANRE19333, DANRE19332	BRALA16533
OG0000639	DANRE26025, DANRE26027, DANRE24926, DANRE24925, DANRE24924, DANRE23613, DANRE23612, DANRE37057	BRALA20016
OG0000641	DANRE36559, DANRE22558, DANRE22554, DANRE22555, DANRE22557, DANRE36558, DANRE21027, DANRE39719	BRALA20745, BRALA20742, BRALA20741, BRALA26654, BRALA26656, BRALA26655
OG0000642	DANRE23759, DANRE23758, DANRE23757, DANRE16691, DANRE16692, DANRE04589, DANRE04590, DANRE04591, DANRE15452	BRALA06680
OG0000643	DANRE08365, DANRE08366, DANRE11946	BRALA01193
OG0000643	DANRE35238, DANRE35237, DANRE01533, DANRE35022, DANRE35026, DANRE35023, DANRE35024	BRALA28428
OG0000645	DANRE38840, DANRE12356	BRALA20003
OG0000645	DANRE16501, DANRE26016	BRALA04294
OG0000646	DANRE09462, DANRE09461, DANRE36287, DANRE37895, DANRE37894, DANRE37896	BRALA05656
OG0000646	DANRE38055, DANRE12177, DANRE09022	BRALA20004
OG0000647	DANRE16386, DANRE16387, DANRE05385	BRALA16420
OG0000648	DANRE23825, DANRE23827	BRALA03156
OG0000648	DANRE27007	BRALA03157
OG0000649	DANRE36548, DANRE36549, DANRE23157, DANRE23158, DANRE14536, DANRE10469	BRALA09182, BRALA11364, BRALA20887
OG0000650	DANRE42710, DANRE01609, DANRE01608, DANRE24219, DANRE19539, DANRE19536, DANRE19537, DANRE19538, DANRE35105, DANRE35104, DANRE36191, DANRE26619, DANRE14681, DANRE42711, DANRE33878, DANRE33877, DANRE03720, DANRE03721	BRALA06632, BRALA04575
OG0000651	DANRE01712	BRALA29558
OG0000651	DANRE23324	BRALA33518
OG0000652	DANRE02856	BRALA20077
OG0000653	DANRE29214, DANRE03139, DANRE14879	BRALA00750
OG0000653	DANRE28855, DANRE27642, DANRE26616, DANRE36188, DANRE04829, DANRE04830, DANRE19958, DANRE19860	BRALA33623, BRALA16963
OG0000653	DANRE33310, DANRE29802, DANRE16917, DANRE26488	BRALA22618
OG0000654	DANRE22636, DANRE23092, DANRE23093, DANRE39428, DANRE39432, DANRE39427, DANRE39433, DANRE28978, DANRE28980, DANRE28979, DANRE28981, DANRE28976, DANRE28977, DANRE35895, DANRE35897, DANRE35896, DANRE35892, DANRE42543, DANRE42544, DANRE42545	BRALA04554
OG0000660	DANRE26438, DANRE26437, DANRE26436, DANRE35327, DANRE07903	BRALA15697
OG0000660	DANRE26443	BRALA10420
OG0000661	DANRE17029, DANRE17066, DANRE17065, DANRE17046, DANRE17051, DANRE17018, DANRE16997, DANRE16995, DANRE17047, DANRE16994, DANRE16996, DANRE17002, DANRE17001, DANRE17004, DANRE17005, DANRE17015, DANRE17024, DANRE17022, DANRE17000, DANRE17020, DANRE16999, DANRE17003, DANRE17027, DANRE17031, DANRE17014, DANRE17030, DANRE17006, DANRE17007, DANRE17011, DANRE17013, DANRE17010, DANRE17034, DANRE17033, DANRE17032, DANRE16998, DANRE17035, DANRE17012, DANRE17016, DANRE16993, DANRE17064, DANRE17057, DANRE17058, DANRE17055, DANRE17063, DANRE17062, DANRE17061, DANRE17060, DANRE17059, DANRE17054, DANRE17053, DANRE17056, DANRE17048, DANRE17050, DANRE17049, DANRE17017, DANRE17019, DANRE16921, DANRE16920, DANRE16923, DANRE16924, DANRE16922, DANRE16919, DANRE16918, DANRE16925, DANRE16927, DANRE16926, DANRE16928	BRALA34508, BRALA12951
OG0000662	DANRE07121, DANRE07120, DANRE07123, DANRE07122	BRALA23622
OG0000662	DANRE29859, DANRE29860, DANRE04026, DANRE03635	BRALA06276
OG0000664	DANRE39767, DANRE30905, DANRE02763	BRALA17169
OG0000665	DANRE38365, DANRE19520, DANRE34684, DANRE09591, DANRE09590, DANRE13938, DANRE13939, DANRE19399, DANRE19400	BRALA23202
OG0000666	DANRE25699, DANRE25700, DANRE30926, DANRE30929, DANRE30924, DANRE30925, DANRE29200, DANRE29201, DANRE03143, DANRE02721, DANRE02720	BRALA33241, BRALA33926
OG0000666	DANRE23027	BRALA28214
OG0000667	DANRE15620, DANRE15621	BRALA01967, BRALA00909
OG0000670	DANRE23686, DANRE23689, DANRE23688, DANRE23691, DANRE23690, DANRE34500, DANRE06990, DANRE07638, DANRE26756, DANRE26754, DANRE26757, DANRE26755, DANRE23687, DANRE15554, DANRE36312, DANRE36313	BRALA11703
OG0000671	DANRE23020, DANRE22760, DANRE22759, DANRE23021, DANRE31347, DANRE36744, DANRE36710, DANRE36807, DANRE30960, DANRE24990	BRALA07010, BRALA11273
OG0000672	DANRE26530, DANRE33887, DANRE38205	BRALA06149
OG0000672	DANRE02981, DANRE02982	BRALA24117
OG0000674	DANRE09048, DANRE09049, DANRE09050, DANRE09052, DANRE09051, DANRE37577, DANRE37574, DANRE37576, DANRE37575	BRALA23211
OG0000674	DANRE12573, DANRE12574, DANRE12575, DANRE39312, DANRE39311, DANRE39310, DANRE39309, DANRE25556	BRALA25389
OG0000675	DANRE11231, DANRE43339	BRALA15687, BRALA11516
OG0000676	DANRE14726	BRALA13759
OG0000676	DANRE26937, DANRE26936, DANRE36241, DANRE20482, DANRE20483, DANRE35813, DANRE35814, DANRE41404	BRALA25556
OG0000677	DANRE23080, DANRE23081	BRALA24332, BRALA24330, BRALA26229, BRALA04101, BRALA04100, BRALA17451, BRALA10505, BRALA10499, BRALA25676, BRALA12854, BRALA12853, BRALA12852, BRALA12856
OG0000678	DANRE29989	BRALA27486
OG0000680	DANRE20435, DANRE31089, DANRE31088, DANRE12567	BRALA12807, BRALA12803, BRALA12804, BRALA26957, BRALA11805, BRALA18023, BRALA18021, BRALA18014, BRALA18033, BRALA18022, BRALA01752
OG0000680	DANRE36591, DANRE36590	BRALA01527, BRALA18950
OG0000681	DANRE15651, DANRE15652, DANRE07275, DANRE07276, DANRE07154, DANRE07153	BRALA08295
OG0000681	DANRE20644, DANRE20643, DANRE25267, DANRE25266	BRALA33161
OG0000682	DANRE33564, DANRE33563, DANRE11185, DANRE22049, DANRE22053, DANRE22052, DANRE22051, DANRE22050, DANRE19035, DANRE19036, DANRE19037	BRALA25456, BRALA25454, BRALA35283, BRALA25455, BRALA21676, BRALA30874
OG0000683	DANRE16155	BRALA33661
OG0000683	DANRE30129, DANRE16951, DANRE01917, DANRE26336, DANRE26335, DANRE26337, DANRE26338	BRALA00898
OG0000684	DANRE41360, DANRE41356, DANRE41361, DANRE28296, DANRE39125	BRALA33966, BRALA35184, BRALA35989, BRALA33798
OG0000685	DANRE29493, DANRE29494, DANRE02304, DANRE02303, DANRE02302, DANRE31478, DANRE31477, DANRE31476	BRALA13886
OG0000686	DANRE39670, DANRE22412	BRALA19251, BRALA01995, BRALA01996, BRALA03393, BRALA12592, BRALA01972, BRALA01971, BRALA01994, BRALA01970, BRALA00770, BRALA00717, BRALA00718, BRALA00709, BRALA23849, BRALA28028, BRALA12673, BRALA11761, BRALA05022, BRALA20295, BRALA00710, BRALA09519, BRALA00719, BRALA22854, BRALA32164, BRALA00716, BRALA26777, BRALA07135, BRALA31304, BRALA04864, BRALA12674
OG0000690	DANRE39009, DANRE39006, DANRE39008	BRALA29358
OG0000690	DANRE06380, DANRE06379	BRALA05018
OG0000691	DANRE27299, DANRE25533	BRALA03301
OG0000691	DANRE18108, DANRE18107, DANRE18106, DANRE11469, DANRE14622, DANRE14623, DANRE14624, DANRE23610	BRALA09683
OG0000692	DANRE05971	BRALA01186
OG0000693	DANRE36829, DANRE22937, DANRE22936, DANRE22938, DANRE20118, DANRE20117, DANRE08385, DANRE08384, DANRE08386, DANRE09992, DANRE09993	BRALA18789
OG0000693	DANRE34293, DANRE34292	BRALA02763
OG0000694	DANRE10951, DANRE11638, DANRE17279, DANRE17281, DANRE17280, DANRE17278, DANRE35394, DANRE35396, DANRE35395, DANRE39558, DANRE39557	BRALA10162
OG0000695	DANRE18969, DANRE11017, DANRE13442, DANRE07833, DANRE08911, DANRE08912, DANRE19963, DANRE39251, DANRE11766, DANRE17244, DANRE17245	BRALA21788, BRALA13971, BRALA00498, BRALA12446
OG0000696	DANRE18175, DANRE18174	BRALA16043
OG0000696	DANRE10818	BRALA15238, BRALA19739
OG0000697	DANRE30740, DANRE40406, DANRE02693, DANRE41127, DANRE41126, DANRE41128, DANRE41129, DANRE40289, DANRE02263, DANRE02262, DANRE36692	BRALA30467
OG0000698	DANRE06827, DANRE18733, DANRE18732, DANRE18731, DANRE12022, DANRE12021, DANRE18729, DANRE19896	BRALA26139
OG0000699	DANRE23685, DANRE01009, DANRE01010, DANRE01008	BRALA12181
OG0000700	DANRE30585, DANRE30583, DANRE30586, DANRE30584, DANRE25086, DANRE25085	BRALA08858
OG0000701	DANRE05122, DANRE05121, DANRE05123, DANRE33566, DANRE40860, DANRE40861	BRALA21677
OG0000702	DANRE21696, DANRE39048, DANRE39049, DANRE39053, DANRE39051, DANRE39055, DANRE39050, DANRE39054, DANRE39047, DANRE39044, DANRE39052, DANRE39045, DANRE39046	BRALA28498
OG0000703	DANRE04984, DANRE04983, DANRE35267, DANRE07193, DANRE04855, DANRE04856	BRALA03871
OG0000706	DANRE22750, DANRE02764	BRALA20496
OG0000707	DANRE24696	BRALA20116, BRALA29107
OG0000708	DANRE26713, DANRE26712, DANRE24571, DANRE24572	BRALA05296
OG0000708	DANRE09020, DANRE39758, DANRE39759	BRALA10976
OG0000709	DANRE19979, DANRE39457, DANRE02911, DANRE05879	BRALA10837
OG0000710	DANRE14086, DANRE14087, DANRE14088, DANRE38549	BRALA16518
OG0000711	DANRE31324	BRALA20784
OG0000711	DANRE38476, DANRE25230, DANRE12636, DANRE12637, DANRE12638	BRALA02434
OG0000711	DANRE25772, DANRE31323, DANRE31322, DANRE31321	BRALA02091
OG0000712	DANRE20132, DANRE20131, DANRE06778, DANRE06776, DANRE06777, DANRE33734, DANRE33735, DANRE33736, DANRE07797, DANRE07796, DANRE07795, DANRE07798, DANRE16293, DANRE16292, DANRE16291, DANRE16290, DANRE07104, DANRE07105	BRALA19423
OG0000713	DANRE37942, DANRE37940, DANRE37941, DANRE37943, DANRE34878, DANRE33352, DANRE24296, DANRE33355, DANRE33351, DANRE33353, DANRE33354	BRALA06138, BRALA11673, BRALA17981, BRALA30637, BRALA04689, BRALA04690
OG0000715	DANRE10220, DANRE42817, DANRE01949, DANRE01695, DANRE01696, DANRE23041, DANRE10216, DANRE10217, DANRE10218, DANRE10219	BRALA17045
OG0000716	DANRE24425, DANRE24426, DANRE18357	BRALA35786, BRALA32595, BRALA32592
OG0000718	DANRE42521, DANRE15304, DANRE15307, DANRE15308, DANRE15303, DANRE15306, DANRE15305, DANRE15302, DANRE13827, DANRE09237, DANRE27971	BRALA29518
OG0000720	DANRE00520, DANRE00519, DANRE12730, DANRE12729	BRALA08022
OG0000721	DANRE19921, DANRE33496	BRALA14964
OG0000722	DANRE10668, DANRE18082, DANRE34445, DANRE06660, DANRE06659, DANRE11168, DANRE11167, DANRE04318, DANRE04319, DANRE38701, DANRE30658, DANRE25692, DANRE25693, DANRE25215	BRALA24668, BRALA24667
OG0000723	DANRE40428, DANRE22819, DANRE21018, DANRE21019, DANRE29419	BRALA24351, BRALA08031, BRALA10480, BRALA03115
OG0000725	DANRE36228, DANRE26924, DANRE26923, DANRE41245, DANRE41244, DANRE34264	BRALA28873
OG0000725	DANRE31122, DANRE31119, DANRE31120, DANRE31121, DANRE38257, DANRE38258	BRALA35334
OG0000725	DANRE13190	BRALA34432
OG0000726	DANRE27925, DANRE27926, DANRE27927, DANRE42213, DANRE42212, DANRE42211, DANRE16168, DANRE36569	BRALA09055
OG0000730	DANRE02163, DANRE02164, DANRE42622, DANRE21383	BRALA23680
OG0000730	DANRE26899, DANRE23833, DANRE42527, DANRE02912, DANRE37104	BRALA23679
OG0000732	DANRE20486, DANRE20487, DANRE36244, DANRE36245	BRALA05974
OG0000732	DANRE28676, DANRE28674, DANRE28675, DANRE16727, DANRE36379	BRALA01121
OG0000733	DANRE05680, DANRE17763, DANRE38134, DANRE17606	BRALA13293
OG0000733	DANRE18931, DANRE10693, DANRE18930, DANRE04553, DANRE04552	BRALA13301
OG0000734	DANRE35377, DANRE35376, DANRE35375, DANRE28044, DANRE28043, DANRE28040, DANRE28041, DANRE28039, DANRE28038, DANRE28042, DANRE23533	BRALA10056
OG0000735	DANRE18911, DANRE10653, DANRE10360, DANRE10359, DANRE13894, DANRE10302, DANRE13895, DANRE11358, DANRE11359	BRALA12877
OG0000736	DANRE23449	BRALA00292
OG0000738	DANRE09978	BRALA08653
OG0000740	DANRE40542, DANRE09958, DANRE13643, DANRE21419, DANRE21418	BRALA07389
OG0000740	DANRE03411, DANRE03412, DANRE43134, DANRE40552	BRALA17954
OG0000743	DANRE10003, DANRE10004, DANRE02974, DANRE02975	BRALA06285
OG0000743	DANRE29387, DANRE02979	BRALA06284
OG0000744	DANRE27730, DANRE27734, DANRE27731, DANRE27729, DANRE27732, DANRE27733, DANRE37286, DANRE37288, DANRE37287, DANRE37289, DANRE27304, DANRE36882, DANRE36881	BRALA03822, BRALA06789, BRALA03324
OG0000745	DANRE04783	BRALA06045
OG0000746	DANRE30272, DANRE17199, DANRE17200	BRALA22561, BRALA22254, BRALA18386
OG0000748	DANRE29232	BRALA10606
OG0000749	DANRE43022, DANRE22234, DANRE22233, DANRE04932, DANRE04931	BRALA28914
OG0000750	DANRE07367	BRALA15208, BRALA27083, BRALA15212
OG0000750	DANRE04260, DANRE04261	BRALA08581, BRALA21234
OG0000751	DANRE14353, DANRE14354, DANRE14356, DANRE41712	BRALA07411
OG0000751	DANRE28400, DANRE28399, DANRE21594, DANRE21595, DANRE21593, DANRE21596	BRALA07933
OG0000752	DANRE04759, DANRE04760	BRALA11552
OG0000752	DANRE33350	BRALA28831
OG0000752	DANRE26482, DANRE26483, DANRE16748	BRALA05171
OG0000753	DANRE12159	BRALA27046
OG0000753	DANRE22875, DANRE08092, DANRE08093, DANRE35099	BRALA21594
OG0000755	DANRE27783, DANRE27782, DANRE12837, DANRE12838	BRALA12515
OG0000756	DANRE17565	BRALA05619, BRALA10089, BRALA00887, BRALA14420, BRALA14421, BRALA05618, BRALA08548
OG0000757	DANRE28939	BRALA34310
OG0000757	DANRE35703	BRALA14460
OG0000758	DANRE11468, DANRE24018, DANRE24019, DANRE27344, DANRE27343, DANRE27345, DANRE02463, DANRE02464, DANRE18105, DANRE11683, DANRE11685, DANRE11684	BRALA13715
OG0000759	DANRE23917, DANRE23918, DANRE26676, DANRE23361	BRALA30577
OG0000760	DANRE30936, DANRE30935, DANRE02736, DANRE30934, DANRE30932, DANRE30933, DANRE25704, DANRE25702, DANRE25703, DANRE02738, DANRE02737	BRALA20315
OG0000761	DANRE19286, DANRE19287, DANRE16971, DANRE16972, DANRE16973, DANRE21789	BRALA23656
OG0000762	DANRE42699, DANRE28185	BRALA04595, BRALA07093
OG0000763	DANRE09639, DANRE00567, DANRE00568, DANRE00569, DANRE27052, DANRE27054, DANRE27053, DANRE39891, DANRE39892, DANRE39890	BRALA13502
OG0000764	DANRE26556, DANRE35133	BRALA20638
OG0000765	DANRE28403, DANRE40818, DANRE40819, DANRE40817, DANRE00580, DANRE00579	BRALA25961
OG0000766	DANRE23752, DANRE09934, DANRE20922, DANRE00517, DANRE00514, DANRE00516, DANRE00515	BRALA15635
OG0000767	DANRE11659, DANRE11660, DANRE11658, DANRE11661, DANRE08379, DANRE10974, DANRE18316, DANRE18317, DANRE18318	BRALA12056, BRALA12057
OG0000768	DANRE31068, DANRE31072, DANRE31070, DANRE31069, DANRE31071, DANRE22256, DANRE22257, DANRE22874	BRALA25731
OG0000772	DANRE07203, DANRE15796, DANRE15798, DANRE15797	BRALA03708
OG0000772	DANRE09745, DANRE09746	BRALA03331
OG0000774	DANRE26601, DANRE26600, DANRE26599, DANRE40140	BRALA01367
OG0000774	DANRE39793, DANRE39792	BRALA12795
OG0000775	DANRE33689, DANRE33688, DANRE33690, DANRE33691	BRALA21814, BRALA18421, BRALA18562, BRALA18561, BRALA08287
OG0000776	DANRE35255, DANRE35254, DANRE15732, DANRE42482, DANRE06939	BRALA29300
OG0000777	DANRE29329, DANRE29328, DANRE36168, DANRE36169	BRALA06536
OG0000778	DANRE41043, DANRE41041, DANRE41042	BRALA20992, BRALA09413, BRALA00256, BRALA00257, BRALA00259
OG0000779	DANRE34815, DANRE34816, DANRE34817	BRALA02587
OG0000779	DANRE22401, DANRE01681, DANRE01682, DANRE23289, DANRE23290, DANRE24330, DANRE24331	BRALA01807
OG0000780	DANRE07895, DANRE07896, DANRE07897	BRALA00744
OG0000782	DANRE34593, DANRE34592, DANRE34595, DANRE34594, DANRE12747, DANRE12748, DANRE38505, DANRE38506	BRALA18203
OG0000784	DANRE24466, DANRE27100, DANRE27099, DANRE18977, DANRE07597	BRALA06052, BRALA25550
OG0000784	DANRE22664, DANRE22665	BRALA17554, BRALA16289, BRALA22376, BRALA25588
OG0000786	DANRE18615	BRALA12027
OG0000787	DANRE19518, DANRE34015, DANRE19519, DANRE42974, DANRE05326, DANRE05325, DANRE05327, DANRE00057, DANRE33402	BRALA03891
OG0000788	DANRE38685, DANRE38687, DANRE38686, DANRE30771, DANRE30772, DANRE38688	BRALA02413
OG0000788	DANRE40624, DANRE40626, DANRE40623, DANRE40625, DANRE28277, DANRE21678	BRALA32315
OG0000789	DANRE24601, DANRE33218	BRALA24048, BRALA33484
OG0000790	DANRE21670, DANRE21671, DANRE28284	BRALA12655, BRALA12650, BRALA09236, BRALA09235, BRALA12669, BRALA28591, BRALA28595, BRALA28593, BRALA04265, BRALA25758, BRALA23300, BRALA10748, BRALA20036, BRALA04241, BRALA12652, BRALA25569, BRALA28594
OG0000791	DANRE26678, DANRE24509, DANRE24508, DANRE24505, DANRE24506, DANRE35507, DANRE15367, DANRE15368, DANRE41773	BRALA14451
OG0000792	DANRE09524	BRALA04682
OG0000792	DANRE02533	BRALA33683
OG0000792	DANRE33671, DANRE33670, DANRE01288, DANRE01289, DANRE01287	BRALA32297
OG0000793	DANRE13974, DANRE19092, DANRE39166, DANRE39164, DANRE39165, DANRE25017, DANRE25016, DANRE25015, DANRE21768, DANRE25958, DANRE13450	BRALA17595
OG0000795	DANRE06535	BRALA22731
OG0000798	DANRE29060, DANRE29059, DANRE29061, DANRE03069, DANRE28964, DANRE28965, DANRE28966	BRALA22751
OG0000799	DANRE22127, DANRE22128, DANRE00706, DANRE00705, DANRE39398, DANRE00648, DANRE00645, DANRE00647, DANRE43147, DANRE00646, DANRE15975	BRALA07756
OG0000802	DANRE36485, DANRE28869, DANRE35651, DANRE02087, DANRE30241, DANRE20938, DANRE07777, DANRE17566, DANRE11046, DANRE11047, DANRE26779, DANRE39552, DANRE34339	BRALA01136, BRALA01137, BRALA01138
OG0000803	DANRE25475	BRALA32963
OG0000803	DANRE25476, DANRE25477	BRALA35572, BRALA32962
OG0000805	DANRE33771, DANRE14573, DANRE08599, DANRE30219, DANRE17673, DANRE20104, DANRE38014, DANRE38013, DANRE24472	BRALA11113, BRALA11112, BRALA05953, BRALA05905, BRALA05906, BRALA22453
OG0000809	DANRE26639, DANRE26638, DANRE26637, DANRE40060, DANRE40059, DANRE40058, DANRE27835, DANRE27833, DANRE27834, DANRE27836, DANRE21723, DANRE21722, DANRE34758, DANRE01481	BRALA05348
OG0000810	DANRE40004, DANRE40006	BRALA00801
OG0000810	DANRE42578, DANRE10213, DANRE10212, DANRE13584	BRALA10599
OG0000813	DANRE04584, DANRE04587, DANRE04586, DANRE04588, DANRE04585	BRALA03660
OG0000813	DANRE00294, DANRE35302	BRALA03695
OG0000814	DANRE12157, DANRE12158	BRALA04143
OG0000814	DANRE09168	BRALA13770, BRALA03045
OG0000815	DANRE41592, DANRE41590, DANRE41591	BRALA11706
OG0000815	DANRE41498, DANRE41497, DANRE41499, DANRE23900, DANRE23901	BRALA04544
OG0000816	DANRE37152, DANRE37153, DANRE05255, DANRE07950, DANRE07951	BRALA20882
OG0000816	DANRE07371, DANRE07372, DANRE05100, DANRE05101	BRALA03932
OG0000817	DANRE01758	BRALA00540
OG0000817	DANRE11205	BRALA03663
OG0000817	DANRE24618, DANRE24619	BRALA17018
OG0000818	DANRE30363, DANRE03542, DANRE30362, DANRE30382, DANRE30381, DANRE30383, DANRE04067, DANRE30364, DANRE04066, DANRE04068, DANRE09086	BRALA13068
OG0000819	DANRE38928	BRALA07696, BRALA07697
OG0000819	DANRE07898, DANRE20294	BRALA34137
OG0000820	DANRE23344, DANRE23345	BRALA14102
OG0000822	DANRE30577	BRALA23399, BRALA23400
OG0000822	DANRE38679	BRALA02264
OG0000823	DANRE08869, DANRE20768	BRALA10824
OG0000824	DANRE08292, DANRE43285, DANRE20331, DANRE20334, DANRE20330, DANRE20333, DANRE20332, DANRE20337, DANRE20335, DANRE20336, DANRE08291	BRALA12514
OG0000825	DANRE07340, DANRE41557, DANRE41558, DANRE41559, DANRE06476	BRALA11858
OG0000825	DANRE22278, DANRE12609	BRALA13831, BRALA13832, BRALA13834, BRALA13833
OG0000826	DANRE17140, DANRE17142, DANRE17141, DANRE17139	BRALA10374
OG0000826	DANRE22286	BRALA19087
OG0000827	DANRE19411, DANRE34859	BRALA18118, BRALA02359, BRALA13523, BRALA16833, BRALA30597, BRALA00958
OG0000828	DANRE38353, DANRE39520	BRALA04441
OG0000828	DANRE00140, DANRE00141	BRALA34346
OG0000829	DANRE13452, DANRE13451, DANRE28324, DANRE20994, DANRE20992, DANRE20993, DANRE39524, DANRE00287, DANRE00288	BRALA16337, BRALA16336
OG0000829	DANRE05736, DANRE05737, DANRE00627, DANRE00626, DANRE34022, DANRE06193, DANRE06192, DANRE04909, DANRE04910, DANRE04911	BRALA16335
OG0000830	DANRE29315, DANRE35441, DANRE04025	BRALA06400
OG0000830	DANRE12583, DANRE12584, DANRE38642, DANRE38643	BRALA34995
