Orthogroup	DANRE	NEMVE
OG0001034	DANRE27197, DANRE29926, DANRE29925, DANRE29927, DANRE24705, DANRE27195, DANRE27196, DANRE23974, DANRE23976, DANRE23973, DANRE23975	NEMVE23685
OG0001036	DANRE22470, DANRE22471, DANRE22469, DANRE10595, DANRE15083, DANRE15084, DANRE10596	NEMVE07958
OG0001037	DANRE39620, DANRE39624, DANRE39622, DANRE39623, DANRE39619, DANRE34192, DANRE39621, DANRE34191, DANRE34188, DANRE34189, DANRE34190, DANRE26737, DANRE39625, DANRE26734, DANRE26735, DANRE26736, DANRE24510	NEMVE13835
OG0001039	DANRE33581, DANRE33582	NEMVE05718
OG0001039	DANRE33583	NEMVE05729
OG0001039	DANRE35466	NEMVE14813
OG0001042	DANRE40759, DANRE40758, DANRE40284, DANRE02474, DANRE02475, DANRE22411, DANRE22410, DANRE12329, DANRE12330, DANRE12328, DANRE31604, DANRE31603	NEMVE20161, NEMVE25296
OG0001048	DANRE33726, DANRE33727, DANRE05406, DANRE03103, DANRE05407, DANRE19307, DANRE19308, DANRE20140, DANRE20141, DANRE20142	NEMVE04666
OG0001049	DANRE07752, DANRE23213	NEMVE24151
OG0001050	DANRE40771, DANRE17632, DANRE37651, DANRE36467, DANRE25249, DANRE25251, DANRE25250, DANRE09895, DANRE09896	NEMVE11321
OG0001052	DANRE03270, DANRE05763, DANRE03271	NEMVE24748
OG0001053	DANRE03466, DANRE28187, DANRE28188, DANRE28186, DANRE24594, DANRE24595, DANRE23165, DANRE42694, DANRE42693, DANRE06732, DANRE05252	NEMVE01408
OG0001059	DANRE18761, DANRE24662, DANRE24659, DANRE24661, DANRE24660, DANRE11709, DANRE11710, DANRE18760, DANRE18758, DANRE18759, DANRE18757	NEMVE05294
OG0001060	DANRE30655	NEMVE02960, NEMVE14652, NEMVE13876
OG0001062	DANRE28653, DANRE16543, DANRE21837, DANRE21838, DANRE26303, DANRE23617	NEMVE01533
OG0001063	DANRE04656	NEMVE08862
OG0001067	DANRE42913, DANRE16146	NEMVE18870, NEMVE18446, NEMVE25152
OG0001068	DANRE22932, DANRE22934, DANRE22933, DANRE36832, DANRE27671, DANRE27672, DANRE27673, DANRE24451	NEMVE21454
OG0001068	DANRE24452, DANRE09994	NEMVE04571
OG0001072	DANRE34212, DANRE34213, DANRE33687, DANRE33686	NEMVE08244, NEMVE08252, NEMVE00953, NEMVE07521
OG0001072	DANRE30991	NEMVE01518
OG0001073	DANRE07147, DANRE07148, DANRE02614	NEMVE11637, NEMVE14006, NEMVE02704
OG0001075	DANRE09111, DANRE09112, DANRE09110, DANRE09113, DANRE09109, DANRE18111, DANRE18112, DANRE18109, DANRE18110, DANRE11682	NEMVE07705, NEMVE15967
OG0001076	DANRE17847, DANRE01059, DANRE01061, DANRE08511, DANRE08513, DANRE08512, DANRE01060, DANRE08514, DANRE17848, DANRE17845, DANRE17846, DANRE17844	NEMVE01471
OG0001077	DANRE27192, DANRE13619, DANRE42724	NEMVE06665
OG0001078	DANRE33231, DANRE33234, DANRE33233, DANRE33232, DANRE22373, DANRE22374, DANRE22372, DANRE36986, DANRE29517, DANRE24790, DANRE24791, DANRE39097, DANRE39096, DANRE39098	NEMVE21841, NEMVE03024
OG0001079	DANRE40520, DANRE40521, DANRE31014, DANRE39805	NEMVE10902
OG0001080	DANRE10317	NEMVE25549
OG0001080	DANRE38901, DANRE38902	NEMVE24155
OG0001081	DANRE12197, DANRE12196, DANRE12195	NEMVE14063
OG0001082	DANRE01614	NEMVE13496
OG0001083	DANRE11162, DANRE03313, DANRE06572, DANRE11816, DANRE11815	NEMVE07865
OG0001084	DANRE21390, DANRE09519, DANRE09517, DANRE09518, DANRE21391, DANRE28176, DANRE28177	NEMVE15577, NEMVE10374, NEMVE06345
OG0001085	DANRE36752, DANRE36751, DANRE22295, DANRE39750, DANRE39751, DANRE02426, DANRE30868, DANRE30869, DANRE02298, DANRE02297, DANRE02296	NEMVE23730
OG0001086	DANRE07854, DANRE07855, DANRE07853, DANRE34443, DANRE18052, DANRE18053, DANRE06661, DANRE34442, DANRE34441, DANRE34444	NEMVE21870
OG0001088	DANRE12098	NEMVE09696, NEMVE11696
OG0001088	DANRE33509	NEMVE19674, NEMVE00424, NEMVE18333, NEMVE11019, NEMVE08315, NEMVE08309
OG0001089	DANRE07983, DANRE07984, DANRE34147, DANRE34146, DANRE07986, DANRE07985, DANRE24397, DANRE24398, DANRE24396, DANRE24395, DANRE01127, DANRE01126	NEMVE21830
OG0001091	DANRE16115, DANRE41479, DANRE03250, DANRE14908, DANRE14909, DANRE29822, DANRE03251, DANRE14907, DANRE14905, DANRE14906, DANRE41478	NEMVE05727
OG0001092	DANRE01082, DANRE15922	NEMVE01451
OG0001093	DANRE14894, DANRE14893, DANRE03347, DANRE29218, DANRE29217, DANRE16120, DANRE41468, DANRE41467, DANRE41466	NEMVE01792
OG0001095	DANRE37105, DANRE37106, DANRE21368, DANRE21367, DANRE14978	NEMVE24881
OG0001096	DANRE36317, DANRE41555, DANRE41553, DANRE41554	NEMVE10292, NEMVE12692
OG0001097	DANRE20703, DANRE19071	NEMVE07237
OG0001101	DANRE43023, DANRE43024	NEMVE14957
OG0001101	DANRE02373, DANRE40530, DANRE40528, DANRE40529, DANRE02372, DANRE40532, DANRE40531	NEMVE01007
OG0001102	DANRE05563	NEMVE01649
OG0001102	DANRE05135, DANRE05287, DANRE05288	NEMVE08655, NEMVE08649, NEMVE13238, NEMVE19915, NEMVE07408
OG0001103	DANRE12024	NEMVE11703, NEMVE01302
OG0001103	DANRE24316, DANRE24315, DANRE24314	NEMVE05814
OG0001104	DANRE12309, DANRE12308	NEMVE04017, NEMVE06719
OG0001104	DANRE15094, DANRE18450, DANRE18449, DANRE18448	NEMVE25846
OG0001105	DANRE03125	NEMVE00247
OG0001106	DANRE37557, DANRE37558	NEMVE10844, NEMVE10846
OG0001107	DANRE42252, DANRE00876, DANRE01942, DANRE01943, DANRE00878, DANRE00877, DANRE06921, DANRE06922, DANRE16573, DANRE16574, DANRE42251, DANRE42250	NEMVE00952
OG0001108	DANRE22562, DANRE36536, DANRE36537, DANRE22561, DANRE22563	NEMVE22820
OG0001108	DANRE07648, DANRE07647, DANRE07649, DANRE07646, DANRE07645	NEMVE03343
OG0001109	DANRE30375, DANRE30374, DANRE05998, DANRE05997, DANRE05996	NEMVE17631
OG0001110	DANRE26726, DANRE26727, DANRE24537, DANRE24538, DANRE39856, DANRE19108, DANRE39854, DANRE39855	NEMVE25055, NEMVE25054
OG0001111	DANRE21586	NEMVE05284
OG0001112	DANRE36239, DANRE41400, DANRE15335, DANRE15332, DANRE20480, DANRE20481, DANRE15539, DANRE15538, DANRE15334, DANRE41410, DANRE36240	NEMVE18988
OG0001113	DANRE29305, DANRE29306	NEMVE11789, NEMVE13858
OG0001113	DANRE13286	NEMVE14477
OG0001113	DANRE36120	NEMVE22434
OG0001114	DANRE12192, DANRE12194, DANRE25899, DANRE10621, DANRE10620, DANRE10623, DANRE10622	NEMVE13059
OG0001116	DANRE42044, DANRE42046, DANRE42047	NEMVE14342
OG0001116	DANRE26874, DANRE28973, DANRE28974	NEMVE04905, NEMVE14341
OG0001117	DANRE26679, DANRE24503, DANRE22781	NEMVE24913, NEMVE17548
OG0001118	DANRE39327, DANRE31005, DANRE31007, DANRE31006, DANRE31008	NEMVE08045
OG0001119	DANRE04501, DANRE38797, DANRE38793, DANRE38795, DANRE38796, DANRE38794	NEMVE00905, NEMVE12022
OG0001120	DANRE20475, DANRE06618, DANRE06617, DANRE35418, DANRE42918, DANRE42917, DANRE06970, DANRE06969, DANRE06968, DANRE06971	NEMVE18269, NEMVE18537
OG0001121	DANRE05588, DANRE05587, DANRE16591, DANRE16590, DANRE16589	NEMVE15144
OG0001123	DANRE23983	NEMVE08367, NEMVE00548
OG0001123	DANRE34793, DANRE34794	NEMVE07298
OG0001124	DANRE03040	NEMVE14042
OG0001124	DANRE01476	NEMVE14572
OG0001126	DANRE37911	NEMVE21706
OG0001127	DANRE41783, DANRE41782, DANRE15362, DANRE15363, DANRE27928, DANRE27929, DANRE27930, DANRE27931	NEMVE23507
OG0001128	DANRE18370, DANRE18369, DANRE18368, DANRE18366, DANRE18367	NEMVE07541
OG0001129	DANRE12805, DANRE38100, DANRE10144, DANRE09107	NEMVE22537, NEMVE23490, NEMVE23489
OG0001130	DANRE00191, DANRE00192	NEMVE07218, NEMVE21964, NEMVE14047
OG0001131	DANRE35573, DANRE35575, DANRE35574, DANRE05263, DANRE05262, DANRE11143, DANRE17459	NEMVE02265
OG0001133	DANRE14565	NEMVE17872
OG0001133	DANRE00326, DANRE00325	NEMVE22361
OG0001134	DANRE30384, DANRE03544, DANRE03543	NEMVE10572
OG0001135	DANRE15167, DANRE15168, DANRE15171, DANRE15169, DANRE15170, DANRE03694	NEMVE08713, NEMVE13852
OG0001136	DANRE40170, DANRE40169, DANRE26964, DANRE26965, DANRE39095, DANRE39094	NEMVE14986
OG0001138	DANRE23035, DANRE23036, DANRE36919, DANRE36920, DANRE38760, DANRE38759, DANRE27896, DANRE27895, DANRE27897, DANRE42085	NEMVE25571, NEMVE23415, NEMVE15977
OG0001139	DANRE16147, DANRE16148	NEMVE14993
OG0001139	DANRE25097, DANRE30941, DANRE30942	NEMVE07868
OG0001140	DANRE12076, DANRE12078	NEMVE00314
OG0001141	DANRE41144, DANRE41143, DANRE41145, DANRE34924, DANRE34925, DANRE41146, DANRE34926	NEMVE13888
OG0001142	DANRE38005, DANRE38003	NEMVE20807, NEMVE13380
OG0001143	DANRE25849, DANRE30754, DANRE30755, DANRE13212, DANRE15627, DANRE09922	NEMVE07319
OG0001144	DANRE23119, DANRE23118, DANRE36574, DANRE36575, DANRE36573, DANRE41447, DANRE41446, DANRE09531, DANRE09530, DANRE14316, DANRE14317	NEMVE02135
OG0001146	DANRE36295, DANRE36291, DANRE36297, DANRE36294, DANRE36292, DANRE36293, DANRE36296, DANRE41104, DANRE41105, DANRE33875, DANRE33874	NEMVE18037, NEMVE07073
OG0001148	DANRE15191, DANRE15190, DANRE15189	NEMVE09889
OG0001155	DANRE00096	NEMVE18709
OG0001155	DANRE07922	NEMVE14646
OG0001156	DANRE36530, DANRE22268, DANRE29205, DANRE29204, DANRE42727, DANRE42726	NEMVE14927
OG0001158	DANRE24675, DANRE36872, DANRE23963, DANRE23962, DANRE24676, DANRE36873	NEMVE13124
OG0001159	DANRE05470, DANRE10627	NEMVE02254
OG0001161	DANRE38331, DANRE38329, DANRE38330, DANRE25997, DANRE00207, DANRE00210, DANRE00209	NEMVE13207
OG0001162	DANRE08007, DANRE08006, DANRE08008, DANRE08009, DANRE19831, DANRE19828, DANRE19830, DANRE19829, DANRE42512, DANRE42511, DANRE43065	NEMVE23909, NEMVE23908, NEMVE22577
OG0001163	DANRE04351, DANRE05359	NEMVE01640
OG0001164	DANRE00549, DANRE00552, DANRE00551	NEMVE07314
OG0001164	DANRE00550	NEMVE17008
OG0001165	DANRE18768	NEMVE15007
OG0001165	DANRE42434, DANRE42435, DANRE42433	NEMVE15056
OG0001166	DANRE09039, DANRE09040, DANRE30842, DANRE30843, DANRE30844, DANRE30841, DANRE11857, DANRE06281, DANRE19946	NEMVE19411, NEMVE24594, NEMVE25700, NEMVE22182, NEMVE23271, NEMVE23607, NEMVE21179, NEMVE23900
OG0001167	DANRE11150, DANRE38292, DANRE38291, DANRE05260, DANRE05261	NEMVE01035
OG0001168	DANRE14763, DANRE14762, DANRE01595, DANRE14764, DANRE01592, DANRE09690, DANRE09691, DANRE01594, DANRE01593, DANRE25534, DANRE25535	NEMVE14002
OG0001169	DANRE28707	NEMVE06650, NEMVE22732, NEMVE02251
OG0001169	DANRE08936, DANRE08937	NEMVE22495
OG0001170	DANRE07719, DANRE07718, DANRE33792, DANRE33791, DANRE23256, DANRE23257	NEMVE01927
OG0001171	DANRE23282, DANRE23283, DANRE23281, DANRE14514, DANRE14513, DANRE09798, DANRE09799, DANRE22398, DANRE22399, DANRE22400	NEMVE08775
OG0001172	DANRE28103, DANRE23854, DANRE42209	NEMVE14607
OG0001172	DANRE35704, DANRE41740, DANRE29561, DANRE43426	NEMVE13977
OG0001174	DANRE36611	NEMVE06466
OG0001175	DANRE40566, DANRE40568, DANRE40567, DANRE40616, DANRE40615, DANRE00572, DANRE40617	NEMVE18808, NEMVE00944
OG0001176	DANRE38313, DANRE14113, DANRE21453	NEMVE06025
OG0001176	DANRE00258, DANRE03914, DANRE05037, DANRE05038	NEMVE04714
OG0001177	DANRE26390, DANRE26389, DANRE40862, DANRE40864, DANRE40863	NEMVE07007
OG0001178	DANRE17522, DANRE17523	NEMVE13445, NEMVE00910
OG0001178	DANRE42414, DANRE42416, DANRE42415	NEMVE14023
OG0001181	DANRE23910, DANRE23911, DANRE26674, DANRE26675, DANRE03474, DANRE29972, DANRE29971	NEMVE04930
OG0001183	DANRE29477, DANRE29478, DANRE29479, DANRE29476, DANRE29483, DANRE29481, DANRE29482, DANRE29480, DANRE24697	NEMVE02043
OG0001184	DANRE14296, DANRE14295	NEMVE23775
OG0001184	DANRE38448	NEMVE05038
OG0001185	DANRE10091, DANRE10087, DANRE10090, DANRE10088, DANRE10089, DANRE05149, DANRE05150	NEMVE15207
OG0001186	DANRE26898, DANRE26897, DANRE26189	NEMVE07796
OG0001186	DANRE39141	NEMVE14205
OG0001188	DANRE02573, DANRE11351, DANRE11352	NEMVE04912
OG0001189	DANRE23240, DANRE23241, DANRE22508, DANRE22507, DANRE23239, DANRE23238, DANRE18126	NEMVE24274
OG0001190	DANRE11385, DANRE11386, DANRE02521, DANRE02522, DANRE22917, DANRE22916, DANRE22915	NEMVE07335, NEMVE20942
OG0001191	DANRE23738, DANRE41174, DANRE11828, DANRE11011, DANRE11829, DANRE03309, DANRE03310, DANRE06571	NEMVE02357
OG0001196	DANRE14067, DANRE14066, DANRE34121, DANRE34124, DANRE34123, DANRE34122, DANRE08119, DANRE08109, DANRE08110, DANRE08111, DANRE08114, DANRE08117, DANRE08118, DANRE08116, DANRE08115, DANRE08113, DANRE08112	NEMVE08224, NEMVE12229
OG0001197	DANRE19964, DANRE19965	NEMVE01874
OG0001197	DANRE09525, DANRE42674	NEMVE22522, NEMVE09933
OG0001198	DANRE21730, DANRE27839	NEMVE24571
OG0001198	DANRE12408	NEMVE22207, NEMVE25198, NEMVE00766
OG0001199	DANRE11652, DANRE11653	NEMVE23802, NEMVE12602
OG0001200	DANRE18025, DANRE18026	NEMVE09033
OG0001201	DANRE12519, DANRE22352, DANRE22354, DANRE02404, DANRE02405, DANRE24906, DANRE22353, DANRE22355, DANRE12520, DANRE24918	NEMVE09573
OG0001203	DANRE06831, DANRE06833, DANRE06834, DANRE05649, DANRE06832, DANRE05648, DANRE05647, DANRE04646, DANRE04647	NEMVE06946
OG0001204	DANRE07916, DANRE07914, DANRE07913, DANRE20317, DANRE20315, DANRE20314, DANRE07915, DANRE20316	NEMVE16401
OG0001205	DANRE10682	NEMVE09608
OG0001205	DANRE15947, DANRE23700, DANRE08524, DANRE00853, DANRE06430	NEMVE12458
OG0001207	DANRE42063	NEMVE05326
OG0001207	DANRE24209, DANRE29571, DANRE35692	NEMVE07504
OG0001208	DANRE35541, DANRE41476, DANRE41472, DANRE41473, DANRE09739, DANRE09738, DANRE43074	NEMVE13141
OG0001211	DANRE02626, DANRE02625, DANRE41666, DANRE29139	NEMVE14313
OG0001212	DANRE04861, DANRE04863, DANRE04862	NEMVE08966, NEMVE10705
OG0001213	DANRE04387, DANRE43203, DANRE04388	NEMVE09096
OG0001213	DANRE01515	NEMVE14427
OG0001214	DANRE24143	NEMVE06648
OG0001214	DANRE31132, DANRE31134, DANRE31133	NEMVE05859
OG0001215	DANRE27329, DANRE27330, DANRE35594, DANRE35595, DANRE41572, DANRE41571, DANRE41573, DANRE35593, DANRE35592, DANRE41574, DANRE23354, DANRE23355, DANRE36527, DANRE36526	NEMVE25378
OG0001216	DANRE39374, DANRE33871	NEMVE13574
OG0001218	DANRE13767	NEMVE00795
OG0001218	DANRE09982, DANRE13766, DANRE13765, DANRE02525, DANRE02526, DANRE37945	NEMVE21894
OG0001219	DANRE06219, DANRE06220, DANRE20139, DANRE10625, DANRE13985, DANRE13984	NEMVE22457
OG0001220	DANRE01523, DANRE01524	NEMVE01931
OG0001221	DANRE38048, DANRE38049	NEMVE10455, NEMVE21175
OG0001224	DANRE22676, DANRE22677, DANRE22685, DANRE22683, DANRE22678, DANRE22679, DANRE22694, DANRE22691, DANRE22695, DANRE22689, DANRE22692, DANRE22693, DANRE22690, DANRE22688, DANRE22682, DANRE22681, DANRE22680, DANRE22684, DANRE22675, DANRE22674, DANRE22686, DANRE02858	NEMVE18437
OG0001225	DANRE38404, DANRE25970, DANRE25969, DANRE25968, DANRE25971, DANRE38402, DANRE38398, DANRE38399, DANRE39840, DANRE39835, DANRE00504, DANRE00505, DANRE21562, DANRE38403	NEMVE24191
OG0001230	DANRE14910, DANRE10535, DANRE14085, DANRE14084, DANRE15135, DANRE15136, DANRE10536	NEMVE14462
OG0001231	DANRE05445, DANRE05448, DANRE05446, DANRE05447, DANRE17775, DANRE04785, DANRE04784, DANRE03779, DANRE07774, DANRE19684	NEMVE18418
OG0001232	DANRE29418, DANRE29417	NEMVE08692
OG0001233	DANRE37927, DANRE37928	NEMVE05554
OG0001234	DANRE37290, DANRE37291, DANRE09490, DANRE09491, DANRE13560, DANRE13559, DANRE38545, DANRE38546, DANRE09492	NEMVE18230, NEMVE12291
OG0001236	DANRE10388	NEMVE24358
OG0001238	DANRE07226	NEMVE14613
OG0001238	DANRE26310	NEMVE05651
OG0001239	DANRE25860, DANRE25861, DANRE25859, DANRE02266, DANRE02265, DANRE36693, DANRE25856, DANRE25858, DANRE25857	NEMVE13393
OG0001240	DANRE37656, DANRE37657, DANRE25323, DANRE25324, DANRE25322, DANRE10411, DANRE10412, DANRE34927, DANRE34928, DANRE41148, DANRE41149	NEMVE12044, NEMVE01922
OG0001241	DANRE22500, DANRE22501	NEMVE23698
OG0001241	DANRE16085, DANRE06905	NEMVE22413
OG0001242	DANRE24237, DANRE26881, DANRE26880	NEMVE22613, NEMVE09980, NEMVE25393, NEMVE13690
OG0001243	DANRE39511, DANRE25154, DANRE38911, DANRE38913, DANRE38912	NEMVE04580
OG0001245	DANRE06665, DANRE06666, DANRE06667, DANRE06668, DANRE16699, DANRE03294, DANRE03295, DANRE03293	NEMVE23124
OG0001247	DANRE22419, DANRE31091, DANRE31090, DANRE01633, DANRE22417, DANRE22418, DANRE22416, DANRE22420, DANRE22415, DANRE34005, DANRE34004, DANRE34002, DANRE34006, DANRE34003	NEMVE03420
OG0001248	DANRE35929, DANRE35927, DANRE35928, DANRE24637, DANRE23456	NEMVE14608
OG0001249	DANRE15846, DANRE26785, DANRE35515, DANRE20943	NEMVE08338
OG0001250	DANRE29340, DANRE29339, DANRE29338, DANRE03569, DANRE03568, DANRE03567, DANRE30537	NEMVE07058
OG0001251	DANRE24093, DANRE24095, DANRE24092, DANRE24094	NEMVE05777
OG0001252	DANRE30251, DANRE30252, DANRE26714, DANRE24514, DANRE24513, DANRE24515, DANRE28344, DANRE28343, DANRE28342, DANRE28345, DANRE21559, DANRE21558, DANRE21560	NEMVE05179
OG0001253	DANRE30836, DANRE12545, DANRE39815, DANRE39814, DANRE22552, DANRE30835, DANRE30834, DANRE40361, DANRE01742, DANRE01743, DANRE01744	NEMVE14445
OG0001254	DANRE00247, DANRE00249, DANRE39065, DANRE25611, DANRE25612	NEMVE01446, NEMVE14277
OG0001256	DANRE11481, DANRE11480, DANRE11479, DANRE04535, DANRE04093, DANRE04094, DANRE04536	NEMVE11467, NEMVE20435
OG0001261	DANRE23743, DANRE15935, DANRE15934, DANRE23744, DANRE42389	NEMVE12600, NEMVE24381
OG0001263	DANRE33573, DANRE05204, DANRE05205	NEMVE01880
OG0001264	DANRE14753, DANRE14754, DANRE37060, DANRE37059, DANRE37061, DANRE39137, DANRE14755, DANRE14750, DANRE14751, DANRE14752	NEMVE09188
OG0001266	DANRE39425, DANRE27260, DANRE35490, DANRE23595	NEMVE14615, NEMVE13420, NEMVE23687
OG0001267	DANRE15701	NEMVE25606
OG0001267	DANRE35017, DANRE01548, DANRE34033, DANRE16499, DANRE16498	NEMVE22271
OG0001268	DANRE15799	NEMVE13796
OG0001268	DANRE22870, DANRE22871	NEMVE10358
OG0001270	DANRE24812	NEMVE21909, NEMVE12078
OG0001270	DANRE29397	NEMVE22554
OG0001271	DANRE38819, DANRE38817, DANRE38818, DANRE27361, DANRE27362, DANRE27360, DANRE03360, DANRE21111	NEMVE16016, NEMVE12266
OG0001272	DANRE29978, DANRE03166, DANRE07917, DANRE20323, DANRE06556, DANRE06559, DANRE06557, DANRE06558	NEMVE24865
OG0001273	DANRE02106, DANRE02107, DANRE28331, DANRE34837, DANRE34836, DANRE34838	NEMVE06058
OG0001274	DANRE26549, DANRE16882, DANRE16883, DANRE16884, DANRE33262, DANRE33263, DANRE33261	NEMVE24783
OG0001275	DANRE18235	NEMVE14795
OG0001276	DANRE01207, DANRE01206	NEMVE24658
OG0001278	DANRE30403, DANRE02994, DANRE02993, DANRE02995	NEMVE22456
OG0001278	DANRE18880, DANRE18879	NEMVE08441
OG0001279	DANRE13251, DANRE13250, DANRE00031, DANRE00032	NEMVE06730
OG0001280	DANRE25620, DANRE25621, DANRE37606, DANRE37604, DANRE37605, DANRE28151, DANRE40113, DANRE40112, DANRE37607, DANRE16017, DANRE23707, DANRE16016	NEMVE15111, NEMVE13261
OG0001281	DANRE38128, DANRE38129	NEMVE06870
OG0001282	DANRE42333, DANRE34496, DANRE34495, DANRE42332, DANRE42331, DANRE27101, DANRE24465, DANRE24464	NEMVE13494
OG0001283	DANRE04934, DANRE04936, DANRE04935, DANRE23896, DANRE23897	NEMVE15140
OG0001284	DANRE24158	NEMVE15039
OG0001284	DANRE09932, DANRE14552, DANRE25929	NEMVE12745, NEMVE19495
OG0001285	DANRE05323, DANRE00630	NEMVE07034
OG0001287	DANRE20476, DANRE07347, DANRE20477, DANRE42919, DANRE06963, DANRE06964	NEMVE13851
OG0001288	DANRE25733, DANRE34315, DANRE34318, DANRE34316	NEMVE20273
OG0001290	DANRE00524	NEMVE20389
OG0001290	DANRE00528, DANRE00526, DANRE00527, DANRE12301, DANRE12302, DANRE12674, DANRE37304, DANRE37305, DANRE37303, DANRE37306, DANRE37307, DANRE37309, DANRE37308	NEMVE22813, NEMVE07506
OG0001291	DANRE00618, DANRE00617, DANRE34030, DANRE34031, DANRE34032, DANRE06257, DANRE06256, DANRE20027, DANRE20028, DANRE20029	NEMVE25091
OG0001293	DANRE40727, DANRE33631, DANRE33632, DANRE40726, DANRE40728, DANRE19565, DANRE19566, DANRE19563, DANRE19564, DANRE40718, DANRE35033, DANRE35032	NEMVE24929
OG0001294	DANRE18837, DANRE18836	NEMVE10810
OG0001295	DANRE41427, DANRE35768, DANRE35767, DANRE23445	NEMVE10114
OG0001296	DANRE11527, DANRE38121, DANRE38122, DANRE38123, DANRE38120, DANRE22225, DANRE22224	NEMVE10339
OG0001297	DANRE30717, DANRE22459, DANRE22458, DANRE22460, DANRE37013, DANRE37014, DANRE37702	NEMVE03104
OG0001300	DANRE26543, DANRE26542, DANRE42930, DANRE42928, DANRE42929, DANRE06398, DANRE06399	NEMVE13700, NEMVE10660, NEMVE19269
OG0001302	DANRE35522	NEMVE11902
OG0001302	DANRE09810	NEMVE17610
OG0001304	DANRE27746, DANRE27745, DANRE38594, DANRE38595, DANRE26905, DANRE26906, DANRE36903, DANRE36902	NEMVE01937
OG0001305	DANRE16549, DANRE16550, DANRE28651, DANRE28652, DANRE34203, DANRE36227, DANRE36226, DANRE26925	NEMVE06825
OG0001306	DANRE26353, DANRE26352, DANRE17686, DANRE17685, DANRE17684	NEMVE16218
OG0001306	DANRE18995, DANRE18996	NEMVE08625
OG0001308	DANRE05117, DANRE05116, DANRE06233, DANRE34680	NEMVE00513, NEMVE16301, NEMVE11684, NEMVE06230
OG0001309	DANRE37164, DANRE20017, DANRE20016	NEMVE18542
OG0001310	DANRE12016, DANRE12017	NEMVE22452
OG0001310	DANRE11088, DANRE11087, DANRE35906	NEMVE14637
OG0001311	DANRE14576, DANRE08602, DANRE10133, DANRE13609, DANRE13617	NEMVE05964, NEMVE03793
OG0001312	DANRE33358, DANRE24238, DANRE24239, DANRE33360, DANRE33361	NEMVE14791, NEMVE14787
OG0001317	DANRE30985, DANRE30984	NEMVE01591
OG0001317	DANRE35107, DANRE35108, DANRE35106, DANRE35109, DANRE35103, DANRE35110, DANRE35111, DANRE35113, DANRE35112	NEMVE13378
OG0001318	DANRE03829	NEMVE22575
OG0001318	DANRE41846, DANRE16169	NEMVE14651
OG0001319	DANRE33830, DANRE06762, DANRE06763, DANRE27088, DANRE27087, DANRE24474, DANRE42476	NEMVE01465
OG0001320	DANRE24902	NEMVE10295
OG0001320	DANRE18723, DANRE18722, DANRE05778	NEMVE25688
OG0001321	DANRE12728, DANRE28335, DANRE21547, DANRE21546, DANRE10456	NEMVE21741, NEMVE15029
OG0001322	DANRE39175, DANRE39174, DANRE12563, DANRE12562	NEMVE14406
OG0001322	DANRE07737	NEMVE05068, NEMVE21787
OG0001323	DANRE43273	NEMVE17138
OG0001323	DANRE11172, DANRE04362, DANRE11171, DANRE19992, DANRE37489, DANRE05619	NEMVE11887
OG0001324	DANRE16093, DANRE16095, DANRE16098, DANRE16097, DANRE16094, DANRE16096	NEMVE19268, NEMVE11187
OG0001326	DANRE05749, DANRE05748, DANRE43139, DANRE01553, DANRE33552, DANRE33553, DANRE33551, DANRE05304, DANRE16141	NEMVE14355
OG0001327	DANRE25508, DANRE25510, DANRE25509	NEMVE09298
OG0001327	DANRE31148, DANRE31147, DANRE02284	NEMVE15997
OG0001329	DANRE31065, DANRE31064, DANRE31063, DANRE31066, DANRE31067, DANRE39827, DANRE16282, DANRE07097, DANRE07098, DANRE16280, DANRE16281, DANRE16279, DANRE16278, DANRE42297, DANRE07099	NEMVE06386
OG0001330	DANRE03150, DANRE03151, DANRE29159, DANRE29160, DANRE08275, DANRE20391, DANRE20390, DANRE33586, DANRE33587, DANRE20387	NEMVE14535
OG0001331	DANRE05979, DANRE05980, DANRE05978, DANRE05981, DANRE20417	NEMVE23983
OG0001332	DANRE16331, DANRE38071	NEMVE10338
OG0001337	DANRE39869, DANRE27426, DANRE27424	NEMVE05602
OG0001339	DANRE18341, DANRE18554, DANRE18555	NEMVE09406
OG0001339	DANRE03930	NEMVE21011
OG0001341	DANRE39753, DANRE02429	NEMVE00960, NEMVE01284
OG0001344	DANRE00281	NEMVE22371
OG0001345	DANRE40478, DANRE40477	NEMVE15150
OG0001348	DANRE41949, DANRE41948, DANRE16560, DANRE16561, DANRE16562, DANRE06898, DANRE06897, DANRE06899	NEMVE25188
OG0001350	DANRE26476, DANRE26475	NEMVE17281, NEMVE14117, NEMVE13044
OG0001351	DANRE37115, DANRE20230, DANRE20231, DANRE37113, DANRE37114, DANRE42425, DANRE42427, DANRE42426, DANRE42424	NEMVE17590
OG0001352	DANRE41231, DANRE39193, DANRE20952	NEMVE14525, NEMVE21813
OG0001353	DANRE11425	NEMVE14778
OG0001353	DANRE22526, DANRE22525, DANRE28302, DANRE28301, DANRE22523, DANRE22524	NEMVE14645
OG0001354	DANRE42392	NEMVE15993
OG0001354	DANRE35436, DANRE35435, DANRE21505, DANRE33460	NEMVE15994, NEMVE05871
OG0001355	DANRE20243, DANRE15599, DANRE15597, DANRE40954, DANRE00104, DANRE00105	NEMVE14405
OG0001356	DANRE02255, DANRE41297, DANRE31190, DANRE24957, DANRE31188, DANRE31189, DANRE41121, DANRE41120	NEMVE04630
