Orthogroup	DANRE	SCHMD
OG0000448	DANRE42868	SCHMD26867, SCHMD08564
OG0000449	DANRE10524, DANRE10525, DANRE00979, DANRE00980, DANRE00981, DANRE00982, DANRE43215, DANRE36482	SCHMD07672
OG0000450	DANRE13780, DANRE13779, DANRE13781, DANRE07541	SCHMD15839, SCHMD21713
OG0000454	DANRE38342, DANRE21455, DANRE21457	SCHMD11564
OG0000454	DANRE14109, DANRE14106	SCHMD20156, SCHMD03653
OG0000454	DANRE00211, DANRE00212, DANRE00215, DANRE21454, DANRE21458, DANRE14108, DANRE38339, DANRE26000, DANRE26001, DANRE25999, DANRE38338, DANRE38333, DANRE38336, DANRE38337, DANRE38334, DANRE38335	SCHMD17914
OG0000458	DANRE14521, DANRE24084	SCHMD04852, SCHMD04851
OG0000459	DANRE19705, DANRE16614	SCHMD17754
OG0000461	DANRE29922, DANRE29923, DANRE29921	SCHMD03515
OG0000461	DANRE33325, DANRE33326, DANRE35248	SCHMD06358
OG0000463	DANRE25874	SCHMD09096
OG0000464	DANRE17706	SCHMD02410, SCHMD13834, SCHMD04551, SCHMD23598
OG0000465	DANRE26398, DANRE26399, DANRE26397	SCHMD09590
OG0000467	DANRE22610	SCHMD17174, SCHMD20889, SCHMD15139, SCHMD03258, SCHMD22899, SCHMD16369
OG0000469	DANRE02667, DANRE36725, DANRE22869	SCHMD15597
OG0000470	DANRE15508, DANRE15509, DANRE03596, DANRE03595	SCHMD05493
OG0000470	DANRE04324	SCHMD05494, SCHMD03184
OG0000470	DANRE18054, DANRE11163, DANRE04323	SCHMD03185
OG0000472	DANRE39293, DANRE39294, DANRE39296, DANRE39295	SCHMD01784
OG0000472	DANRE33961, DANRE33960, DANRE08126, DANRE34131, DANRE34132	SCHMD01783
OG0000473	DANRE29036, DANRE36190, DANRE30271, DANRE30275, DANRE17221	SCHMD29413, SCHMD13933
OG0000476	DANRE34964	SCHMD25720, SCHMD19904
OG0000476	DANRE19447	SCHMD04015
OG0000479	DANRE16462, DANRE07346, DANRE33624, DANRE00042, DANRE00044, DANRE00043	SCHMD14823, SCHMD04174
OG0000480	DANRE22993	SCHMD19204, SCHMD14582
OG0000480	DANRE02638, DANRE02639	SCHMD09535
OG0000481	DANRE00276	SCHMD19165
OG0000481	DANRE29372, DANRE03161	SCHMD12328
OG0000481	DANRE34217	SCHMD11352, SCHMD11001
OG0000481	DANRE20546, DANRE07350, DANRE00274	SCHMD06297
OG0000481	DANRE00275	SCHMD10940
OG0000482	DANRE10705	SCHMD06210, SCHMD03012
OG0000482	DANRE10729	SCHMD03011, SCHMD06211, SCHMD06212, SCHMD17358
OG0000484	DANRE36359	SCHMD25776, SCHMD16669, SCHMD23292, SCHMD20173, SCHMD20110
OG0000485	DANRE41723, DANRE16774	SCHMD13016, SCHMD17436
OG0000485	DANRE01267, DANRE13327, DANRE13328	SCHMD16799
OG0000486	DANRE05042, DANRE07090, DANRE07089, DANRE04364	SCHMD19250
OG0000487	DANRE28673	SCHMD20744
OG0000488	DANRE01677, DANRE22393, DANRE22392	SCHMD01306, SCHMD17798, SCHMD16340
OG0000489	DANRE16126, DANRE16128, DANRE16127, DANRE05282, DANRE05285, DANRE05286, DANRE36913, DANRE05283, DANRE16125, DANRE10371, DANRE14174, DANRE14172, DANRE10370, DANRE14527	SCHMD11851, SCHMD19803, SCHMD25207
OG0000490	DANRE13871, DANRE13870, DANRE10492, DANRE10493, DANRE10494, DANRE19551, DANRE19550, DANRE35143, DANRE35142, DANRE35145	SCHMD21870
OG0000491	DANRE20188, DANRE20187, DANRE38166, DANRE38165, DANRE38163, DANRE23703, DANRE16264, DANRE16263, DANRE38164, DANRE08501, DANRE16265, DANRE01134, DANRE08500, DANRE08499	SCHMD03171, SCHMD08983, SCHMD20738, SCHMD13341, SCHMD07340, SCHMD18133, SCHMD23188, SCHMD23436, SCHMD27960, SCHMD18920, SCHMD17666, SCHMD22815, SCHMD07927, SCHMD20806, SCHMD08846, SCHMD08847, SCHMD23642, SCHMD25563, SCHMD27546, SCHMD28266, SCHMD26950, SCHMD21486, SCHMD20472, SCHMD23045, SCHMD23074, SCHMD09539, SCHMD08981, SCHMD06713, SCHMD11915, SCHMD09317, SCHMD02859, SCHMD00109, SCHMD00103, SCHMD08015, SCHMD18354, SCHMD03551, SCHMD00998
OG0000494	DANRE34633, DANRE34632, DANRE34634, DANRE07924, DANRE06591, DANRE06590, DANRE16474, DANRE33529, DANRE34185, DANRE34184, DANRE40596, DANRE40598, DANRE40597, DANRE40595, DANRE19497, DANRE19498	SCHMD12513, SCHMD23674, SCHMD27423, SCHMD04960, SCHMD24725, SCHMD26393, SCHMD25222, SCHMD18092, SCHMD26971, SCHMD24713, SCHMD21987
OG0000496	DANRE14609, DANRE14610, DANRE08981, DANRE08984, DANRE38583, DANRE38584, DANRE26179, DANRE26180, DANRE23491, DANRE08980, DANRE08979, DANRE38582, DANRE26139	SCHMD10819
OG0000496	DANRE14611, DANRE08973, DANRE38581	SCHMD00832
OG0000497	DANRE19507, DANRE08308, DANRE34943, DANRE34942, DANRE08309	SCHMD07173
OG0000497	DANRE35380, DANRE35379, DANRE35381, DANRE35382, DANRE35378, DANRE39953	SCHMD12237, SCHMD24017, SCHMD22017, SCHMD24018
OG0000503	DANRE29639, DANRE29640, DANRE37675, DANRE12362, DANRE12363, DANRE12364, DANRE31157, DANRE31158	SCHMD01390, SCHMD06719
OG0000503	DANRE12932, DANRE12931	SCHMD11669, SCHMD06049, SCHMD28480, SCHMD07183, SCHMD28610, SCHMD20959
OG0000504	DANRE41917, DANRE41916, DANRE13988, DANRE13989, DANRE19314, DANRE19315, DANRE28310, DANRE21611, DANRE25901, DANRE25900, DANRE12198	SCHMD09636, SCHMD05294, SCHMD24012, SCHMD24184, SCHMD19827, SCHMD05293, SCHMD22132, SCHMD09637, SCHMD12821, SCHMD09697, SCHMD24410, SCHMD25007, SCHMD25497, SCHMD16466, SCHMD25962, SCHMD08165, SCHMD14224, SCHMD23834, SCHMD24691, SCHMD24897, SCHMD16428, SCHMD22263, SCHMD09635, SCHMD24690, SCHMD16465, SCHMD08164
OG0000505	DANRE20986, DANRE20985, DANRE28320, DANRE28321, DANRE34921, DANRE34920, DANRE26014, DANRE26013, DANRE26010, DANRE26011, DANRE26012, DANRE10179	SCHMD10454
OG0000506	DANRE00952, DANRE06950, DANRE06952, DANRE06953, DANRE26426, DANRE23658, DANRE26422, DANRE26423, DANRE26424, DANRE26425, DANRE36338, DANRE36336, DANRE36337, DANRE36335, DANRE35296, DANRE06954, DANRE00953, DANRE00951, DANRE00954, DANRE06951	SCHMD05024
OG0000513	DANRE03968, DANRE03964, DANRE03966, DANRE03967, DANRE03970, DANRE03969, DANRE03965, DANRE03971, DANRE03972, DANRE01456, DANRE01455, DANRE41221, DANRE41222, DANRE41220, DANRE16669, DANRE16670, DANRE16671, DANRE20544, DANRE20542, DANRE20541, DANRE20543, DANRE20540, DANRE20538, DANRE20539	SCHMD10779, SCHMD15278, SCHMD14712, SCHMD04597
OG0000514	DANRE09989, DANRE35445, DANRE29427, DANRE29426, DANRE29431, DANRE29430, DANRE29429, DANRE28744, DANRE04023, DANRE04024, DANRE04022, DANRE28743, DANRE28742, DANRE29428	SCHMD15950, SCHMD28993
OG0000519	DANRE01551, DANRE33550, DANRE01552	SCHMD19355, SCHMD25526
OG0000520	DANRE01444, DANRE01443, DANRE01442, DANRE40706, DANRE29662	SCHMD05956
OG0000521	DANRE34387, DANRE34386, DANRE08837, DANRE08836, DANRE08838, DANRE05616, DANRE05617, DANRE02580, DANRE02579, DANRE02578, DANRE02577, DANRE02576, DANRE11262, DANRE11261, DANRE19967, DANRE39243, DANRE39244	SCHMD05167, SCHMD05164
OG0000522	DANRE05319	SCHMD23148, SCHMD08897
OG0000523	DANRE35335, DANRE35336, DANRE35333, DANRE35334, DANRE43295, DANRE38364, DANRE37559	SCHMD13520
OG0000524	DANRE04953, DANRE04954	SCHMD01087, SCHMD12691
OG0000525	DANRE37919, DANRE37918	SCHMD19975, SCHMD13600, SCHMD16839, SCHMD08345, SCHMD19109, SCHMD05319, SCHMD14149
OG0000527	DANRE28026, DANRE28029, DANRE28025, DANRE28024, DANRE21774, DANRE21773, DANRE21772, DANRE28027, DANRE30267, DANRE17202	SCHMD13845, SCHMD20940, SCHMD24670
OG0000528	DANRE11572, DANRE11573, DANRE08361, DANRE08362, DANRE37792, DANRE37793, DANRE37794	SCHMD02315, SCHMD09612
OG0000529	DANRE14000, DANRE09212, DANRE00742, DANRE02792, DANRE02793	SCHMD06409
OG0000530	DANRE26826, DANRE27113, DANRE02134, DANRE00409, DANRE24563, DANRE26825, DANRE24562	SCHMD23577, SCHMD10363, SCHMD07780, SCHMD07802, SCHMD07779, SCHMD20771, SCHMD28369
OG0000532	DANRE11421	SCHMD07765
OG0000538	DANRE42160, DANRE37095, DANRE29198, DANRE03222, DANRE03824, DANRE27952, DANRE27950, DANRE27949, DANRE27951, DANRE03823, DANRE03821, DANRE03822	SCHMD23313
OG0000540	DANRE19009, DANRE30851, DANRE19590, DANRE33560, DANRE16143, DANRE05308, DANRE04722, DANRE19586, DANRE19585, DANRE19584, DANRE24592, DANRE28184, DANRE35881, DANRE41578, DANRE41577, DANRE01756, DANRE01755, DANRE29570	SCHMD22622
OG0000544	DANRE34532, DANRE34530, DANRE34533, DANRE34531	SCHMD08368
OG0000545	DANRE11520	SCHMD20709
OG0000545	DANRE02906, DANRE02907, DANRE34438, DANRE34437, DANRE34436, DANRE34439, DANRE11738, DANRE13378, DANRE13377	SCHMD17258, SCHMD12253, SCHMD14358, SCHMD06498, SCHMD14356, SCHMD17257
OG0000548	DANRE06455, DANRE19625, DANRE40865, DANRE22043	SCHMD11369
OG0000548	DANRE18865	SCHMD02725, SCHMD00205
OG0000550	DANRE42675, DANRE42676, DANRE42677	SCHMD04377, SCHMD04195
OG0000551	DANRE41282	SCHMD18977, SCHMD20852, SCHMD20040, SCHMD29185, SCHMD16306, SCHMD26226, SCHMD18979, SCHMD18976, SCHMD28799, SCHMD28338
OG0000552	DANRE01503	SCHMD16245, SCHMD21874
OG0000552	DANRE06418, DANRE06417	SCHMD07234
OG0000552	DANRE06064	SCHMD13011
OG0000553	DANRE29057, DANRE03068	SCHMD06981
OG0000554	DANRE30642, DANRE04185, DANRE20459	SCHMD06339
OG0000560	DANRE03304, DANRE11206, DANRE40243, DANRE40242	SCHMD12681, SCHMD24482
OG0000561	DANRE18929, DANRE35309, DANRE06689	SCHMD09766
OG0000562	DANRE27041, DANRE01831	SCHMD10853
OG0000563	DANRE39600	SCHMD04138, SCHMD13630
OG0000566	DANRE21691, DANRE21693, DANRE13203, DANRE21692, DANRE19765, DANRE19764, DANRE19766, DANRE19762, DANRE19763, DANRE25205, DANRE25192, DANRE13200, DANRE13201, DANRE13198, DANRE13199, DANRE13202, DANRE25108	SCHMD24931, SCHMD26489
OG0000567	DANRE37645, DANRE43387	SCHMD27076, SCHMD27355, SCHMD13533
OG0000571	DANRE33710	SCHMD07477, SCHMD11565, SCHMD28594, SCHMD09474, SCHMD05478, SCHMD24472, SCHMD12459, SCHMD28158, SCHMD23621, SCHMD25957
OG0000572	DANRE03776, DANRE03775, DANRE03774, DANRE11722, DANRE37798, DANRE37797, DANRE37799	SCHMD10816
OG0000572	DANRE36636, DANRE22951, DANRE22949, DANRE22950	SCHMD25603
OG0000573	DANRE26429	SCHMD01043, SCHMD15213, SCHMD24610
OG0000573	DANRE02931	SCHMD11309
OG0000573	DANRE13206, DANRE13207, DANRE25110	SCHMD16187
OG0000574	DANRE28774	SCHMD01583, SCHMD12209
OG0000574	DANRE16551, DANRE16552, DANRE16553	SCHMD00489
OG0000576	DANRE42659, DANRE42663, DANRE41341, DANRE42662, DANRE42660, DANRE42661, DANRE04947, DANRE41342, DANRE04948, DANRE22099, DANRE22100, DANRE22101	SCHMD15710
OG0000578	DANRE05437	SCHMD07755
OG0000578	DANRE37784, DANRE37783, DANRE37782, DANRE35561, DANRE35560, DANRE35559, DANRE35558, DANRE17778, DANRE17779, DANRE17777, DANRE05436, DANRE05438, DANRE05439, DANRE04401, DANRE04402, DANRE04409, DANRE04410, DANRE04403, DANRE04406, DANRE04405, DANRE04407, DANRE04404, DANRE04408, DANRE07773, DANRE19685	SCHMD00300, SCHMD17617
OG0000579	DANRE02315	SCHMD11162, SCHMD25933, SCHMD01879
OG0000579	DANRE25634, DANRE39934	SCHMD16027, SCHMD27820, SCHMD26175
OG0000580	DANRE38921, DANRE38923, DANRE38922	SCHMD23258, SCHMD14664, SCHMD05333
OG0000581	DANRE17774, DANRE05449, DANRE03780, DANRE04778, DANRE37493	SCHMD10093, SCHMD11595, SCHMD08712
OG0000581	DANRE04777, DANRE03781, DANRE17773, DANRE05450	SCHMD03457
OG0000581	DANRE05454	SCHMD28022
OG0000582	DANRE35656, DANRE35655, DANRE27461, DANRE27462, DANRE39859, DANRE39858, DANRE34307, DANRE34305, DANRE34306, DANRE10407, DANRE10406, DANRE13531, DANRE13529, DANRE13530	SCHMD16063, SCHMD04882
OG0000583	DANRE06884, DANRE06885, DANRE00864, DANRE35907, DANRE41539, DANRE41538, DANRE11089, DANRE11090, DANRE13739, DANRE13740, DANRE10062	SCHMD05295, SCHMD25227, SCHMD08418, SCHMD20267, SCHMD01121, SCHMD04123, SCHMD14346, SCHMD17189, SCHMD06646
OG0000585	DANRE02244, DANRE02245, DANRE02249, DANRE41291, DANRE41292, DANRE41293, DANRE41294, DANRE02250, DANRE25689, DANRE25690, DANRE31500, DANRE31501, DANRE23073, DANRE23074, DANRE23075, DANRE36824, DANRE36823	SCHMD24793, SCHMD28810, SCHMD24792, SCHMD27773, SCHMD04336
OG0000586	DANRE25422, DANRE12413, DANRE30975, DANRE30974, DANRE12411, DANRE12412, DANRE29518, DANRE12415, DANRE12414, DANRE13497	SCHMD22071, SCHMD26810, SCHMD08470
OG0000587	DANRE08842, DANRE08843, DANRE28077, DANRE38185, DANRE38186, DANRE38187, DANRE23765, DANRE02066, DANRE02067	SCHMD03879, SCHMD05571
OG0000588	DANRE30123, DANRE16941, DANRE26565, DANRE19175, DANRE34600	SCHMD01542
OG0000588	DANRE01195, DANRE01197, DANRE01196	SCHMD09247, SCHMD07021, SCHMD07022
OG0000589	DANRE25936, DANRE38708, DANRE38709, DANRE38710, DANRE25938, DANRE25939, DANRE25937, DANRE12338, DANRE31600, DANRE31601, DANRE22454, DANRE37009, DANRE37011, DANRE37012, DANRE37010, DANRE30890, DANRE30889, DANRE25662, DANRE25663, DANRE25664, DANRE25665	SCHMD15105, SCHMD03706, SCHMD08912
OG0000590	DANRE42192, DANRE42191, DANRE42190, DANRE29030, DANRE10504, DANRE10503, DANRE14379, DANRE29029	SCHMD08634
OG0000590	DANRE28274, DANRE36861	SCHMD18326
OG0000591	DANRE29995, DANRE15432	SCHMD10835
OG0000591	DANRE12240, DANRE12241, DANRE12242	SCHMD09048, SCHMD27550, SCHMD09047
OG0000592	DANRE40569, DANRE18531, DANRE25922, DANRE25921, DANRE38966, DANRE38965, DANRE38964, DANRE34487	SCHMD11895, SCHMD04777
OG0000594	DANRE34139, DANRE07972, DANRE15294, DANRE34138, DANRE07974, DANRE07973, DANRE15295, DANRE02253, DANRE02252	SCHMD01864
OG0000597	DANRE37823, DANRE20385, DANRE20386, DANRE20384, DANRE29524, DANRE34209, DANRE33695, DANRE34208	SCHMD00271
OG0000602	DANRE06865, DANRE06864, DANRE28060, DANRE28061, DANRE21447, DANRE21448, DANRE15344, DANRE28063, DANRE21449, DANRE05995, DANRE05994, DANRE06863, DANRE42864, DANRE43010, DANRE15343, DANRE15341, DANRE15342	SCHMD08918, SCHMD16862
OG0000603	DANRE20006, DANRE20005, DANRE20003, DANRE11131, DANRE11132, DANRE11133, DANRE17469, DANRE17472, DANRE17471, DANRE17473, DANRE17470, DANRE04450, DANRE03756, DANRE03755, DANRE03754	SCHMD15890
OG0000604	DANRE13132	SCHMD25060, SCHMD19326, SCHMD28316, SCHMD25058, SCHMD15896
OG0000608	DANRE29304	SCHMD15186, SCHMD26174, SCHMD17635, SCHMD02399, SCHMD22885, SCHMD28488, SCHMD21715, SCHMD03775, SCHMD03332, SCHMD19634, SCHMD17646, SCHMD03589, SCHMD14815, SCHMD16437, SCHMD20944, SCHMD17326, SCHMD00012, SCHMD22746, SCHMD20032, SCHMD27285, SCHMD20026, SCHMD27107, SCHMD27745, SCHMD21492, SCHMD20815, SCHMD23556, SCHMD27805, SCHMD18985, SCHMD22041, SCHMD23795, SCHMD10230, SCHMD04889, SCHMD10732, SCHMD11676, SCHMD24210, SCHMD25141, SCHMD15027, SCHMD22557, SCHMD26434, SCHMD13135, SCHMD10188, SCHMD24847, SCHMD05331, SCHMD04691, SCHMD08611, SCHMD00173, SCHMD04600, SCHMD24398, SCHMD26789, SCHMD27842, SCHMD17882, SCHMD05452
OG0000609	DANRE21338	SCHMD17568
OG0000611	DANRE38844, DANRE38845, DANRE38847	SCHMD10118
OG0000612	DANRE39403, DANRE11619, DANRE04246, DANRE04245, DANRE35389	SCHMD04363, SCHMD09119
OG0000612	DANRE22364	SCHMD12368
OG0000613	DANRE18520, DANRE01714, DANRE01713, DANRE10094, DANRE14218, DANRE14219	SCHMD11333
OG0000614	DANRE43105, DANRE43106	SCHMD02000, SCHMD19846, SCHMD14215, SCHMD02001
OG0000615	DANRE34494	SCHMD18570, SCHMD15390
OG0000615	DANRE06330, DANRE06331, DANRE24461	SCHMD03881, SCHMD24438, SCHMD15895
OG0000619	DANRE37843, DANRE37844, DANRE37842, DANRE37845, DANRE35821, DANRE35820, DANRE35819, DANRE07556, DANRE07557	SCHMD20094
OG0000623	DANRE05276	SCHMD06017, SCHMD06018
OG0000623	DANRE29318, DANRE29319, DANRE29321, DANRE29320, DANRE29317, DANRE36066, DANRE36067	SCHMD05599, SCHMD06718, SCHMD03445, SCHMD22744, SCHMD24118, SCHMD17727, SCHMD12585
OG0000624	DANRE29203, DANRE19512, DANRE19513, DANRE34018, DANRE41484, DANRE41483, DANRE41485	SCHMD01951
OG0000628	DANRE10115, DANRE10116, DANRE02554, DANRE43168, DANRE43169, DANRE10117, DANRE10118	SCHMD21997
OG0000628	DANRE22397, DANRE22395, DANRE22396, DANRE17350, DANRE17351, DANRE09796, DANRE24904	SCHMD24762, SCHMD25901
OG0000634	DANRE27842, DANRE27841, DANRE37078, DANRE37077, DANRE37547, DANRE37548	SCHMD10172, SCHMD10394, SCHMD05099, SCHMD10171, SCHMD10393, SCHMD05098, SCHMD18845
OG0000635	DANRE28867	SCHMD14919, SCHMD24865, SCHMD18425, SCHMD10798
OG0000635	DANRE13256	SCHMD16010
OG0000636	DANRE03730, DANRE03729, DANRE07041, DANRE07045, DANRE07042, DANRE07043, DANRE07044, DANRE07046, DANRE05815, DANRE05816, DANRE05814, DANRE03924, DANRE03926, DANRE03923	SCHMD23842, SCHMD07652, SCHMD03198
OG0000637	DANRE08344	SCHMD14376
OG0000637	DANRE35201, DANRE35202, DANRE00403, DANRE30450, DANRE36117	SCHMD24038
OG0000639	DANRE12180, DANRE19333, DANRE19332	SCHMD15823
OG0000639	DANRE26025, DANRE26027, DANRE24926, DANRE24925, DANRE24924, DANRE23613, DANRE23612, DANRE37057	SCHMD12604, SCHMD12603
OG0000641	DANRE36559, DANRE22558, DANRE22554, DANRE22555, DANRE22557, DANRE36558, DANRE21027, DANRE39719	SCHMD25977
OG0000642	DANRE23759, DANRE23758, DANRE23757, DANRE16691, DANRE16692, DANRE04589, DANRE04590, DANRE04591, DANRE15452	SCHMD07724
OG0000643	DANRE08365, DANRE08366, DANRE11946, DANRE11947	SCHMD14321
OG0000645	DANRE16501	SCHMD29005
OG0000646	DANRE09462, DANRE09461, DANRE36287, DANRE37895, DANRE37894, DANRE37896	SCHMD24176
OG0000646	DANRE38055, DANRE12177, DANRE09022	SCHMD25176, SCHMD22477
OG0000647	DANRE39973, DANRE16386, DANRE16387, DANRE05385, DANRE42708, DANRE42709, DANRE42707	SCHMD29494
OG0000648	DANRE23826	SCHMD09057
OG0000648	DANRE27007	SCHMD18065
OG0000649	DANRE36548, DANRE36549, DANRE23157, DANRE23158, DANRE14536, DANRE10469	SCHMD18549, SCHMD18847, SCHMD16842, SCHMD03271
OG0000651	DANRE23324	SCHMD02428
OG0000652	DANRE02866	SCHMD03285
OG0000652	DANRE02856	SCHMD29341, SCHMD05205, SCHMD08162
OG0000653	DANRE28855, DANRE27642, DANRE26616, DANRE36188, DANRE04829, DANRE04830, DANRE19958, DANRE19860, DANRE33310, DANRE29802, DANRE16917, DANRE26488	SCHMD07619, SCHMD08845
OG0000654	DANRE22636, DANRE23092, DANRE23093, DANRE39428, DANRE39432, DANRE39427, DANRE39433, DANRE28978, DANRE28980, DANRE28979, DANRE28981, DANRE28976, DANRE28977, DANRE35895, DANRE35897, DANRE35896, DANRE35892, DANRE42543, DANRE42544, DANRE42545	SCHMD01650, SCHMD19469
OG0000657	DANRE41216, DANRE41219, DANRE41218, DANRE41217, DANRE38328, DANRE38327	SCHMD18210
OG0000660	DANRE42701, DANRE37475, DANRE37474	SCHMD02770
OG0000660	DANRE26438, DANRE26437, DANRE26436, DANRE35327, DANRE07903, DANRE26443	SCHMD20422, SCHMD27193
OG0000661	DANRE17029, DANRE17066, DANRE17065, DANRE17046, DANRE17051, DANRE17018, DANRE16997, DANRE16995, DANRE17047, DANRE16994, DANRE16996, DANRE17002, DANRE17001, DANRE17004, DANRE17005, DANRE17015, DANRE17024, DANRE17022, DANRE17000, DANRE17020, DANRE16999, DANRE17003, DANRE17027, DANRE17031, DANRE17014, DANRE17030, DANRE17006, DANRE17007, DANRE17011, DANRE17013, DANRE17010, DANRE17034, DANRE17033, DANRE17032, DANRE16998, DANRE17035, DANRE17012, DANRE17016, DANRE16993, DANRE17064, DANRE17057, DANRE17058, DANRE17055, DANRE17063, DANRE17062, DANRE17061, DANRE17060, DANRE17059, DANRE17054, DANRE17053, DANRE17056, DANRE17048, DANRE17050, DANRE17049, DANRE17017, DANRE17019, DANRE16921, DANRE16920, DANRE16923, DANRE16924, DANRE16922, DANRE16919, DANRE16918, DANRE16925, DANRE16927, DANRE16926, DANRE16928	SCHMD15279
OG0000664	DANRE39767, DANRE30905, DANRE02763	SCHMD04491, SCHMD14555
OG0000664	DANRE35705, DANRE10611, DANRE10610, DANRE10609	SCHMD04182
OG0000665	DANRE38365, DANRE19520, DANRE34684, DANRE09591, DANRE09590, DANRE13938, DANRE13939, DANRE19399, DANRE19400	SCHMD09294
OG0000666	DANRE25699, DANRE25700, DANRE30926, DANRE30929, DANRE30924, DANRE30925, DANRE29200, DANRE29201, DANRE03143, DANRE02721, DANRE02720	SCHMD26735, SCHMD04900, SCHMD10850, SCHMD10849
OG0000672	DANRE02981, DANRE02982	SCHMD03901
OG0000674	DANRE09048, DANRE09049, DANRE09050, DANRE09052, DANRE09051, DANRE37577, DANRE37574, DANRE37576, DANRE37575	SCHMD14256
OG0000674	DANRE12573, DANRE12574, DANRE12575, DANRE39312, DANRE39311, DANRE39310, DANRE39309, DANRE25556	SCHMD27363, SCHMD28202
OG0000676	DANRE26937, DANRE26936, DANRE36241, DANRE20482, DANRE20483, DANRE35813, DANRE35814, DANRE41404	SCHMD08131
OG0000678	DANRE29989	SCHMD12018
OG0000680	DANRE20435, DANRE31089, DANRE31088, DANRE12567	SCHMD17558
OG0000680	DANRE36591, DANRE36590	SCHMD25925
OG0000681	DANRE15651, DANRE15652, DANRE07275, DANRE07276, DANRE07154, DANRE07153	SCHMD26784, SCHMD03976
OG0000682	DANRE33564, DANRE33563, DANRE11185, DANRE22049, DANRE22053, DANRE22052, DANRE22051, DANRE22050, DANRE19035, DANRE19036, DANRE19037	SCHMD04644, SCHMD08708, SCHMD25504, SCHMD17552, SCHMD21787, SCHMD07246, SCHMD25376, SCHMD05512
OG0000683	DANRE16155	SCHMD21601
OG0000684	DANRE41360, DANRE41356, DANRE41361, DANRE28296, DANRE39125	SCHMD07574, SCHMD07399, SCHMD07458, SCHMD23235, SCHMD27158, SCHMD07403
OG0000685	DANRE29493, DANRE29494, DANRE02304, DANRE02303, DANRE02302, DANRE31478, DANRE31477, DANRE31476	SCHMD02797, SCHMD09882
OG0000685	DANRE13483	SCHMD09879
OG0000688	DANRE09485	SCHMD13264
OG0000690	DANRE14634, DANRE14633	SCHMD24354
OG0000690	DANRE06381, DANRE39009, DANRE39006, DANRE39008	SCHMD17313, SCHMD21259, SCHMD18093
OG0000692	DANRE05971	SCHMD24514, SCHMD18362, SCHMD11826
OG0000694	DANRE10951, DANRE11638, DANRE17279, DANRE17281, DANRE17280, DANRE17278, DANRE35394, DANRE35396, DANRE35395, DANRE39558, DANRE39557	SCHMD02121, SCHMD02119
OG0000696	DANRE18175, DANRE18174	SCHMD17223, SCHMD17224, SCHMD29303
OG0000696	DANRE10818	SCHMD10590
OG0000697	DANRE30740, DANRE40406, DANRE02693, DANRE41127, DANRE41126, DANRE41128, DANRE41129, DANRE40289, DANRE02263, DANRE02262, DANRE36692	SCHMD10349, SCHMD08041
OG0000699	DANRE01006, DANRE01007, DANRE34502	SCHMD20380, SCHMD24169, SCHMD20675, SCHMD24967
OG0000701	DANRE05122, DANRE05121, DANRE05123, DANRE33566, DANRE40860, DANRE40861	SCHMD02913, SCHMD15835, SCHMD15836
OG0000702	DANRE21696, DANRE39048, DANRE39049, DANRE39053, DANRE39051, DANRE39055, DANRE39050, DANRE39054, DANRE39047, DANRE39044, DANRE39052, DANRE39045, DANRE39046	SCHMD21765, SCHMD21766
OG0000703	DANRE04985	SCHMD16900, SCHMD27672, SCHMD19745, SCHMD27562, SCHMD13056, SCHMD14155, SCHMD02015, SCHMD21390, SCHMD19872, SCHMD13000, SCHMD28016, SCHMD02951, SCHMD22472, SCHMD05181, SCHMD19746, SCHMD15814, SCHMD02952, SCHMD15683
OG0000703	DANRE04984, DANRE04983, DANRE35267, DANRE07193, DANRE04855, DANRE04856	SCHMD03880
OG0000706	DANRE17407, DANRE22750, DANRE02764	SCHMD26259, SCHMD27843
OG0000708	DANRE26713, DANRE26712, DANRE24571, DANRE24572	SCHMD25653
OG0000708	DANRE43230	SCHMD21805
OG0000709	DANRE19979, DANRE39457, DANRE02911, DANRE05879	SCHMD18124
OG0000711	DANRE38476, DANRE25230, DANRE12636, DANRE12637, DANRE12638	SCHMD16082
OG0000711	DANRE25772, DANRE31323, DANRE31322, DANRE31321	SCHMD02785
OG0000712	DANRE20132, DANRE20131, DANRE06778, DANRE06776, DANRE06777, DANRE33734, DANRE33735, DANRE33736, DANRE07797, DANRE07796, DANRE07795, DANRE07798, DANRE16293, DANRE16292, DANRE16291, DANRE16290, DANRE07104, DANRE07105	SCHMD23626
OG0000713	DANRE37942, DANRE37940, DANRE37941, DANRE37943, DANRE34878, DANRE33352, DANRE24296, DANRE33355, DANRE33351, DANRE33353, DANRE33354	SCHMD17095
OG0000716	DANRE24425, DANRE24426, DANRE18357	SCHMD04462, SCHMD22884, SCHMD19144, SCHMD07207, SCHMD17723
OG0000717	DANRE43353, DANRE26800, DANRE35508, DANRE26799, DANRE33372, DANRE33371, DANRE33373, DANRE40682, DANRE40681, DANRE40679, DANRE40680, DANRE30258, DANRE10487, DANRE10489, DANRE10488, DANRE10486	SCHMD26760, SCHMD12553
OG0000718	DANRE42521, DANRE15304, DANRE15307, DANRE15308, DANRE15303, DANRE15306, DANRE15305, DANRE15302, DANRE13827, DANRE09237, DANRE27971	SCHMD24218, SCHMD05666, SCHMD25000, SCHMD11831
OG0000721	DANRE19921, DANRE33496, DANRE06311, DANRE33754, DANRE11903, DANRE17612, DANRE17613	SCHMD15260, SCHMD29752, SCHMD09543
