Orthogroup	DANRE	YEAST
OG0000479	DANRE10077, DANRE10078, DANRE14206, DANRE14207, DANRE17444, DANRE17445, DANRE17446, DANRE07001, DANRE16462, DANRE07346, DANRE33624, DANRE00042, DANRE00044, DANRE00043	YEAST04139
OG0000480	DANRE22993, DANRE02638, DANRE02639	YEAST05750
OG0000481	DANRE03162, DANRE00276, DANRE29372, DANRE03161	YEAST01040
OG0000481	DANRE34217	YEAST00916
OG0000481	DANRE20546, DANRE07350, DANRE00274, DANRE00275	YEAST00827, YEAST00774
OG0000484	DANRE30174, DANRE36358, DANRE26698, DANRE26697, DANRE36356, DANRE36357, DANRE40019, DANRE40018, DANRE27070, DANRE27071, DANRE01866, DANRE01867, DANRE01868, DANRE36359	YEAST05824
OG0000486	DANRE05042, DANRE07090, DANRE07089, DANRE04364	YEAST03122, YEAST04270
OG0000487	DANRE10699, DANRE11862, DANRE11863, DANRE11864	YEAST04968
OG0000487	DANRE28673	YEAST02728
OG0000488	DANRE14182, DANRE14183, DANRE14180, DANRE01677, DANRE22393, DANRE22392, DANRE05627, DANRE05626, DANRE18066, DANRE18067, DANRE18068, DANRE18065, DANRE14181, DANRE01678	YEAST01414
OG0000490	DANRE13869, DANRE36198, DANRE36199, DANRE30262, DANRE30263, DANRE13871, DANRE13870, DANRE10492, DANRE10493, DANRE10494, DANRE19551, DANRE19550, DANRE35143, DANRE35142, DANRE35145, DANRE35144	YEAST04297, YEAST00894
OG0000505	DANRE20986, DANRE20985, DANRE28320, DANRE28321, DANRE34921, DANRE34920, DANRE26014, DANRE26013, DANRE26010, DANRE26011, DANRE26012, DANRE10179, DANRE10178	YEAST03067
OG0000508	DANRE03868, DANRE14508, DANRE14509, DANRE41797, DANRE41796, DANRE41798, DANRE33661, DANRE33660, DANRE34215, DANRE34216, DANRE34446, DANRE08333, DANRE08332, DANRE08334	YEAST04626
OG0000510	DANRE29015, DANRE29016, DANRE23929, DANRE24614, DANRE24613, DANRE33900, DANRE33901, DANRE00308, DANRE16489, DANRE06484, DANRE06483	YEAST04569, YEAST05730
OG0000515	DANRE03235, DANRE03236	YEAST04784, YEAST05876
OG0000519	DANRE01551, DANRE33550, DANRE01552	YEAST04594, YEAST03616
OG0000520	DANRE01444, DANRE01443, DANRE01442, DANRE40706, DANRE29662, DANRE08682, DANRE13991, DANRE08165, DANRE08166	YEAST02979
OG0000523	DANRE35335, DANRE35336, DANRE35333, DANRE35334, DANRE43295, DANRE38364, DANRE37559	YEAST01952, YEAST05838, YEAST06082
OG0000529	DANRE17658, DANRE17657, DANRE17656, DANRE00162, DANRE34045, DANRE14000, DANRE09212, DANRE00742, DANRE02792, DANRE02793	YEAST05790, YEAST00048
OG0000534	DANRE41516, DANRE41515, DANRE41513, DANRE35861, DANRE41514, DANRE23039, DANRE35863, DANRE35862, DANRE23037, DANRE23038, DANRE24707, DANRE24706, DANRE29924	YEAST04932
OG0000538	DANRE42160, DANRE37095, DANRE29198, DANRE03222, DANRE03824, DANRE27952, DANRE27950, DANRE27949, DANRE27951, DANRE03823, DANRE03821, DANRE03822	YEAST00499
OG0000552	DANRE01503, DANRE06418, DANRE06417, DANRE06064	YEAST05717
OG0000561	DANRE18926, DANRE18925, DANRE18927, DANRE10686, DANRE10685, DANRE18929, DANRE35309, DANRE06689	YEAST06202, YEAST00331
OG0000562	DANRE27041, DANRE01831, DANRE25391, DANRE09161	YEAST00314
OG0000563	DANRE39600, DANRE20313, DANRE07912, DANRE39601	YEAST01406
OG0000566	DANRE21691, DANRE21693, DANRE13203, DANRE21692, DANRE19765, DANRE19764, DANRE19766, DANRE19762, DANRE19763, DANRE25205, DANRE25192, DANRE13200, DANRE13201, DANRE13198, DANRE13199, DANRE13202, DANRE25108, DANRE33333, DANRE33334	YEAST05789, YEAST00049
OG0000573	DANRE13773, DANRE13772, DANRE09290, DANRE26429, DANRE36969, DANRE41278, DANRE34489, DANRE02931, DANRE13206, DANRE13207, DANRE25110	YEAST05675
OG0000576	DANRE42659, DANRE42663, DANRE41341, DANRE42662, DANRE42660, DANRE42661, DANRE04947, DANRE41342, DANRE04948, DANRE22099, DANRE22100, DANRE22101	YEAST00470, YEAST00193
OG0000578	DANRE05437, DANRE37784, DANRE37783, DANRE37782, DANRE35561, DANRE35560, DANRE35559, DANRE35558, DANRE17778, DANRE17779, DANRE17777, DANRE05436, DANRE05438, DANRE05439, DANRE04401, DANRE04402, DANRE04409, DANRE04410, DANRE04403, DANRE04406, DANRE04405, DANRE04407, DANRE04404, DANRE04408, DANRE07773, DANRE19685	YEAST01208, YEAST00759
OG0000579	DANRE25633, DANRE31259, DANRE31258, DANRE31257, DANRE02315, DANRE02313, DANRE02314, DANRE25634, DANRE39934, DANRE01665, DANRE01666, DANRE01664, DANRE01668, DANRE39933, DANRE39930, DANRE39932, DANRE39931, DANRE22831, DANRE22830	YEAST02484
OG0000582	DANRE35656, DANRE35655, DANRE27461, DANRE27462, DANRE39859, DANRE39858, DANRE34307, DANRE34305, DANRE34306, DANRE10407, DANRE10406, DANRE13531, DANRE13529, DANRE13530	YEAST03615
OG0000587	DANRE08842, DANRE08843, DANRE28077, DANRE38185, DANRE38186, DANRE38187, DANRE23765, DANRE02066, DANRE02067	YEAST04063
OG0000587	DANRE07770	YEAST03372
OG0000588	DANRE30123, DANRE16941, DANRE26565, DANRE19175, DANRE34600, DANRE01195, DANRE01197, DANRE01196	YEAST05197
OG0000590	DANRE42192, DANRE42191, DANRE42190, DANRE29030, DANRE10504, DANRE10503, DANRE14379, DANRE29029, DANRE28274, DANRE36861	YEAST05110, YEAST05552, YEAST03727
OG0000592	DANRE40569, DANRE18531, DANRE25922, DANRE25921, DANRE38966, DANRE38965, DANRE38964, DANRE34487	YEAST00388
OG0000597	DANRE37823, DANRE20385, DANRE20386, DANRE20384, DANRE29524, DANRE34209, DANRE33695, DANRE34208, DANRE38490, DANRE38491, DANRE24980, DANRE23651, DANRE23650, DANRE16005, DANRE16004	YEAST04330
OG0000609	DANRE11913, DANRE11914, DANRE15267, DANRE15268, DANRE42499, DANRE15265, DANRE15266, DANRE21338	YEAST05180
OG0000612	DANRE39403, DANRE11619, DANRE04246, DANRE04245, DANRE35389	YEAST02370
OG0000612	DANRE22363, DANRE22364	YEAST03629
OG0000613	DANRE18520, DANRE01714, DANRE01713, DANRE10094, DANRE14218, DANRE14219, DANRE34847, DANRE38974	YEAST01072
OG0000623	DANRE05276	YEAST02411
OG0000623	DANRE29318, DANRE29319, DANRE29321, DANRE29320, DANRE29317, DANRE36066, DANRE36067	YEAST05090
OG0000627	DANRE39087, DANRE01285, DANRE01283, DANRE01284, DANRE13403, DANRE10285, DANRE10284, DANRE24252	YEAST02116, YEAST03957
OG0000639	DANRE12180, DANRE19333, DANRE19332, DANRE26025, DANRE26027, DANRE24926, DANRE24925, DANRE24924, DANRE23613, DANRE23612, DANRE37057	YEAST02015
OG0000642	DANRE23759, DANRE23758, DANRE23757, DANRE16691, DANRE16692, DANRE04589, DANRE04590, DANRE04591, DANRE15452, DANRE04791	YEAST00618
OG0000645	DANRE38840, DANRE12356	YEAST05140
OG0000645	DANRE16501, DANRE26016	YEAST04743
OG0000647	DANRE39973, DANRE16386, DANRE16387, DANRE05385, DANRE42708, DANRE42709, DANRE42707	YEAST04534
OG0000648	DANRE23826, DANRE23825, DANRE23827, DANRE27007	YEAST04178, YEAST05641
OG0000657	DANRE41216, DANRE41219, DANRE41218, DANRE41217, DANRE38328, DANRE38327	YEAST03846
OG0000660	DANRE18866, DANRE42701, DANRE37475, DANRE37474, DANRE26438, DANRE26437, DANRE26436, DANRE35327, DANRE07903, DANRE26443	YEAST05150, YEAST01587
OG0000662	DANRE07121, DANRE07120, DANRE07123, DANRE07122, DANRE29859, DANRE29860, DANRE04026, DANRE03635	YEAST05937
OG0000663	DANRE14734, DANRE18093, DANRE18092, DANRE15132, DANRE18094, DANRE15131, DANRE18091, DANRE18096	YEAST02675, YEAST03294
OG0000672	DANRE26530, DANRE33887, DANRE38205	YEAST03771
OG0000672	DANRE02981, DANRE02982	YEAST00984
OG0000676	DANRE14726	YEAST01503
OG0000676	DANRE35816, DANRE26937, DANRE26936, DANRE36241, DANRE20482, DANRE20483, DANRE35813, DANRE35814, DANRE41404, DANRE35815	YEAST02962
OG0000683	DANRE16155, DANRE30129, DANRE16951, DANRE01917, DANRE26336, DANRE26335, DANRE26337, DANRE26338	YEAST03152, YEAST03537, YEAST05938
OG0000690	DANRE14634, DANRE14633	YEAST04874
OG0000690	DANRE06381, DANRE39009, DANRE39006, DANRE39008	YEAST02296
OG0000692	DANRE05971	YEAST01969
OG0000694	DANRE10951, DANRE11638, DANRE17279, DANRE17281, DANRE17280, DANRE17278, DANRE35394, DANRE35396, DANRE35395, DANRE39558, DANRE39557	YEAST05978
OG0000699	DANRE01006, DANRE01007, DANRE34502, DANRE23685, DANRE01009, DANRE01010, DANRE01008	YEAST05706
OG0000701	DANRE05122, DANRE05121, DANRE05123, DANRE33566, DANRE40860, DANRE40861	YEAST02239, YEAST02223
OG0000703	DANRE04985, DANRE04984, DANRE04983, DANRE35267, DANRE07193, DANRE04855, DANRE04856	YEAST05314
OG0000708	DANRE26713, DANRE26712, DANRE24571, DANRE24572, DANRE43230, DANRE09020, DANRE39758, DANRE39759	YEAST05997
OG0000709	DANRE19979, DANRE39457, DANRE02911, DANRE05879, DANRE04592	YEAST00057
OG0000724	DANRE11255, DANRE02587, DANRE17945, DANRE11885, DANRE11884	YEAST02013
OG0000732	DANRE20486, DANRE20487, DANRE36244, DANRE36245, DANRE28676, DANRE28674, DANRE28675, DANRE16727, DANRE36379	YEAST04978
OG0000733	DANRE05680, DANRE17763, DANRE38134, DANRE17606, DANRE18931, DANRE10693, DANRE18930, DANRE04553, DANRE04552	YEAST05474
OG0000735	DANRE18911, DANRE10653, DANRE10360, DANRE10359, DANRE13894, DANRE10302, DANRE13895, DANRE11358, DANRE11359	YEAST05945
OG0000737	DANRE05232, DANRE05233, DANRE05234, DANRE34954, DANRE33897	YEAST05188
OG0000744	DANRE27730, DANRE27734, DANRE27731, DANRE27729, DANRE27732, DANRE27733, DANRE37286, DANRE37288, DANRE37287, DANRE37289, DANRE27304, DANRE36882, DANRE36881	YEAST05951
OG0000745	DANRE04783	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102
OG0000752	DANRE04759, DANRE04760, DANRE33350, DANRE26482, DANRE26483, DANRE16748	YEAST01432, YEAST04483
OG0000753	DANRE12159, DANRE22875, DANRE08092, DANRE08093, DANRE35099	YEAST01034, YEAST02037
OG0000757	DANRE36164, DANRE36163, DANRE28665, DANRE41715, DANRE35775, DANRE28939, DANRE35703	YEAST01489
OG0000758	DANRE11468, DANRE24018, DANRE24019, DANRE27344, DANRE27343, DANRE27345, DANRE02463, DANRE02464, DANRE18105, DANRE11683, DANRE11685, DANRE11684	YEAST01504
OG0000759	DANRE42810, DANRE21337, DANRE23917, DANRE23918, DANRE26676, DANRE23361	YEAST02878, YEAST05681
OG0000768	DANRE31068, DANRE31072, DANRE31070, DANRE31069, DANRE31071, DANRE22256, DANRE22257, DANRE22874	YEAST02560, YEAST04269
OG0000772	DANRE07203, DANRE15796, DANRE15798, DANRE15797, DANRE09745, DANRE09746	YEAST04929
OG0000776	DANRE35255, DANRE35254, DANRE15732, DANRE42482, DANRE06939	YEAST04571, YEAST00195, YEAST00312
OG0000777	DANRE35455, DANRE35454, DANRE29451, DANRE29452, DANRE29983, DANRE15427, DANRE29329, DANRE29328, DANRE36168, DANRE36169	YEAST06297, YEAST02627
OG0000779	DANRE34818, DANRE34815, DANRE34816, DANRE34817, DANRE22401, DANRE01681, DANRE01682, DANRE23289, DANRE23290, DANRE24330, DANRE24331	YEAST03812
OG0000782	DANRE28363, DANRE28364, DANRE21701, DANRE34593, DANRE34592, DANRE34595, DANRE34594, DANRE12747, DANRE12748, DANRE38505, DANRE38506	YEAST01393, YEAST05616
OG0000791	DANRE26678, DANRE24509, DANRE24508, DANRE24505, DANRE24506, DANRE35507, DANRE15367, DANRE15368, DANRE41773	YEAST02375
OG0000794	DANRE08088, DANRE20295, DANRE08087, DANRE33664, DANRE29799, DANRE29798, DANRE29797, DANRE08089, DANRE08090	YEAST04627
OG0000800	DANRE30113, DANRE30114, DANRE30111, DANRE30112, DANRE30118, DANRE30117, DANRE30119, DANRE12830, DANRE12829, DANRE12803, DANRE25273, DANRE11295	YEAST03636
OG0000809	DANRE26639, DANRE26638, DANRE26637, DANRE40060, DANRE40059, DANRE40058, DANRE27835, DANRE27833, DANRE27834, DANRE27836, DANRE21723, DANRE21722, DANRE34758, DANRE01481	YEAST01998
OG0000817	DANRE01758, DANRE11205	YEAST00389
OG0000817	DANRE24618, DANRE24619	YEAST06112
OG0000824	DANRE08292, DANRE43285, DANRE20331, DANRE20334, DANRE20330, DANRE20333, DANRE20332, DANRE20337, DANRE20335, DANRE20336, DANRE08291	YEAST01319, YEAST02883
OG0000828	DANRE38353, DANRE39520	YEAST00945, YEAST05476, YEAST00075
OG0000828	DANRE00140, DANRE00141	YEAST02290
OG0000837	DANRE24017, DANRE05271, DANRE14993, DANRE14992, DANRE14994, DANRE14991, DANRE16122, DANRE05269, DANRE05270, DANRE22660	YEAST06222
OG0000841	DANRE13645, DANRE13646, DANRE13648, DANRE13647, DANRE13644, DANRE12852, DANRE18521, DANRE01048, DANRE01047	YEAST02416
OG0000847	DANRE03178, DANRE03177	YEAST02881, YEAST03544, YEAST06198
OG0000847	DANRE33537, DANRE29369, DANRE29370	YEAST02530, YEAST00209
OG0000849	DANRE40416, DANRE40418, DANRE20686, DANRE20687, DANRE39825, DANRE39325, DANRE12617	YEAST04475
OG0000850	DANRE27632, DANRE21524, DANRE21523, DANRE21522, DANRE27633, DANRE05783, DANRE05782	YEAST04287
OG0000852	DANRE08986, DANRE13970, DANRE23607, DANRE23608, DANRE15093	YEAST01266
OG0000854	DANRE04417, DANRE12580, DANRE12581, DANRE12578, DANRE12579, DANRE12582, DANRE04416, DANRE04420, DANRE04419, DANRE04418	YEAST00248
OG0000855	DANRE33341, DANRE07887, DANRE07886	YEAST04755
OG0000857	DANRE37002, DANRE22445, DANRE25005, DANRE25488, DANRE39308, DANRE37004, DANRE37003, DANRE25489	YEAST00309
OG0000868	DANRE20885, DANRE18972, DANRE11567, DANRE11568, DANRE18971, DANRE18970, DANRE12042	YEAST06157
OG0000871	DANRE07004, DANRE07003, DANRE21971, DANRE21970, DANRE21972	YEAST03857
OG0000872	DANRE25284, DANRE12354, DANRE25283, DANRE25280, DANRE25282, DANRE25281, DANRE12355, DANRE12352, DANRE12353, DANRE31424, DANRE25286, DANRE25285	YEAST03222, YEAST03741
OG0000875	DANRE18885, DANRE18882, DANRE28204, DANRE28280, DANRE28203, DANRE28205, DANRE28207, DANRE28206, DANRE28208, DANRE28209, DANRE35854	YEAST00077
OG0000876	DANRE24478, DANRE24477, DANRE24479, DANRE27898, DANRE27899, DANRE23117, DANRE23116, DANRE23115, DANRE36571, DANRE36570, DANRE41380	YEAST05556
OG0000879	DANRE22248, DANRE22249, DANRE33888, DANRE38206, DANRE23042, DANRE35784	YEAST06123
OG0000888	DANRE13975, DANRE09386, DANRE28309, DANRE33990, DANRE33989	YEAST00288
OG0000889	DANRE17250, DANRE17249, DANRE29366, DANRE33536, DANRE01110, DANRE07937	YEAST00175
OG0000894	DANRE16233, DANRE03636, DANRE03637, DANRE28552, DANRE28558, DANRE28553, DANRE28559, DANRE30057	YEAST03763
OG0000896	DANRE27183	YEAST02476
OG0000896	DANRE18365, DANRE18364, DANRE00892, DANRE00891, DANRE08958, DANRE08959	YEAST04923
OG0000898	DANRE24566, DANRE26708, DANRE26706, DANRE26707, DANRE28890	YEAST06255, YEAST03431
OG0000905	DANRE25795, DANRE38944, DANRE25791, DANRE25774	YEAST00599
OG0000907	DANRE39571, DANRE26506, DANRE21488, DANRE21486, DANRE21487, DANRE39569, DANRE39567, DANRE39568, DANRE39570	YEAST02193
OG0000913	DANRE06706, DANRE08772	YEAST03557, YEAST05101
OG0000914	DANRE22546, DANRE22545, DANRE39763, DANRE39764, DANRE40362, DANRE01745, DANRE24949, DANRE24948, DANRE24950	YEAST04745
OG0000921	DANRE09862, DANRE09863, DANRE41397, DANRE41396, DANRE23828, DANRE39952	YEAST02526
OG0000925	DANRE00252, DANRE00256, DANRE00255, DANRE00250, DANRE00254, DANRE00253, DANRE00251, DANRE37121, DANRE37119, DANRE42422, DANRE42421, DANRE42420, DANRE37120	YEAST05667, YEAST06025
OG0000932	DANRE39656, DANRE39655, DANRE01028, DANRE01027, DANRE42984, DANRE39657, DANRE07573, DANRE07574	YEAST03525
OG0000933	DANRE11215, DANRE20009, DANRE38011, DANRE38009, DANRE05655, DANRE05654, DANRE05656, DANRE38010, DANRE38008, DANRE38007	YEAST06306
OG0000934	DANRE41926, DANRE41925, DANRE41924, DANRE41923, DANRE17314, DANRE17315	YEAST02582, YEAST06252
OG0000934	DANRE20665, DANRE40437, DANRE31439	YEAST05040
OG0000935	DANRE20955, DANRE28333, DANRE28334, DANRE12377, DANRE12378, DANRE37563, DANRE37564, DANRE08991, DANRE13968, DANRE13967, DANRE21030, DANRE42779	YEAST02843
OG0000943	DANRE25869, DANRE25868, DANRE40729, DANRE40731, DANRE40730	YEAST03805
OG0000944	DANRE24388, DANRE24387, DANRE01130, DANRE01129, DANRE06809, DANRE06354, DANRE33796, DANRE33797	YEAST04878
OG0000954	DANRE35837, DANRE29087	YEAST05503, YEAST01249
OG0000955	DANRE16947, DANRE34598	YEAST00837
OG0000955	DANRE06010	YEAST04295
OG0000963	DANRE21554, DANRE21556, DANRE28340, DANRE21555, DANRE40847, DANRE23590	YEAST03685, YEAST00482, YEAST01749
OG0000964	DANRE13381, DANRE13380, DANRE13379	YEAST04606
OG0000965	DANRE07376	YEAST02552
OG0000965	DANRE37868	YEAST02050
OG0000967	DANRE00803, DANRE03536, DANRE03535, DANRE11311, DANRE11310, DANRE11308, DANRE11309	YEAST05075
OG0000970	DANRE03157, DANRE33493, DANRE19214, DANRE19215	YEAST04028
OG0000982	DANRE21553, DANRE28338, DANRE28339, DANRE14101, DANRE09208, DANRE39834, DANRE00506, DANRE00508, DANRE00507, DANRE00509	YEAST01182
OG0000984	DANRE19378, DANRE19379, DANRE19380, DANRE19381, DANRE21816, DANRE21815, DANRE21817	YEAST01493, YEAST00575
OG0000986	DANRE00161, DANRE05005, DANRE00295, DANRE00296, DANRE00297, DANRE35316, DANRE35315	YEAST01481, YEAST04073
OG0000987	DANRE23844, DANRE23846, DANRE23845, DANRE28109, DANRE28108, DANRE28110, DANRE36582, DANRE23126, DANRE02985, DANRE02984, DANRE42848, DANRE42847, DANRE02986	YEAST04734, YEAST02734
OG0000994	DANRE17301, DANRE01452, DANRE01451	YEAST02360
OG0000996	DANRE33745, DANRE33744, DANRE06309, DANRE24287, DANRE26741, DANRE26742, DANRE26739, DANRE26738, DANRE26740	YEAST00033
OG0001001	DANRE00734, DANRE00733, DANRE37957, DANRE37956, DANRE37124, DANRE37123, DANRE42439, DANRE42438, DANRE37122	YEAST00341
OG0001003	DANRE40912, DANRE40913, DANRE40910, DANRE40914, DANRE40911, DANRE34619, DANRE34618	YEAST00644
OG0001006	DANRE15473, DANRE40023, DANRE00151, DANRE27457	YEAST04513
OG0001016	DANRE23809, DANRE23808, DANRE24167, DANRE28181, DANRE24165, DANRE24166	YEAST00830
OG0001018	DANRE16608, DANRE16609, DANRE11146, DANRE11145	YEAST01172
OG0001024	DANRE07373, DANRE04817, DANRE04816, DANRE06260, DANRE03283, DANRE11210, DANRE11211, DANRE41223	YEAST01024, YEAST00308
OG0001033	DANRE02095, DANRE40162	YEAST02124
OG0001066	DANRE39946, DANRE40457, DANRE39945, DANRE22302, DANRE40512, DANRE36839	YEAST06311
OG0001075	DANRE09111, DANRE09112, DANRE09110, DANRE09113, DANRE09109, DANRE18111, DANRE18112, DANRE18109, DANRE18110, DANRE11682	YEAST05636
OG0001076	DANRE17847, DANRE01059, DANRE01061, DANRE08511, DANRE08513, DANRE08512, DANRE01060, DANRE08514, DANRE17848, DANRE17845, DANRE17846, DANRE17844	YEAST01570
OG0001081	DANRE12197, DANRE12196, DANRE12195	YEAST04460
OG0001082	DANRE01614	YEAST03919, YEAST02905, YEAST05331
OG0001094	DANRE10894, DANRE06835, DANRE05547	YEAST03837
OG0001095	DANRE37105, DANRE37106, DANRE21368, DANRE21367, DANRE14978	YEAST00773
OG0001096	DANRE36317, DANRE41555, DANRE41553, DANRE41554	YEAST01384
OG0001101	DANRE43023, DANRE43024	YEAST03434
OG0001101	DANRE02372	YEAST04701
OG0001108	DANRE22562, DANRE36536, DANRE36537, DANRE22561, DANRE22563, DANRE07648, DANRE07647, DANRE07649, DANRE07646, DANRE07645	YEAST06309
OG0001111	DANRE21586	YEAST06003
OG0001113	DANRE29305, DANRE29306	YEAST05320
OG0001113	DANRE36120	YEAST00954
OG0001114	DANRE12192, DANRE12194, DANRE25899, DANRE10621, DANRE10620, DANRE10623, DANRE10622	YEAST00036, YEAST05811
OG0001124	DANRE03040, DANRE01476	YEAST02719
OG0001132	DANRE00495, DANRE00494, DANRE00496	YEAST05421
OG0001133	DANRE14565	YEAST04296
OG0001133	DANRE00326, DANRE00325	YEAST03271
OG0001134	DANRE30384, DANRE03544, DANRE03543	YEAST05015
OG0001135	DANRE15167, DANRE15168, DANRE15171, DANRE15169, DANRE15170, DANRE03694, DANRE43114, DANRE28908, DANRE28907, DANRE28967, DANRE28968	YEAST03641
OG0001136	DANRE40170, DANRE40169, DANRE26964, DANRE26965, DANRE39095, DANRE39094	YEAST05047, YEAST02997
OG0001140	DANRE14735, DANRE14736, DANRE12076, DANRE12078	YEAST03519
OG0001142	DANRE38005, DANRE38003	YEAST04001
OG0001163	DANRE04351, DANRE05359	YEAST02433
OG0001164	DANRE00549, DANRE00552, DANRE00551, DANRE00550	YEAST03454
OG0001171	DANRE24329, DANRE23282, DANRE23283, DANRE23281, DANRE14514, DANRE14513, DANRE09798, DANRE09799, DANRE22398, DANRE22399, DANRE22400	YEAST04620, YEAST03578
OG0001175	DANRE40566, DANRE40568, DANRE40567, DANRE40616, DANRE40615, DANRE00572, DANRE40617	YEAST00534
OG0001177	DANRE26390, DANRE26389, DANRE40862, DANRE40864, DANRE40863	YEAST06137
OG0001179	DANRE39019, DANRE37036, DANRE37035	YEAST00368, YEAST04831, YEAST02287
OG0001181	DANRE23910, DANRE23911, DANRE26674, DANRE26675, DANRE03474, DANRE29972, DANRE29971	YEAST02051
OG0001184	DANRE14296, DANRE14295, DANRE38448	YEAST01681
OG0001185	DANRE10091, DANRE10087, DANRE10090, DANRE10088, DANRE10089, DANRE05149, DANRE05150	YEAST04969
OG0001186	DANRE26898, DANRE26897, DANRE26189, DANRE39141	YEAST04605, YEAST01886
OG0001191	DANRE23738, DANRE41174, DANRE11828, DANRE11011, DANRE11829, DANRE03309, DANRE03310, DANRE06571	YEAST04707
OG0001192	DANRE19039, DANRE11992	YEAST01898
OG0001197	DANRE19964, DANRE19965, DANRE09525, DANRE42674	YEAST01499
OG0001201	DANRE12519, DANRE22352, DANRE22354, DANRE02404, DANRE02405, DANRE24906, DANRE22353, DANRE22355, DANRE12520, DANRE24918	YEAST05452
OG0001204	DANRE00077, DANRE07916, DANRE07914, DANRE07913, DANRE20317, DANRE20315, DANRE20314, DANRE07915, DANRE20316	YEAST05200
OG0001207	DANRE42063, DANRE24209, DANRE29571, DANRE35692	YEAST04258
OG0001210	DANRE18802, DANRE18801, DANRE18800	YEAST05511
OG0001210	DANRE26760, DANRE26759	YEAST02318
OG0001212	DANRE04861, DANRE04863, DANRE04862	YEAST03971
OG0001214	DANRE24143, DANRE31132, DANRE31134, DANRE31133	YEAST00577
OG0001216	DANRE39374, DANRE33871, DANRE09303, DANRE26030	YEAST00145
OG0001219	DANRE06219, DANRE06220, DANRE20139, DANRE10625, DANRE13985, DANRE13984	YEAST03867
OG0001236	DANRE10388, DANRE09452, DANRE09451, DANRE09450, DANRE09449	YEAST03325, YEAST02687, YEAST03269
OG0001237	DANRE37662, DANRE25316, DANRE10422, DANRE34753, DANRE34752, DANRE25150, DANRE25151	YEAST04380
OG0001238	DANRE07226, DANRE26310	YEAST04481
OG0001241	DANRE22500, DANRE22501	YEAST02002
OG0001241	DANRE16085, DANRE06905	YEAST03967, YEAST01074
OG0001243	DANRE38914, DANRE39511, DANRE25154, DANRE38911, DANRE38913, DANRE38912	YEAST00739, YEAST05004
OG0001249	DANRE15846, DANRE26785, DANRE35515, DANRE20943	YEAST01062, YEAST02067
OG0001250	DANRE29340, DANRE29339, DANRE29338, DANRE03569, DANRE03568, DANRE03567, DANRE30537	YEAST02968, YEAST01339
OG0001251	DANRE39135, DANRE39136, DANRE39134, DANRE24093, DANRE24095, DANRE24092, DANRE24094	YEAST01707
OG0001253	DANRE30836, DANRE12545, DANRE39815, DANRE39814, DANRE22552, DANRE30835, DANRE30834, DANRE40361, DANRE01742, DANRE01743, DANRE01744	YEAST03998
OG0001254	DANRE00247, DANRE00249, DANRE39065, DANRE25611, DANRE25612	YEAST04309
OG0001262	DANRE19262	YEAST00911
OG0001263	DANRE33573, DANRE05204, DANRE05205, DANRE03253, DANRE03252, DANRE29681, DANRE29682	YEAST00172
OG0001268	DANRE36957, DANRE15799, DANRE22870, DANRE22871	YEAST03495
OG0001270	DANRE24812	YEAST01703
OG0001270	DANRE29397	YEAST02398
OG0001271	DANRE03359, DANRE27363, DANRE38820, DANRE38819, DANRE38817, DANRE38818, DANRE27361, DANRE27362, DANRE27360, DANRE03360, DANRE21111	YEAST05227, YEAST00662
OG0001278	DANRE30403, DANRE02994, DANRE02993, DANRE02995, DANRE18880, DANRE18879	YEAST01893
OG0001279	DANRE13251, DANRE13250, DANRE00031, DANRE00032, DANRE10695, DANRE04800, DANRE16827	YEAST03070
OG0001280	DANRE25620, DANRE25621, DANRE37606, DANRE37604, DANRE37605, DANRE28151, DANRE40113, DANRE40112, DANRE37607, DANRE16017, DANRE23707, DANRE16016, DANRE37603	YEAST00846
OG0001282	DANRE42333, DANRE34496, DANRE34495, DANRE42332, DANRE42331, DANRE27101, DANRE24465, DANRE24464	YEAST03744
OG0001284	DANRE24158, DANRE09932, DANRE14552, DANRE25929	YEAST00567, YEAST01498
OG0001286	DANRE38943, DANRE38941, DANRE38942, DANRE25785, DANRE25786, DANRE25784, DANRE29610, DANRE29611, DANRE03205	YEAST00588, YEAST01486, YEAST03604
OG0001291	DANRE00618, DANRE00617, DANRE34030, DANRE34031, DANRE34032, DANRE06257, DANRE06256, DANRE20027, DANRE20028, DANRE20029	YEAST04453, YEAST04334
OG0001300	DANRE26543, DANRE26542, DANRE42930, DANRE42928, DANRE42929, DANRE06398, DANRE06399	YEAST01098
OG0001302	DANRE35522	YEAST02328
OG0001302	DANRE09810	YEAST00299
OG0001310	DANRE12016, DANRE12017, DANRE11088, DANRE11087, DANRE35906	YEAST00887
OG0001318	DANRE03829, DANRE41846, DANRE16169	YEAST03712
OG0001319	DANRE05988, DANRE33830, DANRE06762, DANRE06763, DANRE27088, DANRE27087, DANRE24474, DANRE42476, DANRE06765	YEAST01678
OG0001321	DANRE10455, DANRE13897, DANRE28336, DANRE12728, DANRE28335, DANRE21547, DANRE21546, DANRE10456	YEAST02280, YEAST01901
OG0001322	DANRE39175, DANRE39174, DANRE12563, DANRE12562, DANRE07737	YEAST06128
OG0001324	DANRE16093, DANRE16095, DANRE16098, DANRE16097, DANRE16094, DANRE16096	YEAST00078
OG0001325	DANRE07084, DANRE07085, DANRE07086, DANRE04852, DANRE04851, DANRE04853, DANRE07195, DANRE07194	YEAST00793
