Orthogroup	APOSJ_ok	CAPO3
OG0001263	APOSJ_26053, APOSJ_26052, APOSJ_27866, APOSJ_27867	CAPO301777
OG0001267	APOSJ_24539, APOSJ_40387, APOSJ_40388	CAPO307578
OG0001268	APOSJ_30635, APOSJ_30631, APOSJ_30630, APOSJ_61129, APOSJ_26078, APOSJ_61134, APOSJ_30632, APOSJ_61130, APOSJ_30629, APOSJ_31771	CAPO303692
OG0001270	APOSJ_00845, APOSJ_10264	CAPO306176
OG0001270	APOSJ_39650, APOSJ_52054, APOSJ_52055, APOSJ_52049, APOSJ_52052	CAPO304393
OG0001271	APOSJ_42324, APOSJ_42325, APOSJ_42323, APOSJ_42327, APOSJ_42326, APOSJ_42322	CAPO302779
OG0001272	APOSJ_63437, APOSJ_56345, APOSJ_64374, APOSJ_14803, APOSJ_14802	CAPO305566
OG0001273	APOSJ_07726, APOSJ_19500, APOSJ_19498	CAPO301889
OG0001274	APOSJ_63498, APOSJ_63499, APOSJ_63500, APOSJ_63501	CAPO308194
OG0001276	APOSJ_00033, APOSJ_37707, APOSJ_47385, APOSJ_00028, APOSJ_17176, APOSJ_00034, APOSJ_06801, APOSJ_21732, APOSJ_00032, APOSJ_40492, APOSJ_00029, APOSJ_00030, APOSJ_42710, APOSJ_17171, APOSJ_21731, APOSJ_21730, APOSJ_47368, APOSJ_21729, APOSJ_21728, APOSJ_17170, APOSJ_00027, APOSJ_00031	CAPO302888
OG0001278	APOSJ_45303, APOSJ_16356	CAPO306229
OG0001279	APOSJ_00366, APOSJ_00367	CAPO302733
OG0001280	APOSJ_38817, APOSJ_38818, APOSJ_38816	CAPO300326
OG0001281	APOSJ_13341, APOSJ_38314, APOSJ_13340, APOSJ_13334	CAPO304088, CAPO303543
OG0001282	APOSJ_53381, APOSJ_53380, APOSJ_53382, APOSJ_53379, APOSJ_53383, APOSJ_62917, APOSJ_63341, APOSJ_62919	CAPO303595
OG0001284	APOSJ_60084, APOSJ_51094, APOSJ_51096, APOSJ_51095, APOSJ_51093, APOSJ_38180, APOSJ_38179, APOSJ_38178, APOSJ_39124	CAPO300970
OG0001285	APOSJ_63111, APOSJ_45967, APOSJ_27842, APOSJ_25207	CAPO304179
OG0001286	APOSJ_64115, APOSJ_21405	CAPO303892
OG0001287	APOSJ_30564, APOSJ_02347, APOSJ_31786, APOSJ_62177	CAPO302822, CAPO304538
OG0001288	APOSJ_22796	CAPO302651
OG0001289	APOSJ_41541, APOSJ_41542, APOSJ_41540, APOSJ_03194, APOSJ_44935, APOSJ_44941, APOSJ_15301, APOSJ_44937, APOSJ_44938, APOSJ_15303, APOSJ_15302, APOSJ_15304, APOSJ_44939, APOSJ_30466, APOSJ_44936, APOSJ_44940	CAPO306071
OG0001290	APOSJ_34219, APOSJ_34220	CAPO302574
OG0001291	APOSJ_13944, APOSJ_61515, APOSJ_61517, APOSJ_61511, APOSJ_61514, APOSJ_61513, APOSJ_61512, APOSJ_61516	CAPO300695
OG0001294	APOSJ_33881, APOSJ_12351, APOSJ_55521, APOSJ_60130, APOSJ_60133, APOSJ_55523, APOSJ_60129, APOSJ_55517, APOSJ_33889, APOSJ_12353, APOSJ_12350, APOSJ_55520, APOSJ_12352, APOSJ_55516, APOSJ_55525, APOSJ_12355, APOSJ_12354, APOSJ_12349, APOSJ_55519, APOSJ_55524, APOSJ_60131, APOSJ_60128, APOSJ_55522	CAPO304223
OG0001295	APOSJ_42068, APOSJ_42067	CAPO306210
OG0001296	APOSJ_05820	CAPO308260
OG0001297	APOSJ_40127, APOSJ_40126, APOSJ_40128, APOSJ_50636	CAPO305437
OG0001300	APOSJ_00778	CAPO300154
OG0001302	APOSJ_50423, APOSJ_14148, APOSJ_45734, APOSJ_14151, APOSJ_50422, APOSJ_50421, APOSJ_38024	CAPO302654
OG0001302	APOSJ_52700, APOSJ_52698, APOSJ_52702, APOSJ_52697	CAPO302215
OG0001304	APOSJ_49344	CAPO302419
OG0001305	APOSJ_09587, APOSJ_09588	CAPO304488
OG0001308	APOSJ_62820, APOSJ_49337, APOSJ_62822	CAPO300432
OG0001309	APOSJ_45180, APOSJ_45181, APOSJ_45182, APOSJ_45183	CAPO300871
OG0001310	APOSJ_62169	CAPO305405
OG0001310	APOSJ_54029, APOSJ_54028	CAPO300151
OG0001311	APOSJ_36807, APOSJ_22226, APOSJ_22227, APOSJ_48297	CAPO300585
OG0001312	APOSJ_41375, APOSJ_23773, APOSJ_03205, APOSJ_03206	CAPO304811
OG0001314	APOSJ_54961, APOSJ_47823, APOSJ_47820, APOSJ_47819, APOSJ_47822, APOSJ_42832, APOSJ_04121	CAPO306642
OG0001317	APOSJ_51974, APOSJ_51821, APOSJ_38859, APOSJ_38855, APOSJ_51884	CAPO302225
OG0001318	APOSJ_38930, APOSJ_26105, APOSJ_12648, APOSJ_38928, APOSJ_38929, APOSJ_43686, APOSJ_38925, APOSJ_26107	CAPO306280
OG0001318	APOSJ_58195, APOSJ_58196, APOSJ_25774	CAPO303315
OG0001319	APOSJ_49796	CAPO304915
OG0001320	APOSJ_57053, APOSJ_18022	CAPO307498
OG0001320	APOSJ_18945	CAPO304958
OG0001321	APOSJ_00883, APOSJ_05483, APOSJ_00884	CAPO301358
OG0001322	APOSJ_25010, APOSJ_25009	CAPO302022
OG0001323	APOSJ_62064, APOSJ_22973	CAPO301735
OG0001325	APOSJ_07903, APOSJ_07905	CAPO304115
OG0001326	APOSJ_44084, APOSJ_48298	CAPO306149
OG0001327	APOSJ_43125, APOSJ_32560, APOSJ_15638	CAPO305568
OG0001328	APOSJ_09302, APOSJ_09297, APOSJ_52598, APOSJ_09296, APOSJ_52596, APOSJ_59045, APOSJ_59781, APOSJ_52600, APOSJ_59046, APOSJ_52599, APOSJ_01427, APOSJ_09295, APOSJ_09298, APOSJ_09299, APOSJ_11661, APOSJ_32443, APOSJ_52597, APOSJ_59043, APOSJ_59044, APOSJ_59047, APOSJ_09301	CAPO302287
OG0001330	APOSJ_55342, APOSJ_55345, APOSJ_47110, APOSJ_55344	CAPO304584, CAPO300112
OG0001332	APOSJ_62303, APOSJ_62304, APOSJ_34905, APOSJ_34907, APOSJ_34906, APOSJ_34908, APOSJ_34904	CAPO305487
OG0001333	APOSJ_54634, APOSJ_27713, APOSJ_11036, APOSJ_48030, APOSJ_01772, APOSJ_48029, APOSJ_42588, APOSJ_58038, APOSJ_58032, APOSJ_48031, APOSJ_58027, APOSJ_54633, APOSJ_48032, APOSJ_01771	CAPO301191
OG0001344	APOSJ_53449, APOSJ_53444, APOSJ_53446, APOSJ_53445, APOSJ_53443, APOSJ_53448	CAPO308153
OG0001345	APOSJ_27585, APOSJ_27586, APOSJ_27587	CAPO306177
OG0001348	APOSJ_64919, APOSJ_64920, APOSJ_25094, APOSJ_64921	CAPO304908
OG0001350	APOSJ_37537, APOSJ_05346, APOSJ_05345, APOSJ_36144, APOSJ_36143	CAPO307484
OG0001352	APOSJ_35179, APOSJ_35178, APOSJ_35177, APOSJ_35176, APOSJ_35180, APOSJ_34965, APOSJ_34968, APOSJ_34966, APOSJ_34964, APOSJ_53108, APOSJ_53107	CAPO303801
OG0001353	APOSJ_07681, APOSJ_07682	CAPO303379
OG0001353	APOSJ_02273, APOSJ_59898	CAPO301816
OG0001355	APOSJ_04974, APOSJ_04973	CAPO307732
OG0001358	APOSJ_05394	CAPO302204
OG0001359	APOSJ_20250, APOSJ_20249	CAPO303726
OG0001361	APOSJ_12183	CAPO307400
OG0001364	APOSJ_40220, APOSJ_48961	CAPO307249
OG0001366	APOSJ_15729, APOSJ_15542, APOSJ_15543, APOSJ_15544	CAPO302707
OG0001367	APOSJ_43134, APOSJ_64574	CAPO304628
OG0001370	APOSJ_23259	CAPO305064
OG0001370	APOSJ_51380, APOSJ_18976	CAPO306956
OG0001372	APOSJ_22680, APOSJ_51824, APOSJ_22681, APOSJ_22679, APOSJ_22682	CAPO301063
OG0001372	APOSJ_58194	CAPO306529
OG0001373	APOSJ_33658, APOSJ_33657, APOSJ_33660, APOSJ_33656, APOSJ_33659, APOSJ_33655, APOSJ_12552	CAPO300734
OG0001375	APOSJ_41146	CAPO300461
OG0001378	APOSJ_23820, APOSJ_23821, APOSJ_18962	CAPO302717
OG0001379	APOSJ_32392, APOSJ_32393, APOSJ_32390, APOSJ_32389, APOSJ_31749, APOSJ_05697, APOSJ_31750, APOSJ_32391	CAPO304865
OG0001382	APOSJ_38348, APOSJ_38346, APOSJ_38347, APOSJ_38349, APOSJ_38344, APOSJ_38345	CAPO306735
OG0001383	APOSJ_33339, APOSJ_23887, APOSJ_51980, APOSJ_51857, APOSJ_14897, APOSJ_51364, APOSJ_51363, APOSJ_51365, APOSJ_19442, APOSJ_23890, APOSJ_51833, APOSJ_23886, APOSJ_23889, APOSJ_23891, APOSJ_23888, APOSJ_51123	CAPO300442
OG0001386	APOSJ_12830, APOSJ_12824, APOSJ_12831, APOSJ_12829	CAPO305078
OG0001397	APOSJ_08999, APOSJ_08998, APOSJ_58982, APOSJ_58981	CAPO306119
OG0001399	APOSJ_63162, APOSJ_63166, APOSJ_63165, APOSJ_63164, APOSJ_63163, APOSJ_51444, APOSJ_50593, APOSJ_50594	CAPO304148
OG0001400	APOSJ_40398, APOSJ_52484, APOSJ_40397, APOSJ_40400	CAPO305841
OG0001404	APOSJ_25093, APOSJ_28116, APOSJ_28135, APOSJ_38973	CAPO302450
OG0001405	APOSJ_13259	CAPO302942
OG0001406	APOSJ_01575	CAPO305604
OG0001408	APOSJ_62183, APOSJ_62674	CAPO304468
OG0001409	APOSJ_07829, APOSJ_09406, APOSJ_09407, APOSJ_09408, APOSJ_09409, APOSJ_09410	CAPO300832
OG0001410	APOSJ_51759, APOSJ_51757, APOSJ_05846, APOSJ_51758	CAPO304381
OG0001410	APOSJ_04633	CAPO303461
OG0001411	APOSJ_38351, APOSJ_52153, APOSJ_55708, APOSJ_33498, APOSJ_55701, APOSJ_33500, APOSJ_63215, APOSJ_45710, APOSJ_26956, APOSJ_33502, APOSJ_33501, APOSJ_26953, APOSJ_33507, APOSJ_26954, APOSJ_33506, APOSJ_33504, APOSJ_52154, APOSJ_33505, APOSJ_55703, APOSJ_33503, APOSJ_26957, APOSJ_55709, APOSJ_45708, APOSJ_55707, APOSJ_45709, APOSJ_26952, APOSJ_38354, APOSJ_33499	CAPO301653
OG0001412	APOSJ_08051, APOSJ_27255, APOSJ_50629, APOSJ_18073, APOSJ_08050, APOSJ_57056, APOSJ_50632, APOSJ_32891, APOSJ_50630, APOSJ_09735, APOSJ_09732, APOSJ_08048, APOSJ_08052, APOSJ_08049, APOSJ_27259, APOSJ_09734, APOSJ_09733, APOSJ_43373, APOSJ_50243, APOSJ_32846, APOSJ_27260, APOSJ_02937	CAPO304843
OG0001413	APOSJ_13128, APOSJ_56198	CAPO300375
OG0001414	APOSJ_13920, APOSJ_13919, APOSJ_13921, APOSJ_13922	CAPO301834
OG0001414	APOSJ_63059, APOSJ_63062, APOSJ_63061, APOSJ_63060, APOSJ_63057, APOSJ_63058	CAPO303273
OG0001415	APOSJ_07314, APOSJ_64693, APOSJ_51268, APOSJ_36844, APOSJ_28238, APOSJ_48349	CAPO307087
OG0001416	APOSJ_65416	CAPO300753
OG0001418	APOSJ_63883, APOSJ_63882, APOSJ_63881	CAPO300218
OG0001420	APOSJ_24455, APOSJ_24456, APOSJ_24454	CAPO304723, CAPO308198, CAPO308234, CAPO305541, CAPO307813
OG0001422	APOSJ_00918, APOSJ_00916	CAPO308345, CAPO303120
OG0001423	APOSJ_49156, APOSJ_62797, APOSJ_49158	CAPO301310
OG0001424	APOSJ_33187, APOSJ_33186, APOSJ_44890, APOSJ_44889	CAPO304776
OG0001425	APOSJ_02691, APOSJ_03645, APOSJ_65175, APOSJ_02690, APOSJ_16541, APOSJ_02689, APOSJ_02694, APOSJ_02692	CAPO302275, CAPO302850
OG0001426	APOSJ_20659, APOSJ_03328	CAPO302841
OG0001427	APOSJ_47860	CAPO302723
OG0001428	APOSJ_61295, APOSJ_40068, APOSJ_08747, APOSJ_02448, APOSJ_45811	CAPO303027
OG0001430	APOSJ_18614	CAPO300562
OG0001431	APOSJ_59960, APOSJ_57946, APOSJ_58259, APOSJ_58262, APOSJ_57944, APOSJ_58261, APOSJ_58260, APOSJ_34692, APOSJ_57943, APOSJ_57947, APOSJ_57945, APOSJ_57948	CAPO308230
OG0001437	APOSJ_05128	CAPO304955
OG0001440	APOSJ_27900, APOSJ_27899, APOSJ_33246	CAPO305450
OG0001445	APOSJ_48231, APOSJ_61399, APOSJ_13482, APOSJ_19159, APOSJ_48233, APOSJ_13481, APOSJ_13478, APOSJ_61401, APOSJ_48234, APOSJ_13485, APOSJ_61400, APOSJ_13486, APOSJ_12279, APOSJ_52238, APOSJ_61398, APOSJ_40917, APOSJ_41165, APOSJ_52261, APOSJ_02004, APOSJ_48230, APOSJ_12281, APOSJ_41135, APOSJ_19163, APOSJ_13480, APOSJ_48232	CAPO301958
OG0001446	APOSJ_44285, APOSJ_11070, APOSJ_58994, APOSJ_11086, APOSJ_36494, APOSJ_27978, APOSJ_11067, APOSJ_58998, APOSJ_58995, APOSJ_58996, APOSJ_58997, APOSJ_59620	CAPO304614
OG0001447	APOSJ_44814, APOSJ_28079, APOSJ_28082, APOSJ_28081, APOSJ_28080	CAPO307093
OG0001449	APOSJ_09119, APOSJ_58492	CAPO306822
OG0001451	APOSJ_60575, APOSJ_09090, APOSJ_58280, APOSJ_09094, APOSJ_09093, APOSJ_47714, APOSJ_09092, APOSJ_09091, APOSJ_31618, APOSJ_31620	CAPO300036
OG0001452	APOSJ_12826, APOSJ_12828, APOSJ_12827, APOSJ_12825	CAPO301933
OG0001454	APOSJ_38412, APOSJ_38411	CAPO303806
OG0001456	APOSJ_36129, APOSJ_36127, APOSJ_36126, APOSJ_36125, APOSJ_36128, APOSJ_36124, APOSJ_14012, APOSJ_25848	CAPO307965
OG0001459	APOSJ_49247, APOSJ_49246, APOSJ_49250, APOSJ_65412, APOSJ_49248, APOSJ_49249, APOSJ_65411, APOSJ_49251, APOSJ_35348, APOSJ_52084	CAPO307035
OG0001460	APOSJ_22473, APOSJ_22474, APOSJ_22475	CAPO300988
OG0001460	APOSJ_22989, APOSJ_22990	CAPO305875
OG0001463	APOSJ_05955, APOSJ_05956	CAPO304054
OG0001466	APOSJ_55773, APOSJ_49228, APOSJ_20185, APOSJ_20186, APOSJ_63188, APOSJ_49229, APOSJ_49227	CAPO305831
OG0001467	APOSJ_22274, APOSJ_22277, APOSJ_48095	CAPO304882
OG0001468	APOSJ_23856, APOSJ_23854, APOSJ_23853, APOSJ_23852	CAPO306475
OG0001469	APOSJ_45532, APOSJ_45531	CAPO306371
OG0001469	APOSJ_58140	CAPO301724
OG0001470	APOSJ_62615	CAPO305163
OG0001472	APOSJ_20884, APOSJ_02763	CAPO300986
OG0001472	APOSJ_04800, APOSJ_04801	CAPO305311
OG0001473	APOSJ_63513, APOSJ_63514, APOSJ_30846, APOSJ_62194, APOSJ_30848, APOSJ_30847	CAPO304310
OG0001475	APOSJ_43620	CAPO305552
OG0001476	APOSJ_05896, APOSJ_05895, APOSJ_05894, APOSJ_05897	CAPO305062
OG0001478	APOSJ_40906, APOSJ_40905, APOSJ_40911, APOSJ_40910, APOSJ_40904, APOSJ_40907, APOSJ_40909, APOSJ_55742	CAPO303095
OG0001479	APOSJ_16438, APOSJ_29892, APOSJ_29818, APOSJ_16436	CAPO306515
OG0001482	APOSJ_53360, APOSJ_35936, APOSJ_35937	CAPO307610
OG0001484	APOSJ_16822, APOSJ_40457, APOSJ_16820, APOSJ_16823, APOSJ_16824, APOSJ_16819, APOSJ_16821, APOSJ_16818, APOSJ_16825	CAPO301411
OG0001485	APOSJ_48935	CAPO305590
OG0001485	APOSJ_26209, APOSJ_26208, APOSJ_26210, APOSJ_26206, APOSJ_34046, APOSJ_26207	CAPO301954
OG0001486	APOSJ_09178	CAPO302441
OG0001490	APOSJ_48336, APOSJ_07680	CAPO305433
OG0001492	APOSJ_62402	CAPO305155
OG0001495	APOSJ_01130, APOSJ_01128, APOSJ_01127, APOSJ_01131, APOSJ_01129	CAPO302008
OG0001496	APOSJ_35718, APOSJ_35320, APOSJ_43116, APOSJ_43117, APOSJ_51627	CAPO301356
OG0001500	APOSJ_60578, APOSJ_60574, APOSJ_60579, APOSJ_05866, APOSJ_25800, APOSJ_60577, APOSJ_60576, APOSJ_60581, APOSJ_60573, APOSJ_60582	CAPO300054
OG0001501	APOSJ_36887	CAPO305474
OG0001503	APOSJ_39257	CAPO305666
OG0001503	APOSJ_26139, APOSJ_26137, APOSJ_26138, APOSJ_26136	CAPO307598
OG0001504	APOSJ_35252, APOSJ_31363, APOSJ_05029, APOSJ_31367, APOSJ_05030	CAPO307661
OG0001505	APOSJ_22967	CAPO301009
OG0001506	APOSJ_40132, APOSJ_06340, APOSJ_06342, APOSJ_06334, APOSJ_06337, APOSJ_06341, APOSJ_06338, APOSJ_06339	CAPO300953
OG0001507	APOSJ_54371, APOSJ_54370	CAPO304204
OG0001511	APOSJ_03992, APOSJ_03991, APOSJ_03993, APOSJ_03994	CAPO306127, CAPO305043
OG0001512	APOSJ_27491	CAPO301118
OG0001515	APOSJ_57955	CAPO302117
OG0001516	APOSJ_47832, APOSJ_61364, APOSJ_01984, APOSJ_61365, APOSJ_12232, APOSJ_12223, APOSJ_12226, APOSJ_61363, APOSJ_61361, APOSJ_01991, APOSJ_61366, APOSJ_40862, APOSJ_12225, APOSJ_31069, APOSJ_31068, APOSJ_12224, APOSJ_01983, APOSJ_47836, APOSJ_61367, APOSJ_47835, APOSJ_47837, APOSJ_61362, APOSJ_01981, APOSJ_61360, APOSJ_47833, APOSJ_47834, APOSJ_47838, APOSJ_40874, APOSJ_01982	CAPO300345
OG0001517	APOSJ_64375	CAPO303690
OG0001519	APOSJ_12175, APOSJ_12174	CAPO306949
OG0001522	APOSJ_61265, APOSJ_53441	CAPO303667
OG0001524	APOSJ_00646, APOSJ_00649, APOSJ_00648, APOSJ_00647	CAPO308304
OG0001526	APOSJ_52880, APOSJ_52879	CAPO305679
OG0001527	APOSJ_12095	CAPO300128
OG0001527	APOSJ_38697	CAPO307636
OG0001529	APOSJ_22054, APOSJ_29325, APOSJ_29327, APOSJ_29326	CAPO300593
OG0001530	APOSJ_06485, APOSJ_45138	CAPO302602
OG0001532	APOSJ_09970, APOSJ_09969	CAPO300282
OG0001533	APOSJ_42562, APOSJ_42563, APOSJ_42564	CAPO306032
OG0001534	APOSJ_63458, APOSJ_35365, APOSJ_35361, APOSJ_35363, APOSJ_35359, APOSJ_35362, APOSJ_35360	CAPO304425
OG0001545	APOSJ_59325	CAPO300895
OG0001548	APOSJ_18320	CAPO301500
OG0001551	APOSJ_20173, APOSJ_65295, APOSJ_65315, APOSJ_40271, APOSJ_30369, APOSJ_13184, APOSJ_13182, APOSJ_63144, APOSJ_38371, APOSJ_13180, APOSJ_13185, APOSJ_13181, APOSJ_40283, APOSJ_30420, APOSJ_38374, APOSJ_20172, APOSJ_65319, APOSJ_65300, APOSJ_65296, APOSJ_38373	CAPO306604
OG0001553	APOSJ_33155	CAPO308172
OG0001554	APOSJ_01812, APOSJ_01815, APOSJ_39913, APOSJ_01813, APOSJ_63168, APOSJ_01814, APOSJ_59008, APOSJ_11208, APOSJ_39916, APOSJ_63170, APOSJ_51471, APOSJ_63171, APOSJ_11202, APOSJ_63173, APOSJ_11207, APOSJ_38163, APOSJ_63174, APOSJ_63169, APOSJ_63167, APOSJ_03538, APOSJ_63172	CAPO302370
OG0001557	APOSJ_38485, APOSJ_38487	CAPO304176
OG0001558	APOSJ_61618	CAPO301132
OG0001558	APOSJ_20451	CAPO303811
OG0001559	APOSJ_09869, APOSJ_09865	CAPO301785
OG0001561	APOSJ_47065, APOSJ_22872, APOSJ_47066, APOSJ_47067, APOSJ_47068	CAPO301999
OG0001563	APOSJ_30084, APOSJ_30085, APOSJ_28436	CAPO306378
OG0001564	APOSJ_17825, APOSJ_17828	CAPO301061
OG0001567	APOSJ_29433, APOSJ_36664	CAPO300948
OG0001568	APOSJ_51707, APOSJ_63229, APOSJ_56617, APOSJ_08333, APOSJ_60412, APOSJ_43837, APOSJ_08932, APOSJ_43833, APOSJ_43838, APOSJ_43836, APOSJ_43834, APOSJ_43832, APOSJ_08920, APOSJ_43835, APOSJ_43839, APOSJ_63230, APOSJ_51344, APOSJ_56619, APOSJ_64647, APOSJ_63233, APOSJ_63232, APOSJ_64648, APOSJ_63231, APOSJ_56616, APOSJ_56621	CAPO301468
OG0001570	APOSJ_56786, APOSJ_56785	CAPO303364
OG0001572	APOSJ_10785, APOSJ_03281, APOSJ_03280, APOSJ_10782	CAPO304756
OG0001572	APOSJ_24843, APOSJ_12670	CAPO304137
OG0001573	APOSJ_07885, APOSJ_28755, APOSJ_28751, APOSJ_40296, APOSJ_07889, APOSJ_04624, APOSJ_40300, APOSJ_28754, APOSJ_40307, APOSJ_07891, APOSJ_55775, APOSJ_55792, APOSJ_27081, APOSJ_07880, APOSJ_55784, APOSJ_06375, APOSJ_27094, APOSJ_06376, APOSJ_07881, APOSJ_07877, APOSJ_21923, APOSJ_07879, APOSJ_40302	CAPO305125, CAPO303819
OG0001576	APOSJ_04347, APOSJ_04350, APOSJ_04348, APOSJ_04352, APOSJ_55939, APOSJ_04349	CAPO306270
OG0001578	APOSJ_57447, APOSJ_34870	CAPO300715
OG0001580	APOSJ_03305, APOSJ_44754	CAPO307900
OG0001581	APOSJ_31513, APOSJ_31511	CAPO306056
OG0001582	APOSJ_22671, APOSJ_22672	CAPO307073
OG0001583	APOSJ_31852, APOSJ_35085, APOSJ_31848, APOSJ_35090	CAPO306289
OG0001584	APOSJ_15802, APOSJ_15809, APOSJ_56573, APOSJ_19213, APOSJ_09972, APOSJ_64355, APOSJ_19212, APOSJ_15804, APOSJ_19211, APOSJ_15805, APOSJ_19215, APOSJ_15803, APOSJ_64352, APOSJ_09974, APOSJ_19214, APOSJ_15801, APOSJ_15808, APOSJ_56564, APOSJ_15807, APOSJ_38624, APOSJ_19210, APOSJ_15806, APOSJ_56567	CAPO301068
OG0001589	APOSJ_14719, APOSJ_14718	CAPO303301, CAPO304004
OG0001590	APOSJ_65369, APOSJ_53807, APOSJ_20527, APOSJ_53809, APOSJ_02633, APOSJ_02632, APOSJ_16709	CAPO302386
OG0001593	APOSJ_26984	CAPO305942
OG0001594	APOSJ_35036	CAPO307886
OG0001597	APOSJ_16716	CAPO302703
OG0001599	APOSJ_31317, APOSJ_16426, APOSJ_16427, APOSJ_16428, APOSJ_36946, APOSJ_36950, APOSJ_16425, APOSJ_36948, APOSJ_16429, APOSJ_50624, APOSJ_36951	CAPO300887
OG0001600	APOSJ_37605	CAPO305994
OG0001603	APOSJ_11958, APOSJ_11960, APOSJ_11959, APOSJ_64441, APOSJ_52382, APOSJ_40391	CAPO306228
OG0001604	APOSJ_11756, APOSJ_11757, APOSJ_11755	CAPO303898
OG0001605	APOSJ_11572, APOSJ_00300, APOSJ_00299	CAPO307473
OG0001609	APOSJ_55743	CAPO304683
OG0001609	APOSJ_61570, APOSJ_41734, APOSJ_61571, APOSJ_61572	CAPO302057
OG0001611	APOSJ_60420, APOSJ_04850, APOSJ_54771	CAPO305038
OG0001612	APOSJ_00298	CAPO302202
OG0001614	APOSJ_27375, APOSJ_27377, APOSJ_27376, APOSJ_27374	CAPO303895
OG0001614	APOSJ_45583	CAPO307630
OG0001615	APOSJ_02743	CAPO300749
OG0001617	APOSJ_59612, APOSJ_59610	CAPO302798
OG0001621	APOSJ_01009, APOSJ_01011	CAPO302875
OG0001622	APOSJ_61201, APOSJ_61715, APOSJ_41718, APOSJ_41716, APOSJ_41640, APOSJ_41635, APOSJ_41721, APOSJ_41639, APOSJ_62675, APOSJ_41723, APOSJ_41722, APOSJ_41720, APOSJ_41636, APOSJ_62433, APOSJ_41638, APOSJ_41717	CAPO302121
OG0001634	APOSJ_13351, APOSJ_13350	CAPO305614
OG0001638	APOSJ_64399, APOSJ_64400	CAPO303528
OG0001641	APOSJ_19160, APOSJ_56193, APOSJ_19164, APOSJ_19165, APOSJ_19167, APOSJ_19158, APOSJ_56199, APOSJ_19162	CAPO303281
OG0001643	APOSJ_59627, APOSJ_59624, APOSJ_59626, APOSJ_59625, APOSJ_59628, APOSJ_31265	CAPO306838
OG0001644	APOSJ_10481, APOSJ_16292, APOSJ_16296, APOSJ_43892, APOSJ_31940, APOSJ_63430, APOSJ_31941, APOSJ_63441, APOSJ_48001, APOSJ_16294, APOSJ_47998, APOSJ_16297, APOSJ_14906, APOSJ_16298, APOSJ_63433, APOSJ_10483, APOSJ_16295, APOSJ_48002, APOSJ_47999, APOSJ_48000, APOSJ_16293, APOSJ_48003, APOSJ_16291, APOSJ_10482	CAPO303665
OG0001652	APOSJ_65156, APOSJ_65157, APOSJ_43734, APOSJ_43735, APOSJ_43737, APOSJ_43736	CAPO302838
OG0001653	APOSJ_56239, APOSJ_63973, APOSJ_63972, APOSJ_39228, APOSJ_63976, APOSJ_63970, APOSJ_56238, APOSJ_39231, APOSJ_63969, APOSJ_39229, APOSJ_63977, APOSJ_56242, APOSJ_39230	CAPO305118
OG0001655	APOSJ_30007, APOSJ_04829	CAPO302812
OG0001657	APOSJ_25883	CAPO304165, CAPO303952
OG0001660	APOSJ_24838	CAPO305930
OG0001661	APOSJ_45271, APOSJ_16132, APOSJ_17358	CAPO302789
OG0001661	APOSJ_44002, APOSJ_09233	CAPO304920
OG0001663	APOSJ_62285, APOSJ_35432, APOSJ_35433, APOSJ_30721	CAPO301057
OG0001664	APOSJ_52558, APOSJ_52550, APOSJ_57243, APOSJ_57256, APOSJ_52551	CAPO303152
OG0001665	APOSJ_42522, APOSJ_42521, APOSJ_42523, APOSJ_42524, APOSJ_31675, APOSJ_42525, APOSJ_48224	CAPO302331
OG0001672	APOSJ_40109	CAPO301880
OG0001673	APOSJ_53472, APOSJ_63447, APOSJ_63452	CAPO305520
OG0001674	APOSJ_31605, APOSJ_40256, APOSJ_31604, APOSJ_40259, APOSJ_40254, APOSJ_31609, APOSJ_01211, APOSJ_40253, APOSJ_40255, APOSJ_40258, APOSJ_31606, APOSJ_31608, APOSJ_40252, APOSJ_31610, APOSJ_31603, APOSJ_40257, APOSJ_31607, APOSJ_01213, APOSJ_50050, APOSJ_40251	CAPO301357
OG0001675	APOSJ_35759, APOSJ_35758, APOSJ_35760, APOSJ_35761, APOSJ_24074, APOSJ_35764, APOSJ_35762, APOSJ_35763	CAPO307574
OG0001676	APOSJ_44943	CAPO300524
OG0001676	APOSJ_63125	CAPO305992
OG0001677	APOSJ_04509, APOSJ_31936, APOSJ_04507, APOSJ_04508, APOSJ_08553, APOSJ_25305, APOSJ_25306, APOSJ_50676, APOSJ_16544, APOSJ_16543, APOSJ_16545, APOSJ_25725, APOSJ_10604, APOSJ_03154, APOSJ_42294, APOSJ_31445	CAPO307978
OG0001679	APOSJ_45301, APOSJ_23265, APOSJ_62247, APOSJ_54962, APOSJ_09792, APOSJ_11937, APOSJ_23263, APOSJ_46533, APOSJ_11936, APOSJ_46536, APOSJ_33355, APOSJ_33381, APOSJ_23258, APOSJ_47301, APOSJ_47300, APOSJ_45650, APOSJ_45649, APOSJ_02922, APOSJ_02921	CAPO302155, CAPO305784
OG0001680	APOSJ_43752, APOSJ_43751	CAPO304235, CAPO304477
OG0001684	APOSJ_27488	CAPO300563
OG0001685	APOSJ_04988	CAPO307707
OG0001686	APOSJ_34575, APOSJ_34573	CAPO307138
