Orthogroup	YEAST	STRPU_ok
OG0000849	YEAST04475	STRPU_02904
OG0000850	YEAST04287	STRPU_01821, STRPU_19318, STRPU_01567, STRPU_09392
OG0000852	YEAST01266	STRPU_27397, STRPU_26323
OG0000855	YEAST04755	STRPU_14665, STRPU_26339, STRPU_26337, STRPU_26336
OG0000857	YEAST00309	STRPU_01644, STRPU_11981, STRPU_11980
OG0000868	YEAST06157	STRPU_21550, STRPU_16752
OG0000871	YEAST03857	STRPU_17837, STRPU_17836, STRPU_17284, STRPU_17286, STRPU_09793, STRPU_09788, STRPU_09787
OG0000872	YEAST03222, YEAST03741	STRPU_11965, STRPU_01626
OG0000875	YEAST00077	STRPU_19189, STRPU_13557
OG0000876	YEAST05556	STRPU_24157
OG0000879	YEAST06123	STRPU_04023, STRPU_14061, STRPU_00861, STRPU_00863
OG0000888	YEAST00288	STRPU_27059, STRPU_04199, STRPU_04237
OG0000889	YEAST00175	STRPU_21634, STRPU_21635, STRPU_14204, STRPU_00423
OG0000894	YEAST03763	STRPU_00073, STRPU_05725, STRPU_08351, STRPU_08352
OG0000896	YEAST02476	STRPU_02181, STRPU_09218
OG0000896	YEAST04923	STRPU_21363
OG0000898	YEAST06255, YEAST03431	STRPU_18627, STRPU_18582
OG0000905	YEAST00599	STRPU_01236, STRPU_12062, STRPU_12061
OG0000907	YEAST02193	STRPU_19282, STRPU_00404
OG0000913	YEAST03557, YEAST05101	STRPU_05760
OG0000914	YEAST04745	STRPU_23164
OG0000921	YEAST02526	STRPU_01492, STRPU_13755, STRPU_02601, STRPU_19926
OG0000925	YEAST05667, YEAST06025	STRPU_18396, STRPU_06765, STRPU_06773
OG0000932	YEAST03525	STRPU_14600, STRPU_14601
OG0000933	YEAST06306	STRPU_21205
OG0000934	YEAST02582, YEAST06252	STRPU_17512
OG0000934	YEAST05040	STRPU_12472
OG0000935	YEAST02843	STRPU_00845, STRPU_14076
OG0000943	YEAST03805	STRPU_04161, STRPU_22662, STRPU_22663, STRPU_15088
OG0000944	YEAST04878	STRPU_04925
OG0000954	YEAST05503, YEAST01249	STRPU_14000, STRPU_08333
OG0000955	YEAST00837	STRPU_19275, STRPU_00412
OG0000955	YEAST04295	STRPU_05708
OG0000963	YEAST03685, YEAST00482, YEAST01749	STRPU_01836
OG0000964	YEAST04606	STRPU_17480, STRPU_17483, STRPU_17484
OG0000965	YEAST02552	STRPU_04296, STRPU_04326, STRPU_04357
OG0000965	YEAST02050	STRPU_25366
OG0000967	YEAST05075	STRPU_04947, STRPU_04307, STRPU_04334, STRPU_04333, STRPU_04306
OG0000970	YEAST04028	STRPU_15449, STRPU_15417
OG0000982	YEAST01182	STRPU_22197
OG0000984	YEAST01493, YEAST00575	STRPU_27147, STRPU_05828, STRPU_16245, STRPU_16206
OG0000986	YEAST01481, YEAST04073	STRPU_04549
OG0000987	YEAST04734, YEAST02734	STRPU_24310
OG0000994	YEAST02360	STRPU_24886, STRPU_10294
OG0000996	YEAST00033	STRPU_06423
OG0001001	YEAST00341	STRPU_06920, STRPU_06897, STRPU_06919, STRPU_06896, STRPU_06918
OG0001003	YEAST00644	STRPU_14729
OG0001006	YEAST04513	STRPU_16623, STRPU_19160
OG0001016	YEAST00830	STRPU_13418, STRPU_22033
OG0001018	YEAST01172	STRPU_17343, STRPU_17363, STRPU_20600
OG0001024	YEAST01024, YEAST00308	STRPU_04414, STRPU_04310, STRPU_04337, STRPU_04853, STRPU_04411, STRPU_04412
OG0001033	YEAST02124	STRPU_01715, STRPU_16742
OG0001064	YEAST00458	STRPU_07076, STRPU_07075
OG0001066	YEAST06311	STRPU_00995, STRPU_23446, STRPU_23443, STRPU_23442, STRPU_23441, STRPU_00997, STRPU_23439, STRPU_00998, STRPU_13739
OG0001075	YEAST05636	STRPU_24305
OG0001076	YEAST01570	STRPU_05726
OG0001081	YEAST04460	STRPU_11527, STRPU_11523, STRPU_11522, STRPU_12200, STRPU_12201
OG0001082	YEAST03919, YEAST02905, YEAST05331	STRPU_13254, STRPU_13255, STRPU_22896, STRPU_22911
OG0001094	YEAST03837	STRPU_20715
OG0001095	YEAST00773	STRPU_23398
OG0001096	YEAST01384	STRPU_19489, STRPU_20335, STRPU_15056
OG0001101	YEAST03434	STRPU_22666
OG0001108	YEAST06309	STRPU_22947, STRPU_14644
OG0001111	YEAST06003	STRPU_25873, STRPU_21368, STRPU_21367, STRPU_06851
OG0001113	YEAST05320	STRPU_05723, STRPU_05716
OG0001113	YEAST00954	STRPU_26700
OG0001114	YEAST00036, YEAST05811	STRPU_22227
OG0001124	YEAST02719	STRPU_08314, STRPU_19131
OG0001132	YEAST05421	STRPU_27222
OG0001133	YEAST04296	STRPU_20402
OG0001133	YEAST03271	STRPU_18983
OG0001134	YEAST05015	STRPU_01420, STRPU_08748
OG0001135	YEAST03641	STRPU_12730, STRPU_05675
OG0001136	YEAST05047, YEAST02997	STRPU_27024
OG0001140	YEAST03519	STRPU_08005, STRPU_07640
OG0001142	YEAST04001	STRPU_24402
OG0001163	YEAST02433	STRPU_04187
OG0001164	YEAST03454	STRPU_15250, STRPU_15192, STRPU_15190, STRPU_15248
OG0001171	YEAST04620, YEAST03578	STRPU_07714, STRPU_07717, STRPU_07719
OG0001175	YEAST00534	STRPU_01697, STRPU_02668, STRPU_24799, STRPU_24557
OG0001177	YEAST06137	STRPU_25237, STRPU_24518, STRPU_25236
OG0001179	YEAST00368, YEAST04831, YEAST02287	STRPU_26217, STRPU_26015, STRPU_25325
OG0001181	YEAST02051	STRPU_02570, STRPU_13125
OG0001184	YEAST01681	STRPU_19999, STRPU_09552
OG0001185	YEAST04969	STRPU_07407
OG0001186	YEAST04605, YEAST01886	STRPU_26002, STRPU_25391
OG0001191	YEAST04707	STRPU_09337
OG0001197	YEAST01499	STRPU_21581, STRPU_24733
OG0001201	YEAST05452	STRPU_26014
OG0001204	YEAST05200	STRPU_14562
OG0001207	YEAST04258	STRPU_16506, STRPU_24022, STRPU_02640
OG0001210	YEAST05511	STRPU_21013
OG0001210	YEAST02318	STRPU_11288
OG0001212	YEAST03971	STRPU_05194, STRPU_05195
OG0001214	YEAST00577	STRPU_22695
OG0001216	YEAST00145	STRPU_10937, STRPU_25702, STRPU_25683, STRPU_25682, STRPU_25701
OG0001219	YEAST03867	STRPU_24669
OG0001236	YEAST03325, YEAST02687, YEAST03269	STRPU_10838, STRPU_10857
OG0001237	YEAST04380	STRPU_12648, STRPU_22266
OG0001238	YEAST04481	STRPU_09768, STRPU_09725, STRPU_01032
OG0001241	YEAST02002	STRPU_07496
OG0001241	YEAST03967, YEAST01074	STRPU_06648, STRPU_06647
OG0001243	YEAST00739, YEAST05004	STRPU_22072
OG0001249	YEAST01062, YEAST02067	STRPU_18988
OG0001250	YEAST02968, YEAST01339	STRPU_08807
OG0001251	YEAST00750	STRPU_23397
OG0001251	YEAST01707	STRPU_25431
OG0001253	YEAST03998	STRPU_14588, STRPU_23835, STRPU_23873
OG0001254	YEAST04309	STRPU_22240
OG0001262	YEAST00911	STRPU_19745, STRPU_19744, STRPU_19743, STRPU_20298
OG0001263	YEAST00172	STRPU_04426, STRPU_03468
OG0001268	YEAST03495	STRPU_26888, STRPU_23502
OG0001270	YEAST01703	STRPU_08488
OG0001270	YEAST02398	STRPU_08385
OG0001271	YEAST05227, YEAST00662	STRPU_13644, STRPU_02419, STRPU_13643, STRPU_02421
OG0001278	YEAST01893	STRPU_00086, STRPU_24452, STRPU_24453, STRPU_24861
OG0001279	YEAST03070	STRPU_20599, STRPU_20598, STRPU_20627
OG0001280	YEAST00846	STRPU_26559
OG0001282	YEAST03744	STRPU_11958, STRPU_01619
OG0001284	YEAST00567, YEAST01498	STRPU_00110, STRPU_13473, STRPU_26961
OG0001286	YEAST00588, YEAST01486, YEAST03604	STRPU_12903
OG0001291	YEAST04453, YEAST04334	STRPU_04348
OG0001300	YEAST01098	STRPU_00543, STRPU_15986
OG0001302	YEAST02328	STRPU_18961, STRPU_18975
OG0001302	YEAST00299	STRPU_14524
OG0001310	YEAST00887	STRPU_21314, STRPU_15962, STRPU_00518
OG0001318	YEAST03712	STRPU_12148, STRPU_12116, STRPU_17591
OG0001319	YEAST01678	STRPU_06818
OG0001321	YEAST02280, YEAST01901	STRPU_22556
OG0001322	YEAST06128	STRPU_12583, STRPU_21322
OG0001324	YEAST00078	STRPU_25173
OG0001325	YEAST00793	STRPU_04898
OG0001326	YEAST05395	STRPU_10219
OG0001327	YEAST03176	STRPU_24460, STRPU_23965, STRPU_23941
OG0001332	YEAST03929, YEAST02705, YEAST00687	STRPU_19162, STRPU_19163
OG0001333	YEAST00728	STRPU_12708
OG0001341	YEAST06006	STRPU_22449
OG0001345	YEAST03613	STRPU_23708
OG0001353	YEAST00020, YEAST04041	STRPU_21554, STRPU_00577, STRPU_07545
OG0001363	YEAST06180	STRPU_20296
OG0001364	YEAST06038, YEAST00402	STRPU_10674, STRPU_00565
OG0001367	YEAST04688	STRPU_24795
OG0001368	YEAST01821	STRPU_21464
OG0001370	YEAST04067, YEAST05195, YEAST00897	STRPU_22194, STRPU_15723
OG0001371	YEAST00532, YEAST03976	STRPU_08143, STRPU_02082, STRPU_09113
OG0001372	YEAST00070	STRPU_19138
OG0001372	YEAST02226	STRPU_25409, STRPU_25404
OG0001375	YEAST05499, YEAST05567	STRPU_07312, STRPU_07355
OG0001378	YEAST02300	STRPU_09539
OG0001379	YEAST04155	STRPU_06776, STRPU_06758
OG0001386	YEAST05114	STRPU_25053, STRPU_17223
OG0001397	YEAST05731	STRPU_09545, STRPU_10313
OG0001400	YEAST02931	STRPU_01874, STRPU_25189
OG0001409	YEAST00885, YEAST04659	STRPU_03382
OG0001410	YEAST05046	STRPU_05515, STRPU_25411
OG0001411	YEAST04834	STRPU_05251, STRPU_05267
OG0001412	YEAST04490	STRPU_09369
OG0001413	YEAST04294	STRPU_14983, STRPU_14952, STRPU_26501
OG0001414	YEAST06070, YEAST01920	STRPU_21522, STRPU_10366
OG0001415	YEAST04230	STRPU_14239
OG0001415	YEAST00964	STRPU_06370, STRPU_06372, STRPU_06371, STRPU_06373
OG0001421	YEAST05252	STRPU_20976
OG0001422	YEAST05588, YEAST01363	STRPU_17021
OG0001424	YEAST01127	STRPU_22200, STRPU_24308
OG0001427	YEAST01885	STRPU_07408
OG0001428	YEAST04862, YEAST05862, YEAST02749, YEAST03037	STRPU_11278, STRPU_11240
OG0001430	YEAST01712	STRPU_21288
OG0001434	YEAST03991	STRPU_17874, STRPU_17872
OG0001437	YEAST01264, YEAST02900	STRPU_25775, STRPU_25792
OG0001445	YEAST01715	STRPU_16668, STRPU_16697
OG0001449	YEAST03188	STRPU_07648
OG0001449	YEAST05764	STRPU_25089
OG0001452	YEAST05900	STRPU_26368
OG0001454	YEAST01495, YEAST00573	STRPU_05075, STRPU_05152, STRPU_05150, STRPU_05074, STRPU_05151
OG0001456	YEAST00365	STRPU_27191, STRPU_27192, STRPU_27208
OG0001459	YEAST03073, YEAST03464	STRPU_12776, STRPU_02363
OG0001461	YEAST05255	STRPU_23343
OG0001468	YEAST03875, YEAST03904	STRPU_25091
OG0001469	YEAST02070	STRPU_10391
OG0001469	YEAST02765	STRPU_17509, STRPU_17361, STRPU_17345
OG0001470	YEAST00369, YEAST05375	STRPU_02226, STRPU_15577
OG0001472	YEAST03031	STRPU_27210, STRPU_27194, STRPU_25563, STRPU_00832
OG0001473	YEAST05711	STRPU_00945, STRPU_08877, STRPU_08372, STRPU_08878, STRPU_00943, STRPU_19186, STRPU_19185, STRPU_00942, STRPU_08879
OG0001474	YEAST01416, YEAST05312	STRPU_13493, STRPU_08774
OG0001478	YEAST01984	STRPU_21182
OG0001478	YEAST02078	STRPU_09284
OG0001479	YEAST01132	STRPU_19441
OG0001503	YEAST03032	STRPU_26383
OG0001503	YEAST02920	STRPU_08277
OG0001504	YEAST05406	STRPU_00235, STRPU_25977, STRPU_00231, STRPU_25973
OG0001505	YEAST03361	STRPU_11360
OG0001508	YEAST04143	STRPU_12972
OG0001520	YEAST03872	STRPU_24561
OG0001524	YEAST03912	STRPU_10326, STRPU_25252
OG0001525	YEAST00757	STRPU_15038, STRPU_15039, STRPU_15040, STRPU_15037
OG0001527	YEAST01395	STRPU_14392, STRPU_25264
OG0001529	YEAST01143	STRPU_13250, STRPU_00143
OG0001530	YEAST00643	STRPU_04902
OG0001546	YEAST03111	STRPU_20460
OG0001550	YEAST02405, YEAST05953	STRPU_21280, STRPU_20475
OG0001551	YEAST04817	STRPU_21860, STRPU_21899, STRPU_21891
OG0001553	YEAST05147, YEAST01586	STRPU_04052
OG0001557	YEAST04671	STRPU_12321
OG0001557	YEAST04551	STRPU_23129
OG0001558	YEAST04449	STRPU_20040
OG0001559	YEAST00445, YEAST02434	STRPU_21439
OG0001561	YEAST06176	STRPU_22097
OG0001564	YEAST05390	STRPU_06537, STRPU_06563
OG0001570	YEAST04678	STRPU_18190, STRPU_25866
OG0001573	YEAST03285	STRPU_18175
OG0001578	YEAST01872	STRPU_09755, STRPU_09711
OG0001580	YEAST06270	STRPU_25493
OG0001590	YEAST03476, YEAST00717, YEAST03955	STRPU_17388, STRPU_26879
OG0001594	YEAST03418	STRPU_23743, STRPU_17908
OG0001597	YEAST01702	STRPU_14448, STRPU_14431, STRPU_15998
OG0001603	YEAST02584	STRPU_20376, STRPU_20015
OG0001604	YEAST01428	STRPU_20664, STRPU_14571
OG0001605	YEAST04101	STRPU_25478, STRPU_12565
OG0001609	YEAST02739	STRPU_06891, STRPU_23497
OG0001610	YEAST00596	STRPU_24471
OG0001612	YEAST01109	STRPU_17129
OG0001628	YEAST04790	STRPU_20435, STRPU_21204
OG0001653	YEAST01151	STRPU_18928, STRPU_18930, STRPU_18865
OG0001655	YEAST03354	STRPU_05327
OG0001657	YEAST00101, YEAST00944	STRPU_14732
OG0001663	YEAST05642	STRPU_22095
OG0001676	YEAST02848	STRPU_04793
OG0001676	YEAST06155	STRPU_22887
OG0001679	YEAST05302, YEAST02334, YEAST02449, YEAST01523	STRPU_06814, STRPU_17392, STRPU_17100, STRPU_17115
OG0001680	YEAST01119, YEAST04022	STRPU_20436
OG0001685	YEAST01147	STRPU_05303
OG0001687	YEAST05279	STRPU_25158, STRPU_24138
OG0001691	YEAST01315	STRPU_15006
OG0001704	YEAST01293	STRPU_05453
OG0001706	YEAST03424	STRPU_05229
OG0001707	YEAST06049, YEAST00407, YEAST04739	STRPU_24819
OG0001708	YEAST05744, YEAST05745	STRPU_06608
OG0001709	YEAST04440	STRPU_05233
OG0001713	YEAST04039	STRPU_10631, STRPU_25915
OG0001718	YEAST01537	STRPU_20683
OG0001721	YEAST04881, YEAST05253, YEAST00698	STRPU_14647
OG0001723	YEAST01435	STRPU_06356
OG0001727	YEAST04543	STRPU_21219
OG0001728	YEAST03347	STRPU_26695
OG0001730	YEAST00177	STRPU_18631, STRPU_18614
OG0001736	YEAST04588	STRPU_25454
OG0001739	YEAST03760	STRPU_12635
OG0001745	YEAST01431	STRPU_26910
OG0001750	YEAST03628	STRPU_13411
OG0001754	YEAST03682	STRPU_17742
OG0001755	YEAST05131	STRPU_24786
OG0001756	YEAST00620	STRPU_09620, STRPU_09617, STRPU_04685
OG0001769	YEAST04726	STRPU_04596, STRPU_14107, STRPU_20984
OG0001770	YEAST02590	STRPU_17113, STRPU_16408
OG0001774	YEAST05166	STRPU_09937, STRPU_23744
OG0001775	YEAST05594	STRPU_26768
OG0001780	YEAST03768	STRPU_14799
OG0001781	YEAST01882	STRPU_13577, STRPU_01597, STRPU_20058
OG0001782	YEAST02421	STRPU_26752, STRPU_26766, STRPU_04678
OG0001785	YEAST02713	STRPU_06427
OG0001787	YEAST03546	STRPU_17941
OG0001792	YEAST04595	STRPU_27220
OG0001793	YEAST02466	STRPU_23388, STRPU_24396
OG0001805	YEAST05496, YEAST01242	STRPU_12761, STRPU_02348
OG0001807	YEAST05464	STRPU_24677
OG0001808	YEAST01298	STRPU_00247, STRPU_18809
OG0001818	YEAST05902, YEAST04712	STRPU_00061
OG0001822	YEAST04378, YEAST01659	STRPU_12353
OG0001826	YEAST04777, YEAST01697, YEAST05781	STRPU_07008
OG0001828	YEAST04676	STRPU_14046
OG0001829	YEAST01613, YEAST00136, YEAST02008	STRPU_26227
OG0001831	YEAST00024	STRPU_09256
OG0001832	YEAST05376	STRPU_23928, STRPU_22029
OG0001846	YEAST04351, YEAST04434	STRPU_27133
OG0001846	YEAST05067	STRPU_07479, STRPU_07116, STRPU_07129, STRPU_07361
OG0001850	YEAST01913	STRPU_25933, STRPU_04723
OG0001852	YEAST03121	STRPU_23919
OG0001853	YEAST05176	STRPU_26165, STRPU_25636
OG0001857	YEAST04741	STRPU_08062
OG0001860	YEAST00188	STRPU_12706
OG0001861	YEAST05779, YEAST04773	STRPU_17421
OG0001863	YEAST03017	STRPU_16802, STRPU_08055
OG0001866	YEAST05095, YEAST05570	STRPU_16646
OG0001867	YEAST01669	STRPU_02073, STRPU_09102
OG0001873	YEAST00981, YEAST00267	STRPU_21706, STRPU_21642, STRPU_05848, STRPU_21114
OG0001875	YEAST04137	STRPU_00655, STRPU_23068, STRPU_04899
OG0001877	YEAST04134	STRPU_20768
OG0001886	YEAST03260	STRPU_19685, STRPU_19631
OG0001888	YEAST05749, YEAST01573	STRPU_18384
OG0001893	YEAST01023	STRPU_19363
OG0001894	YEAST00433	STRPU_10413
OG0001899	YEAST01210, YEAST04466	STRPU_21547
OG0001903	YEAST06020	STRPU_18003, STRPU_18004, STRPU_18006, STRPU_18005, STRPU_18002, STRPU_17168, STRPU_21061, STRPU_21026
OG0001913	YEAST05520	STRPU_10199
OG0001915	YEAST04791	STRPU_17939
OG0001917	YEAST01859	STRPU_18955, STRPU_00671
OG0001923	YEAST05881	STRPU_18625, STRPU_18584
OG0001926	YEAST02948	STRPU_18373
OG0001932	YEAST03770, YEAST03179	STRPU_06651
OG0001934	YEAST00877	STRPU_02193, STRPU_09229
OG0001935	YEAST00431	STRPU_24558, STRPU_25146
OG0001938	YEAST03931	STRPU_12630
OG0001940	YEAST04188, YEAST05646	STRPU_14325
OG0001943	YEAST02393, YEAST05966	STRPU_07623
OG0001945	YEAST01671	STRPU_17291
OG0001947	YEAST02570	STRPU_23003, STRPU_00878
OG0001951	YEAST00941, YEAST05396	STRPU_22044
OG0001952	YEAST04673, YEAST01990, YEAST00155	STRPU_07473, STRPU_12536
OG0001965	YEAST04582	STRPU_01429, STRPU_01430, STRPU_08740
OG0001968	YEAST04910	STRPU_09871, STRPU_20270
OG0001969	YEAST06173	STRPU_27401
OG0001972	YEAST01822, YEAST03363	STRPU_11351
OG0001985	YEAST04959	STRPU_14835
OG0001992	YEAST02679	STRPU_21804
OG0001998	YEAST00890	STRPU_14372
OG0002001	YEAST00502, YEAST03944	STRPU_22133, STRPU_08080
OG0002003	YEAST02826, YEAST03671	STRPU_21851
OG0002008	YEAST00768	STRPU_04363
OG0002010	YEAST00609	STRPU_08441
OG0002013	YEAST03040	STRPU_21921, STRPU_22925, STRPU_22926
OG0002014	YEAST02422	STRPU_22668
OG0002015	YEAST05525	STRPU_08637
OG0002025	YEAST03650	STRPU_09069, STRPU_02045
OG0002026	YEAST01247	STRPU_15399, STRPU_05265, STRPU_05250
OG0002029	YEAST02646	STRPU_03590, STRPU_03525
OG0002031	YEAST02752	STRPU_22129, STRPU_00644, STRPU_23058
OG0002032	YEAST01221	STRPU_03804
OG0002042	YEAST02880	STRPU_04785
OG0002043	YEAST04003	STRPU_07222
OG0002059	YEAST05893, YEAST04718	STRPU_19592
OG0002062	YEAST05454	STRPU_22454
OG0002063	YEAST00838	STRPU_11651, STRPU_23098
OG0002067	YEAST03444	STRPU_08273
OG0002069	YEAST05962	STRPU_24856
OG0002073	YEAST04552	STRPU_09676
OG0002076	YEAST02206	STRPU_23547
OG0002078	YEAST06232	STRPU_14012, STRPU_08704, STRPU_01468
OG0002079	YEAST05765, YEAST00483	STRPU_05491
OG0002080	YEAST05220, YEAST04736	STRPU_12273
OG0002084	YEAST04529	STRPU_09835
OG0002087	YEAST05702	STRPU_22994, STRPU_22996, STRPU_22991, STRPU_23597, STRPU_20103, STRPU_20076
OG0002090	YEAST02246	STRPU_08335, STRPU_08336, STRPU_25222, STRPU_25225, STRPU_25223, STRPU_25224
OG0002093	YEAST02255	STRPU_12871
OG0002097	YEAST02697	STRPU_06535, STRPU_06565
OG0002101	YEAST03902	STRPU_19346
OG0002103	YEAST05974	STRPU_21394
OG0002106	YEAST03654	STRPU_19950
OG0002108	YEAST03715	STRPU_21693, STRPU_21758
OG0002123	YEAST02444	STRPU_07154
OG0002125	YEAST05183	STRPU_23305
OG0002131	YEAST04275	STRPU_26857, STRPU_27387
OG0002137	YEAST04320	STRPU_21090, STRPU_18345, STRPU_18353, STRPU_18358
OG0002138	YEAST02406	STRPU_12939, STRPU_12957
OG0002144	YEAST02673	STRPU_15216, STRPU_15163
OG0002146	YEAST04333, YEAST00109, YEAST03088, YEAST04454	STRPU_23230, STRPU_23218
OG0002147	YEAST04532, YEAST01219	STRPU_11081
OG0002148	YEAST02060	STRPU_21577, STRPU_20962
OG0002152	YEAST05624	STRPU_07904, STRPU_07930
OG0002156	YEAST03007	STRPU_05360, STRPU_05070, STRPU_05146
OG0002160	YEAST03960	STRPU_08290
OG0002165	YEAST04504	STRPU_26072
OG0002168	YEAST00516	STRPU_24315, STRPU_19155
OG0002169	YEAST02258	STRPU_10191
OG0002175	YEAST04956	STRPU_19597
OG0002184	YEAST00242	STRPU_18607, STRPU_18606, STRPU_18635
OG0002185	YEAST05212	STRPU_25310
OG0002188	YEAST04638, YEAST03913	STRPU_23046
OG0002189	YEAST02882, YEAST04447	STRPU_19345
OG0002213	YEAST01241, YEAST05495	STRPU_21333
OG0002216	YEAST06040	STRPU_22652
OG0002217	YEAST06033	STRPU_19421
OG0002222	YEAST03240	STRPU_11454
OG0002224	YEAST01574	STRPU_04620
OG0002225	YEAST04939	STRPU_20789
OG0002226	YEAST00948	STRPU_18952, STRPU_00675
OG0002228	YEAST04154, YEAST05632	STRPU_08800
OG0002233	YEAST00277	STRPU_07753, STRPU_07589, STRPU_07766, STRPU_07763
OG0002239	YEAST01621	STRPU_27056
OG0002241	YEAST02005	STRPU_15218, STRPU_15166
OG0002243	YEAST04599, YEAST03601, YEAST04600	STRPU_04202, STRPU_04242
OG0002244	YEAST02768	STRPU_04996
OG0002252	YEAST00826	STRPU_08300
OG0002261	YEAST00472	STRPU_08447, STRPU_08414
OG0002264	YEAST01705	STRPU_17295
OG0002279	YEAST05800	STRPU_06852
OG0002282	YEAST00881	STRPU_19538
OG0002288	YEAST01591, YEAST05154	STRPU_04687
OG0002316	YEAST01805	STRPU_17537
OG0002318	YEAST02923	STRPU_19786, STRPU_00784, STRPU_10456, STRPU_10457, STRPU_22054
OG0002319	YEAST00329	STRPU_06337, STRPU_06292
OG0002321	YEAST02461	STRPU_10154, STRPU_10091
OG0002324	YEAST02615, YEAST06287	STRPU_13570, STRPU_01589, STRPU_14002, STRPU_14003
OG0002326	YEAST00310, YEAST02699	STRPU_21342
OG0002327	YEAST00346, YEAST06217	STRPU_23595
OG0002331	YEAST01653	STRPU_26088
OG0002332	YEAST01606, YEAST05184, YEAST00285	STRPU_04027
OG0002341	YEAST03640, YEAST04562	STRPU_05759
OG0002344	YEAST02312, YEAST02019	STRPU_14480
OG0002346	YEAST02012	STRPU_01631, STRPU_11970
OG0002348	YEAST01845	STRPU_21258, STRPU_04971
OG0002355	YEAST00016	STRPU_05391
OG0002356	YEAST00259	STRPU_13024
OG0002361	YEAST01027	STRPU_20865, STRPU_20902, STRPU_21152
OG0002367	YEAST01179	STRPU_00096, STRPU_19014, STRPU_26541
OG0002369	YEAST03766	STRPU_21201
OG0002374	YEAST02010, YEAST00133	STRPU_16223, STRPU_00101, STRPU_26262, STRPU_25329
OG0002377	YEAST05000	STRPU_20991
OG0002406	YEAST05509	STRPU_10508
OG0002407	YEAST00012	STRPU_04443
OG0002409	YEAST05834	STRPU_23292
OG0002409	YEAST02027	STRPU_22412
OG0002411	YEAST05950, YEAST02407	STRPU_02645, STRPU_16168
OG0002412	YEAST06171	STRPU_20533
OG0002413	YEAST01196	STRPU_18616, STRPU_24368
OG0002415	YEAST01271	STRPU_04146, STRPU_04145
OG0002421	YEAST02982	STRPU_27357, STRPU_25383
OG0002422	YEAST05026	STRPU_17611, STRPU_17617
OG0002426	YEAST00184	STRPU_08743, STRPU_01426
OG0002441	YEAST00068, YEAST02278, YEAST05821	STRPU_17739
OG0002442	YEAST05932	STRPU_25860
OG0002443	YEAST04906	STRPU_23447, STRPU_00994
OG0002446	YEAST04254	STRPU_02116, STRPU_09151
OG0002448	YEAST00626	STRPU_04423
OG0002448	YEAST03419	STRPU_04344
OG0002450	YEAST04575	STRPU_26697
OG0002453	YEAST00512	STRPU_03521, STRPU_03584
OG0002476	YEAST05799	STRPU_25129, STRPU_25898
OG0002486	YEAST01433	STRPU_25111
OG0002492	YEAST01624	STRPU_06750, STRPU_06747
OG0002494	YEAST02402	STRPU_12559, STRPU_12558
OG0002495	YEAST02772	STRPU_01889, STRPU_25206
OG0002497	YEAST02747	STRPU_14057, STRPU_00867
OG0002500	YEAST05648	STRPU_14559
OG0002505	YEAST02959	STRPU_13547
OG0002510	YEAST04753	STRPU_03146, STRPU_03126, STRPU_03104
OG0002516	YEAST00066	STRPU_03861
OG0002518	YEAST02890	STRPU_00560, STRPU_10679
OG0002520	YEAST05256	STRPU_04851
OG0002523	YEAST06234	STRPU_23311
OG0002527	YEAST01639	STRPU_20128
OG0002528	YEAST00372	STRPU_09781
OG0002530	YEAST05530, YEAST03790	STRPU_26632
OG0002532	YEAST03235	STRPU_08489
OG0002533	YEAST04525	STRPU_14961, STRPU_14991
OG0002543	YEAST00527	STRPU_15054
OG0002557	YEAST06243	STRPU_25407
OG0002561	YEAST04438, YEAST02106	STRPU_20465, STRPU_20515, STRPU_20545, STRPU_20520
OG0002562	YEAST03992	STRPU_19181
OG0002564	YEAST02186	STRPU_08467
OG0002565	YEAST04224, YEAST02499	STRPU_10373
OG0002570	YEAST00592	STRPU_26462
OG0002574	YEAST05657	STRPU_20737, STRPU_00733
OG0002594	YEAST06174	STRPU_26054
OG0002598	YEAST04621, YEAST03577	STRPU_18497
OG0002605	YEAST06332	STRPU_19114
OG0002608	YEAST03716, YEAST02846	STRPU_12429
OG0002609	YEAST01355	STRPU_26812
OG0002610	YEAST01078, YEAST03973	STRPU_25580
OG0002612	YEAST03508	STRPU_23590
OG0002617	YEAST00866	STRPU_05735
OG0002618	YEAST06247	STRPU_08357
OG0002621	YEAST05551	STRPU_07219, STRPU_07125
OG0002629	YEAST05919	STRPU_21973, STRPU_24885
OG0002632	YEAST02755	STRPU_26761, STRPU_26747
OG0002633	YEAST04206	STRPU_20983
OG0002636	YEAST01664, YEAST06215	STRPU_08552
OG0002638	YEAST00919, YEAST04703	STRPU_12855, STRPU_12843, STRPU_12856
OG0002643	YEAST01938	STRPU_24098, STRPU_03500
OG0002644	YEAST00724	STRPU_05208
OG0002645	YEAST01436	STRPU_22722, STRPU_00705
OG0002646	YEAST01946	STRPU_16405
OG0002651	YEAST02868	STRPU_21640, STRPU_00294
OG0002652	YEAST04937	STRPU_25607
OG0002656	YEAST05701	STRPU_13628, STRPU_02436
OG0002659	YEAST06290	STRPU_24553
OG0002666	YEAST02507	STRPU_08318
OG0002668	YEAST02324	STRPU_00218, STRPU_25957
OG0002677	YEAST05210	STRPU_08818
OG0002683	YEAST03676	STRPU_18999
OG0002705	YEAST00553	STRPU_19215, STRPU_19210
OG0002713	YEAST00413, YEAST06057	STRPU_06718
