Orthogroup	YEAST	HUMAN
OG0000759	YEAST02878, YEAST05681	HUMAN17791, HUMAN17793, HUMAN17790, HUMAN17794, HUMAN27300, HUMAN27301, HUMAN17543
OG0000765	YEAST05027, YEAST03009, YEAST01404	HUMAN07244
OG0000768	YEAST02560, YEAST04269	HUMAN21056, HUMAN02829, HUMAN02830, HUMAN21054, HUMAN21055
OG0000772	YEAST04929	HUMAN28705, HUMAN28706, HUMAN28704
OG0000776	YEAST04571, YEAST00195, YEAST00312	HUMAN22855, HUMAN23098, HUMAN29543, HUMAN30264
OG0000777	YEAST06297, YEAST02627	HUMAN13332, HUMAN12179, HUMAN12178, HUMAN20209, HUMAN12177, HUMAN13333
OG0000779	YEAST03812	HUMAN29418, HUMAN19017, HUMAN25627, HUMAN25628, HUMAN25626, HUMAN27878
OG0000782	YEAST01393, YEAST05616	HUMAN01527, HUMAN13920, HUMAN14354, HUMAN13919, HUMAN01526, HUMAN09694
OG0000791	YEAST02375	HUMAN06331, HUMAN27291, HUMAN27292, HUMAN06332, HUMAN18232
OG0000794	YEAST04627	HUMAN12200, HUMAN12197, HUMAN12195, HUMAN05033, HUMAN05029, HUMAN05034, HUMAN05035, HUMAN12194
OG0000809	YEAST01998	HUMAN01052, HUMAN01051, HUMAN15029, HUMAN15032, HUMAN15033, HUMAN15030, HUMAN23557, HUMAN15031
OG0000817	YEAST00389	HUMAN13385, HUMAN06596, HUMAN03169
OG0000817	YEAST06112	HUMAN27263
OG0000824	YEAST01319, YEAST02883	HUMAN12193, HUMAN12192, HUMAN12199
OG0000828	YEAST00945, YEAST05476, YEAST00075	HUMAN09906, HUMAN09908, HUMAN09907, HUMAN23682, HUMAN23683
OG0000828	YEAST02290	HUMAN07354
OG0000837	YEAST06222	HUMAN25283, HUMAN19289
OG0000841	YEAST02416	HUMAN11209, HUMAN11208, HUMAN28390, HUMAN28389, HUMAN25529
OG0000847	YEAST02881, YEAST03544, YEAST06198	HUMAN12189
OG0000847	YEAST02530, YEAST00209	HUMAN19801, HUMAN10864
OG0000849	YEAST04475	HUMAN01370, HUMAN01371, HUMAN01454, HUMAN04171
OG0000850	YEAST04287	HUMAN00998, HUMAN03431, HUMAN03430
OG0000852	YEAST01266	HUMAN01598, HUMAN13870, HUMAN18978, HUMAN18977, HUMAN13869
OG0000855	YEAST04755	HUMAN12462
OG0000857	YEAST00309	HUMAN15999, HUMAN24948, HUMAN05809, HUMAN04190, HUMAN16000, HUMAN04191
OG0000868	YEAST06157	HUMAN15364, HUMAN29668, HUMAN08901, HUMAN23128
OG0000871	YEAST03857	HUMAN30324, HUMAN03633
OG0000872	YEAST03222, YEAST03741	HUMAN05054, HUMAN05052, HUMAN05051, HUMAN16344, HUMAN20384, HUMAN05053
OG0000875	YEAST00077	HUMAN28345, HUMAN18108
OG0000876	YEAST05556	HUMAN02797, HUMAN06402, HUMAN19662, HUMAN02798
OG0000879	YEAST06123	HUMAN21910, HUMAN11932, HUMAN22026, HUMAN22025, HUMAN11931, HUMAN11933, HUMAN06283, HUMAN21911
OG0000888	YEAST00288	HUMAN01523, HUMAN14144, HUMAN17235, HUMAN14143
OG0000889	YEAST00175	HUMAN16803, HUMAN04560, HUMAN10862, HUMAN13087, HUMAN19799, HUMAN19800
OG0000894	YEAST03763	HUMAN22934, HUMAN20156, HUMAN25909
OG0000896	YEAST02476	HUMAN05088, HUMAN05089
OG0000896	YEAST04923	HUMAN02560, HUMAN04868
OG0000898	YEAST06255, YEAST03431	HUMAN01291, HUMAN01290, HUMAN01289
OG0000905	YEAST00599	HUMAN04252, HUMAN04253
OG0000907	YEAST02193	HUMAN01311, HUMAN28917, HUMAN28918, HUMAN28916
OG0000913	YEAST03557, YEAST05101	HUMAN24104, HUMAN24103, HUMAN24106, HUMAN05337, HUMAN24105, HUMAN24107
OG0000914	YEAST04745	HUMAN24959, HUMAN26794, HUMAN30514, HUMAN26792, HUMAN26791, HUMAN30512, HUMAN24958, HUMAN30513, HUMAN26793, HUMAN26790
OG0000921	YEAST02526	HUMAN02905, HUMAN17556, HUMAN17558, HUMAN17557, HUMAN17559, HUMAN24453, HUMAN02198
OG0000925	YEAST05667, YEAST06025	HUMAN23362, HUMAN23363, HUMAN23364, HUMAN30631, HUMAN29752
OG0000932	YEAST03525	HUMAN07156, HUMAN07155, HUMAN26747, HUMAN26746
OG0000933	YEAST06306	HUMAN18787, HUMAN04834, HUMAN08387, HUMAN18788
OG0000934	YEAST02582, YEAST06252	HUMAN07465, HUMAN25721, HUMAN25723
OG0000934	YEAST05040	HUMAN24974, HUMAN06158
OG0000935	YEAST02843	HUMAN14530, HUMAN10106, HUMAN01617, HUMAN01618, HUMAN06391, HUMAN06392, HUMAN06390, HUMAN17822
OG0000943	YEAST03805	HUMAN06082, HUMAN04648, HUMAN04649, HUMAN07383
OG0000944	YEAST04878	HUMAN07470, HUMAN27468, HUMAN30061
OG0000954	YEAST05503, YEAST01249	HUMAN18210, HUMAN18209, HUMAN10206, HUMAN10205, HUMAN10272
OG0000955	YEAST00837	HUMAN28653
OG0000955	YEAST04295	HUMAN22849
OG0000963	YEAST03685, YEAST00482, YEAST01749	HUMAN14179, HUMAN14180, HUMAN14181, HUMAN14182, HUMAN23351, HUMAN01011
OG0000964	YEAST04606	HUMAN15564, HUMAN15563
OG0000965	YEAST02552	HUMAN22507
OG0000965	YEAST02050	HUMAN08123
OG0000967	YEAST05075	HUMAN07448, HUMAN07447, HUMAN19350, HUMAN03396, HUMAN03397
OG0000970	YEAST04028	HUMAN15334, HUMAN19711, HUMAN30698
OG0000982	YEAST01182	HUMAN14333, HUMAN01637, HUMAN28757
OG0000984	YEAST01493, YEAST00575	HUMAN23607, HUMAN02268, HUMAN02267
OG0000986	YEAST01481, YEAST04073	HUMAN03355, HUMAN17228
OG0000987	YEAST04734, YEAST02734	HUMAN02812, HUMAN02813, HUMAN06286, HUMAN19599
OG0000994	YEAST02360	HUMAN25360, HUMAN17151, HUMAN17152
OG0000996	YEAST00033	HUMAN29968, HUMAN29969, HUMAN07481, HUMAN07480, HUMAN17651, HUMAN17650, HUMAN17652
OG0001001	YEAST00341	HUMAN29768, HUMAN11958, HUMAN29766, HUMAN30632, HUMAN29767
OG0001003	YEAST00644	HUMAN07373, HUMAN07372, HUMAN12090, HUMAN12092
OG0001006	YEAST04513	HUMAN10720, HUMAN10719, HUMAN23379, HUMAN14223, HUMAN00900
OG0001016	YEAST00830	HUMAN03017, HUMAN27202
OG0001018	YEAST01172	HUMAN19498, HUMAN08887
OG0001024	YEAST01024, YEAST00308	HUMAN26241, HUMAN26240, HUMAN22736, HUMAN22737, HUMAN23893, HUMAN03150, HUMAN26239
OG0001033	YEAST02124	HUMAN00952, HUMAN28581, HUMAN14253
OG0001066	YEAST06311	HUMAN01431, HUMAN20904, HUMAN20903, HUMAN01429, HUMAN16658
OG0001075	YEAST05636	HUMAN24569, HUMAN16597, HUMAN16596
OG0001076	YEAST01570	HUMAN22388, HUMAN07537, HUMAN07536, HUMAN22387
OG0001081	YEAST04460	HUMAN15960
OG0001082	YEAST03919, YEAST02905, YEAST05331	HUMAN18214, HUMAN18213, HUMAN06409, HUMAN06410
OG0001094	YEAST03837	HUMAN18720, HUMAN08291, HUMAN04909
OG0001095	YEAST00773	HUMAN06662, HUMAN17682, HUMAN20656, HUMAN20657, HUMAN17681
OG0001101	YEAST03434	HUMAN05769
OG0001101	YEAST04701	HUMAN29924, HUMAN29923, HUMAN21985, HUMAN02347
OG0001108	YEAST06309	HUMAN06470, HUMAN26420
OG0001111	YEAST06003	HUMAN08205, HUMAN08204, HUMAN00662, HUMAN15089, HUMAN23671, HUMAN19715
OG0001113	YEAST05320	HUMAN20232
OG0001113	YEAST00954	HUMAN13568, HUMAN13567, HUMAN13565, HUMAN13566
OG0001114	YEAST00036, YEAST05811	HUMAN09738, HUMAN09739, HUMAN01816
OG0001124	YEAST02719	HUMAN13636, HUMAN29856, HUMAN29855, HUMAN29854, HUMAN29853
OG0001132	YEAST05421	HUMAN28769
OG0001133	YEAST04296	HUMAN24838
OG0001133	YEAST03271	HUMAN23355
OG0001134	YEAST05015	HUMAN22209, HUMAN22213, HUMAN22214, HUMAN22217, HUMAN27443, HUMAN27400, HUMAN27370, HUMAN27444, HUMAN27369, HUMAN27401, HUMAN22215, HUMAN22216, HUMAN22200, HUMAN22207, HUMAN22208, HUMAN22205, HUMAN22199, HUMAN22204, HUMAN22202, HUMAN22198, HUMAN22201, HUMAN22203, HUMAN22206, HUMAN22212, HUMAN22210, HUMAN22211, HUMAN13466, HUMAN13465, HUMAN25963
OG0001135	YEAST03641	HUMAN12999, HUMAN12998, HUMAN10157, HUMAN10262, HUMAN10159, HUMAN10160, HUMAN10158, HUMAN10261
OG0001136	YEAST05047, YEAST02997	HUMAN14242, HUMAN23717, HUMAN09626, HUMAN09622, HUMAN14245, HUMAN14244
OG0001140	YEAST03519	HUMAN28111, HUMAN00689, HUMAN16613
OG0001142	YEAST04001	HUMAN04836, HUMAN04835
OG0001163	YEAST02433	HUMAN03540, HUMAN22604, HUMAN22605
OG0001164	YEAST03454	HUMAN20034, HUMAN20033
OG0001171	YEAST04620, YEAST03578	HUMAN27880, HUMAN25618, HUMAN25619, HUMAN19014, HUMAN19015
OG0001175	YEAST00534	HUMAN27761, HUMAN17515
OG0001177	YEAST06137	HUMAN13792, HUMAN13793, HUMAN13794, HUMAN26270
OG0001179	YEAST00368, YEAST04831, YEAST02287	HUMAN19099
OG0001181	YEAST02051	HUMAN12489, HUMAN02963, HUMAN12488
OG0001184	YEAST01681	HUMAN24892, HUMAN24891, HUMAN04448, HUMAN04447
OG0001185	YEAST04969	HUMAN24530, HUMAN24531, HUMAN00600, HUMAN25682, HUMAN25681
OG0001186	YEAST04605, YEAST01886	HUMAN13742, HUMAN11615
OG0001191	YEAST04707	HUMAN14236, HUMAN27561, HUMAN27560, HUMAN03181, HUMAN23867
OG0001192	YEAST01898	HUMAN29050
OG0001197	YEAST01499	HUMAN04807, HUMAN26126, HUMAN17925
OG0001201	YEAST05452	HUMAN19000, HUMAN28333
OG0001204	YEAST05200	HUMAN07266, HUMAN13045
OG0001207	YEAST03225, YEAST00090	HUMAN13151
OG0001207	YEAST04258	HUMAN13150, HUMAN17601
OG0001210	YEAST05511	HUMAN18754
OG0001210	YEAST02318	HUMAN21606
OG0001212	YEAST03971	HUMAN22840, HUMAN22841
OG0001214	YEAST00577	HUMAN02956, HUMAN02957, HUMAN06746, HUMAN06745, HUMAN06748, HUMAN06749, HUMAN06747
OG0001216	YEAST00145	HUMAN05988, HUMAN05987, HUMAN11890, HUMAN11427
OG0001219	YEAST03867	HUMAN18053, HUMAN24346, HUMAN01814, HUMAN09792, HUMAN09790, HUMAN24347
OG0001236	YEAST03325, YEAST02687, YEAST03269	HUMAN15304, HUMAN05859
OG0001237	YEAST04380	HUMAN10071, HUMAN01580, HUMAN23506
OG0001238	YEAST04481	HUMAN09752, HUMAN24272, HUMAN20738, HUMAN12789, HUMAN06408
OG0001241	YEAST02002	HUMAN18832
OG0001241	YEAST03967, YEAST01074	HUMAN07799
OG0001243	YEAST00739, YEAST05004	HUMAN27651, HUMAN27653, HUMAN27652, HUMAN27650, HUMAN09639
OG0001249	YEAST01062, YEAST02067	HUMAN14397, HUMAN05364, HUMAN05363, HUMAN28497, HUMAN00860, HUMAN14396
OG0001250	YEAST02968, YEAST01339	HUMAN13009, HUMAN20055, HUMAN20056, HUMAN20057, HUMAN12131, HUMAN13011
OG0001251	YEAST01707	HUMAN11600, HUMAN08159, HUMAN08158
OG0001253	YEAST03998	HUMAN20377, HUMAN24966, HUMAN20379, HUMAN24965
OG0001254	YEAST04309	HUMAN23638, HUMAN23637, HUMAN09380
OG0001262	YEAST00911	HUMAN29428, HUMAN24853
OG0001263	YEAST00172	HUMAN27745, HUMAN27744, HUMAN03309, HUMAN12942
OG0001268	YEAST03495	HUMAN20923, HUMAN22451, HUMAN29785, HUMAN29783
OG0001270	YEAST01703	HUMAN10267, HUMAN10268, HUMAN10266
OG0001270	YEAST02398	HUMAN10495
OG0001271	YEAST05227, YEAST00662	HUMAN13162, HUMAN27281, HUMAN13161, HUMAN06386
OG0001278	YEAST01893	HUMAN13574, HUMAN02569, HUMAN02570, HUMAN28347, HUMAN28348
OG0001279	YEAST03070	HUMAN15552, HUMAN15549, HUMAN09000, HUMAN02712
OG0001280	YEAST00846	HUMAN09972, HUMAN14369, HUMAN28522
OG0001282	YEAST03744	HUMAN11803, HUMAN21801
OG0001284	YEAST00567, YEAST01498	HUMAN27206, HUMAN27205, HUMAN09392
OG0001286	YEAST00588, YEAST01486, YEAST03604	HUMAN03915, HUMAN03916, HUMAN16346
OG0001291	YEAST04453, YEAST04334	HUMAN27542, HUMAN22728, HUMAN03289
OG0001300	YEAST01098	HUMAN21610, HUMAN07635, HUMAN30249
OG0001302	YEAST02328	HUMAN00934
OG0001302	YEAST00299	HUMAN28036
OG0001310	YEAST00887	HUMAN09336, HUMAN09337, HUMAN17449
OG0001318	YEAST03712	HUMAN16547, HUMAN16548, HUMAN21172, HUMAN21173
OG0001319	YEAST01678	HUMAN26676, HUMAN26675, HUMAN30310, HUMAN21541
OG0001321	YEAST02280, YEAST01901	HUMAN01841, HUMAN09666, HUMAN14539
OG0001322	YEAST06128	HUMAN03840, HUMAN15479, HUMAN15481
OG0001324	YEAST00078	HUMAN21900, HUMAN21901, HUMAN21897, HUMAN21898
OG0001325	YEAST00793	HUMAN22707, HUMAN22706, HUMAN22705, HUMAN22708, HUMAN22704, HUMAN22702, HUMAN22701, HUMAN22703
OG0001326	YEAST05395	HUMAN03521, HUMAN17368, HUMAN17367, HUMAN03603
OG0001327	YEAST03176	HUMAN05827, HUMAN05826, HUMAN05829, HUMAN06766, HUMAN06765, HUMAN02428
OG0001332	YEAST03929, YEAST02705, YEAST00687	HUMAN29020
OG0001333	YEAST00728	HUMAN20118, HUMAN10313
OG0001341	YEAST06006	HUMAN13955
OG0001345	YEAST03613	HUMAN21450, HUMAN21451, HUMAN21449
OG0001353	YEAST00020, YEAST04041	HUMAN18781, HUMAN18886
OG0001363	YEAST06180	HUMAN02206
OG0001364	YEAST06038, YEAST00402	HUMAN18390, HUMAN26706, HUMAN18389
OG0001367	YEAST04688	HUMAN19005, HUMAN13672, HUMAN16628, HUMAN16627
OG0001368	YEAST01821	HUMAN08634, HUMAN18786, HUMAN18785, HUMAN08633
OG0001370	YEAST04067, YEAST05195, YEAST00897	HUMAN10042, HUMAN18140
OG0001371	YEAST00532, YEAST03976	HUMAN13498, HUMAN13497
OG0001372	YEAST00070	HUMAN01152
OG0001375	YEAST05499, YEAST05567	HUMAN25598, HUMAN00578, HUMAN00579
OG0001378	YEAST02300	HUMAN27599, HUMAN03792, HUMAN24020, HUMAN22165, HUMAN24018
OG0001379	YEAST04155	HUMAN30001, HUMAN21524, HUMAN05168, HUMAN05167, HUMAN17620, HUMAN17658
OG0001386	YEAST05114	HUMAN12570, HUMAN20602
OG0001397	YEAST05731	HUMAN24255, HUMAN03558, HUMAN03597
OG0001400	YEAST02931	HUMAN12867, HUMAN17921, HUMAN26085, HUMAN26084
OG0001409	YEAST00885, YEAST04659	HUMAN15650, HUMAN21360
OG0001410	YEAST05046	HUMAN18250, HUMAN18249, HUMAN18248, HUMAN25904, HUMAN25903, HUMAN27965, HUMAN27967, HUMAN27966
OG0001411	YEAST04834	HUMAN22432, HUMAN22431
OG0001412	YEAST04490	HUMAN07098, HUMAN07099
OG0001413	YEAST04294	HUMAN07321, HUMAN07320, HUMAN07322, HUMAN10070
OG0001414	YEAST06070, YEAST01920	HUMAN16822, HUMAN26311
OG0001415	YEAST04230	HUMAN19750, HUMAN19752, HUMAN19751
OG0001421	YEAST05252	HUMAN15819, HUMAN15817, HUMAN15818, HUMAN08949, HUMAN04839, HUMAN08948, HUMAN02585
OG0001422	YEAST05588, YEAST01363	HUMAN17890, HUMAN26120, HUMAN17892, HUMAN26121, HUMAN17893, HUMAN17891
OG0001424	YEAST01127	HUMAN04853, HUMAN04852, HUMAN19657
OG0001427	YEAST01885	HUMAN18845, HUMAN13853, HUMAN16726
OG0001428	YEAST04862, YEAST05862, YEAST02749, YEAST03037	HUMAN00193, HUMAN11816, HUMAN05892
OG0001430	YEAST01712	HUMAN16816, HUMAN04840, HUMAN09331, HUMAN15891
OG0001434	YEAST03991	HUMAN25376
OG0001437	YEAST01264, YEAST02900	HUMAN13733, HUMAN13731, HUMAN13732, HUMAN13730, HUMAN27963, HUMAN27962
OG0001445	YEAST01715	HUMAN18716, HUMAN15579
OG0001449	YEAST03188	HUMAN16746
OG0001449	YEAST05764	HUMAN18160
OG0001452	YEAST05900	HUMAN23508, HUMAN10054, HUMAN01876, HUMAN10055
OG0001454	YEAST01495, YEAST00573	HUMAN24123, HUMAN24124, HUMAN24121, HUMAN24122, HUMAN22861, HUMAN24125
OG0001456	YEAST00365	HUMAN21607, HUMAN21609
OG0001459	YEAST03073, YEAST03464	HUMAN15951, HUMAN15950, HUMAN06132
OG0001461	YEAST05255	HUMAN26887
OG0001468	YEAST03875, YEAST03904	HUMAN18215, HUMAN20670, HUMAN20673, HUMAN20674, HUMAN06709, HUMAN20671
OG0001469	YEAST02070	HUMAN17357
OG0001469	YEAST02765	HUMAN25406
OG0001470	YEAST00369, YEAST05375	HUMAN12347, HUMAN12346
OG0001472	YEAST03031	HUMAN26528, HUMAN26527, HUMAN19245
OG0001473	YEAST05711	HUMAN20094, HUMAN20096, HUMAN20095
OG0001474	YEAST01416, YEAST05312	HUMAN10737, HUMAN09370, HUMAN10738, HUMAN10739, HUMAN10736
OG0001478	YEAST01984	HUMAN09291, HUMAN09290
OG0001478	YEAST02078	HUMAN20166
OG0001479	YEAST01132	HUMAN29190, HUMAN01339, HUMAN14506, HUMAN14504, HUMAN29189
OG0001503	YEAST03032	HUMAN15059
OG0001503	YEAST02920	HUMAN06046
OG0001504	YEAST05406	HUMAN18887
OG0001505	YEAST03361	HUMAN21797, HUMAN11901, HUMAN11900, HUMAN03341
OG0001508	YEAST04143	HUMAN04219, HUMAN15958, HUMAN15959
OG0001515	YEAST03320	HUMAN12421, HUMAN12420, HUMAN19953
OG0001520	YEAST03872	HUMAN00622, HUMAN16656
OG0001520	YEAST02474, YEAST02313	HUMAN00623
OG0001524	YEAST03912	HUMAN03522, HUMAN11149
OG0001525	YEAST00757	HUMAN07206, HUMAN07207
OG0001527	YEAST00435	HUMAN11843, HUMAN19884
OG0001527	YEAST01395	HUMAN19883, HUMAN19885, HUMAN11842, HUMAN28194
OG0001529	YEAST01143	HUMAN20862, HUMAN20863, HUMAN20865, HUMAN20919, HUMAN24918
OG0001530	YEAST00643	HUMAN03101, HUMAN22628, HUMAN22629
OG0001546	YEAST03111	HUMAN08266, HUMAN16844, HUMAN08267, HUMAN16843
OG0001550	YEAST02405, YEAST05953	HUMAN02468, HUMAN20737, HUMAN02467
OG0001551	YEAST04817	HUMAN08700, HUMAN02498
OG0001553	YEAST05147, YEAST01586	HUMAN27760, HUMAN03319, HUMAN23794, HUMAN27759
OG0001557	YEAST04671	HUMAN04310
OG0001557	YEAST04551	HUMAN26830, HUMAN26831, HUMAN04309
OG0001558	YEAST04449	HUMAN29505, HUMAN29504, HUMAN14496
OG0001559	YEAST00445, YEAST02434	HUMAN02553, HUMAN08415, HUMAN04944, HUMAN02556, HUMAN04942
OG0001561	YEAST06176	HUMAN24968, HUMAN20456, HUMAN24967, HUMAN20360
OG0001564	YEAST05390	HUMAN18398, HUMAN05132, HUMAN18397, HUMAN18396, HUMAN05131
OG0001570	YEAST04678	HUMAN16050, HUMAN16051
OG0001573	YEAST03285	HUMAN01295, HUMAN29048
OG0001578	YEAST01872	HUMAN27577, HUMAN27576, HUMAN03525
OG0001580	YEAST06270	HUMAN19240, HUMAN19239, HUMAN19238, HUMAN15241
OG0001590	YEAST03476, YEAST00717, YEAST03955	HUMAN09425, HUMAN09424
OG0001594	YEAST03418	HUMAN19429
OG0001597	YEAST01702	HUMAN26560, HUMAN26561, HUMAN26559, HUMAN03834, HUMAN03833, HUMAN03832
OG0001603	YEAST02584	HUMAN24754, HUMAN24819
OG0001604	YEAST01428	HUMAN22175, HUMAN12471, HUMAN12472
OG0001605	YEAST04101	HUMAN07945, HUMAN07944
OG0001609	YEAST02739	HUMAN07643, HUMAN21122, HUMAN07645
OG0001610	YEAST00596, YEAST02062	HUMAN22869, HUMAN00777, HUMAN19044, HUMAN07487, HUMAN28094
OG0001612	YEAST01109	HUMAN19504, HUMAN25319
OG0001628	YEAST04790	HUMAN16897, HUMAN16898
OG0001653	YEAST01151	HUMAN23274
OG0001655	YEAST03354	HUMAN29890, HUMAN23043, HUMAN29586, HUMAN29889
OG0001657	YEAST00101, YEAST00944	HUMAN20003, HUMAN20005, HUMAN20004, HUMAN04603
OG0001663	YEAST05642	HUMAN26903, HUMAN29828
OG0001676	YEAST02848	HUMAN03206
OG0001676	YEAST06155	HUMAN15070
OG0001680	YEAST01119, YEAST04022	HUMAN16896, HUMAN08569, HUMAN08570, HUMAN08568, HUMAN15511, HUMAN15510
OG0001685	YEAST01147	HUMAN22339
OG0001687	YEAST05279	HUMAN03234
OG0001691	YEAST01315	HUMAN10903, HUMAN07404
OG0001704	YEAST01293	HUMAN06407, HUMAN06567
OG0001706	YEAST03424	HUMAN30453, HUMAN05373, HUMAN30452
OG0001707	YEAST06049, YEAST00407, YEAST04739	HUMAN13776, HUMAN13775, HUMAN16739
OG0001708	YEAST05744, YEAST05745	HUMAN25399, HUMAN25398, HUMAN01995, HUMAN01996
OG0001709	YEAST04440	HUMAN23995
OG0001713	YEAST04039	HUMAN05026, HUMAN11446, HUMAN11444, HUMAN11445
OG0001718	YEAST01537	HUMAN08462, HUMAN25013, HUMAN25014
OG0001721	YEAST04881, YEAST05253, YEAST00698	HUMAN25291, HUMAN08491
OG0001723	YEAST01435	HUMAN30388, HUMAN21619, HUMAN30386, HUMAN29777
OG0001727	YEAST04543	HUMAN15860, HUMAN15859, HUMAN08259, HUMAN16842
OG0001728	YEAST03347	HUMAN09496, HUMAN23695
OG0001730	YEAST00177	HUMAN14924, HUMAN00990, HUMAN14923
OG0001739	YEAST03760	HUMAN30049, HUMAN30048, HUMAN06840, HUMAN06841, HUMAN06839, HUMAN03964
OG0001745	YEAST01431	HUMAN00586, HUMAN00585, HUMAN00587, HUMAN00584, HUMAN25534
OG0001750	YEAST03628	HUMAN03005, HUMAN06675, HUMAN17719
OG0001754	YEAST03682	HUMAN25325, HUMAN05304, HUMAN05305, HUMAN05303, HUMAN13962
OG0001755	YEAST05131	HUMAN05480
OG0001756	YEAST00620	HUMAN03565, HUMAN03566, HUMAN27757, HUMAN27756, HUMAN27755
OG0001769	YEAST04726	HUMAN03651, HUMAN08557, HUMAN08556, HUMAN08559
OG0001770	YEAST02590	HUMAN24382, HUMAN17425, HUMAN30193, HUMAN24381, HUMAN22894
OG0001774	YEAST05166	HUMAN18619, HUMAN30515, HUMAN30516
OG0001775	YEAST05594	HUMAN14353
OG0001780	YEAST03768	HUMAN19749, HUMAN30120
OG0001781	YEAST01882	HUMAN12741, HUMAN12740, HUMAN12739, HUMAN24740
OG0001782	YEAST02421	HUMAN23640, HUMAN03280
OG0001785	YEAST02713	HUMAN07812
OG0001787	YEAST03546	HUMAN19491, HUMAN19493, HUMAN19494, HUMAN19492, HUMAN25152, HUMAN25151, HUMAN00492
OG0001792	YEAST04331	HUMAN29333
OG0001792	YEAST04595	HUMAN15054
OG0001793	YEAST02466	HUMAN20623, HUMAN05697
OG0001805	YEAST05496, YEAST01242	HUMAN06846, HUMAN06844, HUMAN04264, HUMAN06848
OG0001807	YEAST05464	HUMAN12665, HUMAN12666, HUMAN12667
OG0001808	YEAST01298	HUMAN22069, HUMAN22068, HUMAN01110
OG0001818	YEAST05902, YEAST04712	HUMAN08932, HUMAN25133
OG0001822	YEAST04378, YEAST01659	HUMAN20278, HUMAN04122, HUMAN02352, HUMAN02353, HUMAN04121
OG0001826	YEAST04777, YEAST01697, YEAST05781	HUMAN18296, HUMAN30222
OG0001828	YEAST04676	HUMAN20552
OG0001829	YEAST01613, YEAST00136, YEAST02008	HUMAN11147, HUMAN11495, HUMAN11148
OG0001831	YEAST00024	HUMAN10191, HUMAN10190, HUMAN12366, HUMAN12368
OG0001832	YEAST05376	HUMAN29361, HUMAN10008, HUMAN10007, HUMAN01888, HUMAN10006
OG0001846	YEAST05067	HUMAN25244, HUMAN18589, HUMAN16677, HUMAN18592, HUMAN16676
OG0001850	YEAST01913	HUMAN27413, HUMAN27412, HUMAN27410, HUMAN27411
OG0001852	YEAST03121	HUMAN06722, HUMAN29789, HUMAN06720, HUMAN20898, HUMAN20900, HUMAN20899
OG0001853	YEAST05176	HUMAN18574, HUMAN28392, HUMAN18575
OG0001857	YEAST04741	HUMAN16699, HUMAN28241
OG0001860	YEAST00188	HUMAN03905, HUMAN03906, HUMAN03904, HUMAN16040
OG0001861	YEAST05779, YEAST04773	HUMAN02516, HUMAN02475
OG0001863	YEAST03017	HUMAN27302, HUMAN27303, HUMAN24744
OG0001866	YEAST05095, YEAST05570	HUMAN25781, HUMAN25782, HUMAN25780, HUMAN19444
OG0001867	YEAST01669	HUMAN13231, HUMAN25879, HUMAN25878, HUMAN13230
OG0001873	YEAST00981, YEAST00267	HUMAN16810, HUMAN16807, HUMAN16808, HUMAN16809
OG0001875	YEAST04137	HUMAN17871, HUMAN22698
OG0001877	YEAST04134	HUMAN08708, HUMAN25127, HUMAN02567
OG0001886	YEAST03260	HUMAN29265, HUMAN01236
OG0001888	YEAST05749, YEAST01573	HUMAN14663, HUMAN28454, HUMAN28455
OG0001893	YEAST01023	HUMAN24851, HUMAN24850
OG0001894	YEAST00433	HUMAN24228, HUMAN24227, HUMAN24229, HUMAN03619
OG0001899	YEAST01210, YEAST04466	HUMAN08346
OG0001900	YEAST05053, YEAST00581	HUMAN15354, HUMAN15355
OG0001903	YEAST06020	HUMAN25841, HUMAN25839, HUMAN25838, HUMAN25840
OG0001913	YEAST05520	HUMAN10068, HUMAN10067, HUMAN10069
OG0001915	YEAST04791	HUMAN30648, HUMAN29662
OG0001917	YEAST01859	HUMAN01077, HUMAN14777, HUMAN15018
OG0001923	YEAST05881	HUMAN14644, HUMAN14642, HUMAN14921, HUMAN14920
OG0001926	YEAST02948	HUMAN01202
OG0001932	YEAST03770, YEAST03179	HUMAN21635, HUMAN29559
OG0001934	YEAST00877	HUMAN10144, HUMAN27036
OG0001935	YEAST00431	HUMAN02626, HUMAN02627, HUMAN03611
OG0001938	YEAST03931	HUMAN04426
OG0001940	YEAST04188, YEAST05646	HUMAN07394, HUMAN07393
OG0001943	YEAST02393, YEAST05966	HUMAN30102, HUMAN30614, HUMAN13678, HUMAN18947, HUMAN18949, HUMAN18948, HUMAN13677
OG0001945	YEAST01671	HUMAN21241, HUMAN25293
OG0001947	YEAST02570	HUMAN20996, HUMAN06249, HUMAN06248, HUMAN20995
OG0001951	YEAST00941, YEAST05396	HUMAN06387, HUMAN20627, HUMAN06388
OG0001952	YEAST04673, YEAST01990, YEAST00155	HUMAN25420
OG0001965	YEAST04582	HUMAN13579, HUMAN13582, HUMAN13580, HUMAN13581, HUMAN13578, HUMAN13577
OG0001968	YEAST04910	HUMAN03672, HUMAN29233
OG0001969	YEAST06173	HUMAN23666, HUMAN23664, HUMAN23665, HUMAN14220, HUMAN14219
OG0001972	YEAST01822, YEAST03363	HUMAN00080, HUMAN00081
OG0001985	YEAST04959	HUMAN07334, HUMAN26445
OG0001992	YEAST02679	HUMAN25065, HUMAN25066, HUMAN09362
OG0001998	YEAST00890	HUMAN28974, HUMAN10909, HUMAN10908
