Orthogroup	YEAST	OWEFU
OG0000467	YEAST03162	OFUSG06168.2.p1, OFUSG06168.1.p1
OG0000468	YEAST04372	OFUSG25389.1.p1, OFUSG25432.1.p1
OG0000469	YEAST02179, YEAST05440	OFUSG06742.2.p1, OFUSG06742.1.p1
OG0000469	YEAST00863	OFUSG09493.1.p1
OG0000474	YEAST02384	OFUSG12858.1.p1
OG0000476	YEAST03038	OFUSG07272.1.p1, OFUSG07271.1.p1, OFUSG07271.2.p1, OFUSG08298.1.p1, OFUSG23985.1.p1, OFUSG15413.1.p1
OG0000479	YEAST04139	OFUSG00302.1.p1, OFUSG00302.2.p1, OFUSG22572.2.p1, OFUSG22572.1.p1
OG0000480	YEAST05750	OFUSG26477.1.p1, OFUSG21333.1.p1
OG0000481	YEAST01040	OFUSG22310.1.p1
OG0000481	YEAST00827, YEAST00774	OFUSG18362.1.p1
OG0000484	YEAST05824	OFUSG26248.2.p1, OFUSG26248.1.p1
OG0000487	YEAST04968	OFUSG18458.1.p1, OFUSG04631.1.p1, OFUSG09257.1.p1
OG0000487	YEAST02728	OFUSG11196.1.p1, OFUSG02053.1.p2, OFUSG10948.2.p1, OFUSG10948.1.p1
OG0000488	YEAST01414	OFUSG11335.2.p1, OFUSG11335.1.p1
OG0000490	YEAST04297, YEAST00894	OFUSG08032.1.p1
OG0000491	YEAST04587, YEAST03679	OFUSG19057.1.p1
OG0000505	YEAST03067	OFUSG24460.1.p1, OFUSG24460.2.p1, OFUSG24457.1.p1, OFUSG24456.1.p1
OG0000508	YEAST04626	OFUSG16639.1.p1, OFUSG23446.1.p1, OFUSG22333.1.p1
OG0000510	YEAST04569, YEAST05730	OFUSG18347.2.p1, OFUSG18347.1.p1, OFUSG16890.2.p1, OFUSG16890.3.p1, OFUSG16890.4.p1, OFUSG16890.1.p1
OG0000519	YEAST04594, YEAST03616	OFUSG15431.1.p1, OFUSG15505.1.p1, OFUSG23894.1.p1, OFUSG23894.2.p1, OFUSG15506.1.p1
OG0000520	YEAST02979	OFUSG22252.1.p1, OFUSG09373.1.p1
OG0000523	YEAST01952, YEAST05838, YEAST06082	OFUSG09672.1.p1, OFUSG26017.1.p1, OFUSG08726.1.p1, OFUSG09673.1.p1, OFUSG07041.1.p1, OFUSG13785.1.p1
OG0000529	YEAST05790, YEAST00048	OFUSG07078.1.p1, OFUSG07078.2.p1, OFUSG25597.1.p1, OFUSG23321.1.p1
OG0000534	YEAST04932	OFUSG10812.1.p1, OFUSG16053.1.p1, OFUSG10814.1.p1, OFUSG23901.1.p1
OG0000538	YEAST00499	OFUSG16205.1.p1
OG0000549	YEAST06280, YEAST02610, YEAST05060	OFUSG22824.1.p1, OFUSG22825.1.p1, OFUSG14140.1.p1, OFUSG14143.1.p1, OFUSG00548.1.p1
OG0000552	YEAST05717	OFUSG04389.1.p1, OFUSG03850.1.p1, OFUSG10128.1.p1, OFUSG10128.2.p1
OG0000556	YEAST04616	OFUSG01107.1.p1, OFUSG14085.1.p1, OFUSG26368.1.p1, OFUSG04527.1.p1
OG0000561	YEAST06202, YEAST00331	OFUSG02872.1.p1, OFUSG17748.1.p1, OFUSG11759.1.p1, OFUSG21899.1.p1, OFUSG09741.1.p1, OFUSG09741.2.p1
OG0000562	YEAST00314	OFUSG20041.1.p1, OFUSG20049.1.p1, OFUSG05389.1.p1
OG0000563	YEAST01406	OFUSG15273.1.p1, OFUSG15272.1.p1
OG0000566	YEAST05789, YEAST00049	OFUSG03995.1.p1, OFUSG03997.1.p1, OFUSG03997.2.p1, OFUSG03997.3.p1, OFUSG22659.1.p1
OG0000573	YEAST05675	OFUSG23244.1.p1, OFUSG23244.2.p1, OFUSG09137.1.p1
OG0000576	YEAST00470, YEAST00193	OFUSG17044.1.p1
OG0000578	YEAST01208, YEAST00759	OFUSG11308.1.p1
OG0000579	YEAST02484	OFUSG06590.1.p1
OG0000582	YEAST03615	OFUSG07318.2.p1, OFUSG07318.1.p1
OG0000587	YEAST04063	OFUSG26859.1.p1, OFUSG26859.2.p1
OG0000587	YEAST03372	OFUSG11281.1.p1
OG0000588	YEAST05197	OFUSG23263.1.p1, OFUSG23263.2.p1, OFUSG00278.1.p1
OG0000590	YEAST05110, YEAST05552, YEAST03727	OFUSG24583.1.p1, OFUSG20344.1.p1
OG0000592	YEAST00388	OFUSG07498.2.p1, OFUSG07498.3.p1, OFUSG07498.1.p1, OFUSG08220.1.p1, OFUSG08220.2.p1, OFUSG04675.1.p1
OG0000597	YEAST04330	OFUSG04066.1.p1, OFUSG24146.1.p1, OFUSG24148.1.p1
OG0000609	YEAST05180	OFUSG21513.1.p1, OFUSG18927.1.p1, OFUSG16039.1.p1
OG0000612	YEAST02370	OFUSG06644.1.p1
OG0000612	YEAST03629	OFUSG23094.1.p1
OG0000613	YEAST01072	OFUSG12632.1.p1, OFUSG08463.1.p1
OG0000623	YEAST02411	OFUSG17186.1.p1
OG0000623	YEAST05090	OFUSG24609.2.p1, OFUSG24609.3.p1, OFUSG24609.1.p1
OG0000627	YEAST02116, YEAST03957	OFUSG19903.2.p1, OFUSG19903.1.p1, OFUSG09840.4.p1, OFUSG09840.2.p1, OFUSG09840.3.p1, OFUSG09840.5.p1, OFUSG09840.1.p1
OG0000639	YEAST02015	OFUSG09740.1.p1, OFUSG05397.1.p1
OG0000642	YEAST00618	OFUSG10098.1.p1, OFUSG10098.2.p1
OG0000645	YEAST05140	OFUSG05054.1.p1
OG0000645	YEAST04743	OFUSG04671.1.p1
OG0000647	YEAST04534	OFUSG06535.1.p1, OFUSG06075.1.p1, OFUSG06534.1.p1
OG0000648	YEAST04178, YEAST05641	OFUSG23086.1.p1, OFUSG23087.1.p1
OG0000657	YEAST03846	OFUSG00339.1.p1, OFUSG04303.1.p1, OFUSG00337.1.p1
OG0000660	YEAST05150, YEAST01587	OFUSG16300.1.p1, OFUSG00254.1.p1
OG0000662	YEAST05937	OFUSG19351.1.p1, OFUSG11101.1.p1
OG0000663	YEAST02675, YEAST03294	OFUSG26455.1.p1
OG0000672	YEAST03771	OFUSG14378.5.p1, OFUSG14378.3.p1, OFUSG14378.2.p1, OFUSG14378.1.p1, OFUSG14378.4.p1
OG0000672	YEAST00984	OFUSG12085.1.p1
OG0000676	YEAST01503	OFUSG21048.1.p1
OG0000676	YEAST02962	OFUSG14430.1.p1
OG0000683	YEAST03152, YEAST03537, YEAST05938	OFUSG25839.2.p1, OFUSG25839.1.p1, OFUSG17452.5.p1, OFUSG17452.4.p1, OFUSG17452.2.p1, OFUSG17452.3.p1, OFUSG17452.1.p1
OG0000690	YEAST04874	OFUSG21408.1.p1
OG0000690	YEAST02296	OFUSG00182.1.p1
OG0000692	YEAST01969	OFUSG17216.1.p1
OG0000692	YEAST03487	OFUSG18084.1.p1, OFUSG09308.1.p1, OFUSG22030.1.p1, OFUSG22031.2.p1, OFUSG22031.1.p1
OG0000694	YEAST05978	OFUSG08082.1.p1
OG0000699	YEAST05706	OFUSG13838.2.p1, OFUSG13838.1.p1, OFUSG11422.1.p1
OG0000701	YEAST02239, YEAST02223	OFUSG09694.1.p1, OFUSG26676.1.p1, OFUSG19007.2.p1, OFUSG19007.4.p1, OFUSG19007.1.p1, OFUSG19007.3.p1, OFUSG09370.1.p1
OG0000703	YEAST05314	OFUSG18539.1.p1
OG0000708	YEAST05997	OFUSG21283.1.p1, OFUSG18936.1.p1
OG0000709	YEAST00057	OFUSG21845.2.p1, OFUSG21845.1.p1, OFUSG06507.1.p1
OG0000724	YEAST02013	OFUSG12294.1.p1, OFUSG12294.2.p1
OG0000732	YEAST04978	OFUSG24914.1.p1, OFUSG26355.1.p1, OFUSG26355.2.p1
OG0000733	YEAST05474	OFUSG22012.1.p1, OFUSG11826.1.p1
OG0000735	YEAST05945	OFUSG16966.1.p1, OFUSG16966.2.p1
OG0000737	YEAST05188	OFUSG06204.2.p1, OFUSG06204.1.p1
OG0000744	YEAST05951	OFUSG23163.1.p1
OG0000745	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102	OFUSG11725.1.p1, OFUSG21266.1.p1, OFUSG06279.1.p1, OFUSG03164.1.p1
OG0000752	YEAST01432, YEAST04483	OFUSG06577.1.p1, OFUSG01816.1.p1, OFUSG23281.1.p1
OG0000753	YEAST01034, YEAST02037	OFUSG03990.1.p1, OFUSG09322.2.p1, OFUSG09322.1.p1
OG0000757	YEAST01489	OFUSG15507.1.p1
OG0000758	YEAST01504	OFUSG26565.1.p1
OG0000759	YEAST02878, YEAST05681	OFUSG04506.3.p1, OFUSG04506.2.p1, OFUSG04506.5.p1, OFUSG04506.4.p1, OFUSG04506.1.p1
OG0000768	YEAST02560, YEAST04269	OFUSG19400.2.p1, OFUSG19400.1.p1
OG0000772	YEAST04929	OFUSG19486.1.p1, OFUSG02068.1.p1, OFUSG05265.1.p1
OG0000776	YEAST04571, YEAST00195, YEAST00312	OFUSG17361.1.p1, OFUSG17361.2.p1, OFUSG17632.1.p1
OG0000777	YEAST06297, YEAST02627	OFUSG10266.1.p1, OFUSG10130.1.p1, OFUSG10317.1.p1, OFUSG10318.1.p1
OG0000779	YEAST03812	OFUSG07668.1.p1, OFUSG25635.2.p1, OFUSG25635.1.p1
OG0000782	YEAST01393, YEAST05616	OFUSG08693.1.p1
OG0000791	YEAST02375	OFUSG04398.4.p1, OFUSG04398.3.p1, OFUSG04398.2.p1, OFUSG04398.5.p1, OFUSG04398.1.p1
OG0000794	YEAST04627	OFUSG08224.1.p1, OFUSG08224.2.p1
OG0000800	YEAST03636	OFUSG22750.1.p1, OFUSG06584.1.p1
OG0000809	YEAST01998	OFUSG17351.1.p1, OFUSG17351.2.p1
OG0000817	YEAST00389	OFUSG23697.1.p1, OFUSG18100.1.p1
OG0000817	YEAST06112	OFUSG04259.1.p1
OG0000824	YEAST01319, YEAST02883	OFUSG22094.1.p1, OFUSG02604.1.p1, OFUSG23186.1.p1, OFUSG03277.1.p1, OFUSG02456.2.p1, OFUSG02456.1.p1, OFUSG02606.1.p1, OFUSG02605.1.p1, OFUSG02629.1.p1, OFUSG02606.2.p1, OFUSG02606.4.p1, OFUSG02606.3.p1, OFUSG02631.1.p1, OFUSG02631.2.p1
OG0000828	YEAST00945, YEAST05476, YEAST00075	OFUSG16610.1.p1
OG0000828	YEAST02290	OFUSG14927.1.p1
OG0000837	YEAST06222	OFUSG01836.1.p1, OFUSG01837.1.p1, OFUSG13636.1.p1, OFUSG01835.1.p1
OG0000841	YEAST02416	OFUSG20856.1.p1, OFUSG20856.4.p1, OFUSG20856.2.p1, OFUSG20856.3.p1
OG0000847	YEAST02881, YEAST03544, YEAST06198	OFUSG15294.1.p1
OG0000847	YEAST02530, YEAST00209	OFUSG24225.1.p1, OFUSG24225.2.p1
OG0000849	YEAST04475	OFUSG09067.1.p1
OG0000850	YEAST04287	OFUSG12712.1.p1, OFUSG06085.1.p1
OG0000852	YEAST01266	OFUSG09153.1.p1, OFUSG09153.2.p1, OFUSG04815.3.p1, OFUSG04815.2.p1, OFUSG04815.1.p1
OG0000854	YEAST00248	OFUSG19945.1.p1, OFUSG19943.1.p1, OFUSG10780.1.p1, OFUSG19578.1.p1, OFUSG19944.1.p1, OFUSG09728.1.p1, OFUSG16518.1.p1, OFUSG16270.1.p1, OFUSG10592.2.p1, OFUSG10592.1.p1, OFUSG25461.1.p1, OFUSG16035.1.p1, OFUSG16036.1.p1, OFUSG19947.1.p1, OFUSG10591.1.p1, OFUSG19946.1.p1
OG0000855	YEAST04755	OFUSG08911.2.p1, OFUSG08911.1.p1, OFUSG10909.1.p1, OFUSG18514.1.p1, OFUSG14975.1.p1, OFUSG14975.2.p1
OG0000857	YEAST00309	OFUSG01227.1.p1
OG0000868	YEAST06157	OFUSG11760.1.p1
OG0000871	YEAST03857	OFUSG00730.1.p1, OFUSG06537.1.p1
OG0000872	YEAST03222, YEAST03741	OFUSG00869.2.p1, OFUSG00869.3.p1, OFUSG00869.5.p1, OFUSG00869.1.p1, OFUSG00869.4.p1
OG0000875	YEAST00077	OFUSG13364.1.p1, OFUSG16237.1.p1
OG0000876	YEAST05556	OFUSG16334.1.p1
OG0000879	YEAST06123	OFUSG04088.1.p1
OG0000888	YEAST00288	OFUSG09295.1.p1, OFUSG10796.1.p1
OG0000889	YEAST00175	OFUSG12102.1.p1
OG0000896	YEAST02476	OFUSG13178.1.p1
OG0000896	YEAST04923	OFUSG11490.1.p1, OFUSG11490.3.p1, OFUSG11490.2.p1
OG0000898	YEAST06255, YEAST03431	OFUSG21363.2.p1, OFUSG21363.1.p1
OG0000905	YEAST00599	OFUSG01251.1.p1
OG0000907	YEAST02193	OFUSG26462.1.p1
OG0000913	YEAST03557, YEAST05101	OFUSG03065.4.p1, OFUSG03065.3.p1, OFUSG03065.1.p1, OFUSG03065.2.p1, OFUSG03065.5.p1
OG0000914	YEAST04745	OFUSG18797.2.p1, OFUSG18797.1.p1
OG0000921	YEAST02526	OFUSG26697.1.p1
OG0000925	YEAST05667, YEAST06025	OFUSG21493.1.p1, OFUSG25811.2.p1, OFUSG25811.1.p1
OG0000932	YEAST03525	OFUSG22611.1.p1, OFUSG22610.1.p1, OFUSG22608.1.p1
OG0000933	YEAST06306	OFUSG11577.2.p1, OFUSG11577.1.p1
OG0000934	YEAST02582, YEAST06252	OFUSG01031.1.p1
OG0000934	YEAST05040	OFUSG08244.1.p1
OG0000935	YEAST02843	OFUSG16551.1.p1
OG0000943	YEAST03805	OFUSG10222.1.p1, OFUSG24129.1.p1
OG0000944	YEAST04878	OFUSG02142.1.p1, OFUSG02142.4.p1, OFUSG02142.2.p1, OFUSG02142.3.p1
OG0000954	YEAST05503, YEAST01249	OFUSG16223.1.p1, OFUSG04263.1.p1
OG0000955	YEAST00837	OFUSG21035.1.p1
OG0000955	YEAST04295	OFUSG02908.1.p1
OG0000963	YEAST03685, YEAST00482, YEAST01749	OFUSG18073.1.p1, OFUSG26256.1.p1
OG0000964	YEAST04606	OFUSG10365.1.p1, OFUSG20587.1.p1, OFUSG20586.1.p1, OFUSG20586.2.p1
OG0000965	YEAST02552	OFUSG10177.1.p1
OG0000965	YEAST02050	OFUSG05283.1.p1
OG0000967	YEAST05075	OFUSG03652.1.p1, OFUSG18109.1.p1
OG0000970	YEAST04028	OFUSG22192.2.p1, OFUSG22192.1.p1, OFUSG24111.1.p1, OFUSG24109.1.p1
OG0000982	YEAST01182	OFUSG16732.3.p1, OFUSG16732.2.p1, OFUSG16732.1.p1, OFUSG16732.4.p1, OFUSG16732.5.p1
OG0000984	YEAST01493, YEAST00575	OFUSG19991.1.p1, OFUSG25577.1.p1, OFUSG07902.1.p1
OG0000986	YEAST01481, YEAST04073	OFUSG09980.1.p1
OG0000987	YEAST04734, YEAST02734	OFUSG21084.2.p1, OFUSG21084.1.p1
OG0000994	YEAST02360	OFUSG05737.1.p1, OFUSG19359.1.p1
OG0000996	YEAST00033	OFUSG14358.1.p1
OG0001001	YEAST00341	OFUSG14675.1.p1
OG0001003	YEAST00644	OFUSG24187.1.p1
OG0001005	YEAST03721, YEAST04253, YEAST02546	OFUSG06280.1.p1
OG0001006	YEAST04513	OFUSG07003.3.p1, OFUSG07003.1.p1, OFUSG07003.2.p1, OFUSG17480.1.p1
OG0001016	YEAST00830	OFUSG16289.1.p1, OFUSG17257.1.p1
OG0001018	YEAST01172	OFUSG20884.1.p1, OFUSG25182.1.p1
OG0001024	YEAST01024, YEAST00308	OFUSG17905.1.p1
OG0001033	YEAST02124	OFUSG07728.1.p1, OFUSG07728.2.p1
OG0001064	YEAST00458	OFUSG07518.1.p1, OFUSG12139.1.p1, OFUSG12139.2.p1, OFUSG12140.2.p1, OFUSG12140.1.p1, OFUSG12144.1.p1, OFUSG19189.1.p1, OFUSG07960.1.p1, OFUSG23296.2.p1, OFUSG23296.1.p1, OFUSG12041.1.p1, OFUSG12153.1.p1, OFUSG12141.1.p1
OG0001066	YEAST06311	OFUSG05685.1.p1
OG0001075	YEAST05636	OFUSG21504.2.p1, OFUSG21504.3.p1, OFUSG21504.1.p1, OFUSG21503.2.p1, OFUSG21503.1.p1
OG0001076	YEAST01570	OFUSG03330.1.p1
OG0001081	YEAST04460	OFUSG14342.1.p1, OFUSG07840.1.p1
OG0001082	YEAST03919, YEAST02905, YEAST05331	OFUSG04037.1.p1, OFUSG17193.1.p1
OG0001094	YEAST03837	OFUSG12462.1.p1, OFUSG05532.1.p1
OG0001095	YEAST00773	OFUSG13749.1.p1, OFUSG13749.3.p1, OFUSG13749.2.p1
OG0001096	YEAST01384	OFUSG26093.1.p1, OFUSG14723.1.p1, OFUSG14723.2.p1, OFUSG26692.2.p1, OFUSG26692.1.p1
OG0001108	YEAST06309	OFUSG17063.1.p1, OFUSG24077.2.p1, OFUSG24077.1.p1, OFUSG24076.1.p1
OG0001111	YEAST06003	OFUSG05334.1.p1, OFUSG11298.1.p1, OFUSG11299.1.p1
OG0001113	YEAST05320	OFUSG01933.1.p1
OG0001114	YEAST00036, YEAST05811	OFUSG04229.1.p1
OG0001124	YEAST02719	OFUSG10854.1.p1, OFUSG07596.1.p1
OG0001132	YEAST05421	OFUSG20144.1.p1
OG0001133	YEAST04296	OFUSG08388.1.p1
OG0001133	YEAST03271	OFUSG21360.1.p1
OG0001134	YEAST05015	OFUSG10062.2.p1, OFUSG10062.1.p1
OG0001135	YEAST03641	OFUSG17784.2.p1, OFUSG17784.1.p1, OFUSG17785.1.p1, OFUSG02833.1.p1
OG0001136	YEAST05047, YEAST02997	OFUSG20143.1.p1, OFUSG20143.4.p1, OFUSG20143.3.p1, OFUSG20143.2.p1
OG0001140	YEAST03519	OFUSG20072.1.p1, OFUSG00173.1.p1
OG0001142	YEAST04001	OFUSG10654.1.p1
OG0001163	YEAST02433	OFUSG11184.1.p1, OFUSG11184.2.p1
OG0001164	YEAST03454	OFUSG24177.1.p1
OG0001171	YEAST04620, YEAST03578	OFUSG16690.1.p1
OG0001175	YEAST00534	OFUSG26257.3.p1, OFUSG26257.2.p1, OFUSG26257.1.p1
OG0001177	YEAST06137	OFUSG21017.1.p1, OFUSG21015.1.p1, OFUSG21019.1.p1, OFUSG21014.1.p1, OFUSG21016.1.p1
OG0001179	YEAST00368, YEAST04831, YEAST02287	OFUSG23169.1.p1
OG0001181	YEAST02051	OFUSG04163.4.p1, OFUSG04163.3.p1, OFUSG04163.2.p1, OFUSG04163.5.p1, OFUSG04163.1.p1
OG0001184	YEAST01681	OFUSG07947.1.p1, OFUSG07947.2.p1, OFUSG05984.1.p1
OG0001185	YEAST04969	OFUSG20935.1.p1
OG0001186	YEAST04605, YEAST01886	OFUSG20257.1.p1, OFUSG20541.1.p1
OG0001191	YEAST04707	OFUSG19246.1.p1
OG0001192	YEAST01898	OFUSG01279.1.p1, OFUSG03419.1.p1
OG0001197	YEAST01499	OFUSG12312.1.p1, OFUSG26563.2.p1, OFUSG26563.1.p1, OFUSG04366.2.p1, OFUSG04366.1.p1
OG0001201	YEAST05452	OFUSG05227.1.p1
OG0001204	YEAST05200	OFUSG22699.1.p1
OG0001207	YEAST03225, YEAST00090	OFUSG24889.1.p1
OG0001207	YEAST04258	OFUSG26036.1.p1, OFUSG04252.2.p1, OFUSG04252.1.p1
OG0001210	YEAST05511	OFUSG21803.1.p1
OG0001210	YEAST02318	OFUSG16955.1.p1
OG0001212	YEAST03971	OFUSG02116.1.p1, OFUSG02118.1.p1
OG0001214	YEAST00577	OFUSG23587.1.p1, OFUSG23585.1.p1, OFUSG23586.1.p1
OG0001216	YEAST00145	OFUSG24041.1.p1, OFUSG05377.1.p1, OFUSG05376.1.p1, OFUSG05379.1.p1
OG0001219	YEAST03867	OFUSG21415.1.p1
OG0001236	YEAST03325, YEAST02687, YEAST03269	OFUSG21425.1.p1
OG0001237	YEAST04380	OFUSG04283.1.p1, OFUSG04283.2.p1, OFUSG24255.3.p1, OFUSG24255.1.p1, OFUSG24255.2.p1
OG0001238	YEAST04481	OFUSG19388.1.p1, OFUSG21344.1.p1
OG0001241	YEAST02002	OFUSG12948.2.p1, OFUSG12948.1.p1
OG0001241	YEAST03967, YEAST01074	OFUSG14006.1.p1
OG0001243	YEAST00739, YEAST05004	OFUSG16186.2.p1, OFUSG16186.3.p1, OFUSG16186.1.p1, OFUSG16186.5.p1, OFUSG16186.4.p1
OG0001249	YEAST01062, YEAST02067	OFUSG17354.1.p1
OG0001250	YEAST02968, YEAST01339	OFUSG09998.1.p1, OFUSG09998.2.p1
OG0001251	YEAST00750	OFUSG21037.1.p1
OG0001251	YEAST01707	OFUSG04849.1.p1
OG0001253	YEAST03998	OFUSG06702.1.p1
OG0001254	YEAST04309	OFUSG24259.1.p1, OFUSG24259.5.p1, OFUSG24259.3.p1, OFUSG24259.4.p1, OFUSG24259.2.p1
OG0001262	YEAST00911	OFUSG07691.1.p1
OG0001263	YEAST00172	OFUSG11029.2.p1, OFUSG11029.1.p1, OFUSG09274.1.p1
OG0001268	YEAST03495	OFUSG09833.1.p1, OFUSG06589.1.p1, OFUSG06589.2.p1
OG0001270	YEAST01703	OFUSG18535.1.p1
OG0001270	YEAST02398	OFUSG05149.1.p1
OG0001271	YEAST05227, YEAST00662	OFUSG04260.2.p1, OFUSG04260.1.p1
OG0001278	YEAST01893	OFUSG21422.1.p1
OG0001279	YEAST03070	OFUSG11783.1.p1
OG0001280	YEAST00846	OFUSG08879.1.p1
OG0001282	YEAST03744	OFUSG01601.2.p1, OFUSG01601.1.p1
OG0001284	YEAST00567, YEAST01498	OFUSG16498.1.p1, OFUSG08836.1.p1, OFUSG08837.1.p1
OG0001286	YEAST00588, YEAST01486, YEAST03604	OFUSG08045.2.p1, OFUSG08045.1.p1
OG0001291	YEAST04453, YEAST04334	OFUSG10221.1.p1
OG0001300	YEAST01098	OFUSG06989.2.p1, OFUSG06989.1.p1, OFUSG06989.3.p1, OFUSG06989.4.p1
OG0001302	YEAST02328	OFUSG26569.1.p1
OG0001302	YEAST00299	OFUSG15207.1.p1
OG0001310	YEAST00887	OFUSG11461.1.p1, OFUSG06993.1.p1, OFUSG06993.2.p1, OFUSG06993.3.p1
OG0001318	YEAST03712	OFUSG00323.1.p1, OFUSG00343.1.p1
OG0001319	YEAST01678	OFUSG26856.1.p1, OFUSG26856.2.p1
OG0001321	YEAST02280, YEAST01901	OFUSG16548.1.p1, OFUSG15930.1.p1
OG0001322	YEAST06128	OFUSG07154.2.p1, OFUSG07154.1.p1, OFUSG11624.1.p1
OG0001324	YEAST00078	OFUSG16607.1.p1
OG0001325	YEAST00793	OFUSG10884.1.p1
OG0001326	YEAST05395	OFUSG19214.1.p1
OG0001327	YEAST03176	OFUSG12772.1.p1, OFUSG06432.1.p1
OG0001332	YEAST03929, YEAST02705, YEAST00687	OFUSG05145.1.p1, OFUSG17350.1.p1
OG0001333	YEAST00728	OFUSG07585.1.p1, OFUSG07585.2.p1
OG0001341	YEAST06006	OFUSG06041.1.p1
OG0001345	YEAST03613	OFUSG06158.1.p1
OG0001353	YEAST00020, YEAST04041	OFUSG21880.1.p1, OFUSG17569.1.p1
OG0001363	YEAST06180	OFUSG08098.1.p1, OFUSG06851.1.p1, OFUSG04232.2.p1, OFUSG04232.1.p1, OFUSG10137.2.p1, OFUSG10137.1.p1
OG0001364	YEAST06038, YEAST00402	OFUSG21480.2.p1, OFUSG21480.1.p1
OG0001367	YEAST04688	OFUSG13306.3.p1, OFUSG13306.2.p1, OFUSG13306.1.p1
OG0001368	YEAST01821	OFUSG15592.1.p1, OFUSG15601.1.p1, OFUSG14872.1.p1, OFUSG23238.1.p1, OFUSG13017.1.p1, OFUSG03573.1.p1, OFUSG11560.1.p1
OG0001370	YEAST04067, YEAST05195, YEAST00897	OFUSG26505.1.p1, OFUSG07390.1.p1
OG0001371	YEAST00532, YEAST03976	OFUSG17879.1.p1
OG0001372	YEAST00070	OFUSG17365.1.p1
OG0001372	YEAST02226	OFUSG20231.1.p1
OG0001375	YEAST05499, YEAST05567	OFUSG07343.1.p1, OFUSG17328.1.p1
OG0001378	YEAST02300	OFUSG06638.1.p1
OG0001379	YEAST04155	OFUSG25798.1.p1
OG0001386	YEAST05114	OFUSG04435.2.p1, OFUSG04435.1.p1
OG0001397	YEAST05731	OFUSG18946.1.p1, OFUSG05696.1.p1
OG0001400	YEAST02931	OFUSG16752.1.p1
OG0001409	YEAST00885, YEAST04659	OFUSG08545.1.p1
OG0001410	YEAST05046	OFUSG03571.1.p1, OFUSG05214.1.p1
OG0001411	YEAST04834	OFUSG03508.1.p1
OG0001412	YEAST04490	OFUSG18887.1.p1, OFUSG15817.1.p1
OG0001413	YEAST04294	OFUSG22121.1.p1, OFUSG08829.2.p1, OFUSG08829.1.p1
OG0001414	YEAST06070, YEAST01920	OFUSG11958.2.p1, OFUSG11958.1.p1, OFUSG18118.1.p1
OG0001415	YEAST04230	OFUSG15519.1.p1
OG0001415	YEAST00964	OFUSG13887.1.p1, OFUSG13881.1.p1, OFUSG13888.1.p1
OG0001421	YEAST05252	OFUSG12383.1.p1, OFUSG12383.2.p1, OFUSG12383.3.p1
OG0001422	YEAST05588, YEAST01363	OFUSG26586.1.p1, OFUSG26586.2.p1
OG0001424	YEAST01127	OFUSG16407.2.p1, OFUSG16407.1.p1, OFUSG06362.1.p1
OG0001427	YEAST01885	OFUSG17237.1.p1, OFUSG17237.2.p1
OG0001428	YEAST04862, YEAST05862, YEAST02749, YEAST03037	OFUSG13057.1.p1, OFUSG13057.2.p1
OG0001430	YEAST01712	OFUSG12101.2.p1, OFUSG12101.1.p1
OG0001434	YEAST03991	OFUSG01502.1.p1, OFUSG08642.1.p1, OFUSG01505.1.p1, OFUSG01506.1.p1, OFUSG01495.1.p1, OFUSG01494.1.p1, OFUSG01496.1.p1
OG0001437	YEAST01264, YEAST02900	OFUSG20380.1.p1
OG0001445	YEAST01715	OFUSG25750.1.p1
OG0001449	YEAST03188	OFUSG23473.1.p1
OG0001452	YEAST05900	OFUSG19630.4.p1, OFUSG19630.3.p1, OFUSG19630.2.p1, OFUSG19630.1.p1
OG0001454	YEAST01495, YEAST00573	OFUSG02983.3.p1, OFUSG02983.1.p1, OFUSG02983.2.p1
OG0001456	YEAST00365	OFUSG19848.1.p1, OFUSG19840.1.p1
OG0001459	YEAST03073, YEAST03464	OFUSG26657.1.p1
OG0001461	YEAST05255	OFUSG06941.1.p1, OFUSG06941.2.p1
OG0001468	YEAST03875, YEAST03904	OFUSG16624.1.p1
OG0001469	YEAST02070	OFUSG19276.1.p1
OG0001469	YEAST02765	OFUSG01366.1.p1
OG0001470	YEAST00369, YEAST05375	OFUSG23956.1.p1
OG0001472	YEAST03031	OFUSG15801.1.p1, OFUSG11564.1.p1, OFUSG11564.2.p1
OG0001473	YEAST05711	OFUSG18207.1.p1, OFUSG18989.2.p1, OFUSG18989.1.p1
OG0001474	YEAST01416, YEAST05312	OFUSG22251.1.p1, OFUSG03993.1.p1
OG0001478	YEAST01984	OFUSG11728.1.p1, OFUSG11728.2.p1
OG0001478	YEAST02078	OFUSG17892.2.p1, OFUSG17892.1.p1
OG0001479	YEAST01132	OFUSG07446.2.p1, OFUSG07446.1.p1, OFUSG07446.4.p1, OFUSG07446.3.p1
OG0001503	YEAST03032	OFUSG09447.1.p1
OG0001503	YEAST02920	OFUSG11182.1.p1
OG0001504	YEAST05406	OFUSG25921.1.p1, OFUSG25920.1.p1, OFUSG20289.1.p1, OFUSG20286.1.p1
OG0001505	YEAST03361	OFUSG14500.1.p1, OFUSG00231.1.p1
OG0001508	YEAST04143	OFUSG25521.5.p1, OFUSG25521.2.p1, OFUSG25521.1.p1, OFUSG25521.4.p1, OFUSG25521.3.p1
OG0001515	YEAST03320, YEAST03569	OFUSG22166.1.p1
