Orthogroup	YEAST	APOSJ_ok
OG0001024	YEAST01024, YEAST00308	APOSJ_05017, APOSJ_27731
OG0001033	YEAST02124	APOSJ_30056, APOSJ_30055
OG0001048	YEAST05595, YEAST01374	APOSJ_41437
OG0001066	YEAST06311	APOSJ_40783, APOSJ_40784, APOSJ_40782, APOSJ_48950
OG0001075	YEAST05636	APOSJ_43886, APOSJ_55214
OG0001076	YEAST01570	APOSJ_20280
OG0001081	YEAST04460	APOSJ_19313, APOSJ_18432, APOSJ_18433, APOSJ_51296, APOSJ_18436, APOSJ_06899, APOSJ_05795, APOSJ_18435
OG0001082	YEAST03919, YEAST02905, YEAST05331	APOSJ_50344, APOSJ_55101, APOSJ_30098, APOSJ_55093, APOSJ_08785, APOSJ_55094, APOSJ_32224, APOSJ_55097, APOSJ_06626, APOSJ_06627
OG0001094	YEAST03837	APOSJ_43517
OG0001095	YEAST00773	APOSJ_21298
OG0001096	YEAST01384	APOSJ_64408
OG0001101	YEAST03434	APOSJ_14916
OG0001108	YEAST06309	APOSJ_02969, APOSJ_02970, APOSJ_19593
OG0001111	YEAST06003	APOSJ_24368, APOSJ_02457
OG0001113	YEAST05320	APOSJ_62872, APOSJ_49690, APOSJ_62875, APOSJ_62876
OG0001114	YEAST00036, YEAST05811	APOSJ_15885, APOSJ_20381, APOSJ_20380, APOSJ_64451, APOSJ_55137
OG0001124	YEAST02719	APOSJ_50119, APOSJ_64959, APOSJ_50120, APOSJ_06928, APOSJ_19612, APOSJ_43744, APOSJ_06929
OG0001132	YEAST05421	APOSJ_17244, APOSJ_11493, APOSJ_11488, APOSJ_11495, APOSJ_11496, APOSJ_17243, APOSJ_11490, APOSJ_11492, APOSJ_59966, APOSJ_47442, APOSJ_28964, APOSJ_28968, APOSJ_47445, APOSJ_28966, APOSJ_47446, APOSJ_59964, APOSJ_47441, APOSJ_59963, APOSJ_32987, APOSJ_28965, APOSJ_47439, APOSJ_59961, APOSJ_17245, APOSJ_17242, APOSJ_11489, APOSJ_11494, APOSJ_17241, APOSJ_00742, APOSJ_17247, APOSJ_11491, APOSJ_47443, APOSJ_17246, APOSJ_28967, APOSJ_59962, APOSJ_47444, APOSJ_28969, APOSJ_28963, APOSJ_59965, APOSJ_47440
OG0001133	YEAST04296	APOSJ_43053, APOSJ_43052
OG0001133	YEAST03271	APOSJ_30572, APOSJ_30571, APOSJ_30570
OG0001134	YEAST05015	APOSJ_46103, APOSJ_39342
OG0001135	YEAST03641	APOSJ_28576, APOSJ_45469, APOSJ_18187
OG0001136	YEAST05047, YEAST02997	APOSJ_60014, APOSJ_58081, APOSJ_60019, APOSJ_60022
OG0001140	YEAST03519	APOSJ_35608, APOSJ_23309
OG0001142	YEAST04001	APOSJ_16161, APOSJ_01133, APOSJ_21965, APOSJ_61915, APOSJ_51026, APOSJ_39756, APOSJ_48881, APOSJ_48879, APOSJ_16159, APOSJ_21967, APOSJ_48880, APOSJ_45036, APOSJ_41992, APOSJ_45034, APOSJ_12989, APOSJ_45038, APOSJ_45037, APOSJ_45032, APOSJ_21973, APOSJ_51022, APOSJ_51024, APOSJ_51347, APOSJ_45033, APOSJ_16163, APOSJ_01149, APOSJ_45035, APOSJ_48882, APOSJ_01134, APOSJ_48877
OG0001163	YEAST02433	APOSJ_07955, APOSJ_07957, APOSJ_49878, APOSJ_07956, APOSJ_07959, APOSJ_07958, APOSJ_46878, APOSJ_11189, APOSJ_63692, APOSJ_44713, APOSJ_44711, APOSJ_33342, APOSJ_13133
OG0001164	YEAST03454	APOSJ_01946
OG0001171	YEAST04620, YEAST03578	APOSJ_32394, APOSJ_32395
OG0001175	YEAST00534	APOSJ_02450, APOSJ_11124, APOSJ_15781, APOSJ_15780
OG0001177	YEAST06137	APOSJ_52104, APOSJ_44813, APOSJ_29427, APOSJ_53427, APOSJ_29429, APOSJ_51390, APOSJ_29921, APOSJ_29919, APOSJ_29920
OG0001179	YEAST00368, YEAST04831, YEAST02287	APOSJ_18554, APOSJ_27224, APOSJ_39766, APOSJ_27225
OG0001181	YEAST02051	APOSJ_49272, APOSJ_49277, APOSJ_49275, APOSJ_63759, APOSJ_49276, APOSJ_63757, APOSJ_63760, APOSJ_49271, APOSJ_39251, APOSJ_39252, APOSJ_49273, APOSJ_49274
OG0001184	YEAST01681	APOSJ_14036, APOSJ_14034, APOSJ_14037, APOSJ_14035, APOSJ_33065, APOSJ_09294, APOSJ_33062, APOSJ_33061
OG0001185	YEAST04969	APOSJ_55269, APOSJ_55273, APOSJ_55270, APOSJ_55272, APOSJ_55274, APOSJ_55271, APOSJ_55268, APOSJ_07581
OG0001186	YEAST04605, YEAST01886	APOSJ_65059, APOSJ_49100, APOSJ_61207, APOSJ_61209, APOSJ_49105, APOSJ_49101, APOSJ_49102, APOSJ_40051, APOSJ_61206
OG0001191	YEAST04707	APOSJ_42790, APOSJ_42793, APOSJ_14790, APOSJ_42792, APOSJ_14832, APOSJ_38916, APOSJ_42794
OG0001197	YEAST01499	APOSJ_01649, APOSJ_02421, APOSJ_14617, APOSJ_14615, APOSJ_35771, APOSJ_49286, APOSJ_49285
OG0001201	YEAST05452	APOSJ_61343, APOSJ_61344, APOSJ_52026, APOSJ_49436, APOSJ_36541
OG0001204	YEAST05200	APOSJ_07019, APOSJ_07070, APOSJ_21696, APOSJ_35408, APOSJ_41668, APOSJ_39539, APOSJ_53773, APOSJ_46990, APOSJ_53249, APOSJ_30340, APOSJ_30345, APOSJ_30338, APOSJ_30339, APOSJ_30343, APOSJ_30342, APOSJ_30344, APOSJ_30341
OG0001207	YEAST04258	APOSJ_02461, APOSJ_04816
OG0001210	YEAST05511	APOSJ_37932
OG0001210	YEAST02318	APOSJ_23203, APOSJ_23202
OG0001212	YEAST03971	APOSJ_06776, APOSJ_06777
OG0001214	YEAST00577	APOSJ_27393, APOSJ_29473, APOSJ_47896, APOSJ_53677, APOSJ_53667, APOSJ_29474, APOSJ_27388, APOSJ_27390, APOSJ_27394, APOSJ_29472, APOSJ_27392, APOSJ_27391, APOSJ_22336, APOSJ_53665, APOSJ_29475, APOSJ_53673
OG0001216	YEAST00145	APOSJ_27698, APOSJ_57845, APOSJ_07687, APOSJ_07690, APOSJ_07688, APOSJ_07689
OG0001219	YEAST03867	APOSJ_05496, APOSJ_31063, APOSJ_00885, APOSJ_51184
OG0001236	YEAST03325, YEAST02687, YEAST03269	APOSJ_04898, APOSJ_04897, APOSJ_30489, APOSJ_53723, APOSJ_47426, APOSJ_58914
OG0001237	YEAST04380	APOSJ_49562
OG0001238	YEAST04481	APOSJ_10931, APOSJ_10930, APOSJ_10927, APOSJ_10928, APOSJ_10925, APOSJ_10926, APOSJ_10929, APOSJ_10932
OG0001241	YEAST02002	APOSJ_31880, APOSJ_31879
OG0001241	YEAST03967, YEAST01074	APOSJ_14702, APOSJ_26894, APOSJ_26895, APOSJ_14704, APOSJ_14703, APOSJ_26899, APOSJ_14705
OG0001243	YEAST00739, YEAST05004	APOSJ_62434, APOSJ_33719, APOSJ_08856, APOSJ_08854, APOSJ_15749, APOSJ_33720, APOSJ_15751, APOSJ_15750, APOSJ_13102, APOSJ_33724, APOSJ_56492, APOSJ_33723
OG0001249	YEAST01062, YEAST02067	APOSJ_49684, APOSJ_49687, APOSJ_49685, APOSJ_49681, APOSJ_49683, APOSJ_49686, APOSJ_49682
OG0001250	YEAST02968, YEAST01339	APOSJ_45773, APOSJ_45772
OG0001251	YEAST01707	APOSJ_26930, APOSJ_53060
OG0001253	YEAST03998	APOSJ_63481
OG0001254	YEAST04309	APOSJ_20082, APOSJ_20079, APOSJ_20080, APOSJ_20081, APOSJ_20083
OG0001262	YEAST00911	APOSJ_28304, APOSJ_28303, APOSJ_46237, APOSJ_28302
OG0001263	YEAST00172	APOSJ_26053, APOSJ_26052, APOSJ_27866, APOSJ_27867
OG0001268	YEAST03495	APOSJ_30635, APOSJ_30631, APOSJ_30630, APOSJ_61129, APOSJ_26078, APOSJ_61134, APOSJ_30632, APOSJ_61130, APOSJ_30629, APOSJ_31771
OG0001270	YEAST01703	APOSJ_00845, APOSJ_10264
OG0001270	YEAST02398	APOSJ_39650, APOSJ_52054, APOSJ_52055, APOSJ_52049, APOSJ_52052
OG0001271	YEAST05227, YEAST00662	APOSJ_42324, APOSJ_42325, APOSJ_42323, APOSJ_42327, APOSJ_42326, APOSJ_42322
OG0001278	YEAST01893	APOSJ_45303, APOSJ_16356
OG0001279	YEAST03070	APOSJ_00366, APOSJ_00367
OG0001280	YEAST00846	APOSJ_38817, APOSJ_38818, APOSJ_38816
OG0001282	YEAST03744	APOSJ_53381, APOSJ_53380, APOSJ_53382, APOSJ_53379, APOSJ_53383, APOSJ_62917, APOSJ_63341, APOSJ_62919
OG0001284	YEAST00567, YEAST01498	APOSJ_60084, APOSJ_51094, APOSJ_51096, APOSJ_51095, APOSJ_51093, APOSJ_38180, APOSJ_38179, APOSJ_38178, APOSJ_39124
OG0001286	YEAST00588, YEAST01486, YEAST03604	APOSJ_64115, APOSJ_21405
OG0001291	YEAST04453, YEAST04334	APOSJ_13944, APOSJ_61515, APOSJ_61517, APOSJ_61511, APOSJ_61514, APOSJ_61513, APOSJ_61512, APOSJ_61516
OG0001300	YEAST01098	APOSJ_00778
OG0001302	YEAST02328	APOSJ_50423, APOSJ_14148, APOSJ_45734, APOSJ_14151, APOSJ_50422, APOSJ_50421, APOSJ_38024
OG0001302	YEAST00299	APOSJ_52700, APOSJ_52698, APOSJ_52702, APOSJ_52697
OG0001310	YEAST00887	APOSJ_62169, APOSJ_54029, APOSJ_54028
OG0001318	YEAST03712	APOSJ_38930, APOSJ_26105, APOSJ_12648, APOSJ_38928, APOSJ_38929, APOSJ_43686, APOSJ_38925, APOSJ_26107, APOSJ_58195, APOSJ_58196, APOSJ_25774
OG0001319	YEAST01678	APOSJ_49796
OG0001321	YEAST02280, YEAST01901	APOSJ_00883, APOSJ_05483, APOSJ_00884
OG0001322	YEAST06128	APOSJ_17574, APOSJ_34586, APOSJ_25010, APOSJ_25009
OG0001324	YEAST00078	APOSJ_27568, APOSJ_63968, APOSJ_63983, APOSJ_27573, APOSJ_27571, APOSJ_33050, APOSJ_33047, APOSJ_33052, APOSJ_33051, APOSJ_33048, APOSJ_33049, APOSJ_63992, APOSJ_63953, APOSJ_27563
OG0001325	YEAST00793	APOSJ_07903, APOSJ_07905
OG0001326	YEAST05395	APOSJ_44084, APOSJ_48298
OG0001327	YEAST03176	APOSJ_43125, APOSJ_32560, APOSJ_15638
OG0001332	YEAST03929, YEAST02705, YEAST00687	APOSJ_62303, APOSJ_62304, APOSJ_34905, APOSJ_34907, APOSJ_34906, APOSJ_34908, APOSJ_34904
OG0001333	YEAST00728	APOSJ_54634, APOSJ_27713, APOSJ_11036, APOSJ_48030, APOSJ_01772, APOSJ_48029, APOSJ_42588, APOSJ_58038, APOSJ_58032, APOSJ_48031, APOSJ_58027, APOSJ_54633, APOSJ_48032, APOSJ_01771, APOSJ_21097, APOSJ_21098, APOSJ_64098
OG0001341	YEAST06006	APOSJ_13756, APOSJ_26232, APOSJ_55577, APOSJ_47616, APOSJ_13755, APOSJ_47617, APOSJ_51109, APOSJ_26204, APOSJ_07563, APOSJ_47614, APOSJ_51124, APOSJ_55588, APOSJ_13754, APOSJ_07564, APOSJ_26219, APOSJ_26213
OG0001345	YEAST03613	APOSJ_27585, APOSJ_27586, APOSJ_27587
OG0001353	YEAST00020, YEAST04041	APOSJ_23313, APOSJ_14345, APOSJ_07681, APOSJ_07682, APOSJ_02273, APOSJ_59898
OG0001363	YEAST06180	APOSJ_18304
OG0001364	YEAST06038, YEAST00402	APOSJ_40220, APOSJ_48961
OG0001367	YEAST04688	APOSJ_43134, APOSJ_64574
OG0001368	YEAST01821	APOSJ_11663, APOSJ_11664, APOSJ_08285, APOSJ_08277, APOSJ_33258, APOSJ_11662
OG0001370	YEAST04067, YEAST05195, YEAST00897	APOSJ_23259, APOSJ_51380, APOSJ_18976
OG0001371	YEAST00532, YEAST03976	APOSJ_60337, APOSJ_41614, APOSJ_41615, APOSJ_05666, APOSJ_05668, APOSJ_05667
OG0001372	YEAST00070	APOSJ_22680, APOSJ_51824, APOSJ_22681, APOSJ_22679, APOSJ_22682
OG0001372	YEAST02226	APOSJ_58194
OG0001375	YEAST05499, YEAST05567	APOSJ_41146, APOSJ_32605, APOSJ_42027, APOSJ_01914, APOSJ_01916, APOSJ_11798, APOSJ_01917, APOSJ_01918, APOSJ_01915, APOSJ_01919
OG0001378	YEAST02300	APOSJ_23820, APOSJ_23821, APOSJ_18962
OG0001379	YEAST04155	APOSJ_32392, APOSJ_32393, APOSJ_32390, APOSJ_32389, APOSJ_31749, APOSJ_05697, APOSJ_31750, APOSJ_32391
OG0001386	YEAST05114	APOSJ_12830, APOSJ_12824, APOSJ_12831, APOSJ_12829
OG0001397	YEAST05731	APOSJ_08999, APOSJ_08998, APOSJ_58982, APOSJ_58981
OG0001400	YEAST02931	APOSJ_40398, APOSJ_52484, APOSJ_40397, APOSJ_40400
OG0001409	YEAST00885, YEAST04659	APOSJ_07829, APOSJ_09406, APOSJ_09407, APOSJ_09408, APOSJ_09409, APOSJ_09410
OG0001410	YEAST05046	APOSJ_51759, APOSJ_51757, APOSJ_05846, APOSJ_51758, APOSJ_04633
OG0001411	YEAST04834	APOSJ_38351, APOSJ_52153, APOSJ_55708, APOSJ_33498, APOSJ_55701, APOSJ_33500, APOSJ_63215, APOSJ_45710, APOSJ_26956, APOSJ_33502, APOSJ_33501, APOSJ_26953, APOSJ_33507, APOSJ_26954, APOSJ_33506, APOSJ_33504, APOSJ_52154, APOSJ_33505, APOSJ_55703, APOSJ_33503, APOSJ_26957, APOSJ_55709, APOSJ_45708, APOSJ_55707, APOSJ_45709, APOSJ_26952, APOSJ_38354, APOSJ_33499
OG0001412	YEAST04490	APOSJ_08051, APOSJ_27255, APOSJ_50629, APOSJ_18073, APOSJ_08050, APOSJ_57056, APOSJ_50632, APOSJ_32891, APOSJ_50630, APOSJ_09735, APOSJ_09732, APOSJ_08048, APOSJ_08052, APOSJ_08049, APOSJ_27259, APOSJ_09734, APOSJ_09733, APOSJ_43373, APOSJ_50243, APOSJ_32846, APOSJ_27260, APOSJ_02937
OG0001413	YEAST04294	APOSJ_13128, APOSJ_56198, APOSJ_60763, APOSJ_53004, APOSJ_60766
OG0001414	YEAST06070, YEAST01920	APOSJ_13920, APOSJ_13919, APOSJ_13921, APOSJ_13922, APOSJ_63059, APOSJ_63062, APOSJ_63061, APOSJ_63060, APOSJ_63057, APOSJ_63058
OG0001415	YEAST04230	APOSJ_36844
OG0001415	YEAST00964	APOSJ_28238, APOSJ_48349
OG0001421	YEAST05252	APOSJ_16340, APOSJ_16339
OG0001422	YEAST05588, YEAST01363	APOSJ_00918, APOSJ_00916
OG0001424	YEAST01127	APOSJ_33187, APOSJ_33186, APOSJ_44890, APOSJ_44889
OG0001427	YEAST01885	APOSJ_47860
OG0001428	YEAST04862, YEAST05862, YEAST02749, YEAST03037	APOSJ_61295, APOSJ_40068, APOSJ_08747, APOSJ_02448, APOSJ_45811
OG0001430	YEAST01712	APOSJ_18614
OG0001434	YEAST03991	APOSJ_18725, APOSJ_53500, APOSJ_18726
OG0001437	YEAST01264, YEAST02900	APOSJ_05128
OG0001445	YEAST01715	APOSJ_48231, APOSJ_61399, APOSJ_13482, APOSJ_19159, APOSJ_48233, APOSJ_13481, APOSJ_13478, APOSJ_61401, APOSJ_48234, APOSJ_13485, APOSJ_61400, APOSJ_13486, APOSJ_12279, APOSJ_52238, APOSJ_61398, APOSJ_40917, APOSJ_41165, APOSJ_52261, APOSJ_02004, APOSJ_48230, APOSJ_12281, APOSJ_41135, APOSJ_19163, APOSJ_13480, APOSJ_48232
OG0001449	YEAST03188	APOSJ_09119, APOSJ_58492
OG0001452	YEAST05900	APOSJ_12826, APOSJ_12828, APOSJ_12827, APOSJ_12825
OG0001454	YEAST01495, YEAST00573	APOSJ_38412, APOSJ_38411
OG0001456	YEAST00365	APOSJ_36129, APOSJ_36127, APOSJ_36126, APOSJ_36125, APOSJ_36128, APOSJ_36124, APOSJ_14012, APOSJ_25848
OG0001459	YEAST03073, YEAST03464	APOSJ_49247, APOSJ_49246, APOSJ_49250, APOSJ_65412, APOSJ_49248, APOSJ_49249, APOSJ_65411, APOSJ_49251, APOSJ_35348, APOSJ_52084
OG0001461	YEAST05255	APOSJ_42829, APOSJ_32423, APOSJ_05887, APOSJ_42828, APOSJ_42825, APOSJ_32421, APOSJ_42826, APOSJ_53272, APOSJ_02591, APOSJ_42827, APOSJ_32425, APOSJ_32419, APOSJ_32420, APOSJ_32424, APOSJ_32418
OG0001468	YEAST03875, YEAST03904	APOSJ_23856, APOSJ_23854, APOSJ_23853, APOSJ_23852
OG0001469	YEAST02070	APOSJ_45532, APOSJ_45531
OG0001469	YEAST02765	APOSJ_58140
OG0001470	YEAST00369, YEAST05375	APOSJ_09188, APOSJ_62615
OG0001472	YEAST03031	APOSJ_20884, APOSJ_02763, APOSJ_04800, APOSJ_04801
OG0001473	YEAST05711	APOSJ_63513, APOSJ_63514, APOSJ_30846, APOSJ_62194, APOSJ_30848, APOSJ_30847
OG0001474	YEAST01416, YEAST05312	APOSJ_53524, APOSJ_26185, APOSJ_26183, APOSJ_26184
OG0001478	YEAST01984	APOSJ_40906, APOSJ_40905, APOSJ_40911, APOSJ_40910, APOSJ_40904, APOSJ_40907, APOSJ_40909, APOSJ_55742
OG0001479	YEAST01132	APOSJ_16438, APOSJ_29892, APOSJ_29818, APOSJ_16436
OG0001503	YEAST03032	APOSJ_39257
OG0001503	YEAST02920	APOSJ_26139, APOSJ_26137, APOSJ_26138, APOSJ_26136
OG0001504	YEAST05406	APOSJ_35252, APOSJ_31363, APOSJ_05029, APOSJ_31367, APOSJ_05030
OG0001505	YEAST03361	APOSJ_22967
OG0001508	YEAST04143	APOSJ_28090
OG0001515	YEAST03320	APOSJ_15158
OG0001515	YEAST03569	APOSJ_57955
OG0001520	YEAST03872	APOSJ_06930, APOSJ_04719, APOSJ_04720
OG0001524	YEAST03912	APOSJ_00646, APOSJ_00649, APOSJ_00648, APOSJ_00647
OG0001525	YEAST00757	APOSJ_63579
OG0001527	YEAST01395	APOSJ_12095, APOSJ_38697
OG0001529	YEAST01143	APOSJ_22054, APOSJ_29325, APOSJ_29327, APOSJ_29326
OG0001530	YEAST00643	APOSJ_06485, APOSJ_45138
OG0001546	YEAST03111	APOSJ_33827
OG0001550	YEAST02405, YEAST05953	APOSJ_04961, APOSJ_35970, APOSJ_37097, APOSJ_18901, APOSJ_43280, APOSJ_17288
OG0001551	YEAST04817	APOSJ_20173, APOSJ_65295, APOSJ_65315, APOSJ_40271, APOSJ_30369, APOSJ_13184, APOSJ_13182, APOSJ_63144, APOSJ_38371, APOSJ_13180, APOSJ_13185, APOSJ_13181, APOSJ_40283, APOSJ_30420, APOSJ_38374, APOSJ_20172, APOSJ_65319, APOSJ_65300, APOSJ_65296, APOSJ_38373
OG0001553	YEAST05147, YEAST01586	APOSJ_33155
OG0001557	YEAST04671	APOSJ_10654, APOSJ_10652, APOSJ_10655, APOSJ_10651, APOSJ_10653, APOSJ_10656
OG0001557	YEAST04551	APOSJ_38485, APOSJ_38487
OG0001558	YEAST04449	APOSJ_47988, APOSJ_47987, APOSJ_47985, APOSJ_47986, APOSJ_61618, APOSJ_20451
OG0001559	YEAST00445, YEAST02434	APOSJ_09869, APOSJ_09865
OG0001561	YEAST06176	APOSJ_47065, APOSJ_22872, APOSJ_47066, APOSJ_47067, APOSJ_47068
OG0001564	YEAST05390	APOSJ_17825, APOSJ_17828
OG0001570	YEAST04678	APOSJ_56786, APOSJ_56785, APOSJ_13094, APOSJ_13092, APOSJ_20991, APOSJ_13088, APOSJ_20995, APOSJ_20992, APOSJ_17048, APOSJ_20994, APOSJ_13089, APOSJ_20993
OG0001573	YEAST03285	APOSJ_07885, APOSJ_28755, APOSJ_28751, APOSJ_40296, APOSJ_07889, APOSJ_04624, APOSJ_40300, APOSJ_28754, APOSJ_40307, APOSJ_07891, APOSJ_55775, APOSJ_55792, APOSJ_27081, APOSJ_07880, APOSJ_55784, APOSJ_06375, APOSJ_27094, APOSJ_06376, APOSJ_07881, APOSJ_07877, APOSJ_21923, APOSJ_07879, APOSJ_40302
OG0001578	YEAST01872	APOSJ_57447, APOSJ_34870
OG0001580	YEAST06270	APOSJ_03305, APOSJ_44754
OG0001590	YEAST03476, YEAST00717, YEAST03955	APOSJ_65369, APOSJ_53807, APOSJ_20527, APOSJ_53809, APOSJ_02633, APOSJ_02632, APOSJ_16709
OG0001594	YEAST03418	APOSJ_35036, APOSJ_46488
OG0001597	YEAST01702	APOSJ_16716, APOSJ_46774, APOSJ_07428, APOSJ_46773
OG0001603	YEAST02584	APOSJ_11958, APOSJ_11960, APOSJ_11959, APOSJ_64441, APOSJ_52382, APOSJ_40391
OG0001604	YEAST01428	APOSJ_23212, APOSJ_11756, APOSJ_11757, APOSJ_11755
OG0001605	YEAST04101	APOSJ_11572, APOSJ_00300, APOSJ_00299
OG0001609	YEAST02739	APOSJ_55743, APOSJ_61570, APOSJ_41734, APOSJ_61571, APOSJ_61572
OG0001610	YEAST00596	APOSJ_24527
OG0001612	YEAST01109	APOSJ_00298
OG0001628	YEAST04790	APOSJ_05236, APOSJ_05233, APOSJ_05234, APOSJ_05235, APOSJ_51838, APOSJ_51839, APOSJ_51837
OG0001653	YEAST01151	APOSJ_01288, APOSJ_50677, APOSJ_58869, APOSJ_56239, APOSJ_63973, APOSJ_63972, APOSJ_39228, APOSJ_63976, APOSJ_63970, APOSJ_56238, APOSJ_39231, APOSJ_63969, APOSJ_39229, APOSJ_63977, APOSJ_56242, APOSJ_39230
OG0001655	YEAST03354	APOSJ_30007, APOSJ_04829
OG0001657	YEAST00101, YEAST00944	APOSJ_25883
OG0001663	YEAST05642	APOSJ_62285, APOSJ_35432, APOSJ_35433, APOSJ_30721
OG0001676	YEAST02848	APOSJ_44943
OG0001676	YEAST06155	APOSJ_63125
OG0001679	YEAST05302, YEAST02334, YEAST02449, YEAST01523	APOSJ_45301, APOSJ_23265, APOSJ_62247, APOSJ_54962, APOSJ_09792, APOSJ_11937, APOSJ_23263, APOSJ_46533, APOSJ_11936, APOSJ_46536, APOSJ_33355, APOSJ_33381, APOSJ_23258, APOSJ_47301, APOSJ_47300, APOSJ_45650, APOSJ_45649, APOSJ_02922, APOSJ_02921
OG0001680	YEAST01119, YEAST04022	APOSJ_43752, APOSJ_43751
OG0001685	YEAST01147	APOSJ_46461, APOSJ_04988
OG0001687	YEAST05279	APOSJ_32447, APOSJ_32448, APOSJ_32446, APOSJ_53302, APOSJ_53303, APOSJ_53304, APOSJ_62522, APOSJ_62520, APOSJ_62523, APOSJ_62525, APOSJ_51165, APOSJ_48110, APOSJ_48122, APOSJ_61912
OG0001691	YEAST01315	APOSJ_45144, APOSJ_45143, APOSJ_45141, APOSJ_07612
OG0001704	YEAST01293	APOSJ_23614, APOSJ_47839, APOSJ_47840
OG0001706	YEAST03424	APOSJ_42799, APOSJ_03908
OG0001707	YEAST06049, YEAST00407, YEAST04739	APOSJ_17046, APOSJ_17047
OG0001708	YEAST05744, YEAST05745	APOSJ_46898, APOSJ_64331, APOSJ_58201, APOSJ_55318, APOSJ_46897, APOSJ_23368
OG0001709	YEAST04440	APOSJ_63336, APOSJ_51281, APOSJ_63337, APOSJ_13337, APOSJ_13336, APOSJ_18164, APOSJ_18161, APOSJ_18163
OG0001713	YEAST04039	APOSJ_24201, APOSJ_00489, APOSJ_00490, APOSJ_00492, APOSJ_00493
OG0001718	YEAST01537	APOSJ_14330, APOSJ_14328, APOSJ_14329, APOSJ_14327
OG0001721	YEAST04881, YEAST05253, YEAST00698	APOSJ_03680, APOSJ_03678, APOSJ_03679, APOSJ_03677
OG0001723	YEAST01435	APOSJ_29659, APOSJ_15139, APOSJ_15140
OG0001727	YEAST04543	APOSJ_18058
OG0001728	YEAST03347	APOSJ_54179
OG0001730	YEAST00177	APOSJ_41351, APOSJ_41350
OG0001736	YEAST04588	APOSJ_25661, APOSJ_30704
OG0001739	YEAST03760	APOSJ_22853, APOSJ_61308
OG0001750	YEAST03628	APOSJ_62862, APOSJ_27105
OG0001754	YEAST03682	APOSJ_46299
OG0001755	YEAST05131	APOSJ_19271
OG0001756	YEAST00620	APOSJ_33179, APOSJ_05743, APOSJ_05740, APOSJ_05744, APOSJ_05741, APOSJ_05742, APOSJ_05739
OG0001769	YEAST04726	APOSJ_53780, APOSJ_42247
OG0001770	YEAST02590	APOSJ_45787
OG0001774	YEAST05166	APOSJ_55356, APOSJ_55357, APOSJ_09707, APOSJ_09706
OG0001775	YEAST05594	APOSJ_00691, APOSJ_43019, APOSJ_46440, APOSJ_56961, APOSJ_39426
OG0001780	YEAST03768	APOSJ_14495, APOSJ_14496, APOSJ_14498, APOSJ_25659, APOSJ_14497
OG0001781	YEAST01882	APOSJ_38957, APOSJ_35946
OG0001782	YEAST02421	APOSJ_17433, APOSJ_17434, APOSJ_44887, APOSJ_19814
OG0001785	YEAST02713	APOSJ_03008, APOSJ_03006, APOSJ_52906, APOSJ_52907, APOSJ_52910, APOSJ_52911, APOSJ_60376, APOSJ_03007, APOSJ_46593, APOSJ_60372, APOSJ_60373, APOSJ_52917
OG0001787	YEAST03546	APOSJ_20194, APOSJ_20193, APOSJ_20192, APOSJ_20191, APOSJ_20196, APOSJ_20195
OG0001792	YEAST02075	APOSJ_35642
OG0001792	YEAST04595	APOSJ_31470
OG0001793	YEAST02466	APOSJ_15518, APOSJ_15517, APOSJ_07171, APOSJ_07172
OG0001805	YEAST05496, YEAST01242	APOSJ_08317, APOSJ_08319, APOSJ_08320, APOSJ_08318
OG0001807	YEAST05464	APOSJ_51589, APOSJ_51590, APOSJ_16038, APOSJ_45131, APOSJ_45133, APOSJ_45253, APOSJ_45132, APOSJ_45254, APOSJ_51591, APOSJ_37034, APOSJ_37033, APOSJ_37035
OG0001808	YEAST01298	APOSJ_46750, APOSJ_13821
OG0001818	YEAST05902, YEAST04712	APOSJ_54252, APOSJ_12797, APOSJ_27404, APOSJ_27405, APOSJ_11675
OG0001822	YEAST04378, YEAST01659	APOSJ_50086
OG0001826	YEAST04777, YEAST01697, YEAST05781	APOSJ_11119, APOSJ_24945, APOSJ_24943, APOSJ_24946, APOSJ_24942, APOSJ_11115, APOSJ_11117, APOSJ_11118, APOSJ_11116, APOSJ_24944, APOSJ_43282
OG0001828	YEAST04676	APOSJ_09711, APOSJ_14443, APOSJ_14444, APOSJ_09718, APOSJ_09710, APOSJ_09716, APOSJ_25442, APOSJ_62611, APOSJ_56580, APOSJ_09714, APOSJ_32212, APOSJ_09713, APOSJ_15575, APOSJ_09717, APOSJ_14445, APOSJ_14451, APOSJ_15574, APOSJ_15576, APOSJ_25440, APOSJ_32198, APOSJ_14442, APOSJ_15573, APOSJ_09715, APOSJ_09712
OG0001829	YEAST01613, YEAST00136, YEAST02008	APOSJ_63655, APOSJ_33945, APOSJ_33943, APOSJ_28077, APOSJ_63656, APOSJ_63653, APOSJ_63654, APOSJ_63649, APOSJ_54323, APOSJ_63652, APOSJ_33944, APOSJ_14390
OG0001831	YEAST00024	APOSJ_48064
OG0001832	YEAST05376	APOSJ_50258
OG0001846	YEAST05067	APOSJ_33818, APOSJ_33819
OG0001850	YEAST01913	APOSJ_08488, APOSJ_08490, APOSJ_08491, APOSJ_08489, APOSJ_00473, APOSJ_56920
OG0001852	YEAST03121	APOSJ_34711
OG0001853	YEAST05176	APOSJ_02311, APOSJ_39802, APOSJ_18118, APOSJ_57059
OG0001857	YEAST04741	APOSJ_33845, APOSJ_33840, APOSJ_33842, APOSJ_33841
