Orthogroup	YEAST	CAEEL
OG0001372	YEAST02226	CAEEL01785
OG0001375	YEAST05499, YEAST05567	CAEEL01718
OG0001378	YEAST02300	CAEEL01898
OG0001379	YEAST04155	CAEEL20800, CAEEL08440
OG0001386	YEAST05114	CAEEL05969, CAEEL04816, CAEEL08301
OG0001397	YEAST05731	CAEEL05815, CAEEL05422, CAEEL16780, CAEEL05924, CAEEL19916, CAEEL19290
OG0001409	YEAST00885, YEAST04659	CAEEL02567
OG0001410	YEAST05046	CAEEL16277
OG0001411	YEAST04834	CAEEL07405
OG0001412	YEAST04490	CAEEL09044
OG0001413	YEAST04294	CAEEL08368, CAEEL04716
OG0001414	YEAST06070, YEAST01920	CAEEL15043, CAEEL15044, CAEEL13823
OG0001415	YEAST00964	CAEEL07146
OG0001421	YEAST05252	CAEEL14241
OG0001422	YEAST05588, YEAST01363	CAEEL06778
OG0001424	YEAST01127	CAEEL12121, CAEEL10850
OG0001427	YEAST01885	CAEEL17428, CAEEL17430, CAEEL05861
OG0001428	YEAST04862, YEAST05862, YEAST02749, YEAST03037	CAEEL05279
OG0001430	YEAST01712	CAEEL14236
OG0001434	YEAST03991	CAEEL10087
OG0001437	YEAST01264, YEAST02900	CAEEL01346, CAEEL01345
OG0001445	YEAST01715	CAEEL10043, CAEEL10044
OG0001449	YEAST03188	CAEEL05216
OG0001452	YEAST05900	CAEEL02837
OG0001454	YEAST01495, YEAST00573	CAEEL07513
OG0001456	YEAST00365	CAEEL15148
OG0001459	YEAST03073, YEAST03464	CAEEL20135, CAEEL17975
OG0001461	YEAST05255	CAEEL09368
OG0001468	YEAST03875, YEAST03904	CAEEL01968, CAEEL01966, CAEEL01967
OG0001469	YEAST02070	CAEEL06147
OG0001469	YEAST02765	CAEEL06502
OG0001472	YEAST03031	CAEEL07491, CAEEL02663
OG0001473	YEAST05711	CAEEL15728, CAEEL16017
OG0001474	YEAST01416, YEAST05312	CAEEL07328
OG0001478	YEAST01984, YEAST02078	CAEEL11433
OG0001479	YEAST01132	CAEEL19246, CAEEL09400, CAEEL19245
OG0001503	YEAST03032	CAEEL04111
OG0001503	YEAST02920	CAEEL08520
OG0001504	YEAST05406	CAEEL05392
OG0001505	YEAST03361	CAEEL05185, CAEEL08607
OG0001508	YEAST04143	CAEEL19670
OG0001515	YEAST03569	CAEEL07033
OG0001520	YEAST02474, YEAST02313	CAEEL04885
OG0001524	YEAST03912	CAEEL20737, CAEEL20736, CAEEL18987, CAEEL00715
OG0001525	YEAST00757	CAEEL08599, CAEEL13978, CAEEL13977, CAEEL14698, CAEEL08600
OG0001527	YEAST01395	CAEEL08026, CAEEL02029
OG0001529	YEAST01143	CAEEL01822, CAEEL20748, CAEEL06896
OG0001530	YEAST00643	CAEEL11993
OG0001546	YEAST03111	CAEEL14468
OG0001550	YEAST02405, YEAST05953	CAEEL12391, CAEEL06493
OG0001551	YEAST04817	CAEEL13359
OG0001553	YEAST05147, YEAST01586	CAEEL10745
OG0001557	YEAST04671	CAEEL09005
OG0001557	YEAST04551	CAEEL09508
OG0001558	YEAST04449	CAEEL05103, CAEEL08374
OG0001559	YEAST00445, YEAST02434	CAEEL16062
OG0001561	YEAST06176	CAEEL11007
OG0001570	YEAST04678	CAEEL11034
OG0001578	YEAST01872	CAEEL10814, CAEEL18928
OG0001580	YEAST06270	CAEEL02579
OG0001590	YEAST03476, YEAST00717, YEAST03955	CAEEL15262, CAEEL15263
OG0001594	YEAST03418	CAEEL08545, CAEEL04807, CAEEL04125
OG0001597	YEAST01702	CAEEL10283
OG0001603	YEAST02584	CAEEL02713, CAEEL14729
OG0001604	YEAST01428	CAEEL04879
OG0001605	YEAST04101	CAEEL09382
OG0001609	YEAST02739	CAEEL19774, CAEEL10790
OG0001610	YEAST00596, YEAST02062	CAEEL02035, CAEEL20252
OG0001612	YEAST01109	CAEEL02577
OG0001628	YEAST04790	CAEEL00193
OG0001635	YEAST03523, YEAST05394, YEAST00156, YEAST01988, YEAST02833	CAEEL08024
OG0001653	YEAST01151	CAEEL03026
OG0001655	YEAST03354	CAEEL05314
OG0001657	YEAST00101, YEAST00944	CAEEL08928, CAEEL08927
OG0001663	YEAST05642	CAEEL10899, CAEEL10898
OG0001676	YEAST06155	CAEEL01617
OG0001679	YEAST05302, YEAST02334, YEAST02449, YEAST01523	CAEEL18912
OG0001680	YEAST01119, YEAST04022	CAEEL15664, CAEEL09102
OG0001685	YEAST01147	CAEEL06629, CAEEL19461
OG0001691	YEAST01315	CAEEL09136, CAEEL09137
OG0001706	YEAST03424	CAEEL00824, CAEEL07216
OG0001707	YEAST06049, YEAST00407, YEAST04739	CAEEL18144, CAEEL17802
OG0001709	YEAST04440	CAEEL07646, CAEEL07650
OG0001713	YEAST04039	CAEEL04261, CAEEL02704
OG0001718	YEAST01537	CAEEL12769
OG0001721	YEAST04881, YEAST05253, YEAST00698	CAEEL10104, CAEEL11043
OG0001723	YEAST01435	CAEEL19731
OG0001727	YEAST04543	CAEEL15354
OG0001728	YEAST03347	CAEEL20444
OG0001730	YEAST00177	CAEEL04519
OG0001736	YEAST04588	CAEEL15493
OG0001739	YEAST03760	CAEEL10953
OG0001745	YEAST01431	CAEEL15294
OG0001750	YEAST03628	CAEEL08294
OG0001754	YEAST03682	CAEEL06405
OG0001755	YEAST05131	CAEEL16403
OG0001756	YEAST00620	CAEEL02757
OG0001769	YEAST04726	CAEEL12367
OG0001770	YEAST02590	CAEEL12180
OG0001774	YEAST05166	CAEEL20358, CAEEL07377, CAEEL01266
OG0001775	YEAST05594	CAEEL01757
OG0001780	YEAST03768	CAEEL12979
OG0001781	YEAST01882	CAEEL04378, CAEEL06468
OG0001782	YEAST02421	CAEEL11605
OG0001785	YEAST02713	CAEEL10450, CAEEL07502, CAEEL07424
OG0001787	YEAST03546	CAEEL07669
OG0001792	YEAST04595	CAEEL00159
OG0001793	YEAST02466	CAEEL07806
OG0001805	YEAST05496, YEAST01242	CAEEL10422, CAEEL19401
OG0001807	YEAST05464	CAEEL10807
OG0001808	YEAST01298	CAEEL18904, CAEEL17962
OG0001818	YEAST05902, YEAST04712	CAEEL16460
OG0001822	YEAST04378, YEAST01659	CAEEL14275, CAEEL14276
OG0001826	YEAST04777, YEAST01697, YEAST05781	CAEEL08005, CAEEL18927
OG0001828	YEAST04676	CAEEL02658, CAEEL07411
OG0001831	YEAST00024	CAEEL10161, CAEEL19257
OG0001832	YEAST05376	CAEEL05995
OG0001842	YEAST00524	CAEEL06944
OG0001846	YEAST05067	CAEEL02581, CAEEL02580
OG0001850	YEAST01913	CAEEL04901
OG0001852	YEAST03121	CAEEL10571
OG0001853	YEAST05176	CAEEL00334, CAEEL01622
OG0001857	YEAST04741	CAEEL04635
OG0001860	YEAST00188	CAEEL19534
OG0001861	YEAST05779, YEAST04773	CAEEL19043
OG0001863	YEAST03017	CAEEL11286
OG0001865	YEAST06037, YEAST00399	CAEEL08319
OG0001866	YEAST05095, YEAST05570	CAEEL12131
OG0001867	YEAST01669	CAEEL18932
OG0001873	YEAST00981, YEAST00267	CAEEL14280, CAEEL14281, CAEEL15718
OG0001875	YEAST04137	CAEEL09917
OG0001886	YEAST03260	CAEEL20566, CAEEL20351
OG0001888	YEAST05749, YEAST01573	CAEEL18672, CAEEL11639
OG0001899	YEAST01210, YEAST04466	CAEEL14131
OG0001900	YEAST05969, YEAST05053, YEAST00581	CAEEL16160
OG0001903	YEAST06020	CAEEL12995
OG0001913	YEAST05520	CAEEL00139
OG0001915	YEAST04791	CAEEL10189
OG0001917	YEAST01859	CAEEL05323, CAEEL05320, CAEEL05322, CAEEL05321
OG0001923	YEAST05881	CAEEL00866, CAEEL02499
OG0001926	YEAST02948	CAEEL05295
OG0001932	YEAST03770, YEAST03179	CAEEL18548, CAEEL17132, CAEEL20531
OG0001934	YEAST00877	CAEEL04980, CAEEL04981
OG0001935	YEAST00431	CAEEL01455
OG0001938	YEAST03931	CAEEL05158
OG0001940	YEAST04188, YEAST05646	CAEEL08846
OG0001945	YEAST01671	CAEEL05071, CAEEL04263, CAEEL04243
OG0001947	YEAST02570	CAEEL20697
OG0001951	YEAST00941, YEAST05396	CAEEL08644, CAEEL02798
OG0001952	YEAST04673, YEAST01990, YEAST00155	CAEEL00959
OG0001965	YEAST04582	CAEEL15340
OG0001968	YEAST04910	CAEEL10639
OG0001969	YEAST06173	CAEEL09244, CAEEL09472, CAEEL00361
OG0001985	YEAST04959	CAEEL08373, CAEEL02584, CAEEL02585
OG0001992	YEAST02679	CAEEL00543
OG0001998	YEAST00890	CAEEL08296
OG0002001	YEAST00502, YEAST03944	CAEEL07856
OG0002003	YEAST02826, YEAST03671	CAEEL18663
OG0002008	YEAST00768	CAEEL11706
OG0002013	YEAST03040	CAEEL00803, CAEEL01317
OG0002015	YEAST05525	CAEEL07232
OG0002025	YEAST03650	CAEEL01720
OG0002026	YEAST01247	CAEEL09267
OG0002029	YEAST02646	CAEEL13677, CAEEL13172, CAEEL13173, CAEEL06446, CAEEL19628, CAEEL03538, CAEEL19642
OG0002031	YEAST02752	CAEEL07288
OG0002032	YEAST01221	CAEEL15092
OG0002042	YEAST02880	CAEEL11958, CAEEL11961, CAEEL11957, CAEEL11960, CAEEL13817
OG0002043	YEAST04003	CAEEL01497
OG0002059	YEAST05893, YEAST04718	CAEEL20695
OG0002062	YEAST05454	CAEEL01567
OG0002063	YEAST00838	CAEEL01336
OG0002067	YEAST03444	CAEEL08430
OG0002073	YEAST04552	CAEEL08416, CAEEL13072, CAEEL01141, CAEEL05593
OG0002076	YEAST02206	CAEEL17850
OG0002078	YEAST06232	CAEEL04535
OG0002079	YEAST05765, YEAST00483	CAEEL07901
OG0002080	YEAST05220, YEAST04736	CAEEL03246, CAEEL12691
OG0002087	YEAST05702	CAEEL07742
OG0002090	YEAST02246	CAEEL00790
OG0002093	YEAST02255	CAEEL02211, CAEEL19978
OG0002097	YEAST02697	CAEEL03161, CAEEL00098, CAEEL19231
OG0002101	YEAST03902	CAEEL04990
OG0002103	YEAST05974	CAEEL16392, CAEEL16394
OG0002106	YEAST03654	CAEEL18235, CAEEL08825
OG0002107	YEAST05313, YEAST04340	CAEEL07845
OG0002108	YEAST03715	CAEEL05450, CAEEL05957, CAEEL15378
OG0002123	YEAST02444	CAEEL05315
OG0002125	YEAST05183	CAEEL10327, CAEEL06344
OG0002131	YEAST04275	CAEEL00336
OG0002138	YEAST02406	CAEEL01194
OG0002144	YEAST02673	CAEEL08787
OG0002146	YEAST04333, YEAST00109, YEAST03088, YEAST04454	CAEEL10604
OG0002147	YEAST04532, YEAST01219	CAEEL05229
OG0002148	YEAST02060	CAEEL13205
OG0002152	YEAST05624	CAEEL00179
OG0002156	YEAST03007	CAEEL08424
OG0002160	YEAST03960	CAEEL05075
OG0002165	YEAST04504	CAEEL07004, CAEEL04348, CAEEL13880
OG0002168	YEAST00516	CAEEL06529
OG0002169	YEAST02258	CAEEL19452
OG0002175	YEAST04956	CAEEL11081
OG0002184	YEAST00242	CAEEL06428
OG0002185	YEAST05212	CAEEL01312
OG0002188	YEAST04638, YEAST03913	CAEEL10832
OG0002189	YEAST02882, YEAST04447	CAEEL00105, CAEEL17261, CAEEL17762, CAEEL20687
OG0002213	YEAST01241, YEAST05495	CAEEL09259
OG0002216	YEAST06040	CAEEL09929, CAEEL09930
OG0002217	YEAST06033	CAEEL18475, CAEEL05058
OG0002222	YEAST03240	CAEEL05529
OG0002224	YEAST01574	CAEEL10158
OG0002225	YEAST04939	CAEEL15252
OG0002226	YEAST00948	CAEEL04806
OG0002228	YEAST04154, YEAST05632	CAEEL05227
OG0002239	YEAST01621	CAEEL05928
OG0002241	YEAST02005	CAEEL07281
OG0002243	YEAST04599, YEAST03601, YEAST04600	CAEEL05910, CAEEL11717
OG0002244	YEAST02768	CAEEL02764
OG0002252	YEAST00826	CAEEL18710
OG0002261	YEAST00472	CAEEL09054
OG0002264	YEAST01705	CAEEL01891
OG0002279	YEAST05800	CAEEL01783, CAEEL19214
OG0002282	YEAST00881	CAEEL05125, CAEEL05126
OG0002288	YEAST01591, YEAST05154	CAEEL11923
OG0002292	YEAST00152	CAEEL11264
OG0002297	YEAST01217	CAEEL10891, CAEEL10889, CAEEL09503, CAEEL09027, CAEEL09029, CAEEL08986
OG0002312	YEAST06295	CAEEL04818, CAEEL04817
OG0002316	YEAST01805	CAEEL01858, CAEEL01859
OG0002318	YEAST02923	CAEEL05991
OG0002321	YEAST02461	CAEEL11607
OG0002324	YEAST02615, YEAST06287	CAEEL19437, CAEEL14861
OG0002326	YEAST00310, YEAST02699	CAEEL19309, CAEEL19310
OG0002327	YEAST00346, YEAST06217	CAEEL11423
OG0002331	YEAST01653	CAEEL13492, CAEEL01768
OG0002332	YEAST01606, YEAST05184, YEAST00285	CAEEL07378
OG0002341	YEAST03640, YEAST04562	CAEEL07757
OG0002344	YEAST02312, YEAST02019	CAEEL07661
OG0002346	YEAST02012	CAEEL04391
OG0002348	YEAST01845	CAEEL10632, CAEEL12095
OG0002355	YEAST00016	CAEEL08630
OG0002356	YEAST00259	CAEEL17852
OG0002361	YEAST01027	CAEEL16240, CAEEL14724
OG0002367	YEAST01179	CAEEL02851
OG0002369	YEAST03766	CAEEL00665
OG0002374	YEAST02010, YEAST00133	CAEEL14910, CAEEL00989, CAEEL03595
OG0002377	YEAST05000	CAEEL14877
OG0002406	YEAST05509	CAEEL05272
OG0002407	YEAST00012	CAEEL11836
OG0002409	YEAST02027	CAEEL12380
OG0002411	YEAST05950, YEAST02407	CAEEL09509
OG0002413	YEAST01196	CAEEL05456
OG0002415	YEAST01271	CAEEL09540, CAEEL09394, CAEEL15033
OG0002421	YEAST02982	CAEEL09266
OG0002422	YEAST05026	CAEEL02358, CAEEL02352, CAEEL02351, CAEEL09220
OG0002426	YEAST00184	CAEEL07732, CAEEL19661
OG0002441	YEAST00068, YEAST02278, YEAST05821	CAEEL01735
OG0002442	YEAST05932	CAEEL00999, CAEEL14782
OG0002443	YEAST04906	CAEEL11867
OG0002446	YEAST04254	CAEEL01328
OG0002448	YEAST00626, YEAST03419	CAEEL11664
OG0002450	YEAST04575	CAEEL02915
OG0002453	YEAST00512	CAEEL12607, CAEEL12794, CAEEL12792, CAEEL12793, CAEEL12796, CAEEL13671
OG0002476	YEAST05799	CAEEL05868, CAEEL00590
OG0002486	YEAST01433	CAEEL00554
OG0002492	YEAST01624	CAEEL07791
OG0002494	YEAST02402	CAEEL02924
OG0002495	YEAST02772	CAEEL05776
OG0002497	YEAST02747	CAEEL00487
OG0002500	YEAST05648	CAEEL00642, CAEEL07067
OG0002505	YEAST02959	CAEEL05922
OG0002510	YEAST04753	CAEEL15444
OG0002516	YEAST00066	CAEEL07616
OG0002518	YEAST02890	CAEEL03272
OG0002520	YEAST05256	CAEEL11387
OG0002523	YEAST06234	CAEEL09506
OG0002527	YEAST01639	CAEEL00425, CAEEL00799
OG0002528	YEAST00372	CAEEL14274
OG0002530	YEAST05530, YEAST03790	CAEEL18169
OG0002532	YEAST03235	CAEEL00641
OG0002533	YEAST04525	CAEEL08550
OG0002543	YEAST00527	CAEEL07344
OG0002557	YEAST06243	CAEEL02904
OG0002561	YEAST04438, YEAST02106	CAEEL13357
OG0002562	YEAST03992	CAEEL00489, CAEEL07592, CAEEL07591, CAEEL09048
OG0002564	YEAST02186	CAEEL14884
OG0002565	YEAST04224, YEAST02499	CAEEL01779, CAEEL19992
OG0002570	YEAST00592	CAEEL02126
OG0002574	YEAST05657	CAEEL13992
OG0002594	YEAST06174	CAEEL02859
OG0002598	YEAST04621, YEAST03577	CAEEL04239
OG0002605	YEAST06332	CAEEL06425
OG0002608	YEAST03716, YEAST02846	CAEEL20298
OG0002609	YEAST01355	CAEEL00486
OG0002610	YEAST01078, YEAST03973	CAEEL00976
OG0002612	YEAST03508	CAEEL10342, CAEEL10341, CAEEL08326, CAEEL20150
OG0002617	YEAST00866	CAEEL08131
OG0002618	YEAST06247	CAEEL11865
OG0002630	YEAST05202, YEAST05943, YEAST02413	CAEEL00017
OG0002632	YEAST02755	CAEEL01456
OG0002633	YEAST04206	CAEEL13867
OG0002636	YEAST01664, YEAST06215	CAEEL09021
OG0002638	YEAST00919	CAEEL05543
OG0002643	YEAST01938	CAEEL01960
OG0002644	YEAST00724	CAEEL00760
OG0002645	YEAST01436	CAEEL09814
OG0002646	YEAST01946	CAEEL10837
OG0002651	YEAST02247	CAEEL02017
OG0002651	YEAST02868	CAEEL08032
OG0002652	YEAST04937	CAEEL15940, CAEEL15941
OG0002656	YEAST05701	CAEEL06531
OG0002659	YEAST06290	CAEEL20145, CAEEL20147, CAEEL01412
OG0002666	YEAST02507	CAEEL11407
OG0002668	YEAST02324	CAEEL02604
OG0002677	YEAST05210	CAEEL10901
OG0002681	YEAST02557	CAEEL13993
OG0002683	YEAST03676	CAEEL05356
OG0002715	YEAST01174, YEAST04131	CAEEL09830
OG0002717	YEAST02430	CAEEL10017
OG0002718	YEAST03380, YEAST03502	CAEEL00842
OG0002720	YEAST01914	CAEEL01232
OG0002722	YEAST04059	CAEEL10808
OG0002726	YEAST02958	CAEEL11743
OG0002729	YEAST01155	CAEEL07853
OG0002739	YEAST01877	CAEEL18472
OG0002740	YEAST01658	CAEEL08842
OG0002742	YEAST03713	CAEEL11403
OG0002743	YEAST01824, YEAST03362	CAEEL15922, CAEEL10167
OG0002745	YEAST04244	CAEEL19081
OG0002746	YEAST04902, YEAST05332	CAEEL01862
OG0002747	YEAST05617	CAEEL02596
OG0002749	YEAST02810	CAEEL04068
OG0002750	YEAST04952	CAEEL15826
OG0002752	YEAST03686	CAEEL08631
OG0002754	YEAST03620	CAEEL05821
OG0002756	YEAST04058	CAEEL15160
OG0002758	YEAST04409	CAEEL08816
OG0002760	YEAST01927	CAEEL01867, CAEEL04221, CAEEL15912, CAEEL11644
OG0002761	YEAST03261	CAEEL15590, CAEEL14895, CAEEL00850
OG0002763	YEAST00260	CAEEL07952
OG0002764	YEAST00423	CAEEL05636
OG0002765	YEAST01667, YEAST05523	CAEEL02125
OG0002766	YEAST05357	CAEEL17597
OG0002767	YEAST04591	CAEEL07319
OG0002771	YEAST02043	CAEEL08070
OG0002772	YEAST03384	CAEEL05686
OG0002773	YEAST03677	CAEEL08029
OG0002774	YEAST03575	CAEEL01682
OG0002781	YEAST05450	CAEEL07517
OG0002782	YEAST02121	CAEEL13024
OG0002785	YEAST06106, YEAST01228	CAEEL04710
OG0002788	YEAST02578, YEAST01232	CAEEL06416, CAEEL06417, CAEEL06418
OG0002793	YEAST01371	CAEEL00646
OG0002799	YEAST01461	CAEEL06026
OG0002817	YEAST01189, YEAST04922	CAEEL16563
OG0002824	YEAST02137	CAEEL09125
OG0002826	YEAST00174	CAEEL14759
OG0002827	YEAST05976	CAEEL07697
OG0002828	YEAST00227, YEAST00963	CAEEL01168, CAEEL15704, CAEEL02989, CAEEL10595, CAEEL20242
OG0002831	YEAST03282	CAEEL05967
OG0002833	YEAST01446, YEAST05354, YEAST01469	CAEEL07006
OG0002835	YEAST02656	CAEEL11751
OG0002837	YEAST01987, YEAST00157	CAEEL08616
OG0002839	YEAST03148	CAEEL19253, CAEEL00645
OG0002843	YEAST04737	CAEEL07774, CAEEL07773
OG0002844	YEAST05563	CAEEL10756
OG0002847	YEAST02294	CAEEL06961
OG0002851	YEAST04951	CAEEL00708
OG0002855	YEAST00137	CAEEL00030
OG0002860	YEAST02712	CAEEL11643
OG0002866	YEAST01136	CAEEL03115, CAEEL03096
OG0002876	YEAST02348	CAEEL10277
OG0002877	YEAST04537	CAEEL02920
OG0002883	YEAST03027	CAEEL05948
OG0002891	YEAST03205	CAEEL04184, CAEEL01874
OG0002893	YEAST03653	CAEEL02075
OG0002894	YEAST00906	CAEEL14713
OG0002895	YEAST01471, YEAST05353, YEAST05456	CAEEL07602, CAEEL10533
OG0002899	YEAST00283	CAEEL01046
OG0002907	YEAST02061	CAEEL01271
OG0002910	YEAST00223	CAEEL04695, CAEEL04697
OG0002915	YEAST02264	CAEEL02902
OG0002921	YEAST06254	CAEEL06148
OG0002947	YEAST00232	CAEEL06268
OG0002949	YEAST00419, YEAST06063	CAEEL05799
OG0002952	YEAST05257	CAEEL09036
OG0002953	YEAST03034	CAEEL11622
OG0002957	YEAST03253	CAEEL02702
OG0002960	YEAST05502	CAEEL01541
OG0002965	YEAST03804	CAEEL01992
OG0002966	YEAST06059	CAEEL08468, CAEEL19347
OG0002968	YEAST00199	CAEEL16136, CAEEL01853
OG0002969	YEAST00655	CAEEL14216
OG0002982	YEAST02471	CAEEL01855, CAEEL01856
OG0002985	YEAST02147	CAEEL08353
OG0002987	YEAST02970, YEAST00081, YEAST02488	CAEEL17800, CAEEL18018
OG0002991	YEAST03345, YEAST01842	CAEEL09004
OG0003001	YEAST01497	CAEEL10876
OG0003004	YEAST02183	CAEEL15423
OG0003006	YEAST00899	CAEEL10145
OG0003012	YEAST04512	CAEEL05983
OG0003016	YEAST04810	CAEEL09225
OG0003017	YEAST02213	CAEEL07049, CAEEL16441
OG0003018	YEAST01635, YEAST01949	CAEEL08487
OG0003027	YEAST05498	CAEEL06663
OG0003028	YEAST05822	CAEEL02985
OG0003029	YEAST04523	CAEEL01558
OG0003033	YEAST02457, YEAST02640	CAEEL00703
OG0003043	YEAST02551	CAEEL07390
OG0003046	YEAST01632	CAEEL04364
OG0003054	YEAST04909, YEAST05341	CAEEL04777
OG0003056	YEAST02257	CAEEL19070
OG0003059	YEAST02832, YEAST03675	CAEEL09323
OG0003063	YEAST00204	CAEEL03076
OG0003066	YEAST00969	CAEEL05161
OG0003072	YEAST05076	CAEEL04836
OG0003073	YEAST00167	CAEEL14099
OG0003079	YEAST01019	CAEEL00217
OG0003104	YEAST00861	CAEEL07227
OG0003105	YEAST04282	CAEEL00818
OG0003106	YEAST03619	CAEEL16128
OG0003107	YEAST00029	CAEEL20421, CAEEL01359
OG0003108	YEAST00796	CAEEL04120
OG0003110	YEAST02197	CAEEL17888
OG0003114	YEAST00453, YEAST02426	CAEEL15726
OG0003119	YEAST00778	CAEEL16382
OG0003121	YEAST03190	CAEEL00414
OG0003126	YEAST00300	CAEEL04789, CAEEL04979
OG0003131	YEAST04435, YEAST04350	CAEEL08023
OG0003135	YEAST02069	CAEEL06639, CAEEL06638
OG0003138	YEAST01790, YEAST00784	CAEEL05894
OG0003145	YEAST06012	CAEEL05190
OG0003147	YEAST03729	CAEEL17136, CAEEL18421, CAEEL15097
OG0003151	YEAST03910	CAEEL04570, CAEEL14681, CAEEL04711
OG0003153	YEAST05438	CAEEL07561
OG0003154	YEAST00694	CAEEL15184
OG0003157	YEAST01203	CAEEL07518, CAEEL07519
OG0003164	YEAST05549, YEAST04492	CAEEL08130
OG0003169	YEAST04410	CAEEL11868
OG0003172	YEAST06030	CAEEL06299
OG0003174	YEAST06178	CAEEL11561
OG0003178	YEAST05823	CAEEL14891
OG0003179	YEAST00905	CAEEL12173
OG0003182	YEAST05565	CAEEL01167
OG0003189	YEAST00820	CAEEL04624
OG0003191	YEAST01068	CAEEL09839
OG0003193	YEAST02494	CAEEL17615
OG0003197	YEAST06274	CAEEL11467
OG0003199	YEAST04961	CAEEL11688
OG0003207	YEAST04056	CAEEL11116
OG0003212	YEAST05531	CAEEL11323
OG0003214	YEAST03701	CAEEL08551
OG0003215	YEAST04373	CAEEL02895
OG0003218	YEAST04068	CAEEL08847
OG0003219	YEAST01656	CAEEL16215
OG0003220	YEAST03417, YEAST00186	CAEEL17138
OG0003221	YEAST05064	CAEEL20740, CAEEL00629, CAEEL00088
OG0003223	YEAST04472	CAEEL00485
OG0003228	YEAST06187	CAEEL14683
OG0003230	YEAST05487	CAEEL06311
OG0003235	YEAST06282	CAEEL11765
OG0003251	YEAST05338, YEAST04904	CAEEL01743
OG0003254	YEAST03911	CAEEL15715
OG0003257	YEAST02741	CAEEL04888
OG0003263	YEAST05333	CAEEL12235
OG0003266	YEAST05585	CAEEL05061
OG0003267	YEAST02516	CAEEL11406
OG0003270	YEAST01372, YEAST05351, YEAST01476	CAEEL17531, CAEEL17532, CAEEL07171
OG0003277	YEAST03706	CAEEL10684
OG0003283	YEAST02779	CAEEL10540
OG0003284	YEAST02184	CAEEL20144
OG0003287	YEAST00166	CAEEL09759
OG0003288	YEAST05062	CAEEL07836
OG0003290	YEAST06325	CAEEL07995, CAEEL07996
OG0003293	YEAST04930	CAEEL09078
OG0003300	YEAST03316	CAEEL15375, CAEEL10323, CAEEL04894, CAEEL10997, CAEEL02576, CAEEL07626
OG0003301	YEAST03267	CAEEL11183
OG0003302	YEAST04633	CAEEL11405
OG0003303	YEAST05878	CAEEL08080
OG0003316	YEAST04887	CAEEL06426
OG0003317	YEAST03051	CAEEL11191
OG0003318	YEAST02158	CAEEL00777
OG0003332	YEAST02945, YEAST00447	CAEEL15994, CAEEL15100
OG0003335	YEAST01260	CAEEL06219
OG0003340	YEAST04972	CAEEL19254, CAEEL05767
OG0003341	YEAST00990	CAEEL15411
OG0003343	YEAST04356, YEAST06258	CAEEL02966
OG0003344	YEAST04764	CAEEL01888, CAEEL04271, CAEEL04270
OG0003348	YEAST02844	CAEEL00995
OG0003349	YEAST00235, YEAST04798	CAEEL11343
OG0003356	YEAST02937	CAEEL05068
OG0003357	YEAST04240, YEAST02522	CAEEL05202
OG0003364	YEAST00730	CAEEL06262, CAEEL06263
OG0003366	YEAST05276, YEAST03075	CAEEL13316, CAEEL13290
OG0003374	YEAST03627	CAEEL09698
OG0003375	YEAST03722	CAEEL19093, CAEEL04860
OG0003377	YEAST03340	CAEEL19646
OG0003380	YEAST00529	CAEEL07698, CAEEL08643
OG0003386	YEAST02725	CAEEL04616
OG0003425	YEAST05084	CAEEL12188
OG0003426	YEAST05251	CAEEL06462
OG0003429	YEAST05921	CAEEL00390
OG0003430	YEAST04732	CAEEL05290
OG0003434	YEAST02689	CAEEL08434
OG0003435	YEAST05483	CAEEL04157
OG0003443	YEAST06032	CAEEL18884
OG0003454	YEAST04088	CAEEL07771
OG0003458	YEAST00169	CAEEL14113
OG0003461	YEAST05752, YEAST04759	CAEEL00702
OG0003463	YEAST02371	CAEEL07464
OG0003464	YEAST05120	CAEEL15673
OG0003465	YEAST02874	CAEEL00222
OG0003467	YEAST01278	CAEEL09664
OG0003476	YEAST02726	CAEEL11774
OG0003477	YEAST03665	CAEEL02502
OG0003487	YEAST03066	CAEEL02123
OG0003491	YEAST03514	CAEEL18627, CAEEL05479
OG0003498	YEAST05680	CAEEL16452
OG0003500	YEAST03303, YEAST02683	CAEEL01330, CAEEL01125
OG0003501	YEAST01421	CAEEL00307, CAEEL19975, CAEEL19935, CAEEL19957, CAEEL20040, CAEEL18302
OG0003502	YEAST02519	CAEEL02400, CAEEL02281
OG0003503	YEAST00400	CAEEL04457, CAEEL04454
OG0003505	YEAST00697	CAEEL07950
OG0003509	YEAST02850	CAEEL04891
OG0003515	YEAST00923	CAEEL06636
OG0003518	YEAST04809	CAEEL01719
OG0003523	YEAST05393	CAEEL18694
OG0003531	YEAST00465	CAEEL15168, CAEEL18062
OG0003532	YEAST05810	CAEEL05027
OG0003539	YEAST03774	CAEEL05895
OG0003541	YEAST01314	CAEEL01632
OG0003543	YEAST01290	CAEEL08637
OG0003544	YEAST00251	CAEEL06236, CAEEL08896
OG0003550	YEAST06166	CAEEL06728
OG0003551	YEAST01826	CAEEL05919
OG0003552	YEAST04163	CAEEL18151
OG0003556	YEAST05216	CAEEL11919
OG0003560	YEAST02357, YEAST05925	CAEEL04113
OG0003561	YEAST06100	CAEEL01643
OG0003562	YEAST00960	CAEEL19208, CAEEL04183
OG0003567	YEAST04838	CAEEL15549
OG0003570	YEAST03562, YEAST04635	CAEEL08761
