Orthogroup	YEAST	SACKO_ok
OG0000982	YEAST01182	SACKO_10519
OG0000984	YEAST01493, YEAST00575	SACKO_22470, SACKO_22468, SACKO_28472
OG0000986	YEAST01481, YEAST04073	SACKO_22424, SACKO_18517
OG0000987	YEAST04734, YEAST02734	SACKO_11731
OG0000994	YEAST02360	SACKO_04389, SACKO_17316, SACKO_07113, SACKO_15046
OG0000996	YEAST00033	SACKO_00027
OG0001001	YEAST00341	SACKO_32000
OG0001003	YEAST00644	SACKO_29333
OG0001006	YEAST04513	SACKO_28465, SACKO_25694
OG0001016	YEAST00830	SACKO_04981, SACKO_21664, SACKO_15992
OG0001018	YEAST01172	SACKO_04566, SACKO_31412
OG0001024	YEAST01024, YEAST00308	SACKO_33645, SACKO_33650
OG0001064	YEAST00458	SACKO_15500, SACKO_34089, SACKO_31670, SACKO_03351, SACKO_16766, SACKO_31676, SACKO_12962, SACKO_12955, SACKO_12937, SACKO_30160
OG0001066	YEAST06311	SACKO_07584
OG0001075	YEAST05636	SACKO_11315, SACKO_14262
OG0001076	YEAST01570	SACKO_06837
OG0001081	YEAST04460	SACKO_04540, SACKO_24447, SACKO_17592, SACKO_17551, SACKO_20233, SACKO_20239
OG0001082	YEAST03919, YEAST02905, YEAST05331	SACKO_05811, SACKO_32916, SACKO_08099
OG0001094	YEAST03837	SACKO_19741, SACKO_11943
OG0001095	YEAST00773	SACKO_26687
OG0001096	YEAST01384	SACKO_17666, SACKO_27109, SACKO_27146, SACKO_23783, SACKO_32878, SACKO_26925, SACKO_33433
OG0001101	YEAST03434	SACKO_12678
OG0001108	YEAST06309	SACKO_04290, SACKO_04715, SACKO_31250
OG0001111	YEAST06003	SACKO_20490, SACKO_03527, SACKO_03526, SACKO_25377
OG0001113	YEAST05320	SACKO_21432
OG0001113	YEAST00954	SACKO_05156
OG0001114	YEAST00036, YEAST05811	SACKO_08523, SACKO_08520
OG0001124	YEAST02719	SACKO_10008, SACKO_04873
OG0001132	YEAST05421	SACKO_22464
OG0001133	YEAST04296	SACKO_03939
OG0001133	YEAST03271	SACKO_03870
OG0001134	YEAST05015	SACKO_00371
OG0001135	YEAST03641	SACKO_12991
OG0001136	YEAST05047, YEAST02997	SACKO_08700, SACKO_08683
OG0001140	YEAST03519	SACKO_04124, SACKO_23104, SACKO_04138, SACKO_23108, SACKO_04131, SACKO_04133, SACKO_23103, SACKO_04130, SACKO_15430, SACKO_21499
OG0001142	YEAST04001	SACKO_08495
OG0001163	YEAST02433	SACKO_31507
OG0001164	YEAST03454	SACKO_00737, SACKO_00736
OG0001171	YEAST04620, YEAST03578	SACKO_20825
OG0001175	YEAST00534	SACKO_00167
OG0001177	YEAST06137	SACKO_26073, SACKO_10730, SACKO_26943
OG0001179	YEAST00368, YEAST04831, YEAST02287	SACKO_26771, SACKO_32134
OG0001181	YEAST02051	SACKO_08231, SACKO_27253, SACKO_08232
OG0001184	YEAST01681	SACKO_04686, SACKO_02591, SACKO_02594
OG0001185	YEAST04969	SACKO_25271
OG0001186	YEAST04605, YEAST01886	SACKO_04961, SACKO_32087
OG0001191	YEAST04707	SACKO_17114, SACKO_28961
OG0001192	YEAST01898	SACKO_04055, SACKO_12212, SACKO_07407, SACKO_01863, SACKO_01842
OG0001197	YEAST01499	SACKO_29198, SACKO_32347, SACKO_31735
OG0001201	YEAST05452	SACKO_15686
OG0001204	YEAST05200	SACKO_05436
OG0001207	YEAST04258	SACKO_03977, SACKO_25128
OG0001210	YEAST05511	SACKO_12027
OG0001210	YEAST02318	SACKO_22645
OG0001212	YEAST03971	SACKO_14563
OG0001214	YEAST00577	SACKO_17861, SACKO_33724
OG0001216	YEAST00145	SACKO_20921, SACKO_23314
OG0001219	YEAST03867	SACKO_31732
OG0001236	YEAST03325, YEAST02687, YEAST03269	SACKO_22328
OG0001237	YEAST04380	SACKO_16321, SACKO_16315, SACKO_30993, SACKO_12973, SACKO_17092
OG0001238	YEAST04481	SACKO_10255, SACKO_15368, SACKO_15935
OG0001241	YEAST02002	SACKO_21518
OG0001241	YEAST03967, YEAST01074	SACKO_25804
OG0001243	YEAST00739, YEAST05004	SACKO_00190
OG0001249	YEAST01062, YEAST02067	SACKO_07046, SACKO_07044
OG0001250	YEAST02968, YEAST01339	SACKO_22060
OG0001251	YEAST01707	SACKO_21043
OG0001253	YEAST03998	SACKO_07955
OG0001254	YEAST04309	SACKO_17099, SACKO_17085, SACKO_17104
OG0001262	YEAST00911	SACKO_14536, SACKO_14562, SACKO_14419, SACKO_00970, SACKO_00906, SACKO_33160
OG0001263	YEAST00172	SACKO_18553, SACKO_10674
OG0001268	YEAST03495	SACKO_11197, SACKO_06254, SACKO_30805
OG0001270	YEAST01703	SACKO_24994
OG0001270	YEAST02398	SACKO_01019
OG0001271	YEAST05227, YEAST00662	SACKO_30312
OG0001278	YEAST01893	SACKO_28908, SACKO_12827, SACKO_12823
OG0001279	YEAST03070	SACKO_20454
OG0001280	YEAST00846	SACKO_17298
OG0001282	YEAST03744	SACKO_11635
OG0001284	YEAST00567, YEAST01498	SACKO_27293, SACKO_16492
OG0001286	YEAST00588, YEAST01486, YEAST03604	SACKO_00888, SACKO_00969
OG0001291	YEAST04453, YEAST04334	SACKO_21943
OG0001300	YEAST01098	SACKO_02042
OG0001302	YEAST02328	SACKO_07352
OG0001302	YEAST00299	SACKO_13308
OG0001310	YEAST00887	SACKO_11650, SACKO_12687
OG0001318	YEAST03712	SACKO_20260, SACKO_33046
OG0001319	YEAST01678	SACKO_33893, SACKO_17261
OG0001321	YEAST02280, YEAST01901	SACKO_00755
OG0001322	YEAST06128	SACKO_08315, SACKO_00634, SACKO_05223
OG0001324	YEAST00078	SACKO_04655, SACKO_04648, SACKO_04650
OG0001325	YEAST00793	SACKO_27663
OG0001326	YEAST05395	SACKO_30260
OG0001327	YEAST03176	SACKO_11723, SACKO_26434
OG0001332	YEAST03929, YEAST02705, YEAST00687	SACKO_15759, SACKO_15750, SACKO_15764, SACKO_15770
OG0001333	YEAST00728	SACKO_02537, SACKO_31933, SACKO_31954
OG0001341	YEAST06006	SACKO_06241
OG0001345	YEAST03613	SACKO_23714, SACKO_23639, SACKO_23595, SACKO_23715
OG0001353	YEAST00020, YEAST04041	SACKO_22195, SACKO_05612
OG0001363	YEAST06180	SACKO_07065, SACKO_07071, SACKO_02886
OG0001364	YEAST06038, YEAST00402	SACKO_22285
OG0001367	YEAST04688	SACKO_11804
OG0001368	YEAST01821	SACKO_12370
OG0001370	YEAST04067, YEAST05195, YEAST00897	SACKO_10513, SACKO_00812
OG0001371	YEAST00532, YEAST03976	SACKO_17304, SACKO_17312, SACKO_19756
OG0001372	YEAST00070	SACKO_27561, SACKO_16399, SACKO_27587
OG0001372	YEAST02226	SACKO_23028
OG0001375	YEAST05499, YEAST05567	SACKO_12584, SACKO_12521, SACKO_21495
OG0001378	YEAST02300	SACKO_24430, SACKO_21687
OG0001386	YEAST05114	SACKO_02115
OG0001397	YEAST05731	SACKO_20543, SACKO_02267
OG0001400	YEAST02931	SACKO_05641
OG0001409	YEAST00885, YEAST04659	SACKO_32640
OG0001410	YEAST05046	SACKO_14471, SACKO_00287
OG0001411	YEAST04834	SACKO_04096
OG0001412	YEAST04490	SACKO_09199, SACKO_13714, SACKO_01410
OG0001413	YEAST04294	SACKO_13707, SACKO_08606
OG0001414	YEAST06070, YEAST01920	SACKO_04758, SACKO_30191
OG0001415	YEAST04230	SACKO_02741
OG0001421	YEAST05252	SACKO_11974
OG0001422	YEAST05588, YEAST01363	SACKO_08100
OG0001424	YEAST01127	SACKO_10409, SACKO_16678, SACKO_16677
OG0001427	YEAST01885	SACKO_25289
OG0001428	YEAST04862, YEAST05862, YEAST02749, YEAST03037	SACKO_29404
OG0001430	YEAST01712	SACKO_12563, SACKO_23248
OG0001434	YEAST03991	SACKO_08035, SACKO_22760, SACKO_17220
OG0001437	YEAST01264, YEAST02900	SACKO_23971, SACKO_01223, SACKO_25064
OG0001445	YEAST01715	SACKO_32917
OG0001449	YEAST03188	SACKO_30150
OG0001452	YEAST05900	SACKO_08603
OG0001454	YEAST01495, YEAST00573	SACKO_25073
OG0001456	YEAST00365	SACKO_21919, SACKO_00295
OG0001459	YEAST03073, YEAST03464	SACKO_12626
OG0001461	YEAST05255	SACKO_33755, SACKO_32797
OG0001468	YEAST03875, YEAST03904	SACKO_04663
OG0001469	YEAST02070	SACKO_18991, SACKO_06864
OG0001469	YEAST02765	SACKO_14829
OG0001470	YEAST00369, YEAST05375	SACKO_29094, SACKO_26935
OG0001472	YEAST03031	SACKO_32963, SACKO_05324
OG0001473	YEAST05711	SACKO_19103, SACKO_16082, SACKO_16044, SACKO_16047
OG0001474	YEAST01416, YEAST05312	SACKO_17239, SACKO_22047
OG0001478	YEAST01984	SACKO_22168
OG0001478	YEAST02078	SACKO_22673
OG0001479	YEAST01132	SACKO_02888
OG0001503	YEAST03032	SACKO_02436
OG0001503	YEAST02920	SACKO_18105
OG0001504	YEAST05406	SACKO_29597, SACKO_07151, SACKO_19671, SACKO_29627, SACKO_29647
OG0001505	YEAST03361	SACKO_14128, SACKO_28620
OG0001508	YEAST04143	SACKO_27803, SACKO_27807
OG0001515	YEAST03320, YEAST03569	SACKO_03778
OG0001520	YEAST03872	SACKO_20861, SACKO_19292
OG0001524	YEAST03912	SACKO_26996, SACKO_12588, SACKO_34156, SACKO_29641
OG0001525	YEAST03420	SACKO_31466
OG0001525	YEAST00757	SACKO_22296
OG0001527	YEAST01395	SACKO_08580, SACKO_08171
OG0001529	YEAST01143	SACKO_06915
OG0001530	YEAST00643	SACKO_32722
OG0001546	YEAST03111	SACKO_07294
OG0001550	YEAST02405, YEAST05953	SACKO_11380
OG0001551	YEAST04817	SACKO_14902
OG0001553	YEAST05147, YEAST01586	SACKO_14766
OG0001557	YEAST04671	SACKO_08809
OG0001557	YEAST04551	SACKO_23724
OG0001558	YEAST04449	SACKO_25319
OG0001559	YEAST00445, YEAST02434	SACKO_32399, SACKO_09139
OG0001561	YEAST06176	SACKO_16712
OG0001564	YEAST05390	SACKO_28906, SACKO_28888
OG0001570	YEAST04678	SACKO_27622, SACKO_27563, SACKO_25560
OG0001578	YEAST01872	SACKO_25675
OG0001580	YEAST06270	SACKO_00171
OG0001590	YEAST03476, YEAST00717, YEAST03955	SACKO_23759, SACKO_21309, SACKO_21282, SACKO_03473
OG0001594	YEAST03418	SACKO_26083, SACKO_31513, SACKO_18916
OG0001597	YEAST01702	SACKO_02083, SACKO_32914
OG0001603	YEAST02584	SACKO_23077
OG0001604	YEAST01428	SACKO_22259, SACKO_08859
OG0001605	YEAST04101	SACKO_00179
OG0001609	YEAST02739	SACKO_20157, SACKO_20497
OG0001610	YEAST00596, YEAST02062	SACKO_05583
OG0001612	YEAST01109	SACKO_08058
OG0001628	YEAST04790	SACKO_21663, SACKO_17702, SACKO_33995, SACKO_09129
OG0001653	YEAST01151	SACKO_07366
OG0001655	YEAST03354	SACKO_11250
OG0001657	YEAST00101, YEAST00944	SACKO_20171, SACKO_20167
OG0001663	YEAST05642	SACKO_23924, SACKO_09786
OG0001676	YEAST02848	SACKO_27676
OG0001676	YEAST06155	SACKO_06479
OG0001679	YEAST05302, YEAST02334, YEAST02449, YEAST01523	SACKO_31963
OG0001680	YEAST01119, YEAST04022	SACKO_14900
OG0001685	YEAST01147	SACKO_33558
OG0001687	YEAST05279	SACKO_08415, SACKO_00450, SACKO_08438
OG0001691	YEAST01315	SACKO_07768
OG0001704	YEAST01293	SACKO_06839, SACKO_06782, SACKO_06808
OG0001706	YEAST03424	SACKO_16140
OG0001707	YEAST06049, YEAST00407, YEAST04739	SACKO_27712, SACKO_27719, SACKO_08114
OG0001708	YEAST05744, YEAST05745	SACKO_22651, SACKO_22657
OG0001709	YEAST04440	SACKO_21009, SACKO_14450
OG0001713	YEAST04039	SACKO_33794, SACKO_29813, SACKO_10739, SACKO_26830, SACKO_16172
OG0001718	YEAST01537	SACKO_06683, SACKO_01615, SACKO_22232
OG0001721	YEAST04881, YEAST05253, YEAST00698	SACKO_14258
OG0001723	YEAST01435	SACKO_00445
OG0001727	YEAST04543	SACKO_05239
OG0001728	YEAST03347	SACKO_11865
OG0001730	YEAST00177	SACKO_21513
OG0001736	YEAST04588	SACKO_26229
OG0001739	YEAST03760	SACKO_05033
OG0001745	YEAST01431	SACKO_08867, SACKO_10224, SACKO_10001
OG0001750	YEAST03628	SACKO_27270
OG0001754	YEAST03682	SACKO_08958
OG0001755	YEAST02688	SACKO_23376
OG0001755	YEAST05131	SACKO_22480
OG0001756	YEAST00620	SACKO_10270, SACKO_17493
OG0001769	YEAST04726	SACKO_20080, SACKO_20662
OG0001770	YEAST02590	SACKO_19586
OG0001774	YEAST05166	SACKO_02280, SACKO_26050
OG0001775	YEAST05594	SACKO_29841, SACKO_28398
OG0001780	YEAST03768	SACKO_02736, SACKO_09942, SACKO_03637, SACKO_03659
OG0001781	YEAST01882	SACKO_15440, SACKO_18083
OG0001782	YEAST02421	SACKO_00654, SACKO_12311, SACKO_00246
OG0001785	YEAST02713	SACKO_33880
OG0001787	YEAST03546	SACKO_25176
OG0001792	YEAST02075	SACKO_11878
OG0001792	YEAST04595	SACKO_31467
OG0001793	YEAST02466	SACKO_11163, SACKO_29982
OG0001805	YEAST05496, YEAST01242	SACKO_31950
OG0001807	YEAST05464	SACKO_26234
OG0001808	YEAST01298	SACKO_14879
OG0001818	YEAST05902, YEAST04712	SACKO_02318
OG0001822	YEAST04378, YEAST01659	SACKO_04572
OG0001826	YEAST04777, YEAST01697, YEAST05781	SACKO_26413
OG0001828	YEAST04676	SACKO_14933, SACKO_14936
OG0001829	YEAST01613, YEAST00136, YEAST02008	SACKO_14724, SACKO_16251, SACKO_16252
OG0001831	YEAST00024	SACKO_24375
OG0001832	YEAST05376	SACKO_10816, SACKO_11786
OG0001842	YEAST00524	SACKO_12040, SACKO_20643, SACKO_31724, SACKO_00317, SACKO_33226, SACKO_12044, SACKO_20646
OG0001846	YEAST05067	SACKO_34093
OG0001850	YEAST01913	SACKO_26806, SACKO_17478
OG0001852	YEAST03121	SACKO_23655, SACKO_00057
OG0001853	YEAST05176	SACKO_15654, SACKO_15642
OG0001857	YEAST04741	SACKO_13794
OG0001860	YEAST00188	SACKO_19360, SACKO_06288
OG0001861	YEAST05779, YEAST04773	SACKO_33839, SACKO_06841, SACKO_33845, SACKO_13153, SACKO_08805
OG0001863	YEAST03017	SACKO_28231, SACKO_00113, SACKO_23555
OG0001866	YEAST05095, YEAST05570	SACKO_27773
OG0001867	YEAST01669	SACKO_13015
OG0001873	YEAST00981, YEAST00267	SACKO_07283
OG0001875	YEAST04137	SACKO_05804, SACKO_22430
OG0001877	YEAST04134	SACKO_33440
OG0001886	YEAST03260	SACKO_09347
OG0001888	YEAST05749, YEAST01573	SACKO_30943
OG0001893	YEAST01023	SACKO_22779
OG0001894	YEAST00433	SACKO_20370, SACKO_07312, SACKO_18720
OG0001899	YEAST01210, YEAST04466	SACKO_31621
OG0001903	YEAST06020	SACKO_11964
OG0001913	YEAST05520	SACKO_20127, SACKO_20120
OG0001915	YEAST04791	SACKO_14819
OG0001917	YEAST01859	SACKO_07185
OG0001923	YEAST05881	SACKO_06225
OG0001926	YEAST02948	SACKO_32724
OG0001932	YEAST03770, YEAST03179	SACKO_17814, SACKO_17834
OG0001934	YEAST00877	SACKO_19626
OG0001935	YEAST00431	SACKO_28402, SACKO_30912
OG0001938	YEAST03931	SACKO_21139
OG0001940	YEAST04188, YEAST05646	SACKO_10213, SACKO_21954
OG0001943	YEAST02393, YEAST05966	SACKO_13918
OG0001945	YEAST01671	SACKO_10355, SACKO_01672, SACKO_08614
OG0001947	YEAST02570	SACKO_18526, SACKO_18521
OG0001951	YEAST00941, YEAST05396	SACKO_09715, SACKO_16941
OG0001952	YEAST04673, YEAST01990, YEAST00155	SACKO_09903, SACKO_29969, SACKO_31296
OG0001965	YEAST04582	SACKO_10029
OG0001968	YEAST04910	SACKO_24949, SACKO_03965
OG0001969	YEAST06173	SACKO_21189
OG0001972	YEAST01822, YEAST03363	SACKO_11329
OG0001985	YEAST04959	SACKO_07585
OG0001992	YEAST02679	SACKO_18086, SACKO_18064
OG0001998	YEAST00890	SACKO_08539, SACKO_09820
OG0002001	YEAST00502, YEAST03944	SACKO_30594, SACKO_13016, SACKO_06842
OG0002003	YEAST02826, YEAST03671	SACKO_11654
OG0002008	YEAST00768	SACKO_01329
OG0002010	YEAST00609	SACKO_00952
OG0002013	YEAST03040	SACKO_30391
OG0002014	YEAST02422	SACKO_12681
OG0002015	YEAST05525	SACKO_24489
OG0002025	YEAST03650	SACKO_02757
OG0002026	YEAST01247	SACKO_28249, SACKO_18232, SACKO_28246
OG0002029	YEAST02646	SACKO_09295, SACKO_07415
OG0002031	YEAST02752	SACKO_16332
OG0002032	YEAST01221	SACKO_01708
OG0002042	YEAST02880	SACKO_05179, SACKO_02433
OG0002043	YEAST04003	SACKO_27976
OG0002059	YEAST05893, YEAST04718	SACKO_21353
OG0002062	YEAST05454	SACKO_31974
OG0002063	YEAST00838	SACKO_05277, SACKO_05336, SACKO_24323
OG0002067	YEAST03444	SACKO_13436
OG0002069	YEAST05962	SACKO_20889
OG0002073	YEAST04552	SACKO_33630
OG0002076	YEAST02206	SACKO_02097
OG0002078	YEAST06232	SACKO_02791, SACKO_19556
OG0002079	YEAST05765, YEAST00483	SACKO_15575, SACKO_09617
OG0002080	YEAST05220, YEAST04736	SACKO_32199
OG0002084	YEAST04529	SACKO_12224, SACKO_12221
OG0002087	YEAST05702	SACKO_25855, SACKO_07146, SACKO_12543, SACKO_25849, SACKO_27391, SACKO_27412, SACKO_27388, SACKO_00847, SACKO_01530, SACKO_23688, SACKO_25848
OG0002090	YEAST02246	SACKO_16057
OG0002093	YEAST02255	SACKO_03739, SACKO_03582
OG0002097	YEAST02697	SACKO_05242
OG0002101	YEAST03902	SACKO_30956
OG0002103	YEAST05974	SACKO_16277
OG0002106	YEAST03654	SACKO_27977, SACKO_19814, SACKO_22564
OG0002108	YEAST03715	SACKO_11718
OG0002123	YEAST02444	SACKO_00844
OG0002125	YEAST05183	SACKO_21454, SACKO_13801
OG0002131	YEAST04275	SACKO_24269
OG0002137	YEAST04320	SACKO_34083
OG0002138	YEAST02406	SACKO_16832
OG0002144	YEAST02673	SACKO_10481
OG0002146	YEAST04333, YEAST00109, YEAST03088, YEAST04454	SACKO_23698
OG0002147	YEAST04532, YEAST01219	SACKO_22332
OG0002148	YEAST02060	SACKO_24707, SACKO_00743, SACKO_10279, SACKO_32367, SACKO_03139
OG0002152	YEAST05624	SACKO_15721
OG0002156	YEAST03007	SACKO_15195
OG0002160	YEAST03960	SACKO_24481
OG0002165	YEAST04504	SACKO_29030, SACKO_00596, SACKO_29095
OG0002168	YEAST00516	SACKO_15734
OG0002169	YEAST02258	SACKO_19979
OG0002175	YEAST04956	SACKO_25484, SACKO_16112
OG0002184	YEAST00242	SACKO_07039
OG0002185	YEAST05212	SACKO_25782
OG0002188	YEAST04638, YEAST03913	SACKO_28991, SACKO_04641, SACKO_33264, SACKO_04986, SACKO_12346, SACKO_23119, SACKO_32812, SACKO_20684, SACKO_14996, SACKO_27841, SACKO_08618
OG0002189	YEAST02882, YEAST04447	SACKO_18586
OG0002213	YEAST01241, YEAST05495	SACKO_03926, SACKO_01095, SACKO_12170, SACKO_12276, SACKO_28182
OG0002216	YEAST06040	SACKO_07587, SACKO_07575, SACKO_07541
OG0002217	YEAST06033	SACKO_08671
OG0002222	YEAST03240	SACKO_28811, SACKO_14173
OG0002224	YEAST01574	SACKO_18897
OG0002225	YEAST04939	SACKO_00221
OG0002226	YEAST00948	SACKO_19713
OG0002228	YEAST04154, YEAST05632	SACKO_10021
OG0002233	YEAST00277	SACKO_16451, SACKO_16448, SACKO_16472, SACKO_16464, SACKO_16468, SACKO_16480
OG0002239	YEAST03509	SACKO_27748
OG0002239	YEAST01621	SACKO_16980
OG0002241	YEAST02005	SACKO_08535
OG0002243	YEAST04599, YEAST03601, YEAST04600	SACKO_33310
OG0002244	YEAST02768	SACKO_31059
OG0002252	YEAST00826	SACKO_10627
OG0002261	YEAST00472	SACKO_16053
OG0002264	YEAST01705	SACKO_05313
OG0002279	YEAST05800	SACKO_18324
OG0002282	YEAST00881	SACKO_22774
OG0002288	YEAST01591, YEAST05154	SACKO_17494
OG0002292	YEAST00152	SACKO_12987
OG0002297	YEAST01217	SACKO_09666, SACKO_09668, SACKO_27042
OG0002312	YEAST06295	SACKO_03380
OG0002316	YEAST01805	SACKO_19768
OG0002318	YEAST02923	SACKO_21401, SACKO_21406
OG0002319	YEAST00329	SACKO_26392
OG0002321	YEAST02461	SACKO_23570
OG0002324	YEAST02615, YEAST06287	SACKO_32487
OG0002326	YEAST00310, YEAST02699	SACKO_31471
OG0002327	YEAST00346, YEAST06217	SACKO_31260, SACKO_25713
OG0002331	YEAST01653	SACKO_11430
OG0002332	YEAST01606, YEAST05184, YEAST00285	SACKO_18562
OG0002341	YEAST03640, YEAST04562	SACKO_15545, SACKO_04314
OG0002344	YEAST02312, YEAST02019	SACKO_05777
OG0002346	YEAST02012	SACKO_05868, SACKO_13169
OG0002348	YEAST01845	SACKO_15235, SACKO_08270
OG0002355	YEAST00016	SACKO_16745
OG0002356	YEAST00259	SACKO_31921
OG0002361	YEAST01027	SACKO_32392, SACKO_16372, SACKO_32381, SACKO_33135
OG0002367	YEAST01179	SACKO_33744, SACKO_19201, SACKO_29840
OG0002369	YEAST03766	SACKO_01506, SACKO_17055
OG0002374	YEAST02010, YEAST00133	SACKO_15692, SACKO_16366
OG0002377	YEAST05000	SACKO_33983
OG0002385	YEAST03974	SACKO_19565
OG0002406	YEAST05509	SACKO_24736, SACKO_33790
OG0002407	YEAST00012	SACKO_17878, SACKO_17871, SACKO_17874
OG0002409	YEAST02027	SACKO_21216, SACKO_32540
OG0002411	YEAST05950, YEAST02407	SACKO_00108
OG0002412	YEAST06171	SACKO_02511, SACKO_30796, SACKO_28562, SACKO_30019, SACKO_13814, SACKO_33836
OG0002413	YEAST01196	SACKO_08633, SACKO_19927
OG0002415	YEAST01271	SACKO_18230, SACKO_05190
OG0002421	YEAST02982	SACKO_24253, SACKO_04901
OG0002422	YEAST05026	SACKO_00263
OG0002426	YEAST00184	SACKO_09988
OG0002441	YEAST00068, YEAST02278, YEAST05821	SACKO_00266
OG0002442	YEAST05932	SACKO_04883
OG0002443	YEAST04906	SACKO_07535
OG0002446	YEAST04254	SACKO_01036
OG0002448	YEAST00626	SACKO_18565
OG0002450	YEAST04575	SACKO_22472
OG0002453	YEAST00512	SACKO_11027
OG0002476	YEAST05799	SACKO_30892, SACKO_08176
OG0002486	YEAST01433	SACKO_05657
OG0002492	YEAST01624	SACKO_32021, SACKO_32041
OG0002494	YEAST02402	SACKO_12127
OG0002497	YEAST02747	SACKO_13214, SACKO_22650
OG0002500	YEAST05648	SACKO_04375
OG0002505	YEAST02959	SACKO_06900
OG0002510	YEAST04753	SACKO_28079, SACKO_09294
OG0002516	YEAST00066	SACKO_16570
OG0002518	YEAST02890	SACKO_09581
OG0002520	YEAST05256	SACKO_06589
OG0002527	YEAST01639	SACKO_22788
OG0002528	YEAST00372	SACKO_16622
OG0002530	YEAST05530, YEAST03790	SACKO_08723
OG0002532	YEAST03235	SACKO_02215, SACKO_17305
OG0002533	YEAST04525	SACKO_25403, SACKO_16289
OG0002543	YEAST00527	SACKO_20191
OG0002557	YEAST06243	SACKO_26822
OG0002561	YEAST04438, YEAST02106	SACKO_02026
OG0002562	YEAST03992	SACKO_25664
OG0002564	YEAST02186	SACKO_22734
OG0002565	YEAST04224, YEAST02499	SACKO_00115
OG0002570	YEAST00592	SACKO_20479
OG0002574	YEAST05657	SACKO_22230
OG0002594	YEAST06174	SACKO_07978
OG0002598	YEAST04621, YEAST03577	SACKO_07015
OG0002605	YEAST06332	SACKO_14953
OG0002608	YEAST03716, YEAST02846	SACKO_11611
OG0002609	YEAST01355	SACKO_12081
OG0002610	YEAST01078, YEAST03973	SACKO_01801
OG0002612	YEAST03508	SACKO_26587
OG0002617	YEAST00866	SACKO_01894
OG0002618	YEAST06247	SACKO_28705
OG0002621	YEAST05551	SACKO_16474, SACKO_23580, SACKO_23585
OG0002629	YEAST05919	SACKO_33854
OG0002632	YEAST02755	SACKO_32258, SACKO_32473
OG0002633	YEAST04206	SACKO_11975
OG0002636	YEAST01664, YEAST06215	SACKO_24914
OG0002638	YEAST00919, YEAST04703	SACKO_23375
OG0002643	YEAST01938	SACKO_32604
OG0002644	YEAST00724	SACKO_08256, SACKO_08254
OG0002645	YEAST01436	SACKO_16887
OG0002646	YEAST01946	SACKO_24581
OG0002651	YEAST02247	SACKO_20462
OG0002652	YEAST04937	SACKO_26837
OG0002656	YEAST05701	SACKO_00623
OG0002659	YEAST06290	SACKO_29326
OG0002666	YEAST02507	SACKO_31357, SACKO_13833
OG0002668	YEAST02324	SACKO_26748, SACKO_30469
OG0002677	YEAST05210	SACKO_10007
OG0002683	YEAST03676	SACKO_03825
OG0002705	YEAST00553	SACKO_02809, SACKO_11668
OG0002713	YEAST00413, YEAST06057	SACKO_26672
OG0002715	YEAST01174, YEAST04131	SACKO_18679, SACKO_15095
OG0002717	YEAST02430	SACKO_12992
OG0002718	YEAST03380, YEAST03502	SACKO_28816, SACKO_28799
OG0002720	YEAST01914	SACKO_12119, SACKO_22212, SACKO_22241
OG0002722	YEAST04059	SACKO_31472, SACKO_25932
OG0002726	YEAST02958	SACKO_21700
OG0002729	YEAST01155	SACKO_03831, SACKO_13000
OG0002737	YEAST02827	SACKO_17465, SACKO_05759, SACKO_05770, SACKO_05754, SACKO_05768
OG0002739	YEAST01877	SACKO_30502, SACKO_01737
OG0002740	YEAST01658	SACKO_21510
OG0002742	YEAST03713	SACKO_17909
OG0002743	YEAST01824, YEAST03362	SACKO_01395
OG0002745	YEAST04244	SACKO_10657, SACKO_10637
OG0002746	YEAST04902, YEAST05332	SACKO_10434
OG0002747	YEAST05617	SACKO_18649
OG0002750	YEAST04952	SACKO_09270
OG0002752	YEAST03686	SACKO_09498
OG0002753	YEAST03742	SACKO_01550
OG0002754	YEAST03620	SACKO_04244
OG0002756	YEAST04058	SACKO_02390, SACKO_18195
OG0002758	YEAST04409	SACKO_19727, SACKO_18269
OG0002760	YEAST01927	SACKO_23733
OG0002761	YEAST03261	SACKO_17248
OG0002763	YEAST00260	SACKO_27267
OG0002764	YEAST00423	SACKO_19305
OG0002765	YEAST01667, YEAST05523	SACKO_29026
OG0002766	YEAST05357	SACKO_14015, SACKO_14013
OG0002767	YEAST04591	SACKO_33559
OG0002771	YEAST02043	SACKO_12360
OG0002772	YEAST03384	SACKO_27476, SACKO_10766, SACKO_10749, SACKO_10753, SACKO_30368, SACKO_03004, SACKO_07206
OG0002773	YEAST03677	SACKO_21667, SACKO_16295
OG0002774	YEAST03575	SACKO_02543
OG0002775	YEAST03021	SACKO_08509, SACKO_02540
OG0002781	YEAST05450	SACKO_00640
OG0002782	YEAST02121	SACKO_03511
OG0002785	YEAST06106, YEAST01228	SACKO_09777
OG0002788	YEAST02578, YEAST01232	SACKO_19152
OG0002789	YEAST05269	SACKO_20967, SACKO_28920, SACKO_19269
OG0002793	YEAST01371	SACKO_08034
OG0002799	YEAST01461	SACKO_18293
OG0002817	YEAST01189, YEAST04922	SACKO_32465
OG0002824	YEAST02137	SACKO_27741, SACKO_03538
OG0002826	YEAST00174	SACKO_09112
OG0002827	YEAST05976	SACKO_23766
OG0002828	YEAST00227, YEAST00963	SACKO_16788, SACKO_09297, SACKO_09292
OG0002831	YEAST03282	SACKO_11570
