Orthogroup	YEAST	DROME
OG0001140	YEAST03519	DROME04492, DROME04491
OG0001142	YEAST04001	DROME15460, DROME15458, DROME15459
OG0001163	YEAST02433	DROME10630, DROME14555, DROME14557, DROME14693, DROME17901, DROME17899
OG0001164	YEAST03454	DROME08761, DROME08760, DROME08762, DROME08763, DROME08759
OG0001175	YEAST00534	DROME10674
OG0001177	YEAST06137	DROME01933, DROME01934, DROME21906
OG0001184	YEAST01681	DROME03279, DROME17805
OG0001185	YEAST04969	DROME09235, DROME09236, DROME09242, DROME09234, DROME09239, DROME09241, DROME09240, DROME09237, DROME09238, DROME09245
OG0001186	YEAST04605, YEAST01886	DROME11811, DROME11812, DROME18932
OG0001191	YEAST04707	DROME15546, DROME15547, DROME15549, DROME15548
OG0001197	YEAST01499	DROME14364, DROME07563
OG0001201	YEAST05452	DROME20824, DROME20825, DROME20823, DROME20822
OG0001204	YEAST05200	DROME15252
OG0001210	YEAST05511	DROME01292
OG0001210	YEAST02318	DROME21654, DROME21653
OG0001212	YEAST03971	DROME03019, DROME03020, DROME03017, DROME03018, DROME03022, DROME03021
OG0001214	YEAST00577	DROME14229, DROME14228, DROME14227, DROME14223, DROME14224, DROME14225, DROME14226
OG0001216	YEAST00145	DROME20096, DROME20097, DROME20095, DROME15498
OG0001219	YEAST03867	DROME17625, DROME17624, DROME17623, DROME17626, DROME17619, DROME17620, DROME17618, DROME17621, DROME17622, DROME17627, DROME17628
OG0001236	YEAST03325, YEAST02687, YEAST03269	DROME06609, DROME04424, DROME20964
OG0001237	YEAST04380	DROME17018, DROME17017, DROME15311, DROME20284, DROME14186, DROME18581, DROME19481
OG0001238	YEAST04481	DROME21058, DROME14293, DROME05136, DROME05137, DROME05138, DROME14291, DROME14292
OG0001241	YEAST02002	DROME02596
OG0001241	YEAST03967, YEAST01074	DROME03537
OG0001243	YEAST00739, YEAST05004	DROME15537, DROME15539, DROME15534, DROME15540, DROME15538, DROME15536, DROME15535
OG0001249	YEAST01062, YEAST02067	DROME05745, DROME05744, DROME04456, DROME04455
OG0001250	YEAST02968, YEAST01339	DROME10391, DROME10390, DROME10392
OG0001251	YEAST00750	DROME08364
OG0001251	YEAST01707	DROME04532
OG0001253	YEAST03998	DROME16727, DROME02601
OG0001254	YEAST04309	DROME22031, DROME22029, DROME22030, DROME22035, DROME22032, DROME22034, DROME22036, DROME22038, DROME22037, DROME22033
OG0001262	YEAST00911	DROME20437, DROME01661
OG0001263	YEAST00172	DROME01386, DROME01387
OG0001268	YEAST03495	DROME04920, DROME04921
OG0001270	YEAST01703	DROME12379
OG0001270	YEAST02398	DROME02961
OG0001271	YEAST05227, YEAST00662	DROME20484
OG0001278	YEAST01893	DROME15730, DROME15455, DROME15454, DROME15456
OG0001279	YEAST03070	DROME15211, DROME15210
OG0001280	YEAST00846	DROME15706
OG0001282	YEAST03744	DROME04060, DROME04059, DROME04058
OG0001284	YEAST00567, YEAST01498	DROME14235, DROME05418
OG0001286	YEAST00588, YEAST01486, YEAST03604	DROME11490, DROME11489, DROME11491
OG0001291	YEAST04453, YEAST04334	DROME21166, DROME21165, DROME18055, DROME18056
OG0001300	YEAST01098	DROME21326, DROME21325, DROME21324
OG0001302	YEAST02328	DROME00539
OG0001310	YEAST00887	DROME15600
OG0001318	YEAST03712	DROME17213, DROME09513
OG0001319	YEAST01678	DROME01307, DROME08745
OG0001321	YEAST02280, YEAST01901	DROME16103
OG0001322	YEAST06128	DROME15932
OG0001324	YEAST00078	DROME09728
OG0001325	YEAST00793	DROME14232
OG0001326	YEAST05395	DROME03927
OG0001327	YEAST03176	DROME02674, DROME02673, DROME02675, DROME18410
OG0001332	YEAST03929, YEAST02705, YEAST00687	DROME01823, DROME19220, DROME11272
OG0001333	YEAST00728	DROME11917, DROME07724, DROME09080, DROME09081, DROME11916, DROME20312, DROME20313, DROME18937
OG0001341	YEAST06006	DROME00588, DROME19896, DROME19897, DROME19895
OG0001353	YEAST00020, YEAST04041	DROME12504, DROME12505
OG0001363	YEAST06180	DROME20227, DROME20225, DROME20226, DROME20228, DROME00044
OG0001364	YEAST06038, YEAST00402	DROME18347, DROME18348
OG0001367	YEAST04688	DROME04540, DROME04542, DROME04539, DROME04538, DROME04541, DROME04537, DROME04535, DROME04534, DROME04536
OG0001368	YEAST01821	DROME00518, DROME00521, DROME00519, DROME00520
OG0001370	YEAST04067, YEAST05195, YEAST00897	DROME10125, DROME10122, DROME10123, DROME10124, DROME10126
OG0001371	YEAST00532, YEAST03976	DROME15115, DROME15085, DROME15086, DROME10858, DROME10857, DROME16916, DROME17983, DROME17981, DROME17980, DROME17848, DROME06809
OG0001372	YEAST00070	DROME06987
OG0001375	YEAST05499, YEAST05567	DROME11058, DROME12544
OG0001378	YEAST02300	DROME14090, DROME14089
OG0001379	YEAST04155	DROME02340
OG0001386	YEAST05114	DROME03356
OG0001397	YEAST05731	DROME12938, DROME12061
OG0001409	YEAST00885, YEAST04659	DROME18923, DROME18920, DROME18919, DROME18918, DROME18921, DROME18927, DROME18922, DROME18926, DROME18925, DROME18924, DROME18107
OG0001410	YEAST05046	DROME00626
OG0001411	YEAST04834	DROME13591, DROME09768, DROME09769
OG0001413	YEAST04294	DROME21681, DROME21682, DROME17078
OG0001414	YEAST06070, YEAST01920	DROME16698, DROME16697, DROME00599
OG0001415	YEAST00964	DROME17030, DROME17031
OG0001421	YEAST05252	DROME08210
OG0001422	YEAST05588, YEAST01363	DROME19262, DROME19263
OG0001424	YEAST01127	DROME10397, DROME21291
OG0001427	YEAST01885	DROME09989, DROME07053, DROME04112, DROME04111, DROME04110
OG0001428	YEAST04862, YEAST05862, YEAST02749, YEAST03037	DROME00299, DROME00300
OG0001430	YEAST01712	DROME14791, DROME14607, DROME14606
OG0001434	YEAST03991	DROME05416
OG0001437	YEAST01264, YEAST02900	DROME11504, DROME11507, DROME11506, DROME11505, DROME12503, DROME12502
OG0001445	YEAST01715	DROME19218
OG0001449	YEAST03188	DROME21187
OG0001454	YEAST01495, YEAST00573	DROME17550, DROME17549, DROME17548
OG0001456	YEAST00365	DROME21079
OG0001459	YEAST03073, YEAST03464	DROME20534
OG0001461	YEAST05255	DROME01468
OG0001468	YEAST03875, YEAST03904	DROME11512, DROME11513
OG0001469	YEAST02070	DROME11498
OG0001469	YEAST02765	DROME15100
OG0001470	YEAST00369, YEAST05375	DROME17188, DROME17190, DROME17187, DROME17189, DROME17191
OG0001472	YEAST03031	DROME03418, DROME01627
OG0001474	YEAST01416, YEAST05312	DROME02835, DROME02834
OG0001478	YEAST01984, YEAST02078	DROME17873, DROME17872
OG0001479	YEAST01132	DROME09340
OG0001503	YEAST03032	DROME04749
OG0001503	YEAST02920	DROME03622
OG0001504	YEAST05406	DROME21429, DROME21424, DROME21428, DROME21422
OG0001505	YEAST03361	DROME08192
OG0001508	YEAST04143	DROME11905
OG0001515	YEAST03569	DROME21741
OG0001520	YEAST03872	DROME13841, DROME13840, DROME13837, DROME13839, DROME13838
OG0001524	YEAST03912	DROME06417, DROME06418, DROME00342, DROME00343
OG0001525	YEAST00757	DROME04644, DROME04645, DROME06563, DROME06562, DROME04650, DROME04646, DROME04647, DROME04648, DROME05288
OG0001527	YEAST01395	DROME15289, DROME00338
OG0001529	YEAST01143	DROME07602, DROME07601
OG0001530	YEAST00643	DROME01073
OG0001546	YEAST03111	DROME13625, DROME13628, DROME13624, DROME13627, DROME13626, DROME13623
OG0001550	YEAST02405, YEAST05953	DROME09122
OG0001551	YEAST04817	DROME08057
OG0001553	YEAST05147, YEAST01586	DROME02123, DROME02122
OG0001557	YEAST04671	DROME20902, DROME20901
OG0001557	YEAST04551	DROME07367
OG0001558	YEAST04449	DROME19656, DROME19657
OG0001559	YEAST00445, YEAST02434	DROME00558, DROME02902
OG0001561	YEAST06176	DROME04222
OG0001570	YEAST04678	DROME13692
OG0001580	YEAST06270	DROME10962, DROME10960, DROME10959, DROME10957, DROME10956, DROME10963, DROME10961, DROME10958
OG0001590	YEAST03476, YEAST00717, YEAST03955	DROME14234, DROME13421
OG0001594	YEAST03418	DROME05350, DROME05351, DROME05349, DROME10666, DROME10665
OG0001597	YEAST01702	DROME12080
OG0001603	YEAST02584	DROME10271, DROME05748, DROME05749
OG0001604	YEAST01428	DROME13655, DROME13654, DROME15595, DROME15593, DROME15592, DROME15594
OG0001605	YEAST04101	DROME09003, DROME09000, DROME09002, DROME08999, DROME08998, DROME09001
OG0001609	YEAST02739	DROME13801, DROME13802, DROME13800, DROME09555
OG0001610	YEAST00596, YEAST02062	DROME06881
OG0001612	YEAST01109	DROME07050, DROME07049
OG0001628	YEAST04790	DROME21766, DROME21765
OG0001653	YEAST01151	DROME03945, DROME03944, DROME03946
OG0001655	YEAST03354	DROME11541, DROME11542
OG0001657	YEAST00101, YEAST00944	DROME16951
OG0001663	YEAST05642	DROME17604, DROME17603
OG0001676	YEAST06155	DROME15959, DROME15958, DROME15960
OG0001680	YEAST01119, YEAST04022	DROME20427
OG0001685	YEAST01147	DROME10450
OG0001691	YEAST01315	DROME07542, DROME07543, DROME07544, DROME07545
OG0001706	YEAST03424	DROME01112
OG0001707	YEAST06049, YEAST00407, YEAST04739	DROME04786, DROME04787
OG0001708	YEAST05744, YEAST05745	DROME10362, DROME14608, DROME16704
OG0001713	YEAST04039	DROME20630
OG0001718	YEAST01537	DROME18626, DROME18625, DROME18627
OG0001721	YEAST04881, YEAST05253, YEAST00698	DROME21093, DROME21094
OG0001723	YEAST01435	DROME01240, DROME01235, DROME01239, DROME01238, DROME01237, DROME01236
OG0001727	YEAST04543	DROME01511, DROME01510, DROME01513, DROME01512
OG0001728	YEAST03347	DROME19385
OG0001730	YEAST00177	DROME08359, DROME08358, DROME08360, DROME08361
OG0001736	YEAST05091	DROME19390, DROME19392, DROME19391
OG0001736	YEAST04588	DROME03103
OG0001739	YEAST03760	DROME17504, DROME18573, DROME08124
OG0001745	YEAST01431	DROME10489
OG0001750	YEAST03628	DROME06453
OG0001754	YEAST03682	DROME14611, DROME14610, DROME14612, DROME06495, DROME17387, DROME17388, DROME17389, DROME06493, DROME06492, DROME06491
OG0001755	YEAST05131	DROME01391, DROME01389, DROME01390, DROME01388, DROME01392
OG0001769	YEAST04726	DROME08613, DROME15632, DROME15631
OG0001770	YEAST02590	DROME12526, DROME12525
OG0001774	YEAST05166	DROME16288, DROME17117, DROME17119, DROME17118
OG0001775	YEAST05594	DROME03798
OG0001780	YEAST03768	DROME12052
OG0001781	YEAST01882	DROME05960, DROME03304
OG0001785	YEAST02713	DROME20701, DROME20700
OG0001787	YEAST03546	DROME15226
OG0001792	YEAST04595	DROME20324
OG0001793	YEAST02466	DROME16987, DROME21922
OG0001805	YEAST05496, YEAST01242	DROME11510, DROME11511
OG0001807	YEAST05464	DROME02930, DROME02931, DROME02932
OG0001808	YEAST01298	DROME12890, DROME12888, DROME12889
OG0001818	YEAST05902, YEAST04712	DROME09141
OG0001822	YEAST04378, YEAST01659	DROME10804, DROME10805, DROME10809, DROME10807, DROME10808, DROME10806
OG0001826	YEAST04777, YEAST01697, YEAST05781	DROME04636, DROME04635, DROME04634, DROME04637
OG0001831	YEAST00024	DROME16694, DROME16695, DROME16696
OG0001832	YEAST05376	DROME11192
OG0001846	YEAST04351, YEAST04434	DROME15051
OG0001846	YEAST05067	DROME07140
OG0001850	YEAST01913	DROME11385, DROME11386, DROME11384, DROME11388, DROME11389, DROME11387
OG0001853	YEAST05176	DROME15057, DROME08596, DROME09289, DROME09287, DROME09286
OG0001857	YEAST04741	DROME04659, DROME04661, DROME04660, DROME04662
OG0001860	YEAST00188	DROME00108, DROME00107
OG0001861	YEAST05779, YEAST04773	DROME09171, DROME09172
OG0001863	YEAST03017	DROME11185
OG0001865	YEAST06037, YEAST00399	DROME11190, DROME11189
OG0001866	YEAST05095, YEAST05570	DROME07682
OG0001867	YEAST01669	DROME12422, DROME12423, DROME12425, DROME12420, DROME12424, DROME12419, DROME12418, DROME12421, DROME12417, DROME12416
OG0001875	YEAST04137	DROME02032, DROME16885
OG0001877	YEAST04134	DROME04518
OG0001886	YEAST03260	DROME14413
OG0001888	YEAST05749, YEAST01573	DROME11501, DROME11500, DROME11503, DROME11502
OG0001893	YEAST01023	DROME02220
OG0001899	YEAST01210, YEAST04466	DROME17597, DROME17598, DROME17599
OG0001903	YEAST06020	DROME10026
OG0001913	YEAST05520	DROME20114, DROME20115
OG0001915	YEAST04791	DROME15601
OG0001917	YEAST01859	DROME05027, DROME05026
OG0001923	YEAST05881	DROME13928
OG0001926	YEAST02948	DROME02334
OG0001932	YEAST03770, YEAST03179	DROME07500, DROME07499, DROME07504, DROME07502, DROME07503, DROME07501
OG0001934	YEAST00877	DROME11858
OG0001935	YEAST00431	DROME16535, DROME05228
OG0001938	YEAST03931	DROME15196, DROME15195, DROME15198, DROME15197
OG0001940	YEAST04188, YEAST05646	DROME11372, DROME20166
OG0001943	YEAST02393, YEAST05966	DROME05587, DROME05589, DROME05586, DROME05588
OG0001945	YEAST01671	DROME09755, DROME09756, DROME22094, DROME20436
OG0001947	YEAST02570	DROME14837
OG0001951	YEAST00941, YEAST05396	DROME01080, DROME01079, DROME01078, DROME07934
OG0001952	YEAST04673, YEAST01990, YEAST00155	DROME00559, DROME00560
OG0001965	YEAST04582	DROME13659
OG0001968	YEAST04910	DROME04032
OG0001969	YEAST06173	DROME05971, DROME05972, DROME17147, DROME05970
OG0001972	YEAST01822, YEAST03363	DROME05855, DROME05853, DROME05851, DROME05852, DROME05854, DROME05846, DROME05850, DROME05847, DROME05848, DROME05849
OG0001985	YEAST04959	DROME10994, DROME10993
OG0001992	YEAST02679	DROME21257
OG0001998	YEAST00890	DROME09606
OG0002001	YEAST00502, YEAST03944	DROME19332, DROME19331
OG0002003	YEAST02826, YEAST03671	DROME00292
OG0002008	YEAST00768	DROME04686, DROME04688, DROME04687, DROME04685
OG0002013	YEAST03040	DROME04069, DROME08149
OG0002015	YEAST05525	DROME14274, DROME14276, DROME14275
OG0002025	YEAST03650	DROME08208, DROME08209
OG0002026	YEAST01247	DROME20307
OG0002029	YEAST02646	DROME21921
OG0002031	YEAST02752	DROME21699, DROME13546
OG0002032	YEAST01221	DROME01693
OG0002043	YEAST04003	DROME10764, DROME10766, DROME10765
OG0002059	YEAST05893, YEAST04718	DROME20230, DROME20232, DROME20229, DROME20231
OG0002062	YEAST05454	DROME05606, DROME05610, DROME05608, DROME05609, DROME05605, DROME05607, DROME05604
OG0002063	YEAST00838	DROME00486, DROME00487
OG0002067	YEAST03444	DROME21628
OG0002069	YEAST05962	DROME14513
OG0002073	YEAST04552	DROME02887, DROME17696
OG0002076	YEAST02206	DROME15179, DROME15178
OG0002078	YEAST06232	DROME10262, DROME10261, DROME10264, DROME10263, DROME10265
OG0002079	YEAST05765, YEAST00483	DROME05628
OG0002080	YEAST05220, YEAST04736	DROME04483, DROME04484, DROME04485
OG0002087	YEAST05702	DROME20417, DROME20418
OG0002090	YEAST02246	DROME21229
OG0002093	YEAST02255	DROME10388
OG0002097	YEAST02697	DROME08772, DROME08771
OG0002101	YEAST03902	DROME06706, DROME06705, DROME16968
OG0002103	YEAST05974	DROME11171, DROME20108
OG0002106	YEAST03654	DROME18977
OG0002108	YEAST03715	DROME07243, DROME07242
OG0002123	YEAST02444, YEAST03709	DROME20895, DROME02760
OG0002125	YEAST05183	DROME20833, DROME20832, DROME20829, DROME20830, DROME20831, DROME20834, DROME20835
OG0002131	YEAST04275	DROME03421, DROME03420
OG0002137	YEAST04320	DROME20125, DROME03541
OG0002138	YEAST02406	DROME17634, DROME10530, DROME10529
OG0002144	YEAST02673	DROME15087, DROME15088, DROME15089
OG0002146	YEAST04333, YEAST00109, YEAST03088, YEAST04454	DROME20089
OG0002147	YEAST04532, YEAST01219	DROME18735, DROME18736
OG0002148	YEAST02060	DROME16614, DROME20422
OG0002152	YEAST05624	DROME10626
OG0002156	YEAST03007	DROME12292
OG0002160	YEAST03960	DROME12795
OG0002168	YEAST00516	DROME20356, DROME07753
OG0002169	YEAST02258	DROME16101
OG0002175	YEAST04956	DROME15015
OG0002184	YEAST00242	DROME09706, DROME09707
OG0002185	YEAST05212	DROME03508, DROME03506
OG0002188	YEAST04638, YEAST03913	DROME16936
OG0002189	YEAST02882, YEAST04447	DROME00632
OG0002213	YEAST01241, YEAST05495	DROME03210
OG0002217	YEAST06033	DROME12049, DROME12050, DROME12047, DROME12048, DROME12051, DROME12045, DROME07473, DROME14498, DROME00688, DROME00689
OG0002222	YEAST03240	DROME06941
OG0002224	YEAST01574	DROME11780, DROME11781, DROME11779, DROME08782, DROME08783, DROME08784
OG0002225	YEAST04939	DROME17292, DROME17293, DROME17294
OG0002226	YEAST00948	DROME09270
OG0002228	YEAST04154, YEAST05632	DROME20233, DROME09088
OG0002233	YEAST00277	DROME20355, DROME20354, DROME14932, DROME14933
OG0002239	YEAST01621	DROME02338, DROME02339
OG0002241	YEAST02005	DROME11351, DROME20942, DROME20943, DROME14683, DROME14677
OG0002243	YEAST04599, YEAST03601, YEAST04600	DROME12880, DROME12875, DROME12879, DROME12878, DROME12873, DROME12874, DROME12877, DROME12876, DROME17551
OG0002244	YEAST02768	DROME13379, DROME13383, DROME13382, DROME13384, DROME13380, DROME13381
OG0002252	YEAST00826	DROME12224
OG0002261	YEAST00472	DROME02617
OG0002264	YEAST01705	DROME18761
OG0002279	YEAST05800	DROME12023
OG0002282	YEAST00881	DROME01013, DROME01014
OG0002288	YEAST01591, YEAST05154	DROME04961, DROME04960
OG0002292	YEAST00152	DROME14281
OG0002292	YEAST03411	DROME13181
OG0002312	YEAST06295	DROME13329, DROME13331, DROME13332, DROME13330
OG0002316	YEAST01805	DROME15000, DROME15001
OG0002318	YEAST02923	DROME10081, DROME10080
OG0002319	YEAST00329	DROME00109
OG0002321	YEAST02461	DROME20195
OG0002324	YEAST02615, YEAST06287	DROME12479
OG0002326	YEAST00310, YEAST02699	DROME14169, DROME14168, DROME14170
OG0002327	YEAST00346, YEAST06217	DROME11958, DROME13738, DROME13737
OG0002331	YEAST01653	DROME02521, DROME02520, DROME02522, DROME02523
OG0002332	YEAST01606, YEAST05184, YEAST00285	DROME03257, DROME03259, DROME03258
OG0002341	YEAST03640, YEAST04562	DROME16633, DROME16634
OG0002344	YEAST02312, YEAST02019	DROME12813, DROME12814, DROME12816, DROME12815
OG0002346	YEAST02012	DROME12738, DROME12737, DROME12739, DROME12741, DROME12740
OG0002348	YEAST01845	DROME20530, DROME21704
OG0002355	YEAST00016	DROME17701, DROME17700, DROME20376, DROME21160
OG0002356	YEAST00259	DROME14202
OG0002361	YEAST01027	DROME02804
OG0002367	YEAST01179	DROME14269
OG0002369	YEAST03766	DROME09488, DROME09483, DROME09484, DROME09482, DROME09487, DROME09485, DROME09481, DROME09486
OG0002374	YEAST02010, YEAST00133	DROME00409, DROME19078, DROME19077, DROME10047
OG0002377	YEAST05000	DROME14764, DROME14765
OG0002385	YEAST03974	DROME18327, DROME18325, DROME18326
OG0002406	YEAST05509	DROME12854, DROME12851, DROME12852, DROME12850, DROME12853
OG0002407	YEAST00012	DROME16545, DROME16665, DROME16666, DROME16663, DROME16664
OG0002409	YEAST02027	DROME01803
OG0002412	YEAST06171	DROME02298
OG0002413	YEAST01196	DROME03087, DROME15635, DROME15636
OG0002415	YEAST01271	DROME06652
OG0002421	YEAST02982	DROME07380, DROME07379, DROME10621
OG0002422	YEAST05026	DROME15666
OG0002426	YEAST00184	DROME02031
OG0002441	YEAST00068, YEAST02278, YEAST05821	DROME14577
OG0002442	YEAST05932	DROME02127, DROME14431
OG0002443	YEAST04906	DROME01526
OG0002446	YEAST04254	DROME15360
OG0002448	YEAST00626, YEAST03419	DROME11052, DROME11051, DROME14484
OG0002450	YEAST04575	DROME13933, DROME13932
OG0002453	YEAST00512	DROME02946, DROME02947
OG0002476	YEAST05799	DROME01629
OG0002486	YEAST01433	DROME10604
OG0002492	YEAST01624	DROME17673, DROME17672
OG0002494	YEAST02402	DROME09533, DROME09534
OG0002495	YEAST02772	DROME03178
OG0002497	YEAST02747	DROME10964
OG0002500	YEAST05648	DROME05840, DROME04346
OG0002505	YEAST02959	DROME03960
OG0002510	YEAST04753	DROME02221
OG0002516	YEAST00066	DROME01623, DROME01624, DROME01622
OG0002518	YEAST02890	DROME16270, DROME16271, DROME16272, DROME12646, DROME11188
OG0002520	YEAST05256	DROME14751
OG0002523	YEAST06234	DROME12003, DROME12568, DROME20728, DROME20729
OG0002527	YEAST01639	DROME00451
OG0002528	YEAST00372	DROME12310, DROME12311, DROME12309
OG0002530	YEAST05530, YEAST03790	DROME00625, DROME00624
OG0002532	YEAST03235	DROME10137
OG0002533	YEAST04525	DROME06429, DROME06430
OG0002543	YEAST00527	DROME13135
OG0002557	YEAST06243	DROME07954, DROME03130, DROME05213
OG0002562	YEAST03992	DROME18710, DROME18708, DROME18711, DROME18709, DROME17497
OG0002564	YEAST02186	DROME10075, DROME10076, DROME10073, DROME10074, DROME03643
OG0002565	YEAST04224, YEAST02499	DROME16956, DROME16958, DROME16957
OG0002570	YEAST00592	DROME02309, DROME02312
OG0002574	YEAST05657	DROME17413, DROME17412, DROME17411
OG0002594	YEAST06174	DROME19850, DROME19851, DROME19853, DROME19852
OG0002598	YEAST04621, YEAST03577	DROME11558
OG0002605	YEAST06332	DROME07537, DROME07538, DROME07535, DROME07536
OG0002608	YEAST03716, YEAST02846	DROME15925, DROME15928, DROME15929, DROME15926, DROME15924, DROME15927, DROME15922, DROME15923
OG0002609	YEAST01355	DROME00392
OG0002610	YEAST01078, YEAST03973	DROME20526, DROME20527
OG0002612	YEAST03508	DROME17875
OG0002617	YEAST00866	DROME09377
OG0002618	YEAST06247	DROME00175
OG0002630	YEAST05202	DROME02325
OG0002632	YEAST02755	DROME19136
OG0002633	YEAST04206	DROME02613
OG0002636	YEAST01664, YEAST06215	DROME03989
OG0002638	YEAST00919	DROME02557, DROME20446, DROME20445
OG0002643	YEAST01938	DROME13189
OG0002644	YEAST00724	DROME18263, DROME18261, DROME18260, DROME18262
OG0002645	YEAST01436	DROME20914, DROME20911, DROME20916, DROME20917, DROME20912, DROME20915, DROME20913
OG0002646	YEAST01946	DROME02015, DROME02017, DROME02013, DROME02016, DROME02012, DROME02014
OG0002651	YEAST02868	DROME16668, DROME16669
OG0002652	YEAST04937	DROME09763, DROME09760, DROME09759, DROME09758, DROME09762, DROME09761
OG0002656	YEAST05701	DROME08799, DROME08800
OG0002659	YEAST06290	DROME08718
OG0002666	YEAST02507	DROME12244
OG0002668	YEAST02324	DROME12758, DROME12754, DROME12757, DROME12759, DROME12756, DROME12755
OG0002677	YEAST05210	DROME00471, DROME00470
OG0002681	YEAST04585	DROME20482, DROME09726
OG0002683	YEAST03676	DROME18274, DROME18275
OG0002715	YEAST01174, YEAST04131	DROME03868
OG0002717	YEAST02430	DROME13040
OG0002718	YEAST03380, YEAST03502	DROME02454, DROME02455
OG0002720	YEAST01914	DROME20862, DROME20861
OG0002722	YEAST04059	DROME16722
OG0002726	YEAST02958	DROME00393, DROME00394
OG0002729	YEAST01155	DROME14219
OG0002739	YEAST01877	DROME11838
OG0002740	YEAST01658	DROME04703
OG0002742	YEAST03713	DROME12202, DROME12204, DROME12203
OG0002743	YEAST01824, YEAST03362	DROME02953, DROME02954
OG0002745	YEAST04244	DROME14711, DROME04487, DROME04488, DROME15945
OG0002746	YEAST04902, YEAST05332	DROME16661, DROME21181
OG0002747	YEAST05617	DROME11308, DROME19315, DROME13062
OG0002749	YEAST02810	DROME05439, DROME08834, DROME08494, DROME08495
OG0002750	YEAST04952	DROME07760, DROME07759
OG0002752	YEAST03686	DROME09099, DROME09098, DROME09096, DROME09097, DROME09101, DROME09100
OG0002753	YEAST03742	DROME11184
OG0002754	YEAST03620	DROME16293
OG0002758	YEAST04409	DROME08710
OG0002760	YEAST01927	DROME11244, DROME07304
OG0002761	YEAST03261	DROME11909
OG0002763	YEAST00260	DROME13568, DROME13567
OG0002764	YEAST00423	DROME00298, DROME00297, DROME00296
OG0002765	YEAST01667, YEAST05523	DROME12796
OG0002766	YEAST05357	DROME13857
OG0002767	YEAST04591	DROME05447
OG0002771	YEAST02043	DROME01521, DROME07621
OG0002772	YEAST03384	DROME18154
OG0002773	YEAST03677	DROME00793, DROME00794, DROME00257, DROME00258
OG0002781	YEAST05450	DROME04079, DROME04080, DROME04081
OG0002782	YEAST02121	DROME16136
OG0002785	YEAST06106, YEAST01228	DROME00137, DROME05688
OG0002788	YEAST02578, YEAST01232	DROME12013, DROME01698
OG0002793	YEAST01371	DROME18578
OG0002799	YEAST01461	DROME08812, DROME08811, DROME08813, DROME08815, DROME08814
OG0002817	YEAST01189, YEAST04922	DROME03807
OG0002824	YEAST02137	DROME05371, DROME05370, DROME05372
OG0002826	YEAST00174	DROME12304
OG0002827	YEAST05976	DROME04425
OG0002828	YEAST00227, YEAST00963	DROME07466, DROME07465, DROME07464, DROME06484, DROME06483, DROME06485
OG0002831	YEAST03282	DROME21764, DROME21763
OG0002835	YEAST02656	DROME04546
OG0002837	YEAST01987, YEAST00157	DROME16455
OG0002839	YEAST03148	DROME20539, DROME20540
OG0002843	YEAST04737	DROME05626
OG0002844	YEAST05563	DROME01327, DROME00485
OG0002847	YEAST02294	DROME12859, DROME12860
OG0002851	YEAST04951	DROME07485, DROME07488, DROME07486, DROME07487
OG0002855	YEAST00137	DROME15007
OG0002860	YEAST02712	DROME21067
OG0002866	YEAST01136	DROME08853
OG0002876	YEAST02348	DROME02491
OG0002877	YEAST04537	DROME16795
OG0002883	YEAST03027	DROME19983, DROME19982
OG0002891	YEAST03205	DROME12152
OG0002893	YEAST03653	DROME14268
OG0002894	YEAST00906	DROME07096, DROME07097
OG0002895	YEAST01471, YEAST05353, YEAST05456	DROME16391, DROME16390
OG0002897	YEAST06308	DROME08372
OG0002899	YEAST00283	DROME09113
OG0002900	YEAST05306	DROME06374
OG0002907	YEAST02061	DROME00536, DROME00537, DROME00535
OG0002910	YEAST00223	DROME07768
OG0002915	YEAST02264	DROME05142, DROME05144, DROME05146, DROME05143, DROME05145, DROME05147
OG0002917	YEAST03703	DROME13023, DROME13021, DROME13019, DROME13018, DROME13015, DROME13020, DROME13017, DROME13022, DROME13016
OG0002921	YEAST06254	DROME20904, DROME20903
OG0002922	YEAST01261	DROME13161
OG0002947	YEAST00232	DROME17107
OG0002948	YEAST03584	DROME05969, DROME05968, DROME05967, DROME05966
OG0002949	YEAST00419, YEAST06063	DROME10410, DROME10411
OG0002952	YEAST05257	DROME10856, DROME10855, DROME10853, DROME10854
OG0002953	YEAST03034	DROME06983, DROME06984
OG0002957	YEAST03253	DROME15903, DROME15902
OG0002960	YEAST05502	DROME08289, DROME07308, DROME20297, DROME20296, DROME20294, DROME20295, DROME20293
OG0002965	YEAST03804	DROME12643, DROME12645, DROME12642, DROME12644
OG0002966	YEAST06059	DROME20414, DROME20412, DROME20411, DROME20415, DROME20410, DROME20413
OG0002968	YEAST00199	DROME10921, DROME05214
OG0002969	YEAST00655	DROME04084, DROME04085
OG0002982	YEAST02471	DROME07294, DROME07292, DROME07295, DROME07293
OG0002984	YEAST01144	DROME11997
OG0002985	YEAST02147	DROME08067, DROME08066, DROME08064, DROME08065, DROME08063, DROME10078
OG0002987	YEAST02970, YEAST00081, YEAST02488	DROME13970, DROME13977
OG0002991	YEAST03345, YEAST01842	DROME05520, DROME05522, DROME05521
OG0002997	YEAST02374	DROME02903
OG0003001	YEAST01497	DROME12222
OG0003004	YEAST02183	DROME09624, DROME09625, DROME12361, DROME12362, DROME10708
OG0003006	YEAST00899	DROME00129
OG0003010	YEAST03035	DROME09942, DROME21676, DROME21680, DROME21679, DROME21678, DROME21677
