Orthogroup	YEAST	BRAFL
OG0000934	YEAST02582, YEAST06252	bflo_04490
OG0000935	YEAST02843	bflo_19247
OG0000943	YEAST03805	bflo_07247, bflo_25977, bflo_25404, bflo_07474, bflo_08111, bflo_08110, bflo_20510
OG0000944	YEAST04878	bflo_14426
OG0000954	YEAST05503, YEAST01249	bflo_13257, bflo_23747
OG0000955	YEAST00837	bflo_25651
OG0000955	YEAST04295	bflo_14322
OG0000963	YEAST03685, YEAST00482, YEAST01749	bflo_07262, bflo_03565
OG0000964	YEAST04606	bflo_06342, bflo_19118, bflo_10230, bflo_06035, bflo_06039
OG0000965	YEAST02552	bflo_08576, bflo_07554
OG0000965	YEAST02050	bflo_13018
OG0000967	YEAST05075	bflo_04354, bflo_07239
OG0000970	YEAST04028	bflo_27343, bflo_20779, bflo_12814, bflo_20773
OG0000982	YEAST01182	bflo_07681
OG0000984	YEAST01493, YEAST00575	bflo_06233, bflo_15006, bflo_15679
OG0000986	YEAST01481, YEAST04073	bflo_21122, bflo_07321
OG0000987	YEAST04734, YEAST02734	bflo_02033
OG0000994	YEAST02360	bflo_01641, bflo_10212
OG0000996	YEAST00033	bflo_21978
OG0001001	YEAST00341	bflo_27374, bflo_21303
OG0001003	YEAST00644	bflo_20878
OG0001006	YEAST04513	bflo_04350, bflo_22313
OG0001016	YEAST00830	bflo_19435, bflo_00910
OG0001018	YEAST02803, YEAST05933	bflo_13308
OG0001018	YEAST01172	bflo_17983, bflo_02467, bflo_02601, bflo_13307, bflo_24232, bflo_23920
OG0001024	YEAST01024, YEAST00308	bflo_04903
OG0001033	YEAST02124	bflo_20841
OG0001064	YEAST00458	bflo_16843, bflo_27227, bflo_17908, bflo_17446, bflo_17801, bflo_10560, bflo_10566
OG0001066	YEAST06311	bflo_07352, bflo_18100
OG0001075	YEAST05636	bflo_01789
OG0001076	YEAST01570	bflo_14398
OG0001081	YEAST04460	bflo_15729, bflo_03684
OG0001082	YEAST03919, YEAST02905, YEAST05331	bflo_19096, bflo_00917
OG0001094	YEAST03837	bflo_14443, bflo_08753, bflo_09562, bflo_24273, bflo_24271, bflo_24569, bflo_25669, bflo_26150, bflo_10325
OG0001095	YEAST00773	bflo_26605, bflo_00827, bflo_26602
OG0001096	YEAST01384	bflo_20939, bflo_07578, bflo_24946, bflo_25111
OG0001101	YEAST04701	bflo_12035
OG0001108	YEAST06309	bflo_00378, bflo_22556, bflo_20433
OG0001111	YEAST06003	bflo_13059, bflo_21070, bflo_22350
OG0001113	YEAST05320	bflo_14797
OG0001113	YEAST00954	bflo_26422
OG0001114	YEAST00036, YEAST05811	bflo_04550
OG0001124	YEAST02719	bflo_23639, bflo_10476
OG0001132	YEAST05421	bflo_06192
OG0001133	YEAST04296	bflo_17034
OG0001133	YEAST03271	bflo_25491
OG0001134	YEAST05015	bflo_22790
OG0001135	YEAST03641	bflo_14080
OG0001136	YEAST05047, YEAST02997	bflo_06069
OG0001140	YEAST03519	bflo_06370
OG0001142	YEAST04001	bflo_01437
OG0001163	YEAST02433	bflo_06913, bflo_07427
OG0001164	YEAST03454	bflo_21084
OG0001171	YEAST04620, YEAST03578	bflo_05953
OG0001175	YEAST00534	bflo_00560, bflo_02898
OG0001177	YEAST06137	bflo_20551, bflo_01608
OG0001179	YEAST00368, YEAST04831, YEAST02287	bflo_18406, bflo_13368, bflo_13513
OG0001181	YEAST02051	bflo_18914
OG0001184	YEAST01681	bflo_15772, bflo_09793
OG0001185	YEAST04969	bflo_06562
OG0001186	YEAST04605, YEAST01886	bflo_12657, bflo_12919
OG0001191	YEAST04707	bflo_04561, bflo_10001
OG0001192	YEAST01898	bflo_11973, bflo_24276, bflo_09020, bflo_09001, bflo_08999, bflo_08998, bflo_09000, bflo_08997, bflo_09011, bflo_09002, bflo_09013, bflo_09014, bflo_11670, bflo_23492, bflo_23499, bflo_12100, bflo_11977, bflo_01066, bflo_11591, bflo_00034, bflo_11976, bflo_11974, bflo_02044, bflo_11975, bflo_11970, bflo_16582, bflo_24806, bflo_21883
OG0001197	YEAST01499	bflo_24451
OG0001201	YEAST05452	bflo_12759
OG0001204	YEAST05200	bflo_20309, bflo_20315
OG0001207	YEAST04258	bflo_21743, bflo_02422
OG0001210	YEAST05511	bflo_07894
OG0001210	YEAST02318	bflo_24464, bflo_04429
OG0001212	YEAST03971	bflo_15260
OG0001214	YEAST00577	bflo_11103
OG0001216	YEAST00145	bflo_24683, bflo_13216
OG0001219	YEAST03867	bflo_01008
OG0001236	YEAST03325, YEAST02687, YEAST03269	bflo_24082
OG0001237	YEAST04380	bflo_08453, bflo_07801
OG0001238	YEAST04481	bflo_06313, bflo_26480
OG0001241	YEAST02002	bflo_06240
OG0001241	YEAST03967, YEAST01074	bflo_21597
OG0001243	YEAST00739, YEAST05004	bflo_08723
OG0001249	YEAST01062, YEAST02067	bflo_25407, bflo_25542
OG0001250	YEAST02968, YEAST01339	bflo_23893
OG0001251	YEAST01707	bflo_13478
OG0001253	YEAST03998	bflo_11668, bflo_06734
OG0001254	YEAST04309	bflo_16683
OG0001262	YEAST00911	bflo_15864
OG0001263	YEAST00172	bflo_07084, bflo_10303
OG0001268	YEAST03495	bflo_06467, bflo_11029
OG0001270	YEAST01703	bflo_23365
OG0001270	YEAST02398	bflo_22891
OG0001271	YEAST05227, YEAST00662	bflo_11260, bflo_18970
OG0001278	YEAST01893	bflo_02941, bflo_01205
OG0001279	YEAST03070	bflo_08526
OG0001280	YEAST00846	bflo_05584
OG0001282	YEAST03744	bflo_26722, bflo_03069
OG0001284	YEAST00567, YEAST01498	bflo_19270, bflo_06254
OG0001286	YEAST00588, YEAST01486, YEAST03604	bflo_10170, bflo_26942
OG0001291	YEAST04453, YEAST04334	bflo_08573
OG0001300	YEAST01098	bflo_05339, bflo_05337, bflo_26790, bflo_20405
OG0001302	YEAST02328	bflo_25165
OG0001302	YEAST00299	bflo_08709
OG0001310	YEAST00887	bflo_20260, bflo_17144
OG0001318	YEAST03712	bflo_03324, bflo_04124
OG0001319	YEAST01678	bflo_21304
OG0001321	YEAST02280, YEAST01901	bflo_08721
OG0001322	YEAST06128	bflo_09889, bflo_23924
OG0001324	YEAST00078	bflo_02826
OG0001325	YEAST00793	bflo_13293
OG0001326	YEAST05395	bflo_09218
OG0001327	YEAST03176	bflo_01466, bflo_11384
OG0001332	YEAST03929, YEAST02705, YEAST00687	bflo_06611, bflo_06610, bflo_25803, bflo_25758
OG0001333	YEAST00728	bflo_09852
OG0001341	YEAST06006	bflo_11107
OG0001345	YEAST03613	bflo_12246, bflo_12252, bflo_11238, bflo_11249, bflo_10218, bflo_13505, bflo_09618, bflo_09615, bflo_12953, bflo_12952
OG0001353	YEAST00020, YEAST04041	bflo_16481, bflo_05764
OG0001363	YEAST06180	bflo_16521, bflo_16519
OG0001364	YEAST06038, YEAST00402	bflo_24323
OG0001367	YEAST04688	bflo_16121
OG0001368	YEAST01821	bflo_01730, bflo_01015, bflo_20314
OG0001370	YEAST04067, YEAST05195, YEAST00897	bflo_05809, bflo_18847
OG0001371	YEAST00532, YEAST03976	bflo_23286, bflo_22936, bflo_22937, bflo_22938
OG0001372	YEAST00070	bflo_25830
OG0001372	YEAST02226	bflo_13574
OG0001375	YEAST05499, YEAST05567	bflo_05780, bflo_25517
OG0001378	YEAST02300	bflo_08974
OG0001379	YEAST04155	bflo_05155, bflo_21724
OG0001386	YEAST05114	bflo_02159
OG0001397	YEAST05731	bflo_10128, bflo_09338
OG0001400	YEAST02931	bflo_02687
OG0001409	YEAST00885, YEAST04659	bflo_11307
OG0001410	YEAST05046	bflo_14262, bflo_13741
OG0001411	YEAST04834	bflo_14652
OG0001412	YEAST04490	bflo_09295, bflo_00729
OG0001413	YEAST04294	bflo_20564, bflo_06589
OG0001414	YEAST06070, YEAST01920	bflo_22712, bflo_10760, bflo_10406
OG0001415	YEAST04230	bflo_14008, bflo_20533
OG0001415	YEAST00964	bflo_21227
OG0001421	YEAST05252	bflo_21002
OG0001422	YEAST05588, YEAST01363	bflo_00253
OG0001424	YEAST01127	bflo_06976, bflo_05512, bflo_06259, bflo_05513, bflo_05510, bflo_05506
OG0001427	YEAST01885	bflo_04082, bflo_04073
OG0001428	YEAST04862, YEAST05862, YEAST02749, YEAST03037	bflo_24663
OG0001430	YEAST01712	bflo_10599
OG0001434	YEAST03991	bflo_03898
OG0001437	YEAST01264, YEAST02900	bflo_11365, bflo_13730, bflo_13248
OG0001445	YEAST01715	bflo_08938
OG0001449	YEAST03188	bflo_06102
OG0001452	YEAST05900	bflo_05982
OG0001454	YEAST01495, YEAST00573	bflo_14303
OG0001456	YEAST00365	bflo_05447, bflo_02658, bflo_03856
OG0001459	YEAST03073, YEAST03464	bflo_09086
OG0001461	YEAST05255	bflo_11066, bflo_10892, bflo_11178, bflo_19369, bflo_21910
OG0001468	YEAST03875, YEAST03904	bflo_02942
OG0001469	YEAST02070	bflo_09303
OG0001469	YEAST02765	bflo_14078
OG0001470	YEAST00369, YEAST05375	bflo_21111, bflo_07140
OG0001472	YEAST03031	bflo_19444, bflo_09223
OG0001473	YEAST05711	bflo_13907, bflo_23419, bflo_23420
OG0001474	YEAST01416, YEAST05312	bflo_19387, bflo_23794
OG0001478	YEAST01984	bflo_13944
OG0001478	YEAST02078	bflo_23859
OG0001479	YEAST01132	bflo_16721
OG0001503	YEAST03032	bflo_06788
OG0001503	YEAST02920	bflo_23876
OG0001504	YEAST05406	bflo_12663, bflo_20928, bflo_13456
OG0001505	YEAST03361	bflo_09444, bflo_09445, bflo_09632, bflo_14121, bflo_24098
OG0001508	YEAST04143	bflo_10335
OG0001515	YEAST03320	bflo_24482
OG0001520	YEAST03872	bflo_01540
OG0001524	YEAST03912	bflo_09720, bflo_13114
OG0001525	YEAST00757	bflo_20724
OG0001527	YEAST01395	bflo_21123, bflo_12778
OG0001529	YEAST01143	bflo_18691
OG0001530	YEAST00643	bflo_08670
OG0001546	YEAST03111	bflo_21713
OG0001550	YEAST02405, YEAST05953	bflo_00591, bflo_20670, bflo_20647, bflo_25532
OG0001551	YEAST04817	bflo_11722, bflo_27019
OG0001553	YEAST05147, YEAST01586	bflo_07695
OG0001557	YEAST04671	bflo_10504
OG0001557	YEAST04551	bflo_11078
OG0001558	YEAST04449	bflo_05037
OG0001559	YEAST00445, YEAST02434	bflo_07493, bflo_13140
OG0001561	YEAST06176	bflo_11585
OG0001564	YEAST05390	bflo_21764
OG0001570	YEAST04678	bflo_25416, bflo_13444
OG0001573	YEAST03285	bflo_26307
OG0001578	YEAST01872	bflo_09036
OG0001580	YEAST06270	bflo_12800
OG0001590	YEAST03476, YEAST00717, YEAST03955	bflo_17658, bflo_06753, bflo_25342, bflo_06809
OG0001594	YEAST03418	bflo_17592, bflo_12242, bflo_17591
OG0001597	YEAST01702	bflo_19431
OG0001603	YEAST02584	bflo_15819
OG0001604	YEAST01428	bflo_23568, bflo_20603
OG0001605	YEAST04101	bflo_13484, bflo_14059
OG0001609	YEAST02739	bflo_21761, bflo_10966
OG0001610	YEAST00596, YEAST02062	bflo_01194
OG0001612	YEAST01109	bflo_17732
OG0001628	YEAST04790	bflo_24987, bflo_07205
OG0001653	YEAST01151	bflo_25718
OG0001655	YEAST03354	bflo_15013
OG0001657	YEAST00101, YEAST00944	bflo_20602
OG0001663	YEAST05642	bflo_11604
OG0001676	YEAST02848	bflo_08180
OG0001676	YEAST06155	bflo_08246
OG0001679	YEAST05302, YEAST02334, YEAST02449, YEAST01523	bflo_10339
OG0001680	YEAST01119, YEAST04022	bflo_13497
OG0001685	YEAST01147	bflo_14264
OG0001687	YEAST05279	bflo_21798, bflo_21375, bflo_21796, bflo_21373
OG0001691	YEAST01315	bflo_19887
OG0001704	YEAST01293	bflo_15432, bflo_14401, bflo_14402, bflo_14619
OG0001706	YEAST03424	bflo_20030
OG0001707	YEAST06049, YEAST00407, YEAST04739	bflo_01901, bflo_01997, bflo_01998
OG0001708	YEAST05744, YEAST05745	bflo_23305, bflo_19700, bflo_03419
OG0001709	YEAST04440	bflo_25854, bflo_14697
OG0001713	YEAST04039	bflo_24618, bflo_01714
OG0001718	YEAST01537	bflo_16668
OG0001721	YEAST04881, YEAST05253, YEAST00698	bflo_17395
OG0001723	YEAST01435	bflo_22206
OG0001727	YEAST04543	bflo_24508
OG0001728	YEAST03347	bflo_06838
OG0001730	YEAST00177	bflo_09904
OG0001739	YEAST03760	bflo_09231
OG0001745	YEAST01431	bflo_08851, bflo_23814, bflo_06373
OG0001750	YEAST03628	bflo_19223
OG0001754	YEAST03682	bflo_17742
OG0001755	YEAST05131	bflo_01568
OG0001756	YEAST00620	bflo_08900, bflo_07604
OG0001769	YEAST04726	bflo_07667, bflo_19246
OG0001770	YEAST02590	bflo_14858
OG0001774	YEAST05166	bflo_09728, bflo_11693, bflo_12263
OG0001775	YEAST05594	bflo_06692
OG0001780	YEAST03768	bflo_20503, bflo_18701
OG0001781	YEAST01882	bflo_18622, bflo_16431
OG0001782	YEAST02421	bflo_05868, bflo_07274
OG0001785	YEAST02713	bflo_03664
OG0001787	YEAST03546	bflo_17783
OG0001792	YEAST04331	bflo_17375
OG0001792	YEAST04595	bflo_06166
OG0001793	YEAST02466	bflo_00631, bflo_02034
OG0001805	YEAST05496, YEAST01242	bflo_10340
OG0001807	YEAST05464	bflo_05428, bflo_05429, bflo_09269, bflo_02527
OG0001808	YEAST01298	bflo_26290
OG0001818	YEAST05902, YEAST04712	bflo_13837, bflo_20690
OG0001822	YEAST04378, YEAST01659	bflo_12611
OG0001826	YEAST04777, YEAST01697, YEAST05781	bflo_21842
OG0001828	YEAST04676	bflo_18689
OG0001829	YEAST01613, YEAST00136, YEAST02008	bflo_24896
OG0001831	YEAST00024	bflo_22941
OG0001832	YEAST05376	bflo_11401, bflo_07490
OG0001842	YEAST00524	bflo_12366, bflo_12367, bflo_11791, bflo_11792, bflo_12363, bflo_12362, bflo_12492, bflo_11938, bflo_11939, bflo_18048, bflo_17943, bflo_09060
OG0001846	YEAST05067	bflo_05774
OG0001850	YEAST01913	bflo_13727
OG0001852	YEAST03121	bflo_05001, bflo_15363
OG0001853	YEAST05176	bflo_00293, bflo_06716, bflo_13461, bflo_13232
OG0001857	YEAST04741	bflo_02847
OG0001860	YEAST00188	bflo_09180
OG0001861	YEAST05779, YEAST04773	bflo_09384, bflo_09386, bflo_09200
OG0001863	YEAST03017	bflo_07582, bflo_25890
OG0001866	YEAST05095, YEAST05570	bflo_17287
OG0001867	YEAST01669	bflo_23811
OG0001873	YEAST00981, YEAST00267	bflo_05374, bflo_11044
OG0001875	YEAST04137	bflo_00268, bflo_08517
OG0001877	YEAST04134	bflo_00391
OG0001886	YEAST03260	bflo_15916
OG0001888	YEAST05749, YEAST01573	bflo_25627
OG0001893	YEAST01023	bflo_15985
OG0001894	YEAST00433	bflo_09288
OG0001899	YEAST01210, YEAST04466	bflo_07751
OG0001903	YEAST06020	bflo_18870
OG0001913	YEAST05520	bflo_09229
OG0001915	YEAST04791	bflo_17895
OG0001917	YEAST01859	bflo_25567
OG0001923	YEAST05881	bflo_25894
OG0001926	YEAST02948	bflo_26209
OG0001932	YEAST03770, YEAST03179	bflo_21308
OG0001934	YEAST00877	bflo_23095
OG0001935	YEAST00431	bflo_01494, bflo_22557
OG0001938	YEAST03931	bflo_09795
OG0001940	YEAST04188, YEAST05646	bflo_20907
OG0001943	YEAST02393, YEAST05966	bflo_10186
OG0001945	YEAST01671	bflo_18022
OG0001947	YEAST02570	bflo_11420
OG0001951	YEAST00941, YEAST05396	bflo_00274
OG0001952	YEAST04673, YEAST01990, YEAST00155	bflo_06372, bflo_17534
OG0001965	YEAST04582	bflo_23145
OG0001968	YEAST04910	bflo_10774, bflo_16081
OG0001969	YEAST06173	bflo_00277
OG0001972	YEAST01822, YEAST03363	bflo_24069
OG0001985	YEAST04959	bflo_20379
OG0001992	YEAST02679	bflo_11647
OG0001998	YEAST00890	bflo_20085
OG0002001	YEAST00502, YEAST03944	bflo_00306, bflo_00287
OG0002003	YEAST02826, YEAST03671	bflo_23282
OG0002008	YEAST00768	bflo_07691
OG0002010	YEAST00609	bflo_23377
OG0002013	YEAST03040	bflo_12622, bflo_17120, bflo_00734, bflo_03858, bflo_00561, bflo_00614
OG0002014	YEAST02422	bflo_10880
OG0002015	YEAST05525	bflo_23014
OG0002025	YEAST03650	bflo_23452
OG0002026	YEAST01247	bflo_14327
OG0002029	YEAST02646	bflo_17549
OG0002031	YEAST02752	bflo_00323
OG0002032	YEAST01221	bflo_06420
OG0002042	YEAST02880	bflo_07574, bflo_19730, bflo_07576, bflo_08137
OG0002043	YEAST04003	bflo_06461
OG0002059	YEAST05893, YEAST04718	bflo_15701
OG0002062	YEAST05454	bflo_08319
OG0002063	YEAST00838	bflo_03409, bflo_08057
OG0002067	YEAST03444	bflo_23122
OG0002069	YEAST05962	bflo_01048
OG0002073	YEAST04552	bflo_05725
OG0002076	YEAST02206	bflo_00828
OG0002079	YEAST05765, YEAST00483	bflo_15094
OG0002080	YEAST05220, YEAST04736	bflo_04014, bflo_04015
OG0002084	YEAST04529	bflo_09360, bflo_09358, bflo_09359
OG0002087	YEAST05702	bflo_16653
OG0002090	YEAST02246	bflo_02699, bflo_17839, bflo_23553
OG0002093	YEAST02255	bflo_09224, bflo_09209
OG0002097	YEAST02697	bflo_21773
OG0002101	YEAST03902	bflo_25619
OG0002103	YEAST05974	bflo_22111, bflo_17829
OG0002106	YEAST03654	bflo_05638, bflo_15862, bflo_22740, bflo_13807, bflo_22931, bflo_17019
OG0002108	YEAST03715	bflo_06308
OG0002123	YEAST02444	bflo_04954
OG0002123	YEAST03709	bflo_09202
OG0002125	YEAST05183	bflo_23929, bflo_20182, bflo_10052
OG0002131	YEAST04275	bflo_06125
OG0002137	YEAST04320	bflo_06584, bflo_24891, bflo_24894
OG0002138	YEAST02406	bflo_10523
OG0002144	YEAST02673	bflo_20180
OG0002146	YEAST04333, YEAST00109, YEAST03088, YEAST04454	bflo_11049
OG0002147	YEAST04532, YEAST01219	bflo_24379
OG0002148	YEAST02060	bflo_14196
OG0002152	YEAST05624	bflo_06723
OG0002156	YEAST03007	bflo_15422
OG0002160	YEAST03960	bflo_22999
OG0002165	YEAST04504	bflo_13721, bflo_13797, bflo_13728
OG0002168	YEAST00516	bflo_01491, bflo_26230
OG0002169	YEAST02258	bflo_10054
OG0002175	YEAST04956	bflo_11846
OG0002184	YEAST00242	bflo_25708, bflo_27502
OG0002185	YEAST05212	bflo_12889
OG0002188	YEAST04638, YEAST03913	bflo_24734
OG0002189	YEAST02882, YEAST04447	bflo_02190, bflo_25738
OG0002213	YEAST01241, YEAST05495	bflo_08585, bflo_22691
OG0002216	YEAST06040	bflo_18862
OG0002217	YEAST06033	bflo_16001
OG0002222	YEAST03240	bflo_24361
OG0002224	YEAST01574	bflo_07288
OG0002225	YEAST04939	bflo_09171
OG0002226	YEAST00948	bflo_25646
OG0002228	YEAST04154, YEAST05632	bflo_13849, bflo_23702
OG0002233	YEAST00277	bflo_14649, bflo_11361, bflo_14273, bflo_14272, bflo_03863
OG0002239	YEAST01621	bflo_06586
OG0002241	YEAST02005	bflo_20706
OG0002243	YEAST04599, YEAST03601, YEAST04600	bflo_08149
OG0002244	YEAST02768	bflo_15224
OG0002252	YEAST00826	bflo_22997
OG0002261	YEAST00472	bflo_23458
OG0002264	YEAST01705	bflo_17703
OG0002279	YEAST05800	bflo_22353
OG0002282	YEAST00881	bflo_15825
OG0002288	YEAST01591, YEAST05154	bflo_07962
OG0002297	YEAST01217	bflo_19555, bflo_07421, bflo_19556, bflo_18716, bflo_25916, bflo_25367, bflo_26405, bflo_26046
OG0002312	YEAST06295	bflo_10393
OG0002316	YEAST01805	bflo_27221, bflo_17667, bflo_20730
OG0002318	YEAST02923	bflo_15753, bflo_04573, bflo_07141
OG0002319	YEAST00329	bflo_21275
OG0002321	YEAST02461	bflo_09188
OG0002324	YEAST02615, YEAST06287	bflo_11385, bflo_16549, bflo_19395
OG0002326	YEAST00310, YEAST02699	bflo_12510
OG0002327	YEAST00346, YEAST06217	bflo_11578
OG0002331	YEAST01653	bflo_13938
OG0002332	YEAST01606, YEAST05184, YEAST00285	bflo_26840, bflo_06982
OG0002341	YEAST02397	bflo_27129
OG0002341	YEAST03640, YEAST04562	bflo_14641, bflo_21521
OG0002344	YEAST02312, YEAST02019	bflo_05342
OG0002346	YEAST02012	bflo_03740
OG0002348	YEAST01845	bflo_14911
OG0002355	YEAST00016	bflo_14385
OG0002356	YEAST00259	bflo_10383
OG0002361	YEAST01027	bflo_23630, bflo_04272, bflo_17174
OG0002367	YEAST01179	bflo_25184, bflo_06197
OG0002369	YEAST03766	bflo_17338
OG0002374	YEAST02010, YEAST00133	bflo_12674
OG0002377	YEAST05000	bflo_08189
OG0002385	YEAST03974	bflo_04371
OG0002406	YEAST05509	bflo_24870
OG0002407	YEAST00012	bflo_06998
OG0002409	YEAST02027	bflo_11396
OG0002411	YEAST05950, YEAST02407	bflo_08287
OG0002412	YEAST06171	bflo_21931, bflo_17586
OG0002413	YEAST01196	bflo_25614, bflo_00931
OG0002415	YEAST01271	bflo_02439, bflo_07511
OG0002421	YEAST02982	bflo_06231, bflo_12659
OG0002422	YEAST05026	bflo_17604
OG0002426	YEAST00184	bflo_22946
OG0002441	YEAST00068, YEAST02278, YEAST05821	bflo_18128
OG0002442	YEAST05932	bflo_12847
OG0002443	YEAST04906	bflo_12045
OG0002446	YEAST04254	bflo_23291
OG0002448	YEAST00626	bflo_07090
OG0002450	YEAST04575	bflo_03594
OG0002453	YEAST00512	bflo_12392
OG0002476	YEAST05799	bflo_16460, bflo_12860
OG0002486	YEAST01433	bflo_02598
OG0002492	YEAST01624	bflo_21795
OG0002494	YEAST02402	bflo_13228
OG0002495	YEAST02772	bflo_02452
OG0002497	YEAST02747	bflo_07342
OG0002500	YEAST05648	bflo_20308, bflo_03076, bflo_03356, bflo_03357
OG0002505	YEAST02959	bflo_19738, bflo_19740, bflo_19741, bflo_18505, bflo_19739
OG0002510	YEAST04753	bflo_21793
OG0002516	YEAST00066	bflo_09647
OG0002518	YEAST02890	bflo_24581
OG0002520	YEAST05256	bflo_07063
OG0002523	YEAST06234	bflo_03694
OG0002527	YEAST01639	bflo_15960
OG0002528	YEAST00372	bflo_10783
OG0002530	YEAST05530, YEAST03790	bflo_06442
OG0002532	YEAST03235	bflo_23293
OG0002533	YEAST04525	bflo_20865
OG0002543	YEAST00527	bflo_20301
OG0002557	YEAST06243	bflo_14058
OG0002561	YEAST04438, YEAST02106	bflo_23744, bflo_23953, bflo_05234
OG0002562	YEAST03992	bflo_25771
OG0002564	YEAST02186	bflo_22944
OG0002565	YEAST04224, YEAST02499	bflo_10050, bflo_03463, bflo_03428
OG0002570	YEAST00592	bflo_12783, bflo_05242
OG0002594	YEAST06174	bflo_12802
OG0002598	YEAST04621, YEAST03577	bflo_25193
OG0002605	YEAST06332	bflo_25240
OG0002608	YEAST03716, YEAST02846	bflo_08895
OG0002609	YEAST01355	bflo_02437
OG0002610	YEAST01078, YEAST03973	bflo_12575
OG0002612	YEAST03508	bflo_11272
OG0002617	YEAST00866	bflo_15506
OG0002618	YEAST06247	bflo_23718
OG0002621	YEAST05551	bflo_06768
OG0002629	YEAST05919	bflo_00304, bflo_16223
OG0002632	YEAST02755	bflo_06193
OG0002633	YEAST04206	bflo_19216
OG0002636	YEAST01664, YEAST06215	bflo_23328
OG0002638	YEAST00919, YEAST04703	bflo_05077
OG0002643	YEAST01938	bflo_14725
OG0002644	YEAST00724	bflo_14285
OG0002645	YEAST01436	bflo_12036
OG0002646	YEAST01946	bflo_03490
OG0002651	YEAST02868	bflo_15103
OG0002652	YEAST04937	bflo_13789
OG0002656	YEAST05701	bflo_18782
OG0002659	YEAST06290	bflo_01178, bflo_10421
OG0002666	YEAST02507	bflo_23259, bflo_23089, bflo_23310
OG0002668	YEAST02324	bflo_12729
OG0002677	YEAST05210	bflo_23067
OG0002681	YEAST04585	bflo_16596
OG0002683	YEAST03676	bflo_18447, bflo_25654
OG0002705	YEAST00553	bflo_20563
OG0002713	YEAST00413, YEAST06057	bflo_21837, bflo_21840, bflo_21838
OG0002715	YEAST01174, YEAST04131	bflo_05173, bflo_10995
OG0002717	YEAST02430	bflo_10829
OG0002718	YEAST03380, YEAST03502	bflo_24551
OG0002720	YEAST01914	bflo_13227, bflo_09843
OG0002726	YEAST02958	bflo_07500
OG0002729	YEAST01155	bflo_15106
OG0002737	YEAST02827	bflo_07243, bflo_14762
OG0002739	YEAST01877	bflo_14092
OG0002740	YEAST01658	bflo_06004
OG0002742	YEAST03713	bflo_08107
OG0002743	YEAST01824, YEAST03362	bflo_02901, bflo_19089, bflo_19090
OG0002745	YEAST04244	bflo_18797
OG0002746	YEAST04902, YEAST05332	bflo_13125
OG0002747	YEAST05617	bflo_16801, bflo_15949
OG0002749	YEAST02810	bflo_06000
OG0002750	YEAST04952	bflo_09572
OG0002752	YEAST03686	bflo_14176
OG0002753	YEAST03742	bflo_11820
OG0002754	YEAST03620	bflo_25157
OG0002756	YEAST04058	bflo_11674, bflo_27015, bflo_20777
OG0002758	YEAST04409	bflo_23311
OG0002760	YEAST01927	bflo_11137
OG0002761	YEAST03261	bflo_26340, bflo_11129
OG0002763	YEAST00260	bflo_18799
OG0002764	YEAST00423	bflo_24413
OG0002765	YEAST01667, YEAST05523	bflo_12629
OG0002766	YEAST05357	bflo_19451, bflo_07699
OG0002767	YEAST04591	bflo_14969
OG0002771	YEAST02043	bflo_11925
OG0002772	YEAST03384	bflo_25744
OG0002773	YEAST03677	bflo_22561, bflo_22594
OG0002774	YEAST03575	bflo_03686
OG0002775	YEAST03021	bflo_17204, bflo_05686
OG0002781	YEAST05450	bflo_19213
OG0002782	YEAST02121	bflo_14421
OG0002785	YEAST06106, YEAST01228	bflo_26328
OG0002788	YEAST02578, YEAST01232	bflo_03434
OG0002789	YEAST05269	bflo_14158
OG0002793	YEAST01371	bflo_08304
OG0002799	YEAST01461	bflo_20975
OG0002817	YEAST01189, YEAST04922	bflo_19433
OG0002824	YEAST02137	bflo_00260
OG0002826	YEAST00174	bflo_10373
OG0002827	YEAST05976	bflo_17660
OG0002828	YEAST00227, YEAST00963	bflo_13605, bflo_26191
OG0002831	YEAST03282	bflo_03754, bflo_04623
OG0002835	YEAST02656	bflo_01169
OG0002837	YEAST01987, YEAST00157	bflo_14396
OG0002839	YEAST03148	bflo_02442
OG0002843	YEAST04737	bflo_20383
OG0002844	YEAST05563	bflo_05002
OG0002847	YEAST02294	bflo_20604
OG0002851	YEAST04951	bflo_17584
OG0002855	YEAST00137	bflo_17685
OG0002860	YEAST02712	bflo_23715
OG0002866	YEAST01136	bflo_03313
OG0002876	YEAST02348	bflo_04355
OG0002877	YEAST04537	bflo_00643
OG0002883	YEAST03027	bflo_07979, bflo_07556
OG0002893	YEAST03653	bflo_22235, bflo_22577, bflo_02586, bflo_11659
OG0002894	YEAST00906	bflo_18873
OG0002895	YEAST01471, YEAST05353, YEAST05456	bflo_12378
OG0002897	YEAST06308	bflo_00347
OG0002899	YEAST00283	bflo_24003
OG0002907	YEAST02061	bflo_25401
OG0002910	YEAST00223	bflo_04018, bflo_04040, bflo_04045
OG0002915	YEAST02264	bflo_19480, bflo_13226
OG0002917	YEAST03703	bflo_21482
OG0002920	YEAST04043, YEAST04055	bflo_27441, bflo_27484, bflo_27529, bflo_00066, bflo_26769
OG0002921	YEAST06254	bflo_20845
OG0002922	YEAST01261	bflo_10302
OG0002947	YEAST00232	bflo_08384
OG0002948	YEAST03584	bflo_24612
OG0002949	YEAST00419, YEAST06063	bflo_22993
OG0002952	YEAST05257	bflo_14626
