Orthogroup	YEAST	XENTR
OG0001191	YEAST04707	XENTR02213, XENTR13144, XENTR08963
OG0001197	YEAST01499	XENTR14109, XENTR02293, XENTR07184
OG0001201	YEAST05452	XENTR05955, XENTR17812, XENTR17811
OG0001204	YEAST05200	XENTR01197, XENTR13340
OG0001207	YEAST04258	XENTR10602, XENTR06956, XENTR16548
OG0001210	YEAST05511	XENTR12983
OG0001210	YEAST02318	XENTR09378
OG0001212	YEAST03971	XENTR16369, XENTR16368, XENTR17241, XENTR17240
OG0001214	YEAST00577	XENTR02921
OG0001216	YEAST00145	XENTR13109, XENTR05946
OG0001219	YEAST03867	XENTR03647, XENTR18228, XENTR12113
OG0001236	YEAST03325, YEAST02687, YEAST03269	XENTR16068
OG0001237	YEAST04380	XENTR03125, XENTR11439, XENTR05845
OG0001238	YEAST04481	XENTR08981, XENTR12621, XENTR06928, XENTR03786
OG0001241	YEAST02002	XENTR12971
OG0001241	YEAST03967, YEAST01074	XENTR07087, XENTR02055
OG0001243	YEAST00739, YEAST05004	XENTR17516, XENTR17517
OG0001249	YEAST01062, YEAST02067	XENTR10238, XENTR10239, XENTR04710, XENTR00318
OG0001250	YEAST02968, YEAST01339	XENTR10529, XENTR04777, XENTR07316
OG0001251	YEAST01707	XENTR03730, XENTR12411
OG0001253	YEAST03998	XENTR01323, XENTR07953, XENTR11293, XENTR01322, XENTR02523
OG0001254	YEAST04309	XENTR03435, XENTR01471
OG0001262	YEAST00911	XENTR06170, XENTR06171, XENTR19017, XENTR15533
OG0001263	YEAST00172	XENTR06868
OG0001268	YEAST03495	XENTR08282, XENTR18855
OG0001270	YEAST01703	XENTR01782
OG0001270	YEAST02398	XENTR12521, XENTR12522
OG0001271	YEAST05227, YEAST00662	XENTR17754, XENTR02751, XENTR07226
OG0001278	YEAST01893	XENTR09813
OG0001279	YEAST03070	XENTR11976, XENTR14916
OG0001280	YEAST00846	XENTR13872, XENTR04350, XENTR07156
OG0001282	YEAST03744	XENTR16436, XENTR00274
OG0001284	YEAST00567, YEAST01498	XENTR15697, XENTR01467, XENTR01466
OG0001286	YEAST00588, YEAST01486, YEAST03604	XENTR12060, XENTR12687
OG0001291	YEAST04453, YEAST04334	XENTR02209, XENTR05578, XENTR07580, XENTR07579
OG0001300	YEAST01098	XENTR09380, XENTR15087, XENTR13396
OG0001302	YEAST02328	XENTR00019
OG0001302	YEAST00299	XENTR05127, XENTR05128
OG0001310	YEAST00887	XENTR02393, XENTR15418
OG0001318	YEAST03712	XENTR10187, XENTR00640
OG0001319	YEAST01678	XENTR15508, XENTR00669, XENTR10926, XENTR09062, XENTR16542
OG0001321	YEAST02280, YEAST01901	XENTR12156, XENTR11250, XENTR11532, XENTR11534
OG0001322	YEAST06128	XENTR10160, XENTR16770, XENTR07426
OG0001324	YEAST00078	XENTR08414
OG0001325	YEAST00793	XENTR05586, XENTR05589, XENTR05579, XENTR05585, XENTR05588, XENTR08671, XENTR05587, XENTR05590, XENTR05591, XENTR05592
OG0001326	YEAST05395	XENTR09549, XENTR01917, XENTR01916, XENTR08643, XENTR11848
OG0001327	YEAST03176	XENTR10101, XENTR14547
OG0001332	YEAST03929, YEAST02705, YEAST00687	XENTR11574, XENTR14153, XENTR14152
OG0001333	YEAST00728	XENTR01835
OG0001341	YEAST06006	XENTR17450
OG0001345	YEAST03613	XENTR02832
OG0001353	YEAST00020, YEAST04041	XENTR09948, XENTR09957, XENTR02518
OG0001363	YEAST06180	XENTR09917, XENTR06150
OG0001364	YEAST06038, YEAST00402	XENTR17966, XENTR03257
OG0001367	YEAST04688	XENTR02449, XENTR12179, XENTR12890
OG0001368	YEAST01821	XENTR09946, XENTR11688
OG0001370	YEAST04067, YEAST05195, YEAST00897	XENTR01446, XENTR09409
OG0001371	YEAST00532, YEAST03976	XENTR09788
OG0001372	YEAST00070	XENTR17215
OG0001375	YEAST05499, YEAST05567	XENTR05015, XENTR07997, XENTR12997
OG0001378	YEAST02300	XENTR01985, XENTR01998, XENTR11085, XENTR12484
OG0001379	YEAST04155	XENTR05934, XENTR18078, XENTR18079, XENTR06099, XENTR06100
OG0001386	YEAST05114	XENTR17191, XENTR01734
OG0001397	YEAST05731	XENTR17141, XENTR17665, XENTR11843
OG0001400	YEAST02931	XENTR07182, XENTR03349, XENTR03348
OG0001409	YEAST00885, YEAST04659	XENTR08239, XENTR15156
OG0001410	YEAST05046	XENTR04211, XENTR11331, XENTR08205
OG0001411	YEAST04834	XENTR05513
OG0001412	YEAST04490	XENTR01134
OG0001413	YEAST04294	XENTR10327, XENTR01450
OG0001414	YEAST06070, YEAST01920	XENTR16760, XENTR03396
OG0001415	YEAST04230	XENTR00799
OG0001421	YEAST05252	XENTR02091, XENTR11642, XENTR10761, XENTR11862
OG0001422	YEAST05588, YEAST01363	XENTR07180, XENTR03319
OG0001424	YEAST01127	XENTR09472, XENTR01101
OG0001427	YEAST01885	XENTR19013, XENTR12966
OG0001428	YEAST04862, YEAST05862, YEAST02749, YEAST03037	XENTR08058
OG0001430	YEAST01712	XENTR11865, XENTR09506, XENTR03841, XENTR12647
OG0001434	YEAST03991	XENTR14258, XENTR14256, XENTR14257, XENTR14255
OG0001437	YEAST01264, YEAST02900	XENTR07683, XENTR08203
OG0001445	YEAST01715	XENTR00603, XENTR11995
OG0001449	YEAST03188	XENTR18530
OG0001449	YEAST05764	XENTR17594
OG0001452	YEAST05900	XENTR05846, XENTR01476, XENTR12152
OG0001454	YEAST01495, YEAST00573	XENTR01618, XENTR01050
OG0001456	YEAST00365	XENTR09379
OG0001459	YEAST03073, YEAST03464	XENTR19263, XENTR05668
OG0001461	YEAST05255	XENTR05990
OG0001468	YEAST03875, YEAST03904	XENTR04167, XENTR10607, XENTR03785
OG0001469	YEAST02070	XENTR01908
OG0001469	YEAST02765	XENTR01260
OG0001470	YEAST00369, YEAST05375	XENTR08880, XENTR08883
OG0001472	YEAST03031	XENTR12389, XENTR13330
OG0001473	YEAST05711	XENTR16670, XENTR04818, XENTR04817
OG0001474	YEAST01416, YEAST05312	XENTR18010, XENTR01827
OG0001478	YEAST01984	XENTR14390
OG0001479	YEAST01132	XENTR01295, XENTR15874, XENTR09664
OG0001503	YEAST03032	XENTR14751
OG0001503	YEAST02920	XENTR05638
OG0001504	YEAST05406	XENTR02517
OG0001505	YEAST03361	XENTR00271
OG0001508	YEAST04143	XENTR15984, XENTR15983, XENTR11480, XENTR11479
OG0001515	YEAST03320	XENTR04041, XENTR04537
OG0001520	YEAST03872	XENTR12857, XENTR05173
OG0001524	YEAST03912	XENTR09548, XENTR00484
OG0001525	YEAST00757	XENTR12515, XENTR12514
OG0001527	YEAST01395	XENTR01509, XENTR15735
OG0001529	YEAST01143	XENTR02811, XENTR02810, XENTR08383
OG0001530	YEAST00643	XENTR13543, XENTR10562
OG0001546	YEAST03111	XENTR02403, XENTR05092
OG0001550	YEAST02405, YEAST05953	XENTR12624, XENTR05520
OG0001551	YEAST04817	XENTR05545, XENTR05547
OG0001553	YEAST05147, YEAST01586	XENTR02229, XENTR09430, XENTR09742
OG0001557	YEAST04671	XENTR11819
OG0001558	YEAST04449	XENTR16416, XENTR06488
OG0001559	YEAST00445, YEAST02434	XENTR13444, XENTR09039, XENTR06623
OG0001561	YEAST06176	XENTR16133, XENTR07954, XENTR01341
OG0001564	YEAST05390	XENTR03255, XENTR05932
OG0001570	YEAST04678	XENTR05431
OG0001573	YEAST03285	XENTR03987, XENTR08694
OG0001578	YEAST01872	XENTR01969, XENTR09544
OG0001580	YEAST06270	XENTR13327, XENTR07267
OG0001590	YEAST03476, YEAST00717, YEAST03955	XENTR10428
OG0001594	YEAST03418	XENTR11402
OG0001597	YEAST01702	XENTR05372, XENTR10161
OG0001603	YEAST02584	XENTR15113, XENTR12927
OG0001604	YEAST01428	XENTR11091, XENTR13341
OG0001605	YEAST04101	XENTR04606
OG0001609	YEAST02739	XENTR06189, XENTR11285
OG0001610	YEAST00596, YEAST02062	XENTR16107, XENTR10867, XENTR00221
OG0001612	YEAST01109	XENTR12835, XENTR11391
OG0001628	YEAST04790	XENTR01654
OG0001653	YEAST01151	XENTR11019
OG0001655	YEAST03354	XENTR03302, XENTR02328, XENTR08790, XENTR08791
OG0001657	YEAST00101, YEAST00944	XENTR00532, XENTR17851
OG0001663	YEAST05642	XENTR04832, XENTR16289, XENTR18540, XENTR18541
OG0001676	YEAST02848	XENTR08921
OG0001676	YEAST06155	XENTR08096
OG0001680	YEAST01119, YEAST04022	XENTR01655, XENTR07200, XENTR11670, XENTR09484, XENTR09485, XENTR11671
OG0001685	YEAST01147	XENTR03486, XENTR03485
OG0001687	YEAST05279	XENTR07300
OG0001691	YEAST01315	XENTR19286, XENTR00789, XENTR14685
OG0001704	YEAST01293	XENTR03806, XENTR03805
OG0001706	YEAST03424	XENTR05262, XENTR06974, XENTR05263
OG0001707	YEAST06049, YEAST00407, YEAST04739	XENTR18222, XENTR18221, XENTR18924, XENTR04513
OG0001709	YEAST04440	XENTR06407, XENTR13040, XENTR18243, XENTR18244, XENTR13039, XENTR06408
OG0001713	YEAST04039	XENTR06081
OG0001718	YEAST01537	XENTR03869
OG0001721	YEAST04881, YEAST05253, YEAST00698	XENTR13555, XENTR07868, XENTR08455
OG0001723	YEAST01435	XENTR11325, XENTR02045, XENTR09068
OG0001727	YEAST04543	XENTR02406, XENTR00200, XENTR00201
OG0001728	YEAST03347	XENTR08116, XENTR00572
OG0001730	YEAST00177	XENTR00053, XENTR16791
OG0001739	YEAST03760	XENTR13668, XENTR18284
OG0001745	YEAST01431	XENTR12852, XENTR09624
OG0001750	YEAST03628	XENTR13062, XENTR03762, XENTR06525
OG0001754	YEAST03682	XENTR11387, XENTR08474, XENTR05086
OG0001755	YEAST05131	XENTR02652
OG0001756	YEAST00620	XENTR08856, XENTR02230
OG0001769	YEAST04726	XENTR12819, XENTR13309
OG0001770	YEAST02590	XENTR05192, XENTR05256, XENTR09738, XENTR01019
OG0001774	YEAST05166	XENTR17983, XENTR10461
OG0001775	YEAST05594	XENTR08314, XENTR15724
OG0001780	YEAST03768	XENTR00800, XENTR12607
OG0001781	YEAST01882	XENTR01701, XENTR12943
OG0001782	YEAST02421	XENTR03438, XENTR07561
OG0001785	YEAST02713	XENTR09347
OG0001787	YEAST03546	XENTR16345, XENTR10666, XENTR10665, XENTR13689
OG0001792	YEAST04331	XENTR07735
OG0001792	YEAST04595	XENTR11934, XENTR11933
OG0001793	YEAST02466	XENTR16015, XENTR10072
OG0001805	YEAST05496, YEAST01242	XENTR07066, XENTR17499
OG0001807	YEAST05464	XENTR12261
OG0001808	YEAST01298	XENTR15385, XENTR00368
OG0001818	YEAST05902, YEAST04712	XENTR08496, XENTR08495, XENTR08497, XENTR16571
OG0001822	YEAST04378, YEAST01659	XENTR17740, XENTR13294, XENTR10879
OG0001826	YEAST04777, YEAST01697, YEAST05781	XENTR08576, XENTR11916
OG0001828	YEAST04676	XENTR16952
OG0001829	YEAST01613, YEAST00136, YEAST02008	XENTR00483, XENTR14302
OG0001831	YEAST00024	XENTR18275, XENTR17969
OG0001832	YEAST05376	XENTR16823, XENTR01410
OG0001846	YEAST05067	XENTR18639, XENTR07601
OG0001850	YEAST01913	XENTR05476, XENTR03640
OG0001852	YEAST03121	XENTR14319, XENTR08373
OG0001857	YEAST04741	XENTR18087, XENTR13066
OG0001860	YEAST00188	XENTR18593, XENTR07653, XENTR05422
OG0001861	YEAST05779, YEAST04773	XENTR07625, XENTR05532
OG0001863	YEAST03017	XENTR01885
OG0001866	YEAST05095, YEAST05570	XENTR00166, XENTR11409
OG0001867	YEAST01669	XENTR18858, XENTR18859, XENTR00928, XENTR18201
OG0001873	YEAST00981, YEAST00267	XENTR11870
OG0001875	YEAST04137	XENTR05396, XENTR05593
OG0001877	YEAST04134	XENTR12095, XENTR17619, XENTR15404
OG0001886	YEAST03260	XENTR06797, XENTR15392
OG0001888	YEAST05749, YEAST01573	XENTR17512, XENTR15191
OG0001893	YEAST01023	XENTR15523
OG0001894	YEAST00433	XENTR15449, XENTR08653
OG0001899	YEAST01210, YEAST04466	XENTR14578, XENTR09469
OG0001903	YEAST06020	XENTR07494
OG0001913	YEAST05520	XENTR06742, XENTR01451
OG0001915	YEAST04791	XENTR06298
OG0001917	YEAST01859	XENTR00340, XENTR11451, XENTR14754, XENTR10651
OG0001923	YEAST05881	XENTR13216, XENTR11935
OG0001926	YEAST02948	XENTR00430
OG0001932	YEAST03770, YEAST03179	XENTR09901, XENTR15132
OG0001934	YEAST00877	XENTR12704, XENTR05609
OG0001935	YEAST00431	XENTR00153, XENTR08647
OG0001938	YEAST03931	XENTR04478
OG0001940	YEAST04188, YEAST05646	XENTR14019
OG0001943	YEAST02393, YEAST05966	XENTR10899, XENTR02451
OG0001945	YEAST01671	XENTR03955, XENTR07870
OG0001947	YEAST02570	XENTR07021, XENTR02357
OG0001951	YEAST00941, YEAST05396	XENTR07227, XENTR16258
OG0001952	YEAST04673, YEAST01990, YEAST00155	XENTR09389
OG0001965	YEAST04582	XENTR17416
OG0001968	YEAST04910	XENTR14913, XENTR16410
OG0001969	YEAST06173	XENTR08255, XENTR15375
OG0001972	YEAST01822, YEAST03363	XENTR12033
OG0001985	YEAST04959	XENTR06332, XENTR03530
OG0001992	YEAST02679	XENTR05527, XENTR15316
OG0001998	YEAST00890	XENTR16338, XENTR14682
OG0002001	YEAST00502, YEAST03944	XENTR12894, XENTR07328
OG0002003	YEAST02826, YEAST03671	XENTR14361, XENTR02394
OG0002008	YEAST00768	XENTR08143, XENTR06727
OG0002010	YEAST00609	XENTR15176, XENTR05624, XENTR07385
OG0002013	YEAST03040	XENTR16536
OG0002014	YEAST02422	XENTR02871, XENTR11303
OG0002015	YEAST05525	XENTR07357, XENTR03893
OG0002025	YEAST03650	XENTR01824
OG0002026	YEAST01247	XENTR08832
OG0002029	YEAST02646	XENTR18899
OG0002031	YEAST02752	XENTR15929, XENTR15928, XENTR08011
OG0002032	YEAST01221	XENTR02603
OG0002043	YEAST04003	XENTR04074, XENTR04633
OG0002059	YEAST05893, YEAST04718	XENTR06499, XENTR04009, XENTR04010
OG0002062	YEAST05454	XENTR10057, XENTR05037
OG0002063	YEAST00838	XENTR17982, XENTR00538
OG0002067	YEAST03444	XENTR11063
OG0002069	YEAST05962	XENTR13071, XENTR02513, XENTR02512, XENTR13070
OG0002073	YEAST04552	XENTR13381, XENTR08969, XENTR17145, XENTR07900
OG0002076	YEAST02206	XENTR05229, XENTR17066
OG0002078	YEAST06232	XENTR16673, XENTR07358
OG0002079	YEAST05765, YEAST00483	XENTR13830, XENTR00665
OG0002080	YEAST05220, YEAST04736	XENTR01136, XENTR01135, XENTR13342
OG0002084	YEAST04529	XENTR12442, XENTR12443, XENTR11320
OG0002087	YEAST05702	XENTR06831
OG0002090	YEAST02246	XENTR15595
OG0002093	YEAST02255	XENTR02553
OG0002097	YEAST02697	XENTR04416, XENTR03687
OG0002101	YEAST03902	XENTR04299
OG0002103	YEAST05974	XENTR15401, XENTR15782
OG0002106	YEAST03654	XENTR03305, XENTR11760
OG0002108	YEAST03715	XENTR13048, XENTR07710
OG0002123	YEAST03709	XENTR12869, XENTR04632
OG0002125	YEAST05183	XENTR18863, XENTR01325
OG0002131	YEAST04275	XENTR05730, XENTR05731, XENTR18308, XENTR17313
OG0002137	YEAST04320	XENTR04141, XENTR04140, XENTR03111
OG0002138	YEAST02406	XENTR08958
OG0002144	YEAST02673	XENTR18301, XENTR10292
OG0002146	YEAST04333, YEAST00109, YEAST03088, YEAST04454	XENTR12879, XENTR02800
OG0002147	YEAST04532, YEAST01219	XENTR15274, XENTR00295
OG0002148	YEAST02060	XENTR13087, XENTR09100
OG0002152	YEAST05624	XENTR06605
OG0002156	YEAST03007	XENTR04891
OG0002160	YEAST03960	XENTR18209
OG0002165	YEAST04504	XENTR12790
OG0002168	YEAST00516	XENTR05025, XENTR15448
OG0002169	YEAST02258	XENTR11319, XENTR12444
OG0002175	YEAST04956	XENTR06785, XENTR15142
OG0002184	YEAST00242	XENTR05819, XENTR11457
OG0002185	YEAST05212	XENTR06645, XENTR00451
OG0002188	YEAST04638, YEAST03913	XENTR01062
OG0002189	YEAST02882, YEAST04447	XENTR00331
OG0002213	YEAST01241, YEAST05495	XENTR02106
OG0002216	YEAST06040	XENTR02859
OG0002217	YEAST06033	XENTR09078
OG0002222	YEAST03240	XENTR03278
OG0002224	YEAST01574	XENTR04276, XENTR01944
OG0002225	YEAST04939	XENTR14771
OG0002226	YEAST00948	XENTR06512, XENTR03995
OG0002228	YEAST04154, YEAST05632	XENTR07401, XENTR11182
OG0002233	YEAST00277	XENTR09065
OG0002239	YEAST03509	XENTR17177
OG0002239	YEAST01621	XENTR09309, XENTR17015
OG0002241	YEAST02005	XENTR15534, XENTR00886
OG0002243	YEAST04599, YEAST03601, YEAST04600	XENTR03644, XENTR06468
OG0002244	YEAST02768	XENTR05927
OG0002252	YEAST00826	XENTR07010, XENTR09805, XENTR07309
OG0002261	YEAST00472	XENTR12712, XENTR18200, XENTR12711
OG0002264	YEAST01705	XENTR11031, XENTR12994
OG0002279	YEAST05800	XENTR17502, XENTR08016
OG0002282	YEAST00881	XENTR06507, XENTR15597, XENTR15596
OG0002288	YEAST01591, YEAST05154	XENTR12739, XENTR07532
OG0002292	YEAST00152	XENTR10569
OG0002297	YEAST01217	XENTR00024, XENTR00025, XENTR00023
OG0002312	YEAST06295	XENTR02000, XENTR06437, XENTR06436
OG0002316	YEAST01805	XENTR13680, XENTR13681, XENTR04956
OG0002318	YEAST02923	XENTR14796
OG0002319	YEAST00329	XENTR02334, XENTR00284
OG0002321	YEAST02461	XENTR17990
OG0002324	YEAST02615, YEAST06287	XENTR11808
OG0002326	YEAST00310, YEAST02699	XENTR11657, XENTR05110
OG0002327	YEAST00346, YEAST06217	XENTR06367, XENTR18257
OG0002331	YEAST01653	XENTR02956, XENTR08347
OG0002332	YEAST01606, YEAST05184, YEAST00285	XENTR04333, XENTR06466
OG0002341	YEAST03640, YEAST04562	XENTR17261, XENTR17262
OG0002344	YEAST02312, YEAST02019	XENTR01511, XENTR10309
OG0002346	YEAST02012	XENTR16322
OG0002348	YEAST01845	XENTR03865
OG0002355	YEAST00016	XENTR01023, XENTR01621
OG0002356	YEAST00259	XENTR11801, XENTR14127
OG0002361	YEAST01027	XENTR00595, XENTR12105
OG0002367	YEAST01179	XENTR04656, XENTR04737
OG0002369	YEAST03766	XENTR08498
OG0002374	YEAST02010, YEAST00133	XENTR17796, XENTR09958
OG0002377	YEAST05000	XENTR08904, XENTR03045
OG0002385	YEAST03974	XENTR04767, XENTR01823, XENTR04768, XENTR07386
OG0002406	YEAST05509	XENTR13694, XENTR16471
OG0002407	YEAST00012	XENTR16253, XENTR18256
OG0002409	YEAST02027	XENTR17207, XENTR00759, XENTR02804
OG0002411	YEAST05950, YEAST02407	XENTR10283, XENTR09696
OG0002412	YEAST06171	XENTR12811
OG0002413	YEAST01196	XENTR12213
OG0002415	YEAST01271	XENTR18259
OG0002421	YEAST02982	XENTR11863
OG0002422	YEAST05026	XENTR12603
OG0002426	YEAST00184	XENTR00967, XENTR05682, XENTR04791
OG0002441	YEAST00068, YEAST02278, YEAST05821	XENTR05912, XENTR09399
OG0002442	YEAST05932	XENTR16535, XENTR16802
OG0002443	YEAST04906	XENTR00383
OG0002446	YEAST04254	XENTR04769
OG0002450	YEAST04575	XENTR19093, XENTR14079
OG0002453	YEAST00512	XENTR10071
OG0002476	YEAST05799	XENTR00493
OG0002486	YEAST01433	XENTR12613
OG0002492	YEAST01624	XENTR09648
OG0002494	YEAST02402	XENTR02970, XENTR04622
OG0002495	YEAST02772	XENTR01127
OG0002497	YEAST02747	XENTR12266, XENTR01749
OG0002500	YEAST05648	XENTR19041, XENTR19042
OG0002505	YEAST02959	XENTR00934
OG0002510	YEAST04753	XENTR13486
OG0002516	YEAST00066	XENTR02644, XENTR10617
OG0002518	YEAST02890	XENTR16754, XENTR16755
OG0002520	YEAST05256	XENTR16161, XENTR11725
OG0002523	YEAST06234	XENTR18468, XENTR15973, XENTR15750
OG0002527	YEAST01639	XENTR09927, XENTR16099
OG0002528	YEAST00372	XENTR13773
OG0002530	YEAST05530, YEAST03790	XENTR00564, XENTR12121
OG0002532	YEAST03235	XENTR07408, XENTR07406, XENTR07407
OG0002533	YEAST04525	XENTR06540, XENTR01165
OG0002543	YEAST00527	XENTR00842
OG0002557	YEAST06243	XENTR15925, XENTR17200, XENTR15926
OG0002561	YEAST04438, YEAST02106	XENTR10163
OG0002562	YEAST03992	XENTR04290, XENTR11943
OG0002564	YEAST02186	XENTR18727
OG0002565	YEAST04224, YEAST02499	XENTR13021
OG0002570	YEAST00592	XENTR02508
OG0002574	YEAST05657	XENTR11279
OG0002594	YEAST06174	XENTR03750, XENTR15912, XENTR15914, XENTR15913
OG0002598	YEAST04621, YEAST03577	XENTR00361, XENTR00360, XENTR06999
OG0002605	YEAST06332	XENTR04671
OG0002608	YEAST03716, YEAST02846	XENTR13670
OG0002609	YEAST01355	XENTR06747, XENTR08636, XENTR08635
OG0002610	YEAST01078, YEAST03973	XENTR00520, XENTR17304
OG0002612	YEAST03508	XENTR11127
OG0002617	YEAST00866	XENTR07545, XENTR07546
OG0002618	YEAST06247	XENTR10256, XENTR00130
OG0002621	YEAST05551	XENTR11785
OG0002629	YEAST05919	XENTR01328
OG0002632	YEAST02755	XENTR12124, XENTR17685
OG0002633	YEAST04206	XENTR04116, XENTR10955
OG0002636	YEAST01664, YEAST06215	XENTR11187, XENTR11186
OG0002643	YEAST01938	XENTR01733
OG0002644	YEAST00724	XENTR03973, XENTR14388
OG0002645	YEAST01436	XENTR13167
OG0002646	YEAST01946	XENTR16009
OG0002651	YEAST02247, YEAST02868	XENTR07624
OG0002652	YEAST04937	XENTR03749, XENTR10217
OG0002656	YEAST05701	XENTR16931
OG0002659	YEAST06290	XENTR05178
OG0002666	YEAST02507	XENTR12989
OG0002668	YEAST02324	XENTR05961, XENTR10409
OG0002677	YEAST05210	XENTR09797
OG0002681	YEAST04585	XENTR13339, XENTR18267
OG0002683	YEAST03676	XENTR00051, XENTR11456, XENTR00050
OG0002705	YEAST00553	XENTR15379, XENTR04743
OG0002713	YEAST00413, YEAST06057	XENTR14279
OG0002715	YEAST01174, YEAST04131	XENTR06007
OG0002717	YEAST02430	XENTR07538, XENTR14170
OG0002718	YEAST03380, YEAST03502	XENTR12920, XENTR12921, XENTR14481
OG0002720	YEAST01914	XENTR02479
OG0002722	YEAST04059	XENTR03855
OG0002726	YEAST02958	XENTR04881, XENTR07286
OG0002729	YEAST01155	XENTR10582
OG0002739	YEAST01877	XENTR05504
OG0002740	YEAST01658	XENTR12910, XENTR11462
OG0002742	YEAST03713	XENTR06700, XENTR14219
OG0002743	YEAST01824, YEAST03362	XENTR03347, XENTR05375
OG0002745	YEAST04244	XENTR09799, XENTR09800
OG0002746	YEAST04902, YEAST05332	XENTR12491
OG0002747	YEAST05617	XENTR15530, XENTR12004
OG0002749	YEAST02810	XENTR10274
OG0002750	YEAST04952	XENTR13044, XENTR13045
OG0002752	YEAST03686	XENTR04386
OG0002753	YEAST03742	XENTR11296, XENTR02867
OG0002754	YEAST03620	XENTR03983
OG0002756	YEAST04058	XENTR02781
OG0002758	YEAST04409	XENTR04566, XENTR03532
OG0002760	YEAST01927	XENTR00378
OG0002761	YEAST03261	XENTR17764, XENTR17624
OG0002763	YEAST00260	XENTR10839
OG0002764	YEAST00423	XENTR15483
OG0002765	YEAST01667, YEAST05523	XENTR17842, XENTR00480
OG0002766	YEAST05357	XENTR08503
OG0002767	YEAST04591	XENTR04364, XENTR04365, XENTR03484
OG0002771	YEAST02043	XENTR00192, XENTR03850
OG0002772	YEAST03384	XENTR11948, XENTR11949
OG0002773	YEAST03677	XENTR12292, XENTR12291
OG0002774	YEAST03575	XENTR11548, XENTR10278, XENTR18198
OG0002775	YEAST03021	XENTR10960, XENTR10961
OG0002781	YEAST05450	XENTR16799, XENTR05234
OG0002782	YEAST02121	XENTR00623
OG0002785	YEAST06106, YEAST01228	XENTR00059, XENTR05827
OG0002788	YEAST02578, YEAST01232	XENTR09878, XENTR09877, XENTR04431
OG0002793	YEAST01371	XENTR12803
OG0002799	YEAST01461	XENTR17773, XENTR17772
OG0002817	YEAST01189, YEAST04922	XENTR12101
OG0002824	YEAST02137	XENTR13061, XENTR06524
OG0002826	YEAST00174	XENTR09079, XENTR12650
OG0002827	YEAST05976	XENTR09149
OG0002828	YEAST00227, YEAST00963	XENTR06020
OG0002831	YEAST03282	XENTR16010
OG0002835	YEAST02656	XENTR11887, XENTR14253
OG0002837	YEAST01987, YEAST00157	XENTR15959, XENTR00684
OG0002839	YEAST03148	XENTR15634
OG0002843	YEAST04737	XENTR01142
OG0002844	YEAST05563	XENTR02808, XENTR17210
OG0002847	YEAST02294	XENTR01188
OG0002851	YEAST04951	XENTR11403, XENTR00147
OG0002855	YEAST00137	XENTR05794
OG0002860	YEAST02712	XENTR01789
OG0002866	YEAST01136	XENTR04723, XENTR13209
OG0002876	YEAST02348	XENTR10826, XENTR08160
OG0002877	YEAST04537	XENTR08111
OG0002883	YEAST03027	XENTR07570
OG0002891	YEAST03205	XENTR06504, XENTR01216
OG0002893	YEAST03653	XENTR15094
OG0002894	YEAST00906	XENTR09951
OG0002895	YEAST01471, YEAST05353, YEAST05456	XENTR10722, XENTR13295
OG0002897	YEAST06308	XENTR08807
OG0002899	YEAST00283	XENTR15290, XENTR00294
OG0002900	YEAST05306	XENTR01428, XENTR17889
OG0002907	YEAST02061	XENTR03427, XENTR03122
OG0002910	YEAST00223	XENTR08951
OG0002915	YEAST02264	XENTR15678
OG0002917	YEAST03703	XENTR03199
OG0002921	YEAST06254	XENTR14977
OG0002922	YEAST01261	XENTR10516, XENTR02242
OG0002947	YEAST00232	XENTR10595
OG0002948	YEAST03584	XENTR19009
OG0002949	YEAST00419, YEAST06063	XENTR05420
OG0002952	YEAST05257	XENTR14461, XENTR01620
OG0002953	YEAST03034	XENTR17933, XENTR17932
OG0002957	YEAST03253	XENTR06187
OG0002960	YEAST05502	XENTR12922
OG0002965	YEAST03804	XENTR07283
OG0002966	YEAST06059	XENTR06174
OG0002968	YEAST00199	XENTR12928, XENTR17755
OG0002969	YEAST00655	XENTR14194
OG0002982	YEAST02471	XENTR13101
OG0002984	YEAST00961, YEAST01144	XENTR11184
OG0002985	YEAST02147	XENTR01815
OG0002987	YEAST02970, YEAST00081, YEAST02488	XENTR01945, XENTR08978, XENTR09778
OG0002991	YEAST03345, YEAST01842	XENTR07281
OG0002997	YEAST02374	XENTR15357, XENTR00325
OG0003001	YEAST01497	XENTR01871, XENTR05403
OG0003004	YEAST02183	XENTR07513, XENTR02073
OG0003006	YEAST00899	XENTR11337
OG0003010	YEAST03035	XENTR14276
OG0003012	YEAST04512	XENTR02824, XENTR09660
OG0003016	YEAST04810	XENTR11776, XENTR18402
OG0003017	YEAST02213	XENTR16354, XENTR16355, XENTR16352, XENTR16351
OG0003018	YEAST01635, YEAST01949	XENTR16972
OG0003027	YEAST05498	XENTR04043, XENTR01453
OG0003028	YEAST05822	XENTR11464
OG0003029	YEAST04523	XENTR08351, XENTR05958
OG0003033	YEAST02457, YEAST02640	XENTR01505
OG0003039	YEAST00055	XENTR02682, XENTR16962
OG0003043	YEAST02551	XENTR13370
OG0003046	YEAST01632	XENTR00458, XENTR06271
OG0003054	YEAST04909, YEAST05341	XENTR02710
OG0003056	YEAST02257	XENTR12840, XENTR17467
OG0003059	YEAST02832, YEAST03675	XENTR12777
OG0003063	YEAST00204	XENTR10800
OG0003066	YEAST00969	XENTR17099, XENTR08960
OG0003067	YEAST01070	XENTR08052
