Orthogroup	YEAST	CAPO3
OG0002108	YEAST03715	CAPO303834
OG0002123	YEAST02444	CAPO303373
OG0002131	YEAST04275	CAPO302159
OG0002137	YEAST04320	CAPO306593
OG0002138	YEAST02406	CAPO304101
OG0002144	YEAST02673	CAPO308205
OG0002146	YEAST04333, YEAST00109, YEAST03088, YEAST04454	CAPO303694
OG0002147	YEAST04532, YEAST01219	CAPO307247
OG0002148	YEAST02060	CAPO301311
OG0002152	YEAST05624	CAPO306241, CAPO305214
OG0002156	YEAST03007	CAPO307789
OG0002160	YEAST03960	CAPO306354
OG0002165	YEAST04504	CAPO306860
OG0002168	YEAST00516	CAPO305846
OG0002169	YEAST02258	CAPO305188, CAPO305186
OG0002184	YEAST00242	CAPO302808
OG0002185	YEAST05212	CAPO306894, CAPO307286
OG0002188	YEAST04638, YEAST03913	CAPO307308
OG0002189	YEAST02882, YEAST04447	CAPO302919, CAPO302901
OG0002213	YEAST01241, YEAST05495	CAPO301692
OG0002216	YEAST06040	CAPO308083
OG0002217	YEAST06033	CAPO303324, CAPO303403
OG0002222	YEAST03240	CAPO300961
OG0002224	YEAST01574	CAPO304952, CAPO304640
OG0002225	YEAST04939	CAPO301769
OG0002226	YEAST00948	CAPO307804
OG0002228	YEAST04154, YEAST05632	CAPO301630, CAPO300068
OG0002239	YEAST03509	CAPO303809
OG0002239	YEAST01621	CAPO301966
OG0002241	YEAST02005	CAPO303979
OG0002243	YEAST04599, YEAST03601, YEAST04600	CAPO301335, CAPO300484
OG0002244	YEAST02768	CAPO303840
OG0002252	YEAST00826	CAPO304306
OG0002261	YEAST00472	CAPO303559
OG0002264	YEAST01705	CAPO302668, CAPO304810, CAPO305220
OG0002279	YEAST05800	CAPO304874
OG0002282	YEAST00881	CAPO300014
OG0002288	YEAST01591, YEAST05154	CAPO306855
OG0002292	YEAST00152	CAPO308118, CAPO308288
OG0002297	YEAST01217	CAPO307845
OG0002312	YEAST06295	CAPO305339, CAPO305880
OG0002316	YEAST01805	CAPO302192
OG0002318	YEAST02923	CAPO302292
OG0002319	YEAST00329	CAPO306342
OG0002321	YEAST02461	CAPO300390
OG0002324	YEAST02615, YEAST06287	CAPO301866
OG0002326	YEAST00310, YEAST02699	CAPO302239
OG0002327	YEAST00346, YEAST06217	CAPO302954
OG0002331	YEAST01653	CAPO302246
OG0002332	YEAST01606, YEAST05184, YEAST00285	CAPO300761
OG0002341	YEAST03640, YEAST04562	CAPO300617
OG0002344	YEAST02312, YEAST02019	CAPO307434, CAPO303725
OG0002346	YEAST02012	CAPO307106
OG0002348	YEAST01845	CAPO302095
OG0002356	YEAST00259	CAPO305051
OG0002361	YEAST01027	CAPO304727
OG0002367	YEAST01179	CAPO304316
OG0002369	YEAST03766	CAPO301279
OG0002374	YEAST02010, YEAST00133	CAPO302309
OG0002377	YEAST05000	CAPO301847
OG0002406	YEAST05509	CAPO304138
OG0002407	YEAST00012	CAPO301366
OG0002409	YEAST02027	CAPO301533
OG0002411	YEAST05950, YEAST02407	CAPO305052
OG0002412	YEAST06171	CAPO302706
OG0002413	YEAST01196	CAPO307797, CAPO304716
OG0002415	YEAST01271	CAPO305027, CAPO304905
OG0002421	YEAST02982	CAPO305365
OG0002422	YEAST05026	CAPO302014
OG0002426	YEAST00184	CAPO303294
OG0002441	YEAST00068, YEAST02278, YEAST05821	CAPO304429
OG0002442	YEAST05932	CAPO300535
OG0002443	YEAST04906	CAPO301424
OG0002446	YEAST04254	CAPO303707
OG0002448	YEAST00626, YEAST03419	CAPO308204
OG0002453	YEAST00512	CAPO305834
OG0002476	YEAST05799	CAPO307617
OG0002486	YEAST01433	CAPO303598
OG0002492	YEAST01624	CAPO305743
OG0002494	YEAST02402	CAPO307620
OG0002495	YEAST02772	CAPO306559
OG0002497	YEAST02747	CAPO301629
OG0002500	YEAST05648	CAPO305159
OG0002505	YEAST02959	CAPO302692
OG0002510	YEAST04753	CAPO305793
OG0002516	YEAST00066	CAPO307569
OG0002518	YEAST02890	CAPO304200
OG0002523	YEAST06234	CAPO301008
OG0002527	YEAST01639	CAPO306066
OG0002528	YEAST00372	CAPO301891
OG0002532	YEAST03235	CAPO307264, CAPO307265
OG0002533	YEAST04525	CAPO302353
OG0002543	YEAST00527, YEAST04217	CAPO306889, CAPO301493
OG0002557	YEAST06243	CAPO302757
OG0002561	YEAST04438, YEAST02106	CAPO306761
OG0002562	YEAST03992	CAPO305283
OG0002564	YEAST02186	CAPO307297
OG0002565	YEAST04224, YEAST02499	CAPO302611
OG0002570	YEAST00592	CAPO307215
OG0002574	YEAST05657	CAPO307488
OG0002594	YEAST06174	CAPO304177
OG0002598	YEAST04621, YEAST03577	CAPO300566
OG0002605	YEAST06332	CAPO303522
OG0002608	YEAST03716, YEAST02846	CAPO303192
OG0002609	YEAST01355	CAPO304999
OG0002610	YEAST01078, YEAST03973	CAPO307043
OG0002612	YEAST03508	CAPO306114
OG0002617	YEAST00866	CAPO307606
OG0002618	YEAST06247	CAPO307902
OG0002621	YEAST05551	CAPO305708, CAPO305709, CAPO305858
OG0002629	YEAST05919	CAPO306781, CAPO306856
OG0002632	YEAST02755	CAPO301605
OG0002633	YEAST04206	CAPO301845, CAPO305887, CAPO307352, CAPO300298, CAPO304676, CAPO305300, CAPO307166
OG0002636	YEAST01664, YEAST06215	CAPO302443
OG0002638	YEAST00919	CAPO302461
OG0002638	YEAST04703	CAPO301720
OG0002643	YEAST01938	CAPO305403
OG0002644	YEAST00724	CAPO300686
OG0002645	YEAST01436	CAPO302012
OG0002646	YEAST01946	CAPO300302
OG0002651	YEAST02868	CAPO307502
OG0002652	YEAST04937	CAPO305413
OG0002656	YEAST05701	CAPO301386
OG0002659	YEAST06290	CAPO302308
OG0002666	YEAST02507	CAPO308350
OG0002668	YEAST02324	CAPO303414, CAPO301754
OG0002677	YEAST05210	CAPO303005
OG0002683	YEAST03676	CAPO303831, CAPO303156, CAPO305522
OG0002705	YEAST00553	CAPO303959
OG0002713	YEAST00413, YEAST06057	CAPO306909
OG0002715	YEAST01174, YEAST04131	CAPO303783
OG0002717	YEAST02430	CAPO307873
OG0002718	YEAST03380, YEAST03502	CAPO306705
OG0002720	YEAST01914	CAPO304077
OG0002722	YEAST04059	CAPO300697
OG0002726	YEAST02958	CAPO303092
OG0002739	YEAST01877	CAPO303462
OG0002740	YEAST01658	CAPO302187, CAPO303044
OG0002742	YEAST03326	CAPO301585
OG0002743	YEAST01824, YEAST03362	CAPO305659
OG0002745	YEAST04244	CAPO302960
OG0002746	YEAST04902, YEAST05332	CAPO301404
OG0002747	YEAST05617	CAPO308121
OG0002749	YEAST02810	CAPO305516
OG0002750	YEAST04952	CAPO305820
OG0002752	YEAST03686	CAPO306571
OG0002753	YEAST03742	CAPO301419
OG0002756	YEAST04058	CAPO302206
OG0002758	YEAST04409	CAPO302892, CAPO307678
OG0002760	YEAST01927	CAPO306120
OG0002763	YEAST00260	CAPO301217
OG0002764	YEAST01862	CAPO308022
OG0002764	YEAST00423	CAPO300451
OG0002765	YEAST01667, YEAST05523	CAPO307679
OG0002766	YEAST05357	CAPO300475
OG0002767	YEAST04591	CAPO302818
OG0002771	YEAST02043	CAPO307480
OG0002772	YEAST03384	CAPO301657
OG0002773	YEAST03677	CAPO300783, CAPO303160
OG0002774	YEAST03575	CAPO306561, CAPO301900, CAPO304134
OG0002782	YEAST02121	CAPO301842
OG0002785	YEAST06106, YEAST01228	CAPO300520
OG0002788	YEAST02578, YEAST01232	CAPO304831, CAPO301156, CAPO301818
OG0002793	YEAST01371	CAPO305498
OG0002799	YEAST01461	CAPO301814
OG0002817	YEAST01189, YEAST04922	CAPO305631
OG0002824	YEAST02137	CAPO304804
OG0002826	YEAST00174	CAPO305161
OG0002827	YEAST05976	CAPO302357
OG0002828	YEAST00227, YEAST00963	CAPO302033
OG0002831	YEAST03282	CAPO303454
OG0002835	YEAST02656	CAPO306542
OG0002837	YEAST01987, YEAST00157	CAPO304096
OG0002839	YEAST03148	CAPO302420
OG0002843	YEAST04737	CAPO300339
OG0002844	YEAST05563	CAPO306381, CAPO305443
OG0002847	YEAST02294	CAPO307024
OG0002851	YEAST04951	CAPO304239
OG0002855	YEAST00137	CAPO304751, CAPO304752
OG0002860	YEAST02712	CAPO304305
OG0002866	YEAST01136	CAPO307089
OG0002876	YEAST02348	CAPO302622
OG0002877	YEAST04537	CAPO303139
OG0002883	YEAST03027	CAPO300600
OG0002891	YEAST03205	CAPO305115
OG0002893	YEAST03653	CAPO304576
OG0002894	YEAST00906	CAPO307506
OG0002895	YEAST01471, YEAST05353, YEAST05456	CAPO306767, CAPO303745
OG0002897	YEAST06308	CAPO306671
OG0002899	YEAST00283	CAPO306014
OG0002900	YEAST05306	CAPO303795
OG0002907	YEAST02061	CAPO303347
OG0002910	YEAST00223	CAPO304697
OG0002915	YEAST02264	CAPO307623
OG0002917	YEAST03703	CAPO304597
OG0002921	YEAST06254	CAPO307445
OG0002922	YEAST01261	CAPO305731
OG0002947	YEAST00232	CAPO306510
OG0002948	YEAST03584	CAPO303072
OG0002949	YEAST00419, YEAST06063	CAPO305527, CAPO304499
OG0002952	YEAST05257	CAPO304062, CAPO304063
OG0002953	YEAST03034	CAPO305937
OG0002957	YEAST03253	CAPO303846
OG0002960	YEAST05502	CAPO301301
OG0002965	YEAST03804	CAPO304902
OG0002968	YEAST00199	CAPO305040, CAPO306161
OG0002969	YEAST00655	CAPO301408
OG0002982	YEAST02471	CAPO306469
OG0002985	YEAST02147	CAPO300589
OG0002987	YEAST02970, YEAST00081, YEAST02488	CAPO306603
OG0002991	YEAST03345, YEAST01842	CAPO300778
OG0002997	YEAST02374	CAPO307685
OG0003001	YEAST01497	CAPO302423
OG0003004	YEAST02183	CAPO304489
OG0003006	YEAST00899	CAPO302605
OG0003010	YEAST03035	CAPO303642
OG0003012	YEAST04512	CAPO302272
OG0003016	YEAST04810	CAPO301025
OG0003017	YEAST02213	CAPO303755
OG0003018	YEAST01635, YEAST01949	CAPO301697
OG0003020	YEAST04851	CAPO306543, CAPO306821
OG0003027	YEAST05498	CAPO302145
OG0003028	YEAST05822	CAPO307794
OG0003029	YEAST04523	CAPO301992
OG0003033	YEAST02457, YEAST02640	CAPO300181
OG0003043	YEAST02551	CAPO304921
OG0003046	YEAST01632	CAPO302851
OG0003054	YEAST04909, YEAST05341	CAPO305605
OG0003056	YEAST02257	CAPO300334
OG0003059	YEAST02832, YEAST03675	CAPO307928
OG0003063	YEAST00204	CAPO306091
OG0003067	YEAST01070, YEAST03159	CAPO301062
OG0003072	YEAST05076	CAPO300719
OG0003073	YEAST00167	CAPO300571
OG0003079	YEAST01019	CAPO303732
OG0003104	YEAST00861	CAPO300208
OG0003105	YEAST04282	CAPO307560, CAPO307561
OG0003106	YEAST03619	CAPO300222
OG0003107	YEAST00029	CAPO305408
OG0003108	YEAST00796	CAPO307100
OG0003110	YEAST02197	CAPO302380
OG0003114	YEAST00453, YEAST02426	CAPO305811
OG0003119	YEAST00778	CAPO301756
OG0003121	YEAST03190	CAPO300078
OG0003126	YEAST00300	CAPO302418, CAPO300577
OG0003131	YEAST04435, YEAST04350	CAPO301104
OG0003135	YEAST02069	CAPO304970
OG0003138	YEAST01790, YEAST00784	CAPO307798
OG0003145	YEAST06012	CAPO301669
OG0003147	YEAST03729	CAPO305754
OG0003151	YEAST03910	CAPO302311
OG0003153	YEAST05438	CAPO305242
OG0003154	YEAST00694	CAPO308152
OG0003157	YEAST01203	CAPO300659
OG0003164	YEAST05549, YEAST04492	CAPO302879
OG0003169	YEAST04410	CAPO302137
OG0003172	YEAST06030	CAPO306984
OG0003174	YEAST06178	CAPO306817
OG0003178	YEAST05823	CAPO303283
OG0003179	YEAST00905	CAPO300801
OG0003182	YEAST05565	CAPO308003
OG0003189	YEAST00820	CAPO303157
OG0003190	YEAST02550	CAPO303910
OG0003191	YEAST01068	CAPO306279
OG0003193	YEAST02494	CAPO301211
OG0003197	YEAST06274	CAPO307855
OG0003199	YEAST04961	CAPO305890
OG0003207	YEAST04056	CAPO301521
OG0003212	YEAST05531	CAPO300076
OG0003214	YEAST03701	CAPO305438
OG0003215	YEAST04373	CAPO305646
OG0003218	YEAST04068	CAPO308113
OG0003219	YEAST01656	CAPO306660
OG0003219	YEAST01943, YEAST02157	CAPO306286
OG0003220	YEAST03417, YEAST00186	CAPO304799
OG0003221	YEAST05064	CAPO300283
OG0003223	YEAST04472	CAPO307650
OG0003228	YEAST06187	CAPO305495
OG0003230	YEAST05487	CAPO301507
OG0003234	YEAST01985, YEAST00162	CAPO306221
OG0003235	YEAST06282	CAPO301047
OG0003251	YEAST05338, YEAST04904	CAPO307251
OG0003254	YEAST03911	CAPO307938
OG0003257	YEAST02741	CAPO303231
OG0003263	YEAST05333	CAPO303458
OG0003264	YEAST03398	CAPO306409
OG0003266	YEAST05585	CAPO303168
OG0003267	YEAST02516	CAPO300914
OG0003277	YEAST03706	CAPO306142
OG0003283	YEAST02779	CAPO304400
OG0003284	YEAST02184	CAPO302648
OG0003287	YEAST00166	CAPO306546
OG0003288	YEAST05062	CAPO307866
OG0003290	YEAST06325	CAPO307662, CAPO300441
OG0003293	YEAST04930	CAPO300956
OG0003300	YEAST03316	CAPO307904
OG0003301	YEAST03267	CAPO300201
OG0003302	YEAST04633	CAPO303848
OG0003303	YEAST05878	CAPO304414
OG0003316	YEAST04887	CAPO300235
OG0003317	YEAST03051	CAPO304285
OG0003318	YEAST02158	CAPO302830
OG0003332	YEAST02945, YEAST00447	CAPO307894
OG0003335	YEAST01260	CAPO302255
OG0003340	YEAST04972	CAPO305389
OG0003341	YEAST00990	CAPO301683
OG0003343	YEAST04356, YEAST06258	CAPO308043
OG0003345	YEAST02133	CAPO302682
OG0003348	YEAST02844	CAPO308059, CAPO308052
OG0003349	YEAST00235, YEAST04798	CAPO300780
OG0003356	YEAST02937	CAPO306224
OG0003357	YEAST04240, YEAST02522	CAPO307953
OG0003364	YEAST00730	CAPO301569
OG0003366	YEAST05276, YEAST03075	CAPO302011
OG0003373	YEAST03755	CAPO301869
OG0003374	YEAST03627	CAPO305683
OG0003375	YEAST03722	CAPO301633, CAPO305837
OG0003377	YEAST03340	CAPO301205
OG0003380	YEAST03409	CAPO306884
OG0003380	YEAST00529	CAPO301115
OG0003381	YEAST03447, YEAST01380	CAPO300841
OG0003382	YEAST01627	CAPO302262, CAPO304611
OG0003386	YEAST02725	CAPO300917
OG0003425	YEAST05084	CAPO304371
OG0003426	YEAST05251	CAPO301532
OG0003428	YEAST04550, YEAST01154	CAPO300586
OG0003429	YEAST05921	CAPO307638
OG0003430	YEAST04732	CAPO305848
OG0003434	YEAST02689	CAPO303572
OG0003435	YEAST05483	CAPO300552
OG0003443	YEAST06032	CAPO306901, CAPO306924
OG0003454	YEAST04088	CAPO305798
OG0003458	YEAST00169	CAPO301287
OG0003461	YEAST05752, YEAST04759	CAPO304469
OG0003464	YEAST05120	CAPO306136
OG0003465	YEAST02874	CAPO307530
OG0003467	YEAST01278	CAPO306150
OG0003477	YEAST03665	CAPO308122
OG0003483	YEAST06074	CAPO305509
OG0003487	YEAST03066	CAPO300925
OG0003491	YEAST03514	CAPO304911
OG0003493	YEAST01076	CAPO306533
OG0003497	YEAST00758	CAPO305660
OG0003498	YEAST05680	CAPO306898
OG0003500	YEAST03303, YEAST02683	CAPO304927
OG0003501	YEAST01421	CAPO303209
OG0003502	YEAST02504	CAPO304731, CAPO301317
OG0003502	YEAST02519	CAPO306906
OG0003503	YEAST00400	CAPO307158
OG0003505	YEAST00697	CAPO305207
OG0003509	YEAST02850	CAPO305689
OG0003515	YEAST00923	CAPO307211
OG0003518	YEAST04809	CAPO307641
OG0003523	YEAST05393	CAPO304976
OG0003531	YEAST00465	CAPO300308
OG0003532	YEAST05810	CAPO303744
OG0003539	YEAST03774	CAPO300449
OG0003541	YEAST01314	CAPO300603
OG0003543	YEAST01290	CAPO307571, CAPO303672, CAPO301989, CAPO308115
OG0003544	YEAST00251	CAPO300418
OG0003550	YEAST06166	CAPO300137
OG0003551	YEAST01826	CAPO308286
OG0003552	YEAST04163	CAPO307114
OG0003556	YEAST05216	CAPO302339
OG0003560	YEAST00307	CAPO300951
OG0003561	YEAST06100	CAPO301198
OG0003562	YEAST00960	CAPO303388
OG0003567	YEAST04838	CAPO307296
OG0003568	YEAST04328	CAPO303992
OG0003570	YEAST03562, YEAST04635	CAPO305849
OG0003573	YEAST00597	CAPO300904
OG0003578	YEAST05031	CAPO307426
OG0003579	YEAST05446	CAPO300766
OG0003582	YEAST03174	CAPO302819
OG0003599	YEAST04133	CAPO301420
OG0003603	YEAST03529	CAPO304465, CAPO303258
OG0003610	YEAST02573	CAPO302401
OG0003611	YEAST01054	CAPO306320
OG0003612	YEAST00808	CAPO304993
OG0003613	YEAST02366	CAPO305029
OG0003617	YEAST01843	CAPO306844
OG0003617	YEAST04802, YEAST04398	CAPO301490
OG0003618	YEAST00747	CAPO302109
OG0003619	YEAST04756	CAPO304837
OG0003624	YEAST00147	CAPO303633
OG0003630	YEAST04845	CAPO308012
OG0003632	YEAST02125	CAPO300941
OG0003638	YEAST00956	CAPO305555
OG0003641	YEAST04061, YEAST01158	CAPO300746
OG0003644	YEAST05992	CAPO305988
OG0003644	YEAST01545	CAPO304835
OG0003645	YEAST05809, YEAST05493	CAPO307108
OG0003646	YEAST02349	CAPO304914
OG0003647	YEAST04352, YEAST04433	CAPO306638
OG0003649	YEAST00203	CAPO301930
OG0003650	YEAST00737, YEAST04997	CAPO306633
OG0003659	YEAST00140	CAPO302655
OG0003661	YEAST02758	CAPO300815
OG0003664	YEAST03791	CAPO305504
OG0003668	YEAST06168	CAPO300260, CAPO301650
OG0003669	YEAST02813	CAPO305883
OG0003672	YEAST03137	CAPO300582
OG0003676	YEAST03110	CAPO304948
OG0003679	YEAST03223	CAPO304696
OG0003682	YEAST00571	CAPO302793, CAPO301860
OG0003687	YEAST02527, YEAST04246	CAPO301501
OG0003688	YEAST01333, YEAST05362, YEAST00376	CAPO307252
OG0003689	YEAST04232	CAPO301215
OG0003690	YEAST01162	CAPO307478
OG0003693	YEAST05304	CAPO302269
OG0003694	YEAST01453	CAPO307654
OG0003696	YEAST05704	CAPO304903
OG0003697	YEAST04962	CAPO307718
OG0003698	YEAST03764, YEAST03185	CAPO306302
OG0003703	YEAST00683	CAPO305764
OG0003710	YEAST02077	CAPO301647
OG0003712	YEAST02114	CAPO300556
OG0003713	YEAST01549, YEAST03807	CAPO306178
OG0003716	YEAST02390	CAPO303976
OG0003718	YEAST05772	CAPO307310
OG0003719	YEAST06338	CAPO300227
OG0003721	YEAST04960	CAPO300976, CAPO300975
OG0003724	YEAST02365, YEAST06120	CAPO308007, CAPO307589
OG0003729	YEAST01543	CAPO307394
OG0003731	YEAST04486	CAPO304053
OG0003733	YEAST03492	CAPO305671
OG0003734	YEAST02809, YEAST03842	CAPO305564
OG0003735	YEAST06115	CAPO308150
OG0003738	YEAST05605	CAPO304238
OG0003740	YEAST01029	CAPO307238
OG0003741	YEAST01379	CAPO305770
OG0003743	YEAST06008, YEAST05688	CAPO302360
OG0003744	YEAST01207	CAPO306491
OG0003745	YEAST02618	CAPO307585
OG0003749	YEAST04441	CAPO306992
OG0003750	YEAST00149	CAPO304840
OG0003756	YEAST01878	CAPO307901
OG0003758	YEAST06133	CAPO308214
OG0003759	YEAST03315	CAPO307476
OG0003767	YEAST01933, YEAST01650	CAPO301363
OG0003769	YEAST01999	CAPO305668
OG0003770	YEAST01234	CAPO300865
OG0003770	YEAST03860	CAPO305387
OG0003778	YEAST05796	CAPO302558
OG0003779	YEAST04431	CAPO304919
OG0003806	YEAST02367	CAPO304817
OG0003807	YEAST04265, YEAST03128	CAPO308021
OG0003808	YEAST01201	CAPO308095
OG0003811	YEAST00417	CAPO302863
OG0003812	YEAST00287	CAPO300349
OG0003813	YEAST00254	CAPO305053
OG0003818	YEAST04318	CAPO306945
OG0003824	YEAST01468	CAPO300109
OG0003828	YEAST02448	CAPO304442
OG0003829	YEAST02032, YEAST01031	CAPO304825
OG0003831	YEAST05137, YEAST02344	CAPO301320
OG0003834	YEAST06322	CAPO307203
OG0003837	YEAST02586	CAPO304430
OG0003838	YEAST03413	CAPO304061, CAPO304064
OG0003839	YEAST01736	CAPO300238, CAPO301543, CAPO307066
OG0003844	YEAST06054	CAPO306235
OG0003846	YEAST00356	CAPO300905
OG0003848	YEAST01654	CAPO305229, CAPO305228
OG0003850	YEAST00228	CAPO306458
OG0003851	YEAST06169	CAPO301154
OG0003852	YEAST03296	CAPO302241
OG0003853	YEAST06251	CAPO308238
OG0003855	YEAST04936	CAPO304198
OG0003856	YEAST03934, YEAST02710	CAPO308004
OG0003858	YEAST01401	CAPO300728, CAPO302432
OG0003860	YEAST01412	CAPO303899
OG0003866	YEAST01895	CAPO302683
OG0003867	YEAST03558	CAPO301767
OG0003868	YEAST01448	CAPO306848
OG0003869	YEAST02771	CAPO307094
OG0003875	YEAST05070	CAPO303382
OG0003876	YEAST02423	CAPO307728
OG0003879	YEAST00463	CAPO304906
OG0003881	YEAST03851	CAPO303685
OG0003886	YEAST06023	CAPO304109
OG0003887	YEAST00028	CAPO307036
OG0003893	YEAST05028	CAPO300022
OG0003897	YEAST01270	CAPO303759
OG0003899	YEAST04954	CAPO300674
OG0003904	YEAST01732	CAPO305947
OG0003907	YEAST02999, YEAST02288	CAPO306754
OG0003908	YEAST01362	CAPO301425
OG0003908	YEAST06330	CAPO308216
OG0003910	YEAST03780	CAPO302786
OG0003911	YEAST00032	CAPO305312
OG0003913	YEAST03258	CAPO306587
OG0003921	YEAST06181	CAPO300430
OG0003926	YEAST04138	CAPO303036
OG0003929	YEAST04489, YEAST01422	CAPO303872
OG0003930	YEAST03969	CAPO301599
OG0003931	YEAST01142	CAPO304399
OG0003934	YEAST00084	CAPO301204
OG0003938	YEAST01566, YEAST05133	CAPO305166
OG0003939	YEAST03211	CAPO303853
OG0003944	YEAST01186	CAPO300493
OG0003946	YEAST03220	CAPO303843
OG0003947	YEAST06266, YEAST05428	CAPO306325
OG0003950	YEAST01409	CAPO307097
OG0003954	YEAST02764	CAPO304758
OG0003955	YEAST03951	CAPO304097
OG0003959	YEAST02778	CAPO304028
OG0003961	YEAST01991	CAPO303890
OG0003969	YEAST02146	CAPO304197
OG0003971	YEAST00520	CAPO301852
OG0003972	YEAST06331	CAPO308018, CAPO305200
OG0003973	YEAST06329	CAPO307513
OG0003999	YEAST05604	CAPO306327
OG0004000	YEAST06060	CAPO302913
OG0004005	YEAST06216	CAPO305860, CAPO302213
OG0004007	YEAST01456	CAPO308280, CAPO307105
OG0004012	YEAST00755	CAPO308011
OG0004017	YEAST03019	CAPO308124
OG0004023	YEAST04349	CAPO307204
OG0004027	YEAST03587	CAPO301145
OG0004032	YEAST02562	CAPO300291
OG0004033	YEAST02572	CAPO304862
OG0004035	YEAST02134	CAPO301995
OG0004037	YEAST03371	CAPO306482
OG0004042	YEAST05578	CAPO302696
OG0004044	YEAST05367	CAPO300275
OG0004047	YEAST02496	CAPO304083
OG0004054	YEAST05576	CAPO308277
OG0004056	YEAST05698	CAPO306031
OG0004057	YEAST05620	CAPO300969, CAPO301492
OG0004059	YEAST00030	CAPO301877
OG0004065	YEAST00772	CAPO304029
OG0004067	YEAST02665	CAPO301812
OG0004068	YEAST03461	CAPO301030
OG0004071	YEAST02893	CAPO306388
OG0004072	YEAST02440	CAPO305194
OG0004075	YEAST02332	CAPO308024
OG0004076	YEAST05461	CAPO307967
OG0004079	YEAST04385	CAPO300687
OG0004080	YEAST00812	CAPO305236
OG0004082	YEAST00063, YEAST05409	CAPO305459, CAPO300433, CAPO305460
OG0004090	YEAST02301, YEAST02021	CAPO304280
OG0004091	YEAST04715	CAPO307795
OG0004092	YEAST03564, YEAST06307	CAPO301516
OG0004096	YEAST00160	CAPO306070
OG0004097	YEAST05039	CAPO300790
OG0004101	YEAST03547, YEAST02901	CAPO303749, CAPO302702
OG0004103	YEAST05061	CAPO306700
OG0004105	YEAST01700, YEAST01565	CAPO308098
OG0004110	YEAST02825	CAPO300855
OG0004113	YEAST02059	CAPO305835
OG0004115	YEAST00325	CAPO306386
OG0004116	YEAST00481	CAPO303186
OG0004118	YEAST01855	CAPO306139
OG0004119	YEAST02170	CAPO303741
OG0004120	YEAST01953	CAPO303757
OG0004123	YEAST04761	CAPO304624
OG0004124	YEAST01139	CAPO302738
OG0004127	YEAST06097	CAPO306895
OG0004130	YEAST03149	CAPO307075
OG0004134	YEAST05611	CAPO304433
OG0004136	YEAST01084	CAPO307338
OG0004142	YEAST05774	CAPO300440
OG0004148	YEAST00867	CAPO301152
OG0004150	YEAST04690	CAPO303497
OG0004151	YEAST04284	CAPO307015
OG0004153	YEAST05958, YEAST04386, YEAST00290	CAPO305022
OG0004154	YEAST05587	CAPO308154
OG0004158	YEAST03379	CAPO302219
OG0004162	YEAST04517	CAPO305758
OG0004164	YEAST05923	CAPO306879
OG0004166	YEAST00189	CAPO300703
OG0004168	YEAST03028	CAPO303881
OG0004169	YEAST05813	CAPO302967
OG0004170	YEAST05906	CAPO305320
OG0004171	YEAST04501	CAPO305810
OG0004179	YEAST01050	CAPO304392
OG0004181	YEAST03406	CAPO304353
OG0004182	YEAST03699	CAPO305817
OG0004184	YEAST00127	CAPO302251
OG0004186	YEAST04981	CAPO307615
OG0004188	YEAST02761	CAPO308209
OG0004198	YEAST02869, YEAST03548	CAPO302636
OG0004215	YEAST04590	CAPO307025
OG0004217	YEAST01257	CAPO300553
OG0004219	YEAST00912	CAPO302642
OG0004222	YEAST05826	CAPO307934
OG0004230	YEAST02220	CAPO305821
OG0004232	YEAST05931	CAPO301443
OG0004236	YEAST05432	CAPO301760
OG0004237	YEAST04445, YEAST04344	CAPO301645
OG0004239	YEAST05144	CAPO304082
OG0004243	YEAST00306	CAPO302349
OG0004245	YEAST00859	CAPO301120
OG0004248	YEAST03678	CAPO306807
OG0004249	YEAST02740	CAPO302316
OG0004250	YEAST05543	CAPO305518
OG0004252	YEAST05178	CAPO305536
OG0004254	YEAST03900	CAPO304883
OG0004258	YEAST00665	CAPO301342
OG0004259	YEAST03730	CAPO301048
OG0004261	YEAST02564	CAPO305950
OG0004269	YEAST04758	CAPO308233
OG0004273	YEAST02547	CAPO300380
OG0004278	YEAST00243	CAPO303739
OG0004280	YEAST05895	CAPO302169
OG0004282	YEAST02575, YEAST06242	CAPO306035
OG0004283	YEAST04184	CAPO301216
OG0004287	YEAST01708	CAPO305534
OG0004289	YEAST05719	CAPO307509
OG0004291	YEAST00852	CAPO300943, CAPO306696
OG0004292	YEAST02537	CAPO301407
OG0004295	YEAST05946	CAPO300437
OG0004297	YEAST01463	CAPO306140
OG0004300	YEAST05309	CAPO308218
OG0004301	YEAST03850	CAPO305855
OG0004302	YEAST05203	CAPO307149
OG0004303	YEAST02492	CAPO306261
OG0004304	YEAST02425, YEAST05929	CAPO307407
OG0004305	YEAST02123	CAPO306704
OG0004307	YEAST04592	CAPO306787
OG0004308	YEAST04835	CAPO302385
OG0004309	YEAST05924	CAPO304021
OG0004310	YEAST05001	CAPO306903
OG0004312	YEAST03330	CAPO306752
OG0004314	YEAST00500	CAPO301283
OG0004324	YEAST04322	CAPO300240
OG0004330	YEAST06277	CAPO305393
OG0004331	YEAST06230	CAPO305384
OG0004333	YEAST01391	CAPO303439
OG0004335	YEAST01057	CAPO302791
OG0004337	YEAST05652	CAPO300958
OG0004338	YEAST05023	CAPO300828
OG0004344	YEAST02441	CAPO307152
OG0004345	YEAST04894	CAPO306847
OG0004347	YEAST04515	CAPO307703
OG0004348	YEAST03956	CAPO306158
OG0004350	YEAST04742	CAPO300994
