Orthogroup	YEAST	AMPFI_ok
OG0001204	YEAST05200	AMPFI_11339, AMPFI_14021, AMPFI_11338
OG0001207	YEAST04258	AMPFI_02832
OG0001210	YEAST05511	AMPFI_13828
OG0001210	YEAST02318	AMPFI_05417
OG0001212	YEAST03971	AMPFI_04206, AMPFI_11836, AMPFI_24007, AMPFI_21239, AMPFI_00782, AMPFI_04879
OG0001214	YEAST00577	AMPFI_05265
OG0001216	YEAST00145	AMPFI_06120, AMPFI_13697
OG0001219	YEAST03867	AMPFI_23839
OG0001236	YEAST03325, YEAST02687, YEAST03269	AMPFI_04390
OG0001237	YEAST04380	AMPFI_09608
OG0001238	YEAST04481	AMPFI_08671, AMPFI_08263
OG0001241	YEAST02002	AMPFI_10474
OG0001241	YEAST03967, YEAST01074	AMPFI_05156
OG0001243	YEAST00739, YEAST05004	AMPFI_09177
OG0001249	YEAST01062, YEAST02067	AMPFI_23310
OG0001250	YEAST02968, YEAST01339	AMPFI_07433
OG0001251	YEAST01707	AMPFI_15272
OG0001253	YEAST03998	AMPFI_05658
OG0001254	YEAST04309	AMPFI_10158
OG0001262	YEAST00911	AMPFI_14619
OG0001263	YEAST00172	AMPFI_11017
OG0001268	YEAST03495	AMPFI_21846, AMPFI_17603
OG0001270	YEAST01703	AMPFI_10234
OG0001270	YEAST02398	AMPFI_15423
OG0001271	YEAST05227, YEAST00662	AMPFI_12722
OG0001278	YEAST01893	AMPFI_10211, AMPFI_19943
OG0001279	YEAST03070	AMPFI_05903
OG0001280	YEAST00846	AMPFI_23298
OG0001284	YEAST00567, YEAST01498	AMPFI_11093, AMPFI_06659
OG0001291	YEAST04453, YEAST04334	AMPFI_17861
OG0001300	YEAST01098	AMPFI_08329
OG0001302	YEAST02328	AMPFI_16649, AMPFI_15529
OG0001302	YEAST00299	AMPFI_08047
OG0001310	YEAST00887	AMPFI_22226, AMPFI_04482, AMPFI_16368, AMPFI_06804
OG0001318	YEAST03712	AMPFI_07561, AMPFI_11299
OG0001319	YEAST01678	AMPFI_11777
OG0001321	YEAST02280, YEAST01901	AMPFI_00079
OG0001322	YEAST06128	AMPFI_10344, AMPFI_23671
OG0001324	YEAST00078	AMPFI_20900, AMPFI_04734, AMPFI_24533, AMPFI_26008, AMPFI_04915, AMPFI_20066
OG0001325	YEAST00793	AMPFI_10346
OG0001326	YEAST05395	AMPFI_12886
OG0001327	YEAST03176	AMPFI_08065, AMPFI_15522
OG0001332	YEAST03929, YEAST02705, YEAST00687	AMPFI_20259
OG0001333	YEAST00728	AMPFI_00843, AMPFI_13930
OG0001341	YEAST06006	AMPFI_18936, AMPFI_14355, AMPFI_06570, AMPFI_10755, AMPFI_01027
OG0001345	YEAST03613	AMPFI_09770
OG0001353	YEAST00020, YEAST04041	AMPFI_10664
OG0001363	YEAST06180	AMPFI_00070, AMPFI_09800, AMPFI_08365, AMPFI_02799, AMPFI_04841, AMPFI_18618
OG0001364	YEAST06038, YEAST00402	AMPFI_02281, AMPFI_19179, AMPFI_14823, AMPFI_11134
OG0001367	YEAST04688	AMPFI_02161, AMPFI_22268
OG0001368	YEAST01821	AMPFI_11158
OG0001370	YEAST04067, YEAST05195, YEAST00897	AMPFI_06706, AMPFI_09461
OG0001371	YEAST00532, YEAST03976	AMPFI_10372, AMPFI_15938, AMPFI_12819
OG0001372	YEAST00070	AMPFI_21335
OG0001372	YEAST02226	AMPFI_18921
OG0001375	YEAST05499, YEAST05567	AMPFI_00915, AMPFI_06104
OG0001378	YEAST02300	AMPFI_15247
OG0001379	YEAST04155	AMPFI_14320
OG0001386	YEAST05114	AMPFI_07982
OG0001397	YEAST05731	AMPFI_21706, AMPFI_17878, AMPFI_10775
OG0001400	YEAST02931	AMPFI_24286, AMPFI_24285
OG0001409	YEAST00885, YEAST04659	AMPFI_10191
OG0001410	YEAST05046	AMPFI_02616
OG0001411	YEAST04834	AMPFI_10031
OG0001412	YEAST04490	AMPFI_08141
OG0001413	YEAST04294	AMPFI_15619, AMPFI_20583, AMPFI_22440
OG0001414	YEAST06070, YEAST01920	AMPFI_02896, AMPFI_24645, AMPFI_20423
OG0001415	YEAST04230	AMPFI_19237
OG0001415	YEAST00964	AMPFI_17043, AMPFI_07414, AMPFI_08129
OG0001421	YEAST05252	AMPFI_22931
OG0001422	YEAST05588, YEAST01363	AMPFI_23699
OG0001424	YEAST01127	AMPFI_01906, AMPFI_17965
OG0001427	YEAST01885	AMPFI_07391
OG0001428	YEAST04862, YEAST05862, YEAST02749, YEAST03037	AMPFI_11938
OG0001430	YEAST01712	AMPFI_07622
OG0001434	YEAST03991	AMPFI_18441, AMPFI_12885, AMPFI_06188, AMPFI_09637, AMPFI_21758, AMPFI_19362
OG0001437	YEAST01264, YEAST02900	AMPFI_07780, AMPFI_13432, AMPFI_20020
OG0001445	YEAST01715	AMPFI_06828
OG0001449	YEAST03188	AMPFI_17066
OG0001452	YEAST05900	AMPFI_17582, AMPFI_16484, AMPFI_24052, AMPFI_20965
OG0001454	YEAST01495, YEAST00573	AMPFI_18370
OG0001456	YEAST00365	AMPFI_19906, AMPFI_01959, AMPFI_23142, AMPFI_13598, AMPFI_00318
OG0001459	YEAST03073, YEAST03464	AMPFI_19783
OG0001461	YEAST05255	AMPFI_25442, AMPFI_13135, AMPFI_20976, AMPFI_23123, AMPFI_22344
OG0001468	YEAST03875, YEAST03904	AMPFI_19331
OG0001469	YEAST02070	AMPFI_05229
OG0001469	YEAST02765	AMPFI_24846, AMPFI_02483
OG0001470	YEAST00369, YEAST05375	AMPFI_00691, AMPFI_04493, AMPFI_20223, AMPFI_17999, AMPFI_17567, AMPFI_01501, AMPFI_00067, AMPFI_19107
OG0001472	YEAST03031	AMPFI_01053, AMPFI_03075, AMPFI_01967
OG0001473	YEAST05711	AMPFI_03739, AMPFI_01823
OG0001474	YEAST01416, YEAST05312	AMPFI_18399, AMPFI_15974, AMPFI_12260, AMPFI_25092, AMPFI_21316
OG0001478	YEAST01984	AMPFI_01874
OG0001478	YEAST02078	AMPFI_18015, AMPFI_17948
OG0001479	YEAST01132	AMPFI_06247
OG0001503	YEAST03032	AMPFI_03346
OG0001503	YEAST02920	AMPFI_06513
OG0001504	YEAST05406	AMPFI_14749
OG0001505	YEAST03361	AMPFI_04877, AMPFI_09677
OG0001508	YEAST04143	AMPFI_01605
OG0001515	YEAST03320	AMPFI_22558
OG0001520	YEAST03872	AMPFI_11649, AMPFI_06123
OG0001524	YEAST03912	AMPFI_12143, AMPFI_24831
OG0001525	YEAST03420	AMPFI_18577
OG0001525	YEAST00757	AMPFI_18416
OG0001527	YEAST01395	AMPFI_06183, AMPFI_10281
OG0001529	YEAST01143	AMPFI_24259
OG0001530	YEAST00643	AMPFI_20395, AMPFI_21100, AMPFI_17451, AMPFI_04325
OG0001546	YEAST03111	AMPFI_02652, AMPFI_04446, AMPFI_19645, AMPFI_14806, AMPFI_24267, AMPFI_03026, AMPFI_04539
OG0001550	YEAST02405, YEAST05953	AMPFI_12309, AMPFI_21451
OG0001551	YEAST04817	AMPFI_18500
OG0001553	YEAST05147, YEAST01586	AMPFI_24765
OG0001557	YEAST04671	AMPFI_09537
OG0001558	YEAST04449	AMPFI_15140
OG0001559	YEAST00445, YEAST02434	AMPFI_05445
OG0001561	YEAST06176	AMPFI_06589
OG0001564	YEAST05390	AMPFI_02020, AMPFI_01949, AMPFI_20454, AMPFI_24971
OG0001570	YEAST04678	AMPFI_12961, AMPFI_12059
OG0001573	YEAST03285	AMPFI_05942
OG0001578	YEAST01872	AMPFI_11954
OG0001580	YEAST06270	AMPFI_13898
OG0001590	YEAST03476, YEAST00717, YEAST03955	AMPFI_24468
OG0001594	YEAST03418	AMPFI_13904, AMPFI_25650, AMPFI_18261, AMPFI_11597
OG0001597	YEAST01702	AMPFI_13604, AMPFI_12341
OG0001603	YEAST02584	AMPFI_09371, AMPFI_09370, AMPFI_09372
OG0001604	YEAST01428	AMPFI_07862, AMPFI_04179, AMPFI_13911
OG0001605	YEAST04101	AMPFI_24911, AMPFI_18083
OG0001609	YEAST02739	AMPFI_10765, AMPFI_06902
OG0001610	YEAST00596	AMPFI_05189
OG0001612	YEAST01109	AMPFI_03248, AMPFI_24849, AMPFI_16308
OG0001628	YEAST04790	AMPFI_23293, AMPFI_19870, AMPFI_15107, AMPFI_14676, AMPFI_12805
OG0001653	YEAST01151	AMPFI_18635
OG0001655	YEAST03354	AMPFI_21729, AMPFI_16010
OG0001657	YEAST00101, YEAST00944	AMPFI_11506
OG0001663	YEAST05642	AMPFI_19928, AMPFI_14386
OG0001676	YEAST06155	AMPFI_10805
OG0001679	YEAST05302, YEAST02334, YEAST02449, YEAST01523	AMPFI_09908, AMPFI_15820, AMPFI_01883
OG0001680	YEAST01119, YEAST04022	AMPFI_18352
OG0001685	YEAST01147	AMPFI_05011
OG0001687	YEAST05279	AMPFI_24429, AMPFI_09173, AMPFI_17336, AMPFI_25410
OG0001691	YEAST01315	AMPFI_08102, AMPFI_00359
OG0001704	YEAST01293	AMPFI_22958, AMPFI_17780
OG0001706	YEAST03424	AMPFI_00734
OG0001707	YEAST06049, YEAST00407, YEAST04739	AMPFI_01640, AMPFI_02566, AMPFI_19827, AMPFI_04732, AMPFI_04330, AMPFI_03799, AMPFI_16330, AMPFI_14071
OG0001708	YEAST05744, YEAST05745	AMPFI_10288, AMPFI_03554
OG0001709	YEAST04440	AMPFI_24047
OG0001713	YEAST04039	AMPFI_07986
OG0001718	YEAST01537	AMPFI_26075, AMPFI_15984
OG0001721	YEAST04881, YEAST05253, YEAST00698	AMPFI_11273
OG0001723	YEAST01435	AMPFI_21807
OG0001727	YEAST04543	AMPFI_09267
OG0001728	YEAST03347	AMPFI_01049, AMPFI_00465
OG0001730	YEAST00177	AMPFI_09157
OG0001736	YEAST04588	AMPFI_10858
OG0001739	YEAST03760	AMPFI_18533
OG0001750	YEAST03628	AMPFI_12484
OG0001755	YEAST02688	AMPFI_06376
OG0001756	YEAST00620	AMPFI_19308, AMPFI_09088
OG0001769	YEAST04726	AMPFI_17583, AMPFI_24487
OG0001770	YEAST02590	AMPFI_16335
OG0001774	YEAST05166	AMPFI_10680
OG0001775	YEAST05594	AMPFI_09788, AMPFI_06264, AMPFI_09825
OG0001780	YEAST03768	AMPFI_07742
OG0001781	YEAST01882	AMPFI_23560, AMPFI_08314
OG0001782	YEAST02421	AMPFI_24297, AMPFI_23696, AMPFI_20707, AMPFI_12965
OG0001785	YEAST02713	AMPFI_16195, AMPFI_02986, AMPFI_16358, AMPFI_11500
OG0001787	YEAST03546	AMPFI_25681
OG0001792	YEAST04331	AMPFI_21133
OG0001792	YEAST02075	AMPFI_02745
OG0001792	YEAST04595	AMPFI_07829
OG0001793	YEAST02466	AMPFI_08492, AMPFI_17091
OG0001805	YEAST05496, YEAST01242	AMPFI_11465
OG0001807	YEAST05464	AMPFI_13156
OG0001808	YEAST01298	AMPFI_01463, AMPFI_10697, AMPFI_10214
OG0001818	YEAST05902, YEAST04712	AMPFI_13689
OG0001822	YEAST04378, YEAST01659	AMPFI_12887
OG0001828	YEAST04676	AMPFI_04303, AMPFI_14487, AMPFI_14486
OG0001829	YEAST01613, YEAST00136, YEAST02008	AMPFI_21635, AMPFI_14667
OG0001831	YEAST00024	AMPFI_22534, AMPFI_24544
OG0001832	YEAST05376	AMPFI_01169, AMPFI_13912
OG0001846	YEAST04351, YEAST04434	AMPFI_10946
OG0001846	YEAST05067	AMPFI_05493
OG0001850	YEAST01913	AMPFI_22844, AMPFI_19567, AMPFI_02254, AMPFI_21066
OG0001852	YEAST03121	AMPFI_09915
OG0001853	YEAST05176	AMPFI_25436
OG0001857	YEAST04741	AMPFI_05151
OG0001860	YEAST00188	AMPFI_10262, AMPFI_06272
OG0001861	YEAST05779, YEAST04773	AMPFI_05758, AMPFI_05546, AMPFI_02118
OG0001863	YEAST03017	AMPFI_13121, AMPFI_08387
OG0001865	YEAST06037, YEAST00399, YEAST02919	AMPFI_08697
OG0001866	YEAST05095, YEAST05570	AMPFI_13351
OG0001867	YEAST01669	AMPFI_05628
OG0001873	YEAST00981, YEAST00267	AMPFI_03890
OG0001875	YEAST04137	AMPFI_04167, AMPFI_06025
OG0001886	YEAST03260	AMPFI_21596
OG0001888	YEAST05749, YEAST01573	AMPFI_13172, AMPFI_06802
OG0001893	YEAST01023	AMPFI_19478
OG0001894	YEAST00433	AMPFI_23829
OG0001899	YEAST01210, YEAST04466	AMPFI_14699
OG0001900	YEAST05053	AMPFI_22311
OG0001903	YEAST06020	AMPFI_22480
OG0001913	YEAST05520	AMPFI_25417, AMPFI_20028
OG0001915	YEAST04791	AMPFI_24256
OG0001917	YEAST01859	AMPFI_25940
OG0001923	YEAST05881	AMPFI_05606
OG0001926	YEAST02948	AMPFI_12255
OG0001932	YEAST03770, YEAST03179	AMPFI_22509
OG0001934	YEAST00877	AMPFI_10308
OG0001935	YEAST00431	AMPFI_16321, AMPFI_05252
OG0001938	YEAST03931	AMPFI_24340
OG0001940	YEAST04188, YEAST05646	AMPFI_23874
OG0001943	YEAST02393, YEAST05966	AMPFI_17954
OG0001945	YEAST01671	AMPFI_00770, AMPFI_12531
OG0001947	YEAST02570	AMPFI_19758
OG0001951	YEAST00941, YEAST05396	AMPFI_06568
OG0001952	YEAST04673, YEAST01990, YEAST00155	AMPFI_12492
OG0001965	YEAST04582	AMPFI_25846
OG0001968	YEAST04910	AMPFI_03626, AMPFI_02828
OG0001969	YEAST06173	AMPFI_20288
OG0001972	YEAST01822, YEAST03363	AMPFI_15172
OG0001985	YEAST04959	AMPFI_00548
OG0001992	YEAST02679	AMPFI_09449
OG0001998	YEAST00890	AMPFI_11941
OG0002001	YEAST00502, YEAST03944	AMPFI_02709
OG0002003	YEAST02826, YEAST03671	AMPFI_03786, AMPFI_24835
OG0002008	YEAST00768	AMPFI_22453, AMPFI_06546
OG0002010	YEAST00609	AMPFI_25840
OG0002013	YEAST03040	AMPFI_00191, AMPFI_10559, AMPFI_10560
OG0002014	YEAST02422	AMPFI_21176, AMPFI_02559
OG0002015	YEAST05525	AMPFI_07020
OG0002025	YEAST03650	AMPFI_16365, AMPFI_15837, AMPFI_05377
OG0002026	YEAST01247	AMPFI_00510, AMPFI_07639
OG0002029	YEAST02646	AMPFI_14294
OG0002031	YEAST02752	AMPFI_08223
OG0002032	YEAST01221	AMPFI_07992
OG0002042	YEAST02880	AMPFI_06985
OG0002043	YEAST04003	AMPFI_11574
OG0002059	YEAST05893, YEAST04718	AMPFI_12396
OG0002062	YEAST05454	AMPFI_20199
OG0002063	YEAST00838	AMPFI_24725, AMPFI_08059
OG0002067	YEAST03444	AMPFI_16394
OG0002069	YEAST05962	AMPFI_07503, AMPFI_18734
OG0002073	YEAST04552	AMPFI_25365
OG0002076	YEAST02206	AMPFI_24244
OG0002078	YEAST06232	AMPFI_16293
OG0002079	YEAST05765, YEAST00483	AMPFI_23455
OG0002080	YEAST05220, YEAST04736	AMPFI_00131, AMPFI_15363
OG0002087	YEAST05702	AMPFI_07836
OG0002090	YEAST02246	AMPFI_10383
OG0002093	YEAST02255	AMPFI_22177
OG0002097	YEAST02697	AMPFI_09945
OG0002101	YEAST03902	AMPFI_12592, AMPFI_10537
OG0002103	YEAST05974	AMPFI_02167, AMPFI_02166
OG0002106	YEAST03654	AMPFI_23682
OG0002108	YEAST03715	AMPFI_14729
OG0002123	YEAST02444	AMPFI_13795
OG0002125	YEAST05183	AMPFI_14988, AMPFI_19443, AMPFI_19550
OG0002131	YEAST04275	AMPFI_22649, AMPFI_11577
OG0002137	YEAST04320	AMPFI_24466, AMPFI_14326, AMPFI_07582
OG0002138	YEAST02406	AMPFI_24662, AMPFI_04613
OG0002144	YEAST02673	AMPFI_07287, AMPFI_05043
OG0002146	YEAST04333, YEAST00109, YEAST03088, YEAST04454	AMPFI_05844
OG0002147	YEAST04532, YEAST01219	AMPFI_12842, AMPFI_03644, AMPFI_12841
OG0002148	YEAST02060	AMPFI_23168, AMPFI_13637
OG0002152	YEAST05624	AMPFI_09776
OG0002156	YEAST03007	AMPFI_05384
OG0002160	YEAST03960	AMPFI_14776
OG0002165	YEAST04504	AMPFI_09337
OG0002168	YEAST00516	AMPFI_24771, AMPFI_10928
OG0002169	YEAST02258	AMPFI_21144, AMPFI_21299
OG0002175	YEAST04956	AMPFI_25478, AMPFI_12062
OG0002184	YEAST00242	AMPFI_11522
OG0002185	YEAST05212	AMPFI_09801
OG0002188	YEAST04638, YEAST03913	AMPFI_14506, AMPFI_19113
OG0002189	YEAST02882, YEAST04447	AMPFI_03764, AMPFI_22355
OG0002197	YEAST04045	AMPFI_20061
OG0002213	YEAST01241, YEAST05495	AMPFI_10801, AMPFI_13684, AMPFI_08701
OG0002216	YEAST06040	AMPFI_02814, AMPFI_22578, AMPFI_22501, AMPFI_01725
OG0002217	YEAST06033	AMPFI_25107, AMPFI_18149, AMPFI_19805
OG0002222	YEAST03240	AMPFI_11752
OG0002224	YEAST01574	AMPFI_12765
OG0002225	YEAST04939	AMPFI_07786
OG0002226	YEAST00948	AMPFI_09925
OG0002228	YEAST04154, YEAST05632	AMPFI_01748
OG0002233	YEAST00277	AMPFI_20496, AMPFI_02770
OG0002239	YEAST01621	AMPFI_09155
OG0002241	YEAST02005	AMPFI_14262
OG0002243	YEAST04599, YEAST03601, YEAST04600	AMPFI_06850
OG0002244	YEAST02768	AMPFI_08460, AMPFI_07452
OG0002252	YEAST00826	AMPFI_05242
OG0002261	YEAST00472	AMPFI_03449, AMPFI_16530, AMPFI_00774
OG0002264	YEAST01705	AMPFI_24071
OG0002279	YEAST05800	AMPFI_09683
OG0002282	YEAST00881	AMPFI_20323
OG0002288	YEAST01591, YEAST05154	AMPFI_05968
OG0002292	YEAST00152	AMPFI_03614
OG0002312	YEAST06295	AMPFI_10232, AMPFI_15223
OG0002316	YEAST01805	AMPFI_02237
OG0002318	YEAST02923	AMPFI_24462, AMPFI_08489, AMPFI_21799
OG0002319	YEAST00329	AMPFI_08821
OG0002321	YEAST02461	AMPFI_00776, AMPFI_02703
OG0002324	YEAST02615, YEAST06287	AMPFI_20398, AMPFI_07212, AMPFI_08976
OG0002326	YEAST00310, YEAST02699	AMPFI_07885
OG0002327	YEAST00346, YEAST06217	AMPFI_07418
OG0002331	YEAST01653	AMPFI_24199, AMPFI_19373, AMPFI_03306
OG0002332	YEAST01606, YEAST05184, YEAST00285	AMPFI_17423
OG0002341	YEAST03640, YEAST04562	AMPFI_11181, AMPFI_23909
OG0002344	YEAST02312, YEAST02019	AMPFI_13957
OG0002346	YEAST02012	AMPFI_04693
OG0002348	YEAST01845	AMPFI_04385
OG0002355	YEAST00016	AMPFI_11767
OG0002356	YEAST00259	AMPFI_16602
OG0002361	YEAST01027	AMPFI_10352
OG0002367	YEAST01179	AMPFI_06056, AMPFI_07894
OG0002369	YEAST03766	AMPFI_19667, AMPFI_21321
OG0002374	YEAST02010, YEAST00133	AMPFI_05495
OG0002377	YEAST05000	AMPFI_08355
OG0002406	YEAST05509	AMPFI_17696
OG0002407	YEAST00012	AMPFI_21084
OG0002409	YEAST02027	AMPFI_23640
OG0002411	YEAST05950, YEAST02407	AMPFI_06324
OG0002412	YEAST06171	AMPFI_04294, AMPFI_20575, AMPFI_02976
OG0002413	YEAST01196	AMPFI_15339, AMPFI_18357
OG0002415	YEAST01271	AMPFI_02625, AMPFI_08209
OG0002421	YEAST02982	AMPFI_14396, AMPFI_06900
OG0002422	YEAST05026	AMPFI_25635
OG0002426	YEAST00184	AMPFI_08039
OG0002441	YEAST00068, YEAST02278, YEAST05821	AMPFI_17008
OG0002442	YEAST05932	AMPFI_12744
OG0002443	YEAST04906	AMPFI_24450, AMPFI_15890, AMPFI_16326
OG0002446	YEAST04254	AMPFI_09464
OG0002448	YEAST00626	AMPFI_11264
OG0002450	YEAST04575	AMPFI_10376
OG0002453	YEAST00512	AMPFI_24853
OG0002476	YEAST05799	AMPFI_07173, AMPFI_08958
OG0002486	YEAST01433	AMPFI_16150
OG0002492	YEAST01624	AMPFI_22488
OG0002494	YEAST02402	AMPFI_13852
OG0002495	YEAST02772	AMPFI_25744
OG0002497	YEAST02747	AMPFI_16261
OG0002500	YEAST05648	AMPFI_06240
OG0002505	YEAST02959	AMPFI_03042, AMPFI_22720
OG0002510	YEAST04753	AMPFI_23738, AMPFI_00498
OG0002516	YEAST00066	AMPFI_07473
OG0002518	YEAST02890	AMPFI_11837
OG0002520	YEAST05256	AMPFI_01651
OG0002523	YEAST06234	AMPFI_02042
OG0002527	YEAST01639	AMPFI_15362
OG0002528	YEAST00372	AMPFI_11923
OG0002530	YEAST05530, YEAST03790	AMPFI_06014
OG0002532	YEAST03235	AMPFI_02544
OG0002533	YEAST04525	AMPFI_10313, AMPFI_11981
OG0002543	YEAST00527	AMPFI_05217
OG0002557	YEAST06243	AMPFI_10804
OG0002561	YEAST04438, YEAST02106	AMPFI_16449, AMPFI_21135, AMPFI_22038
OG0002562	YEAST03992	AMPFI_00756
OG0002564	YEAST02186	AMPFI_07937
OG0002565	YEAST04224, YEAST02499	AMPFI_01084
OG0002570	YEAST00592	AMPFI_07846
OG0002574	YEAST05657	AMPFI_24042
OG0002594	YEAST06174	AMPFI_11935
OG0002598	YEAST04621, YEAST03577	AMPFI_08969
OG0002605	YEAST06332	AMPFI_25285, AMPFI_01082, AMPFI_21170
OG0002608	YEAST03716, YEAST02846	AMPFI_24780
OG0002609	YEAST01355	AMPFI_25165
OG0002610	YEAST01078, YEAST03973	AMPFI_08555
OG0002612	YEAST03508	AMPFI_06772, AMPFI_07947
OG0002617	YEAST00866	AMPFI_20313
OG0002618	YEAST06247	AMPFI_03389
OG0002621	YEAST05551	AMPFI_04505
OG0002629	YEAST05919	AMPFI_09457, AMPFI_24735, AMPFI_00928
OG0002632	YEAST02755	AMPFI_05806, AMPFI_01287
OG0002633	YEAST04206	AMPFI_16272
OG0002636	YEAST01664, YEAST06215	AMPFI_20833
OG0002638	YEAST04703	AMPFI_13211
OG0002643	YEAST01938	AMPFI_14666
OG0002645	YEAST01436	AMPFI_11704, AMPFI_05004
OG0002646	YEAST01946	AMPFI_08812
OG0002651	YEAST02247	AMPFI_05026, AMPFI_13681
OG0002651	YEAST02868	AMPFI_05025
OG0002652	YEAST04937	AMPFI_07946, AMPFI_07813
OG0002656	YEAST05701	AMPFI_17717, AMPFI_03906
OG0002659	YEAST06290	AMPFI_14143
OG0002666	YEAST02507	AMPFI_08951, AMPFI_17898
OG0002668	YEAST02324	AMPFI_12794
OG0002677	YEAST05210	AMPFI_08799
OG0002681	YEAST02557	AMPFI_19818
OG0002681	YEAST04585	AMPFI_05501, AMPFI_26003
OG0002683	YEAST03676	AMPFI_05913
OG0002705	YEAST00553	AMPFI_08510
OG0002713	YEAST00413, YEAST06057	AMPFI_19175, AMPFI_19998, AMPFI_23931
OG0002715	YEAST01174, YEAST04131	AMPFI_12353
OG0002717	YEAST02430	AMPFI_01161
OG0002718	YEAST03380, YEAST03502	AMPFI_12945
OG0002720	YEAST01914	AMPFI_06348
OG0002722	YEAST04059	AMPFI_12652
OG0002726	YEAST02958	AMPFI_01971
OG0002729	YEAST01155	AMPFI_01288, AMPFI_15438
OG0002737	YEAST02827	AMPFI_10695
OG0002739	YEAST01877	AMPFI_21137
OG0002740	YEAST01658	AMPFI_07662
OG0002742	YEAST03713	AMPFI_11508
OG0002743	YEAST01824, YEAST03362	AMPFI_20528
OG0002745	YEAST04244	AMPFI_03214
OG0002746	YEAST04902, YEAST05332	AMPFI_06320
OG0002747	YEAST05617	AMPFI_02189
OG0002749	YEAST02810	AMPFI_01144, AMPFI_16192
OG0002750	YEAST04952	AMPFI_04425, AMPFI_12572, AMPFI_03631, AMPFI_12923, AMPFI_13722, AMPFI_00301
OG0002752	YEAST03686	AMPFI_05334
OG0002753	YEAST03742	AMPFI_23417
OG0002754	YEAST03620	AMPFI_17705
OG0002756	YEAST04058	AMPFI_23739, AMPFI_12587
OG0002758	YEAST04409	AMPFI_21608
OG0002760	YEAST01927	AMPFI_07524, AMPFI_18680
OG0002761	YEAST03261	AMPFI_20467
OG0002764	YEAST00423	AMPFI_02962
OG0002765	YEAST01667, YEAST05523	AMPFI_23588
OG0002766	YEAST05357	AMPFI_07357
OG0002767	YEAST04591	AMPFI_06871
OG0002771	YEAST02043	AMPFI_13195
OG0002772	YEAST03384	AMPFI_05332
OG0002773	YEAST03677	AMPFI_13423
OG0002774	YEAST03575	AMPFI_13370
OG0002775	YEAST03021	AMPFI_10550
OG0002781	YEAST05450	AMPFI_24323
OG0002782	YEAST02121	AMPFI_15604
OG0002785	YEAST06106, YEAST01228	AMPFI_09225
OG0002788	YEAST02578, YEAST01232	AMPFI_10049
OG0002789	YEAST05269	AMPFI_17023
OG0002793	YEAST01371	AMPFI_15096
OG0002799	YEAST01461	AMPFI_18480
OG0002817	YEAST01189, YEAST04922	AMPFI_09538
OG0002824	YEAST02137	AMPFI_07617
OG0002826	YEAST00174	AMPFI_24284
OG0002827	YEAST05976	AMPFI_12807, AMPFI_21359, AMPFI_18809
OG0002831	YEAST03282	AMPFI_07272
OG0002835	YEAST02656	AMPFI_09569
OG0002837	YEAST01987, YEAST00157	AMPFI_19230
OG0002839	YEAST03148	AMPFI_07109, AMPFI_07149
OG0002844	YEAST05563	AMPFI_20609, AMPFI_16356, AMPFI_16951
OG0002847	YEAST02294	AMPFI_22348
OG0002851	YEAST04951	AMPFI_20208
OG0002855	YEAST00137	AMPFI_09976, AMPFI_00298, AMPFI_20574, AMPFI_20480, AMPFI_17191, AMPFI_00554
OG0002860	YEAST02712	AMPFI_04562, AMPFI_02972
OG0002866	YEAST01136	AMPFI_10220
OG0002876	YEAST02348	AMPFI_10499
OG0002877	YEAST04537	AMPFI_08793, AMPFI_00713
OG0002883	YEAST03027	AMPFI_17094
OG0002891	YEAST03205	AMPFI_04475
OG0002893	YEAST03653	AMPFI_10355
OG0002894	YEAST00906	AMPFI_06382
OG0002895	YEAST01471, YEAST05353, YEAST05456	AMPFI_06498
OG0002897	YEAST06308	AMPFI_09968
OG0002899	YEAST00283	AMPFI_14669
OG0002900	YEAST05306	AMPFI_20780
OG0002907	YEAST02061	AMPFI_19275
OG0002910	YEAST00223	AMPFI_08873, AMPFI_10619
OG0002915	YEAST02264	AMPFI_13472
OG0002917	YEAST03703	AMPFI_14499
OG0002920	YEAST04043, YEAST04055	AMPFI_03083
OG0002921	YEAST06254	AMPFI_10790, AMPFI_19297
OG0002922	YEAST01261	AMPFI_12284
OG0002947	YEAST00232	AMPFI_12962
OG0002949	YEAST00419, YEAST06063	AMPFI_25632, AMPFI_13293, AMPFI_13294
OG0002952	YEAST05257	AMPFI_03711
OG0002953	YEAST03034	AMPFI_18432
OG0002957	YEAST03253	AMPFI_00571
OG0002960	YEAST05502	AMPFI_17548
OG0002965	YEAST03804	AMPFI_07076
OG0002966	YEAST06059	AMPFI_08237
OG0002968	YEAST00199	AMPFI_05414
OG0002982	YEAST02471	AMPFI_02827
OG0002984	YEAST00961, YEAST01144	AMPFI_07036
OG0002985	YEAST02147	AMPFI_17949
OG0002987	YEAST02970, YEAST00081, YEAST02488	AMPFI_13529
OG0002991	YEAST03345, YEAST01842	AMPFI_23713
OG0002997	YEAST02374	AMPFI_05692
OG0003001	YEAST01497	AMPFI_06603
OG0003004	YEAST02183	AMPFI_06638
OG0003006	YEAST00899	AMPFI_24175
OG0003010	YEAST03035	AMPFI_05162
OG0003012	YEAST04512	AMPFI_19750
OG0003016	YEAST04810	AMPFI_01985, AMPFI_21862
OG0003017	YEAST02213	AMPFI_05503, AMPFI_14328
OG0003018	YEAST01635, YEAST01949	AMPFI_00574
