Orthogroup	YEAST	ASTMX
OG0000768	YEAST02560, YEAST04269	ASTMX07141, ASTMX00777, ASTMX22777, ASTMX20032
OG0000772	YEAST04929	ASTMX21784, ASTMX06747
OG0000776	YEAST04571, YEAST00195, YEAST00312	ASTMX07839, ASTMX16276, ASTMX00140, ASTMX08791, ASTMX16952
OG0000777	YEAST06297, YEAST02627	ASTMX15408, ASTMX12925, ASTMX04998, ASTMX12330, ASTMX11385
OG0000779	YEAST03812	ASTMX03346, ASTMX03437, ASTMX00687, ASTMX11032, ASTMX06141
OG0000782	YEAST01393, YEAST05616	ASTMX02444, ASTMX19387, ASTMX06219, ASTMX00254
OG0000791	YEAST02375	ASTMX13100, ASTMX11966, ASTMX00979, ASTMX16746, ASTMX17098
OG0000794	YEAST04627	ASTMX04449, ASTMX12232, ASTMX04448, ASTMX18972
OG0000800	YEAST03636	ASTMX14154, ASTMX10910, ASTMX21176, ASTMX21175, ASTMX03211
OG0000809	YEAST01998	ASTMX18076, ASTMX16871, ASTMX20241, ASTMX06550, ASTMX06551, ASTMX02419, ASTMX12066
OG0000817	YEAST00389	ASTMX22057, ASTMX12294
OG0000817	YEAST06112	ASTMX19659
OG0000824	YEAST01319, YEAST02883	ASTMX19093, ASTMX19096, ASTMX19094, ASTMX19092, ASTMX12217, ASTMX19091, ASTMX12216, ASTMX19095
OG0000828	YEAST00945, YEAST05476, YEAST00075	ASTMX13643
OG0000828	YEAST02290	ASTMX19023
OG0000837	YEAST06222	ASTMX11955, ASTMX04294, ASTMX04295, ASTMX04140, ASTMX07602, ASTMX17291
OG0000841	YEAST02416	ASTMX20423, ASTMX20424, ASTMX10887, ASTMX01216, ASTMX12144
OG0000847	YEAST02881, YEAST03544, YEAST06198	ASTMX04476
OG0000847	YEAST02530, YEAST00209	ASTMX13199, ASTMX17255
OG0000849	YEAST04475	ASTMX14573, ASTMX21951, ASTMX13338, ASTMX16587, ASTMX06284
OG0000850	YEAST04287	ASTMX16693, ASTMX02820, ASTMX12095
OG0000852	YEAST01266	ASTMX14218, ASTMX09079, ASTMX14219, ASTMX01973, ASTMX04325
OG0000854	YEAST00248	ASTMX08448, ASTMX07266, ASTMX08447
OG0000855	YEAST04755	ASTMX05866, ASTMX09644, ASTMX09643
OG0000857	YEAST00309	ASTMX18737, ASTMX15778, ASTMX01089, ASTMX09003
OG0000868	YEAST06157	ASTMX15066, ASTMX10396, ASTMX18458, ASTMX16490, ASTMX15068, ASTMX16949
OG0000871	YEAST03857	ASTMX08820, ASTMX22315
OG0000872	YEAST03222, YEAST03741	ASTMX20999, ASTMX02605, ASTMX03062
OG0000875	YEAST00077	ASTMX10227, ASTMX22128, ASTMX15020
OG0000876	YEAST05556	ASTMX16792, ASTMX16648, ASTMX15450, ASTMX11061, ASTMX09402, ASTMX16730
OG0000879	YEAST06123	ASTMX07159, ASTMX20218, ASTMX05667, ASTMX19602, ASTMX05400
OG0000888	YEAST00288	ASTMX14224, ASTMX11928, ASTMX18926, ASTMX21100
OG0000889	YEAST00175	ASTMX01303, ASTMX13535, ASTMX17253, ASTMX13198, ASTMX13987, ASTMX20205
OG0000894	YEAST03763	ASTMX14915, ASTMX19186, ASTMX07726, ASTMX19891, ASTMX11065
OG0000896	YEAST02476	ASTMX08984
OG0000896	YEAST04923	ASTMX03839, ASTMX20490
OG0000898	YEAST06255, YEAST03431	ASTMX07406, ASTMX18529
OG0000905	YEAST00599	ASTMX00338, ASTMX14498, ASTMX00347
OG0000907	YEAST02193	ASTMX06533, ASTMX02843, ASTMX09038
OG0000913	YEAST03557, YEAST05101	ASTMX04731, ASTMX14355
OG0000914	YEAST04745	ASTMX10770, ASTMX04016, ASTMX01787, ASTMX05533, ASTMX00615
OG0000921	YEAST02526	ASTMX01807, ASTMX13599, ASTMX02073
OG0000925	YEAST05667, YEAST06025	ASTMX10561, ASTMX00132, ASTMX00555
OG0000932	YEAST03525	ASTMX05094, ASTMX12156, ASTMX11727, ASTMX11726
OG0000933	YEAST06306	ASTMX03259, ASTMX06999, ASTMX13050, ASTMX05807, ASTMX22463
OG0000934	YEAST02582, YEAST06252	ASTMX09810, ASTMX09922
OG0000934	YEAST05040	ASTMX09273, ASTMX08879, ASTMX19792
OG0000935	YEAST02843	ASTMX04934, ASTMX18192, ASTMX02617, ASTMX18423, ASTMX09074, ASTMX14216, ASTMX00813
OG0000943	YEAST03805	ASTMX05186, ASTMX21773
OG0000944	YEAST04878	ASTMX07936, ASTMX13997, ASTMX11801, ASTMX01164, ASTMX10713
OG0000954	YEAST05503, YEAST01249	ASTMX15027, ASTMX21854
OG0000955	YEAST00837	ASTMX18471, ASTMX19384
OG0000955	YEAST04295	ASTMX11621
OG0000963	YEAST03685, YEAST00482, YEAST01749	ASTMX07918, ASTMX18186, ASTMX05064, ASTMX15961
OG0000964	YEAST04606	ASTMX14595, ASTMX06312
OG0000965	YEAST02552	ASTMX11644
OG0000965	YEAST02050	ASTMX05585
OG0000967	YEAST05075	ASTMX08221, ASTMX07666, ASTMX03215
OG0000970	YEAST04028	ASTMX04466, ASTMX16775, ASTMX10621
OG0000982	YEAST01182	ASTMX07919, ASTMX18187, ASTMX11536, ASTMX07445, ASTMX13438, ASTMX10025, ASTMX18188
OG0000984	YEAST01493, YEAST00575	ASTMX02397
OG0000986	YEAST01481, YEAST04073	ASTMX21143, ASTMX19507, ASTMX13383, ASTMX12846, ASTMX17978
OG0000987	YEAST04734, YEAST02734	ASTMX15681, ASTMX02636, ASTMX09408, ASTMX04754, ASTMX04880, ASTMX14766
OG0000994	YEAST02360	ASTMX09930, ASTMX09998
OG0000996	YEAST00033	ASTMX23040, ASTMX18947, ASTMX18386, ASTMX22748, ASTMX01122, ASTMX09090, ASTMX06171, ASTMX18948
OG0001001	YEAST00341	ASTMX17780, ASTMX06967, ASTMX00557, ASTMX00122
OG0001003	YEAST00644	ASTMX14461, ASTMX16003
OG0001006	YEAST04513	ASTMX19697, ASTMX13446, ASTMX05959, ASTMX13127
OG0001016	YEAST00830	ASTMX02659, ASTMX09603
OG0001018	YEAST01172	ASTMX07293, ASTMX14402
OG0001024	YEAST01024, YEAST00308	ASTMX03675, ASTMX18108, ASTMX07995, ASTMX09301, ASTMX15826, ASTMX03255
OG0001033	YEAST02124	ASTMX02891, ASTMX13562
OG0001066	YEAST06311	ASTMX20286, ASTMX02069, ASTMX08837, ASTMX00998, ASTMX09220, ASTMX01339
OG0001075	YEAST05636	ASTMX15603, ASTMX17534, ASTMX07596
OG0001076	YEAST01570	ASTMX03685, ASTMX22707, ASTMX03684, ASTMX11243, ASTMX11094
OG0001081	YEAST04460	ASTMX07535, ASTMX07534, ASTMX20170, ASTMX20169
OG0001082	YEAST03919, YEAST02905, YEAST05331	ASTMX05356
OG0001094	YEAST03837	ASTMX20728, ASTMX11817, ASTMX22892
OG0001095	YEAST00773	ASTMX01042, ASTMX06668, ASTMX10417, ASTMX04271
OG0001096	YEAST01384	ASTMX18205, ASTMX09790
OG0001101	YEAST03434	ASTMX18645
OG0001101	YEAST04701	ASTMX23013
OG0001108	YEAST06309	ASTMX10776, ASTMX02283
OG0001113	YEAST05320	ASTMX19887
OG0001113	YEAST00954	ASTMX17433
OG0001114	YEAST00036, YEAST05811	ASTMX20168, ASTMX05200, ASTMX10656
OG0001124	YEAST02719	ASTMX11649, ASTMX21249
OG0001132	YEAST05421	ASTMX10021
OG0001133	YEAST04296	ASTMX13789
OG0001133	YEAST03271	ASTMX12861
OG0001134	YEAST05015	ASTMX21574, ASTMX21573, ASTMX07671
OG0001135	YEAST03641	ASTMX15353, ASTMX19619, ASTMX18867
OG0001136	YEAST05047, YEAST02997	ASTMX03984, ASTMX03125, ASTMX00617, ASTMX01730
OG0001140	YEAST03519	ASTMX00871, ASTMX01335
OG0001142	YEAST04001	ASTMX06998
OG0001148	YEAST02601	ASTMX03651
OG0001163	YEAST02433	ASTMX21149, ASTMX13397, ASTMX06626
OG0001164	YEAST03454	ASTMX15332, ASTMX23034
OG0001171	YEAST04620, YEAST03578	ASTMX06140, ASTMX11035, ASTMX09871, ASTMX18404, ASTMX03436
OG0001175	YEAST00534	ASTMX15626, ASTMX17938, ASTMX10319
OG0001177	YEAST06137	ASTMX14125, ASTMX15939
OG0001179	YEAST00368, YEAST04831, YEAST02287	ASTMX12400, ASTMX07456
OG0001181	YEAST02051	ASTMX22174, ASTMX18946, ASTMX06446, ASTMX22724, ASTMX17051, ASTMX17260
OG0001184	YEAST01681	ASTMX19302, ASTMX00228
OG0001185	YEAST04969	ASTMX07482, ASTMX10936
OG0001186	YEAST04605, YEAST01886	ASTMX18547, ASTMX02567, ASTMX13845
OG0001191	YEAST04707	ASTMX19829, ASTMX17768, ASTMX05237, ASTMX10430, ASTMX15730
OG0001192	YEAST01898	ASTMX10488, ASTMX09214, ASTMX16386
OG0001197	YEAST01499	ASTMX03942, ASTMX01914, ASTMX20138
OG0001201	YEAST05452	ASTMX07237, ASTMX15800, ASTMX18361, ASTMX18598
OG0001204	YEAST05200	ASTMX05907, ASTMX05878, ASTMX12225
OG0001207	YEAST04258	ASTMX15583, ASTMX21871, ASTMX07379, ASTMX05452
OG0001210	YEAST05511	ASTMX01254
OG0001210	YEAST02318	ASTMX10342, ASTMX10343
OG0001212	YEAST03971	ASTMX22528, ASTMX14804, ASTMX14803
OG0001214	YEAST00577	ASTMX09593, ASTMX12596
OG0001216	YEAST00145	ASTMX20220, ASTMX20446, ASTMX06792, ASTMX21172
OG0001219	YEAST03867	ASTMX14886, ASTMX03969, ASTMX10652, ASTMX14229
OG0001236	YEAST03325, YEAST02687, YEAST03269	ASTMX01850, ASTMX11510, ASTMX06878
OG0001237	YEAST04380	ASTMX04904, ASTMX20913, ASTMX01867, ASTMX07784, ASTMX12070, ASTMX02167
OG0001238	YEAST04481	ASTMX03666, ASTMX13748, ASTMX05355
OG0001241	YEAST02002	ASTMX06697
OG0001241	YEAST03967, YEAST01074	ASTMX04159, ASTMX18901
OG0001243	YEAST00739, YEAST05004	ASTMX17034, ASTMX02160, ASTMX19994
OG0001249	YEAST01062, YEAST02067	ASTMX20180, ASTMX00503, ASTMX20181, ASTMX10323, ASTMX00502, ASTMX04928
OG0001250	YEAST02968, YEAST01339	ASTMX15491, ASTMX07689, ASTMX20710
OG0001251	YEAST01707	ASTMX13849, ASTMX12740
OG0001253	YEAST03998	ASTMX13288, ASTMX07246, ASTMX13330, ASTMX10772, ASTMX13287, ASTMX05532, ASTMX01786
OG0001254	YEAST04309	ASTMX21460, ASTMX21459, ASTMX10576, ASTMX17225
OG0001262	YEAST00911	ASTMX21377
OG0001263	YEAST00172	ASTMX22241, ASTMX17678, ASTMX07639, ASTMX17278
OG0001268	YEAST03495	ASTMX20034
OG0001270	YEAST01703	ASTMX19479
OG0001270	YEAST02398	ASTMX03630
OG0001271	YEAST05227, YEAST00662	ASTMX14027, ASTMX21049, ASTMX10446, ASTMX00815
OG0001278	YEAST01893	ASTMX04865, ASTMX10228
OG0001279	YEAST03070	ASTMX06329, ASTMX08064, ASTMX13662, ASTMX17711, ASTMX11584
OG0001280	YEAST00846	ASTMX19448, ASTMX11018, ASTMX16795, ASTMX21805, ASTMX18435
OG0001282	YEAST03744	ASTMX11350, ASTMX00096, ASTMX03184, ASTMX16656, ASTMX11349
OG0001284	YEAST00567, YEAST01498	ASTMX09601, ASTMX06818, ASTMX13787, ASTMX17233
OG0001286	YEAST00588, YEAST01486, YEAST03604	ASTMX00340, ASTMX14497, ASTMX07360, ASTMX04486
OG0001291	YEAST04453, YEAST04334	ASTMX09956, ASTMX19427, ASTMX10484, ASTMX07994, ASTMX09302
OG0001300	YEAST01098	ASTMX06507, ASTMX16708, ASTMX01169
OG0001302	YEAST02328	ASTMX00499
OG0001302	YEAST00299	ASTMX18397
OG0001310	YEAST00887	ASTMX09500, ASTMX19103, ASTMX15228, ASTMX19102
OG0001318	YEAST03712	ASTMX01432, ASTMX07560, ASTMX04187
OG0001319	YEAST01678	ASTMX21712, ASTMX18142, ASTMX04629, ASTMX16650, ASTMX00136, ASTMX21713
OG0001321	YEAST02280, YEAST01901	ASTMX01879, ASTMX15374, ASTMX06232, ASTMX07920, ASTMX01880
OG0001322	YEAST06128	ASTMX01716, ASTMX07256, ASTMX16188
OG0001324	YEAST00078	ASTMX04156
OG0001325	YEAST00793	ASTMX03760, ASTMX19330, ASTMX19332, ASTMX19329, ASTMX03771, ASTMX19331
OG0001326	YEAST05395	ASTMX02799, ASTMX05995, ASTMX05996, ASTMX13210, ASTMX06599, ASTMX08581
OG0001327	YEAST03176	ASTMX01100, ASTMX18676, ASTMX05552
OG0001332	YEAST03929, YEAST02705, YEAST00687	ASTMX08248, ASTMX16970
OG0001333	YEAST00728	ASTMX05919, ASTMX07699
OG0001341	YEAST06006	ASTMX04021, ASTMX18606
OG0001345	YEAST03613	ASTMX17745
OG0001353	YEAST00020, YEAST04041	ASTMX14151, ASTMX11924, ASTMX13745
OG0001363	YEAST06180	ASTMX08285, ASTMX10326, ASTMX03420
OG0001364	YEAST06038, YEAST00402	ASTMX17782, ASTMX06972, ASTMX17850
OG0001367	YEAST04688	ASTMX00960, ASTMX11729, ASTMX19617, ASTMX13008, ASTMX20021
OG0001368	YEAST01821	ASTMX03257, ASTMX15096, ASTMX16548
OG0001370	YEAST04067, YEAST05195, YEAST00897	ASTMX09028, ASTMX12996
OG0001371	YEAST00532, YEAST03976	ASTMX10538
OG0001372	YEAST00070	ASTMX06020
OG0001375	YEAST05499, YEAST05567	ASTMX15348, ASTMX12879, ASTMX05755, ASTMX08713
OG0001378	YEAST02300	ASTMX05115, ASTMX18038, ASTMX12590, ASTMX15728, ASTMX14012, ASTMX04632
OG0001379	YEAST04155	ASTMX03133, ASTMX08769, ASTMX08803, ASTMX08802, ASTMX03013, ASTMX03014
OG0001386	YEAST05114	ASTMX10454, ASTMX13567, ASTMX13566
OG0001397	YEAST05731	ASTMX08012, ASTMX19505, ASTMX01488
OG0001400	YEAST02931	ASTMX01461, ASTMX15365, ASTMX12046, ASTMX21798, ASTMX01897
OG0001409	YEAST00885, YEAST04659	ASTMX06764, ASTMX08743, ASTMX16438, ASTMX11918
OG0001410	YEAST05046	ASTMX14683, ASTMX11950
OG0001411	YEAST04834	ASTMX12471
OG0001412	YEAST04490	ASTMX19015, ASTMX19014
OG0001413	YEAST04294	ASTMX19024
OG0001414	YEAST06070, YEAST01920	ASTMX11572, ASTMX11571, ASTMX02756
OG0001421	YEAST05252	ASTMX08217, ASTMX10787, ASTMX08122, ASTMX03810
OG0001422	YEAST05588, YEAST01363	ASTMX17695, ASTMX01913
OG0001424	YEAST01127	ASTMX17288, ASTMX12720
OG0001427	YEAST01885	ASTMX10767, ASTMX01765, ASTMX17165
OG0001428	YEAST04862, YEAST05862, YEAST02749, YEAST03037	ASTMX05247, ASTMX09437, ASTMX16939, ASTMX14746
OG0001430	YEAST01712	ASTMX21020, ASTMX21443, ASTMX04688, ASTMX10990, ASTMX18254, ASTMX13065
OG0001434	YEAST03991	ASTMX09914, ASTMX09915
OG0001437	YEAST01264, YEAST02900	ASTMX02671, ASTMX18553, ASTMX12632
OG0001445	YEAST01715	ASTMX04130, ASTMX07057
OG0001449	YEAST03188	ASTMX21017, ASTMX21018
OG0001449	YEAST05764	ASTMX16238
OG0001452	YEAST05900	ASTMX12067, ASTMX20582, ASTMX19197, ASTMX12069
OG0001454	YEAST01495, YEAST00573	ASTMX22213, ASTMX18012, ASTMX21139
OG0001456	YEAST00365	ASTMX18391, ASTMX22915, ASTMX18388, ASTMX18389, ASTMX18392, ASTMX18390
OG0001459	YEAST03073, YEAST03464	ASTMX20587, ASTMX19737
OG0001461	YEAST05255	ASTMX05184
OG0001468	YEAST03875, YEAST03904	ASTMX14778, ASTMX06215, ASTMX18545, ASTMX05354
OG0001469	YEAST02070	ASTMX17940
OG0001469	YEAST02765	ASTMX05748
OG0001470	YEAST00369, YEAST05375	ASTMX22480, ASTMX02997, ASTMX02333
OG0001472	YEAST03031	ASTMX14550, ASTMX17138
OG0001473	YEAST05711	ASTMX15501, ASTMX19877
OG0001474	YEAST01416, YEAST05312	ASTMX12989, ASTMX07703
OG0001478	YEAST01984	ASTMX12885
OG0001478	YEAST02078	ASTMX07723
OG0001479	YEAST01132	ASTMX01954, ASTMX14199, ASTMX14335, ASTMX15077
OG0001503	YEAST03032	ASTMX02356
OG0001503	YEAST02920	ASTMX19525
OG0001504	YEAST05406	ASTMX13743
OG0001505	YEAST03361	ASTMX16658, ASTMX10480
OG0001508	YEAST04143	ASTMX16208, ASTMX16207, ASTMX21298
OG0001515	YEAST03320	ASTMX13055, ASTMX11972
OG0001515	YEAST03569	ASTMX03532
OG0001520	YEAST03872	ASTMX04278
OG0001524	YEAST03912	ASTMX02800, ASTMX10909
OG0001525	YEAST00757	ASTMX03602
OG0001527	YEAST01395	ASTMX03505
OG0001529	YEAST01143	ASTMX09418, ASTMX00938, ASTMX00780
OG0001530	YEAST00643	ASTMX06648, ASTMX06951
OG0001546	YEAST03111	ASTMX10973, ASTMX01598
OG0001550	YEAST02405, YEAST05953	ASTMX18336, ASTMX06212, ASTMX14152
OG0001551	YEAST04817	ASTMX01345, ASTMX03884
OG0001553	YEAST05147, YEAST01586	ASTMX13473, ASTMX02742, ASTMX20664, ASTMX05977, ASTMX20988
OG0001557	YEAST04671	ASTMX20060
OG0001557	YEAST04551	ASTMX08321
OG0001558	YEAST04449	ASTMX15085, ASTMX15086, ASTMX13703, ASTMX08558
OG0001559	YEAST00445, YEAST02434	ASTMX07506, ASTMX04609, ASTMX03837, ASTMX21052
OG0001561	YEAST06176	ASTMX12815, ASTMX13331, ASTMX05206, ASTMX16235
OG0001564	YEAST05390	ASTMX08776, ASTMX08775, ASTMX04344, ASTMX08787
OG0001570	YEAST04678	ASTMX17213
OG0001573	YEAST03285	ASTMX07410, ASTMX09054
OG0001578	YEAST01872	ASTMX17269
OG0001580	YEAST06270	ASTMX17141, ASTMX00422, ASTMX07082
OG0001590	YEAST03476, YEAST00717, YEAST03955	ASTMX14704
OG0001594	YEAST03418	ASTMX03704
OG0001597	YEAST01702	ASTMX12010, ASTMX02205
OG0001603	YEAST02584	ASTMX15815, ASTMX06753, ASTMX22513
OG0001604	YEAST01428	ASTMX20038, ASTMX22550, ASTMX05873
OG0001605	YEAST04101	ASTMX17869, ASTMX10907, ASTMX17438, ASTMX13921
OG0001609	YEAST02739	ASTMX05434, ASTMX10748
OG0001610	YEAST00596, YEAST02062	ASTMX11326, ASTMX21155, ASTMX22190, ASTMX15390
OG0001612	YEAST01109	ASTMX00061, ASTMX08047
OG0001628	YEAST04790	ASTMX10611, ASTMX13713
OG0001653	YEAST01151	ASTMX22783, ASTMX22782, ASTMX03023
OG0001655	YEAST03354	ASTMX19212, ASTMX01670, ASTMX07000, ASTMX09332
OG0001657	YEAST00101, YEAST00944	ASTMX22284, ASTMX12850, ASTMX15429
OG0001663	YEAST05642	ASTMX05177, ASTMX19785, ASTMX01771, ASTMX08877
OG0001676	YEAST02848	ASTMX02737
OG0001676	YEAST06155	ASTMX18175
OG0001680	YEAST01119, YEAST04022	ASTMX10612, ASTMX16866, ASTMX08071, ASTMX08524, ASTMX17208, ASTMX17209, ASTMX13927, ASTMX10466
OG0001685	YEAST01147	ASTMX11627, ASTMX01624
OG0001687	YEAST05279	ASTMX02771
OG0001691	YEAST01315	ASTMX01434, ASTMX18308
OG0001704	YEAST01293	ASTMX09400
OG0001706	YEAST03424	ASTMX05640, ASTMX20258, ASTMX05639
OG0001707	YEAST06049, YEAST00407, YEAST04739	ASTMX18307, ASTMX18306
OG0001708	YEAST05744, YEAST05745	ASTMX08054, ASTMX06200, ASTMX04674
OG0001709	YEAST04440	ASTMX04095
OG0001713	YEAST04039	ASTMX02275, ASTMX17234
OG0001718	YEAST01537	ASTMX07179, ASTMX23036, ASTMX19690, ASTMX19842, ASTMX19691, ASTMX04823, ASTMX19689
OG0001721	YEAST04881, YEAST05253, YEAST00698	ASTMX00052, ASTMX01262, ASTMX09503, ASTMX12296
OG0001723	YEAST01435	ASTMX11836, ASTMX12143, ASTMX06027
OG0001727	YEAST04543	ASTMX18920, ASTMX10976, ASTMX04884, ASTMX01599, ASTMX20797
OG0001728	YEAST03347	ASTMX21304, ASTMX21305, ASTMX21308, ASTMX21307, ASTMX13636, ASTMX13637, ASTMX21309, ASTMX21306
OG0001730	YEAST05118	ASTMX22977
OG0001730	YEAST00177	ASTMX20533, ASTMX14053, ASTMX14051, ASTMX02853
OG0001739	YEAST03760	ASTMX19266, ASTMX03558, ASTMX00354
OG0001745	YEAST01431	ASTMX05763, ASTMX01218
OG0001750	YEAST03628	ASTMX12646, ASTMX21008, ASTMX02080, ASTMX01052, ASTMX06673
OG0001754	YEAST03682	ASTMX08050, ASTMX00116
OG0001755	YEAST05131	ASTMX06126
OG0001756	YEAST00620	ASTMX08584, ASTMX13471
OG0001769	YEAST04726	ASTMX01507, ASTMX04557
OG0001770	YEAST02590	ASTMX16705, ASTMX20255, ASTMX00311, ASTMX08260
OG0001774	YEAST05166	ASTMX10351, ASTMX06409
OG0001775	YEAST05594	ASTMX18173, ASTMX02453, ASTMX19386
OG0001780	YEAST03768	ASTMX11982, ASTMX11983, ASTMX06627
OG0001781	YEAST01882	ASTMX01449, ASTMX19769
OG0001782	YEAST02421	ASTMX13624, ASTMX12666
OG0001785	YEAST02713	ASTMX00095
OG0001787	YEAST03546	ASTMX00153, ASTMX21186, ASTMX20336
OG0001792	YEAST04331	ASTMX10365
OG0001792	YEAST04595	ASTMX18195
OG0001793	YEAST02466	ASTMX07514, ASTMX17118, ASTMX02969
OG0001805	YEAST05496, YEAST01242	ASTMX17764, ASTMX21541, ASTMX17763, ASTMX22144
OG0001807	YEAST05464	ASTMX04499, ASTMX10176
OG0001808	YEAST01298	ASTMX21694, ASTMX21696, ASTMX05491, ASTMX21695
OG0001818	YEAST05902, YEAST04712	ASTMX15112, ASTMX15111, ASTMX01280
OG0001822	YEAST04378, YEAST01659	ASTMX17911, ASTMX05380, ASTMX01084
OG0001826	YEAST04777, YEAST01697, YEAST05781	ASTMX17635, ASTMX17851, ASTMX04624, ASTMX18141
OG0001828	YEAST04676	ASTMX21055
OG0001829	YEAST01613, YEAST00136, YEAST02008	ASTMX12419, ASTMX21618, ASTMX10904
OG0001831	YEAST00024	ASTMX09701, ASTMX11370, ASTMX05003
OG0001832	YEAST05376	ASTMX16776, ASTMX06849, ASTMX17231
OG0001846	YEAST05067	ASTMX14112, ASTMX06709, ASTMX19360
OG0001850	YEAST01913	ASTMX19918
OG0001852	YEAST03121	ASTMX04038, ASTMX18646, ASTMX00935
OG0001853	YEAST05176	ASTMX06831, ASTMX12580, ASTMX14066
OG0001857	YEAST04741	ASTMX08952, ASTMX08953, ASTMX03295, ASTMX15454
OG0001860	YEAST00188	ASTMX12416, ASTMX07354
OG0001861	YEAST05779, YEAST04773	ASTMX13536, ASTMX07579, ASTMX01292
OG0001863	YEAST03017	ASTMX08020, ASTMX09136
OG0001866	YEAST05095, YEAST05570	ASTMX03690
OG0001867	YEAST01669	ASTMX16400, ASTMX16454
OG0001873	YEAST00981, YEAST00267	ASTMX13537
OG0001875	YEAST04137	ASTMX04145, ASTMX19333
OG0001877	YEAST04134	ASTMX16552, ASTMX01676, ASTMX12947, ASTMX10278
OG0001886	YEAST03260	ASTMX11188, ASTMX19864
OG0001888	YEAST05749, YEAST01573	ASTMX15480, ASTMX17356, ASTMX11277
OG0001893	YEAST01023	ASTMX19770, ASTMX19643
OG0001894	YEAST00433	ASTMX07802, ASTMX07302, ASTMX12290
OG0001899	YEAST01210, YEAST04466	ASTMX04690, ASTMX15105
OG0001903	YEAST06020	ASTMX04440, ASTMX02517
OG0001913	YEAST05520	ASTMX20767, ASTMX02135, ASTMX20390
OG0001915	YEAST04791	ASTMX06154, ASTMX20145
OG0001917	YEAST01859	ASTMX12441, ASTMX14303, ASTMX04127, ASTMX20172, ASTMX18196
OG0001923	YEAST05881	ASTMX11549, ASTMX15481, ASTMX19703
OG0001926	YEAST02948	ASTMX02370
OG0001932	YEAST03770, YEAST03179	ASTMX08414, ASTMX03192, ASTMX04190
OG0001934	YEAST00877	ASTMX19911, ASTMX13174, ASTMX13175
OG0001935	YEAST00431	ASTMX11590, ASTMX11916
OG0001938	YEAST03931	ASTMX18133, ASTMX18130, ASTMX18132, ASTMX18129, ASTMX18131, ASTMX18248, ASTMX18135, ASTMX18134
OG0001940	YEAST04188, YEAST05646	ASTMX17596
OG0001943	YEAST02393, YEAST05966	ASTMX17179, ASTMX00958
OG0001945	YEAST01671	ASTMX00044, ASTMX10524, ASTMX09938
OG0001947	YEAST02570	ASTMX05518, ASTMX09474, ASTMX03096, ASTMX00626
OG0001951	YEAST00941, YEAST05396	ASTMX20250, ASTMX00814, ASTMX21087, ASTMX07517
OG0001952	YEAST04673, YEAST01990, YEAST00155	ASTMX11334
OG0001965	YEAST04582	ASTMX04867
OG0001968	YEAST04910	ASTMX01530, ASTMX09462
OG0001969	YEAST06173	ASTMX10572, ASTMX16678, ASTMX02918
OG0001972	YEAST01822, YEAST03363	ASTMX16670, ASTMX02119
OG0001985	YEAST04959	ASTMX05944, ASTMX20318, ASTMX20204
OG0001992	YEAST02679	ASTMX04244, ASTMX09494
OG0001998	YEAST00890	ASTMX15724, ASTMX01470
OG0002001	YEAST00502, YEAST03944	ASTMX01040, ASTMX04984
OG0002003	YEAST02826, YEAST03671	ASTMX12936, ASTMX02322, ASTMX09501
OG0002008	YEAST00768	ASTMX21371, ASTMX21150
OG0002010	YEAST00609	ASTMX12934, ASTMX08578, ASTMX21425, ASTMX11376
OG0002013	YEAST03040	ASTMX05656, ASTMX18118
OG0002014	YEAST02422	ASTMX22107, ASTMX15926, ASTMX08364, ASTMX13940
OG0002015	YEAST05525	ASTMX22305, ASTMX21197
OG0002025	YEAST03650	ASTMX21209
OG0002026	YEAST01247	ASTMX08004, ASTMX05432
OG0002029	YEAST02646	ASTMX07856, ASTMX13315
OG0002031	YEAST02752	ASTMX19732, ASTMX01811
OG0002032	YEAST01221	ASTMX17188
OG0002042	YEAST02880	ASTMX12108, ASTMX12109
OG0002043	YEAST04003	ASTMX04301, ASTMX15262
OG0002048	YEAST02273	ASTMX12393, ASTMX16830, ASTMX20092, ASTMX20079, ASTMX21852, ASTMX13379, ASTMX20878, ASTMX16686, ASTMX19081, ASTMX21015, ASTMX04337, ASTMX16728, ASTMX15072, ASTMX16727, ASTMX19477, ASTMX18986, ASTMX19458, ASTMX19303, ASTMX15069, ASTMX17819, ASTMX16998, ASTMX21395, ASTMX22007, ASTMX19630, ASTMX20896, ASTMX21475, ASTMX05332, ASTMX22737, ASTMX18738, ASTMX19803, ASTMX21286, ASTMX18020, ASTMX19233
OG0002059	YEAST05893, YEAST04718	ASTMX16881, ASTMX08569, ASTMX16470
OG0002062	YEAST05454	ASTMX13242, ASTMX19992, ASTMX02071
OG0002063	YEAST00838	ASTMX14592, ASTMX08215
OG0002067	YEAST03444	ASTMX12928
OG0002069	YEAST05962	ASTMX05370, ASTMX06681, ASTMX06821
OG0002073	YEAST04552	ASTMX18638
OG0002076	YEAST02206	ASTMX09409, ASTMX19822, ASTMX20304
OG0002078	YEAST06232	ASTMX22650, ASTMX07822, ASTMX22651, ASTMX21198, ASTMX07693
OG0002079	YEAST05765, YEAST00483	ASTMX08264, ASTMX09088
OG0002080	YEAST05220, YEAST04736	ASTMX03462, ASTMX21263
OG0002084	YEAST04529	ASTMX10426, ASTMX03243, ASTMX05634
OG0002087	YEAST05702	ASTMX16781
OG0002090	YEAST02246	ASTMX16025
OG0002093	YEAST02255	ASTMX15922
