Orthogroup	YEAST	ORYLA
OG0000876	YEAST05556	ORYLA08818, ORYLA06408, ORYLA15707, ORYLA20147, ORYLA09773, ORYLA18338
OG0000879	YEAST06123	ORYLA06599, ORYLA15760, ORYLA10296
OG0000888	YEAST00288	ORYLA05760, ORYLA12980, ORYLA06869, ORYLA17907
OG0000889	YEAST00175	ORYLA11414, ORYLA10267, ORYLA16878
OG0000894	YEAST03763	ORYLA07232, ORYLA00467, ORYLA07753, ORYLA17007, ORYLA16512
OG0000896	YEAST02476	ORYLA12742
OG0000896	YEAST04923	ORYLA18744, ORYLA04344
OG0000898	YEAST06255, YEAST03431	ORYLA08993
OG0000905	YEAST00599	ORYLA19283, ORYLA19282
OG0000907	YEAST02193	ORYLA13394, ORYLA17435
OG0000913	YEAST03557, YEAST05101	ORYLA01511
OG0000914	YEAST04745	ORYLA15437, ORYLA14317, ORYLA20258, ORYLA15690, ORYLA14429, ORYLA14695
OG0000921	YEAST02526	ORYLA05705, ORYLA19667, ORYLA13652
OG0000925	YEAST05667, YEAST06025	ORYLA19836, ORYLA09614
OG0000932	YEAST03525	ORYLA17977, ORYLA03357
OG0000933	YEAST06306	ORYLA04779, ORYLA04142, ORYLA07694, ORYLA10078, ORYLA07695
OG0000934	YEAST02582, YEAST06252	ORYLA09601, ORYLA11859
OG0000934	YEAST05040	ORYLA16233, ORYLA10870
OG0000935	YEAST02843	ORYLA13027, ORYLA06809, ORYLA05774, ORYLA01692, ORYLA15882, ORYLA14011, ORYLA09839
OG0000943	YEAST03805	ORYLA15376, ORYLA17852
OG0000944	YEAST04878	ORYLA09043, ORYLA04158, ORYLA01246
OG0000954	YEAST05503, YEAST01249	ORYLA20086, ORYLA16756, ORYLA16757, ORYLA16758
OG0000955	YEAST00837	ORYLA17644
OG0000955	YEAST04295	ORYLA19752
OG0000963	YEAST03685, YEAST00482, YEAST01749	ORYLA13485, ORYLA06840, ORYLA06839, ORYLA17317, ORYLA13364
OG0000964	YEAST04606	ORYLA17226, ORYLA03089
OG0000965	YEAST02552	ORYLA20470
OG0000965	YEAST02050	ORYLA07478
OG0000967	YEAST05075	ORYLA04076, ORYLA19755, ORYLA04962
OG0000970	YEAST04028	ORYLA17254, ORYLA02643
OG0000982	YEAST01182	ORYLA13484, ORYLA06837, ORYLA05721, ORYLA17666, ORYLA02909
OG0000984	YEAST01493, YEAST00575	ORYLA14092, ORYLA13312
OG0000986	YEAST01481, YEAST04073	ORYLA02350, ORYLA05019, ORYLA08270, ORYLA02693, ORYLA17557
OG0000987	YEAST04734, YEAST02734	ORYLA08918, ORYLA06392, ORYLA13755, ORYLA15702, ORYLA09779
OG0000994	YEAST02360	ORYLA11419, ORYLA18398
OG0000996	YEAST00033	ORYLA01364, ORYLA09102, ORYLA20110
OG0001001	YEAST00341	ORYLA04326, ORYLA07294, ORYLA08735, ORYLA09611
OG0001003	YEAST00644	ORYLA17863, ORYLA04404
OG0001006	YEAST04513	ORYLA00587, ORYLA17469, ORYLA06935
OG0001016	YEAST00830	ORYLA08912, ORYLA08838
OG0001018	YEAST01172	ORYLA04621
OG0001024	YEAST01024, YEAST00308	ORYLA01426, ORYLA10777, ORYLA04903, ORYLA17767, ORYLA18366
OG0001033	YEAST02124	ORYLA13566, ORYLA13207
OG0001066	YEAST06311	ORYLA20216, ORYLA18727, ORYLA15524, ORYLA20141, ORYLA15783, ORYLA11478
OG0001075	YEAST05636	ORYLA05471, ORYLA05470, ORYLA05472, ORYLA10387
OG0001076	YEAST01570	ORYLA04025, ORYLA03193, ORYLA12782
OG0001081	YEAST04460	ORYLA12631, ORYLA12630
OG0001082	YEAST03919, YEAST02905, YEAST05331	ORYLA16190, ORYLA14374
OG0001094	YEAST03837	ORYLA10145, ORYLA01044, ORYLA11275, ORYLA05201
OG0001095	YEAST00773	ORYLA13938, ORYLA08700, ORYLA02122
OG0001096	YEAST01384	ORYLA08777, ORYLA09557
OG0001101	YEAST03434	ORYLA10929
OG0001108	YEAST06309	ORYLA14450, ORYLA18375
OG0001113	YEAST05320	ORYLA16987
OG0001113	YEAST00954	ORYLA00138
OG0001114	YEAST00036, YEAST05811	ORYLA12632, ORYLA12633, ORYLA14795, ORYLA05778
OG0001124	YEAST02719	ORYLA08277, ORYLA02278
OG0001132	YEAST05421	ORYLA15693
OG0001133	YEAST04296	ORYLA01655
OG0001133	YEAST03271	ORYLA02500
OG0001134	YEAST05015	ORYLA16671
OG0001135	YEAST03641	ORYLA18988, ORYLA08362, ORYLA16838, ORYLA16856
OG0001136	YEAST05047, YEAST02997	ORYLA13203, ORYLA06530, ORYLA12133
OG0001140	YEAST03519	ORYLA05368, ORYLA02157, ORYLA10675
OG0001142	YEAST04001	ORYLA07693
OG0001163	YEAST02433	ORYLA08093, ORYLA04995
OG0001164	YEAST03454	ORYLA06374
OG0001171	YEAST04620, YEAST03578	ORYLA09088, ORYLA11731, ORYLA02030, ORYLA05693, ORYLA15553
OG0001175	YEAST00534	ORYLA17323, ORYLA17834, ORYLA02704
OG0001177	YEAST06137	ORYLA07071, ORYLA17818
OG0001179	YEAST00368, YEAST04831, YEAST02287	ORYLA12445, ORYLA14131
OG0001181	YEAST02051	ORYLA09302, ORYLA06967, ORYLA16422
OG0001184	YEAST01681	ORYLA01867, ORYLA12325
OG0001185	YEAST04969	ORYLA01991, ORYLA19744, ORYLA04885
OG0001186	YEAST04605, YEAST01886	ORYLA06474, ORYLA12462, ORYLA14584, ORYLA12305
OG0001191	YEAST04707	ORYLA00416, ORYLA17734, ORYLA04735, ORYLA08358, ORYLA01217, ORYLA03865
OG0001192	YEAST01898	ORYLA08463, ORYLA08481, ORYLA08473, ORYLA08475, ORYLA05874, ORYLA19942
OG0001197	YEAST01499	ORYLA13277, ORYLA01817, ORYLA05607, ORYLA09693
OG0001201	YEAST05452	ORYLA15842, ORYLA14298, ORYLA15310
OG0001204	YEAST05200	ORYLA04102, ORYLA03247
OG0001207	YEAST04258	ORYLA10023, ORYLA09156, ORYLA16388, ORYLA08504
OG0001210	YEAST05511	ORYLA11799
OG0001210	YEAST02318	ORYLA06775
OG0001212	YEAST03971	ORYLA10644
OG0001214	YEAST00577	ORYLA09019, ORYLA10993
OG0001216	YEAST00145	ORYLA07420, ORYLA05840, ORYLA12067, ORYLA15267
OG0001219	YEAST03867	ORYLA01206, ORYLA04598, ORYLA01690, ORYLA05777
OG0001236	YEAST03325, YEAST02687, YEAST03269	ORYLA05535, ORYLA05857
OG0001237	YEAST04380	ORYLA12698, ORYLA15237, ORYLA01731, ORYLA06118, ORYLA17671, ORYLA02367, ORYLA14669
OG0001238	YEAST04481	ORYLA01295, ORYLA07056
OG0001241	YEAST02002	ORYLA15497
OG0001241	YEAST03967, YEAST01074	ORYLA01008
OG0001243	YEAST00739, YEAST05004	ORYLA07317, ORYLA07318, ORYLA12130
OG0001249	YEAST01062, YEAST02067	ORYLA13090, ORYLA00311, ORYLA06571, ORYLA12934, ORYLA13089
OG0001250	YEAST02968, YEAST01339	ORYLA17061, ORYLA00854, ORYLA07782, ORYLA16768
OG0001251	YEAST01707	ORYLA12301, ORYLA08970
OG0001253	YEAST03998	ORYLA10839, ORYLA15354, ORYLA15393, ORYLA18494, ORYLA10838, ORYLA14430, ORYLA15691
OG0001254	YEAST04309	ORYLA12036, ORYLA14643
OG0001262	YEAST00911	ORYLA02427
OG0001263	YEAST00172	ORYLA17939, ORYLA08064, ORYLA07820, ORYLA17132
OG0001268	YEAST03495	ORYLA13833, ORYLA00335, ORYLA15813
OG0001270	YEAST01703	ORYLA07988
OG0001270	YEAST02398	ORYLA18804
OG0001271	YEAST05227, YEAST00662	ORYLA09251, ORYLA07889, ORYLA14013
OG0001278	YEAST01893	ORYLA16678, ORYLA00727, ORYLA13327
OG0001279	YEAST03070	ORYLA04097, ORYLA03712, ORYLA10544, ORYLA04878, ORYLA00122
OG0001280	YEAST00846	ORYLA19967, ORYLA06847, ORYLA12954, ORYLA19875, ORYLA00452
OG0001282	YEAST03744	ORYLA04230, ORYLA10205, ORYLA08831
OG0001284	YEAST00567, YEAST01498	ORYLA09027, ORYLA01634, ORYLA14635
OG0001286	YEAST00588, YEAST01486, YEAST03604	ORYLA12022, ORYLA07959, ORYLA17144
OG0001291	YEAST04453, YEAST04334	ORYLA17986, ORYLA07358, ORYLA01427, ORYLA04147
OG0001300	YEAST01098	ORYLA01386, ORYLA10216, ORYLA09658, ORYLA04280
OG0001302	YEAST02328	ORYLA12923
OG0001302	YEAST00299	ORYLA05687
OG0001310	YEAST00887	ORYLA10760, ORYLA12263
OG0001318	YEAST03712	ORYLA08255, ORYLA09731
OG0001319	YEAST01678	ORYLA00925, ORYLA04255, ORYLA01358, ORYLA10213, ORYLA09481
OG0001321	YEAST02280, YEAST01901	ORYLA06094, ORYLA02144, ORYLA19802, ORYLA06811, ORYLA13481, ORYLA13483, ORYLA06093
OG0001322	YEAST06128	ORYLA12031, ORYLA03496
OG0001324	YEAST00078	ORYLA08370
OG0001325	YEAST00793	ORYLA18675, ORYLA10649, ORYLA08927
OG0001326	YEAST05395	ORYLA00013, ORYLA05047, ORYLA02306, ORYLA02304, ORYLA00758
OG0001327	YEAST03176	ORYLA15316, ORYLA11280, ORYLA14397
OG0001332	YEAST03929, YEAST02705, YEAST00687	ORYLA07497
OG0001333	YEAST00728	ORYLA17399, ORYLA07772
OG0001341	YEAST06006	ORYLA19403, ORYLA14314
OG0001345	YEAST03613	ORYLA15535
OG0001353	YEAST00020, YEAST04041	ORYLA11826, ORYLA06297, ORYLA20269
OG0001363	YEAST06180	ORYLA14931, ORYLA06964, ORYLA02934
OG0001364	YEAST06038, YEAST00402	ORYLA07287, ORYLA06962
OG0001367	YEAST04688	ORYLA14461, ORYLA07111, ORYLA09231, ORYLA11747, ORYLA12559
OG0001368	YEAST01821	ORYLA04793, ORYLA11335, ORYLA10470
OG0001370	YEAST04067, YEAST05195, YEAST00897	ORYLA12598, ORYLA14966, ORYLA18543
OG0001371	YEAST00532, YEAST03976	ORYLA00720
OG0001372	YEAST00070	ORYLA13141
OG0001375	YEAST05499, YEAST05567	ORYLA11959, ORYLA01972, ORYLA01971
OG0001378	YEAST02300	ORYLA17783, ORYLA02855, ORYLA04943, ORYLA00326, ORYLA01139, ORYLA01326
OG0001379	YEAST04155	ORYLA06942, ORYLA12825, ORYLA01022, ORYLA01021, ORYLA04265
OG0001386	YEAST05114	ORYLA07835, ORYLA01995
OG0001397	YEAST05731	ORYLA01225, ORYLA05017, ORYLA08172
OG0001400	YEAST02931	ORYLA08237, ORYLA17207, ORYLA09903, ORYLA01837, ORYLA05625
OG0001409	YEAST00885, YEAST04659	ORYLA05905, ORYLA01929, ORYLA09977
OG0001410	YEAST05046	ORYLA16518, ORYLA09213
OG0001411	YEAST04834	ORYLA12881
OG0001412	YEAST04490	ORYLA17594
OG0001413	YEAST04294	ORYLA17782
OG0001414	YEAST06070, YEAST01920	ORYLA05226, ORYLA18972
OG0001415	YEAST04230	ORYLA17926
OG0001421	YEAST05252	ORYLA04093, ORYLA11990, ORYLA11681
OG0001422	YEAST05588, YEAST01363	ORYLA08800, ORYLA05608, ORYLA05609, ORYLA09888
OG0001424	YEAST01127	ORYLA13598, ORYLA09682
OG0001427	YEAST01885	ORYLA20270, ORYLA07026, ORYLA11867
OG0001428	YEAST04862, YEAST05862, YEAST02749, YEAST03037	ORYLA15651, ORYLA13762, ORYLA18311, ORYLA05873, ORYLA01893
OG0001430	YEAST01712	ORYLA11790, ORYLA01079, ORYLA10149, ORYLA03115, ORYLA03625
OG0001434	YEAST03991	ORYLA11926
OG0001437	YEAST01264, YEAST02900	ORYLA09273, ORYLA06548, ORYLA09274
OG0001445	YEAST01715	ORYLA18556, ORYLA03367, ORYLA03366
OG0001449	YEAST03188	ORYLA11305
OG0001449	YEAST05764	ORYLA09746
OG0001452	YEAST05900	ORYLA17672, ORYLA12044, ORYLA18698, ORYLA18697
OG0001454	YEAST01495, YEAST00573	ORYLA03869, ORYLA10714, ORYLA03870
OG0001456	YEAST00365	ORYLA10215
OG0001459	YEAST03073, YEAST03464	ORYLA16343
OG0001461	YEAST05255	ORYLA19866
OG0001468	YEAST03875, YEAST03904	ORYLA08601, ORYLA08600, ORYLA09151, ORYLA06717, ORYLA09660, ORYLA16189, ORYLA16188
OG0001469	YEAST02070	ORYLA17794
OG0001469	YEAST02765	ORYLA05419
OG0001470	YEAST00369, YEAST05375	ORYLA03759
OG0001472	YEAST03031	ORYLA05712, ORYLA15948
OG0001473	YEAST05711	ORYLA00647, ORYLA16961, ORYLA16960
OG0001474	YEAST01416, YEAST05312	ORYLA07769
OG0001478	YEAST01984	ORYLA11904
OG0001478	YEAST02078	ORYLA07755
OG0001479	YEAST01132	ORYLA13290, ORYLA16589, ORYLA18144, ORYLA02932
OG0001503	YEAST03032	ORYLA13177
OG0001503	YEAST02920	ORYLA17046, ORYLA17047
OG0001504	YEAST05406	ORYLA15456
OG0001505	YEAST03361	ORYLA10202, ORYLA08833, ORYLA07422
OG0001508	YEAST04143	ORYLA12347, ORYLA14625, ORYLA16349, ORYLA16350
OG0001515	YEAST03320	ORYLA04533, ORYLA17572
OG0001520	YEAST03872	ORYLA02116, ORYLA11477
OG0001524	YEAST03912	ORYLA00012, ORYLA05046, ORYLA12443
OG0001525	YEAST00757	ORYLA17631
OG0001527	YEAST01395	ORYLA02867, ORYLA20388, ORYLA20389
OG0001529	YEAST01143	ORYLA13719, ORYLA14481
OG0001530	YEAST00643	ORYLA05079, ORYLA18041
OG0001546	YEAST03111	ORYLA05229
OG0001550	YEAST02405, YEAST05953	ORYLA06718, ORYLA09149, ORYLA04848
OG0001551	YEAST04817	ORYLA10506, ORYLA10505
OG0001553	YEAST05147, YEAST01586	ORYLA17357, ORYLA02293, ORYLA08070, ORYLA04977, ORYLA03887
OG0001557	YEAST04671	ORYLA12490
OG0001557	YEAST04551	ORYLA14586
OG0001558	YEAST04449	ORYLA02757, ORYLA18032, ORYLA19384
OG0001559	YEAST00445, YEAST02434	ORYLA05417, ORYLA10089, ORYLA11639, ORYLA04343
OG0001561	YEAST06176	ORYLA15919, ORYLA15392, ORYLA13862, ORYLA10938
OG0001564	YEAST05390	ORYLA13495, ORYLA03594, ORYLA01019
OG0001570	YEAST04678	ORYLA03800
OG0001573	YEAST03285	ORYLA20104, ORYLA02801
OG0001578	YEAST01872	ORYLA17727, ORYLA00011
OG0001580	YEAST06270	ORYLA15950, ORYLA14282, ORYLA15951, ORYLA12668
OG0001590	YEAST03476, YEAST00717, YEAST03955	ORYLA12337
OG0001594	YEAST03418	ORYLA04061
OG0001597	YEAST01702	ORYLA18712, ORYLA20326
OG0001603	YEAST02584	ORYLA02090, ORYLA05894
OG0001604	YEAST01428	ORYLA07645, ORYLA03242
OG0001605	YEAST04101	ORYLA07546, ORYLA06239, ORYLA15168, ORYLA19098
OG0001609	YEAST02739	ORYLA09645, ORYLA14062
OG0001610	YEAST00596, YEAST02062	ORYLA10612, ORYLA15888, ORYLA05347, ORYLA01728
OG0001612	YEAST01109	ORYLA09961, ORYLA05310
OG0001628	YEAST04790	ORYLA04697
OG0001653	YEAST01151	ORYLA17508, ORYLA02619
OG0001655	YEAST03354	ORYLA07526, ORYLA08529, ORYLA07560
OG0001657	YEAST00101, YEAST00944	ORYLA02690, ORYLA17570, ORYLA07401, ORYLA00511
OG0001663	YEAST05642	ORYLA16035
OG0001676	YEAST02848	ORYLA18322
OG0001676	YEAST06155	ORYLA12813, ORYLA12814, ORYLA06876
OG0001680	YEAST01119, YEAST04022	ORYLA10183, ORYLA03488, ORYLA03020
OG0001685	YEAST01147	ORYLA01166, ORYLA00356
OG0001687	YEAST05279	ORYLA04791, ORYLA04792
OG0001691	YEAST01315	ORYLA08257, ORYLA17862
OG0001704	YEAST01293	ORYLA20149, ORYLA20150
OG0001706	YEAST03424	ORYLA07656, ORYLA04248, ORYLA19896
OG0001707	YEAST06049, YEAST00407, YEAST04739	ORYLA07066, ORYLA11811
OG0001708	YEAST05744, YEAST05745	ORYLA09131, ORYLA09132, ORYLA01086
OG0001709	YEAST04440	ORYLA13292, ORYLA03908
OG0001713	YEAST04039	ORYLA03803, ORYLA15056
OG0001718	YEAST01537	ORYLA11821, ORYLA10066, ORYLA10678
OG0001721	YEAST04881, YEAST05253, YEAST00698	ORYLA10588, ORYLA10236
OG0001723	YEAST01435	ORYLA00996, ORYLA03930, ORYLA13525
OG0001727	YEAST04543	ORYLA03405, ORYLA10153, ORYLA05228
OG0001728	YEAST03347	ORYLA12189, ORYLA17408
OG0001730	YEAST00177	ORYLA13643, ORYLA07155, ORYLA12919
OG0001739	YEAST03760	ORYLA10963, ORYLA18962
OG0001745	YEAST01431	ORYLA05955, ORYLA11397
OG0001750	YEAST03628	ORYLA06217, ORYLA08897, ORYLA15569, ORYLA13931, ORYLA08409, ORYLA19595
OG0001754	YEAST03682	ORYLA07269, ORYLA05313, ORYLA17472
OG0001755	YEAST02688	ORYLA18581
OG0001756	YEAST00620	ORYLA00755, ORYLA17359
OG0001769	YEAST04726	ORYLA08055, ORYLA10120
OG0001770	YEAST02590	ORYLA18486, ORYLA09431, ORYLA04288, ORYLA20466
OG0001774	YEAST05166	ORYLA14081, ORYLA16202, ORYLA15721
OG0001775	YEAST05594	ORYLA13002, ORYLA06854
OG0001780	YEAST03768	ORYLA17927, ORYLA04994
OG0001781	YEAST01882	ORYLA08227, ORYLA06078
OG0001782	YEAST02421	ORYLA18054, ORYLA19932
OG0001785	YEAST02713	ORYLA09491
OG0001787	YEAST03546	ORYLA19846, ORYLA10342, ORYLA10343
OG0001792	YEAST04595	ORYLA13176
OG0001793	YEAST02466	ORYLA05421, ORYLA01681, ORYLA19142
OG0001805	YEAST05496, YEAST01242	ORYLA10965, ORYLA12084
OG0001807	YEAST05464	ORYLA05933, ORYLA16459
OG0001808	YEAST01298	ORYLA17292, ORYLA13236
OG0001818	YEAST05902, YEAST04712	ORYLA11838, ORYLA11837, ORYLA11436
OG0001822	YEAST04378, YEAST01659	ORYLA18184, ORYLA11193, ORYLA19993, ORYLA19992
OG0001826	YEAST04777, YEAST01697, YEAST05781	ORYLA03516, ORYLA06910, ORYLA01354
OG0001828	YEAST04676	ORYLA06034
OG0001829	YEAST01613, YEAST00136, YEAST02008	ORYLA12444, ORYLA12440, ORYLA15164
OG0001831	YEAST00024	ORYLA08008, ORYLA00245, ORYLA16802
OG0001832	YEAST05376	ORYLA07968, ORYLA14636
OG0001846	YEAST05067	ORYLA07124, ORYLA11365, ORYLA15507, ORYLA16054
OG0001850	YEAST01913	ORYLA10331, ORYLA11301
OG0001852	YEAST03121	ORYLA20006, ORYLA18631, ORYLA13708
OG0001853	YEAST05176	ORYLA05669, ORYLA16087
OG0001857	YEAST04741	ORYLA11526, ORYLA08540, ORYLA06439
OG0001860	YEAST00188	ORYLA19940, ORYLA17170
OG0001861	YEAST05779, YEAST04773	ORYLA11459
OG0001863	YEAST03017	ORYLA06538
OG0001866	YEAST05095, YEAST05570	ORYLA04054
OG0001867	YEAST01669	ORYLA16710, ORYLA07816
OG0001873	YEAST00981, YEAST00267	ORYLA10266
OG0001875	YEAST04137	ORYLA06827, ORYLA10648
OG0001877	YEAST04134	ORYLA10467, ORYLA19662, ORYLA05195, ORYLA11760
OG0001886	YEAST03260	ORYLA02452, ORYLA13546
OG0001888	YEAST05749, YEAST01573	ORYLA00275, ORYLA17072, ORYLA19725
OG0001893	YEAST01023	ORYLA06077, ORYLA06076, ORYLA06075, ORYLA01672
OG0001894	YEAST00433	ORYLA00188, ORYLA04952
OG0001899	YEAST01210, YEAST04466	ORYLA11592, ORYLA11593, ORYLA01077
OG0001903	YEAST06020	ORYLA12493
OG0001913	YEAST05520	ORYLA14825
OG0001915	YEAST04791	ORYLA08820
OG0001917	YEAST01859	ORYLA13447, ORYLA06635, ORYLA00851, ORYLA19219, ORYLA13173, ORYLA17082
OG0001923	YEAST05881	ORYLA13256, ORYLA18261, ORYLA00273, ORYLA07157
OG0001926	YEAST02948	ORYLA13070
OG0001932	YEAST03770, YEAST03179	ORYLA09167, ORYLA10217, ORYLA19475
OG0001934	YEAST00877	ORYLA08036, ORYLA00282
OG0001935	YEAST00431	ORYLA18787, ORYLA00761
OG0001938	YEAST03931	ORYLA15232
OG0001940	YEAST04188, YEAST05646	ORYLA01114
OG0001943	YEAST02393, YEAST05966	ORYLA09186, ORYLA14459
OG0001945	YEAST01671	ORYLA09525, ORYLA11810, ORYLA09524
OG0001947	YEAST02570	ORYLA20143, ORYLA13857, ORYLA14712, ORYLA14713
OG0001951	YEAST00941, YEAST05396	ORYLA15974, ORYLA14012, ORYLA08588
OG0001952	YEAST04673, YEAST01990, YEAST00155	ORYLA11490, ORYLA10687
OG0001965	YEAST04582	ORYLA00729
OG0001968	YEAST04910	ORYLA20184
OG0001969	YEAST06173	ORYLA02957, ORYLA10224, ORYLA13366
OG0001972	YEAST01822, YEAST03363	ORYLA07140, ORYLA18968
OG0001985	YEAST04959	ORYLA02342, ORYLA17543, ORYLA03606
OG0001992	YEAST02679	ORYLA04809, ORYLA10449
OG0001998	YEAST00890	ORYLA01177, ORYLA08025, ORYLA08027, ORYLA08026
OG0002001	YEAST00502, YEAST03944	ORYLA15567, ORYLA13940, ORYLA16977
OG0002003	YEAST02826, YEAST03671	ORYLA05173, ORYLA03010, ORYLA10761
OG0002008	YEAST00768	ORYLA08094, ORYLA02353
OG0002010	YEAST00609	ORYLA19546, ORYLA00286, ORYLA16794, ORYLA00240
OG0002013	YEAST03040	ORYLA04479
OG0002014	YEAST02422	ORYLA14168, ORYLA14071
OG0002015	YEAST05525	ORYLA16338
OG0002025	YEAST03650	ORYLA00541, ORYLA16916
OG0002026	YEAST01247	ORYLA01226, ORYLA01227, ORYLA08399
OG0002029	YEAST02646	ORYLA08789, ORYLA09405
OG0002031	YEAST02752	ORYLA16339, ORYLA05708
OG0002032	YEAST01221	ORYLA03665
OG0002042	YEAST02880	ORYLA12509, ORYLA12508
OG0002043	YEAST04003	ORYLA01939, ORYLA09238
OG0002048	YEAST02273	ORYLA07243
OG0002059	YEAST05893, YEAST04718	ORYLA00052, ORYLA13405
OG0002062	YEAST05454	ORYLA14663, ORYLA12126, ORYLA13654
OG0002063	YEAST00838	ORYLA17285, ORYLA04871
OG0002067	YEAST03444	ORYLA16258
OG0002069	YEAST05962	ORYLA14291, ORYLA20009
OG0002073	YEAST04552	ORYLA10798
OG0002076	YEAST02206	ORYLA18898, ORYLA01759, ORYLA06069
OG0002078	YEAST06232	ORYLA16744, ORYLA00157, ORYLA07778
OG0002079	YEAST05765, YEAST00483	ORYLA19074
OG0002080	YEAST05220, YEAST04736	ORYLA17616, ORYLA04310
OG0002084	YEAST04529	ORYLA08353, ORYLA04731, ORYLA07268
OG0002087	YEAST05702	ORYLA19239
OG0002090	YEAST02246	ORYLA16730
OG0002093	YEAST02255	ORYLA15674
OG0002097	YEAST02697	ORYLA06823, ORYLA04159, ORYLA09040
OG0002103	YEAST05974	ORYLA01062
OG0002106	YEAST03654	ORYLA12790, ORYLA01901
OG0002108	YEAST03715	ORYLA04701
OG0002123	YEAST03709	ORYLA05426, ORYLA07103, ORYLA16214
OG0002125	YEAST05183	ORYLA18986, ORYLA18985, ORYLA03523
OG0002131	YEAST04275	ORYLA19717, ORYLA19718, ORYLA02406
OG0002137	YEAST04320	ORYLA10913, ORYLA03326
OG0002138	YEAST02406	ORYLA11124
OG0002144	YEAST02673	ORYLA07925, ORYLA17412
OG0002146	YEAST04333, YEAST00109, YEAST03088, YEAST04454	ORYLA11113, ORYLA15028, ORYLA15530
OG0002147	YEAST04532, YEAST01219	ORYLA06496
OG0002148	YEAST02060	ORYLA11951, ORYLA08140, ORYLA08139
OG0002152	YEAST05624	ORYLA15095, ORYLA11044
OG0002156	YEAST03007	ORYLA00171
OG0002160	YEAST03960	ORYLA15473
OG0002165	YEAST04504	ORYLA01091
OG0002168	YEAST00516	ORYLA02174, ORYLA13630
OG0002169	YEAST02258	ORYLA08351, ORYLA08352
OG0002175	YEAST04956	ORYLA02874, ORYLA18155, ORYLA16037
OG0002184	YEAST00242	ORYLA02413, ORYLA16807, ORYLA00706
OG0002185	YEAST05212	ORYLA15148, ORYLA15149
OG0002188	YEAST04638, YEAST03913	ORYLA12233
OG0002189	YEAST02882, YEAST04447	ORYLA06568
OG0002213	YEAST01241, YEAST05495	ORYLA04720
OG0002216	YEAST06040	ORYLA11063
OG0002217	YEAST06033	ORYLA11354
OG0002222	YEAST03240	ORYLA07432, ORYLA12895
OG0002224	YEAST01574	ORYLA18115, ORYLA02313
OG0002225	YEAST04939	ORYLA01041
OG0002226	YEAST00948	ORYLA00869, ORYLA16615
OG0002228	YEAST04154, YEAST05632	ORYLA16905, ORYLA00066, ORYLA05787
OG0002233	YEAST00277	ORYLA19151, ORYLA19152
OG0002239	YEAST03509	ORYLA05769
OG0002239	YEAST01621	ORYLA12675, ORYLA17306
OG0002241	YEAST02005	ORYLA02657, ORYLA01650
OG0002243	YEAST04599, YEAST03601, YEAST04600	ORYLA01202, ORYLA17744
OG0002244	YEAST02768	ORYLA04246
OG0002252	YEAST00826	ORYLA00130, ORYLA16893, ORYLA16926
OG0002261	YEAST00472	ORYLA00563, ORYLA17198, ORYLA00564
OG0002264	YEAST01705	ORYLA00976, ORYLA05961
OG0002279	YEAST05800	ORYLA09917, ORYLA10298
OG0002282	YEAST00881	ORYLA00051, ORYLA01468
OG0002288	YEAST01591, YEAST05154	ORYLA01492, ORYLA03879
OG0002297	YEAST01217	ORYLA13569
OG0002312	YEAST06295	ORYLA03960
OG0002316	YEAST01805	ORYLA18514, ORYLA10565, ORYLA18191
OG0002318	YEAST02923	ORYLA16808
OG0002319	YEAST00329	ORYLA09946, ORYLA13438, ORYLA06584
OG0002321	YEAST02461	ORYLA00417
OG0002324	YEAST02615, YEAST06287	ORYLA02003
OG0002326	YEAST00310, YEAST02699	ORYLA10557, ORYLA11565
OG0002327	YEAST00346, YEAST06217	ORYLA15817, ORYLA13784, ORYLA15549
OG0002331	YEAST01653	ORYLA16153, ORYLA02004
OG0002332	YEAST01606, YEAST05184, YEAST00285	ORYLA18167, ORYLA17748, ORYLA02677
OG0002344	YEAST02312, YEAST02019	ORYLA03231, ORYLA04391, ORYLA02759
OG0002346	YEAST02012	ORYLA11133, ORYLA19705, ORYLA11134
OG0002348	YEAST01845	ORYLA10141, ORYLA04073
OG0002355	YEAST00016	ORYLA18881, ORYLA00163, ORYLA18882, ORYLA18880
OG0002356	YEAST00259	ORYLA11103, ORYLA15335, ORYLA17176
OG0002361	YEAST01027	ORYLA05219, ORYLA11387, ORYLA10650
OG0002367	YEAST01179	ORYLA13424, ORYLA02914
OG0002369	YEAST03766	ORYLA10237
OG0002374	YEAST02010, YEAST00133	ORYLA06304, ORYLA06305, ORYLA15559, ORYLA14007
OG0002377	YEAST05000	ORYLA04855, ORYLA11508
OG0002385	YEAST03974	ORYLA16918, ORYLA07751, ORYLA17005, ORYLA00241, ORYLA16796
OG0002406	YEAST05509	ORYLA16129, ORYLA14436
OG0002407	YEAST00012	ORYLA08149
OG0002409	YEAST02027	ORYLA16162, ORYLA10955, ORYLA20139
OG0002411	YEAST05950, YEAST02407	ORYLA12407, ORYLA01614
OG0002412	YEAST06171	ORYLA14855
OG0002413	YEAST01196	ORYLA16559, ORYLA07321
OG0002415	YEAST01271	ORYLA05291
OG0002421	YEAST02982	ORYLA19980
OG0002422	YEAST05026	ORYLA00987
OG0002426	YEAST00184	ORYLA08276, ORYLA16721, ORYLA17014
OG0002441	YEAST00068, YEAST02278, YEAST05821	ORYLA03932, ORYLA11521
OG0002442	YEAST05932	ORYLA00930, ORYLA13946
