Orthogroup	YEAST	BRALA
OG0000943	YEAST03805	BRALA03760, BRALA05220, BRALA00974, BRALA10681, BRALA03764, BRALA03762, BRALA03763, BRALA26880
OG0000944	YEAST04878	BRALA16973
OG0000954	YEAST05503, YEAST01249	BRALA34235, BRALA35344, BRALA10453
OG0000955	YEAST00837	BRALA00782
OG0000955	YEAST04295	BRALA22745
OG0000963	YEAST03685, YEAST00482, YEAST01749	BRALA03591, BRALA20733
OG0000964	YEAST04606	BRALA08522, BRALA16405, BRALA13462, BRALA27147, BRALA26663
OG0000965	YEAST02552	BRALA04013
OG0000965	YEAST02050	BRALA03357
OG0000967	YEAST05075	BRALA11137, BRALA03874
OG0000970	YEAST04028	BRALA07313, BRALA16492, BRALA07314
OG0000982	YEAST01182	BRALA04219
OG0000984	YEAST01493, YEAST00575	BRALA13541, BRALA16982, BRALA10027
OG0000986	YEAST01481, YEAST04073	BRALA23940, BRALA06809
OG0000987	YEAST04734, YEAST02734	BRALA15995
OG0000994	YEAST02360	BRALA12870, BRALA16394
OG0000996	YEAST00033	BRALA14195
OG0001001	YEAST00341	BRALA14860, BRALA14859, BRALA05897
OG0001003	YEAST00644	BRALA07286
OG0001006	YEAST04513	BRALA19471, BRALA06003
OG0001016	YEAST00830	BRALA14145, BRALA31587, BRALA31588
OG0001018	YEAST01172	BRALA35275, BRALA04664, BRALA06928, BRALA14350, BRALA34326, BRALA13325
OG0001024	YEAST01024, YEAST00308	BRALA03982, BRALA23987
OG0001033	YEAST02124	BRALA23440
OG0001064	YEAST00458	BRALA27120, BRALA30714, BRALA30301, BRALA26163, BRALA29488
OG0001066	YEAST06311	BRALA03613, BRALA29613, BRALA15668
OG0001075	YEAST05636	BRALA09682
OG0001076	YEAST01570	BRALA20184
OG0001081	YEAST04460	BRALA20186, BRALA18322, BRALA02329, BRALA02330
OG0001082	YEAST03919, YEAST02905, YEAST05331	BRALA21015, BRALA24848
OG0001094	YEAST03837	BRALA05502, BRALA18859, BRALA21202
OG0001095	YEAST00773	BRALA00514
OG0001096	YEAST01384	BRALA33777, BRALA19152, BRALA02429, BRALA20860, BRALA19151, BRALA33488, BRALA29289, BRALA09978, BRALA29288
OG0001101	YEAST04701	BRALA11039
OG0001108	YEAST06309	BRALA10695, BRALA14990
OG0001111	YEAST06003	BRALA28901, BRALA29371, BRALA06020
OG0001113	YEAST05320	BRALA08129
OG0001113	YEAST00954	BRALA16554
OG0001114	YEAST00036, YEAST05811	BRALA27031
OG0001124	YEAST02719	BRALA23017, BRALA07725
OG0001132	YEAST05421	BRALA13540
OG0001133	YEAST04296	BRALA03024, BRALA03023
OG0001133	YEAST03271	BRALA00752
OG0001134	YEAST05015	BRALA23048
OG0001135	YEAST03641	BRALA11818
OG0001136	YEAST05047, YEAST02997	BRALA18520
OG0001140	YEAST03519	BRALA16639
OG0001142	YEAST04001	BRALA14735
OG0001163	YEAST02433	BRALA18082, BRALA03606, BRALA12377, BRALA20672, BRALA12378
OG0001164	YEAST03454	BRALA14948
OG0001171	YEAST04620, YEAST03578	BRALA30065
OG0001175	YEAST00534	BRALA00132, BRALA00133, BRALA17481
OG0001177	YEAST06137	BRALA12880
OG0001179	YEAST00368, YEAST04831, YEAST02287	BRALA23899, BRALA23900, BRALA03116, BRALA20573
OG0001181	YEAST02051	BRALA18132
OG0001184	YEAST01681	BRALA10129, BRALA21684
OG0001185	YEAST04969	BRALA27214
OG0001186	YEAST04605, YEAST01886	BRALA19974, BRALA16139
OG0001191	YEAST04707	BRALA21369, BRALA27930
OG0001192	YEAST01898	BRALA31134, BRALA31609, BRALA20503, BRALA09378, BRALA12761, BRALA07757, BRALA20502, BRALA07758, BRALA09889, BRALA07761, BRALA07760, BRALA09891, BRALA09892, BRALA07759, BRALA09888, BRALA09359, BRALA09368, BRALA18891, BRALA19222
OG0001197	YEAST01499	BRALA24133, BRALA32524, BRALA01046
OG0001201	YEAST05452	BRALA03561, BRALA28095
OG0001204	YEAST05200	BRALA24154, BRALA24153
OG0001207	YEAST04258	BRALA21595, BRALA21596, BRALA29973
OG0001210	YEAST05511	BRALA17839
OG0001210	YEAST02318	BRALA15850
OG0001212	YEAST03971	BRALA15930
OG0001214	YEAST00577	BRALA28235
OG0001216	YEAST00145	BRALA05650, BRALA19958
OG0001219	YEAST03867	BRALA10294
OG0001236	YEAST03325, YEAST02687, YEAST03269	BRALA27296, BRALA03699
OG0001237	YEAST04380	BRALA07915, BRALA04360
OG0001238	YEAST04481	BRALA16537, BRALA10747
OG0001241	YEAST02002	BRALA15125
OG0001241	YEAST03967, YEAST01074	BRALA14260
OG0001243	YEAST00739, YEAST05004	BRALA07764
OG0001249	YEAST01062, YEAST02067	BRALA00961
OG0001250	YEAST02968, YEAST01339	BRALA25027
OG0001251	YEAST01707	BRALA03569
OG0001253	YEAST03998	BRALA09366
OG0001262	YEAST00911	BRALA35145, BRALA34134
OG0001263	YEAST00172	BRALA03642, BRALA10859
OG0001268	YEAST03495	BRALA01606, BRALA34950, BRALA34874
OG0001270	YEAST01703	BRALA25030
OG0001270	YEAST02398	BRALA13955
OG0001271	YEAST05227, YEAST00662	BRALA17017
OG0001278	YEAST01893	BRALA04581, BRALA14775
OG0001279	YEAST03070	BRALA24710
OG0001280	YEAST00846	BRALA09515
OG0001282	YEAST03744	BRALA02372
OG0001284	YEAST00567, YEAST01498	BRALA14486, BRALA09529
OG0001286	YEAST00588, YEAST01486, YEAST03604	BRALA27842, BRALA35984
OG0001291	YEAST04453, YEAST04334	BRALA17947, BRALA32920
OG0001300	YEAST01098	BRALA05943, BRALA27824
OG0001302	YEAST02328	BRALA01346
OG0001302	YEAST00299	BRALA17951
OG0001310	YEAST00887	BRALA22585, BRALA27863
OG0001318	YEAST03712	BRALA08906, BRALA01956
OG0001319	YEAST01678	BRALA24213
OG0001321	YEAST02280, YEAST01901	BRALA08021
OG0001322	YEAST06128	BRALA09871, BRALA13321
OG0001324	YEAST00078	BRALA21958, BRALA33648, BRALA11260
OG0001325	YEAST00793	BRALA04015
OG0001326	YEAST05395	BRALA24571, BRALA24570
OG0001327	YEAST03176	BRALA10354, BRALA19771
OG0001332	YEAST03929, YEAST02705, YEAST00687	BRALA00789, BRALA05167
OG0001333	YEAST00728	BRALA25392
OG0001341	YEAST06006	BRALA12816
OG0001345	YEAST03613	BRALA20075, BRALA20076, BRALA00376, BRALA34977, BRALA28899, BRALA30390, BRALA28247, BRALA32440, BRALA35377, BRALA28898
OG0001353	YEAST00020, YEAST04041	BRALA23222, BRALA23221, BRALA33739, BRALA35185
OG0001363	YEAST06180	BRALA22242, BRALA22243
OG0001364	YEAST06038, YEAST00402	BRALA08614
OG0001367	YEAST04688	BRALA15242
OG0001368	YEAST01821	BRALA09700, BRALA10312, BRALA10834
OG0001370	YEAST04067, YEAST05195, YEAST00897	BRALA16806, BRALA14045
OG0001371	YEAST00532, YEAST03976	BRALA26374, BRALA06219, BRALA06218, BRALA06220
OG0001372	YEAST00070	BRALA00784
OG0001372	YEAST02226	BRALA19110
OG0001375	YEAST05499, YEAST05567	BRALA16842, BRALA15116
OG0001378	YEAST02300	BRALA16333
OG0001379	YEAST04155	BRALA23817
OG0001386	YEAST05114	BRALA07065
OG0001397	YEAST05731	BRALA25855, BRALA09927
OG0001400	YEAST02931	BRALA04732
OG0001409	YEAST00885, YEAST04659	BRALA33418, BRALA30797
OG0001410	YEAST05046	BRALA31201, BRALA20220
OG0001411	YEAST04834	BRALA11764
OG0001412	YEAST04490	BRALA11457, BRALA00239
OG0001413	YEAST04294	BRALA29483, BRALA13507
OG0001414	YEAST06070, YEAST01920	BRALA32132, BRALA13859
OG0001415	YEAST04230	BRALA28922
OG0001421	YEAST05252	BRALA21204
OG0001422	YEAST05588, YEAST01363	BRALA00576
OG0001424	YEAST01127	BRALA07796, BRALA01936
OG0001427	YEAST01885	BRALA18499, BRALA18498
OG0001428	YEAST04862, YEAST05862, YEAST02749, YEAST03037	BRALA05407
OG0001430	YEAST01712	BRALA24398, BRALA33875, BRALA33874
OG0001434	YEAST03991	BRALA19313
OG0001437	YEAST01264, YEAST02900	BRALA17173, BRALA21217
OG0001445	YEAST01715	BRALA11531
OG0001449	YEAST03188	BRALA16673
OG0001452	YEAST05900	BRALA16822
OG0001454	YEAST01495, YEAST00573	BRALA22945
OG0001456	YEAST00365	BRALA15559, BRALA15558
OG0001459	YEAST03073, YEAST03464	BRALA19924
OG0001461	YEAST05255	BRALA27194, BRALA06116, BRALA30847
OG0001468	YEAST03875, YEAST03904	BRALA04572
OG0001469	YEAST02070	BRALA25074
OG0001469	YEAST02765	BRALA11811
OG0001470	YEAST00369, YEAST05375	BRALA29321, BRALA35553
OG0001472	YEAST03031	BRALA14063, BRALA22363
OG0001473	YEAST05711	BRALA03292, BRALA33985
OG0001474	YEAST01416, YEAST05312	BRALA09018, BRALA10385
OG0001478	YEAST01984	BRALA15252
OG0001478	YEAST02078	BRALA21973
OG0001479	YEAST01132	BRALA03008
OG0001503	YEAST03032	BRALA13476
OG0001503	YEAST02920	BRALA11114
OG0001504	YEAST05406	BRALA03543, BRALA27268, BRALA26326, BRALA17671, BRALA28116, BRALA35187
OG0001505	YEAST03361	BRALA04433, BRALA27762, BRALA26671, BRALA17368
OG0001508	YEAST04143	BRALA28941
OG0001515	YEAST03569	BRALA14332
OG0001520	YEAST03872	BRALA14767
OG0001524	YEAST03912	BRALA33381, BRALA27325
OG0001525	YEAST00757	BRALA14939
OG0001527	YEAST01395	BRALA23937, BRALA19992
OG0001529	YEAST01143	BRALA15428
OG0001530	YEAST00643	BRALA35267, BRALA35388, BRALA35160, BRALA34336, BRALA34848, BRALA32247, BRALA34683, BRALA34557, BRALA32248, BRALA35113, BRALA33210
OG0001546	YEAST03111	BRALA35934, BRALA34422, BRALA33843, BRALA32104, BRALA35704, BRALA33834, BRALA35535
OG0001550	YEAST02405, YEAST05953	BRALA18559, BRALA22178, BRALA33216, BRALA00672, BRALA22087
OG0001551	YEAST04817	BRALA31004
OG0001553	YEAST05147, YEAST01586	BRALA03739
OG0001557	YEAST04671	BRALA07630
OG0001557	YEAST04551	BRALA18983
OG0001558	YEAST04449	BRALA21818
OG0001559	YEAST00445, YEAST02434	BRALA10909, BRALA10784, BRALA30365
OG0001561	YEAST06176	BRALA27873, BRALA35814, BRALA27872
OG0001564	YEAST05390	BRALA13673
OG0001570	YEAST04678	BRALA00935, BRALA17639
OG0001573	YEAST03285	BRALA01224
OG0001578	YEAST01872	BRALA11454
OG0001580	YEAST06270	BRALA20586
OG0001590	YEAST03476, YEAST00717, YEAST03955	BRALA12314, BRALA01640, BRALA01639, BRALA01637
OG0001594	YEAST03418	BRALA08965, BRALA24791, BRALA08966
OG0001597	YEAST01702	BRALA14157
OG0001603	YEAST02584	BRALA02777
OG0001604	YEAST01428	BRALA34521, BRALA35748, BRALA35294
OG0001605	YEAST04101	BRALA16476, BRALA16475
OG0001609	YEAST02739	BRALA06092, BRALA12725
OG0001610	YEAST00596, YEAST02062	BRALA09621
OG0001612	YEAST01109	BRALA19006, BRALA19004
OG0001628	YEAST04790	BRALA13390, BRALA19573
OG0001653	YEAST01151	BRALA27721, BRALA33197, BRALA27722
OG0001655	YEAST03354	BRALA11878, BRALA33466
OG0001657	YEAST00101, YEAST00944	BRALA34847, BRALA35457, BRALA34242
OG0001663	YEAST05642	BRALA35192, BRALA31880, BRALA33567
OG0001676	YEAST02848	BRALA04014
OG0001676	YEAST06155	BRALA08008, BRALA08006
OG0001679	YEAST05302, YEAST02334, YEAST02449, YEAST01523	BRALA23834
OG0001680	YEAST01119, YEAST04022	BRALA32159
OG0001687	YEAST05279	BRALA12237, BRALA12238, BRALA12235
OG0001691	YEAST01315	BRALA07231
OG0001704	YEAST01293	BRALA16940, BRALA16941, BRALA16994
OG0001706	YEAST03424	BRALA22821
OG0001707	YEAST06049, YEAST00407, YEAST04739	BRALA12974, BRALA12971, BRALA12976
OG0001708	YEAST05744, YEAST05745	BRALA15416, BRALA08762
OG0001709	YEAST04440	BRALA05359, BRALA11774
OG0001713	YEAST04039	BRALA05685, BRALA13740
OG0001718	YEAST01537	BRALA10817, BRALA10903
OG0001721	YEAST04881, YEAST05253, YEAST00698	BRALA19032
OG0001723	YEAST01435	BRALA05825
OG0001727	YEAST04543	BRALA11932
OG0001728	YEAST03347	BRALA08403, BRALA07496
OG0001739	YEAST03760	BRALA22905
OG0001745	YEAST01431	BRALA34644, BRALA07690, BRALA07691, BRALA10418, BRALA16660, BRALA16661
OG0001750	YEAST03628	BRALA21004
OG0001754	YEAST03682	BRALA33871, BRALA34601
OG0001755	YEAST05131	BRALA10335
OG0001756	YEAST00620	BRALA32677, BRALA33790, BRALA03693, BRALA34986
OG0001769	YEAST04726	BRALA06836, BRALA22299
OG0001770	YEAST02590	BRALA33462, BRALA22471
OG0001774	YEAST05166	BRALA11491, BRALA20453
OG0001775	YEAST05594	BRALA21646, BRALA34663
OG0001780	YEAST03768	BRALA15214, BRALA28923
OG0001781	YEAST01882	BRALA02795
OG0001782	YEAST02421	BRALA16828, BRALA35797, BRALA35480, BRALA35381
OG0001785	YEAST02713	BRALA02411, BRALA02410
OG0001787	YEAST03546	BRALA22039
OG0001792	YEAST04331	BRALA34635, BRALA25410
OG0001792	YEAST02075	BRALA35573
OG0001792	YEAST04595	BRALA18508
OG0001793	YEAST02466	BRALA00316, BRALA16003
OG0001805	YEAST05496, YEAST01242	BRALA23850, BRALA23847, BRALA23846, BRALA23848
OG0001807	YEAST05464	BRALA16684, BRALA16683, BRALA22880, BRALA07117
OG0001808	YEAST01298	BRALA28858, BRALA32877, BRALA30144
OG0001818	YEAST05902, YEAST04712	BRALA12031, BRALA23438
OG0001822	YEAST04378, YEAST01659	BRALA03090
OG0001826	YEAST04777, YEAST01697, YEAST05781	BRALA16175
OG0001828	YEAST04676	BRALA07406
OG0001829	YEAST01613, YEAST00136, YEAST02008	BRALA05641
OG0001831	YEAST00024	BRALA25354
OG0001832	YEAST05376	BRALA11061, BRALA04342
OG0001842	YEAST00524	BRALA26095, BRALA08852, BRALA26094, BRALA26092, BRALA26091, BRALA20499, BRALA20514, BRALA20497, BRALA20513, BRALA18791, BRALA18792, BRALA24488
OG0001846	YEAST05067	BRALA01789
OG0001850	YEAST01913	BRALA03142
OG0001852	YEAST03121	BRALA35095, BRALA18937
OG0001853	YEAST05176	BRALA09444, BRALA17066, BRALA15525, BRALA03265, BRALA08942
OG0001857	YEAST04741	BRALA08335
OG0001860	YEAST00188	BRALA24290
OG0001861	YEAST05779, YEAST04773	BRALA29580, BRALA29583
OG0001863	YEAST03017	BRALA07880, BRALA14579
OG0001866	YEAST05095, YEAST05570	BRALA34934, BRALA33651
OG0001867	YEAST01669	BRALA13098
OG0001873	YEAST00981, YEAST00267	BRALA33467, BRALA10007, BRALA33548, BRALA35779, BRALA35099
OG0001875	YEAST04137	BRALA00199, BRALA04016
OG0001877	YEAST04134	BRALA10772, BRALA10771, BRALA10773, BRALA10933
OG0001886	YEAST03260	BRALA10021
OG0001888	YEAST05749, YEAST01573	BRALA01341
OG0001893	YEAST01023	BRALA02794
OG0001894	YEAST00433	BRALA25056
OG0001899	YEAST01210, YEAST04466	BRALA30884
OG0001903	YEAST06020	BRALA07353
OG0001913	YEAST05520	BRALA24497
OG0001915	YEAST04791	BRALA35550, BRALA35655
OG0001917	YEAST01859	BRALA00831
OG0001923	YEAST05881	BRALA01345
OG0001926	YEAST02948	BRALA01100
OG0001932	YEAST03770, YEAST03179	BRALA12072, BRALA12075
OG0001934	YEAST00877	BRALA10404
OG0001935	YEAST00431	BRALA21169, BRALA05971, BRALA05972, BRALA06005
OG0001938	YEAST03931	BRALA25398
OG0001940	YEAST04188, YEAST05646	BRALA29696
OG0001943	YEAST02393, YEAST05966	BRALA16392
OG0001945	YEAST01671	BRALA27519
OG0001947	YEAST02570	BRALA12828
OG0001951	YEAST00941, YEAST05396	BRALA10600
OG0001952	YEAST04673, YEAST01990, YEAST00155	BRALA16632, BRALA28198
OG0001965	YEAST04582	BRALA18639
OG0001968	YEAST04910	BRALA02743
OG0001969	YEAST06173	BRALA08425
OG0001972	YEAST01822, YEAST03363	BRALA15770
OG0001985	YEAST04959	BRALA31266
OG0001992	YEAST03909	BRALA35191
OG0001992	YEAST02679	BRALA34190, BRALA32975, BRALA35588, BRALA35422, BRALA35278, BRALA34802, BRALA35640
OG0001998	YEAST00890	BRALA29050
OG0002001	YEAST00502, YEAST03944	BRALA00220
OG0002003	YEAST02826, YEAST03671	BRALA11915
OG0002008	YEAST00768	BRALA03742
OG0002010	YEAST00609	BRALA06492
OG0002013	YEAST03040	BRALA12490, BRALA13240, BRALA30429, BRALA20683, BRALA32151, BRALA00130, BRALA00131, BRALA12565, BRALA00129
OG0002014	YEAST02422	BRALA11040
OG0002015	YEAST05525	BRALA06336
OG0002025	YEAST03650	BRALA23019
OG0002026	YEAST01247	BRALA16933
OG0002029	YEAST02646	BRALA29066
OG0002031	YEAST02752	BRALA00375
OG0002032	YEAST01221	BRALA26240
OG0002042	YEAST02880	BRALA15454, BRALA03747
OG0002043	YEAST04003	BRALA14578
OG0002059	YEAST05893, YEAST04718	BRALA19536
OG0002062	YEAST05454	BRALA04513
OG0002063	YEAST00838	BRALA02335, BRALA04323
OG0002067	YEAST03444	BRALA23033
OG0002069	YEAST05962	BRALA09642
OG0002073	YEAST04552	BRALA24409
OG0002076	YEAST02206	BRALA00516
OG0002079	YEAST05765, YEAST00483	BRALA33361, BRALA35611, BRALA35108, BRALA31898
OG0002080	YEAST05220, YEAST04736	BRALA01983, BRALA01982
OG0002084	YEAST04529	BRALA33469, BRALA31763, BRALA32157
OG0002087	YEAST05702	BRALA02631
OG0002090	YEAST02246	BRALA15181, BRALA16204, BRALA10471
OG0002093	YEAST02255	BRALA22365, BRALA25514
OG0002097	YEAST02697	BRALA05973
OG0002101	YEAST03902	BRALA01147
OG0002103	YEAST05974	BRALA12125, BRALA22500
OG0002106	YEAST03654	BRALA21267, BRALA20596, BRALA19126, BRALA35167, BRALA06177, BRALA03236, BRALA30663, BRALA30901, BRALA02993
OG0002108	YEAST03715	BRALA26237
OG0002123	YEAST02444	BRALA29680
OG0002123	YEAST03709	BRALA29584
OG0002125	YEAST05183	BRALA35076, BRALA05686, BRALA27093, BRALA35204
OG0002131	YEAST04275	BRALA22859
OG0002137	YEAST04320	BRALA24687, BRALA05643
OG0002138	YEAST02406	BRALA07695
OG0002144	YEAST02673	BRALA33804, BRALA33560, BRALA24799
OG0002146	YEAST04333, YEAST00109, YEAST03088, YEAST04454	BRALA18951
OG0002147	YEAST04532, YEAST01219	BRALA15803
OG0002148	YEAST02060	BRALA15940, BRALA31289
OG0002152	YEAST05624	BRALA17103
OG0002156	YEAST03007	BRALA19453
OG0002160	YEAST03960	BRALA06348
OG0002165	YEAST04504	BRALA03144, BRALA03158, BRALA03145
OG0002168	YEAST00516	BRALA21154, BRALA01161
OG0002169	YEAST02258	BRALA35441, BRALA33277, BRALA34931, BRALA34043
OG0002175	YEAST04956	BRALA15343, BRALA15344
OG0002184	YEAST00242	BRALA05306
OG0002185	YEAST05212	BRALA03464
OG0002188	YEAST04638, YEAST03913	BRALA05642
OG0002189	YEAST02882, YEAST04447	BRALA14619, BRALA00945, BRALA34565
OG0002213	YEAST01241, YEAST05495	BRALA28796, BRALA27801, BRALA30492
OG0002216	YEAST06040	BRALA21038
OG0002217	YEAST06033	BRALA20635
OG0002222	YEAST03240	BRALA19604
OG0002224	YEAST01574	BRALA06615
OG0002225	YEAST04939	BRALA24494
OG0002228	YEAST04154, YEAST05632	BRALA34398, BRALA26579, BRALA27484
OG0002233	YEAST00277	BRALA22951, BRALA22952, BRALA22953
OG0002239	YEAST01621	BRALA21605
OG0002241	YEAST02005	BRALA33999
OG0002243	YEAST04599, YEAST03601, YEAST04600	BRALA24911
OG0002244	YEAST02768	BRALA08304
OG0002252	YEAST00826	BRALA06211, BRALA26755, BRALA06212
OG0002261	YEAST00472	BRALA34735, BRALA34119, BRALA35135
OG0002264	YEAST01705	BRALA16853
OG0002279	YEAST05800	BRALA06025
OG0002282	YEAST00881	BRALA02774
OG0002288	YEAST01591, YEAST05154	BRALA03975
OG0002292	YEAST00152	BRALA02622
OG0002297	YEAST01217	BRALA15511, BRALA34086, BRALA35846, BRALA05115, BRALA01286, BRALA34337
OG0002312	YEAST06295	BRALA21661, BRALA21662
OG0002316	YEAST01805	BRALA12268
OG0002318	YEAST02923	BRALA02620, BRALA04390
OG0002319	YEAST00329	BRALA14241
OG0002321	YEAST02461	BRALA24064
OG0002324	YEAST02615, YEAST06287	BRALA02701, BRALA09305, BRALA24171
OG0002326	YEAST00310, YEAST02699	BRALA26255
OG0002327	YEAST00346, YEAST06217	BRALA18044
OG0002331	YEAST01653	BRALA26591
OG0002332	YEAST01606, YEAST05184, YEAST00285	BRALA03823, BRALA03824
OG0002341	YEAST03640, YEAST04562	BRALA22920
OG0002344	YEAST02312, YEAST02019	BRALA27826
OG0002346	YEAST02012	BRALA02293
OG0002348	YEAST01845	BRALA15237, BRALA22455
OG0002355	YEAST00016	BRALA11855
OG0002356	YEAST00259	BRALA13920
OG0002361	YEAST01027	BRALA30384, BRALA08001, BRALA22779, BRALA13892
OG0002367	YEAST01179	BRALA00751, BRALA13549
OG0002369	YEAST03766	BRALA31712, BRALA35458
OG0002374	YEAST02010, YEAST00133	BRALA20249
OG0002377	YEAST05000	BRALA34759, BRALA24718, BRALA25962, BRALA34952
OG0002385	YEAST03974	BRALA19467, BRALA19466
OG0002406	YEAST05509	BRALA05674
OG0002407	YEAST00012	BRALA03716, BRALA03717
OG0002409	YEAST02027	BRALA19736
OG0002411	YEAST05950, YEAST02407	BRALA08046
OG0002412	YEAST06171	BRALA16227, BRALA08958
OG0002413	YEAST01196	BRALA01143, BRALA18576
OG0002415	YEAST01271	BRALA11304, BRALA03930
OG0002421	YEAST02982	BRALA13527, BRALA03354
OG0002422	YEAST05026	BRALA16928
OG0002426	YEAST00184	BRALA30181
OG0002441	YEAST00068, YEAST02278, YEAST05821	BRALA15658
OG0002442	YEAST05932	BRALA03567, BRALA03566, BRALA28090
OG0002443	YEAST04906	BRALA28022, BRALA11051, BRALA28046, BRALA11052, BRALA28021
OG0002446	YEAST04254	BRALA06181
OG0002448	YEAST00626	BRALA03643
OG0002450	YEAST04575	BRALA22866
OG0002453	YEAST00512	BRALA12055
OG0002476	YEAST05799	BRALA15261, BRALA28104, BRALA03553
OG0002486	YEAST01433	BRALA04851
OG0002492	YEAST01624	BRALA12186
OG0002494	YEAST02402	BRALA16505
OG0002495	YEAST02772	BRALA04561
OG0002497	YEAST02747	BRALA03649
OG0002500	YEAST05648	BRALA24159, BRALA02378, BRALA02374, BRALA13281, BRALA02379
OG0002505	YEAST02959	BRALA17014
OG0002510	YEAST04753	BRALA14248
OG0002516	YEAST00066	BRALA12043
OG0002518	YEAST02890	BRALA05701
OG0002520	YEAST05256	BRALA06803
OG0002523	YEAST06234	BRALA02515
OG0002527	YEAST01639	BRALA02595
OG0002528	YEAST00372	BRALA16277
OG0002530	YEAST05530, YEAST03790	BRALA01609
OG0002532	YEAST03235	BRALA18649
OG0002533	YEAST04525	BRALA14997, BRALA14996
OG0002543	YEAST00527	BRALA24166
OG0002543	YEAST04217	BRALA24165
OG0002557	YEAST06243	BRALA16448
OG0002561	YEAST04438, YEAST02106	BRALA22278, BRALA11930
OG0002562	YEAST03992	BRALA34434, BRALA35820, BRALA34914
OG0002564	YEAST02186	BRALA11148
OG0002565	YEAST04224, YEAST02499	BRALA24070, BRALA14663
OG0002570	YEAST00592	BRALA34882, BRALA31603
OG0002574	YEAST05657	BRALA26128
OG0002594	YEAST06174	BRALA17624
OG0002598	YEAST04621, YEAST03577	BRALA00693, BRALA29808, BRALA29807
OG0002605	YEAST06332	BRALA01001
OG0002608	YEAST03716, YEAST02846	BRALA07527
OG0002610	YEAST01078, YEAST03973	BRALA28100
OG0002612	YEAST03508	BRALA17150
OG0002617	YEAST00866	BRALA30754, BRALA34415
OG0002621	YEAST05551	BRALA17095
OG0002629	YEAST05919	BRALA10077
OG0002632	YEAST02755	BRALA17598, BRALA17599
OG0002633	YEAST04206	BRALA22300
OG0002636	YEAST01664, YEAST06215	BRALA11242
OG0002638	YEAST00919, YEAST04703	BRALA16832, BRALA30596
OG0002643	YEAST01938	BRALA16947
OG0002644	YEAST00724	BRALA08196, BRALA08197
OG0002645	YEAST01436	BRALA11042
OG0002646	YEAST01946	BRALA08873
OG0002651	YEAST02247	BRALA10810, BRALA10806, BRALA10805, BRALA10803, BRALA10804, BRALA10808, BRALA10807, BRALA10809, BRALA10927
OG0002651	YEAST02868	BRALA10926
OG0002652	YEAST04937	BRALA22384
OG0002656	YEAST05701	BRALA07458
OG0002659	YEAST06290	BRALA13850
OG0002666	YEAST02507	BRALA06311, BRALA27382, BRALA10431
OG0002668	YEAST02324	BRALA20571
OG0002677	YEAST05210	BRALA25035
OG0002681	YEAST02557	BRALA34701
OG0002683	YEAST03676	BRALA15671, BRALA00951
OG0002705	YEAST00553	BRALA29482
OG0002713	YEAST00413, YEAST06057	BRALA06165
OG0002715	YEAST01174, YEAST04131	BRALA31042
OG0002717	YEAST02430	BRALA28948
OG0002718	YEAST03380, YEAST03502	BRALA08661
OG0002720	YEAST01914	BRALA03208, BRALA18248
OG0002722	YEAST04059	BRALA24693
OG0002726	YEAST02958	BRALA03979
OG0002729	YEAST01155	BRALA22734
OG0002737	YEAST02827	BRALA04044, BRALA08077
OG0002739	YEAST01877	BRALA35567, BRALA32521, BRALA32108
OG0002740	YEAST01658	BRALA01908
OG0002742	YEAST03713	BRALA06748
OG0002743	YEAST01824, YEAST03362	BRALA06935, BRALA13202
OG0002745	YEAST04244	BRALA14450
OG0002746	YEAST04902, YEAST05332	BRALA17638
OG0002747	YEAST05617	BRALA18341
OG0002750	YEAST04952	BRALA28702
OG0002752	YEAST03686	BRALA16959
OG0002753	YEAST03742	BRALA28220, BRALA19845
OG0002754	YEAST00035	BRALA35759
OG0002754	YEAST03620	BRALA34875
OG0002756	YEAST04058	BRALA19758, BRALA07300
OG0002758	YEAST04409	BRALA21942
OG0002760	YEAST01927	BRALA12746
OG0002761	YEAST03261	BRALA33192, BRALA32473, BRALA30469
OG0002763	YEAST00260	BRALA07435
OG0002764	YEAST00423	BRALA08679
OG0002765	YEAST01667, YEAST05523	BRALA03391
OG0002766	YEAST05357	BRALA29454, BRALA30303
OG0002767	YEAST04591	BRALA16931, BRALA16930
OG0002771	YEAST02043	BRALA26146
OG0002772	YEAST03384	BRALA00839
OG0002773	YEAST03677	BRALA06118
OG0002774	YEAST03575	BRALA17566
OG0002775	YEAST03021	BRALA28982, BRALA23175
OG0002781	YEAST05450	BRALA09162
OG0002782	YEAST02121	BRALA18872
OG0002785	YEAST06106, YEAST01228	BRALA01196
OG0002788	YEAST02578, YEAST01232	BRALA02230
OG0002789	YEAST05269	BRALA20378
OG0002793	YEAST01371	BRALA24700
OG0002799	YEAST01461	BRALA27234
OG0002817	YEAST01189, YEAST04922	BRALA31906, BRALA35378
OG0002824	YEAST02137	BRALA00377
OG0002826	YEAST00174	BRALA20854
OG0002827	YEAST05976	BRALA12317
OG0002828	YEAST00227, YEAST00963	BRALA01253, BRALA32285, BRALA33690, BRALA01251, BRALA35111
OG0002831	YEAST03282	BRALA08874
OG0002835	YEAST02656	BRALA12830
OG0002837	YEAST01987, YEAST00157	BRALA20192
OG0002839	YEAST03148	BRALA04693
OG0002843	YEAST04737	BRALA29412
OG0002844	YEAST05563	BRALA18936
