Orthogroup	PFLAV	BRALA
OG0000357	TCONS_00006770.p1	BRALA34828, BRALA34317, BRALA33215
OG0000357	TCONS_00048191.p1	BRALA26089
OG0000358	TCONS_00037242.p1	BRALA02274
OG0000358	TCONS_00046701.p1	BRALA29935
OG0000358	TCONS_00021276.p1, TCONS_00021752.p1	BRALA06031
OG0000359	TCONS_00013824.p1	BRALA13099
OG0000359	TCONS_00021739.p1, TCONS_00012252.p1	BRALA32272, BRALA24208, BRALA15205, BRALA09897, BRALA26110, BRALA18714
OG0000359	TCONS_00042042.p1	BRALA31578
OG0000360	TCONS_00056135.p1	BRALA22946
OG0000360	TCONS_00047755.p1	BRALA28049
OG0000362	TCONS_00022587.p1	BRALA07218
OG0000362	TCONS_00038054.p1, TCONS_00026222.p1, TCONS_00036898.p1, TCONS_00026221.p1	BRALA09863, BRALA13600
OG0000362	TCONS_00037481.p1, TCONS_00020334.p1	BRALA29161, BRALA14501
OG0000363	TCONS_00009940.p1, TCONS_00009923.p1	BRALA18898
OG0000363	TCONS_00006052.p1, TCONS_00002464.p1	BRALA25491, BRALA34908, BRALA34889, BRALA25489, BRALA25484, BRALA25486, BRALA29911
OG0000363	TCONS_00002468.p1	BRALA25487
OG0000363	TCONS_00004630.p1, TCONS_00004640.p1	BRALA25511, BRALA19638
OG0000364	TCONS_00051252.p1, TCONS_00044480.p1, TCONS_00018765.p1, TCONS_00018763.p1, TCONS_00018754.p1, TCONS_00021390.p1	BRALA19406, BRALA19407, BRALA32552, BRALA11746, BRALA11744, BRALA11743, BRALA11742, BRALA23996
OG0000365	TCONS_00053833.p1	BRALA00860
OG0000365	TCONS_00002093.p1	BRALA16888
OG0000366	TCONS_00017995.p1	BRALA24972, BRALA27425
OG0000366	TCONS_00041800.p1, TCONS_00028881.p1	BRALA34989, BRALA32352, BRALA32303, BRALA33122, BRALA25477, BRALA25754, BRALA26296, BRALA12347, BRALA25320, BRALA32705, BRALA10496
OG0000366	TCONS_00005694.p1, TCONS_00044512.p1	BRALA24312
OG0000366	TCONS_00039707.p1	BRALA20933, BRALA30709
OG0000367	TCONS_00049440.p1	BRALA31361
OG0000367	TCONS_00017935.p1	BRALA12833
OG0000369	TCONS_00000790.p1	BRALA13361, BRALA11250, BRALA22748, BRALA12567, BRALA07203
OG0000369	TCONS_00053731.p1	BRALA30284
OG0000370	TCONS_00027758.p1, TCONS_00027755.p1, TCONS_00054813.p1, TCONS_00027752.p1, TCONS_00027757.p1, TCONS_00027753.p1	BRALA22838
OG0000370	TCONS_00026441.p1	BRALA27158, BRALA27151, BRALA27155, BRALA27160, BRALA27154, BRALA16259, BRALA16252, BRALA16255, BRALA16258, BRALA27153, BRALA13714, BRALA18843, BRALA04284, BRALA26088
OG0000371	TCONS_00032709.p1	BRALA10649, BRALA10658
OG0000371	TCONS_00036166.p1, TCONS_00033172.p1, TCONS_00047791.p1, TCONS_00020992.p1, TCONS_00022299.p1, TCONS_00033074.p1	BRALA10647, BRALA17381, BRALA31152, BRALA18606, BRALA18607
OG0000372	TCONS_00057185.p1	BRALA15783
OG0000372	TCONS_00044124.p1	BRALA08267
OG0000372	TCONS_00055414.p1	BRALA23771
OG0000373	TCONS_00014579.p1	BRALA23054
OG0000374	TCONS_00002547.p1	BRALA29978
OG0000374	TCONS_00030526.p1	BRALA25996
OG0000375	TCONS_00013336.p1	BRALA14011
OG0000375	TCONS_00046009.p1	BRALA01775
OG0000377	TCONS_00040801.p1, TCONS_00040802.p1	BRALA24580
OG0000377	TCONS_00052091.p1, TCONS_00044008.p1, TCONS_00050388.p1	BRALA28408, BRALA12849
OG0000378	TCONS_00001951.p1	BRALA33943
OG0000378	TCONS_00017780.p1	BRALA34778
OG0000379	TCONS_00005740.p1	BRALA19351
OG0000379	TCONS_00013619.p1	BRALA06333
OG0000379	TCONS_00044694.p1	BRALA01777
OG0000380	TCONS_00040864.p1, TCONS_00038906.p1, TCONS_00015765.p1, TCONS_00044501.p1, TCONS_00034044.p1, TCONS_00014533.p1	BRALA33306
OG0000380	TCONS_00051265.p1	BRALA00877, BRALA05298, BRALA15172
OG0000380	TCONS_00044443.p1, TCONS_00041477.p1, TCONS_00054787.p1, TCONS_00032112.p1	BRALA30636, BRALA19861, BRALA26052, BRALA09935, BRALA14395
OG0000380	TCONS_00041136.p1	BRALA26332
OG0000380	TCONS_00041135.p1	BRALA21688, BRALA35404
OG0000381	TCONS_00041315.p1, TCONS_00041298.p1, TCONS_00041313.p1	BRALA04195
OG0000381	TCONS_00019771.p1, TCONS_00018985.p1, TCONS_00029585.p1	BRALA14458, BRALA31573, BRALA05666, BRALA05667
OG0000381	TCONS_00018995.p1, TCONS_00040968.p1	BRALA01798
OG0000381	TCONS_00042122.p1	BRALA25883
OG0000381	TCONS_00042806.p1, TCONS_00042115.p1, TCONS_00042796.p1, TCONS_00042794.p1, TCONS_00042791.p1, TCONS_00042793.p1, TCONS_00042801.p1, TCONS_00042797.p1, TCONS_00042800.p1, TCONS_00022159.p1, TCONS_00022161.p1, TCONS_00011175.p1	BRALA00455
OG0000382	TCONS_00015915.p1	BRALA31049, BRALA21317
OG0000382	TCONS_00049124.p1	BRALA17148
OG0000383	TCONS_00031503.p1, TCONS_00023411.p1	BRALA28815
OG0000384	TCONS_00026546.p1	BRALA11440
OG0000384	TCONS_00019959.p1	BRALA18615
OG0000384	TCONS_00030287.p1	BRALA06793
OG0000386	TCONS_00024023.p1, TCONS_00025390.p1, TCONS_00048379.p1	BRALA21053, BRALA10336, BRALA10439, BRALA27391, BRALA29320, BRALA17191, BRALA11288
OG0000389	TCONS_00043098.p1	BRALA11849, BRALA11845, BRALA18683
OG0000389	TCONS_00031058.p1	BRALA06714
OG0000390	TCONS_00005634.p1, TCONS_00005972.p1, TCONS_00005976.p1, TCONS_00004005.p1	BRALA05729
OG0000391	TCONS_00003870.p1	BRALA04832
OG0000392	TCONS_00053118.p1	BRALA01209
OG0000393	TCONS_00035297.p1, TCONS_00035111.p1, TCONS_00000681.p1	BRALA15381, BRALA24472
OG0000393	TCONS_00007376.p1	BRALA03160
OG0000396	TCONS_00028693.p1	BRALA08348
OG0000397	TCONS_00027690.p1	BRALA34670
OG0000399	TCONS_00046673.p1	BRALA23772
OG0000399	TCONS_00033335.p1	BRALA04322
OG0000400	TCONS_00000839.p1, TCONS_00000848.p1	BRALA19704
OG0000401	TCONS_00006320.p1, TCONS_00006317.p1, TCONS_00056947.p1	BRALA15440, BRALA03200, BRALA15436, BRALA15435
OG0000402	TCONS_00027661.p1, TCONS_00041558.p1	BRALA21413
OG0000402	TCONS_00007774.p1, TCONS_00007776.p1, TCONS_00009297.p1, TCONS_00008069.p1, TCONS_00009298.p1, TCONS_00007087.p1, TCONS_00007773.p1, TCONS_00007089.p1	BRALA17661, BRALA17660
OG0000403	TCONS_00022535.p1, TCONS_00002334.p1	BRALA02035, BRALA06762
OG0000403	TCONS_00002331.p1, TCONS_00002320.p1, TCONS_00022532.p1, TCONS_00022534.p1	BRALA05874
OG0000403	TCONS_00000039.p1, TCONS_00001218.p1, TCONS_00002333.p1, TCONS_00022536.p1, TCONS_00022543.p1, TCONS_00016078.p1, TCONS_00018804.p1	BRALA20044
OG0000404	TCONS_00054584.p1	BRALA05151
OG0000404	TCONS_00053458.p1	BRALA05153, BRALA05152
OG0000404	TCONS_00023670.p1	BRALA32209
OG0000404	TCONS_00054292.p1	BRALA30787, BRALA33638
OG0000405	TCONS_00029005.p1	BRALA21721
OG0000406	TCONS_00040059.p1	BRALA20129
OG0000408	TCONS_00018964.p1, TCONS_00019942.p1, TCONS_00032619.p1, TCONS_00032618.p1, TCONS_00032994.p1, TCONS_00032993.p1, TCONS_00033692.p1, TCONS_00026300.p1, TCONS_00038963.p1, TCONS_00052430.p1, TCONS_00038959.p1, TCONS_00047081.p1, TCONS_00044597.p1, TCONS_00037243.p1, TCONS_00033016.p1, TCONS_00033018.p1, TCONS_00044609.p1, TCONS_00038976.p1, TCONS_00054794.p1, TCONS_00033049.p1, TCONS_00049951.p1, TCONS_00038983.p1, TCONS_00032601.p1, TCONS_00033166.p1, TCONS_00033157.p1, TCONS_00010569.p1, TCONS_00038967.p1, TCONS_00047079.p1, TCONS_00052420.p1, TCONS_00047088.p1, TCONS_00038978.p1, TCONS_00032600.p1	BRALA32017, BRALA35937
OG0000408	TCONS_00044549.p2	BRALA16585
OG0000408	TCONS_00038964.p1, TCONS_00038960.p1, TCONS_00052431.p1, TCONS_00054545.p1, TCONS_00047071.p1, TCONS_00033165.p1	BRALA33989, BRALA10986, BRALA28118, BRALA03469, BRALA03468, BRALA09360, BRALA17138, BRALA32244, BRALA28119, BRALA18041, BRALA03522, BRALA03541, BRALA15604, BRALA00210, BRALA31012, BRALA28483
OG0000409	TCONS_00047640.p1	BRALA10303, BRALA10304
OG0000409	TCONS_00047639.p1, TCONS_00047634.p1, TCONS_00047635.p1, TCONS_00047642.p1, TCONS_00049330.p1, TCONS_00049333.p1, TCONS_00049000.p1	BRALA28218
OG0000409	TCONS_00026510.p1, TCONS_00026514.p1, TCONS_00026515.p1	BRALA16408
OG0000410	TCONS_00004782.p1, TCONS_00004786.p1, TCONS_00004790.p1, TCONS_00004788.p1, TCONS_00004785.p1, TCONS_00004794.p1, TCONS_00011757.p1, TCONS_00011759.p1, TCONS_00011760.p1, TCONS_00004167.p1, TCONS_00004168.p1, TCONS_00043257.p1, TCONS_00043766.p1	BRALA09729, BRALA30152, BRALA31379, BRALA17875
OG0000411	TCONS_00000518.p1	BRALA34958
OG0000411	TCONS_00015591.p1	BRALA18710, BRALA18709
OG0000412	TCONS_00047562.p1	BRALA00561
OG0000412	TCONS_00031385.p1	BRALA06660
OG0000412	TCONS_00014987.p1, TCONS_00014980.p1, TCONS_00014982.p1, TCONS_00014985.p1	BRALA01758, BRALA10138
OG0000413	TCONS_00011626.p1	BRALA21468
OG0000413	TCONS_00021738.p1	BRALA06166
OG0000414	TCONS_00000789.p1	BRALA16872, BRALA33248
OG0000415	TCONS_00043133.p1, TCONS_00042615.p1, TCONS_00049671.p1, TCONS_00049661.p1, TCONS_00019761.p1	BRALA21989, BRALA33643, BRALA12432, BRALA21986, BRALA21988, BRALA33092, BRALA03189
OG0000416	TCONS_00035217.p1	BRALA02178, BRALA17361, BRALA29138, BRALA22835, BRALA29137
OG0000418	TCONS_00024360.p1, TCONS_00012462.p1, TCONS_00049894.p1, TCONS_00025322.p1	BRALA08703, BRALA12105, BRALA30120, BRALA15439, BRALA21558, BRALA33313, BRALA27958, BRALA01943
OG0000419	TCONS_00023123.p1	BRALA30844
OG0000420	TCONS_00046722.p1, TCONS_00045703.p1	BRALA24622
OG0000420	TCONS_00050772.p1, TCONS_00050774.p1, TCONS_00050773.p1, TCONS_00050771.p1, TCONS_00050765.p1, TCONS_00019332.p1	BRALA13074, BRALA05449, BRALA13072, BRALA13076, BRALA13077, BRALA13078
OG0000420	TCONS_00020753.p1	BRALA04230
OG0000421	TCONS_00037029.p1, TCONS_00037027.p1, TCONS_00037026.p1, TCONS_00037025.p1, TCONS_00037028.p1, TCONS_00056194.p2, TCONS_00056197.p1, TCONS_00056198.p1, TCONS_00056183.p1, TCONS_00056184.p1	BRALA10691, BRALA15575, BRALA08430, BRALA08388, BRALA08434, BRALA08389, BRALA15574, BRALA08433, BRALA08387, BRALA05704, BRALA08429, BRALA04523, BRALA24326, BRALA13437, BRALA29830, BRALA08390, BRALA05708
OG0000422	TCONS_00046248.p1, TCONS_00045180.p1, TCONS_00045181.p1	BRALA16622
OG0000423	TCONS_00055703.p1, TCONS_00055705.p1, TCONS_00057155.p1, TCONS_00027994.p1, TCONS_00029049.p1, TCONS_00002037.p1, TCONS_00015514.p1	BRALA28541, BRALA10039, BRALA08850, BRALA08775, BRALA32376, BRALA27000, BRALA08782, BRALA32213, BRALA29263, BRALA12932, BRALA12930, BRALA16855, BRALA12282, BRALA28404, BRALA16856, BRALA12931, BRALA08774, BRALA08777, BRALA00243, BRALA35477, BRALA03793, BRALA03792, BRALA20712, BRALA00747, BRALA21036, BRALA05057
OG0000424	TCONS_00036179.p1	BRALA08803
OG0000425	TCONS_00038275.p1, TCONS_00038300.p1	BRALA24699
OG0000427	TCONS_00025042.p1	BRALA09830
OG0000427	TCONS_00051959.p1, TCONS_00051958.p1, TCONS_00051956.p1	BRALA26782, BRALA26781, BRALA26778, BRALA26788
OG0000429	TCONS_00017970.p1, TCONS_00017972.p1, TCONS_00016816.p1, TCONS_00017888.p1, TCONS_00017886.p1, TCONS_00016915.p1, TCONS_00017971.p1, TCONS_00017049.p1, TCONS_00018193.p1, TCONS_00018123.p1, TCONS_00018120.p1	BRALA13739, BRALA13741, BRALA13742, BRALA13766, BRALA12307
OG0000430	TCONS_00022475.p1	BRALA23824
OG0000430	TCONS_00023915.p1, TCONS_00025700.p1, TCONS_00025702.p1	BRALA11804, BRALA05219, BRALA03761, BRALA19272, BRALA07547
OG0000431	TCONS_00013224.p1	BRALA06237
OG0000431	TCONS_00021923.p1	BRALA13675
OG0000432	TCONS_00054762.p1, TCONS_00005749.p1	BRALA18991
OG0000432	TCONS_00048094.p1	BRALA20322
OG0000433	TCONS_00012715.p1	BRALA23044
OG0000433	TCONS_00002447.p1, TCONS_00001165.p1	BRALA19035
OG0000434	TCONS_00045955.p1	BRALA01801
OG0000434	TCONS_00045532.p1, TCONS_00046740.p1, TCONS_00045697.p1, TCONS_00045698.p1, TCONS_00046738.p1, TCONS_00046895.p1, TCONS_00045582.p1	BRALA14574
OG0000436	TCONS_00020629.p1	BRALA00479
OG0000437	TCONS_00051756.p1, TCONS_00051760.p1, TCONS_00051758.p1, TCONS_00051761.p1, TCONS_00051763.p1	BRALA23658, BRALA22832, BRALA23657, BRALA09050, BRALA03237
OG0000440	TCONS_00026853.p1, TCONS_00038745.p1	BRALA30915, BRALA30244
OG0000441	TCONS_00038478.p1, TCONS_00033931.p1, TCONS_00055661.p2, TCONS_00002522.p1, TCONS_00015003.p1, TCONS_00029501.p1, TCONS_00017851.p2, TCONS_00051259.p1, TCONS_00035151.p1, TCONS_00037932.p1, TCONS_00026427.p1, TCONS_00026247.p1, TCONS_00054793.p1, TCONS_00016945.p1	BRALA21355, BRALA31213
OG0000441	TCONS_00038354.p1	BRALA32442, BRALA28469, BRALA27049, BRALA27050, BRALA17729, BRALA22566, BRALA05386
OG0000441	TCONS_00039385.p3	BRALA25332, BRALA25307, BRALA07474, BRALA27611, BRALA06225, BRALA31214
OG0000441	TCONS_00054012.p1, TCONS_00029855.p1, TCONS_00054663.p1	BRALA31940, BRALA13520, BRALA15807, BRALA16678
OG0000442	TCONS_00021580.p1	BRALA23798
OG0000442	TCONS_00002190.p1	BRALA25405
OG0000442	TCONS_00012602.p1	BRALA30174
OG0000443	TCONS_00055579.p1	BRALA14524
OG0000444	TCONS_00031849.p1, TCONS_00031859.p1, TCONS_00032514.p1, TCONS_00032512.p1, TCONS_00031853.p1, TCONS_00032513.p1, TCONS_00032517.p1, TCONS_00032518.p1, TCONS_00031857.p1, TCONS_00031854.p1, TCONS_00003709.p1, TCONS_00003710.p1, TCONS_00003707.p1, TCONS_00003706.p1, TCONS_00003708.p1, TCONS_00023010.p1	BRALA29773
OG0000444	TCONS_00023516.p1, TCONS_00023527.p1, TCONS_00023517.p1, TCONS_00023528.p1, TCONS_00023529.p1, TCONS_00023521.p1	BRALA07745
OG0000445	TCONS_00002401.p1, TCONS_00002110.p1, TCONS_00002102.p1, TCONS_00000750.p1	BRALA05663, BRALA29510, BRALA27780, BRALA00619, BRALA21525, BRALA01672, BRALA24679
OG0000445	TCONS_00051673.p1, TCONS_00002921.p1, TCONS_00000935.p1, TCONS_00000936.p1, TCONS_00000920.p1	BRALA34223
OG0000446	TCONS_00037495.p1	BRALA02260
OG0000446	TCONS_00018302.p1, TCONS_00018303.p1	BRALA15987
OG0000447	TCONS_00043056.p1	BRALA30761
OG0000448	TCONS_00044148.p1	BRALA12672, BRALA12692
OG0000449	TCONS_00006011.p1, TCONS_00039795.p1, TCONS_00006010.p1	BRALA16453
OG0000450	TCONS_00006748.p1	BRALA29697
OG0000452	TCONS_00010122.p1, TCONS_00010121.p1, TCONS_00011233.p1, TCONS_00011232.p1, TCONS_00011231.p1, TCONS_00006503.p1, TCONS_00006504.p1, TCONS_00006499.p1, TCONS_00011917.p1	BRALA17205, BRALA01805, BRALA17207, BRALA30524, BRALA31741, BRALA10768
OG0000453	TCONS_00015428.p1, TCONS_00016513.p1, TCONS_00016509.p1, TCONS_00016514.p1, TCONS_00016505.p1, TCONS_00016516.p1, TCONS_00016515.p1, TCONS_00016517.p1, TCONS_00047316.p1, TCONS_00000327.p1, TCONS_00000325.p1, TCONS_00001388.p1, TCONS_00000328.p1, TCONS_00015837.p1	BRALA02457, BRALA14623, BRALA04109, BRALA28906, BRALA28062, BRALA23580, BRALA19233, BRALA24206, BRALA24207
OG0000453	TCONS_00006455.p1, TCONS_00006457.p1, TCONS_00006461.p1, TCONS_00043460.p1	BRALA35630, BRALA34948, BRALA34318
OG0000454	TCONS_00029324.p1	BRALA16593
OG0000456	TCONS_00024867.p1, TCONS_00050303.p1, TCONS_00008897.p1, TCONS_00056317.p1, TCONS_00050684.p1, TCONS_00005770.p1, TCONS_00050681.p1, TCONS_00047365.p1, TCONS_00022254.p1, TCONS_00047672.p1, TCONS_00044993.p1, TCONS_00008498.p1, TCONS_00050109.p1, TCONS_00052859.p1, TCONS_00044105.p1, TCONS_00006779.p1, TCONS_00044508.p1	BRALA30394, BRALA28489
OG0000456	TCONS_00051260.p1	BRALA27951
OG0000456	TCONS_00032830.p1	BRALA33420, BRALA35405, BRALA30241, BRALA31700
OG0000456	TCONS_00041585.p1	BRALA29108
OG0000458	TCONS_00046177.p1	BRALA27731
OG0000458	TCONS_00044692.p1	BRALA08331, BRALA08332, BRALA23783
OG0000459	TCONS_00055953.p1, TCONS_00057008.p1	BRALA32904, BRALA09210, BRALA32905, BRALA32906
OG0000460	TCONS_00042098.p1	BRALA28315
OG0000461	TCONS_00019012.p1	BRALA10740
OG0000461	TCONS_00005147.p1	BRALA25433
OG0000463	TCONS_00028391.p1	BRALA16614, BRALA34631
OG0000465	TCONS_00046928.p1, TCONS_00045554.p1	BRALA17892
OG0000465	TCONS_00051741.p1	BRALA15766
OG0000466	TCONS_00055165.p1, TCONS_00055198.p1, TCONS_00055551.p1, TCONS_00056318.p1, TCONS_00056377.p1, TCONS_00056378.p1, TCONS_00056319.p1, TCONS_00056320.p1, TCONS_00056380.p1, TCONS_00056381.p1	BRALA25737, BRALA15112, BRALA23392
OG0000466	TCONS_00052624.p1	BRALA18219, BRALA08090, BRALA23477, BRALA06102
OG0000467	TCONS_00049014.p1	BRALA17998
OG0000468	TCONS_00023318.p1, TCONS_00024958.p1, TCONS_00023321.p1, TCONS_00023193.p1, TCONS_00023191.p1, TCONS_00023328.p1, TCONS_00023322.p1	BRALA16180, BRALA28186, BRALA18298, BRALA18299, BRALA18302, BRALA18300
OG0000468	TCONS_00042224.p1, TCONS_00010055.p1	BRALA11917
OG0000469	TCONS_00048981.p1	BRALA35215, BRALA33439
OG0000469	TCONS_00027949.p1	BRALA16555
OG0000470	TCONS_00014594.p1, TCONS_00009548.p1, TCONS_00010825.p1	BRALA24698
OG0000471	TCONS_00031390.p1	BRALA15053
OG0000472	TCONS_00042976.p1, TCONS_00041636.p1, TCONS_00041637.p1, TCONS_00037389.p1, TCONS_00037390.p1, TCONS_00037391.p1, TCONS_00037388.p1, TCONS_00037393.p1, TCONS_00037382.p1, TCONS_00037385.p1, TCONS_00037392.p1, TCONS_00023656.p1, TCONS_00021161.p1, TCONS_00022192.p1, TCONS_00022994.p1, TCONS_00022964.p1	BRALA30097, BRALA25492, BRALA23375
OG0000474	TCONS_00019157.p1, TCONS_00019100.p1	BRALA10584
OG0000475	TCONS_00003775.p1	BRALA33310
OG0000476	TCONS_00015826.p1, TCONS_00015827.p1	BRALA20616, BRALA20613, BRALA20614, BRALA20612
OG0000476	TCONS_00004869.p2, TCONS_00014664.p1	BRALA14616, BRALA14614, BRALA14617
OG0000477	TCONS_00056849.p1, TCONS_00056850.p1	BRALA32650, BRALA33142
OG0000478	TCONS_00048865.p1, TCONS_00048864.p1, TCONS_00048866.p1	BRALA03122
OG0000479	TCONS_00000492.p1	BRALA33937
OG0000479	TCONS_00006853.p1	BRALA33783
OG0000480	TCONS_00050190.p1	BRALA30132, BRALA35901
OG0000481	TCONS_00005590.p1	BRALA27659
OG0000481	TCONS_00015361.p1	BRALA10023
OG0000481	TCONS_00030958.p1	BRALA03647
OG0000482	TCONS_00010197.p1	BRALA35197
OG0000482	TCONS_00010200.p1	BRALA29577
OG0000483	TCONS_00008197.p1	BRALA28394, BRALA28250, BRALA23332, BRALA32403, BRALA31892, BRALA23338, BRALA27180, BRALA31159
OG0000483	TCONS_00000956.p1, TCONS_00015584.p1	BRALA20943, BRALA21546
OG0000483	TCONS_00044838.p1, TCONS_00020511.p1	BRALA26366, BRALA19869
OG0000485	TCONS_00056294.p1, TCONS_00056292.p1	BRALA23674
OG0000485	TCONS_00035498.p1	BRALA05059, BRALA21189
OG0000486	TCONS_00055977.p1, TCONS_00056066.p1, TCONS_00055302.p1, TCONS_00052656.p1, TCONS_00053745.p1	BRALA01376, BRALA02955, BRALA02954, BRALA02956, BRALA19977
OG0000486	TCONS_00031403.p1, TCONS_00012362.p1	BRALA04760, BRALA04761, BRALA03985
OG0000487	TCONS_00000900.p1, TCONS_00005196.p1, TCONS_00055084.p1, TCONS_00000329.p1	BRALA22509
OG0000487	TCONS_00010004.p1, TCONS_00010012.p1, TCONS_00010010.p1, TCONS_00010011.p1, TCONS_00010014.p1, TCONS_00010016.p1	BRALA23385
OG0000487	TCONS_00018203.p1, TCONS_00017152.p1	BRALA28599, BRALA25400, BRALA25401, BRALA28602
OG0000488	TCONS_00010218.p1	BRALA07851
OG0000489	TCONS_00017175.p1	BRALA13763
OG0000489	TCONS_00048831.p1	BRALA13762
OG0000491	TCONS_00044061.p1	BRALA11888
OG0000494	TCONS_00005711.p1, TCONS_00017975.p1	BRALA14931
OG0000495	TCONS_00037767.p1	BRALA22436, BRALA11572, BRALA07929, BRALA07931, BRALA16951
OG0000496	TCONS_00002699.p1	BRALA07013
OG0000496	TCONS_00019620.p1	BRALA17609, BRALA17616, BRALA17614
OG0000497	TCONS_00006015.p1	BRALA07740
OG0000497	TCONS_00016143.p1	BRALA17523
OG0000498	TCONS_00008734.p1	BRALA29437
OG0000499	TCONS_00004484.p1	BRALA24404
OG0000501	TCONS_00038085.p1, TCONS_00037865.p1, TCONS_00037675.p1, TCONS_00037673.p1, TCONS_00037674.p1, TCONS_00037585.p1, TCONS_00036067.p1	BRALA16551, BRALA16552
OG0000503	TCONS_00023137.p1	BRALA07482, BRALA23827
OG0000503	TCONS_00016415.p1	BRALA20618
OG0000504	TCONS_00028051.p1	BRALA21734, BRALA21735
OG0000505	TCONS_00031917.p1, TCONS_00031941.p1	BRALA07980
OG0000506	TCONS_00020995.p1	BRALA05807
OG0000508	TCONS_00056880.p1, TCONS_00056893.p1	BRALA17016
OG0000508	TCONS_00019601.p1	BRALA31119
OG0000509	TCONS_00034139.p1	BRALA35203
OG0000509	TCONS_00043025.p1, TCONS_00038420.p1	BRALA35796
OG0000510	TCONS_00019767.p1, TCONS_00020826.p1	BRALA00432
OG0000511	TCONS_00025942.p1	BRALA34946
OG0000511	TCONS_00025941.p1	BRALA33387, BRALA34529, BRALA35005
OG0000513	TCONS_00030622.p1	BRALA06842
OG0000514	TCONS_00013334.p1	BRALA19477
OG0000515	TCONS_00037550.p1	BRALA07345
OG0000516	TCONS_00008150.p1	BRALA15544, BRALA02044, BRALA02039, BRALA02037, BRALA32371, BRALA02047, BRALA20757, BRALA02147, BRALA02350, BRALA22353, BRALA02043, BRALA02030, BRALA20755, BRALA08843, BRALA28896
OG0000516	TCONS_00009366.p1	BRALA28892, BRALA28893
OG0000518	TCONS_00052288.p1, TCONS_00038222.p1, TCONS_00000073.p1, TCONS_00001740.p1, TCONS_00018894.p1, TCONS_00018920.p1, TCONS_00014033.p1, TCONS_00019525.p1, TCONS_00019526.p1, TCONS_00018929.p1, TCONS_00020576.p1, TCONS_00049917.p1, TCONS_00044453.p1, TCONS_00044456.p1, TCONS_00049905.p1, TCONS_00049901.p1, TCONS_00052385.p1, TCONS_00041050.p1, TCONS_00036160.p1, TCONS_00052392.p1, TCONS_00052383.p1, TCONS_00036783.p1, TCONS_00036831.p1, TCONS_00031644.p1, TCONS_00036830.p1, TCONS_00036780.p1, TCONS_00036827.p1, TCONS_00036826.p1, TCONS_00036825.p1, TCONS_00036779.p1, TCONS_00052286.p1, TCONS_00036828.p1, TCONS_00037689.p1, TCONS_00037688.p1	BRALA23410, BRALA23404, BRALA23407, BRALA32092, BRALA34018, BRALA08497, BRALA08495, BRALA08500, BRALA02139, BRALA02121, BRALA04972, BRALA12895, BRALA12894, BRALA05655, BRALA18471, BRALA08498, BRALA12890, BRALA09527, BRALA13745, BRALA13746, BRALA04750, BRALA04848, BRALA05781, BRALA13191, BRALA24589, BRALA12228, BRALA03935
OG0000518	TCONS_00036972.p1, TCONS_00037687.p1, TCONS_00047173.p1	BRALA23409
OG0000519	TCONS_00022791.p1, TCONS_00005374.p1, TCONS_00005130.p1	BRALA25441, BRALA22160
OG0000520	TCONS_00004595.p1	BRALA19387
OG0000521	TCONS_00014430.p1, TCONS_00007432.p1	BRALA18650
OG0000522	TCONS_00027495.p1	BRALA25050, BRALA25052
OG0000523	TCONS_00054597.p1	BRALA23223
OG0000523	TCONS_00028413.p1, TCONS_00034609.p1, TCONS_00028797.p1, TCONS_00034604.p1, TCONS_00034611.p1, TCONS_00029689.p1, TCONS_00028796.p1	BRALA26109, BRALA09495, BRALA26107
OG0000525	TCONS_00016658.p1	BRALA20630
OG0000525	TCONS_00013078.p1	BRALA13036, BRALA13035
OG0000526	TCONS_00041894.p1, TCONS_00042136.p1, TCONS_00043491.p1, TCONS_00015113.p1, TCONS_00042832.p1	BRALA18190, BRALA08755, BRALA18192, BRALA16238, BRALA16318, BRALA23607, BRALA30521, BRALA08217, BRALA12537, BRALA00644, BRALA18595, BRALA00628, BRALA00629, BRALA00489, BRALA12135, BRALA08760, BRALA16233, BRALA27381, BRALA01561, BRALA18594, BRALA23606, BRALA34347
OG0000528	TCONS_00050473.p1	BRALA08668
OG0000528	TCONS_00011667.p1	BRALA13353
OG0000529	TCONS_00025454.p1	BRALA34553
OG0000529	TCONS_00051513.p1	BRALA17267
OG0000530	TCONS_00054317.p1	BRALA27713
OG0000531	TCONS_00019301.p1	BRALA10663
OG0000532	TCONS_00010389.p1, TCONS_00010391.p1, TCONS_00010388.p1, TCONS_00010394.p1, TCONS_00010393.p1, TCONS_00010386.p1, TCONS_00010396.p1, TCONS_00011312.p1, TCONS_00011287.p1, TCONS_00010385.p1	BRALA13752
OG0000533	TCONS_00044819.p1, TCONS_00044820.p1, TCONS_00017734.p1, TCONS_00017733.p1, TCONS_00017732.p1	BRALA29896, BRALA29895
OG0000533	TCONS_00049670.p1	BRALA09268, BRALA09267
OG0000533	TCONS_00043637.p1, TCONS_00043607.p1, TCONS_00043636.p1, TCONS_00043608.p1, TCONS_00043633.p1, TCONS_00043606.p1, TCONS_00043635.p1	BRALA08489
OG0000534	TCONS_00056562.p1	BRALA17057, BRALA15529
OG0000534	TCONS_00012237.p1	BRALA25037
