Orthogroup	PFLAV	YEAST
OG0000400	TCONS_00000839.p1, TCONS_00000848.p1, TCONS_00032354.p1, TCONS_00000101.p1, TCONS_00030227.p1	YEAST05911
OG0000402	TCONS_00027661.p1, TCONS_00041558.p1, TCONS_00007774.p1, TCONS_00007776.p1, TCONS_00009297.p1, TCONS_00008069.p1, TCONS_00009298.p1, TCONS_00007087.p1, TCONS_00007773.p1, TCONS_00007089.p1	YEAST01657, YEAST01929
OG0000405	TCONS_00029005.p1	YEAST06055, YEAST00411
OG0000412	TCONS_00031385.p1, TCONS_00014987.p1, TCONS_00014980.p1, TCONS_00014982.p1, TCONS_00014985.p1	YEAST04469
OG0000413	TCONS_00011626.p1	YEAST04905, YEAST05340
OG0000413	TCONS_00021738.p1	YEAST02838
OG0000419	TCONS_00023123.p1	YEAST05989
OG0000420	TCONS_00046722.p1, TCONS_00045703.p1, TCONS_00050772.p1, TCONS_00050774.p1, TCONS_00050773.p1, TCONS_00050771.p1, TCONS_00050765.p1, TCONS_00019332.p1, TCONS_00020753.p1	YEAST03886
OG0000424	TCONS_00036179.p1, TCONS_00031446.p1, TCONS_00031445.p1	YEAST03563
OG0000426	TCONS_00026285.p1	YEAST03440
OG0000427	TCONS_00025042.p1, TCONS_00051959.p1, TCONS_00051958.p1, TCONS_00051956.p1, TCONS_00051953.p1, TCONS_00051957.p1, TCONS_00051963.p1	YEAST02655, YEAST02439
OG0000429	TCONS_00034584.p1, TCONS_00017970.p1, TCONS_00017972.p1, TCONS_00016816.p1, TCONS_00017888.p1, TCONS_00017886.p1, TCONS_00016915.p1, TCONS_00017971.p1, TCONS_00017049.p1, TCONS_00018193.p1, TCONS_00018123.p1, TCONS_00018120.p1	YEAST02285
OG0000431	TCONS_00013224.p1, TCONS_00043448.p1, TCONS_00021923.p1	YEAST04014
OG0000433	TCONS_00012715.p1, TCONS_00002447.p1, TCONS_00001165.p1	YEAST06177, YEAST00117
OG0000437	TCONS_00050706.p1, TCONS_00050693.p1, TCONS_00050707.p1, TCONS_00050689.p1, TCONS_00050691.p1, TCONS_00050694.p1, TCONS_00050708.p1, TCONS_00024226.p1, TCONS_00024228.p1, TCONS_00024230.p1, TCONS_00024225.p1, TCONS_00024232.p1, TCONS_00024238.p1, TCONS_00024237.p1, TCONS_00051756.p1, TCONS_00051760.p1, TCONS_00051758.p1, TCONS_00051761.p1, TCONS_00051763.p1	YEAST03074, YEAST02073
OG0000442	TCONS_00021580.p1, TCONS_00002190.p1, TCONS_00012602.p1	YEAST05012
OG0000444	TCONS_00031849.p1, TCONS_00031859.p1, TCONS_00032514.p1, TCONS_00032512.p1, TCONS_00031853.p1, TCONS_00032513.p1, TCONS_00032517.p1, TCONS_00032518.p1, TCONS_00031857.p1, TCONS_00031854.p1, TCONS_00003709.p1, TCONS_00003710.p1, TCONS_00003707.p1, TCONS_00003706.p1, TCONS_00003708.p1, TCONS_00023010.p1, TCONS_00023516.p1, TCONS_00023527.p1, TCONS_00023517.p1, TCONS_00023528.p1, TCONS_00023529.p1, TCONS_00023521.p1	YEAST01115, YEAST04019
OG0000445	TCONS_00002401.p1, TCONS_00002110.p1, TCONS_00002102.p1, TCONS_00000750.p1, TCONS_00051673.p1, TCONS_00002921.p1, TCONS_00000935.p1, TCONS_00000936.p1, TCONS_00000920.p1	YEAST03068
OG0000450	TCONS_00006747.p1, TCONS_00006748.p1	YEAST04709, YEAST05909
OG0000461	TCONS_00005147.p1, TCONS_00027189.p1	YEAST00120
OG0000467	TCONS_00049014.p1	YEAST03162
OG0000468	TCONS_00023318.p1, TCONS_00024958.p1, TCONS_00023321.p1, TCONS_00023193.p1, TCONS_00023191.p1, TCONS_00023328.p1, TCONS_00023322.p1, TCONS_00042224.p1, TCONS_00010055.p1	YEAST04372
OG0000469	TCONS_00048981.p1	YEAST02179, YEAST05440
OG0000469	TCONS_00027949.p1	YEAST00863
OG0000474	TCONS_00019157.p1, TCONS_00019100.p1, TCONS_00019156.p1	YEAST02384
OG0000476	TCONS_00015828.p1, TCONS_00015826.p1, TCONS_00015827.p1, TCONS_00016255.p1, TCONS_00015832.p1, TCONS_00004869.p2, TCONS_00014664.p1	YEAST03038
OG0000479	TCONS_00000492.p1, TCONS_00006853.p1	YEAST04139
OG0000480	TCONS_00050137.p1, TCONS_00050192.p1, TCONS_00050190.p1	YEAST05750
OG0000481	TCONS_00005590.p1	YEAST01040
OG0000481	TCONS_00015361.p1	YEAST00916
OG0000481	TCONS_00030958.p1	YEAST00827, YEAST00774
OG0000486	TCONS_00055977.p1, TCONS_00056066.p1, TCONS_00055302.p1, TCONS_00052656.p1, TCONS_00053745.p1, TCONS_00031403.p1, TCONS_00012362.p1	YEAST03122, YEAST04270
OG0000487	TCONS_00000900.p1, TCONS_00005196.p1, TCONS_00055084.p1, TCONS_00000329.p1, TCONS_00010004.p1, TCONS_00010012.p1, TCONS_00010010.p1, TCONS_00010011.p1, TCONS_00010014.p1, TCONS_00010016.p1	YEAST04968
OG0000487	TCONS_00018203.p1, TCONS_00017152.p1	YEAST02728
OG0000488	TCONS_00010218.p1	YEAST01414
OG0000490	TCONS_00016246.p1	YEAST04297, YEAST00894
OG0000505	TCONS_00048589.p1, TCONS_00031917.p1, TCONS_00031941.p1, TCONS_00031940.p1, TCONS_00031914.p1	YEAST03067
OG0000508	TCONS_00056880.p1, TCONS_00056893.p1, TCONS_00019601.p1	YEAST04626
OG0000510	TCONS_00019767.p1, TCONS_00020826.p1	YEAST04569, YEAST05730
OG0000515	TCONS_00037550.p1	YEAST04784, YEAST05876
OG0000519	TCONS_00022791.p1, TCONS_00005374.p1, TCONS_00005130.p1	YEAST04594, YEAST03616
OG0000520	TCONS_00004595.p1, TCONS_00035177.p1, TCONS_00035175.p1	YEAST02979
OG0000523	TCONS_00054597.p1, TCONS_00002862.p1, TCONS_00002849.p1, TCONS_00002860.p1, TCONS_00003833.p1, TCONS_00028413.p1, TCONS_00034609.p1, TCONS_00028797.p1, TCONS_00034604.p1, TCONS_00034611.p1, TCONS_00029689.p1, TCONS_00028796.p1	YEAST01952, YEAST05838, YEAST06082
OG0000529	TCONS_00014944.p1, TCONS_00025454.p1, TCONS_00051513.p1	YEAST05790, YEAST00048
OG0000534	TCONS_00056562.p1, TCONS_00012237.p1	YEAST04932
OG0000538	TCONS_00057157.p1	YEAST00499
OG0000549	TCONS_00028444.p1, TCONS_00028445.p1, TCONS_00028447.p1, TCONS_00029499.p1, TCONS_00029502.p1, TCONS_00000133.p1, TCONS_00023197.p1, TCONS_00023330.p1	YEAST06280, YEAST02610, YEAST05060
OG0000552	TCONS_00051707.p1, TCONS_00043405.p1, TCONS_00045211.p1, TCONS_00021406.p1, TCONS_00011748.p1, TCONS_00021413.p1	YEAST05717
OG0000561	TCONS_00011481.p1, TCONS_00011480.p1, TCONS_00005060.p1, TCONS_00006305.p1	YEAST06202, YEAST00331
OG0000566	TCONS_00032759.p1, TCONS_00032760.p1, TCONS_00020313.p1, TCONS_00006656.p1	YEAST05789, YEAST00049
OG0000573	TCONS_00051396.p1, TCONS_00028054.p1	YEAST05675
OG0000576	TCONS_00020537.p1	YEAST00470, YEAST00193
OG0000578	TCONS_00011983.p1	YEAST01208, YEAST00759
OG0000579	TCONS_00047924.p1, TCONS_00047936.p1	YEAST02484
OG0000582	TCONS_00015865.p1	YEAST03615
OG0000587	TCONS_00022545.p1	YEAST04063
OG0000587	TCONS_00010544.p1	YEAST03372
OG0000588	TCONS_00053411.p1, TCONS_00001171.p1	YEAST05197
OG0000590	TCONS_00002842.p1, TCONS_00002855.p1, TCONS_00007322.p1	YEAST05110, YEAST05552, YEAST03727
OG0000592	TCONS_00039415.p1, TCONS_00015543.p1, TCONS_00039411.p1, TCONS_00039412.p1, TCONS_00039413.p1, TCONS_00039414.p1	YEAST00388
OG0000597	TCONS_00005133.p1, TCONS_00032508.p1	YEAST04330
OG0000609	TCONS_00009827.p1, TCONS_00003985.p1	YEAST05180
OG0000612	TCONS_00026134.p1	YEAST02370
OG0000612	TCONS_00008817.p1	YEAST03629
OG0000613	TCONS_00018679.p1, TCONS_00017693.p1, TCONS_00028346.p1	YEAST01072
OG0000623	TCONS_00045077.p1	YEAST02411
OG0000623	TCONS_00014399.p1	YEAST05090
OG0000627	TCONS_00035285.p1	YEAST02116, YEAST03957
OG0000639	TCONS_00028238.p1, TCONS_00009320.p1	YEAST02015
OG0000642	TCONS_00030948.p1	YEAST00618
OG0000645	TCONS_00009435.p1	YEAST05140
OG0000645	TCONS_00020836.p1	YEAST04743
OG0000647	TCONS_00023134.p1, TCONS_00020958.p1	YEAST04534
OG0000648	TCONS_00009291.p1, TCONS_00009289.p1, TCONS_00008067.p1	YEAST04178, YEAST05641
OG0000657	TCONS_00000969.p1, TCONS_00019776.p1, TCONS_00019777.p1, TCONS_00019778.p1	YEAST03846
OG0000660	TCONS_00056935.p1, TCONS_00001169.p1	YEAST05150, YEAST01587
OG0000662	TCONS_00026788.p1, TCONS_00025890.p1, TCONS_00012593.p1	YEAST05937
OG0000663	TCONS_00046671.p1, TCONS_00053215.p1	YEAST02675, YEAST03294
OG0000672	TCONS_00021249.p1, TCONS_00022408.p1	YEAST03771
OG0000672	TCONS_00009740.p1	YEAST00984
OG0000676	TCONS_00018626.p1	YEAST01503
OG0000676	TCONS_00022372.p1	YEAST02962
OG0000683	TCONS_00022902.p1, TCONS_00052646.p1	YEAST03152, YEAST03537, YEAST05938
OG0000690	TCONS_00046093.p1	YEAST04874
OG0000690	TCONS_00001720.p1	YEAST02296
OG0000692	TCONS_00052734.p1	YEAST01969
OG0000692	TCONS_00029006.p1, TCONS_00027577.p1, TCONS_00006462.p1, TCONS_00006453.p1, TCONS_00006460.p1	YEAST03487
OG0000694	TCONS_00014772.p1	YEAST05978
OG0000699	TCONS_00021274.p1, TCONS_00021271.p1	YEAST05706
OG0000701	TCONS_00026249.p1, TCONS_00026244.p1, TCONS_00026245.p1, TCONS_00026250.p1	YEAST02239, YEAST02223
OG0000703	TCONS_00030196.p1	YEAST05314
OG0000708	TCONS_00052744.p1, TCONS_00049295.p1	YEAST05997
OG0000709	TCONS_00003484.p1, TCONS_00011621.p1	YEAST00057
OG0000724	TCONS_00011523.p1	YEAST02013
OG0000732	TCONS_00022768.p1, TCONS_00053142.p1	YEAST04978
OG0000733	TCONS_00011607.p1, TCONS_00010891.p1	YEAST05474
OG0000735	TCONS_00016800.p1	YEAST05945
OG0000737	TCONS_00041554.p1, TCONS_00026738.p1, TCONS_00041553.p1, TCONS_00026739.p1	YEAST05188
OG0000744	TCONS_00008825.p1	YEAST05951
OG0000745	TCONS_00011567.p1, TCONS_00011565.p1, TCONS_00010173.p1, TCONS_00016076.p1	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102
OG0000752	TCONS_00027586.p1, TCONS_00000980.p1, TCONS_00054248.p1	YEAST01432, YEAST04483
OG0000753	TCONS_00033131.p1, TCONS_00034978.p1, TCONS_00033130.p1	YEAST01034, YEAST02037
OG0000757	TCONS_00041747.p1, TCONS_00006887.p1, TCONS_00006876.p1, TCONS_00057276.p1	YEAST01489
OG0000758	TCONS_00016783.p1	YEAST01504
OG0000759	TCONS_00002581.p1	YEAST02878, YEAST05681
OG0000765	TCONS_00040300.p1	YEAST05027, YEAST03009, YEAST01404
OG0000768	TCONS_00049576.p1	YEAST02560, YEAST04269
OG0000772	TCONS_00030063.p1, TCONS_00008408.p1	YEAST04929
OG0000776	TCONS_00046336.p1, TCONS_00030153.p1, TCONS_00030152.p1, TCONS_00009195.p1, TCONS_00030151.p1	YEAST04571, YEAST00195, YEAST00312
OG0000777	TCONS_00013796.p1	YEAST06297, YEAST02627
OG0000779	TCONS_00015355.p1, TCONS_00016604.p1	YEAST03812
OG0000782	TCONS_00028725.p1	YEAST01393, YEAST05616
OG0000791	TCONS_00055031.p1	YEAST02375
OG0000794	TCONS_00016640.p1	YEAST04627
OG0000800	TCONS_00005527.p1, TCONS_00031622.p1, TCONS_00032650.p1, TCONS_00040715.p1, TCONS_00040709.p1, TCONS_00022234.p1, TCONS_00022235.p1, TCONS_00022236.p1, TCONS_00022113.p1, TCONS_00022115.p1, TCONS_00022114.p1, TCONS_00022116.p1, TCONS_00021049.p1, TCONS_00022034.p1, TCONS_00026387.p1	YEAST03636
OG0000809	TCONS_00053785.p1	YEAST01998
OG0000817	TCONS_00019272.p1, TCONS_00030970.p1	YEAST00389
OG0000817	TCONS_00056615.p1	YEAST06112
OG0000824	TCONS_00020720.p1, TCONS_00019654.p1, TCONS_00021735.p1	YEAST01319, YEAST02883
OG0000828	TCONS_00020647.p1	YEAST00945, YEAST05476, YEAST00075
OG0000828	TCONS_00004770.p1	YEAST02290
OG0000837	TCONS_00017392.p1	YEAST06222
OG0000841	TCONS_00009390.p1	YEAST02416
OG0000847	TCONS_00006742.p1	YEAST02881, YEAST03544, YEAST06198
OG0000847	TCONS_00028764.p1, TCONS_00006142.p1, TCONS_00006162.p1	YEAST02530, YEAST00209
OG0000849	TCONS_00039977.p1	YEAST04475
OG0000850	TCONS_00052504.p1, TCONS_00027096.p1	YEAST04287
OG0000852	TCONS_00029058.p1, TCONS_00008486.p1	YEAST01266
OG0000855	TCONS_00005293.p1, TCONS_00030725.p1, TCONS_00029886.p1, TCONS_00005298.p1, TCONS_00005301.p1, TCONS_00005299.p1, TCONS_00005291.p1, TCONS_00005295.p1, TCONS_00005297.p1	YEAST04755
OG0000857	TCONS_00038040.p1	YEAST00309
OG0000868	TCONS_00011478.p1	YEAST06157
OG0000871	TCONS_00035384.p1, TCONS_00001861.p1, TCONS_00000505.p1, TCONS_00000506.p1, TCONS_00000507.p1, TCONS_00000499.p1, TCONS_00000504.p1, TCONS_00026834.p1	YEAST03857
OG0000872	TCONS_00037055.p1, TCONS_00037051.p1, TCONS_00037037.p1, TCONS_00037056.p1	YEAST03222, YEAST03741
OG0000875	TCONS_00053761.p1, TCONS_00056388.p1, TCONS_00041427.p1	YEAST00077
OG0000876	TCONS_00004348.p1	YEAST05556
OG0000879	TCONS_00042409.p1, TCONS_00022585.p1, TCONS_00056397.p1	YEAST06123
OG0000888	TCONS_00029758.p1, TCONS_00030186.p1, TCONS_00020224.p1	YEAST00288
OG0000889	TCONS_00010936.p1, TCONS_00004850.p1, TCONS_00004830.p1	YEAST00175
OG0000894	TCONS_00042942.p1, TCONS_00014568.p1	YEAST03763
OG0000896	TCONS_00012437.p1, TCONS_00012438.p1	YEAST02476
OG0000896	TCONS_00023440.p1, TCONS_00023471.p1, TCONS_00023178.p1, TCONS_00003493.p1	YEAST04923
OG0000898	TCONS_00053144.p1, TCONS_00053143.p1	YEAST06255, YEAST03431
OG0000905	TCONS_00037595.p1, TCONS_00036217.p1, TCONS_00037367.p1	YEAST00599
OG0000907	TCONS_00053291.p1	YEAST02193
OG0000913	TCONS_00044188.p1	YEAST03557, YEAST05101
OG0000914	TCONS_00048628.p1	YEAST04745
OG0000921	TCONS_00016117.p1	YEAST02526
OG0000925	TCONS_00054170.p1, TCONS_00054133.p1, TCONS_00021772.p1	YEAST05667, YEAST06025
OG0000932	TCONS_00006235.p1	YEAST03525
OG0000933	TCONS_00010516.p1	YEAST06306
OG0000934	TCONS_00001864.p1	YEAST02582, YEAST06252
OG0000934	TCONS_00025359.p1	YEAST05040
OG0000935	TCONS_00054853.p1, TCONS_00054852.p1	YEAST02843
OG0000943	TCONS_00030041.p1, TCONS_00006489.p1	YEAST03805
OG0000944	TCONS_00043975.p1	YEAST04878
OG0000954	TCONS_00055769.p1, TCONS_00014081.p1	YEAST05503, YEAST01249
OG0000955	TCONS_00054603.p1	YEAST00837
OG0000955	TCONS_00043151.p1	YEAST04295
OG0000963	TCONS_00053983.p1, TCONS_00054330.p1	YEAST03685, YEAST00482, YEAST01749
OG0000964	TCONS_00037502.p1, TCONS_00037503.p1, TCONS_00037501.p1, TCONS_00049206.p1, TCONS_00014950.p1	YEAST04606
OG0000965	TCONS_00030366.p1, TCONS_00031078.p1	YEAST02552
OG0000965	TCONS_00007578.p1	YEAST02050
OG0000967	TCONS_00041998.p1, TCONS_00031424.p1	YEAST05075
OG0000970	TCONS_00005399.p1, TCONS_00006818.p1	YEAST04028
OG0000982	TCONS_00019685.p1	YEAST01182
OG0000984	TCONS_00029130.p1, TCONS_00029125.p1, TCONS_00019326.p1, TCONS_00055833.p1	YEAST01493, YEAST00575
OG0000986	TCONS_00030602.p1, TCONS_00030410.p1	YEAST01481, YEAST04073
OG0000987	TCONS_00018810.p1, TCONS_00005846.p1	YEAST04734, YEAST02734
OG0000994	TCONS_00017207.p1, TCONS_00006840.p1, TCONS_00006841.p1	YEAST02360
OG0000996	TCONS_00021104.p1	YEAST00033
OG0001001	TCONS_00021762.p1, TCONS_00021761.p1	YEAST00341
OG0001003	TCONS_00004598.p1	YEAST00644
OG0001006	TCONS_00055759.p1, TCONS_00052629.p1	YEAST04513
OG0001016	TCONS_00032736.p1, TCONS_00055345.p1, TCONS_00032735.p1, TCONS_00032734.p1, TCONS_00032700.p1	YEAST00830
OG0001018	TCONS_00001884.p1, TCONS_00010472.p1	YEAST01172
OG0001024	TCONS_00031075.p1, TCONS_00030297.p1	YEAST01024, YEAST00308
OG0001033	TCONS_00054950.p1	YEAST02124
OG0001064	TCONS_00007880.p1, TCONS_00009073.p1, TCONS_00007882.p1, TCONS_00037695.p1, TCONS_00037693.p1, TCONS_00013494.p1, TCONS_00009075.p1	YEAST00458
OG0001066	TCONS_00047232.p1	YEAST06311
OG0001075	TCONS_00018554.p1, TCONS_00056425.p1, TCONS_00056424.p1, TCONS_00056414.p1, TCONS_00056417.p1, TCONS_00056418.p1, TCONS_00056419.p1, TCONS_00056421.p1, TCONS_00056428.p1, TCONS_00056427.p1, TCONS_00055256.p1	YEAST05636
OG0001076	TCONS_00043600.p1	YEAST01570
OG0001081	TCONS_00055778.p1, TCONS_00036171.p1, TCONS_00008546.p1	YEAST04460
OG0001082	TCONS_00056645.p1, TCONS_00056648.p1, TCONS_00020164.p1	YEAST03919, YEAST02905, YEAST05331
OG0001094	TCONS_00011143.p1	YEAST03837
OG0001095	TCONS_00019147.p1	YEAST00773
OG0001096	TCONS_00050847.p1, TCONS_00055602.p1, TCONS_00055601.p1, TCONS_00055600.p1, TCONS_00056769.p1, TCONS_00053954.p1, TCONS_00010116.p1	YEAST01384
OG0001101	TCONS_00047616.p1	YEAST03434
OG0001108	TCONS_00020684.p1	YEAST06309
OG0001111	TCONS_00009762.p1, TCONS_00007443.p1	YEAST06003
OG0001113	TCONS_00043824.p1	YEAST05320
OG0001114	TCONS_00031876.p1	YEAST00036, YEAST05811
OG0001124	TCONS_00014549.p1, TCONS_00020701.p1	YEAST02719
OG0001132	TCONS_00028117.p1, TCONS_00028105.p1	YEAST05421
OG0001133	TCONS_00015242.p1	YEAST04296
OG0001133	TCONS_00053218.p1	YEAST03271
OG0001134	TCONS_00012314.p1	YEAST05015
OG0001135	TCONS_00042538.p1	YEAST03641
OG0001136	TCONS_00028141.p1	YEAST05047, YEAST02997
OG0001140	TCONS_00045555.p1, TCONS_00046926.p1	YEAST03519
OG0001142	TCONS_00017195.p1	YEAST04001
OG0001163	TCONS_00030259.p1, TCONS_00030251.p1	YEAST02433
OG0001164	TCONS_00006590.p1	YEAST03454
OG0001171	TCONS_00046615.p1	YEAST04620, YEAST03578
OG0001175	TCONS_00018800.p1	YEAST00534
OG0001177	TCONS_00031042.p1, TCONS_00043176.p1, TCONS_00016810.p1, TCONS_00031043.p1, TCONS_00031052.p1	YEAST06137
OG0001179	TCONS_00007366.p1, TCONS_00007365.p1, TCONS_00007363.p1, TCONS_00007362.p1, TCONS_00007361.p1, TCONS_00007757.p1	YEAST00368, YEAST04831, YEAST02287
OG0001181	TCONS_00056617.p1	YEAST02051
OG0001184	TCONS_00015015.p1, TCONS_00015016.p1, TCONS_00027741.p1	YEAST01681
OG0001186	TCONS_00018904.p1, TCONS_00008504.p1	YEAST04605, YEAST01886
OG0001191	TCONS_00027129.p1	YEAST04707
OG0001197	TCONS_00053978.p1, TCONS_00010219.p1, TCONS_00018044.p1	YEAST01499
OG0001201	TCONS_00008587.p1	YEAST05452
OG0001204	TCONS_00006364.p1	YEAST05200
OG0001207	TCONS_00003023.p1	YEAST03225, YEAST00090
OG0001207	TCONS_00055016.p1, TCONS_00002875.p1	YEAST04258
OG0001210	TCONS_00010944.p1	YEAST05511
OG0001210	TCONS_00052218.p1	YEAST02318
OG0001212	TCONS_00043221.p1, TCONS_00043220.p1	YEAST03971
OG0001214	TCONS_00033365.p1, TCONS_00048958.p1	YEAST00577
OG0001216	TCONS_00051636.p1, TCONS_00007050.p1	YEAST00145
OG0001219	TCONS_00017300.p1	YEAST03867
OG0001236	TCONS_00050414.p1, TCONS_00050417.p1, TCONS_00050415.p1	YEAST03325, YEAST02687, YEAST03269
OG0001237	TCONS_00019550.p1, TCONS_00019547.p1, TCONS_00019780.p1	YEAST04380
OG0001238	TCONS_00027408.p1, TCONS_00019050.p1	YEAST04481
OG0001241	TCONS_00044745.p1	YEAST02002
OG0001241	TCONS_00021229.p1	YEAST03967, YEAST01074
OG0001243	TCONS_00032341.p1	YEAST00739, YEAST05004
OG0001249	TCONS_00053927.p1	YEAST01062, YEAST02067
OG0001250	TCONS_00014350.p1	YEAST02968, YEAST01339
OG0001251	TCONS_00019290.p1	YEAST00750
OG0001251	TCONS_00007951.p1	YEAST01707
OG0001253	TCONS_00048644.p1	YEAST03998
OG0001254	TCONS_00019693.p1, TCONS_00019695.p1	YEAST04309
OG0001262	TCONS_00014954.p1, TCONS_00014955.p1, TCONS_00048625.p1	YEAST00911
OG0001263	TCONS_00031000.p1, TCONS_00040341.p1	YEAST00172
OG0001268	TCONS_00029161.p1, TCONS_00047925.p1, TCONS_00047938.p1	YEAST03495
OG0001270	TCONS_00014047.p1	YEAST01703
OG0001270	TCONS_00012405.p1	YEAST02398
OG0001271	TCONS_00055883.p1	YEAST05227, YEAST00662
OG0001278	TCONS_00017721.p1	YEAST01893
OG0001279	TCONS_00010827.p1, TCONS_00009545.p1	YEAST03070
OG0001280	TCONS_00028312.p1	YEAST00846
OG0001282	TCONS_00036586.p1, TCONS_00036581.p1	YEAST03744
OG0001284	TCONS_00055451.p1, TCONS_00029573.p1	YEAST00567, YEAST01498
OG0001286	TCONS_00025745.p1, TCONS_00025785.p1	YEAST00588, YEAST01486, YEAST03604
OG0001291	TCONS_00031080.p1	YEAST04453, YEAST04334
OG0001300	TCONS_00057082.p1	YEAST01098
OG0001302	TCONS_00052574.p1	YEAST02328
OG0001302	TCONS_00000712.p1	YEAST00299
OG0001310	TCONS_00010057.p1, TCONS_00055780.p1	YEAST00887
OG0001318	TCONS_00037597.p1, TCONS_00000323.p1	YEAST03712
OG0001319	TCONS_00021346.p1	YEAST01678
OG0001321	TCONS_00020758.p1	YEAST02280, YEAST01901
OG0001322	TCONS_00024457.p1, TCONS_00025837.p1, TCONS_00052945.p1, TCONS_00010993.p1	YEAST06128
OG0001324	TCONS_00003858.p1	YEAST00078
OG0001325	TCONS_00030056.p1	YEAST00793
OG0001326	TCONS_00026256.p1	YEAST05395
OG0001327	TCONS_00017808.p1, TCONS_00049776.p1	YEAST03176
OG0001332	TCONS_00027699.p1, TCONS_00027701.p1, TCONS_00053843.p1, TCONS_00053855.p1, TCONS_00052808.p1, TCONS_00052769.p1	YEAST03929, YEAST02705, YEAST00687
OG0001333	TCONS_00025266.p1, TCONS_00025267.p1	YEAST00728
OG0001341	TCONS_00048366.p1	YEAST06006
OG0001345	TCONS_00047431.p1	YEAST03613
OG0001353	TCONS_00010417.p1, TCONS_00045371.p1	YEAST00020, YEAST04041
OG0001363	TCONS_00016669.p1, TCONS_00026420.p1	YEAST06180
OG0001364	TCONS_00051517.p1	YEAST06038, YEAST00402
OG0001367	TCONS_00016768.p1	YEAST04688
OG0001368	TCONS_00011577.p1	YEAST01821
OG0001370	TCONS_00019682.p1, TCONS_00019683.p1, TCONS_00057094.p1, TCONS_00057111.p1	YEAST04067, YEAST05195, YEAST00897
OG0001371	TCONS_00012767.p1, TCONS_00012769.p1, TCONS_00012770.p1, TCONS_00012768.p1	YEAST00532, YEAST03976
OG0001372	TCONS_00008773.p1, TCONS_00008777.p1, TCONS_00008776.p1, TCONS_00054675.p1, TCONS_00054608.p1	YEAST00070
OG0001372	TCONS_00009173.p1	YEAST02226
OG0001375	TCONS_00044702.p1, TCONS_00045949.p1, TCONS_00045948.p1, TCONS_00044703.p1	YEAST05499, YEAST05567
OG0001378	TCONS_00027073.p1	YEAST02300
OG0001379	TCONS_00021662.p1	YEAST04155
OG0001386	TCONS_00003437.p1	YEAST05114
OG0001397	TCONS_00027541.p1, TCONS_00027564.p1	YEAST05731
OG0001400	TCONS_00003167.p1	YEAST02931
OG0001409	TCONS_00038493.p1, TCONS_00038524.p1, TCONS_00038499.p1	YEAST00885, YEAST04659
OG0001410	TCONS_00042951.p1, TCONS_00008083.p1	YEAST05046
OG0001411	TCONS_00041687.p1	YEAST04834
OG0001412	TCONS_00027477.p1, TCONS_00012791.p1, TCONS_00041429.p1	YEAST04490
OG0001413	TCONS_00044664.p1, TCONS_00029113.p1	YEAST04294
OG0001414	TCONS_00026027.p1	YEAST06070, YEAST01920
OG0001415	TCONS_00006895.p1	YEAST04230
OG0001415	TCONS_00024252.p1	YEAST00964
OG0001421	TCONS_00010948.p1	YEAST05252
OG0001422	TCONS_00020040.p1	YEAST05588, YEAST01363
OG0001424	TCONS_00019781.p1, TCONS_00018473.p1	YEAST01127
OG0001427	TCONS_00044888.p1	YEAST01885
OG0001428	TCONS_00052139.p1	YEAST04862, YEAST05862, YEAST02749, YEAST03037
OG0001430	TCONS_00052718.p1, TCONS_00004460.p1	YEAST01712
OG0001434	TCONS_00054778.p1, TCONS_00012407.p1, TCONS_00012406.p1	YEAST03991
OG0001437	TCONS_00007207.p1, TCONS_00008548.p1	YEAST01264, YEAST02900
OG0001445	TCONS_00056905.p1	YEAST01715
OG0001449	TCONS_00046612.p1	YEAST03188
OG0001452	TCONS_00027858.p1	YEAST05900
OG0001454	TCONS_00043944.p1	YEAST01495, YEAST00573
OG0001456	TCONS_00005198.p1, TCONS_00005200.p1	YEAST00365
OG0001459	TCONS_00023671.p1	YEAST03073, YEAST03464
OG0001461	TCONS_00047792.p1, TCONS_00047793.p1	YEAST05255
OG0001468	TCONS_00002865.p1	YEAST03875, YEAST03904
OG0001469	TCONS_00027694.p1	YEAST02070
OG0001469	TCONS_00000853.p1	YEAST02765
OG0001470	TCONS_00005096.p1	YEAST00369, YEAST05375
OG0001472	TCONS_00056649.p1, TCONS_00007782.p1	YEAST03031
OG0001473	TCONS_00006544.p1, TCONS_00012738.p1	YEAST05711
OG0001474	TCONS_00044091.p1, TCONS_00013132.p1, TCONS_00013137.p1	YEAST01416, YEAST05312
OG0001478	TCONS_00012152.p1	YEAST01984
OG0001478	TCONS_00013231.p1	YEAST02078
OG0001479	TCONS_00014656.p1	YEAST01132
OG0001503	TCONS_00028803.p1	YEAST03032
OG0001503	TCONS_00013935.p1	YEAST02920
OG0001504	TCONS_00007169.p1, TCONS_00007167.p1, TCONS_00007160.p1	YEAST05406
OG0001505	TCONS_00050549.p1, TCONS_00012643.p1	YEAST03361
OG0001508	TCONS_00023984.p1, TCONS_00023973.p1	YEAST04143
OG0001515	TCONS_00005036.p1	YEAST03320, YEAST03569
OG0001520	TCONS_00017186.p1	YEAST03872
OG0001524	TCONS_00026880.p1, TCONS_00007581.p1	YEAST03912
OG0001525	TCONS_00006334.p1, TCONS_00006337.p1, TCONS_00006338.p1, TCONS_00052185.p1, TCONS_00006333.p1	YEAST00757
