Orthogroup	PFLAV	CAEEL
OG0001050	TCONS_00041057.p1	CAEEL14076, CAEEL15706
OG0001052	TCONS_00029989.p1	CAEEL09647
OG0001053	TCONS_00030276.p1	CAEEL09742
OG0001058	TCONS_00034488.p1	CAEEL19015
OG0001059	TCONS_00046508.p1	CAEEL00192
OG0001060	TCONS_00027922.p1, TCONS_00027923.p1, TCONS_00042973.p1	CAEEL15786
OG0001062	TCONS_00052698.p1	CAEEL08101
OG0001063	TCONS_00012059.p1	CAEEL15713, CAEEL15714
OG0001063	TCONS_00011029.p1, TCONS_00011028.p1	CAEEL08167
OG0001066	TCONS_00047232.p1	CAEEL12576
OG0001072	TCONS_00004835.p1, TCONS_00004857.p1	CAEEL08406
OG0001075	TCONS_00018554.p1, TCONS_00056425.p1, TCONS_00056424.p1, TCONS_00056414.p1, TCONS_00056417.p1, TCONS_00056418.p1, TCONS_00056419.p1, TCONS_00056421.p1, TCONS_00056428.p1, TCONS_00056427.p1, TCONS_00055256.p1	CAEEL11648, CAEEL18873
OG0001076	TCONS_00043600.p1	CAEEL07541
OG0001077	TCONS_00057134.p1	CAEEL18659
OG0001078	TCONS_00023347.p1, TCONS_00023220.p1, TCONS_00023380.p1	CAEEL19295
OG0001079	TCONS_00047466.p1	CAEEL10503
OG0001080	TCONS_00055708.p1	CAEEL08359
OG0001082	TCONS_00056645.p1, TCONS_00056648.p1	CAEEL19080, CAEEL19079, CAEEL09741
OG0001083	TCONS_00027737.p1	CAEEL06682
OG0001084	TCONS_00001343.p1	CAEEL01831
OG0001085	TCONS_00048306.p1	CAEEL09995, CAEEL09996
OG0001091	TCONS_00020805.p1	CAEEL07358
OG0001092	TCONS_00043827.p1	CAEEL07387
OG0001093	TCONS_00003654.p1	CAEEL00638
OG0001095	TCONS_00019147.p1	CAEEL07595
OG0001096	TCONS_00050847.p1, TCONS_00055602.p1, TCONS_00055601.p1, TCONS_00055600.p1, TCONS_00056769.p1, TCONS_00053954.p1, TCONS_00010116.p1	CAEEL04621, CAEEL17752
OG0001098	TCONS_00034285.p1, TCONS_00021033.p1, TCONS_00034294.p1, TCONS_00029127.p1, TCONS_00029122.p1, TCONS_00021454.p1, TCONS_00021455.p1, TCONS_00022440.p1, TCONS_00022441.p1, TCONS_00021448.p1, TCONS_00021452.p1, TCONS_00021453.p1, TCONS_00021451.p1, TCONS_00039809.p1, TCONS_00039803.p1, TCONS_00039807.p1, TCONS_00039802.p1, TCONS_00039808.p1, TCONS_00039810.p1, TCONS_00015296.p1, TCONS_00015297.p1, TCONS_00015295.p1, TCONS_00015299.p1, TCONS_00015298.p1, TCONS_00015300.p1, TCONS_00015294.p1, TCONS_00003939.p1, TCONS_00003940.p1, TCONS_00002965.p1, TCONS_00003062.p1, TCONS_00003064.p1, TCONS_00003065.p1, TCONS_00004075.p1, TCONS_00039250.p1, TCONS_00039249.p1, TCONS_00039167.p1, TCONS_00039169.p1, TCONS_00039251.p1, TCONS_00039165.p1	CAEEL04192
OG0001101	TCONS_00047616.p1	CAEEL11585
OG0001102	TCONS_00010405.p1, TCONS_00019241.p1, TCONS_00000169.p1	CAEEL08853
OG0001103	TCONS_00017240.p1	CAEEL18815
OG0001104	TCONS_00032893.p1	CAEEL09176, CAEEL09177
OG0001104	TCONS_00018743.p1, TCONS_00018706.p1	CAEEL20081
OG0001107	TCONS_00022326.p1	CAEEL18427
OG0001108	TCONS_00020684.p1	CAEEL09307
OG0001109	TCONS_00043148.p1, TCONS_00041764.p1, TCONS_00043474.p1, TCONS_00043476.p1	CAEEL14851, CAEEL20028, CAEEL14852, CAEEL14853, CAEEL13761, CAEEL14859, CAEEL09898, CAEEL19118
OG0001112	TCONS_00021573.p1	CAEEL19902
OG0001113	TCONS_00043824.p1	CAEEL15158
OG0001114	TCONS_00031876.p1	CAEEL11582, CAEEL01758, CAEEL01759
OG0001116	TCONS_00038721.p1, TCONS_00000105.p1	CAEEL04351
OG0001117	TCONS_00055590.p1	CAEEL08762
OG0001122	TCONS_00007633.p1	CAEEL18238
OG0001124	TCONS_00014549.p1, TCONS_00020701.p1	CAEEL08814
OG0001126	TCONS_00021077.p1	CAEEL04859
OG0001130	TCONS_00028392.p1	CAEEL00952, CAEEL00232
OG0001130	TCONS_00028134.p1	CAEEL00767
OG0001131	TCONS_00010492.p1	CAEEL14208
OG0001132	TCONS_00028117.p1, TCONS_00028105.p1	CAEEL04290
OG0001133	TCONS_00053218.p1	CAEEL11294
OG0001137	TCONS_00009779.p1	CAEEL04790
OG0001138	TCONS_00020566.p1	CAEEL07800, CAEEL07799
OG0001139	TCONS_00021216.p1	CAEEL06928, CAEEL15457
OG0001140	TCONS_00045555.p1, TCONS_00046926.p1	CAEEL14389
OG0001141	TCONS_00028439.p1	CAEEL01107, CAEEL01106
OG0001142	TCONS_00017195.p1	CAEEL12657
OG0001143	TCONS_00020217.p1	CAEEL01013
OG0001155	TCONS_00053982.p1	CAEEL13066, CAEEL13586, CAEEL04642, CAEEL13526
OG0001156	TCONS_00055858.p1	CAEEL20728
OG0001158	TCONS_00008068.p1, TCONS_00051859.p1	CAEEL00147
OG0001159	TCONS_00018547.p1	CAEEL07987, CAEEL18966
OG0001160	TCONS_00025396.p1, TCONS_00025758.p1, TCONS_00025797.p1	CAEEL16381, CAEEL20121
OG0001162	TCONS_00034837.p1, TCONS_00018831.p1	CAEEL18096
OG0001163	TCONS_00030259.p1, TCONS_00030251.p1	CAEEL11823, CAEEL14454, CAEEL17374
OG0001164	TCONS_00006590.p1	CAEEL07306
OG0001165	TCONS_00018323.p1	CAEEL19696
OG0001167	TCONS_00009697.p1	CAEEL04546
OG0001168	TCONS_00007095.p1	CAEEL02000
OG0001171	TCONS_00046615.p1	CAEEL20677
OG0001172	TCONS_00003400.p1, TCONS_00004388.p1	CAEEL13596
OG0001172	TCONS_00004384.p1	CAEEL01942
OG0001173	TCONS_00036061.p1	CAEEL15708
OG0001175	TCONS_00018800.p1	CAEEL15152, CAEEL14463, CAEEL15032, CAEEL15031, CAEEL06075, CAEEL10718
OG0001176	TCONS_00031061.p1	CAEEL11466
OG0001177	TCONS_00031042.p1, TCONS_00043176.p1, TCONS_00016810.p1, TCONS_00031043.p1, TCONS_00031052.p1	CAEEL08262, CAEEL18706
OG0001178	TCONS_00052837.p1	CAEEL05306
OG0001179	TCONS_00007366.p1, TCONS_00007365.p1, TCONS_00007363.p1, TCONS_00007362.p1, TCONS_00007361.p1, TCONS_00007757.p1	CAEEL07894, CAEEL04651, CAEEL04194, CAEEL05939
OG0001180	TCONS_00029840.p1	CAEEL00751
OG0001181	TCONS_00056617.p1	CAEEL08327
OG0001184	TCONS_00015015.p1, TCONS_00015016.p1	CAEEL20576
OG0001184	TCONS_00027741.p1	CAEEL19676
OG0001186	TCONS_00018904.p1	CAEEL00480
OG0001186	TCONS_00008504.p1	CAEEL09703
OG0001188	TCONS_00009642.p1	CAEEL14362
OG0001189	TCONS_00046683.p1, TCONS_00046682.p1	CAEEL01928
OG0001191	TCONS_00027129.p1	CAEEL09751, CAEEL20476, CAEEL09505
OG0001197	TCONS_00010219.p1	CAEEL11613
OG0001200	TCONS_00011494.p1	CAEEL05263
OG0001201	TCONS_00008587.p1	CAEEL02666
OG0001204	TCONS_00006364.p1	CAEEL09132
OG0001208	TCONS_00019772.p1	CAEEL10574
OG0001209	TCONS_00032359.p1	CAEEL00442
OG0001210	TCONS_00010944.p1	CAEEL06396
OG0001210	TCONS_00052218.p1	CAEEL06380
OG0001213	TCONS_00027209.p1	CAEEL01138, CAEEL01163, CAEEL01148, CAEEL04429, CAEEL04430
OG0001214	TCONS_00033365.p1	CAEEL08401
OG0001215	TCONS_00033488.p1	CAEEL11249
OG0001216	TCONS_00051636.p1	CAEEL04644
OG0001217	TCONS_00000738.p1	CAEEL08746
OG0001218	TCONS_00052215.p1	CAEEL20131, CAEEL14167
OG0001219	TCONS_00017300.p1	CAEEL20379
OG0001220	TCONS_00006085.p1	CAEEL07890
OG0001221	TCONS_00007062.p1, TCONS_00038811.p1, TCONS_00038873.p1, TCONS_00038810.p1, TCONS_00038875.p1, TCONS_00038876.p1, TCONS_00038807.p1, TCONS_00038874.p1, TCONS_00055087.p1, TCONS_00055088.p1, TCONS_00055090.p1, TCONS_00055091.p1	CAEEL13124
OG0001223	TCONS_00007477.p1	CAEEL02795
OG0001224	TCONS_00051554.p1	CAEEL07196
OG0001225	TCONS_00019229.p1	CAEEL02873
OG0001226	TCONS_00006753.p1, TCONS_00001303.p1	CAEEL02848, CAEEL02849
OG0001231	TCONS_00009528.p1	CAEEL15401
OG0001233	TCONS_00043251.p1, TCONS_00043252.p1	CAEEL03755, CAEEL04189
OG0001234	TCONS_00007057.p1	CAEEL00806
OG0001236	TCONS_00050414.p1, TCONS_00050417.p1, TCONS_00050415.p1	CAEEL18476, CAEEL18477, CAEEL05637, CAEEL05588
OG0001238	TCONS_00027408.p1, TCONS_00019050.p1	CAEEL05166, CAEEL11182
OG0001239	TCONS_00048949.p1	CAEEL12011
OG0001241	TCONS_00044745.p1	CAEEL01749
OG0001241	TCONS_00021229.p1	CAEEL19375
OG0001243	TCONS_00032341.p1	CAEEL01806
OG0001244	TCONS_00022232.p1	CAEEL12407
OG0001247	TCONS_00047964.p1	CAEEL10570
OG0001248	TCONS_00020768.p1	CAEEL08830
OG0001249	TCONS_00053927.p1	CAEEL06406
OG0001250	TCONS_00014350.p1	CAEEL18712
OG0001251	TCONS_00019290.p1	CAEEL10205
OG0001251	TCONS_00007951.p1	CAEEL01802
OG0001252	TCONS_00052754.p1	CAEEL05030
OG0001253	TCONS_00048644.p1	CAEEL10888, CAEEL10887
OG0001254	TCONS_00019693.p1, TCONS_00019695.p1	CAEEL00935
OG0001256	TCONS_00001550.p1	CAEEL01426, CAEEL01244, CAEEL01245, CAEEL09738, CAEEL10917, CAEEL07997
OG0001261	TCONS_00043665.p1	CAEEL07850
OG0001262	TCONS_00014954.p1, TCONS_00014955.p1, TCONS_00048625.p1	CAEEL15249, CAEEL20627
OG0001266	TCONS_00027074.p1	CAEEL20839, CAEEL20838
OG0001266	TCONS_00045360.p1	CAEEL07143
OG0001267	TCONS_00005641.p1	CAEEL14111
OG0001268	TCONS_00029161.p1, TCONS_00047925.p1, TCONS_00047938.p1	CAEEL11342
OG0001270	TCONS_00014047.p1, TCONS_00047799.p1, TCONS_00012405.p1	CAEEL01959
OG0001271	TCONS_00055883.p1	CAEEL08717, CAEEL00634
OG0001272	TCONS_00006736.p1	CAEEL07720, CAEEL09293
OG0001274	TCONS_00016722.p1	CAEEL20835, CAEEL00917, CAEEL15316, CAEEL07981
OG0001278	TCONS_00017721.p1	CAEEL20013
OG0001279	TCONS_00010827.p1, TCONS_00009545.p1	CAEEL15321, CAEEL15322, CAEEL20353
OG0001280	TCONS_00028312.p1	CAEEL00726
OG0001281	TCONS_00010045.p1	CAEEL05459
OG0001282	TCONS_00036586.p1	CAEEL04296
OG0001284	TCONS_00055451.p1	CAEEL08223
OG0001284	TCONS_00029573.p1	CAEEL01272
OG0001285	TCONS_00026447.p1	CAEEL06501
OG0001286	TCONS_00025745.p1, TCONS_00025785.p1	CAEEL20246
OG0001287	TCONS_00043263.p1	CAEEL16475
OG0001288	TCONS_00021084.p1, TCONS_00029023.p1, TCONS_00029024.p1, TCONS_00029022.p1, TCONS_00036487.p1, TCONS_00029019.p1	CAEEL18355
OG0001289	TCONS_00018843.p1, TCONS_00016858.p1	CAEEL10515
OG0001290	TCONS_00028859.p1	CAEEL12279
OG0001291	TCONS_00031080.p1	CAEEL11483
OG0001292	TCONS_00057250.p1	CAEEL07942
OG0001293	TCONS_00005640.p1	CAEEL07048
OG0001294	TCONS_00009763.p1	CAEEL15893
OG0001296	TCONS_00011408.p1	CAEEL00003, CAEEL14758
OG0001297	TCONS_00024369.p1	CAEEL07748, CAEEL07749
OG0001300	TCONS_00057082.p1	CAEEL09562
OG0001302	TCONS_00052574.p1	CAEEL01736
OG0001302	TCONS_00000712.p1	CAEEL12633
OG0001304	TCONS_00007180.p1	CAEEL00728
OG0001305	TCONS_00015931.p1	CAEEL19700
OG0001306	TCONS_00053965.p1	CAEEL05042
OG0001306	TCONS_00052908.p1, TCONS_00044319.p1, TCONS_00015100.p1	CAEEL06741
OG0001310	TCONS_00010057.p1	CAEEL16286
OG0001315	TCONS_00014454.p1	CAEEL20540
OG0001318	TCONS_00037597.p1	CAEEL06153
OG0001318	TCONS_00000323.p1	CAEEL02686
OG0001319	TCONS_00021346.p1	CAEEL15967
OG0001320	TCONS_00008070.p1	CAEEL02958
OG0001320	TCONS_00011107.p1	CAEEL05842, CAEEL10256, CAEEL08614, CAEEL15241, CAEEL08907
OG0001323	TCONS_00010043.p1	CAEEL15888
OG0001325	TCONS_00030056.p1	CAEEL12980
OG0001326	TCONS_00026256.p1	CAEEL18463, CAEEL12672, CAEEL19447
OG0001327	TCONS_00049776.p1	CAEEL12070
OG0001329	TCONS_00048277.p1	CAEEL03625, CAEEL07934
OG0001330	TCONS_00005458.p1	CAEEL07772
OG0001333	TCONS_00025266.p1, TCONS_00025267.p1	CAEEL08384, CAEEL10397, CAEEL14152, CAEEL14148, CAEEL14153
OG0001337	TCONS_00053433.p1	CAEEL08858
OG0001339	TCONS_00026171.p1, TCONS_00026170.p1	CAEEL01555
OG0001341	TCONS_00048366.p1	CAEEL12273
OG0001344	TCONS_00018890.p1, TCONS_00018888.p1	CAEEL12166
OG0001348	TCONS_00022180.p1	CAEEL20290
OG0001350	TCONS_00053150.p1	CAEEL06068
OG0001353	TCONS_00045371.p1	CAEEL07231
OG0001354	TCONS_00034241.p1, TCONS_00034036.p1, TCONS_00034003.p1, TCONS_00034245.p1	CAEEL18385
OG0001355	TCONS_00026467.p1	CAEEL19633
OG0001356	TCONS_00048301.p1	CAEEL10619
OG0001357	TCONS_00010548.p1	CAEEL15128
OG0001361	TCONS_00036324.p1	CAEEL05269, CAEEL05268
OG0001363	TCONS_00016669.p1, TCONS_00026420.p1	CAEEL12526, CAEEL18947, CAEEL08666, CAEEL12684, CAEEL11272
OG0001364	TCONS_00051517.p1	CAEEL16269
OG0001366	TCONS_00055567.p1, TCONS_00055569.p1, TCONS_00055570.p1	CAEEL07140
OG0001367	TCONS_00016768.p1	CAEEL16176
OG0001368	TCONS_00011577.p1	CAEEL15247
OG0001369	TCONS_00048332.p1	CAEEL05836
OG0001370	TCONS_00019682.p1, TCONS_00019683.p1	CAEEL19838
OG0001370	TCONS_00057094.p1, TCONS_00057111.p1	CAEEL11201
OG0001372	TCONS_00008773.p1, TCONS_00008777.p1, TCONS_00008776.p1, TCONS_00054675.p1, TCONS_00054608.p1	CAEEL04824, CAEEL16917
OG0001372	TCONS_00009173.p1	CAEEL01785
OG0001373	TCONS_00014401.p1	CAEEL18831
OG0001374	TCONS_00031942.p1, TCONS_00031918.p1, TCONS_00031943.p1	CAEEL02048
OG0001375	TCONS_00044703.p1	CAEEL01718
OG0001376	TCONS_00018825.p1	CAEEL18806
OG0001378	TCONS_00027073.p1	CAEEL01898
OG0001379	TCONS_00021662.p1	CAEEL20800, CAEEL08440
OG0001380	TCONS_00043303.p1	CAEEL07027
OG0001381	TCONS_00029211.p1	CAEEL01510
OG0001383	TCONS_00015024.p1	CAEEL18479
OG0001387	TCONS_00027369.p1	CAEEL01449, CAEEL05040, CAEEL06498
OG0001389	TCONS_00043368.p1	CAEEL06582
OG0001395	TCONS_00001269.p1	CAEEL01604
OG0001397	TCONS_00027541.p1	CAEEL05815, CAEEL05422, CAEEL16780, CAEEL05924, CAEEL19916
OG0001397	TCONS_00027564.p1	CAEEL19290
OG0001398	TCONS_00043223.p1, TCONS_00018371.p1, TCONS_00017171.p1, TCONS_00018359.p1, TCONS_00018370.p1, TCONS_00018366.p1, TCONS_00018361.p1, TCONS_00018360.p1	CAEEL14339
OG0001399	TCONS_00022398.p1, TCONS_00007181.p1	CAEEL00972
OG0001402	TCONS_00005726.p1	CAEEL04844, CAEEL04850
OG0001404	TCONS_00012911.p1, TCONS_00046385.p1	CAEEL15778
OG0001405	TCONS_00007646.p1	CAEEL00987
OG0001405	TCONS_00039483.p1	CAEEL02297
OG0001408	TCONS_00016566.p1	CAEEL19513
OG0001409	TCONS_00038493.p1, TCONS_00038524.p1, TCONS_00038499.p1	CAEEL02567
OG0001410	TCONS_00042951.p1	CAEEL16277
OG0001411	TCONS_00041687.p1	CAEEL07405
OG0001412	TCONS_00012791.p1, TCONS_00041429.p1	CAEEL09044
OG0001413	TCONS_00044664.p1	CAEEL08368
OG0001413	TCONS_00029113.p1	CAEEL04716
OG0001414	TCONS_00026027.p1	CAEEL13823
OG0001416	TCONS_00050157.p1	CAEEL04141, CAEEL04142
OG0001418	TCONS_00053261.p1	CAEEL11722
OG0001421	TCONS_00010948.p1	CAEEL14241
OG0001422	TCONS_00020040.p1	CAEEL06778
OG0001423	TCONS_00016102.p1	CAEEL18493
OG0001424	TCONS_00019781.p1	CAEEL12121
OG0001424	TCONS_00018473.p1	CAEEL10850
OG0001425	TCONS_00055828.p1	CAEEL12269, CAEEL12270, CAEEL12268, CAEEL12271
OG0001426	TCONS_00051215.p1	CAEEL06005, CAEEL06004
OG0001428	TCONS_00052139.p1	CAEEL05279
OG0001430	TCONS_00004460.p1	CAEEL14236
OG0001431	TCONS_00020789.p1, TCONS_00020777.p1	CAEEL01932, CAEEL07478
OG0001432	TCONS_00056960.p1	CAEEL18746
OG0001433	TCONS_00046923.p1, TCONS_00045556.p1, TCONS_00045707.p1, TCONS_00046712.p1, TCONS_00004821.p1, TCONS_00004842.p1	CAEEL01226
OG0001436	TCONS_00004082.p1	CAEEL01644, CAEEL01645
OG0001437	TCONS_00007207.p1, TCONS_00008548.p1	CAEEL01346, CAEEL01345
OG0001439	TCONS_00035542.p1	CAEEL14010
OG0001439	TCONS_00035525.p1, TCONS_00035546.p1, TCONS_00035694.p1, TCONS_00035705.p1, TCONS_00035526.p1, TCONS_00035713.p1, TCONS_00035711.p1, TCONS_00035541.p1, TCONS_00035707.p1, TCONS_00035706.p1, TCONS_00035544.p1, TCONS_00035543.p1, TCONS_00035697.p1, TCONS_00035704.p1, TCONS_00035710.p1, TCONS_00035698.p1	CAEEL19443
OG0001440	TCONS_00003932.p1	CAEEL02919
OG0001442	TCONS_00002015.p1	CAEEL02131, CAEEL02130, CAEEL02129
OG0001445	TCONS_00056905.p1	CAEEL10043, CAEEL10044
OG0001446	TCONS_00004673.p1, TCONS_00004625.p1, TCONS_00004626.p1	CAEEL19040, CAEEL19039
OG0001449	TCONS_00046612.p1	CAEEL05216
OG0001450	TCONS_00048453.p1	CAEEL12602
OG0001452	TCONS_00027858.p1	CAEEL02837
OG0001455	TCONS_00052479.p1	CAEEL04493
OG0001458	TCONS_00043120.p1	CAEEL04619
OG0001459	TCONS_00023671.p1	CAEEL20135, CAEEL17975
OG0001461	TCONS_00047792.p1, TCONS_00047793.p1	CAEEL09368
OG0001462	TCONS_00011118.p1	CAEEL14714
OG0001462	TCONS_00011315.p1	CAEEL03309
OG0001464	TCONS_00003129.p1, TCONS_00004140.p1	CAEEL07180
OG0001465	TCONS_00050061.p1	CAEEL06490
OG0001466	TCONS_00045986.p1, TCONS_00031269.p1	CAEEL00165
OG0001468	TCONS_00002865.p1	CAEEL01968, CAEEL01966, CAEEL01967
OG0001469	TCONS_00027694.p1	CAEEL06147
OG0001469	TCONS_00000853.p1	CAEEL06502
OG0001472	TCONS_00056649.p1	CAEEL07491
OG0001472	TCONS_00007782.p1	CAEEL02663
OG0001473	TCONS_00012738.p1	CAEEL15728, CAEEL16017
OG0001474	TCONS_00013132.p1, TCONS_00013137.p1	CAEEL07328
OG0001475	TCONS_00051280.p1	CAEEL05298
OG0001476	TCONS_00002255.p1	CAEEL00667
OG0001478	TCONS_00012152.p1, TCONS_00013231.p1	CAEEL11433
OG0001479	TCONS_00014656.p1	CAEEL19245
OG0001480	TCONS_00003234.p1	CAEEL01047
OG0001482	TCONS_00006749.p1	CAEEL08859
OG0001484	TCONS_00048364.p1	CAEEL01076, CAEEL01075
OG0001485	TCONS_00028850.p1	CAEEL01187
OG0001486	TCONS_00037094.p1	CAEEL06199
OG0001489	TCONS_00054283.p1	CAEEL05101
OG0001490	TCONS_00012203.p1	CAEEL16486
OG0001492	TCONS_00005267.p1	CAEEL08792
OG0001493	TCONS_00030936.p1	CAEEL18338
OG0001500	TCONS_00022411.p1	CAEEL11009
OG0001503	TCONS_00028803.p1	CAEEL04111
OG0001503	TCONS_00013935.p1	CAEEL08520
OG0001504	TCONS_00007169.p1, TCONS_00007167.p1, TCONS_00007160.p1	CAEEL05392
OG0001505	TCONS_00050549.p1, TCONS_00012643.p1	CAEEL05185, CAEEL08607
OG0001506	TCONS_00050869.p1	CAEEL04371
OG0001508	TCONS_00023984.p1, TCONS_00023973.p1	CAEEL19670
OG0001510	TCONS_00026658.p1	CAEEL19165
OG0001512	TCONS_00031944.p1, TCONS_00031919.p1	CAEEL01283
OG0001513	TCONS_00019433.p1	CAEEL08114
OG0001514	TCONS_00026655.p1	CAEEL18917
OG0001515	TCONS_00005036.p1	CAEEL07598, CAEEL07033
OG0001516	TCONS_00053429.p1	CAEEL05831
OG0001517	TCONS_00047283.p1	CAEEL20700
OG0001522	TCONS_00003488.p1, TCONS_00035035.p1	CAEEL01881
OG0001523	TCONS_00024797.p1, TCONS_00024757.p1	CAEEL20306
OG0001524	TCONS_00007581.p1	CAEEL18987, CAEEL00715
OG0001525	TCONS_00006334.p1, TCONS_00006337.p1, TCONS_00006338.p1, TCONS_00052185.p1, TCONS_00006333.p1	CAEEL08599, CAEEL13978, CAEEL13977, CAEEL14698, CAEEL08600
OG0001526	TCONS_00016353.p1	CAEEL19873
OG0001527	TCONS_00005265.p1	CAEEL08026
OG0001527	TCONS_00007061.p1	CAEEL02029
OG0001528	TCONS_00050868.p1	CAEEL20795
OG0001529	TCONS_00056759.p1	CAEEL01822, CAEEL20748, CAEEL06896
OG0001530	TCONS_00029931.p1	CAEEL11993
OG0001532	TCONS_00050672.p1	CAEEL04337, CAEEL04338, CAEEL04294, CAEEL05090
OG0001533	TCONS_00003831.p1, TCONS_00003830.p1	CAEEL01048, CAEEL19033, CAEEL11552
OG0001536	TCONS_00010287.p1	CAEEL11259, CAEEL20066, CAEEL20058
OG0001538	TCONS_00017233.p1, TCONS_00017234.p1	CAEEL15530
OG0001551	TCONS_00004441.p1, TCONS_00024900.p1	CAEEL13359
OG0001552	TCONS_00048136.p1, TCONS_00049099.p1, TCONS_00049100.p1	CAEEL09513
OG0001553	TCONS_00030374.p1	CAEEL10745
OG0001554	TCONS_00002186.p1	CAEEL00812
OG0001555	TCONS_00046606.p1, TCONS_00046605.p1, TCONS_00046600.p1, TCONS_00047498.p1, TCONS_00049020.p1, TCONS_00049045.p1, TCONS_00049029.p1, TCONS_00049027.p1, TCONS_00049046.p1, TCONS_00049025.p1, TCONS_00049043.p1, TCONS_00049044.p1, TCONS_00022162.p1, TCONS_00022237.p1, TCONS_00046603.p1, TCONS_00046601.p1, TCONS_00046602.p1	CAEEL17420, CAEEL04181
OG0001557	TCONS_00023130.p1	CAEEL09005
OG0001557	TCONS_00048377.p1	CAEEL09508
OG0001558	TCONS_00014783.p1	CAEEL05103, CAEEL08374
OG0001559	TCONS_00011061.p1	CAEEL16062
OG0001560	TCONS_00033261.p1	CAEEL01011
OG0001561	TCONS_00049740.p1	CAEEL11007
OG0001562	TCONS_00051922.p1	CAEEL04167
OG0001567	TCONS_00005126.p1	CAEEL04524
OG0001568	TCONS_00014293.p1	CAEEL15339
OG0001570	TCONS_00054652.p1	CAEEL11034
OG0001571	TCONS_00034162.p1, TCONS_00038350.p1, TCONS_00038267.p1	CAEEL18118
OG0001572	TCONS_00001177.p1, TCONS_00001188.p1	CAEEL00311
OG0001575	TCONS_00049223.p1	CAEEL09642
OG0001576	TCONS_00028875.p1	CAEEL00120
OG0001578	TCONS_00027776.p1	CAEEL10814, CAEEL18928
OG0001580	TCONS_00008057.p1	CAEEL02579
OG0001581	TCONS_00056566.p1, TCONS_00055734.p1, TCONS_00003489.p1, TCONS_00003273.p1	CAEEL09430, CAEEL13347, CAEEL16915
OG0001582	TCONS_00004768.p1	CAEEL07031, CAEEL00211
OG0001583	TCONS_00027788.p1	CAEEL19802
OG0001589	TCONS_00013172.p1	CAEEL18417
OG0001590	TCONS_00000643.p1, TCONS_00029503.p1	CAEEL15262, CAEEL15263
OG0001593	TCONS_00031847.p1	CAEEL02963, CAEEL13946
OG0001594	TCONS_00030470.p1, TCONS_00030579.p1	CAEEL08545
OG0001597	TCONS_00057088.p1	CAEEL10283
OG0001599	TCONS_00014010.p1	CAEEL20479
OG0001602	TCONS_00025564.p1	CAEEL18101
OG0001604	TCONS_00011772.p1, TCONS_00005646.p1	CAEEL04879
OG0001605	TCONS_00009214.p1	CAEEL09382
OG0001606	TCONS_00032921.p1	CAEEL14239
OG0001606	TCONS_00026464.p1	CAEEL15795
OG0001608	TCONS_00000127.p1, TCONS_00001807.p1, TCONS_00057010.p1, TCONS_00008051.p1	CAEEL02190, CAEEL02191
OG0001609	TCONS_00022339.p1	CAEEL19774
OG0001609	TCONS_00048452.p1	CAEEL10790
OG0001610	TCONS_00017836.p1	CAEEL02035, CAEEL20252
OG0001611	TCONS_00010550.p1	CAEEL15699
OG0001612	TCONS_00000496.p1	CAEEL02577
OG0001614	TCONS_00029183.p1	CAEEL01012
OG0001615	TCONS_00036590.p1	CAEEL04670
OG0001620	TCONS_00015452.p1	CAEEL18514, CAEEL18862
OG0001621	TCONS_00041678.p1, TCONS_00041680.p1	CAEEL08615
OG0001625	TCONS_00053950.p1	CAEEL05727
OG0001627	TCONS_00027782.p1, TCONS_00026875.p1	CAEEL00684
OG0001628	TCONS_00009571.p2, TCONS_00009573.p1, TCONS_00010344.p1	CAEEL00193
OG0001629	TCONS_00015348.p1, TCONS_00015349.p1	CAEEL19941
OG0001630	TCONS_00050269.p1	CAEEL05563
OG0001632	TCONS_00048758.p1	CAEEL16035
OG0001635	TCONS_00043026.p1	CAEEL08024
OG0001638	TCONS_00005796.p1, TCONS_00005810.p1	CAEEL09133, CAEEL15796, CAEEL12088, CAEEL20172
OG0001640	TCONS_00049711.p1	CAEEL10788
OG0001642	TCONS_00010119.p1	CAEEL15818
OG0001643	TCONS_00034528.p1, TCONS_00034435.p1	CAEEL19599
OG0001651	TCONS_00031353.p1	CAEEL10611
OG0001652	TCONS_00011982.p1, TCONS_00010583.p1	CAEEL15806
OG0001653	TCONS_00054239.p1	CAEEL03026
OG0001654	TCONS_00018558.p1	CAEEL20359, CAEEL20360
OG0001655	TCONS_00043175.p1	CAEEL05314
OG0001656	TCONS_00003122.p1	CAEEL07456
OG0001657	TCONS_00006047.p1, TCONS_00006048.p1	CAEEL08928, CAEEL08927
OG0001661	TCONS_00004622.p1	CAEEL14147
OG0001663	TCONS_00048413.p1, TCONS_00048414.p1, TCONS_00048415.p1, TCONS_00048410.p1, TCONS_00048408.p1	CAEEL10899, CAEEL10898
OG0001665	TCONS_00014435.p1, TCONS_00013483.p1	CAEEL07716
OG0001666	TCONS_00019725.p1, TCONS_00019735.p1	CAEEL07781
OG0001668	TCONS_00000577.p1	CAEEL00277
OG0001671	TCONS_00048171.p1, TCONS_00049504.p1, TCONS_00049505.p1	CAEEL19781
OG0001672	TCONS_00033404.p1	CAEEL08375
OG0001673	TCONS_00010575.p1	CAEEL17134, CAEEL17133
OG0001675	TCONS_00045524.p1	CAEEL00808
OG0001676	TCONS_00020219.p1	CAEEL01617
OG0001677	TCONS_00004771.p1, TCONS_00022845.p1	CAEEL07860
