Orthogroup	PFLAV	MOUSE
OG0001318	TCONS_00000323.p1	MOUSE16122
OG0001319	TCONS_00021346.p1	MOUSE53963, MOUSE53962, MOUSE52368, MOUSE52374, MOUSE52373, MOUSE52367
OG0001320	TCONS_00008070.p1	MOUSE32119, MOUSE32120
OG0001320	TCONS_00011107.p1	MOUSE27454, MOUSE18695
OG0001321	TCONS_00020758.p1	MOUSE51700, MOUSE51701, MOUSE17510, MOUSE17509
OG0001322	TCONS_00024457.p1, TCONS_00025837.p1	MOUSE46962, MOUSE46958, MOUSE46961, MOUSE46963, MOUSE46960, MOUSE46959
OG0001322	TCONS_00052945.p1, TCONS_00010993.p1	MOUSE43313, MOUSE43312, MOUSE43314, MOUSE43315
OG0001324	TCONS_00003858.p1	MOUSE15476, MOUSE15481, MOUSE15478, MOUSE15479, MOUSE15477, MOUSE15484, MOUSE15483, MOUSE15480
OG0001325	TCONS_00030056.p1	MOUSE31656, MOUSE31655, MOUSE31660, MOUSE31661, MOUSE31658, MOUSE31659, MOUSE31662, MOUSE31663, MOUSE31664, MOUSE31666
OG0001326	TCONS_00026256.p1	MOUSE21119, MOUSE21120, MOUSE21838, MOUSE21837, MOUSE21836, MOUSE21270, MOUSE21269
OG0001327	TCONS_00017808.p1	MOUSE41523
OG0001327	TCONS_00049776.p1	MOUSE02265, MOUSE23421, MOUSE23422
OG0001329	TCONS_00048277.p1	MOUSE08547, MOUSE48234, MOUSE55350, MOUSE55349, MOUSE55351
OG0001330	TCONS_00005458.p1	MOUSE46366, MOUSE46367, MOUSE04618, MOUSE37523, MOUSE37526, MOUSE37525, MOUSE46368
OG0001331	TCONS_00026610.p1	MOUSE36112, MOUSE36111, MOUSE03117
OG0001332	TCONS_00027699.p1, TCONS_00027701.p1, TCONS_00053843.p1, TCONS_00053855.p1, TCONS_00052808.p1, TCONS_00052769.p1	MOUSE32701
OG0001333	TCONS_00025266.p1, TCONS_00025267.p1	MOUSE14060, MOUSE16928
OG0001335	TCONS_00018398.p1	MOUSE01403
OG0001337	TCONS_00027920.p1	MOUSE33642, MOUSE32282, MOUSE32281, MOUSE32283
OG0001337	TCONS_00053433.p1	MOUSE05084, MOUSE10508, MOUSE10512, MOUSE10511, MOUSE10509, MOUSE10510, MOUSE33641, MOUSE33640
OG0001339	TCONS_00026171.p1, TCONS_00026170.p1	MOUSE18089, MOUSE18088
OG0001341	TCONS_00048366.p1	MOUSE19790
OG0001344	TCONS_00018890.p1	MOUSE40567
OG0001344	TCONS_00018888.p1	MOUSE40566, MOUSE53469, MOUSE53472, MOUSE53478, MOUSE53471, MOUSE53809, MOUSE53818, MOUSE53815, MOUSE53476, MOUSE53816, MOUSE53803, MOUSE53811, MOUSE53470, MOUSE53813, MOUSE53812, MOUSE53482, MOUSE53829, MOUSE53824, MOUSE53820, MOUSE53822, MOUSE53823, MOUSE53821, MOUSE53473, MOUSE53826, MOUSE53475, MOUSE53479, MOUSE53805, MOUSE53806, MOUSE53477, MOUSE53480, MOUSE53474
OG0001345	TCONS_00047431.p1	MOUSE40648, MOUSE40646, MOUSE40645, MOUSE40650
OG0001348	TCONS_00022180.p1	MOUSE47536, MOUSE47535, MOUSE47539, MOUSE47537, MOUSE47534, MOUSE54111, MOUSE54110, MOUSE54109, MOUSE54108
OG0001350	TCONS_00053150.p1	MOUSE33383, MOUSE33385
OG0001351	TCONS_00021610.p1	MOUSE53703, MOUSE53704, MOUSE53705, MOUSE53702, MOUSE53710, MOUSE53709
OG0001352	TCONS_00012681.p1, TCONS_00012678.p1, TCONS_00012887.p1	MOUSE32130
OG0001353	TCONS_00010417.p1	MOUSE28164
OG0001353	TCONS_00045371.p1	MOUSE28376, MOUSE28374, MOUSE28375
OG0001354	TCONS_00034241.p1, TCONS_00034036.p1, TCONS_00034003.p1, TCONS_00034245.p1	MOUSE30958, MOUSE24350
OG0001354	TCONS_00053631.p1	MOUSE48871, MOUSE33520, MOUSE33519, MOUSE32659
OG0001355	TCONS_00026467.p1	MOUSE09535, MOUSE09533, MOUSE09534, MOUSE09531, MOUSE09532, MOUSE09530, MOUSE35930, MOUSE21465
OG0001356	TCONS_00048301.p1	MOUSE40775, MOUSE40776, MOUSE14515, MOUSE53513, MOUSE53514
OG0001357	TCONS_00010548.p1	MOUSE18665, MOUSE20275, MOUSE27396, MOUSE27395, MOUSE27398, MOUSE27400, MOUSE27397, MOUSE27399, MOUSE43353, MOUSE43351, MOUSE43352, MOUSE43349, MOUSE43350, MOUSE43348, MOUSE43354, MOUSE43355, MOUSE43347, MOUSE43357, MOUSE43356
OG0001358	TCONS_00001805.p1	MOUSE00109
OG0001358	TCONS_00001804.p1	MOUSE16147, MOUSE53991, MOUSE00108, MOUSE00106
OG0001359	TCONS_00028861.p1	MOUSE18395, MOUSE18397, MOUSE18396, MOUSE27667, MOUSE27665, MOUSE27666, MOUSE27669, MOUSE27664, MOUSE27663, MOUSE27668, MOUSE27670, MOUSE32532, MOUSE30417
OG0001360	TCONS_00031072.p1, TCONS_00030296.p1	MOUSE31601, MOUSE31605, MOUSE31603
OG0001361	TCONS_00036862.p1	MOUSE27263, MOUSE27261, MOUSE14327, MOUSE14328, MOUSE14329, MOUSE27262, MOUSE14326, MOUSE14330, MOUSE14331, MOUSE14333, MOUSE14332, MOUSE14325
OG0001361	TCONS_00036324.p1	MOUSE14324
OG0001362	TCONS_00013164.p1	MOUSE06305, MOUSE06304, MOUSE06303
OG0001363	TCONS_00016669.p1	MOUSE23857, MOUSE23858, MOUSE23859
OG0001364	TCONS_00051517.p1	MOUSE38339, MOUSE38340, MOUSE22895, MOUSE22898, MOUSE22903, MOUSE22894, MOUSE22892, MOUSE22893, MOUSE22896
OG0001365	TCONS_00042304.p1, TCONS_00042253.p1	MOUSE55380, MOUSE31576, MOUSE31575, MOUSE31578, MOUSE31577, MOUSE31579, MOUSE31580
OG0001366	TCONS_00055569.p1	MOUSE08702, MOUSE08703, MOUSE22123
OG0001367	TCONS_00016768.p1	MOUSE28593, MOUSE28595, MOUSE28594, MOUSE18613, MOUSE18611, MOUSE06729, MOUSE06730
OG0001368	TCONS_00011577.p1	MOUSE28166, MOUSE07621, MOUSE07620
OG0001369	TCONS_00048332.p1	MOUSE52653, MOUSE52654, MOUSE52652, MOUSE52655, MOUSE23428, MOUSE23430, MOUSE23429, MOUSE23431, MOUSE02306
OG0001370	TCONS_00019682.p1, TCONS_00019683.p1	MOUSE44772
OG0001370	TCONS_00057094.p1, TCONS_00057111.p1	MOUSE22367
OG0001371	TCONS_00012767.p1, TCONS_00012769.p1, TCONS_00012770.p1	MOUSE06358
OG0001372	TCONS_00054675.p1, TCONS_00054608.p1	MOUSE31956
OG0001373	TCONS_00014401.p1	MOUSE46190, MOUSE46185, MOUSE46187, MOUSE46188, MOUSE46186, MOUSE03915, MOUSE03913, MOUSE03914, MOUSE03916, MOUSE46189, MOUSE14054, MOUSE14057, MOUSE14055, MOUSE14058
OG0001374	TCONS_00031942.p1, TCONS_00031918.p1, TCONS_00031943.p1	MOUSE01132, MOUSE51913, MOUSE51917, MOUSE51918, MOUSE51915, MOUSE51919, MOUSE51916, MOUSE51914, MOUSE51923, MOUSE51912, MOUSE30663, MOUSE30662, MOUSE30664, MOUSE30665, MOUSE01133, MOUSE54003, MOUSE54005, MOUSE54004, MOUSE51921, MOUSE51922, MOUSE51920
OG0001375	TCONS_00044703.p1	MOUSE00315, MOUSE34217
OG0001376	TCONS_00018825.p1	MOUSE50547, MOUSE50549, MOUSE50548, MOUSE50550, MOUSE43474, MOUSE16176, MOUSE16175, MOUSE16179, MOUSE16177, MOUSE16180, MOUSE16178
OG0001377	TCONS_00027252.p1	MOUSE27906, MOUSE21433
OG0001378	TCONS_00027073.p1	MOUSE12733, MOUSE46829, MOUSE12734, MOUSE46833, MOUSE36025, MOUSE19414, MOUSE19415, MOUSE46831
OG0001379	TCONS_00021662.p1	MOUSE52413
OG0001380	TCONS_00043303.p1	MOUSE19249, MOUSE45642, MOUSE45644, MOUSE45647, MOUSE45650, MOUSE45651, MOUSE45649, MOUSE45648, MOUSE45641, MOUSE45646, MOUSE45645, MOUSE45638, MOUSE45643, MOUSE45637, MOUSE45640, MOUSE45639, MOUSE45636, MOUSE36336, MOUSE36340, MOUSE36339, MOUSE36337, MOUSE36335, MOUSE36338
OG0001381	TCONS_00029211.p1	MOUSE01621, MOUSE01624, MOUSE44555, MOUSE44558, MOUSE20741, MOUSE44559
OG0001382	TCONS_00024485.p1	MOUSE44030, MOUSE44026, MOUSE44027, MOUSE44028, MOUSE44025, MOUSE44029, MOUSE44035, MOUSE44036
OG0001383	TCONS_00015024.p1	MOUSE24448
OG0001384	TCONS_00021606.p1	MOUSE12866, MOUSE12857, MOUSE12854, MOUSE12859, MOUSE12543
OG0001386	TCONS_00003437.p1	MOUSE05401, MOUSE10954, MOUSE10953, MOUSE10955
OG0001387	TCONS_00027369.p1	MOUSE22077, MOUSE22076, MOUSE22079, MOUSE22080, MOUSE22081, MOUSE02474, MOUSE22078, MOUSE02479
OG0001388	TCONS_00028259.p1	MOUSE54505, MOUSE55435, MOUSE55417, MOUSE54796, MOUSE54797, MOUSE54795
OG0001389	TCONS_00043368.p1	MOUSE54990, MOUSE54991, MOUSE39134, MOUSE39133, MOUSE39132, MOUSE21954, MOUSE21955, MOUSE48763, MOUSE03363, MOUSE03362
OG0001395	TCONS_00001269.p1	MOUSE34258, MOUSE34257, MOUSE34259, MOUSE34260, MOUSE34261, MOUSE34262, MOUSE16562, MOUSE55244, MOUSE54770, MOUSE54769, MOUSE54771, MOUSE54768, MOUSE54772, MOUSE55238, MOUSE55240
OG0001397	TCONS_00027541.p1	MOUSE09428, MOUSE21175, MOUSE21174, MOUSE21173
OG0001397	TCONS_00027564.p1	MOUSE21261
OG0001398	TCONS_00043223.p1, TCONS_00018371.p1, TCONS_00017171.p1, TCONS_00018359.p1, TCONS_00018370.p1, TCONS_00018366.p1, TCONS_00018361.p1, TCONS_00018360.p1	MOUSE54251, MOUSE52911, MOUSE52912
OG0001399	TCONS_00022398.p1	MOUSE12867
OG0001399	TCONS_00007181.p1	MOUSE28523, MOUSE49010, MOUSE49011, MOUSE49012
OG0001400	TCONS_00003167.p1	MOUSE05263, MOUSE05262, MOUSE26520, MOUSE26518, MOUSE26517, MOUSE26519, MOUSE39778, MOUSE39779, MOUSE39777, MOUSE39773, MOUSE39774, MOUSE39776, MOUSE39775
OG0001401	TCONS_00022749.p1	MOUSE53733
OG0001402	TCONS_00005726.p1	MOUSE02784, MOUSE02782, MOUSE02785, MOUSE02786, MOUSE02783, MOUSE46565, MOUSE46566, MOUSE46564, MOUSE46562, MOUSE46563, MOUSE04864, MOUSE04865
OG0001403	TCONS_00002237.p1	MOUSE04710, MOUSE04711, MOUSE35469, MOUSE35470, MOUSE37540, MOUSE37539, MOUSE37541
OG0001404	TCONS_00050590.p1	MOUSE34766, MOUSE34765, MOUSE34767
OG0001405	TCONS_00007646.p1	MOUSE49710, MOUSE53396
OG0001406	TCONS_00022836.p1	MOUSE29567, MOUSE29564, MOUSE29562, MOUSE29566, MOUSE29561, MOUSE29565, MOUSE04058, MOUSE54156, MOUSE54159, MOUSE54160, MOUSE54155, MOUSE54157, MOUSE54158
OG0001407	TCONS_00006314.p1	MOUSE37601
OG0001408	TCONS_00016566.p1	MOUSE25484, MOUSE25485, MOUSE18503, MOUSE18504, MOUSE18502, MOUSE31265, MOUSE31266
OG0001409	TCONS_00038524.p1, TCONS_00038499.p1	MOUSE43073, MOUSE43072, MOUSE15819, MOUSE15820
OG0001410	TCONS_00042951.p1	MOUSE22570, MOUSE22569, MOUSE22568, MOUSE38530, MOUSE38529
OG0001410	TCONS_00008083.p1	MOUSE29320, MOUSE29323, MOUSE29321
OG0001411	TCONS_00041687.p1	MOUSE36550, MOUSE36551
OG0001412	TCONS_00027477.p1	MOUSE37382, MOUSE37381, MOUSE37384, MOUSE37385, MOUSE37383
OG0001413	TCONS_00044664.p1	MOUSE37829, MOUSE37830
OG0001413	TCONS_00029113.p1	MOUSE44789, MOUSE44788, MOUSE44787
OG0001414	TCONS_00026027.p1	MOUSE02910
OG0001415	TCONS_00006895.p1	MOUSE15314, MOUSE15315
OG0001416	TCONS_00050156.p1, TCONS_00050314.p1	MOUSE34919, MOUSE34918, MOUSE34917, MOUSE34915, MOUSE34916, MOUSE04273, MOUSE04275, MOUSE04277, MOUSE04272, MOUSE04274, MOUSE04276
OG0001416	TCONS_00050157.p1	MOUSE34920
OG0001417	TCONS_00008242.p1	MOUSE19933
OG0001418	TCONS_00053261.p1	MOUSE48894, MOUSE33585, MOUSE33584, MOUSE33582, MOUSE33583, MOUSE48895, MOUSE48523, MOUSE48522, MOUSE10457, MOUSE10451, MOUSE10456, MOUSE10455, MOUSE10454, MOUSE10453, MOUSE10452
OG0001419	TCONS_00009513.p1	MOUSE24456, MOUSE24455, MOUSE27366, MOUSE27363, MOUSE27364, MOUSE27365
OG0001420	TCONS_00009691.p1	MOUSE07329, MOUSE53623, MOUSE53625, MOUSE53624, MOUSE52687, MOUSE14541, MOUSE14539, MOUSE14538
OG0001421	TCONS_00010948.p1	MOUSE24555, MOUSE20249, MOUSE08160, MOUSE08159, MOUSE24554, MOUSE24560, MOUSE24559, MOUSE24561, MOUSE24562, MOUSE24558, MOUSE24556, MOUSE24557, MOUSE24553
OG0001422	TCONS_00020040.p1	MOUSE26467, MOUSE26461, MOUSE26459, MOUSE39837, MOUSE26464, MOUSE26465, MOUSE39840, MOUSE39842, MOUSE39841, MOUSE39847, MOUSE39848, MOUSE39844, MOUSE39845, MOUSE39846, MOUSE39843, MOUSE26462, MOUSE26460
OG0001423	TCONS_00016102.p1	MOUSE17540, MOUSE17539, MOUSE25516, MOUSE25512, MOUSE25514, MOUSE25513, MOUSE23811, MOUSE23810, MOUSE23812, MOUSE50436
OG0001424	TCONS_00019781.p1	MOUSE20236
OG0001425	TCONS_00055828.p1	MOUSE16522, MOUSE51391, MOUSE10602
OG0001426	TCONS_00051215.p1	MOUSE15607, MOUSE35131, MOUSE35132, MOUSE04107, MOUSE04108
OG0001427	TCONS_00044888.p1	MOUSE28295, MOUSE35647, MOUSE19057, MOUSE19060, MOUSE19058, MOUSE19061, MOUSE19059, MOUSE35646, MOUSE35645
OG0001428	TCONS_00052139.p1	MOUSE34894, MOUSE34896, MOUSE34893, MOUSE19473, MOUSE04265, MOUSE41409, MOUSE41408, MOUSE04268
OG0001429	TCONS_00001354.p1	MOUSE00232, MOUSE00230, MOUSE55263, MOUSE34228, MOUSE00228, MOUSE00229
OG0001430	TCONS_00052718.p1	MOUSE06605
OG0001430	TCONS_00004460.p1	MOUSE18637, MOUSE20248, MOUSE27511, MOUSE42620
OG0001431	TCONS_00020789.p1, TCONS_00020777.p1	MOUSE08755, MOUSE08756, MOUSE08757, MOUSE08758, MOUSE05352, MOUSE08759
OG0001432	TCONS_00056960.p1	MOUSE35693
OG0001433	TCONS_00046923.p1, TCONS_00045556.p1, TCONS_00045707.p1, TCONS_00046712.p1, TCONS_00004821.p1, TCONS_00004842.p1	MOUSE34100, MOUSE13715, MOUSE21744, MOUSE21743, MOUSE21745, MOUSE21742
OG0001434	TCONS_00054778.p1, TCONS_00012407.p1	MOUSE32189, MOUSE32188
OG0001435	TCONS_00051317.p1, TCONS_00051315.p1, TCONS_00051316.p1, TCONS_00051319.p1, TCONS_00051318.p1, TCONS_00051320.p1	MOUSE15610
OG0001436	TCONS_00004082.p1	MOUSE32582, MOUSE32580, MOUSE32577, MOUSE32578
OG0001437	TCONS_00007207.p1	MOUSE29315, MOUSE29316, MOUSE29317, MOUSE29314
OG0001438	TCONS_00021322.p1, TCONS_00051278.p1	MOUSE29513
OG0001438	TCONS_00056931.p1	MOUSE29514
OG0001439	TCONS_00035542.p1	MOUSE51119, MOUSE51120, MOUSE51121, MOUSE15892, MOUSE15889, MOUSE15891, MOUSE15890
OG0001440	TCONS_00003932.p1	MOUSE25141, MOUSE05281
OG0001441	TCONS_00046300.p1	MOUSE34316, MOUSE34318, MOUSE34317, MOUSE29186, MOUSE29288, MOUSE12721, MOUSE12723, MOUSE12722, MOUSE12719, MOUSE12724, MOUSE12720
OG0001445	TCONS_00056905.p1	MOUSE28043, MOUSE28044, MOUSE43177, MOUSE43176, MOUSE16757
OG0001446	TCONS_00004673.p1, TCONS_00004625.p1, TCONS_00004626.p1	MOUSE04639
OG0001447	TCONS_00010490.p1	MOUSE27483, MOUSE43183, MOUSE24581
OG0001449	TCONS_00046612.p1	MOUSE35682, MOUSE35683, MOUSE35684, MOUSE35685, MOUSE35681
OG0001449	TCONS_00002763.p1	MOUSE22414
OG0001450	TCONS_00048453.p1	MOUSE10014
OG0001450	TCONS_00044072.p1	MOUSE04593, MOUSE40750, MOUSE40752, MOUSE40751
OG0001451	TCONS_00004894.p1	MOUSE37379
OG0001451	TCONS_00037357.p1	MOUSE27131, MOUSE27130, MOUSE27132
OG0001452	TCONS_00027858.p1	MOUSE10305, MOUSE44844, MOUSE30200, MOUSE30198, MOUSE30199, MOUSE44846, MOUSE44847
OG0001453	TCONS_00056599.p1, TCONS_00056595.p1	MOUSE30224, MOUSE30225, MOUSE51626, MOUSE51625
OG0001454	TCONS_00043944.p1	MOUSE03612, MOUSE03611, MOUSE29689, MOUSE29692, MOUSE29690
OG0001455	TCONS_00052479.p1	MOUSE10543
OG0001456	TCONS_00005200.p1	MOUSE52266, MOUSE52265
OG0001457	TCONS_00045851.p1	MOUSE21714, MOUSE13575, MOUSE21717, MOUSE21716, MOUSE13717, MOUSE21715
OG0001458	TCONS_00044257.p1, TCONS_00043120.p1	MOUSE48244, MOUSE54958, MOUSE54957, MOUSE55371, MOUSE55365, MOUSE55370, MOUSE55364, MOUSE55368, MOUSE55369
OG0001459	TCONS_00023671.p1	MOUSE41970, MOUSE44251, MOUSE44247, MOUSE44248, MOUSE44249, MOUSE41971, MOUSE41967, MOUSE41968, MOUSE41969
OG0001460	TCONS_00030596.p1	MOUSE11426, MOUSE11423, MOUSE11422, MOUSE11424
OG0001461	TCONS_00047793.p1	MOUSE39120
OG0001462	TCONS_00011315.p1	MOUSE24583, MOUSE24582, MOUSE24584
OG0001463	TCONS_00011081.p1, TCONS_00018328.p1, TCONS_00008120.p1, TCONS_00008119.p1, TCONS_00008118.p1	MOUSE49422, MOUSE49423, MOUSE49421, MOUSE49420, MOUSE49419, MOUSE49839, MOUSE49840, MOUSE49838
OG0001464	TCONS_00003129.p1, TCONS_00004140.p1	MOUSE26209, MOUSE26208, MOUSE26207, MOUSE32593, MOUSE32592, MOUSE14773
OG0001466	TCONS_00045986.p1	MOUSE52956, MOUSE52958, MOUSE52960, MOUSE52959, MOUSE52957
OG0001466	TCONS_00031269.p1	MOUSE19162
OG0001467	TCONS_00015363.p1	MOUSE25310
OG0001467	TCONS_00044104.p1	MOUSE45067, MOUSE45066
OG0001468	TCONS_00002865.p1	MOUSE22505, MOUSE53195, MOUSE53196, MOUSE02343
OG0001469	TCONS_00027694.p1	MOUSE27763
OG0001469	TCONS_00000853.p1	MOUSE00629
OG0001470	TCONS_00005096.p1	MOUSE04730, MOUSE04729, MOUSE04728, MOUSE04727
OG0001472	TCONS_00056649.p1	MOUSE35226, MOUSE35228, MOUSE35227
OG0001472	TCONS_00007782.p1	MOUSE29107, MOUSE29108
OG0001473	TCONS_00006544.p1, TCONS_00012738.p1	MOUSE14033, MOUSE14034
OG0001474	TCONS_00013132.p1, TCONS_00013137.p1	MOUSE46193, MOUSE46194
OG0001475	TCONS_00051280.p1	MOUSE34814, MOUSE34815, MOUSE34816, MOUSE34818, MOUSE34820, MOUSE34823
OG0001476	TCONS_00002255.p1	MOUSE16510, MOUSE16508, MOUSE16509, MOUSE16255, MOUSE16258, MOUSE16256
OG0001477	TCONS_00013652.p1	MOUSE46048, MOUSE46046, MOUSE46044, MOUSE46045, MOUSE46060, MOUSE46058, MOUSE46059, MOUSE46050, MOUSE46053, MOUSE46055, MOUSE46054, MOUSE46049, MOUSE46052, MOUSE46051, MOUSE46057, MOUSE46047, MOUSE46062, MOUSE46063
OG0001478	TCONS_00012152.p1	MOUSE27453, MOUSE27451, MOUSE27450, MOUSE27452
OG0001478	TCONS_00013231.p1	MOUSE14118
OG0001479	TCONS_00014656.p1	MOUSE31243, MOUSE31244, MOUSE47409, MOUSE47405, MOUSE25855, MOUSE25856
OG0001480	TCONS_00003234.p1	MOUSE22219, MOUSE22220, MOUSE53290, MOUSE53289, MOUSE53288, MOUSE53296, MOUSE53297, MOUSE53293, MOUSE53291, MOUSE53295
OG0001481	TCONS_00012090.p1	MOUSE00031
OG0001481	TCONS_00012087.p1	MOUSE00030, MOUSE00028, MOUSE00029, MOUSE07371, MOUSE07370, MOUSE07373, MOUSE07368, MOUSE07369, MOUSE07364, MOUSE07363
OG0001482	TCONS_00006749.p1	MOUSE46256, MOUSE37740, MOUSE37739, MOUSE04374, MOUSE04372, MOUSE04376, MOUSE04375, MOUSE04373
OG0001483	TCONS_00021245.p1	MOUSE05652, MOUSE05654
OG0001484	TCONS_00048364.p1	MOUSE53748, MOUSE53749, MOUSE53750, MOUSE52709, MOUSE52710, MOUSE52703, MOUSE52708, MOUSE52704, MOUSE52702, MOUSE52705
OG0001485	TCONS_00028850.p1	MOUSE44648, MOUSE10100, MOUSE10098, MOUSE10097, MOUSE10099
OG0001486	TCONS_00037094.p1	MOUSE18259, MOUSE18260, MOUSE18262, MOUSE18256, MOUSE18261, MOUSE18257, MOUSE18263, MOUSE18264, MOUSE41536, MOUSE41537, MOUSE41535, MOUSE47343
OG0001487	TCONS_00007593.p1	MOUSE49867, MOUSE49866, MOUSE19692, MOUSE19693, MOUSE19694, MOUSE19691
OG0001489	TCONS_00054283.p1	MOUSE33270, MOUSE33272, MOUSE33273, MOUSE33269, MOUSE33271, MOUSE33268, MOUSE13178, MOUSE13179, MOUSE13173, MOUSE13177, MOUSE13176, MOUSE13171, MOUSE13174, MOUSE13180, MOUSE13175
OG0001490	TCONS_00012203.p1	MOUSE20108, MOUSE28079, MOUSE28081, MOUSE20112, MOUSE20106, MOUSE07918, MOUSE07919, MOUSE07917, MOUSE07920
OG0001492	TCONS_00005267.p1	MOUSE46376, MOUSE04701, MOUSE37398, MOUSE37399, MOUSE37397
OG0001493	TCONS_00031167.p1	MOUSE11096, MOUSE11098
OG0001495	TCONS_00048693.p1	MOUSE54495, MOUSE54479, MOUSE54485, MOUSE54461, MOUSE54123, MOUSE54206, MOUSE54142, MOUSE44521, MOUSE20162, MOUSE44563, MOUSE54696, MOUSE55120, MOUSE55122, MOUSE55123, MOUSE55126, MOUSE55121, MOUSE55124, MOUSE54519, MOUSE44520
OG0001496	TCONS_00039896.p1, TCONS_00040861.p1, TCONS_00039895.p1, TCONS_00039892.p1, TCONS_00039891.p1, TCONS_00034325.p1, TCONS_00034360.p1, TCONS_00040896.p1, TCONS_00040486.p1, TCONS_00039496.p1	MOUSE40491, MOUSE40492, MOUSE40490
OG0001498	TCONS_00026534.p1, TCONS_00026541.p1, TCONS_00027623.p1, TCONS_00027625.p1, TCONS_00027619.p1, TCONS_00026524.p1, TCONS_00040940.p1, TCONS_00040964.p1, TCONS_00040927.p1, TCONS_00040947.p1, TCONS_00040925.p1, TCONS_00039988.p1, TCONS_00040909.p1	MOUSE15743
OG0001500	TCONS_00022411.p1	MOUSE22932, MOUSE22931, MOUSE22929, MOUSE53492, MOUSE53491, MOUSE12949, MOUSE12952, MOUSE12951, MOUSE12950
OG0001501	TCONS_00010295.p1	MOUSE07106, MOUSE07104, MOUSE07103, MOUSE07108, MOUSE07102, MOUSE28103, MOUSE28101, MOUSE28100, MOUSE28102, MOUSE28104
OG0001502	TCONS_00013726.p1	MOUSE05923, MOUSE05925, MOUSE05924
OG0001503	TCONS_00028803.p1	MOUSE48444
OG0001503	TCONS_00013935.p1	MOUSE41776, MOUSE41774, MOUSE41777, MOUSE41772, MOUSE41773
OG0001504	TCONS_00007169.p1, TCONS_00007167.p1, TCONS_00007160.p1	MOUSE28382, MOUSE28383, MOUSE28380, MOUSE28381, MOUSE28379
OG0001505	TCONS_00050549.p1	MOUSE29456, MOUSE04126, MOUSE04125, MOUSE04124
OG0001506	TCONS_00050869.p1	MOUSE29500, MOUSE35074, MOUSE35075
OG0001507	TCONS_00010776.p1	MOUSE07522, MOUSE07519, MOUSE07520, MOUSE49949, MOUSE49948, MOUSE20173, MOUSE20174, MOUSE20171, MOUSE20170
OG0001508	TCONS_00023984.p1, TCONS_00023973.p1	MOUSE45983, MOUSE45981, MOUSE45982, MOUSE44231, MOUSE44230, MOUSE44229, MOUSE44234, MOUSE44233, MOUSE44232
OG0001509	TCONS_00004940.p1	MOUSE38245, MOUSE38247, MOUSE38246, MOUSE37586
OG0001509	TCONS_00022723.p1	MOUSE47629, MOUSE52289
OG0001510	TCONS_00026658.p1	MOUSE20754, MOUSE50417, MOUSE50418, MOUSE50419, MOUSE50416, MOUSE33181, MOUSE33174, MOUSE33173, MOUSE33176, MOUSE33177
OG0001511	TCONS_00021340.p1	MOUSE22746, MOUSE22740, MOUSE22739, MOUSE22744, MOUSE22742, MOUSE22745, MOUSE22741, MOUSE22743, MOUSE38379, MOUSE38378, MOUSE38380
OG0001515	TCONS_00005036.p1	MOUSE04853, MOUSE04849, MOUSE04850, MOUSE04851, MOUSE02775, MOUSE02777, MOUSE02776, MOUSE04848
OG0001516	TCONS_00053429.p1	MOUSE13217, MOUSE13218
OG0001517	TCONS_00047283.p1	MOUSE13154, MOUSE15948
OG0001519	TCONS_00042625.p1	MOUSE18415, MOUSE18423, MOUSE33014, MOUSE33013, MOUSE33015, MOUSE44757, MOUSE44756, MOUSE44755, MOUSE44753
OG0001520	TCONS_00017186.p1	MOUSE34134, MOUSE34139, MOUSE34135, MOUSE34137, MOUSE34136, MOUSE34138, MOUSE06660, MOUSE06662, MOUSE06661, MOUSE06668, MOUSE06664, MOUSE06666, MOUSE06667, MOUSE06665, MOUSE06669
OG0001521	TCONS_00028338.p1	MOUSE48454, MOUSE10242, MOUSE30348, MOUSE30350, MOUSE30349
OG0001522	TCONS_00003488.p1	MOUSE31620
OG0001522	TCONS_00035035.p1	MOUSE42847, MOUSE42848
OG0001523	TCONS_00024797.p1, TCONS_00024757.p1	MOUSE45739, MOUSE45741, MOUSE42024, MOUSE42028, MOUSE42026
OG0001524	TCONS_00026880.p1	MOUSE21121
OG0001524	TCONS_00007581.p1	MOUSE49229
OG0001525	TCONS_00006334.p1, TCONS_00006337.p1, TCONS_00006338.p1, TCONS_00052185.p1, TCONS_00006333.p1	MOUSE37570, MOUSE37574, MOUSE37572, MOUSE37575, MOUSE37571
OG0001526	TCONS_00016353.p1	MOUSE23723, MOUSE23721, MOUSE23722, MOUSE25375, MOUSE25372, MOUSE25373, MOUSE25371, MOUSE25370, MOUSE25369, MOUSE25367, MOUSE25368
OG0001527	TCONS_00005265.p1	MOUSE04311, MOUSE04310, MOUSE04313
OG0001527	TCONS_00007061.p1	MOUSE13589
OG0001528	TCONS_00050868.p1	MOUSE04103, MOUSE04104, MOUSE04100, MOUSE04102, MOUSE04101, MOUSE15666, MOUSE15668, MOUSE15667, MOUSE15670, MOUSE15672, MOUSE15671, MOUSE15673, MOUSE15665, MOUSE15669
OG0001529	TCONS_00056759.p1	MOUSE52864, MOUSE52868, MOUSE52867, MOUSE52865, MOUSE52866, MOUSE52863, MOUSE52869, MOUSE52870, MOUSE52747, MOUSE52748, MOUSE52746, MOUSE52745, MOUSE52750, MOUSE17230
OG0001530	TCONS_00029931.p1	MOUSE11448, MOUSE11447, MOUSE36978, MOUSE36976, MOUSE36977, MOUSE36980, MOUSE11450
