Orthogroup	PFLAV	SCHMD
OG0000711	TCONS_00036664.p1, TCONS_00036685.p1	SCHMD16082
OG0000711	TCONS_00036548.p1	SCHMD02785
OG0000712	TCONS_00043106.p1	SCHMD23626
OG0000713	TCONS_00020883.p1	SCHMD17095
OG0000716	TCONS_00023851.p1, TCONS_00023852.p1, TCONS_00023842.p1, TCONS_00023843.p1, TCONS_00001491.p1	SCHMD04462, SCHMD22884, SCHMD19144, SCHMD07207, SCHMD17723
OG0000717	TCONS_00016080.p1, TCONS_00016081.p1	SCHMD26760, SCHMD12553
OG0000718	TCONS_00035589.p1	SCHMD24218
OG0000720	TCONS_00033138.p1	SCHMD03708
OG0000721	TCONS_00006398.p1, TCONS_00000729.p1	SCHMD15260, SCHMD29752, SCHMD09543
OG0000722	TCONS_00010253.p1	SCHMD24922, SCHMD24923, SCHMD24635, SCHMD22124
OG0000724	TCONS_00011523.p1	SCHMD07525, SCHMD08666
OG0000725	TCONS_00015059.p1	SCHMD11698
OG0000725	TCONS_00023276.p1	SCHMD23954
OG0000725	TCONS_00025265.p1	SCHMD14819, SCHMD12919
OG0000731	TCONS_00021358.p1	SCHMD03063
OG0000732	TCONS_00022768.p1	SCHMD09651
OG0000732	TCONS_00053142.p1	SCHMD05249
OG0000733	TCONS_00011607.p1	SCHMD28225, SCHMD15626
OG0000733	TCONS_00010891.p1	SCHMD13904, SCHMD02163
OG0000734	TCONS_00015907.p1	SCHMD11583, SCHMD14768, SCHMD09332, SCHMD02937, SCHMD07242, SCHMD04118, SCHMD01513, SCHMD07878, SCHMD24039, SCHMD13942, SCHMD22315, SCHMD14455, SCHMD27004, SCHMD20850, SCHMD13509, SCHMD10084, SCHMD08723, SCHMD14485, SCHMD25295, SCHMD26519, SCHMD04103, SCHMD26949, SCHMD09270, SCHMD20387, SCHMD03648, SCHMD09683, SCHMD10543, SCHMD08018, SCHMD27636, SCHMD18698, SCHMD07342, SCHMD09685, SCHMD09684, SCHMD15319, SCHMD24961, SCHMD26040, SCHMD09274, SCHMD04119
OG0000735	TCONS_00016800.p1	SCHMD07620
OG0000737	TCONS_00041554.p1	SCHMD13872, SCHMD06037, SCHMD06036, SCHMD13871, SCHMD06038, SCHMD26765, SCHMD20700, SCHMD19426, SCHMD19425, SCHMD16484, SCHMD24684
OG0000740	TCONS_00055839.p1	SCHMD13587
OG0000740	TCONS_00016565.p1	SCHMD06868
OG0000748	TCONS_00032693.p1, TCONS_00032043.p1, TCONS_00038828.p1, TCONS_00032688.p1, TCONS_00044395.p1, TCONS_00032676.p1, TCONS_00032054.p1, TCONS_00032683.p1, TCONS_00032044.p1, TCONS_00044385.p1, TCONS_00038827.p1, TCONS_00032692.p1, TCONS_00038855.p1, TCONS_00038825.p1	SCHMD06828, SCHMD06887, SCHMD11059, SCHMD09770
OG0000751	TCONS_00056206.p1	SCHMD12293, SCHMD13329, SCHMD18701, SCHMD04693, SCHMD17218, SCHMD17217, SCHMD03838, SCHMD03689, SCHMD13065, SCHMD14600, SCHMD18030, SCHMD13408
OG0000752	TCONS_00027586.p1	SCHMD03946
OG0000752	TCONS_00000980.p1	SCHMD12645
OG0000753	TCONS_00033131.p1	SCHMD14739
OG0000753	TCONS_00034978.p1	SCHMD19308, SCHMD17874
OG0000754	TCONS_00007992.p1, TCONS_00057184.p1, TCONS_00045091.p1, TCONS_00051330.p1, TCONS_00018094.p1, TCONS_00018093.p1, TCONS_00018092.p1, TCONS_00018099.p1, TCONS_00018095.p1, TCONS_00045092.p1	SCHMD22890
OG0000757	TCONS_00041747.p1, TCONS_00006887.p1, TCONS_00006876.p1	SCHMD13979, SCHMD10753, SCHMD18486
OG0000758	TCONS_00016783.p1	SCHMD07281
OG0000759	TCONS_00002581.p1	SCHMD21958
OG0000762	TCONS_00002922.p1	SCHMD24589, SCHMD13724, SCHMD08577, SCHMD18827, SCHMD18828
OG0000763	TCONS_00029111.p1	SCHMD22978, SCHMD08138
OG0000764	TCONS_00015937.p1	SCHMD16330
OG0000765	TCONS_00009967.p1	SCHMD21723, SCHMD22880
OG0000765	TCONS_00040300.p1	SCHMD29001
OG0000766	TCONS_00014553.p1	SCHMD09465
OG0000766	TCONS_00028822.p1, TCONS_00032747.p1	SCHMD07087
OG0000768	TCONS_00049576.p1	SCHMD13165, SCHMD22067
OG0000772	TCONS_00030063.p1	SCHMD07550, SCHMD11404
OG0000772	TCONS_00008408.p1	SCHMD29807
OG0000774	TCONS_00052735.p1	SCHMD13406
OG0000774	TCONS_00049083.p1	SCHMD04364
OG0000776	TCONS_00046336.p1, TCONS_00030153.p1, TCONS_00030152.p1, TCONS_00009195.p1, TCONS_00030151.p1	SCHMD10487
OG0000777	TCONS_00013796.p1	SCHMD17125
OG0000778	TCONS_00050643.p1	SCHMD17919, SCHMD25026, SCHMD16452, SCHMD20513
OG0000780	TCONS_00009656.p1	SCHMD13998, SCHMD18889
OG0000780	TCONS_00031946.p1, TCONS_00031922.p1	SCHMD10385
OG0000781	TCONS_00014005.p1	SCHMD21689, SCHMD23281, SCHMD14588
OG0000782	TCONS_00028725.p1	SCHMD01655, SCHMD14818
OG0000784	TCONS_00017272.p1	SCHMD19992, SCHMD27743
OG0000787	TCONS_00030413.p1	SCHMD22606, SCHMD20069, SCHMD13786
OG0000788	TCONS_00037097.p1	SCHMD11830, SCHMD18844
OG0000788	TCONS_00028163.p1	SCHMD06628
OG0000791	TCONS_00055031.p1	SCHMD20330, SCHMD18169, SCHMD20086
OG0000794	TCONS_00016640.p1	SCHMD10042
OG0000798	TCONS_00044180.p1	SCHMD19563, SCHMD17465, SCHMD04713
OG0000799	TCONS_00026061.p1	SCHMD17640
OG0000801	TCONS_00020737.p1	SCHMD09238
OG0000809	TCONS_00053785.p1	SCHMD21850, SCHMD00682
OG0000810	TCONS_00052958.p1	SCHMD03195, SCHMD03113
OG0000810	TCONS_00054964.p1	SCHMD06140, SCHMD03114
OG0000814	TCONS_00016541.p1	SCHMD03060, SCHMD13676
OG0000814	TCONS_00050568.p1	SCHMD07352
OG0000819	TCONS_00024907.p1, TCONS_00024899.p1	SCHMD03878
OG0000819	TCONS_00038938.p1, TCONS_00006793.p1	SCHMD26932, SCHMD11456, SCHMD22577, SCHMD16618
OG0000824	TCONS_00020720.p1, TCONS_00019654.p1, TCONS_00021735.p1	SCHMD07823, SCHMD24327, SCHMD27575, SCHMD22375
OG0000826	TCONS_00026813.p1, TCONS_00026816.p1, TCONS_00052129.p1, TCONS_00051021.p1, TCONS_00051017.p1, TCONS_00051018.p1, TCONS_00051287.p1, TCONS_00051304.p1, TCONS_00050140.p1, TCONS_00026815.p1, TCONS_00026817.p1, TCONS_00009120.p1	SCHMD01695, SCHMD01697, SCHMD12736, SCHMD10190, SCHMD02301, SCHMD07205, SCHMD20648, SCHMD19536, SCHMD29770
OG0000828	TCONS_00020647.p1	SCHMD08298
OG0000828	TCONS_00004770.p1	SCHMD08624
OG0000829	TCONS_00026046.p1	SCHMD27680, SCHMD26916
OG0000834	TCONS_00002892.p1	SCHMD11223, SCHMD19332, SCHMD16052
OG0000835	TCONS_00036638.p1, TCONS_00037847.p1	SCHMD14959
OG0000836	TCONS_00019427.p1	SCHMD23242
OG0000837	TCONS_00017392.p1	SCHMD09523, SCHMD05554, SCHMD04696, SCHMD00842, SCHMD03083
OG0000842	TCONS_00019047.p1	SCHMD01343
OG0000844	TCONS_00051992.p1, TCONS_00051652.p1	SCHMD01709
OG0000847	TCONS_00006142.p1, TCONS_00006162.p1	SCHMD03587
OG0000848	TCONS_00042417.p1	SCHMD03599
OG0000848	TCONS_00020362.p1	SCHMD06160
OG0000851	TCONS_00044107.p1	SCHMD21876, SCHMD17205
OG0000853	TCONS_00057113.p1	SCHMD13348, SCHMD11642, SCHMD05466, SCHMD10578
OG0000855	TCONS_00005293.p1, TCONS_00030725.p1, TCONS_00029886.p1, TCONS_00005298.p1, TCONS_00005301.p1, TCONS_00005299.p1, TCONS_00005291.p1, TCONS_00005295.p1, TCONS_00005297.p1	SCHMD29481, SCHMD01902, SCHMD15557
OG0000858	TCONS_00048629.p1	SCHMD23221, SCHMD20483, SCHMD08351
OG0000858	TCONS_00035617.p1, TCONS_00035720.p1	SCHMD22095, SCHMD27060
OG0000860	TCONS_00014657.p1	SCHMD05987
OG0000868	TCONS_00011478.p1	SCHMD05358
OG0000869	TCONS_00052865.p1, TCONS_00053553.p1	SCHMD07449
OG0000870	TCONS_00040301.p1, TCONS_00005013.p1, TCONS_00025391.p1, TCONS_00031457.p1, TCONS_00033480.p1, TCONS_00033482.p1, TCONS_00033475.p1, TCONS_00033476.p1, TCONS_00033474.p1, TCONS_00033481.p1, TCONS_00033479.p1, TCONS_00033473.p1	SCHMD09425
OG0000871	TCONS_00026834.p1	SCHMD06938
OG0000872	TCONS_00037055.p1, TCONS_00037051.p1, TCONS_00037037.p1	SCHMD07553
OG0000873	TCONS_00029754.p1	SCHMD02654, SCHMD05828, SCHMD02657, SCHMD05831, SCHMD17268, SCHMD02656, SCHMD05830, SCHMD02659, SCHMD16630, SCHMD13026, SCHMD17269, SCHMD02655, SCHMD05829
OG0000875	TCONS_00053761.p1	SCHMD10815
OG0000875	TCONS_00056388.p1, TCONS_00041427.p1	SCHMD17655, SCHMD18552, SCHMD00030, SCHMD10336
OG0000876	TCONS_00004348.p1	SCHMD01529
OG0000878	TCONS_00036231.p1	SCHMD18560
OG0000879	TCONS_00056397.p1	SCHMD10640
OG0000880	TCONS_00049616.p1	SCHMD03718
OG0000881	TCONS_00015965.p1	SCHMD04314, SCHMD09365, SCHMD01117, SCHMD08924
OG0000881	TCONS_00006707.p1	SCHMD20926, SCHMD25363
OG0000887	TCONS_00017941.p1	SCHMD27495
OG0000888	TCONS_00029758.p1	SCHMD01724
OG0000889	TCONS_00010936.p1	SCHMD00830, SCHMD04643
OG0000889	TCONS_00004850.p1, TCONS_00004830.p1	SCHMD02281, SCHMD02130
OG0000890	TCONS_00002382.p1	SCHMD09911
OG0000890	TCONS_00002374.p1, TCONS_00002381.p1	SCHMD16414
OG0000894	TCONS_00042942.p1	SCHMD05374, SCHMD26280
OG0000894	TCONS_00014568.p1	SCHMD11594, SCHMD05061
OG0000896	TCONS_00012437.p1, TCONS_00012438.p1	SCHMD08034
OG0000896	TCONS_00023440.p1, TCONS_00023471.p1, TCONS_00023178.p1, TCONS_00003493.p1	SCHMD03189
OG0000897	TCONS_00047825.p1, TCONS_00047836.p1	SCHMD05382
OG0000899	TCONS_00041663.p1	SCHMD22285, SCHMD13459
OG0000905	TCONS_00036217.p1, TCONS_00037367.p1	SCHMD17642, SCHMD19023
OG0000906	TCONS_00002829.p2, TCONS_00004398.p1	SCHMD01676
OG0000907	TCONS_00053291.p1	SCHMD03616
OG0000908	TCONS_00027161.p1	SCHMD03334, SCHMD11293
OG0000909	TCONS_00001186.p1, TCONS_00001174.p1	SCHMD05694, SCHMD03729
OG0000913	TCONS_00044188.p1	SCHMD10820, SCHMD18663
OG0000914	TCONS_00048628.p1	SCHMD13078
OG0000918	TCONS_00051981.p1, TCONS_00051985.p1, TCONS_00051987.p1, TCONS_00051983.p1, TCONS_00051984.p1, TCONS_00051982.p1, TCONS_00051988.p1, TCONS_00051986.p1, TCONS_00016374.p1, TCONS_00016373.p1, TCONS_00016372.p1	SCHMD29668
OG0000921	TCONS_00016117.p1	SCHMD16275
OG0000925	TCONS_00054170.p1, TCONS_00054133.p1	SCHMD01205, SCHMD18689
OG0000925	TCONS_00021772.p1	SCHMD00501, SCHMD05937
OG0000926	TCONS_00034542.p1	SCHMD13544, SCHMD06558
OG0000926	TCONS_00007435.p1	SCHMD06554, SCHMD17036, SCHMD13546, SCHMD25813
OG0000929	TCONS_00001479.p1	SCHMD00375, SCHMD08839
OG0000931	TCONS_00027222.p1	SCHMD02356
OG0000934	TCONS_00001864.p1	SCHMD07111, SCHMD08216
OG0000935	TCONS_00054853.p1, TCONS_00054852.p1	SCHMD18664
OG0000937	TCONS_00003169.p1, TCONS_00039611.p1	SCHMD17622
OG0000943	TCONS_00030041.p1	SCHMD19076
OG0000944	TCONS_00043975.p1	SCHMD15750
OG0000945	TCONS_00009344.p1, TCONS_00009343.p1	SCHMD15214, SCHMD06612, SCHMD06319
OG0000946	TCONS_00038079.p1	SCHMD09426
OG0000947	TCONS_00031600.p1, TCONS_00019583.p1	SCHMD24447
OG0000949	TCONS_00001325.p1, TCONS_00001326.p1, TCONS_00001327.p1, TCONS_00001324.p1	SCHMD10151, SCHMD29084, SCHMD29079, SCHMD02016
OG0000950	TCONS_00006646.p1, TCONS_00006622.p1	SCHMD25017
OG0000951	TCONS_00002049.p1	SCHMD20208
OG0000954	TCONS_00055769.p1	SCHMD05029, SCHMD08968, SCHMD13763
OG0000954	TCONS_00014081.p1	SCHMD05469, SCHMD02974
OG0000955	TCONS_00054603.p1	SCHMD06645, SCHMD03890, SCHMD04591
OG0000955	TCONS_00029823.p1	SCHMD20742
OG0000957	TCONS_00029595.p1	SCHMD18023
OG0000960	TCONS_00009329.p1	SCHMD05680, SCHMD08670, SCHMD05681, SCHMD12110
OG0000963	TCONS_00053983.p1	SCHMD22298, SCHMD11708
OG0000963	TCONS_00054330.p1	SCHMD04476
OG0000965	TCONS_00007578.p1	SCHMD22316, SCHMD15133, SCHMD13697, SCHMD12517
OG0000966	TCONS_00006557.p1	SCHMD00065
OG0000967	TCONS_00041998.p1	SCHMD11342, SCHMD26265
OG0000967	TCONS_00031424.p1	SCHMD05844, SCHMD03950
OG0000969	TCONS_00057265.p1	SCHMD15666, SCHMD13228
OG0000972	TCONS_00030051.p1	SCHMD05471
OG0000974	TCONS_00041730.p1	SCHMD24665, SCHMD24853, SCHMD26881
OG0000976	TCONS_00027250.p1	SCHMD13984
OG0000977	TCONS_00007023.p1	SCHMD03392
OG0000977	TCONS_00003519.p1, TCONS_00003517.p1	SCHMD24427, SCHMD03391
OG0000978	TCONS_00008298.p1, TCONS_00002212.p1	SCHMD15268, SCHMD25301, SCHMD25194
OG0000979	TCONS_00033258.p1, TCONS_00033257.p1, TCONS_00033260.p1, TCONS_00055872.p1, TCONS_00055873.p1	SCHMD24204, SCHMD01421
OG0000981	TCONS_00028542.p1	SCHMD13908
OG0000982	TCONS_00019685.p1	SCHMD08717
OG0000984	TCONS_00029130.p1, TCONS_00029125.p1, TCONS_00019326.p1	SCHMD02865
OG0000986	TCONS_00030410.p1	SCHMD25195, SCHMD27305, SCHMD22933, SCHMD10755, SCHMD11238, SCHMD09897
OG0000988	TCONS_00048232.p1, TCONS_00048229.p1, TCONS_00048228.p1, TCONS_00014768.p1	SCHMD00928
OG0000992	TCONS_00012823.p1, TCONS_00026712.p1	SCHMD08111
OG0000993	TCONS_00020046.p1	SCHMD03348
OG0000994	TCONS_00017207.p1	SCHMD16610, SCHMD07202, SCHMD11541, SCHMD07203
OG0000994	TCONS_00006840.p1, TCONS_00006841.p1	SCHMD16602, SCHMD10604
OG0000998	TCONS_00001881.p1, TCONS_00002508.p1, TCONS_00000371.p1, TCONS_00001883.p1, TCONS_00002021.p1, TCONS_00001962.p1, TCONS_00001969.p1	SCHMD08664
OG0000998	TCONS_00024220.p1	SCHMD08663
OG0000999	TCONS_00036441.p1	SCHMD16857, SCHMD24576, SCHMD11146, SCHMD08208
OG0001000	TCONS_00001232.p1	SCHMD22725
OG0001001	TCONS_00021762.p1	SCHMD07356
OG0001002	TCONS_00031369.p1	SCHMD07769, SCHMD07768, SCHMD11688
OG0001003	TCONS_00004598.p1	SCHMD21687, SCHMD24830
OG0001006	TCONS_00055759.p1	SCHMD17048, SCHMD11571
OG0001007	TCONS_00015703.p1, TCONS_00015701.p1	SCHMD05810
OG0001008	TCONS_00036882.p1	SCHMD04857
OG0001011	TCONS_00057033.p1, TCONS_00057034.p1, TCONS_00057036.p1, TCONS_00056052.p1, TCONS_00057224.p1, TCONS_00057031.p1, TCONS_00056948.p1, TCONS_00056037.p1	SCHMD16803, SCHMD21485, SCHMD15129, SCHMD01138, SCHMD09256, SCHMD04133, SCHMD16573
OG0001013	TCONS_00012544.p1, TCONS_00012534.p1, TCONS_00012539.p1, TCONS_00012540.p1, TCONS_00012542.p1	SCHMD14534, SCHMD13659, SCHMD16121, SCHMD28755, SCHMD14533
OG0001015	TCONS_00014432.p1	SCHMD07353
OG0001016	TCONS_00032736.p1	SCHMD05206
OG0001016	TCONS_00055345.p1	SCHMD23273, SCHMD15080
OG0001016	TCONS_00032734.p1	SCHMD25548, SCHMD21254
OG0001017	TCONS_00018963.p1	SCHMD04416, SCHMD11368
OG0001017	TCONS_00018961.p1, TCONS_00018946.p1	SCHMD16754
OG0001018	TCONS_00001884.p1	SCHMD08153
OG0001019	TCONS_00013803.p1, TCONS_00009121.p1, TCONS_00009125.p1, TCONS_00007896.p1, TCONS_00009127.p1	SCHMD01848, SCHMD05447
OG0001023	TCONS_00038094.p1	SCHMD07708, SCHMD18630, SCHMD28291, SCHMD19902
OG0001030	TCONS_00012193.p1	SCHMD08464
OG0001031	TCONS_00030299.p1	SCHMD14040, SCHMD09371, SCHMD16991, SCHMD19644
OG0001031	TCONS_00020015.p1	SCHMD19646, SCHMD16992
OG0001031	TCONS_00028711.p1	SCHMD17709, SCHMD09373
OG0001032	TCONS_00015470.p1	SCHMD15671, SCHMD16553, SCHMD24305, SCHMD20230, SCHMD05282
OG0001033	TCONS_00030894.p1	SCHMD11399, SCHMD23908
OG0001033	TCONS_00054950.p1	SCHMD10492
OG0001036	TCONS_00018638.p1	SCHMD20768, SCHMD09235
OG0001037	TCONS_00016412.p1	SCHMD23424, SCHMD16427, SCHMD02530, SCHMD07259
OG0001039	TCONS_00006812.p1	SCHMD01765
OG0001042	TCONS_00048975.p1	SCHMD05094, SCHMD04032, SCHMD11839
OG0001043	TCONS_00045785.p1, TCONS_00010912.p1, TCONS_00009718.p1, TCONS_00009717.p1, TCONS_00009719.p1	SCHMD02174, SCHMD16603, SCHMD02028, SCHMD17894
OG0001046	TCONS_00013758.p1	SCHMD05104, SCHMD02045, SCHMD11124
OG0001047	TCONS_00022002.p1, TCONS_00022015.p1, TCONS_00022271.p1	SCHMD28420
OG0001048	TCONS_00030505.p1	SCHMD12160
OG0001049	TCONS_00050112.p1	SCHMD16614
OG0001050	TCONS_00041057.p1	SCHMD03458
OG0001056	TCONS_00007514.p1, TCONS_00007524.p1, TCONS_00052740.p1, TCONS_00052699.p1, TCONS_00052737.p1, TCONS_00052738.p1, TCONS_00053672.p1, TCONS_00053453.p1, TCONS_00007527.p1, TCONS_00007526.p1, TCONS_00007525.p1, TCONS_00054427.p1, TCONS_00007515.p1, TCONS_00007516.p1, TCONS_00007517.p1, TCONS_00030406.p2	SCHMD02897
OG0001059	TCONS_00046508.p1	SCHMD17881, SCHMD18020, SCHMD18021
OG0001060	TCONS_00027922.p1, TCONS_00027923.p1, TCONS_00042973.p1	SCHMD12337, SCHMD14762, SCHMD05051
OG0001062	TCONS_00052698.p1	SCHMD24440, SCHMD23600, SCHMD17910
OG0001063	TCONS_00011029.p1, TCONS_00011028.p1	SCHMD00703
OG0001064	TCONS_00007880.p1, TCONS_00009073.p1, TCONS_00007882.p1, TCONS_00037695.p1, TCONS_00037693.p1, TCONS_00013494.p1, TCONS_00009075.p1	SCHMD00355, SCHMD00354
OG0001072	TCONS_00004919.p1, TCONS_00004835.p1, TCONS_00004857.p1, TCONS_00005572.p1, TCONS_00005559.p1	SCHMD24459, SCHMD27893
OG0001073	TCONS_00042907.p1	SCHMD00478
OG0001075	TCONS_00018554.p1, TCONS_00056425.p1, TCONS_00056424.p1, TCONS_00056414.p1, TCONS_00056417.p1, TCONS_00056418.p1, TCONS_00056419.p1, TCONS_00056421.p1, TCONS_00056428.p1, TCONS_00056427.p1, TCONS_00055256.p1	SCHMD13181, SCHMD04392, SCHMD00196, SCHMD16771
OG0001076	TCONS_00043600.p1	SCHMD07131
OG0001077	TCONS_00055933.p1, TCONS_00055932.p1, TCONS_00057137.p1	SCHMD01953
OG0001077	TCONS_00057134.p1	SCHMD18407, SCHMD17122
OG0001078	TCONS_00023347.p1, TCONS_00023220.p1, TCONS_00023380.p1	SCHMD20731, SCHMD25766
OG0001078	TCONS_00023379.p1, TCONS_00023346.p1, TCONS_00023218.p1	SCHMD19216, SCHMD23006
OG0001079	TCONS_00047466.p1	SCHMD27223
OG0001080	TCONS_00055708.p1	SCHMD08586
OG0001080	TCONS_00014559.p1	SCHMD15438, SCHMD19176
OG0001081	TCONS_00055778.p1, TCONS_00036171.p1	SCHMD03711, SCHMD03710
OG0001081	TCONS_00008546.p1	SCHMD05425
OG0001083	TCONS_00027737.p1	SCHMD07690
OG0001084	TCONS_00001343.p1	SCHMD10718
OG0001084	TCONS_00001344.p1	SCHMD10717
OG0001085	TCONS_00048306.p1	SCHMD03894
OG0001086	TCONS_00012169.p1	SCHMD14120
OG0001087	TCONS_00031012.p1	SCHMD17869
OG0001088	TCONS_00030169.p1	SCHMD01007, SCHMD19898, SCHMD23791
OG0001089	TCONS_00034770.p1, TCONS_00034704.p1	SCHMD10517
OG0001091	TCONS_00020805.p1	SCHMD13206, SCHMD15908
OG0001092	TCONS_00043827.p1	SCHMD18945
OG0001096	TCONS_00050847.p1, TCONS_00055602.p1, TCONS_00055601.p1, TCONS_00055600.p1, TCONS_00056769.p1, TCONS_00053954.p1, TCONS_00010116.p1	SCHMD11467, SCHMD14874
OG0001101	TCONS_00047616.p1	SCHMD06917, SCHMD18684, SCHMD23170, SCHMD18685
OG0001102	TCONS_00010405.p1	SCHMD06311
OG0001103	TCONS_00004021.p1, TCONS_00022222.p1	SCHMD19689
OG0001103	TCONS_00010968.p1	SCHMD10595
OG0001104	TCONS_00018743.p1, TCONS_00018706.p1	SCHMD11885, SCHMD14895, SCHMD18516, SCHMD03705
OG0001106	TCONS_00048126.p1, TCONS_00049465.p1	SCHMD22581, SCHMD22582
OG0001108	TCONS_00020684.p1	SCHMD08133
OG0001112	TCONS_00021573.p1	SCHMD26529, SCHMD08447
OG0001113	TCONS_00043824.p1	SCHMD04717
OG0001114	TCONS_00031876.p1	SCHMD27710, SCHMD15592, SCHMD14156
OG0001116	TCONS_00038721.p1, TCONS_00000105.p1	SCHMD19491
OG0001117	TCONS_00055590.p1	SCHMD18856
OG0001121	TCONS_00001552.p1	SCHMD18066, SCHMD06995, SCHMD25343, SCHMD23015, SCHMD06994
OG0001123	TCONS_00032914.p1, TCONS_00032917.p1, TCONS_00032918.p1, TCONS_00032915.p1, TCONS_00033283.p1	SCHMD02756
OG0001124	TCONS_00014549.p1, TCONS_00020701.p1	SCHMD24013
OG0001126	TCONS_00021077.p1	SCHMD17193, SCHMD24674
OG0001128	TCONS_00003470.p1	SCHMD08323
OG0001129	TCONS_00007656.p1	SCHMD15504, SCHMD18282, SCHMD05846
OG0001130	TCONS_00028636.p1, TCONS_00028392.p1	SCHMD04030
OG0001130	TCONS_00028134.p1	SCHMD13287, SCHMD04031
OG0001133	TCONS_00015242.p1	SCHMD18643
OG0001133	TCONS_00053218.p1	SCHMD29299, SCHMD19714
OG0001137	TCONS_00009779.p1	SCHMD17448, SCHMD26312, SCHMD05464, SCHMD01243
OG0001138	TCONS_00020566.p1	SCHMD00170
OG0001139	TCONS_00021216.p1, TCONS_00028367.p1, TCONS_00025127.p1	SCHMD00334
OG0001141	TCONS_00028439.p1	SCHMD02981, SCHMD09902, SCHMD11211, SCHMD15344, SCHMD18658
OG0001142	TCONS_00017195.p1	SCHMD12785, SCHMD19807, SCHMD09379
OG0001143	TCONS_00020217.p1	SCHMD05178
OG0001146	TCONS_00050566.p1	SCHMD06189
OG0001149	TCONS_00015791.p1	SCHMD16336, SCHMD29633
OG0001155	TCONS_00053982.p1	SCHMD01897
OG0001156	TCONS_00055858.p1	SCHMD11390
OG0001159	TCONS_00018547.p1	SCHMD15611, SCHMD21936
OG0001159	TCONS_00031010.p1	SCHMD26551, SCHMD23487
OG0001160	TCONS_00007792.p1	SCHMD18251, SCHMD20811
OG0001160	TCONS_00025396.p1, TCONS_00025758.p1, TCONS_00025797.p1	SCHMD20666
OG0001161	TCONS_00032840.p1	SCHMD27832, SCHMD10429, SCHMD10428
OG0001162	TCONS_00034837.p1, TCONS_00018831.p1	SCHMD04355, SCHMD04356
OG0001164	TCONS_00006590.p1	SCHMD22065
OG0001165	TCONS_00018323.p1	SCHMD11819
OG0001165	TCONS_00022892.p1	SCHMD12131
OG0001167	TCONS_00009697.p1	SCHMD08043, SCHMD04406
OG0001168	TCONS_00007095.p1	SCHMD13073
OG0001172	TCONS_00003400.p1, TCONS_00004388.p1	SCHMD19335
OG0001172	TCONS_00004384.p1	SCHMD00291
OG0001172	TCONS_00003407.p1	SCHMD24972
OG0001175	TCONS_00018800.p1	SCHMD18473
OG0001176	TCONS_00009349.p1	SCHMD14886
OG0001177	TCONS_00031042.p1	SCHMD07014
OG0001177	TCONS_00043176.p1	SCHMD07016, SCHMD07017, SCHMD07015
OG0001178	TCONS_00052837.p1	SCHMD07684
OG0001178	TCONS_00021368.p1	SCHMD13713
OG0001179	TCONS_00007757.p1	SCHMD26379
OG0001181	TCONS_00056617.p1	SCHMD21797
OG0001183	TCONS_00055495.p1	SCHMD02325
OG0001184	TCONS_00015015.p1	SCHMD12752
OG0001184	TCONS_00027741.p1	SCHMD29753, SCHMD15110, SCHMD23640
OG0001186	TCONS_00018904.p1	SCHMD20610
OG0001186	TCONS_00008504.p1	SCHMD05037
OG0001188	TCONS_00009642.p1	SCHMD05963, SCHMD14167
OG0001189	TCONS_00046683.p1, TCONS_00046682.p1	SCHMD17573, SCHMD27159, SCHMD05552
OG0001191	TCONS_00027129.p1	SCHMD11387
OG0001197	TCONS_00053978.p1, TCONS_00010219.p1	SCHMD06230
OG0001197	TCONS_00018044.p1	SCHMD16253
OG0001198	TCONS_00037978.p1	SCHMD04078
OG0001199	TCONS_00001138.p1, TCONS_00001137.p1	SCHMD17507, SCHMD14047
OG0001199	TCONS_00018814.p1, TCONS_00005842.p1	SCHMD17830
OG0001201	TCONS_00008587.p1	SCHMD18644
OG0001204	TCONS_00006364.p1	SCHMD08657, SCHMD22624, SCHMD10325
OG0001207	TCONS_00003023.p1	SCHMD02145, SCHMD05067, SCHMD08759, SCHMD15345
OG0001207	TCONS_00055016.p1, TCONS_00002875.p1	SCHMD07731
OG0001208	TCONS_00019772.p1	SCHMD11671, SCHMD13440, SCHMD22806
OG0001209	TCONS_00032359.p1	SCHMD22043, SCHMD28492
OG0001210	TCONS_00010944.p1	SCHMD19441
OG0001210	TCONS_00052218.p1	SCHMD03204
OG0001212	TCONS_00043221.p1	SCHMD25299
OG0001213	TCONS_00027209.p1	SCHMD01086
OG0001213	TCONS_00005373.p1	SCHMD23993
OG0001213	TCONS_00005372.p1	SCHMD21364, SCHMD26387, SCHMD21954, SCHMD22675
OG0001214	TCONS_00033365.p1	SCHMD22221
OG0001215	TCONS_00033488.p1	SCHMD25774
OG0001216	TCONS_00007050.p1	SCHMD13349
OG0001217	TCONS_00000738.p1	SCHMD18537
OG0001218	TCONS_00052215.p1	SCHMD03255
OG0001219	TCONS_00017300.p1	SCHMD09614, SCHMD00713
OG0001221	TCONS_00055087.p1, TCONS_00055088.p1, TCONS_00055090.p1, TCONS_00055091.p1	SCHMD16690
OG0001223	TCONS_00007477.p1	SCHMD08671
OG0001226	TCONS_00006753.p1, TCONS_00001303.p1	SCHMD21222
OG0001230	TCONS_00017772.p1	SCHMD18159
OG0001231	TCONS_00009528.p1	SCHMD05786, SCHMD07759, SCHMD03181, SCHMD13940, SCHMD03182
OG0001234	TCONS_00007057.p1	SCHMD01688
