Orthogroup	PFLAV	HUMAN
OG0001197	TCONS_00010219.p1	HUMAN04807
OG0001198	TCONS_00029367.p1	HUMAN14133, HUMAN09842
OG0001198	TCONS_00037978.p1	HUMAN03836
OG0001199	TCONS_00001138.p1	HUMAN25663
OG0001199	TCONS_00018814.p1, TCONS_00005842.p1	HUMAN27627, HUMAN27626
OG0001200	TCONS_00011494.p1	HUMAN08841, HUMAN08842, HUMAN08840
OG0001202	TCONS_00021712.p1, TCONS_00021789.p1, TCONS_00021744.p1, TCONS_00021742.p1, TCONS_00021743.p1, TCONS_00021232.p1, TCONS_00021231.p1	HUMAN22243, HUMAN22242, HUMAN22244
OG0001204	TCONS_00006364.p1	HUMAN13045
OG0001205	TCONS_00042903.p1	HUMAN08993
OG0001205	TCONS_00042542.p1	HUMAN22954
OG0001207	TCONS_00003023.p1	HUMAN13151
OG0001207	TCONS_00002875.p1	HUMAN13150, HUMAN17601
OG0001208	TCONS_00019772.p1	HUMAN17864, HUMAN26576
OG0001209	TCONS_00032359.p1	HUMAN27648
OG0001210	TCONS_00010944.p1	HUMAN18754
OG0001210	TCONS_00052218.p1	HUMAN21606
OG0001211	TCONS_00032848.p1	HUMAN17695, HUMAN12935
OG0001213	TCONS_00027209.p1	HUMAN03742
OG0001213	TCONS_00005373.p1, TCONS_00005372.p1	HUMAN07278, HUMAN07279
OG0001214	TCONS_00033365.p1	HUMAN02956, HUMAN02957
OG0001214	TCONS_00048958.p1	HUMAN06747
OG0001215	TCONS_00033488.p1	HUMAN26208, HUMAN26209, HUMAN17597, HUMAN06423
OG0001216	TCONS_00051636.p1	HUMAN05988, HUMAN05987
OG0001216	TCONS_00007050.p1	HUMAN11427
OG0001217	TCONS_00000738.p1	HUMAN29664, HUMAN25763
OG0001218	TCONS_00052215.p1	HUMAN05862, HUMAN00140, HUMAN11965
OG0001219	TCONS_00017300.p1	HUMAN18053, HUMAN24346, HUMAN01814, HUMAN09792, HUMAN09790
OG0001220	TCONS_00006085.p1	HUMAN07348
OG0001221	TCONS_00055087.p1, TCONS_00055088.p1, TCONS_00055090.p1, TCONS_00055091.p1	HUMAN08173, HUMAN08174, HUMAN08177, HUMAN08176, HUMAN08178, HUMAN08175, HUMAN08179, HUMAN08180
OG0001223	TCONS_00007477.p1	HUMAN27843, HUMAN11032, HUMAN07991, HUMAN19019, HUMAN11033
OG0001224	TCONS_00051554.p1	HUMAN15488, HUMAN15490
OG0001225	TCONS_00019229.p1	HUMAN09188, HUMAN28761, HUMAN14334
OG0001226	TCONS_00006753.p1, TCONS_00001303.p1	HUMAN19536, HUMAN30088, HUMAN25307
OG0001227	TCONS_00001820.p1	HUMAN30017
OG0001231	TCONS_00009528.p1	HUMAN08474, HUMAN08473, HUMAN16911
OG0001232	TCONS_00053374.p1, TCONS_00054429.p1, TCONS_00054454.p1, TCONS_00053372.p1	HUMAN10318
OG0001233	TCONS_00043251.p1, TCONS_00043252.p1	HUMAN07688
OG0001234	TCONS_00007057.p1	HUMAN13874, HUMAN11222
OG0001236	TCONS_00050414.p1, TCONS_00050417.p1, TCONS_00050415.p1	HUMAN15304
OG0001237	TCONS_00019550.p1, TCONS_00019547.p1	HUMAN10071, HUMAN01580, HUMAN23506
OG0001238	TCONS_00027408.p1	HUMAN09752, HUMAN24272
OG0001238	TCONS_00019050.p1	HUMAN20738, HUMAN12789, HUMAN06408
OG0001239	TCONS_00048949.p1	HUMAN21103, HUMAN26890, HUMAN21102
OG0001240	TCONS_00029430.p1	HUMAN09998, HUMAN10000, HUMAN09999, HUMAN09997, HUMAN01896, HUMAN01897, HUMAN28832
OG0001241	TCONS_00044745.p1	HUMAN18832, HUMAN18831
OG0001241	TCONS_00021229.p1	HUMAN07799
OG0001243	TCONS_00032341.p1	HUMAN27651, HUMAN27653, HUMAN27652, HUMAN27650, HUMAN09639
OG0001245	TCONS_00030488.p1	HUMAN22661, HUMAN23851, HUMAN22660, HUMAN03158, HUMAN03156, HUMAN03157
OG0001246	TCONS_00055105.p1	HUMAN18091
OG0001247	TCONS_00047964.p1	HUMAN27059, HUMAN20519, HUMAN29792, HUMAN27060
OG0001248	TCONS_00020768.p1	HUMAN18429, HUMAN18430, HUMAN03092, HUMAN03076, HUMAN03293, HUMAN03125, HUMAN03071, HUMAN27267, HUMAN06688, HUMAN18428, HUMAN27270, HUMAN27268
OG0001249	TCONS_00053927.p1	HUMAN28497, HUMAN00860, HUMAN14396
OG0001250	TCONS_00014350.p1	HUMAN13009, HUMAN20055, HUMAN20056, HUMAN20057, HUMAN12131
OG0001251	TCONS_00007951.p1	HUMAN08159, HUMAN08158
OG0001252	TCONS_00052754.p1	HUMAN15100, HUMAN01282, HUMAN14175, HUMAN14174
OG0001253	TCONS_00048644.p1	HUMAN20377, HUMAN24966, HUMAN20379, HUMAN24965
OG0001254	TCONS_00019693.p1, TCONS_00019695.p1	HUMAN23637, HUMAN09380
OG0001255	TCONS_00015051.p1	HUMAN28258, HUMAN25482, HUMAN01216, HUMAN19038, HUMAN19039, HUMAN25595, HUMAN28179
OG0001256	TCONS_00001550.p1	HUMAN25828
OG0001261	TCONS_00043665.p1	HUMAN22947, HUMAN04078, HUMAN04079
OG0001262	TCONS_00014954.p1, TCONS_00014955.p1, TCONS_00048625.p1	HUMAN29428, HUMAN24853
OG0001263	TCONS_00031000.p1	HUMAN27745, HUMAN27744, HUMAN03309
OG0001263	TCONS_00040341.p1	HUMAN12942
OG0001264	TCONS_00008437.p1	HUMAN28020, HUMAN18861, HUMAN18860, HUMAN11601, HUMAN28023
OG0001266	TCONS_00045360.p1	HUMAN13676, HUMAN13675, HUMAN18946
OG0001267	TCONS_00044004.p1	HUMAN27473, HUMAN27475, HUMAN27477, HUMAN27476
OG0001267	TCONS_00005641.p1	HUMAN26403, HUMAN07336, HUMAN07335, HUMAN04653, HUMAN27474, HUMAN27478
OG0001268	TCONS_00029161.p1	HUMAN22451
OG0001268	TCONS_00047925.p1, TCONS_00047938.p1	HUMAN29785, HUMAN29783
OG0001270	TCONS_00014047.p1	HUMAN10267, HUMAN10268, HUMAN10266
OG0001270	TCONS_00012405.p1	HUMAN10495
OG0001271	TCONS_00055883.p1	HUMAN27281, HUMAN13161, HUMAN06386
OG0001272	TCONS_00006736.p1	HUMAN10856, HUMAN12263, HUMAN28972
OG0001273	TCONS_00027968.p1	HUMAN09957, HUMAN15061, HUMAN23537
OG0001274	TCONS_00016722.p1	HUMAN01186, HUMAN14450, HUMAN29306
OG0001275	TCONS_00000254.p1	HUMAN25458
OG0001276	TCONS_00042630.p1	HUMAN05158, HUMAN23988, HUMAN23987
OG0001278	TCONS_00017721.p1	HUMAN13574, HUMAN02569, HUMAN02570
OG0001279	TCONS_00010827.p1, TCONS_00009545.p1	HUMAN15552, HUMAN15549, HUMAN09000, HUMAN02712
OG0001280	TCONS_00028312.p1	HUMAN09972, HUMAN14369, HUMAN28522
OG0001282	TCONS_00036586.p1	HUMAN11803, HUMAN21801
OG0001284	TCONS_00055451.p1	HUMAN27205
OG0001284	TCONS_00029573.p1	HUMAN09392
OG0001287	TCONS_00043263.p1	HUMAN23780, HUMAN17479, HUMAN26326, HUMAN22569, HUMAN30270
OG0001288	TCONS_00029023.p1, TCONS_00029024.p1, TCONS_00029022.p1, TCONS_00036487.p1, TCONS_00029019.p1	HUMAN09745, HUMAN23493
OG0001289	TCONS_00015678.p1	HUMAN08449, HUMAN08450, HUMAN02661
OG0001290	TCONS_00028859.p1	HUMAN23738, HUMAN09455, HUMAN11087
OG0001291	TCONS_00031080.p1	HUMAN27542, HUMAN22728, HUMAN03289
OG0001292	TCONS_00057250.p1	HUMAN20666, HUMAN18444, HUMAN18446
OG0001293	TCONS_00005640.p1	HUMAN07380, HUMAN07387, HUMAN07382, HUMAN04647, HUMAN12393
OG0001294	TCONS_00009763.p1	HUMAN08609
OG0001295	TCONS_00038648.p1	HUMAN17913, HUMAN17912, HUMAN06527
OG0001296	TCONS_00011408.p1	HUMAN08945, HUMAN04788, HUMAN02472, HUMAN02470, HUMAN02471
OG0001297	TCONS_00024405.p1, TCONS_00025766.p1, TCONS_00025807.p1	HUMAN06849, HUMAN06850, HUMAN02321, HUMAN02322, HUMAN04265
OG0001300	TCONS_00057082.p1	HUMAN21610, HUMAN07635, HUMAN30249
OG0001302	TCONS_00052574.p1	HUMAN00934
OG0001302	TCONS_00000712.p1	HUMAN28036
OG0001304	TCONS_00007180.p1	HUMAN07987, HUMAN11035, HUMAN27849, HUMAN19007
OG0001305	TCONS_00015931.p1	HUMAN14853, HUMAN29257, HUMAN01234
OG0001306	TCONS_00053965.p1	HUMAN01015, HUMAN01014
OG0001306	TCONS_00044319.p1, TCONS_00015100.p1	HUMAN29260
OG0001308	TCONS_00031440.p1	HUMAN03202, HUMAN03203, HUMAN24361, HUMAN24360, HUMAN24359, HUMAN22496, HUMAN22495
OG0001309	TCONS_00012094.p1	HUMAN26186, HUMAN26187
OG0001310	TCONS_00010057.p1	HUMAN09337
OG0001310	TCONS_00055780.p1	HUMAN17449
OG0001311	TCONS_00032479.p1, TCONS_00032484.p1	HUMAN02788
OG0001311	TCONS_00056147.p1	HUMAN20553
OG0001312	TCONS_00001714.p1, TCONS_00001713.p1, TCONS_00002103.p1, TCONS_00002111.p1, TCONS_00001719.p1, TCONS_00001717.p1, TCONS_00001716.p1	HUMAN19586, HUMAN21384, HUMAN21385
OG0001315	TCONS_00014454.p1	HUMAN13233, HUMAN25875
OG0001316	TCONS_00057280.p1, TCONS_00057278.p1	HUMAN22411, HUMAN07507
OG0001317	TCONS_00049742.p1	HUMAN26503, HUMAN26504
OG0001317	TCONS_00014807.p1	HUMAN29334
OG0001318	TCONS_00037597.p1	HUMAN16547, HUMAN16548
OG0001318	TCONS_00000323.p1	HUMAN21172, HUMAN21173
OG0001319	TCONS_00021346.p1	HUMAN30310, HUMAN21541
OG0001320	TCONS_00008070.p1	HUMAN27988, HUMAN27989
OG0001320	TCONS_00011107.p1	HUMAN09292, HUMAN16855, HUMAN16856
OG0001321	TCONS_00020758.p1	HUMAN09666, HUMAN14539
OG0001322	TCONS_00024457.p1, TCONS_00025837.p1	HUMAN03840
OG0001322	TCONS_00052945.p1, TCONS_00010993.p1	HUMAN15479, HUMAN15481
OG0001324	TCONS_00003858.p1	HUMAN21897
OG0001325	TCONS_00030056.p1	HUMAN22707, HUMAN22706, HUMAN22705, HUMAN22708, HUMAN22704, HUMAN22702, HUMAN22701, HUMAN22703
OG0001326	TCONS_00026256.p1	HUMAN03521, HUMAN17368, HUMAN17367, HUMAN03603
OG0001327	TCONS_00017808.p1	HUMAN05826, HUMAN05829
OG0001327	TCONS_00049776.p1	HUMAN06766, HUMAN06765, HUMAN02428
OG0001329	TCONS_00048277.p1	HUMAN02833, HUMAN23067, HUMAN29619, HUMAN29617, HUMAN29618, HUMAN29616, HUMAN29615
OG0001330	TCONS_00005458.p1	HUMAN10847, HUMAN12308, HUMAN07235, HUMAN10846
OG0001331	TCONS_00026610.p1	HUMAN22233, HUMAN22231, HUMAN24247, HUMAN13998
OG0001332	TCONS_00027699.p1, TCONS_00027701.p1, TCONS_00053843.p1, TCONS_00053855.p1, TCONS_00052808.p1, TCONS_00052769.p1	HUMAN29020
OG0001333	TCONS_00025266.p1, TCONS_00025267.p1	HUMAN20118, HUMAN10313
OG0001337	TCONS_00027920.p1	HUMAN28621
OG0001337	TCONS_00053433.p1	HUMAN13008, HUMAN23397, HUMAN00896
OG0001339	TCONS_00026171.p1, TCONS_00026170.p1	HUMAN25156, HUMAN16668
OG0001341	TCONS_00048366.p1	HUMAN13955
OG0001344	TCONS_00018888.p1	HUMAN17092
OG0001345	TCONS_00047431.p1	HUMAN21450, HUMAN21451, HUMAN21449
OG0001348	TCONS_00022180.p1	HUMAN07855, HUMAN07854, HUMAN07853, HUMAN30397, HUMAN07856
OG0001350	TCONS_00053150.p1	HUMAN01020
OG0001351	TCONS_00021610.p1	HUMAN29755
OG0001352	TCONS_00012681.p1, TCONS_00012678.p1, TCONS_00012887.p1	HUMAN27857
OG0001353	TCONS_00010417.p1	HUMAN18781
OG0001353	TCONS_00045371.p1	HUMAN18886
OG0001354	TCONS_00034241.p1, TCONS_00034036.p1, TCONS_00034003.p1, TCONS_00034245.p1	HUMAN01464, HUMAN01976
OG0001354	TCONS_00053631.p1	HUMAN14805, HUMAN00966, HUMAN28999
OG0001355	TCONS_00026467.p1	HUMAN24307, HUMAN22136, HUMAN03703
OG0001356	TCONS_00048301.p1	HUMAN21113, HUMAN06242, HUMAN29863
OG0001357	TCONS_00010548.p1	HUMAN16834, HUMAN04831, HUMAN09251, HUMAN15455
OG0001358	TCONS_00001805.p1	HUMAN25707
OG0001358	TCONS_00001804.p1	HUMAN19357, HUMAN30325, HUMAN25709
OG0001359	TCONS_00028861.p1	HUMAN14362, HUMAN09431, HUMAN09433, HUMAN09435, HUMAN09434, HUMAN09432, HUMAN28720, HUMAN01773
OG0001360	TCONS_00031072.p1, TCONS_00030296.p1	HUMAN22743, HUMAN22745, HUMAN22744
OG0001361	TCONS_00036862.p1	HUMAN04301, HUMAN04302, HUMAN20294
OG0001362	TCONS_00013164.p1	HUMAN13462
OG0001363	TCONS_00016669.p1	HUMAN02206
OG0001364	TCONS_00051517.p1	HUMAN26706, HUMAN18389
OG0001365	TCONS_00042304.p1, TCONS_00042253.p1	HUMAN29603, HUMAN22759
OG0001367	TCONS_00016768.p1	HUMAN19005, HUMAN13672, HUMAN16628, HUMAN16627
OG0001368	TCONS_00011577.p1	HUMAN18786, HUMAN18785, HUMAN08633
OG0001369	TCONS_00048332.p1	HUMAN20946, HUMAN20945, HUMAN02425, HUMAN02423, HUMAN02424, HUMAN06739, HUMAN06737, HUMAN06738
OG0001370	TCONS_00019682.p1, TCONS_00019683.p1	HUMAN10042
OG0001370	TCONS_00057094.p1, TCONS_00057111.p1	HUMAN18140
OG0001371	TCONS_00012767.p1, TCONS_00012769.p1, TCONS_00012770.p1	HUMAN13498, HUMAN13497
OG0001372	TCONS_00054675.p1, TCONS_00054608.p1	HUMAN01152
OG0001373	TCONS_00014401.p1	HUMAN10734, HUMAN12051, HUMAN20117, HUMAN10735
OG0001374	TCONS_00031942.p1, TCONS_00031918.p1, TCONS_00031943.p1	HUMAN09540, HUMAN09539, HUMAN01648, HUMAN19827, HUMAN19826, HUMAN30333
OG0001375	TCONS_00044703.p1	HUMAN25598, HUMAN00578, HUMAN00579
OG0001376	TCONS_00018825.p1	HUMAN05736, HUMAN05737, HUMAN15337, HUMAN19374
OG0001377	TCONS_00027252.p1	HUMAN18646, HUMAN03684, HUMAN03683
OG0001378	TCONS_00027073.p1	HUMAN27599, HUMAN03792, HUMAN24020, HUMAN22165, HUMAN24018
OG0001379	TCONS_00021662.p1	HUMAN21524
OG0001380	TCONS_00043303.p1	HUMAN23909, HUMAN23910, HUMAN04086, HUMAN22347
OG0001381	TCONS_00029211.p1	HUMAN14335, HUMAN09185, HUMAN28764
OG0001382	TCONS_00024485.p1	HUMAN16046, HUMAN16047, HUMAN16048
OG0001383	TCONS_00015025.p1	HUMAN29253
OG0001383	TCONS_00015024.p1	HUMAN01927
OG0001384	TCONS_00021606.p1	HUMAN07653, HUMAN07663
OG0001386	TCONS_00003437.p1	HUMAN12570, HUMAN20602
OG0001387	TCONS_00027369.p1	HUMAN17998, HUMAN17999, HUMAN06632
OG0001388	TCONS_00028259.p1	HUMAN29687, HUMAN30613, HUMAN30096
OG0001389	TCONS_00043368.p1	HUMAN30191, HUMAN30192, HUMAN26892, HUMAN26891, HUMAN17427, HUMAN22895, HUMAN24383
OG0001394	TCONS_00042205.p1	HUMAN27467
OG0001395	TCONS_00001269.p1	HUMAN00543, HUMAN25836, HUMAN30091, HUMAN29663
OG0001397	TCONS_00027541.p1	HUMAN24255, HUMAN03558
OG0001397	TCONS_00027564.p1	HUMAN03597
OG0001398	TCONS_00043223.p1, TCONS_00018371.p1, TCONS_00017171.p1, TCONS_00018359.p1, TCONS_00018370.p1, TCONS_00018366.p1, TCONS_00018361.p1, TCONS_00018360.p1	HUMAN30494, HUMAN20842
OG0001399	TCONS_00022398.p1	HUMAN07651
OG0001399	TCONS_00007181.p1	HUMAN18963, HUMAN18962, HUMAN11037
OG0001400	TCONS_00003167.p1	HUMAN12867, HUMAN17921, HUMAN26085, HUMAN26084
OG0001401	TCONS_00022749.p1	HUMAN29769
OG0001402	TCONS_00005726.p1	HUMAN19950, HUMAN10942, HUMAN12422, HUMAN12423
OG0001403	TCONS_00002237.p1	HUMAN12235, HUMAN27256, HUMAN07228
OG0001404	TCONS_00050590.p1	HUMAN00261
OG0001405	TCONS_00007646.p1	HUMAN20770, HUMAN11517, HUMAN20772
OG0001406	TCONS_00022836.p1	HUMAN21841, HUMAN21842, HUMAN21839, HUMAN11946, HUMAN30432
OG0001408	TCONS_00016566.p1	HUMAN29375, HUMAN14479, HUMAN01329
OG0001409	TCONS_00038524.p1, TCONS_00038499.p1	HUMAN15650, HUMAN21360
OG0001410	TCONS_00042951.p1	HUMAN18249, HUMAN18248, HUMAN25904, HUMAN25903
OG0001410	TCONS_00008083.p1	HUMAN27965
OG0001411	TCONS_00041687.p1	HUMAN22432, HUMAN22431
OG0001412	TCONS_00027477.p1	HUMAN07098, HUMAN07099
OG0001413	TCONS_00044664.p1	HUMAN07320, HUMAN07322
OG0001413	TCONS_00029113.p1	HUMAN10070
OG0001414	TCONS_00026027.p1	HUMAN26311
OG0001415	TCONS_00006895.p1	HUMAN19750, HUMAN19752, HUMAN19751
OG0001416	TCONS_00050156.p1, TCONS_00050314.p1	HUMAN00172, HUMAN11820
OG0001417	TCONS_00008242.p1	HUMAN14062
OG0001418	TCONS_00053261.p1	HUMAN14784, HUMAN00927, HUMAN14783, HUMAN15009, HUMAN23427
OG0001419	TCONS_00009513.p1	HUMAN02692, HUMAN09220, HUMAN09218, HUMAN09217
OG0001420	TCONS_00009691.p1	HUMAN08488, HUMAN08485, HUMAN29818, HUMAN29817, HUMAN20933, HUMAN06265, HUMAN06264, HUMAN06263
OG0001421	TCONS_00010948.p1	HUMAN04839, HUMAN08948, HUMAN02585
OG0001422	TCONS_00020040.p1	HUMAN17890, HUMAN26120, HUMAN17892, HUMAN26121, HUMAN17893, HUMAN17891
OG0001423	TCONS_00016102.p1	HUMAN24902, HUMAN29347, HUMAN02230, HUMAN14689
OG0001424	TCONS_00019781.p1	HUMAN04853, HUMAN04852
OG0001425	TCONS_00055828.p1	HUMAN25779, HUMAN09840, HUMAN23345, HUMAN23344
OG0001426	TCONS_00051215.p1	HUMAN21982, HUMAN21981, HUMAN00034, HUMAN11906
OG0001427	TCONS_00044888.p1	HUMAN18845, HUMAN13853, HUMAN16726
OG0001428	TCONS_00052139.p1	HUMAN00193, HUMAN11816, HUMAN05892
OG0001429	TCONS_00001354.p1	HUMAN29656, HUMAN00568, HUMAN25640
OG0001430	TCONS_00004460.p1	HUMAN16816, HUMAN04840, HUMAN09331, HUMAN15891
OG0001431	TCONS_00020789.p1, TCONS_00020777.p1	HUMAN26191, HUMAN12528, HUMAN12527, HUMAN12529
OG0001433	TCONS_00046923.p1, TCONS_00045556.p1, TCONS_00045707.p1, TCONS_00046712.p1, TCONS_00004821.p1, TCONS_00004842.p1	HUMAN00642, HUMAN28267, HUMAN25243
OG0001434	TCONS_00054778.p1, TCONS_00012407.p1	HUMAN25376
OG0001435	TCONS_00051317.p1, TCONS_00051315.p1, TCONS_00051316.p1, TCONS_00051319.p1, TCONS_00051318.p1, TCONS_00051320.p1	HUMAN21986
OG0001436	TCONS_00004082.p1	HUMAN28951
OG0001437	TCONS_00007207.p1	HUMAN27963, HUMAN27962
OG0001438	TCONS_00021322.p1, TCONS_00051278.p1	HUMAN21820
OG0001439	TCONS_00035542.p1	HUMAN05537, HUMAN05538, HUMAN05539, HUMAN21316
OG0001440	TCONS_00003932.p1	HUMAN02970, HUMAN12486
OG0001441	TCONS_00046300.p1	HUMAN00513, HUMAN00512, HUMAN19296, HUMAN27941, HUMAN27940, HUMAN27608, HUMAN27607
OG0001445	TCONS_00056905.p1	HUMAN18716, HUMAN15579
OG0001446	TCONS_00004673.p1, TCONS_00004625.p1, TCONS_00004626.p1	HUMAN12296
OG0001447	TCONS_00010490.p1	HUMAN09319, HUMAN15576, HUMAN02582
OG0001449	TCONS_00046612.p1	HUMAN16746
OG0001449	TCONS_00002763.p1	HUMAN18160
OG0001450	TCONS_00048453.p1	HUMAN05768
OG0001451	TCONS_00004894.p1	HUMAN07097
OG0001451	TCONS_00037357.p1	HUMAN04374, HUMAN04373
OG0001452	TCONS_00027858.p1	HUMAN23508, HUMAN10054, HUMAN01876
OG0001453	TCONS_00056599.p1, TCONS_00056595.p1	HUMAN01855, HUMAN01856, HUMAN01854, HUMAN09711, HUMAN21615
OG0001454	TCONS_00043944.p1	HUMAN24124, HUMAN24121, HUMAN24122, HUMAN22861
OG0001456	TCONS_00005200.p1	HUMAN21609
OG0001457	TCONS_00045851.p1	HUMAN25257, HUMAN25224, HUMAN25255, HUMAN28271, HUMAN25256
OG0001458	TCONS_00044257.p1, TCONS_00043120.p1	HUMAN23064, HUMAN30171, HUMAN29608, HUMAN29609
OG0001459	TCONS_00023671.p1	HUMAN15951, HUMAN15950, HUMAN06132
OG0001460	TCONS_00030596.p1	HUMAN03122
OG0001461	TCONS_00047793.p1	HUMAN26887
OG0001462	TCONS_00011315.p1	HUMAN02581
OG0001463	TCONS_00011081.p1, TCONS_00018328.p1, TCONS_00008120.p1, TCONS_00008119.p1, TCONS_00008118.p1	HUMAN11278, HUMAN11277, HUMAN11276, HUMAN11625
OG0001464	TCONS_00003129.p1, TCONS_00004140.p1	HUMAN17749, HUMAN28956, HUMAN06437, HUMAN06436
OG0001466	TCONS_00045986.p1	HUMAN20834, HUMAN20833
OG0001466	TCONS_00031269.p1	HUMAN23853
OG0001467	TCONS_00015363.p1	HUMAN29474, HUMAN29473
OG0001467	TCONS_00044104.p1	HUMAN05267
OG0001468	TCONS_00002865.p1	HUMAN18215, HUMAN20670, HUMAN20673, HUMAN20674
OG0001469	TCONS_00027694.p1	HUMAN17357
OG0001469	TCONS_00000853.p1	HUMAN25406
OG0001470	TCONS_00005096.p1	HUMAN12346
OG0001472	TCONS_00056649.p1	HUMAN26528, HUMAN26527
OG0001472	TCONS_00007782.p1	HUMAN19245
OG0001473	TCONS_00006544.p1, TCONS_00012738.p1	HUMAN20094, HUMAN20096, HUMAN20095
OG0001474	TCONS_00013132.p1, TCONS_00013137.p1	HUMAN10738, HUMAN10739, HUMAN10736
OG0001475	TCONS_00051280.p1	HUMAN00232, HUMAN00233
OG0001476	TCONS_00002255.p1	HUMAN25765, HUMAN19427
OG0001477	TCONS_00013652.p1	HUMAN10645, HUMAN05918, HUMAN10651, HUMAN10648, HUMAN10647, HUMAN10646, HUMAN03461, HUMAN03460, HUMAN10649, HUMAN10650
OG0001478	TCONS_00012152.p1	HUMAN09291, HUMAN09290
OG0001478	TCONS_00013231.p1	HUMAN20166
OG0001479	TCONS_00014656.p1	HUMAN01339, HUMAN14506, HUMAN14504, HUMAN29189
OG0001480	TCONS_00003234.p1	HUMAN18069, HUMAN20722, HUMAN20724, HUMAN20721
OG0001481	TCONS_00012087.p1	HUMAN25752, HUMAN25750, HUMAN08503
OG0001482	TCONS_00006749.p1	HUMAN10795, HUMAN07131, HUMAN11775
OG0001483	TCONS_00021245.p1	HUMAN12748
OG0001484	TCONS_00048364.p1	HUMAN29782, HUMAN20929
OG0001485	TCONS_00028850.p1	HUMAN10085, HUMAN23594, HUMAN23593
OG0001486	TCONS_00037094.p1	HUMAN25054, HUMAN25055, HUMAN05819, HUMAN05818, HUMAN05067
OG0001487	TCONS_00007593.p1	HUMAN11646, HUMAN13747, HUMAN11647
OG0001488	TCONS_00055671.p1	HUMAN04093
OG0001489	TCONS_00054283.p1	HUMAN01073, HUMAN23289
OG0001490	TCONS_00012203.p1	HUMAN08811, HUMAN18744, HUMAN04949, HUMAN08810
OG0001492	TCONS_00005267.p1	HUMAN10841, HUMAN12245, HUMAN12244, HUMAN10843, HUMAN10842, HUMAN07105
OG0001493	TCONS_00031167.p1	HUMAN03318
OG0001495	TCONS_00048693.p1	HUMAN29635, HUMAN29702, HUMAN29695, HUMAN29694, HUMAN29703, HUMAN29696, HUMAN30419, HUMAN09160, HUMAN09187, HUMAN21896, HUMAN30065, HUMAN29940, HUMAN29941, HUMAN29903, HUMAN29939, HUMAN09161
OG0001496	TCONS_00039896.p1, TCONS_00040861.p1, TCONS_00039895.p1, TCONS_00039892.p1, TCONS_00039891.p1, TCONS_00034325.p1, TCONS_00034360.p1, TCONS_00040896.p1, TCONS_00040486.p1, TCONS_00039496.p1	HUMAN17133
OG0001498	TCONS_00026534.p1, TCONS_00026541.p1, TCONS_00027623.p1, TCONS_00027625.p1, TCONS_00027619.p1, TCONS_00026524.p1, TCONS_00040940.p1, TCONS_00040964.p1, TCONS_00040927.p1, TCONS_00040947.p1, TCONS_00040925.p1, TCONS_00039988.p1, TCONS_00040909.p1	HUMAN21395
OG0001500	TCONS_00022411.p1	HUMAN18402, HUMAN29893, HUMAN07602, HUMAN18404
OG0001501	TCONS_00010295.p1	HUMAN08312, HUMAN18751
OG0001502	TCONS_00013726.p1	HUMAN13214, HUMAN13217
OG0001503	TCONS_00028803.p1	HUMAN15059
OG0001503	TCONS_00013935.p1	HUMAN06046
OG0001504	TCONS_00007169.p1, TCONS_00007167.p1, TCONS_00007160.p1	HUMAN18887
OG0001505	TCONS_00050549.p1	HUMAN21797, HUMAN11901, HUMAN11900, HUMAN03341
OG0001506	TCONS_00050869.p1	HUMAN21790, HUMAN00091
OG0001507	TCONS_00010776.p1	HUMAN08598, HUMAN02657, HUMAN02656, HUMAN04900
OG0001508	TCONS_00023984.p1, TCONS_00023973.p1	HUMAN04219, HUMAN15958
OG0001509	TCONS_00004940.p1	HUMAN26764, HUMAN26757, HUMAN07197
OG0001509	TCONS_00022723.p1	HUMAN07903, HUMAN21589
OG0001510	TCONS_00026658.p1	HUMAN28447, HUMAN14672, HUMAN14673, HUMAN01094, HUMAN01092
OG0001511	TCONS_00021340.p1	HUMAN18319, HUMAN26693
OG0001515	TCONS_00005036.p1	HUMAN19954, HUMAN12421, HUMAN12420, HUMAN19953
OG0001516	TCONS_00053429.p1	HUMAN23268
OG0001517	TCONS_00047283.p1	HUMAN23303, HUMAN21286
OG0001519	TCONS_00042625.p1	HUMAN14377, HUMAN14392, HUMAN28529, HUMAN28530, HUMAN14393, HUMAN10026
OG0001520	TCONS_00017186.p1	HUMAN00622, HUMAN16656
OG0001521	TCONS_00028338.p1	HUMAN15053, HUMAN23542, HUMAN01808
OG0001522	TCONS_00035035.p1	HUMAN15759
OG0001523	TCONS_00024797.p1, TCONS_00024757.p1	HUMAN04118, HUMAN06164
OG0001524	TCONS_00026880.p1	HUMAN03522
OG0001524	TCONS_00007581.p1	HUMAN11149
OG0001525	TCONS_00006334.p1, TCONS_00006337.p1, TCONS_00006338.p1, TCONS_00052185.p1, TCONS_00006333.p1	HUMAN07206
OG0001526	TCONS_00016353.p1	HUMAN02271, HUMAN29404
OG0001527	TCONS_00005265.p1	HUMAN11842
OG0001527	TCONS_00007061.p1	HUMAN28194
OG0001528	TCONS_00050868.p1	HUMAN11910, HUMAN21992, HUMAN21991, HUMAN21990
OG0001529	TCONS_00056759.p1	HUMAN20862, HUMAN20863, HUMAN20865, HUMAN20919, HUMAN24918
OG0001530	TCONS_00029931.p1	HUMAN03101, HUMAN22628, HUMAN22629
OG0001532	TCONS_00050672.p1	HUMAN00046, HUMAN11888, HUMAN21869
OG0001533	TCONS_00003831.p1, TCONS_00003830.p1	HUMAN07789, HUMAN21380
