TCONS_00019737	OFUSG13305.1.p1
TCONS_00030041	OFUSG10222.1.p1
TCONS_00006489	OFUSG24129.1.p1
TCONS_00031600	OFUSG17100.1.p1
TCONS_00027921	OFUSG09305.1.p1
TCONS_00041898	OFUSG02484.1.p1
TCONS_00043258	OFUSG02485.1.p1
TCONS_00055769	OFUSG16223.1.p1
TCONS_00014081	OFUSG04263.1.p1
TCONS_00054603	OFUSG21035.1.p1
TCONS_00034930	OFUSG25963.1.p1
TCONS_00009329	OFUSG05056.1.p1
TCONS_00053983	OFUSG18073.1.p1
TCONS_00054330	OFUSG26256.1.p1
TCONS_00007578	OFUSG05283.1.p1
TCONS_00041998	OFUSG03652.1.p1
TCONS_00031424	OFUSG18109.1.p1
TCONS_00005719	OFUSG15086.1.p1
TCONS_00006818	OFUSG24111.1.p1
TCONS_00006434	OFUSG22451.1.p1
TCONS_00041730	OFUSG12017.1.p1
TCONS_00007023	OFUSG22964.1.p1
TCONS_00003519	OFUSG25208.1.p1
TCONS_00019704	OFUSG13628.1.p1
TCONS_00008298	OFUSG05262.1.p1
TCONS_00028542	OFUSG03861.1.p1
TCONS_00055833	OFUSG07902.1.p1
TCONS_00031086	OFUSG11040.1.p1
TCONS_00026712	OFUSG06018.1.p1
TCONS_00017207	OFUSG05737.1.p1
TCONS_00021104	OFUSG14358.1.p1
TCONS_00024220	OFUSG15459.1.p1
TCONS_00036441	OFUSG00108.1.p1
TCONS_00021762	OFUSG14675.1.p1
TCONS_00004598	OFUSG24187.1.p1
TCONS_00052629	OFUSG17480.1.p1
TCONS_00036882	OFUSG01608.1.p1
TCONS_00055345	OFUSG16289.1.p1
TCONS_00001884	OFUSG20884.1.p1
TCONS_00010472	OFUSG25182.1.p1
TCONS_00022716	OFUSG14117.1.p1
TCONS_00038094	OFUSG01359.1.p1
TCONS_00031075	OFUSG17905.1.p1
TCONS_00012712	OFUSG10458.1.p1
TCONS_00001268	OFUSG00715.1.p1
TCONS_00029236	OFUSG09158.1.p1
TCONS_00012193	OFUSG11700.1.p1
TCONS_00030894	OFUSG17922.1.p1
TCONS_00018638	OFUSG23486.1.p1
TCONS_00006812	OFUSG22530.1.p1
TCONS_00047298	OFUSG18772.1.p1
TCONS_00027869	OFUSG23994.1.p1
TCONS_00013758	OFUSG10400.1.p1
TCONS_00022271	OFUSG13920.1.p1
TCONS_00030505	OFUSG11109.1.p1
TCONS_00050112	OFUSG17397.1.p1
TCONS_00050056	OFUSG21106.1.p1
TCONS_00030276	OFUSG18424.1.p1
TCONS_00007524	OFUSG05122.1.p1
TCONS_00012059	OFUSG11469.1.p1
TCONS_00009871	OFUSG12064.1.p1
TCONS_00047232	OFUSG05685.1.p1
TCONS_00042907	OFUSG03347.1.p1
TCONS_00043600	OFUSG03330.1.p1
TCONS_00055931	OFUSG04034.1.p1
TCONS_00057134	OFUSG04424.1.p1
TCONS_00047466	OFUSG06804.1.p1
TCONS_00055708	OFUSG16677.1.p1
TCONS_00014559	OFUSG00008.1.p1
TCONS_00020164	OFUSG17193.1.p1
TCONS_00048306	OFUSG06361.1.p1
TCONS_00043827	OFUSG02473.1.p1
TCONS_00011143	OFUSG05532.1.p1
TCONS_00010405	OFUSG12472.1.p1
TCONS_00010968	OFUSG12330.1.p1
TCONS_00032893	OFUSG23716.1.p1
TCONS_00013124	OFUSG18002.1.p1
TCONS_00003491	OFUSG25355.1.p1
TCONS_00022326	OFUSG24708.1.p1
TCONS_00020684	OFUSG17063.1.p1
TCONS_00015372	OFUSG08276.1.p1
TCONS_00009762	OFUSG11299.1.p1
TCONS_00043824	OFUSG01933.1.p1
TCONS_00031876	OFUSG04229.1.p1
TCONS_00005609	OFUSG22297.1.p1
TCONS_00014549	OFUSG10854.1.p1
TCONS_00020701	OFUSG07596.1.p1
TCONS_00017870	OFUSG23339.1.p1
TCONS_00017881	OFUSG23334.1.p1
TCONS_00017873	OFUSG23335.1.p1
TCONS_00021077	OFUSG24750.1.p1
TCONS_00003470	OFUSG11491.1.p1
TCONS_00028392	OFUSG08598.1.p1
TCONS_00010492	OFUSG21658.1.p1
TCONS_00015242	OFUSG08388.1.p1
TCONS_00053218	OFUSG21360.1.p1
TCONS_00009779	OFUSG11347.1.p1
TCONS_00021216	OFUSG26881.1.p1
TCONS_00017195	OFUSG10654.1.p1
TCONS_00020217	OFUSG16015.1.p1
TCONS_00038647	OFUSG23430.1.p1
TCONS_00050566	OFUSG16918.1.p1
TCONS_00039861	OFUSG03123.1.p1
TCONS_00008835	OFUSG04841.1.p1
TCONS_00006152	OFUSG07134.1.p1
TCONS_00053982	OFUSG23517.1.p1
TCONS_00004663	OFUSG22403.1.p1
TCONS_00006590	OFUSG24177.1.p1
TCONS_00018323	OFUSG13166.1.p1
TCONS_00041896	OFUSG02486.1.p1
TCONS_00009697	OFUSG21708.1.p1
TCONS_00007095	OFUSG18913.1.p1
TCONS_00046615	OFUSG16690.1.p1
TCONS_00036061	OFUSG04684.1.p1
TCONS_00031061	OFUSG10722.1.p1
TCONS_00031042	OFUSG21017.1.p1
TCONS_00043176	OFUSG21015.1.p1
TCONS_00052837	OFUSG12774.1.p1
TCONS_00021368	OFUSG25843.1.p1
TCONS_00029840	OFUSG19622.1.p1
TCONS_00055495	OFUSG16748.1.p1
TCONS_00027741	OFUSG05984.1.p1
TCONS_00018904	OFUSG20257.1.p1
TCONS_00008504	OFUSG20541.1.p1
TCONS_00051568	OFUSG17154.1.p1
TCONS_00027129	OFUSG19246.1.p1
TCONS_00010219	OFUSG12312.1.p1
TCONS_00029367	OFUSG09269.1.p1
TCONS_00001138	OFUSG01516.1.p1
TCONS_00011494	OFUSG25224.1.p1
TCONS_00008587	OFUSG05227.1.p1
TCONS_00006364	OFUSG22699.1.p1
TCONS_00042903	OFUSG03656.1.p1
TCONS_00042542	OFUSG02818.1.p1
TCONS_00003023	OFUSG24889.1.p1
TCONS_00055016	OFUSG26036.1.p1
TCONS_00032359	OFUSG16185.1.p1
TCONS_00010944	OFUSG21803.1.p1
TCONS_00052218	OFUSG16955.1.p1
TCONS_00032848	OFUSG26423.1.p1
TCONS_00043221	OFUSG02116.1.p1
TCONS_00043220	OFUSG02118.1.p1
TCONS_00027209	OFUSG05564.1.p1
TCONS_00005372	OFUSG24083.1.p1
TCONS_00033488	OFUSG23468.1.p1
TCONS_00051636	OFUSG24041.1.p1
TCONS_00052215	OFUSG23686.1.p1
TCONS_00017300	OFUSG21415.1.p1
TCONS_00006085	OFUSG14871.1.p1
TCONS_00019229	OFUSG04589.1.p1
TCONS_00001820	OFUSG00654.1.p1
TCONS_00017772	OFUSG21086.1.p1
TCONS_00007057	OFUSG05267.1.p1
TCONS_00027408	OFUSG19388.1.p1
TCONS_00019050	OFUSG21344.1.p1
TCONS_00029430	OFUSG20659.1.p1
TCONS_00021229	OFUSG14006.1.p1
TCONS_00020768	OFUSG23624.1.p1
TCONS_00053927	OFUSG17354.1.p1
TCONS_00019290	OFUSG21037.1.p1
TCONS_00007951	OFUSG04849.1.p1
TCONS_00048644	OFUSG06702.1.p1
TCONS_00015051	OFUSG26725.1.p1
TCONS_00043665	OFUSG02179.1.p1
TCONS_00040341	OFUSG09274.1.p1
TCONS_00008437	OFUSG23132.1.p1
TCONS_00027074	OFUSG06980.1.p1
TCONS_00045360	OFUSG16970.1.p1
TCONS_00044004	OFUSG03362.1.p1
TCONS_00005641	OFUSG22343.1.p1
TCONS_00029161	OFUSG09833.1.p1
TCONS_00014047	OFUSG18535.1.p1
TCONS_00012405	OFUSG05149.1.p1
TCONS_00000254	OFUSG00063.1.p1
TCONS_00017721	OFUSG21422.1.p1
TCONS_00028312	OFUSG08879.1.p1
TCONS_00010045	OFUSG11373.1.p1
TCONS_00055451	OFUSG16498.1.p1
TCONS_00026447	OFUSG19139.1.p1
TCONS_00043263	OFUSG02471.1.p1
TCONS_00015678	OFUSG23642.1.p1
TCONS_00031080	OFUSG10221.1.p1
TCONS_00057250	OFUSG16670.1.p1
TCONS_00005640	OFUSG22587.1.p1
TCONS_00011408	OFUSG22042.1.p1
TCONS_00024369	OFUSG07796.1.p1
TCONS_00052574	OFUSG26569.1.p1
TCONS_00000712	OFUSG15207.1.p1
TCONS_00041798	OFUSG18590.1.p1
TCONS_00007180	OFUSG05114.1.p1
TCONS_00015931	OFUSG08198.1.p1
TCONS_00053965	OFUSG23546.1.p1
TCONS_00031440	OFUSG10535.1.p1
TCONS_00010057	OFUSG11461.1.p1
TCONS_00001103	OFUSG01280.1.p1
TCONS_00014454	OFUSG10828.1.p1
TCONS_00037597	OFUSG00323.1.p1
TCONS_00000323	OFUSG00343.1.p1
TCONS_00008070	OFUSG23083.1.p1
TCONS_00020758	OFUSG16548.1.p1
TCONS_00003858	OFUSG16607.1.p1
TCONS_00030056	OFUSG10884.1.p1
TCONS_00026256	OFUSG19214.1.p1
TCONS_00017808	OFUSG12772.1.p1
TCONS_00049776	OFUSG06432.1.p1
TCONS_00032934	OFUSG24276.1.p1
TCONS_00033319	OFUSG13559.1.p1
TCONS_00005458	OFUSG15141.1.p1
TCONS_00026610	OFUSG06502.1.p1
TCONS_00027920	OFUSG20188.1.p1
TCONS_00053433	OFUSG21230.1.p1
TCONS_00043058	OFUSG21369.1.p1
TCONS_00048366	OFUSG06041.1.p1
TCONS_00018888	OFUSG10181.1.p1
TCONS_00047431	OFUSG06158.1.p1
TCONS_00021610	OFUSG24770.1.p1
TCONS_00010417	OFUSG21880.1.p1
TCONS_00053631	OFUSG21208.1.p1
TCONS_00026467	OFUSG06812.1.p1
TCONS_00001805	OFUSG00575.1.p1
TCONS_00013164	OFUSG10756.1.p1
TCONS_00011577	OFUSG11560.1.p1
TCONS_00009173	OFUSG20231.1.p1
TCONS_00014401	OFUSG10557.1.p1
TCONS_00044703	OFUSG17328.1.p1
TCONS_00018825	OFUSG09428.1.p1
TCONS_00027073	OFUSG06638.1.p1
TCONS_00021662	OFUSG25798.1.p1
TCONS_00043303	OFUSG02941.1.p1
TCONS_00029211	OFUSG08848.1.p1
TCONS_00028259	OFUSG03415.1.p1
TCONS_00042205	OFUSG03003.1.p1
TCONS_00027541	OFUSG18946.1.p1
TCONS_00027564	OFUSG05696.1.p1
TCONS_00003167	OFUSG16752.1.p1
TCONS_00022749	OFUSG14256.1.p1
TCONS_00005726	OFUSG15266.1.p1
TCONS_00050590	OFUSG13591.1.p1
TCONS_00039483	OFUSG08687.1.p1
TCONS_00054962	OFUSG11449.1.p1
TCONS_00042951	OFUSG03571.1.p1
TCONS_00008083	OFUSG05214.1.p1
TCONS_00041687	OFUSG03508.1.p1
TCONS_00027477	OFUSG18887.1.p1
TCONS_00044664	OFUSG22121.1.p1
TCONS_00026027	OFUSG18118.1.p1
TCONS_00006895	OFUSG15519.1.p1
TCONS_00008242	OFUSG23096.1.p1
TCONS_00053261	OFUSG17720.1.p1
TCONS_00009513	OFUSG12217.1.p1
TCONS_00051215	OFUSG13058.1.p1
TCONS_00012407	OFUSG01506.1.p1
TCONS_00012406	OFUSG01494.1.p1
TCONS_00004082	OFUSG04236.1.p1
TCONS_00007207	OFUSG20380.1.p1
TCONS_00003932	OFUSG16509.1.p1
TCONS_00009145	OFUSG12251.1.p1
TCONS_00046300	OFUSG21490.1.p1
TCONS_00056905	OFUSG25750.1.p1
TCONS_00010490	OFUSG12539.1.p1
TCONS_00019222	OFUSG23566.1.p1
TCONS_00046612	OFUSG23473.1.p1
TCONS_00002763	OFUSG04436.1.p1
TCONS_00004894	OFUSG25146.1.p1
TCONS_00037357	OFUSG01699.1.p1
TCONS_00052479	OFUSG21479.1.p1
TCONS_00005200	OFUSG19840.1.p1
TCONS_00045851	OFUSG26319.1.p1
TCONS_00023671	OFUSG26657.1.p1
TCONS_00011315	OFUSG11538.1.p1
TCONS_00031269	OFUSG17818.1.p1
TCONS_00015363	OFUSG05523.1.p1
TCONS_00044104	OFUSG05528.1.p1
TCONS_00002865	OFUSG16624.1.p1
TCONS_00027694	OFUSG19276.1.p1
TCONS_00000853	OFUSG01366.1.p1
TCONS_00005096	OFUSG23956.1.p1
TCONS_00056649	OFUSG15801.1.p1
TCONS_00006544	OFUSG18207.1.p1
TCONS_00044091	OFUSG22251.1.p1
TCONS_00051280	OFUSG17648.1.p1
TCONS_00013652	OFUSG10650.1.p1
TCONS_00012090	OFUSG26797.1.p1
TCONS_00012087	OFUSG26787.1.p1
TCONS_00006749	OFUSG22337.1.p1
TCONS_00054963	OFUSG07909.1.p1
TCONS_00021245	OFUSG10055.1.p1
TCONS_00048364	OFUSG06287.1.p1
TCONS_00028850	OFUSG09235.1.p1
TCONS_00037094	OFUSG00394.1.p1
TCONS_00055671	OFUSG16759.1.p1
TCONS_00054283	OFUSG17036.1.p1
TCONS_00012203	OFUSG25092.1.p1
TCONS_00013366	OFUSG18021.1.p1
TCONS_00005267	OFUSG23987.1.p1
TCONS_00048693	OFUSG19268.1.p1
TCONS_00040941	OFUSG14520.1.p1
TCONS_00022411	OFUSG14370.1.p1
TCONS_00010295	OFUSG12297.1.p1
TCONS_00028803	OFUSG09447.1.p1
TCONS_00013935	OFUSG11182.1.p1
TCONS_00050869	OFUSG21438.1.p1
TCONS_00010776	OFUSG11499.1.p1
TCONS_00022723	OFUSG24931.1.p1
TCONS_00026658	OFUSG23460.1.p1
TCONS_00005036	OFUSG22166.1.p1
TCONS_00053429	OFUSG17628.1.p1
TCONS_00047283	OFUSG06248.1.p1
TCONS_00017186	OFUSG17134.1.p1
TCONS_00003488	OFUSG12012.1.p1
TCONS_00035035	OFUSG09440.1.p1
TCONS_00026880	OFUSG05517.1.p1
TCONS_00007581	OFUSG20787.1.p1
TCONS_00016353	OFUSG22796.1.p1
TCONS_00005265	OFUSG15032.1.p1
TCONS_00007061	OFUSG20384.1.p1
TCONS_00050868	OFUSG11355.1.p1
TCONS_00056759	OFUSG12625.1.p1
TCONS_00029931	OFUSG10223.1.p1
TCONS_00027094	OFUSG18944.1.p1
TCONS_00014421	OFUSG10906.1.p1
TCONS_00010287	OFUSG22060.1.p1
TCONS_00029685	OFUSG09624.1.p1
TCONS_00011885	OFUSG11978.1.p1
TCONS_00010161	OFUSG21577.1.p1
TCONS_00030374	OFUSG10097.1.p1
TCONS_00002186	OFUSG00383.1.p1
TCONS_00010677	OFUSG12006.1.p1
TCONS_00023130	OFUSG07059.1.p1
TCONS_00048377	OFUSG05825.1.p1
TCONS_00009527	OFUSG21941.1.p1
TCONS_00051923	OFUSG21484.1.p1
TCONS_00022177	OFUSG14697.1.p1
TCONS_00005126	OFUSG21372.1.p1
TCONS_00014293	OFUSG17474.1.p1
TCONS_00054652	OFUSG23609.1.p1
TCONS_00008646	OFUSG22787.1.p1
TCONS_00009302	OFUSG20423.1.p1
TCONS_00013077	OFUSG10445.1.p1
TCONS_00026861	OFUSG05557.1.p1
TCONS_00000643	OFUSG09309.1.p1
TCONS_00029503	OFUSG09775.1.p1
TCONS_00057088	OFUSG07388.1.p1
TCONS_00014010	OFUSG18213.1.p1
TCONS_00015489	OFUSG08350.1.p1
TCONS_00011772	OFUSG25740.1.p1
TCONS_00005646	OFUSG24197.1.p1
TCONS_00032921	OFUSG04391.1.p1
TCONS_00026464	OFUSG06579.1.p1
TCONS_00022339	OFUSG14330.1.p1
TCONS_00048452	OFUSG19250.1.p1
TCONS_00017836	OFUSG17088.1.p1
TCONS_00000496	OFUSG01293.1.p1
TCONS_00013654	OFUSG18541.1.p1
TCONS_00049508	OFUSG19078.1.p1
TCONS_00015452	OFUSG08065.1.p1
TCONS_00027359	OFUSG06019.1.p1
TCONS_00017390	OFUSG24254.1.p1
TCONS_00018787	OFUSG13276.1.p1
TCONS_00027782	OFUSG06868.1.p1
TCONS_00026875	OFUSG06147.1.p1
TCONS_00010344	OFUSG22011.1.p1
TCONS_00015347	OFUSG07625.1.p1
TCONS_00050269	OFUSG23243.1.p1
TCONS_00015707	OFUSG07239.1.p1
TCONS_00004503	OFUSG21930.1.p1
TCONS_00043026	OFUSG03798.1.p1
TCONS_00007452	OFUSG26262.1.p1
TCONS_00049711	OFUSG19523.1.p1
TCONS_00031353	OFUSG11108.1.p1
TCONS_00054239	OFUSG13617.1.p1
TCONS_00043175	OFUSG19612.1.p1
TCONS_00003122	OFUSG16043.1.p1
TCONS_00045250	OFUSG21198.1.p1
TCONS_00042955	OFUSG02161.1.p1
TCONS_00004622	OFUSG15534.1.p1
TCONS_00000128	OFUSG01533.1.p1
TCONS_00014435	OFUSG10767.1.p1
TCONS_00048171	OFUSG16445.1.p1
TCONS_00049504	OFUSG19258.1.p1
TCONS_00033404	OFUSG23239.1.p1
TCONS_00010575	OFUSG11305.1.p1
TCONS_00030826	OFUSG10790.1.p1
TCONS_00020219	OFUSG03925.1.p1
TCONS_00004771	OFUSG14870.1.p1
TCONS_00002528	OFUSG26807.1.p1
TCONS_00022810	OFUSG24639.1.p1
TCONS_00001249	OFUSG01876.1.p1
TCONS_00041682	OFUSG03463.1.p1
TCONS_00012933	OFUSG18025.1.p1
TCONS_00042964	OFUSG02180.1.p1
TCONS_00017739	OFUSG23536.1.p1
TCONS_00042778	OFUSG22770.1.p1
TCONS_00014136	OFUSG10942.1.p1
TCONS_00004493	OFUSG12071.1.p1
TCONS_00009996	OFUSG12593.1.p1
TCONS_00055327	OFUSG07044.1.p1
TCONS_00030961	OFUSG10044.1.p1
TCONS_00009645	OFUSG12414.1.p1
TCONS_00030284	OFUSG10721.1.p1
TCONS_00009887	OFUSG11770.1.p1
TCONS_00029816	OFUSG09660.1.p1
TCONS_00052824	OFUSG02130.1.p1
TCONS_00024224	OFUSG25628.1.p1
TCONS_00022906	OFUSG24998.1.p1
TCONS_00004149	OFUSG16467.1.p1
TCONS_00007503	OFUSG20300.1.p1
TCONS_00044845	OFUSG04114.1.p1
TCONS_00001251	OFUSG01380.1.p1
TCONS_00044541	OFUSG26490.1.p1
TCONS_00038041	OFUSG01226.1.p1
TCONS_00022183	OFUSG14743.1.p1
TCONS_00054872	OFUSG24361.1.p1
TCONS_00024573	OFUSG07586.1.p1
TCONS_00018757	OFUSG21511.1.p1
TCONS_00027499	OFUSG08592.1.p1
TCONS_00031245	OFUSG10747.1.p1
TCONS_00006444	OFUSG15619.1.p1
TCONS_00027561	OFUSG19148.1.p1
TCONS_00028913	OFUSG08811.1.p1
TCONS_00029606	OFUSG08731.1.p1
TCONS_00030498	OFUSG10234.1.p1
TCONS_00011524	OFUSG12391.1.p1
TCONS_00044266	OFUSG09789.1.p1
TCONS_00027565	OFUSG05793.1.p1
TCONS_00019794	OFUSG19319.1.p1
TCONS_00025949	OFUSG19563.1.p1
TCONS_00055581	OFUSG16705.1.p1
TCONS_00014649	OFUSG05822.1.p1
TCONS_00019323	OFUSG14625.1.p1
TCONS_00008317	OFUSG24818.1.p1
TCONS_00001441	OFUSG00916.1.p1
TCONS_00005017	OFUSG22370.1.p1
TCONS_00046501	OFUSG13358.1.p1
TCONS_00026567	OFUSG06131.1.p1
TCONS_00018936	OFUSG16581.1.p1
TCONS_00005170	OFUSG24184.1.p1
TCONS_00025199	OFUSG07020.1.p1
TCONS_00015162	OFUSG07737.1.p1
TCONS_00048807	OFUSG06124.1.p1
TCONS_00004151	OFUSG16465.1.p1
TCONS_00015676	OFUSG08089.1.p1
TCONS_00002619	OFUSG03936.1.p1
TCONS_00003986	OFUSG15987.1.p1
TCONS_00013104	OFUSG17801.1.p1
TCONS_00056526	OFUSG07178.1.p1
TCONS_00037763	OFUSG04726.1.p1
TCONS_00010641	OFUSG25201.1.p1
TCONS_00046124	OFUSG13282.1.p1
TCONS_00022799	OFUSG25985.1.p1
TCONS_00014648	OFUSG25637.1.p1
TCONS_00056449	OFUSG04325.1.p1
TCONS_00046062	OFUSG21379.1.p1
TCONS_00045551	OFUSG13671.1.p1
TCONS_00032607	OFUSG13371.1.p1
TCONS_00032005	OFUSG13372.1.p1
TCONS_00052728	OFUSG13688.1.p1
TCONS_00057244	OFUSG24339.1.p1
TCONS_00008712	OFUSG20805.1.p1
TCONS_00047986	OFUSG06932.1.p1
TCONS_00008915	OFUSG04900.1.p1
TCONS_00013031	OFUSG10576.1.p1
TCONS_00014230	OFUSG18439.1.p1
TCONS_00012575	OFUSG17820.1.p1
TCONS_00023437	OFUSG26072.1.p1
TCONS_00025446	OFUSG07846.1.p1
TCONS_00054880	OFUSG08250.1.p1
TCONS_00043409	OFUSG02540.1.p1
TCONS_00056589	OFUSG26706.1.p1
TCONS_00008969	OFUSG20793.1.p1
TCONS_00052244	OFUSG23494.1.p1
TCONS_00018207	OFUSG26416.1.p1
TCONS_00042422	OFUSG03219.1.p1
TCONS_00021215	OFUSG25792.1.p1
TCONS_00010780	OFUSG21524.1.p1
TCONS_00020254	OFUSG17004.1.p1
TCONS_00048169	OFUSG10883.1.p1
TCONS_00042105	OFUSG02609.1.p1
TCONS_00006652	OFUSG15689.1.p1
TCONS_00012793	OFUSG10494.1.p1
TCONS_00019811	OFUSG05386.1.p1
TCONS_00015547	OFUSG07453.1.p1
TCONS_00041596	OFUSG02054.1.p1
TCONS_00053299	OFUSG21284.1.p1
TCONS_00015681	OFUSG25638.1.p1
TCONS_00027496	OFUSG06027.1.p1
TCONS_00016058	OFUSG26695.1.p1
TCONS_00028151	OFUSG09268.1.p1
TCONS_00012134	OFUSG22049.1.p1
TCONS_00009905	OFUSG11663.1.p1
TCONS_00011167	OFUSG12193.1.p1
TCONS_00006127	OFUSG22097.1.p1
TCONS_00010890	OFUSG11739.1.p1
TCONS_00011586	OFUSG11738.1.p1
TCONS_00053574	OFUSG17278.1.p1
TCONS_00031699	OFUSG12209.1.p1
TCONS_00029934	OFUSG10852.1.p1
TCONS_00053812	OFUSG13380.1.p1
TCONS_00054101	OFUSG21452.1.p1
TCONS_00020887	OFUSG13988.1.p1
TCONS_00031231	OFUSG10764.1.p1
TCONS_00003928	OFUSG16600.1.p1
TCONS_00001704	OFUSG01546.1.p1
TCONS_00048361	OFUSG19153.1.p1
TCONS_00044564	OFUSG23273.1.p1
TCONS_00002307	OFUSG01479.1.p1
TCONS_00012313	OFUSG10033.1.p1
TCONS_00028723	OFUSG10739.1.p1
TCONS_00020114	OFUSG23188.1.p1
TCONS_00005252	OFUSG22505.1.p1
TCONS_00018445	OFUSG21397.1.p1
TCONS_00028704	OFUSG08525.1.p1
TCONS_00020853	OFUSG14609.1.p1
TCONS_00012740	OFUSG18303.1.p1
TCONS_00023425	OFUSG19018.1.p1
TCONS_00029792	OFUSG09530.1.p1
TCONS_00011713	OFUSG22029.1.p1
TCONS_00056455	OFUSG07888.1.p1
TCONS_00014591	OFUSG10927.1.p1
TCONS_00004907	OFUSG24103.1.p1
TCONS_00045534	OFUSG23606.1.p1
TCONS_00046868	OFUSG17149.1.p1
TCONS_00026056	OFUSG06813.1.p1
TCONS_00005754	OFUSG14909.1.p1
TCONS_00006078	OFUSG15491.1.p1
TCONS_00036366	OFUSG00835.1.p1
TCONS_00041180	OFUSG03859.1.p1
TCONS_00032791	OFUSG21514.1.p1
TCONS_00013838	OFUSG10947.1.p1
TCONS_00010056	OFUSG22036.1.p1
TCONS_00030680	OFUSG10696.1.p1
TCONS_00031340	OFUSG10990.1.p1
TCONS_00011711	OFUSG12148.1.p1
TCONS_00048978	OFUSG05819.1.p1
TCONS_00029913	OFUSG18258.1.p1
TCONS_00050927	OFUSG17325.1.p1
TCONS_00042093	OFUSG03481.1.p1
TCONS_00026937	OFUSG06895.1.p1
TCONS_00005064	OFUSG07332.1.p1
TCONS_00042481	OFUSG03429.1.p1
TCONS_00021839	OFUSG14472.1.p1
TCONS_00017766	OFUSG09043.1.p1
TCONS_00017784	OFUSG04851.1.p1
TCONS_00020688	OFUSG21499.1.p1
TCONS_00034955	OFUSG09126.1.p1
TCONS_00004483	OFUSG11652.1.p1
TCONS_00016128	OFUSG08104.1.p1
TCONS_00023249	OFUSG23834.1.p1
TCONS_00033556	OFUSG03994.1.p1
TCONS_00001535	OFUSG01652.1.p1
TCONS_00032872	OFUSG16113.1.p1
TCONS_00011769	OFUSG11940.1.p1
TCONS_00011397	OFUSG11428.1.p1
TCONS_00012901	OFUSG17986.1.p1
TCONS_00015699	OFUSG25606.1.p1
TCONS_00006179	OFUSG15034.1.p1
TCONS_00014373	OFUSG10408.1.p1
TCONS_00014129	OFUSG10584.1.p1
TCONS_00048259	OFUSG21143.1.p1
TCONS_00028785	OFUSG09613.1.p1
TCONS_00016257	OFUSG07750.1.p1
TCONS_00014219	OFUSG11828.1.p1
TCONS_00049467	OFUSG18702.1.p1
TCONS_00012044	OFUSG12133.1.p1
TCONS_00054289	OFUSG16892.1.p1
TCONS_00021480	OFUSG14243.1.p1
TCONS_00012029	OFUSG11310.1.p1
TCONS_00023242	OFUSG07962.1.p1
TCONS_00045048	OFUSG13347.1.p1
TCONS_00026918	OFUSG19187.1.p1
TCONS_00002654	OFUSG12155.1.p1
TCONS_00020355	OFUSG15859.1.p1
TCONS_00046235	OFUSG21149.1.p1
TCONS_00006001	OFUSG06747.1.p1
TCONS_00042981	OFUSG02354.1.p1
TCONS_00000887	OFUSG01641.1.p1
TCONS_00028419	OFUSG09026.1.p1
TCONS_00009356	OFUSG05250.1.p1
TCONS_00002121	OFUSG01287.1.p1
TCONS_00044929	OFUSG17532.1.p1
TCONS_00045963	OFUSG20932.1.p1
TCONS_00031698	OFUSG16184.1.p1
TCONS_00028495	OFUSG09726.1.p1
TCONS_00004896	OFUSG24102.1.p1
TCONS_00049559	OFUSG18782.1.p1
TCONS_00052186	OFUSG26367.1.p1
TCONS_00010216	OFUSG11337.1.p1
TCONS_00009582	OFUSG22046.1.p1
TCONS_00013878	OFUSG10768.1.p1
TCONS_00046182	OFUSG17316.1.p1
TCONS_00030618	OFUSG10851.1.p1
TCONS_00051210	OFUSG13013.1.p1
TCONS_00048168	OFUSG05212.1.p1
TCONS_00042375	OFUSG25160.1.p1
TCONS_00012637	OFUSG10462.1.p1
TCONS_00044976	OFUSG26362.1.p1
TCONS_00055486	OFUSG15789.1.p1
TCONS_00016712	OFUSG25574.1.p1
TCONS_00038001	OFUSG00617.1.p1
TCONS_00056140	OFUSG07062.1.p1
TCONS_00017536	OFUSG13363.1.p1
TCONS_00052942	OFUSG17489.1.p1
TCONS_00026602	OFUSG19247.1.p1
TCONS_00019118	OFUSG16738.1.p1
TCONS_00009303	OFUSG20871.1.p1
TCONS_00028847	OFUSG09366.1.p1
TCONS_00015704	OFUSG08053.1.p1
TCONS_00010125	OFUSG12361.1.p1
TCONS_00036511	OFUSG01088.1.p1
TCONS_00052864	OFUSG20986.1.p1
TCONS_00008754	OFUSG22959.1.p1
TCONS_00014770	OFUSG07746.1.p1
TCONS_00041437	OFUSG02716.1.p1
TCONS_00034775	OFUSG08574.1.p1
TCONS_00003677	OFUSG04241.1.p1
TCONS_00053913	OFUSG13614.1.p1
TCONS_00054859	OFUSG07768.1.p1
TCONS_00031158	OFUSG25257.1.p1
TCONS_00009369	OFUSG05148.1.p1
TCONS_00005307	OFUSG25578.1.p1
TCONS_00010729	OFUSG12268.1.p1
TCONS_00028703	OFUSG09063.1.p1
TCONS_00047259	OFUSG05482.1.p1
TCONS_00007334	OFUSG04818.1.p1
TCONS_00051631	OFUSG13497.1.p1
TCONS_00051114	OFUSG13640.1.p1
TCONS_00030817	OFUSG10227.1.p1
TCONS_00054518	OFUSG17344.1.p1
TCONS_00031331	OFUSG05811.1.p1
TCONS_00006706	OFUSG14982.1.p1
TCONS_00026289	OFUSG06641.1.p1
TCONS_00000299	OFUSG01507.1.p1
TCONS_00028720	OFUSG09625.1.p1
TCONS_00029057	OFUSG08605.1.p1
TCONS_00004764	OFUSG24226.1.p1
TCONS_00008164	OFUSG04844.1.p1
