STRPU_22262	OFUSG13305.1
STRPU_04934	OFUSG02161.1
STRPU_15061	OFUSG15534.1
STRPU_01806	OFUSG01533.1
STRPU_17153	OFUSG01215.1
STRPU_22095	OFUSG06909.1
STRPU_23579	OFUSG19258.1
STRPU_23272	OFUSG23239.1
STRPU_04793	OFUSG10790.1
STRPU_22887	OFUSG03925.1
STRPU_20436	OFUSG26807.1
STRPU_06239	OFUSG24639.1
STRPU_14381	OFUSG07981.1
STRPU_05303	OFUSG03463.1
STRPU_01478	OFUSG18025.1
STRPU_17017	OFUSG20457.1
STRPU_08174	OFUSG07131.1
STRPU_05453	OFUSG09797.1
STRPU_05229	OFUSG02180.1
STRPU_24819	OFUSG23536.1
STRPU_05233	OFUSG22770.1
STRPU_04462	OFUSG17970.1
STRPU_08986	OFUSG10942.1
STRPU_20557	OFUSG12071.1
STRPU_20683	OFUSG12593.1
STRPU_14657	OFUSG15618.1
STRPU_14647	OFUSG07044.1
STRPU_09002	OFUSG10182.1
STRPU_20634	OFUSG12414.1
STRPU_04691	OFUSG10721.1
STRPU_21219	OFUSG11770.1
STRPU_26695	OFUSG09660.1
STRPU_12360	OFUSG25628.1
STRPU_06110	OFUSG24998.1
STRPU_09898	OFUSG06635.1
STRPU_25297	OFUSG20300.1
STRPU_07635	OFUSG04114.1
STRPU_12582	OFUSG07016.1
STRPU_22012	OFUSG26490.1
STRPU_26910	OFUSG13699.1
STRPU_06888	OFUSG14743.1
STRPU_13411	OFUSG24361.1
STRPU_10249	OFUSG10699.1
STRPU_12732	OFUSG07586.1
STRPU_24786	OFUSG21511.1
STRPU_09617	OFUSG08592.1
STRPU_04685	OFUSG10747.1
STRPU_15903	OFUSG05771.1
STRPU_26512	OFUSG08731.1
STRPU_20984	OFUSG12391.1
STRPU_11836	OFUSG18437.1
STRPU_09937	OFUSG05793.1
STRPU_09786	OFUSG19540.1
STRPU_08485	OFUSG03431.1
STRPU_25828	OFUSG19319.1
STRPU_27324	OFUSG19563.1
STRPU_20058	OFUSG05822.1
STRPU_06159	OFUSG14625.1
STRPU_17941	OFUSG00916.1
STRPU_15451	OFUSG22370.1
STRPU_23388	OFUSG23631.1
STRPU_24396	OFUSG13358.1
STRPU_09683	OFUSG06131.1
STRPU_23903	OFUSG16581.1
STRPU_14816	OFUSG24184.1
STRPU_22920	OFUSG05613.1
STRPU_12836	OFUSG07020.1
STRPU_20193	OFUSG07737.1
STRPU_22008	OFUSG06124.1
STRPU_24677	OFUSG16465.1
STRPU_24614	OFUSG15987.1
STRPU_00061	OFUSG25019.1
STRPU_20190	OFUSG04726.1
STRPU_07008	OFUSG25985.1
STRPU_14046	OFUSG04325.1
STRPU_26227	OFUSG05123.1
STRPU_07804	OFUSG21379.1
STRPU_23928	OFUSG09159.1
STRPU_22029	OFUSG04392.1
STRPU_27133	OFUSG09080.1
STRPU_22238	OFUSG13371.1
STRPU_23147	OFUSG13372.1
STRPU_18500	OFUSG13688.1
STRPU_13261	OFUSG24339.1
STRPU_25933	OFUSG20805.1
STRPU_25598	OFUSG05408.1
STRPU_23919	OFUSG06932.1
STRPU_25636	OFUSG04900.1
STRPU_24665	OFUSG17033.1
STRPU_08451	OFUSG17820.1
STRPU_12706	OFUSG26072.1
STRPU_17421	OFUSG07846.1
STRPU_16802	OFUSG08250.1
STRPU_05306	OFUSG02540.1
STRPU_16646	OFUSG26706.1
STRPU_10775	OFUSG23494.1
STRPU_24888	OFUSG26416.1
STRPU_04980	OFUSG03219.1
STRPU_06488	OFUSG25792.1
STRPU_23282	OFUSG08013.1
STRPU_04899	OFUSG10883.1
STRPU_05423	OFUSG02375.1
STRPU_05520	OFUSG02609.1
STRPU_25533	OFUSG05386.1
STRPU_05761	OFUSG02054.1
STRPU_18384	OFUSG21284.1
STRPU_12794	OFUSG07083.1
STRPU_19363	OFUSG25638.1
STRPU_10413	OFUSG06027.1
STRPU_26056	OFUSG22819.1
STRPU_20385	OFUSG26695.1
STRPU_20689	OFUSG11987.1
STRPU_21547	OFUSG22049.1
STRPU_20504	OFUSG11663.1
STRPU_14735	OFUSG22097.1
STRPU_21260	OFUSG11739.1
STRPU_20551	OFUSG11738.1
STRPU_04340	OFUSG10852.1
STRPU_18501	OFUSG13380.1
STRPU_21911	OFUSG13684.1
STRPU_18373	OFUSG21452.1
STRPU_06651	OFUSG13988.1
STRPU_25146	OFUSG24584.1
STRPU_04689	OFUSG10764.1
STRPU_14325	OFUSG22335.1
STRPU_25034	OFUSG16600.1
STRPU_17291	OFUSG01546.1
STRPU_20590	OFUSG12003.1
STRPU_22044	OFUSG23273.1
STRPU_12536	OFUSG01479.1
STRPU_21300	OFUSG25176.1
STRPU_27020	OFUSG10739.1
STRPU_22561	OFUSG23188.1
STRPU_14318	OFUSG22505.1
STRPU_24711	OFUSG21397.1
STRPU_26701	OFUSG08525.1
STRPU_06679	OFUSG14609.1
STRPU_18200	OFUSG26325.1
STRPU_27401	OFUSG09530.1
STRPU_20961	OFUSG22029.1
STRPU_07708	OFUSG17151.1
STRPU_07074	OFUSG23606.1
STRPU_10430	OFUSG06813.1
STRPU_14372	OFUSG15491.1
STRPU_22133	OFUSG21514.1
STRPU_08080	OFUSG10947.1
STRPU_21851	OFUSG22036.1
STRPU_24569	OFUSG04658.1
STRPU_04363	OFUSG10990.1
STRPU_22668	OFUSG05819.1
STRPU_08637	OFUSG11071.1
STRPU_04756	OFUSG18258.1
STRPU_04995	OFUSG03481.1
STRPU_09473	OFUSG06895.1
STRPU_06369	OFUSG14472.1
STRPU_02910	OFUSG04851.1
STRPU_03804	OFUSG09126.1
STRPU_04785	OFUSG02182.1
STRPU_09301	OFUSG05763.1
STRPU_22454	OFUSG03994.1
STRPU_11651	OFUSG01652.1
STRPU_23098	OFUSG16113.1
STRPU_20818	OFUSG11940.1
STRPU_21062	OFUSG11428.1
STRPU_08273	OFUSG17986.1
STRPU_20394	OFUSG25606.1
STRPU_15007	OFUSG15034.1
STRPU_08672	OFUSG10408.1
STRPU_12818	OFUSG26077.1
STRPU_12716	OFUSG07858.1
STRPU_05491	OFUSG02215.1
STRPU_12273	OFUSG15846.1
STRPU_08335	OFUSG11828.1
STRPU_14803	OFUSG15213.1
STRPU_21840	OFUSG12133.1
STRPU_19346	OFUSG16892.1
STRPU_21394	OFUSG11310.1
STRPU_19950	OFUSG10174.1
STRPU_07154	OFUSG21149.1
STRPU_23305	OFUSG06747.1
STRPU_05442	OFUSG02354.1
STRPU_17881	OFUSG01641.1
STRPU_25434	OFUSG05250.1
STRPU_16889	OFUSG01287.1
STRPU_21904	OFUSG16184.1
STRPU_11081	OFUSG26367.1
STRPU_21577	OFUSG11337.1
STRPU_20962	OFUSG22046.1
STRPU_22562	OFUSG24455.1
STRPU_08939	OFUSG10768.1
STRPU_04476	OFUSG10851.1
STRPU_07732	OFUSG26362.1
STRPU_13309	OFUSG15789.1
STRPU_20069	OFUSG25574.1
STRPU_11832	OFUSG00617.1
STRPU_19135	OFUSG17684.1
STRPU_26072	OFUSG05436.1
STRPU_14593	OFUSG14865.1
STRPU_15754	OFUSG07062.1
STRPU_24315	OFUSG13363.1
STRPU_19155	OFUSG17489.1
STRPU_10191	OFUSG19247.1
STRPU_26259	OFUSG20871.1
STRPU_27218	OFUSG09366.1
STRPU_19597	OFUSG08053.1
STRPU_25310	OFUSG22959.1
STRPU_20018	OFUSG07746.1
STRPU_23046	OFUSG21291.1
STRPU_03778	OFUSG08574.1
STRPU_25105	OFUSG04241.1
STRPU_18710	OFUSG13614.1
STRPU_16003	OFUSG07768.1
STRPU_22146	OFUSG25257.1
STRPU_25369	OFUSG05148.1
STRPU_21333	OFUSG12268.1
STRPU_27333	OFUSG09063.1
STRPU_25323	OFUSG04818.1
STRPU_11361	OFUSG13497.1
STRPU_11454	OFUSG13640.1
STRPU_04620	OFUSG10227.1
STRPU_09805	OFUSG06641.1
STRPU_17380	OFUSG01507.1
STRPU_16987	OFUSG01805.1
STRPU_26984	OFUSG09625.1
STRPU_27056	OFUSG08605.1
STRPU_10910	OFUSG17656.1
STRPU_24404	OFUSG23548.1
STRPU_18554	OFUSG17182.1
STRPU_08300	OFUSG18396.1
STRPU_26128	OFUSG20749.1
STRPU_06874	OFUSG25904.1
STRPU_17295	OFUSG00924.1
STRPU_07673	OFUSG12648.1
STRPU_08422	OFUSG10832.1
STRPU_05892	OFUSG03215.1
STRPU_16446	OFUSG08163.1
STRPU_06852	OFUSG13940.1
STRPU_17219	OFUSG00842.1
STRPU_19538	OFUSG08347.1
STRPU_04126	OFUSG18137.1
STRPU_25356	OFUSG20603.1
STRPU_04687	OFUSG17857.1
STRPU_14246	OFUSG15084.1
STRPU_12320	OFUSG15380.1
STRPU_27352	OFUSG09414.1
STRPU_02801	OFUSG08593.1
STRPU_23595	OFUSG19345.1
STRPU_25660	OFUSG05150.1
STRPU_26088	OFUSG05478.1
STRPU_04027	OFUSG10307.1
STRPU_23548	OFUSG26311.1
STRPU_24684	OFUSG16753.1
STRPU_15351	OFUSG22676.1
STRPU_26084	OFUSG05113.1
STRPU_05759	OFUSG03071.1
STRPU_11537	OFUSG01437.1
STRPU_12584	OFUSG07953.1
STRPU_04971	OFUSG02389.1
STRPU_25984	OFUSG20513.1
STRPU_20358	OFUSG26636.1
STRPU_25485	OFUSG23208.1
STRPU_26150	OFUSG05225.1
STRPU_25861	OFUSG04895.2
STRPU_12621	OFUSG08087.1
STRPU_26957	OFUSG09059.1
STRPU_08483	OFUSG11178.1
STRPU_10485	OFUSG13668.1
STRPU_19014	OFUSG13528.1
STRPU_26541	OFUSG09353.1
STRPU_20691	OFUSG21932.1
STRPU_21201	OFUSG12559.1
STRPU_08154	OFUSG05661.1
STRPU_21823	OFUSG11761.1
STRPU_09460	OFUSG06968.1
STRPU_20991	OFUSG12385.1
STRPU_04696	OFUSG10674.1
STRPU_23364	OFUSG19933.1
STRPU_05219	OFUSG02916.1
STRPU_24459	OFUSG13169.1
STRPU_04981	OFUSG03038.1
STRPU_11673	OFUSG01670.1
STRPU_06809	OFUSG13860.1
STRPU_10508	OFUSG16824.1
STRPU_18616	OFUSG17059.1
STRPU_24368	OFUSG17215.1
STRPU_24737	OFUSG13155.1
STRPU_18051	OFUSG01491.1
STRPU_25523	OFUSG05029.1
STRPU_20829	OFUSG12264.1
STRPU_27357	OFUSG09668.1
STRPU_25383	OFUSG05244.1
STRPU_09801	OFUSG19041.1
STRPU_12808	OFUSG07186.1
STRPU_22876	OFUSG13032.1
STRPU_05766	OFUSG02177.1
STRPU_15482	OFUSG22464.1
STRPU_19870	OFUSG26150.1
STRPU_12224	OFUSG01753.1
STRPU_25860	OFUSG05230.1
STRPU_16901	OFUSG16789.1
STRPU_04951	OFUSG02188.1
STRPU_04344	OFUSG08514.1
STRPU_21048	OFUSG11324.1
STRPU_26697	OFUSG09508.1
STRPU_14731	OFUSG15471.1
STRPU_11391	OFUSG17445.1
STRPU_24626	OFUSG16583.1
STRPU_05312	OFUSG02255.1
STRPU_25898	OFUSG20822.1
STRPU_15430	OFUSG24200.1
STRPU_20804	OFUSG12083.1
STRPU_09635	OFUSG05890.1
STRPU_23133	OFUSG19344.1
STRPU_22188	OFUSG04294.1
STRPU_06747	OFUSG14228.1
STRPU_12558	OFUSG20687.1
STRPU_18653	OFUSG08219.1
STRPU_14559	OFUSG09778.1
STRPU_05769	OFUSG02978.1
STRPU_13547	OFUSG16451.1
STRPU_11830	OFUSG00594.1
STRPU_09867	OFUSG05455.1
STRPU_04851	OFUSG10725.1
STRPU_23311	OFUSG19122.1
STRPU_15505	OFUSG15171.1
STRPU_16648	OFUSG07025.1
STRPU_09781	OFUSG06864.1
STRPU_06614	OFUSG14696.1
STRPU_21816	OFUSG12367.1
STRPU_13252	OFUSG24364.1
STRPU_05697	OFUSG02726.1
STRPU_24014	OFUSG12631.1
STRPU_12563	OFUSG07799.1
STRPU_08960	OFUSG22721.1
STRPU_22618	OFUSG18706.1
STRPU_07853	OFUSG17495.1
STRPU_26333	OFUSG25116.1
STRPU_04959	OFUSG26610.1
STRPU_26915	OFUSG09823.1
STRPU_26264	OFUSG20321.1
STRPU_25407	OFUSG05156.1
STRPU_19181	OFUSG13027.1
STRPU_05413	OFUSG02827.1
STRPU_10373	OFUSG18956.1
STRPU_24312	OFUSG23549.1
STRPU_03925	OFUSG23886.1
STRPU_26462	OFUSG20725.1
STRPU_05752	OFUSG03586.1
STRPU_25738	OFUSG20335.1
STRPU_26209	OFUSG23108.1
STRPU_26054	OFUSG05055.1
STRPU_18497	OFUSG17203.1
STRPU_23341	OFUSG05928.1
STRPU_18764	OFUSG13715.1
STRPU_19114	OFUSG17629.1
STRPU_26812	OFUSG08608.1
STRPU_24642	OFUSG16338.1
STRPU_23590	OFUSG18866.1
STRPU_24170	OFUSG13501.1
STRPU_09540	OFUSG18924.1
STRPU_05735	OFUSG03235.1
STRPU_08357	OFUSG11127.1
STRPU_26675	OFUSG09296.1
STRPU_20225	OFUSG07487.1
STRPU_20183	OFUSG02644.1
STRPU_25392	OFUSG20261.1
STRPU_17671	OFUSG00455.1
STRPU_21973	OFUSG21491.1
STRPU_24885	OFUSG15216.1
STRPU_24825	OFUSG13735.1
STRPU_20983	OFUSG12394.1
STRPU_27233	OFUSG09093.1
STRPU_27232	OFUSG09096.1
STRPU_08552	OFUSG10080.1
STRPU_17773	OFUSG00782.1
STRPU_05208	OFUSG03807.1
STRPU_25372	OFUSG23133.1
STRPU_04772	OFUSG18613.1
STRPU_13835	OFUSG16068.1
STRPU_08796	OFUSG10564.1
STRPU_06640	OFUSG26952.1
STRPU_27388	OFUSG08813.1
STRPU_14899	OFUSG15552.1
STRPU_20135	OFUSG07660.1
STRPU_25869	OFUSG20832.1
STRPU_08057	OFUSG23393.1
STRPU_09688	OFUSG05576.1
STRPU_27427	OFUSG09685.1
STRPU_25910	OFUSG05238.1
STRPU_05803	OFUSG03008.1
STRPU_10913	OFUSG21039.1
STRPU_18999	OFUSG17573.1
STRPU_08180	OFUSG10469.1
STRPU_21211	OFUSG12558.1
STRPU_17906	OFUSG00085.1
STRPU_26520	OFUSG09390.1
STRPU_05441	OFUSG02353.1
STRPU_06718	OFUSG14155.1
STRPU_26166	OFUSG09527.1
STRPU_13470	OFUSG04545.1
STRPU_25908	OFUSG20349.1
STRPU_08651	OFUSG09992.1
STRPU_20668	OFUSG21829.1
STRPU_20955	OFUSG25295.1
STRPU_04170	OFUSG10760.1
STRPU_04189	OFUSG25664.1
STRPU_05017	OFUSG02975.1
STRPU_20144	OFUSG08355.1
STRPU_09513	OFUSG18697.1
STRPU_17138	OFUSG00224.1
STRPU_17137	OFUSG00222.1
STRPU_05782	OFUSG02929.1
STRPU_07027	OFUSG17183.1
STRPU_20203	OFUSG08357.1
STRPU_02712	OFUSG09016.1
STRPU_20060	OFUSG25527.1
STRPU_03742	OFUSG08546.1
STRPU_23629	OFUSG05932.1
STRPU_22391	OFUSG26078.1
STRPU_23512	OFUSG06435.1
STRPU_25983	OFUSG20514.1
STRPU_05363	OFUSG03685.1
STRPU_22600	OFUSG06807.1
STRPU_09918	OFUSG06074.1
STRPU_21371	OFUSG11277.1
STRPU_18998	OFUSG06709.1
STRPU_27395	OFUSG09154.1
STRPU_27396	OFUSG18807.1
STRPU_11212	OFUSG01706.1
STRPU_13462	OFUSG15810.1
STRPU_27079	OFUSG19625.1
STRPU_26221	OFUSG04751.1
STRPU_05011	OFUSG03365.1
STRPU_22931	OFUSG11360.1
STRPU_22527	OFUSG16642.1
STRPU_04449	OFUSG17968.1
STRPU_17937	OFUSG00006.1
STRPU_20552	OFUSG22074.1
STRPU_19510	OFUSG07633.1
STRPU_22435	OFUSG16938.1
STRPU_12448	OFUSG07952.1
STRPU_21882	OFUSG25180.1
STRPU_11759	OFUSG00744.1
STRPU_08236	OFUSG10565.1
STRPU_24399	OFUSG13154.1
STRPU_05330	OFUSG03666.1
STRPU_25051	OFUSG04543.1
STRPU_03092	OFUSG22264.1
STRPU_22625	OFUSG06933.1
STRPU_07604	OFUSG20933.1
STRPU_17907	OFUSG00457.1
STRPU_26926	OFUSG20007.1
STRPU_20356	OFUSG24402.1
STRPU_27018	OFUSG09744.1
STRPU_18184	OFUSG23665.1
STRPU_25912	OFUSG20592.1
STRPU_08061	OFUSG26370.1
STRPU_17983	OFUSG01203.1
STRPU_11829	OFUSG00718.1
STRPU_25245	OFUSG20621.1
STRPU_10919	OFUSG26444.1
STRPU_16894	OFUSG01831.1
STRPU_12832	OFUSG25447.1
STRPU_11740	OFUSG01750.1
STRPU_25418	OFUSG20208.1
STRPU_22380	OFUSG06465.1
STRPU_21831	OFUSG25099.1
STRPU_18050	OFUSG00445.1
STRPU_11176	OFUSG17576.1
STRPU_24957	OFUSG22592.1
STRPU_24464	OFUSG01224.1
STRPU_23549	OFUSG24644.1
STRPU_08989	OFUSG18365.1
STRPU_18851	OFUSG13187.1
STRPU_19576	OFUSG08144.1
STRPU_21472	OFUSG25047.1
STRPU_26434	OFUSG18676.1
STRPU_06711	OFUSG14237.1
STRPU_10901	OFUSG21253.1
STRPU_27158	OFUSG19632.1
STRPU_07082	OFUSG10184.1
STRPU_10819	OFUSG23411.1
STRPU_27080	OFUSG19626.1
STRPU_14008	OFUSG16213.1
STRPU_22399	OFUSG18769.1
STRPU_24675	OFUSG20904.1
STRPU_13354	OFUSG04257.1
STRPU_07220	OFUSG08374.1
STRPU_25487	OFUSG20878.1
STRPU_19092	OFUSG21167.1
STRPU_14716	OFUSG15321.1
STRPU_09603	OFUSG06794.1
STRPU_25066	OFUSG23710.1
STRPU_26962	OFUSG08908.1
STRPU_24181	OFUSG26530.1
STRPU_05886	OFUSG03363.1
STRPU_26736	OFUSG09190.1
STRPU_17604	OFUSG13570.1
STRPU_13535	OFUSG04125.1
STRPU_07433	OFUSG17150.1
STRPU_21622	OFUSG21917.1
STRPU_21839	OFUSG12256.1
STRPU_22653	OFUSG06256.1
STRPU_06160	OFUSG14182.1
STRPU_24021	OFUSG15796.1
STRPU_13545	OFUSG16733.1
STRPU_21610	OFUSG11245.1
STRPU_22688	OFUSG06422.1
STRPU_24788	OFUSG15945.1
STRPU_05410	OFUSG03152.1
STRPU_05028	OFUSG03127.1
STRPU_10596	OFUSG12843.1
STRPU_07785	OFUSG17289.1
STRPU_24061	OFUSG21402.1
STRPU_07523	OFUSG13558.1
STRPU_16810	OFUSG25379.1
STRPU_25010	OFUSG16648.1
STRPU_18122	OFUSG01453.1
STRPU_26340	OFUSG09451.1
STRPU_24063	OFUSG26411.1
STRPU_13359	OFUSG04534.1
STRPU_04974	OFUSG18158.1
STRPU_18711	OFUSG26252.1
STRPU_19330	OFUSG19169.1
STRPU_06124	OFUSG25793.1
STRPU_17530	OFUSG13218.1
STRPU_17293	OFUSG01472.1
STRPU_24724	OFUSG09761.1
STRPU_25347	OFUSG22987.1
STRPU_22511	OFUSG16596.1
STRPU_09682	OFUSG05476.1
STRPU_05785	OFUSG02538.1
STRPU_23989	OFUSG19220.1
STRPU_14167	OFUSG22208.1
STRPU_26986	OFUSG23369.1
STRPU_25415	OFUSG22963.1
STRPU_04945	OFUSG03295.1
STRPU_08797	OFUSG10101.1
STRPU_20765	OFUSG11722.1
STRPU_26570	OFUSG19620.1
STRPU_24565	OFUSG26512.1
STRPU_16886	OFUSG25660.1
STRPU_27399	OFUSG19655.1
STRPU_04029	OFUSG18595.1
STRPU_26735	OFUSG09196.1
STRPU_02657	OFUSG19562.1
STRPU_04182	OFUSG17588.1
STRPU_26433	OFUSG19684.1
STRPU_20719	OFUSG11284.1
STRPU_15080	OFUSG24113.1
STRPU_02899	OFUSG09603.1
STRPU_20645	OFUSG12113.1
STRPU_14558	OFUSG22958.1
STRPU_14819	OFUSG24116.1
STRPU_15359	OFUSG24004.1
STRPU_20819	OFUSG22017.1
STRPU_20970	OFUSG11408.1
STRPU_11161	OFUSG26552.1
STRPU_27000	OFUSG09635.1
STRPU_11150	OFUSG17507.1
STRPU_26955	OFUSG20057.1
STRPU_26953	OFUSG09019.1
STRPU_17154	OFUSG00084.1
STRPU_19761	OFUSG07280.1
STRPU_09368	OFUSG05907.1
STRPU_21583	OFUSG12277.1
STRPU_25230	OFUSG05073.1
STRPU_25878	OFUSG04951.1
STRPU_18558	OFUSG17694.1
STRPU_08527	OFUSG10039.1
STRPU_05197	OFUSG02291.1
STRPU_24600	OFUSG04551.1
STRPU_10206	OFUSG19116.1
STRPU_20589	OFUSG12513.1
STRPU_10286	OFUSG12213.1
STRPU_05342	OFUSG03455.1
STRPU_06042	OFUSG01448.1
STRPU_06374	OFUSG13956.1
STRPU_18714	OFUSG16524.1
STRPU_13537	OFUSG04307.1
STRPU_05745	OFUSG03000.1
STRPU_24658	OFUSG16466.1
STRPU_21387	OFUSG25106.1
STRPU_04747	OFUSG18054.1
STRPU_08188	OFUSG10646.1
STRPU_25667	OFUSG23178.1
STRPU_23390	OFUSG23715.1
STRPU_11828	OFUSG01650.1
STRPU_18755	OFUSG26287.1
STRPU_17091	OFUSG02491.1
STRPU_06138	OFUSG24759.1
STRPU_08798	OFUSG10102.1
STRPU_06595	OFUSG14583.1
STRPU_22302	OFUSG06190.1
STRPU_07570	OFUSG20992.1
STRPU_05884	OFUSG02698.1
STRPU_05811	OFUSG02911.1
STRPU_23521	OFUSG19343.1
STRPU_20307	OFUSG00428.1
STRPU_05952	OFUSG14315.1
STRPU_05483	OFUSG03547.1
STRPU_24811	OFUSG23484.1
STRPU_25242	OFUSG20299.1
STRPU_08794	OFUSG22793.1
STRPU_09523	OFUSG18839.1
STRPU_07608	OFUSG26350.1
STRPU_08533	OFUSG20307.1
STRPU_07632	OFUSG13114.1
STRPU_20878	OFUSG11927.1
STRPU_21153	OFUSG21699.1
STRPU_22937	OFUSG04049.1
STRPU_04547	OFUSG10754.1
STRPU_18760	OFUSG26572.1
STRPU_24777	OFUSG12773.1
STRPU_14217	OFUSG15140.1
STRPU_08829	OFUSG09944.1
STRPU_23170	OFUSG06294.1
STRPU_03311	OFUSG08987.1
STRPU_04175	OFUSG17971.1
STRPU_26201	OFUSG05362.1
STRPU_08663	OFUSG10348.1
STRPU_27426	OFUSG09083.1
STRPU_05318	OFUSG02979.5
STRPU_25632	OFUSG04938.1
STRPU_22845	OFUSG06456.1
STRPU_20470	OFUSG11816.1
STRPU_05246	OFUSG02810.1
STRPU_09679	OFUSG05974.1
STRPU_23176	OFUSG06061.1
STRPU_08482	OFUSG10209.1
STRPU_14374	OFUSG15651.1
STRPU_15042	OFUSG23823.1
STRPU_22259	OFUSG13182.1
STRPU_05740	OFUSG02626.1
STRPU_19094	OFUSG21117.1
STRPU_04486	OFUSG18361.1
STRPU_21624	OFUSG21718.1
STRPU_04904	OFUSG10367.1
STRPU_24433	OFUSG23497.1
STRPU_24567	OFUSG13575.1
STRPU_23527	OFUSG19315.1
STRPU_07210	OFUSG13392.1
STRPU_27339	OFUSG09367.1
STRPU_15371	OFUSG15115.1
STRPU_07786	OFUSG17337.1
STRPU_20823	OFUSG11713.1
STRPU_20291	OFUSG07211.1
STRPU_18837	OFUSG13455.1
STRPU_24554	OFUSG13694.1
STRPU_15384	OFUSG22665.1
STRPU_24382	OFUSG13744.1
STRPU_06152	OFUSG13782.1
STRPU_05653	OFUSG03496.1
STRPU_12256	OFUSG01690.1
STRPU_09309	OFUSG05859.1
STRPU_04619	OFUSG10684.1
STRPU_24791	OFUSG26414.1
STRPU_25243	OFUSG20508.1
STRPU_18382	OFUSG13267.1
STRPU_09336	OFUSG18728.1
STRPU_12591	OFUSG07334.2
STRPU_14745	OFUSG22136.1
STRPU_12349	OFUSG25596.1
STRPU_23796	OFUSG13207.1
STRPU_10904	OFUSG23636.1
STRPU_21082	OFUSG22091.1
STRPU_22083	OFUSG17238.1
STRPU_23105	OFUSG01792.1
STRPU_03427	OFUSG08581.1
STRPU_08669	OFUSG11149.1
STRPU_21596	OFUSG05883.1
STRPU_11803	OFUSG00245.1
STRPU_03710	OFUSG08825.1
STRPU_13834	OFUSG04536.1
STRPU_06151	OFUSG14095.1
STRPU_22971	OFUSG21297.1
STRPU_15490	OFUSG22452.1
STRPU_06448	OFUSG25767.1
STRPU_23175	OFUSG06295.1
STRPU_21532	OFUSG21541.1
STRPU_20383	OFUSG08071.1
STRPU_25380	OFUSG05291.1
STRPU_18049	OFUSG00773.1
STRPU_15285	OFUSG15317.1
STRPU_21218	OFUSG08118.1
STRPU_08652	OFUSG10937.1
STRPU_21409	OFUSG26819.1
STRPU_21209	OFUSG11662.1
STRPU_12813	OFUSG09875.1
STRPU_21459	OFUSG12535.1
STRPU_08415	OFUSG18296.1
STRPU_19515	OFUSG07312.1
STRPU_04467	OFUSG23205.1
STRPU_04466	OFUSG23203.1
STRPU_25927	OFUSG20501.1
STRPU_21792	OFUSG21826.1
STRPU_03744	OFUSG09701.1
STRPU_24367	OFUSG17217.1
STRPU_25605	OFUSG05021.1
STRPU_12951	OFUSG07809.1
STRPU_04672	OFUSG10301.1
STRPU_17601	OFUSG00463.1
STRPU_10374	OFUSG19263.1
STRPU_04886	OFUSG10309.1
STRPU_19324	OFUSG16867.1
STRPU_07616	OFUSG17060.1
STRPU_05365	OFUSG02218.1
STRPU_03308	OFUSG09698.1
STRPU_24846	OFUSG16874.1
STRPU_14905	OFUSG24055.1
STRPU_26126	OFUSG05340.1
STRPU_19336	OFUSG26289.1
STRPU_10961	OFUSG17524.1
STRPU_25664	OFUSG20850.1
STRPU_26830	OFUSG19651.1
STRPU_14597	OFUSG15649.1
STRPU_05774	OFUSG03772.1
STRPU_10277	OFUSG05769.1
STRPU_12195	OFUSG00110.1
STRPU_26026	OFUSG20266.1
STRPU_13946	OFUSG16099.1
STRPU_20485	OFUSG25302.1
STRPU_05389	OFUSG03096.1
STRPU_11145	OFUSG12732.1
STRPU_11329	OFUSG17157.1
STRPU_22611	OFUSG06719.1
STRPU_21377	OFUSG21956.1
STRPU_13249	OFUSG03865.1
STRPU_25170	OFUSG07887.1
STRPU_20597	OFUSG12011.1
STRPU_10739	OFUSG18965.1
STRPU_22386	OFUSG18691.1
STRPU_08040	OFUSG13226.1
STRPU_05821	OFUSG03109.1
STRPU_22523	OFUSG03901.1
STRPU_16716	OFUSG08206.1
STRPU_09297	OFUSG10958.1
STRPU_12469	OFUSG08232.1
STRPU_09626	OFUSG18862.1
STRPU_20147	OFUSG09931.1
STRPU_10274	OFUSG06674.1
STRPU_09335	OFUSG06869.1
STRPU_08012	OFUSG23492.1
STRPU_27128	OFUSG09260.1
STRPU_09624	OFUSG18905.1
STRPU_14841	OFUSG22628.1
STRPU_23349	OFUSG06908.1
STRPU_26236	OFUSG20726.1
STRPU_14812	OFUSG24084.1
STRPU_14245	OFUSG22248.1
STRPU_04470	OFUSG10676.1
STRPU_22683	OFUSG18764.1
STRPU_26822	OFUSG19669.1
STRPU_20365	OFUSG07112.1
STRPU_05456	OFUSG02086.1
STRPU_11446	OFUSG26432.1
STRPU_24928	OFUSG04578.1
STRPU_06634	OFUSG03441.1
STRPU_26819	OFUSG08759.1
STRPU_06506	OFUSG24613.1
STRPU_04940	OFUSG03026.1
STRPU_11322	OFUSG12731.1
STRPU_11434	OFUSG23671.1
STRPU_04873	OFUSG10052.1
STRPU_21025	OFUSG08839.1
STRPU_14552	OFUSG15339.1
STRPU_24148	OFUSG04490.1
STRPU_27230	OFUSG19621.1
STRPU_23157	OFUSG06611.1
STRPU_27138	OFUSG09021.1
STRPU_21139	OFUSG12169.1
STRPU_26514	OFUSG09804.1
STRPU_07527	OFUSG17294.1
STRPU_08068	OFUSG20951.1
STRPU_25673	OFUSG05169.1
STRPU_23985	OFUSG13331.1
STRPU_24909	OFUSG16187.1
