bflo_04183	OFUSG13305.1
bflo_22620	OFUSG10557.1
bflo_07194	OFUSG04562.1
bflo_05780	OFUSG07343.1
bflo_25517	OFUSG17328.1
bflo_06943	OFUSG09428.1
bflo_08974	OFUSG06638.1
bflo_14218	OFUSG02941.1
bflo_05543	OFUSG08848.1
bflo_10128	OFUSG18946.1
bflo_09338	OFUSG05696.1
bflo_02687	OFUSG16752.1
bflo_19487	OFUSG15266.1
bflo_24535	OFUSG13591.1
bflo_23990	OFUSG08687.1
bflo_26517	OFUSG11449.1
bflo_11307	OFUSG08545.1
bflo_14262	OFUSG03571.1
bflo_13741	OFUSG05214.1
bflo_14652	OFUSG03508.1
bflo_09295	OFUSG18887.1
bflo_00729	OFUSG15817.1
bflo_20564	OFUSG22121.1
bflo_10406	OFUSG18118.1
bflo_24922	OFUSG13299.1
bflo_12897	OFUSG23096.1
bflo_02373	OFUSG16507.1
bflo_26213	OFUSG17720.1
bflo_18205	OFUSG12217.1
bflo_13490	OFUSG20330.1
bflo_05512	OFUSG06362.1
bflo_24890	OFUSG13058.1
bflo_26459	OFUSG13522.1
bflo_22992	OFUSG07030.1
bflo_06374	OFUSG12630.1
bflo_02923	OFUSG04236.1
bflo_24637	OFUSG23458.1
bflo_02819	OFUSG16509.1
bflo_14002	OFUSG04935.1
bflo_05732	OFUSG21490.1
bflo_17388	OFUSG01726.1
bflo_08938	OFUSG25750.1
bflo_24721	OFUSG12539.1
bflo_20958	OFUSG15091.1
bflo_00530	OFUSG23566.1
bflo_06102	OFUSG23473.1
bflo_02343	OFUSG04436.1
bflo_06520	OFUSG25146.1
bflo_04723	OFUSG01699.1
bflo_07649	OFUSG21275.1
bflo_25643	OFUSG21479.1
bflo_05447	OFUSG19848.1
bflo_02658	OFUSG19840.1
bflo_06362	OFUSG26319.1
bflo_09086	OFUSG26657.1
bflo_22004	OFUSG24617.1
bflo_14890	OFUSG11538.1
bflo_20537	OFUSG12147.1
bflo_07291	OFUSG17818.1
bflo_02942	OFUSG16624.1
bflo_09303	OFUSG19276.1
bflo_14078	OFUSG01366.1
bflo_21111	OFUSG23956.1
bflo_19444	OFUSG15801.1
bflo_19387	OFUSG22251.1
bflo_23794	OFUSG03993.1
bflo_23776	OFUSG10650.1
bflo_07408	OFUSG26797.1
bflo_20862	OFUSG22337.1
bflo_22427	OFUSG10055.1
bflo_12487	OFUSG06287.1
bflo_03776	OFUSG09235.1
bflo_03322	OFUSG00394.1
bflo_19632	OFUSG16759.1
bflo_06679	OFUSG25092.1
bflo_23728	OFUSG18021.1
bflo_20319	OFUSG23987.1
bflo_12191	OFUSG19268.1
bflo_24592	OFUSG04568.1
bflo_21478	OFUSG14370.1
bflo_09946	OFUSG12297.1
bflo_06788	OFUSG09447.1
bflo_23876	OFUSG11182.1
bflo_24098	OFUSG00231.1
bflo_24347	OFUSG21438.1
bflo_09479	OFUSG11499.1
bflo_21309	OFUSG24931.1
bflo_08360	OFUSG04386.1
bflo_24482	OFUSG22166.1
bflo_25717	OFUSG17628.1
bflo_01540	OFUSG17134.1
bflo_07703	OFUSG12012.1
bflo_09720	OFUSG05517.1
bflo_13114	OFUSG20787.1
bflo_21123	OFUSG15032.1
bflo_12778	OFUSG20384.1
bflo_24455	OFUSG11355.1
bflo_18691	OFUSG12625.1
bflo_10610	OFUSG18944.1
bflo_22738	OFUSG10906.1
bflo_16100	OFUSG22060.1
bflo_06766	OFUSG09624.1
bflo_21713	OFUSG11978.1
bflo_01443	OFUSG23368.1
bflo_07695	OFUSG10097.1
bflo_18473	OFUSG00383.1
bflo_20729	OFUSG12006.1
bflo_10504	OFUSG07059.1
bflo_11078	OFUSG05825.1
bflo_07493	OFUSG21941.1
bflo_21764	OFUSG14697.1
bflo_24470	OFUSG21372.1
bflo_23295	OFUSG17474.1
bflo_25416	OFUSG23609.1
bflo_13444	OFUSG22787.1
bflo_12672	OFUSG08894.1
bflo_21964	OFUSG00007.1
bflo_12786	OFUSG20423.1
bflo_23111	OFUSG10445.1
bflo_11339	OFUSG06906.1
bflo_09161	OFUSG05557.1
bflo_11748	OFUSG06350.1
bflo_19431	OFUSG07388.1
bflo_15819	OFUSG08350.1
bflo_23568	OFUSG25740.1
bflo_20603	OFUSG24197.1
bflo_10362	OFUSG06579.1
bflo_21761	OFUSG14330.1
bflo_10966	OFUSG19250.1
bflo_01194	OFUSG17088.1
bflo_16854	OFUSG12586.1
bflo_17732	OFUSG01299.1
bflo_23076	OFUSG18541.1
bflo_11629	OFUSG19078.1
bflo_05806	OFUSG19556.1
bflo_14954	OFUSG02725.1
bflo_10214	OFUSG06019.1
bflo_14242	OFUSG24254.1
bflo_01118	OFUSG13276.1
bflo_10613	OFUSG06868.1
bflo_10609	OFUSG06147.1
bflo_07205	OFUSG22011.1
bflo_16343	OFUSG07625.1
bflo_24506	OFUSG23243.1
bflo_11892	OFUSG06377.1
bflo_15784	OFUSG07239.1
bflo_11774	OFUSG21930.1
bflo_14263	OFUSG03798.1
bflo_20340	OFUSG26262.1
bflo_20506	OFUSG23959.1
bflo_11220	OFUSG19523.1
bflo_07530	OFUSG11108.1
bflo_16056	OFUSG16763.1
bflo_15013	OFUSG19612.1
bflo_02447	OFUSG16043.1
bflo_06441	OFUSG21198.1
bflo_15018	OFUSG02161.1
bflo_20556	OFUSG15534.1
bflo_18110	OFUSG01533.1
bflo_17483	OFUSG01215.1
bflo_11604	OFUSG06909.1
bflo_23160	OFUSG10767.1
bflo_00429	OFUSG21405.1
bflo_19445	OFUSG15988.1
bflo_26252	OFUSG21154.1
bflo_11632	OFUSG16445.1
bflo_11637	OFUSG19258.1
bflo_00223	OFUSG23239.1
bflo_18854	OFUSG11305.1
bflo_08180	OFUSG10790.1
bflo_08246	OFUSG03925.1
bflo_20838	OFUSG14870.1
bflo_13497	OFUSG26807.1
bflo_04551	OFUSG24639.1
bflo_17547	OFUSG01876.1
bflo_14264	OFUSG03463.1
bflo_12379	OFUSG20457.1
bflo_20030	OFUSG02180.1
bflo_14697	OFUSG22770.1
bflo_23316	OFUSG10942.1
bflo_20708	OFUSG12071.1
bflo_16668	OFUSG12593.1
bflo_20056	OFUSG15618.1
bflo_17395	OFUSG07044.1
bflo_07086	OFUSG10044.1
bflo_09335	OFUSG12414.1
bflo_07477	OFUSG10721.1
bflo_24508	OFUSG11770.1
bflo_06838	OFUSG09660.1
bflo_09904	OFUSG02130.1
bflo_10453	OFUSG25628.1
bflo_21629	OFUSG24998.1
bflo_09429	OFUSG06635.1
bflo_18755	OFUSG15798.1
bflo_13056	OFUSG20300.1
bflo_06725	OFUSG04114.1
bflo_09831	OFUSG07016.1
bflo_17817	OFUSG26773.1
bflo_10088	OFUSG06151.1
bflo_04112	OFUSG01226.1
bflo_19223	OFUSG24361.1
bflo_09237	OFUSG07586.1
bflo_01568	OFUSG21511.1
bflo_08900	OFUSG08592.1
bflo_07604	OFUSG10747.1
bflo_15004	OFUSG15619.1
bflo_19843	OFUSG24156.1
bflo_05479	OFUSG08811.1
bflo_03382	OFUSG08731.1
bflo_07667	OFUSG10234.1
bflo_19246	OFUSG12391.1
bflo_09728	OFUSG05793.1
bflo_14658	OFUSG03431.1
bflo_13440	OFUSG19319.1
bflo_18622	OFUSG16705.1
bflo_16431	OFUSG05822.1
bflo_03664	OFUSG24818.1
bflo_17783	OFUSG00916.1
bflo_20646	OFUSG22370.1
bflo_00631	OFUSG23631.1
bflo_02034	OFUSG13358.1
bflo_20247	OFUSG07428.1
bflo_10312	OFUSG06131.1
bflo_08172	OFUSG16581.1
bflo_12187	OFUSG05613.1
bflo_23636	OFUSG07737.1
bflo_10340	OFUSG07794.1
bflo_12137	OFUSG06124.1
bflo_16365	OFUSG08089.1
bflo_04445	OFUSG03936.1
bflo_02460	OFUSG15987.1
bflo_25650	OFUSG23359.1
bflo_23759	OFUSG17801.1
bflo_16526	OFUSG04726.1
bflo_12159	OFUSG23622.1
bflo_09602	OFUSG13725.1
bflo_05431	OFUSG13282.1
bflo_21842	OFUSG25985.1
bflo_16284	OFUSG25637.1
bflo_18689	OFUSG04325.1
bflo_24896	OFUSG05123.1
bflo_06356	OFUSG21379.1
bflo_11401	OFUSG09159.1
bflo_07490	OFUSG04392.1
bflo_05774	OFUSG13671.1
bflo_00383	OFUSG13371.1
bflo_25586	OFUSG13688.1
bflo_18793	OFUSG24339.1
bflo_13727	OFUSG20805.1
bflo_13107	OFUSG05408.1
bflo_13232	OFUSG04900.1
bflo_22878	OFUSG17033.1
bflo_23672	OFUSG18439.1
bflo_09180	OFUSG26072.1
bflo_09200	OFUSG07846.1
bflo_06819	OFUSG09150.1
bflo_07582	OFUSG08250.1
bflo_14342	OFUSG02540.1
bflo_17287	OFUSG26706.1
bflo_13516	OFUSG20793.1
bflo_24331	OFUSG23494.1
bflo_01522	OFUSG26416.1
bflo_14768	OFUSG03219.1
bflo_13155	OFUSG25792.1
bflo_05374	OFUSG21524.1
bflo_12062	OFUSG08013.1
bflo_00268	OFUSG17004.1
bflo_08517	OFUSG10883.1
bflo_14517	OFUSG02375.1
bflo_14287	OFUSG02609.1
bflo_20454	OFUSG15689.1
bflo_23721	OFUSG10494.1
bflo_24494	OFUSG07151.1
bflo_13086	OFUSG05386.1
bflo_15916	OFUSG07453.1
bflo_14999	OFUSG02054.1
bflo_25627	OFUSG21284.1
bflo_09921	OFUSG07083.1
bflo_17745	OFUSG00306.1
bflo_15985	OFUSG25638.1
bflo_13160	OFUSG22819.1
bflo_15756	OFUSG26695.1
bflo_05573	OFUSG09268.1
bflo_13244	OFUSG11987.1
bflo_07751	OFUSG22049.1
bflo_11006	OFUSG11663.1
bflo_18870	OFUSG12044.1
bflo_16307	OFUSG22097.1
bflo_10951	OFUSG11738.1
bflo_25567	OFUSG17278.1
bflo_21566	OFUSG12209.1
bflo_07415	OFUSG10852.1
bflo_25845	OFUSG13380.1
bflo_13532	OFUSG08181.1
bflo_26468	OFUSG13684.1
bflo_26209	OFUSG21452.1
bflo_01203	OFUSG12913.1
bflo_21308	OFUSG13988.1
bflo_22557	OFUSG24584.1
bflo_07929	OFUSG10764.1
bflo_20907	OFUSG22335.1
bflo_02167	OFUSG16600.1
bflo_18022	OFUSG01546.1
bflo_11420	OFUSG19153.1
bflo_11056	OFUSG12003.1
bflo_00274	OFUSG23273.1
bflo_17534	OFUSG01479.1
bflo_22677	OFUSG10033.1
bflo_06165	OFUSG10739.1
bflo_06948	OFUSG23188.1
bflo_03877	OFUSG22505.1
bflo_01458	OFUSG21397.1
bflo_03061	OFUSG08525.1
bflo_23145	OFUSG18303.1
bflo_25323	OFUSG26325.1
bflo_00277	OFUSG09530.1
bflo_15659	OFUSG22029.1
bflo_06955	OFUSG07888.1
bflo_23457	OFUSG10927.1
bflo_14597	OFUSG17699.1
bflo_20994	OFUSG24103.1
bflo_06652	OFUSG17151.1
bflo_06375	OFUSG23606.1
bflo_06525	OFUSG17149.1
bflo_08762	OFUSG06813.1
bflo_19853	OFUSG14909.1
bflo_25035	OFUSG21545.1
bflo_20085	OFUSG15491.1
bflo_03052	OFUSG00835.1
bflo_26217	OFUSG21355.1
bflo_07336	OFUSG03859.1
bflo_00306	OFUSG21514.1
bflo_00287	OFUSG10947.1
bflo_18612	OFUSG16189.1
bflo_23282	OFUSG22036.1
bflo_19112	OFUSG04658.1
bflo_19600	OFUSG16209.1
bflo_10880	OFUSG05819.1
bflo_23014	OFUSG11071.1
bflo_24086	OFUSG17325.1
bflo_15044	OFUSG03481.1
bflo_09732	OFUSG06895.1
bflo_14327	OFUSG03429.1
bflo_21258	OFUSG14472.1
bflo_17549	OFUSG09043.1
bflo_06088	OFUSG04851.1
bflo_00323	OFUSG21499.1
bflo_06420	OFUSG09126.1
bflo_21587	OFUSG11652.1
bflo_16038	OFUSG08104.1
bflo_10018	OFUSG05763.1
bflo_08319	OFUSG03994.1
bflo_20424	OFUSG11940.1
bflo_10713	OFUSG11428.1
bflo_23122	OFUSG17986.1
bflo_15708	OFUSG25606.1
bflo_20048	OFUSG15034.1
bflo_10251	OFUSG26077.1
bflo_15094	OFUSG02215.1
bflo_05685	OFUSG09613.1
bflo_16653	OFUSG07750.1
bflo_09224	OFUSG19055.1
bflo_12213	OFUSG18702.1
bflo_20516	OFUSG15213.1
bflo_19979	OFUSG12133.1
bflo_13948	OFUSG24085.1
bflo_25619	OFUSG16892.1
bflo_21300	OFUSG14243.1
bflo_09948	OFUSG07962.1
bflo_05638	OFUSG13347.1
bflo_10125	OFUSG19187.1
bflo_06308	OFUSG12155.1
bflo_08337	OFUSG15859.1
bflo_14388	OFUSG03606.1
bflo_04954	OFUSG21149.1
bflo_24564	OFUSG01641.1
bflo_06125	OFUSG09026.1
bflo_13736	OFUSG05250.1
bflo_17481	OFUSG01287.1
bflo_03866	OFUSG20932.1
bflo_07803	OFUSG16184.1
bflo_03634	OFUSG09726.1
bflo_20180	OFUSG24102.1
bflo_10933	OFUSG18782.1
bflo_24379	OFUSG26367.1
bflo_14196	OFUSG11337.1
bflo_07992	OFUSG24455.1
bflo_22969	OFUSG10768.1
bflo_06723	OFUSG17316.1
bflo_24404	OFUSG13013.1
bflo_11650	OFUSG05212.1
bflo_15422	OFUSG25160.1
bflo_23147	OFUSG10462.1
bflo_05978	OFUSG26362.1
bflo_18627	OFUSG15789.1
bflo_15966	OFUSG25574.1
bflo_13728	OFUSG05436.1
bflo_20020	OFUSG14865.1
bflo_00206	OFUSG07062.1
bflo_01491	OFUSG13363.1
bflo_26230	OFUSG17489.1
bflo_10054	OFUSG19247.1
bflo_20964	OFUSG16738.1
bflo_12782	OFUSG20871.1
bflo_03271	OFUSG09366.1
bflo_03053	OFUSG01088.1
bflo_12889	OFUSG22959.1
bflo_15673	OFUSG07746.1
bflo_24734	OFUSG21291.1
bflo_25738	OFUSG02716.1
bflo_07986	OFUSG08574.1
bflo_02429	OFUSG04241.1
bflo_23318	OFUSG18367.1
bflo_05285	OFUSG13614.1
bflo_08068	OFUSG25257.1
bflo_13691	OFUSG05148.1
bflo_00987	OFUSG25578.1
bflo_08585	OFUSG12268.1
bflo_05105	OFUSG09063.1
bflo_11380	OFUSG05482.1
bflo_24458	OFUSG13497.1
bflo_24361	OFUSG13640.1
bflo_07288	OFUSG10227.1
bflo_25646	OFUSG17344.1
bflo_08980	OFUSG05811.1
bflo_20886	OFUSG14982.1
bflo_17969	OFUSG01507.1
bflo_06765	OFUSG09625.1
bflo_06586	OFUSG08605.1
bflo_24002	OFUSG17656.1
bflo_20706	OFUSG24226.1
bflo_05016	OFUSG04844.1
bflo_01128	OFUSG23548.1
bflo_05448	OFUSG20154.1
bflo_22997	OFUSG18396.1
bflo_09774	OFUSG06645.1
bflo_12727	OFUSG20748.1
bflo_20237	OFUSG14984.1
bflo_20110	OFUSG15000.1
bflo_23458	OFUSG10665.1
bflo_19389	OFUSG04161.1
bflo_21631	OFUSG25904.1
bflo_17703	OFUSG00924.1
bflo_01211	OFUSG12648.1
bflo_23114	OFUSG10832.1
bflo_11641	OFUSG06177.1
bflo_14933	OFUSG03215.1
bflo_20122	OFUSG01150.1
bflo_22353	OFUSG13940.1
bflo_17412	OFUSG00842.1
bflo_09442	OFUSG19211.1
bflo_15825	OFUSG08347.1
bflo_07055	OFUSG18137.1
bflo_09908	OFUSG07697.1
bflo_07962	OFUSG17857.1
bflo_20219	OFUSG15084.1
bflo_09968	OFUSG15380.1
bflo_06117	OFUSG09414.1
bflo_21275	OFUSG13997.1
bflo_06974	OFUSG08593.1
bflo_09188	OFUSG05596.1
bflo_11703	OFUSG09544.1
bflo_11578	OFUSG19345.1
bflo_25622	OFUSG16891.1
bflo_25621	OFUSG11177.1
bflo_13938	OFUSG05478.1
bflo_07164	OFUSG04002.1
bflo_00109	OFUSG26311.1
bflo_02471	OFUSG16753.1
bflo_19851	OFUSG22676.1
bflo_12722	OFUSG05113.1
bflo_14641	OFUSG03071.1
bflo_03003	OFUSG01437.1
bflo_08799	OFUSG07953.1
bflo_14911	OFUSG02389.1
bflo_12631	OFUSG20513.1
bflo_15844	OFUSG26636.1
bflo_12709	OFUSG23208.1
bflo_13214	OFUSG05225.1
bflo_13170	OFUSG04895.2
bflo_08632	OFUSG12105.1
bflo_10333	OFUSG08087.1
bflo_03211	OFUSG09059.1
bflo_23777	OFUSG11178.1
bflo_12505	OFUSG20617.1
bflo_25184	OFUSG13528.1
bflo_06197	OFUSG09353.1
bflo_07364	OFUSG21932.1
bflo_17338	OFUSG12559.1
bflo_23279	OFUSG05661.1
bflo_07066	OFUSG03405.1
bflo_12674	OFUSG04950.1
bflo_07584	OFUSG10674.1
bflo_15792	OFUSG14985.1
bflo_17486	OFUSG19933.1
bflo_14682	OFUSG02916.1
bflo_00974	OFUSG13169.1
bflo_11518	OFUSG19175.1
bflo_14859	OFUSG03038.1
bflo_22153	OFUSG13860.1
bflo_25216	OFUSG23437.1
bflo_24870	OFUSG16824.1
bflo_08287	OFUSG07054.1
bflo_21931	OFUSG13670.1
bflo_25614	OFUSG17059.1
bflo_00931	OFUSG17215.1
bflo_01680	OFUSG13155.1
bflo_02439	OFUSG13171.1
bflo_07511	OFUSG11039.1
bflo_17566	OFUSG01491.1
bflo_24092	OFUSG17650.1
bflo_13212	OFUSG05029.1
bflo_10616	OFUSG12264.1
bflo_06231	OFUSG09668.1
bflo_12659	OFUSG05244.1
bflo_17604	OFUSG01919.1
bflo_09230	OFUSG19041.1
bflo_15829	OFUSG07217.1
bflo_10456	OFUSG07186.1
bflo_06111	OFUSG08544.1
bflo_00700	OFUSG13032.1
bflo_13260	OFUSG22991.1
bflo_23332	OFUSG10077.1
bflo_25999	OFUSG26590.1
bflo_20619	OFUSG22464.1
bflo_16671	OFUSG26151.1
bflo_04094	OFUSG01753.1
bflo_12045	OFUSG06545.1
bflo_12548	OFUSG26842.1
bflo_18122	OFUSG16789.1
bflo_23291	OFUSG18231.1
bflo_14524	OFUSG02199.1
bflo_15594	OFUSG11324.1
bflo_03594	OFUSG09508.1
bflo_11446	OFUSG05788.1
bflo_00746	OFUSG26480.1
bflo_12392	OFUSG08448.1
bflo_20017	OFUSG15471.1
bflo_24330	OFUSG17445.1
bflo_18853	OFUSG16583.1
bflo_12132	OFUSG12506.1
bflo_15469	OFUSG02255.1
bflo_16717	OFUSG07604.1
bflo_05975	OFUSG13448.1
bflo_11232	OFUSG00515.1
bflo_25521	OFUSG20530.1
bflo_12860	OFUSG20822.1
bflo_10778	OFUSG06097.1
bflo_09371	OFUSG06982.1
bflo_20166	OFUSG24200.1
bflo_00653	OFUSG02906.1
bflo_08394	OFUSG05595.1
bflo_18585	OFUSG12083.1
bflo_09137	OFUSG05890.1
bflo_12104	OFUSG19344.1
bflo_07700	OFUSG04294.1
bflo_21795	OFUSG14228.1
bflo_16729	OFUSG26755.1
bflo_13228	OFUSG20687.1
bflo_02452	OFUSG04196.1
bflo_09729	OFUSG08219.1
bflo_07342	OFUSG15954.1
bflo_20143	OFUSG22538.1
bflo_14806	OFUSG02978.1
bflo_20578	OFUSG15438.1
bflo_21793	OFUSG10521.1
bflo_03471	OFUSG00594.1
bflo_10395	OFUSG05455.1
bflo_24581	OFUSG21316.1
bflo_15025	OFUSG02909.1
bflo_07063	OFUSG10725.1
bflo_25129	OFUSG13443.1
bflo_03694	OFUSG19122.1
bflo_03870	OFUSG15171.1
bflo_13844	OFUSG07025.1
bflo_06290	OFUSG13383.1
bflo_10783	OFUSG06864.1
bflo_21754	OFUSG14696.1
bflo_23389	OFUSG12367.1
bflo_20865	OFUSG23755.1
bflo_24432	OFUSG24364.1
bflo_08807	OFUSG05531.1
bflo_18555	OFUSG03933.1
bflo_01311	OFUSG12631.1
bflo_20840	OFUSG07799.1
bflo_18845	OFUSG04467.1
bflo_23945	OFUSG25116.1
bflo_06677	OFUSG09823.1
bflo_08458	OFUSG04243.1
bflo_14058	OFUSG05156.1
bflo_25771	OFUSG13027.1
bflo_14809	OFUSG02827.1
bflo_25702	OFUSG23549.1
bflo_14496	OFUSG05913.1
bflo_15249	OFUSG23886.1
bflo_14934	OFUSG03586.1
bflo_03604	OFUSG07142.1
bflo_22782	OFUSG18076.1
bflo_12820	OFUSG20335.1
bflo_19855	OFUSG15607.1
bflo_12781	OFUSG23108.1
bflo_10812	OFUSG18883.1
bflo_12802	OFUSG05055.1
bflo_25193	OFUSG17203.1
bflo_12467	OFUSG05928.1
bflo_07808	OFUSG25340.1
bflo_26047	OFUSG12842.1
bflo_25240	OFUSG17629.1
bflo_02437	OFUSG08608.1
bflo_02905	OFUSG16338.1
bflo_11272	OFUSG18866.1
bflo_01454	OFUSG13501.1
bflo_09530	OFUSG05626.1
bflo_15506	OFUSG03235.1
bflo_23718	OFUSG11127.1
bflo_05537	OFUSG09296.1
bflo_16451	OFUSG07487.1
bflo_15159	OFUSG02644.1
bflo_13571	OFUSG20261.1
bflo_17657	OFUSG00455.1
bflo_19859	OFUSG08966.1
bflo_07723	OFUSG16687.1
bflo_00304	OFUSG21491.1
bflo_16223	OFUSG15216.1
bflo_01551	OFUSG13735.1
bflo_01445	OFUSG00256.1
bflo_06193	OFUSG09288.1
bflo_19216	OFUSG12394.1
bflo_06187	OFUSG09096.1
bflo_23328	OFUSG10080.1
bflo_03946	OFUSG00782.1
bflo_05077	OFUSG07849.1
bflo_19142	OFUSG16148.1
bflo_14285	OFUSG03807.1
bflo_13965	OFUSG23133.1
bflo_15103	OFUSG09970.1
bflo_20984	OFUSG22197.1
bflo_24358	OFUSG21242.1
bflo_07059	OFUSG18613.1
bflo_18782	OFUSG24257.1
bflo_18748	OFUSG16068.1
bflo_12235	OFUSG18787.1
bflo_09214	OFUSG07563.1
bflo_22699	OFUSG10564.1
bflo_21270	OFUSG26952.1
bflo_06851	OFUSG08813.1
bflo_20372	OFUSG15552.1
bflo_16601	OFUSG07660.1
bflo_05435	OFUSG11370.1
bflo_05756	OFUSG23393.1
bflo_10300	OFUSG05576.1
bflo_05423	OFUSG09685.1
bflo_12999	OFUSG05238.1
bflo_23944	OFUSG21039.1
bflo_25626	OFUSG17355.1
bflo_18447	OFUSG07966.1
bflo_25654	OFUSG17573.1
bflo_23520	OFUSG10469.1
bflo_13762	OFUSG12558.1
bflo_18080	OFUSG00085.1
bflo_06409	OFUSG09390.1
bflo_13388	OFUSG09527.1
bflo_10829	OFUSG02824.1
bflo_09843	OFUSG20349.1
bflo_23370	OFUSG09992.1
bflo_08757	OFUSG25295.1
bflo_23009	OFUSG23259.1
bflo_07500	OFUSG10760.1
bflo_05657	OFUSG24205.1
bflo_15106	OFUSG02975.1
bflo_17548	OFUSG00020.1
bflo_17066	OFUSG08355.1
bflo_10407	OFUSG18697.1
bflo_01370	OFUSG20924.1
bflo_06201	OFUSG12291.1
bflo_17740	OFUSG00222.1
bflo_23112	OFUSG17862.1
bflo_14092	OFUSG02929.1
bflo_06004	OFUSG17183.1
bflo_08107	OFUSG18256.1
bflo_15548	OFUSG08357.1
bflo_13125	OFUSG09016.1
bflo_16957	OFUSG25527.1
bflo_06000	OFUSG08546.1
bflo_09572	OFUSG02806.1
bflo_22793	OFUSG05851.1
bflo_11820	OFUSG05932.1
bflo_13909	OFUSG06793.1
bflo_23311	OFUSG15087.1
bflo_11565	OFUSG06435.1
bflo_24413	OFUSG23602.1
bflo_12629	OFUSG20514.1
bflo_14969	OFUSG03685.1
bflo_09082	OFUSG06074.1
bflo_11925	OFUSG11277.1
bflo_25744	OFUSG06709.1
bflo_17204	OFUSG22089.1
bflo_05686	OFUSG08707.1
bflo_24147	OFUSG01706.1
bflo_19213	OFUSG15810.1
bflo_25872	OFUSG23510.1
bflo_26328	OFUSG17300.1
bflo_05969	OFUSG19625.1
bflo_13919	OFUSG04751.1
bflo_03434	OFUSG01564.1
bflo_14158	OFUSG15445.1
bflo_14079	OFUSG03365.1
bflo_15958	OFUSG13923.1
bflo_08440	OFUSG16642.1
bflo_07071	OFUSG17968.1
bflo_17407	OFUSG00006.1
bflo_25325	OFUSG21501.1
bflo_19433	OFUSG22074.1
bflo_11439	OFUSG06912.1
bflo_23044	OFUSG10280.1
bflo_16083	OFUSG07633.1
bflo_10219	OFUSG19489.1
bflo_00260	OFUSG16938.1
bflo_09064	OFUSG07952.1
bflo_10373	OFUSG25180.1
bflo_17660	OFUSG01136.1
bflo_03754	OFUSG00744.1
bflo_23101	OFUSG10565.1
bflo_01169	OFUSG13154.1
bflo_24436	OFUSG21241.1
bflo_14396	OFUSG03666.1
bflo_02442	OFUSG04543.1
bflo_12441	OFUSG06346.1
bflo_20383	OFUSG22264.1
bflo_05002	OFUSG06933.1
bflo_15417	OFUSG02542.1
bflo_20604	OFUSG15328.1
bflo_05738	OFUSG20933.1
bflo_07787	OFUSG16116.1
bflo_17584	OFUSG00457.1
bflo_06253	OFUSG20007.1
bflo_16139	OFUSG24402.1
bflo_01557	OFUSG09744.1
bflo_26339	OFUSG23665.1
bflo_14031	OFUSG20592.1
bflo_06107	OFUSG26370.1
bflo_23715	OFUSG10816.1
bflo_17986	OFUSG22084.1
bflo_18185	OFUSG01203.1
bflo_08165	OFUSG04409.1
bflo_13072	OFUSG05215.1
bflo_03313	OFUSG00718.1
bflo_12609	OFUSG20621.1
bflo_25215	OFUSG03072.1
bflo_23949	OFUSG26444.1
bflo_17468	OFUSG01831.1
bflo_22789	OFUSG25447.1
bflo_03405	OFUSG01750.1
bflo_12757	OFUSG20208.1
bflo_04366	OFUSG10642.1
bflo_12477	OFUSG06465.1
bflo_20718	OFUSG25099.1
bflo_04355	OFUSG07618.1
bflo_17132	OFUSG00445.1
bflo_20487	OFUSG17576.1
bflo_04037	OFUSG01224.1
bflo_22791	OFUSG18365.1
bflo_16138	OFUSG08144.1
bflo_18873	OFUSG25047.1
bflo_12378	OFUSG18676.1
bflo_21624	OFUSG14237.1
bflo_00347	OFUSG17101.1
bflo_04282	OFUSG11484.1
bflo_24003	OFUSG21253.1
bflo_05131	OFUSG05328.1
bflo_22132	OFUSG23411.1
bflo_25401	OFUSG19626.1
bflo_12818	OFUSG05174.1
bflo_10956	OFUSG18769.1
bflo_12845	OFUSG04257.1
bflo_08995	OFUSG08374.1
bflo_13226	OFUSG20878.1
bflo_25687	OFUSG21167.1
bflo_21482	OFUSG14554.1
bflo_06738	OFUSG20196.1
bflo_20845	OFUSG15321.1
bflo_10302	OFUSG06794.1
bflo_07438	OFUSG03913.1
bflo_02541	OFUSG23710.1
bflo_06182	OFUSG08908.1
bflo_01745	OFUSG26530.1
bflo_22945	OFUSG10545.1
bflo_21430	OFUSG12136.1
bflo_24612	OFUSG13656.1
bflo_22993	OFUSG18300.1
bflo_14626	OFUSG03363.1
bflo_11098	OFUSG21854.1
bflo_03036	OFUSG09190.1
bflo_16007	OFUSG07939.1
bflo_05869	OFUSG21907.1
bflo_17865	OFUSG13570.1
bflo_06655	OFUSG17150.1
bflo_12717	OFUSG04989.1
bflo_17392	OFUSG21917.1
bflo_20000	OFUSG12256.1
bflo_23742	OFUSG04262.1
bflo_00388	OFUSG12615.1
bflo_04215	OFUSG06256.1
bflo_25686	OFUSG23413.1
bflo_21850	OFUSG14182.1
bflo_02143	OFUSG15796.1
bflo_19016	OFUSG16733.1
bflo_10517	OFUSG11480.1
bflo_25044	OFUSG11245.1
bflo_23446	OFUSG17958.1
bflo_04794	OFUSG00054.1
bflo_05326	OFUSG06422.1
bflo_01493	OFUSG15945.1
bflo_14974	OFUSG03152.1
bflo_24520	OFUSG17110.1
bflo_25104	OFUSG12843.1
bflo_21363	OFUSG14229.1
bflo_10487	OFUSG12479.1
bflo_15640	OFUSG08234.1
bflo_01434	OFUSG21402.1
bflo_02463	OFUSG13558.1
bflo_13998	OFUSG20710.1
bflo_01465	OFUSG25379.1
