AENJA_23461	BRALA00047
AENJA_13579	BRALA13802
AENJA_13747	BRALA17608
AENJA_20117	BRALA24284
AENJA_15687	BRALA23603
AENJA_16308	BRALA07725
AENJA_19655	BRALA13568
AENJA_19656	BRALA33879
AENJA_22248	BRALA28026
AENJA_26609	BRALA09084
AENJA_26741	BRALA22493
AENJA_00009	BRALA12498
AENJA_00007	BRALA16098
AENJA_24701	BRALA16826
AENJA_00720	BRALA13327
AENJA_02927	BRALA13540
AENJA_13174	BRALA03023
AENJA_07797	BRALA00752
AENJA_06301	BRALA23048
AENJA_06307	BRALA11818
AENJA_06755	BRALA13309
AENJA_10711	BRALA16639
AENJA_11192	BRALA09514
AENJA_13577	BRALA14735
AENJA_15840	BRALA10734
AENJA_19404	BRALA18782
AENJA_21745	BRALA35992
AENJA_01168	BRALA32774
AENJA_24946	BRALA23567
AENJA_01685	BRALA24884
AENJA_15958	BRALA22337
AENJA_14441	BRALA14948
AENJA_18566	BRALA14768
AENJA_05192	BRALA05900
AENJA_06024	BRALA30313
AENJA_26059	BRALA20565
AENJA_07498	BRALA30065
AENJA_08737	BRALA06911
AENJA_15031	BRALA04692
AENJA_10142	BRALA04333
AENJA_26334	BRALA34444
AENJA_10268	BRALA15302
AENJA_11857	BRALA04002
AENJA_12752	BRALA05138
AENJA_14989	BRALA06035
AENJA_26058	BRALA20573
AENJA_14047	BRALA18132
AENJA_14313	BRALA02232
AENJA_17799	BRALA10129
AENJA_15086	BRALA21684
AENJA_17542	BRALA27214
AENJA_21307	BRALA19974
AENJA_18825	BRALA16139
AENJA_22812	BRALA10757
AENJA_24531	BRALA25890
AENJA_00058	BRALA25128
AENJA_00493	BRALA24133
AENJA_01200	BRALA09601
AENJA_21857	BRALA02488
AENJA_01327	BRALA28833
AENJA_24392	BRALA15988
AENJA_02210	BRALA03561
AENJA_04101	BRALA11819
AENJA_26398	BRALA15935
AENJA_07276	BRALA29973
AENJA_09031	BRALA01086
AENJA_09041	BRALA26756
AENJA_18956	BRALA17839
AENJA_09592	BRALA15850
AENJA_11717	BRALA28371
AENJA_11254	BRALA34460
AENJA_15953	BRALA00597
AENJA_16979	BRALA05650
AENJA_17612	BRALA28081
AENJA_18562	BRALA10294
AENJA_21603	BRALA31139
AENJA_19416	BRALA27150
AENJA_19765	BRALA22011
AENJA_21588	BRALA03165
AENJA_22625	BRALA26622
AENJA_23700	BRALA04168
AENJA_02177	BRALA31220
AENJA_19599	BRALA04360
AENJA_07960	BRALA16537
AENJA_05667	BRALA10747
AENJA_21346	BRALA15125
AENJA_07588	BRALA14260
AENJA_09040	BRALA07764
AENJA_11242	BRALA18092
AENJA_11976	BRALA21012
AENJA_24053	BRALA17334
AENJA_17279	BRALA00477
AENJA_18393	BRALA25027
AENJA_20096	BRALA05331
AENJA_21103	BRALA09366
AENJA_25759	BRALA35145
AENJA_02100	BRALA34134
AENJA_02283	BRALA03642
AENJA_25444	BRALA10859
AENJA_02714	BRALA03222
AENJA_03493	BRALA16976
AENJA_10310	BRALA24251
AENJA_03712	BRALA01606
AENJA_04208	BRALA25030
AENJA_17726	BRALA18973
AENJA_04651	BRALA17017
AENJA_05081	BRALA07264
AENJA_05090	BRALA23210
AENJA_06074	BRALA10091
AENJA_09059	BRALA16893
AENJA_09382	BRALA24710
AENJA_11194	BRALA09515
AENJA_12223	BRALA02372
AENJA_14056	BRALA14486
AENJA_21135	BRALA09529
AENJA_14208	BRALA34142
AENJA_16309	BRALA27842
AENJA_18219	BRALA08199
AENJA_22039	BRALA01391
AENJA_19878	BRALA17557
AENJA_21150	BRALA17572
AENJA_21434	BRALA17947
AENJA_21781	BRALA14445
AENJA_25092	BRALA29575
AENJA_25589	BRALA00094
AENJA_26215	BRALA22582
AENJA_13024	BRALA01346
AENJA_01840	BRALA17951
AENJA_14579	BRALA22379
AENJA_03926	BRALA10193
AENJA_13028	BRALA05038
AENJA_24214	BRALA19534
AENJA_05647	BRALA03706
AENJA_06272	BRALA22585
AENJA_10879	BRALA27863
AENJA_06702	BRALA10689
AENJA_15801	BRALA14116
AENJA_08368	BRALA13047
AENJA_08714	BRALA15900
AENJA_08900	BRALA12724
AENJA_20026	BRALA18356
AENJA_09435	BRALA08906
AENJA_09605	BRALA24213
AENJA_12368	BRALA11528
AENJA_16608	BRALA25109
AENJA_14609	BRALA08021
AENJA_15110	BRALA09871
AENJA_16813	BRALA13321
AENJA_15789	BRALA31053
AENJA_15995	BRALA33648
AENJA_16742	BRALA24571
AENJA_18964	BRALA24570
AENJA_18352	BRALA10354
AENJA_26627	BRALA19771
AENJA_20881	BRALA23942
AENJA_22608	BRALA35749
AENJA_23263	BRALA00789
AENJA_23772	BRALA25392
AENJA_21191	BRALA12816
AENJA_01361	BRALA03869
AENJA_01884	BRALA16187
AENJA_05873	BRALA27720
AENJA_09573	BRALA17798
AENJA_07753	BRALA25624
AENJA_08188	BRALA32786
AENJA_08567	BRALA15175
AENJA_11211	BRALA16599
AENJA_11584	BRALA08920
AENJA_13074	BRALA08614
AENJA_13131	BRALA19433
AENJA_16641	BRALA15242
AENJA_17277	BRALA10956
AENJA_17284	BRALA16806
AENJA_17922	BRALA19110
AENJA_17959	BRALA10384
AENJA_18703	BRALA26737
AENJA_25362	BRALA16842
AENJA_20082	BRALA15116
AENJA_22766	BRALA16333
AENJA_23248	BRALA23817
AENJA_23800	BRALA09523
AENJA_23995	BRALA23866
AENJA_25726	BRALA12204
AENJA_26718	BRALA07065
AENJA_00558	BRALA31862
AENJA_00590	BRALA15754
AENJA_05269	BRALA25855
AENJA_01101	BRALA09927
AENJA_19357	BRALA06146
AENJA_02205	BRALA22380
AENJA_02507	BRALA04732
AENJA_02809	BRALA26708
AENJA_05828	BRALA05435
AENJA_03978	BRALA22383
AENJA_13814	BRALA05583
AENJA_04091	BRALA14289
AENJA_05232	BRALA02740
AENJA_06247	BRALA30797
AENJA_18215	BRALA31201
AENJA_06436	BRALA20220
AENJA_07170	BRALA11457
AENJA_07474	BRALA29483
AENJA_17343	BRALA13507
AENJA_08160	BRALA13859
AENJA_09757	BRALA05590
AENJA_10714	BRALA04649
AENJA_10983	BRALA01078
AENJA_13248	BRALA30793
AENJA_13339	BRALA21204
AENJA_14173	BRALA00576
AENJA_14934	BRALA27549
AENJA_15682	BRALA07796
AENJA_17237	BRALA01936
AENJA_16043	BRALA05645
AENJA_18858	BRALA05407
AENJA_19059	BRALA31269
AENJA_19108	BRALA24398
AENJA_23459	BRALA18565
AENJA_26002	BRALA16638
AENJA_00145	BRALA11220
AENJA_03160	BRALA04659
AENJA_00153	BRALA20555
AENJA_00362	BRALA01822
AENJA_00506	BRALA19668
AENJA_02385	BRALA11531
AENJA_03127	BRALA13329
AENJA_19963	BRALA01424
AENJA_04181	BRALA16673
AENJA_05517	BRALA07054
AENJA_12377	BRALA21555
AENJA_04889	BRALA01804
AENJA_16142	BRALA02256
AENJA_05087	BRALA16822
AENJA_06571	BRALA05122
AENJA_07027	BRALA15558
AENJA_20570	BRALA14211
AENJA_09064	BRALA23956
AENJA_09362	BRALA13313
AENJA_09857	BRALA06889
AENJA_17986	BRALA02000
AENJA_10074	BRALA06618
AENJA_10995	BRALA04572
AENJA_11151	BRALA11811
AENJA_12236	BRALA14063
AENJA_13235	BRALA22363
AENJA_14700	BRALA09018
AENJA_24781	BRALA10385
AENJA_14793	BRALA05604
AENJA_14828	BRALA24804
AENJA_15225	BRALA11225
AENJA_19708	BRALA15252
AENJA_16158	BRALA03008
AENJA_16776	BRALA11374
AENJA_17029	BRALA21598
AENJA_19356	BRALA11722
AENJA_21194	BRALA22671
AENJA_21858	BRALA08931
AENJA_23840	BRALA20247
AENJA_24153	BRALA24189
AENJA_25216	BRALA26116
AENJA_25283	BRALA10451
AENJA_25544	BRALA14954
AENJA_26227	BRALA03740
AENJA_01887	BRALA11705
AENJA_02988	BRALA26158
AENJA_23557	BRALA13476
AENJA_03755	BRALA11114
AENJA_05938	BRALA05725
AENJA_06136	BRALA34079
AENJA_06316	BRALA28941
AENJA_07590	BRALA12089
AENJA_08942	BRALA35622
AENJA_09698	BRALA04162
AENJA_09714	BRALA10671
AENJA_10243	BRALA05014
AENJA_11024	BRALA12776
AENJA_11205	BRALA01688
AENJA_12318	BRALA14767
AENJA_14026	BRALA29451
AENJA_14135	BRALA25534
AENJA_19275	BRALA33381
AENJA_15536	BRALA27325
AENJA_16414	BRALA14939
AENJA_16663	BRALA10086
AENJA_16808	BRALA19992
AENJA_17449	BRALA26789
AENJA_18632	BRALA15428
AENJA_19473	BRALA33210
AENJA_20341	BRALA21412
AENJA_20708	BRALA15767
AENJA_00995	BRALA01668
AENJA_02497	BRALA34422
AENJA_09615	BRALA33834
AENJA_16874	BRALA26562
AENJA_17688	BRALA22843
AENJA_04459	BRALA09715
AENJA_05503	BRALA31004
AENJA_06118	BRALA12708
AENJA_06179	BRALA03739
AENJA_07567	BRALA27979
AENJA_12105	BRALA29965
AENJA_13295	BRALA07630
AENJA_08311	BRALA21818
AENJA_08667	BRALA30365
AENJA_09404	BRALA27054
AENJA_11930	BRALA13673
AENJA_12513	BRALA12270
AENJA_13019	BRALA05651
AENJA_13880	BRALA13964
AENJA_19842	BRALA00935
AENJA_24461	BRALA17639
AENJA_17758	BRALA17050
AENJA_22665	BRALA16186
AENJA_18250	BRALA31604
AENJA_19183	BRALA01224
AENJA_21910	BRALA10408
AENJA_21919	BRALA12711
AENJA_23479	BRALA09477
AENJA_24178	BRALA27598
AENJA_24180	BRALA11454
AENJA_24228	BRALA03709
AENJA_25168	BRALA20586
AENJA_26338	BRALA28423
AENJA_26528	BRALA27471
AENJA_26828	BRALA28222
AENJA_25068	BRALA16725
AENJA_00406	BRALA12314
AENJA_14826	BRALA01640
AENJA_01627	BRALA07984
AENJA_09891	BRALA08966
AENJA_08460	BRALA09232
AENJA_04501	BRALA13133
AENJA_04862	BRALA18552
AENJA_06276	BRALA34521
AENJA_06477	BRALA04341
AENJA_08323	BRALA06092
AENJA_19787	BRALA12725
AENJA_08569	BRALA15161
AENJA_09589	BRALA19004
AENJA_17703	BRALA18528
AENJA_10096	BRALA10392
AENJA_10716	BRALA01957
AENJA_12188	BRALA17313
AENJA_14211	BRALA16413
AENJA_14605	BRALA14696
AENJA_14706	BRALA00816
AENJA_14807	BRALA07949
AENJA_19284	BRALA29988
AENJA_16897	BRALA32222
AENJA_17020	BRALA29673
AENJA_18126	BRALA09279
AENJA_21539	BRALA12496
AENJA_18234	BRALA20356
AENJA_18695	BRALA18314
AENJA_18896	BRALA31002
AENJA_18913	BRALA35025
AENJA_19487	BRALA12450
AENJA_19510	BRALA23585
AENJA_20882	BRALA28932
AENJA_22054	BRALA01412
AENJA_23181	BRALA28121
AENJA_23210	BRALA13229
AENJA_23879	BRALA26951
AENJA_26289	BRALA16637
AENJA_00391	BRALA04011
AENJA_01256	BRALA33197
AENJA_21125	BRALA27722
AENJA_03001	BRALA11878
AENJA_03159	BRALA04651
AENJA_04731	BRALA12583
AENJA_05905	BRALA27100
AENJA_05238	BRALA11317
AENJA_05672	BRALA19317
AENJA_06086	BRALA31880
AENJA_22480	BRALA01214
AENJA_11003	BRALA06391
AENJA_06300	BRALA16749
AENJA_07102	BRALA00367
AENJA_07191	BRALA17019
AENJA_07885	BRALA22974
AENJA_09175	BRALA17315
AENJA_09939	BRALA00365
AENJA_11464	BRALA04159
AENJA_26746	BRALA04014
AENJA_11807	BRALA31138
AENJA_18698	BRALA00379
AENJA_11849	BRALA27917
AENJA_16822	BRALA32159
AENJA_18304	BRALA24816
AENJA_18312	BRALA02822
AENJA_21847	BRALA33853
AENJA_24035	BRALA07231
AENJA_24257	BRALA01068
AENJA_00912	BRALA22821
AENJA_01039	BRALA15416
AENJA_01136	BRALA05359
AENJA_01555	BRALA31838
AENJA_02081	BRALA18081
AENJA_02209	BRALA13740
AENJA_02224	BRALA13029
AENJA_13337	BRALA23437
AENJA_16266	BRALA32730
AENJA_02720	BRALA03458
AENJA_26644	BRALA10578
AENJA_02907	BRALA10903
AENJA_03434	BRALA27104
AENJA_03497	BRALA19032
AENJA_03878	BRALA17854
AENJA_04029	BRALA05825
AENJA_04716	BRALA34008
AENJA_06017	BRALA10761
AENJA_11860	BRALA03770
AENJA_06020	BRALA11932
AENJA_09822	BRALA08403
AENJA_08928	BRALA27871
AENJA_11224	BRALA24214
AENJA_14070	BRALA19982
AENJA_15108	BRALA23388
AENJA_15111	BRALA22905
AENJA_16080	BRALA34571
AENJA_22249	BRALA06826
AENJA_16159	BRALA27398
AENJA_18802	BRALA10418
AENJA_22163	BRALA17956
AENJA_22441	BRALA08133
AENJA_22826	BRALA21004
AENJA_23699	BRALA27069
AENJA_24912	BRALA30977
AENJA_25749	BRALA33790
AENJA_25480	BRALA03693
AENJA_25965	BRALA25782
AENJA_00276	BRALA14604
AENJA_00392	BRALA06836
AENJA_14833	BRALA22299
AENJA_01099	BRALA11491
AENJA_09499	BRALA20453
AENJA_01192	BRALA21646
AENJA_03170	BRALA16488
AENJA_05068	BRALA01658
AENJA_09017	BRALA01655
AENJA_06530	BRALA15214
AENJA_03406	BRALA02795
AENJA_04195	BRALA16828
AENJA_09558	BRALA20166
AENJA_05662	BRALA22039
AENJA_05784	BRALA00724
AENJA_06251	BRALA25700
AENJA_06373	BRALA18508
AENJA_07131	BRALA00316
AENJA_22533	BRALA19868
AENJA_08367	BRALA11427
AENJA_24416	BRALA07883
AENJA_09181	BRALA20533
AENJA_09994	BRALA24910
AENJA_10202	BRALA14986
AENJA_10903	BRALA17333
AENJA_13412	BRALA23647
AENJA_13786	BRALA04842
AENJA_14824	BRALA01571
AENJA_26556	BRALA04666
AENJA_15931	BRALA05148
AENJA_17964	BRALA19506
AENJA_19342	BRALA00196
AENJA_21035	BRALA10468
AENJA_21678	BRALA03090
AENJA_22935	BRALA02591
AENJA_23001	BRALA16641
AENJA_23249	BRALA16175
AENJA_23535	BRALA02872
AENJA_23757	BRALA07406
AENJA_24206	BRALA05641
AENJA_25556	BRALA16627
AENJA_25733	BRALA25354
AENJA_12672	BRALA10654
AENJA_19651	BRALA10653
AENJA_00715	BRALA01071
AENJA_00766	BRALA03142
AENJA_18108	BRALA20584
AENJA_01522	BRALA18937
AENJA_04493	BRALA11158
AENJA_04553	BRALA08335
AENJA_04702	BRALA03719
AENJA_08247	BRALA12427
AENJA_14971	BRALA07880
AENJA_06983	BRALA14579
AENJA_07207	BRALA08212
AENJA_07271	BRALA18719
AENJA_07312	BRALA34934
AENJA_07397	BRALA13098
AENJA_07733	BRALA20581
AENJA_07813	BRALA05557
AENJA_07921	BRALA09761
AENJA_08322	BRALA20547
AENJA_08353	BRALA33467
AENJA_08461	BRALA09243
AENJA_09123	BRALA00199
AENJA_16491	BRALA04016
AENJA_09312	BRALA15947
AENJA_09652	BRALA22747
AENJA_10214	BRALA33781
AENJA_11391	BRALA19925
AENJA_14004	BRALA21969
AENJA_14156	BRALA19935
AENJA_14779	BRALA10021
AENJA_15098	BRALA19248
AENJA_15918	BRALA01341
AENJA_16220	BRALA16751
AENJA_16222	BRALA26409
AENJA_19715	BRALA02794
AENJA_21040	BRALA25056
AENJA_22934	BRALA18432
AENJA_25912	BRALA30884
AENJA_00224	BRALA24497
AENJA_20686	BRALA02840
AENJA_00249	BRALA13023
AENJA_00588	BRALA35550
AENJA_00736	BRALA13430
AENJA_01170	BRALA00831
AENJA_08485	BRALA14482
AENJA_16586	BRALA16247
AENJA_03566	BRALA04529
AENJA_02076	BRALA06853
AENJA_05468	BRALA02636
AENJA_03271	BRALA01345
AENJA_03839	BRALA33222
AENJA_04307	BRALA00423
AENJA_04624	BRALA01100
AENJA_05832	BRALA08609
AENJA_13809	BRALA01963
AENJA_06548	BRALA01543
AENJA_07029	BRALA13445
AENJA_07865	BRALA12075
AENJA_07871	BRALA17607
AENJA_08721	BRALA10404
AENJA_16826	BRALA21169
AENJA_08803	BRALA06005
AENJA_09069	BRALA06824
AENJA_09456	BRALA25398
AENJA_09829	BRALA25625
AENJA_10312	BRALA29696
AENJA_10713	BRALA11387
AENJA_12411	BRALA16392
AENJA_12452	BRALA11918
AENJA_13122	BRALA12828
AENJA_17928	BRALA31032
AENJA_14418	BRALA24727
AENJA_15959	BRALA10600
AENJA_19250	BRALA16632
AENJA_16307	BRALA28198
AENJA_16686	BRALA16748
AENJA_17038	BRALA01686
AENJA_17381	BRALA19367
AENJA_18014	BRALA29341
AENJA_18081	BRALA15779
AENJA_18261	BRALA13794
AENJA_18299	BRALA29361
AENJA_18795	BRALA14625
AENJA_22714	BRALA00859
AENJA_22770	BRALA02743
AENJA_23560	BRALA08425
AENJA_24796	BRALA34104
AENJA_26115	BRALA04350
AENJA_26436	BRALA15770
AENJA_00265	BRALA31266
AENJA_00303	BRALA25500
AENJA_00356	BRALA17550
AENJA_01331	BRALA07557
AENJA_09415	BRALA17559
AENJA_02634	BRALA17849
AENJA_04869	BRALA17546
AENJA_03401	BRALA16354
AENJA_04890	BRALA29050
AENJA_14288	BRALA30184
AENJA_06674	BRALA01282
AENJA_09407	BRALA04183
AENJA_13848	BRALA00220
AENJA_08069	BRALA29387
AENJA_08834	BRALA09070
AENJA_08990	BRALA18083
AENJA_11028	BRALA21922
AENJA_11279	BRALA06492
AENJA_11419	BRALA20225
AENJA_11623	BRALA23568
AENJA_13118	BRALA11040
AENJA_13757	BRALA06336
AENJA_13775	BRALA20669
AENJA_13858	BRALA15768
AENJA_16732	BRALA10833
AENJA_16933	BRALA23019
AENJA_20637	BRALA16933
AENJA_17663	BRALA06049
AENJA_17773	BRALA31054
AENJA_23173	BRALA29066
AENJA_19423	BRALA18492
AENJA_20118	BRALA00375
AENJA_20630	BRALA26240
AENJA_21656	BRALA00224
AENJA_23670	BRALA22423
AENJA_25210	BRALA29526
AENJA_25686	BRALA00391
AENJA_26727	BRALA18313
AENJA_00395	BRALA01255
AENJA_02772	BRALA19536
AENJA_02775	BRALA22621
AENJA_02978	BRALA21414
AENJA_03055	BRALA04513
AENJA_04991	BRALA02335
AENJA_05029	BRALA29142
AENJA_16274	BRALA05661
AENJA_05224	BRALA18537
AENJA_05900	BRALA23033
AENJA_06271	BRALA12029
AENJA_06511	BRALA09642
AENJA_07375	BRALA27764
AENJA_08092	BRALA14687
AENJA_11520	BRALA26386
AENJA_08139	BRALA24409
AENJA_08254	BRALA27583
AENJA_08572	BRALA26127
AENJA_09702	BRALA00516
AENJA_09973	BRALA14130
AENJA_10742	BRALA35611
AENJA_12041	BRALA01982
AENJA_15120	BRALA25730
AENJA_15234	BRALA23177
AENJA_20731	BRALA00234
AENJA_19678	BRALA10471
AENJA_20386	BRALA22175
AENJA_20905	BRALA22365
AENJA_21472	BRALA28303
AENJA_21606	BRALA26857
AENJA_21956	BRALA05973
AENJA_22006	BRALA08891
AENJA_22526	BRALA24109
AENJA_22686	BRALA16479
AENJA_24473	BRALA01147
AENJA_24518	BRALA13643
AENJA_25109	BRALA03456
AENJA_25530	BRALA30841
AENJA_25552	BRALA21267
AENJA_25673	BRALA20596
AENJA_25817	BRALA28882
AENJA_26100	BRALA26237
AENJA_00126	BRALA19240
AENJA_00359	BRALA29680
AENJA_00917	BRALA05686
AENJA_01835	BRALA12199
AENJA_02011	BRALA06097
AENJA_02620	BRALA28316
AENJA_03621	BRALA22859
AENJA_04050	BRALA28861
AENJA_04817	BRALA03169
AENJA_04875	BRALA19276
AENJA_05339	BRALA21701
AENJA_15350	BRALA24687
AENJA_06936	BRALA07695
AENJA_07430	BRALA19372
AENJA_08191	BRALA28309
AENJA_09042	BRALA26757
AENJA_09301	BRALA17583
AENJA_10174	BRALA33560
AENJA_10358	BRALA17357
AENJA_10898	BRALA15803
AENJA_10936	BRALA15940
AENJA_17931	BRALA31289
AENJA_11461	BRALA10667
AENJA_11466	BRALA04285
AENJA_11762	BRALA17103
AENJA_13668	BRALA19605
AENJA_12189	BRALA17312
AENJA_12297	BRALA19453
AENJA_13751	BRALA06421
AENJA_12486	BRALA29886
AENJA_13922	BRALA06348
AENJA_14633	BRALA07343
AENJA_14940	BRALA21828
AENJA_16068	BRALA03145
AENJA_16415	BRALA34998
AENJA_16471	BRALA21154
AENJA_23270	BRALA01161
AENJA_17912	BRALA35441
AENJA_18094	BRALA15225
AENJA_23030	BRALA25274
AENJA_18243	BRALA31606
AENJA_18361	BRALA08732
AENJA_19972	BRALA06503
AENJA_18424	BRALA01580
AENJA_18769	BRALA25710
AENJA_19691	BRALA10470
AENJA_19816	BRALA17768
AENJA_20080	BRALA01899
AENJA_21407	BRALA17354
AENJA_21853	BRALA02511
AENJA_22069	BRALA05306
AENJA_22305	BRALA03464
AENJA_22552	BRALA04863
AENJA_22617	BRALA21795
AENJA_23964	BRALA24660
AENJA_24425	BRALA21363
AENJA_00050	BRALA19715
AENJA_10139	BRALA20635
AENJA_13042	BRALA20472
AENJA_01702	BRALA20470
AENJA_01704	BRALA26673
AENJA_01746	BRALA19604
AENJA_02077	BRALA06615
AENJA_02179	BRALA24494
AENJA_02303	BRALA33920
AENJA_02304	BRALA21714
AENJA_02540	BRALA29368
AENJA_04090	BRALA05999
AENJA_03185	BRALA06000
AENJA_04718	BRALA13750
AENJA_04721	BRALA35902
AENJA_17042	BRALA01669
AENJA_05630	BRALA21605
AENJA_06217	BRALA33999
AENJA_06283	BRALA24911
AENJA_11508	BRALA08304
AENJA_06958	BRALA10266
AENJA_07026	BRALA15560
AENJA_08886	BRALA03727
AENJA_09492	BRALA21715
AENJA_24190	BRALA06211
AENJA_10170	BRALA12063
AENJA_11216	BRALA03062
AENJA_11307	BRALA07688
AENJA_13140	BRALA34647
AENJA_13193	BRALA31922
AENJA_13335	BRALA13385
AENJA_14021	BRALA24175
AENJA_14525	BRALA13683
AENJA_14565	BRALA16853
AENJA_14678	BRALA18548
AENJA_15317	BRALA11206
AENJA_15978	BRALA24091
AENJA_17477	BRALA17302
AENJA_17870	BRALA19435
AENJA_19538	BRALA35385
AENJA_19831	BRALA15980
AENJA_19978	BRALA15346
AENJA_20031	BRALA25960
AENJA_21727	BRALA06025
AENJA_23222	BRALA28875
AENJA_23640	BRALA02774
AENJA_23854	BRALA17340
AENJA_24807	BRALA21420
AENJA_24864	BRALA13024
AENJA_25474	BRALA03975
AENJA_26405	BRALA02622
AENJA_00869	BRALA21661
AENJA_01738	BRALA28966
AENJA_01956	BRALA12268
AENJA_03189	BRALA14241
AENJA_03520	BRALA04435
AENJA_03802	BRALA24064
AENJA_06079	BRALA29052
AENJA_06618	BRALA26255
AENJA_22580	BRALA18044
AENJA_13021	BRALA01146
AENJA_06978	BRALA01145
AENJA_08499	BRALA26591
AENJA_09721	BRALA04400
AENJA_10053	BRALA06059
AENJA_10208	BRALA27654
AENJA_13772	BRALA17686
AENJA_11703	BRALA22920
AENJA_12852	BRALA19186
AENJA_13012	BRALA27826
AENJA_13482	BRALA23857
AENJA_13792	BRALA02293
AENJA_15109	BRALA19904
AENJA_15315	BRALA15237
AENJA_16480	BRALA03390
AENJA_15652	BRALA34899
AENJA_16160	BRALA02543
AENJA_16506	BRALA20233
AENJA_17527	BRALA01264
AENJA_18224	BRALA11855
AENJA_18771	BRALA25711
AENJA_19054	BRALA28942
AENJA_19252	BRALA07016
AENJA_20934	BRALA23213
AENJA_21374	BRALA27482
AENJA_22329	BRALA12487
AENJA_22340	BRALA00751
AENJA_23782	BRALA13549
AENJA_22527	BRALA21573
AENJA_22567	BRALA35458
AENJA_22954	BRALA25269
AENJA_25318	BRALA22190
AENJA_25475	BRALA20876
AENJA_25507	BRALA20249
AENJA_25963	BRALA31285
AENJA_26503	BRALA25962
AENJA_01011	BRALA05290
AENJA_01548	BRALA24995
AENJA_02567	BRALA09717
AENJA_02731	BRALA20318
AENJA_03266	BRALA05890
AENJA_03555	BRALA05218
AENJA_03569	BRALA31198
AENJA_04613	BRALA05674
AENJA_04703	BRALA03717
AENJA_05961	BRALA19736
AENJA_07499	BRALA01716
AENJA_07684	BRALA08046
AENJA_07876	BRALA16227
AENJA_18117	BRALA01143
AENJA_07911	BRALA18576
AENJA_07916	BRALA34467
AENJA_23502	BRALA34627
AENJA_09369	BRALA35219
AENJA_10932	BRALA25694
AENJA_11342	BRALA13527
AENJA_23395	BRALA03354
AENJA_11769	BRALA16928
AENJA_23143	BRALA04833
AENJA_12073	BRALA29532
AENJA_12278	BRALA19544
AENJA_12348	BRALA30181
AENJA_13302	BRALA00323
AENJA_13348	BRALA19985
AENJA_14010	BRALA06198
AENJA_14734	BRALA28165
AENJA_15689	BRALA24099
AENJA_15802	BRALA07454
AENJA_16773	BRALA01969
AENJA_17578	BRALA15658
AENJA_19513	BRALA03567
AENJA_21660	BRALA34752
AENJA_19993	BRALA15230
AENJA_20517	BRALA12414
AENJA_21367	BRALA06181
AENJA_21647	BRALA15956
AENJA_23309	BRALA03643
AENJA_22488	BRALA18879
AENJA_22561	BRALA22866
AENJA_22783	BRALA22719
AENJA_22977	BRALA10719
AENJA_24398	BRALA12055
AENJA_24945	BRALA04534
AENJA_26439	BRALA14324
AENJA_26722	BRALA04780
AENJA_00015	BRALA15261
AENJA_00225	BRALA24491
AENJA_00227	BRALA15003
AENJA_00695	BRALA10610
AENJA_01091	BRALA28664
AENJA_22266	BRALA04851
AENJA_02170	BRALA24115
AENJA_02686	BRALA12186
AENJA_21170	BRALA28949
AENJA_03043	BRALA16505
AENJA_03162	BRALA04561
AENJA_06671	BRALA16345
AENJA_04655	BRALA03649
AENJA_05082	BRALA24159
AENJA_05178	BRALA29380
AENJA_05628	BRALA05607
AENJA_06122	BRALA13184
AENJA_06491	BRALA19348
AENJA_20718	BRALA01369
AENJA_07478	BRALA33786
AENJA_07539	BRALA20567
AENJA_07822	BRALA14248
AENJA_08228	BRALA01011
AENJA_08398	BRALA26328
AENJA_08958	BRALA31163
AENJA_09244	BRALA02463
AENJA_09299	BRALA17584
AENJA_10866	BRALA21660
AENJA_22367	BRALA12043
AENJA_09720	BRALA10668
AENJA_09754	BRALA05701
AENJA_10809	BRALA33712
AENJA_10489	BRALA06803
AENJA_11036	BRALA02515
AENJA_11252	BRALA19365
AENJA_11314	BRALA03332
AENJA_11377	BRALA21740
AENJA_11560	BRALA02595
AENJA_11715	BRALA16277
AENJA_12467	BRALA01609
AENJA_12613	BRALA22472
AENJA_13222	BRALA18649
AENJA_13514	BRALA14996
AENJA_13891	BRALA15795
AENJA_13909	BRALA11535
AENJA_13911	BRALA24053
AENJA_13991	BRALA35026
AENJA_14879	BRALA09205
AENJA_15179	BRALA03074
AENJA_15867	BRALA15006
AENJA_15884	BRALA07348
AENJA_15970	BRALA24166
AENJA_16977	BRALA10959
AENJA_17766	BRALA11927
AENJA_18609	BRALA16290
AENJA_18799	BRALA21728
AENJA_18919	BRALA07942
AENJA_20632	BRALA03800
AENJA_20940	BRALA25939
AENJA_22119	BRALA16448
AENJA_22200	BRALA18865
AENJA_23435	BRALA11899
AENJA_23661	BRALA03048
AENJA_24782	BRALA11148
AENJA_25083	BRALA05143
AENJA_25883	BRALA12645
AENJA_26246	BRALA31603
AENJA_00149	BRALA16100
AENJA_11808	BRALA33952
AENJA_00238	BRALA22758
AENJA_00515	BRALA03125
AENJA_00587	BRALA30205
AENJA_01089	BRALA05596
AENJA_08034	BRALA17624
AENJA_01480	BRALA16770
AENJA_19208	BRALA00693
AENJA_02160	BRALA29807
AENJA_02912	BRALA15351
AENJA_12156	BRALA03639
AENJA_03376	BRALA06258
AENJA_04621	BRALA01290
AENJA_05149	BRALA07527
AENJA_05401	BRALA28100
AENJA_06862	BRALA17150
AENJA_07476	BRALA24041
AENJA_07485	BRALA30754
AENJA_10601	BRALA09511
AENJA_07830	BRALA02672
AENJA_23070	BRALA17095
