STRPU_22262	AENJA_23461
STRPU_08351	AENJA_16901
STRPU_22560	AENJA_17147
STRPU_21363	AENJA_26740
STRPU_22622	AENJA_25522
STRPU_05178	AENJA_23421
STRPU_15997	AENJA_16891
STRPU_04140	AENJA_26233
STRPU_09033	AENJA_23046
STRPU_22245	AENJA_08748
STRPU_09304	AENJA_11633
STRPU_14305	AENJA_09966
STRPU_05760	AENJA_11700
STRPU_23164	AENJA_16081
STRPU_23266	AENJA_20431
STRPU_24165	AENJA_09851
STRPU_25213	AENJA_01177
STRPU_05778	AENJA_17499
STRPU_05548	AENJA_01733
STRPU_05777	AENJA_17498
STRPU_22629	AENJA_10467
STRPU_18396	AENJA_14502
STRPU_26971	AENJA_05944
STRPU_16992	AENJA_07568
STRPU_06645	AENJA_05801
STRPU_26844	AENJA_06210
STRPU_20011	AENJA_19720
STRPU_10318	AENJA_08166
STRPU_14600	AENJA_10313
STRPU_14601	AENJA_10314
STRPU_21205	AENJA_12056
STRPU_17512	AENJA_23792
STRPU_12472	AENJA_12733
STRPU_19010	AENJA_14048
STRPU_04161	AENJA_02078
STRPU_15088	AENJA_00401
STRPU_04925	AENJA_00580
STRPU_26122	AENJA_21590
STRPU_11548	AENJA_01969
STRPU_12293	AENJA_16618
STRPU_12288	AENJA_16617
STRPU_23988	AENJA_02339
STRPU_14496	AENJA_04588
STRPU_26714	AENJA_21157
STRPU_17422	AENJA_04673
STRPU_05319	AENJA_05461
STRPU_05320	AENJA_05453
STRPU_15034	AENJA_06554
STRPU_14000	AENJA_24386
STRPU_08333	AENJA_08232
STRPU_05708	AENJA_26657
STRPU_25823	AENJA_23956
STRPU_01836	AENJA_06323
STRPU_04357	AENJA_05584
STRPU_25366	AENJA_02282
STRPU_14353	AENJA_02547
STRPU_04947	AENJA_02972
STRPU_15449	AENJA_09659
STRPU_15417	AENJA_03395
STRPU_15045	AENJA_03845
STRPU_25429	AENJA_08030
STRPU_23395	AENJA_16263
STRPU_13208	AENJA_11682
STRPU_26153	AENJA_08414
STRPU_26885	AENJA_08762
STRPU_22197	AENJA_09037
STRPU_05828	AENJA_13820
STRPU_04359	AENJA_14891
STRPU_24310	AENJA_23574
STRPU_24886	AENJA_20560
STRPU_10294	AENJA_02296
STRPU_08653	AENJA_04072
STRPU_11511	AENJA_10712
STRPU_17978	AENJA_07118
STRPU_12183	AENJA_11066
STRPU_14729	AENJA_13424
STRPU_19334	AENJA_16016
STRPU_22006	AENJA_17128
STRPU_16623	AENJA_21663
STRPU_19160	AENJA_25248
STRPU_19408	AENJA_23659
STRPU_12298	AENJA_24757
STRPU_13418	AENJA_26608
STRPU_20600	AENJA_12182
STRPU_20988	AENJA_25578
STRPU_11672	AENJA_03151
STRPU_04414	AENJA_11445
STRPU_14539	AENJA_08654
STRPU_08439	AENJA_04437
STRPU_26808	AENJA_07594
STRPU_26818	AENJA_12462
STRPU_04858	AENJA_12602
STRPU_20417	AENJA_13410
STRPU_13818	AENJA_14415
STRPU_24843	AENJA_19830
STRPU_19516	AENJA_20909
STRPU_23336	AENJA_24765
STRPU_23315	AENJA_00375
STRPU_07642	AENJA_12177
STRPU_20567	AENJA_11468
STRPU_26930	AENJA_04229
STRPU_08450	AENJA_01047
STRPU_06132	AENJA_13898
STRPU_04789	AENJA_02250
STRPU_04416	AENJA_17677
STRPU_11147	AENJA_02745
STRPU_10627	AENJA_16062
STRPU_02998	AENJA_03323
STRPU_04346	AENJA_06392
STRPU_13953	AENJA_05825
STRPU_04183	AENJA_03704
STRPU_03447	AENJA_07821
STRPU_08067	AENJA_08095
STRPU_18503	AENJA_10657
STRPU_21392	AENJA_15475
STRPU_20677	AENJA_19195
STRPU_21138	AENJA_20835
STRPU_11367	AENJA_21475
STRPU_15409	AENJA_03396
STRPU_05291	AENJA_00575
STRPU_24305	AENJA_00807
STRPU_13772	AENJA_05855
STRPU_12443	AENJA_10264
STRPU_23714	AENJA_03947
STRPU_17890	AENJA_09896
STRPU_10283	AENJA_07171
STRPU_17793	AENJA_07749
STRPU_23261	AENJA_21401
STRPU_21213	AENJA_12710
STRPU_03199	AENJA_12759
STRPU_15408	AENJA_13196
STRPU_03381	AENJA_16474
STRPU_23757	AENJA_17138
STRPU_05313	AENJA_18221
STRPU_20715	AENJA_23025
STRPU_23398	AENJA_25247
STRPU_22666	AENJA_00373
STRPU_20723	AENJA_00718
STRPU_24820	AENJA_01387
STRPU_22549	AENJA_02199
STRPU_23184	AENJA_15729
STRPU_08648	AENJA_02419
STRPU_20538	AENJA_25097
STRPU_24971	AENJA_05558
STRPU_19561	AENJA_06070
STRPU_25873	AENJA_22327
STRPU_21368	AENJA_22201
STRPU_21367	AENJA_06275
STRPU_06851	AENJA_21728
STRPU_06366	AENJA_06304
STRPU_25027	AENJA_18602
STRPU_10401	AENJA_18256
STRPU_24915	AENJA_09261
STRPU_12815	AENJA_12960
STRPU_24854	AENJA_13579
STRPU_25447	AENJA_13747
STRPU_22432	AENJA_20117
STRPU_19131	AENJA_16308
STRPU_06496	AENJA_21731
STRPU_22287	AENJA_22248
STRPU_21281	AENJA_26741
STRPU_25428	AENJA_00009
STRPU_25608	AENJA_00007
STRPU_26872	AENJA_08024
STRPU_26378	AENJA_00712
STRPU_26876	AENJA_24701
STRPU_21509	AENJA_00720
STRPU_27222	AENJA_02927
STRPU_20402	AENJA_14482
STRPU_18983	AENJA_07797
STRPU_27024	AENJA_06348
STRPU_21237	AENJA_06755
STRPU_22267	AENJA_08339
STRPU_12820	AENJA_08828
STRPU_08005	AENJA_10711
STRPU_24402	AENJA_13577
STRPU_23771	AENJA_15840
STRPU_10664	AENJA_19404
STRPU_25456	AENJA_25511
STRPU_14120	AENJA_01685
STRPU_10745	AENJA_16983
STRPU_24359	AENJA_02590
STRPU_22036	AENJA_15958
STRPU_04187	AENJA_23044
STRPU_24458	AENJA_18566
STRPU_06392	AENJA_05192
STRPU_21389	AENJA_06024
STRPU_09862	AENJA_06689
STRPU_07714	AENJA_07498
STRPU_24079	AENJA_08737
STRPU_24935	AENJA_15031
STRPU_23770	AENJA_10142
STRPU_14225	AENJA_26334
STRPU_24557	AENJA_10616
STRPU_04761	AENJA_11857
STRPU_24518	AENJA_12717
STRPU_06875	AENJA_14989
STRPU_26217	AENJA_13625
STRPU_26015	AENJA_13628
STRPU_25325	AENJA_26058
STRPU_19999	AENJA_17799
STRPU_09552	AENJA_15086
STRPU_07407	AENJA_17542
STRPU_26002	AENJA_21307
STRPU_25391	AENJA_18825
STRPU_21827	AENJA_22812
STRPU_07209	AENJA_23358
STRPU_10662	AENJA_24531
STRPU_03085	AENJA_00058
STRPU_21581	AENJA_00493
STRPU_11529	AENJA_21857
STRPU_00161	AENJA_24392
STRPU_21074	AENJA_01547
STRPU_26014	AENJA_02210
STRPU_14562	AENJA_20148
STRPU_05411	AENJA_04101
STRPU_16506	AENJA_18056
STRPU_21909	AENJA_09031
STRPU_22073	AENJA_09041
STRPU_21013	AENJA_18956
STRPU_11288	AENJA_09591
STRPU_22086	AENJA_09699
STRPU_09878	AENJA_11717
STRPU_15274	AENJA_11254
STRPU_22695	AENJA_11388
STRPU_22254	AENJA_15953
STRPU_10937	AENJA_16979
STRPU_16981	AENJA_17612
STRPU_10657	AENJA_18179
STRPU_24669	AENJA_18562
STRPU_06468	AENJA_19416
STRPU_25669	AENJA_19765
STRPU_26010	AENJA_21588
STRPU_10670	AENJA_22625
STRPU_23772	AENJA_23700
STRPU_21203	AENJA_02177
STRPU_01032	AENJA_05667
STRPU_27058	AENJA_07030
STRPU_07496	AENJA_21346
STRPU_22072	AENJA_09040
STRPU_04810	AENJA_11242
STRPU_14009	AENJA_11976
STRPU_22721	AENJA_24053
STRPU_21972	AENJA_17279
STRPU_18988	AENJA_17683
STRPU_08807	AENJA_18393
STRPU_23397	AENJA_20006
STRPU_19076	AENJA_20096
STRPU_22240	AENJA_25593
STRPU_05296	AENJA_00856
STRPU_04426	AENJA_02283
STRPU_03468	AENJA_25444
STRPU_25388	AENJA_02714
STRPU_11382	AENJA_15579
STRPU_09623	AENJA_02853
STRPU_04944	AENJA_03493
STRPU_14642	AENJA_10310
STRPU_26888	AENJA_03712
STRPU_08488	AENJA_04208
STRPU_23322	AENJA_17726
STRPU_08385	AENJA_21003
STRPU_26636	AENJA_05090
STRPU_20009	AENJA_06074
STRPU_16983	AENJA_09059
STRPU_26595	AENJA_26086
STRPU_26559	AENJA_11194
STRPU_26961	AENJA_21135
STRPU_12903	AENJA_16309
STRPU_05909	AENJA_18219
STRPU_26804	AENJA_22039
STRPU_26728	AENJA_21150
STRPU_04348	AENJA_21434
STRPU_13209	AENJA_21781
STRPU_14547	AENJA_23236
STRPU_21633	AENJA_25092
STRPU_21991	AENJA_25589
STRPU_21312	AENJA_26215
STRPU_14524	AENJA_01840
STRPU_26082	AENJA_02458
STRPU_20309	AENJA_03926
STRPU_19063	AENJA_13028
STRPU_20137	AENJA_24214
STRPU_04711	AENJA_05647
STRPU_21314	AENJA_06272
STRPU_10949	AENJA_06702
STRPU_08079	AENJA_26453
STRPU_15726	AENJA_08714
STRPU_23522	AENJA_08900
STRPU_06818	AENJA_09605
STRPU_21063	AENJA_16608
STRPU_22556	AENJA_14609
STRPU_12583	AENJA_15110
STRPU_21322	AENJA_16813
STRPU_20541	AENJA_15789
STRPU_25173	AENJA_15995
STRPU_04898	AENJA_16492
STRPU_10219	AENJA_18964
STRPU_24460	AENJA_18352
STRPU_03483	AENJA_18594
STRPU_23801	AENJA_19033
STRPU_12708	AENJA_23772
STRPU_23708	AENJA_17713
STRPU_06494	AENJA_01884
STRPU_05959	AENJA_06682
STRPU_03356	AENJA_09573
STRPU_09877	AENJA_08188
STRPU_23614	AENJA_08269
STRPU_20969	AENJA_08567
STRPU_26859	AENJA_11211
STRPU_04909	AENJA_11441
STRPU_11678	AENJA_11584
STRPU_08359	AENJA_11906
STRPU_20296	AENJA_12332
STRPU_13885	AENJA_14917
STRPU_24795	AENJA_16641
STRPU_21464	AENJA_16737
STRPU_23738	AENJA_17277
STRPU_22194	AENJA_17284
STRPU_08143	AENJA_17844
STRPU_19138	AENJA_25899
STRPU_08670	AENJA_17959
STRPU_07312	AENJA_25362
STRPU_07355	AENJA_20082
STRPU_03703	AENJA_20854
STRPU_10185	AENJA_21043
STRPU_09539	AENJA_22766
STRPU_05457	AENJA_23604
STRPU_12915	AENJA_23995
STRPU_19391	AENJA_25087
STRPU_06439	AENJA_25726
STRPU_05211	AENJA_00558
STRPU_17938	AENJA_00590
STRPU_09545	AENJA_05269
STRPU_10313	AENJA_01101
STRPU_06787	AENJA_19357
STRPU_26081	AENJA_02205
STRPU_05958	AENJA_02695
STRPU_14874	AENJA_03318
STRPU_09258	AENJA_03877
STRPU_25512	AENJA_03978
STRPU_02778	AENJA_13814
STRPU_06123	AENJA_04091
STRPU_03382	AENJA_06247
STRPU_05515	AENJA_18215
STRPU_25411	AENJA_06436
STRPU_09369	AENJA_07170
STRPU_26501	AENJA_17343
STRPU_10366	AENJA_08160
STRPU_26260	AENJA_11502
STRPU_20535	AENJA_13248
STRPU_20976	AENJA_13339
STRPU_17021	AENJA_14173
STRPU_20339	AENJA_14934
STRPU_22200	AENJA_15682
STRPU_24308	AENJA_17237
STRPU_15993	AENJA_15774
STRPU_10439	AENJA_16043
STRPU_07408	AENJA_17543
STRPU_17524	AENJA_19059
STRPU_21288	AENJA_19108
STRPU_22263	AENJA_23459
STRPU_25215	AENJA_03160
STRPU_25888	AENJA_00153
STRPU_07157	AENJA_00362
STRPU_17892	AENJA_00506
STRPU_07648	AENJA_04181
STRPU_25089	AENJA_05517
STRPU_14371	AENJA_04889
STRPU_17131	AENJA_16142
STRPU_26368	AENJA_05087
STRPU_18159	AENJA_06571
STRPU_07098	AENJA_07426
STRPU_04118	AENJA_09064
STRPU_23343	AENJA_09214
STRPU_25177	AENJA_09857
STRPU_11188	AENJA_10007
STRPU_07749	AENJA_17986
STRPU_04674	AENJA_10074
STRPU_19577	AENJA_26730
STRPU_25091	AENJA_10995
STRPU_10391	AENJA_20582
STRPU_13019	AENJA_21653
STRPU_13493	AENJA_14700
STRPU_08774	AENJA_24781
STRPU_17798	AENJA_14828
STRPU_21182	AENJA_19708
STRPU_09284	AENJA_15450
STRPU_19441	AENJA_16158
STRPU_24164	AENJA_16776
STRPU_14389	AENJA_18749
STRPU_06785	AENJA_19356
STRPU_26365	AENJA_21469
STRPU_18782	AENJA_24467
STRPU_20507	AENJA_25216
STRPU_14187	AENJA_25544
STRPU_04271	AENJA_26227
STRPU_06633	AENJA_01887
STRPU_21031	AENJA_02988
STRPU_08256	AENJA_03421
STRPU_26383	AENJA_23557
STRPU_08277	AENJA_03755
STRPU_11360	AENJA_04619
STRPU_21330	AENJA_06136
STRPU_12972	AENJA_06316
STRPU_06444	AENJA_07590
STRPU_19269	AENJA_08660
STRPU_06130	AENJA_08942
STRPU_23091	AENJA_09698
STRPU_10431	AENJA_10133
STRPU_18551	AENJA_10243
STRPU_07114	AENJA_11024
STRPU_27135	AENJA_11205
STRPU_26866	AENJA_13001
STRPU_20946	AENJA_14026
STRPU_12314	AENJA_14135
STRPU_10326	AENJA_19275
STRPU_25252	AENJA_15536
STRPU_15038	AENJA_16414
STRPU_20380	AENJA_16663
STRPU_25264	AENJA_16808
STRPU_10769	AENJA_17449
STRPU_00143	AENJA_18632
STRPU_04902	AENJA_19473
STRPU_10272	AENJA_20341
STRPU_10950	AENJA_20708
STRPU_24952	AENJA_20965
STRPU_08319	AENJA_21491
STRPU_27363	AENJA_00995
STRPU_20460	AENJA_02497
STRPU_06028	AENJA_24572
STRPU_24400	AENJA_04459
STRPU_20475	AENJA_05035
STRPU_22979	AENJA_06118
STRPU_04052	AENJA_06179
STRPU_20697	AENJA_07803
STRPU_12321	AENJA_13295
STRPU_20040	AENJA_08311
STRPU_21439	AENJA_08667
STRPU_22041	AENJA_09404
STRPU_22097	AENJA_09420
STRPU_17707	AENJA_12513
STRPU_06491	AENJA_14238
STRPU_18190	AENJA_19842
STRPU_25866	AENJA_24461
STRPU_02985	AENJA_17758
STRPU_25872	AENJA_18250
STRPU_18175	AENJA_19183
STRPU_09295	AENJA_21910
STRPU_26967	AENJA_23479
STRPU_25493	AENJA_25168
STRPU_09827	AENJA_26528
STRPU_06055	AENJA_26828
STRPU_17388	AENJA_00406
STRPU_26908	AENJA_00990
STRPU_22521	AENJA_01627
STRPU_17908	AENJA_09891
STRPU_23283	AENJA_08460
STRPU_08993	AENJA_04501
STRPU_12465	AENJA_05150
STRPU_20015	AENJA_05288
STRPU_14571	AENJA_11253
STRPU_06891	AENJA_08323
STRPU_23497	AENJA_19787
STRPU_20967	AENJA_08569
STRPU_17129	AENJA_09589
STRPU_27003	AENJA_17703
STRPU_12203	AENJA_10716
STRPU_23604	AENJA_12188
STRPU_19915	AENJA_13924
STRPU_09518	AENJA_14211
STRPU_23788	AENJA_14807
STRPU_21204	AENJA_25488
STRPU_25219	AENJA_21539
STRPU_20042	AENJA_18695
STRPU_05304	AENJA_18913
STRPU_26253	AENJA_19487
STRPU_08189	AENJA_19510
STRPU_14215	AENJA_20882
STRPU_26515	AENJA_22054
STRPU_24984	AENJA_23210
STRPU_21824	AENJA_23879
STRPU_07026	AENJA_26289
STRPU_04788	AENJA_00391
STRPU_05327	AENJA_03001
STRPU_14732	AENJA_03268
STRPU_07438	AENJA_03637
STRPU_17531	AENJA_04668
STRPU_04934	AENJA_04731
STRPU_15061	AENJA_05905
STRPU_25156	AENJA_05238
STRPU_01806	AENJA_07124
STRPU_17153	AENJA_05672
STRPU_22095	AENJA_06086
STRPU_19099	AENJA_06183
STRPU_17265	AENJA_07885
STRPU_20375	AENJA_13957
STRPU_23579	AENJA_09175
STRPU_23272	AENJA_09939
STRPU_07480	AENJA_11671
STRPU_04793	AENJA_26746
STRPU_22887	AENJA_11724
STRPU_16149	AENJA_11849
STRPU_20436	AENJA_16822
STRPU_06239	AENJA_17431
STRPU_14381	AENJA_18312
STRPU_05303	AENJA_18914
STRPU_14303	AENJA_21847
STRPU_21406	AENJA_22959
STRPU_15006	AENJA_24035
STRPU_19066	AENJA_24257
STRPU_05453	AENJA_00857
STRPU_05229	AENJA_00912
STRPU_06608	AENJA_01039
STRPU_23701	AENJA_24366
STRPU_04462	AENJA_02081
STRPU_25915	AENJA_02209
STRPU_08986	AENJA_02224
STRPU_20557	AENJA_13337
STRPU_20683	AENJA_02907
STRPU_06104	AENJA_03256
STRPU_14657	AENJA_03434
STRPU_14647	AENJA_03497
STRPU_09002	AENJA_03878
STRPU_06356	AENJA_12578
STRPU_20634	AENJA_06017
STRPU_04691	AENJA_11860
STRPU_21219	AENJA_06020
STRPU_26695	AENJA_08879
STRPU_23619	AENJA_08928
STRPU_12360	AENJA_09521
STRPU_06110	AENJA_11224
STRPU_09898	AENJA_11585
STRPU_25297	AENJA_14070
STRPU_17777	AENJA_14224
STRPU_12582	AENJA_15108
STRPU_12635	AENJA_15111
STRPU_12731	AENJA_15168
STRPU_20581	AENJA_15790
STRPU_23582	AENJA_25787
STRPU_10415	AENJA_16071
STRPU_19741	AENJA_16159
STRPU_22012	AENJA_17309
STRPU_06888	AENJA_20575
STRPU_05824	AENJA_22441
STRPU_13411	AENJA_22826
STRPU_10281	AENJA_23225
STRPU_10249	AENJA_23804
STRPU_17742	AENJA_24677
STRPU_12732	AENJA_24912
STRPU_09617	AENJA_25749
STRPU_04685	AENJA_25480
STRPU_21210	AENJA_25965
STRPU_26512	AENJA_26065
STRPU_20984	AENJA_14833
STRPU_11836	AENJA_11643
STRPU_09937	AENJA_01099
STRPU_23744	AENJA_09499
STRPU_26768	AENJA_01192
STRPU_09786	AENJA_01582
STRPU_08485	AENJA_06312
STRPU_22949	AENJA_02190
STRPU_25828	AENJA_03170
STRPU_27325	AENJA_13620
STRPU_14799	AENJA_03267
STRPU_20058	AENJA_03406
STRPU_04678	AENJA_22157
STRPU_06159	AENJA_04445
STRPU_06427	AENJA_04786
STRPU_12610	AENJA_15473
STRPU_17941	AENJA_05662
STRPU_03304	AENJA_06251
STRPU_27220	AENJA_06373
STRPU_23388	AENJA_07131
STRPU_17336	AENJA_22533
STRPU_09683	AENJA_08367
STRPU_23903	AENJA_24416
STRPU_14816	AENJA_08605
STRPU_22920	AENJA_09181
STRPU_12836	AENJA_09455
STRPU_14674	AENJA_10202
STRPU_22008	AENJA_10903
STRPU_24677	AENJA_12201
STRPU_19392	AENJA_13412
STRPU_26890	AENJA_14824
STRPU_24614	AENJA_26556
STRPU_08787	AENJA_17964
STRPU_00061	AENJA_18459
STRPU_12353	AENJA_21678
STRPU_00071	AENJA_22884
STRPU_20190	AENJA_22935
STRPU_07008	AENJA_23249
STRPU_14046	AENJA_23757
STRPU_26227	AENJA_24206
STRPU_07804	AENJA_25556
STRPU_09256	AENJA_25733
STRPU_22238	AENJA_12672
STRPU_23148	AENJA_00462
STRPU_23147	AENJA_19651
STRPU_18500	AENJA_00715
STRPU_25933	AENJA_00766
STRPU_25598	AENJA_18108
STRPU_26165	AENJA_03214
STRPU_25636	AENJA_13354
STRPU_08451	AENJA_04493
STRPU_08062	AENJA_04553
STRPU_04178	AENJA_04702
STRPU_12706	AENJA_05152
STRPU_27298	AENJA_06207
STRPU_16802	AENJA_14971
STRPU_08055	AENJA_06983
STRPU_05306	AENJA_07271
STRPU_10775	AENJA_07813
STRPU_24888	AENJA_07921
STRPU_06488	AENJA_08322
STRPU_23282	AENJA_08461
STRPU_04899	AENJA_16491
STRPU_05423	AENJA_09312
STRPU_20768	AENJA_09356
STRPU_05520	AENJA_09652
STRPU_12633	AENJA_11391
STRPU_08144	AENJA_14004
STRPU_25533	AENJA_14156
STRPU_05761	AENJA_15098
STRPU_12794	AENJA_16222
STRPU_03330	AENJA_17266
STRPU_17443	AENJA_17692
STRPU_19363	AENJA_19715
STRPU_10413	AENJA_21040
STRPU_26056	AENJA_22777
STRPU_20385	AENJA_22934
STRPU_20689	AENJA_25485
STRPU_21547	AENJA_25912
STRPU_10199	AENJA_00224
STRPU_14735	AENJA_20686
STRPU_17939	AENJA_00588
STRPU_21260	AENJA_10036
STRPU_20551	AENJA_00736
STRPU_13246	AENJA_08485
STRPU_05032	AENJA_03566
STRPU_04340	AENJA_02076
STRPU_21911	AENJA_04307
STRPU_18373	AENJA_04624
STRPU_24330	AENJA_05549
STRPU_10748	AENJA_05832
STRPU_03323	AENJA_13809
STRPU_07044	AENJA_06548
STRPU_26681	AENJA_07029
STRPU_25326	AENJA_07871
STRPU_24558	AENJA_16826
STRPU_25146	AENJA_08803
STRPU_04051	AENJA_09069
STRPU_12630	AENJA_09456
STRPU_14325	AENJA_10312
STRPU_25034	AENJA_10713
STRPU_07623	AENJA_12411
STRPU_21111	AENJA_12452
STRPU_04786	AENJA_12969
STRPU_20590	AENJA_17928
STRPU_22044	AENJA_15959
STRPU_07473	AENJA_19250
STRPU_12536	AENJA_16307
STRPU_27020	AENJA_17038
STRPU_22561	AENJA_17146
STRPU_14318	AENJA_17381
STRPU_24711	AENJA_17819
STRPU_10514	AENJA_18081
STRPU_16845	AENJA_18261
STRPU_17534	AENJA_18299
STRPU_26701	AENJA_18795
STRPU_06679	AENJA_20596
STRPU_18200	AENJA_22714
STRPU_27401	AENJA_23560
STRPU_20961	AENJA_24796
STRPU_11351	AENJA_26436
STRPU_14835	AENJA_00265
STRPU_07708	AENJA_00356
STRPU_07074	AENJA_02634
STRPU_10430	AENJA_03401
STRPU_04708	AENJA_11519
STRPU_14372	AENJA_04890
STRPU_22133	AENJA_07130
STRPU_08080	AENJA_13848
STRPU_13275	AENJA_07305
STRPU_21851	AENJA_16965
STRPU_26702	AENJA_07593
STRPU_04363	AENJA_09596
STRPU_06125	AENJA_11028
STRPU_08441	AENJA_11279
STRPU_25413	AENJA_11419
STRPU_22668	AENJA_13118
STRPU_08637	AENJA_13757
STRPU_04756	AENJA_13775
STRPU_04995	AENJA_13942
STRPU_13253	AENJA_14020
STRPU_09473	AENJA_14430
STRPU_15399	AENJA_17399
STRPU_06369	AENJA_17663
STRPU_21795	AENJA_17773
STRPU_02910	AENJA_19423
STRPU_03804	AENJA_20630
STRPU_25889	AENJA_23670
STRPU_18829	AENJA_24470
STRPU_21770	AENJA_25210
STRPU_19229	AENJA_00395
STRPU_19592	AENJA_02772
STRPU_20989	AENJA_02775
STRPU_09301	AENJA_02978
STRPU_22454	AENJA_03055
STRPU_11651	AENJA_04991
STRPU_20818	AENJA_05029
STRPU_08273	AENJA_05900
STRPU_20506	AENJA_06271
STRPU_24856	AENJA_06511
STRPU_20394	AENJA_07189
STRPU_15007	AENJA_07375
STRPU_08672	AENJA_13616
STRPU_07606	AENJA_08092
STRPU_09676	AENJA_08139
STRPU_12818	AENJA_08254
STRPU_12716	AENJA_21289
STRPU_23547	AENJA_09702
STRPU_13341	AENJA_09973
STRPU_05491	AENJA_19098
STRPU_12273	AENJA_12041
STRPU_05902	AENJA_12147
STRPU_08335	AENJA_19678
STRPU_14476	AENJA_20386
STRPU_14803	AENJA_21606
STRPU_12020	AENJA_22006
STRPU_21840	AENJA_22526
STRPU_19346	AENJA_24473
STRPU_21394	AENJA_24883
STRPU_19950	AENJA_25673
STRPU_05448	AENJA_00126
STRPU_07154	AENJA_00359
STRPU_23305	AENJA_00917
STRPU_06389	AENJA_01835
STRPU_06381	AENJA_07864
STRPU_05442	AENJA_02620
STRPU_26857	AENJA_03621
STRPU_25434	AENJA_04817
STRPU_16889	AENJA_04875
STRPU_21129	AENJA_07352
STRPU_05738	AENJA_08191
STRPU_21904	AENJA_09042
STRPU_26801	AENJA_09301
STRPU_26800	AENJA_09302
STRPU_11081	AENJA_10898
STRPU_21577	AENJA_10936
STRPU_20962	AENJA_17931
STRPU_23241	AENJA_11461
STRPU_22562	AENJA_11466
STRPU_08939	AENJA_11515
STRPU_09541	AENJA_12077
STRPU_07732	AENJA_12486
STRPU_08290	AENJA_13922
STRPU_13309	AENJA_14633
STRPU_20069	AENJA_14940
STRPU_11832	AENJA_15175
STRPU_19135	AENJA_15939
STRPU_26072	AENJA_16068
STRPU_14593	AENJA_16415
STRPU_24315	AENJA_16471
STRPU_19155	AENJA_23270
STRPU_10191	AENJA_17912
STRPU_15901	AENJA_23030
STRPU_26259	AENJA_18243
STRPU_01335	AENJA_18361
STRPU_27218	AENJA_18419
STRPU_08137	AENJA_19972
STRPU_26655	AENJA_18424
STRPU_19597	AENJA_18688
STRPU_21636	AENJA_18769
STRPU_08141	AENJA_19691
STRPU_21296	AENJA_19816
STRPU_23612	AENJA_21407
STRPU_25310	AENJA_22305
STRPU_24638	AENJA_22552
STRPU_20018	AENJA_22617
STRPU_23046	AENJA_22979
STRPU_19345	AENJA_23289
STRPU_03778	AENJA_23964
STRPU_25105	AENJA_24425
STRPU_18710	AENJA_25895
STRPU_22444	AENJA_00050
STRPU_14750	AENJA_00456
STRPU_07077	AENJA_25018
STRPU_27066	AENJA_00479
STRPU_21333	AENJA_00491
STRPU_21306	AENJA_25091
STRPU_19421	AENJA_10139
STRPU_27333	AENJA_01433
STRPU_10703	AENJA_01702
STRPU_11361	AENJA_01704
STRPU_11454	AENJA_01746
STRPU_22283	AENJA_26635
STRPU_04620	AENJA_02077
STRPU_20789	AENJA_02179
STRPU_08800	AENJA_02422
STRPU_15445	AENJA_07412
STRPU_12497	AENJA_02575
STRPU_05981	AENJA_04090
STRPU_09805	AENJA_04311
STRPU_17380	AENJA_04721
STRPU_16987	AENJA_26044
STRPU_26984	AENJA_17042
STRPU_27056	AENJA_05630
STRPU_25749	AENJA_06280
STRPU_04996	AENJA_11508
STRPU_24404	AENJA_06958
STRPU_04364	AENJA_08886
STRPU_18554	AENJA_08994
STRPU_09471	AENJA_09492
STRPU_08300	AENJA_09873
STRPU_20603	AENJA_10170
STRPU_26128	AENJA_22320
STRPU_06874	AENJA_14525
STRPU_17295	AENJA_14565
STRPU_07673	AENJA_14678
STRPU_08422	AENJA_15317
STRPU_19406	AENJA_15978
STRPU_13242	AENJA_16347
STRPU_05892	AENJA_17870
STRPU_16446	AENJA_18110
STRPU_14747	AENJA_19538
STRPU_24013	AENJA_19831
STRPU_22599	AENJA_19978
STRPU_21391	AENJA_20031
STRPU_06852	AENJA_21727
STRPU_17219	AENJA_22896
STRPU_19538	AENJA_23640
STRPU_23250	AENJA_23854
STRPU_08813	AENJA_24864
STRPU_25356	AENJA_25167
STRPU_04687	AENJA_25474
STRPU_14246	AENJA_26344
STRPU_19096	AENJA_26389
STRPU_17537	AENJA_01956
STRPU_21329	AENJA_02641
STRPU_02801	AENJA_03520
STRPU_08602	AENJA_08237
STRPU_24285	AENJA_05750
STRPU_21342	AENJA_06622
STRPU_23595	AENJA_22580
STRPU_25660	AENJA_07016
STRPU_26088	AENJA_08499
STRPU_04027	AENJA_09253
STRPU_24684	AENJA_09844
STRPU_06708	AENJA_10053
STRPU_15351	AENJA_10208
STRPU_18516	AENJA_17364
STRPU_09348	AENJA_13772
STRPU_11072	AENJA_11336
STRPU_26084	AENJA_11499
STRPU_05759	AENJA_11703
STRPU_11537	AENJA_12852
STRPU_14480	AENJA_13012
STRPU_12584	AENJA_15109
STRPU_21258	AENJA_15315
STRPU_25984	AENJA_16480
STRPU_08687	AENJA_15652
STRPU_20358	AENJA_16160
STRPU_25485	AENJA_16506
STRPU_26150	AENJA_18103
STRPU_25861	AENJA_19512
STRPU_05391	AENJA_18224
STRPU_13024	AENJA_18622
STRPU_12621	AENJA_19054
STRPU_26957	AENJA_20934
STRPU_08483	AENJA_21374
STRPU_25360	AENJA_22329
STRPU_19014	AENJA_22340
STRPU_26541	AENJA_23782
STRPU_20691	AENJA_22527
STRPU_21201	AENJA_22567
