BRALA00047	OFUSG13305.1
BRALA21645	OFUSG19960.1
BRALA09464	OFUSG20188.1
BRALA01268	OFUSG21230.1
BRALA12816	OFUSG06041.1
BRALA03869	OFUSG10181.1
BRALA33739	OFUSG17569.1
BRALA17798	OFUSG09421.1
BRALA25624	OFUSG21208.1
BRALA32786	OFUSG06812.1
BRALA19061	OFUSG19759.1
BRALA10834	OFUSG11560.1
BRALA16806	OFUSG26505.1
BRALA14045	OFUSG07390.1
BRALA19110	OFUSG20231.1
BRALA10384	OFUSG10557.1
BRALA26737	OFUSG04562.1
BRALA16842	OFUSG07343.1
BRALA15116	OFUSG17328.1
BRALA20906	OFUSG09428.1
BRALA16333	OFUSG06638.1
BRALA23817	OFUSG25798.1
BRALA02262	OFUSG20512.1
BRALA25855	OFUSG18946.1
BRALA09927	OFUSG05696.1
BRALA04732	OFUSG16752.1
BRALA26708	OFUSG15266.1
BRALA05435	OFUSG13591.1
BRALA05583	OFUSG08687.1
BRALA00403	OFUSG11449.1
BRALA30797	OFUSG08545.1
BRALA31201	OFUSG03571.1
BRALA20220	OFUSG05214.1
BRALA11764	OFUSG03508.1
BRALA11457	OFUSG18887.1
BRALA00239	OFUSG15817.1
BRALA29483	OFUSG22121.1
BRALA13859	OFUSG18118.1
BRALA28922	OFUSG15519.1
BRALA05590	OFUSG13299.1
BRALA12517	OFUSG23096.1
BRALA04649	OFUSG16507.1
BRALA01078	OFUSG17720.1
BRALA10891	OFUSG12217.1
BRALA30622	OFUSG20330.1
BRALA01936	OFUSG06362.1
BRALA05645	OFUSG13058.1
BRALA18565	OFUSG13522.1
BRALA35861	OFUSG07030.1
BRALA16638	OFUSG12630.1
BRALA19313	OFUSG01506.1
BRALA04579	OFUSG04236.1
BRALA08586	OFUSG23458.1
BRALA04659	OFUSG16509.1
BRALA20555	OFUSG04935.1
BRALA01822	OFUSG21490.1
BRALA11531	OFUSG25750.1
BRALA13329	OFUSG12539.1
BRALA01424	OFUSG15091.1
BRALA16673	OFUSG23473.1
BRALA07054	OFUSG04436.1
BRALA21555	OFUSG03190.1
BRALA01804	OFUSG25146.1
BRALA02256	OFUSG01699.1
BRALA04379	OFUSG21275.1
BRALA05122	OFUSG21479.1
BRALA15558	OFUSG19840.1
BRALA19924	OFUSG26657.1
BRALA14211	OFUSG24617.1
BRALA13313	OFUSG11538.1
BRALA13310	OFUSG12147.1
BRALA06618	OFUSG17818.1
BRALA04572	OFUSG16624.1
BRALA25074	OFUSG19276.1
BRALA11811	OFUSG01366.1
BRALA29321	OFUSG23956.1
BRALA14063	OFUSG15801.1
BRALA09018	OFUSG22251.1
BRALA10385	OFUSG03993.1
BRALA05604	OFUSG17648.1
BRALA11225	OFUSG10650.1
BRALA29699	OFUSG22337.1
BRALA11420	OFUSG07909.1
BRALA11722	OFUSG10055.1
BRALA22671	OFUSG06287.1
BRALA08931	OFUSG00394.1
BRALA24189	OFUSG16759.1
BRALA26116	OFUSG25092.1
BRALA10451	OFUSG18021.1
BRALA14954	OFUSG23987.1
BRALA09380	OFUSG19268.1
BRALA05423	OFUSG04568.1
BRALA23100	OFUSG14520.1
BRALA11705	OFUSG14370.1
BRALA26158	OFUSG12297.1
BRALA06309	OFUSG10007.1
BRALA13476	OFUSG09447.1
BRALA11114	OFUSG11182.1
BRALA05725	OFUSG21438.1
BRALA12089	OFUSG24931.1
BRALA04162	OFUSG04386.1
BRALA14332	OFUSG22166.1
BRALA05014	OFUSG17628.1
BRALA12776	OFUSG04538.1
BRALA14767	OFUSG17134.1
BRALA29451	OFUSG12012.1
BRALA33381	OFUSG05517.1
BRALA27325	OFUSG20787.1
BRALA23937	OFUSG15032.1
BRALA19992	OFUSG20384.1
BRALA26789	OFUSG11355.1
BRALA15428	OFUSG12625.1
BRALA33210	OFUSG10223.1
BRALA06233	OFUSG10906.1
BRALA13363	OFUSG22060.1
BRALA01668	OFUSG09624.1
BRALA09715	OFUSG23368.1
BRALA31004	OFUSG25055.1
BRALA03739	OFUSG10097.1
BRALA27979	OFUSG00383.1
BRALA29965	OFUSG24912.1
BRALA21601	OFUSG12006.1
BRALA07630	OFUSG07059.1
BRALA18983	OFUSG05825.1
BRALA13673	OFUSG14697.1
BRALA05651	OFUSG21372.1
BRALA13964	OFUSG17474.1
BRALA00935	OFUSG23609.1
BRALA17639	OFUSG22787.1
BRALA16523	OFUSG08894.1
BRALA16186	OFUSG00007.1
BRALA31604	OFUSG20423.1
BRALA10408	OFUSG10445.1
BRALA12711	OFUSG06906.1
BRALA27598	OFUSG05557.1
BRALA12555	OFUSG05125.1
BRALA09229	OFUSG06350.1
BRALA14157	OFUSG07388.1
BRALA13133	OFUSG18213.1
BRALA02777	OFUSG08350.1
BRALA34521	OFUSG25740.1
BRALA04341	OFUSG04391.1
BRALA25595	OFUSG06579.1
BRALA24395	OFUSG19784.1
BRALA06092	OFUSG14330.1
BRALA12725	OFUSG19250.1
BRALA09621	OFUSG17088.1
BRALA15161	OFUSG12586.1
BRALA19006	OFUSG01293.1
BRALA19004	OFUSG01299.1
BRALA10392	OFUSG18541.1
BRALA17313	OFUSG19078.1
BRALA34714	OFUSG02725.1
BRALA16413	OFUSG06019.1
BRALA28780	OFUSG24254.1
BRALA14696	OFUSG13276.1
BRALA29988	OFUSG06868.1
BRALA29989	OFUSG06147.1
BRALA22213	OFUSG07625.1
BRALA29673	OFUSG23243.1
BRALA09279	OFUSG06377.1
BRALA18314	OFUSG07239.1
BRALA31002	OFUSG21930.1
BRALA35025	OFUSG03798.1
BRALA23585	OFUSG26262.1
BRALA28932	OFUSG23959.1
BRALA04011	OFUSG11108.1
BRALA23461	OFUSG16763.1
BRALA27722	OFUSG13617.1
BRALA11878	OFUSG19612.1
BRALA04651	OFUSG16043.1
BRALA12583	OFUSG02161.1
BRALA27100	OFUSG15534.1
BRALA19317	OFUSG01215.1
BRALA31880	OFUSG06909.1
BRALA06391	OFUSG10767.1
BRALA00367	OFUSG21405.1
BRALA17019	OFUSG15988.1
BRALA01096	OFUSG21154.1
BRALA17308	OFUSG16445.1
BRALA17315	OFUSG19258.1
BRALA00365	OFUSG23239.1
BRALA04014	OFUSG10790.1
BRALA31138	OFUSG14870.1
BRALA32159	OFUSG26807.1
BRALA24816	OFUSG01876.1
BRALA23301	OFUSG20457.1
BRALA22821	OFUSG02180.1
BRALA11774	OFUSG22770.1
BRALA13029	OFUSG10942.1
BRALA23437	OFUSG12071.1
BRALA10903	OFUSG12593.1
BRALA27104	OFUSG15618.1
BRALA19032	OFUSG07044.1
BRALA17854	OFUSG10182.1
BRALA03656	OFUSG10044.1
BRALA10761	OFUSG12414.1
BRALA03770	OFUSG10721.1
BRALA11932	OFUSG11770.1
BRALA24214	OFUSG24998.1
BRALA07452	OFUSG15798.1
BRALA19982	OFUSG20300.1
BRALA01802	OFUSG04114.1
BRALA23388	OFUSG07016.1
BRALA34571	OFUSG06151.1
BRALA27397	OFUSG08277.1
BRALA21004	OFUSG24361.1
BRALA30977	OFUSG07586.1
BRALA10335	OFUSG21511.1
BRALA33790	OFUSG08592.1
BRALA03693	OFUSG10747.1
BRALA20386	OFUSG15619.1
BRALA22161	OFUSG24156.1
BRALA14511	OFUSG05771.1
BRALA14604	OFUSG08811.1
BRALA14648	OFUSG08731.1
BRALA06836	OFUSG10234.1
BRALA22299	OFUSG12391.1
BRALA11491	OFUSG05793.1
BRALA34663	OFUSG08849.1
BRALA16488	OFUSG19319.1
BRALA01658	OFUSG19563.1
BRALA02795	OFUSG05822.1
BRALA02411	OFUSG24818.1
BRALA22039	OFUSG00916.1
BRALA24220	OFUSG22370.1
BRALA00316	OFUSG23631.1
BRALA16003	OFUSG13358.1
BRALA30503	OFUSG07428.1
BRALA11427	OFUSG06131.1
BRALA07883	OFUSG16581.1
BRALA20533	OFUSG05613.1
BRALA25295	OFUSG07737.1
BRALA23846	OFUSG07794.1
BRALA17333	OFUSG06124.1
BRALA23647	OFUSG08089.1
BRALA04842	OFUSG03936.1
BRALA01571	OFUSG08588.1
BRALA04666	OFUSG15987.1
BRALA05148	OFUSG23359.1
BRALA10468	OFUSG17801.1
BRALA02591	OFUSG04726.1
BRALA22639	OFUSG23622.1
BRALA22640	OFUSG13725.1
BRALA16641	OFUSG13282.1
BRALA16175	OFUSG25985.1
BRALA02872	OFUSG25637.1
BRALA05641	OFUSG05123.1
BRALA16627	OFUSG21379.1
BRALA11061	OFUSG09159.1
BRALA04342	OFUSG04392.1
BRALA01789	OFUSG13671.1
BRALA10654	OFUSG13371.1
BRALA10653	OFUSG13372.1
BRALA01071	OFUSG13688.1
BRALA07421	OFUSG24339.1
BRALA03142	OFUSG20805.1
BRALA20584	OFUSG05408.1
BRALA06560	OFUSG17033.1
BRALA28650	OFUSG23628.1
BRALA23029	OFUSG18439.1
BRALA11158	OFUSG17820.1
BRALA29583	OFUSG07846.1
BRALA16620	OFUSG09150.1
BRALA07880	OFUSG08250.1
BRALA18719	OFUSG02540.1
BRALA33651	OFUSG26706.1
BRALA20581	OFUSG20793.1
BRALA05557	OFUSG23494.1
BRALA09761	OFUSG26416.1
BRALA26798	OFUSG03219.1
BRALA20547	OFUSG25792.1
BRALA09243	OFUSG08013.1
BRALA00199	OFUSG17004.1
BRALA04016	OFUSG10883.1
BRALA22747	OFUSG02609.1
BRALA33781	OFUSG15689.1
BRALA06196	OFUSG10494.1
BRALA19935	OFUSG05386.1
BRALA10021	OFUSG07453.1
BRALA19248	OFUSG02054.1
BRALA01341	OFUSG21284.1
BRALA26409	OFUSG07083.1
BRALA18823	OFUSG00306.1
BRALA02794	OFUSG25638.1
BRALA18432	OFUSG26695.1
BRALA30385	OFUSG11987.1
BRALA30884	OFUSG22049.1
BRALA22276	OFUSG11663.1
BRALA07353	OFUSG12044.1
BRALA02840	OFUSG22097.1
BRALA13430	OFUSG11738.1
BRALA00831	OFUSG17278.1
BRALA16247	OFUSG12209.1
BRALA06853	OFUSG10852.1
BRALA05363	OFUSG13380.1
BRALA33222	OFUSG12682.1
BRALA00423	OFUSG13684.1
BRALA01100	OFUSG21452.1
BRALA12072	OFUSG13988.1
BRALA06005	OFUSG24584.1
BRALA03951	OFUSG10764.1
BRALA29696	OFUSG22335.1
BRALA11387	OFUSG16600.1
BRALA27519	OFUSG01546.1
BRALA12828	OFUSG19153.1
BRALA31032	OFUSG12003.1
BRALA10600	OFUSG23273.1
BRALA28198	OFUSG01479.1
BRALA16748	OFUSG10033.1
BRALA01686	OFUSG10739.1
BRALA19367	OFUSG22505.1
BRALA14625	OFUSG08525.1
BRALA18639	OFUSG18303.1
BRALA00859	OFUSG26325.1
BRALA08425	OFUSG09530.1
BRALA04350	OFUSG07888.1
BRALA06213	OFUSG10927.1
BRALA25500	OFUSG24103.1
BRALA17550	OFUSG17151.1
BRALA17849	OFUSG23606.1
BRALA17546	OFUSG17149.1
BRALA16354	OFUSG06813.1
BRALA29381	OFUSG14909.1
BRALA26157	OFUSG21545.1
BRALA29050	OFUSG15491.1
BRALA01282	OFUSG21355.1
BRALA04183	OFUSG03859.1
BRALA00220	OFUSG10947.1
BRALA21013	OFUSG16189.1
BRALA11915	OFUSG22036.1
BRALA09126	OFUSG04658.1
BRALA09070	OFUSG16209.1
BRALA18083	OFUSG10696.1
BRALA11040	OFUSG05819.1
BRALA06336	OFUSG11071.1
BRALA20669	OFUSG18258.1
BRALA15768	OFUSG17325.1
BRALA16933	OFUSG03429.1
BRALA06049	OFUSG14472.1
BRALA29066	OFUSG09043.1
BRALA18492	OFUSG04851.1
BRALA00375	OFUSG21499.1
BRALA26240	OFUSG09126.1
BRALA29526	OFUSG11652.1
BRALA18313	OFUSG08104.1
BRALA03747	OFUSG02182.1
BRALA21414	OFUSG05763.1
BRALA04513	OFUSG03994.1
BRALA29142	OFUSG11940.1
BRALA13346	OFUSG11428.1
BRALA23033	OFUSG17986.1
BRALA27764	OFUSG15034.1
BRALA27583	OFUSG26077.1
BRALA25730	OFUSG21143.1
BRALA23177	OFUSG09613.1
BRALA02631	OFUSG07750.1
BRALA22365	OFUSG19055.1
BRALA12707	OFUSG18702.1
BRALA26857	OFUSG15213.1
BRALA24109	OFUSG12133.1
BRALA18364	OFUSG24085.1
BRALA01147	OFUSG16892.1
BRALA13643	OFUSG14243.1
BRALA30841	OFUSG07962.1
BRALA21267	OFUSG13347.1
BRALA28882	OFUSG19187.1
BRALA26237	OFUSG12155.1
BRALA04147	OFUSG15859.1
BRALA19240	OFUSG03606.1
BRALA29680	OFUSG21149.1
BRALA05686	OFUSG06747.1
BRALA28316	OFUSG02354.1
BRALA19628	OFUSG01641.1
BRALA22859	OFUSG09026.1
BRALA03169	OFUSG05250.1
BRALA19276	OFUSG01287.1
BRALA05643	OFUSG17532.1
BRALA19372	OFUSG20932.1
BRALA26757	OFUSG16184.1
BRALA17583	OFUSG09726.1
BRALA33560	OFUSG24102.1
BRALA17357	OFUSG18782.1
BRALA15803	OFUSG26367.1
BRALA15940	OFUSG11337.1
BRALA31289	OFUSG22046.1
BRALA04285	OFUSG24455.1
BRALA17103	OFUSG17316.1
BRALA19605	OFUSG13013.1
BRALA17312	OFUSG05212.1
BRALA19453	OFUSG25160.1
BRALA06421	OFUSG10462.1
BRALA29886	OFUSG26362.1
BRALA07343	OFUSG15789.1
BRALA21828	OFUSG25574.1
BRALA03145	OFUSG05436.1
BRALA34998	OFUSG14865.1
BRALA00107	OFUSG07062.1
BRALA21154	OFUSG13363.1
BRALA01161	OFUSG17489.1
BRALA35441	OFUSG19247.1
BRALA15225	OFUSG16738.1
BRALA31606	OFUSG20871.1
BRALA02511	OFUSG01088.1
BRALA05306	OFUSG20986.1
BRALA03464	OFUSG22959.1
BRALA21795	OFUSG07746.1
BRALA34565	OFUSG02716.1
BRALA24660	OFUSG08574.1
BRALA21363	OFUSG04241.1
BRALA11442	OFUSG13614.1
BRALA27055	OFUSG25257.1
BRALA12527	OFUSG05148.1
BRALA10238	OFUSG25578.1
BRALA20472	OFUSG05482.1
BRALA26673	OFUSG13497.1
BRALA19604	OFUSG13640.1
BRALA06615	OFUSG10227.1
BRALA21714	OFUSG05811.1
BRALA29368	OFUSG14982.1
BRALA01669	OFUSG09625.1
BRALA21605	OFUSG08605.1
BRALA14406	OFUSG17656.1
BRALA33999	OFUSG24226.1
BRALA01459	OFUSG04844.1
BRALA10266	OFUSG23548.1
BRALA15560	OFUSG20154.1
BRALA17953	OFUSG06645.1
BRALA03062	OFUSG20748.1
BRALA31922	OFUSG14984.1
BRALA34119	OFUSG10665.1
BRALA24175	OFUSG04161.1
BRALA13683	OFUSG25904.1
BRALA16853	OFUSG00924.1
BRALA18548	OFUSG12648.1
BRALA11206	OFUSG10832.1
BRALA17302	OFUSG06177.1
BRALA19435	OFUSG03215.1
BRALA27094	OFUSG01150.1
BRALA10608	OFUSG17395.1
BRALA06025	OFUSG13940.1
BRALA28875	OFUSG19211.1
BRALA02774	OFUSG08347.1
BRALA21420	OFUSG07697.1
BRALA03975	OFUSG17857.1
BRALA26428	OFUSG15380.1
BRALA01418	OFUSG09414.1
BRALA21680	OFUSG05973.1
BRALA21662	OFUSG05457.1
BRALA14241	OFUSG13997.1
BRALA04435	OFUSG08593.1
BRALA24064	OFUSG05596.1
BRALA18044	OFUSG19345.1
BRALA01146	OFUSG16891.1
BRALA12529	OFUSG05150.1
BRALA26591	OFUSG05478.1
BRALA04400	OFUSG04002.1
BRALA00503	OFUSG26311.1
BRALA04989	OFUSG16753.1
BRALA27654	OFUSG22676.1
BRALA20546	OFUSG05113.1
BRALA22920	OFUSG03071.1
BRALA19186	OFUSG01437.1
BRALA19904	OFUSG07953.1
BRALA22455	OFUSG02389.1
BRALA03390	OFUSG20513.1
BRALA02543	OFUSG26636.1
BRALA20233	OFUSG23208.1
BRALA25711	OFUSG12105.1
BRALA28942	OFUSG08087.1
BRALA23213	OFUSG09059.1
BRALA27482	OFUSG11178.1
BRALA00751	OFUSG13528.1
BRALA13549	OFUSG09353.1
BRALA21573	OFUSG21932.1
BRALA25269	OFUSG05661.1
BRALA20876	OFUSG03405.1
BRALA20249	OFUSG04950.1
BRALA25962	OFUSG12385.1
BRALA18080	OFUSG10674.1
BRALA01877	OFUSG09027.1
BRALA15927	OFUSG02916.1
BRALA09717	OFUSG13169.1
BRALA20318	OFUSG19175.1
BRALA05890	OFUSG13860.1
BRALA05218	OFUSG23437.1
BRALA05674	OFUSG16824.1
BRALA08046	OFUSG07054.1
BRALA16227	OFUSG13670.1
BRALA01143	OFUSG17059.1
BRALA18576	OFUSG17215.1
BRALA34467	OFUSG13155.1
BRALA11304	OFUSG13171.1
BRALA03930	OFUSG11039.1
BRALA27290	OFUSG17650.1
BRALA25694	OFUSG12264.1
BRALA13527	OFUSG09668.1
BRALA03354	OFUSG05244.1
BRALA16928	OFUSG01919.1
BRALA29532	OFUSG19041.1
BRALA19544	OFUSG07217.1
BRALA00323	OFUSG13032.1
BRALA19985	OFUSG22991.1
BRALA06198	OFUSG10077.1
BRALA28165	OFUSG22464.1
BRALA24099	OFUSG26151.1
BRALA01969	OFUSG01753.1
BRALA03567	OFUSG05230.1
BRALA34752	OFUSG26842.1
BRALA12414	OFUSG16789.1
BRALA06181	OFUSG18231.1
BRALA15956	OFUSG02199.1
BRALA18879	OFUSG11324.1
BRALA22866	OFUSG09508.1
BRALA22719	OFUSG05788.1
BRALA10719	OFUSG26480.1
BRALA12055	OFUSG08448.1
BRALA04534	OFUSG15471.1
BRALA14324	OFUSG17445.1
BRALA04780	OFUSG16583.1
BRALA32024	OFUSG12506.1
BRALA23284	OFUSG14396.1
BRALA28168	OFUSG11723.1
BRALA03038	OFUSG07604.1
BRALA11484	OFUSG06097.1
BRALA24491	OFUSG06982.1
BRALA15003	OFUSG24200.1
BRALA10610	OFUSG02906.1
BRALA28664	OFUSG05595.1
BRALA24115	OFUSG12083.1
BRALA25848	OFUSG05890.1
BRALA20489	OFUSG19344.1
BRALA07822	OFUSG04294.1
BRALA12186	OFUSG14228.1
BRALA10905	OFUSG26755.1
BRALA16505	OFUSG20687.1
BRALA04561	OFUSG04196.1
BRALA16345	OFUSG08219.1
BRALA03649	OFUSG15954.1
BRALA19894	OFUSG25595.1
BRALA29380	OFUSG22538.1
BRALA13184	OFUSG02978.1
BRALA19348	OFUSG15438.1
BRALA14248	OFUSG10521.1
BRALA02463	OFUSG00594.1
BRALA21660	OFUSG05455.1
BRALA05701	OFUSG21316.1
BRALA33712	OFUSG02909.1
BRALA06803	OFUSG10725.1
BRALA15847	OFUSG13443.1
BRALA02515	OFUSG19122.1
BRALA19365	OFUSG15171.1
BRALA03332	OFUSG07025.1
BRALA21740	OFUSG13383.1
BRALA16277	OFUSG06864.1
BRALA13641	OFUSG14696.1
BRALA22472	OFUSG12367.1
BRALA14996	OFUSG23755.1
BRALA15795	OFUSG24364.1
BRALA24053	OFUSG05531.1
BRALA35026	OFUSG02726.1
BRALA09205	OFUSG03933.1
BRALA15006	OFUSG07799.1
BRALA07348	OFUSG04467.1
BRALA10959	OFUSG18706.1
BRALA11927	OFUSG25116.1
BRALA21728	OFUSG09823.1
BRALA07942	OFUSG04243.1
BRALA03800	OFUSG20321.1
BRALA25939	OFUSG21622.1
BRALA16448	OFUSG05156.1
BRALA08063	OFUSG02827.1
BRALA05143	OFUSG23549.1
BRALA12645	OFUSG05913.1
BRALA35173	OFUSG23886.1
BRALA31603	OFUSG20725.1
BRALA19436	OFUSG03586.1
BRALA22867	OFUSG07142.1
BRALA34673	OFUSG18076.1
BRALA16100	OFUSG20335.1
BRALA33952	OFUSG15607.1
BRALA03125	OFUSG23108.1
BRALA30205	OFUSG00503.1
BRALA17624	OFUSG05055.1
BRALA15351	OFUSG05928.1
BRALA24114	OFUSG25340.1
BRALA01001	OFUSG17629.1
BRALA01659	OFUSG19565.1
BRALA17150	OFUSG18866.1
BRALA35891	OFUSG13501.1
BRALA24041	OFUSG05626.1
BRALA30754	OFUSG03235.1
BRALA09511	OFUSG09296.1
BRALA02672	OFUSG07487.1
BRALA08223	OFUSG02644.1
BRALA19033	OFUSG00455.1
BRALA27045	OFUSG16687.1
BRALA10077	OFUSG15216.1
BRALA31372	OFUSG13735.1
BRALA09723	OFUSG00256.1
BRALA22300	OFUSG12394.1
BRALA13524	OFUSG09096.1
BRALA11242	OFUSG10080.1
BRALA14128	OFUSG16148.1
BRALA27322	OFUSG23133.1
BRALA07263	OFUSG22197.1
BRALA08682	OFUSG21242.1
BRALA03665	OFUSG18613.1
BRALA07458	OFUSG24257.1
BRALA14444	OFUSG16068.1
BRALA24788	OFUSG18787.1
BRALA09860	OFUSG07563.1
BRALA13008	OFUSG10564.1
BRALA24257	OFUSG15552.1
BRALA20654	OFUSG07660.1
BRALA29211	OFUSG11370.1
BRALA19117	OFUSG20832.1
BRALA01443	OFUSG23393.1
BRALA16349	OFUSG05576.1
BRALA17129	OFUSG09685.1
BRALA28733	OFUSG05238.1
BRALA24468	OFUSG21039.1
BRALA01284	OFUSG17355.1
BRALA15671	OFUSG07966.1
BRALA00951	OFUSG17573.1
BRALA18933	OFUSG19118.1
BRALA10397	OFUSG10469.1
BRALA22125	OFUSG12558.1
BRALA30426	OFUSG00085.1
BRALA09599	OFUSG09390.1
BRALA05935	OFUSG04598.1
BRALA28304	OFUSG02353.1
BRALA21235	OFUSG09527.1
BRALA28948	OFUSG02824.1
BRALA18248	OFUSG20349.1
BRALA06584	OFUSG09992.1
BRALA24693	OFUSG21829.1
BRALA25715	OFUSG25295.1
BRALA25276	OFUSG23259.1
BRALA03979	OFUSG10760.1
BRALA01532	OFUSG24205.1
BRALA22734	OFUSG02975.1
BRALA23709	OFUSG00020.1
BRALA10111	OFUSG08355.1
BRALA13852	OFUSG18697.1
BRALA16050	OFUSG20924.1
BRALA26244	OFUSG12291.1
BRALA23696	OFUSG00224.1
BRALA06227	OFUSG17862.1
BRALA01908	OFUSG17183.1
BRALA06748	OFUSG18256.1
BRALA13202	OFUSG16819.1
BRALA02758	OFUSG08357.1
BRALA17638	OFUSG09016.1
BRALA02744	OFUSG25527.1
BRALA27383	OFUSG05851.1
BRALA28220	OFUSG05932.1
BRALA26578	OFUSG06793.1
BRALA19758	OFUSG24104.1
BRALA21942	OFUSG15087.1
BRALA12786	OFUSG06435.1
BRALA08679	OFUSG23602.1
BRALA03391	OFUSG20514.1
BRALA16930	OFUSG03685.1
BRALA29044	OFUSG06807.1
BRALA09976	OFUSG06074.1
BRALA26146	OFUSG11277.1
BRALA00839	OFUSG06709.1
BRALA28982	OFUSG22089.1
BRALA23175	OFUSG08707.1
BRALA24226	OFUSG18807.1
BRALA18762	OFUSG01706.1
BRALA09162	OFUSG15810.1
BRALA05339	OFUSG23510.1
BRALA01196	OFUSG17300.1
BRALA09530	OFUSG19625.1
BRALA25626	OFUSG04751.1
BRALA02230	OFUSG01564.1
BRALA11810	OFUSG03365.1
BRALA10109	OFUSG13923.1
BRALA07995	OFUSG16642.1
BRALA03845	OFUSG17968.1
BRALA23897	OFUSG00006.1
BRALA01022	OFUSG21501.1
BRALA22684	OFUSG06912.1
BRALA02904	OFUSG07633.1
BRALA16407	OFUSG19489.1
BRALA00377	OFUSG16938.1
BRALA22892	OFUSG07952.1
BRALA20854	OFUSG25180.1
BRALA12317	OFUSG01136.1
BRALA08874	OFUSG00744.1
BRALA11197	OFUSG10565.1
BRALA12830	OFUSG13154.1
BRALA08680	OFUSG21241.1
BRALA20192	OFUSG03666.1
BRALA04693	OFUSG04543.1
BRALA12737	OFUSG06346.1
BRALA01213	OFUSG26331.1
BRALA29412	OFUSG22264.1
BRALA18936	OFUSG06933.1
BRALA18718	OFUSG02542.1
BRALA18503	OFUSG20933.1
BRALA04204	OFUSG16116.1
BRALA08963	OFUSG00457.1
BRALA02880	OFUSG24402.1
BRALA17115	OFUSG09744.1
BRALA01069	OFUSG23665.1
BRALA22413	OFUSG20592.1
BRALA01427	OFUSG26370.1
BRALA13051	OFUSG10816.1
BRALA26587	OFUSG05215.1
BRALA08893	OFUSG00718.1
BRALA03095	OFUSG20621.1
BRALA05217	OFUSG03072.1
BRALA19055	OFUSG01831.1
BRALA23031	OFUSG25447.1
BRALA19148	OFUSG01750.1
BRALA19472	OFUSG10642.1
BRALA19756	OFUSG06465.1
BRALA23432	OFUSG25099.1
BRALA19475	OFUSG07618.1
BRALA23711	OFUSG00445.1
BRALA29637	OFUSG13652.1
BRALA22163	OFUSG17576.1
BRALA02001	OFUSG01224.1
BRALA00977	OFUSG17477.1
BRALA00908	OFUSG13187.1
BRALA27556	OFUSG08144.1
BRALA23468	OFUSG25047.1
BRALA28500	OFUSG18676.1
BRALA06147	OFUSG14237.1
BRALA00556	OFUSG17101.1
BRALA04412	OFUSG11484.1
BRALA32336	OFUSG21253.1
BRALA10711	OFUSG19632.1
BRALA10476	OFUSG05328.1
BRALA09540	OFUSG19626.1
BRALA16572	OFUSG16213.1
BRALA12497	OFUSG05174.1
BRALA15331	OFUSG18769.1
BRALA02029	OFUSG01086.1
BRALA13297	OFUSG04257.1
BRALA13809	OFUSG08374.1
BRALA03120	OFUSG20878.1
BRALA11721	OFUSG14554.1
BRALA15082	OFUSG20196.1
BRALA16350	OFUSG06794.1
BRALA30348	OFUSG08908.1
BRALA15826	OFUSG09565.1
BRALA10241	OFUSG26530.1
BRALA34128	OFUSG18300.1
BRALA16977	OFUSG03363.1
BRALA20438	OFUSG21854.1
BRALA33340	OFUSG09190.1
BRALA17530	OFUSG07939.1
BRALA06727	OFUSG00878.1
BRALA24663	OFUSG21907.1
BRALA14066	OFUSG04125.1
BRALA17548	OFUSG17150.1
BRALA19094	OFUSG04989.1
BRALA28849	OFUSG21917.1
BRALA24108	OFUSG12256.1
BRALA10452	OFUSG04262.1
BRALA10664	OFUSG12615.1
BRALA14606	OFUSG06256.1
BRALA22094	OFUSG23413.1
BRALA06170	OFUSG14182.1
BRALA07344	OFUSG16733.1
BRALA28835	OFUSG11480.1
BRALA26150	OFUSG11245.1
BRALA30180	OFUSG17958.1
BRALA13192	OFUSG24162.1
BRALA02051	OFUSG00054.1
BRALA17182	OFUSG06422.1
BRALA21168	OFUSG15945.1
BRALA08068	OFUSG03152.1
BRALA31319	OFUSG03127.1
BRALA14323	OFUSG17110.1
BRALA12187	OFUSG14229.1
BRALA29524	OFUSG12479.1
BRALA10042	OFUSG08234.1
BRALA09779	OFUSG21402.1
BRALA01708	OFUSG13558.1
BRALA19961	OFUSG20710.1
BRALA31370	OFUSG25379.1
BRALA32296	OFUSG16648.1
BRALA33535	OFUSG01453.1
BRALA18733	OFUSG02654.1
BRALA04093	OFUSG01253.1
BRALA22643	OFUSG12491.1
BRALA21188	OFUSG09156.1
BRALA09562	OFUSG09451.1
BRALA06106	OFUSG24704.1
BRALA13767	OFUSG26411.1
BRALA15954	OFUSG18158.1
BRALA14962	OFUSG22295.1
BRALA14809	OFUSG04172.1
BRALA09266	OFUSG21357.1
BRALA00969	OFUSG26252.1
BRALA01192	OFUSG19169.1
BRALA14292	OFUSG25793.1
BRALA01152	OFUSG21161.1
BRALA16866	OFUSG13218.1
BRALA12384	OFUSG01472.1
BRALA10357	OFUSG09761.1
BRALA01131	OFUSG21496.1
BRALA21245	OFUSG22987.1
BRALA04357	OFUSG16596.1
BRALA24672	OFUSG09629.1
BRALA02294	OFUSG01613.1
BRALA16399	OFUSG05476.1
BRALA28497	OFUSG19220.1
BRALA07212	OFUSG22208.1
BRALA32553	OFUSG03295.1
BRALA14566	OFUSG19620.1
BRALA14766	OFUSG26512.1
BRALA06974	OFUSG26724.1
BRALA04721	OFUSG03657.1
BRALA17529	OFUSG25660.1
BRALA29850	OFUSG19655.1
BRALA14243	OFUSG25812.1
BRALA04538	OFUSG12678.1
