Orthogroup	BRAFL	YEAST
OG0000934	bflo_04490	YEAST02582, YEAST06252
OG0000935	bflo_19247	YEAST02843
OG0000943	bflo_07247, bflo_25977, bflo_25404, bflo_07474, bflo_08111, bflo_08110, bflo_20510	YEAST03805
OG0000944	bflo_14426	YEAST04878
OG0000954	bflo_13257, bflo_23747	YEAST05503, YEAST01249
OG0000955	bflo_25651	YEAST00837
OG0000955	bflo_14322	YEAST04295
OG0000963	bflo_07262, bflo_03565	YEAST03685, YEAST00482, YEAST01749
OG0000964	bflo_06342, bflo_19118, bflo_10230, bflo_06035, bflo_06039	YEAST04606
OG0000965	bflo_08576, bflo_07554	YEAST02552
OG0000965	bflo_13018	YEAST02050
OG0000967	bflo_04354, bflo_07239	YEAST05075
OG0000970	bflo_27343, bflo_20779, bflo_12814, bflo_20773	YEAST04028
OG0000982	bflo_07681	YEAST01182
OG0000984	bflo_06233, bflo_15006, bflo_15679	YEAST01493, YEAST00575
OG0000986	bflo_21122, bflo_07321	YEAST01481, YEAST04073
OG0000987	bflo_02033	YEAST04734, YEAST02734
OG0000994	bflo_01641, bflo_10212	YEAST02360
OG0000996	bflo_21978	YEAST00033
OG0001001	bflo_27374, bflo_21303	YEAST00341
OG0001003	bflo_20878	YEAST00644
OG0001006	bflo_04350, bflo_22313	YEAST04513
OG0001016	bflo_19435, bflo_00910	YEAST00830
OG0001018	bflo_13308	YEAST02803, YEAST05933
OG0001018	bflo_17983, bflo_02467, bflo_02601, bflo_13307, bflo_24232, bflo_23920	YEAST01172
OG0001024	bflo_04903	YEAST01024, YEAST00308
OG0001033	bflo_20841	YEAST02124
OG0001064	bflo_16843, bflo_27227, bflo_17908, bflo_17446, bflo_17801, bflo_10560, bflo_10566	YEAST00458
OG0001066	bflo_07352, bflo_18100	YEAST06311
OG0001075	bflo_01789	YEAST05636
OG0001076	bflo_14398	YEAST01570
OG0001081	bflo_15729, bflo_03684	YEAST04460
OG0001082	bflo_19096, bflo_00917	YEAST03919, YEAST02905, YEAST05331
OG0001094	bflo_14443, bflo_08753, bflo_09562, bflo_24273, bflo_24271, bflo_24569, bflo_25669, bflo_26150, bflo_10325	YEAST03837
OG0001095	bflo_26605, bflo_00827, bflo_26602	YEAST00773
OG0001096	bflo_20939, bflo_07578, bflo_24946, bflo_25111	YEAST01384
OG0001101	bflo_12035	YEAST04701
OG0001108	bflo_00378, bflo_22556, bflo_20433	YEAST06309
OG0001111	bflo_13059, bflo_21070, bflo_22350	YEAST06003
OG0001113	bflo_14797	YEAST05320
OG0001113	bflo_26422	YEAST00954
OG0001114	bflo_04550	YEAST00036, YEAST05811
OG0001124	bflo_23639, bflo_10476	YEAST02719
OG0001132	bflo_06192	YEAST05421
OG0001133	bflo_17034	YEAST04296
OG0001133	bflo_25491	YEAST03271
OG0001134	bflo_22790	YEAST05015
OG0001135	bflo_14080	YEAST03641
OG0001136	bflo_06069	YEAST05047, YEAST02997
OG0001140	bflo_06370	YEAST03519
OG0001142	bflo_01437	YEAST04001
OG0001163	bflo_06913, bflo_07427	YEAST02433
OG0001164	bflo_21084	YEAST03454
OG0001171	bflo_05953	YEAST04620, YEAST03578
OG0001175	bflo_00560, bflo_02898	YEAST00534
OG0001177	bflo_20551, bflo_01608	YEAST06137
OG0001179	bflo_18406, bflo_13368, bflo_13513	YEAST00368, YEAST04831, YEAST02287
OG0001181	bflo_18914	YEAST02051
OG0001184	bflo_15772, bflo_09793	YEAST01681
OG0001185	bflo_06562	YEAST04969
OG0001186	bflo_12657, bflo_12919	YEAST04605, YEAST01886
OG0001191	bflo_04561, bflo_10001	YEAST04707
OG0001192	bflo_11973, bflo_24276, bflo_09020, bflo_09001, bflo_08999, bflo_08998, bflo_09000, bflo_08997, bflo_09011, bflo_09002, bflo_09013, bflo_09014, bflo_11670, bflo_23492, bflo_23499, bflo_12100, bflo_11977, bflo_01066, bflo_11591, bflo_00034, bflo_11976, bflo_11974, bflo_02044, bflo_11975, bflo_11970, bflo_16582, bflo_24806, bflo_21883	YEAST01898
OG0001197	bflo_24451	YEAST01499
OG0001201	bflo_12759	YEAST05452
OG0001204	bflo_20309, bflo_20315	YEAST05200
OG0001207	bflo_21743, bflo_02422	YEAST04258
OG0001210	bflo_07894	YEAST05511
OG0001210	bflo_24464, bflo_04429	YEAST02318
OG0001212	bflo_15260	YEAST03971
OG0001214	bflo_11103	YEAST00577
OG0001216	bflo_24683, bflo_13216	YEAST00145
OG0001219	bflo_01008	YEAST03867
OG0001236	bflo_24082	YEAST03325, YEAST02687, YEAST03269
OG0001237	bflo_08453, bflo_07801	YEAST04380
OG0001238	bflo_06313, bflo_26480	YEAST04481
OG0001241	bflo_06240	YEAST02002
OG0001241	bflo_21597	YEAST03967, YEAST01074
OG0001243	bflo_08723	YEAST00739, YEAST05004
OG0001249	bflo_25407, bflo_25542	YEAST01062, YEAST02067
OG0001250	bflo_23893	YEAST02968, YEAST01339
OG0001251	bflo_13478	YEAST01707
OG0001253	bflo_11668, bflo_06734	YEAST03998
OG0001254	bflo_16683	YEAST04309
OG0001262	bflo_15864	YEAST00911
OG0001263	bflo_07084, bflo_10303	YEAST00172
OG0001268	bflo_06467, bflo_11029	YEAST03495
OG0001270	bflo_23365	YEAST01703
OG0001270	bflo_22891	YEAST02398
OG0001271	bflo_11260, bflo_18970	YEAST05227, YEAST00662
OG0001278	bflo_02941, bflo_01205	YEAST01893
OG0001279	bflo_08526	YEAST03070
OG0001280	bflo_05584	YEAST00846
OG0001282	bflo_26722, bflo_03069	YEAST03744
OG0001284	bflo_19270, bflo_06254	YEAST00567, YEAST01498
OG0001286	bflo_10170, bflo_26942	YEAST00588, YEAST01486, YEAST03604
OG0001291	bflo_08573	YEAST04453, YEAST04334
OG0001300	bflo_05339, bflo_05337, bflo_26790, bflo_20405	YEAST01098
OG0001302	bflo_25165	YEAST02328
OG0001302	bflo_08709	YEAST00299
OG0001310	bflo_20260, bflo_17144	YEAST00887
OG0001318	bflo_03324, bflo_04124	YEAST03712
OG0001319	bflo_21304	YEAST01678
OG0001321	bflo_08721	YEAST02280, YEAST01901
OG0001322	bflo_09889, bflo_23924	YEAST06128
OG0001324	bflo_02826	YEAST00078
OG0001325	bflo_13293	YEAST00793
OG0001326	bflo_09218	YEAST05395
OG0001327	bflo_01466, bflo_11384	YEAST03176
OG0001332	bflo_06611, bflo_06610, bflo_25803, bflo_25758	YEAST03929, YEAST02705, YEAST00687
OG0001333	bflo_09852	YEAST00728
OG0001341	bflo_11107	YEAST06006
OG0001345	bflo_12246, bflo_12252, bflo_11238, bflo_11249, bflo_10218, bflo_13505, bflo_09618, bflo_09615, bflo_12953, bflo_12952	YEAST03613
OG0001353	bflo_16481, bflo_05764	YEAST00020, YEAST04041
OG0001363	bflo_16521, bflo_16519	YEAST06180
OG0001364	bflo_24323	YEAST06038, YEAST00402
OG0001367	bflo_16121	YEAST04688
OG0001368	bflo_01730, bflo_01015, bflo_20314	YEAST01821
OG0001370	bflo_05809, bflo_18847	YEAST04067, YEAST05195, YEAST00897
OG0001371	bflo_23286, bflo_22936, bflo_22937, bflo_22938	YEAST00532, YEAST03976
OG0001372	bflo_25830	YEAST00070
OG0001372	bflo_13574	YEAST02226
OG0001375	bflo_05780, bflo_25517	YEAST05499, YEAST05567
OG0001378	bflo_08974	YEAST02300
OG0001379	bflo_05155, bflo_21724	YEAST04155
OG0001386	bflo_02159	YEAST05114
OG0001397	bflo_10128, bflo_09338	YEAST05731
OG0001400	bflo_02687	YEAST02931
OG0001409	bflo_11307	YEAST00885, YEAST04659
OG0001410	bflo_14262, bflo_13741	YEAST05046
OG0001411	bflo_14652	YEAST04834
OG0001412	bflo_09295, bflo_00729	YEAST04490
OG0001413	bflo_20564, bflo_06589	YEAST04294
OG0001414	bflo_22712, bflo_10760, bflo_10406	YEAST06070, YEAST01920
OG0001415	bflo_14008, bflo_20533	YEAST04230
OG0001415	bflo_21227	YEAST00964
OG0001421	bflo_21002	YEAST05252
OG0001422	bflo_00253	YEAST05588, YEAST01363
OG0001424	bflo_06976, bflo_05512, bflo_06259, bflo_05513, bflo_05510, bflo_05506	YEAST01127
OG0001427	bflo_04082, bflo_04073	YEAST01885
OG0001428	bflo_24663	YEAST04862, YEAST05862, YEAST02749, YEAST03037
OG0001430	bflo_10599	YEAST01712
OG0001434	bflo_03898	YEAST03991
OG0001437	bflo_11365, bflo_13730, bflo_13248	YEAST01264, YEAST02900
OG0001445	bflo_08938	YEAST01715
OG0001449	bflo_06102	YEAST03188
OG0001452	bflo_05982	YEAST05900
OG0001454	bflo_14303	YEAST01495, YEAST00573
OG0001456	bflo_05447, bflo_02658, bflo_03856	YEAST00365
OG0001459	bflo_09086	YEAST03073, YEAST03464
OG0001461	bflo_11066, bflo_10892, bflo_11178, bflo_19369, bflo_21910	YEAST05255
OG0001468	bflo_02942	YEAST03875, YEAST03904
OG0001469	bflo_09303	YEAST02070
OG0001469	bflo_14078	YEAST02765
OG0001470	bflo_21111, bflo_07140	YEAST00369, YEAST05375
OG0001472	bflo_19444, bflo_09223	YEAST03031
OG0001473	bflo_13907, bflo_23419, bflo_23420	YEAST05711
OG0001474	bflo_19387, bflo_23794	YEAST01416, YEAST05312
OG0001478	bflo_13944	YEAST01984
OG0001478	bflo_23859	YEAST02078
OG0001479	bflo_16721	YEAST01132
OG0001503	bflo_06788	YEAST03032
OG0001503	bflo_23876	YEAST02920
OG0001504	bflo_12663, bflo_20928, bflo_13456	YEAST05406
OG0001505	bflo_09444, bflo_09445, bflo_09632, bflo_14121, bflo_24098	YEAST03361
OG0001508	bflo_10335	YEAST04143
OG0001515	bflo_24482	YEAST03320
OG0001520	bflo_01540	YEAST03872
OG0001524	bflo_09720, bflo_13114	YEAST03912
OG0001525	bflo_20724	YEAST00757
OG0001527	bflo_21123, bflo_12778	YEAST01395
OG0001529	bflo_18691	YEAST01143
OG0001530	bflo_08670	YEAST00643
OG0001546	bflo_21713	YEAST03111
OG0001550	bflo_00591, bflo_20670, bflo_20647, bflo_25532	YEAST02405, YEAST05953
OG0001551	bflo_11722, bflo_27019	YEAST04817
OG0001553	bflo_07695	YEAST05147, YEAST01586
OG0001557	bflo_10504	YEAST04671
OG0001557	bflo_11078	YEAST04551
OG0001558	bflo_05037	YEAST04449
OG0001559	bflo_07493, bflo_13140	YEAST00445, YEAST02434
OG0001561	bflo_11585	YEAST06176
OG0001564	bflo_21764	YEAST05390
OG0001570	bflo_25416, bflo_13444	YEAST04678
OG0001573	bflo_26307	YEAST03285
OG0001578	bflo_09036	YEAST01872
OG0001580	bflo_12800	YEAST06270
OG0001590	bflo_17658, bflo_06753, bflo_25342, bflo_06809	YEAST03476, YEAST00717, YEAST03955
OG0001594	bflo_17592, bflo_12242, bflo_17591	YEAST03418
OG0001597	bflo_19431	YEAST01702
OG0001603	bflo_15819	YEAST02584
OG0001604	bflo_23568, bflo_20603	YEAST01428
OG0001605	bflo_13484, bflo_14059	YEAST04101
OG0001609	bflo_21761, bflo_10966	YEAST02739
OG0001610	bflo_01194	YEAST00596, YEAST02062
OG0001612	bflo_17732	YEAST01109
OG0001628	bflo_24987, bflo_07205	YEAST04790
OG0001653	bflo_25718	YEAST01151
OG0001655	bflo_15013	YEAST03354
OG0001657	bflo_20602	YEAST00101, YEAST00944
OG0001663	bflo_11604	YEAST05642
OG0001676	bflo_08180	YEAST02848
OG0001676	bflo_08246	YEAST06155
OG0001679	bflo_10339	YEAST05302, YEAST02334, YEAST02449, YEAST01523
OG0001680	bflo_13497	YEAST01119, YEAST04022
OG0001685	bflo_14264	YEAST01147
OG0001687	bflo_21798, bflo_21375, bflo_21796, bflo_21373	YEAST05279
OG0001691	bflo_19887	YEAST01315
OG0001704	bflo_15432, bflo_14401, bflo_14402, bflo_14619	YEAST01293
OG0001706	bflo_20030	YEAST03424
OG0001707	bflo_01901, bflo_01997, bflo_01998	YEAST06049, YEAST00407, YEAST04739
OG0001708	bflo_23305, bflo_19700, bflo_03419	YEAST05744, YEAST05745
OG0001709	bflo_25854, bflo_14697	YEAST04440
OG0001713	bflo_24618, bflo_01714	YEAST04039
OG0001718	bflo_16668	YEAST01537
OG0001721	bflo_17395	YEAST04881, YEAST05253, YEAST00698
OG0001723	bflo_22206	YEAST01435
OG0001727	bflo_24508	YEAST04543
OG0001728	bflo_06838	YEAST03347
OG0001730	bflo_09904	YEAST00177
OG0001739	bflo_09231	YEAST03760
OG0001745	bflo_08851, bflo_23814, bflo_06373	YEAST01431
OG0001750	bflo_19223	YEAST03628
OG0001754	bflo_17742	YEAST03682
OG0001755	bflo_01568	YEAST05131
OG0001756	bflo_08900, bflo_07604	YEAST00620
OG0001769	bflo_07667, bflo_19246	YEAST04726
OG0001770	bflo_14858	YEAST02590
OG0001774	bflo_09728, bflo_11693, bflo_12263	YEAST05166
OG0001775	bflo_06692	YEAST05594
OG0001780	bflo_20503, bflo_18701	YEAST03768
OG0001781	bflo_18622, bflo_16431	YEAST01882
OG0001782	bflo_05868, bflo_07274	YEAST02421
OG0001785	bflo_03664	YEAST02713
OG0001787	bflo_17783	YEAST03546
OG0001792	bflo_17375	YEAST04331
OG0001792	bflo_06166	YEAST04595
OG0001793	bflo_00631, bflo_02034	YEAST02466
OG0001805	bflo_10340	YEAST05496, YEAST01242
OG0001807	bflo_05428, bflo_05429, bflo_09269, bflo_02527	YEAST05464
OG0001808	bflo_26290	YEAST01298
OG0001818	bflo_13837, bflo_20690	YEAST05902, YEAST04712
OG0001822	bflo_12611	YEAST04378, YEAST01659
OG0001826	bflo_21842	YEAST04777, YEAST01697, YEAST05781
OG0001828	bflo_18689	YEAST04676
OG0001829	bflo_24896	YEAST01613, YEAST00136, YEAST02008
OG0001831	bflo_22941	YEAST00024
OG0001832	bflo_11401, bflo_07490	YEAST05376
OG0001842	bflo_12366, bflo_12367, bflo_11791, bflo_11792, bflo_12363, bflo_12362, bflo_12492, bflo_11938, bflo_11939, bflo_18048, bflo_17943, bflo_09060	YEAST00524
OG0001846	bflo_05774	YEAST05067
OG0001850	bflo_13727	YEAST01913
OG0001852	bflo_05001, bflo_15363	YEAST03121
OG0001853	bflo_00293, bflo_06716, bflo_13461, bflo_13232	YEAST05176
OG0001857	bflo_02847	YEAST04741
OG0001860	bflo_09180	YEAST00188
OG0001861	bflo_09384, bflo_09386, bflo_09200	YEAST05779, YEAST04773
OG0001863	bflo_07582, bflo_25890	YEAST03017
OG0001866	bflo_17287	YEAST05095, YEAST05570
OG0001867	bflo_23811	YEAST01669
OG0001873	bflo_05374, bflo_11044	YEAST00981, YEAST00267
OG0001875	bflo_00268, bflo_08517	YEAST04137
OG0001877	bflo_00391	YEAST04134
OG0001886	bflo_15916	YEAST03260
OG0001888	bflo_25627	YEAST05749, YEAST01573
OG0001893	bflo_15985	YEAST01023
OG0001894	bflo_09288	YEAST00433
OG0001899	bflo_07751	YEAST01210, YEAST04466
OG0001903	bflo_18870	YEAST06020
OG0001913	bflo_09229	YEAST05520
OG0001915	bflo_17895	YEAST04791
OG0001917	bflo_25567	YEAST01859
OG0001923	bflo_25894	YEAST05881
OG0001926	bflo_26209	YEAST02948
OG0001932	bflo_21308	YEAST03770, YEAST03179
OG0001934	bflo_23095	YEAST00877
OG0001935	bflo_01494, bflo_22557	YEAST00431
OG0001938	bflo_09795	YEAST03931
OG0001940	bflo_20907	YEAST04188, YEAST05646
OG0001943	bflo_10186	YEAST02393, YEAST05966
OG0001945	bflo_18022	YEAST01671
OG0001947	bflo_11420	YEAST02570
OG0001951	bflo_00274	YEAST00941, YEAST05396
OG0001952	bflo_06372, bflo_17534	YEAST04673, YEAST01990, YEAST00155
OG0001965	bflo_23145	YEAST04582
OG0001968	bflo_10774, bflo_16081	YEAST04910
OG0001969	bflo_00277	YEAST06173
OG0001972	bflo_24069	YEAST01822, YEAST03363
OG0001985	bflo_20379	YEAST04959
OG0001992	bflo_11647	YEAST02679
OG0001998	bflo_20085	YEAST00890
OG0002001	bflo_00306, bflo_00287	YEAST00502, YEAST03944
OG0002003	bflo_23282	YEAST02826, YEAST03671
OG0002008	bflo_07691	YEAST00768
OG0002010	bflo_23377	YEAST00609
OG0002013	bflo_12622, bflo_17120, bflo_00734, bflo_03858, bflo_00561, bflo_00614	YEAST03040
OG0002014	bflo_10880	YEAST02422
OG0002015	bflo_23014	YEAST05525
OG0002025	bflo_23452	YEAST03650
OG0002026	bflo_14327	YEAST01247
OG0002029	bflo_17549	YEAST02646
OG0002031	bflo_00323	YEAST02752
OG0002032	bflo_06420	YEAST01221
OG0002042	bflo_07574, bflo_19730, bflo_07576, bflo_08137	YEAST02880
OG0002043	bflo_06461	YEAST04003
OG0002059	bflo_15701	YEAST05893, YEAST04718
OG0002062	bflo_08319	YEAST05454
OG0002063	bflo_03409, bflo_08057	YEAST00838
OG0002067	bflo_23122	YEAST03444
OG0002069	bflo_01048	YEAST05962
OG0002073	bflo_05725	YEAST04552
OG0002076	bflo_00828	YEAST02206
OG0002079	bflo_15094	YEAST05765, YEAST00483
OG0002080	bflo_04014, bflo_04015	YEAST05220, YEAST04736
OG0002084	bflo_09360, bflo_09358, bflo_09359	YEAST04529
OG0002087	bflo_16653	YEAST05702
OG0002090	bflo_02699, bflo_17839, bflo_23553	YEAST02246
OG0002093	bflo_09224, bflo_09209	YEAST02255
OG0002097	bflo_21773	YEAST02697
OG0002101	bflo_25619	YEAST03902
OG0002103	bflo_22111, bflo_17829	YEAST05974
OG0002106	bflo_05638, bflo_15862, bflo_22740, bflo_13807, bflo_22931, bflo_17019	YEAST03654
OG0002108	bflo_06308	YEAST03715
OG0002123	bflo_04954	YEAST02444
OG0002123	bflo_09202	YEAST03709
OG0002125	bflo_23929, bflo_20182, bflo_10052	YEAST05183
OG0002131	bflo_06125	YEAST04275
OG0002137	bflo_06584, bflo_24891, bflo_24894	YEAST04320
OG0002138	bflo_10523	YEAST02406
OG0002144	bflo_20180	YEAST02673
OG0002146	bflo_11049	YEAST04333, YEAST00109, YEAST03088, YEAST04454
OG0002147	bflo_24379	YEAST04532, YEAST01219
OG0002148	bflo_14196	YEAST02060
OG0002152	bflo_06723	YEAST05624
OG0002156	bflo_15422	YEAST03007
OG0002160	bflo_22999	YEAST03960
OG0002165	bflo_13721, bflo_13797, bflo_13728	YEAST04504
OG0002168	bflo_01491, bflo_26230	YEAST00516
OG0002169	bflo_10054	YEAST02258
OG0002175	bflo_11846	YEAST04956
OG0002184	bflo_25708, bflo_27502	YEAST00242
OG0002185	bflo_12889	YEAST05212
OG0002188	bflo_24734	YEAST04638, YEAST03913
OG0002189	bflo_02190, bflo_25738	YEAST02882, YEAST04447
OG0002213	bflo_08585, bflo_22691	YEAST01241, YEAST05495
OG0002216	bflo_18862	YEAST06040
OG0002217	bflo_16001	YEAST06033
OG0002222	bflo_24361	YEAST03240
OG0002224	bflo_07288	YEAST01574
OG0002225	bflo_09171	YEAST04939
OG0002226	bflo_25646	YEAST00948
OG0002228	bflo_13849, bflo_23702	YEAST04154, YEAST05632
OG0002233	bflo_14649, bflo_11361, bflo_14273, bflo_14272, bflo_03863	YEAST00277
OG0002239	bflo_06586	YEAST01621
OG0002241	bflo_20706	YEAST02005
OG0002243	bflo_08149	YEAST04599, YEAST03601, YEAST04600
OG0002244	bflo_15224	YEAST02768
OG0002252	bflo_22997	YEAST00826
OG0002261	bflo_23458	YEAST00472
OG0002264	bflo_17703	YEAST01705
OG0002279	bflo_22353	YEAST05800
OG0002282	bflo_15825	YEAST00881
OG0002288	bflo_07962	YEAST01591, YEAST05154
OG0002297	bflo_19555, bflo_07421, bflo_19556, bflo_18716, bflo_25916, bflo_25367, bflo_26405, bflo_26046	YEAST01217
OG0002312	bflo_10393	YEAST06295
OG0002316	bflo_27221, bflo_17667, bflo_20730	YEAST01805
OG0002318	bflo_15753, bflo_04573, bflo_07141	YEAST02923
OG0002319	bflo_21275	YEAST00329
OG0002321	bflo_09188	YEAST02461
OG0002324	bflo_11385, bflo_16549, bflo_19395	YEAST02615, YEAST06287
OG0002326	bflo_12510	YEAST00310, YEAST02699
OG0002327	bflo_11578	YEAST00346, YEAST06217
OG0002331	bflo_13938	YEAST01653
OG0002332	bflo_26840, bflo_06982	YEAST01606, YEAST05184, YEAST00285
OG0002341	bflo_27129	YEAST02397
OG0002341	bflo_14641, bflo_21521	YEAST03640, YEAST04562
OG0002344	bflo_05342	YEAST02312, YEAST02019
OG0002346	bflo_03740	YEAST02012
OG0002348	bflo_14911	YEAST01845
OG0002355	bflo_14385	YEAST00016
OG0002356	bflo_10383	YEAST00259
OG0002361	bflo_23630, bflo_04272, bflo_17174	YEAST01027
OG0002367	bflo_25184, bflo_06197	YEAST01179
OG0002369	bflo_17338	YEAST03766
OG0002374	bflo_12674	YEAST02010, YEAST00133
OG0002377	bflo_08189	YEAST05000
OG0002385	bflo_04371	YEAST03974
OG0002406	bflo_24870	YEAST05509
OG0002407	bflo_06998	YEAST00012
OG0002409	bflo_11396	YEAST02027
OG0002411	bflo_08287	YEAST05950, YEAST02407
OG0002412	bflo_21931, bflo_17586	YEAST06171
OG0002413	bflo_25614, bflo_00931	YEAST01196
OG0002415	bflo_02439, bflo_07511	YEAST01271
OG0002421	bflo_06231, bflo_12659	YEAST02982
OG0002422	bflo_17604	YEAST05026
OG0002426	bflo_22946	YEAST00184
OG0002441	bflo_18128	YEAST00068, YEAST02278, YEAST05821
OG0002442	bflo_12847	YEAST05932
OG0002443	bflo_12045	YEAST04906
OG0002446	bflo_23291	YEAST04254
OG0002448	bflo_07090	YEAST00626
OG0002450	bflo_03594	YEAST04575
OG0002453	bflo_12392	YEAST00512
OG0002476	bflo_16460, bflo_12860	YEAST05799
OG0002486	bflo_02598	YEAST01433
OG0002492	bflo_21795	YEAST01624
OG0002494	bflo_13228	YEAST02402
OG0002495	bflo_02452	YEAST02772
OG0002497	bflo_07342	YEAST02747
OG0002500	bflo_20308, bflo_03076, bflo_03356, bflo_03357	YEAST05648
OG0002505	bflo_19738, bflo_19740, bflo_19741, bflo_18505, bflo_19739	YEAST02959
OG0002510	bflo_21793	YEAST04753
OG0002516	bflo_09647	YEAST00066
OG0002518	bflo_24581	YEAST02890
OG0002520	bflo_07063	YEAST05256
OG0002523	bflo_03694	YEAST06234
OG0002527	bflo_15960	YEAST01639
OG0002528	bflo_10783	YEAST00372
OG0002530	bflo_06442	YEAST05530, YEAST03790
OG0002532	bflo_23293	YEAST03235
OG0002533	bflo_20865	YEAST04525
OG0002543	bflo_20301	YEAST00527
OG0002557	bflo_14058	YEAST06243
OG0002561	bflo_23744, bflo_23953, bflo_05234	YEAST04438, YEAST02106
OG0002562	bflo_25771	YEAST03992
OG0002564	bflo_22944	YEAST02186
OG0002565	bflo_10050, bflo_03463, bflo_03428	YEAST04224, YEAST02499
OG0002570	bflo_12783, bflo_05242	YEAST00592
OG0002594	bflo_12802	YEAST06174
OG0002598	bflo_25193	YEAST04621, YEAST03577
OG0002605	bflo_25240	YEAST06332
OG0002608	bflo_08895	YEAST03716, YEAST02846
OG0002609	bflo_02437	YEAST01355
OG0002610	bflo_12575	YEAST01078, YEAST03973
OG0002612	bflo_11272	YEAST03508
OG0002617	bflo_15506	YEAST00866
OG0002618	bflo_23718	YEAST06247
OG0002621	bflo_06768	YEAST05551
OG0002629	bflo_00304, bflo_16223	YEAST05919
OG0002632	bflo_06193	YEAST02755
OG0002633	bflo_19216	YEAST04206
OG0002636	bflo_23328	YEAST01664, YEAST06215
OG0002638	bflo_05077	YEAST00919, YEAST04703
OG0002643	bflo_14725	YEAST01938
OG0002644	bflo_14285	YEAST00724
OG0002645	bflo_12036	YEAST01436
OG0002646	bflo_03490	YEAST01946
OG0002651	bflo_15103	YEAST02868
OG0002652	bflo_13789	YEAST04937
OG0002656	bflo_18782	YEAST05701
OG0002659	bflo_01178, bflo_10421	YEAST06290
OG0002666	bflo_23259, bflo_23089, bflo_23310	YEAST02507
OG0002668	bflo_12729	YEAST02324
OG0002677	bflo_23067	YEAST05210
OG0002681	bflo_16596	YEAST04585
OG0002683	bflo_18447, bflo_25654	YEAST03676
OG0002705	bflo_20563	YEAST00553
OG0002713	bflo_21837, bflo_21840, bflo_21838	YEAST00413, YEAST06057
OG0002715	bflo_05173, bflo_10995	YEAST01174, YEAST04131
OG0002717	bflo_10829	YEAST02430
OG0002718	bflo_24551	YEAST03380, YEAST03502
OG0002720	bflo_13227, bflo_09843	YEAST01914
OG0002726	bflo_07500	YEAST02958
OG0002729	bflo_15106	YEAST01155
OG0002737	bflo_07243, bflo_14762	YEAST02827
OG0002739	bflo_14092	YEAST01877
OG0002740	bflo_06004	YEAST01658
OG0002742	bflo_08107	YEAST03713
OG0002743	bflo_02901, bflo_19089, bflo_19090	YEAST01824, YEAST03362
OG0002745	bflo_18797	YEAST04244
OG0002746	bflo_13125	YEAST04902, YEAST05332
OG0002747	bflo_16801, bflo_15949	YEAST05617
OG0002749	bflo_06000	YEAST02810
OG0002750	bflo_09572	YEAST04952
OG0002752	bflo_14176	YEAST03686
OG0002753	bflo_11820	YEAST03742
OG0002754	bflo_25157	YEAST03620
OG0002756	bflo_11674, bflo_27015, bflo_20777	YEAST04058
OG0002758	bflo_23311	YEAST04409
OG0002760	bflo_11137	YEAST01927
OG0002761	bflo_26340, bflo_11129	YEAST03261
OG0002763	bflo_18799	YEAST00260
OG0002764	bflo_24413	YEAST00423
OG0002765	bflo_12629	YEAST01667, YEAST05523
OG0002766	bflo_19451, bflo_07699	YEAST05357
OG0002767	bflo_14969	YEAST04591
OG0002771	bflo_11925	YEAST02043
OG0002772	bflo_25744	YEAST03384
OG0002773	bflo_22561, bflo_22594	YEAST03677
OG0002774	bflo_03686	YEAST03575
OG0002775	bflo_17204, bflo_05686	YEAST03021
OG0002781	bflo_19213	YEAST05450
OG0002782	bflo_14421	YEAST02121
OG0002785	bflo_26328	YEAST06106, YEAST01228
OG0002788	bflo_03434	YEAST02578, YEAST01232
OG0002789	bflo_14158	YEAST05269
OG0002793	bflo_08304	YEAST01371
OG0002799	bflo_20975	YEAST01461
OG0002817	bflo_19433	YEAST01189, YEAST04922
OG0002824	bflo_00260	YEAST02137
OG0002826	bflo_10373	YEAST00174
OG0002827	bflo_17660	YEAST05976
OG0002828	bflo_13605, bflo_26191	YEAST00227, YEAST00963
OG0002831	bflo_03754, bflo_04623	YEAST03282
OG0002835	bflo_01169	YEAST02656
OG0002837	bflo_14396	YEAST01987, YEAST00157
OG0002839	bflo_02442	YEAST03148
OG0002843	bflo_20383	YEAST04737
OG0002844	bflo_05002	YEAST05563
OG0002847	bflo_20604	YEAST02294
OG0002851	bflo_17584	YEAST04951
OG0002855	bflo_17685	YEAST00137
OG0002860	bflo_23715	YEAST02712
OG0002866	bflo_03313	YEAST01136
OG0002876	bflo_04355	YEAST02348
OG0002877	bflo_00643	YEAST04537
OG0002883	bflo_07979, bflo_07556	YEAST03027
OG0002893	bflo_22235, bflo_22577, bflo_02586, bflo_11659	YEAST03653
OG0002894	bflo_18873	YEAST00906
OG0002895	bflo_12378	YEAST01471, YEAST05353, YEAST05456
OG0002897	bflo_00347	YEAST06308
OG0002899	bflo_24003	YEAST00283
OG0002907	bflo_25401	YEAST02061
OG0002910	bflo_04018, bflo_04040, bflo_04045	YEAST00223
OG0002915	bflo_19480, bflo_13226	YEAST02264
OG0002917	bflo_21482	YEAST03703
OG0002920	bflo_27441, bflo_27484, bflo_27529, bflo_00066, bflo_26769	YEAST04043, YEAST04055
OG0002921	bflo_20845	YEAST06254
OG0002922	bflo_10302	YEAST01261
OG0002947	bflo_08384	YEAST00232
OG0002948	bflo_24612	YEAST03584
OG0002949	bflo_22993	YEAST00419, YEAST06063
OG0002952	bflo_14626	YEAST05257
