Orthogroup	SACKO_ok	CAPO3
OG0001553	SACKO_14766	CAPO308172
OG0001554	SACKO_27914	CAPO302370
OG0001557	SACKO_23724	CAPO304176
OG0001558	SACKO_25319	CAPO301132
OG0001559	SACKO_32399, SACKO_09139	CAPO301785
OG0001561	SACKO_16712	CAPO301999
OG0001563	SACKO_29211, SACKO_05155, SACKO_05151, SACKO_16979, SACKO_05080, SACKO_05112, SACKO_05074, SACKO_05133	CAPO306378
OG0001564	SACKO_28888	CAPO301061
OG0001567	SACKO_01333, SACKO_23984	CAPO300948
OG0001568	SACKO_33374	CAPO301468
OG0001570	SACKO_27622, SACKO_27563	CAPO303364
OG0001572	SACKO_31302	CAPO304756
OG0001572	SACKO_30400	CAPO304137
OG0001576	SACKO_29281	CAPO306270
OG0001578	SACKO_25675	CAPO300715
OG0001580	SACKO_00171	CAPO307900
OG0001581	SACKO_07437, SACKO_04849, SACKO_04823, SACKO_23137	CAPO306056
OG0001582	SACKO_18815	CAPO307073
OG0001583	SACKO_26995	CAPO306289
OG0001584	SACKO_00066	CAPO301068
OG0001589	SACKO_25593, SACKO_25592	CAPO303301, CAPO304004
OG0001590	SACKO_21309, SACKO_21282, SACKO_03473	CAPO302386
OG0001593	SACKO_13940	CAPO305942
OG0001594	SACKO_26083, SACKO_31513	CAPO307886
OG0001597	SACKO_02083	CAPO302703
OG0001599	SACKO_01015	CAPO300887
OG0001600	SACKO_01633	CAPO305994
OG0001603	SACKO_23077	CAPO306228
OG0001604	SACKO_08859	CAPO303898
OG0001605	SACKO_00179	CAPO307473
OG0001609	SACKO_20157	CAPO304683
OG0001609	SACKO_20497	CAPO302057
OG0001610	SACKO_05583	CAPO301483
OG0001611	SACKO_32339	CAPO305038
OG0001612	SACKO_08058	CAPO302202
OG0001614	SACKO_12210	CAPO303895
OG0001614	SACKO_22048	CAPO307630
OG0001615	SACKO_32434	CAPO300749
OG0001617	SACKO_32773	CAPO302798
OG0001621	SACKO_33548	CAPO302875
OG0001622	SACKO_24169	CAPO302121
OG0001634	SACKO_16111	CAPO305688
OG0001634	SACKO_04773	CAPO305614
OG0001638	SACKO_31247	CAPO303528
OG0001641	SACKO_24443	CAPO303281
OG0001643	SACKO_02624	CAPO306838
OG0001644	SACKO_17026, SACKO_03857	CAPO303665
OG0001653	SACKO_07366	CAPO305118
OG0001655	SACKO_11250	CAPO302812
OG0001657	SACKO_20171, SACKO_20167	CAPO304165, CAPO303952
OG0001660	SACKO_16124	CAPO305930
OG0001661	SACKO_33933	CAPO302789
OG0001661	SACKO_07160, SACKO_07168, SACKO_05012	CAPO304920
OG0001663	SACKO_23924, SACKO_09786	CAPO301057
OG0001664	SACKO_27601	CAPO303152
OG0001665	SACKO_05684, SACKO_00376	CAPO302331
OG0001672	SACKO_00203	CAPO301880
OG0001673	SACKO_02320	CAPO305520
OG0001674	SACKO_13071	CAPO301357
OG0001675	SACKO_13788, SACKO_12839	CAPO307574
OG0001676	SACKO_27676	CAPO300524
OG0001676	SACKO_06479	CAPO305992
OG0001677	SACKO_02202, SACKO_32286	CAPO307978
OG0001679	SACKO_31963	CAPO302155, CAPO305784
OG0001680	SACKO_14900	CAPO304235, CAPO304477
OG0001684	SACKO_17645	CAPO300563
OG0001685	SACKO_33558	CAPO307707
OG0001686	SACKO_16171	CAPO307138
OG0001687	SACKO_08415, SACKO_00450, SACKO_08438	CAPO302907
OG0001688	SACKO_29664	CAPO300133
OG0001690	SACKO_16084, SACKO_16073, SACKO_24918	CAPO304820
OG0001691	SACKO_07768	CAPO307420
OG0001704	SACKO_06839, SACKO_06782, SACKO_06808	CAPO304434
OG0001706	SACKO_16140	CAPO301033
OG0001707	SACKO_27712, SACKO_27719, SACKO_08114	CAPO303836
OG0001708	SACKO_22651, SACKO_22657	CAPO303804
OG0001709	SACKO_21009, SACKO_14450	CAPO304969
OG0001711	SACKO_00222, SACKO_00220	CAPO301872
OG0001713	SACKO_33794, SACKO_29813	CAPO308041
OG0001713	SACKO_10739, SACKO_26830, SACKO_16172	CAPO302278
OG0001714	SACKO_24475	CAPO306669
OG0001714	SACKO_09358	CAPO300188
OG0001718	SACKO_06683, SACKO_01615, SACKO_22232	CAPO301559, CAPO301838
OG0001720	SACKO_16473, SACKO_07137, SACKO_07098	CAPO303957
OG0001721	SACKO_14258	CAPO302302
OG0001723	SACKO_00445	CAPO308089
OG0001724	SACKO_30787	CAPO306474
OG0001727	SACKO_05239	CAPO301729
OG0001730	SACKO_21513	CAPO303469
OG0001732	SACKO_08518	CAPO304710
OG0001733	SACKO_19517, SACKO_19883	CAPO306615
OG0001734	SACKO_02563, SACKO_26225	CAPO306594
OG0001735	SACKO_00648	CAPO301389
OG0001736	SACKO_26229	CAPO300355
OG0001738	SACKO_08321	CAPO301655
OG0001739	SACKO_05033	CAPO304154
OG0001743	SACKO_16126	CAPO306128
OG0001746	SACKO_29336	CAPO306662
OG0001750	SACKO_27270	CAPO304954
OG0001755	SACKO_23371	CAPO300413
OG0001756	SACKO_10270	CAPO301153
OG0001756	SACKO_17493	CAPO306605
OG0001769	SACKO_20080	CAPO300754
OG0001769	SACKO_20662	CAPO306748
OG0001770	SACKO_19586	CAPO304551
OG0001772	SACKO_12357, SACKO_12369, SACKO_04317	CAPO303731
OG0001774	SACKO_02280, SACKO_26050	CAPO302411
OG0001775	SACKO_29841, SACKO_28398	CAPO300385, CAPO303998
OG0001778	SACKO_04956	CAPO303585
OG0001781	SACKO_15440	CAPO304059
OG0001781	SACKO_18083	CAPO306335
OG0001782	SACKO_00654	CAPO302329
OG0001783	SACKO_04878	CAPO302497
OG0001787	SACKO_25176	CAPO302384
OG0001789	SACKO_03274, SACKO_03284	CAPO303597
OG0001792	SACKO_31467	CAPO302146
OG0001793	SACKO_11163	CAPO302934
OG0001793	SACKO_29982	CAPO300098
OG0001794	SACKO_02618	CAPO305037
OG0001797	SACKO_24953, SACKO_04549, SACKO_02288, SACKO_02272, SACKO_13551, SACKO_12481, SACKO_12463, SACKO_06579	CAPO305230
OG0001799	SACKO_30705	CAPO307439
OG0001800	SACKO_21970	CAPO302099, CAPO301494
OG0001801	SACKO_29351, SACKO_07327	CAPO300406, CAPO302328, CAPO300564
OG0001802	SACKO_11322, SACKO_19791, SACKO_11344	CAPO307992
OG0001804	SACKO_03287	CAPO307706
OG0001805	SACKO_31950	CAPO301307
OG0001807	SACKO_26234	CAPO305640
OG0001808	SACKO_14879	CAPO300354
OG0001809	SACKO_20099, SACKO_20097	CAPO307543
OG0001811	SACKO_27265, SACKO_03576	CAPO304043
OG0001814	SACKO_07916	CAPO305508
OG0001816	SACKO_27609	CAPO300431
OG0001818	SACKO_02318	CAPO302088
OG0001819	SACKO_33357, SACKO_04722	CAPO307172
OG0001820	SACKO_30135, SACKO_30132	CAPO300515
OG0001822	SACKO_04572	CAPO301119
OG0001825	SACKO_25243	CAPO306238
OG0001827	SACKO_20145, SACKO_22796	CAPO303060
OG0001830	SACKO_21536	CAPO300316
OG0001831	SACKO_24375	CAPO306824
OG0001832	SACKO_11786	CAPO300612
OG0001834	SACKO_01750	CAPO301512
OG0001849	SACKO_11705, SACKO_00014, SACKO_22961	CAPO303014
OG0001850	SACKO_26806, SACKO_17478	CAPO301689
OG0001851	SACKO_19939	CAPO303828
OG0001852	SACKO_23655, SACKO_00057	CAPO303604
OG0001857	SACKO_13794	CAPO306766
OG0001859	SACKO_06024, SACKO_31768, SACKO_06022, SACKO_06019	CAPO304942
OG0001860	SACKO_19360, SACKO_06288	CAPO306960
OG0001861	SACKO_33839, SACKO_06841, SACKO_33845	CAPO303333
OG0001861	SACKO_08805	CAPO306489
OG0001863	SACKO_00113, SACKO_23555	CAPO300966
OG0001864	SACKO_34085	CAPO300448
OG0001866	SACKO_27773	CAPO306683
OG0001867	SACKO_13015	CAPO302026
OG0001870	SACKO_14244	CAPO303422
OG0001871	SACKO_30122, SACKO_30121	CAPO300664
OG0001873	SACKO_07283	CAPO305494
OG0001875	SACKO_05804	CAPO303129
OG0001875	SACKO_22430	CAPO300770
OG0001877	SACKO_33440	CAPO305419
OG0001878	SACKO_20019	CAPO300594
OG0001879	SACKO_33146	CAPO302675
OG0001879	SACKO_00481	CAPO304068
OG0001882	SACKO_02660	CAPO302587
OG0001883	SACKO_02765	CAPO304395
OG0001886	SACKO_09347	CAPO301013
OG0001888	SACKO_30943	CAPO307373
OG0001894	SACKO_20370, SACKO_07312, SACKO_18720	CAPO305070
OG0001895	SACKO_15661	CAPO300178
OG0001898	SACKO_32382	CAPO303887
OG0001900	SACKO_21150, SACKO_05209	CAPO306468, CAPO308362
OG0001901	SACKO_08266	CAPO302174
OG0001913	SACKO_20127, SACKO_20120	CAPO308270
OG0001914	SACKO_00613, SACKO_00612	CAPO308187
OG0001915	SACKO_14819	CAPO305922
OG0001916	SACKO_03107, SACKO_15239	CAPO304398
OG0001917	SACKO_07185	CAPO303937
OG0001919	SACKO_14567	CAPO305966
OG0001919	SACKO_25940	CAPO300799
OG0001923	SACKO_06225	CAPO300364
OG0001926	SACKO_32724	CAPO308203
OG0001927	SACKO_17851	CAPO303832
OG0001928	SACKO_03222, SACKO_08806, SACKO_03226, SACKO_03225	CAPO303627
OG0001930	SACKO_23877, SACKO_05118	CAPO301567
OG0001931	SACKO_16547, SACKO_16490, SACKO_16549	CAPO306905
OG0001932	SACKO_17814	CAPO304653
OG0001935	SACKO_28402, SACKO_30912	CAPO301339
OG0001937	SACKO_15791, SACKO_15800	CAPO301986
OG0001939	SACKO_08784, SACKO_12122	CAPO304703
OG0001940	SACKO_10213, SACKO_21954	CAPO307447
OG0001941	SACKO_28144	CAPO303660
OG0001943	SACKO_13918	CAPO304272
OG0001945	SACKO_10355, SACKO_01672	CAPO302125, CAPO302413
OG0001947	SACKO_18526	CAPO306182
OG0001947	SACKO_18521	CAPO302176
OG0001948	SACKO_03112, SACKO_03120	CAPO307548
OG0001949	SACKO_18277	CAPO303945
OG0001951	SACKO_09715, SACKO_16941	CAPO305792
OG0001953	SACKO_00378	CAPO306993
OG0001956	SACKO_32159	CAPO302405
OG0001957	SACKO_07125	CAPO307027
OG0001961	SACKO_27137	CAPO301591
OG0001963	SACKO_02454	CAPO304558
OG0001963	SACKO_02456	CAPO304559
OG0001964	SACKO_00446	CAPO306144
OG0001965	SACKO_10029	CAPO305377
OG0001966	SACKO_31571, SACKO_06264, SACKO_29900	CAPO308069
OG0001968	SACKO_24949, SACKO_03965	CAPO303436
OG0001969	SACKO_21189	CAPO301897
OG0001972	SACKO_11329	CAPO302726
OG0001985	SACKO_07585	CAPO307425
OG0001988	SACKO_19763	CAPO301454
OG0001989	SACKO_00327	CAPO303699
OG0001992	SACKO_18086, SACKO_18064	CAPO301694
OG0001994	SACKO_29537	CAPO307422
OG0001998	SACKO_08539, SACKO_09820	CAPO304168
OG0001999	SACKO_26237, SACKO_18124	CAPO303159
OG0002000	SACKO_05530, SACKO_18467, SACKO_07018	CAPO305912
OG0002001	SACKO_30594	CAPO301730, CAPO305766
OG0002003	SACKO_11654	CAPO306645
OG0002004	SACKO_11861, SACKO_11834	CAPO305661, CAPO300359
OG0002006	SACKO_32238	CAPO302881
OG0002007	SACKO_05340, SACKO_20584	CAPO301764
OG0002008	SACKO_01329	CAPO308237
OG0002009	SACKO_22130	CAPO305521
OG0002009	SACKO_04024	CAPO304107
OG0002010	SACKO_00952	CAPO303286
OG0002011	SACKO_00275	CAPO305222
OG0002014	SACKO_12681	CAPO305309
OG0002015	SACKO_24489	CAPO304377
OG0002016	SACKO_34162	CAPO300736, CAPO303360
OG0002019	SACKO_32926	CAPO303943, CAPO301189
OG0002020	SACKO_06145	CAPO301809, CAPO306607
OG0002024	SACKO_09278	CAPO300776
OG0002025	SACKO_02757	CAPO301502
OG0002026	SACKO_28249, SACKO_18232, SACKO_28246	CAPO307889, CAPO306582
OG0002027	SACKO_25805	CAPO307021
OG0002029	SACKO_09295, SACKO_07415	CAPO303181
OG0002030	SACKO_06370	CAPO303987
OG0002031	SACKO_16332	CAPO300135
OG0002032	SACKO_01708	CAPO304689
OG0002034	SACKO_28254	CAPO306318
OG0002042	SACKO_05179, SACKO_02433	CAPO300525
OG0002043	SACKO_27976	CAPO306649
OG0002058	SACKO_29761, SACKO_03810, SACKO_03821, SACKO_30758, SACKO_30753, SACKO_29759, SACKO_33118, SACKO_30745, SACKO_33116	CAPO300289
OG0002061	SACKO_12743	CAPO307339
OG0002062	SACKO_31974	CAPO301382
OG0002063	SACKO_05277, SACKO_05336	CAPO302417
OG0002066	SACKO_01632	CAPO300576
OG0002067	SACKO_13436	CAPO302721
OG0002068	SACKO_17724	CAPO303650
OG0002069	SACKO_20889	CAPO306402
OG0002073	SACKO_33630	CAPO302333
OG0002074	SACKO_16806	CAPO304152
OG0002076	SACKO_02097	CAPO303117
OG0002078	SACKO_02791, SACKO_19556	CAPO302217
OG0002080	SACKO_32199	CAPO307474, CAPO307552
OG0002081	SACKO_14535	CAPO300584
OG0002084	SACKO_12224, SACKO_12221	CAPO300150
OG0002087	SACKO_25855, SACKO_07146, SACKO_12543, SACKO_25849, SACKO_27391, SACKO_27412, SACKO_27388, SACKO_00847, SACKO_01530, SACKO_23688, SACKO_25848	CAPO306536
OG0002093	SACKO_03739, SACKO_03582	CAPO304254
OG0002094	SACKO_08816, SACKO_08826	CAPO303399
OG0002097	SACKO_05242	CAPO302111
OG0002099	SACKO_15346, SACKO_07877, SACKO_07853	CAPO306675
OG0002101	SACKO_30956	CAPO307803
OG0002103	SACKO_16277	CAPO305235
OG0002106	SACKO_27977	CAPO300071
OG0002108	SACKO_11718	CAPO303834
OG0002122	SACKO_06202, SACKO_24075	CAPO300191
OG0002123	SACKO_00844	CAPO303373
OG0002124	SACKO_33967, SACKO_13581, SACKO_33969, SACKO_04594	CAPO300980
OG0002129	SACKO_18754, SACKO_18746	CAPO305068
OG0002130	SACKO_17976	CAPO301943
OG0002131	SACKO_24269	CAPO302159
OG0002135	SACKO_27352	CAPO300616, CAPO300802
OG0002136	SACKO_11224, SACKO_00268, SACKO_03478	CAPO300292
OG0002137	SACKO_34083	CAPO306593
OG0002138	SACKO_16832	CAPO304101
OG0002140	SACKO_34050, SACKO_05359, SACKO_34068	CAPO300489
OG0002141	SACKO_01890	CAPO300491
OG0002144	SACKO_10481	CAPO308205
OG0002145	SACKO_23682	CAPO305963
OG0002146	SACKO_23698	CAPO303694
OG0002148	SACKO_24707, SACKO_00743, SACKO_10279, SACKO_32367, SACKO_03139	CAPO301311
OG0002150	SACKO_07994, SACKO_07345	CAPO305991
OG0002151	SACKO_31544	CAPO300513
OG0002152	SACKO_15721	CAPO305214
OG0002156	SACKO_15195	CAPO307789
OG0002158	SACKO_02418	CAPO300426
OG0002159	SACKO_02653, SACKO_02639, SACKO_28069, SACKO_28072	CAPO301618
OG0002160	SACKO_24481	CAPO306354
OG0002165	SACKO_29030, SACKO_00596, SACKO_29095	CAPO306860
OG0002166	SACKO_02733	CAPO300536
OG0002168	SACKO_15734	CAPO305846
OG0002169	SACKO_19979	CAPO305188, CAPO305186
OG0002170	SACKO_02925, SACKO_20327	CAPO306065
OG0002171	SACKO_20502	CAPO300657
OG0002172	SACKO_20903, SACKO_12683	CAPO300117
OG0002173	SACKO_04486	CAPO300163
OG0002177	SACKO_03149	CAPO303715
OG0002178	SACKO_16032	CAPO300762
OG0002179	SACKO_15328	CAPO301344
OG0002182	SACKO_23444	CAPO300304
OG0002184	SACKO_07039	CAPO302808
OG0002185	SACKO_25782	CAPO306894
OG0002187	SACKO_10257	CAPO303260
OG0002188	SACKO_28991, SACKO_04641, SACKO_33264, SACKO_04986, SACKO_12346, SACKO_23119, SACKO_32812, SACKO_20684, SACKO_14996, SACKO_27841, SACKO_08618	CAPO307308
OG0002189	SACKO_18586	CAPO302919, CAPO302901
OG0002191	SACKO_19779	CAPO306349
OG0002193	SACKO_16783	CAPO307827, CAPO303661
OG0002198	SACKO_06356	CAPO307154
OG0002201	SACKO_26835	CAPO305256
OG0002213	SACKO_01095, SACKO_12170, SACKO_12276, SACKO_28182	CAPO301692
OG0002216	SACKO_07587, SACKO_07575, SACKO_07541	CAPO308083
OG0002217	SACKO_08671	CAPO303403
OG0002219	SACKO_05475	CAPO301953
OG0002222	SACKO_28811, SACKO_14173	CAPO300961
OG0002224	SACKO_18897	CAPO304952
OG0002225	SACKO_00221	CAPO301769
OG0002226	SACKO_19713	CAPO307804
OG0002227	SACKO_00258	CAPO307820, CAPO307799
OG0002228	SACKO_10021	CAPO301630, CAPO300068
OG0002229	SACKO_31377	CAPO308040
OG0002235	SACKO_03395	CAPO303035
OG0002237	SACKO_30776	CAPO306506
OG0002239	SACKO_27748	CAPO303809
OG0002239	SACKO_16980	CAPO301966
OG0002240	SACKO_07555, SACKO_14136, SACKO_14126	CAPO306707
OG0002241	SACKO_08535	CAPO303979
OG0002243	SACKO_33310	CAPO301335, CAPO300484
OG0002244	SACKO_31059	CAPO303840
OG0002245	SACKO_24187	CAPO302737
OG0002246	SACKO_29262	CAPO301929
OG0002251	SACKO_23579	CAPO302537
OG0002252	SACKO_10627	CAPO304306
OG0002255	SACKO_01795, SACKO_01800	CAPO301475, CAPO302337
OG0002257	SACKO_18497	CAPO303721
OG0002258	SACKO_04342, SACKO_04460	CAPO302229
OG0002261	SACKO_16053	CAPO303559
OG0002263	SACKO_06616	CAPO304694
OG0002264	SACKO_05313	CAPO304810
OG0002266	SACKO_12936	CAPO307392
OG0002270	SACKO_23399, SACKO_25654, SACKO_00696	CAPO302042
OG0002272	SACKO_24588	CAPO301905
OG0002282	SACKO_22774	CAPO300014
OG0002284	SACKO_18511, SACKO_11754, SACKO_18489, SACKO_18501	CAPO304167
OG0002285	SACKO_25691	CAPO305012
OG0002287	SACKO_00184	CAPO306430
OG0002288	SACKO_17494	CAPO306855
OG0002292	SACKO_12987	CAPO308118, CAPO308288
OG0002292	SACKO_23377	CAPO301471
OG0002293	SACKO_20782	CAPO302207
OG0002294	SACKO_27558	CAPO300522
OG0002296	SACKO_25602, SACKO_25605	CAPO307746
OG0002297	SACKO_09666, SACKO_09668, SACKO_27042	CAPO307845
OG0002312	SACKO_03380	CAPO305339
OG0002316	SACKO_19768	CAPO302192
OG0002317	SACKO_07884	CAPO301129
OG0002318	SACKO_21401, SACKO_21406	CAPO302292
OG0002319	SACKO_26392	CAPO306342
OG0002321	SACKO_23570	CAPO300390
OG0002322	SACKO_28787, SACKO_28781	CAPO300979
OG0002323	SACKO_00083, SACKO_13279	CAPO308299
OG0002324	SACKO_32487	CAPO301866
OG0002325	SACKO_13689	CAPO300458
OG0002326	SACKO_31471	CAPO302239
OG0002327	SACKO_31260, SACKO_25713	CAPO302954
OG0002330	SACKO_22917	CAPO300172
OG0002331	SACKO_11430	CAPO302246
OG0002332	SACKO_18562	CAPO300761
OG0002337	SACKO_22553, SACKO_27421	CAPO307155
OG0002340	SACKO_19036	CAPO307906
OG0002343	SACKO_19194	CAPO303889
OG0002344	SACKO_05777	CAPO307434
OG0002345	SACKO_22164	CAPO304277
OG0002346	SACKO_05868, SACKO_13169	CAPO307106
OG0002348	SACKO_15235, SACKO_08270	CAPO302095
OG0002354	SACKO_19944, SACKO_04914	CAPO306383
OG0002356	SACKO_31921	CAPO305051
OG0002357	SACKO_34146, SACKO_03140	CAPO302341
OG0002358	SACKO_27788	CAPO307788
OG0002359	SACKO_05935, SACKO_05932	CAPO302128
OG0002361	SACKO_32392, SACKO_16372, SACKO_32381, SACKO_33135	CAPO304727
OG0002362	SACKO_29274	CAPO301902
OG0002363	SACKO_12785, SACKO_08055, SACKO_04104	CAPO302980
OG0002364	SACKO_11685, SACKO_23915, SACKO_27995	CAPO306488
OG0002367	SACKO_29840	CAPO304316
OG0002368	SACKO_11377	CAPO301447
OG0002369	SACKO_01506, SACKO_17055	CAPO301279
OG0002370	SACKO_05666	CAPO303015
OG0002371	SACKO_24379, SACKO_01239	CAPO304426
OG0002372	SACKO_04381	CAPO303540
OG0002372	SACKO_19473	CAPO303041
OG0002373	SACKO_21705	CAPO306145
OG0002374	SACKO_15692, SACKO_16366	CAPO302309
OG0002375	SACKO_10157, SACKO_11681	CAPO305178, CAPO300285
OG0002376	SACKO_01274	CAPO304863
OG0002377	SACKO_33983	CAPO301847
OG0002379	SACKO_26286	CAPO301214
OG0002384	SACKO_11183	CAPO305065
OG0002396	SACKO_20788	CAPO302410
OG0002398	SACKO_16714	CAPO306938
OG0002405	SACKO_30654	CAPO300119
OG0002406	SACKO_24736, SACKO_33790	CAPO304138
OG0002407	SACKO_17878, SACKO_17871, SACKO_17874	CAPO301366
OG0002409	SACKO_21216, SACKO_32540	CAPO301533
OG0002410	SACKO_18805, SACKO_11678, SACKO_27983, SACKO_18783	CAPO305170
OG0002411	SACKO_00108	CAPO305052
OG0002412	SACKO_02511	CAPO302706
OG0002413	SACKO_08633	CAPO307797
OG0002413	SACKO_19927	CAPO304716
OG0002414	SACKO_08464	CAPO304631
OG0002415	SACKO_18230	CAPO305027
OG0002415	SACKO_05190	CAPO304905
OG0002418	SACKO_28338, SACKO_28341	CAPO303802
OG0002419	SACKO_15647, SACKO_02217	CAPO303825
OG0002421	SACKO_04901	CAPO305365
OG0002422	SACKO_00263	CAPO302014
OG0002425	SACKO_09346	CAPO304491
OG0002426	SACKO_09988	CAPO303294
OG0002429	SACKO_18948	CAPO305260
OG0002433	SACKO_24908, SACKO_24905	CAPO302444
OG0002435	SACKO_13194, SACKO_07515	CAPO304613
OG0002436	SACKO_18261	CAPO307054
OG0002437	SACKO_27596	CAPO303352
OG0002439	SACKO_32428	CAPO302565
OG0002441	SACKO_00266	CAPO304429
OG0002442	SACKO_04883	CAPO300535
OG0002443	SACKO_07535	CAPO301424
OG0002445	SACKO_33814	CAPO304782
OG0002446	SACKO_01036	CAPO303707
OG0002448	SACKO_18565	CAPO308204
OG0002453	SACKO_11027	CAPO305834
OG0002454	SACKO_31386	CAPO305157
OG0002476	SACKO_30892, SACKO_08176	CAPO307617
OG0002484	SACKO_24950	CAPO305360
OG0002486	SACKO_05657	CAPO303598
OG0002489	SACKO_17086, SACKO_17098, SACKO_00357	CAPO304231
OG0002490	SACKO_07588, SACKO_07546	CAPO307409, CAPO300849
OG0002492	SACKO_32021, SACKO_32041	CAPO305743
OG0002494	SACKO_12127	CAPO307620
OG0002496	SACKO_07041	CAPO300997
OG0002497	SACKO_13214, SACKO_22650	CAPO301629
OG0002499	SACKO_04489, SACKO_00265	CAPO308309
OG0002500	SACKO_04375	CAPO305159
OG0002501	SACKO_05457	CAPO305150
OG0002502	SACKO_21117, SACKO_22493, SACKO_20854	CAPO304947
OG0002503	SACKO_23261, SACKO_14029, SACKO_23269, SACKO_23287, SACKO_28245, SACKO_23294, SACKO_14036, SACKO_23280, SACKO_23275	CAPO301024
OG0002505	SACKO_06900	CAPO302692
OG0002507	SACKO_30944	CAPO303215
OG0002509	SACKO_27767	CAPO305905, CAPO306732
OG0002510	SACKO_28079, SACKO_09294	CAPO305793
OG0002511	SACKO_09432	CAPO303146
OG0002516	SACKO_16570	CAPO307569
OG0002518	SACKO_09581	CAPO304200
OG0002519	SACKO_06221	CAPO302874
OG0002525	SACKO_04970	CAPO300787
OG0002526	SACKO_13983	CAPO303145
OG0002527	SACKO_22788	CAPO306066
OG0002528	SACKO_16622	CAPO301891
OG0002529	SACKO_28898	CAPO301231, CAPO301232
OG0002531	SACKO_14023	CAPO304673
OG0002532	SACKO_17305	CAPO307265
OG0002533	SACKO_25403, SACKO_16289	CAPO302353
OG0002539	SACKO_31170	CAPO305908
OG0002542	SACKO_27289	CAPO300062
OG0002543	SACKO_20191	CAPO306889, CAPO301493
OG0002548	SACKO_06276, SACKO_06275	CAPO303502
OG0002555	SACKO_02182	CAPO301095
OG0002556	SACKO_31151, SACKO_12773, SACKO_03412, SACKO_01892, SACKO_14962, SACKO_02079	CAPO306661
OG0002557	SACKO_26822	CAPO302757
OG0002558	SACKO_03517	CAPO301820
OG0002559	SACKO_20711	CAPO306363
OG0002561	SACKO_02026	CAPO306761
OG0002562	SACKO_25664	CAPO305283
OG0002563	SACKO_10328	CAPO307417
OG0002564	SACKO_22734	CAPO307297
OG0002565	SACKO_00115	CAPO302611
OG0002566	SACKO_20714, SACKO_20707, SACKO_20713, SACKO_20709	CAPO303827
OG0002567	SACKO_16568	CAPO304319
OG0002569	SACKO_34230	CAPO306658
OG0002570	SACKO_20479	CAPO307215
OG0002574	SACKO_22230	CAPO307488
OG0002587	SACKO_27868	CAPO300512
OG0002589	SACKO_02204, SACKO_06815	CAPO302447
OG0002592	SACKO_34002, SACKO_33979	CAPO300278
OG0002594	SACKO_07978	CAPO304177
OG0002598	SACKO_07015	CAPO300566
OG0002599	SACKO_23660	CAPO303706
OG0002600	SACKO_06590, SACKO_04459	CAPO305861
OG0002601	SACKO_22141	CAPO300675
OG0002602	SACKO_02234	CAPO303637
OG0002603	SACKO_07513, SACKO_17366, SACKO_28785	CAPO302609
OG0002605	SACKO_14953	CAPO303522
OG0002608	SACKO_11611	CAPO303192
OG0002609	SACKO_12081	CAPO304999
OG0002610	SACKO_01801	CAPO307043
OG0002611	SACKO_07932	CAPO302425
OG0002617	SACKO_01894	CAPO307606
OG0002618	SACKO_28705	CAPO307902
OG0002620	SACKO_04820	CAPO300598
OG0002621	SACKO_16474, SACKO_23580, SACKO_23585	CAPO305708, CAPO305709, CAPO305858
OG0002624	SACKO_09208	CAPO307642
OG0002629	SACKO_33854	CAPO306781
OG0002630	SACKO_03900	CAPO300618
OG0002631	SACKO_30779	CAPO302228
OG0002632	SACKO_32258, SACKO_32473	CAPO301605
OG0002633	SACKO_11975	CAPO301845
OG0002634	SACKO_05114	CAPO303763
OG0002636	SACKO_24914	CAPO302443
OG0002638	SACKO_23375	CAPO302461, CAPO301720
OG0002642	SACKO_32892, SACKO_06635	CAPO302887
OG0002643	SACKO_32604	CAPO305403
OG0002644	SACKO_08256, SACKO_08254	CAPO300686
OG0002645	SACKO_16887	CAPO302012
OG0002646	SACKO_24581	CAPO300302
OG0002652	SACKO_26837	CAPO305413
OG0002656	SACKO_00623	CAPO301386
OG0002657	SACKO_04966	CAPO301921
OG0002659	SACKO_29326	CAPO302308
OG0002661	SACKO_03609, SACKO_03559	CAPO300165
OG0002662	SACKO_15559	CAPO307949
OG0002663	SACKO_08447	CAPO308163
OG0002665	SACKO_01295	CAPO307055
OG0002666	SACKO_31357, SACKO_13833	CAPO308350
OG0002668	SACKO_26748	CAPO303414
OG0002668	SACKO_30469	CAPO301754
OG0002669	SACKO_22148, SACKO_22202	CAPO301762
OG0002672	SACKO_01451	CAPO307527
OG0002677	SACKO_10007	CAPO303005
OG0002682	SACKO_15114	CAPO301064
OG0002705	SACKO_02809, SACKO_11668	CAPO303959
OG0002706	SACKO_21774	CAPO306125
OG0002708	SACKO_20775	CAPO306708
OG0002710	SACKO_21926	CAPO301641
OG0002715	SACKO_18679, SACKO_15095	CAPO303783
OG0002716	SACKO_04911, SACKO_21178, SACKO_33579	CAPO302306
OG0002717	SACKO_12992	CAPO307873
OG0002718	SACKO_28816, SACKO_28799	CAPO306705
OG0002720	SACKO_12119, SACKO_22212, SACKO_22241	CAPO304077
OG0002722	SACKO_31472, SACKO_25932	CAPO300697
OG0002726	SACKO_21700	CAPO303092
OG0002728	SACKO_06575, SACKO_20118	CAPO304582
OG0002730	SACKO_31288	CAPO300185
OG0002731	SACKO_13655	CAPO304916
OG0002732	SACKO_24148	CAPO305751
OG0002736	SACKO_20790, SACKO_20758	CAPO302364
OG0002739	SACKO_30502, SACKO_01737	CAPO303462
OG0002740	SACKO_21510	CAPO303044
OG0002741	SACKO_29205	CAPO305001
