Orthogroup	SACKO_ok	YEAST
OG0000982	SACKO_10519	YEAST01182
OG0000984	SACKO_22470, SACKO_22468, SACKO_28472	YEAST01493, YEAST00575
OG0000986	SACKO_22424, SACKO_18517	YEAST01481, YEAST04073
OG0000987	SACKO_11731	YEAST04734, YEAST02734
OG0000994	SACKO_04389, SACKO_17316, SACKO_07113, SACKO_15046	YEAST02360
OG0000996	SACKO_00027	YEAST00033
OG0001001	SACKO_32000	YEAST00341
OG0001003	SACKO_29333	YEAST00644
OG0001006	SACKO_28465, SACKO_25694	YEAST04513
OG0001016	SACKO_04981, SACKO_21664, SACKO_15992	YEAST00830
OG0001018	SACKO_04566, SACKO_31412	YEAST01172
OG0001024	SACKO_33645, SACKO_33650	YEAST01024, YEAST00308
OG0001064	SACKO_15500, SACKO_34089, SACKO_31670, SACKO_03351, SACKO_16766, SACKO_31676, SACKO_12962, SACKO_12955, SACKO_12937, SACKO_30160	YEAST00458
OG0001066	SACKO_07584	YEAST06311
OG0001075	SACKO_11315, SACKO_14262	YEAST05636
OG0001076	SACKO_06837	YEAST01570
OG0001081	SACKO_04540, SACKO_24447, SACKO_17592, SACKO_17551, SACKO_20233, SACKO_20239	YEAST04460
OG0001082	SACKO_05811, SACKO_32916, SACKO_08099	YEAST03919, YEAST02905, YEAST05331
OG0001094	SACKO_19741, SACKO_11943	YEAST03837
OG0001095	SACKO_26687	YEAST00773
OG0001096	SACKO_17666, SACKO_27109, SACKO_27146, SACKO_23783, SACKO_32878, SACKO_26925, SACKO_33433	YEAST01384
OG0001101	SACKO_12678	YEAST03434
OG0001108	SACKO_04290, SACKO_04715, SACKO_31250	YEAST06309
OG0001111	SACKO_20490, SACKO_03527, SACKO_03526, SACKO_25377	YEAST06003
OG0001113	SACKO_21432	YEAST05320
OG0001113	SACKO_05156	YEAST00954
OG0001114	SACKO_08523, SACKO_08520	YEAST00036, YEAST05811
OG0001124	SACKO_10008, SACKO_04873	YEAST02719
OG0001132	SACKO_22464	YEAST05421
OG0001133	SACKO_03939	YEAST04296
OG0001133	SACKO_03870	YEAST03271
OG0001134	SACKO_00371	YEAST05015
OG0001135	SACKO_12991	YEAST03641
OG0001136	SACKO_08700, SACKO_08683	YEAST05047, YEAST02997
OG0001140	SACKO_04124, SACKO_23104, SACKO_04138, SACKO_23108, SACKO_04131, SACKO_04133, SACKO_23103, SACKO_04130, SACKO_15430, SACKO_21499	YEAST03519
OG0001142	SACKO_08495	YEAST04001
OG0001163	SACKO_31507	YEAST02433
OG0001164	SACKO_00737, SACKO_00736	YEAST03454
OG0001171	SACKO_20825	YEAST04620, YEAST03578
OG0001175	SACKO_00167	YEAST00534
OG0001177	SACKO_26073, SACKO_10730, SACKO_26943	YEAST06137
OG0001179	SACKO_26771, SACKO_32134	YEAST00368, YEAST04831, YEAST02287
OG0001181	SACKO_08231, SACKO_27253, SACKO_08232	YEAST02051
OG0001184	SACKO_04686, SACKO_02591, SACKO_02594	YEAST01681
OG0001185	SACKO_25271	YEAST04969
OG0001186	SACKO_04961, SACKO_32087	YEAST04605, YEAST01886
OG0001191	SACKO_17114, SACKO_28961	YEAST04707
OG0001192	SACKO_04055, SACKO_12212, SACKO_07407, SACKO_01863, SACKO_01842	YEAST01898
OG0001197	SACKO_29198, SACKO_32347, SACKO_31735	YEAST01499
OG0001201	SACKO_15686	YEAST05452
OG0001204	SACKO_05436	YEAST05200
OG0001207	SACKO_03977, SACKO_25128	YEAST04258
OG0001210	SACKO_12027	YEAST05511
OG0001210	SACKO_22645	YEAST02318
OG0001212	SACKO_14563	YEAST03971
OG0001214	SACKO_17861, SACKO_33724	YEAST00577
OG0001216	SACKO_20921, SACKO_23314	YEAST00145
OG0001219	SACKO_31732	YEAST03867
OG0001236	SACKO_22328	YEAST03325, YEAST02687, YEAST03269
OG0001237	SACKO_16321, SACKO_16315, SACKO_30993, SACKO_12973, SACKO_17092	YEAST04380
OG0001238	SACKO_10255, SACKO_15368, SACKO_15935	YEAST04481
OG0001241	SACKO_21518	YEAST02002
OG0001241	SACKO_25804	YEAST03967, YEAST01074
OG0001243	SACKO_00190	YEAST00739, YEAST05004
OG0001249	SACKO_07046, SACKO_07044	YEAST01062, YEAST02067
OG0001250	SACKO_22060	YEAST02968, YEAST01339
OG0001251	SACKO_21043	YEAST01707
OG0001253	SACKO_07955	YEAST03998
OG0001254	SACKO_17099, SACKO_17085, SACKO_17104	YEAST04309
OG0001262	SACKO_14536, SACKO_14562, SACKO_14419, SACKO_00970, SACKO_00906, SACKO_33160	YEAST00911
OG0001263	SACKO_18553, SACKO_10674	YEAST00172
OG0001268	SACKO_11197, SACKO_06254, SACKO_30805	YEAST03495
OG0001270	SACKO_24994	YEAST01703
OG0001270	SACKO_01019	YEAST02398
OG0001271	SACKO_30312	YEAST05227, YEAST00662
OG0001278	SACKO_28908, SACKO_12827, SACKO_12823	YEAST01893
OG0001279	SACKO_20454	YEAST03070
OG0001280	SACKO_17298	YEAST00846
OG0001282	SACKO_11635	YEAST03744
OG0001284	SACKO_27293, SACKO_16492	YEAST00567, YEAST01498
OG0001286	SACKO_00888, SACKO_00969	YEAST00588, YEAST01486, YEAST03604
OG0001291	SACKO_21943	YEAST04453, YEAST04334
OG0001300	SACKO_02042	YEAST01098
OG0001302	SACKO_07352	YEAST02328
OG0001302	SACKO_13308	YEAST00299
OG0001310	SACKO_11650, SACKO_12687	YEAST00887
OG0001318	SACKO_20260, SACKO_33046	YEAST03712
OG0001319	SACKO_33893, SACKO_17261	YEAST01678
OG0001321	SACKO_00755	YEAST02280, YEAST01901
OG0001322	SACKO_08315, SACKO_00634, SACKO_05223	YEAST06128
OG0001324	SACKO_04655, SACKO_04648, SACKO_04650	YEAST00078
OG0001325	SACKO_27663	YEAST00793
OG0001326	SACKO_30260	YEAST05395
OG0001327	SACKO_11723, SACKO_26434	YEAST03176
OG0001332	SACKO_15759, SACKO_15750, SACKO_15764, SACKO_15770	YEAST03929, YEAST02705, YEAST00687
OG0001333	SACKO_02537, SACKO_31933, SACKO_31954	YEAST00728
OG0001341	SACKO_06241	YEAST06006
OG0001345	SACKO_23714, SACKO_23639, SACKO_23595, SACKO_23715	YEAST03613
OG0001353	SACKO_22195, SACKO_05612	YEAST00020, YEAST04041
OG0001363	SACKO_07065, SACKO_07071, SACKO_02886	YEAST06180
OG0001364	SACKO_22285	YEAST06038, YEAST00402
OG0001367	SACKO_11804	YEAST04688
OG0001368	SACKO_12370	YEAST01821
OG0001370	SACKO_10513, SACKO_00812	YEAST04067, YEAST05195, YEAST00897
OG0001371	SACKO_17304, SACKO_17312, SACKO_19756	YEAST00532, YEAST03976
OG0001372	SACKO_27561, SACKO_16399, SACKO_27587	YEAST00070
OG0001372	SACKO_23028	YEAST02226
OG0001375	SACKO_12584, SACKO_12521, SACKO_21495	YEAST05499, YEAST05567
OG0001378	SACKO_24430, SACKO_21687	YEAST02300
OG0001386	SACKO_02115	YEAST05114
OG0001397	SACKO_20543, SACKO_02267	YEAST05731
OG0001400	SACKO_05641	YEAST02931
OG0001409	SACKO_32640	YEAST00885, YEAST04659
OG0001410	SACKO_14471, SACKO_00287	YEAST05046
OG0001411	SACKO_04096	YEAST04834
OG0001412	SACKO_09199, SACKO_13714, SACKO_01410	YEAST04490
OG0001413	SACKO_13707, SACKO_08606	YEAST04294
OG0001414	SACKO_04758, SACKO_30191	YEAST06070, YEAST01920
OG0001415	SACKO_02741	YEAST04230
OG0001421	SACKO_11974	YEAST05252
OG0001422	SACKO_08100	YEAST05588, YEAST01363
OG0001424	SACKO_10409, SACKO_16678, SACKO_16677	YEAST01127
OG0001427	SACKO_25289	YEAST01885
OG0001428	SACKO_29404	YEAST04862, YEAST05862, YEAST02749, YEAST03037
OG0001430	SACKO_12563, SACKO_23248	YEAST01712
OG0001434	SACKO_08035, SACKO_22760, SACKO_17220	YEAST03991
OG0001437	SACKO_23971, SACKO_01223, SACKO_25064	YEAST01264, YEAST02900
OG0001445	SACKO_32917	YEAST01715
OG0001449	SACKO_30150	YEAST03188
OG0001452	SACKO_08603	YEAST05900
OG0001454	SACKO_25073	YEAST01495, YEAST00573
OG0001456	SACKO_21919, SACKO_00295	YEAST00365
OG0001459	SACKO_12626	YEAST03073, YEAST03464
OG0001461	SACKO_33755, SACKO_32797	YEAST05255
OG0001468	SACKO_04663	YEAST03875, YEAST03904
OG0001469	SACKO_18991, SACKO_06864	YEAST02070
OG0001469	SACKO_14829	YEAST02765
OG0001470	SACKO_29094, SACKO_26935	YEAST00369, YEAST05375
OG0001472	SACKO_32963, SACKO_05324	YEAST03031
OG0001473	SACKO_19103, SACKO_16082, SACKO_16044, SACKO_16047	YEAST05711
OG0001474	SACKO_17239, SACKO_22047	YEAST01416, YEAST05312
OG0001478	SACKO_22168	YEAST01984
OG0001478	SACKO_22673	YEAST02078
OG0001479	SACKO_02888	YEAST01132
OG0001503	SACKO_02436	YEAST03032
OG0001503	SACKO_18105	YEAST02920
OG0001504	SACKO_29597, SACKO_07151, SACKO_19671, SACKO_29627, SACKO_29647	YEAST05406
OG0001505	SACKO_14128, SACKO_28620	YEAST03361
OG0001508	SACKO_27803, SACKO_27807	YEAST04143
OG0001515	SACKO_03778	YEAST03320, YEAST03569
OG0001520	SACKO_20861, SACKO_19292	YEAST03872
OG0001524	SACKO_26996, SACKO_12588, SACKO_34156, SACKO_29641	YEAST03912
OG0001525	SACKO_31466	YEAST03420
OG0001525	SACKO_22296	YEAST00757
OG0001527	SACKO_08580, SACKO_08171	YEAST01395
OG0001529	SACKO_06915	YEAST01143
OG0001530	SACKO_32722	YEAST00643
OG0001546	SACKO_07294	YEAST03111
OG0001550	SACKO_11380	YEAST02405, YEAST05953
OG0001551	SACKO_14902	YEAST04817
OG0001553	SACKO_14766	YEAST05147, YEAST01586
OG0001557	SACKO_08809	YEAST04671
OG0001557	SACKO_23724	YEAST04551
OG0001558	SACKO_25319	YEAST04449
OG0001559	SACKO_32399, SACKO_09139	YEAST00445, YEAST02434
OG0001561	SACKO_16712	YEAST06176
OG0001564	SACKO_28906, SACKO_28888	YEAST05390
OG0001570	SACKO_27622, SACKO_27563, SACKO_25560	YEAST04678
OG0001578	SACKO_25675	YEAST01872
OG0001580	SACKO_00171	YEAST06270
OG0001590	SACKO_23759, SACKO_21309, SACKO_21282, SACKO_03473	YEAST03476, YEAST00717, YEAST03955
OG0001594	SACKO_26083, SACKO_31513, SACKO_18916	YEAST03418
OG0001597	SACKO_02083, SACKO_32914	YEAST01702
OG0001603	SACKO_23077	YEAST02584
OG0001604	SACKO_22259, SACKO_08859	YEAST01428
OG0001605	SACKO_00179	YEAST04101
OG0001609	SACKO_20157, SACKO_20497	YEAST02739
OG0001610	SACKO_05583	YEAST00596, YEAST02062
OG0001612	SACKO_08058	YEAST01109
OG0001628	SACKO_21663, SACKO_17702, SACKO_33995, SACKO_09129	YEAST04790
OG0001653	SACKO_07366	YEAST01151
OG0001655	SACKO_11250	YEAST03354
OG0001657	SACKO_20171, SACKO_20167	YEAST00101, YEAST00944
OG0001663	SACKO_23924, SACKO_09786	YEAST05642
OG0001676	SACKO_27676	YEAST02848
OG0001676	SACKO_06479	YEAST06155
OG0001679	SACKO_31963	YEAST05302, YEAST02334, YEAST02449, YEAST01523
OG0001680	SACKO_14900	YEAST01119, YEAST04022
OG0001685	SACKO_33558	YEAST01147
OG0001687	SACKO_08415, SACKO_00450, SACKO_08438	YEAST05279
OG0001691	SACKO_07768	YEAST01315
OG0001704	SACKO_06839, SACKO_06782, SACKO_06808	YEAST01293
OG0001706	SACKO_16140	YEAST03424
OG0001707	SACKO_27712, SACKO_27719, SACKO_08114	YEAST06049, YEAST00407, YEAST04739
OG0001708	SACKO_22651, SACKO_22657	YEAST05744, YEAST05745
OG0001709	SACKO_21009, SACKO_14450	YEAST04440
OG0001713	SACKO_33794, SACKO_29813, SACKO_10739, SACKO_26830, SACKO_16172	YEAST04039
OG0001718	SACKO_06683, SACKO_01615, SACKO_22232	YEAST01537
OG0001721	SACKO_14258	YEAST04881, YEAST05253, YEAST00698
OG0001723	SACKO_00445	YEAST01435
OG0001727	SACKO_05239	YEAST04543
OG0001728	SACKO_11865	YEAST03347
OG0001730	SACKO_21513	YEAST00177
OG0001736	SACKO_26229	YEAST04588
OG0001739	SACKO_05033	YEAST03760
OG0001745	SACKO_08867, SACKO_10224, SACKO_10001	YEAST01431
OG0001750	SACKO_27270	YEAST03628
OG0001754	SACKO_08958	YEAST03682
OG0001755	SACKO_23376	YEAST02688
OG0001755	SACKO_22480	YEAST05131
OG0001756	SACKO_10270, SACKO_17493	YEAST00620
OG0001769	SACKO_20080, SACKO_20662	YEAST04726
OG0001770	SACKO_19586	YEAST02590
OG0001774	SACKO_02280, SACKO_26050	YEAST05166
OG0001775	SACKO_29841, SACKO_28398	YEAST05594
OG0001780	SACKO_02736, SACKO_09942, SACKO_03637, SACKO_03659	YEAST03768
OG0001781	SACKO_15440, SACKO_18083	YEAST01882
OG0001782	SACKO_00654, SACKO_12311, SACKO_00246	YEAST02421
OG0001785	SACKO_33880	YEAST02713
OG0001787	SACKO_25176	YEAST03546
OG0001792	SACKO_11878	YEAST02075
OG0001792	SACKO_31467	YEAST04595
OG0001793	SACKO_11163, SACKO_29982	YEAST02466
OG0001805	SACKO_31950	YEAST05496, YEAST01242
OG0001807	SACKO_26234	YEAST05464
OG0001808	SACKO_14879	YEAST01298
OG0001818	SACKO_02318	YEAST05902, YEAST04712
OG0001822	SACKO_04572	YEAST04378, YEAST01659
OG0001826	SACKO_26413	YEAST04777, YEAST01697, YEAST05781
OG0001828	SACKO_14933, SACKO_14936	YEAST04676
OG0001829	SACKO_14724, SACKO_16251, SACKO_16252	YEAST01613, YEAST00136, YEAST02008
OG0001831	SACKO_24375	YEAST00024
OG0001832	SACKO_10816, SACKO_11786	YEAST05376
OG0001842	SACKO_12040, SACKO_20643, SACKO_31724, SACKO_00317, SACKO_33226, SACKO_12044, SACKO_20646	YEAST00524
OG0001846	SACKO_34093	YEAST05067
OG0001850	SACKO_26806, SACKO_17478	YEAST01913
OG0001852	SACKO_23655, SACKO_00057	YEAST03121
OG0001853	SACKO_15654, SACKO_15642	YEAST05176
OG0001857	SACKO_13794	YEAST04741
OG0001860	SACKO_19360, SACKO_06288	YEAST00188
OG0001861	SACKO_33839, SACKO_06841, SACKO_33845, SACKO_13153, SACKO_08805	YEAST05779, YEAST04773
OG0001863	SACKO_28231, SACKO_00113, SACKO_23555	YEAST03017
OG0001866	SACKO_27773	YEAST05095, YEAST05570
OG0001867	SACKO_13015	YEAST01669
OG0001873	SACKO_07283	YEAST00981, YEAST00267
OG0001875	SACKO_05804, SACKO_22430	YEAST04137
OG0001877	SACKO_33440	YEAST04134
OG0001886	SACKO_09347	YEAST03260
OG0001888	SACKO_30943	YEAST05749, YEAST01573
OG0001893	SACKO_22779	YEAST01023
OG0001894	SACKO_20370, SACKO_07312, SACKO_18720	YEAST00433
OG0001899	SACKO_31621	YEAST01210, YEAST04466
OG0001903	SACKO_11964	YEAST06020
OG0001913	SACKO_20127, SACKO_20120	YEAST05520
OG0001915	SACKO_14819	YEAST04791
OG0001917	SACKO_07185	YEAST01859
OG0001923	SACKO_06225	YEAST05881
OG0001926	SACKO_32724	YEAST02948
OG0001932	SACKO_17814, SACKO_17834	YEAST03770, YEAST03179
OG0001934	SACKO_19626	YEAST00877
OG0001935	SACKO_28402, SACKO_30912	YEAST00431
OG0001938	SACKO_21139	YEAST03931
OG0001940	SACKO_10213, SACKO_21954	YEAST04188, YEAST05646
OG0001943	SACKO_13918	YEAST02393, YEAST05966
OG0001945	SACKO_10355, SACKO_01672, SACKO_08614	YEAST01671
OG0001947	SACKO_18526, SACKO_18521	YEAST02570
OG0001951	SACKO_09715, SACKO_16941	YEAST00941, YEAST05396
OG0001952	SACKO_09903, SACKO_29969, SACKO_31296	YEAST04673, YEAST01990, YEAST00155
OG0001965	SACKO_10029	YEAST04582
OG0001968	SACKO_24949, SACKO_03965	YEAST04910
OG0001969	SACKO_21189	YEAST06173
OG0001972	SACKO_11329	YEAST01822, YEAST03363
OG0001985	SACKO_07585	YEAST04959
OG0001992	SACKO_18086, SACKO_18064	YEAST02679
OG0001998	SACKO_08539, SACKO_09820	YEAST00890
OG0002001	SACKO_30594, SACKO_13016, SACKO_06842	YEAST00502, YEAST03944
OG0002003	SACKO_11654	YEAST02826, YEAST03671
OG0002008	SACKO_01329	YEAST00768
OG0002010	SACKO_00952	YEAST00609
OG0002013	SACKO_30391	YEAST03040
OG0002014	SACKO_12681	YEAST02422
OG0002015	SACKO_24489	YEAST05525
OG0002025	SACKO_02757	YEAST03650
OG0002026	SACKO_28249, SACKO_18232, SACKO_28246	YEAST01247
OG0002029	SACKO_09295, SACKO_07415	YEAST02646
OG0002031	SACKO_16332	YEAST02752
OG0002032	SACKO_01708	YEAST01221
OG0002042	SACKO_05179, SACKO_02433	YEAST02880
OG0002043	SACKO_27976	YEAST04003
OG0002059	SACKO_21353	YEAST05893, YEAST04718
OG0002062	SACKO_31974	YEAST05454
OG0002063	SACKO_05277, SACKO_05336, SACKO_24323	YEAST00838
OG0002067	SACKO_13436	YEAST03444
OG0002069	SACKO_20889	YEAST05962
OG0002073	SACKO_33630	YEAST04552
OG0002076	SACKO_02097	YEAST02206
OG0002078	SACKO_02791, SACKO_19556	YEAST06232
OG0002079	SACKO_15575, SACKO_09617	YEAST05765, YEAST00483
OG0002080	SACKO_32199	YEAST05220, YEAST04736
OG0002084	SACKO_12224, SACKO_12221	YEAST04529
OG0002087	SACKO_25855, SACKO_07146, SACKO_12543, SACKO_25849, SACKO_27391, SACKO_27412, SACKO_27388, SACKO_00847, SACKO_01530, SACKO_23688, SACKO_25848	YEAST05702
OG0002090	SACKO_16057	YEAST02246
OG0002093	SACKO_03739, SACKO_03582	YEAST02255
OG0002097	SACKO_05242	YEAST02697
OG0002101	SACKO_30956	YEAST03902
OG0002103	SACKO_16277	YEAST05974
OG0002106	SACKO_27977, SACKO_19814, SACKO_22564	YEAST03654
OG0002108	SACKO_11718	YEAST03715
OG0002123	SACKO_00844	YEAST02444
OG0002125	SACKO_21454, SACKO_13801	YEAST05183
OG0002131	SACKO_24269	YEAST04275
OG0002137	SACKO_34083	YEAST04320
OG0002138	SACKO_16832	YEAST02406
OG0002144	SACKO_10481	YEAST02673
OG0002146	SACKO_23698	YEAST04333, YEAST00109, YEAST03088, YEAST04454
OG0002147	SACKO_22332	YEAST04532, YEAST01219
OG0002148	SACKO_24707, SACKO_00743, SACKO_10279, SACKO_32367, SACKO_03139	YEAST02060
OG0002152	SACKO_15721	YEAST05624
OG0002156	SACKO_15195	YEAST03007
OG0002160	SACKO_24481	YEAST03960
OG0002165	SACKO_29030, SACKO_00596, SACKO_29095	YEAST04504
OG0002168	SACKO_15734	YEAST00516
OG0002169	SACKO_19979	YEAST02258
OG0002175	SACKO_25484, SACKO_16112	YEAST04956
OG0002184	SACKO_07039	YEAST00242
OG0002185	SACKO_25782	YEAST05212
OG0002188	SACKO_28991, SACKO_04641, SACKO_33264, SACKO_04986, SACKO_12346, SACKO_23119, SACKO_32812, SACKO_20684, SACKO_14996, SACKO_27841, SACKO_08618	YEAST04638, YEAST03913
OG0002189	SACKO_18586	YEAST02882, YEAST04447
OG0002213	SACKO_03926, SACKO_01095, SACKO_12170, SACKO_12276, SACKO_28182	YEAST01241, YEAST05495
OG0002216	SACKO_07587, SACKO_07575, SACKO_07541	YEAST06040
OG0002217	SACKO_08671	YEAST06033
OG0002222	SACKO_28811, SACKO_14173	YEAST03240
OG0002224	SACKO_18897	YEAST01574
OG0002225	SACKO_00221	YEAST04939
OG0002226	SACKO_19713	YEAST00948
OG0002228	SACKO_10021	YEAST04154, YEAST05632
OG0002233	SACKO_16451, SACKO_16448, SACKO_16472, SACKO_16464, SACKO_16468, SACKO_16480	YEAST00277
OG0002239	SACKO_27748	YEAST03509
OG0002239	SACKO_16980	YEAST01621
OG0002241	SACKO_08535	YEAST02005
OG0002243	SACKO_33310	YEAST04599, YEAST03601, YEAST04600
OG0002244	SACKO_31059	YEAST02768
OG0002252	SACKO_10627	YEAST00826
OG0002261	SACKO_16053	YEAST00472
OG0002264	SACKO_05313	YEAST01705
OG0002279	SACKO_18324	YEAST05800
OG0002282	SACKO_22774	YEAST00881
OG0002288	SACKO_17494	YEAST01591, YEAST05154
OG0002292	SACKO_12987	YEAST00152
OG0002297	SACKO_09666, SACKO_09668, SACKO_27042	YEAST01217
OG0002312	SACKO_03380	YEAST06295
OG0002316	SACKO_19768	YEAST01805
OG0002318	SACKO_21401, SACKO_21406	YEAST02923
OG0002319	SACKO_26392	YEAST00329
OG0002321	SACKO_23570	YEAST02461
OG0002324	SACKO_32487	YEAST02615, YEAST06287
OG0002326	SACKO_31471	YEAST00310, YEAST02699
OG0002327	SACKO_31260, SACKO_25713	YEAST00346, YEAST06217
OG0002331	SACKO_11430	YEAST01653
OG0002332	SACKO_18562	YEAST01606, YEAST05184, YEAST00285
OG0002341	SACKO_15545, SACKO_04314	YEAST03640, YEAST04562
OG0002344	SACKO_05777	YEAST02312, YEAST02019
OG0002346	SACKO_05868, SACKO_13169	YEAST02012
OG0002348	SACKO_15235, SACKO_08270	YEAST01845
OG0002355	SACKO_16745	YEAST00016
OG0002356	SACKO_31921	YEAST00259
OG0002361	SACKO_32392, SACKO_16372, SACKO_32381, SACKO_33135	YEAST01027
OG0002367	SACKO_33744, SACKO_19201, SACKO_29840	YEAST01179
OG0002369	SACKO_01506, SACKO_17055	YEAST03766
OG0002374	SACKO_15692, SACKO_16366	YEAST02010, YEAST00133
OG0002377	SACKO_33983	YEAST05000
OG0002385	SACKO_19565	YEAST03974
OG0002406	SACKO_24736, SACKO_33790	YEAST05509
OG0002407	SACKO_17878, SACKO_17871, SACKO_17874	YEAST00012
OG0002409	SACKO_21216, SACKO_32540	YEAST02027
OG0002411	SACKO_00108	YEAST05950, YEAST02407
OG0002412	SACKO_02511, SACKO_30796, SACKO_28562, SACKO_30019, SACKO_13814, SACKO_33836	YEAST06171
OG0002413	SACKO_08633, SACKO_19927	YEAST01196
OG0002415	SACKO_18230, SACKO_05190	YEAST01271
OG0002421	SACKO_24253, SACKO_04901	YEAST02982
OG0002422	SACKO_00263	YEAST05026
OG0002426	SACKO_09988	YEAST00184
OG0002441	SACKO_00266	YEAST00068, YEAST02278, YEAST05821
OG0002442	SACKO_04883	YEAST05932
OG0002443	SACKO_07535	YEAST04906
OG0002446	SACKO_01036	YEAST04254
OG0002448	SACKO_18565	YEAST00626
OG0002450	SACKO_22472	YEAST04575
OG0002453	SACKO_11027	YEAST00512
OG0002476	SACKO_30892, SACKO_08176	YEAST05799
OG0002486	SACKO_05657	YEAST01433
OG0002492	SACKO_32021, SACKO_32041	YEAST01624
OG0002494	SACKO_12127	YEAST02402
OG0002497	SACKO_13214, SACKO_22650	YEAST02747
OG0002500	SACKO_04375	YEAST05648
OG0002505	SACKO_06900	YEAST02959
OG0002510	SACKO_28079, SACKO_09294	YEAST04753
OG0002516	SACKO_16570	YEAST00066
OG0002518	SACKO_09581	YEAST02890
OG0002520	SACKO_06589	YEAST05256
OG0002527	SACKO_22788	YEAST01639
OG0002528	SACKO_16622	YEAST00372
OG0002530	SACKO_08723	YEAST05530, YEAST03790
OG0002532	SACKO_02215, SACKO_17305	YEAST03235
OG0002533	SACKO_25403, SACKO_16289	YEAST04525
OG0002543	SACKO_20191	YEAST00527
OG0002557	SACKO_26822	YEAST06243
OG0002561	SACKO_02026	YEAST04438, YEAST02106
OG0002562	SACKO_25664	YEAST03992
OG0002564	SACKO_22734	YEAST02186
OG0002565	SACKO_00115	YEAST04224, YEAST02499
OG0002570	SACKO_20479	YEAST00592
OG0002574	SACKO_22230	YEAST05657
OG0002594	SACKO_07978	YEAST06174
OG0002598	SACKO_07015	YEAST04621, YEAST03577
OG0002605	SACKO_14953	YEAST06332
OG0002608	SACKO_11611	YEAST03716, YEAST02846
OG0002609	SACKO_12081	YEAST01355
OG0002610	SACKO_01801	YEAST01078, YEAST03973
OG0002612	SACKO_26587	YEAST03508
OG0002617	SACKO_01894	YEAST00866
OG0002618	SACKO_28705	YEAST06247
OG0002621	SACKO_16474, SACKO_23580, SACKO_23585	YEAST05551
OG0002629	SACKO_33854	YEAST05919
OG0002632	SACKO_32258, SACKO_32473	YEAST02755
OG0002633	SACKO_11975	YEAST04206
OG0002636	SACKO_24914	YEAST01664, YEAST06215
OG0002638	SACKO_23375	YEAST00919, YEAST04703
OG0002643	SACKO_32604	YEAST01938
OG0002644	SACKO_08256, SACKO_08254	YEAST00724
OG0002645	SACKO_16887	YEAST01436
OG0002646	SACKO_24581	YEAST01946
OG0002651	SACKO_20462	YEAST02247
OG0002652	SACKO_26837	YEAST04937
OG0002656	SACKO_00623	YEAST05701
OG0002659	SACKO_29326	YEAST06290
OG0002666	SACKO_31357, SACKO_13833	YEAST02507
OG0002668	SACKO_26748, SACKO_30469	YEAST02324
OG0002677	SACKO_10007	YEAST05210
OG0002683	SACKO_03825	YEAST03676
OG0002705	SACKO_02809, SACKO_11668	YEAST00553
OG0002713	SACKO_26672	YEAST00413, YEAST06057
OG0002715	SACKO_18679, SACKO_15095	YEAST01174, YEAST04131
OG0002717	SACKO_12992	YEAST02430
OG0002718	SACKO_28816, SACKO_28799	YEAST03380, YEAST03502
OG0002720	SACKO_12119, SACKO_22212, SACKO_22241	YEAST01914
OG0002722	SACKO_31472, SACKO_25932	YEAST04059
OG0002726	SACKO_21700	YEAST02958
OG0002729	SACKO_03831, SACKO_13000	YEAST01155
OG0002737	SACKO_17465, SACKO_05759, SACKO_05770, SACKO_05754, SACKO_05768	YEAST02827
OG0002739	SACKO_30502, SACKO_01737	YEAST01877
OG0002740	SACKO_21510	YEAST01658
OG0002742	SACKO_17909	YEAST03713
OG0002743	SACKO_01395	YEAST01824, YEAST03362
OG0002745	SACKO_10657, SACKO_10637	YEAST04244
OG0002746	SACKO_10434	YEAST04902, YEAST05332
OG0002747	SACKO_18649	YEAST05617
OG0002750	SACKO_09270	YEAST04952
OG0002752	SACKO_09498	YEAST03686
OG0002753	SACKO_01550	YEAST03742
OG0002754	SACKO_04244	YEAST03620
OG0002756	SACKO_02390, SACKO_18195	YEAST04058
OG0002758	SACKO_19727, SACKO_18269	YEAST04409
OG0002760	SACKO_23733	YEAST01927
OG0002761	SACKO_17248	YEAST03261
OG0002763	SACKO_27267	YEAST00260
OG0002764	SACKO_19305	YEAST00423
OG0002765	SACKO_29026	YEAST01667, YEAST05523
OG0002766	SACKO_14015, SACKO_14013	YEAST05357
OG0002767	SACKO_33559	YEAST04591
OG0002771	SACKO_12360	YEAST02043
OG0002772	SACKO_27476, SACKO_10766, SACKO_10749, SACKO_10753, SACKO_30368, SACKO_03004, SACKO_07206	YEAST03384
OG0002773	SACKO_21667, SACKO_16295	YEAST03677
OG0002774	SACKO_02543	YEAST03575
OG0002775	SACKO_08509, SACKO_02540	YEAST03021
OG0002781	SACKO_00640	YEAST05450
OG0002782	SACKO_03511	YEAST02121
OG0002785	SACKO_09777	YEAST06106, YEAST01228
OG0002788	SACKO_19152	YEAST02578, YEAST01232
OG0002789	SACKO_20967, SACKO_28920, SACKO_19269	YEAST05269
OG0002793	SACKO_08034	YEAST01371
OG0002799	SACKO_18293	YEAST01461
OG0002817	SACKO_32465	YEAST01189, YEAST04922
OG0002824	SACKO_27741, SACKO_03538	YEAST02137
OG0002826	SACKO_09112	YEAST00174
OG0002827	SACKO_23766	YEAST05976
OG0002828	SACKO_16788, SACKO_09297, SACKO_09292	YEAST00227, YEAST00963
OG0002831	SACKO_11570	YEAST03282
