Orthogroup	CAEEL	ASTMX
OG0000893	CAEEL05208	ASTMX16839, ASTMX15713, ASTMX05174, ASTMX05175, ASTMX05176, ASTMX15714
OG0000894	CAEEL20455	ASTMX07726, ASTMX19891, ASTMX11065
OG0000896	CAEEL17889	ASTMX08984
OG0000904	CAEEL10501	ASTMX09306, ASTMX14881, ASTMX12135, ASTMX11271
OG0000907	CAEEL04446, CAEEL04445	ASTMX09038
OG0000908	CAEEL18895	ASTMX20519, ASTMX14450
OG0000908	CAEEL09910	ASTMX13391, ASTMX06616
OG0000909	CAEEL00966	ASTMX14114, ASTMX08183, ASTMX18935, ASTMX02527
OG0000911	CAEEL15173	ASTMX07865, ASTMX06052
OG0000912	CAEEL19084	ASTMX10500, ASTMX10501, ASTMX16615
OG0000913	CAEEL03086, CAEEL09227, CAEEL01751, CAEEL17909, CAEEL04783, CAEEL08435	ASTMX04731, ASTMX14355
OG0000914	CAEEL08534, CAEEL08535	ASTMX10770, ASTMX04016, ASTMX01787, ASTMX05533, ASTMX00615
OG0000915	CAEEL11744	ASTMX19052, ASTMX06403, ASTMX16161, ASTMX09477, ASTMX05555, ASTMX07212
OG0000921	CAEEL05986	ASTMX02073
OG0000923	CAEEL01410	ASTMX12705
OG0000923	CAEEL00580	ASTMX14532
OG0000925	CAEEL00439, CAEEL07058	ASTMX10561
OG0000927	CAEEL20274	ASTMX14905, ASTMX00005, ASTMX18145, ASTMX01174, ASTMX14825, ASTMX06980, ASTMX08592
OG0000928	CAEEL00085	ASTMX22584, ASTMX18625, ASTMX17517, ASTMX00645, ASTMX01726
OG0000929	CAEEL02357	ASTMX04114, ASTMX07004, ASTMX06184, ASTMX16944, ASTMX10239, ASTMX04285
OG0000931	CAEEL20467	ASTMX03676
OG0000932	CAEEL07026, CAEEL07025	ASTMX05094, ASTMX12156, ASTMX11727
OG0000933	CAEEL13637	ASTMX03259, ASTMX06999, ASTMX13050, ASTMX05807, ASTMX22463
OG0000934	CAEEL20095, CAEEL02005	ASTMX09810, ASTMX09922
OG0000934	CAEEL18567	ASTMX09273, ASTMX08879, ASTMX19792
OG0000935	CAEEL10988, CAEEL18743	ASTMX04934, ASTMX18192, ASTMX02617, ASTMX18423, ASTMX09074, ASTMX14216, ASTMX00813
OG0000944	CAEEL08647, CAEEL08646	ASTMX07936, ASTMX13997, ASTMX11801, ASTMX01164
OG0000944	CAEEL15360	ASTMX10713
OG0000945	CAEEL00537	ASTMX00204, ASTMX12524, ASTMX16834
OG0000946	CAEEL05453	ASTMX14434
OG0000947	CAEEL07660	ASTMX10737, ASTMX06666, ASTMX16756, ASTMX11945, ASTMX05367, ASTMX22371, ASTMX07513, ASTMX12713
OG0000949	CAEEL02872, CAEEL06438	ASTMX15084, ASTMX08824, ASTMX21187, ASTMX22481, ASTMX19646, ASTMX11332, ASTMX19844, ASTMX08182
OG0000950	CAEEL06912	ASTMX05864, ASTMX09628, ASTMX16099, ASTMX18311
OG0000951	CAEEL00056	ASTMX01864, ASTMX01863, ASTMX22222, ASTMX05129
OG0000954	CAEEL05990	ASTMX15027, ASTMX21854
OG0000955	CAEEL05680, CAEEL05073	ASTMX18471, ASTMX19384
OG0000955	CAEEL01495	ASTMX22024
OG0000957	CAEEL00119	ASTMX04943, ASTMX06936
OG0000963	CAEEL19266, CAEEL06520, CAEEL01905, CAEEL10906	ASTMX05064, ASTMX15961
OG0000965	CAEEL09524	ASTMX11644
OG0000965	CAEEL02685	ASTMX05585
OG0000967	CAEEL09409	ASTMX08221, ASTMX07666, ASTMX03215
OG0000969	CAEEL17140, CAEEL19686	ASTMX01808
OG0000970	CAEEL12249	ASTMX16775, ASTMX10621
OG0000971	CAEEL13149	ASTMX00674
OG0000972	CAEEL01404, CAEEL10528	ASTMX18834
OG0000974	CAEEL05136, CAEEL05137	ASTMX15410
OG0000977	CAEEL07521	ASTMX18656
OG0000978	CAEEL10436, CAEEL10678, CAEEL04915	ASTMX10667, ASTMX02304, ASTMX07458, ASTMX17117, ASTMX00202, ASTMX01648
OG0000979	CAEEL17012, CAEEL08335, CAEEL08336, CAEEL08175, CAEEL06649	ASTMX07631
OG0000982	CAEEL00871	ASTMX07919, ASTMX18187, ASTMX11536, ASTMX07445, ASTMX13438, ASTMX10025
OG0000985	CAEEL11989	ASTMX09768, ASTMX15611, ASTMX12134, ASTMX10557, ASTMX04706
OG0000987	CAEEL18448	ASTMX15681, ASTMX02636, ASTMX09408, ASTMX04754, ASTMX04880, ASTMX14766
OG0000988	CAEEL12259, CAEEL12260, CAEEL05294	ASTMX14582, ASTMX10358, ASTMX14055
OG0000989	CAEEL18561, CAEEL20721	ASTMX21794, ASTMX21040, ASTMX06443, ASTMX15397, ASTMX15396, ASTMX21290, ASTMX12898, ASTMX04135, ASTMX08566, ASTMX11776, ASTMX03087, ASTMX21439
OG0000992	CAEEL04373	ASTMX21108
OG0000994	CAEEL01877	ASTMX09930
OG0000994	CAEEL05339, CAEEL08529	ASTMX09998
OG0000995	CAEEL01961	ASTMX18626, ASTMX17670, ASTMX10200, ASTMX11669, ASTMX21664
OG0000999	CAEEL12779, CAEEL06159	ASTMX07361, ASTMX15986, ASTMX14492, ASTMX00353, ASTMX16560
OG0001001	CAEEL19402, CAEEL20405, CAEEL20234, CAEEL19403	ASTMX17780, ASTMX06967
OG0001002	CAEEL07056, CAEEL14828, CAEEL19782, CAEEL15732	ASTMX03599
OG0001004	CAEEL04943	ASTMX03982, ASTMX10486, ASTMX02824, ASTMX18866, ASTMX11607
OG0001005	CAEEL01384	ASTMX13958, ASTMX01027, ASTMX13959
OG0001006	CAEEL08218, CAEEL00364, CAEEL10732	ASTMX19697
OG0001007	CAEEL19587	ASTMX19285, ASTMX05091
OG0001008	CAEEL05786	ASTMX15308
OG0001009	CAEEL20001	ASTMX08160, ASTMX00855
OG0001013	CAEEL16541	ASTMX21078, ASTMX17661, ASTMX17662, ASTMX08576, ASTMX08575, ASTMX12311, ASTMX03627, ASTMX10104, ASTMX11498, ASTMX01563
OG0001015	CAEEL16067, CAEEL20263	ASTMX04064, ASTMX10509, ASTMX07749
OG0001016	CAEEL09313	ASTMX02659
OG0001016	CAEEL08789, CAEEL11986	ASTMX09603
OG0001017	CAEEL09308	ASTMX17970, ASTMX04766
OG0001018	CAEEL00183	ASTMX07293
OG0001018	CAEEL07047	ASTMX14402
OG0001019	CAEEL13859, CAEEL13858	ASTMX13586, ASTMX13588, ASTMX11430, ASTMX14065
OG0001022	CAEEL06254, CAEEL20075, CAEEL20775	ASTMX16902, ASTMX00545, ASTMX07556, ASTMX16176
OG0001023	CAEEL05078	ASTMX19031, ASTMX20687, ASTMX01426, ASTMX20596, ASTMX06914
OG0001024	CAEEL11623	ASTMX03675, ASTMX18108, ASTMX07995, ASTMX09301, ASTMX15826, ASTMX03255
OG0001028	CAEEL01212	ASTMX02432, ASTMX02433, ASTMX10276, ASTMX00251
OG0001029	CAEEL01262	ASTMX06248, ASTMX01653
OG0001030	CAEEL11812	ASTMX02452, ASTMX18172, ASTMX14787, ASTMX04535, ASTMX18636
OG0001031	CAEEL12448	ASTMX07625
OG0001032	CAEEL20070, CAEEL15717	ASTMX15532, ASTMX03793, ASTMX13164, ASTMX18965, ASTMX09608, ASTMX13460
OG0001033	CAEEL10717	ASTMX02891, ASTMX13562
OG0001034	CAEEL07054, CAEEL07055	ASTMX14094, ASTMX17808, ASTMX08019, ASTMX09126
OG0001036	CAEEL18611	ASTMX15297, ASTMX00943, ASTMX04320, ASTMX20857
OG0001037	CAEEL18600	ASTMX09605, ASTMX13457, ASTMX18385, ASTMX09123
OG0001038	CAEEL20450	ASTMX15430, ASTMX04713, ASTMX08425
OG0001039	CAEEL10624	ASTMX00965, ASTMX19682
OG0001042	CAEEL09943	ASTMX01745, ASTMX19070, ASTMX15836, ASTMX02594, ASTMX01999
OG0001044	CAEEL20285	ASTMX07810, ASTMX07811
OG0001046	CAEEL19183	ASTMX04989, ASTMX12326, ASTMX15400, ASTMX21403, ASTMX04871
OG0001050	CAEEL14076, CAEEL15706	ASTMX17116, ASTMX01295, ASTMX07885, ASTMX07884, ASTMX00384, ASTMX06846
OG0001052	CAEEL10987	ASTMX06955, ASTMX02780
OG0001053	CAEEL07572	ASTMX18300, ASTMX22111, ASTMX05732, ASTMX04777, ASTMX00654
OG0001053	CAEEL09742	ASTMX04746
OG0001058	CAEEL19015	ASTMX18033, ASTMX05110, ASTMX11885, ASTMX17859
OG0001059	CAEEL00192	ASTMX17167
OG0001060	CAEEL15786	ASTMX14477, ASTMX15173
OG0001062	CAEEL08101	ASTMX14307, ASTMX08563, ASTMX02379, ASTMX17790
OG0001063	CAEEL15713, CAEEL15714	ASTMX10605
OG0001066	CAEEL12576	ASTMX20286, ASTMX02069, ASTMX08837, ASTMX00998, ASTMX09220
OG0001072	CAEEL08406	ASTMX19026
OG0001073	CAEEL07965	ASTMX17875, ASTMX07177
OG0001075	CAEEL11648, CAEEL18873	ASTMX15603, ASTMX17534, ASTMX07596
OG0001076	CAEEL07541	ASTMX03684, ASTMX11243, ASTMX11094
OG0001077	CAEEL18659	ASTMX10837
OG0001078	CAEEL19295	ASTMX14428, ASTMX16990, ASTMX15708, ASTMX07308, ASTMX21162, ASTMX01731
OG0001079	CAEEL10503	ASTMX13695, ASTMX07130, ASTMX04052
OG0001080	CAEEL08359	ASTMX20362
OG0001082	CAEEL19080, CAEEL19079, CAEEL09741	ASTMX05356
OG0001083	CAEEL06682	ASTMX03242, ASTMX10427, ASTMX17603, ASTMX08493
OG0001084	CAEEL01831	ASTMX13267, ASTMX14596, ASTMX13269
OG0001085	CAEEL09995, CAEEL09996	ASTMX04023, ASTMX22544, ASTMX08536, ASTMX05559
OG0001092	CAEEL07387	ASTMX11230, ASTMX13973, ASTMX21247, ASTMX01637, ASTMX11224, ASTMX11225, ASTMX11227
OG0001093	CAEEL00638, CAEEL00637	ASTMX12014, ASTMX12657, ASTMX16037, ASTMX04141, ASTMX08672
OG0001094	CAEEL13053, CAEEL13054	ASTMX20728, ASTMX11817, ASTMX22892
OG0001095	CAEEL07595	ASTMX01042, ASTMX06668, ASTMX10417, ASTMX04271
OG0001096	CAEEL04621, CAEEL17752	ASTMX18205, ASTMX09790
OG0001101	CAEEL11585	ASTMX18645
OG0001102	CAEEL08853	ASTMX10946, ASTMX06585
OG0001103	CAEEL18815	ASTMX07925
OG0001104	CAEEL20081	ASTMX04326, ASTMX19128
OG0001107	CAEEL18427	ASTMX07155, ASTMX18532, ASTMX08783, ASTMX07277, ASTMX12968
OG0001108	CAEEL09307	ASTMX10776, ASTMX02283
OG0001109	CAEEL14851, CAEEL20028, CAEEL14852, CAEEL14853, CAEEL13761, CAEEL14859, CAEEL09898, CAEEL19118	ASTMX22098, ASTMX18693, ASTMX16851, ASTMX20867
OG0001112	CAEEL19902	ASTMX08753, ASTMX12056
OG0001112	CAEEL19901	ASTMX04106
OG0001113	CAEEL15158	ASTMX19887
OG0001113	CAEEL01128	ASTMX17682
OG0001113	CAEEL07385	ASTMX17433
OG0001114	CAEEL11582, CAEEL01758, CAEEL01759	ASTMX20168, ASTMX05200, ASTMX10656
OG0001116	CAEEL04351	ASTMX16860
OG0001117	CAEEL08762	ASTMX11969
OG0001124	CAEEL08814	ASTMX11649, ASTMX21249
OG0001126	CAEEL04859	ASTMX15842, ASTMX02684
OG0001130	CAEEL00952, CAEEL00232	ASTMX10575
OG0001131	CAEEL14208	ASTMX07608, ASTMX14403, ASTMX04858
OG0001132	CAEEL04290	ASTMX10021
OG0001133	CAEEL11294	ASTMX12861
OG0001135	CAEEL02069	ASTMX18867
OG0001136	CAEEL02001	ASTMX03984, ASTMX03125, ASTMX00617, ASTMX01730
OG0001137	CAEEL04790	ASTMX12515, ASTMX16194, ASTMX01698
OG0001138	CAEEL07800, CAEEL07799	ASTMX18696, ASTMX18698, ASTMX19043, ASTMX13761, ASTMX15448, ASTMX17720
OG0001139	CAEEL06928, CAEEL15457	ASTMX08590
OG0001140	CAEEL14389	ASTMX00871, ASTMX01335
OG0001141	CAEEL01107, CAEEL01106	ASTMX18850, ASTMX15737
OG0001142	CAEEL12657	ASTMX06998
OG0001143	CAEEL01013	ASTMX05178, ASTMX19786, ASTMX21932, ASTMX06862
OG0001155	CAEEL13066, CAEEL13586, CAEEL04642, CAEEL13526	ASTMX05916
OG0001156	CAEEL20728	ASTMX06046, ASTMX21567, ASTMX13224, ASTMX10835, ASTMX00559
OG0001158	CAEEL00147	ASTMX02087, ASTMX17173, ASTMX12628
OG0001159	CAEEL07987, CAEEL18966	ASTMX04571, ASTMX16858
OG0001160	CAEEL16381, CAEEL20121	ASTMX03036, ASTMX02042, ASTMX09272
OG0001162	CAEEL18096	ASTMX14904, ASTMX06131, ASTMX00151, ASTMX17408, ASTMX18039
OG0001163	CAEEL11823, CAEEL14454, CAEEL17374	ASTMX21149, ASTMX13397, ASTMX06626
OG0001164	CAEEL07306	ASTMX15332, ASTMX23034
OG0001165	CAEEL19696	ASTMX13025
OG0001167	CAEEL04546	ASTMX18844, ASTMX18845, ASTMX07609
OG0001171	CAEEL20677	ASTMX06140, ASTMX11035, ASTMX09871, ASTMX18404, ASTMX03436
OG0001172	CAEEL13596	ASTMX02640, ASTMX12998
OG0001173	CAEEL15708	ASTMX06808
OG0001175	CAEEL15152, CAEEL14463, CAEEL15032, CAEEL15031, CAEEL06075, CAEEL10718	ASTMX15626, ASTMX17938, ASTMX10319
OG0001176	CAEEL11466	ASTMX10559, ASTMX01481, ASTMX13540
OG0001177	CAEEL08262, CAEEL18706	ASTMX14125, ASTMX15939
OG0001178	CAEEL05306	ASTMX12782, ASTMX12781
OG0001179	CAEEL07894, CAEEL04651, CAEEL04194, CAEEL05939	ASTMX12400, ASTMX07456
OG0001180	CAEEL00751	ASTMX12027, ASTMX19199, ASTMX09020
OG0001181	CAEEL08327	ASTMX22174, ASTMX18946, ASTMX06446, ASTMX22724, ASTMX17051, ASTMX17260
OG0001183	CAEEL12969	ASTMX12002
OG0001184	CAEEL20576	ASTMX19302
OG0001184	CAEEL19676	ASTMX00228
OG0001185	CAEEL01778	ASTMX07482
OG0001186	CAEEL00480	ASTMX18547, ASTMX02567
OG0001186	CAEEL09703	ASTMX13845
OG0001188	CAEEL14362	ASTMX10472, ASTMX16516, ASTMX05803, ASTMX14514, ASTMX03224
OG0001189	CAEEL01928	ASTMX06692, ASTMX04816, ASTMX01328, ASTMX13413, ASTMX17159
OG0001191	CAEEL09751, CAEEL20476, CAEEL09505	ASTMX19829, ASTMX17768, ASTMX05237, ASTMX10430, ASTMX15730
OG0001197	CAEEL11613	ASTMX03942
OG0001201	CAEEL02666	ASTMX07237, ASTMX15800, ASTMX18361, ASTMX18598
OG0001203	CAEEL09769	ASTMX14697, ASTMX11816, ASTMX05804, ASTMX02785, ASTMX14698
OG0001204	CAEEL09132	ASTMX05907, ASTMX05878, ASTMX12225
OG0001208	CAEEL10574	ASTMX00484, ASTMX08670, ASTMX06752, ASTMX12017
OG0001210	CAEEL06396	ASTMX01254
OG0001210	CAEEL06380	ASTMX10342, ASTMX10343
OG0001213	CAEEL01138, CAEEL01163, CAEEL01148, CAEEL04429, CAEEL04430	ASTMX13388
OG0001214	CAEEL08401	ASTMX09593
OG0001215	CAEEL11249	ASTMX20085, ASTMX00530, ASTMX12692, ASTMX15468, ASTMX06044
OG0001216	CAEEL04644	ASTMX20220, ASTMX20446
OG0001217	CAEEL08746	ASTMX09378, ASTMX07954, ASTMX01127, ASTMX10707, ASTMX01247, ASTMX16527, ASTMX07955
OG0001218	CAEEL20131, CAEEL14167	ASTMX10642, ASTMX14744, ASTMX13687, ASTMX05605
OG0001219	CAEEL20379	ASTMX14886, ASTMX03969, ASTMX10652, ASTMX14229
OG0001220	CAEEL07890	ASTMX05948, ASTMX05949
OG0001221	CAEEL13124	ASTMX07026
OG0001223	CAEEL02795	ASTMX03153, ASTMX00191, ASTMX01647, ASTMX07473
OG0001224	CAEEL07196	ASTMX06442, ASTMX00720
OG0001225	CAEEL02873	ASTMX05153, ASTMX03549, ASTMX13437, ASTMX10024, ASTMX07916
OG0001226	CAEEL02848, CAEEL02849	ASTMX15119, ASTMX01133, ASTMX11042
OG0001230	CAEEL12987, CAEEL17236, CAEEL15243, CAEEL01949	ASTMX17828
OG0001233	CAEEL03755, CAEEL04189	ASTMX05613, ASTMX05612, ASTMX20633
OG0001234	CAEEL00806	ASTMX08429, ASTMX22078, ASTMX21091, ASTMX21910, ASTMX21709, ASTMX00219, ASTMX21708, ASTMX20381
OG0001236	CAEEL18476, CAEEL18477, CAEEL05637, CAEEL05588	ASTMX01850, ASTMX11510, ASTMX06878
OG0001238	CAEEL05166, CAEEL11182	ASTMX03666, ASTMX13748, ASTMX05355
OG0001239	CAEEL12011	ASTMX05182, ASTMX13945, ASTMX09470
OG0001241	CAEEL01749	ASTMX06697
OG0001241	CAEEL19375	ASTMX04159, ASTMX18901
OG0001243	CAEEL01806	ASTMX17034, ASTMX02160, ASTMX19994
OG0001247	CAEEL10570	ASTMX12611, ASTMX14275, ASTMX19073, ASTMX16338
OG0001248	CAEEL08830	ASTMX11443, ASTMX17482, ASTMX05341, ASTMX19178
OG0001249	CAEEL06406	ASTMX20180, ASTMX00503, ASTMX20181, ASTMX10323, ASTMX00502, ASTMX04928
OG0001250	CAEEL18712	ASTMX15491, ASTMX07689, ASTMX20710
OG0001251	CAEEL01802	ASTMX13849, ASTMX12740
OG0001252	CAEEL05030	ASTMX14189, ASTMX20484, ASTMX19839, ASTMX18184, ASTMX07917
OG0001253	CAEEL10888, CAEEL10887	ASTMX13288, ASTMX07246, ASTMX13330, ASTMX10772, ASTMX13287, ASTMX05532, ASTMX01786
OG0001254	CAEEL00935	ASTMX21460, ASTMX21459, ASTMX10576, ASTMX17225
OG0001256	CAEEL01426, CAEEL01244, CAEEL01245, CAEEL09738, CAEEL10917, CAEEL07997	ASTMX12301, ASTMX04241, ASTMX01544
OG0001261	CAEEL07850	ASTMX19187, ASTMX01634, ASTMX00068
OG0001262	CAEEL15249, CAEEL20627	ASTMX21377
OG0001266	CAEEL07143	ASTMX20652, ASTMX13871, ASTMX00959, ASTMX01967
OG0001267	CAEEL14111	ASTMX03508, ASTMX05999, ASTMX19426, ASTMX13889
OG0001268	CAEEL11342	ASTMX20034
OG0001270	CAEEL01959	ASTMX19479, ASTMX03630
OG0001271	CAEEL08717, CAEEL00634	ASTMX14027, ASTMX21049, ASTMX10446, ASTMX00815
OG0001272	CAEEL07720, CAEEL09293	ASTMX04472, ASTMX05879, ASTMX12223, ASTMX15726
OG0001274	CAEEL20835, CAEEL00917, CAEEL15316, CAEEL07981	ASTMX22021, ASTMX13163, ASTMX06912
OG0001278	CAEEL20013	ASTMX04865
OG0001278	CAEEL10735	ASTMX10228
OG0001279	CAEEL15321, CAEEL15322, CAEEL20353	ASTMX06329, ASTMX08064, ASTMX13662, ASTMX17711, ASTMX11584
OG0001280	CAEEL00726	ASTMX19448, ASTMX11018, ASTMX16795, ASTMX21805, ASTMX18435
OG0001281	CAEEL05459	ASTMX02972, ASTMX13937, ASTMX06587, ASTMX05626
OG0001282	CAEEL04296	ASTMX11350, ASTMX00096, ASTMX03184, ASTMX16656
OG0001284	CAEEL08223	ASTMX09601
OG0001284	CAEEL01272	ASTMX06818, ASTMX13787, ASTMX17233
OG0001285	CAEEL06501	ASTMX04588, ASTMX06608, ASTMX09962
OG0001287	CAEEL16475	ASTMX04102, ASTMX08011, ASTMX16698, ASTMX10733, ASTMX08804
OG0001288	CAEEL18355	ASTMX00451, ASTMX12396
OG0001290	CAEEL12280	ASTMX21384
OG0001290	CAEEL12279	ASTMX23021, ASTMX13626, ASTMX08208, ASTMX06258, ASTMX08455
OG0001291	CAEEL11483	ASTMX09956, ASTMX19427, ASTMX10484, ASTMX07994, ASTMX09302
OG0001292	CAEEL07942	ASTMX02486, ASTMX00034, ASTMX22402, ASTMX11449
OG0001293	CAEEL07048	ASTMX05019, ASTMX19347, ASTMX18808, ASTMX16101, ASTMX16100, ASTMX05018, ASTMX03515
OG0001294	CAEEL15893	ASTMX01279
OG0001296	CAEEL00003, CAEEL14758	ASTMX10992, ASTMX05624, ASTMX16112, ASTMX16113
OG0001300	CAEEL09562	ASTMX06507, ASTMX16708, ASTMX01169
OG0001302	CAEEL01736	ASTMX00499
OG0001302	CAEEL12633	ASTMX18397
OG0001304	CAEEL00728	ASTMX10044, ASTMX00193, ASTMX03156, ASTMX11455
OG0001305	CAEEL19700	ASTMX08560, ASTMX14309, ASTMX09612, ASTMX19863, ASTMX03148
OG0001306	CAEEL05042	ASTMX15047, ASTMX12449
OG0001306	CAEEL06741	ASTMX07805
OG0001310	CAEEL16286	ASTMX09500
OG0001311	CAEEL07271, CAEEL18160	ASTMX15821, ASTMX19766
OG0001315	CAEEL20540	ASTMX16453, ASTMX21035, ASTMX07687, ASTMX17931
OG0001318	CAEEL06153	ASTMX01432
OG0001318	CAEEL02686	ASTMX07560, ASTMX04187
OG0001319	CAEEL15967	ASTMX18142, ASTMX04629, ASTMX16650, ASTMX00136
OG0001320	CAEEL02958	ASTMX02658
OG0001320	CAEEL05842, CAEEL10256, CAEEL08614, CAEEL15241, CAEEL08907	ASTMX12886, ASTMX12104
OG0001321	CAEEL02303, CAEEL00016	ASTMX01879, ASTMX15374
OG0001325	CAEEL12980	ASTMX03760, ASTMX19330, ASTMX19332, ASTMX19329, ASTMX03771, ASTMX19331
OG0001326	CAEEL18463, CAEEL12672, CAEEL19447	ASTMX02799, ASTMX05995, ASTMX05996, ASTMX13210, ASTMX06599, ASTMX08581
OG0001327	CAEEL12070	ASTMX18676, ASTMX05552
OG0001329	CAEEL03625, CAEEL07934	ASTMX07142, ASTMX13340
OG0001330	CAEEL07772	ASTMX04462, ASTMX17075, ASTMX04383, ASTMX12196, ASTMX19685, ASTMX12195
OG0001333	CAEEL08384, CAEEL10397, CAEEL14152, CAEEL14148, CAEEL14153	ASTMX05919, ASTMX07699
OG0001337	CAEEL08858	ASTMX05953, ASTMX13440, ASTMX17317
OG0001339	CAEEL01555	ASTMX08150, ASTMX03817, ASTMX01194
OG0001341	CAEEL12273	ASTMX04021, ASTMX18606
OG0001344	CAEEL12166	ASTMX12839, ASTMX12838
OG0001348	CAEEL20290	ASTMX09799, ASTMX08553, ASTMX19294
OG0001350	CAEEL06068	ASTMX06475
OG0001350	CAEEL05555	ASTMX15964
OG0001351	CAEEL20071, CAEEL20072	ASTMX15206
OG0001353	CAEEL07231	ASTMX11924, ASTMX13745
OG0001354	CAEEL18385	ASTMX11901
OG0001355	CAEEL19633	ASTMX03894, ASTMX05031, ASTMX05922
OG0001356	CAEEL10619	ASTMX10756, ASTMX02115, ASTMX00629, ASTMX03094
OG0001357	CAEEL15128	ASTMX19807, ASTMX13049, ASTMX01586, ASTMX13683, ASTMX13930
OG0001363	CAEEL12526, CAEEL18947, CAEEL08666, CAEEL12684, CAEEL11272	ASTMX08285, ASTMX10326, ASTMX03420
OG0001364	CAEEL16269	ASTMX17782, ASTMX06972, ASTMX17850
OG0001366	CAEEL07140	ASTMX14130, ASTMX01928, ASTMX19346, ASTMX14132, ASTMX14131, ASTMX19344, ASTMX18739, ASTMX02673
OG0001367	CAEEL16176	ASTMX00960, ASTMX11729, ASTMX19617, ASTMX13008, ASTMX20021
OG0001368	CAEEL15247	ASTMX03257, ASTMX15096, ASTMX16548
OG0001369	CAEEL05836	ASTMX00950, ASTMX16841, ASTMX05553, ASTMX14417
OG0001370	CAEEL19838	ASTMX09028
OG0001370	CAEEL11201	ASTMX12996
OG0001372	CAEEL04824, CAEEL16917	ASTMX06020
OG0001375	CAEEL01718	ASTMX12879, ASTMX05755, ASTMX08713
OG0001376	CAEEL18806	ASTMX11290, ASTMX15861, ASTMX00150, ASTMX18887
OG0001378	CAEEL01898	ASTMX05115, ASTMX18038, ASTMX12590, ASTMX15728, ASTMX14012, ASTMX04632
OG0001379	CAEEL20800, CAEEL08440	ASTMX03133, ASTMX08769, ASTMX08803, ASTMX08802, ASTMX03013, ASTMX03014
OG0001380	CAEEL07027	ASTMX17025, ASTMX12187, ASTMX16524, ASTMX23050, ASTMX17026
OG0001381	CAEEL01510	ASTMX02347, ASTMX05157, ASTMX14705, ASTMX10023, ASTMX03370
OG0001386	CAEEL08301	ASTMX13566
OG0001387	CAEEL01449, CAEEL05040, CAEEL06498	ASTMX07864, ASTMX13262, ASTMX14247, ASTMX08858
OG0001388	CAEEL06695	ASTMX17868
OG0001389	CAEEL06582	ASTMX20254, ASTMX01112, ASTMX08261, ASTMX17570, ASTMX03746
OG0001394	CAEEL16146	ASTMX11802, ASTMX15905
OG0001395	CAEEL01604	ASTMX02518, ASTMX01129, ASTMX06152, ASTMX20147, ASTMX19549
OG0001397	CAEEL05815, CAEEL05422, CAEEL16780, CAEEL05924, CAEEL19916	ASTMX08012, ASTMX19505
OG0001397	CAEEL19290	ASTMX01488
OG0001399	CAEEL00972	ASTMX06124, ASTMX11454, ASTMX00428
OG0001404	CAEEL15778	ASTMX03622
OG0001405	CAEEL00987	ASTMX02582, ASTMX17235, ASTMX07521, ASTMX17122, ASTMX07520
OG0001405	CAEEL02297	ASTMX21998
OG0001408	CAEEL19513	ASTMX08971, ASTMX19130, ASTMX19997, ASTMX18382, ASTMX18903, ASTMX19996
OG0001409	CAEEL02567	ASTMX06764, ASTMX08743, ASTMX16438, ASTMX11918
OG0001410	CAEEL16277	ASTMX14683
OG0001411	CAEEL07405	ASTMX12471
OG0001413	CAEEL08368	ASTMX19024
OG0001414	CAEEL15043	ASTMX11571
OG0001414	CAEEL13823	ASTMX02756
OG0001418	CAEEL11722	ASTMX11591, ASTMX19434, ASTMX05467, ASTMX02896, ASTMX19463
OG0001421	CAEEL14241	ASTMX10787, ASTMX08122, ASTMX03810
OG0001422	CAEEL06778	ASTMX17695, ASTMX01913
OG0001423	CAEEL18493	ASTMX01856, ASTMX07807, ASTMX04010, ASTMX11404, ASTMX22608
OG0001424	CAEEL12121	ASTMX17288
OG0001425	CAEEL12269, CAEEL12270, CAEEL12268, CAEEL12271	ASTMX03298, ASTMX08956, ASTMX13239, ASTMX13087, ASTMX06948
OG0001426	CAEEL06005, CAEEL06004	ASTMX11150, ASTMX19183, ASTMX05528, ASTMX15051, ASTMX19182, ASTMX02679, ASTMX19079
OG0001427	CAEEL17428, CAEEL17430	ASTMX10767
OG0001428	CAEEL05279	ASTMX05247, ASTMX09437, ASTMX16939, ASTMX14746
OG0001430	CAEEL14236	ASTMX21020, ASTMX21443, ASTMX04688, ASTMX10990, ASTMX18254, ASTMX13065
OG0001432	CAEEL18746	ASTMX06431, ASTMX01758, ASTMX06145, ASTMX08157, ASTMX21019
OG0001433	CAEEL01226	ASTMX02460, ASTMX00906, ASTMX19534, ASTMX10945
OG0001436	CAEEL01644, CAEEL01645	ASTMX01918
OG0001437	CAEEL01346, CAEEL01345	ASTMX02671, ASTMX18553, ASTMX12632
OG0001440	CAEEL02919	ASTMX06448, ASTMX19471, ASTMX02877
OG0001445	CAEEL10043, CAEEL10044	ASTMX04130, ASTMX07057
OG0001447	CAEEL00798, CAEEL00797	ASTMX04644
OG0001449	CAEEL05216	ASTMX21017, ASTMX21018
OG0001452	CAEEL02837	ASTMX12067, ASTMX20582, ASTMX19197
OG0001455	CAEEL04493	ASTMX18526
OG0001458	CAEEL04619	ASTMX19929, ASTMX03755, ASTMX18146, ASTMX01176, ASTMX00012, ASTMX13313, ASTMX00013
OG0001459	CAEEL20135, CAEEL17975	ASTMX20587, ASTMX19737
OG0001460	CAEEL11040, CAEEL11027	ASTMX05935
OG0001461	CAEEL09368	ASTMX05184
OG0001462	CAEEL03309	ASTMX19123
