Orthogroup	CAEEL	OWEFU
OG0000708	CAEEL12722	OFUSG18936.1.p1
OG0000709	CAEEL11350, CAEEL18734, CAEEL12228, CAEEL16334, CAEEL20586, CAEEL11767	OFUSG06507.1.p1
OG0000710	CAEEL20648, CAEEL19117, CAEEL19785	OFUSG06971.1.p1, OFUSG24793.2.p1, OFUSG24793.1.p1
OG0000711	CAEEL04946	OFUSG00761.1.p1
OG0000711	CAEEL03027	OFUSG00164.1.p1
OG0000712	CAEEL07921	OFUSG02312.2.p1, OFUSG02312.1.p1
OG0000713	CAEEL15727	OFUSG13986.1.p1
OG0000715	CAEEL07310, CAEEL07309	OFUSG24400.1.p1, OFUSG24400.3.p1, OFUSG24400.2.p1, OFUSG24400.4.p1
OG0000717	CAEEL20044, CAEEL07958	OFUSG07273.3.p1, OFUSG07273.1.p1, OFUSG07273.2.p1, OFUSG07273.4.p1, OFUSG07273.5.p1
OG0000718	CAEEL16052	OFUSG19609.1.p1, OFUSG19609.2.p1
OG0000720	CAEEL02341	OFUSG24445.4.p1, OFUSG24445.2.p1, OFUSG24445.3.p1, OFUSG24445.5.p1, OFUSG24445.1.p1
OG0000721	CAEEL07780	OFUSG22702.2.p1, OFUSG22702.1.p1
OG0000722	CAEEL16439	OFUSG11385.1.p1
OG0000722	CAEEL19041, CAEEL07826	OFUSG17120.1.p1, OFUSG17120.2.p1
OG0000724	CAEEL01191, CAEEL05666, CAEEL04724, CAEEL07268, CAEEL09317, CAEEL05086, CAEEL04722, CAEEL04707, CAEEL16432, CAEEL08216, CAEEL08788, CAEEL00782, CAEEL05700, CAEEL05106, CAEEL05163, CAEEL15997, CAEEL14388, CAEEL04425, CAEEL10300, CAEEL10254, CAEEL10375, CAEEL12178, CAEEL11651, CAEEL11581, CAEEL15115, CAEEL04753	OFUSG12294.1.p1, OFUSG12294.2.p1
OG0000725	CAEEL01386	OFUSG07689.1.p1
OG0000726	CAEEL08988, CAEEL08987	OFUSG16555.1.p1
OG0000730	CAEEL06720	OFUSG15932.1.p1, OFUSG20088.1.p1
OG0000730	CAEEL06574	OFUSG16513.1.p1
OG0000731	CAEEL18982	OFUSG14224.4.p1, OFUSG14224.1.p1, OFUSG14224.2.p1, OFUSG14224.3.p1, OFUSG14224.5.p1
OG0000732	CAEEL02711	OFUSG24914.1.p1
OG0000732	CAEEL11771	OFUSG26355.1.p1, OFUSG26355.2.p1
OG0000733	CAEEL17006	OFUSG22012.1.p1
OG0000733	CAEEL15524	OFUSG11826.1.p1
OG0000734	CAEEL18835	OFUSG08307.1.p1
OG0000735	CAEEL14834, CAEEL14835	OFUSG16966.1.p1, OFUSG16966.2.p1
OG0000736	CAEEL09174	OFUSG13076.1.p1
OG0000737	CAEEL06154, CAEEL04487, CAEEL04486	OFUSG06204.2.p1, OFUSG06204.1.p1
OG0000740	CAEEL18076	OFUSG16696.1.p1
OG0000740	CAEEL18356	OFUSG17833.1.p1
OG0000744	CAEEL01254	OFUSG23163.1.p1
OG0000745	CAEEL12683, CAEEL06489	OFUSG11725.1.p1
OG0000747	CAEEL02279	OFUSG01556.1.p1, OFUSG01548.1.p1, OFUSG06100.1.p1, OFUSG17491.1.p1, OFUSG16945.2.p1, OFUSG16945.1.p1, OFUSG16946.1.p1, OFUSG00244.1.p1, OFUSG25616.1.p1, OFUSG25615.1.p1, OFUSG25614.1.p1
OG0000749	CAEEL11624, CAEEL14107	OFUSG11790.1.p1
OG0000751	CAEEL09020	OFUSG16377.1.p1, OFUSG16377.2.p1
OG0000752	CAEEL07346	OFUSG06577.1.p1
OG0000752	CAEEL04370	OFUSG01816.1.p1
OG0000753	CAEEL17415	OFUSG03990.1.p1, OFUSG09322.2.p1, OFUSG09322.1.p1
OG0000755	CAEEL01302	OFUSG22904.1.p1
OG0000757	CAEEL20030	OFUSG15507.1.p1
OG0000759	CAEEL20475, CAEEL16710	OFUSG04506.3.p1, OFUSG04506.2.p1, OFUSG04506.5.p1, OFUSG04506.4.p1, OFUSG04506.1.p1
OG0000761	CAEEL19698	OFUSG08030.3.p1, OFUSG08030.1.p1, OFUSG08030.2.p1
OG0000763	CAEEL01521, CAEEL01520, CAEEL01519	OFUSG00086.1.p1, OFUSG08828.1.p1
OG0000764	CAEEL19739	OFUSG08398.1.p1
OG0000765	CAEEL08924, CAEEL20292	OFUSG21598.1.p1, OFUSG21598.2.p1
OG0000766	CAEEL01660	OFUSG19864.1.p1
OG0000766	CAEEL18773, CAEEL19845, CAEEL20678, CAEEL20679, CAEEL04502	OFUSG25482.1.p1, OFUSG25482.4.p1, OFUSG25482.3.p1, OFUSG25482.2.p1
OG0000767	CAEEL15327, CAEEL15326	OFUSG11580.1.p1
OG0000774	CAEEL12020, CAEEL14163, CAEEL12021	OFUSG18867.1.p1
OG0000775	CAEEL17384, CAEEL14551, CAEEL07888, CAEEL14550	OFUSG00272.1.p1, OFUSG09449.1.p1, OFUSG01304.1.p1, OFUSG05327.1.p1, OFUSG15943.1.p1, OFUSG26561.1.p1, OFUSG26560.1.p1
OG0000776	CAEEL11265, CAEEL10969, CAEEL09271, CAEEL01206, CAEEL19691, CAEEL14134, CAEEL11345	OFUSG17361.1.p1, OFUSG17361.2.p1, OFUSG17632.1.p1
OG0000777	CAEEL19291	OFUSG10317.1.p1, OFUSG10318.1.p1
OG0000778	CAEEL04054	OFUSG11453.1.p1
OG0000779	CAEEL01706	OFUSG07668.1.p1
OG0000780	CAEEL00305	OFUSG11326.1.p1, OFUSG16803.1.p1
OG0000780	CAEEL01193	OFUSG12906.1.p1
OG0000782	CAEEL01741	OFUSG08693.1.p1
OG0000783	CAEEL08524	OFUSG11333.1.p1
OG0000784	CAEEL19472	OFUSG06112.1.p1, OFUSG01425.1.p1, OFUSG01425.2.p1, OFUSG13540.1.p1
OG0000786	CAEEL06097	OFUSG15626.2.p1, OFUSG15626.1.p1, OFUSG08760.1.p1
OG0000787	CAEEL10362	OFUSG11014.1.p1
OG0000788	CAEEL04328, CAEEL04329, CAEEL04327	OFUSG00699.1.p1
OG0000788	CAEEL01175	OFUSG19658.1.p1
OG0000789	CAEEL01716	OFUSG24790.1.p1
OG0000791	CAEEL09121	OFUSG04398.4.p1, OFUSG04398.3.p1, OFUSG04398.2.p1, OFUSG04398.5.p1, OFUSG04398.1.p1
OG0000792	CAEEL06858, CAEEL06859	OFUSG22559.1.p1
OG0000793	CAEEL00246	OFUSG09289.1.p1
OG0000794	CAEEL14272, CAEEL13170	OFUSG08224.1.p1, OFUSG08224.2.p1
OG0000796	CAEEL18138	OFUSG14797.1.p1, OFUSG14797.2.p1, OFUSG14797.3.p1
OG0000797	CAEEL11404	OFUSG10229.1.p1
OG0000798	CAEEL08562, CAEEL08561	OFUSG02728.2.p1, OFUSG02728.5.p1, OFUSG02728.1.p1, OFUSG02728.3.p1, OFUSG02728.4.p1
OG0000800	CAEEL15658, CAEEL15660, CAEEL15659, CAEEL15657, CAEEL15661, CAEEL04883, CAEEL16200, CAEEL16199, CAEEL13121, CAEEL11360, CAEEL11396	OFUSG22750.1.p1, OFUSG06584.1.p1
OG0000801	CAEEL00950	OFUSG04291.1.p1, OFUSG04291.2.p1
OG0000803	CAEEL18447	OFUSG07577.1.p1, OFUSG07578.2.p1, OFUSG07578.4.p1, OFUSG07578.1.p1, OFUSG07578.3.p1
OG0000809	CAEEL06250	OFUSG17351.1.p1, OFUSG17351.2.p1
OG0000810	CAEEL00977	OFUSG13316.1.p1
OG0000814	CAEEL07659, CAEEL07658	OFUSG25287.1.p1, OFUSG25288.1.p1, OFUSG25696.1.p1, OFUSG25695.1.p1
OG0000814	CAEEL11834, CAEEL05113	OFUSG20971.1.p1
OG0000817	CAEEL08608	OFUSG23697.1.p1, OFUSG18100.1.p1
OG0000817	CAEEL09272	OFUSG04259.1.p1
OG0000818	CAEEL08212	OFUSG10058.1.p1, OFUSG10058.3.p1, OFUSG10058.2.p1
OG0000819	CAEEL09262	OFUSG22242.1.p1
OG0000826	CAEEL04414	OFUSG20773.1.p1, OFUSG20775.1.p1
OG0000828	CAEEL01170	OFUSG16610.1.p1
OG0000828	CAEEL14806	OFUSG14927.1.p1
OG0000833	CAEEL05439	OFUSG12738.1.p1
OG0000834	CAEEL00925, CAEEL00924	OFUSG04057.5.p1, OFUSG04057.2.p1, OFUSG04057.3.p1, OFUSG04057.1.p1, OFUSG04057.4.p1
OG0000836	CAEEL01665	OFUSG04483.1.p1
OG0000837	CAEEL19270, CAEEL07955	OFUSG01836.1.p1, OFUSG01837.1.p1, OFUSG13636.1.p1, OFUSG01835.1.p1
OG0000838	CAEEL20556	OFUSG26011.1.p1, OFUSG26011.2.p1
OG0000842	CAEEL11884	OFUSG17660.1.p1
OG0000844	CAEEL04872, CAEEL18631, CAEEL05964, CAEEL05848	OFUSG21494.2.p1, OFUSG21494.1.p1
OG0000847	CAEEL04304, CAEEL04305, CAEEL19991	OFUSG15294.1.p1
OG0000847	CAEEL07299	OFUSG24225.1.p1, OFUSG24225.2.p1
OG0000848	CAEEL08378	OFUSG03989.1.p1, OFUSG03989.2.p1
OG0000849	CAEEL04333	OFUSG09067.1.p1
OG0000850	CAEEL14176, CAEEL17117, CAEEL14155, CAEEL14177, CAEEL04935	OFUSG12712.1.p1, OFUSG06085.1.p1
OG0000851	CAEEL08745	OFUSG02239.1.p1, OFUSG02239.2.p1
OG0000852	CAEEL08255	OFUSG09153.1.p1, OFUSG09153.2.p1, OFUSG04815.3.p1, OFUSG04815.2.p1, OFUSG04815.1.p1
OG0000853	CAEEL12245	OFUSG07723.1.p1
OG0000854	CAEEL01395	OFUSG16270.1.p1
OG0000854	CAEEL03021	OFUSG10592.2.p1, OFUSG10592.1.p1, OFUSG25461.1.p1, OFUSG16035.1.p1, OFUSG16036.1.p1
OG0000856	CAEEL00189, CAEEL08452, CAEEL13523	OFUSG19294.1.p1, OFUSG19295.1.p1
OG0000857	CAEEL04547	OFUSG01227.1.p1
OG0000858	CAEEL16889, CAEEL11559, CAEEL11560, CAEEL11558	OFUSG19534.1.p1, OFUSG19534.2.p1
OG0000860	CAEEL09321, CAEEL18240	OFUSG07489.1.p1, OFUSG07489.2.p1
OG0000863	CAEEL06033, CAEEL00018, CAEEL04473, CAEEL06248	OFUSG04268.1.p1, OFUSG04268.2.p1, OFUSG04258.1.p1, OFUSG17976.1.p1, OFUSG24572.1.p1, OFUSG19627.1.p1
OG0000869	CAEEL04762	OFUSG13203.1.p1, OFUSG01355.1.p1
OG0000869	CAEEL04725	OFUSG16947.1.p1
OG0000870	CAEEL05330	OFUSG02115.1.p1, OFUSG20438.1.p1
OG0000871	CAEEL00780	OFUSG00730.1.p1
OG0000871	CAEEL00781, CAEEL13789	OFUSG06537.1.p1
OG0000873	CAEEL01374	OFUSG09850.1.p1
OG0000874	CAEEL03105	OFUSG03220.1.p1, OFUSG08483.1.p1
OG0000875	CAEEL08184, CAEEL12416	OFUSG13364.1.p1, OFUSG16237.1.p1
OG0000876	CAEEL00773, CAEEL00774	OFUSG16334.1.p1
OG0000879	CAEEL07550	OFUSG04088.1.p1
OG0000888	CAEEL00418	OFUSG09295.1.p1
OG0000889	CAEEL09857, CAEEL09856	OFUSG12102.1.p1
OG0000893	CAEEL05208	OFUSG08896.1.p1, OFUSG08897.1.p1
OG0000896	CAEEL17889	OFUSG13178.1.p1
OG0000899	CAEEL06745	OFUSG02805.1.p1, OFUSG02805.2.p1
OG0000901	CAEEL11773, CAEEL11772, CAEEL18935, CAEEL00529, CAEEL19350, CAEEL12008, CAEEL00530, CAEEL00618, CAEEL00619, CAEEL00620, CAEEL01350, CAEEL15890, CAEEL15050, CAEEL10427, CAEEL14709, CAEEL01921, CAEEL09442, CAEEL00318, CAEEL20183, CAEEL19123, CAEEL20528	OFUSG19270.1.p1, OFUSG19269.1.p1, OFUSG19271.1.p1, OFUSG05816.1.p1, OFUSG21468.2.p1, OFUSG21468.1.p1, OFUSG08436.1.p1, OFUSG01325.1.p1, OFUSG00071.1.p1, OFUSG21247.1.p1, OFUSG14978.1.p1, OFUSG15707.1.p1, OFUSG15754.1.p1, OFUSG24151.1.p1, OFUSG22241.1.p1
OG0000904	CAEEL10501	OFUSG17921.1.p1
OG0000905	CAEEL09890	OFUSG01251.1.p1
OG0000908	CAEEL18895	OFUSG05748.2.p1, OFUSG05748.4.p1, OFUSG05748.1.p1, OFUSG05748.3.p1
OG0000908	CAEEL09910	OFUSG10578.1.p1
OG0000909	CAEEL00966	OFUSG00497.1.p1
OG0000911	CAEEL15173, CAEEL12593	OFUSG13934.1.p1
OG0000912	CAEEL19084	OFUSG05604.1.p1
OG0000913	CAEEL03086, CAEEL09227, CAEEL01751, CAEEL17909, CAEEL04783, CAEEL08435	OFUSG03065.4.p1, OFUSG03065.3.p1, OFUSG03065.1.p1, OFUSG03065.2.p1, OFUSG03065.5.p1
OG0000914	CAEEL08534, CAEEL08535	OFUSG18797.2.p1, OFUSG18797.1.p1
OG0000915	CAEEL11744	OFUSG06406.1.p1, OFUSG06406.2.p1
OG0000921	CAEEL05986	OFUSG26697.1.p1
OG0000923	CAEEL01410	OFUSG04091.1.p1
OG0000923	CAEEL00580	OFUSG16107.1.p1
OG0000925	CAEEL01239, CAEEL01153, CAEEL00968, CAEEL00439, CAEEL07058	OFUSG21493.1.p1
OG0000927	CAEEL20274	OFUSG26854.1.p1
OG0000928	CAEEL00085	OFUSG08901.1.p1
OG0000929	CAEEL02357	OFUSG01637.1.p1, OFUSG01585.1.p1
OG0000931	CAEEL20467	OFUSG05884.5.p1, OFUSG05884.3.p1, OFUSG05884.4.p1, OFUSG05884.2.p1, OFUSG05884.1.p1
OG0000932	CAEEL07026, CAEEL07025	OFUSG22611.1.p1, OFUSG22610.1.p1
OG0000933	CAEEL13637	OFUSG11577.2.p1, OFUSG11577.1.p1
OG0000934	CAEEL20095, CAEEL02005	OFUSG01031.1.p1
OG0000934	CAEEL18567	OFUSG08244.1.p1
OG0000935	CAEEL10988, CAEEL18743	OFUSG16551.1.p1
OG0000944	CAEEL08647, CAEEL08646	OFUSG02142.1.p1, OFUSG02142.4.p1, OFUSG02142.2.p1, OFUSG02142.3.p1
OG0000945	CAEEL00537	OFUSG22805.2.p1, OFUSG22805.1.p1, OFUSG24268.1.p1
OG0000947	CAEEL07660	OFUSG17100.1.p1
OG0000949	CAEEL02872	OFUSG01898.1.p1
OG0000949	CAEEL06438	OFUSG21190.1.p1, OFUSG20002.1.p1
OG0000950	CAEEL06912	OFUSG23770.1.p1
OG0000951	CAEEL00056	OFUSG09305.1.p1
OG0000954	CAEEL05990	OFUSG16223.1.p1, OFUSG04263.1.p1
OG0000955	CAEEL05680, CAEEL05073	OFUSG21035.1.p1
OG0000955	CAEEL01495	OFUSG02908.1.p1
OG0000957	CAEEL00119	OFUSG09505.1.p1, OFUSG09505.2.p1
OG0000960	CAEEL00749	OFUSG05056.1.p1
OG0000963	CAEEL02132	OFUSG18073.1.p1
OG0000963	CAEEL19266, CAEEL06520, CAEEL01905, CAEEL10906	OFUSG26256.1.p1
OG0000965	CAEEL09524	OFUSG10177.1.p1
OG0000965	CAEEL02685	OFUSG05283.1.p1
OG0000967	CAEEL09409	OFUSG03652.1.p1, OFUSG18109.1.p1
OG0000969	CAEEL17140, CAEEL19686	OFUSG16049.1.p1, OFUSG16049.2.p1
OG0000970	CAEEL12249	OFUSG24111.1.p1
OG0000971	CAEEL15021	OFUSG15923.1.p1
OG0000972	CAEEL01404, CAEEL10528	OFUSG22434.1.p1
OG0000974	CAEEL05136, CAEEL05137	OFUSG00334.1.p1, OFUSG00864.1.p1, OFUSG12017.1.p1
OG0000976	CAEEL12118	OFUSG10263.2.p1, OFUSG10263.1.p1, OFUSG10262.1.p1, OFUSG10264.2.p1, OFUSG10264.1.p1, OFUSG18417.2.p1, OFUSG18417.1.p1, OFUSG03178.1.p1, OFUSG03178.2.p1
OG0000977	CAEEL07521	OFUSG22964.1.p1, OFUSG25208.1.p1, OFUSG13628.1.p1, OFUSG06856.1.p1, OFUSG16299.1.p1, OFUSG16299.2.p1
OG0000979	CAEEL17012, CAEEL08335, CAEEL08336, CAEEL08175, CAEEL06649	OFUSG20447.2.p1, OFUSG20447.1.p1
OG0000982	CAEEL00871	OFUSG16732.3.p1, OFUSG16732.2.p1, OFUSG16732.1.p1, OFUSG16732.4.p1, OFUSG16732.5.p1
OG0000984	CAEEL00142	OFUSG19991.1.p1
OG0000984	CAEEL07596, CAEEL10900	OFUSG25577.1.p1
OG0000985	CAEEL11989	OFUSG11040.1.p1
OG0000986	CAEEL10478, CAEEL10407, CAEEL10408, CAEEL19984	OFUSG09980.1.p1
OG0000987	CAEEL18448	OFUSG21084.2.p1, OFUSG21084.1.p1
OG0000988	CAEEL12259, CAEEL12260, CAEEL05294	OFUSG21531.1.p1
OG0000992	CAEEL04373	OFUSG18155.1.p1, OFUSG18156.1.p1
OG0000994	CAEEL01877	OFUSG05737.1.p1
OG0000994	CAEEL05339, CAEEL08529	OFUSG19359.1.p1
OG0000995	CAEEL01961	OFUSG10864.1.p1, OFUSG10864.2.p1, OFUSG10864.3.p1
OG0000998	CAEEL11817	OFUSG00656.2.p1, OFUSG00656.1.p1
OG0000998	CAEEL01310	OFUSG15459.1.p1
OG0000999	CAEEL12779, CAEEL06159	OFUSG04563.2.p1, OFUSG04563.1.p1, OFUSG00108.1.p1
OG0001001	CAEEL19402, CAEEL20405, CAEEL20234, CAEEL19403	OFUSG14675.1.p1
OG0001002	CAEEL07056, CAEEL14828, CAEEL19782, CAEEL15732	OFUSG15973.1.p1, OFUSG16764.2.p1, OFUSG16764.1.p1
OG0001004	CAEEL04943	OFUSG26573.1.p1, OFUSG26573.2.p1
OG0001005	CAEEL01384	OFUSG06280.1.p1
OG0001006	CAEEL08218, CAEEL00364, CAEEL10732	OFUSG07003.3.p1, OFUSG07003.1.p1, OFUSG07003.2.p1
OG0001008	CAEEL05786	OFUSG01608.1.p1
OG0001009	CAEEL20001	OFUSG10206.1.p1, OFUSG03141.1.p1, OFUSG10208.1.p1, OFUSG06733.1.p1, OFUSG03374.1.p1, OFUSG20943.1.p1, OFUSG10207.1.p1
OG0001013	CAEEL16541	OFUSG10524.1.p1
OG0001015	CAEEL16067, CAEEL20263	OFUSG17894.2.p1, OFUSG17894.1.p1, OFUSG17894.3.p1
OG0001016	CAEEL09313	OFUSG16289.1.p1
OG0001016	CAEEL08789, CAEEL11986	OFUSG17257.1.p1
OG0001018	CAEEL00183	OFUSG20884.1.p1
OG0001018	CAEEL07047	OFUSG25182.1.p1
OG0001019	CAEEL13859, CAEEL13858	OFUSG04762.2.p1, OFUSG04762.1.p1
OG0001022	CAEEL06254, CAEEL20075, CAEEL20775	OFUSG14113.1.p1
OG0001023	CAEEL05078	OFUSG01359.1.p1
OG0001024	CAEEL11623	OFUSG17905.1.p1
OG0001028	CAEEL01212	OFUSG08945.1.p1, OFUSG08945.2.p1
OG0001029	CAEEL01262	OFUSG23212.2.p1, OFUSG23212.1.p1
OG0001030	CAEEL11812	OFUSG09158.1.p1, OFUSG11700.1.p1
OG0001031	CAEEL12448	OFUSG10916.2.p1, OFUSG10916.3.p1, OFUSG10916.1.p1, OFUSG10915.1.p1
OG0001032	CAEEL20070, CAEEL15717	OFUSG05074.1.p1, OFUSG07488.1.p1, OFUSG07488.2.p1
OG0001033	CAEEL10717	OFUSG07728.1.p1, OFUSG07728.2.p1
OG0001034	CAEEL07054, CAEEL07055	OFUSG04414.1.p1
OG0001035	CAEEL07768	OFUSG03089.1.p1, OFUSG24618.1.p1
OG0001036	CAEEL18611	OFUSG23486.1.p1
OG0001038	CAEEL20450	OFUSG06632.3.p1, OFUSG06632.1.p1, OFUSG06632.2.p1, OFUSG06632.4.p1
OG0001039	CAEEL08415	OFUSG22530.1.p1
OG0001039	CAEEL10624	OFUSG18772.1.p1
OG0001042	CAEEL09943	OFUSG18717.1.p1, OFUSG18717.2.p1
OG0001044	CAEEL20285	OFUSG09207.1.p1
OG0001046	CAEEL19183	OFUSG10400.1.p1
OG0001050	CAEEL14076, CAEEL15706	OFUSG06846.1.p1, OFUSG09204.1.p1, OFUSG19968.1.p1, OFUSG09691.1.p1
OG0001052	CAEEL09647	OFUSG10259.2.p1, OFUSG10259.1.p1
OG0001053	CAEEL07572	OFUSG16393.1.p1
OG0001053	CAEEL09742	OFUSG18424.1.p1
OG0001054	CAEEL05567	OFUSG22682.1.p1
OG0001058	CAEEL19015	OFUSG09700.3.p1, OFUSG09700.1.p1, OFUSG09700.2.p1
OG0001059	CAEEL00192	OFUSG12920.1.p1, OFUSG12926.1.p1
OG0001060	CAEEL15786	OFUSG03037.1.p1
OG0001062	CAEEL08101	OFUSG17199.1.p1, OFUSG17199.2.p1
OG0001063	CAEEL15713, CAEEL15714	OFUSG11469.1.p1
OG0001063	CAEEL08167	OFUSG25069.1.p1, OFUSG10508.1.p1, OFUSG10508.2.p1, OFUSG22067.1.p1, OFUSG12529.1.p1, OFUSG11466.1.p1, OFUSG25070.1.p1, OFUSG12080.1.p1
OG0001064	CAEEL17997, CAEEL05359, CAEEL16315, CAEEL04825, CAEEL15110, CAEEL20751	OFUSG12141.1.p1
OG0001065	CAEEL00960, CAEEL15059	OFUSG19171.2.p1, OFUSG19171.1.p1, OFUSG05697.1.p1, OFUSG05698.1.p1, OFUSG11303.1.p1
OG0001066	CAEEL12576	OFUSG05685.1.p1
OG0001072	CAEEL08406	OFUSG14989.1.p1, OFUSG14989.2.p1
OG0001075	CAEEL11648, CAEEL18873	OFUSG21504.2.p1, OFUSG21504.3.p1, OFUSG21504.1.p1, OFUSG21503.2.p1, OFUSG21503.1.p1
OG0001076	CAEEL07541	OFUSG03330.1.p1
OG0001077	CAEEL18659	OFUSG04424.1.p1
OG0001078	CAEEL19295	OFUSG07195.2.p1, OFUSG07195.1.p1, OFUSG07195.3.p1
OG0001079	CAEEL10503	OFUSG06804.1.p1
OG0001080	CAEEL08359	OFUSG16677.1.p1
OG0001082	CAEEL19080, CAEEL19079, CAEEL09741	OFUSG04037.1.p1
OG0001083	CAEEL06682	OFUSG06289.3.p1, OFUSG06289.2.p1, OFUSG06289.4.p1, OFUSG06289.1.p1, OFUSG06289.5.p1
OG0001084	CAEEL01831	OFUSG00659.1.p1, OFUSG00659.2.p1
OG0001085	CAEEL09995, CAEEL09996	OFUSG06361.1.p1
OG0001086	CAEEL07731	OFUSG12287.2.p1, OFUSG12287.1.p1
OG0001091	CAEEL07358	OFUSG17661.2.p1, OFUSG17661.1.p1
OG0001092	CAEEL07387	OFUSG02473.1.p1
OG0001093	CAEEL00637	OFUSG16311.1.p1
OG0001094	CAEEL13053, CAEEL13054	OFUSG12462.1.p1
OG0001095	CAEEL07595	OFUSG13749.1.p1, OFUSG13749.3.p1, OFUSG13749.2.p1
OG0001096	CAEEL04621, CAEEL17752	OFUSG26093.1.p1, OFUSG14723.1.p1, OFUSG14723.2.p1, OFUSG26692.2.p1, OFUSG26692.1.p1
OG0001098	CAEEL04192	OFUSG13278.1.p1, OFUSG03892.1.p1, OFUSG22995.1.p1, OFUSG22999.1.p1, OFUSG23013.1.p1, OFUSG23017.1.p1, OFUSG22998.1.p1, OFUSG22994.1.p1, OFUSG23016.1.p1, OFUSG23012.1.p1, OFUSG12817.1.p1, OFUSG13303.1.p1, OFUSG15464.1.p1, OFUSG07741.1.p1, OFUSG13117.1.p1
OG0001102	CAEEL08853	OFUSG12472.1.p1, OFUSG11952.1.p1, OFUSG11951.2.p1, OFUSG11951.1.p1
OG0001103	CAEEL18815	OFUSG17037.1.p1, OFUSG17037.3.p1, OFUSG17037.2.p1, OFUSG17037.4.p1
OG0001104	CAEEL09176, CAEEL09177	OFUSG23716.1.p1
OG0001104	CAEEL20081	OFUSG20028.1.p1, OFUSG23543.2.p1, OFUSG23543.1.p1
OG0001107	CAEEL18427	OFUSG24708.1.p1
OG0001108	CAEEL09307	OFUSG17063.1.p1, OFUSG24077.2.p1, OFUSG24077.1.p1
OG0001109	CAEEL14851, CAEEL20028, CAEEL14852, CAEEL14853, CAEEL13761, CAEEL14859, CAEEL09898, CAEEL19118	OFUSG13382.1.p1, OFUSG03479.1.p1, OFUSG03480.1.p1, OFUSG02782.1.p1, OFUSG02782.2.p1
OG0001111	CAEEL05876	OFUSG11298.1.p1
OG0001112	CAEEL19902	OFUSG13817.3.p1, OFUSG13817.1.p1, OFUSG13817.4.p1, OFUSG13817.2.p1, OFUSG13817.5.p1
OG0001113	CAEEL15158	OFUSG01933.1.p1
OG0001113	CAEEL01128	OFUSG14818.1.p1
OG0001114	CAEEL11582, CAEEL01758, CAEEL01759	OFUSG04229.1.p1
OG0001115	CAEEL02607	OFUSG04191.1.p1
OG0001116	CAEEL08324	OFUSG23347.1.p1, OFUSG23347.5.p1, OFUSG23347.2.p1, OFUSG23347.4.p1, OFUSG23347.3.p1
OG0001117	CAEEL08762	OFUSG16636.1.p1, OFUSG14207.1.p1
OG0001118	CAEEL18824	OFUSG08091.2.p1, OFUSG08091.5.p1, OFUSG08091.1.p1, OFUSG08091.4.p1, OFUSG08091.3.p1
OG0001119	CAEEL14710	OFUSG21187.2.p1, OFUSG21187.1.p1, OFUSG21187.3.p1, OFUSG21187.5.p1, OFUSG21187.4.p1
OG0001122	CAEEL18238	OFUSG14506.1.p1, OFUSG24260.1.p1
OG0001124	CAEEL08814	OFUSG10854.1.p1, OFUSG07596.1.p1
OG0001126	CAEEL04859	OFUSG24750.1.p1
OG0001130	CAEEL00232	OFUSG08598.1.p1
OG0001131	CAEEL14208	OFUSG21658.1.p1
OG0001132	CAEEL04290	OFUSG20144.1.p1
OG0001133	CAEEL11294	OFUSG21360.1.p1
OG0001135	CAEEL02069	OFUSG17785.1.p1, OFUSG02833.1.p1
OG0001136	CAEEL02001	OFUSG20143.1.p1, OFUSG20143.4.p1, OFUSG20143.3.p1, OFUSG20143.2.p1
OG0001137	CAEEL04790	OFUSG11347.1.p1
OG0001138	CAEEL07800, CAEEL07799	OFUSG13035.1.p1, OFUSG13035.2.p1
OG0001139	CAEEL06928, CAEEL15457	OFUSG26881.1.p1
OG0001140	CAEEL14389	OFUSG20072.1.p1, OFUSG00173.1.p1
OG0001141	CAEEL01107, CAEEL01106	OFUSG09098.2.p1, OFUSG09098.1.p1
OG0001142	CAEEL12657	OFUSG10654.1.p1
OG0001143	CAEEL01013	OFUSG16015.1.p1
OG0001155	CAEEL13066, CAEEL13586, CAEEL04642, CAEEL13526	OFUSG23517.1.p1
OG0001156	CAEEL20728	OFUSG03954.1.p1, OFUSG03954.2.p1, OFUSG03954.3.p1
OG0001158	CAEEL00147	OFUSG20905.2.p1, OFUSG20905.1.p1
OG0001159	CAEEL07987, CAEEL18966	OFUSG11338.1.p1, OFUSG20958.1.p1
OG0001160	CAEEL16381, CAEEL20121	OFUSG07954.1.p1
OG0001161	CAEEL00221	OFUSG16226.3.p1, OFUSG16226.2.p1, OFUSG16226.1.p1
OG0001162	CAEEL18096	OFUSG20181.1.p1
OG0001163	CAEEL11823, CAEEL14454, CAEEL17374	OFUSG11184.1.p1, OFUSG11184.2.p1
OG0001164	CAEEL07306	OFUSG24177.1.p1
OG0001165	CAEEL19696	OFUSG13166.1.p1
OG0001167	CAEEL04546	OFUSG21708.1.p1
OG0001168	CAEEL02000	OFUSG18913.1.p1
OG0001171	CAEEL20677	OFUSG16690.1.p1
OG0001172	CAEEL13596	OFUSG24342.1.p1
OG0001173	CAEEL15708	OFUSG04684.1.p1
OG0001173	CAEEL14248	OFUSG26111.1.p1
OG0001175	CAEEL15152, CAEEL14463, CAEEL15032, CAEEL15031, CAEEL06075, CAEEL10718	OFUSG26257.3.p1, OFUSG26257.2.p1, OFUSG26257.1.p1
