Orthogroup	CAEEL	AENJA_ok
OG0000412	CAEEL09909	AENJA_26231
OG0000412	CAEEL20650	AENJA_11362
OG0000413	CAEEL15525	AENJA_18235
OG0000413	CAEEL06206, CAEEL06205	AENJA_12102
OG0000419	CAEEL19090	AENJA_02942, AENJA_25245, AENJA_25372, AENJA_25244
OG0000424	CAEEL14391, CAEEL12816, CAEEL12859, CAEEL15190, CAEEL16002, CAEEL14301, CAEEL11422, CAEEL16478	AENJA_15205, AENJA_15202, AENJA_26752
OG0000425	CAEEL13865, CAEEL13864	AENJA_24235, AENJA_24238, AENJA_17525
OG0000426	CAEEL19943	AENJA_16516
OG0000426	CAEEL20473	AENJA_15654
OG0000427	CAEEL05100	AENJA_16219, AENJA_26175
OG0000429	CAEEL02588, CAEEL02589, CAEEL02587, CAEEL02586, CAEEL08573, CAEEL20624	AENJA_21410, AENJA_01381
OG0000430	CAEEL14592, CAEEL00514	AENJA_25178
OG0000431	CAEEL07320	AENJA_03019, AENJA_19097, AENJA_17426
OG0000432	CAEEL05840, CAEEL08239	AENJA_08549
OG0000433	CAEEL18122	AENJA_24860
OG0000433	CAEEL00915, CAEEL00914	AENJA_10323
OG0000435	CAEEL07610	AENJA_25030
OG0000436	CAEEL08451, CAEEL08483, CAEEL08086	AENJA_24307
OG0000441	CAEEL04949	AENJA_03374, AENJA_20191
OG0000442	CAEEL10760	AENJA_21364
OG0000443	CAEEL07750	AENJA_15885
OG0000444	CAEEL18555	AENJA_22469
OG0000446	CAEEL08845	AENJA_17227
OG0000446	CAEEL11745	AENJA_15743
OG0000447	CAEEL07754, CAEEL07753	AENJA_07978
OG0000449	CAEEL19368, CAEEL19369	AENJA_24406, AENJA_08516
OG0000450	CAEEL09221	AENJA_18743, AENJA_10311
OG0000456	CAEEL11325	AENJA_08005, AENJA_22512, AENJA_16637, AENJA_24362, AENJA_25638, AENJA_09375, AENJA_22513, AENJA_12549, AENJA_06840
OG0000461	CAEEL06628	AENJA_22982
OG0000461	CAEEL08066	AENJA_10288
OG0000463	CAEEL00961	AENJA_15755, AENJA_15574, AENJA_07031
OG0000467	CAEEL10426, CAEEL00823	AENJA_24285
OG0000468	CAEEL05744	AENJA_06943, AENJA_02883, AENJA_02878, AENJA_08672, AENJA_12636
OG0000469	CAEEL09645	AENJA_19006
OG0000470	CAEEL01892	AENJA_05899
OG0000470	CAEEL15886	AENJA_25964
OG0000472	CAEEL04041, CAEEL06168	AENJA_19704
OG0000474	CAEEL07643, CAEEL07642	AENJA_20251
OG0000476	CAEEL20693, CAEEL00887	AENJA_25489, AENJA_12956, AENJA_25847, AENJA_03795
OG0000476	CAEEL13996, CAEEL04770	AENJA_24295, AENJA_10203
OG0000476	CAEEL11253, CAEEL00175	AENJA_21455, AENJA_20022, AENJA_00742
OG0000477	CAEEL19743	AENJA_02796
OG0000478	CAEEL11281	AENJA_24353
OG0000479	CAEEL02339	AENJA_09588
OG0000479	CAEEL09202	AENJA_20878
OG0000480	CAEEL10994, CAEEL19312, CAEEL11292	AENJA_10027, AENJA_23584, AENJA_25610, AENJA_14480, AENJA_23244
OG0000481	CAEEL09089, CAEEL09097	AENJA_16592
OG0000481	CAEEL07158	AENJA_22951
OG0000481	CAEEL11815	AENJA_11417
OG0000482	CAEEL12763	AENJA_18772
OG0000482	CAEEL16609	AENJA_18773
OG0000485	CAEEL19088, CAEEL15576	AENJA_01157, AENJA_13767
OG0000486	CAEEL06528, CAEEL08508, CAEEL10686, CAEEL10332, CAEEL10336, CAEEL11227, CAEEL11225, CAEEL12738	AENJA_24911, AENJA_01412
OG0000487	CAEEL16728, CAEEL12342	AENJA_02732
OG0000488	CAEEL05865, CAEEL05866	AENJA_10931
OG0000490	CAEEL00687, CAEEL19730	AENJA_13962
OG0000495	CAEEL07186	AENJA_11256
OG0000497	CAEEL11475, CAEEL02002	AENJA_14446
OG0000497	CAEEL19219	AENJA_20917
OG0000503	CAEEL18781, CAEEL18780	AENJA_26692
OG0000503	CAEEL01216	AENJA_02664
OG0000506	CAEEL18864	AENJA_21734
OG0000508	CAEEL07260	AENJA_05447
OG0000510	CAEEL10925, CAEEL11992, CAEEL05859, CAEEL08413	AENJA_13229, AENJA_13230
OG0000513	CAEEL00380	AENJA_22025, AENJA_22031
OG0000514	CAEEL07294, CAEEL18391	AENJA_24585
OG0000519	CAEEL01270	AENJA_13197, AENJA_00264
OG0000520	CAEEL07490	AENJA_19532, AENJA_00693
OG0000521	CAEEL11532	AENJA_05432, AENJA_18426
OG0000521	CAEEL14050	AENJA_00888
OG0000523	CAEEL07536, CAEEL13092	AENJA_23211
OG0000524	CAEEL17529	AENJA_03124
OG0000525	CAEEL19149	AENJA_05189
OG0000525	CAEEL19113	AENJA_24865
OG0000528	CAEEL17966	AENJA_23565
OG0000530	CAEEL05713, CAEEL05714	AENJA_14711
OG0000532	CAEEL05864, CAEEL10521, CAEEL00080, CAEEL20665, CAEEL04618	AENJA_06922
OG0000534	CAEEL06960	AENJA_07190
OG0000535	CAEEL18521	AENJA_12925
OG0000537	CAEEL08509	AENJA_17430
OG0000538	CAEEL07439	AENJA_23758
OG0000542	CAEEL09055	AENJA_00918, AENJA_03212
OG0000542	CAEEL15478	AENJA_09124
OG0000545	CAEEL15746	AENJA_10948
OG0000545	CAEEL14386	AENJA_15907
OG0000548	CAEEL10591, CAEEL10590	AENJA_14730, AENJA_19997
OG0000549	CAEEL05133, CAEEL12072	AENJA_17344, AENJA_17342
OG0000549	CAEEL18719, CAEEL18720	AENJA_17318, AENJA_21943
OG0000550	CAEEL11841	AENJA_25194
OG0000551	CAEEL05226	AENJA_25358
OG0000560	CAEEL00689	AENJA_26784, AENJA_05002, AENJA_05259, AENJA_05258, AENJA_11328, AENJA_13330, AENJA_03885, AENJA_09501, AENJA_00484, AENJA_09500, AENJA_00930, AENJA_00927, AENJA_04993
OG0000561	CAEEL16454	AENJA_18412
OG0000562	CAEEL12354	AENJA_25856
OG0000563	CAEEL07864	AENJA_03438
OG0000566	CAEEL15091	AENJA_14810, AENJA_20531, AENJA_16653
OG0000569	CAEEL13456, CAEEL13683, CAEEL13676, CAEEL13675	AENJA_24688, AENJA_22569, AENJA_16744, AENJA_00319
OG0000572	CAEEL13663	AENJA_05866
OG0000572	CAEEL04776	AENJA_02750
OG0000573	CAEEL05940	AENJA_05835
OG0000573	CAEEL01355	AENJA_03220
OG0000574	CAEEL19269	AENJA_03681, AENJA_21909
OG0000574	CAEEL18789, CAEEL19638, CAEEL19639	AENJA_24754
OG0000575	CAEEL12522	AENJA_04710
OG0000576	CAEEL06802	AENJA_05569
OG0000578	CAEEL16491, CAEEL16492, CAEEL16490	AENJA_09428
OG0000579	CAEEL11246, CAEEL09670, CAEEL09822	AENJA_18819, AENJA_12593, AENJA_20737, AENJA_22778
OG0000580	CAEEL19061	AENJA_13580
OG0000580	CAEEL06306	AENJA_19255
OG0000581	CAEEL15703	AENJA_15347
OG0000581	CAEEL14055, CAEEL14054	AENJA_15345, AENJA_15344
OG0000582	CAEEL19553, CAEEL19552	AENJA_17591
OG0000583	CAEEL01762, CAEEL01763	AENJA_17607
OG0000584	CAEEL04633, CAEEL05854, CAEEL04153, CAEEL04154, CAEEL06443	AENJA_20506, AENJA_20503, AENJA_24610
OG0000586	CAEEL05852	AENJA_25809
OG0000588	CAEEL05897	AENJA_02286, AENJA_21633
OG0000589	CAEEL19870, CAEEL19442, CAEEL17146, CAEEL10281	AENJA_05016
OG0000590	CAEEL01780	AENJA_19774
OG0000591	CAEEL19878	AENJA_25061
OG0000591	CAEEL18367	AENJA_08335, AENJA_08330, AENJA_08329
OG0000592	CAEEL14862, CAEEL07829, CAEEL16963, CAEEL16245, CAEEL16244	AENJA_12392
OG0000592	CAEEL18530, CAEEL04398	AENJA_13611
OG0000593	CAEEL02027	AENJA_21036, AENJA_17174
OG0000594	CAEEL11331	AENJA_15216, AENJA_13904
OG0000597	CAEEL08741	AENJA_10748
OG0000602	CAEEL20599	AENJA_17434, AENJA_11021
OG0000603	CAEEL15474	AENJA_20949
OG0000604	CAEEL14390	AENJA_26538
OG0000608	CAEEL06882	AENJA_01735
OG0000609	CAEEL11904	AENJA_03157
OG0000611	CAEEL08225	AENJA_15613
OG0000611	CAEEL09831	AENJA_13627
OG0000612	CAEEL07651	AENJA_06346
OG0000614	CAEEL16724	AENJA_17421
OG0000615	CAEEL19705	AENJA_18501, AENJA_11134
OG0000617	CAEEL12168	AENJA_19025
OG0000618	CAEEL00836	AENJA_11959
OG0000619	CAEEL02635	AENJA_15723
OG0000623	CAEEL16178, CAEEL06411	AENJA_02871
OG0000623	CAEEL16276	AENJA_17960
OG0000624	CAEEL08547	AENJA_13893, AENJA_06380, AENJA_22597
OG0000625	CAEEL18539	AENJA_23811
OG0000626	CAEEL19740	AENJA_12652
OG0000627	CAEEL01126	AENJA_13466
OG0000636	CAEEL19659	AENJA_07463
OG0000637	CAEEL18181	AENJA_11572, AENJA_16161, AENJA_07771
OG0000639	CAEEL00195	AENJA_10965
OG0000639	CAEEL00077	AENJA_22126
OG0000645	CAEEL14093	AENJA_00673
OG0000645	CAEEL02916	AENJA_22405
OG0000646	CAEEL06213, CAEEL06212	AENJA_01294, AENJA_21315
OG0000647	CAEEL14095, CAEEL17996	AENJA_07172, AENJA_01826
OG0000648	CAEEL05737	AENJA_04823
OG0000649	CAEEL08770	AENJA_11680, AENJA_09384, AENJA_14703
OG0000651	CAEEL08479	AENJA_15937
OG0000652	CAEEL09392, CAEEL09393	AENJA_18507, AENJA_18509
OG0000653	CAEEL20136	AENJA_23630
OG0000654	CAEEL00509	AENJA_23986
OG0000656	CAEEL17700	AENJA_01575
OG0000657	CAEEL01693	AENJA_06847, AENJA_01439, AENJA_14948, AENJA_01442
OG0000660	CAEEL01886	AENJA_07533, AENJA_06621
OG0000662	CAEEL07265	AENJA_08142, AENJA_09173
OG0000662	CAEEL20546	AENJA_21495
OG0000663	CAEEL07269	AENJA_26290, AENJA_19588, AENJA_10413
OG0000664	CAEEL10897, CAEEL10896	AENJA_14841
OG0000664	CAEEL00118, CAEEL00117	AENJA_15036
OG0000665	CAEEL18458, CAEEL04875, CAEEL05353, CAEEL11596, CAEEL18744	AENJA_18167
OG0000666	CAEEL11143	AENJA_19016
OG0000670	CAEEL01804, CAEEL20294	AENJA_07203
OG0000671	CAEEL20492, CAEEL02522	AENJA_01967, AENJA_09440
OG0000672	CAEEL07948, CAEEL07943	AENJA_11032
OG0000672	CAEEL00089, CAEEL00988	AENJA_02173
OG0000674	CAEEL01995	AENJA_03705
OG0000676	CAEEL18677, CAEEL18678	AENJA_15570
OG0000678	CAEEL19275	AENJA_05842
OG0000680	CAEEL01896	AENJA_08373
OG0000681	CAEEL06701, CAEEL06700	AENJA_12150
OG0000682	CAEEL18765	AENJA_14433
OG0000683	CAEEL18608	AENJA_18458
OG0000683	CAEEL02948, CAEEL02946, CAEEL02945, CAEEL02947, CAEEL02944	AENJA_20329
OG0000684	CAEEL11185	AENJA_20633
OG0000690	CAEEL02355, CAEEL16430	AENJA_04544
OG0000691	CAEEL17188	AENJA_08029
OG0000692	CAEEL05111, CAEEL03292	AENJA_13840
OG0000692	CAEEL01603	AENJA_02403
OG0000693	CAEEL03253, CAEEL03254	AENJA_01709
OG0000694	CAEEL18784, CAEEL02081, CAEEL02961	AENJA_02666, AENJA_15805
OG0000696	CAEEL19612	AENJA_10033, AENJA_06971
OG0000697	CAEEL10883	AENJA_07893, AENJA_21762
OG0000700	CAEEL12398	AENJA_14030
OG0000702	CAEEL01313	AENJA_23407
OG0000703	CAEEL12761, CAEEL18049, CAEEL09236, CAEEL06037	AENJA_26449
OG0000708	CAEEL04786, CAEEL04785	AENJA_10491
OG0000708	CAEEL12722	AENJA_04787
OG0000709	CAEEL11350, CAEEL18734, CAEEL12228, CAEEL16334, CAEEL20586, CAEEL11767	AENJA_11142, AENJA_19288, AENJA_01143
OG0000710	CAEEL20648, CAEEL19117, CAEEL19785	AENJA_01828
OG0000711	CAEEL04946	AENJA_12494
OG0000711	CAEEL03027	AENJA_02057
OG0000712	CAEEL07921	AENJA_04728
OG0000713	CAEEL15727	AENJA_08677, AENJA_06149, AENJA_06146
OG0000715	CAEEL07310, CAEEL07309	AENJA_15913
OG0000717	CAEEL20044, CAEEL07958	AENJA_19227
OG0000718	CAEEL16052	AENJA_24056, AENJA_24052, AENJA_21088
OG0000720	CAEEL02341	AENJA_14612
OG0000721	CAEEL07780	AENJA_16007
OG0000722	CAEEL16439	AENJA_02846
OG0000724	CAEEL01191, CAEEL05666, CAEEL04724, CAEEL07268, CAEEL09317, CAEEL05086, CAEEL04722, CAEEL04707, CAEEL16432, CAEEL08216, CAEEL08788, CAEEL00782, CAEEL05700, CAEEL05106, CAEEL05163, CAEEL15997, CAEEL14388, CAEEL04425, CAEEL10300, CAEEL10254, CAEEL10375, CAEEL12178, CAEEL11651, CAEEL11581, CAEEL15115, CAEEL04753	AENJA_08671
OG0000726	CAEEL08988, CAEEL08987	AENJA_14697
OG0000730	CAEEL06720	AENJA_08838
OG0000730	CAEEL06574	AENJA_04711
OG0000731	CAEEL18982	AENJA_07204
OG0000732	CAEEL02711	AENJA_23886
OG0000732	CAEEL11771	AENJA_07798, AENJA_12389
OG0000733	CAEEL17006	AENJA_07801
OG0000734	CAEEL18835	AENJA_10770
OG0000735	CAEEL14834, CAEEL14835	AENJA_15834
OG0000736	CAEEL09174	AENJA_25876
OG0000740	CAEEL18076	AENJA_11591
OG0000740	CAEEL18356	AENJA_08856
OG0000742	CAEEL01786	AENJA_01899, AENJA_06055
OG0000744	CAEEL01254	AENJA_07063, AENJA_07064
OG0000745	CAEEL12683, CAEEL06489	AENJA_25526
OG0000747	CAEEL02279	AENJA_11144, AENJA_11146, AENJA_17531
OG0000749	CAEEL11624, CAEEL14107	AENJA_18432
OG0000751	CAEEL09020	AENJA_22604
OG0000752	CAEEL04370	AENJA_00591
OG0000753	CAEEL17415	AENJA_01120, AENJA_10740, AENJA_09401
OG0000755	CAEEL01302	AENJA_02216
OG0000757	CAEEL20030	AENJA_15686
OG0000757	CAEEL00176	AENJA_08837
OG0000759	CAEEL20475, CAEEL16710	AENJA_12039
OG0000760	CAEEL09851	AENJA_12920
OG0000761	CAEEL19698	AENJA_13286
OG0000762	CAEEL02671	AENJA_17187
OG0000763	CAEEL01521, CAEEL01520, CAEEL01519	AENJA_17341
OG0000765	CAEEL08924, CAEEL20292	AENJA_22260
OG0000765	CAEEL19163	AENJA_22263
OG0000766	CAEEL01660	AENJA_22560
OG0000767	CAEEL15327, CAEEL15326	AENJA_23872
OG0000774	CAEEL03062	AENJA_01594
OG0000774	CAEEL08377	AENJA_14294
OG0000774	CAEEL12020, CAEEL14163, CAEEL12021	AENJA_06861
OG0000775	CAEEL17384, CAEEL14551, CAEEL07888, CAEEL14550	AENJA_10969, AENJA_02685
OG0000775	CAEEL09740	AENJA_06104
OG0000776	CAEEL11265, CAEEL10969, CAEEL09271, CAEEL01206	AENJA_14162, AENJA_14158, AENJA_04150, AENJA_16571
OG0000777	CAEEL19291	AENJA_05898, AENJA_04500
OG0000778	CAEEL04054	AENJA_05941, AENJA_05940
OG0000780	CAEEL00305	AENJA_22246, AENJA_22232
OG0000780	CAEEL01193	AENJA_14707
OG0000782	CAEEL01741	AENJA_17040
OG0000783	CAEEL08524	AENJA_21563
OG0000786	CAEEL06097	AENJA_00262
OG0000787	CAEEL10362	AENJA_00390
OG0000788	CAEEL04328, CAEEL04329, CAEEL04327	AENJA_19776
OG0000788	CAEEL01175	AENJA_01187
OG0000791	CAEEL09121	AENJA_05472
OG0000792	CAEEL06858, CAEEL06859	AENJA_22407
OG0000793	CAEEL00246	AENJA_10797
OG0000794	CAEEL14272, CAEEL13170	AENJA_11312
OG0000796	CAEEL18138	AENJA_11925
OG0000797	CAEEL11404	AENJA_12225
OG0000798	CAEEL08562, CAEEL08561	AENJA_13993
OG0000800	CAEEL15658, CAEEL15660, CAEEL15659, CAEEL15657, CAEEL15661, CAEEL04883, CAEEL16200, CAEEL16199, CAEEL13121, CAEEL11360, CAEEL11396	AENJA_25972, AENJA_17652
OG0000801	CAEEL00950	AENJA_25017, AENJA_26418, AENJA_18704
OG0000803	CAEEL18447	AENJA_21679
OG0000809	CAEEL06250	AENJA_02164
OG0000810	CAEEL00977	AENJA_24609
OG0000813	CAEEL10975, CAEEL10973, CAEEL01084	AENJA_23135
OG0000814	CAEEL11834, CAEEL05113	AENJA_03765, AENJA_17687, AENJA_08768, AENJA_09662
OG0000817	CAEEL08608	AENJA_07214, AENJA_18385
OG0000817	CAEEL09272	AENJA_14055
OG0000818	CAEEL08212	AENJA_07677
OG0000819	CAEEL09262	AENJA_10746
OG0000826	CAEEL04414	AENJA_02454, AENJA_02453, AENJA_09226, AENJA_02455
OG0000828	CAEEL14806	AENJA_21604, AENJA_14692
OG0000833	CAEEL05439	AENJA_13518
OG0000834	CAEEL00925	AENJA_26552
OG0000834	CAEEL00924	AENJA_15508
OG0000836	CAEEL01665	AENJA_19604
OG0000837	CAEEL19270, CAEEL07955	AENJA_25179
OG0000842	CAEEL11884	AENJA_00962
OG0000844	CAEEL04872, CAEEL18631, CAEEL05964, CAEEL05848	AENJA_02377
OG0000847	CAEEL07299	AENJA_05909
OG0000848	CAEEL08378	AENJA_26421
OG0000849	CAEEL04333	AENJA_06598, AENJA_17459
OG0000850	CAEEL14176, CAEEL17117, CAEEL14155, CAEEL14177, CAEEL04935	AENJA_06947, AENJA_14500, AENJA_26527
OG0000851	CAEEL08745	AENJA_07613
OG0000852	CAEEL08255	AENJA_20937, AENJA_07998
OG0000854	CAEEL01395, CAEEL03021	AENJA_12138
OG0000856	CAEEL00189, CAEEL08452, CAEEL13523	AENJA_15113
OG0000857	CAEEL04547	AENJA_19063
OG0000860	CAEEL09321, CAEEL18240	AENJA_22939
OG0000867	CAEEL18894, CAEEL20247	AENJA_06630, AENJA_23208, AENJA_23219, AENJA_00664, AENJA_12616, AENJA_23217
OG0000869	CAEEL04762	AENJA_03586
OG0000869	CAEEL04725	AENJA_21120
OG0000870	CAEEL05330	AENJA_04443, AENJA_12705
OG0000871	CAEEL00781, CAEEL13789	AENJA_06473
OG0000874	CAEEL03105	AENJA_07937
OG0000875	CAEEL08184, CAEEL12416	AENJA_08703, AENJA_14919
OG0000876	CAEEL00773, CAEEL00774	AENJA_08833
OG0000877	CAEEL14736, CAEEL01576, CAEEL15069, CAEEL11424, CAEEL10392, CAEEL07961, CAEEL14735, CAEEL06683, CAEEL20717	AENJA_09093
OG0000879	CAEEL07550	AENJA_14015
OG0000888	CAEEL00418	AENJA_02929
OG0000889	CAEEL07245	AENJA_05911
OG0000893	CAEEL05208	AENJA_16180
OG0000894	CAEEL20455	AENJA_16901
OG0000896	CAEEL17889	AENJA_17963, AENJA_20857
OG0000899	CAEEL06745	AENJA_23421
OG0000904	CAEEL10501	AENJA_02063
OG0000905	CAEEL09890	AENJA_03454, AENJA_12044
OG0000907	CAEEL04446, CAEEL04445	AENJA_06223
OG0000908	CAEEL09910	AENJA_26233
OG0000909	CAEEL00966	AENJA_07565
OG0000912	CAEEL19084	AENJA_11633
OG0000913	CAEEL03086, CAEEL09227, CAEEL01751, CAEEL17909, CAEEL04783, CAEEL08435	AENJA_11700
OG0000914	CAEEL08534, CAEEL08535	AENJA_16081
OG0000915	CAEEL11744	AENJA_20431
OG0000921	CAEEL05986	AENJA_00754
OG0000923	CAEEL01410	AENJA_09851
OG0000923	CAEEL00580	AENJA_01176
OG0000925	CAEEL01239, CAEEL01153, CAEEL00968, CAEEL00439, CAEEL07058	AENJA_14502
OG0000927	CAEEL20274	AENJA_05801
OG0000928	CAEEL00085	AENJA_06210
OG0000929	CAEEL02357	AENJA_06536, AENJA_18717, AENJA_24686
OG0000931	CAEEL20467	AENJA_08166
OG0000932	CAEEL07026, CAEEL07025	AENJA_10313
OG0000933	CAEEL13637	AENJA_12056, AENJA_25029
OG0000934	CAEEL20095, CAEEL02005	AENJA_23792
OG0000934	CAEEL18567	AENJA_12733
OG0000935	CAEEL10988, CAEEL18743	AENJA_14023
OG0000937	CAEEL03545, CAEEL08180, CAEEL18220, CAEEL02758	AENJA_19941
OG0000944	CAEEL08647, CAEEL08646	AENJA_00580
OG0000945	CAEEL00537	AENJA_21590
OG0000946	CAEEL05453	AENJA_01969
OG0000946	CAEEL04496, CAEEL05312, CAEEL10974	AENJA_09824, AENJA_13564
OG0000947	CAEEL07660	AENJA_22086, AENJA_02339
OG0000949	CAEEL02872, CAEEL06438	AENJA_04000
OG0000951	CAEEL00056	AENJA_21157
OG0000954	CAEEL05990	AENJA_24386, AENJA_08232
OG0000955	CAEEL05680, CAEEL05073	AENJA_09334, AENJA_19306
OG0000955	CAEEL01495	AENJA_22675
OG0000957	CAEEL00119	AENJA_17036
OG0000963	CAEEL02132	AENJA_01165
OG0000963	CAEEL19266, CAEEL06520, CAEEL01905, CAEEL10906	AENJA_06323
OG0000965	CAEEL09524	AENJA_05586, AENJA_05584
OG0000965	CAEEL02685	AENJA_02282
OG0000967	CAEEL09409	AENJA_02972, AENJA_22529
OG0000969	CAEEL17140, CAEEL19686	AENJA_03216
OG0000970	CAEEL12249	AENJA_03395
OG0000974	CAEEL05136, CAEEL05137	AENJA_05735, AENJA_05736
OG0000976	CAEEL12118	AENJA_07785, AENJA_07786, AENJA_07780, AENJA_07163
OG0000977	CAEEL07521	AENJA_08030, AENJA_16263, AENJA_11682
OG0000978	CAEEL10436, CAEEL10678, CAEEL04915	AENJA_08414
OG0000979	CAEEL17012, CAEEL08335, CAEEL08336, CAEEL08175, CAEEL06649	AENJA_08501
OG0000982	CAEEL00871	AENJA_09037
OG0000985	CAEEL11989	AENJA_14891
OG0000987	CAEEL18448	AENJA_23574
OG0000988	CAEEL12259, CAEEL12260, CAEEL05294	AENJA_25125
OG0000992	CAEEL04373	AENJA_01350
OG0000994	CAEEL01877	AENJA_20560
OG0000994	CAEEL05339, CAEEL08529	AENJA_02296
OG0000995	CAEEL01961	AENJA_04072, AENJA_08863
OG0000997	CAEEL06202	AENJA_06940, AENJA_16738
OG0000998	CAEEL11817	AENJA_06143
OG0000999	CAEEL12779, CAEEL06159	AENJA_06760, AENJA_09403, AENJA_26585, AENJA_10712
OG0001001	CAEEL19402, CAEEL20405, CAEEL20234, CAEEL19403	AENJA_07866
OG0001002	CAEEL07056, CAEEL14828, CAEEL19782, CAEEL15732	AENJA_11066
OG0001002	CAEEL18911	AENJA_21965
OG0001004	CAEEL04943	AENJA_16016
OG0001005	CAEEL01384	AENJA_17128
OG0001006	CAEEL08218, CAEEL00364, CAEEL10732	AENJA_21663
OG0001009	CAEEL20001	AENJA_24783
OG0001015	CAEEL16067	AENJA_05530
OG0001016	CAEEL09313	AENJA_26608
OG0001016	CAEEL08789, CAEEL11986	AENJA_01521, AENJA_14403, AENJA_15956
OG0001018	CAEEL00183	AENJA_02393
OG0001018	CAEEL07047	AENJA_12182
OG0001022	CAEEL06254, CAEEL20075, CAEEL20775	AENJA_03120
OG0001023	CAEEL05078	AENJA_03151
OG0001024	CAEEL11623	AENJA_11445
OG0001026	CAEEL04538	AENJA_16704
OG0001029	CAEEL01262	AENJA_24200
OG0001030	CAEEL11812	AENJA_12462
OG0001031	CAEEL12448	AENJA_12602
OG0001032	CAEEL20070, CAEEL15717	AENJA_13410
OG0001034	CAEEL07054, CAEEL07055	AENJA_14415
OG0001036	CAEEL18611	AENJA_19830
OG0001037	CAEEL18600	AENJA_20909
OG0001038	CAEEL20450	AENJA_24181
OG0001039	CAEEL10624	AENJA_24765
OG0001042	CAEEL09943	AENJA_00375
OG0001044	CAEEL20285	AENJA_13241, AENJA_00477
OG0001046	CAEEL19183	AENJA_01047
OG0001049	CAEEL05889	AENJA_02746
OG0001050	CAEEL14076, CAEEL15706	AENJA_03323
OG0001052	CAEEL10987	AENJA_03703
OG0001053	CAEEL07572	AENJA_05825
OG0001053	CAEEL09742	AENJA_03704
OG0001054	CAEEL05567	AENJA_04203
OG0001058	CAEEL19015	AENJA_07821
OG0001059	CAEEL00192	AENJA_08095
OG0001062	CAEEL08101	AENJA_10657
OG0001063	CAEEL15713, CAEEL15714	AENJA_15475
OG0001063	CAEEL08167	AENJA_15321, AENJA_15322
OG0001065	CAEEL00960, CAEEL15059	AENJA_26769
OG0001066	CAEEL12576	AENJA_19790
OG0001072	CAEEL08406	AENJA_00305, AENJA_03396
OG0001075	CAEEL11648, CAEEL18873	AENJA_00807
OG0001076	CAEEL07541	AENJA_01569
OG0001077	CAEEL18659	AENJA_02550
OG0001078	CAEEL19295	AENJA_10264
OG0001079	CAEEL10503	AENJA_03947
OG0001080	CAEEL08359	AENJA_04073
OG0001082	CAEEL19080, CAEEL19079, CAEEL09741	AENJA_06872, AENJA_21482
OG0001083	CAEEL06682	AENJA_07171
OG0001084	CAEEL01831	AENJA_07749
OG0001085	CAEEL09995, CAEEL09996	AENJA_09145, AENJA_21401
OG0001091	CAEEL07358	AENJA_17138
OG0001092	CAEEL07387	AENJA_18221
OG0001093	CAEEL00638	AENJA_19251
OG0001094	CAEEL13053, CAEEL13054	AENJA_23025
OG0001095	CAEEL07595	AENJA_25247
OG0001101	CAEEL11585	AENJA_00373
OG0001102	CAEEL08853	AENJA_00718, AENJA_03278, AENJA_21711
OG0001103	CAEEL18815	AENJA_01387
OG0001104	CAEEL09176, CAEEL09177	AENJA_02199
OG0001104	CAEEL20081	AENJA_18229
OG0001107	CAEEL18427	AENJA_04030
OG0001108	CAEEL09307	AENJA_12290, AENJA_04372, AENJA_04373
OG0001109	CAEEL14851, CAEEL20028, CAEEL14852, CAEEL14853, CAEEL13761, CAEEL14859, CAEEL09898, CAEEL19118	AENJA_05558
OG0001111	CAEEL13201	AENJA_26838
OG0001111	CAEEL05876	AENJA_22201
OG0001111	CAEEL00313, CAEEL02097, CAEEL12177, CAEEL04319	AENJA_21728
OG0001112	CAEEL19902	AENJA_06304
OG0001113	CAEEL15158	AENJA_06313
OG0001113	CAEEL01128, CAEEL07385	AENJA_23050
OG0001114	CAEEL11582, CAEEL01758, CAEEL01759	AENJA_07133, AENJA_13675
OG0001115	CAEEL02607	AENJA_18602
OG0001116	CAEEL04351	AENJA_25869, AENJA_12085
OG0001117	CAEEL08762	AENJA_24744, AENJA_23285, AENJA_19626, AENJA_12822
OG0001118	CAEEL18824	AENJA_12960
OG0001122	CAEEL18238	AENJA_15150
OG0001124	CAEEL08814	AENJA_16308
OG0001126	CAEEL04859	AENJA_21731, AENJA_21732
OG0001130	CAEEL00952, CAEEL00232	AENJA_00712
OG0001130	CAEEL00767	AENJA_24701
OG0001131	CAEEL14208	AENJA_00720
OG0001132	CAEEL04290	AENJA_02927
OG0001133	CAEEL11641	AENJA_13174
OG0001133	CAEEL11294	AENJA_07797
OG0001137	CAEEL04790	AENJA_06755
OG0001138	CAEEL07800, CAEEL07799	AENJA_08339
OG0001139	CAEEL06928, CAEEL15457	AENJA_20595, AENJA_19443
OG0001140	CAEEL14389	AENJA_10711
OG0001141	CAEEL01107, CAEEL01106	AENJA_11192
OG0001142	CAEEL12657	AENJA_13577
OG0001143	CAEEL01013	AENJA_25253, AENJA_15506
OG0001155	CAEEL13066, CAEEL13586, CAEEL04642, CAEEL13526	AENJA_01168
OG0001156	CAEEL20728	AENJA_01685
OG0001158	CAEEL00147	AENJA_02265, AENJA_16983
OG0001159	CAEEL07987, CAEEL18966	AENJA_02590
OG0001160	CAEEL16381, CAEEL20121	AENJA_03496, AENJA_15940
OG0001162	CAEEL18096	AENJA_09881, AENJA_03826
OG0001163	CAEEL11823, CAEEL14454, CAEEL17374	AENJA_23044, AENJA_20499, AENJA_04071, AENJA_23045
