Orthogroup	CAEEL	MOUSE
OG0000810	CAEEL00977	MOUSE33430, MOUSE33432, MOUSE33426, MOUSE33428, MOUSE33433, MOUSE33429, MOUSE33431, MOUSE33427
OG0000814	CAEEL07659, CAEEL07658	MOUSE02913, MOUSE02912
OG0000817	CAEEL08608	MOUSE06193, MOUSE02547, MOUSE02548, MOUSE00951, MOUSE00950
OG0000817	CAEEL09272	MOUSE35479, MOUSE35480
OG0000818	CAEEL08212	MOUSE44299, MOUSE38656, MOUSE38652, MOUSE06308, MOUSE06309, MOUSE06306, MOUSE06307, MOUSE44296, MOUSE44300, MOUSE38654, MOUSE44295, MOUSE44297, MOUSE44298, MOUSE44293, MOUSE44294
OG0000820	CAEEL08726	MOUSE14548, MOUSE14550, MOUSE14549, MOUSE14551
OG0000826	CAEEL04414	MOUSE28518, MOUSE28520, MOUSE28521, MOUSE28522, MOUSE28519
OG0000828	CAEEL01170	MOUSE52206, MOUSE19456, MOUSE19457
OG0000828	CAEEL14806	MOUSE37921, MOUSE37922, MOUSE37919
OG0000833	CAEEL05439	MOUSE47468, MOUSE50443, MOUSE50445, MOUSE33083, MOUSE33090, MOUSE33085, MOUSE33086, MOUSE33089, MOUSE33084, MOUSE33087, MOUSE33088, MOUSE33457, MOUSE33462, MOUSE33458, MOUSE33459, MOUSE33460, MOUSE33456, MOUSE33461
OG0000834	CAEEL00924	MOUSE05405
OG0000836	CAEEL01665	MOUSE51876, MOUSE51875, MOUSE51874
OG0000837	CAEEL19270, CAEEL07955	MOUSE52078, MOUSE52077, MOUSE52076, MOUSE29173
OG0000838	CAEEL12737	MOUSE01854
OG0000842	CAEEL11884	MOUSE49622, MOUSE49623, MOUSE09830, MOUSE23188, MOUSE23187, MOUSE18508, MOUSE23238, MOUSE05563, MOUSE39641
OG0000844	CAEEL04872, CAEEL18631, CAEEL05964, CAEEL05848	MOUSE34589, MOUSE34590, MOUSE34593, MOUSE34592, MOUSE15465, MOUSE15466, MOUSE15467, MOUSE39588, MOUSE39585, MOUSE39586, MOUSE39589, MOUSE39587, MOUSE39590, MOUSE39591, MOUSE34591, MOUSE39592
OG0000847	CAEEL07299	MOUSE15209, MOUSE46317, MOUSE46313, MOUSE46314, MOUSE46315, MOUSE46316
OG0000848	CAEEL08378	MOUSE51667, MOUSE19811, MOUSE19814, MOUSE19815, MOUSE19810, MOUSE51669
OG0000849	CAEEL04333	MOUSE31195, MOUSE31194, MOUSE31000, MOUSE30998, MOUSE30997, MOUSE45859, MOUSE45858
OG0000850	CAEEL14176, CAEEL17117, CAEEL14155, CAEEL14177, CAEEL04935	MOUSE33425, MOUSE33423, MOUSE33422, MOUSE33424, MOUSE20959
OG0000851	CAEEL08745	MOUSE21881, MOUSE21886, MOUSE21884, MOUSE21885, MOUSE21878, MOUSE21877, MOUSE21880, MOUSE21879, MOUSE21883, MOUSE21882, MOUSE48757, MOUSE48751, MOUSE48756, MOUSE48754, MOUSE48752, MOUSE48755
OG0000852	CAEEL08255	MOUSE30781, MOUSE30779, MOUSE30780, MOUSE28548, MOUSE28549, MOUSE28544, MOUSE28546, MOUSE28547, MOUSE28545, MOUSE19077
OG0000853	CAEEL12245	MOUSE07054, MOUSE07053, MOUSE42661
OG0000856	CAEEL00189, CAEEL08452, CAEEL13523	MOUSE20006, MOUSE20005, MOUSE20004, MOUSE20003
OG0000857	CAEEL04547	MOUSE44164, MOUSE44161, MOUSE44157, MOUSE17281, MOUSE17282, MOUSE17280, MOUSE41554, MOUSE41553, MOUSE45900, MOUSE45901, MOUSE45907, MOUSE45904, MOUSE45905, MOUSE45902, MOUSE45906
OG0000858	CAEEL16889, CAEEL11559, CAEEL11560, CAEEL11558	MOUSE39438
OG0000869	CAEEL04762	MOUSE35155, MOUSE35154, MOUSE35153, MOUSE35152
OG0000869	CAEEL04725	MOUSE13194, MOUSE13195
OG0000870	CAEEL05330	MOUSE06045
OG0000871	CAEEL00780	MOUSE53990, MOUSE53988, MOUSE53989
OG0000871	CAEEL00781, CAEEL13789	MOUSE21316, MOUSE21314
OG0000874	CAEEL03105	MOUSE30098, MOUSE30099, MOUSE30100, MOUSE30095, MOUSE30096, MOUSE30097, MOUSE45656, MOUSE45655, MOUSE45657
OG0000875	CAEEL08184, CAEEL12416	MOUSE13832, MOUSE13831, MOUSE13833, MOUSE13830, MOUSE13824, MOUSE13829, MOUSE13825, MOUSE13828, MOUSE22325, MOUSE22324, MOUSE22319, MOUSE22321
OG0000877	CAEEL14736, CAEEL01576, CAEEL15069, CAEEL11424, CAEEL10392, CAEEL07961, CAEEL14735, CAEEL06683, CAEEL20717	MOUSE01806, MOUSE01805
OG0000879	CAEEL07550	MOUSE14580, MOUSE14582, MOUSE47637, MOUSE00274, MOUSE21746, MOUSE15959, MOUSE15976, MOUSE15492
OG0000888	CAEEL00418	MOUSE30870, MOUSE01355
OG0000888	CAEEL02556, CAEEL08408	MOUSE30871
OG0000889	CAEEL09857, CAEEL09856	MOUSE18628
OG0000889	CAEEL07245	MOUSE26653, MOUSE46319, MOUSE46321, MOUSE04967, MOUSE15211, MOUSE15213, MOUSE15214, MOUSE15212, MOUSE46320, MOUSE26654
OG0000893	CAEEL05208	MOUSE52671, MOUSE52670, MOUSE52659, MOUSE52660, MOUSE52662, MOUSE39147, MOUSE39146, MOUSE39145, MOUSE39144, MOUSE52664, MOUSE52665, MOUSE52666, MOUSE52663
OG0000894	CAEEL20455	MOUSE14107, MOUSE14108, MOUSE38541, MOUSE38542
OG0000896	CAEEL17889	MOUSE47301, MOUSE47302, MOUSE47299, MOUSE47300
OG0000899	CAEEL06745	MOUSE45307
OG0000904	CAEEL10501	MOUSE41151, MOUSE41152, MOUSE41148, MOUSE03385, MOUSE03384, MOUSE54890, MOUSE00887, MOUSE00886, MOUSE36682, MOUSE36683, MOUSE36685, MOUSE36684
OG0000907	CAEEL04446, CAEEL04445	MOUSE09807, MOUSE09808, MOUSE09809
OG0000908	CAEEL18895	MOUSE21442, MOUSE48364
OG0000908	CAEEL09910	MOUSE11435
OG0000909	CAEEL00966	MOUSE16370, MOUSE18098, MOUSE18107, MOUSE18106, MOUSE18102, MOUSE18103, MOUSE18101, MOUSE18099, MOUSE18100, MOUSE18104, MOUSE16369, MOUSE16368, MOUSE16367, MOUSE34339, MOUSE34338
OG0000911	CAEEL15173	MOUSE22069, MOUSE22072
OG0000912	CAEEL19084	MOUSE40561, MOUSE40562, MOUSE21320, MOUSE21322, MOUSE21321, MOUSE09521, MOUSE35888, MOUSE35887
OG0000913	CAEEL03086, CAEEL09227, CAEEL01751, CAEEL17909, CAEEL04783, CAEEL08435	MOUSE03584, MOUSE03581, MOUSE03586, MOUSE03585, MOUSE50198, MOUSE50196, MOUSE50197
OG0000914	CAEEL08534, CAEEL08535	MOUSE54271, MOUSE17295, MOUSE17296, MOUSE35445, MOUSE35444, MOUSE35443
OG0000915	CAEEL11744	MOUSE54287, MOUSE54285, MOUSE54291, MOUSE54289, MOUSE54283, MOUSE54284, MOUSE54288, MOUSE54292, MOUSE54286, MOUSE02322, MOUSE40925, MOUSE40924, MOUSE23439, MOUSE23438, MOUSE23437, MOUSE23435, MOUSE02320, MOUSE02321
OG0000921	CAEEL05986	MOUSE04563, MOUSE23881, MOUSE23879, MOUSE23880, MOUSE23882
OG0000923	CAEEL01410	MOUSE26356, MOUSE26357
OG0000925	CAEEL00439, CAEEL07058	MOUSE10575, MOUSE10576
OG0000927	CAEEL20274	MOUSE29419, MOUSE29420, MOUSE54617, MOUSE54620, MOUSE54619, MOUSE04094, MOUSE54618, MOUSE04095
OG0000928	CAEEL00085	MOUSE48561, MOUSE48564, MOUSE48560, MOUSE48562, MOUSE48563, MOUSE51589, MOUSE51590, MOUSE51591
OG0000929	CAEEL02357	MOUSE38764, MOUSE00532, MOUSE34224, MOUSE34223
OG0000931	CAEEL20467	MOUSE27857
OG0000932	CAEEL07026, CAEEL07025	MOUSE37686, MOUSE37685, MOUSE37684, MOUSE38275, MOUSE38276, MOUSE38278, MOUSE38274, MOUSE38277
OG0000933	CAEEL13637	MOUSE28167, MOUSE20273, MOUSE20274, MOUSE07248, MOUSE07247
OG0000934	CAEEL20095, CAEEL02005	MOUSE12520, MOUSE12519, MOUSE12516, MOUSE12517, MOUSE00090
OG0000934	CAEEL18567	MOUSE17316, MOUSE42016, MOUSE42017
OG0000935	CAEEL10988, CAEEL18743	MOUSE47477, MOUSE47478, MOUSE44606, MOUSE44607, MOUSE30728, MOUSE30730, MOUSE30727, MOUSE30729, MOUSE14697, MOUSE14695, MOUSE14698, MOUSE14700, MOUSE14696, MOUSE14699, MOUSE26344, MOUSE26343
OG0000944	CAEEL08647, CAEEL08646	MOUSE12531, MOUSE12532, MOUSE48058, MOUSE54692
OG0000945	CAEEL00537	MOUSE11943, MOUSE49368, MOUSE10031
OG0000946	CAEEL05453	MOUSE45824, MOUSE23647, MOUSE01803, MOUSE01802
OG0000947	CAEEL07660	MOUSE26132, MOUSE53230, MOUSE53231, MOUSE53229, MOUSE53163, MOUSE53164
OG0000949	CAEEL02872, CAEEL06438	MOUSE25328, MOUSE25327, MOUSE17718, MOUSE16365, MOUSE16366, MOUSE34340, MOUSE18097
OG0000950	CAEEL06912	MOUSE05009, MOUSE05008, MOUSE05006, MOUSE05007, MOUSE05010, MOUSE37986, MOUSE37985, MOUSE37987, MOUSE37984
OG0000951	CAEEL00056	MOUSE30814, MOUSE30813, MOUSE30815, MOUSE44527, MOUSE44526
OG0000954	CAEEL05990	MOUSE22495, MOUSE22494, MOUSE22493, MOUSE17098, MOUSE17097, MOUSE17096, MOUSE16993, MOUSE16991, MOUSE16987, MOUSE16992, MOUSE16989, MOUSE16988, MOUSE16990
OG0000955	CAEEL05680, CAEEL05073	MOUSE32358
OG0000957	CAEEL00119	MOUSE01613, MOUSE01614, MOUSE13268, MOUSE13267, MOUSE13270
OG0000963	CAEEL19266, CAEEL06520, CAEEL01905, CAEEL10906	MOUSE10592, MOUSE33400
OG0000965	CAEEL09524	MOUSE36703, MOUSE36704, MOUSE36705
OG0000965	CAEEL02685	MOUSE12247, MOUSE12246
OG0000967	CAEEL09409	MOUSE47761, MOUSE47762, MOUSE47763, MOUSE20877
OG0000969	CAEEL17140, CAEEL19686	MOUSE35290
OG0000970	CAEEL12249	MOUSE15306, MOUSE15307
OG0000972	CAEEL01404, CAEEL10528	MOUSE50146, MOUSE50147, MOUSE37982, MOUSE37981, MOUSE37983
OG0000974	CAEEL05136, CAEEL05137	MOUSE03615, MOUSE03614, MOUSE03613
OG0000977	CAEEL07521	MOUSE24545, MOUSE24544, MOUSE24543
OG0000978	CAEEL10436, CAEEL10678, CAEEL04915	MOUSE10016, MOUSE10015, MOUSE28748, MOUSE28746, MOUSE28747, MOUSE49417, MOUSE49416, MOUSE27348, MOUSE27347, MOUSE27345, MOUSE27346, MOUSE27349
OG0000979	CAEEL17012, CAEEL08335, CAEEL08336, CAEEL08175, CAEEL06649	MOUSE21300, MOUSE21301, MOUSE21299
OG0000982	CAEEL00871	MOUSE01632, MOUSE01629, MOUSE01628, MOUSE01633, MOUSE30694, MOUSE30693, MOUSE30696, MOUSE30695, MOUSE20747, MOUSE20746
OG0000984	CAEEL00142	MOUSE10080, MOUSE10081
OG0000984	CAEEL07596, CAEEL10900	MOUSE23731
OG0000985	CAEEL11989	MOUSE21243, MOUSE21242, MOUSE21241, MOUSE48352, MOUSE48347, MOUSE48349, MOUSE48348, MOUSE48345, MOUSE48346, MOUSE48351, MOUSE48350, MOUSE19222, MOUSE19221, MOUSE19220, MOUSE19219
OG0000987	CAEEL18448	MOUSE08586, MOUSE08587, MOUSE14584, MOUSE01245, MOUSE08588
OG0000987	CAEEL15116	MOUSE08591, MOUSE01247
OG0000988	CAEEL12259, CAEEL12260, CAEEL05294	MOUSE25852, MOUSE25848, MOUSE25676, MOUSE25677, MOUSE25678, MOUSE25675, MOUSE25679
OG0000992	CAEEL04373	MOUSE06252
OG0000994	CAEEL01877	MOUSE32211, MOUSE32210
OG0000994	CAEEL05339, CAEEL08529	MOUSE40530, MOUSE40529
OG0000995	CAEEL01961	MOUSE14071, MOUSE14070, MOUSE14069, MOUSE14068, MOUSE14067, MOUSE14072, MOUSE03731, MOUSE03733, MOUSE03734, MOUSE03735, MOUSE03736, MOUSE03737, MOUSE03732
OG0000997	CAEEL06202	MOUSE45397, MOUSE45388
OG0000999	CAEEL12779, CAEEL06159	MOUSE44063, MOUSE19949, MOUSE14460
OG0001001	CAEEL19402, CAEEL20405, CAEEL20234, CAEEL19403	MOUSE04043
OG0001002	CAEEL07056, CAEEL14828, CAEEL19782, CAEEL15732	MOUSE52462, MOUSE52461, MOUSE52460, MOUSE43911, MOUSE43913, MOUSE43912, MOUSE27015, MOUSE27017, MOUSE27016
OG0001004	CAEEL04943	MOUSE32951, MOUSE33143, MOUSE01660, MOUSE01664, MOUSE01665, MOUSE01662, MOUSE01661, MOUSE32947, MOUSE32950, MOUSE32945, MOUSE32949, MOUSE32946, MOUSE32948, MOUSE33145, MOUSE33148, MOUSE33147, MOUSE33144, MOUSE33146, MOUSE33149, MOUSE48867, MOUSE48869, MOUSE48868, MOUSE48870, MOUSE48866
OG0001005	CAEEL01384	MOUSE11321, MOUSE11324, MOUSE11316, MOUSE11327, MOUSE11320, MOUSE11323, MOUSE11325, MOUSE11322, MOUSE11317, MOUSE11314, MOUSE11319, MOUSE11313, MOUSE11326
OG0001006	CAEEL08218, CAEEL00364, CAEEL10732	MOUSE46161, MOUSE46160, MOUSE46159
OG0001007	CAEEL19587	MOUSE23775, MOUSE23774, MOUSE25705, MOUSE25704
OG0001007	CAEEL00596	MOUSE26533, MOUSE26532
OG0001008	CAEEL05786	MOUSE44438
OG0001009	CAEEL20001	MOUSE00157, MOUSE34374, MOUSE00156
OG0001013	CAEEL16541	MOUSE44308, MOUSE41793, MOUSE15055, MOUSE44307, MOUSE06079
OG0001015	CAEEL16067, CAEEL20263	MOUSE14128, MOUSE14129, MOUSE14127, MOUSE02890, MOUSE02889, MOUSE38510, MOUSE38509, MOUSE38496, MOUSE38508, MOUSE38498, MOUSE38502, MOUSE38497, MOUSE38505
OG0001016	CAEEL09313	MOUSE18875, MOUSE18878, MOUSE18877
OG0001016	CAEEL08789, CAEEL11986	MOUSE39644, MOUSE39646, MOUSE39647
OG0001017	CAEEL09308	MOUSE35529, MOUSE35528, MOUSE14637, MOUSE14636, MOUSE14638
OG0001018	CAEEL00183	MOUSE16373
OG0001018	CAEEL07047	MOUSE08070, MOUSE08069, MOUSE08067
OG0001019	CAEEL13859, CAEEL13858	MOUSE13939, MOUSE28201, MOUSE28202
OG0001022	CAEEL06254, CAEEL20075, CAEEL20775	MOUSE38388, MOUSE38387, MOUSE38386, MOUSE12922, MOUSE12921, MOUSE12923, MOUSE55018, MOUSE55020, MOUSE55019
OG0001023	CAEEL05078	MOUSE41557, MOUSE45799, MOUSE45798, MOUSE17284, MOUSE17286, MOUSE17283, MOUSE17287, MOUSE44227, MOUSE44222, MOUSE44224, MOUSE44226, MOUSE44223, MOUSE44221, MOUSE44219, MOUSE44220, MOUSE44225, MOUSE45797, MOUSE41558, MOUSE41559
OG0001024	CAEEL11623	MOUSE31611, MOUSE31612, MOUSE31615, MOUSE31609, MOUSE31610, MOUSE37115, MOUSE19217, MOUSE01002, MOUSE54809, MOUSE54810
OG0001026	CAEEL04538	MOUSE04738
OG0001028	CAEEL01212	MOUSE01684, MOUSE01682, MOUSE01681, MOUSE51609, MOUSE51621, MOUSE51618, MOUSE51619, MOUSE51617, MOUSE51608, MOUSE51611, MOUSE51607, MOUSE51612, MOUSE51614, MOUSE51610, MOUSE51615, MOUSE32885, MOUSE32884, MOUSE32887, MOUSE32888, MOUSE32886, MOUSE20675, MOUSE20676
OG0001029	CAEEL01262	MOUSE48969, MOUSE12460, MOUSE12461
OG0001030	CAEEL11812	MOUSE01523, MOUSE01522, MOUSE01521, MOUSE44887, MOUSE08274, MOUSE08271, MOUSE08269, MOUSE28021, MOUSE28022
OG0001031	CAEEL12448	MOUSE21148
OG0001032	CAEEL20070, CAEEL15717	MOUSE31261, MOUSE31263, MOUSE18479, MOUSE18481, MOUSE18477, MOUSE18478, MOUSE25796, MOUSE25795, MOUSE25797, MOUSE25794, MOUSE25798
OG0001033	CAEEL11816	MOUSE40432
OG0001033	CAEEL10717	MOUSE33551, MOUSE33552, MOUSE32234, MOUSE01529
OG0001034	CAEEL07054, CAEEL07055	MOUSE05292, MOUSE05291, MOUSE05289, MOUSE05290, MOUSE05288, MOUSE25118, MOUSE25124, MOUSE25122, MOUSE25123, MOUSE25120, MOUSE25126, MOUSE25127, MOUSE25128, MOUSE25125
OG0001036	CAEEL18611	MOUSE28928, MOUSE28925, MOUSE09303
OG0001037	CAEEL18600	MOUSE25630, MOUSE25632, MOUSE25634, MOUSE25631, MOUSE25633, MOUSE31738, MOUSE31741, MOUSE31740, MOUSE31739, MOUSE31743, MOUSE31742
OG0001038	CAEEL20450	MOUSE21062, MOUSE36177, MOUSE36179, MOUSE36181, MOUSE36180, MOUSE36183, MOUSE03194, MOUSE21059, MOUSE21061, MOUSE21060, MOUSE36178
OG0001039	CAEEL08415	MOUSE15335, MOUSE15338, MOUSE15332, MOUSE15333, MOUSE15337, MOUSE15336, MOUSE15334
OG0001039	CAEEL10624	MOUSE01752, MOUSE01750, MOUSE01751, MOUSE40680, MOUSE40681, MOUSE15341, MOUSE15342, MOUSE15340, MOUSE15339
OG0001042	CAEEL09943	MOUSE55167, MOUSE55166, MOUSE55164, MOUSE55165, MOUSE40726, MOUSE40728, MOUSE40729, MOUSE40727, MOUSE41292, MOUSE41290, MOUSE41291
OG0001044	CAEEL20285	MOUSE19768, MOUSE19766, MOUSE19767, MOUSE19142, MOUSE19143, MOUSE19144
OG0001046	CAEEL19183	MOUSE16970, MOUSE14166, MOUSE14168, MOUSE14167, MOUSE14165, MOUSE44312, MOUSE44313, MOUSE06289, MOUSE06290, MOUSE06286, MOUSE06285, MOUSE06288
OG0001050	CAEEL14076, CAEEL15706	MOUSE18063, MOUSE44746, MOUSE44744, MOUSE30206, MOUSE30205
OG0001052	CAEEL10987	MOUSE36902, MOUSE36905
OG0001053	CAEEL07572	MOUSE05349, MOUSE39893, MOUSE02657, MOUSE26572
OG0001053	CAEEL09742	MOUSE09572, MOUSE31492, MOUSE00834, MOUSE00833
OG0001058	CAEEL19015	MOUSE24385, MOUSE24382, MOUSE24384, MOUSE24383, MOUSE50522, MOUSE50520, MOUSE50521
OG0001059	CAEEL00192	MOUSE06556, MOUSE06558, MOUSE06564, MOUSE06563, MOUSE06559, MOUSE19051, MOUSE06554
OG0001060	CAEEL15786	MOUSE14270
OG0001062	CAEEL08101	MOUSE47367, MOUSE31787, MOUSE31788, MOUSE31786
OG0001063	CAEEL15713, CAEEL15714	MOUSE18788, MOUSE18787, MOUSE18786, MOUSE18785
OG0001065	CAEEL00960, CAEEL15059	MOUSE24671
OG0001066	CAEEL12576	MOUSE31058, MOUSE31059, MOUSE52782, MOUSE52781, MOUSE31057
OG0001072	CAEEL08406	MOUSE37374, MOUSE37375
OG0001073	CAEEL07965	MOUSE12978
OG0001075	CAEEL11648, CAEEL18873	MOUSE09043, MOUSE06818, MOUSE06819, MOUSE06820, MOUSE06821
OG0001076	CAEEL07541	MOUSE38870, MOUSE38871, MOUSE38872, MOUSE36450, MOUSE36452, MOUSE36451, MOUSE36453, MOUSE36454
OG0001078	CAEEL19295	MOUSE14310, MOUSE17245, MOUSE27022, MOUSE27027
OG0001079	CAEEL10503	MOUSE31079, MOUSE31080, MOUSE39091, MOUSE53562
OG0001080	CAEEL08359	MOUSE50489, MOUSE50488, MOUSE50490
OG0001082	CAEEL19080, CAEEL19079, CAEEL09741	MOUSE22504, MOUSE22503, MOUSE14725, MOUSE14727, MOUSE14726
OG0001083	CAEEL06682	MOUSE40227, MOUSE00912, MOUSE00913, MOUSE19180, MOUSE12820, MOUSE12819, MOUSE40225, MOUSE40226
OG0001084	CAEEL01831	MOUSE06940
OG0001085	CAEEL09995, CAEEL09996	MOUSE40824, MOUSE40823, MOUSE40825, MOUSE40826, MOUSE40827, MOUSE40829, MOUSE53553, MOUSE53556, MOUSE53552, MOUSE53551, MOUSE39040, MOUSE39039, MOUSE18292, MOUSE18283, MOUSE18291, MOUSE18285
OG0001091	CAEEL07358	MOUSE05170
OG0001092	CAEEL07387	MOUSE30127, MOUSE29822, MOUSE30125, MOUSE30123, MOUSE30126, MOUSE30124
OG0001093	CAEEL00638, CAEEL00637	MOUSE38937, MOUSE38936, MOUSE38933, MOUSE38940, MOUSE38938, MOUSE38934, MOUSE38935, MOUSE38932, MOUSE38939, MOUSE05160, MOUSE05161
OG0001094	CAEEL13053, CAEEL13054	MOUSE28049, MOUSE07073, MOUSE20159, MOUSE20160, MOUSE07072
OG0001095	CAEEL07595	MOUSE02421, MOUSE02420, MOUSE23369, MOUSE23364, MOUSE02408, MOUSE02419, MOUSE02417, MOUSE02410, MOUSE02413, MOUSE02415, MOUSE02412, MOUSE02418, MOUSE23367, MOUSE23365, MOUSE23371, MOUSE23370, MOUSE23366, MOUSE53105, MOUSE53107, MOUSE53109, MOUSE53106, MOUSE53110, MOUSE23368
OG0001101	CAEEL11585	MOUSE41244, MOUSE41246, MOUSE41245, MOUSE41243
OG0001102	CAEEL08853	MOUSE28026, MOUSE28027, MOUSE20453
OG0001103	CAEEL18815	MOUSE00149, MOUSE29284, MOUSE29285
OG0001104	CAEEL09176, CAEEL09177	MOUSE27676, MOUSE27677
OG0001104	CAEEL20081	MOUSE13548, MOUSE34311, MOUSE34309, MOUSE34310, MOUSE35692, MOUSE35691, MOUSE35688, MOUSE35687, MOUSE35689, MOUSE35690
OG0001107	CAEEL18427	MOUSE54131, MOUSE54133, MOUSE54132, MOUSE54134, MOUSE47567, MOUSE47571, MOUSE47570, MOUSE47568, MOUSE47573, MOUSE47572, MOUSE47564, MOUSE47565, MOUSE47569, MOUSE47562, MOUSE47563, MOUSE47566
OG0001108	CAEEL09307	MOUSE14807, MOUSE38129, MOUSE38128
OG0001109	CAEEL14851, CAEEL20028, CAEEL14852, CAEEL14853, CAEEL13761, CAEEL14859, CAEEL09898, CAEEL19118	MOUSE06082, MOUSE06085, MOUSE06084, MOUSE36088, MOUSE36087
OG0001112	CAEEL19902	MOUSE23123, MOUSE23122, MOUSE13097
OG0001112	CAEEL19901	MOUSE54032
OG0001113	CAEEL15158	MOUSE14213
OG0001113	CAEEL01128	MOUSE00908, MOUSE52286
OG0001113	CAEEL07385	MOUSE06432
OG0001114	CAEEL11582, CAEEL01758, CAEEL01759	MOUSE51574, MOUSE51573, MOUSE30316, MOUSE30317, MOUSE51577, MOUSE51576, MOUSE51579, MOUSE51580, MOUSE51575, MOUSE51581, MOUSE30318
OG0001116	CAEEL08324	MOUSE05309
OG0001116	CAEEL04351	MOUSE05315
OG0001119	CAEEL14710	MOUSE52035
OG0001123	CAEEL02049	MOUSE52430
OG0001124	CAEEL08814	MOUSE06528, MOUSE06527, MOUSE06526, MOUSE53543, MOUSE53521, MOUSE53533, MOUSE53525, MOUSE53529, MOUSE53532, MOUSE53519, MOUSE53542, MOUSE53524, MOUSE53530, MOUSE53536, MOUSE53535, MOUSE53523, MOUSE53527, MOUSE53528, MOUSE53534, MOUSE53522, MOUSE53544, MOUSE53545, MOUSE53546
OG0001126	CAEEL04859	MOUSE04156, MOUSE04157
OG0001127	CAEEL07664	MOUSE49981
OG0001130	CAEEL00952, CAEEL00232	MOUSE23183, MOUSE23181, MOUSE23179, MOUSE23180, MOUSE23178, MOUSE23182
OG0001131	CAEEL14208	MOUSE03057, MOUSE03058, MOUSE03056, MOUSE03059, MOUSE03060, MOUSE03061, MOUSE08073, MOUSE08072
OG0001132	CAEEL04290	MOUSE20734, MOUSE20732, MOUSE20733
OG0001133	CAEEL11294	MOUSE10581
OG0001135	CAEEL02069	MOUSE05099, MOUSE17160, MOUSE17018
OG0001136	CAEEL02001	MOUSE01519, MOUSE01518, MOUSE19515, MOUSE51766, MOUSE51761, MOUSE51768, MOUSE51767, MOUSE51763, MOUSE51762
OG0001137	CAEEL04790	MOUSE43319, MOUSE43318, MOUSE43321, MOUSE43320, MOUSE43322, MOUSE18704, MOUSE18705, MOUSE18703
OG0001138	CAEEL07800, CAEEL07799	MOUSE02531, MOUSE02530, MOUSE08511, MOUSE08510, MOUSE08509, MOUSE52336, MOUSE52335
OG0001139	CAEEL07849	MOUSE47082
OG0001140	CAEEL14389	MOUSE13457, MOUSE34019, MOUSE06768, MOUSE06770, MOUSE34122
OG0001141	CAEEL01107, CAEEL01106	MOUSE09631, MOUSE09629, MOUSE09627, MOUSE09626, MOUSE09630, MOUSE09633, MOUSE09632, MOUSE09634, MOUSE09635, MOUSE09628, MOUSE09625, MOUSE09623, MOUSE09621, MOUSE09619, MOUSE09620, MOUSE09624, MOUSE09622
OG0001142	CAEEL12657	MOUSE20269, MOUSE20265, MOUSE20263, MOUSE20266, MOUSE20264
OG0001143	CAEEL01013	MOUSE39141, MOUSE51998, MOUSE51999, MOUSE52002, MOUSE52001, MOUSE52000, MOUSE51997, MOUSE32545, MOUSE30698, MOUSE30699
OG0001143	CAEEL14813	MOUSE32546
OG0001148	CAEEL13935, CAEEL13934, CAEEL01993	MOUSE53365
OG0001155	CAEEL13066, CAEEL13586, CAEEL04642, CAEEL13526	MOUSE09402
OG0001156	CAEEL20728	MOUSE14565, MOUSE14566, MOUSE14560, MOUSE14564, MOUSE14562, MOUSE14568, MOUSE14567, MOUSE14561, MOUSE14563, MOUSE05676, MOUSE05671, MOUSE05675, MOUSE05672, MOUSE06929, MOUSE06928, MOUSE06927, MOUSE06930, MOUSE06931, MOUSE23041, MOUSE23040
OG0001158	CAEEL00147	MOUSE28956, MOUSE28955, MOUSE28958, MOUSE28961, MOUSE28960, MOUSE28959, MOUSE19682, MOUSE19683, MOUSE28962
OG0001159	CAEEL07987, CAEEL18966	MOUSE06681, MOUSE06680, MOUSE13400, MOUSE13401
OG0001160	CAEEL16381, CAEEL20121	MOUSE01861, MOUSE01864, MOUSE01863, MOUSE01866, MOUSE01865, MOUSE01862, MOUSE31120, MOUSE31119, MOUSE31121, MOUSE01860
OG0001162	CAEEL18096	MOUSE51208, MOUSE51204, MOUSE51206, MOUSE51207, MOUSE51209, MOUSE51205, MOUSE16164, MOUSE16165
OG0001163	CAEEL11823, CAEEL14454, CAEEL17374	MOUSE21150, MOUSE21152, MOUSE21149, MOUSE21151
OG0001164	CAEEL07306	MOUSE35809, MOUSE35808, MOUSE35802, MOUSE35803, MOUSE35806, MOUSE35805, MOUSE35815, MOUSE35813, MOUSE35814, MOUSE35807, MOUSE35811, MOUSE35812
OG0001165	CAEEL19696	MOUSE21674
OG0001167	CAEEL04546	MOUSE08062, MOUSE08061, MOUSE08060, MOUSE08059, MOUSE08058, MOUSE03052
OG0001168	CAEEL02000	MOUSE28778, MOUSE28777, MOUSE49342
OG0001171	CAEEL20677	MOUSE21547, MOUSE21549, MOUSE21548, MOUSE00273, MOUSE00265, MOUSE00271, MOUSE00268, MOUSE00270, MOUSE00272, MOUSE28610, MOUSE28611
OG0001172	CAEEL13596	MOUSE18937, MOUSE22349
OG0001173	CAEEL15708	MOUSE30376
OG0001173	CAEEL14248	MOUSE30375
OG0001175	CAEEL15152, CAEEL14463, CAEEL15032, CAEEL15031, CAEEL06075, CAEEL10718	MOUSE27823, MOUSE47769, MOUSE47768, MOUSE27822
OG0001176	CAEEL11466	MOUSE48355, MOUSE48354, MOUSE11547, MOUSE11548
OG0001177	CAEEL08262, CAEEL18706	MOUSE18974, MOUSE02843
OG0001178	CAEEL05306	MOUSE33286, MOUSE33287
