Orthogroup	CAEEL	CAPO3
OG0000877	CAEEL14736, CAEEL01576, CAEEL15069, CAEEL11424, CAEEL10392, CAEEL07961, CAEEL14735, CAEEL06683, CAEEL20717	CAPO304981
OG0000879	CAEEL07550	CAPO301982
OG0000888	CAEEL00418	CAPO300320
OG0000888	CAEEL02556, CAEEL08408	CAPO301794
OG0000889	CAEEL09857, CAEEL09856	CAPO302257
OG0000889	CAEEL07245	CAPO304144
OG0000894	CAEEL20455	CAPO301227
OG0000896	CAEEL17889	CAPO301183
OG0000899	CAEEL06745	CAPO300655
OG0000904	CAEEL10501, CAEEL01214	CAPO305539
OG0000905	CAEEL09890	CAPO303384
OG0000909	CAEEL00966	CAPO300878
OG0000911	CAEEL15173, CAEEL12593	CAPO302608
OG0000912	CAEEL19084	CAPO302397
OG0000913	CAEEL03086, CAEEL09227, CAEEL01751, CAEEL17909, CAEEL04783, CAEEL08435	CAPO300255
OG0000914	CAEEL08534, CAEEL08535	CAPO302002
OG0000915	CAEEL11744	CAPO306555
OG0000921	CAEEL05986	CAPO306351
OG0000925	CAEEL01239, CAEEL01153, CAEEL00968, CAEEL00439, CAEEL07058	CAPO304563
OG0000928	CAEEL00085	CAPO301245
OG0000929	CAEEL02357	CAPO303494
OG0000931	CAEEL20467	CAPO303586
OG0000933	CAEEL13637	CAPO304170
OG0000934	CAEEL20095, CAEEL02005	CAPO306946, CAPO300619
OG0000934	CAEEL18567	CAPO304006
OG0000935	CAEEL10988, CAEEL18743	CAPO307401
OG0000944	CAEEL08647, CAEEL08646	CAPO304090
OG0000952	CAEEL07628	CAPO300179
OG0000954	CAEEL05990	CAPO303535, CAPO305800
OG0000955	CAEEL05680, CAEEL05073	CAPO303429
OG0000955	CAEEL01495	CAPO301514
OG0000960	CAEEL00749	CAPO304728
OG0000963	CAEEL02132, CAEEL19266, CAEEL06520, CAEEL01905, CAEEL10906	CAPO303990
OG0000965	CAEEL09524	CAPO305928
OG0000965	CAEEL02685	CAPO302148
OG0000967	CAEEL09409	CAPO304786
OG0000970	CAEEL12249	CAPO301807
OG0000974	CAEEL05136, CAEEL05137	CAPO306940
OG0000978	CAEEL10436, CAEEL10678, CAEEL04915	CAPO306307
OG0000982	CAEEL00871	CAPO301371
OG0000984	CAEEL00142, CAEEL20825, CAEEL07596, CAEEL10900	CAPO307940
OG0000985	CAEEL11989	CAPO304864
OG0000986	CAEEL10478, CAEEL10407, CAEEL10408, CAEEL19984	CAPO305058
OG0000987	CAEEL18448, CAEEL15116	CAPO306365
OG0000992	CAEEL04373	CAPO308244
OG0000994	CAEEL01877	CAPO306999
OG0000997	CAEEL07413, CAEEL06202	CAPO306501
OG0000998	CAEEL11817, CAEEL01310	CAPO302508
OG0000999	CAEEL12779, CAEEL06159	CAPO303484, CAPO302236
OG0001006	CAEEL08218, CAEEL00364, CAEEL10732	CAPO308145
OG0001009	CAEEL20001	CAPO305830
OG0001015	CAEEL16067, CAEEL20263	CAPO304771
OG0001016	CAEEL09313	CAPO300038
OG0001016	CAEEL08789, CAEEL11986	CAPO302596
OG0001018	CAEEL07047	CAPO305732
OG0001024	CAEEL11623	CAPO300862
OG0001033	CAEEL11816	CAPO303016
OG0001033	CAEEL10717	CAPO300376
OG0001036	CAEEL18611	CAPO301917
OG0001037	CAEEL18600	CAPO306107
OG0001039	CAEEL08415, CAEEL10624	CAPO305080
OG0001042	CAEEL09943	CAPO301530
OG0001044	CAEEL20285	CAPO305401, CAPO306389
OG0001046	CAEEL19183	CAPO304357
OG0001049	CAEEL05889	CAPO302273
OG0001050	CAEEL14076, CAEEL15706	CAPO306760
OG0001060	CAEEL15786	CAPO302777
OG0001062	CAEEL08101	CAPO300111
OG0001066	CAEEL12576	CAPO305156
OG0001072	CAEEL08406	CAPO304331
OG0001073	CAEEL07965	CAPO307880
OG0001075	CAEEL11648, CAEEL18873	CAPO305658
OG0001076	CAEEL07541	CAPO306580
OG0001078	CAEEL19295	CAPO300211
OG0001082	CAEEL19080, CAEEL19079, CAEEL09741	CAPO306944
OG0001083	CAEEL06682	CAPO306339
OG0001085	CAEEL09995, CAEEL09996	CAPO305936
OG0001092	CAEEL07387	CAPO303664
OG0001095	CAEEL07595	CAPO303064
OG0001096	CAEEL04621, CAEEL17752	CAPO308143
OG0001101	CAEEL11585	CAPO301529
OG0001104	CAEEL09176, CAEEL09177, CAEEL20081	CAPO306923
OG0001108	CAEEL09307	CAPO300863
OG0001113	CAEEL15158	CAPO302840
OG0001113	CAEEL07385	CAPO304589
OG0001114	CAEEL11582, CAEEL01758, CAEEL01759	CAPO301899, CAPO307418
OG0001116	CAEEL08324, CAEEL04351	CAPO303103
OG0001122	CAEEL18238	CAPO300744
OG0001123	CAEEL02049	CAPO307047
OG0001124	CAEEL08814	CAPO307326
OG0001126	CAEEL04859	CAPO301067
OG0001128	CAEEL12985	CAPO301710
OG0001130	CAEEL00952, CAEEL00232, CAEEL00767	CAPO305636
OG0001132	CAEEL04290	CAPO303538
OG0001133	CAEEL11294	CAPO300360
OG0001135	CAEEL02069	CAPO304787
OG0001136	CAEEL02001	CAPO301949
OG0001137	CAEEL04790	CAPO308164
OG0001139	CAEEL06928, CAEEL15457, CAEEL07849	CAPO300537
OG0001140	CAEEL14389	CAPO308326
OG0001142	CAEEL12657	CAPO304790
OG0001143	CAEEL01013, CAEEL14813	CAPO304300
OG0001148	CAEEL13935, CAEEL13934, CAEEL01993	CAPO302512
OG0001156	CAEEL20728	CAPO306962
OG0001158	CAEEL00147	CAPO302639
OG0001160	CAEEL16381, CAEEL20121	CAPO304743
OG0001161	CAEEL00221	CAPO301112
OG0001163	CAEEL11823, CAEEL14454, CAEEL17374	CAPO301684, CAPO307755, CAPO304886
OG0001164	CAEEL07306	CAPO304142
OG0001167	CAEEL04546	CAPO307849
OG0001168	CAEEL02000	CAPO301546
OG0001171	CAEEL20677	CAPO300420
OG0001175	CAEEL15152, CAEEL14463, CAEEL15032, CAEEL15031, CAEEL06075, CAEEL10718	CAPO304133, CAPO306812
OG0001179	CAEEL05526, CAEEL04874, CAEEL19023, CAEEL20466, CAEEL07894, CAEEL04651, CAEEL04194, CAEEL05939	CAPO300184
OG0001181	CAEEL08327	CAPO301983
OG0001183	CAEEL12969, CAEEL02318	CAPO301096
OG0001184	CAEEL20576	CAPO306392
OG0001185	CAEEL01778	CAPO303366
OG0001186	CAEEL00480	CAPO302303
OG0001186	CAEEL09703	CAPO307451
OG0001188	CAEEL14362	CAPO300558
OG0001197	CAEEL11613	CAPO306552
OG0001201	CAEEL02666	CAPO302220
OG0001208	CAEEL10574	CAPO300830
OG0001209	CAEEL00442	CAPO302948
OG0001210	CAEEL06396	CAPO300919
OG0001210	CAEEL06380	CAPO302732, CAPO302555
OG0001213	CAEEL01138, CAEEL01163, CAEEL01148, CAEEL04429, CAEEL04430	CAPO304729
OG0001214	CAEEL08401	CAPO304780
OG0001215	CAEEL11249	CAPO302583
OG0001216	CAEEL04644	CAPO307997
OG0001217	CAEEL08746	CAPO306810
OG0001218	CAEEL20131, CAEEL14167	CAPO307457
OG0001221	CAEEL13124, CAEEL16003	CAPO307765
OG0001226	CAEEL02848, CAEEL02849	CAPO307936
OG0001233	CAEEL03755, CAEEL04189	CAPO303591
OG0001234	CAEEL00806	CAPO307897
OG0001241	CAEEL01749	CAPO303368
OG0001241	CAEEL19375	CAPO304888
OG0001247	CAEEL10570	CAPO303193, CAPO307423
OG0001248	CAEEL08830, CAEEL08829	CAPO303079
OG0001249	CAEEL06406	CAPO306922
OG0001250	CAEEL18712	CAPO302323
OG0001251	CAEEL10205	CAPO304205
OG0001251	CAEEL01802	CAPO302019
OG0001252	CAEEL05030	CAPO300016
OG0001253	CAEEL10888, CAEEL10887	CAPO306156
OG0001254	CAEEL00935	CAPO307546
OG0001261	CAEEL07850	CAPO302839
OG0001262	CAEEL15249, CAEEL20627	CAPO301672
OG0001267	CAEEL14111	CAPO307578
OG0001268	CAEEL11342	CAPO303692
OG0001270	CAEEL01959	CAPO306176, CAPO306096, CAPO304393
OG0001271	CAEEL15623, CAEEL08717, CAEEL00634	CAPO302779
OG0001272	CAEEL07720, CAEEL09293	CAPO305566
OG0001274	CAEEL20835, CAEEL00917, CAEEL15316, CAEEL07981	CAPO308194
OG0001278	CAEEL20013, CAEEL10735	CAPO306229
OG0001279	CAEEL15321, CAEEL15322, CAEEL20353	CAPO302733
OG0001280	CAEEL00726	CAPO300326
OG0001281	CAEEL05459	CAPO304088, CAPO303543
OG0001282	CAEEL04296	CAPO303595
OG0001284	CAEEL08223, CAEEL01272	CAPO300970
OG0001285	CAEEL06501	CAPO304179
OG0001286	CAEEL20246	CAPO303892
OG0001287	CAEEL16475	CAPO302822, CAPO304538
OG0001288	CAEEL18355	CAPO302651
OG0001289	CAEEL10515	CAPO306071
OG0001290	CAEEL12280, CAEEL12279	CAPO302574
OG0001291	CAEEL11483	CAPO300695
OG0001294	CAEEL15893	CAPO304223
OG0001296	CAEEL00003, CAEEL14758	CAPO308260
OG0001297	CAEEL07748, CAEEL07749	CAPO305437
OG0001300	CAEEL09562	CAPO300154
OG0001302	CAEEL01736	CAPO302654
OG0001302	CAEEL12633	CAPO302215
OG0001304	CAEEL00728	CAPO302419
OG0001305	CAEEL19700	CAPO304488
OG0001310	CAEEL16286	CAPO305405
OG0001311	CAEEL07271, CAEEL18160	CAPO300585
OG0001318	CAEEL06153	CAPO306280
OG0001318	CAEEL02686	CAPO303315
OG0001319	CAEEL15967	CAPO304915
OG0001320	CAEEL02958	CAPO307498
OG0001320	CAEEL05842, CAEEL10256, CAEEL08614, CAEEL15241, CAEEL08907	CAPO304958
OG0001323	CAEEL15888	CAPO301735
OG0001325	CAEEL12980	CAPO304115
OG0001326	CAEEL18463, CAEEL12672, CAEEL19447	CAPO306149
OG0001327	CAEEL12070	CAPO305568
OG0001330	CAEEL07772	CAPO304584, CAPO300112
OG0001332	CAEEL00462, CAEEL09523, CAEEL04986, CAEEL04987	CAPO305487
OG0001333	CAEEL08384, CAEEL10397, CAEEL14152, CAEEL14148, CAEEL14153	CAPO301191, CAPO305523
OG0001341	CAEEL12273	CAPO307567, CAPO304661
OG0001344	CAEEL12166	CAPO308153
OG0001348	CAEEL20290	CAPO304908
OG0001350	CAEEL06068	CAPO305116, CAPO303054
OG0001350	CAEEL05555	CAPO307484
OG0001353	CAEEL07231	CAPO303379
OG0001355	CAEEL19633	CAPO307732
OG0001359	CAEEL02703	CAPO303726
OG0001361	CAEEL05269, CAEEL05268	CAPO306689
OG0001364	CAEEL04735, CAEEL16269	CAPO307249
OG0001366	CAEEL07140	CAPO302707
OG0001367	CAEEL16176	CAPO304628
OG0001370	CAEEL19838	CAPO305064
OG0001370	CAEEL11201	CAPO306956
OG0001372	CAEEL04824, CAEEL16917	CAPO301063
OG0001372	CAEEL01785	CAPO306529
OG0001373	CAEEL18831	CAPO300734
OG0001378	CAEEL01898	CAPO302717
OG0001379	CAEEL20800, CAEEL08440	CAPO304865
OG0001383	CAEEL18479	CAPO300442
OG0001386	CAEEL05969, CAEEL04816, CAEEL08301	CAPO305078
OG0001387	CAEEL01449, CAEEL05040, CAEEL06498	CAPO306110, CAPO306288
OG0001397	CAEEL05815, CAEEL05422, CAEEL16780, CAEEL05924, CAEEL19916, CAEEL19290	CAPO306119
OG0001399	CAEEL00972	CAPO304148
OG0001404	CAEEL15778	CAPO302450
OG0001405	CAEEL02297	CAPO302942
OG0001408	CAEEL19513	CAPO304468
OG0001409	CAEEL02567	CAPO300832
OG0001410	CAEEL16277	CAPO304381
OG0001411	CAEEL07405	CAPO301653
OG0001412	CAEEL09044	CAPO304843
OG0001413	CAEEL08368	CAPO300375
OG0001414	CAEEL13823	CAPO301834, CAPO303273
OG0001415	CAEEL07146	CAPO307087
OG0001416	CAEEL04141, CAEEL04142	CAPO300753
OG0001418	CAEEL11722	CAPO300218
OG0001422	CAEEL06778	CAPO308345, CAPO303120
OG0001423	CAEEL18493	CAPO301310
OG0001424	CAEEL12121, CAEEL10850	CAPO304776
OG0001425	CAEEL12269, CAEEL12270, CAEEL12268, CAEEL12271	CAPO302275, CAPO302850
OG0001426	CAEEL06005, CAEEL06004	CAPO302841
OG0001427	CAEEL17428, CAEEL17430, CAEEL05861	CAPO302723
OG0001428	CAEEL05279	CAPO303027
OG0001430	CAEEL14236	CAPO300562
OG0001431	CAEEL01932, CAEEL07478	CAPO308230
OG0001437	CAEEL01346, CAEEL01345	CAPO304955
OG0001440	CAEEL02919	CAPO305450
OG0001445	CAEEL10043, CAEEL10044	CAPO301958
OG0001446	CAEEL19040, CAEEL19039	CAPO304614
OG0001447	CAEEL00798, CAEEL00797	CAPO307093
OG0001449	CAEEL05216	CAPO306822
OG0001452	CAEEL02837	CAPO301933
OG0001454	CAEEL07513	CAPO303806
OG0001459	CAEEL20135, CAEEL17975	CAPO307035
OG0001460	CAEEL11040, CAEEL11027	CAPO300988
OG0001461	CAEEL09368	CAPO303413, CAPO301012, CAPO307458, CAPO305472
OG0001466	CAEEL00165	CAPO305831
OG0001467	CAEEL08160, CAEEL08126	CAPO304882
OG0001468	CAEEL01968, CAEEL01966, CAEEL01967	CAPO306475
OG0001469	CAEEL06147	CAPO306371
OG0001469	CAEEL06502	CAPO301724
OG0001472	CAEEL07491	CAPO300986
OG0001472	CAEEL02663	CAPO305311
OG0001473	CAEEL15728, CAEEL16017	CAPO304310
OG0001474	CAEEL07328	CAPO306191
OG0001475	CAEEL04851, CAEEL05298	CAPO305552
OG0001476	CAEEL00667	CAPO305062
OG0001478	CAEEL11433	CAPO303095, CAPO304965
OG0001479	CAEEL19245	CAPO306515
OG0001482	CAEEL08859	CAPO307610
OG0001484	CAEEL01076, CAEEL01075	CAPO301411
OG0001485	CAEEL01187	CAPO301954
OG0001486	CAEEL06199	CAPO302441
OG0001490	CAEEL16486	CAPO305433
OG0001492	CAEEL08792	CAPO305155
OG0001500	CAEEL11009	CAPO300054
OG0001501	CAEEL00103	CAPO305474
OG0001503	CAEEL04111	CAPO305666
OG0001503	CAEEL08520	CAPO307598
OG0001504	CAEEL05392	CAPO307661
OG0001505	CAEEL05185, CAEEL08607	CAPO301009
OG0001506	CAEEL04371	CAPO300953
OG0001507	CAEEL02101	CAPO304204
OG0001509	CAEEL18350	CAPO306441
OG0001512	CAEEL01283	CAPO301118
OG0001515	CAEEL07033	CAPO302117
OG0001516	CAEEL05831	CAPO300345
OG0001517	CAEEL20700	CAPO303690
OG0001520	CAEEL18914	CAPO304455
OG0001520	CAEEL04885	CAPO300134
OG0001522	CAEEL01881	CAPO303667
OG0001524	CAEEL20737, CAEEL20736	CAPO300996
OG0001524	CAEEL18987, CAEEL00715	CAPO308304
OG0001525	CAEEL08599, CAEEL13978, CAEEL13977, CAEEL14698, CAEEL08600	CAPO303907
OG0001526	CAEEL19873	CAPO305679
OG0001527	CAEEL08026	CAPO300128
OG0001527	CAEEL02029	CAPO307636
OG0001529	CAEEL01822, CAEEL20748, CAEEL06896	CAPO300593
OG0001530	CAEEL11993	CAPO302602
OG0001532	CAEEL04337, CAEEL04338, CAEEL04294, CAEEL05090	CAPO300282
OG0001533	CAEEL01048, CAEEL19033, CAEEL11552	CAPO306032
OG0001551	CAEEL13359	CAPO306604
OG0001553	CAEEL10745	CAPO308172
OG0001554	CAEEL00812	CAPO302370
OG0001557	CAEEL09508	CAPO304176
OG0001558	CAEEL05103, CAEEL08374	CAPO301132
OG0001559	CAEEL16062	CAPO301785
OG0001561	CAEEL11007	CAPO301999
OG0001567	CAEEL04524	CAPO300948
OG0001568	CAEEL15339	CAPO301468
OG0001570	CAEEL11034	CAPO303364
OG0001572	CAEEL00311	CAPO304756
OG0001576	CAEEL00120	CAPO306270
OG0001578	CAEEL10814, CAEEL18928	CAPO300715
OG0001580	CAEEL02579	CAPO307900
OG0001581	CAEEL09430, CAEEL13347, CAEEL16915	CAPO306056
OG0001582	CAEEL07031, CAEEL00211	CAPO307073
OG0001583	CAEEL19802	CAPO306289
OG0001584	CAEEL09032	CAPO301068
OG0001589	CAEEL18417	CAPO303301, CAPO304004
OG0001590	CAEEL15262, CAEEL15263	CAPO306067, CAPO302386
OG0001593	CAEEL02963, CAEEL13946	CAPO305942
OG0001594	CAEEL08545	CAPO307886
OG0001594	CAEEL04807, CAEEL04125	CAPO304243
OG0001597	CAEEL10283	CAPO302703
OG0001599	CAEEL20479, CAEEL04103, CAEEL04085, CAEEL04084, CAEEL04105, CAEEL20015, CAEEL16864, CAEEL14815	CAPO300887
OG0001603	CAEEL02713, CAEEL14729	CAPO306228
OG0001604	CAEEL04879	CAPO303898
OG0001605	CAEEL09382	CAPO307473
OG0001609	CAEEL19774	CAPO304683
OG0001609	CAEEL10790	CAPO302057
OG0001610	CAEEL02035, CAEEL20252	CAPO301483
OG0001611	CAEEL15699	CAPO305038
OG0001612	CAEEL02577	CAPO302202
OG0001614	CAEEL01012	CAPO303895
OG0001615	CAEEL04670	CAPO300749
OG0001617	CAEEL10780	CAPO302798
OG0001621	CAEEL08615	CAPO302875
OG0001628	CAEEL00193	CAPO300760, CAPO302722
OG0001635	CAEEL08024	CAPO300153, CAPO303711
OG0001638	CAEEL09133, CAEEL15796, CAEEL12088, CAEEL20172	CAPO303528
OG0001641	CAEEL00743	CAPO303281
OG0001643	CAEEL19599	CAPO306838
OG0001652	CAEEL15807, CAEEL15806	CAPO302838
OG0001653	CAEEL03026	CAPO305118
OG0001655	CAEEL05314	CAPO302812
OG0001657	CAEEL08928, CAEEL08927	CAPO304165, CAPO303952
OG0001661	CAEEL14147	CAPO302789
OG0001663	CAEEL10899, CAEEL10898	CAPO301057
OG0001664	CAEEL04260	CAPO303152
OG0001665	CAEEL07716	CAPO302331
OG0001672	CAEEL08375	CAPO301880
OG0001673	CAEEL17135, CAEEL17134, CAEEL17133, CAEEL02728	CAPO305520
OG0001675	CAEEL00808	CAPO307574
OG0001676	CAEEL01617	CAPO305992
OG0001677	CAEEL07860	CAPO307978
OG0001679	CAEEL18912	CAPO302155, CAPO305784
OG0001680	CAEEL15664	CAPO304235, CAPO304477
OG0001684	CAEEL08266, CAEEL08513, CAEEL19560	CAPO300563
OG0001685	CAEEL06629, CAEEL19461	CAPO307707
OG0001688	CAEEL06653	CAPO300133
OG0001690	CAEEL02923	CAPO304820
OG0001691	CAEEL09136, CAEEL09137	CAPO307420
OG0001706	CAEEL00824	CAPO301033
OG0001706	CAEEL07216	CAPO304012, CAPO300702
OG0001707	CAEEL18144, CAEEL17802	CAPO303836
OG0001709	CAEEL07646, CAEEL07650	CAPO304969
OG0001711	CAEEL15052	CAPO301872
OG0001713	CAEEL04261	CAPO308041
OG0001713	CAEEL02704	CAPO302278
OG0001714	CAEEL12772	CAPO306669
OG0001714	CAEEL15825	CAPO300188
OG0001718	CAEEL12769	CAPO300964, CAPO301559, CAPO301838
OG0001720	CAEEL07819	CAPO303957
OG0001721	CAEEL10104, CAEEL11043	CAPO302302
OG0001723	CAEEL19731	CAPO308089
OG0001724	CAEEL00188, CAEEL09412	CAPO306474, CAPO305584
OG0001727	CAEEL15354	CAPO301729
OG0001730	CAEEL04519	CAPO303469
OG0001732	CAEEL05337	CAPO304710
OG0001733	CAEEL11586	CAPO306615
OG0001734	CAEEL11289	CAPO306594
OG0001735	CAEEL08598	CAPO301389
OG0001736	CAEEL15724, CAEEL15493	CAPO300355
OG0001738	CAEEL09745, CAEEL09746	CAPO301655
OG0001739	CAEEL10953	CAPO304154
OG0001743	CAEEL18830	CAPO306128
OG0001746	CAEEL09374	CAPO306662
OG0001750	CAEEL08294	CAPO304954
OG0001755	CAEEL12716	CAPO300413
OG0001756	CAEEL02757	CAPO301153, CAPO306605
OG0001769	CAEEL12367	CAPO300754
OG0001770	CAEEL12180	CAPO304551
OG0001774	CAEEL20358, CAEEL07377, CAEEL01266	CAPO302411
OG0001775	CAEEL01757	CAPO300385, CAPO303998
OG0001778	CAEEL00649	CAPO303585
OG0001780	CAEEL12979	CAPO305647
OG0001781	CAEEL04378	CAPO304059
OG0001781	CAEEL06468	CAPO306335
OG0001783	CAEEL18807	CAPO302497
OG0001787	CAEEL07669	CAPO302384
OG0001792	CAEEL00159	CAPO302146
OG0001793	CAEEL07806	CAPO302934
OG0001797	CAEEL19521, CAEEL11913, CAEEL20460	CAPO305230
OG0001799	CAEEL07172	CAPO307439
OG0001800	CAEEL10920, CAEEL02655, CAEEL10124	CAPO302099, CAPO301494
OG0001805	CAEEL10422, CAEEL19401	CAPO300912, CAPO301307
OG0001807	CAEEL10807	CAPO305640
OG0001808	CAEEL18904	CAPO300354
OG0001809	CAEEL18133	CAPO307543
OG0001811	CAEEL12329	CAPO304043
OG0001814	CAEEL07743, CAEEL12567, CAEEL07744	CAPO305508
OG0001816	CAEEL05710	CAPO300431
OG0001818	CAEEL16460	CAPO302088
OG0001819	CAEEL08110	CAPO307172
OG0001820	CAEEL00161	CAPO300515
OG0001822	CAEEL14275, CAEEL14276	CAPO301119
OG0001825	CAEEL00895	CAPO306238
OG0001827	CAEEL12511	CAPO303060
OG0001828	CAEEL07411	CAPO305081
OG0001830	CAEEL00742	CAPO300316
OG0001831	CAEEL10161, CAEEL19257	CAPO306824
OG0001834	CAEEL08270	CAPO301512
OG0001846	CAEEL02581, CAEEL02580	CAPO307118
OG0001849	CAEEL04779, CAEEL07132	CAPO303014
OG0001850	CAEEL04901	CAPO301689
OG0001852	CAEEL10571	CAPO304588, CAPO303604, CAPO307101
OG0001857	CAEEL04635	CAPO306766
OG0001860	CAEEL19534	CAPO306960
OG0001861	CAEEL19043	CAPO306489
OG0001864	CAEEL00359	CAPO300448
OG0001865	CAEEL08319	CAPO301778
OG0001866	CAEEL12131	CAPO306683
OG0001867	CAEEL18932	CAPO305885, CAPO302026
OG0001870	CAEEL18619	CAPO303422
OG0001873	CAEEL14280, CAEEL14281, CAEEL15718	CAPO305494
OG0001875	CAEEL09917	CAPO300770
OG0001878	CAEEL07138	CAPO300594
OG0001879	CAEEL07021, CAEEL20524, CAEEL09154	CAPO302675
OG0001883	CAEEL19810	CAPO304395
OG0001886	CAEEL20566, CAEEL20351	CAPO301013
OG0001888	CAEEL18672, CAEEL11639	CAPO307373
OG0001895	CAEEL00352, CAEEL16104	CAPO300178
OG0001898	CAEEL15099	CAPO303887
OG0001900	CAEEL16160	CAPO306468, CAPO308362
OG0001901	CAEEL08532, CAEEL08531	CAPO302174
OG0001903	CAEEL12995	CAPO301651
OG0001913	CAEEL00139	CAPO308270
OG0001914	CAEEL15938	CAPO308187
OG0001915	CAEEL10189	CAPO305922
OG0001916	CAEEL14482, CAEEL16425, CAEEL07131	CAPO304398
OG0001917	CAEEL05323, CAEEL05320, CAEEL05322, CAEEL05321	CAPO303937
OG0001919	CAEEL18092	CAPO300799
OG0001923	CAEEL00866, CAEEL02499	CAPO300364
OG0001926	CAEEL05295	CAPO308203
OG0001928	CAEEL19148	CAPO303627
OG0001930	CAEEL01812	CAPO301567
OG0001932	CAEEL18548, CAEEL17132	CAPO304653
OG0001935	CAEEL01455	CAPO301339
OG0001939	CAEEL05317	CAPO304703
OG0001940	CAEEL08846	CAPO307447
OG0001945	CAEEL05071	CAPO302125, CAPO302413
OG0001947	CAEEL20697	CAPO306182
OG0001948	CAEEL15692	CAPO307548
OG0001949	CAEEL19721	CAPO303945
OG0001951	CAEEL08644, CAEEL02798	CAPO305792
OG0001953	CAEEL01457	CAPO306993
OG0001956	CAEEL07023	CAPO302405
OG0001961	CAEEL11703	CAPO301591
OG0001963	CAEEL09651	CAPO304559
OG0001964	CAEEL12015, CAEEL18880	CAPO306144
OG0001965	CAEEL15340	CAPO305377
OG0001966	CAEEL15352, CAEEL06723	CAPO308069
OG0001968	CAEEL10639	CAPO303436
OG0001969	CAEEL09244, CAEEL09472, CAEEL00361	CAPO301897
OG0001985	CAEEL08373, CAEEL02584, CAEEL02585	CAPO307425
OG0001988	CAEEL02095	CAPO301454
OG0001989	CAEEL20436	CAPO303699
OG0001992	CAEEL00543	CAPO301694
OG0001994	CAEEL19344, CAEEL02372	CAPO307422
OG0001998	CAEEL08296	CAPO304169, CAPO304168
OG0001999	CAEEL06715	CAPO303159
OG0002000	CAEEL08459	CAPO305912
OG0002001	CAEEL07856	CAPO301730, CAPO305766
OG0002003	CAEEL18663	CAPO306645
OG0002004	CAEEL08821, CAEEL14586, CAEEL09383, CAEEL11550	CAPO305661, CAPO300359
OG0002006	CAEEL16051, CAEEL18232	CAPO302881
OG0002008	CAEEL11706	CAPO308237
OG0002009	CAEEL18123, CAEEL18838, CAEEL10136, CAEEL10135, CAEEL10131, CAEEL08207	CAPO305521, CAPO304107
OG0002011	CAEEL06587, CAEEL01459	CAPO305222
OG0002015	CAEEL07232	CAPO304377
OG0002016	CAEEL10751	CAPO300736, CAPO303360
OG0002020	CAEEL20282	CAPO301809, CAPO306607
OG0002025	CAEEL01720	CAPO301502
OG0002026	CAEEL09267	CAPO307889, CAPO306582
OG0002027	CAEEL19841	CAPO307021
OG0002029	CAEEL13677, CAEEL13172, CAEEL13173, CAEEL06446, CAEEL19628	CAPO301097
OG0002031	CAEEL07288	CAPO300135
OG0002032	CAEEL15092	CAPO304689
OG0002042	CAEEL11958, CAEEL11961, CAEEL11957, CAEEL11960, CAEEL13817	CAPO300525
OG0002043	CAEEL01497	CAPO306649
OG0002058	CAEEL19167, CAEEL04214, CAEEL05165, CAEEL05708, CAEEL12727, CAEEL05570	CAPO300289
OG0002062	CAEEL01567	CAPO301382
OG0002063	CAEEL01336	CAPO302417
OG0002066	CAEEL04964	CAPO300576
OG0002067	CAEEL08430	CAPO302721
OG0002068	CAEEL15280	CAPO303650
OG0002073	CAEEL08416, CAEEL13072, CAEEL01141, CAEEL05593	CAPO302333
OG0002074	CAEEL18383	CAPO304152
OG0002076	CAEEL17850	CAPO303117
OG0002078	CAEEL04535	CAPO302217
OG0002079	CAEEL07901	CAPO302876, CAPO301402
OG0002080	CAEEL03246, CAEEL12691	CAPO307474, CAPO307552
OG0002081	CAEEL14941, CAEEL14928	CAPO300584
OG0002087	CAEEL07742	CAPO306536
OG0002093	CAEEL02211, CAEEL19978	CAPO304254
OG0002094	CAEEL11189, CAEEL11187, CAEEL11188, CAEEL10823	CAPO303399
OG0002097	CAEEL03161, CAEEL00098, CAEEL19231	CAPO302111
OG0002099	CAEEL05221	CAPO306675
OG0002101	CAEEL04990	CAPO307803
OG0002103	CAEEL16392, CAEEL16394	CAPO305235
OG0002106	CAEEL18235, CAEEL08825	CAPO300071
OG0002107	CAEEL07845	CAPO302852
OG0002108	CAEEL05450, CAEEL05957, CAEEL15378	CAPO303834
OG0002122	CAEEL09431	CAPO300191
OG0002123	CAEEL05315	CAPO303373
OG0002124	CAEEL05107	CAPO300980
OG0002131	CAEEL00336	CAPO302159
OG0002135	CAEEL01398, CAEEL15762	CAPO300616, CAPO300802
OG0002136	CAEEL12257	CAPO300292
OG0002144	CAEEL08787	CAPO308205
OG0002145	CAEEL00125	CAPO305963
OG0002146	CAEEL10604	CAPO303694
OG0002147	CAEEL05229	CAPO307247
OG0002148	CAEEL13205	CAPO301311
OG0002150	CAEEL15750, CAEEL00860	CAPO305991
OG0002151	CAEEL19229	CAPO300513
OG0002152	CAEEL00179	CAPO305214
OG0002156	CAEEL08424	CAPO307789
OG0002159	CAEEL05394	CAPO301618
OG0002160	CAEEL05075	CAPO306354
OG0002165	CAEEL07004, CAEEL04348, CAEEL13880	CAPO306860
OG0002166	CAEEL06693, CAEEL06692	CAPO300536
OG0002168	CAEEL06529	CAPO305846
OG0002169	CAEEL19452	CAPO305188, CAPO305186
OG0002170	CAEEL11886	CAPO306065
OG0002171	CAEEL09512, CAEEL09511	CAPO300657
