Orthogroup	CAEEL	HUMAN
OG0000777	CAEEL19291	HUMAN13333
OG0000778	CAEEL04054	HUMAN18394, HUMAN18393, HUMAN11998, HUMAN00345, HUMAN00344, HUMAN00118, HUMAN21684, HUMAN00117
OG0000779	CAEEL01706	HUMAN29418
OG0000780	CAEEL00305	HUMAN08674
OG0000780	CAEEL01193	HUMAN12283, HUMAN12282
OG0000782	CAEEL01741	HUMAN14354, HUMAN13919, HUMAN01526, HUMAN09694
OG0000784	CAEEL19472	HUMAN18358, HUMAN24114, HUMAN21806, HUMAN07657, HUMAN19259
OG0000787	CAEEL10362	HUMAN24287, HUMAN27681, HUMAN24285, HUMAN03250, HUMAN22686, HUMAN24286
OG0000788	CAEEL04328, CAEEL04329, CAEEL04327	HUMAN04411, HUMAN04410, HUMAN27018
OG0000788	CAEEL01175	HUMAN28674, HUMAN01749, HUMAN14357
OG0000791	CAEEL09121	HUMAN06331, HUMAN27291, HUMAN27292, HUMAN06332, HUMAN18232
OG0000792	CAEEL06858, CAEEL06859	HUMAN07120, HUMAN07119
OG0000793	CAEEL00246	HUMAN01813, HUMAN23530, HUMAN23529, HUMAN09808, HUMAN09807, HUMAN09806, HUMAN14239, HUMAN09819, HUMAN09820
OG0000794	CAEEL14272, CAEEL13170	HUMAN12200, HUMAN12197, HUMAN12195, HUMAN05033, HUMAN05029
OG0000797	CAEEL11404	HUMAN23752, HUMAN23754, HUMAN23003, HUMAN23004
OG0000798	CAEEL08562, CAEEL08561	HUMAN12996, HUMAN10260
OG0000801	CAEEL00950	HUMAN09761, HUMAN13969
OG0000803	CAEEL18447	HUMAN04198, HUMAN06177
OG0000809	CAEEL06250	HUMAN01052, HUMAN01051, HUMAN15029, HUMAN15032, HUMAN15033, HUMAN15030, HUMAN23557
OG0000809	CAEEL06532	HUMAN15031
OG0000810	CAEEL00977	HUMAN00991, HUMAN00992
OG0000814	CAEEL07659, CAEEL07658	HUMAN26312
OG0000817	CAEEL08608	HUMAN13385, HUMAN06596, HUMAN03169
OG0000817	CAEEL09272	HUMAN27263
OG0000818	CAEEL08212	HUMAN25966, HUMAN13463, HUMAN15929, HUMAN15930, HUMAN15928
OG0000820	CAEEL08726	HUMAN06271, HUMAN06272
OG0000826	CAEEL04414	HUMAN18961
OG0000828	CAEEL01170	HUMAN09906, HUMAN09908, HUMAN09907, HUMAN23682, HUMAN23683
OG0000828	CAEEL14806	HUMAN07354
OG0000833	CAEEL05439	HUMAN14526, HUMAN14694, HUMAN28569, HUMAN00981, HUMAN14527
OG0000834	CAEEL00924	HUMAN12572
OG0000836	CAEEL01665	HUMAN09550
OG0000837	CAEEL19270, CAEEL07955	HUMAN25283, HUMAN19289
OG0000838	CAEEL12737	HUMAN07011
OG0000842	CAEEL11884	HUMAN11438, HUMAN28733, HUMAN28739, HUMAN28726, HUMAN17591, HUMAN12703, HUMAN27200
OG0000844	CAEEL04872, CAEEL18631, CAEEL05964, CAEEL05848	HUMAN00341, HUMAN00340, HUMAN00339, HUMAN21889, HUMAN21890, HUMAN27161, HUMAN27162
OG0000847	CAEEL07299	HUMAN19801, HUMAN10864
OG0000848	CAEEL08378	HUMAN09682, HUMAN13934
OG0000849	CAEEL04333	HUMAN01370, HUMAN01371, HUMAN01454, HUMAN04171
OG0000850	CAEEL14176, CAEEL17117, CAEEL14155, CAEEL14177, CAEEL04935	HUMAN00998, HUMAN03431, HUMAN03430
OG0000851	CAEEL08745	HUMAN17389, HUMAN22898
OG0000852	CAEEL08255	HUMAN01598, HUMAN13870, HUMAN18978, HUMAN18977, HUMAN13869
OG0000853	CAEEL12245	HUMAN08276, HUMAN15868
OG0000856	CAEEL00189, CAEEL08452, CAEEL13523	HUMAN05021, HUMAN05020
OG0000857	CAEEL04547	HUMAN15999, HUMAN24948, HUMAN05809, HUMAN04190
OG0000858	CAEEL16889, CAEEL11559, CAEEL11560, CAEEL11558	HUMAN27046, HUMAN27045
OG0000869	CAEEL04762	HUMAN00016
OG0000869	CAEEL04725	HUMAN23280
OG0000870	CAEEL05330	HUMAN13265
OG0000871	CAEEL00780	HUMAN30324
OG0000871	CAEEL00781, CAEEL13789	HUMAN03633
OG0000872	CAEEL05833	HUMAN05054
OG0000874	CAEEL03105	HUMAN22955, HUMAN04088
OG0000875	CAEEL08184, CAEEL12416	HUMAN28345, HUMAN18108
OG0000876	CAEEL00773, CAEEL00774	HUMAN02798
OG0000877	CAEEL14736, CAEEL01576, CAEEL15069, CAEEL11424, CAEEL10392, CAEEL07961, CAEEL14735, CAEEL06683, CAEEL20717	HUMAN20047
OG0000879	CAEEL07550	HUMAN06283, HUMAN21911
OG0000880	CAEEL10369	HUMAN25037
OG0000882	CAEEL04669	HUMAN24492
OG0000888	CAEEL00418	HUMAN01523, HUMAN14144
OG0000888	CAEEL02556, CAEEL08408	HUMAN14143
OG0000889	CAEEL09857, CAEEL09856	HUMAN16803
OG0000889	CAEEL07245	HUMAN04560, HUMAN10862, HUMAN13087, HUMAN19799, HUMAN19800
OG0000893	CAEEL05208	HUMAN20939, HUMAN20942, HUMAN26905, HUMAN26904, HUMAN20941
OG0000894	CAEEL20455	HUMAN20156, HUMAN25909
OG0000896	CAEEL17889	HUMAN05088, HUMAN05089
OG0000904	CAEEL10501	HUMAN03047, HUMAN24362, HUMAN30132, HUMAN03200, HUMAN22497, HUMAN22498
OG0000907	CAEEL04446, CAEEL04445	HUMAN28917, HUMAN28918, HUMAN28916
OG0000908	CAEEL18895	HUMAN03690, HUMAN27510
OG0000908	CAEEL09910	HUMAN03117
OG0000909	CAEEL00966	HUMAN25146, HUMAN25145, HUMAN19496, HUMAN00496
OG0000911	CAEEL15173	HUMAN18001, HUMAN18002
OG0000912	CAEEL19084	HUMAN17095, HUMAN17096, HUMAN03635, HUMAN03636, HUMAN24298, HUMAN22119
OG0000913	CAEEL03086, CAEEL09227, CAEEL01751, CAEEL17909, CAEEL04783, CAEEL08435	HUMAN24104, HUMAN24103, HUMAN24106, HUMAN05337
OG0000914	CAEEL08534, CAEEL08535	HUMAN24959, HUMAN26794, HUMAN30514, HUMAN26792, HUMAN26791, HUMAN30512, HUMAN24958, HUMAN30513, HUMAN26793, HUMAN26790
OG0000915	CAEEL11744	HUMAN30522, HUMAN20445, HUMAN01514, HUMAN01508, HUMAN02420, HUMAN06732
OG0000921	CAEEL05986	HUMAN24453, HUMAN02198
OG0000923	CAEEL01410	HUMAN17831
OG0000925	CAEEL00439, CAEEL07058	HUMAN23362, HUMAN23363, HUMAN23364
OG0000927	CAEEL20274	HUMAN21812, HUMAN30637, HUMAN30636, HUMAN29567, HUMAN30015, HUMAN11917, HUMAN21813
OG0000928	CAEEL00085	HUMAN14950, HUMAN14947, HUMAN14948, HUMAN09734
OG0000929	CAEEL02357	HUMAN07498, HUMAN07497, HUMAN25465, HUMAN00572
OG0000931	CAEEL20467	HUMAN18621
OG0000932	CAEEL07026, CAEEL07025	HUMAN07156, HUMAN07155, HUMAN26747
OG0000933	CAEEL13637	HUMAN18787, HUMAN04834, HUMAN08387, HUMAN18788
OG0000934	CAEEL20095, CAEEL02005	HUMAN07465, HUMAN25721, HUMAN25723
OG0000934	CAEEL18567	HUMAN24974, HUMAN06158
OG0000935	CAEEL10988, CAEEL18743	HUMAN14530, HUMAN10106, HUMAN01617, HUMAN01618, HUMAN06391, HUMAN06392, HUMAN06390, HUMAN17822
OG0000944	CAEEL08647, CAEEL08646	HUMAN07470, HUMAN27468, HUMAN30061
OG0000945	CAEEL00537	HUMAN07967, HUMAN07969, HUMAN07968, HUMAN07970, HUMAN11233, HUMAN23148
OG0000946	CAEEL05453	HUMAN04147, HUMAN02309, HUMAN07074
OG0000947	CAEEL07660	HUMAN17713, HUMAN20687, HUMAN20621
OG0000949	CAEEL02872, CAEEL06438	HUMAN29456, HUMAN24815, HUMAN30599, HUMAN19495, HUMAN00495, HUMAN25148, HUMAN25147
OG0000950	CAEEL06912	HUMAN13056, HUMAN13055, HUMAN07390
OG0000951	CAEEL00056	HUMAN01583, HUMAN09204
OG0000952	CAEEL07628	HUMAN22571
OG0000954	CAEEL05990	HUMAN18210, HUMAN18209, HUMAN10206, HUMAN10205, HUMAN10272
OG0000955	CAEEL05680, CAEEL05073	HUMAN28653
OG0000955	CAEEL01495	HUMAN09438
OG0000957	CAEEL00119	HUMAN14343, HUMAN23229
OG0000963	CAEEL19266, CAEEL06520, CAEEL01905, CAEEL10906	HUMAN23351, HUMAN01011
OG0000965	CAEEL09524	HUMAN22507
OG0000965	CAEEL02685	HUMAN08123
OG0000967	CAEEL09409	HUMAN07448, HUMAN07447, HUMAN19350, HUMAN03396, HUMAN03397
OG0000969	CAEEL17140, CAEEL19686	HUMAN26507
OG0000970	CAEEL12249	HUMAN19711, HUMAN30698
OG0000972	CAEEL01404, CAEEL10528	HUMAN19914, HUMAN05358, HUMAN07389
OG0000974	CAEEL05136, CAEEL05137	HUMAN24126
OG0000978	CAEEL10436, CAEEL10678, CAEEL04915	HUMAN23161, HUMAN19104, HUMAN11274, HUMAN09230
OG0000979	CAEEL17012, CAEEL08335, CAEEL08336, CAEEL08175, CAEEL06649	HUMAN03626, HUMAN03625
OG0000982	CAEEL00871	HUMAN14333, HUMAN01637, HUMAN28757
OG0000984	CAEEL00142	HUMAN23607
OG0000985	CAEEL11989	HUMAN17532, HUMAN03584, HUMAN03585, HUMAN27498, HUMAN27502, HUMAN23895, HUMAN27499, HUMAN17533
OG0000987	CAEEL18448	HUMAN02812, HUMAN02813, HUMAN06286, HUMAN19599
OG0000988	CAEEL12259, CAEEL12260, CAEEL05294	HUMAN29197, HUMAN29196, HUMAN29296, HUMAN29297, HUMAN02183
OG0000992	CAEEL04373	HUMAN13425, HUMAN05365
OG0000994	CAEEL01877	HUMAN25360
OG0000994	CAEEL05339, CAEEL08529	HUMAN17151, HUMAN17152
OG0000995	CAEEL01961	HUMAN20125, HUMAN12107, HUMAN12112, HUMAN20124, HUMAN20123, HUMAN12108, HUMAN12110, HUMAN12111, HUMAN12109
OG0000997	CAEEL06202	HUMAN03989
OG0000999	CAEEL12779, CAEEL06159	HUMAN16037, HUMAN05058, HUMAN20396
OG0001001	CAEEL19402, CAEEL20405, CAEEL20234, CAEEL19403	HUMAN11958
OG0001002	CAEEL07056, CAEEL14828, CAEEL19782, CAEEL15732	HUMAN21505, HUMAN16097, HUMAN04437
OG0001002	CAEEL18911	HUMAN21506
OG0001003	CAEEL08220	HUMAN12092
OG0001004	CAEEL04943	HUMAN14314, HUMAN28506, HUMAN01082, HUMAN14803, HUMAN14804
OG0001005	CAEEL01384	HUMAN21015
OG0001006	CAEEL08218, CAEEL00364, CAEEL10732	HUMAN10720, HUMAN10719
OG0001007	CAEEL19587	HUMAN02245, HUMAN29304, HUMAN29303
OG0001009	CAEEL20001	HUMAN25680, HUMAN00474
OG0001013	CAEEL16541	HUMAN06060, HUMAN06061, HUMAN10491, HUMAN15925, HUMAN13289
OG0001015	CAEEL16067, CAEEL20263	HUMAN20176, HUMAN20174, HUMAN26299, HUMAN26298, HUMAN25884, HUMAN25885, HUMAN25882
OG0001016	CAEEL09313	HUMAN03017
OG0001016	CAEEL08789, CAEEL11986	HUMAN27202
OG0001017	CAEEL09308	HUMAN06335
OG0001018	CAEEL00183	HUMAN19498
OG0001018	CAEEL07047	HUMAN08887
OG0001019	CAEEL13859, CAEEL13858	HUMAN28394, HUMAN11824, HUMAN18576
OG0001022	CAEEL06254, CAEEL20075, CAEEL20775	HUMAN26689, HUMAN07618, HUMAN30205, HUMAN30207, HUMAN30206
OG0001023	CAEEL05078	HUMAN05807, HUMAN04131, HUMAN24949, HUMAN15956, HUMAN05808
OG0001024	CAEEL11623	HUMAN26241, HUMAN26240, HUMAN22736, HUMAN22737, HUMAN23893, HUMAN03150, HUMAN26239
OG0001028	CAEEL01212	HUMAN14304, HUMAN09715, HUMAN09716, HUMAN28814, HUMAN28812
OG0001029	CAEEL01262	HUMAN11011, HUMAN08233
OG0001030	CAEEL11812	HUMAN14248, HUMAN14247, HUMAN09965, HUMAN09016, HUMAN18699
OG0001031	CAEEL12448	HUMAN03538
OG0001032	CAEEL20070, CAEEL15717	HUMAN01331, HUMAN14460, HUMAN14458, HUMAN14461, HUMAN14454, HUMAN29217, HUMAN14453, HUMAN29218, HUMAN29214, HUMAN29215, HUMAN29216
OG0001033	CAEEL10717	HUMAN00952, HUMAN28581, HUMAN14253
OG0001034	CAEEL07054, CAEEL07055	HUMAN12490, HUMAN02962
OG0001036	CAEEL18611	HUMAN19198, HUMAN24555, HUMAN24554
OG0001037	CAEEL18600	HUMAN29275, HUMAN29274, HUMAN01227
OG0001038	CAEEL20450	HUMAN03489, HUMAN22265, HUMAN22267, HUMAN24196, HUMAN03488
OG0001039	CAEEL08415	HUMAN19739, HUMAN19738, HUMAN19737
OG0001039	CAEEL10624	HUMAN07040, HUMAN07042, HUMAN21441, HUMAN07041
OG0001042	CAEEL09943	HUMAN29925, HUMAN20525, HUMAN05764
OG0001044	CAEEL20285	HUMAN13978, HUMAN13979, HUMAN23652, HUMAN23653, HUMAN23654, HUMAN09935
OG0001046	CAEEL19183	HUMAN10290, HUMAN10289, HUMAN10288, HUMAN20197, HUMAN20196, HUMAN20198, HUMAN20195, HUMAN15923, HUMAN15922, HUMAN13448
OG0001050	CAEEL14076, CAEEL15706	HUMAN25173, HUMAN10022, HUMAN01869
OG0001052	CAEEL10987	HUMAN22593
OG0001053	CAEEL07572	HUMAN12525, HUMAN26150, HUMAN06551, HUMAN17942
OG0001053	CAEEL09742	HUMAN23827, HUMAN22798, HUMAN03229
OG0001058	CAEEL19015	HUMAN01956, HUMAN05750
OG0001059	CAEEL00192	HUMAN13851
OG0001060	CAEEL15786	HUMAN20265
OG0001062	CAEEL08101	HUMAN14494, HUMAN01209, HUMAN01211
OG0001063	CAEEL15713, CAEEL15714	HUMAN16934, HUMAN16936, HUMAN16935
OG0001066	CAEEL12576	HUMAN01431, HUMAN20904, HUMAN20903, HUMAN01429
OG0001072	CAEEL08406	HUMAN07095
OG0001075	CAEEL11648, CAEEL18873	HUMAN24569, HUMAN16597, HUMAN16596
OG0001076	CAEEL07541	HUMAN07536, HUMAN22387
OG0001078	CAEEL19295	HUMAN20283, HUMAN24929, HUMAN04434
OG0001079	CAEEL10503	HUMAN01422, HUMAN26876, HUMAN29846, HUMAN29847
OG0001080	CAEEL08359	HUMAN26171, HUMAN06728, HUMAN06729, HUMAN06727
OG0001082	CAEEL19080, CAEEL19079, CAEEL09741	HUMAN18213, HUMAN06409, HUMAN06410
OG0001083	CAEEL06682	HUMAN27529, HUMAN03184, HUMAN03185, HUMAN23866, HUMAN23865, HUMAN27528, HUMAN27527, HUMAN17258, HUMAN17257
OG0001084	CAEEL01831	HUMAN26028
OG0001085	CAEEL09995, CAEEL09996	HUMAN21139, HUMAN29849, HUMAN26851, HUMAN26850, HUMAN25039
OG0001091	CAEEL07358	HUMAN12947, HUMAN12946, HUMAN12945
OG0001092	CAEEL07387	HUMAN07557, HUMAN22940
OG0001093	CAEEL00638, CAEEL00637	HUMAN26567, HUMAN12954
OG0001094	CAEEL13053, CAEEL13054	HUMAN18720, HUMAN08291, HUMAN04909
OG0001095	CAEEL07595	HUMAN06662, HUMAN17682, HUMAN20656, HUMAN20657, HUMAN17681
OG0001101	CAEEL11585	HUMAN05769
OG0001102	CAEEL08853	HUMAN18703, HUMAN04710, HUMAN18704, HUMAN04709
OG0001103	CAEEL18815	HUMAN25684, HUMAN27937, HUMAN27936
OG0001104	CAEEL09176, CAEEL09177	HUMAN09442
OG0001104	CAEEL20081	HUMAN28171, HUMAN00516, HUMAN16748
OG0001107	CAEEL18427	HUMAN21851, HUMAN30406, HUMAN07877, HUMAN07869
OG0001108	CAEEL09307	HUMAN06470, HUMAN26420
OG0001109	CAEEL14851, CAEEL20028, CAEEL14852, CAEEL14853, CAEEL13761, CAEEL14859, CAEEL09898, CAEEL19118	HUMAN13295, HUMAN13298, HUMAN22148
OG0001112	CAEEL19902	HUMAN18525, HUMAN18524, HUMAN07786, HUMAN07782
OG0001112	CAEEL19901	HUMAN30342, HUMAN07785, HUMAN07783, HUMAN18526
OG0001113	CAEEL15158	HUMAN20232
OG0001113	CAEEL01128	HUMAN21591
OG0001113	CAEEL07385	HUMAN13568, HUMAN13567, HUMAN13565, HUMAN13566
OG0001114	CAEEL11582, CAEEL01758, CAEEL01759	HUMAN09738, HUMAN09739, HUMAN01816
OG0001116	CAEEL04351	HUMAN12509
OG0001124	CAEEL08814	HUMAN13636, HUMAN29856, HUMAN29855, HUMAN29854, HUMAN29853
OG0001126	CAEEL04859	HUMAN11886, HUMAN21463, HUMAN11885, HUMAN11887, HUMAN11884
OG0001130	CAEEL00952, CAEEL00232	HUMAN23634
OG0001131	CAEEL14208	HUMAN17000, HUMAN08891, HUMAN08890, HUMAN08889
OG0001132	CAEEL04290	HUMAN28769
OG0001133	CAEEL11294	HUMAN23355
OG0001135	CAEEL02069	HUMAN10157, HUMAN10262, HUMAN10159, HUMAN10160, HUMAN10158, HUMAN10261
OG0001136	CAEEL02001	HUMAN14242, HUMAN23717, HUMAN09626, HUMAN09622
OG0001137	CAEEL04790	HUMAN15475, HUMAN15476, HUMAN16861, HUMAN15474
OG0001138	CAEEL07800, CAEEL07799	HUMAN06608, HUMAN27335, HUMAN21562
OG0001139	CAEEL06928, CAEEL15457	HUMAN29573
OG0001140	CAEEL14389	HUMAN28111, HUMAN00689, HUMAN16613
OG0001141	CAEEL01107, CAEEL01106	HUMAN28829
OG0001142	CAEEL12657	HUMAN04836, HUMAN04835
OG0001143	CAEEL01013	HUMAN26902, HUMAN09500, HUMAN09501, HUMAN28929, HUMAN01633
OG0001155	CAEEL13066, CAEEL13586, CAEEL04642, CAEEL13526	HUMAN28847, HUMAN28848, HUMAN28849
OG0001156	CAEEL20728	HUMAN06276, HUMAN06274, HUMAN12764, HUMAN26033, HUMAN18478, HUMAN18476
OG0001158	CAEEL00147	HUMAN19220, HUMAN19221, HUMAN13723, HUMAN13724
OG0001159	CAEEL07987, CAEEL18966	HUMAN16647, HUMAN28079, HUMAN28078
OG0001160	CAEEL16381, CAEEL20121	HUMAN07003, HUMAN07004, HUMAN01405
OG0001162	CAEEL18096	HUMAN05494, HUMAN05495, HUMAN05496, HUMAN05497, HUMAN19367
OG0001163	CAEEL11823, CAEEL14454, CAEEL17374	HUMAN03540, HUMAN22604, HUMAN22605
OG0001164	CAEEL07306	HUMAN20034, HUMAN20033
OG0001165	CAEEL19696	HUMAN25194, HUMAN25193, HUMAN25195
OG0001167	CAEEL04546	HUMAN08882, HUMAN08883, HUMAN17001
OG0001168	CAEEL02000	HUMAN19115
OG0001171	CAEEL20677	HUMAN27880, HUMAN25618, HUMAN25619, HUMAN19014, HUMAN19015
OG0001172	CAEEL13596	HUMAN03030, HUMAN18130
OG0001173	CAEEL15708	HUMAN01792
OG0001173	CAEEL14248	HUMAN01793
OG0001175	CAEEL15152, CAEEL14463, CAEEL15032, CAEEL15031, CAEEL06075, CAEEL10718	HUMAN27761, HUMAN17515
OG0001176	CAEEL11466	HUMAN27503, HUMAN03360
OG0001177	CAEEL08262, CAEEL18706	HUMAN13792, HUMAN13793, HUMAN13794, HUMAN26270
OG0001178	CAEEL05306	HUMAN01065
OG0001179	CAEEL07894, CAEEL04651, CAEEL04194, CAEEL05939	HUMAN19099
OG0001180	CAEEL00751	HUMAN22452
OG0001181	CAEEL08327	HUMAN12489, HUMAN02963, HUMAN12488
OG0001183	CAEEL12969, CAEEL02318	HUMAN12777
OG0001184	CAEEL20576	HUMAN24892, HUMAN24891
OG0001184	CAEEL19676	HUMAN04448, HUMAN04447
OG0001185	CAEEL01778	HUMAN24530, HUMAN24531, HUMAN00600
OG0001186	CAEEL00480	HUMAN13742
OG0001186	CAEEL09703	HUMAN11615
OG0001188	CAEEL14362	HUMAN04837, HUMAN15459, HUMAN08381, HUMAN16878
OG0001189	CAEEL01928	HUMAN19325, HUMAN16570, HUMAN27793
OG0001191	CAEEL09751, CAEEL20476, CAEEL09505	HUMAN27560, HUMAN03181, HUMAN23867
OG0001197	CAEEL11613	HUMAN04807
OG0001200	CAEEL05263	HUMAN08842, HUMAN08840
OG0001201	CAEEL02666	HUMAN19000, HUMAN28333
OG0001203	CAEEL09769	HUMAN16859, HUMAN04776, HUMAN04775, HUMAN08382, HUMAN16858
OG0001204	CAEEL09132	HUMAN07266, HUMAN13045
OG0001208	CAEEL10574	HUMAN17864, HUMAN26576
OG0001209	CAEEL00442	HUMAN27649, HUMAN27648
OG0001210	CAEEL06396	HUMAN18754
OG0001210	CAEEL06380	HUMAN21606
OG0001211	CAEEL08708	HUMAN17696
OG0001213	CAEEL01138, CAEEL01163, CAEEL01148, CAEEL04429, CAEEL04430	HUMAN03742
OG0001214	CAEEL08401	HUMAN02956, HUMAN02957
OG0001215	CAEEL11249	HUMAN26208, HUMAN26209, HUMAN17597, HUMAN06423
OG0001216	CAEEL04644	HUMAN05988, HUMAN05987, HUMAN11890
OG0001217	CAEEL08746	HUMAN29664, HUMAN25763
OG0001218	CAEEL20131, CAEEL14167	HUMAN05862, HUMAN00140, HUMAN11965
OG0001219	CAEEL20379	HUMAN18053, HUMAN24346, HUMAN01814, HUMAN09792, HUMAN09790
OG0001220	CAEEL07890	HUMAN07348
OG0001221	CAEEL13124	HUMAN08173, HUMAN08174, HUMAN08177, HUMAN08176, HUMAN08178, HUMAN08175, HUMAN08179, HUMAN08180
OG0001223	CAEEL02795	HUMAN27843, HUMAN11032, HUMAN07991, HUMAN19019, HUMAN11033
OG0001224	CAEEL07196	HUMAN00248, HUMAN00249, HUMAN00250, HUMAN15488, HUMAN15490, HUMAN00247
OG0001225	CAEEL02873	HUMAN09188, HUMAN28761, HUMAN14334
OG0001226	CAEEL02848, CAEEL02849	HUMAN19536, HUMAN30088, HUMAN25307
OG0001230	CAEEL12987, CAEEL17236, CAEEL15243, CAEEL01949	HUMAN00718
OG0001231	CAEEL15401	HUMAN08474
OG0001233	CAEEL03755, CAEEL04189	HUMAN07688
OG0001234	CAEEL00806	HUMAN11224, HUMAN13874, HUMAN11222
OG0001236	CAEEL18476, CAEEL18477, CAEEL05637, CAEEL05588	HUMAN15304, HUMAN05859
OG0001238	CAEEL05166, CAEEL11182	HUMAN09752, HUMAN24272, HUMAN20738, HUMAN12789, HUMAN06408
OG0001239	CAEEL12011	HUMAN21103, HUMAN26890, HUMAN21102
OG0001241	CAEEL01749	HUMAN18832, HUMAN18831
OG0001241	CAEEL19375	HUMAN07799
OG0001243	CAEEL01806	HUMAN27651, HUMAN27653, HUMAN27652, HUMAN27650, HUMAN09639
OG0001247	CAEEL10570	HUMAN27059, HUMAN20519, HUMAN29792, HUMAN27060
OG0001248	CAEEL08830	HUMAN18429, HUMAN18430, HUMAN03092, HUMAN03076, HUMAN03293, HUMAN03125, HUMAN03071, HUMAN27267, HUMAN06688, HUMAN18428, HUMAN27270, HUMAN27268
OG0001249	CAEEL06406	HUMAN14397, HUMAN05364, HUMAN05363, HUMAN28497, HUMAN00860, HUMAN14396
OG0001250	CAEEL18712	HUMAN13009, HUMAN20055, HUMAN20056, HUMAN20057, HUMAN12131
OG0001251	CAEEL01802	HUMAN11600, HUMAN08159, HUMAN08158
OG0001252	CAEEL05030	HUMAN15100, HUMAN01282, HUMAN14175, HUMAN14174
OG0001253	CAEEL10888, CAEEL10887	HUMAN20377, HUMAN24966, HUMAN20379, HUMAN24965
OG0001254	CAEEL00935	HUMAN23638, HUMAN23637, HUMAN09380
OG0001256	CAEEL01426, CAEEL01244, CAEEL01245, CAEEL09738, CAEEL10917, CAEEL07997	HUMAN25828
OG0001261	CAEEL07850	HUMAN22947, HUMAN04078, HUMAN04079
OG0001262	CAEEL15249, CAEEL20627	HUMAN29428, HUMAN24853
OG0001266	CAEEL07143	HUMAN13676, HUMAN13675, HUMAN18946
OG0001267	CAEEL14111	HUMAN26403, HUMAN07336, HUMAN07335, HUMAN04653, HUMAN27474, HUMAN27478
OG0001268	CAEEL11342	HUMAN20923, HUMAN22451, HUMAN29785, HUMAN29783
OG0001270	CAEEL01959	HUMAN10267, HUMAN10268, HUMAN10266, HUMAN10495
OG0001271	CAEEL15623	HUMAN13162
OG0001271	CAEEL08717, CAEEL00634	HUMAN27281, HUMAN13161, HUMAN06386
OG0001272	CAEEL07720, CAEEL09293	HUMAN10856, HUMAN12263, HUMAN28972
OG0001274	CAEEL20835, CAEEL00917, CAEEL15316, CAEEL07981	HUMAN01186, HUMAN14450, HUMAN29306
OG0001278	CAEEL20013	HUMAN13574, HUMAN02569, HUMAN02570
OG0001278	CAEEL10735	HUMAN28347
OG0001279	CAEEL15321, CAEEL15322, CAEEL20353	HUMAN15552, HUMAN15549, HUMAN09000, HUMAN02712
OG0001280	CAEEL00726	HUMAN09972, HUMAN14369, HUMAN28522
OG0001281	CAEEL05459	HUMAN05763, HUMAN25263, HUMAN04721, HUMAN04723
OG0001282	CAEEL04296	HUMAN11803, HUMAN21801
OG0001284	CAEEL08223	HUMAN27205
OG0001284	CAEEL01272	HUMAN09392
OG0001285	CAEEL06501	HUMAN22105, HUMAN03724, HUMAN03727, HUMAN27715, HUMAN22104, HUMAN03725, HUMAN03726
OG0001287	CAEEL16475	HUMAN23780, HUMAN17479, HUMAN26326, HUMAN22569, HUMAN30270
OG0001288	CAEEL18355	HUMAN09745, HUMAN23493
OG0001290	CAEEL12279	HUMAN23738, HUMAN09455, HUMAN11087
OG0001291	CAEEL11483	HUMAN27542, HUMAN22728, HUMAN03289
OG0001292	CAEEL07942	HUMAN20666, HUMAN18444, HUMAN18446
OG0001293	CAEEL07048	HUMAN07380, HUMAN07387, HUMAN07382, HUMAN04647, HUMAN12393
OG0001294	CAEEL15893	HUMAN08609
OG0001296	CAEEL00003, CAEEL14758	HUMAN08945, HUMAN04788, HUMAN02472, HUMAN02470, HUMAN02471
OG0001300	CAEEL09562	HUMAN21610, HUMAN07635, HUMAN30249
OG0001302	CAEEL01736	HUMAN00934
OG0001302	CAEEL12633	HUMAN28036
OG0001304	CAEEL00728	HUMAN07987, HUMAN11035, HUMAN27849, HUMAN19007, HUMAN07988
OG0001305	CAEEL19700	HUMAN14853, HUMAN29257, HUMAN01234
OG0001306	CAEEL05042	HUMAN01015, HUMAN01014
OG0001306	CAEEL06741	HUMAN29260
OG0001310	CAEEL16286	HUMAN09336, HUMAN09337
OG0001311	CAEEL07271, CAEEL18160	HUMAN02788
OG0001315	CAEEL20540	HUMAN13234, HUMAN13233, HUMAN25875
OG0001318	CAEEL06153	HUMAN16547, HUMAN16548
OG0001318	CAEEL02686	HUMAN21172, HUMAN21173
OG0001319	CAEEL15967	HUMAN30310, HUMAN21541
OG0001320	CAEEL02958	HUMAN27988, HUMAN27989
OG0001320	CAEEL05842, CAEEL10256, CAEEL08614, CAEEL15241, CAEEL08907	HUMAN09292, HUMAN16855, HUMAN16856
OG0001321	CAEEL02303, CAEEL00016	HUMAN01841
OG0001325	CAEEL12980	HUMAN22707, HUMAN22706, HUMAN22705, HUMAN22708, HUMAN22704, HUMAN22702, HUMAN22701, HUMAN22703
OG0001326	CAEEL18463, CAEEL12672, CAEEL19447	HUMAN03521, HUMAN17368, HUMAN17367, HUMAN03603
OG0001327	CAEEL12070	HUMAN06766, HUMAN06765, HUMAN02428
OG0001329	CAEEL03625, CAEEL07934	HUMAN02833
OG0001330	CAEEL07772	HUMAN10847, HUMAN12308, HUMAN07235, HUMAN10846
OG0001333	CAEEL08384, CAEEL10397, CAEEL14152, CAEEL14148, CAEEL14153	HUMAN20118, HUMAN10313
OG0001335	CAEEL01950	HUMAN28637
OG0001337	CAEEL08858	HUMAN13008, HUMAN23397, HUMAN00896
