Orthogroup	CAEEL	DANRE
OG0000537	CAEEL08509	DANRE08649, DANRE38991, DANRE38990, DANRE38992, DANRE41611, DANRE41612
OG0000538	CAEEL07439	DANRE42160, DANRE37095, DANRE29198, DANRE03222, DANRE03824, DANRE27952, DANRE27950, DANRE27949, DANRE27951, DANRE03823, DANRE03821, DANRE03822
OG0000539	CAEEL15234, CAEEL08363, CAEEL07779	DANRE02013
OG0000542	CAEEL09055	DANRE16247, DANRE16248, DANRE16242, DANRE16243, DANRE16246, DANRE16249, DANRE16244, DANRE16245, DANRE23742, DANRE08551, DANRE01086, DANRE01090, DANRE01088, DANRE23741
OG0000542	CAEEL15478	DANRE14981, DANRE14980
OG0000545	CAEEL15746	DANRE11520
OG0000545	CAEEL14386	DANRE02906, DANRE02907, DANRE34438, DANRE34437, DANRE34436, DANRE34439, DANRE11738, DANRE13378, DANRE13377
OG0000548	CAEEL10591, CAEEL10590	DANRE06455, DANRE19625, DANRE40865, DANRE22043, DANRE18865, DANRE01597, DANRE01599, DANRE01598, DANRE25568
OG0000551	CAEEL05226	DANRE41282
OG0000554	CAEEL09891	DANRE30642, DANRE04185, DANRE20459
OG0000560	CAEEL00689	DANRE03304, DANRE11206, DANRE40243, DANRE40242
OG0000561	CAEEL15785	DANRE18929, DANRE35309, DANRE06689
OG0000562	CAEEL12354	DANRE27041, DANRE01831
OG0000563	CAEEL10514	DANRE39600
OG0000563	CAEEL07864	DANRE20313, DANRE07912, DANRE39601
OG0000565	CAEEL03314, CAEEL00611, CAEEL00610, CAEEL01204	DANRE09694
OG0000566	CAEEL15091	DANRE21691, DANRE21693, DANRE13203, DANRE21692, DANRE19765, DANRE19764, DANRE19766, DANRE19762, DANRE19763, DANRE25205, DANRE25192, DANRE13200, DANRE13201, DANRE13198, DANRE13199, DANRE13202, DANRE25108, DANRE33333, DANRE33334
OG0000567	CAEEL02967	DANRE37645, DANRE43387
OG0000572	CAEEL13663	DANRE03776, DANRE03775, DANRE03774, DANRE11722, DANRE37798, DANRE37797, DANRE37799
OG0000572	CAEEL04776	DANRE36636, DANRE22951, DANRE22949, DANRE22950
OG0000573	CAEEL05940	DANRE26429, DANRE36969, DANRE41278, DANRE34489
OG0000573	CAEEL01355	DANRE13206, DANRE13207, DANRE25110
OG0000574	CAEEL19269	DANRE28774, DANRE04148, DANRE04147, DANRE04149, DANRE04146
OG0000574	CAEEL18789, CAEEL19638, CAEEL19639	DANRE28773, DANRE28771, DANRE28772, DANRE03028
OG0000574	CAEEL19209, CAEEL18848	DANRE16551, DANRE16552, DANRE16553
OG0000576	CAEEL06802	DANRE42659, DANRE42663, DANRE41341, DANRE42662, DANRE42660, DANRE42661, DANRE04947, DANRE41342, DANRE04948, DANRE22099, DANRE22100, DANRE22101
OG0000578	CAEEL16491, CAEEL16492, CAEEL16490	DANRE37784, DANRE37783, DANRE37782, DANRE35561, DANRE35560, DANRE35559, DANRE35558, DANRE17778, DANRE17779, DANRE17777, DANRE05436, DANRE05438, DANRE05439
OG0000579	CAEEL11246, CAEEL09670, CAEEL09822	DANRE25633, DANRE31259, DANRE31258, DANRE31257, DANRE02315, DANRE02313, DANRE02314, DANRE25634, DANRE39934, DANRE01665, DANRE01666, DANRE01664, DANRE01668, DANRE39933, DANRE39930, DANRE39932, DANRE39931, DANRE22831, DANRE22830
OG0000580	CAEEL06306	DANRE38921, DANRE38923, DANRE38922
OG0000581	CAEEL15703	DANRE17774, DANRE05449, DANRE03780, DANRE04778, DANRE37493
OG0000581	CAEEL14055, CAEEL14054	DANRE13173, DANRE13172, DANRE04777, DANRE03781, DANRE17773, DANRE05450, DANRE05454, DANRE13174
OG0000582	CAEEL19553, CAEEL19552	DANRE35656, DANRE35655, DANRE27461, DANRE27462, DANRE39859, DANRE39858, DANRE34307, DANRE34305, DANRE34306, DANRE10407, DANRE10406, DANRE13531, DANRE13529, DANRE13530
OG0000583	CAEEL01762, CAEEL01763	DANRE06884, DANRE06885, DANRE00864, DANRE35907, DANRE41539, DANRE41538, DANRE11089, DANRE11090, DANRE13739, DANRE13740, DANRE10062
OG0000585	CAEEL11782, CAEEL11783	DANRE02244, DANRE02245, DANRE02249, DANRE41291, DANRE41292, DANRE41293, DANRE41294, DANRE02250, DANRE25689, DANRE25690, DANRE31500, DANRE31501, DANRE23073, DANRE23074, DANRE23075, DANRE36824, DANRE36823
OG0000587	CAEEL14207	DANRE08842, DANRE08843, DANRE28077, DANRE38185, DANRE38186, DANRE38187, DANRE23765, DANRE02066, DANRE02067
OG0000587	CAEEL18702	DANRE07770
OG0000588	CAEEL05897	DANRE30123, DANRE16941, DANRE26565, DANRE19175, DANRE34600, DANRE01195, DANRE01197, DANRE01196
OG0000589	CAEEL19870, CAEEL19442, CAEEL17146, CAEEL10281	DANRE25936, DANRE38708, DANRE38709, DANRE38710, DANRE25938, DANRE25939, DANRE25937, DANRE12338, DANRE31600, DANRE31601, DANRE22454, DANRE37009, DANRE37011, DANRE37012, DANRE37010, DANRE30890, DANRE30889, DANRE25662, DANRE25663, DANRE25664, DANRE25665
OG0000590	CAEEL01780	DANRE42192, DANRE42191, DANRE42190, DANRE29030, DANRE10504, DANRE10503, DANRE14379, DANRE29029
OG0000591	CAEEL19878	DANRE29995, DANRE15432
OG0000591	CAEEL18367	DANRE19748, DANRE19747, DANRE12240, DANRE12241, DANRE12242
OG0000592	CAEEL14862, CAEEL07829, CAEEL16963, CAEEL16245, CAEEL16244	DANRE40569, DANRE18531, DANRE25922, DANRE25921, DANRE38966, DANRE38965, DANRE38964, DANRE34487
OG0000593	CAEEL02027	DANRE30058, DANRE03638, DANRE30338, DANRE02996, DANRE23729, DANRE26181, DANRE12961, DANRE12962, DANRE36390, DANRE36391, DANRE22365, DANRE02411, DANRE02412
OG0000594	CAEEL11331	DANRE34139, DANRE07972, DANRE15294, DANRE34138, DANRE07974, DANRE07973, DANRE15295, DANRE02253, DANRE02252
OG0000597	CAEEL08741	DANRE37823, DANRE20385, DANRE20386, DANRE20384, DANRE29524, DANRE34209, DANRE33695, DANRE34208
OG0000602	CAEEL20599	DANRE06865, DANRE06864, DANRE28060, DANRE28061, DANRE21447, DANRE21448, DANRE15344, DANRE28063, DANRE21449, DANRE05995, DANRE05994, DANRE06863, DANRE42864, DANRE43010, DANRE15343, DANRE15341, DANRE15342
OG0000603	CAEEL15474	DANRE20006, DANRE20005, DANRE20003, DANRE11131, DANRE11132, DANRE11133, DANRE17469, DANRE17472, DANRE17471, DANRE17473, DANRE17470, DANRE04450, DANRE03756, DANRE03755, DANRE03754
OG0000604	CAEEL14390	DANRE11170, DANRE11169, DANRE18084, DANRE18085, DANRE04317, DANRE01045, DANRE01042, DANRE01043, DANRE01044, DANRE13130, DANRE13131
OG0000608	CAEEL06882, CAEEL09299	DANRE29304
OG0000609	CAEEL11904	DANRE11913, DANRE11914, DANRE15267, DANRE15268, DANRE42499, DANRE15265, DANRE15266, DANRE21338
OG0000611	CAEEL08225	DANRE02632, DANRE20099, DANRE20098, DANRE39012, DANRE39011, DANRE39013
OG0000611	CAEEL09831	DANRE38844, DANRE38845, DANRE38847
OG0000612	CAEEL07651	DANRE39403, DANRE11619, DANRE04246, DANRE04245, DANRE35389
OG0000612	CAEEL06875	DANRE22363, DANRE22364
OG0000613	CAEEL14429, CAEEL16442	DANRE18520, DANRE01714, DANRE01713, DANRE10094, DANRE14218, DANRE14219
OG0000614	CAEEL16724	DANRE43105, DANRE43106
OG0000615	CAEEL19705	DANRE34494, DANRE24463, DANRE41312, DANRE41311, DANRE34490, DANRE34492, DANRE34491, DANRE24462, DANRE27103, DANRE27102, DANRE06330, DANRE06331, DANRE24461
OG0000616	CAEEL19744	DANRE09788
OG0000619	CAEEL02635	DANRE37843, DANRE37844, DANRE37842, DANRE37845, DANRE35821, DANRE35820, DANRE35819, DANRE07556, DANRE07557
OG0000623	CAEEL16178, CAEEL06411	DANRE05276
OG0000623	CAEEL16276	DANRE29318, DANRE29319, DANRE29321, DANRE29320, DANRE29317, DANRE36066, DANRE36067
OG0000624	CAEEL08547	DANRE29203, DANRE19512, DANRE19513, DANRE34018, DANRE41484, DANRE41483, DANRE41485
OG0000625	CAEEL18539	DANRE08025, DANRE08024, DANRE08745, DANRE08746, DANRE08747, DANRE08748, DANRE00989, DANRE00990, DANRE08026, DANRE08027
OG0000626	CAEEL19740	DANRE14703, DANRE14705, DANRE14702, DANRE14704, DANRE18504, DANRE18503, DANRE18506, DANRE18505, DANRE22711, DANRE22715, DANRE22712, DANRE22714, DANRE22709, DANRE22713, DANRE22710, DANRE40308, DANRE40311, DANRE40309, DANRE40310
OG0000627	CAEEL01126	DANRE39087, DANRE01285, DANRE01283, DANRE01284, DANRE13403, DANRE10285, DANRE10284, DANRE24252
OG0000636	CAEEL19659	DANRE03730, DANRE03729, DANRE07041, DANRE07045, DANRE07042, DANRE07043, DANRE07044, DANRE07046, DANRE05815, DANRE05816, DANRE05814, DANRE03924, DANRE03926, DANRE03923
OG0000637	CAEEL18181	DANRE08344, DANRE35201, DANRE35202, DANRE00403, DANRE30450, DANRE36117
OG0000639	CAEEL00195	DANRE12180, DANRE19333, DANRE19332
OG0000639	CAEEL00077	DANRE26025, DANRE26027, DANRE24926, DANRE24925, DANRE24924, DANRE23613, DANRE23612, DANRE37057
OG0000642	CAEEL04693	DANRE04791
OG0000645	CAEEL14093	DANRE38840, DANRE12356
OG0000645	CAEEL02916	DANRE16501, DANRE26016
OG0000646	CAEEL06213, CAEEL06212	DANRE09462, DANRE09461, DANRE36287, DANRE37895, DANRE37894, DANRE37896
OG0000647	CAEEL14095, CAEEL17996	DANRE39973, DANRE16386, DANRE16387, DANRE05385, DANRE42708, DANRE42709, DANRE42707
OG0000648	CAEEL05737	DANRE23825, DANRE23827
OG0000649	CAEEL08770	DANRE36548, DANRE36549, DANRE23157, DANRE23158, DANRE14536, DANRE10469
OG0000650	CAEEL15107	DANRE42710, DANRE01609, DANRE01608, DANRE24219, DANRE19539, DANRE19536, DANRE19537, DANRE19538, DANRE35105, DANRE35104, DANRE36191, DANRE26619, DANRE14681, DANRE42711, DANRE33878, DANRE33877, DANRE03720, DANRE03721
OG0000651	CAEEL08479	DANRE01712, DANRE23323, DANRE01722, DANRE01723, DANRE01724, DANRE08586, DANRE08587, DANRE42029, DANRE42028, DANRE23324
OG0000652	CAEEL09392, CAEEL09393	DANRE02864, DANRE22812, DANRE22811, DANRE02866, DANRE02856, DANRE02863, DANRE02865, DANRE31012, DANRE31013, DANRE26048, DANRE26049, DANRE22823, DANRE22824, DANRE22822
OG0000653	CAEEL20136	DANRE28855, DANRE27642, DANRE26616, DANRE36188, DANRE04829, DANRE04830, DANRE19958, DANRE19860, DANRE33310, DANRE29802, DANRE16917, DANRE26488
OG0000654	CAEEL00509	DANRE22636, DANRE23092, DANRE23093, DANRE39428, DANRE39432, DANRE39427, DANRE39433, DANRE28978, DANRE28980, DANRE28979, DANRE28981, DANRE28976, DANRE28977, DANRE35895, DANRE35897, DANRE35896, DANRE35892, DANRE42543, DANRE42544, DANRE42545
OG0000657	CAEEL01693	DANRE41216, DANRE41219, DANRE41218, DANRE41217, DANRE38328, DANRE38327
OG0000660	CAEEL06994	DANRE42701, DANRE37475, DANRE37474
OG0000660	CAEEL01886	DANRE26438, DANRE26437, DANRE26436, DANRE35327, DANRE07903
OG0000660	CAEEL01416	DANRE26443
OG0000662	CAEEL07265	DANRE07121, DANRE07120, DANRE07123, DANRE07122
OG0000662	CAEEL20546	DANRE29859, DANRE29860, DANRE04026, DANRE03635
OG0000663	CAEEL07269	DANRE14734, DANRE18093, DANRE18092, DANRE15132, DANRE18094, DANRE15131, DANRE18091, DANRE18096
OG0000664	CAEEL10897, CAEEL10896	DANRE39767, DANRE30905, DANRE02763
OG0000664	CAEEL00118, CAEEL00117	DANRE35705, DANRE10611, DANRE10610, DANRE10609
OG0000665	CAEEL18458, CAEEL04875, CAEEL05353, CAEEL11596, CAEEL18744	DANRE38365, DANRE19520, DANRE34684, DANRE09591, DANRE09590, DANRE13938, DANRE13939, DANRE19399, DANRE19400
OG0000666	CAEEL11143	DANRE25699, DANRE25700, DANRE30926, DANRE30929, DANRE30924, DANRE30925, DANRE29200, DANRE29201, DANRE03143, DANRE02721, DANRE02720, DANRE23027
OG0000670	CAEEL01804, CAEEL20294	DANRE23686, DANRE23689, DANRE23688, DANRE23691, DANRE23690, DANRE34500, DANRE06990, DANRE07638, DANRE26756, DANRE26754, DANRE26757, DANRE26755, DANRE23687, DANRE15554, DANRE36312, DANRE36313
OG0000671	CAEEL20492, CAEEL02522	DANRE23020, DANRE22760, DANRE22759, DANRE23021, DANRE31347, DANRE36744, DANRE36710, DANRE36807, DANRE30960, DANRE24990
OG0000672	CAEEL07948, CAEEL07943	DANRE26530, DANRE33887, DANRE38205
OG0000672	CAEEL00089, CAEEL00988	DANRE02981, DANRE02982
OG0000674	CAEEL01995	DANRE09048, DANRE09049, DANRE09050, DANRE09052, DANRE09051, DANRE37577, DANRE37574, DANRE37576, DANRE37575
OG0000676	CAEEL18677, CAEEL18678	DANRE14726
OG0000676	CAEEL14967, CAEEL14968	DANRE35816
OG0000678	CAEEL19275	DANRE29989, DANRE03861, DANRE03862, DANRE29988, DANRE15429, DANRE15428, DANRE35457, DANRE35456, DANRE29450, DANRE29449
OG0000680	CAEEL01896	DANRE36591, DANRE36590
OG0000681	CAEEL06701, CAEEL06700	DANRE15651, DANRE15652, DANRE07275, DANRE07276, DANRE07154, DANRE07153
OG0000681	CAEEL20557	DANRE20644, DANRE20643, DANRE25267, DANRE25266
OG0000682	CAEEL18765, CAEEL15769	DANRE33564, DANRE33563, DANRE11185, DANRE22049, DANRE22053, DANRE22052, DANRE22051, DANRE22050, DANRE19035, DANRE19036, DANRE19037
OG0000683	CAEEL18608	DANRE16155
OG0000683	CAEEL02946, CAEEL02945, CAEEL02947, CAEEL02944	DANRE30129, DANRE16951, DANRE01917, DANRE26336, DANRE26335, DANRE26337, DANRE26338
OG0000684	CAEEL11185	DANRE41360, DANRE41356, DANRE41361, DANRE28296, DANRE39125
OG0000685	CAEEL19728	DANRE29493, DANRE29494, DANRE02304, DANRE02303, DANRE02302, DANRE31478, DANRE31477, DANRE31476
OG0000688	CAEEL04340	DANRE09485
OG0000690	CAEEL02355, CAEEL16430	DANRE14634, DANRE14633
OG0000690	CAEEL05043	DANRE06381, DANRE39009, DANRE39006, DANRE39008
OG0000691	CAEEL17188	DANRE27299, DANRE25533
OG0000692	CAEEL05111, CAEEL03292	DANRE05971
OG0000693	CAEEL03253, CAEEL03254	DANRE36829, DANRE22937, DANRE22936, DANRE22938, DANRE20118, DANRE20117, DANRE08385, DANRE08384, DANRE08386, DANRE09992, DANRE09993
OG0000694	CAEEL18784, CAEEL02081, CAEEL02961	DANRE10951, DANRE11638, DANRE17279, DANRE17281, DANRE17280, DANRE17278, DANRE35394, DANRE35396, DANRE35395, DANRE39558, DANRE39557
OG0000696	CAEEL19612	DANRE10818
OG0000697	CAEEL10883	DANRE30740, DANRE40406, DANRE02693, DANRE41127, DANRE41126, DANRE41128, DANRE41129, DANRE40289, DANRE02263, DANRE02262, DANRE36692
OG0000699	CAEEL07103, CAEEL17353, CAEEL15074, CAEEL14285	DANRE01006, DANRE01007, DANRE34502
OG0000701	CAEEL01775, CAEEL09588, CAEEL02242	DANRE05122, DANRE05121, DANRE05123, DANRE33566, DANRE40860, DANRE40861
OG0000702	CAEEL01313	DANRE21696, DANRE39048, DANRE39049, DANRE39053, DANRE39051, DANRE39055, DANRE39050, DANRE39054, DANRE39047, DANRE39044, DANRE39052, DANRE39045, DANRE39046
OG0000703	CAEEL12761	DANRE04984, DANRE04983, DANRE35267, DANRE07193, DANRE04855, DANRE04856
OG0000705	CAEEL00513	DANRE12447, DANRE12446, DANRE40495, DANRE31053, DANRE12448, DANRE12449, DANRE40493, DANRE40494, DANRE40458, DANRE31494, DANRE31495, DANRE36729, DANRE02668, DANRE40328, DANRE40441, DANRE22072, DANRE12896, DANRE12898, DANRE12897, DANRE38360, DANRE38359, DANRE21769, DANRE21770, DANRE19078
OG0000708	CAEEL04786, CAEEL04785	DANRE26713, DANRE26712, DANRE24571, DANRE24572
OG0000708	CAEEL12722	DANRE09020, DANRE39758, DANRE39759
OG0000710	CAEEL14590, CAEEL11830, CAEEL03364, CAEEL04975	DANRE14086, DANRE14087, DANRE14088, DANRE38549
OG0000711	CAEEL04946	DANRE38476, DANRE25230, DANRE12636, DANRE12637, DANRE12638
OG0000711	CAEEL03027	DANRE25772, DANRE31323, DANRE31322, DANRE31321
OG0000712	CAEEL07921	DANRE20132, DANRE20131, DANRE06778, DANRE06776, DANRE06777, DANRE33734, DANRE33735, DANRE33736, DANRE07797, DANRE07796, DANRE07795, DANRE07798, DANRE16293, DANRE16292, DANRE16291, DANRE16290, DANRE07104, DANRE07105
OG0000713	CAEEL15727	DANRE37942, DANRE37940, DANRE37941, DANRE37943, DANRE34878, DANRE33352, DANRE24296, DANRE33355, DANRE33351, DANRE33353, DANRE33354
OG0000715	CAEEL07310, CAEEL07309	DANRE10220, DANRE42817, DANRE01949, DANRE01695, DANRE01696, DANRE23041, DANRE10216, DANRE10217, DANRE10218, DANRE10219
OG0000717	CAEEL20044, CAEEL07958	DANRE43353, DANRE26800, DANRE35508, DANRE26799, DANRE33372, DANRE33371, DANRE33373, DANRE40682, DANRE40681, DANRE40679, DANRE40680, DANRE30258, DANRE10487, DANRE10489, DANRE10488, DANRE10486
OG0000717	CAEEL19048	DANRE30259
OG0000718	CAEEL16052	DANRE42521, DANRE15304, DANRE15307, DANRE15308, DANRE15303, DANRE15306, DANRE15305, DANRE15302, DANRE13827, DANRE09237, DANRE27971
OG0000720	CAEEL02341	DANRE00520, DANRE00519, DANRE12730, DANRE12729
OG0000721	CAEEL07780	DANRE19921, DANRE33496
OG0000722	CAEEL16439	DANRE10668, DANRE18082, DANRE34445, DANRE06660, DANRE06659, DANRE11168, DANRE11167, DANRE04318, DANRE04319, DANRE38701, DANRE30658, DANRE25692, DANRE25693, DANRE25215
OG0000724	CAEEL01191, CAEEL05666, CAEEL04724, CAEEL07268, CAEEL09317, CAEEL05086, CAEEL04722, CAEEL04707, CAEEL16432, CAEEL08216, CAEEL08788, CAEEL00782, CAEEL05700, CAEEL05106, CAEEL05163, CAEEL15997, CAEEL14388, CAEEL04425, CAEEL10300, CAEEL10254, CAEEL10375, CAEEL12178, CAEEL11651, CAEEL11581, CAEEL15115, CAEEL04753	DANRE11255, DANRE02587, DANRE17945, DANRE11885, DANRE11884
OG0000725	CAEEL01386	DANRE36228, DANRE26924, DANRE26923, DANRE41245, DANRE41244, DANRE34264
OG0000726	CAEEL08988, CAEEL08987	DANRE24576, DANRE27925, DANRE27926, DANRE27927, DANRE42213, DANRE42212, DANRE42211, DANRE16168, DANRE36569, DANRE24577, DANRE24575
OG0000730	CAEEL06720	DANRE02163, DANRE02164, DANRE42622, DANRE21383
OG0000730	CAEEL06574	DANRE26899, DANRE23833, DANRE42527, DANRE02912, DANRE37104
OG0000731	CAEEL18982	DANRE12266, DANRE12265, DANRE12262, DANRE12263, DANRE12264, DANRE12267, DANRE34421, DANRE34422, DANRE34420, DANRE42140, DANRE42139, DANRE39260, DANRE39261
OG0000732	CAEEL02711	DANRE20486, DANRE20487, DANRE36244, DANRE36245
OG0000732	CAEEL11771	DANRE28676, DANRE28674, DANRE28675, DANRE16727, DANRE36379
OG0000733	CAEEL17006	DANRE05680, DANRE17763, DANRE38134, DANRE17606
OG0000733	CAEEL15524	DANRE18931, DANRE10693, DANRE18930, DANRE04553, DANRE04552
OG0000734	CAEEL18835	DANRE35377, DANRE35376, DANRE35375, DANRE28044, DANRE28043, DANRE28040, DANRE28041, DANRE28039, DANRE28038, DANRE28042, DANRE23533
OG0000735	CAEEL14834, CAEEL14835	DANRE18911, DANRE10653, DANRE10360, DANRE10359, DANRE13894, DANRE10302, DANRE13895, DANRE11358, DANRE11359
OG0000736	CAEEL09174	DANRE41494, DANRE41495, DANRE35537, DANRE35536, DANRE23899, DANRE27179, DANRE27178
OG0000737	CAEEL06154, CAEEL04487, CAEEL04486	DANRE05232, DANRE05233, DANRE05234, DANRE34954, DANRE33897
OG0000740	CAEEL18076	DANRE40542, DANRE09958, DANRE13643, DANRE21419, DANRE21418
OG0000744	CAEEL01254	DANRE27730, DANRE27734, DANRE27731, DANRE27729, DANRE27732, DANRE27733, DANRE37286, DANRE37288, DANRE37287, DANRE37289, DANRE27304, DANRE36882, DANRE36881
OG0000749	CAEEL11624, CAEEL14107	DANRE43022, DANRE22234, DANRE22233, DANRE04932, DANRE04931, DANRE08190
OG0000751	CAEEL09020	DANRE14353, DANRE14354, DANRE14356, DANRE41712
OG0000752	CAEEL07346	DANRE04759, DANRE04760
OG0000752	CAEEL04370	DANRE33350
OG0000753	CAEEL17415	DANRE12159, DANRE22875, DANRE08092, DANRE08093, DANRE35099
OG0000755	CAEEL01302	DANRE27783, DANRE27782, DANRE12837, DANRE12838, DANRE27784
OG0000756	CAEEL17951	DANRE17565
OG0000757	CAEEL20030	DANRE28939
OG0000757	CAEEL00176	DANRE35703
OG0000759	CAEEL20475, CAEEL16710	DANRE42810, DANRE21337, DANRE23917, DANRE23918, DANRE26676, DANRE23361
OG0000761	CAEEL19698	DANRE19286, DANRE19287, DANRE16971, DANRE16972, DANRE16973, DANRE21789
OG0000762	CAEEL02671	DANRE42699, DANRE28185
OG0000763	CAEEL01521, CAEEL01520, CAEEL01519	DANRE09639, DANRE00567, DANRE00568, DANRE00569, DANRE27052, DANRE27054, DANRE27053, DANRE39891, DANRE39892, DANRE39890, DANRE09704, DANRE09705
OG0000764	CAEEL19849	DANRE35374
OG0000765	CAEEL08924, CAEEL20292	DANRE28403, DANRE40818, DANRE40819, DANRE40817, DANRE00580, DANRE00579
OG0000766	CAEEL01660	DANRE23752, DANRE09934, DANRE20922, DANRE00517, DANRE00514, DANRE00516, DANRE00515
OG0000767	CAEEL15327, CAEEL15326	DANRE11659, DANRE11660, DANRE11658, DANRE11661, DANRE08379, DANRE10974, DANRE18316, DANRE18317, DANRE18318
OG0000767	CAEEL18584	DANRE08380, DANRE11662
OG0000774	CAEEL03062	DANRE26601, DANRE26600, DANRE26599, DANRE40140
OG0000774	CAEEL12020, CAEEL14163, CAEEL12021	DANRE39793, DANRE39792
OG0000775	CAEEL17384, CAEEL14551, CAEEL07888, CAEEL14550	DANRE10814, DANRE10813, DANRE33689, DANRE33688, DANRE33690, DANRE33691
OG0000776	CAEEL11265, CAEEL10969, CAEEL09271, CAEEL01206	DANRE35255, DANRE35254, DANRE15732, DANRE42482, DANRE06939
OG0000777	CAEEL19291	DANRE29329, DANRE29328, DANRE36168, DANRE36169
OG0000778	CAEEL04054	DANRE08764, DANRE08763, DANRE03712, DANRE34882, DANRE34883, DANRE09472, DANRE22974, DANRE22973, DANRE36627, DANRE41043, DANRE41041, DANRE41042
OG0000779	CAEEL01706	DANRE34815, DANRE34816, DANRE34817
OG0000780	CAEEL00305	DANRE12112, DANRE12111
OG0000780	CAEEL01193	DANRE07895, DANRE07896, DANRE07897
OG0000782	CAEEL01741	DANRE28363, DANRE28364, DANRE21701, DANRE34593, DANRE34592, DANRE34595, DANRE34594, DANRE12747, DANRE12748, DANRE38505, DANRE38506
OG0000784	CAEEL19472	DANRE26685, DANRE22147, DANRE02507, DANRE02508, DANRE24466, DANRE27100, DANRE27099, DANRE18977, DANRE07597, DANRE22664, DANRE22665
OG0000787	CAEEL10362	DANRE19518, DANRE34015, DANRE19519, DANRE42974, DANRE05326, DANRE05325, DANRE05327, DANRE00057, DANRE33402
OG0000788	CAEEL04328, CAEEL04329, CAEEL04327	DANRE38685, DANRE38687, DANRE38686, DANRE30771, DANRE30772, DANRE38688
OG0000788	CAEEL01175	DANRE40624, DANRE40626, DANRE40623, DANRE40625, DANRE28277, DANRE21678
OG0000791	CAEEL09121	DANRE26678, DANRE24509, DANRE24508, DANRE24505, DANRE24506, DANRE35507, DANRE15367, DANRE15368, DANRE41773
OG0000792	CAEEL06858, CAEEL06859	DANRE33671, DANRE33670, DANRE01288, DANRE01289, DANRE01287
OG0000793	CAEEL00246	DANRE13974, DANRE19092, DANRE39166, DANRE39164, DANRE39165, DANRE25017, DANRE25016, DANRE25015, DANRE21768, DANRE25958, DANRE13450
OG0000794	CAEEL14272, CAEEL13170	DANRE08088, DANRE20295, DANRE08087, DANRE33664, DANRE29799, DANRE29798, DANRE29797
OG0000797	CAEEL11404	DANRE20533, DANRE15819, DANRE15818, DANRE15820, DANRE07326, DANRE07327, DANRE07328
OG0000798	CAEEL08562, CAEEL08561	DANRE29060, DANRE29059, DANRE29061, DANRE03069, DANRE28964, DANRE28965, DANRE28966, DANRE09477
OG0000800	CAEEL15658, CAEEL15660, CAEEL15659, CAEEL15657, CAEEL15661, CAEEL04883, CAEEL16200, CAEEL16199, CAEEL13121, CAEEL11360, CAEEL11396	DANRE30113, DANRE30114, DANRE30111, DANRE30112, DANRE30118, DANRE30117, DANRE30119, DANRE12830, DANRE12829, DANRE12803, DANRE25273, DANRE11295
OG0000801	CAEEL00950	DANRE39090, DANRE39091, DANRE39092, DANRE25011, DANRE25012, DANRE33247
OG0000803	CAEEL18447	DANRE25475, DANRE25471, DANRE25473, DANRE25474, DANRE25472, DANRE30693, DANRE25476, DANRE25477
OG0000809	CAEEL06250	DANRE26639, DANRE26638, DANRE26637, DANRE40060, DANRE40059, DANRE40058, DANRE27835, DANRE27833, DANRE27834, DANRE27836, DANRE21723, DANRE21722, DANRE34758, DANRE01481
OG0000810	CAEEL00977	DANRE40004, DANRE40006
OG0000813	CAEEL10975, CAEEL10973, CAEEL01084	DANRE00294, DANRE35302
OG0000814	CAEEL07659, CAEEL07658	DANRE09168
OG0000817	CAEEL08608	DANRE01758, DANRE11205
OG0000817	CAEEL09272	DANRE24618, DANRE24619
OG0000818	CAEEL08212	DANRE30363, DANRE03542, DANRE30362, DANRE30382, DANRE30381, DANRE30383, DANRE04067, DANRE30364, DANRE04066, DANRE04068, DANRE09086
OG0000820	CAEEL08726	DANRE23344, DANRE23345
OG0000826	CAEEL04414	DANRE17140, DANRE17142, DANRE17141, DANRE17139, DANRE22286
OG0000828	CAEEL01170	DANRE38353, DANRE39520
OG0000828	CAEEL14806	DANRE00140, DANRE00141
OG0000833	CAEEL05439	DANRE02148, DANRE27648, DANRE27649, DANRE30183, DANRE30182, DANRE30181, DANRE30184, DANRE22222, DANRE22221, DANRE22223, DANRE39989, DANRE39990, DANRE39991, DANRE39987
OG0000834	CAEEL00924	DANRE17497, DANRE17498, DANRE17499
OG0000836	CAEEL01665	DANRE38367, DANRE38368, DANRE38370, DANRE38369, DANRE24933, DANRE24934, DANRE24935, DANRE21462, DANRE21461
OG0000837	CAEEL19270, CAEEL07955	DANRE24017, DANRE05271, DANRE14993, DANRE14992, DANRE14994, DANRE14991, DANRE16122, DANRE05269, DANRE05270, DANRE22660
OG0000842	CAEEL11884	DANRE21395, DANRE21394, DANRE42073, DANRE42074, DANRE02620, DANRE02619, DANRE00091, DANRE00092, DANRE29911, DANRE29912, DANRE24170, DANRE24168, DANRE28182, DANRE28183
OG0000844	CAEEL04872, CAEEL18631, CAEEL05964, CAEEL05848	DANRE22983, DANRE09466, DANRE14008, DANRE14007, DANRE43013, DANRE43012, DANRE26776, DANRE26775, DANRE08927, DANRE08928, DANRE08926
OG0000847	CAEEL07299	DANRE33537, DANRE29369, DANRE29370
OG0000848	CAEEL08378	DANRE38510, DANRE12738, DANRE00454, DANRE00457
OG0000849	CAEEL04333	DANRE40416, DANRE40418, DANRE20686, DANRE20687, DANRE39825, DANRE39325, DANRE12617
