Orthogroup	DROME	MOUSE
OG0000573	DROME20963	MOUSE38345, MOUSE38346, MOUSE35087, MOUSE35088, MOUSE38344, MOUSE38343, MOUSE38342, MOUSE38341, MOUSE29526, MOUSE35086
OG0000573	DROME19690	MOUSE51991, MOUSE51992
OG0000574	DROME20472	MOUSE03800, MOUSE03927, MOUSE06002, MOUSE06003, MOUSE03799
OG0000574	DROME13727	MOUSE03923, MOUSE03922
OG0000574	DROME20471	MOUSE47459, MOUSE47456, MOUSE47457, MOUSE47458, MOUSE47452, MOUSE47455, MOUSE47454, MOUSE47460, MOUSE47453
OG0000575	DROME03938	MOUSE15329, MOUSE15327, MOUSE15326, MOUSE26633, MOUSE26640, MOUSE26630, MOUSE26631, MOUSE26628, MOUSE26625, MOUSE26635, MOUSE26629, MOUSE26626, MOUSE26638, MOUSE26639, MOUSE26636, MOUSE26642, MOUSE26641, MOUSE26624, MOUSE26634, MOUSE26637, MOUSE26627, MOUSE26632, MOUSE13339, MOUSE13341, MOUSE26235, MOUSE26230, MOUSE26233, MOUSE26232, MOUSE26229, MOUSE15328
OG0000576	DROME12649, DROME12657, DROME12653, DROME12651, DROME12650, DROME12655, DROME12654, DROME12648, DROME12652, DROME12656	MOUSE01166, MOUSE14852, MOUSE14850, MOUSE14851, MOUSE40559, MOUSE01164, MOUSE01163, MOUSE01165, MOUSE52581, MOUSE52578, MOUSE52574, MOUSE52580, MOUSE52576, MOUSE52579, MOUSE52577, MOUSE52575, MOUSE52582, MOUSE52584, MOUSE52587, MOUSE52586, MOUSE52585, MOUSE52583
OG0000578	DROME00903, DROME00906, DROME00904, DROME00909, DROME00905, DROME00907, DROME00908	MOUSE20360, MOUSE20359, MOUSE20362, MOUSE20361, MOUSE03091, MOUSE03087, MOUSE03090, MOUSE03088, MOUSE03089, MOUSE07290, MOUSE07291, MOUSE07292
OG0000578	DROME11950, DROME13534	MOUSE42776, MOUSE42775
OG0000579	DROME18276, DROME18279, DROME18282, DROME18281, DROME18280, DROME18278, DROME18277	MOUSE02041, MOUSE23552, MOUSE23553, MOUSE23554, MOUSE23550, MOUSE02042, MOUSE41019, MOUSE41020, MOUSE41018, MOUSE41021, MOUSE54255, MOUSE54257, MOUSE54256
OG0000581	DROME04496, DROME04495	MOUSE18768, MOUSE18769
OG0000581	DROME04316	MOUSE18770, MOUSE07320
OG0000581	DROME12403	MOUSE07322
OG0000582	DROME21391, DROME21390, DROME21388, DROME21389, DROME21385, DROME21387, DROME21386, DROME21392, DROME21393	MOUSE17430, MOUSE17431, MOUSE17428, MOUSE17429, MOUSE23946, MOUSE23947, MOUSE25981, MOUSE25982, MOUSE25983, MOUSE25975, MOUSE25979, MOUSE25984, MOUSE25974, MOUSE25976, MOUSE25978, MOUSE17216, MOUSE17215, MOUSE17213, MOUSE17212, MOUSE17214, MOUSE17211, MOUSE17210, MOUSE23948
OG0000583	DROME11767, DROME11759, DROME11760, DROME11761, DROME11765, DROME11762, DROME11766	MOUSE01784, MOUSE54088, MOUSE54086, MOUSE54089, MOUSE54090, MOUSE54092, MOUSE54087, MOUSE22001, MOUSE32168, MOUSE33890, MOUSE33889, MOUSE33888
OG0000584	DROME06387, DROME06386	MOUSE31344
OG0000585	DROME07476	MOUSE40784, MOUSE40785, MOUSE40786, MOUSE40788, MOUSE40789, MOUSE40787, MOUSE40783, MOUSE40781, MOUSE40782, MOUSE35389, MOUSE35386, MOUSE35387, MOUSE35388, MOUSE35383, MOUSE35384, MOUSE35381, MOUSE35380, MOUSE35382, MOUSE31048, MOUSE31049
OG0000586	DROME05946, DROME05945, DROME05947, DROME05948	MOUSE47314, MOUSE47317, MOUSE47318, MOUSE47316, MOUSE14470, MOUSE14469, MOUSE14468, MOUSE43916, MOUSE43917, MOUSE43918, MOUSE47315
OG0000587	DROME16670, DROME16671, DROME16672	MOUSE22685, MOUSE38303, MOUSE38305, MOUSE38304, MOUSE55325, MOUSE55324, MOUSE55322, MOUSE55323
OG0000587	DROME16137	MOUSE42665, MOUSE42667
OG0000588	DROME00241, DROME00240, DROME20059, DROME09587	MOUSE48786, MOUSE48787, MOUSE31848, MOUSE32353, MOUSE32352
OG0000589	DROME21469, DROME21464, DROME21466, DROME21463, DROME21468, DROME21471, DROME21470, DROME21465, DROME21467	MOUSE42228, MOUSE42229, MOUSE42227, MOUSE42226, MOUSE47183, MOUSE47184, MOUSE47181, MOUSE47182, MOUSE23629, MOUSE23630, MOUSE23628, MOUSE23627
OG0000590	DROME00417	MOUSE05523, MOUSE18372, MOUSE05521, MOUSE05522, MOUSE02546
OG0000591	DROME20132, DROME20133, DROME20134	MOUSE03776, MOUSE03774, MOUSE03773, MOUSE03775
OG0000591	DROME02758	MOUSE45119, MOUSE45118, MOUSE45120, MOUSE45121, MOUSE45116
OG0000591	DROME01434, DROME01432, DROME01435, DROME01433	MOUSE19122
OG0000592	DROME19640	MOUSE27133
OG0000593	DROME07365, DROME07366	MOUSE38540, MOUSE14106, MOUSE06441
OG0000594	DROME15095, DROME15096, DROME15094	MOUSE50535, MOUSE16184, MOUSE16183, MOUSE50537, MOUSE24285, MOUSE24284, MOUSE24283, MOUSE16185, MOUSE50538, MOUSE52223, MOUSE40778, MOUSE40777, MOUSE14517, MOUSE14516
OG0000597	DROME04131, DROME04129, DROME04130	MOUSE46308, MOUSE46307, MOUSE04601, MOUSE04603, MOUSE04605, MOUSE04604, MOUSE20021, MOUSE46309, MOUSE37363
OG0000600	DROME15794, DROME15792, DROME15791, DROME15789, DROME15786, DROME15790, DROME15788, DROME15787, DROME15793, DROME15795, DROME15797, DROME15796	MOUSE54466, MOUSE54465, MOUSE00132, MOUSE00135, MOUSE00136, MOUSE54464, MOUSE00134, MOUSE00133, MOUSE54880, MOUSE54879
OG0000601	DROME21591, DROME21589, DROME21590	MOUSE11094, MOUSE05650, MOUSE11093, MOUSE11086, MOUSE11085, MOUSE11088, MOUSE11087, MOUSE11083, MOUSE11084, MOUSE11090, MOUSE47966
OG0000602	DROME10244	MOUSE54043, MOUSE54042, MOUSE13065, MOUSE13066, MOUSE13067
OG0000603	DROME16375, DROME16373, DROME16372, DROME16376, DROME16374	MOUSE18832, MOUSE18831, MOUSE20286, MOUSE20285, MOUSE20287, MOUSE20288, MOUSE07810, MOUSE07809, MOUSE07808, MOUSE07811, MOUSE18833, MOUSE18834, MOUSE18818, MOUSE18827, MOUSE18819, MOUSE18825, MOUSE18821, MOUSE20289, MOUSE20290, MOUSE18829
OG0000604	DROME04675, DROME04678, DROME04673, DROME04681, DROME04677, DROME04672, DROME04674, DROME04680, DROME04676, DROME04679	MOUSE27357, MOUSE27359, MOUSE27358, MOUSE27356, MOUSE27360, MOUSE08641, MOUSE08640, MOUSE08644, MOUSE43346, MOUSE43345, MOUSE43344, MOUSE08642
OG0000607	DROME11536, DROME11535	MOUSE42215, MOUSE42214, MOUSE42213, MOUSE02133, MOUSE02132, MOUSE02134, MOUSE23595, MOUSE23596
OG0000607	DROME11529, DROME11531, DROME11530, DROME11526, DROME11524, DROME11534, DROME11525, DROME11533, DROME11528, DROME11532, DROME11527	MOUSE23597
OG0000608	DROME19052, DROME19054	MOUSE14204, MOUSE14206, MOUSE14205
OG0000610	DROME02040, DROME02039, DROME02041	MOUSE30757, MOUSE51594, MOUSE51593
OG0000611	DROME19843, DROME19842, DROME19846, DROME19847, DROME19844, DROME19845, DROME19841	MOUSE55274, MOUSE55275, MOUSE55273, MOUSE54663, MOUSE54662, MOUSE54660, MOUSE54658, MOUSE54661, MOUSE54659, MOUSE55276
OG0000611	DROME01553, DROME01552, DROME01554	MOUSE48953, MOUSE48957
OG0000612	DROME04304	MOUSE36201, MOUSE36200, MOUSE36199, MOUSE46782, MOUSE46781, MOUSE40383, MOUSE40382
OG0000612	DROME00841	MOUSE28578, MOUSE28580, MOUSE28579
OG0000613	DROME11661, DROME11657, DROME11660, DROME11656, DROME11658, DROME11659	MOUSE00704, MOUSE00705, MOUSE00703, MOUSE28638, MOUSE34125, MOUSE34127, MOUSE34126, MOUSE34123, MOUSE34124
OG0000614	DROME20120, DROME20121, DROME20122, DROME20119	MOUSE43293
OG0000615	DROME09018, DROME09015, DROME09017, DROME09016, DROME09014, DROME09019	MOUSE29445, MOUSE21962, MOUSE21967, MOUSE21964, MOUSE21961, MOUSE21965, MOUSE21966, MOUSE21963, MOUSE21970, MOUSE21960, MOUSE04243, MOUSE04245, MOUSE04242, MOUSE04244, MOUSE04241, MOUSE04246, MOUSE29446, MOUSE29449, MOUSE29450, MOUSE29452, MOUSE29453, MOUSE29451, MOUSE29448, MOUSE29447
OG0000616	DROME06628, DROME06631, DROME06630, DROME06629	MOUSE43042, MOUSE43044, MOUSE43043, MOUSE43041, MOUSE43050
OG0000619	DROME01411, DROME01409, DROME01406, DROME01407, DROME01404, DROME01403, DROME01408, DROME01405, DROME01410	MOUSE53833, MOUSE53832, MOUSE13100, MOUSE13101, MOUSE13102, MOUSE13104, MOUSE22715, MOUSE22714, MOUSE22713, MOUSE22711, MOUSE22709, MOUSE22710
OG0000623	DROME13642	MOUSE52068
OG0000623	DROME13267, DROME13269, DROME13273, DROME13272, DROME13270, DROME13271, DROME13268, DROME13266, DROME19458, DROME19644, DROME09777, DROME09776	MOUSE05906, MOUSE05905, MOUSE14117
OG0000624	DROME05635, DROME05636, DROME05638, DROME05634, DROME05639, DROME05637, DROME08947, DROME08946, DROME08945	MOUSE05834, MOUSE05836, MOUSE05833, MOUSE05837, MOUSE05835, MOUSE05832, MOUSE20490, MOUSE26414
OG0000625	DROME07819, DROME00264, DROME00265, DROME00249	MOUSE16138, MOUSE16137, MOUSE16139, MOUSE16140, MOUSE16141, MOUSE16136, MOUSE50690, MOUSE50689, MOUSE50691
OG0000628	DROME13958	MOUSE33803, MOUSE33805, MOUSE33806
OG0000628	DROME17423	MOUSE28607, MOUSE00366, MOUSE00365, MOUSE18571, MOUSE18570, MOUSE18572
OG0000635	DROME14325, DROME14327, DROME14326	MOUSE17432
OG0000635	DROME04651, DROME04649, DROME04652	MOUSE42730
OG0000636	DROME13985, DROME13986, DROME13982, DROME13979, DROME13976, DROME13972, DROME13974, DROME13975, DROME13973, DROME13981, DROME13984, DROME13980, DROME13983	MOUSE35989, MOUSE35990, MOUSE35986, MOUSE35987, MOUSE35980, MOUSE35985, MOUSE35979, MOUSE35984, MOUSE35991, MOUSE35982, MOUSE35983, MOUSE35981, MOUSE19615, MOUSE21409, MOUSE21405, MOUSE21413, MOUSE21412, MOUSE21406, MOUSE21410, MOUSE21402, MOUSE21407, MOUSE21403, MOUSE21408, MOUSE21404, MOUSE21411, MOUSE21415, MOUSE21414
OG0000639	DROME11868, DROME11860, DROME11862, DROME11861, DROME11863, DROME11866, DROME11867, DROME11864, DROME11865	MOUSE51940, MOUSE19650, MOUSE19651, MOUSE19647
OG0000639	DROME00355	MOUSE49493, MOUSE49495, MOUSE49496, MOUSE32122, MOUSE28358
OG0000642	DROME16938	MOUSE18753, MOUSE18754
OG0000643	DROME03064, DROME03054, DROME03067, DROME03065, DROME03063, DROME03061, DROME03066, DROME03062, DROME03060, DROME03059, DROME03058, DROME03057, DROME03056, DROME03055	MOUSE43453, MOUSE18626, MOUSE37838, MOUSE37839, MOUSE37831, MOUSE37832, MOUSE37834, MOUSE37836, MOUSE37833, MOUSE37837, MOUSE37835, MOUSE38119, MOUSE38118
OG0000645	DROME14720	MOUSE32254, MOUSE32255, MOUSE51331, MOUSE32253, MOUSE51330
OG0000646	DROME18383, DROME18382, DROME18385, DROME18384	MOUSE15544, MOUSE15545, MOUSE38327
OG0000646	DROME20633, DROME20634, DROME20635	MOUSE12275, MOUSE43672, MOUSE53413, MOUSE53412
OG0000647	DROME13736	MOUSE27946, MOUSE27945, MOUSE27942, MOUSE27941, MOUSE27947, MOUSE27937, MOUSE27938, MOUSE27939, MOUSE27935, MOUSE27943, MOUSE27944, MOUSE27940, MOUSE27936, MOUSE46894, MOUSE46895
OG0000648	DROME08636	MOUSE09142, MOUSE09133, MOUSE09132, MOUSE09134, MOUSE09135, MOUSE09136, MOUSE09138, MOUSE09137, MOUSE09139, MOUSE09140, MOUSE09131, MOUSE09130, MOUSE09143, MOUSE09141, MOUSE49647
OG0000649	DROME04544, DROME04545, DROME01728, DROME21601, DROME08643, DROME00503	MOUSE38973
OG0000650	DROME12896, DROME12897, DROME12895	MOUSE22507, MOUSE02344, MOUSE53197, MOUSE53198, MOUSE25960, MOUSE25962, MOUSE25961, MOUSE25959, MOUSE25964, MOUSE06986, MOUSE06987, MOUSE22508, MOUSE40297, MOUSE40293, MOUSE40295, MOUSE40296, MOUSE40294, MOUSE40292
OG0000651	DROME04446, DROME04444, DROME04448, DROME04445, DROME04443, DROME04449, DROME04447	MOUSE06972, MOUSE02553, MOUSE06973
OG0000652	DROME15382, DROME15380, DROME15381, DROME15386, DROME15385, DROME15379, DROME15384, DROME15383	MOUSE54337
OG0000653	DROME04693, DROME06761	MOUSE48918, MOUSE01579, MOUSE01580, MOUSE40031, MOUSE40032, MOUSE40033, MOUSE10990, MOUSE20427, MOUSE08675, MOUSE42679, MOUSE32732, MOUSE31803, MOUSE31802
OG0000654	DROME02198, DROME02200, DROME02201, DROME02196, DROME02197, DROME02204, DROME02203, DROME02199, DROME02202	MOUSE14618, MOUSE14619, MOUSE25060, MOUSE25062, MOUSE25061, MOUSE25064, MOUSE05334, MOUSE05333, MOUSE05332, MOUSE05331, MOUSE05330, MOUSE26181, MOUSE26182, MOUSE26180, MOUSE26183
OG0000657	DROME04361	MOUSE51830, MOUSE20685, MOUSE20684, MOUSE20683, MOUSE51829, MOUSE51831
OG0000660	DROME08489	MOUSE26589
OG0000660	DROME17870	MOUSE53726, MOUSE02723, MOUSE04889, MOUSE04890
OG0000662	DROME13127, DROME03101, DROME20426	MOUSE19603, MOUSE19601, MOUSE19604, MOUSE19602, MOUSE19605, MOUSE19607, MOUSE19606
OG0000662	DROME18061	MOUSE06501, MOUSE14111, MOUSE06500, MOUSE06499, MOUSE14110
OG0000663	DROME05436	MOUSE13439, MOUSE13440, MOUSE06815, MOUSE06817, MOUSE06816, MOUSE13441
OG0000664	DROME09223, DROME09224, DROME09222, DROME09220, DROME09221, DROME09219	MOUSE22241, MOUSE22240, MOUSE35216, MOUSE35218, MOUSE35217
OG0000666	DROME12576, DROME12575	MOUSE05582, MOUSE41228, MOUSE41218, MOUSE41226, MOUSE41227, MOUSE41215, MOUSE41219, MOUSE41225, MOUSE41224, MOUSE41216, MOUSE41217, MOUSE41230, MOUSE41229, MOUSE05583, MOUSE05581, MOUSE09357, MOUSE09355, MOUSE09353, MOUSE09354, MOUSE09356, MOUSE09348, MOUSE09352, MOUSE09349, MOUSE09350, MOUSE09347, MOUSE09351, MOUSE55143, MOUSE55144, MOUSE55142, MOUSE55141
OG0000670	DROME01272, DROME01274, DROME01273, DROME03671, DROME03670	MOUSE04054, MOUSE04055, MOUSE53933, MOUSE53934, MOUSE47619, MOUSE52285, MOUSE24104, MOUSE24105
OG0000671	DROME17183	MOUSE50487, MOUSE50486, MOUSE50485
OG0000672	DROME01096, DROME01095	MOUSE15523, MOUSE15520, MOUSE15524, MOUSE04067, MOUSE15521
OG0000672	DROME13682	MOUSE41797, MOUSE41126, MOUSE06352, MOUSE41798, MOUSE06353
OG0000674	DROME13823	MOUSE44926, MOUSE44927, MOUSE30738, MOUSE30735, MOUSE30734, MOUSE30736, MOUSE30739, MOUSE44929
OG0000674	DROME12190	MOUSE42020, MOUSE42019, MOUSE42022, MOUSE42021, MOUSE45911, MOUSE45910, MOUSE45912
OG0000676	DROME07205	MOUSE13398, MOUSE13397, MOUSE13396, MOUSE28654, MOUSE28653
OG0000676	DROME15377	MOUSE23124, MOUSE54030, MOUSE54029, MOUSE13098
OG0000680	DROME15155, DROME20131	MOUSE14546, MOUSE14547
OG0000681	DROME11874, DROME11876, DROME11877, DROME11875	MOUSE29729, MOUSE29731, MOUSE29732, MOUSE29734, MOUSE29733, MOUSE53999, MOUSE53998, MOUSE12966, MOUSE12967
OG0000682	DROME07174, DROME07172, DROME07169, DROME07171, DROME07170, DROME07173, DROME07175	MOUSE40533, MOUSE40532, MOUSE40535, MOUSE40534, MOUSE21319, MOUSE21318, MOUSE35907, MOUSE35915, MOUSE35914, MOUSE35910, MOUSE35911, MOUSE35909, MOUSE35912, MOUSE35913
OG0000683	DROME11493, DROME11492	MOUSE54444, MOUSE54443
OG0000683	DROME01831	MOUSE48812, MOUSE48811, MOUSE31819, MOUSE31816, MOUSE31818, MOUSE31817, MOUSE31821
OG0000684	DROME01544, DROME01547, DROME01543, DROME01550, DROME01548, DROME01541, DROME01546, DROME01542, DROME01545, DROME01549, DROME12862	MOUSE19631, MOUSE19633, MOUSE19634, MOUSE19635, MOUSE19636, MOUSE49799, MOUSE49800, MOUSE49801, MOUSE49802
OG0000685	DROME01255, DROME01256, DROME01253, DROME01254	MOUSE44185, MOUSE44186, MOUSE47322, MOUSE47323, MOUSE47321, MOUSE23574, MOUSE23575, MOUSE23573, MOUSE02122, MOUSE02123
OG0000690	DROME09460	MOUSE00475, MOUSE18670, MOUSE34065, MOUSE00474
OG0000690	DROME13136	MOUSE19350
OG0000693	DROME01415, DROME01416, DROME01417, DROME01418	MOUSE34445, MOUSE34447, MOUSE34448, MOUSE34449, MOUSE34450, MOUSE04455, MOUSE04456
OG0000694	DROME18910	MOUSE24535, MOUSE24536, MOUSE24534, MOUSE24752, MOUSE40204, MOUSE40205, MOUSE40203
OG0000696	DROME04806, DROME04805, DROME04807, DROME04804, DROME04808	MOUSE00120
OG0000699	DROME04408, DROME04407, DROME04406	MOUSE45156, MOUSE54589, MOUSE54585, MOUSE54584, MOUSE54588
OG0000700	DROME00190, DROME00191, DROME15357, DROME15356	MOUSE41844
OG0000701	DROME19925, DROME19926, DROME06204, DROME17248	MOUSE09498, MOUSE09495, MOUSE09496, MOUSE00837, MOUSE00838, MOUSE00839, MOUSE00845, MOUSE40359, MOUSE40360, MOUSE02828, MOUSE02827
OG0000702	DROME02010	MOUSE19754, MOUSE19750, MOUSE19745, MOUSE19735, MOUSE19738, MOUSE19742, MOUSE19747, MOUSE19732, MOUSE19728, MOUSE19724, MOUSE19720, MOUSE19719, MOUSE19726, MOUSE19722, MOUSE19721, MOUSE19717, MOUSE19716, MOUSE51901, MOUSE51899, MOUSE51898, MOUSE51903, MOUSE51905, MOUSE51902, MOUSE51897
OG0000703	DROME18602, DROME10089, DROME09744, DROME10003, DROME10370, DROME10371, DROME17633	MOUSE09475, MOUSE09482, MOUSE09477, MOUSE09474, MOUSE09481, MOUSE09478, MOUSE09480, MOUSE31672, MOUSE31674, MOUSE31671, MOUSE31670
OG0000707	DROME03262	MOUSE15244, MOUSE15243
OG0000708	DROME21751, DROME21752	MOUSE31390, MOUSE31389
OG0000708	DROME18239	MOUSE14490, MOUSE54269, MOUSE54268
OG0000709	DROME00103	MOUSE00780, MOUSE00781, MOUSE00782
OG0000710	DROME03605, DROME03612, DROME03607, DROME03615, DROME03608, DROME03610, DROME03609, DROME03614, DROME03606, DROME03613, DROME03611	MOUSE10038, MOUSE10039, MOUSE10037, MOUSE49353
OG0000711	DROME08678	MOUSE44352, MOUSE02178
OG0000711	DROME09749, DROME09750	MOUSE47225, MOUSE47226
OG0000712	DROME20363, DROME20365, DROME20364, DROME20366, DROME20367, DROME12698, DROME12699, DROME12697	MOUSE03200, MOUSE03199, MOUSE53971, MOUSE53972, MOUSE45072, MOUSE45069, MOUSE45071, MOUSE48221, MOUSE48220, MOUSE48222
OG0000713	DROME14995	MOUSE04057, MOUSE54792, MOUSE54791, MOUSE55213, MOUSE55214, MOUSE55212
OG0000715	DROME09525, DROME09528, DROME09523, DROME09527, DROME09526, DROME09524	MOUSE26260, MOUSE26259, MOUSE26258, MOUSE02473, MOUSE02472, MOUSE53172, MOUSE53167, MOUSE53171, MOUSE53168, MOUSE53170, MOUSE53165, MOUSE53166, MOUSE53169, MOUSE53173
OG0000717	DROME21009	MOUSE24202, MOUSE24200, MOUSE24201, MOUSE25900, MOUSE25903, MOUSE25902, MOUSE25901, MOUSE17621, MOUSE25898, MOUSE17620, MOUSE17618, MOUSE17619, MOUSE25897, MOUSE48390, MOUSE48391, MOUSE48394, MOUSE48392, MOUSE48393, MOUSE25899
OG0000718	DROME16064, DROME16063, DROME16059, DROME16062, DROME16061, DROME16060	MOUSE30953, MOUSE43056, MOUSE43055, MOUSE43054, MOUSE24376, MOUSE24375, MOUSE24369, MOUSE43537, MOUSE43538, MOUSE12486
OG0000720	DROME08828	MOUSE19535, MOUSE19536, MOUSE51696, MOUSE51698, MOUSE51695, MOUSE51697
OG0000721	DROME21732	MOUSE02762, MOUSE02761, MOUSE02760, MOUSE02765, MOUSE02764
OG0000721	DROME19802, DROME19803, DROME19797, DROME19800, DROME19798, DROME19799, DROME19801	MOUSE02763
OG0000722	DROME08261, DROME08260	MOUSE27353, MOUSE08639, MOUSE20386, MOUSE27055, MOUSE39386
OG0000724	DROME18296, DROME18300, DROME18301, DROME18294, DROME18295, DROME18297, DROME18299, DROME18298	MOUSE18210, MOUSE18209, MOUSE27554, MOUSE27553, MOUSE27552, MOUSE27551
OG0000725	DROME01937	MOUSE31731, MOUSE31730, MOUSE31732
OG0000725	DROME21529, DROME21530, DROME21531, DROME21532	MOUSE41865, MOUSE41864, MOUSE41867, MOUSE41868, MOUSE45804, MOUSE45803, MOUSE45805
OG0000726	DROME21495, DROME21494, DROME21492, DROME21493	MOUSE18851, MOUSE18868, MOUSE18854, MOUSE18855, MOUSE18870, MOUSE18857, MOUSE18848, MOUSE18866, MOUSE18865, MOUSE18850, MOUSE18841, MOUSE18847, MOUSE18859, MOUSE18852, MOUSE18846, MOUSE18849, MOUSE18862, MOUSE18844, MOUSE18861, MOUSE18867, MOUSE18853, MOUSE18864, MOUSE18860, MOUSE18845, MOUSE18858, MOUSE18842, MOUSE18856, MOUSE18871, MOUSE18872, MOUSE18843, MOUSE22343, MOUSE22340, MOUSE22341, MOUSE22342, MOUSE14710
OG0000730	DROME18332	MOUSE02569, MOUSE22100, MOUSE22099
OG0000730	DROME18387	MOUSE08715, MOUSE23276, MOUSE02405, MOUSE02406
OG0000731	DROME03051, DROME03053, DROME03052	MOUSE15688, MOUSE15689, MOUSE15687, MOUSE15694, MOUSE15693, MOUSE15695, MOUSE15691, MOUSE15692, MOUSE55085, MOUSE55084, MOUSE55086, MOUSE55083, MOUSE12888, MOUSE12887, MOUSE38373, MOUSE38370, MOUSE38371, MOUSE38367
OG0000732	DROME00208, DROME00209	MOUSE31018, MOUSE55029, MOUSE23136, MOUSE23139, MOUSE23138, MOUSE23137, MOUSE23135
OG0000732	DROME15061	MOUSE50346, MOUSE33183
OG0000733	DROME17454	MOUSE07355, MOUSE07356, MOUSE20245, MOUSE24781
OG0000733	DROME15558, DROME15560, DROME15556, DROME15557, DROME15561, DROME15562, DROME15564, DROME15563, DROME15559	MOUSE08117, MOUSE08121, MOUSE08120, MOUSE08119, MOUSE08118, MOUSE18227
OG0000734	DROME17455	MOUSE25399, MOUSE25398, MOUSE25401, MOUSE25403, MOUSE25402, MOUSE25400, MOUSE31239, MOUSE31240
OG0000735	DROME13083, DROME13084, DROME13089, DROME13086, DROME13097, DROME13098, DROME13085, DROME13100, DROME13096, DROME13092, DROME13101, DROME13102, DROME13090, DROME13099, DROME13091, DROME13095, DROME13087, DROME13094, DROME13088, DROME13093	MOUSE00416, MOUSE00415, MOUSE00410, MOUSE00414, MOUSE00409, MOUSE00411, MOUSE00413, MOUSE00412, MOUSE28517, MOUSE28516, MOUSE13496, MOUSE13495, MOUSE13497, MOUSE13498, MOUSE13499
OG0000736	DROME02615, DROME02614	MOUSE53161, MOUSE53162, MOUSE14814
OG0000736	DROME09313	MOUSE26390, MOUSE25145
OG0000737	DROME16700, DROME16699, DROME17539, DROME17538, DROME17537, DROME17535, DROME17536, DROME17534, DROME17533	MOUSE46613, MOUSE46612, MOUSE46617, MOUSE46614, MOUSE40553, MOUSE46611, MOUSE40552, MOUSE40548, MOUSE40546, MOUSE40545, MOUSE40549, MOUSE40551, MOUSE40547, MOUSE46619, MOUSE46616, MOUSE46615, MOUSE40550
OG0000740	DROME19981	MOUSE28205, MOUSE13925
OG0000740	DROME13667	MOUSE39996
OG0000740	DROME06456	MOUSE00896
OG0000744	DROME09899	MOUSE11975, MOUSE11971, MOUSE11972, MOUSE11974, MOUSE11973, MOUSE11976, MOUSE29332, MOUSE29329, MOUSE29331, MOUSE29330, MOUSE29334, MOUSE29333, MOUSE29335, MOUSE28348, MOUSE28346, MOUSE28345, MOUSE28349, MOUSE28347, MOUSE11977
OG0000745	DROME04604, DROME04605, DROME04603, DROME04602, DROME04600, DROME04601, DROME04599, DROME04598, DROME04596, DROME04597, DROME02290, DROME02291	MOUSE18764
OG0000749	DROME10988, DROME10987	MOUSE18217, MOUSE20120, MOUSE20122, MOUSE20121, MOUSE08204, MOUSE08206, MOUSE08207, MOUSE08203, MOUSE08205, MOUSE42798, MOUSE42797
OG0000751	DROME06060, DROME06059, DROME06061, DROME06062	MOUSE39754, MOUSE39752, MOUSE15496, MOUSE15495
OG0000752	DROME15461	MOUSE21464
OG0000752	DROME09086	MOUSE55217, MOUSE55218
OG0000752	DROME20521, DROME11363	MOUSE33600, MOUSE33598, MOUSE33597, MOUSE48905, MOUSE48904
OG0000753	DROME16114, DROME16113	MOUSE27739, MOUSE27738
OG0000753	DROME22017, DROME22016, DROME22019, DROME22018, DROME22021	MOUSE24295, MOUSE24293, MOUSE24296, MOUSE24294, MOUSE50919, MOUSE50920, MOUSE50917
OG0000755	DROME04400, DROME04398, DROME04396, DROME04397, DROME04399	MOUSE12361, MOUSE08954, MOUSE08955, MOUSE08952
OG0000755	DROME04395	MOUSE12362
OG0000757	DROME07057	MOUSE06107, MOUSE06110, MOUSE01204, MOUSE01202, MOUSE01200, MOUSE01207, MOUSE01201, MOUSE01203, MOUSE06109, MOUSE06108, MOUSE01205, MOUSE46249, MOUSE46248
OG0000758	DROME04523, DROME04522, DROME04521	MOUSE34388, MOUSE13666, MOUSE13663, MOUSE13662, MOUSE13667, MOUSE13664, MOUSE13661, MOUSE13658, MOUSE13659, MOUSE13668, MOUSE13665, MOUSE13660, MOUSE13669, MOUSE06777, MOUSE06779, MOUSE06780, MOUSE06778
OG0000759	DROME01056	MOUSE35555
OG0000759	DROME03914, DROME03913, DROME01209, DROME01208	MOUSE35556, MOUSE35553, MOUSE35552, MOUSE35554, MOUSE23327, MOUSE23328
OG0000761	DROME04780, DROME04784, DROME04782, DROME04781, DROME04785, DROME04783	MOUSE26055, MOUSE26056, MOUSE18487, MOUSE23696, MOUSE23693, MOUSE23695, MOUSE23694, MOUSE23692
OG0000762	DROME02274, DROME02276, DROME02279, DROME02278, DROME02272, DROME02275, DROME02277, DROME02273	MOUSE39900, MOUSE14916, MOUSE14919, MOUSE14917, MOUSE26582, MOUSE26581, MOUSE26580, MOUSE26579, MOUSE26583, MOUSE39898, MOUSE39901, MOUSE39903, MOUSE39902, MOUSE39899, MOUSE39896, MOUSE39897
OG0000763	DROME19244, DROME19245, DROME19240, DROME19243, DROME19242, DROME19241, DROME19239, DROME19232, DROME19237, DROME19234, DROME19238, DROME19233, DROME19236, DROME19235	MOUSE30407, MOUSE19448, MOUSE19447, MOUSE48537, MOUSE48539, MOUSE48536, MOUSE48535, MOUSE48538, MOUSE19449, MOUSE48540, MOUSE42999, MOUSE42998
OG0000764	DROME10902, DROME10903	MOUSE31889, MOUSE18475, MOUSE25826, MOUSE25823
OG0000765	DROME04789, DROME04788	MOUSE30890, MOUSE30889, MOUSE37512, MOUSE37513
