Orthogroup	DROME	NEMVE
OG0000611	DROME01553, DROME01552, DROME01554	NEMVE05786
OG0000612	DROME04304	NEMVE12444, NEMVE10606, NEMVE19230
OG0000612	DROME00841	NEMVE05951
OG0000614	DROME20120, DROME20121, DROME20122, DROME20119	NEMVE17877, NEMVE14696, NEMVE17143, NEMVE24296, NEMVE11934, NEMVE17876
OG0000615	DROME09018, DROME09015, DROME09017, DROME09016, DROME09014, DROME09019	NEMVE07646, NEMVE07648
OG0000616	DROME06628, DROME06631, DROME06630, DROME06629	NEMVE10226
OG0000622	DROME02917	NEMVE26021, NEMVE25823
OG0000623	DROME13642	NEMVE01534
OG0000623	DROME13267, DROME13269, DROME13273, DROME13272, DROME13270, DROME13271, DROME13268, DROME13266, DROME19458, DROME19644, DROME09777, DROME09776	NEMVE08660
OG0000624	DROME05635, DROME05636, DROME05638, DROME05634, DROME05639, DROME05637, DROME08947, DROME08946, DROME08945	NEMVE22364
OG0000625	DROME07819, DROME00264, DROME00265, DROME00249	NEMVE09632
OG0000627	DROME00612, DROME00609, DROME00610, DROME00607, DROME00611, DROME00608, DROME07604, DROME07603	NEMVE26024, NEMVE23606
OG0000628	DROME13958	NEMVE01732
OG0000628	DROME17423	NEMVE14770, NEMVE01487
OG0000629	DROME03521	NEMVE16462
OG0000629	DROME15755	NEMVE13785, NEMVE07687, NEMVE07704
OG0000636	DROME13985, DROME13986, DROME13982, DROME13979, DROME13976, DROME13972, DROME13974, DROME13975, DROME13973, DROME13981, DROME13984, DROME13980, DROME13983	NEMVE13522
OG0000637	DROME07298	NEMVE17467
OG0000639	DROME11868, DROME11860, DROME11862, DROME11861, DROME11863, DROME11866, DROME11867, DROME11864, DROME11865	NEMVE13335
OG0000639	DROME00355	NEMVE13125, NEMVE04888
OG0000642	DROME16938	NEMVE04073, NEMVE20533, NEMVE01613, NEMVE08879
OG0000643	DROME03064, DROME03054, DROME03067, DROME03065, DROME03063, DROME03061, DROME03066, DROME03062, DROME03060, DROME03059, DROME03058, DROME03057, DROME03056, DROME03055	NEMVE06808, NEMVE10252, NEMVE10253
OG0000645	DROME14720	NEMVE23952
OG0000646	DROME18383, DROME18382, DROME18385, DROME18384	NEMVE08138
OG0000646	DROME20633, DROME20634, DROME20635	NEMVE10645
OG0000647	DROME03300, DROME11896, DROME11895, DROME10272, DROME05266, DROME05267, DROME13736	NEMVE14504, NEMVE21056
OG0000648	DROME08636	NEMVE15084, NEMVE22274
OG0000649	DROME04544, DROME04545, DROME01728, DROME21601, DROME08643, DROME00503	NEMVE05779
OG0000650	DROME12896, DROME12897, DROME12895	NEMVE00579, NEMVE08484
OG0000651	DROME04446, DROME04444, DROME04448, DROME04445, DROME04443, DROME04449, DROME04447	NEMVE14632
OG0000654	DROME02198, DROME02200, DROME02201, DROME02196, DROME02197, DROME02204, DROME02203, DROME02199, DROME02202	NEMVE10112
OG0000657	DROME04361	NEMVE20682, NEMVE25706, NEMVE01678, NEMVE25705, NEMVE20473, NEMVE12346, NEMVE25351, NEMVE21856
OG0000660	DROME08489	NEMVE09574
OG0000660	DROME17870	NEMVE22331
OG0000662	DROME13127, DROME03101, DROME20426	NEMVE13299, NEMVE13159
OG0000662	DROME18061	NEMVE01041
OG0000663	DROME05436	NEMVE12167
OG0000664	DROME09223, DROME09224, DROME09222, DROME09220, DROME09221, DROME09219	NEMVE23867
OG0000670	DROME01272, DROME01274, DROME01273, DROME03671, DROME03670	NEMVE22694
OG0000672	DROME01096, DROME01095	NEMVE22550, NEMVE12239
OG0000672	DROME13682	NEMVE22511
OG0000674	DROME13823	NEMVE08889
OG0000674	DROME12190	NEMVE21073, NEMVE10599
OG0000676	DROME07205	NEMVE24025
OG0000676	DROME15377	NEMVE10858, NEMVE20237, NEMVE10856
OG0000678	DROME19369, DROME19367, DROME19365, DROME19366, DROME19368	NEMVE09555
OG0000680	DROME15155, DROME20131	NEMVE06900, NEMVE06887, NEMVE25832
OG0000681	DROME11874, DROME11876, DROME11877, DROME11875	NEMVE03851
OG0000682	DROME07174, DROME07172, DROME07169, DROME07171, DROME07170, DROME07173, DROME07175	NEMVE17718
OG0000683	DROME11493, DROME11492	NEMVE21952
OG0000683	DROME01831	NEMVE09341
OG0000685	DROME01255, DROME01256, DROME01253, DROME01254	NEMVE02060
OG0000690	DROME09460	NEMVE04578
OG0000690	DROME13136	NEMVE08336
OG0000691	DROME16223, DROME16222	NEMVE06640, NEMVE12573, NEMVE06656
OG0000691	DROME03625	NEMVE15878
OG0000692	DROME13871, DROME13870	NEMVE06218, NEMVE05252, NEMVE06220, NEMVE20255
OG0000693	DROME01415, DROME01416, DROME01417, DROME01418	NEMVE08217, NEMVE08755
OG0000694	DROME18910	NEMVE18564
OG0000696	DROME04806, DROME04805, DROME04807, DROME04804, DROME04808	NEMVE01737
OG0000700	DROME00190, DROME00191, DROME15357, DROME15356	NEMVE20231, NEMVE20652
OG0000701	DROME19925, DROME19926, DROME06204, DROME17248	NEMVE21835
OG0000702	DROME02010	NEMVE17196
OG0000703	DROME18602, DROME10089, DROME09744, DROME10003, DROME10370, DROME10371, DROME17633	NEMVE15172
OG0000708	DROME21751, DROME21752	NEMVE25462
OG0000708	DROME18239	NEMVE24967
OG0000710	DROME03605, DROME03612, DROME03607, DROME03615, DROME03608, DROME03610, DROME03609, DROME03614, DROME03606, DROME03613, DROME03611	NEMVE10055
OG0000711	DROME09984, DROME09982, DROME09983, DROME08678, DROME09749, DROME09750	NEMVE22699
OG0000713	DROME14995	NEMVE16643, NEMVE17891, NEMVE22671, NEMVE16279
OG0000715	DROME09525, DROME09528, DROME09523, DROME09527, DROME09526, DROME09524	NEMVE04746
OG0000717	DROME21009	NEMVE21831
OG0000718	DROME16064, DROME16063, DROME16059, DROME16062, DROME16061, DROME16060	NEMVE14726, NEMVE25058
OG0000720	DROME08828	NEMVE07453
OG0000721	DROME21732	NEMVE22360
OG0000721	DROME19802, DROME19803, DROME19797, DROME19800, DROME19798, DROME19799, DROME19801	NEMVE25732
OG0000722	DROME08261, DROME08260, DROME13636, DROME13637	NEMVE02310
OG0000724	DROME18296, DROME18300, DROME18301, DROME18294, DROME18295, DROME18297, DROME18299, DROME18298	NEMVE05669
OG0000725	DROME01937	NEMVE13886
OG0000725	DROME21529, DROME21530, DROME21531, DROME21532	NEMVE15404, NEMVE03108
OG0000726	DROME21495, DROME21494, DROME21492, DROME21493	NEMVE24264
OG0000730	DROME18332	NEMVE15279
OG0000730	DROME00495	NEMVE09750
OG0000731	DROME03051, DROME03053, DROME03052	NEMVE14724
OG0000732	DROME00208, DROME00209	NEMVE16239
OG0000732	DROME15061	NEMVE22346
OG0000733	DROME17454	NEMVE13174
OG0000733	DROME15558, DROME15560, DROME15556, DROME15557, DROME15561, DROME15562, DROME15564, DROME15563, DROME15559	NEMVE19750, NEMVE00072
OG0000734	DROME17455	NEMVE19740
OG0000735	DROME13083, DROME13084, DROME13089, DROME13086, DROME13097, DROME13098, DROME13085, DROME13100, DROME13096, DROME13092, DROME13101, DROME13102, DROME13090, DROME13099, DROME13091, DROME13095, DROME13087, DROME13094, DROME13088, DROME13093	NEMVE14467
OG0000737	DROME16700, DROME16699, DROME17539, DROME17538, DROME17537, DROME17535, DROME17536, DROME17534, DROME17533	NEMVE10658
OG0000740	DROME19981	NEMVE01913
OG0000740	DROME17246	NEMVE19718, NEMVE22222, NEMVE02336, NEMVE18361
OG0000744	DROME09899	NEMVE09152
OG0000745	DROME04604, DROME04605, DROME04603, DROME04602, DROME04600, DROME04601, DROME04599, DROME04598, DROME04596, DROME04597, DROME02290, DROME02291	NEMVE09518, NEMVE18143
OG0000747	DROME04467	NEMVE17249, NEMVE13791
OG0000749	DROME10988, DROME10987	NEMVE13534
OG0000751	DROME06060, DROME06059, DROME06061, DROME06062	NEMVE06350
OG0000752	DROME09086	NEMVE14796, NEMVE20340
OG0000752	DROME20521, DROME11363	NEMVE15527
OG0000753	DROME16114, DROME16113	NEMVE09279, NEMVE20008
OG0000753	DROME22017, DROME22016, DROME22019, DROME22018, DROME22021	NEMVE09763
OG0000753	DROME22020	NEMVE18346
OG0000755	DROME04400, DROME04398, DROME04396, DROME04397, DROME04399	NEMVE04854
OG0000755	DROME04395	NEMVE04839
OG0000757	DROME07057	NEMVE25201
OG0000759	DROME01056	NEMVE07096
OG0000759	DROME11263, DROME11264, DROME11262, DROME11261, DROME01055, DROME03914, DROME03913, DROME01209, DROME01208	NEMVE07127, NEMVE15354
OG0000761	DROME04780, DROME04784, DROME04782, DROME04781, DROME04785, DROME04783	NEMVE07056
OG0000762	DROME02274, DROME02276, DROME02279, DROME02278, DROME02272, DROME02275, DROME02277, DROME02273	NEMVE08946
OG0000765	DROME04789, DROME04788	NEMVE15020
OG0000766	DROME06054, DROME06055, DROME01015	NEMVE13890
OG0000767	DROME14005, DROME12823, DROME12824	NEMVE21839
OG0000772	DROME13216	NEMVE14663, NEMVE13205
OG0000772	DROME03561, DROME03562, DROME03559, DROME03560, DROME03558, DROME03563	NEMVE10521, NEMVE10515, NEMVE14130, NEMVE06923
OG0000774	DROME18935, DROME18934	NEMVE14955, NEMVE01618
OG0000775	DROME05200	NEMVE13607, NEMVE14906
OG0000776	DROME20100, DROME20102, DROME20101	NEMVE25221, NEMVE11470, NEMVE23261
OG0000777	DROME05836	NEMVE21910, NEMVE15143
OG0000778	DROME11783, DROME11782	NEMVE13753
OG0000779	DROME13622	NEMVE24334
OG0000779	DROME20961	NEMVE02313
OG0000780	DROME16908	NEMVE09488, NEMVE02513, NEMVE00281, NEMVE20933, NEMVE05745, NEMVE05870
OG0000782	DROME04768, DROME04767, DROME04769, DROME04770, DROME04778, DROME04776, DROME04766, DROME04773, DROME04772, DROME04765, DROME04775, DROME04771, DROME04774, DROME04777	NEMVE10772
OG0000784	DROME16135, DROME14707, DROME14708, DROME14827, DROME12579, DROME12578	NEMVE16267
OG0000786	DROME17888, DROME17889	NEMVE03694
OG0000787	DROME06230	NEMVE12098
OG0000788	DROME11403	NEMVE01862
OG0000791	DROME16118, DROME16117, DROME16116, DROME16119, DROME16121, DROME16120	NEMVE13487
OG0000793	DROME20859, DROME20860	NEMVE19406
OG0000794	DROME04329, DROME04334, DROME04330, DROME04337, DROME04333, DROME04335, DROME04336, DROME04331, DROME04332	NEMVE13875
OG0000795	DROME09200	NEMVE18602
OG0000796	DROME18203	NEMVE06742
OG0000797	DROME01160, DROME01161, DROME01159	NEMVE07332, NEMVE20914
OG0000798	DROME10020, DROME10018, DROME10014, DROME10015, DROME10021, DROME10016, DROME10019, DROME10022, DROME10017, DROME10013	NEMVE05537
OG0000799	DROME17162	NEMVE24041
OG0000800	DROME19714	NEMVE14672, NEMVE19724, NEMVE21859, NEMVE14222, NEMVE11273, NEMVE13140, NEMVE06468
OG0000803	DROME06528, DROME04971, DROME16667, DROME08404, DROME08406, DROME08405, DROME06525, DROME06526, DROME15315, DROME15314, DROME15313, DROME14537, DROME01677, DROME14535, DROME14536, DROME17631, DROME09542, DROME09543, DROME19328, DROME18830, DROME15873	NEMVE22189
OG0000809	DROME15572, DROME15573	NEMVE08335, NEMVE12321
OG0000810	DROME04963, DROME04962, DROME04964	NEMVE18390
OG0000810	DROME08670	NEMVE02291
OG0000813	DROME18040, DROME18039	NEMVE25754, NEMVE22200, NEMVE24635
OG0000814	DROME05066, DROME05065, DROME03302, DROME03301, DROME03299, DROME03298, DROME04088, DROME04090	NEMVE06776, NEMVE16660
OG0000815	DROME01377, DROME01376	NEMVE13499
OG0000816	DROME03072, DROME03071, DROME03076, DROME03075	NEMVE14127, NEMVE00812
OG0000817	DROME16006	NEMVE14686
OG0000817	DROME02008	NEMVE01689, NEMVE21825
OG0000817	DROME06292	NEMVE14311
OG0000818	DROME03806, DROME03805	NEMVE08706
OG0000819	DROME19692	NEMVE14350
OG0000819	DROME00768, DROME00769	NEMVE07543, NEMVE14834
OG0000820	DROME04117, DROME04116, DROME04115	NEMVE08902
OG0000822	DROME01380, DROME09748, DROME09747	NEMVE07227
OG0000825	DROME11281	NEMVE07795, NEMVE11350
OG0000826	DROME12091	NEMVE01532, NEMVE25209
OG0000827	DROME17067	NEMVE06012
OG0000828	DROME20305	NEMVE13102, NEMVE13594
OG0000828	DROME19137	NEMVE15094
OG0000829	DROME18116, DROME07642	NEMVE08791
OG0000833	DROME15101	NEMVE07049
OG0000833	DROME00525, DROME00524, DROME00526, DROME20451, DROME20452, DROME18499, DROME18498	NEMVE18727
OG0000834	DROME13922	NEMVE05965
OG0000835	DROME14049, DROME14051, DROME14048, DROME14057, DROME14058	NEMVE10452
OG0000836	DROME02582, DROME02579, DROME02580, DROME02581	NEMVE01499
OG0000837	DROME05419, DROME18149	NEMVE25541
OG0000841	DROME06878, DROME06876, DROME06877, DROME06879	NEMVE05492
OG0000842	DROME10888, DROME10889	NEMVE20517, NEMVE23509, NEMVE25014, NEMVE03321, NEMVE17616, NEMVE24628, NEMVE17617
OG0000844	DROME14407, DROME14403, DROME14406, DROME14408, DROME14404, DROME14409	NEMVE07470, NEMVE07462
OG0000847	DROME16726	NEMVE17291, NEMVE07778
OG0000847	DROME03898, DROME03895, DROME03896, DROME03897	NEMVE08888
OG0000848	DROME00579, DROME00580	NEMVE21784
OG0000848	DROME19683	NEMVE13752
OG0000849	DROME20644, DROME20643, DROME20641, DROME20642, DROME20640, DROME20638, DROME20637, DROME20639	NEMVE14809
OG0000850	DROME12440, DROME20308	NEMVE15099, NEMVE19061
OG0000850	DROME12322	NEMVE12252, NEMVE21917
OG0000851	DROME20685, DROME20686	NEMVE23273
OG0000852	DROME03192, DROME03193, DROME03191	NEMVE25782
OG0000852	DROME08938, DROME08937	NEMVE07789
OG0000853	DROME21372, DROME21371, DROME21369, DROME21373, DROME21370	NEMVE23651
OG0000857	DROME20946, DROME20950, DROME20948, DROME20947, DROME20949, DROME20951	NEMVE18201
OG0000858	DROME07517, DROME07518	NEMVE05877
OG0000859	DROME03370, DROME03371	NEMVE19193, NEMVE00437
OG0000860	DROME09397, DROME09396, DROME09404, DROME09403, DROME09399, DROME09402, DROME09401, DROME09400, DROME09405, DROME09398	NEMVE23955, NEMVE13259
OG0000868	DROME19682	NEMVE12988
OG0000868	DROME18402	NEMVE09127
OG0000869	DROME06391	NEMVE23299
OG0000870	DROME20283	NEMVE02461, NEMVE01574
OG0000871	DROME14585	NEMVE16871
OG0000871	DROME03028	NEMVE14071
OG0000872	DROME09696, DROME09697, DROME09695	NEMVE14190
OG0000873	DROME18351, DROME18349, DROME18350, DROME18353, DROME18354, DROME18352	NEMVE10811
OG0000874	DROME04338	NEMVE25069, NEMVE09252, NEMVE05700, NEMVE13256, NEMVE15310, NEMVE13222, NEMVE18182, NEMVE17061, NEMVE18841, NEMVE13223, NEMVE01986, NEMVE02990, NEMVE11626
OG0000875	DROME01940, DROME01939	NEMVE19619
OG0000875	DROME06587	NEMVE14079
OG0000876	DROME08528, DROME08526, DROME08524, DROME08527, DROME08525	NEMVE02940, NEMVE11949
OG0000878	DROME07549	NEMVE02420
OG0000879	DROME00001, DROME21621, DROME11009	NEMVE13129
OG0000880	DROME13991, DROME13992	NEMVE13288
OG0000881	DROME06288, DROME06289	NEMVE13265
OG0000881	DROME20749, DROME20746, DROME20750, DROME20748, DROME20747, DROME20751, DROME20752, DROME20753	NEMVE14845
OG0000882	DROME12593, DROME12592, DROME12589, DROME12588, DROME12591, DROME12590	NEMVE02007
OG0000887	DROME18142, DROME18141, DROME05592	NEMVE10146
OG0000888	DROME13818	NEMVE10813
OG0000888	DROME15657	NEMVE11848
OG0000889	DROME20531, DROME20532	NEMVE22565
OG0000889	DROME20008	NEMVE14419
OG0000890	DROME03618, DROME03621, DROME03619, DROME03616, DROME03617, DROME03620	NEMVE11671
OG0000894	DROME01898, DROME01895, DROME01896, DROME01894, DROME01897	NEMVE23274
OG0000894	DROME08778, DROME08777	NEMVE14617
OG0000896	DROME07637, DROME07636	NEMVE10977
OG0000897	DROME09205, DROME09206	NEMVE06224, NEMVE12475
OG0000904	DROME14411, DROME14410	NEMVE08753
OG0000905	DROME11749	NEMVE24633
OG0000906	DROME09411	NEMVE15755, NEMVE08831, NEMVE02278, NEMVE03808
OG0000907	DROME01472, DROME01473, DROME01474, DROME01471	NEMVE17906, NEMVE00986
OG0000909	DROME21889, DROME21890, DROME21873, DROME21876, DROME21877, DROME21875	NEMVE10272
OG0000911	DROME15954, DROME15951, DROME15953, DROME15956, DROME15955, DROME15952, DROME15957	NEMVE24020
OG0000913	DROME01636, DROME01633, DROME01634, DROME01635, DROME10634, DROME10638, DROME10637, DROME10636, DROME10635, DROME10633, DROME05629, DROME10407, DROME10406, DROME08899, DROME10631, DROME10640, DROME10639, DROME21277, DROME21276, DROME21275	NEMVE23286, NEMVE05585, NEMVE00499, NEMVE04717
OG0000914	DROME20954, DROME12686, DROME12687, DROME12688, DROME12689, DROME12694, DROME12693, DROME12692, DROME12691, DROME12690, DROME06233, DROME06234, DROME06235	NEMVE08606
OG0000921	DROME01540	NEMVE04805
OG0000921	DROME21958	NEMVE19737, NEMVE09442
OG0000925	DROME02762, DROME02761	NEMVE21937, NEMVE05629, NEMVE00068
OG0000925	DROME13733, DROME13734	NEMVE22442, NEMVE00338
OG0000926	DROME13962, DROME13964, DROME13963, DROME13961	NEMVE13598, NEMVE10833
OG0000929	DROME02144, DROME02147, DROME02145, DROME02146, DROME02148, DROME02143	NEMVE10278
OG0000931	DROME06107, DROME06103, DROME06106, DROME06105, DROME06104	NEMVE13552
OG0000933	DROME00363	NEMVE25450, NEMVE09603, NEMVE12353
OG0000934	DROME18021	NEMVE09369
OG0000934	DROME12197, DROME12198	NEMVE07036
OG0000935	DROME19387	NEMVE24478, NEMVE06639
OG0000944	DROME05002, DROME05004, DROME05003, DROME05001, DROME05005, DROME04999, DROME05000	NEMVE07708
OG0000945	DROME11635, DROME10522	NEMVE22316, NEMVE22428
OG0000946	DROME18472, DROME18473, DROME18474, DROME18476	NEMVE07731
OG0000947	DROME14910, DROME14909	NEMVE04758
OG0000949	DROME20631	NEMVE24705, NEMVE16573, NEMVE25704, NEMVE24321
OG0000950	DROME15080, DROME15081, DROME15075, DROME15077, DROME15078, DROME15076, DROME15082, DROME15083, DROME15079	NEMVE09986, NEMVE08112
OG0000953	DROME12838, DROME10330	NEMVE12932
OG0000954	DROME12405, DROME12406, DROME12407	NEMVE05247, NEMVE12295
OG0000955	DROME04991, DROME04992, DROME04993, DROME04990	NEMVE14901
OG0000955	DROME02414	NEMVE06008
OG0000957	DROME11550, DROME11548, DROME11549	NEMVE00980
OG0000958	DROME14600, DROME14604, DROME14602, DROME14603, DROME14601, DROME14605, DROME10611, DROME10609, DROME10610, DROME10608, DROME12027	NEMVE24805, NEMVE17902
OG0000960	DROME04151, DROME04150, DROME04154, DROME04153, DROME04158, DROME04156, DROME04161, DROME04149, DROME04152, DROME04155, DROME04157, DROME04160, DROME04159	NEMVE05470, NEMVE02244
OG0000963	DROME09182, DROME09184, DROME09183, DROME07082	NEMVE21538, NEMVE06216, NEMVE03242
OG0000965	DROME10303	NEMVE10501
OG0000965	DROME10622	NEMVE02072
OG0000966	DROME05703	NEMVE06690
OG0000967	DROME01950, DROME01951, DROME01952	NEMVE11722, NEMVE10506
OG0000968	DROME19457	NEMVE10433
OG0000969	DROME17496	NEMVE14628
OG0000972	DROME02149, DROME02155, DROME02156	NEMVE04609, NEMVE00954
OG0000972	DROME12808, DROME12809	NEMVE10082
OG0000974	DROME20587, DROME20537, DROME20538	NEMVE13444
OG0000978	DROME08128, DROME08129, DROME08130, DROME08127, DROME08125, DROME08126	NEMVE25212
OG0000979	DROME10162, DROME10163, DROME10160, DROME10161, DROME10164	NEMVE17920, NEMVE04790, NEMVE16326
OG0000982	DROME07397, DROME07866, DROME07869, DROME07868, DROME07870, DROME07867	NEMVE07619, NEMVE11958
OG0000984	DROME12019, DROME07638	NEMVE21717, NEMVE12738, NEMVE25727
OG0000985	DROME16403, DROME16400, DROME16401, DROME16404, DROME16402	NEMVE09786, NEMVE11913
OG0000986	DROME00033, DROME00029, DROME00034	NEMVE22205, NEMVE22638
OG0000987	DROME05032, DROME05034, DROME05033, DROME05035, DROME05036	NEMVE05580
OG0000988	DROME19158	NEMVE15851, NEMVE11568, NEMVE19955, NEMVE23928, NEMVE06782
OG0000992	DROME02382, DROME02383	NEMVE11620, NEMVE04858
OG0000994	DROME20689	NEMVE24464
OG0000994	DROME05396	NEMVE05403
OG0000997	DROME21618, DROME00173	NEMVE15784
OG0000999	DROME05157, DROME05156	NEMVE24735, NEMVE22489, NEMVE11957, NEMVE00092
OG0001000	DROME14938, DROME14943, DROME14945, DROME14944, DROME14942, DROME14939, DROME14940, DROME14941	NEMVE02448
OG0001001	DROME01963, DROME01964, DROME01966, DROME01965	NEMVE20649, NEMVE24599, NEMVE12542
OG0001002	DROME16267, DROME12122, DROME12123, DROME12119, DROME12118, DROME12121, DROME12120, DROME17836, DROME17837	NEMVE09531, NEMVE19920
OG0001004	DROME18265, DROME18264	NEMVE06123
OG0001005	DROME16898	NEMVE10101
OG0001006	DROME12303	NEMVE21915
OG0001008	DROME03430, DROME03431, DROME03434, DROME03433, DROME03432, DROME03436, DROME03435, DROME03437, DROME03438	NEMVE24531
OG0001009	DROME10731	NEMVE22406, NEMVE02505
OG0001013	DROME18675, DROME18672, DROME18676, DROME18674, DROME18673	NEMVE02022
OG0001015	DROME02246, DROME04125	NEMVE07976
OG0001016	DROME03793	NEMVE14344
OG0001016	DROME04453	NEMVE14850
OG0001017	DROME18747, DROME18746	NEMVE08837
OG0001017	DROME08120, DROME08121	NEMVE08847, NEMVE13870
OG0001018	DROME08789	NEMVE25537
OG0001018	DROME19524	NEMVE07573
OG0001019	DROME18178	NEMVE09159, NEMVE02711
OG0001022	DROME02393, DROME02395, DROME02392, DROME02397, DROME02396, DROME02398, DROME02391, DROME02394, DROME02390	NEMVE24828
OG0001023	DROME07472, DROME07471	NEMVE12107
OG0001024	DROME14925	NEMVE22572
OG0001027	DROME20791, DROME20790, DROME20789, DROME21920, DROME21919	NEMVE22961
OG0001028	DROME17206, DROME17210, DROME17209, DROME17205, DROME17207, DROME17208	NEMVE25953, NEMVE14639
OG0001029	DROME15897, DROME08324	NEMVE03131, NEMVE01675
OG0001030	DROME15420, DROME15421, DROME15419	NEMVE21815, NEMVE13139, NEMVE08210, NEMVE13480, NEMVE00380
OG0001031	DROME02372	NEMVE13279
OG0001032	DROME10930, DROME10931, DROME10932	NEMVE14168
OG0001033	DROME16359	NEMVE24849
OG0001033	DROME01958	NEMVE03845
OG0001034	DROME18698, DROME18697, DROME18692, DROME18699, DROME18696, DROME18690, DROME18691, DROME18695, DROME18700, DROME18694, DROME18693	NEMVE23685
OG0001036	DROME21959	NEMVE07958
OG0001037	DROME07145, DROME07148, DROME07147, DROME07146	NEMVE13835
OG0001039	DROME19717, DROME19715, DROME19716, DROME12713	NEMVE05718, NEMVE05729
OG0001042	DROME12465, DROME12464, DROME12463, DROME12462	NEMVE20161, NEMVE25296
OG0001049	DROME15991	NEMVE24151
OG0001050	DROME09499, DROME09500	NEMVE11321
OG0001052	DROME00663, DROME00661, DROME00662	NEMVE24748
OG0001052	DROME00167	NEMVE21906
OG0001053	DROME11830	NEMVE01408
OG0001056	DROME10790	NEMVE07347
OG0001059	DROME05567, DROME05571, DROME05569, DROME05566, DROME05568, DROME05572, DROME05570	NEMVE05294
OG0001060	DROME06478, DROME01930	NEMVE02960, NEMVE14652, NEMVE13876
OG0001062	DROME12175, DROME12172	NEMVE01533
OG0001063	DROME16034, DROME16033, DROME14111	NEMVE08862
OG0001064	DROME16728	NEMVE19071, NEMVE22336, NEMVE14457, NEMVE15119, NEMVE08642, NEMVE03711, NEMVE20842
OG0001064	DROME20769	NEMVE03288
OG0001066	DROME06399	NEMVE24583
OG0001072	DROME08170	NEMVE08244, NEMVE08252, NEMVE00953, NEMVE07521
OG0001073	DROME03543, DROME03544, DROME03542	NEMVE11637, NEMVE14006, NEMVE02704
OG0001075	DROME05007, DROME05008	NEMVE07705, NEMVE15967
OG0001076	DROME10433, DROME10436, DROME10429, DROME10434, DROME10430, DROME10435, DROME10431, DROME10432	NEMVE01471
OG0001077	DROME13463, DROME13462, DROME14374, DROME15216, DROME15217, DROME15215, DROME15218	NEMVE06665
OG0001078	DROME16039, DROME16040	NEMVE21841, NEMVE03024
OG0001079	DROME12134, DROME12135, DROME12136	NEMVE10902
OG0001080	DROME21548, DROME21547	NEMVE20880
OG0001081	DROME00421, DROME00420, DROME00419, DROME02998, DROME02997	NEMVE14063
OG0001082	DROME16087, DROME16088, DROME16090, DROME16089	NEMVE13496
OG0001083	DROME07895, DROME07890, DROME07893, DROME07892, DROME07896, DROME07887, DROME07888, DROME07889, DROME07891, DROME07885, DROME07886, DROME07894	NEMVE07865
OG0001084	DROME15262, DROME15263	NEMVE15577, NEMVE10374, NEMVE06345
OG0001085	DROME18407, DROME18408, DROME18409	NEMVE23730
OG0001086	DROME20573	NEMVE21870
OG0001086	DROME03964, DROME03962, DROME03963, DROME03961	NEMVE10921
OG0001089	DROME21284, DROME21282, DROME21280, DROME21281, DROME21283	NEMVE21830
OG0001091	DROME08376, DROME08378, DROME08377	NEMVE05727
OG0001092	DROME19209, DROME19207, DROME19204, DROME19205, DROME19206, DROME19208, DROME19203	NEMVE00964, NEMVE07353, NEMVE01451
OG0001093	DROME09012, DROME09005, DROME09009, DROME09004, DROME09007, DROME09010, DROME09011, DROME09006, DROME09008	NEMVE01792
OG0001096	DROME20588, DROME20589, DROME02389	NEMVE22598, NEMVE10292, NEMVE12692
OG0001097	DROME12546, DROME12547	NEMVE07237
OG0001101	DROME01099	NEMVE14957
OG0001102	DROME11539	NEMVE01649
OG0001102	DROME20883	NEMVE08655, NEMVE08649, NEMVE13238, NEMVE19915, NEMVE07408
OG0001103	DROME13242, DROME13241, DROME13243, DROME13244	NEMVE01302
OG0001104	DROME04004	NEMVE04017, NEMVE06719
OG0001104	DROME02777, DROME02778, DROME02350, DROME02351	NEMVE25846
OG0001105	DROME22092, DROME02326	NEMVE00247, NEMVE17686, NEMVE17688
OG0001107	DROME03977	NEMVE00952
OG0001108	DROME12857, DROME12858, DROME12856, DROME12855	NEMVE22820
OG0001108	DROME21101, DROME21100, DROME21098, DROME21099, DROME21102, DROME18011	NEMVE03343
OG0001109	DROME00590, DROME00591, DROME00592, DROME00589, DROME19273, DROME19275, DROME19274	NEMVE17631
OG0001111	DROME01145	NEMVE17909, NEMVE18987
OG0001112	DROME13039, DROME13038, DROME13037, DROME13036	NEMVE18988
OG0001113	DROME08567, DROME18531, DROME18532	NEMVE11789, NEMVE13858
OG0001113	DROME05388	NEMVE14477
OG0001113	DROME01680	NEMVE22434
OG0001114	DROME00496, DROME16340, DROME16339	NEMVE13059
OG0001118	DROME14402, DROME14401	NEMVE08045
OG0001119	DROME17259, DROME17271, DROME17273, DROME17270, DROME17257, DROME17260, DROME17272, DROME17265, DROME17267, DROME17258, DROME17266, DROME17262, DROME17261, DROME17268, DROME17263, DROME17264, DROME17269	NEMVE00905, NEMVE12022
OG0001121	DROME11643, DROME11644, DROME11645, DROME11642	NEMVE15144
OG0001123	DROME20601	NEMVE07317
OG0001124	DROME13810	NEMVE14042
OG0001126	DROME07144	NEMVE21706
OG0001127	DROME21295, DROME21293, DROME21294, DROME21292	NEMVE23507
OG0001128	DROME07099, DROME07102, DROME07101, DROME07098, DROME07100	NEMVE07541
OG0001129	DROME06610	NEMVE22537, NEMVE23490, NEMVE23489
OG0001130	DROME08159	NEMVE21964, NEMVE14047
OG0001131	DROME00544	NEMVE02265
OG0001133	DROME02832	NEMVE22361
