Orthogroup	DROME	AENJA_ok
OG0000795	DROME09200	AENJA_14885, AENJA_12941
OG0000796	DROME18203	AENJA_11925
OG0000797	DROME01160, DROME01161, DROME01159	AENJA_12225
OG0000798	DROME10020, DROME10018, DROME10014, DROME10015, DROME10021, DROME10016, DROME10019, DROME10022, DROME10017, DROME10013	AENJA_13993
OG0000799	DROME17162	AENJA_16513
OG0000800	DROME19714	AENJA_25972, AENJA_17652
OG0000801	DROME05596, DROME05595, DROME05594	AENJA_25017, AENJA_26418, AENJA_18704
OG0000809	DROME15572, DROME15573	AENJA_02164
OG0000810	DROME04963, DROME04962, DROME04964	AENJA_24609
OG0000810	DROME08670	AENJA_02925
OG0000813	DROME18040, DROME18039	AENJA_03651, AENJA_14254, AENJA_23135
OG0000814	DROME05066, DROME05065	AENJA_25867
OG0000814	DROME04088, DROME04090	AENJA_03765, AENJA_17687, AENJA_08768, AENJA_09662
OG0000816	DROME03072, DROME03071, DROME03076, DROME03075	AENJA_21712
OG0000817	DROME16006	AENJA_07214
OG0000817	DROME02008	AENJA_18385
OG0000817	DROME06292	AENJA_14055
OG0000818	DROME03806, DROME03805	AENJA_07677
OG0000819	DROME19692	AENJA_23147
OG0000819	DROME00768, DROME00769	AENJA_24188
OG0000822	DROME01380	AENJA_26562
OG0000826	DROME12091	AENJA_02454, AENJA_02453, AENJA_09226, AENJA_02455
OG0000828	DROME19137	AENJA_21604, AENJA_14692
OG0000829	DROME18116, DROME07642	AENJA_07432, AENJA_18083
OG0000833	DROME00525, DROME00524, DROME00526, DROME20451, DROME20452, DROME18499, DROME18498	AENJA_13518
OG0000834	DROME13922	AENJA_15508
OG0000835	DROME14049, DROME14051, DROME14048, DROME14057, DROME14058	AENJA_17324
OG0000836	DROME02582, DROME02579, DROME02580, DROME02581	AENJA_19604
OG0000837	DROME05419, DROME18149	AENJA_25179
OG0000841	DROME06878, DROME06876, DROME06877, DROME06879	AENJA_00152
OG0000842	DROME10888, DROME10889	AENJA_00962
OG0000844	DROME14407, DROME14403, DROME14406, DROME14408, DROME14404, DROME14409	AENJA_02377
OG0000847	DROME16726	AENJA_19531
OG0000847	DROME03898, DROME03895, DROME03896, DROME03897	AENJA_05909
OG0000848	DROME00579, DROME00580	AENJA_06120
OG0000848	DROME19683	AENJA_26421
OG0000849	DROME20644, DROME20643, DROME20641, DROME20642, DROME20640, DROME20638, DROME20637, DROME20639	AENJA_06598, AENJA_17459
OG0000850	DROME12440, DROME20308	AENJA_06947, AENJA_14500
OG0000850	DROME12322	AENJA_26527
OG0000851	DROME20685, DROME20686	AENJA_07613
OG0000852	DROME03192, DROME03193, DROME03191	AENJA_20937
OG0000852	DROME08938, DROME08937	AENJA_07998
OG0000854	DROME12664, DROME12665, DROME13117, DROME13118	AENJA_12138
OG0000855	DROME19819, DROME20290, DROME16140, DROME01127, DROME11147, DROME22053, DROME22054, DROME22052, DROME20174, DROME16331	AENJA_13524, AENJA_13527, AENJA_13526, AENJA_13521
OG0000857	DROME20946, DROME20950, DROME20948, DROME20947, DROME20949, DROME20951	AENJA_19063
OG0000858	DROME07517, DROME07518	AENJA_19600
OG0000860	DROME09397, DROME09396, DROME09404, DROME09403, DROME09399, DROME09402, DROME09401, DROME09400, DROME09405, DROME09398	AENJA_22939
OG0000867	DROME14166	AENJA_06630, AENJA_23208, AENJA_23219, AENJA_00664, AENJA_12616, AENJA_23217
OG0000867	DROME16640, DROME16641, DROME14164, DROME14165, DROME14167, DROME14088	AENJA_14316, AENJA_23216, AENJA_23213, AENJA_12617, AENJA_06629
OG0000868	DROME18402	AENJA_01456
OG0000869	DROME06391	AENJA_21120
OG0000871	DROME14585	AENJA_15432, AENJA_15433
OG0000871	DROME03028	AENJA_06473
OG0000872	DROME09696, DROME09697, DROME09695	AENJA_06798
OG0000874	DROME04338	AENJA_07937, AENJA_07996
OG0000875	DROME06587	AENJA_14919
OG0000876	DROME08528, DROME08526, DROME08524, DROME08527, DROME08525	AENJA_08833
OG0000878	DROME07549	AENJA_13563, AENJA_09436, AENJA_13562
OG0000879	DROME00001, DROME21621, DROME11009	AENJA_23882, AENJA_14015
OG0000880	DROME13991, DROME13992	AENJA_17126
OG0000881	DROME06288, DROME06289	AENJA_19719
OG0000881	DROME20749, DROME20746, DROME20750, DROME20748, DROME20747, DROME20751, DROME20752, DROME20753	AENJA_21849
OG0000888	DROME13818	AENJA_02929
OG0000888	DROME15657	AENJA_02481
OG0000889	DROME20008	AENJA_05911
OG0000894	DROME01898, DROME01895, DROME01896, DROME01894, DROME01897	AENJA_24655
OG0000894	DROME08778, DROME08777	AENJA_16901
OG0000896	DROME07637, DROME07636	AENJA_26740
OG0000897	DROME09205, DROME09206	AENJA_25522
OG0000897	DROME05934, DROME06642	AENJA_18001
OG0000904	DROME14411, DROME14410	AENJA_02063
OG0000905	DROME11749	AENJA_03454, AENJA_12044
OG0000906	DROME09411	AENJA_16891, AENJA_05473, AENJA_17075
OG0000907	DROME01472, DROME01473, DROME01474, DROME01471	AENJA_06223
OG0000908	DROME15683	AENJA_26233
OG0000908	DROME16604	AENJA_06962, AENJA_10955, AENJA_14737
OG0000909	DROME21889, DROME21890, DROME21873, DROME21876, DROME21877, DROME21875	AENJA_07565
OG0000913	DROME01636, DROME01633, DROME01634, DROME01635, DROME10634, DROME10638, DROME10637, DROME10636, DROME10635, DROME10633, DROME05629, DROME10407, DROME10406, DROME08899, DROME10631, DROME10640, DROME10639, DROME21277, DROME21276, DROME21275	AENJA_11700
OG0000914	DROME06233, DROME06234, DROME06235	AENJA_16081
OG0000921	DROME01540	AENJA_16626
OG0000921	DROME21958	AENJA_00754
OG0000923	DROME19914	AENJA_09851
OG0000923	DROME04554, DROME04553	AENJA_01176, AENJA_01177
OG0000925	DROME02762, DROME02761	AENJA_14502
OG0000925	DROME13733, DROME13734	AENJA_01829
OG0000926	DROME13962, DROME13964, DROME13963, DROME13961	AENJA_15541, AENJA_05944
OG0000927	DROME15912, DROME15911, DROME13544, DROME01290	AENJA_05801
OG0000929	DROME02144, DROME02147, DROME02145, DROME02146, DROME02148, DROME02143	AENJA_18717, AENJA_24686
OG0000931	DROME06107, DROME06103, DROME06106, DROME06105, DROME06104	AENJA_08166
OG0000933	DROME00363	AENJA_12056, AENJA_25029
OG0000934	DROME18021	AENJA_23792
OG0000934	DROME12197, DROME12198	AENJA_12733
OG0000935	DROME19387	AENJA_14023
OG0000944	DROME05002, DROME05004, DROME05003, DROME05001, DROME05005, DROME04999, DROME05000	AENJA_00580
OG0000945	DROME11635, DROME10522	AENJA_21590
OG0000946	DROME18472, DROME18473, DROME18474, DROME18476	AENJA_16618
OG0000947	DROME14910, DROME14909	AENJA_22086
OG0000949	DROME20631	AENJA_04000
OG0000950	DROME15080, DROME15081, DROME15075, DROME15077, DROME15078, DROME15076, DROME15082, DROME15083, DROME15079	AENJA_04588
OG0000953	DROME12838, DROME10330	AENJA_19910, AENJA_06554
OG0000954	DROME12405, DROME12406, DROME12407	AENJA_08232
OG0000955	DROME04991, DROME04992, DROME04993, DROME04990	AENJA_09334, AENJA_19306
OG0000955	DROME02414	AENJA_22675
OG0000957	DROME11550, DROME11548, DROME11549	AENJA_17037, AENJA_17036
OG0000958	DROME14600, DROME14604, DROME14602, DROME14603, DROME14601, DROME14605, DROME10611, DROME10609, DROME10610, DROME10608, DROME12027	AENJA_19017
OG0000960	DROME04151, DROME04150, DROME04154, DROME04153, DROME04158, DROME04156, DROME04161, DROME04149, DROME04152, DROME04155, DROME04157, DROME04160, DROME04159	AENJA_23956
OG0000963	DROME09182, DROME09184, DROME09183, DROME07082	AENJA_01165, AENJA_06323
OG0000965	DROME10303	AENJA_05586, AENJA_05584
OG0000965	DROME10622	AENJA_02282
OG0000967	DROME01950, DROME01951, DROME01952	AENJA_22529
OG0000968	DROME19457	AENJA_10751
OG0000969	DROME17496	AENJA_03216
OG0000972	DROME12808, DROME12809	AENJA_26036
OG0000974	DROME20587, DROME20537, DROME20538	AENJA_05735, AENJA_05736
OG0000976	DROME15676	AENJA_07785, AENJA_07786, AENJA_07780, AENJA_07163
OG0000978	DROME08128, DROME08129, DROME08130, DROME08127, DROME08125, DROME08126	AENJA_08414
OG0000979	DROME10162, DROME10163, DROME10160, DROME10161, DROME10164	AENJA_08501
OG0000982	DROME07397, DROME07866, DROME07869, DROME07868, DROME07870, DROME07867	AENJA_09037
OG0000984	DROME12019, DROME07638	AENJA_13820
OG0000985	DROME16403, DROME16400, DROME16401, DROME16404, DROME16402	AENJA_14891
OG0000987	DROME05032, DROME05034, DROME05033, DROME05035, DROME05036	AENJA_23574
OG0000988	DROME19158	AENJA_25125
OG0000992	DROME02382, DROME02383	AENJA_01350, AENJA_08136
OG0000994	DROME20689	AENJA_20560
OG0000994	DROME05396	AENJA_02296
OG0000995	DROME02709, DROME02710, DROME02712, DROME02711	AENJA_08863
OG0000997	DROME00173	AENJA_06940, AENJA_16738
OG0000999	DROME05157, DROME05156	AENJA_06760, AENJA_09403, AENJA_26585, AENJA_10712
OG0001000	DROME14938, DROME14943, DROME14945, DROME14944, DROME14942, DROME14939, DROME14940, DROME14941	AENJA_07118
OG0001001	DROME01963, DROME01964, DROME01966, DROME01965	AENJA_07866
OG0001003	DROME20428, DROME20429	AENJA_13424
OG0001004	DROME18265, DROME18264	AENJA_16016
OG0001005	DROME16898	AENJA_17128
OG0001006	DROME12303	AENJA_21663
OG0001008	DROME03430, DROME03431, DROME03434, DROME03433, DROME03432, DROME03436, DROME03435, DROME03437, DROME03438	AENJA_24757
OG0001015	DROME02246	AENJA_05530
OG0001016	DROME03793	AENJA_26608
OG0001016	DROME04453	AENJA_01521, AENJA_14403, AENJA_15956
OG0001018	DROME08789	AENJA_02393
OG0001018	DROME19524	AENJA_12182
OG0001022	DROME02393, DROME02395, DROME02392, DROME02397, DROME02396, DROME02398, DROME02391, DROME02394, DROME02390	AENJA_03120
OG0001023	DROME07472, DROME07471	AENJA_03151
OG0001024	DROME14925	AENJA_11445
OG0001027	DROME20791, DROME20790, DROME20789, DROME21920, DROME21919	AENJA_06667, AENJA_06665, AENJA_06666
OG0001028	DROME17206, DROME17210, DROME17209, DROME17205, DROME17207, DROME17208	AENJA_07594
OG0001029	DROME08324	AENJA_24200
OG0001031	DROME02372	AENJA_12602
OG0001032	DROME10930, DROME10931, DROME10932	AENJA_13410
OG0001033	DROME16359	AENJA_13779
OG0001036	DROME21959	AENJA_19830
OG0001037	DROME07145, DROME07148, DROME07147, DROME07146	AENJA_20909
OG0001038	DROME06346, DROME06343, DROME06345, DROME06344	AENJA_24181
OG0001042	DROME12465, DROME12464, DROME12463, DROME12462	AENJA_00375
OG0001046	DROME05889	AENJA_01047
OG0001049	DROME15991	AENJA_16062
OG0001050	DROME09499, DROME09500	AENJA_03323
OG0001052	DROME00663, DROME00661, DROME00662	AENJA_06392
OG0001052	DROME01922	AENJA_03703
OG0001053	DROME11830	AENJA_05825, AENJA_03704
OG0001054	DROME21929	AENJA_04203
OG0001056	DROME10790	AENJA_05377, AENJA_22081, AENJA_22080
OG0001058	DROME00756, DROME00761, DROME00757, DROME00759, DROME00758, DROME00755, DROME00762, DROME00760, DROME00763	AENJA_07821
OG0001059	DROME05567, DROME05571, DROME05569, DROME05566, DROME05568, DROME05572, DROME05570	AENJA_08095
OG0001062	DROME12175, DROME12172	AENJA_10657
OG0001063	DROME16034, DROME16033	AENJA_15475
OG0001063	DROME14111	AENJA_15321, AENJA_15322
OG0001064	DROME16728	AENJA_16034
OG0001065	DROME13255	AENJA_19195
OG0001066	DROME06399	AENJA_19790
OG0001072	DROME08170	AENJA_00305, AENJA_03396
OG0001073	DROME03543, DROME03544, DROME03542	AENJA_00575
OG0001075	DROME05007, DROME05008	AENJA_00807
OG0001076	DROME10433, DROME10436, DROME10429, DROME10434, DROME10430, DROME10435, DROME10431, DROME10432	AENJA_01569
OG0001077	DROME13463, DROME13462	AENJA_01679
OG0001077	DROME14374	AENJA_05855
OG0001077	DROME15216, DROME15217, DROME15215, DROME15218	AENJA_02550
OG0001078	DROME16039, DROME16040	AENJA_10264
OG0001079	DROME12134, DROME12135, DROME12136	AENJA_03947
OG0001081	DROME00421, DROME00420, DROME00419, DROME02998, DROME02997	AENJA_16503, AENJA_04238
OG0001082	DROME16087, DROME16088, DROME16090, DROME16089	AENJA_06872, AENJA_21482
OG0001083	DROME07895	AENJA_07171
OG0001084	DROME15262, DROME15263	AENJA_07749
OG0001085	DROME18407, DROME18408, DROME18409	AENJA_09145, AENJA_21401
OG0001086	DROME20573	AENJA_12710
OG0001091	DROME08376, DROME08378, DROME08377	AENJA_17138
OG0001092	DROME19209, DROME19207, DROME19204, DROME19205, DROME19206, DROME19208, DROME19203	AENJA_18221
OG0001094	DROME08185, DROME21556	AENJA_23025
OG0001101	DROME01099	AENJA_00373
OG0001102	DROME11539	AENJA_00718
OG0001102	DROME20883	AENJA_03278, AENJA_21711
OG0001104	DROME04004	AENJA_02199
OG0001104	DROME02350, DROME02351	AENJA_18229
OG0001105	DROME22092, DROME02326	AENJA_02419, AENJA_25097
OG0001108	DROME12857, DROME12858, DROME12856, DROME12855	AENJA_12290, AENJA_04372, AENJA_04373
OG0001109	DROME00590, DROME00591, DROME00592, DROME00589, DROME19273, DROME19275, DROME19274	AENJA_05558
OG0001111	DROME01145	AENJA_22327
OG0001111	DROME15662	AENJA_06275
OG0001113	DROME18531, DROME18532	AENJA_06313
OG0001113	DROME05388, DROME01680	AENJA_23050
OG0001114	DROME14934, DROME16341	AENJA_13675
OG0001118	DROME14402, DROME14401	AENJA_12960, AENJA_12961
OG0001121	DROME11643, DROME11644, DROME11645, DROME11642	AENJA_14865
OG0001126	DROME07144	AENJA_21731, AENJA_21732
OG0001127	DROME21295, DROME21293, DROME21294, DROME21292	AENJA_26609
OG0001128	DROME07099, DROME07102, DROME07101, DROME07098, DROME07100	AENJA_26741
OG0001129	DROME06610	AENJA_00009
OG0001130	DROME08159	AENJA_00712
OG0001130	DROME08055, DROME04983, DROME04982	AENJA_24701
OG0001131	DROME00544	AENJA_00720
OG0001132	DROME12585, DROME12584, DROME12583, DROME12582	AENJA_02927
OG0001133	DROME16631	AENJA_13174
OG0001133	DROME02832	AENJA_07797
OG0001135	DROME18153, DROME18152	AENJA_06307
OG0001136	DROME15241, DROME15244, DROME15239, DROME15245, DROME15243, DROME15240, DROME15238, DROME15242, DROME15236, DROME15237	AENJA_06348
OG0001137	DROME07212, DROME07220, DROME07223, DROME07218, DROME07213, DROME07221, DROME07215, DROME07214, DROME07216, DROME07226, DROME07219, DROME07222, DROME07224, DROME07227, DROME07229, DROME07217, DROME07228, DROME07225	AENJA_06755
OG0001138	DROME16831, DROME16832, DROME16830, DROME16829	AENJA_08339
OG0001139	DROME11285, DROME11284, DROME20784	AENJA_20595, AENJA_19443, AENJA_08828
OG0001140	DROME04492, DROME04491	AENJA_10711
OG0001142	DROME15460, DROME15458, DROME15459	AENJA_13577
OG0001143	DROME17973, DROME17969, DROME17968, DROME17972, DROME17970, DROME17971, DROME17975, DROME17976, DROME17974, DROME17978, DROME17977	AENJA_25253, AENJA_15506
OG0001144	DROME08380	AENJA_15840
OG0001148	DROME04431, DROME04432	AENJA_25511
OG0001149	DROME20514	AENJA_26319, AENJA_26318
OG0001156	DROME20509, DROME20508, DROME20507, DROME20506, DROME20511, DROME20510	AENJA_01685
OG0001158	DROME08138, DROME08137	AENJA_02265, AENJA_16983
OG0001159	DROME00704, DROME00657, DROME00658	AENJA_02590
OG0001160	DROME05833, DROME05832, DROME05835, DROME05834	AENJA_03496, AENJA_15940
OG0001162	DROME19105, DROME19103, DROME19101, DROME19104, DROME19102, DROME19106, DROME19107	AENJA_09881, AENJA_03826
OG0001163	DROME10630, DROME14555, DROME14557, DROME14693, DROME17901, DROME17899	AENJA_23044, AENJA_20499, AENJA_04071, AENJA_23045
OG0001164	DROME08761, DROME08760, DROME08762, DROME08763, DROME08759	AENJA_04659, AENJA_14441
OG0001165	DROME20938, DROME07288	AENJA_18566, AENJA_05192
OG0001167	DROME17311	AENJA_06024
OG0001168	DROME02336	AENJA_26059
OG0001170	DROME16781	AENJA_14574
OG0001172	DROME12074, DROME12075	AENJA_08737
OG0001172	DROME11227, DROME11226	AENJA_15031
OG0001173	DROME08477, DROME08476, DROME08478, DROME08741	AENJA_10142
OG0001174	DROME01257, DROME01258	AENJA_10268
OG0001175	DROME10674	AENJA_19603, AENJA_10616
OG0001177	DROME01933, DROME01934, DROME21906	AENJA_12717, AENJA_23960, AENJA_22118
OG0001178	DROME18168, DROME18169, DROME18170, DROME18167	AENJA_14989
OG0001180	DROME01245, DROME01246	AENJA_13732
OG0001184	DROME03279	AENJA_17799
OG0001184	DROME17805	AENJA_15086
OG0001185	DROME09235, DROME09236, DROME09242, DROME09234, DROME09239, DROME09241, DROME09240, DROME09237, DROME09238	AENJA_17542
OG0001186	DROME11811, DROME11812	AENJA_21307
OG0001186	DROME18932	AENJA_18825
OG0001188	DROME07119, DROME07117, DROME07120, DROME07116, DROME07118	AENJA_22812
OG0001190	DROME21340, DROME21342, DROME21339, DROME21341	AENJA_24531
OG0001197	DROME14364	AENJA_00493
OG0001201	DROME20824, DROME20825, DROME20823, DROME20822	AENJA_02210
OG0001203	DROME16841	AENJA_03685, AENJA_16123, AENJA_17348
OG0001204	DROME15252	AENJA_04033, AENJA_20148
OG0001205	DROME09818, DROME09817	AENJA_26398
OG0001208	DROME21826, DROME21829, DROME21823, DROME21824, DROME21830, DROME21827, DROME21819, DROME21821, DROME21825, DROME21822, DROME21820, DROME21828, DROME21813, DROME21818, DROME21814, DROME21817, DROME21815, DROME21816	AENJA_09031
OG0001209	DROME03307	AENJA_09041
OG0001210	DROME01292	AENJA_18956
OG0001210	DROME21654, DROME21653	AENJA_09591
OG0001211	DROME14817, DROME14816, DROME14814, DROME14815	AENJA_09699
OG0001212	DROME03019, DROME03020, DROME03017, DROME03018, DROME03022, DROME03021	AENJA_14546, AENJA_09958
OG0001213	DROME12028	AENJA_11717
OG0001213	DROME15857	AENJA_11254
OG0001214	DROME14229, DROME14228, DROME14227, DROME14223, DROME14224, DROME14225, DROME14226	AENJA_24301, AENJA_11388
OG0001215	DROME05613, DROME05611, DROME05612	AENJA_15953
OG0001216	DROME20096, DROME20097, DROME20095, DROME15498	AENJA_16979
OG0001217	DROME06701	AENJA_17612
OG0001218	DROME12211, DROME12213, DROME12212	AENJA_18179
OG0001219	DROME17625, DROME17624, DROME17623, DROME17626, DROME17619, DROME17620, DROME17618, DROME17621, DROME17622, DROME17627, DROME17628	AENJA_18562
OG0001220	DROME02744, DROME20493, DROME20492	AENJA_21603, AENJA_19416, AENJA_21600
OG0001221	DROME09514	AENJA_19765
OG0001223	DROME08781, DROME08780	AENJA_21588
OG0001225	DROME13797, DROME13796, DROME13795, DROME13790, DROME13789, DROME13791, DROME13793, DROME13792, DROME13788, DROME13794	AENJA_23700
OG0001230	DROME05921, DROME05920	AENJA_02568, AENJA_08528
OG0001231	DROME17241, DROME17722, DROME17723, DROME17725, DROME17724	AENJA_02177
OG0001232	DROME01876, DROME01877, DROME01878	AENJA_07338, AENJA_02228, AENJA_20090, AENJA_20091
OG0001234	DROME10228, DROME10226, DROME10225, DROME10229, DROME10230, DROME10227, DROME10232, DROME10231	AENJA_02896
OG0001237	DROME17018, DROME17017, DROME15311, DROME20284, DROME14186, DROME18581, DROME19481	AENJA_05566, AENJA_19599
OG0001238	DROME21058	AENJA_07960
OG0001238	DROME05136, DROME05137, DROME05138, DROME14291, DROME14292	AENJA_05667
OG0001239	DROME18412, DROME18411, DROME18415, DROME18413, DROME18414	AENJA_08544, AENJA_12406, AENJA_24743, AENJA_06569
OG0001241	DROME02596	AENJA_21346
OG0001241	DROME03537	AENJA_07588
OG0001243	DROME15537, DROME15539, DROME15534, DROME15540, DROME15538, DROME15536, DROME15535	AENJA_09040
OG0001244	DROME15047	AENJA_11230
OG0001245	DROME06795	AENJA_11241
OG0001247	DROME18852	AENJA_24053
OG0001248	DROME02625, DROME02624, DROME02623	AENJA_17279
OG0001249	DROME05745, DROME05744, DROME04456, DROME04455	AENJA_17683
OG0001250	DROME10391, DROME10390, DROME10392	AENJA_18393
OG0001251	DROME08364	AENJA_20006
OG0001253	DROME16727, DROME02601	AENJA_21103
OG0001254	DROME22031, DROME22029, DROME22030, DROME22035, DROME22032, DROME22034, DROME22036, DROME22038, DROME22037, DROME22033	AENJA_25593
OG0001261	DROME00542, DROME00543, DROME00540, DROME00541	AENJA_00856
OG0001262	DROME01661	AENJA_02100
OG0001263	DROME01386, DROME01387	AENJA_25444
OG0001264	DROME08249, DROME08250, DROME08248	AENJA_02714
OG0001266	DROME19377	AENJA_06321
OG0001267	DROME13068	AENJA_10310
OG0001270	DROME12379	AENJA_04208
OG0001270	DROME02961	AENJA_21003
OG0001271	DROME20484	AENJA_04651
OG0001273	DROME01252, DROME01250, DROME01249, DROME01248, DROME01251	AENJA_05090
OG0001274	DROME06585, DROME06586, DROME06584	AENJA_06074
OG0001276	DROME10323, DROME10324, DROME10319, DROME10320, DROME10316, DROME10317, DROME10321, DROME10318, DROME10322	AENJA_07718, AENJA_07717
OG0001278	DROME15730	AENJA_15562
OG0001279	DROME15211, DROME15210	AENJA_09382
OG0001280	DROME15706	AENJA_11194
OG0001281	DROME19100	AENJA_15472, AENJA_11305
OG0001282	DROME04060, DROME04059, DROME04058	AENJA_12223
OG0001284	DROME05418	AENJA_21135
OG0001286	DROME11490, DROME11489, DROME11491	AENJA_16309
OG0001287	DROME15976, DROME15975, DROME04476	AENJA_18219
OG0001288	DROME19787, DROME09388, DROME09389	AENJA_18926, AENJA_22039
OG0001290	DROME13148, DROME13147, DROME10925, DROME10926, DROME10924	AENJA_21150
OG0001291	DROME21166, DROME21165, DROME18055, DROME18056	AENJA_21434
OG0001292	DROME20956	AENJA_21781
OG0001293	DROME19380, DROME19378, DROME19379	AENJA_23236
OG0001294	DROME19278	AENJA_25092
OG0001295	DROME16525, DROME16522, DROME16520, DROME16519, DROME16524, DROME16523, DROME16521	AENJA_25589
OG0001296	DROME21670, DROME21668, DROME21671, DROME21667, DROME21666, DROME21669	AENJA_26215
OG0001300	DROME21326, DROME21325, DROME21324	AENJA_00411
OG0001302	DROME00539	AENJA_13024
OG0001304	DROME00069, DROME00065, DROME00070, DROME00066, DROME00067, DROME00068	AENJA_02458, AENJA_14579
OG0001305	DROME04834, DROME04832, DROME04829, DROME04830, DROME04835, DROME04836, DROME04825, DROME04826, DROME04833, DROME04837, DROME04827, DROME04838, DROME04828, DROME04839, DROME04831	AENJA_03926
OG0001306	DROME08751, DROME08752	AENJA_24214
OG0001308	DROME17402, DROME17401, DROME17403, DROME17400, DROME17399	AENJA_05647
OG0001310	DROME15600	AENJA_06272
OG0001311	DROME06164	AENJA_15801
OG0001315	DROME16592	AENJA_08369, AENJA_13343, AENJA_08368, AENJA_26453
OG0001318	DROME17213	AENJA_09435
OG0001319	DROME01307	AENJA_09605
OG0001321	DROME16103	AENJA_14609
OG0001322	DROME15932	AENJA_16813
OG0001323	DROME18781, DROME18779, DROME18782, DROME18780	AENJA_15789
OG0001325	DROME14232	AENJA_16492, AENJA_18977
OG0001326	DROME03927	AENJA_18964
OG0001327	DROME02674, DROME02673, DROME02675	AENJA_18352
OG0001328	DROME20058	AENJA_18594
OG0001330	DROME21688, DROME21687, DROME21684, DROME21685, DROME21686, DROME21683	AENJA_20881
OG0001339	DROME19223, DROME16443, DROME14812, DROME07497, DROME07496	AENJA_00104
OG0001341	DROME19896, DROME19897, DROME19895	AENJA_21191
OG0001344	DROME04657, DROME04656	AENJA_01361
OG0001348	DROME03492, DROME03491, DROME03495, DROME03494, DROME03493, DROME03496	AENJA_01884
OG0001350	DROME03240, DROME03239	AENJA_05873
OG0001351	DROME16250, DROME16247, DROME16248, DROME16245, DROME16246, DROME16249	AENJA_17428, AENJA_06682
OG0001352	DROME11579, DROME11580	AENJA_06720, AENJA_06721, AENJA_06723
OG0001353	DROME12504, DROME12505	AENJA_06742
OG0001354	DROME19155, DROME19156	AENJA_09573
OG0001354	DROME18928	AENJA_07753
OG0001355	DROME18115	AENJA_08188
OG0001356	DROME04210, DROME04209, DROME04208, DROME04203, DROME04201, DROME04202	AENJA_08269
OG0001358	DROME16322, DROME16324, DROME16323, DROME16316, DROME16315, DROME16314, DROME16318, DROME16317, DROME16319	AENJA_09138
OG0001359	DROME20396, DROME20399, DROME20398, DROME20397	AENJA_11211
OG0001360	DROME16475, DROME16474, DROME01288, DROME01289	AENJA_25001
OG0001363	DROME20227, DROME20225, DROME20226, DROME20228, DROME00044	AENJA_12332
OG0001366	DROME19931, DROME19932, DROME19933, DROME19934	AENJA_14917
OG0001367	DROME04540, DROME04542, DROME04539, DROME04538, DROME04541, DROME04537, DROME04535, DROME04534, DROME04536	AENJA_16641
OG0001371	DROME15115, DROME15085, DROME15086, DROME10858, DROME10857, DROME16916, DROME17983, DROME17981, DROME17980, DROME17848, DROME06809	AENJA_17844, AENJA_24112
OG0001372	DROME06987	AENJA_25899
OG0001373	DROME15869, DROME15867, DROME15866, DROME15868	AENJA_17959
OG0001375	DROME11058	AENJA_25362
OG0001375	DROME12544	AENJA_20082
OG0001376	DROME18505, DROME18503, DROME18507, DROME18504, DROME18508, DROME18506	AENJA_21276, AENJA_20852, AENJA_20854
OG0001378	DROME14090, DROME14089	AENJA_22766
OG0001379	DROME02340	AENJA_23248
OG0001381	DROME21356, DROME21357, DROME21358, DROME21359, DROME20082, DROME20083, DROME20084	AENJA_23800
OG0001382	DROME16755, DROME15883	AENJA_23994
OG0001383	DROME08849, DROME08848, DROME08850, DROME08851	AENJA_25087
OG0001394	DROME15845, DROME15844, DROME15847, DROME15846, DROME15843, DROME15848	AENJA_00558
OG0001395	DROME22042	AENJA_00590
OG0001397	DROME12938	AENJA_05269
OG0001397	DROME12061	AENJA_01101
OG0001398	DROME00533	AENJA_22956, AENJA_26825, AENJA_08355, AENJA_21022, AENJA_16268, AENJA_09931, AENJA_03237, AENJA_19325, AENJA_12622, AENJA_18995, AENJA_07161, AENJA_01337, AENJA_06194, AENJA_20766, AENJA_03767, AENJA_01339, AENJA_09353, AENJA_12621
OG0001399	DROME18551, DROME15177	AENJA_19357, AENJA_02205
OG0001401	DROME07715	AENJA_02695, AENJA_12112
OG0001402	DROME21039	AENJA_02809
OG0001403	DROME02115, DROME02116, DROME02114	AENJA_22706, AENJA_22705, AENJA_03342
OG0001405	DROME06373	AENJA_03978
OG0001405	DROME02126	AENJA_13814
OG0001406	DROME14082, DROME14079, DROME14080, DROME14081, DROME14077, DROME14078, DROME14084, DROME14083	AENJA_04091
OG0001408	DROME21635, DROME21636, DROME21634	AENJA_10000, AENJA_05533
OG0001409	DROME18107	AENJA_06247
OG0001410	DROME00626	AENJA_18215
OG0001411	DROME13591, DROME09768, DROME09769	AENJA_06963, AENJA_10958
OG0001413	DROME21681, DROME21682	AENJA_07474
OG0001413	DROME17078	AENJA_17343
OG0001414	DROME00599	AENJA_08160
OG0001415	DROME17030, DROME17031	AENJA_17665
OG0001416	DROME04879, DROME04878, DROME04877, DROME04874, DROME04873, DROME04875, DROME04876	AENJA_09757
OG0001417	DROME21398, DROME21399	AENJA_10714
OG0001417	DROME04528	AENJA_11502
OG0001418	DROME11411	AENJA_10983
OG0001419	DROME00719	AENJA_12607, AENJA_12606
OG0001421	DROME08210	AENJA_13339
OG0001422	DROME19262, DROME19263	AENJA_14173
OG0001423	DROME11161, DROME11163, DROME11162	AENJA_14934
OG0001424	DROME10397	AENJA_15682
OG0001424	DROME21291	AENJA_17237
OG0001425	DROME10455	AENJA_15774
OG0001426	DROME16504, DROME16505	AENJA_16043
