Orthogroup	DROME	XENTR
OG0000850	DROME12440, DROME20308	XENTR00057
OG0000850	DROME12322	XENTR12447
OG0000851	DROME20685, DROME20686	XENTR10592, XENTR01014
OG0000852	DROME03192, DROME03193, DROME03191	XENTR17178
OG0000852	DROME08938, DROME08937	XENTR02441, XENTR15626
OG0000855	DROME19819, DROME20290, DROME16140, DROME01127, DROME11147, DROME22053, DROME22054, DROME22052, DROME20174, DROME16331	XENTR02574, XENTR02573
OG0000857	DROME20946, DROME20950, DROME20948, DROME20947, DROME20949, DROME20951	XENTR11492
OG0000858	DROME07517, DROME07518	XENTR10077, XENTR10078
OG0000859	DROME03370, DROME03371	XENTR19026, XENTR03127, XENTR05830, XENTR10647, XENTR10646
OG0000860	DROME09397, DROME09396, DROME09404, DROME09403, DROME09399, DROME09402, DROME09401, DROME09400, DROME09405, DROME09398	XENTR06781, XENTR03999
OG0000869	DROME06391	XENTR11026
OG0000871	DROME14585	XENTR14179
OG0000872	DROME09696, DROME09697, DROME09695	XENTR10169, XENTR12689, XENTR12885
OG0000874	DROME04338	XENTR03555, XENTR18666, XENTR10470
OG0000875	DROME01940, DROME01939	XENTR15432
OG0000875	DROME06587	XENTR08213
OG0000878	DROME07549	XENTR10168, XENTR00725, XENTR09205
OG0000879	DROME00001, DROME21621, DROME11009	XENTR10540, XENTR18110, XENTR03813
OG0000880	DROME13991, DROME13992	XENTR11909, XENTR11908, XENTR02551, XENTR02382
OG0000881	DROME06288, DROME06289	XENTR12933, XENTR12934
OG0000881	DROME20749, DROME20746, DROME20750, DROME20748, DROME20747, DROME20751, DROME20752, DROME20753	XENTR11112, XENTR11328
OG0000888	DROME13818	XENTR12831, XENTR13292, XENTR13291
OG0000888	DROME15657	XENTR01928
OG0000889	DROME20531, DROME20532	XENTR17043
OG0000889	DROME20008	XENTR16104, XENTR00818
OG0000894	DROME01898, DROME01895, DROME01896, DROME01894, DROME01897	XENTR12194
OG0000894	DROME08778, DROME08777	XENTR04788, XENTR16604
OG0000896	DROME07637, DROME07636	XENTR13448
OG0000897	DROME09205, DROME09206	XENTR01334, XENTR01333
OG0000904	DROME14411, DROME14410	XENTR10340, XENTR08923, XENTR04176
OG0000906	DROME09411	XENTR15532, XENTR06172
OG0000907	DROME01472, DROME01473, DROME01474, DROME01471	XENTR04660, XENTR05742
OG0000908	DROME05842, DROME05841	XENTR02189, XENTR02188, XENTR02186, XENTR02187, XENTR02185, XENTR02184
OG0000908	DROME15683	XENTR04273
OG0000909	DROME21889, DROME21890, DROME21873, DROME21876, DROME21877, DROME21875	XENTR10672, XENTR12839, XENTR08443
OG0000911	DROME15954, DROME15951, DROME15953, DROME15956, DROME15955, DROME15952, DROME15957	XENTR13431, XENTR10007, XENTR05207
OG0000913	DROME01636, DROME01633, DROME01634, DROME01635, DROME10634, DROME10638, DROME10637, DROME10636, DROME10635, DROME10633, DROME05629, DROME10407, DROME10406, DROME08899, DROME10631, DROME10640, DROME10639, DROME21277, DROME21276, DROME21275	XENTR01593, XENTR13952
OG0000914	DROME06233, DROME06234, DROME06235	XENTR11295, XENTR10460, XENTR02522, XENTR02868
OG0000921	DROME09822, DROME10234, DROME09821, DROME09823	XENTR08015
OG0000921	DROME21958	XENTR09161
OG0000923	DROME19914	XENTR08773
OG0000923	DROME04554, DROME04553	XENTR13432, XENTR09911, XENTR09912, XENTR09913
OG0000925	DROME02761	XENTR13985
OG0000925	DROME13733, DROME13734	XENTR02311
OG0000927	DROME15912, DROME15911, DROME13544, DROME01290	XENTR00283, XENTR14712, XENTR05915, XENTR18984
OG0000929	DROME02144, DROME02147, DROME02145, DROME02146, DROME02148, DROME02143	XENTR00682, XENTR15957, XENTR09138, XENTR05468, XENTR05469
OG0000933	DROME00363	XENTR09950, XENTR06630, XENTR08513
OG0000934	DROME18021	XENTR14739, XENTR18207
OG0000934	DROME12197, DROME12198	XENTR11383, XENTR18032
OG0000935	DROME19387	XENTR12574, XENTR06757, XENTR07228, XENTR08768
OG0000944	DROME05002, DROME05004, DROME05003, DROME05001, DROME05005, DROME04999, DROME05000	XENTR14742, XENTR14462, XENTR00679
OG0000945	DROME11635, DROME10522	XENTR09889
OG0000946	DROME18472, DROME18473, DROME18474, DROME18476	XENTR14125
OG0000947	DROME14910, DROME14909	XENTR08808, XENTR01875
OG0000949	DROME20631	XENTR16409, XENTR12925, XENTR16343, XENTR13690, XENTR10671
OG0000950	DROME15080, DROME15081, DROME15075, DROME15077, DROME15078, DROME15076, DROME15082, DROME15083, DROME15079	XENTR06315, XENTR14022
OG0000953	DROME12838, DROME10330	XENTR16006, XENTR05020, XENTR10025
OG0000954	DROME12405, DROME12406, DROME12407	XENTR07349, XENTR07350
OG0000955	DROME04991, DROME04992, DROME04993, DROME04990	XENTR15251
OG0000957	DROME11550, DROME11548, DROME11549	XENTR13219, XENTR13218, XENTR09672, XENTR08642
OG0000958	DROME14600, DROME14604, DROME14602, DROME14603, DROME14601, DROME14605, DROME10611, DROME10609, DROME10610, DROME10608, DROME12027	XENTR16151
OG0000960	DROME04151, DROME04150, DROME04154, DROME04153, DROME04158, DROME04156, DROME04161, DROME04149, DROME04152, DROME04155, DROME04157, DROME04160, DROME04159	XENTR00488, XENTR11786, XENTR16830, XENTR19097
OG0000963	DROME09182, DROME09184, DROME09183, DROME07082	XENTR09828, XENTR00065
OG0000964	DROME14012	XENTR11986, XENTR11979
OG0000965	DROME10303	XENTR14312
OG0000965	DROME10622	XENTR16944
OG0000967	DROME01950, DROME01951, DROME01952	XENTR06702
OG0000968	DROME19457	XENTR04038, XENTR04039, XENTR04535
OG0000969	DROME17496	XENTR08014
OG0000972	DROME02149, DROME02155, DROME02156	XENTR13483, XENTR14024
OG0000972	DROME12808, DROME12809	XENTR02207
OG0000974	DROME20587, DROME20537, DROME20538	XENTR01619
OG0000978	DROME08128, DROME08129, DROME08130, DROME08127, DROME08125, DROME08126	XENTR01707, XENTR17274, XENTR04595
OG0000979	DROME10162, DROME10163, DROME10160, DROME10161, DROME10164	XENTR08662, XENTR08663, XENTR16278
OG0000984	DROME12019, DROME07638	XENTR03417, XENTR01286, XENTR01285
OG0000985	DROME16403, DROME16400, DROME16401, DROME16404, DROME16402	XENTR01934, XENTR16979, XENTR16978, XENTR04320, XENTR04319
OG0000986	DROME00031, DROME00030, DROME00032	XENTR01926
OG0000987	DROME05032, DROME05034, DROME05033, DROME05035, DROME05036	XENTR06356, XENTR03812
OG0000988	DROME19158	XENTR12762, XENTR06777, XENTR06778, XENTR09929
OG0000992	DROME02382, DROME02383	XENTR07391, XENTR15056, XENTR11894
OG0000994	DROME20689	XENTR15055
OG0000994	DROME05396	XENTR12451, XENTR12452, XENTR02702, XENTR02703, XENTR02701
OG0000999	DROME05157, DROME05156	XENTR05421, XENTR17674, XENTR18093, XENTR05336
OG0001000	DROME14938, DROME14943, DROME14945, DROME14944, DROME14942, DROME14939, DROME14940, DROME14941	XENTR02326, XENTR14403, XENTR05465, XENTR00660, XENTR09708
OG0001001	DROME01963, DROME01964, DROME01966, DROME01965	XENTR17916
OG0001003	DROME20428, DROME20429	XENTR06440, XENTR12183
OG0001004	DROME18265, DROME18264	XENTR11947, XENTR13944, XENTR00348, XENTR12222
OG0001005	DROME16898	XENTR17351
OG0001006	DROME12303	XENTR01787
OG0001008	DROME03430, DROME03431, DROME03434, DROME03433, DROME03432, DROME03436, DROME03435, DROME03437, DROME03438	XENTR01253, XENTR07071, XENTR13709
OG0001013	DROME18675, DROME18672, DROME18676, DROME18674, DROME18673	XENTR01268, XENTR12519, XENTR05681, XENTR13123
OG0001015	DROME02246, DROME04125	XENTR03903, XENTR02699, XENTR16275
OG0001016	DROME03793	XENTR06361
OG0001016	DROME04453	XENTR11007
OG0001017	DROME18747, DROME18746	XENTR01882, XENTR06219
OG0001018	DROME08789	XENTR12838
OG0001018	DROME19524	XENTR13405
OG0001019	DROME18178	XENTR19055, XENTR18997
OG0001022	DROME02393, DROME02395, DROME02392, DROME02397, DROME02396, DROME02398, DROME02391, DROME02394, DROME02390	XENTR18242, XENTR09212, XENTR08786, XENTR08785
OG0001023	DROME07472, DROME07471	XENTR15705, XENTR15704, XENTR16017, XENTR02520, XENTR11481
OG0001024	DROME14925	XENTR05573, XENTR09290, XENTR01956
OG0001027	DROME20791, DROME20790, DROME20789, DROME21920, DROME21919	XENTR14946, XENTR18376
OG0001028	DROME17206, DROME17210, DROME17209, DROME17205, DROME17207, DROME17208	XENTR08088, XENTR09574, XENTR09575
OG0001029	DROME08324	XENTR00509, XENTR04608
OG0001030	DROME15420, DROME15421, DROME15419	XENTR11652, XENTR00593
OG0001031	DROME02372	XENTR08916
OG0001032	DROME10930, DROME10931, DROME10932	XENTR01314, XENTR15209, XENTR06823
OG0001033	DROME16359	XENTR11737, XENTR02706
OG0001033	DROME01958	XENTR00028, XENTR04288, XENTR04289, XENTR10639
OG0001034	DROME18698, DROME18697, DROME18692, DROME18699, DROME18696, DROME18690, DROME18691, DROME18695, DROME18700, DROME18694, DROME18693	XENTR13970, XENTR02918
OG0001036	DROME21959	XENTR15810, XENTR02160
OG0001037	DROME07145, DROME07148, DROME07147, DROME07146	XENTR06792, XENTR04702
OG0001038	DROME06346, DROME06343, DROME06345, DROME06344	XENTR08755, XENTR10905, XENTR13375
OG0001039	DROME19717, DROME19715, DROME19716, DROME12713	XENTR00807
OG0001042	DROME12465, DROME12464, DROME12463, DROME12462	XENTR15139, XENTR17123, XENTR16376
OG0001046	DROME05889	XENTR01853, XENTR03892, XENTR03891, XENTR10518
OG0001049	DROME15991	XENTR03223
OG0001050	DROME09499, DROME09500	XENTR18291, XENTR03607, XENTR01418, XENTR01419, XENTR15902
OG0001052	DROME00663, DROME00661, DROME00662	XENTR06692
OG0001052	DROME01922	XENTR04326, XENTR07297
OG0001053	DROME11830	XENTR14072, XENTR07099, XENTR01123, XENTR07525, XENTR04868, XENTR07295
OG0001058	DROME00756, DROME00761, DROME00757, DROME00759, DROME00758, DROME00755, DROME00762, DROME00760, DROME00763	XENTR09698, XENTR10813
OG0001060	DROME06478, DROME01930	XENTR15320
OG0001062	DROME12175, DROME12172	XENTR02358, XENTR00517, XENTR00439
OG0001063	DROME16034, DROME16033	XENTR01633
OG0001065	DROME13255	XENTR14400, XENTR14851
OG0001066	DROME06399	XENTR08375, XENTR18939, XENTR01227
OG0001072	DROME08170	XENTR01131
OG0001073	DROME03543, DROME03544, DROME03542	XENTR13757, XENTR03448, XENTR09013
OG0001075	DROME05007, DROME05008	XENTR05482, XENTR14239, XENTR06059
OG0001076	DROME10433, DROME10436, DROME10429, DROME10434, DROME10430, DROME10435, DROME10431, DROME10432	XENTR04369, XENTR03450
OG0001077	DROME13463, DROME13462	XENTR02919
OG0001077	DROME14374	XENTR03172
OG0001078	DROME16039, DROME16040	XENTR16491, XENTR12278, XENTR05427, XENTR16318
OG0001079	DROME12134, DROME12135, DROME12136	XENTR02342, XENTR18570
OG0001081	DROME00421, DROME00420, DROME00419, DROME02998, DROME02997	XENTR11483, XENTR11482
OG0001082	DROME16087, DROME16088, DROME16090, DROME16089	XENTR04166, XENTR03787
OG0001083	DROME07895, DROME07890, DROME07893, DROME07892, DROME07896, DROME07887, DROME07888, DROME07889, DROME07891, DROME07885, DROME07886, DROME07894	XENTR14939, XENTR08964, XENTR02202, XENTR09760
OG0001084	DROME15262, DROME15263	XENTR03176
OG0001085	DROME18407, DROME18408, DROME18409	XENTR14464, XENTR18960, XENTR05968, XENTR02550
OG0001086	DROME20573	XENTR08988, XENTR08989
OG0001089	DROME21284, DROME21282, DROME21280, DROME21281, DROME21283	XENTR06021
OG0001091	DROME08376, DROME08378, DROME08377	XENTR05394, XENTR06870, XENTR11806, XENTR06869, XENTR11805, XENTR05395, XENTR11804
OG0001092	DROME19209, DROME19207, DROME19204, DROME19205, DROME19206, DROME19208, DROME19203	XENTR04356, XENTR03567, XENTR04358
OG0001093	DROME09012, DROME09005, DROME09009, DROME09004, DROME09007, DROME09010, DROME09011, DROME09006, DROME09008	XENTR14801, XENTR06916, XENTR05391
OG0001094	DROME08185, DROME21556	XENTR06671, XENTR12802, XENTR09938
OG0001096	DROME20588, DROME20589, DROME02389	XENTR04979, XENTR04980, XENTR10593
OG0001101	DROME01099	XENTR16380
OG0001102	DROME11539	XENTR00597
OG0001102	DROME20883	XENTR08075, XENTR09517
OG0001103	DROME13242, DROME13241, DROME13243, DROME13244	XENTR11707
OG0001104	DROME04004	XENTR13239
OG0001105	DROME22092, DROME02326	XENTR09104
OG0001108	DROME12857, DROME12858, DROME12856, DROME12855	XENTR08568
OG0001108	DROME21101, DROME21100, DROME21098, DROME21099, DROME21102, DROME18011	XENTR01519
OG0001109	DROME00590, DROME00591, DROME00592, DROME00589, DROME19273, DROME19275, DROME19274	XENTR13118, XENTR13119, XENTR13710, XENTR07737, XENTR12458
OG0001112	DROME13039, DROME13038, DROME13037, DROME13036	XENTR02026, XENTR02027
OG0001113	DROME05388	XENTR03194
OG0001114	DROME00496, DROME16340, DROME16339	XENTR05283, XENTR05282, XENTR18949
OG0001118	DROME14402, DROME14401	XENTR08709, XENTR12886
OG0001119	DROME17259, DROME17271, DROME17273, DROME17270, DROME17257, DROME17260, DROME17272, DROME17265, DROME17267, DROME17258, DROME17266, DROME17262, DROME17261, DROME17268, DROME17263, DROME17264, DROME17269	XENTR05752
OG0001121	DROME11643, DROME11644, DROME11645, DROME11642	XENTR00146, XENTR15147
OG0001124	DROME13810	XENTR16582
OG0001126	DROME07144	XENTR18698
OG0001127	DROME21295, DROME21293, DROME21294, DROME21292	XENTR08219, XENTR08218, XENTR06362, XENTR08217
OG0001128	DROME07099, DROME07102, DROME07101, DROME07098, DROME07100	XENTR08508, XENTR02079, XENTR13449, XENTR13450
OG0001129	DROME06610	XENTR05147
OG0001130	DROME08159	XENTR03434
OG0001131	DROME00544	XENTR08901, XENTR13407
OG0001132	DROME12585, DROME12584, DROME12583, DROME12582	XENTR06989
OG0001133	DROME02832	XENTR15362
OG0001135	DROME18153, DROME18152	XENTR14974, XENTR01797, XENTR01779
OG0001136	DROME15241, DROME15244, DROME15239, DROME15245, DROME15243, DROME15240, DROME15238, DROME15242, DROME15236, DROME15237	XENTR10642, XENTR00557, XENTR12118
OG0001138	DROME16831, DROME16832, DROME16830, DROME16829	XENTR05997, XENTR02144, XENTR04471, XENTR18324, XENTR16579, XENTR16494, XENTR08552, XENTR05227, XENTR06291, XENTR15641, XENTR15640
OG0001139	DROME11285, DROME11284, DROME20784	XENTR12289, XENTR11375, XENTR07646, XENTR17010
OG0001140	DROME04492, DROME04491	XENTR00230, XENTR13675, XENTR13933
OG0001141	DROME07353, DROME07352, DROME07355, DROME07354, DROME07356	XENTR05715
OG0001142	DROME15460, DROME15458, DROME15459	XENTR06629
OG0001143	DROME17973, DROME17969, DROME17968, DROME17972, DROME17970, DROME17971, DROME17975, DROME17976, DROME17974, DROME17978, DROME17977	XENTR16291, XENTR08123, XENTR08124, XENTR08673, XENTR09685
OG0001144	DROME08380	XENTR08544, XENTR07178, XENTR03323, XENTR03322
OG0001148	DROME04431, DROME04432	XENTR10476
OG0001149	DROME20514	XENTR12926, XENTR00444
OG0001156	DROME20509, DROME20508, DROME20507, DROME20506, DROME20511, DROME20510	XENTR07093, XENTR06912, XENTR01092
OG0001158	DROME08138, DROME08137	XENTR16126, XENTR16127, XENTR07686, XENTR07685
OG0001159	DROME00658	XENTR05163, XENTR05113
OG0001160	DROME05833, DROME05832, DROME05835, DROME05834	XENTR08948, XENTR07949
OG0001162	DROME19105, DROME19103, DROME19101, DROME19104, DROME19102, DROME19106, DROME19107	XENTR10454, XENTR14933
OG0001163	DROME10630, DROME14555, DROME14557, DROME14693, DROME17901, DROME17899	XENTR08141
OG0001164	DROME08761, DROME08760, DROME08762, DROME08763, DROME08759	XENTR00877
OG0001165	DROME20938, DROME07288	XENTR03624, XENTR02305
OG0001167	DROME17311	XENTR07709, XENTR06636, XENTR08900
OG0001168	DROME02336	XENTR12949, XENTR06904, XENTR00455
OG0001170	DROME16781	XENTR14411
OG0001172	DROME12074, DROME12075	XENTR06358, XENTR09420
OG0001173	DROME08477, DROME08476, DROME08478, DROME08741	XENTR06425, XENTR01039
OG0001173	DROME11068	XENTR06289, XENTR03346, XENTR03345
OG0001174	DROME01257, DROME01258	XENTR02782, XENTR11221, XENTR04237, XENTR14224, XENTR15091, XENTR01015, XENTR02796, XENTR05165, XENTR02815, XENTR11287, XENTR11289, XENTR11288, XENTR11300, XENTR02248, XENTR02246, XENTR01963
OG0001175	DROME10674	XENTR04334, XENTR01937
OG0001177	DROME01933, DROME01934, DROME21906	XENTR04520, XENTR01947
OG0001178	DROME18168, DROME18169, DROME18170, DROME18167	XENTR02313
OG0001180	DROME01245, DROME01246	XENTR11241, XENTR01431, XENTR19021
OG0001184	DROME03279	XENTR11761
OG0001184	DROME17805	XENTR16633
OG0001185	DROME09235, DROME09236, DROME09242, DROME09234, DROME09239, DROME09241, DROME09240, DROME09237, DROME09238	XENTR09610, XENTR09609
OG0001186	DROME11811, DROME11812	XENTR07680, XENTR03745
OG0001186	DROME18932	XENTR03736
OG0001188	DROME07119, DROME07117, DROME07120, DROME07116, DROME07118	XENTR12660, XENTR10956, XENTR04124
OG0001190	DROME21340, DROME21342, DROME21339, DROME21341	XENTR06259, XENTR16660, XENTR16659
OG0001191	DROME15546, DROME15547, DROME15549, DROME15548	XENTR02213, XENTR13144, XENTR08963
OG0001197	DROME14364	XENTR14109
OG0001197	DROME07563	XENTR02293, XENTR07184
OG0001201	DROME20824, DROME20825, DROME20823, DROME20822	XENTR05955, XENTR17812, XENTR17811
OG0001203	DROME16841	XENTR16211, XENTR10957, XENTR14354
OG0001204	DROME15252	XENTR01197, XENTR13340
OG0001205	DROME09818, DROME09817	XENTR03556
OG0001208	DROME21826, DROME21829, DROME21823, DROME21824, DROME21830, DROME21827, DROME21819, DROME21821, DROME21825, DROME21822, DROME21820, DROME21828, DROME21813, DROME21818, DROME21814, DROME21817, DROME21815, DROME21816	XENTR05399, XENTR14797
OG0001209	DROME03307	XENTR17550
OG0001210	DROME01292	XENTR12983
OG0001210	DROME21654, DROME21653	XENTR09378
OG0001211	DROME14817, DROME14816, DROME14814, DROME14815	XENTR04154, XENTR06866
OG0001212	DROME03019, DROME03020, DROME03017, DROME03018, DROME03022, DROME03021	XENTR16369, XENTR16368, XENTR17241, XENTR17240
OG0001213	DROME12028	XENTR10507
OG0001213	DROME15857	XENTR01205
OG0001214	DROME14229, DROME14228, DROME14227, DROME14223, DROME14224, DROME14225, DROME14226	XENTR02921
OG0001215	DROME05613, DROME05611, DROME05612	XENTR12954, XENTR16550, XENTR16549
OG0001216	DROME20096, DROME20097, DROME20095, DROME15498	XENTR13109
OG0001217	DROME06701	XENTR07688, XENTR11580, XENTR00148
OG0001218	DROME12211, DROME12213, DROME12212	XENTR16071, XENTR10134, XENTR14884, XENTR14883, XENTR16396
OG0001219	DROME17625, DROME17624, DROME17623, DROME17626, DROME17619, DROME17620, DROME17618, DROME17621, DROME17622, DROME17627, DROME17628	XENTR03647, XENTR18228, XENTR12113
OG0001220	DROME02744, DROME20493, DROME20492	XENTR06344, XENTR06343, XENTR09829
OG0001221	DROME09514	XENTR15915
OG0001223	DROME08781, DROME08780	XENTR07799, XENTR10652, XENTR13605, XENTR02494, XENTR02495
OG0001225	DROME13797, DROME13796, DROME13795, DROME13790, DROME13789, DROME13791, DROME13793, DROME13792, DROME13788, DROME13794	XENTR09310, XENTR06994, XENTR15732
OG0001226	DROME09885, DROME09884, DROME09883, DROME09882	XENTR11877, XENTR07881
OG0001227	DROME17416, DROME17415, DROME17418, DROME17417, DROME17419	XENTR02799, XENTR01332, XENTR12049, XENTR10779, XENTR05921
OG0001231	DROME17241, DROME17722, DROME17723, DROME17725, DROME17724	XENTR03878, XENTR01648
OG0001232	DROME01876, DROME01877, DROME01878	XENTR01820
OG0001234	DROME10228, DROME10226, DROME10225, DROME10229, DROME10230, DROME10227, DROME10232, DROME10231	XENTR15695, XENTR00503
OG0001236	DROME06609, DROME04424, DROME20964	XENTR16068
OG0001237	DROME17018, DROME17017, DROME15311, DROME20284, DROME14186, DROME18581, DROME19481	XENTR03125, XENTR11439, XENTR05845
OG0001238	DROME21058	XENTR08981
OG0001238	DROME14293, DROME05136, DROME05137, DROME05138, DROME14291, DROME14292	XENTR12621, XENTR06928, XENTR03786
OG0001239	DROME18412, DROME18411, DROME18415, DROME18413, DROME18414	XENTR05992, XENTR11309
OG0001241	DROME02596	XENTR12971
OG0001241	DROME03537	XENTR07087, XENTR02055
OG0001243	DROME15537, DROME15539, DROME15534, DROME15540, DROME15538, DROME15536, DROME15535	XENTR17516, XENTR17517
OG0001245	DROME06795	XENTR03643, XENTR11740, XENTR09295
OG0001247	DROME18852	XENTR19062, XENTR18189, XENTR18467, XENTR11045
OG0001249	DROME05745, DROME05744, DROME04456, DROME04455	XENTR10238, XENTR10239, XENTR04710, XENTR00318
OG0001250	DROME10391, DROME10390, DROME10392	XENTR10529, XENTR04777, XENTR07316
OG0001251	DROME04532	XENTR03730, XENTR12411
OG0001253	DROME16727, DROME02601	XENTR01323, XENTR07953, XENTR11293, XENTR01322, XENTR02523
OG0001254	DROME22031, DROME22029, DROME22030, DROME22035, DROME22032, DROME22034, DROME22036, DROME22038, DROME22037, DROME22033	XENTR03435, XENTR01471
OG0001255	DROME11892	XENTR13075, XENTR00445, XENTR14530, XENTR02994, XENTR07995, XENTR10739
OG0001256	DROME16302, DROME16304, DROME16303, DROME16300, DROME16301	XENTR12356
OG0001261	DROME00542, DROME00543, DROME00540, DROME00541	XENTR03563, XENTR16999
OG0001262	DROME20437	XENTR06170, XENTR06171, XENTR19017, XENTR15533
OG0001263	DROME01386, DROME01387	XENTR06868
OG0001264	DROME08249, DROME08250, DROME08248	XENTR02490, XENTR03731, XENTR05140
OG0001266	DROME19377	XENTR10900, XENTR02450
OG0001267	DROME13068	XENTR06333
OG0001268	DROME04920, DROME04921	XENTR18855
OG0001270	DROME12379	XENTR01782
OG0001270	DROME02961	XENTR12521, XENTR12522
OG0001271	DROME20484	XENTR17754, XENTR02751, XENTR07226
OG0001272	DROME17237, DROME17236, DROME17235, DROME17243	XENTR18340, XENTR09464, XENTR00960
OG0001273	DROME01252, DROME01250, DROME01249, DROME01248, DROME01251	XENTR13224, XENTR14752, XENTR14082
OG0001274	DROME06585, DROME06586, DROME06584	XENTR13249, XENTR15210, XENTR15211, XENTR07752
OG0001276	DROME10323, DROME10324, DROME10319, DROME10320, DROME10316, DROME10317, DROME10321, DROME10318, DROME10322	XENTR09721, XENTR13760
OG0001279	DROME15211, DROME15210	XENTR11976, XENTR14916
OG0001280	DROME15706	XENTR13872, XENTR04350, XENTR07156
OG0001281	DROME19100	XENTR10819, XENTR07891, XENTR08370, XENTR12911, XENTR17643
OG0001282	DROME04060, DROME04059, DROME04058	XENTR16436, XENTR00274
OG0001284	DROME05418	XENTR01467, XENTR01466
OG0001287	DROME15976, DROME15975, DROME04476	XENTR06418, XENTR10568, XENTR10975, XENTR14177
OG0001288	DROME19787, DROME09388, DROME09389	XENTR05832, XENTR05833
OG0001289	DROME16010, DROME16008, DROME16009	XENTR03860
OG0001290	DROME13148, DROME13147, DROME10925, DROME10926, DROME10924	XENTR08522, XENTR00546, XENTR09553, XENTR04590
OG0001291	DROME21166, DROME21165, DROME18055, DROME18056	XENTR02209, XENTR05578, XENTR07580, XENTR07579
OG0001292	DROME20956	XENTR03404, XENTR01086
OG0001293	DROME19380, DROME19378, DROME19379	XENTR06445, XENTR06449, XENTR06446, XENTR16665, XENTR14560
OG0001294	DROME19278	XENTR08985, XENTR08984
OG0001295	DROME16525, DROME16522, DROME16520, DROME16519, DROME16524, DROME16523, DROME16521	XENTR07162, XENTR07111
OG0001296	DROME21670, DROME21668, DROME21671, DROME21667, DROME21666, DROME21669	XENTR10758, XENTR16218, XENTR01664, XENTR01665
OG0001300	DROME21326, DROME21325, DROME21324	XENTR09380, XENTR15087, XENTR13396
OG0001302	DROME00539	XENTR00019
OG0001304	DROME00069, DROME00065, DROME00070, DROME00066, DROME00067, DROME00068	XENTR13603, XENTR09891, XENTR07804, XENTR02497
OG0001305	DROME04834, DROME04832, DROME04829, DROME04830, DROME04835, DROME04836, DROME04825, DROME04826, DROME04833, DROME04837, DROME04827, DROME04838, DROME04828, DROME04839, DROME04831	XENTR06508, XENTR06784, XENTR15394
OG0001306	DROME08751, DROME08752	XENTR06783
OG0001308	DROME17402, DROME17401, DROME17403, DROME17400, DROME17399	XENTR08924, XENTR10339, XENTR11736
OG0001310	DROME15600	XENTR02393
OG0001311	DROME20740, DROME20738, DROME20739, DROME20741	XENTR11767
OG0001311	DROME06164	XENTR16951
OG0001315	DROME16592	XENTR18202, XENTR00932, XENTR03902
OG0001318	DROME17213	XENTR10187
OG0001318	DROME09513	XENTR00640
OG0001319	DROME01307	XENTR00669, XENTR10926, XENTR09062
OG0001319	DROME08745	XENTR16542
OG0001321	DROME16103	XENTR11250, XENTR11532, XENTR11534
OG0001322	DROME15932	XENTR07426
OG0001325	DROME14232	XENTR05586, XENTR05589, XENTR05579, XENTR05585, XENTR05588, XENTR08671, XENTR05587, XENTR05590, XENTR05591, XENTR05592
OG0001326	DROME03927	XENTR09549, XENTR01917, XENTR01916, XENTR08643, XENTR11848
OG0001328	DROME14994	XENTR09916
OG0001330	DROME21688, DROME21687, DROME21684, DROME21685, DROME21686, DROME21683	XENTR14976, XENTR11097, XENTR10939
OG0001337	DROME20158	XENTR04761, XENTR09361
OG0001341	DROME19896, DROME19897, DROME19895	XENTR17450
OG0001344	DROME04657, DROME04656	XENTR06464
OG0001348	DROME03492, DROME03491, DROME03495, DROME03494, DROME03493, DROME03496	XENTR02721, XENTR02053
OG0001350	DROME03240, DROME03239	XENTR00070
OG0001351	DROME16250, DROME16247, DROME16248, DROME16245, DROME16246, DROME16249	XENTR06632, XENTR02308
OG0001352	DROME11579, DROME11580	XENTR02276, XENTR07810
OG0001353	DROME12504, DROME12505	XENTR09957, XENTR02518
OG0001354	DROME19155, DROME19156	XENTR09675
OG0001354	DROME18928	XENTR12221, XENTR00037, XENTR04304
OG0001355	DROME18115	XENTR03193, XENTR09059, XENTR08752, XENTR12634, XENTR02287, XENTR14204
OG0001356	DROME04210, DROME04209, DROME04208, DROME04203, DROME04201, DROME04202	XENTR11301, XENTR02362
OG0001359	DROME20396, DROME20399, DROME20398, DROME20397	XENTR04346, XENTR10433, XENTR08085, XENTR18085
OG0001362	DROME17431, DROME22085	XENTR15980
OG0001362	DROME16079, DROME16080	XENTR03162, XENTR05387
OG0001363	DROME20227, DROME20225, DROME20226, DROME20228, DROME00044	XENTR09917, XENTR06150
OG0001364	DROME18347, DROME18348	XENTR17966, XENTR03257
OG0001366	DROME19931, DROME19932, DROME19933, DROME19934	XENTR03370, XENTR13631
OG0001367	DROME04540, DROME04542, DROME04539, DROME04538, DROME04541, DROME04537, DROME04535, DROME04534, DROME04536	XENTR02449, XENTR12179, XENTR12890
OG0001368	DROME00518, DROME00521, DROME00519, DROME00520	XENTR09946, XENTR11688
OG0001370	DROME10125, DROME10122, DROME10123, DROME10124, DROME10126	XENTR09409
OG0001371	DROME15115, DROME15085, DROME15086, DROME10858, DROME10857, DROME16916, DROME17983, DROME17981, DROME17980, DROME17848, DROME06809	XENTR09788
OG0001372	DROME06987	XENTR17215
OG0001373	DROME15869, DROME15867, DROME15866, DROME15868	XENTR01826, XENTR09130, XENTR04806
OG0001375	DROME11058	XENTR05015
OG0001375	DROME12544	XENTR07997, XENTR12997
