Orthogroup	DROME	DANRE
OG0000740	DROME13667	DANRE03411, DANRE03412, DANRE43134, DANRE40552
OG0000740	DROME06456	DANRE05230
OG0000744	DROME09899	DANRE27730, DANRE27734, DANRE27731, DANRE27729, DANRE27732, DANRE27733, DANRE37286, DANRE37288, DANRE37287, DANRE37289, DANRE27304, DANRE36882, DANRE36881
OG0000745	DROME04604, DROME04605, DROME04603, DROME04602, DROME04600, DROME04601, DROME04599, DROME04598, DROME04596, DROME04597, DROME02290, DROME02291	DANRE04783
OG0000749	DROME10988, DROME10987	DANRE43022, DANRE22234, DANRE22233, DANRE04932, DANRE04931, DANRE08190
OG0000751	DROME06060, DROME06059, DROME06061, DROME06062	DANRE14353, DANRE14354, DANRE14356, DANRE41712
OG0000752	DROME15461	DANRE04759, DANRE04760
OG0000752	DROME09086	DANRE33350
OG0000752	DROME20521, DROME11363	DANRE26482, DANRE26483, DANRE16748
OG0000753	DROME16114, DROME16113	DANRE12159
OG0000753	DROME22017, DROME22016, DROME22019, DROME22018, DROME22021	DANRE22875, DANRE08092, DANRE08093, DANRE35099
OG0000755	DROME04400, DROME04398, DROME04396, DROME04397, DROME04399	DANRE27783, DANRE27782, DANRE12837, DANRE12838
OG0000755	DROME04395	DANRE27784
OG0000757	DROME07057	DANRE36164, DANRE36163, DANRE28665, DANRE41715, DANRE35775, DANRE28939
OG0000758	DROME04523, DROME04522, DROME04521	DANRE11468, DANRE24018, DANRE24019, DANRE27344, DANRE27343, DANRE27345, DANRE02463, DANRE02464, DANRE18105, DANRE11683, DANRE11685, DANRE11684
OG0000759	DROME03914, DROME03913, DROME01209, DROME01208	DANRE23917, DANRE23918, DANRE26676, DANRE23361
OG0000761	DROME04780, DROME04784, DROME04782, DROME04781, DROME04785, DROME04783	DANRE19286, DANRE19287, DANRE16971, DANRE16972, DANRE16973, DANRE21789
OG0000762	DROME02274, DROME02276, DROME02279, DROME02278, DROME02272, DROME02275, DROME02277, DROME02273	DANRE42699, DANRE28185
OG0000763	DROME19244, DROME19245, DROME19240, DROME19243, DROME19242, DROME19241, DROME19239, DROME19232, DROME19237, DROME19234, DROME19238, DROME19233, DROME19236, DROME19235	DANRE09639, DANRE00567, DANRE00568, DANRE00569, DANRE27052, DANRE27054, DANRE27053, DANRE39891, DANRE39892, DANRE39890, DANRE09704, DANRE09705
OG0000764	DROME10902, DROME10903	DANRE35374
OG0000765	DROME04789, DROME04788	DANRE28403, DANRE40818, DANRE40819, DANRE40817, DANRE00580, DANRE00579
OG0000766	DROME06054, DROME06055, DROME01015	DANRE23752, DANRE09934, DANRE20922, DANRE00517, DANRE00514, DANRE00516, DANRE00515
OG0000767	DROME14005, DROME12823, DROME12824	DANRE11659, DANRE11660, DANRE11658, DANRE11661, DANRE08379, DANRE10974, DANRE18316, DANRE18317, DANRE18318
OG0000772	DROME13216	DANRE07203, DANRE15796, DANRE15798, DANRE15797
OG0000772	DROME03561, DROME03562, DROME03559, DROME03560, DROME03558, DROME03563	DANRE09745, DANRE09746
OG0000774	DROME18935, DROME18934	DANRE39793, DANRE39792
OG0000775	DROME05200	DANRE10814, DANRE10813, DANRE33689, DANRE33688, DANRE33690, DANRE33691
OG0000776	DROME20100, DROME20102, DROME20101	DANRE35255, DANRE35254, DANRE15732, DANRE42482, DANRE06939
OG0000777	DROME05836	DANRE29329, DANRE29328, DANRE36168, DANRE36169
OG0000779	DROME13622	DANRE34815, DANRE34816, DANRE34817
OG0000779	DROME20961	DANRE22401, DANRE01681, DANRE01682, DANRE23289, DANRE23290, DANRE24330, DANRE24331
OG0000780	DROME16908	DANRE12112, DANRE12111, DANRE07895, DANRE07896, DANRE07897
OG0000782	DROME04768, DROME04767, DROME04769, DROME04770, DROME04778, DROME04776, DROME04766, DROME04773, DROME04772, DROME04765, DROME04775, DROME04771, DROME04774, DROME04777	DANRE28363, DANRE28364, DANRE21701, DANRE34593, DANRE34592, DANRE34595, DANRE34594, DANRE12747, DANRE12748, DANRE38505, DANRE38506
OG0000784	DROME16135	DANRE22664, DANRE22665
OG0000787	DROME06230	DANRE19518, DANRE34015, DANRE19519, DANRE42974, DANRE05326, DANRE05325, DANRE05327, DANRE00057, DANRE33402
OG0000788	DROME11403	DANRE38685, DANRE38687, DANRE38686, DANRE30771, DANRE30772, DANRE38688
OG0000791	DROME16118, DROME16117, DROME16116, DROME16119, DROME16121, DROME16120	DANRE26678, DANRE24509, DANRE24508, DANRE24505, DANRE24506, DANRE35507, DANRE15367, DANRE15368, DANRE41773
OG0000792	DROME20865	DANRE33671, DANRE33670, DANRE01288, DANRE01289, DANRE01287
OG0000793	DROME20859, DROME20860	DANRE13974, DANRE19092, DANRE39166, DANRE39164, DANRE39165, DANRE25017, DANRE25016, DANRE25015, DANRE21768, DANRE25958, DANRE13450
OG0000794	DROME04329, DROME04334, DROME04330, DROME04337, DROME04333, DROME04335, DROME04336, DROME04331, DROME04332	DANRE08088, DANRE20295, DANRE08087, DANRE33664, DANRE29799, DANRE29798, DANRE29797
OG0000795	DROME09200	DANRE06535
OG0000797	DROME01160, DROME01161, DROME01159	DANRE20533, DANRE15819, DANRE15818, DANRE15820, DANRE07326, DANRE07327, DANRE07328
OG0000798	DROME10020, DROME10018, DROME10014, DROME10015, DROME10021, DROME10016, DROME10019, DROME10022, DROME10017, DROME10013	DANRE29060, DANRE29059, DANRE29061, DANRE03069, DANRE28964, DANRE28965, DANRE28966
OG0000799	DROME17162	DANRE22127, DANRE22128, DANRE00706, DANRE00705, DANRE39398, DANRE00648, DANRE00645, DANRE00647, DANRE43147, DANRE00646, DANRE15975
OG0000800	DROME19714	DANRE30113, DANRE30114, DANRE30111, DANRE30112, DANRE30118, DANRE30117, DANRE30119, DANRE12830, DANRE12829, DANRE12803, DANRE25273, DANRE11295
OG0000801	DROME05596, DROME05595, DROME05594	DANRE39090, DANRE39091, DANRE39092, DANRE25011, DANRE25012, DANRE33247
OG0000803	DROME06528, DROME04971, DROME16667, DROME08404, DROME08406, DROME08405, DROME06525, DROME06526, DROME15315, DROME15314, DROME15313, DROME14537, DROME01677, DROME14535, DROME14536, DROME17631, DROME09542, DROME09543, DROME19328, DROME18830, DROME15873	DANRE25475
OG0000809	DROME15572, DROME15573	DANRE40060, DANRE40059, DANRE40058
OG0000810	DROME04963, DROME04962, DROME04964	DANRE40004, DANRE40006
OG0000810	DROME08670	DANRE42578, DANRE10213, DANRE10212, DANRE13584
OG0000813	DROME18040, DROME18039	DANRE04584, DANRE04587, DANRE04586, DANRE04588, DANRE04585, DANRE00294, DANRE35302
OG0000814	DROME05066, DROME05065	DANRE12157, DANRE12158
OG0000814	DROME03302, DROME03301, DROME03299, DROME03298	DANRE09168
OG0000815	DROME01377, DROME01376	DANRE41498, DANRE41497, DANRE41499, DANRE23900, DANRE23901
OG0000816	DROME03072, DROME03071, DROME03076, DROME03075	DANRE37152, DANRE37153, DANRE05255, DANRE07950, DANRE07951
OG0000817	DROME16006	DANRE01758
OG0000817	DROME02008	DANRE11205
OG0000817	DROME06292	DANRE24618, DANRE24619
OG0000818	DROME03806, DROME03805	DANRE30363, DANRE03542, DANRE30362, DANRE30382, DANRE30381, DANRE30383, DANRE04067, DANRE30364, DANRE04066, DANRE04068, DANRE09086
OG0000819	DROME19692	DANRE38928
OG0000819	DROME00768, DROME00769	DANRE07898, DANRE20294
OG0000820	DROME04117, DROME04116, DROME04115	DANRE23344, DANRE23345
OG0000822	DROME09748, DROME09747	DANRE31114, DANRE38261
OG0000825	DROME11281	DANRE07340, DANRE41557, DANRE41558, DANRE41559, DANRE06476
OG0000826	DROME12091	DANRE17140, DANRE17142, DANRE17141, DANRE17139, DANRE22286
OG0000827	DROME17067	DANRE19411, DANRE34859
OG0000828	DROME20305	DANRE38353, DANRE39520
OG0000828	DROME19137	DANRE00140, DANRE00141
OG0000829	DROME18116, DROME07642	DANRE13452, DANRE13451, DANRE28324, DANRE20994, DANRE20992, DANRE20993, DANRE39524, DANRE00287, DANRE00288, DANRE05736, DANRE05737, DANRE00627, DANRE00626, DANRE34022, DANRE06193, DANRE06192, DANRE04909, DANRE04910, DANRE04911
OG0000833	DROME00525, DROME00524, DROME00526, DROME20451, DROME20452, DROME18499, DROME18498	DANRE02148, DANRE27648, DANRE27649, DANRE30183, DANRE30182, DANRE30181, DANRE30184, DANRE22222, DANRE22221, DANRE22223, DANRE39989, DANRE39990, DANRE39991, DANRE39987
OG0000834	DROME13922	DANRE17497, DANRE17498, DANRE17499
OG0000835	DROME14049, DROME14051, DROME14048, DROME14057, DROME14058	DANRE23505
OG0000836	DROME02582, DROME02579, DROME02580, DROME02581	DANRE38367, DANRE38368, DANRE38370, DANRE38369, DANRE24933, DANRE24934, DANRE24935, DANRE21462, DANRE21461
OG0000837	DROME05419, DROME18149	DANRE14993, DANRE14992, DANRE14994, DANRE14991, DANRE16122, DANRE05269, DANRE05270, DANRE22660
OG0000841	DROME06878, DROME06876, DROME06877, DROME06879	DANRE13645, DANRE13646, DANRE13648, DANRE13647, DANRE13644, DANRE12852, DANRE18521, DANRE01048, DANRE01047
OG0000842	DROME10888, DROME10889	DANRE21395, DANRE21394, DANRE42073, DANRE42074, DANRE02620, DANRE02619, DANRE00091, DANRE00092, DANRE29911, DANRE29912, DANRE24170, DANRE24168, DANRE28182, DANRE28183
OG0000844	DROME14407, DROME14403, DROME14406, DROME14408, DROME14404, DROME14409	DANRE22983, DANRE09466, DANRE14008, DANRE14007, DANRE43013, DANRE43012, DANRE26776, DANRE26775, DANRE08927, DANRE08928, DANRE08926
OG0000847	DROME16726	DANRE03178, DANRE03177
OG0000847	DROME03898, DROME03895, DROME03896, DROME03897	DANRE33537, DANRE29369, DANRE29370
OG0000848	DROME00579, DROME00580	DANRE01096, DANRE16221, DANRE06726
OG0000848	DROME19683	DANRE38510, DANRE12738, DANRE00454, DANRE00457
OG0000849	DROME20644, DROME20643, DROME20641, DROME20642, DROME20640, DROME20638, DROME20637, DROME20639	DANRE40416, DANRE40418, DANRE20686, DANRE20687, DANRE39825, DANRE39325, DANRE12617
OG0000850	DROME12440, DROME20308	DANRE27632, DANRE21524, DANRE21523, DANRE21522, DANRE27633
OG0000850	DROME12322	DANRE05783, DANRE05782
OG0000851	DROME20685, DROME20686	DANRE41550, DANRE41551, DANRE41552, DANRE35899, DANRE35901, DANRE35900, DANRE16797, DANRE16796
OG0000852	DROME03192, DROME03193, DROME03191	DANRE08986, DANRE13970
OG0000852	DROME08938, DROME08937	DANRE23607, DANRE23608, DANRE15093
OG0000854	DROME12664, DROME12665, DROME13117, DROME13118	DANRE04417, DANRE12580, DANRE12581, DANRE12578, DANRE12579, DANRE12582, DANRE04416, DANRE04420, DANRE04419
OG0000855	DROME19819, DROME20290, DROME16140, DROME01127, DROME11147, DROME22053, DROME22054, DROME22052, DROME20174, DROME16331	DANRE33341, DANRE07887, DANRE07886
OG0000857	DROME20946, DROME20950, DROME20948, DROME20947, DROME20949, DROME20951	DANRE37002, DANRE22445, DANRE25005, DANRE25488, DANRE39308
OG0000858	DROME07517, DROME07518	DANRE41856, DANRE35001
OG0000859	DROME03370, DROME03371	DANRE14110, DANRE09123, DANRE37658, DANRE34320, DANRE34321, DANRE08617, DANRE21314, DANRE21313, DANRE27682
OG0000860	DROME09397, DROME09396, DROME09404, DROME09403, DROME09399, DROME09402, DROME09401, DROME09400, DROME09405, DROME09398	DANRE30283, DANRE30281, DANRE30282, DANRE30280, DANRE39844, DANRE39843, DANRE19228, DANRE19229, DANRE19230, DANRE39966, DANRE39967
OG0000868	DROME19682	DANRE20885
OG0000869	DROME06391	DANRE33411
OG0000870	DROME20283	DANRE04144, DANRE04145, DANRE28838, DANRE28839
OG0000871	DROME14585	DANRE07004, DANRE07003
OG0000871	DROME03028	DANRE21971, DANRE21970, DANRE21972
OG0000872	DROME09696, DROME09697, DROME09695	DANRE25284, DANRE12354, DANRE25283, DANRE25280, DANRE25282, DANRE25281, DANRE12355, DANRE12352, DANRE12353, DANRE31424, DANRE25286, DANRE25285
OG0000873	DROME18351, DROME18349, DROME18350, DROME18353, DROME18354, DROME18352	DANRE33651
OG0000874	DROME04338	DANRE15945, DANRE15946, DANRE08525, DANRE00850, DANRE00852, DANRE00851, DANRE15520, DANRE09159
OG0000875	DROME01940, DROME01939	DANRE18885, DANRE18882, DANRE28204, DANRE28280, DANRE28203, DANRE28205, DANRE28207, DANRE28206, DANRE28208, DANRE28209
OG0000875	DROME06587	DANRE35854
OG0000878	DROME07549	DANRE12359, DANRE12358, DANRE12360, DANRE09130, DANRE09132, DANRE09131, DANRE09133, DANRE09129
OG0000879	DROME00001, DROME21621, DROME11009	DANRE22248, DANRE22249, DANRE33888, DANRE38206, DANRE23042, DANRE35784
OG0000880	DROME13991, DROME13992	DANRE36759, DANRE36756, DANRE36757, DANRE02294, DANRE30872, DANRE30873, DANRE22569, DANRE22571, DANRE22570, DANRE22568
OG0000881	DROME06288, DROME06289	DANRE09222, DANRE13840, DANRE09221
OG0000881	DROME20749, DROME20746, DROME20750, DROME20748, DROME20747, DROME20751, DROME20752, DROME20753	DANRE34673, DANRE34674, DANRE07926, DANRE07927
OG0000888	DROME13818	DANRE13975, DANRE09386, DANRE28309
OG0000888	DROME15657	DANRE33990, DANRE33989
OG0000889	DROME20531, DROME20532	DANRE17250, DANRE17249
OG0000889	DROME20008	DANRE29366, DANRE33536, DANRE01110, DANRE07937
OG0000894	DROME01898, DROME01895, DROME01896, DROME01894, DROME01897	DANRE16233
OG0000894	DROME08778, DROME08777	DANRE03636, DANRE03637, DANRE28552, DANRE28558, DANRE28553, DANRE28559, DANRE30057
OG0000896	DROME07637, DROME07636	DANRE18365, DANRE18364
OG0000897	DROME09205, DROME09206	DANRE26250, DANRE26251
OG0000904	DROME14411, DROME14410	DANRE20075, DANRE20074, DANRE06232, DANRE06231, DANRE05115, DANRE05114, DANRE34681, DANRE34682
OG0000906	DROME09411	DANRE19263
OG0000907	DROME01472, DROME01473, DROME01474, DROME01471	DANRE39571, DANRE26506, DANRE21488, DANRE21486, DANRE21487, DANRE39569, DANRE39567, DANRE39568, DANRE39570
OG0000908	DROME05842, DROME05841	DANRE11316, DANRE40986
OG0000908	DROME15683	DANRE05335
OG0000909	DROME21889, DROME21890, DROME21873, DROME21876, DROME21877, DROME21875	DANRE15298, DANRE18633, DANRE18637, DANRE18636, DANRE18635, DANRE18634, DANRE10754, DANRE10755, DANRE43244, DANRE43245, DANRE05844, DANRE05846, DANRE05845
OG0000911	DROME15954, DROME15951, DROME15953, DROME15956, DROME15955, DROME15952, DROME15957	DANRE23107, DANRE23108, DANRE23105, DANRE23104, DANRE23103, DANRE23106, DANRE03445, DANRE42638, DANRE42637, DANRE36545, DANRE36544, DANRE42639, DANRE42640
OG0000913	DROME01636, DROME01633, DROME01634, DROME01635, DROME10634, DROME10638, DROME10637, DROME10636, DROME10635, DROME10633, DROME05629, DROME10407, DROME10406, DROME08899, DROME10631, DROME10640, DROME10639, DROME21277, DROME21276, DROME21275	DANRE06706, DANRE08772
OG0000914	DROME06233, DROME06234, DROME06235	DANRE22546, DANRE22545, DANRE39763, DANRE39764, DANRE40362, DANRE01745, DANRE24949, DANRE24948, DANRE24950
OG0000921	DROME09822, DROME10234, DROME09821, DROME09823	DANRE09862, DANRE09863
OG0000921	DROME01540	DANRE41397, DANRE41396
OG0000921	DROME21958	DANRE39952
OG0000923	DROME19914	DANRE03489, DANRE03488, DANRE03490, DANRE42768, DANRE42769, DANRE42770, DANRE42771
OG0000923	DROME04554, DROME04553	DANRE01688, DANRE01693, DANRE01689, DANRE23040, DANRE42523, DANRE42522, DANRE21430, DANRE01690
OG0000925	DROME02761	DANRE00252, DANRE00256, DANRE00255, DANRE00250, DANRE00254, DANRE00253, DANRE00251
OG0000925	DROME13733, DROME13734	DANRE37121, DANRE37119, DANRE42422, DANRE42421, DANRE42420, DANRE37120
OG0000927	DROME15912, DROME15911, DROME13544, DROME01290	DANRE01936, DANRE16153, DANRE16152, DANRE16151, DANRE42910, DANRE33823, DANRE06403, DANRE06402, DANRE00723, DANRE37974, DANRE37973
OG0000929	DROME02144, DROME02147, DROME02145, DROME02146, DROME02148, DROME02143	DANRE20492, DANRE38022, DANRE24269, DANRE35282, DANRE35283, DANRE35284, DANRE38021, DANRE38020, DANRE18912, DANRE18914, DANRE18915, DANRE15012, DANRE15013, DANRE15014, DANRE15011
OG0000931	DROME06107, DROME06103, DROME06106, DROME06105, DROME06104	DANRE11180, DANRE11181
OG0000932	DROME19600, DROME19599, DROME19601, DROME19598	DANRE42984
OG0000933	DROME00363	DANRE11215, DANRE20009, DANRE38011, DANRE38009, DANRE05655, DANRE05654, DANRE05656, DANRE38010, DANRE38008, DANRE38007
OG0000934	DROME18021	DANRE41926, DANRE41925, DANRE41924, DANRE41923, DANRE17314, DANRE17315
OG0000934	DROME12197, DROME12198	DANRE20665, DANRE40437, DANRE31439
OG0000935	DROME19387	DANRE20955, DANRE28333, DANRE28334, DANRE12377, DANRE12378, DANRE37563, DANRE37564, DANRE08991, DANRE13968, DANRE13967, DANRE21030, DANRE42779
OG0000944	DROME05002, DROME05004, DROME05003, DROME05001, DROME05005, DROME04999, DROME05000	DANRE24388, DANRE24387, DANRE01130, DANRE01129, DANRE06809, DANRE06354, DANRE33796, DANRE33797
OG0000945	DROME11635, DROME10522	DANRE38573, DANRE38572, DANRE38571, DANRE34411, DANRE10577
OG0000946	DROME18472, DROME18473, DROME18474, DROME18476	DANRE38953, DANRE31325
OG0000947	DROME14910, DROME14909	DANRE35473, DANRE35472, DANRE42151, DANRE42150, DANRE42152, DANRE24883, DANRE24884, DANRE24882, DANRE28260
OG0000949	DROME20631	DANRE19441, DANRE14249, DANRE07012, DANRE15300, DANRE15301, DANRE11410, DANRE11409, DANRE18632, DANRE18631, DANRE18630, DANRE10756
OG0000950	DROME15080, DROME15081, DROME15075, DROME15077, DROME15078, DROME15076, DROME15082, DROME15083, DROME15079	DANRE33318, DANRE07884, DANRE19560, DANRE19562, DANRE40927, DANRE40926
OG0000953	DROME12838, DROME10330	DANRE19601, DANRE13570, DANRE09947, DANRE02820
OG0000954	DROME12405, DROME12406, DROME12407	DANRE29087
OG0000955	DROME04991, DROME04992, DROME04993, DROME04990	DANRE16947, DANRE34598
OG0000955	DROME02414	DANRE12313
OG0000957	DROME11550, DROME11548, DROME11549	DANRE28875, DANRE28874, DANRE28870, DANRE28873, DANRE28872, DANRE28871, DANRE35649, DANRE35650, DANRE00386, DANRE00384, DANRE20983, DANRE20984, DANRE34585, DANRE34586
OG0000958	DROME14600, DROME14604, DROME14602, DROME14603, DROME14601, DROME14605, DROME10611, DROME10609, DROME10610, DROME10608, DROME12027	DANRE02719, DANRE30931
OG0000960	DROME04151, DROME04150, DROME04154, DROME04153, DROME04158, DROME04156, DROME04161, DROME04149, DROME04152, DROME04155, DROME04157, DROME04160, DROME04159	DANRE38907, DANRE38906, DANRE38905, DANRE12544, DANRE12542, DANRE12541, DANRE12543, DANRE36890
OG0000963	DROME09182, DROME09184, DROME09183, DROME07082	DANRE21554, DANRE21556, DANRE28340, DANRE21555, DANRE40847, DANRE23590
OG0000964	DROME14012	DANRE13381, DANRE13380, DANRE13379
OG0000965	DROME10303	DANRE07376
OG0000965	DROME10622	DANRE37868
OG0000967	DROME01950, DROME01951, DROME01952	DANRE03536, DANRE03535, DANRE11311, DANRE11310, DANRE11308, DANRE11309
OG0000968	DROME19457	DANRE35064, DANRE33908, DANRE33907
OG0000969	DROME17496	DANRE09864
OG0000970	DROME21979, DROME21981, DROME21980, DROME21978, DROME21982	DANRE19215
OG0000972	DROME02149, DROME02155, DROME02156	DANRE40936, DANRE40935, DANRE40933, DANRE40932
OG0000972	DROME12808, DROME12809	DANRE33608, DANRE33609, DANRE33606, DANRE33607, DANRE33610
OG0000974	DROME20587, DROME20537, DROME20538	DANRE20581
OG0000978	DROME08128, DROME08129, DROME08130, DROME08127, DROME08125, DROME08126	DANRE27024, DANRE37180, DANRE24849, DANRE24850, DANRE27022, DANRE27023, DANRE27021, DANRE37039, DANRE37040, DANRE40773, DANRE40772, DANRE38576
OG0000979	DROME10162, DROME10163, DROME10160, DROME10161, DROME10164	DANRE05220, DANRE05219
OG0000984	DROME12019, DROME07638	DANRE19378, DANRE19379, DANRE19380, DANRE19381, DANRE21816, DANRE21815, DANRE21817
OG0000985	DROME16403, DROME16400, DROME16401, DROME16404, DROME16402	DANRE04256, DANRE05103, DANRE05104, DANRE00260, DANRE00259, DANRE00261, DANRE06266, DANRE06267, DANRE06268
OG0000986	DROME00031, DROME00030, DROME00032	DANRE00297
OG0000987	DROME05032, DROME05034, DROME05033, DROME05035, DROME05036	DANRE23844, DANRE23846, DANRE23845, DANRE28109, DANRE28108, DANRE28110, DANRE36582, DANRE23126, DANRE02985, DANRE02984, DANRE42848, DANRE42847
OG0000988	DROME19158	DANRE35176, DANRE19094, DANRE19093, DANRE23487, DANRE23486, DANRE23488, DANRE40003
OG0000992	DROME02382, DROME02383	DANRE03991, DANRE30488, DANRE30487, DANRE03990, DANRE03996, DANRE03997, DANRE03994, DANRE10562, DANRE10561, DANRE12136
OG0000994	DROME20689	DANRE17301
OG0000994	DROME05396	DANRE01452, DANRE01451
OG0000997	DROME00174	DANRE20114, DANRE20115
OG0000999	DROME05157, DROME05156	DANRE29607, DANRE29608, DANRE24716, DANRE38934, DANRE38936, DANRE25765, DANRE25766, DANRE12419, DANRE12421, DANRE12420
OG0001000	DROME14938, DROME14943, DROME14945, DROME14944, DROME14942, DROME14939, DROME14940, DROME14941	DANRE42296, DANRE42294, DANRE42295, DANRE07070, DANRE07071, DANRE11073, DANRE14961, DANRE00944
OG0001001	DROME01963, DROME01964, DROME01966, DROME01965	DANRE00734, DANRE00733, DANRE37957, DANRE37956
OG0001003	DROME20428, DROME20429	DANRE40912, DANRE40913, DANRE40910, DANRE40914, DANRE40911, DANRE34619, DANRE34618
OG0001004	DROME18265, DROME18264	DANRE21516, DANRE40173, DANRE40172, DANRE40171, DANRE21514, DANRE21513, DANRE21515, DANRE16753, DANRE28904, DANRE28905, DANRE28906, DANRE16752
OG0001005	DROME16898	DANRE36797, DANRE36799, DANRE36798, DANRE36796, DANRE36795, DANRE01792, DANRE01791
OG0001006	DROME12303	DANRE15473
OG0001008	DROME03430, DROME03431, DROME03434, DROME03433, DROME03432, DROME03436, DROME03435, DROME03437, DROME03438	DANRE31459, DANRE22461, DANRE37016, DANRE37015, DANRE31455, DANRE31458, DANRE31457, DANRE31456, DANRE37707, DANRE37708, DANRE37709, DANRE25431, DANRE25430, DANRE25432
OG0001013	DROME18675, DROME18672, DROME18676, DROME18674, DROME18673	DANRE16533, DANRE28512, DANRE15454, DANRE29403, DANRE09337, DANRE09336, DANRE14020, DANRE29097, DANRE04005, DANRE04004
OG0001015	DROME02246, DROME04125	DANRE36830, DANRE28847, DANRE28849, DANRE28848, DANRE28850
OG0001016	DROME03793	DANRE23809, DANRE23808
OG0001016	DROME04453	DANRE24167, DANRE28181, DANRE24165, DANRE24166
OG0001017	DROME18747, DROME18746	DANRE23148, DANRE23147, DANRE23146, DANRE23149
OG0001017	DROME08120, DROME08121	DANRE23925, DANRE23924, DANRE26677, DANRE23145
OG0001018	DROME08789	DANRE16608, DANRE16609
OG0001018	DROME19524	DANRE11146, DANRE11145
OG0001019	DROME18178	DANRE14405, DANRE14404, DANRE09084, DANRE40539
OG0001022	DROME02393, DROME02395, DROME02392, DROME02397, DROME02396, DROME02398, DROME02391, DROME02394, DROME02390	DANRE41837, DANRE41838, DANRE41840, DANRE41841, DANRE41839, DANRE37109, DANRE06745, DANRE06746
OG0001023	DROME07472, DROME07471	DANRE30665, DANRE30666, DANRE38254, DANRE38252, DANRE22441, DANRE43297, DANRE43298, DANRE22443, DANRE37001, DANRE37000, DANRE36998, DANRE36999, DANRE03679, DANRE03680, DANRE38253, DANRE38255
OG0001024	DROME14925	DANRE07373, DANRE04817, DANRE04816, DANRE06260, DANRE03283, DANRE11210, DANRE11211, DANRE41223
OG0001027	DROME20791, DROME20790, DROME20789, DROME21920, DROME21919	DANRE34291, DANRE31125, DANRE31123, DANRE31124
OG0001028	DROME17206, DROME17210, DROME17209, DROME17205, DROME17207, DROME17208	DANRE21742, DANRE21744, DANRE21743, DANRE12753, DANRE12754, DANRE12752, DANRE38499
OG0001029	DROME08324	DANRE12697, DANRE37177
OG0001030	DROME15420, DROME15421, DROME15419	DANRE17793, DANRE05538, DANRE16720, DANRE16719, DANRE16721, DANRE05568, DANRE05569
OG0001031	DROME02372	DANRE05231
OG0001032	DROME10930, DROME10931, DROME10932	DANRE18300, DANRE18301, DANRE16885, DANRE16886, DANRE29809, DANRE34198, DANRE34199, DANRE39614
OG0001033	DROME16359	DANRE34683, DANRE19218, DANRE35345
OG0001033	DROME01958	DANRE02095, DANRE40162
OG0001034	DROME18698, DROME18697, DROME18692, DROME18699, DROME18696, DROME18690, DROME18691, DROME18695, DROME18700, DROME18694, DROME18693	DANRE27197, DANRE29926, DANRE29925, DANRE29927, DANRE24705, DANRE27195, DANRE27196, DANRE23974, DANRE23976, DANRE23973, DANRE23975
OG0001036	DROME21959	DANRE22470, DANRE22471, DANRE22469, DANRE10595, DANRE15083, DANRE15084, DANRE10596, DANRE07130
OG0001037	DROME07145, DROME07148, DROME07147, DROME07146	DANRE39620, DANRE39624, DANRE39622, DANRE39623, DANRE39619, DANRE34192, DANRE39621, DANRE34191, DANRE34188, DANRE34189, DANRE34190, DANRE26737, DANRE39625, DANRE26734, DANRE26735, DANRE26736, DANRE24510
OG0001038	DROME06346, DROME06343, DROME06345, DROME06344	DANRE15917, DANRE15918, DANRE06671, DANRE04444, DANRE22123, DANRE22124, DANRE22125
OG0001039	DROME19717, DROME19715, DROME19716, DROME12713	DANRE33581, DANRE33582, DANRE33583
OG0001042	DROME12465, DROME12464, DROME12463, DROME12462	DANRE40759, DANRE40758, DANRE40284, DANRE02474, DANRE02475, DANRE22411, DANRE22410, DANRE12329, DANRE12330, DANRE12328, DANRE31604, DANRE31603
OG0001046	DROME05889	DANRE29998, DANRE15431, DANRE15430, DANRE43288, DANRE29165, DANRE30394, DANRE02971, DANRE02969, DANRE02970
OG0001049	DROME15991	DANRE07752, DANRE23213
OG0001050	DROME09499, DROME09500	DANRE40771, DANRE17632, DANRE37651, DANRE36467, DANRE25249, DANRE25251, DANRE25250, DANRE09895, DANRE09896
OG0001052	DROME00663, DROME00661, DROME00662	DANRE03270, DANRE05763, DANRE03271
OG0001052	DROME01922	DANRE34546, DANRE34547, DANRE04642
OG0001053	DROME11830	DANRE03466, DANRE28187, DANRE28188, DANRE28186, DANRE24594, DANRE24595, DANRE23165, DANRE42694, DANRE42693, DANRE06732, DANRE05252
OG0001058	DROME00756, DROME00761, DROME00757, DROME00759, DROME00758, DROME00755, DROME00762, DROME00760, DROME00763	DANRE00594, DANRE00593, DANRE39688, DANRE39689, DANRE08014, DANRE08015, DANRE19843, DANRE19842
OG0001060	DROME06478, DROME01930	DANRE30655
OG0001062	DROME12175, DROME12172	DANRE28653, DANRE16543, DANRE21837, DANRE21838, DANRE26303, DANRE23617
OG0001063	DROME16034, DROME16033	DANRE04656
OG0001065	DROME13255	DANRE11578, DANRE18855, DANRE18854, DANRE18853
OG0001066	DROME06399	DANRE39946, DANRE40457, DANRE39945, DANRE22302, DANRE40512, DANRE36839
OG0001072	DROME08170	DANRE34212, DANRE34213, DANRE33687, DANRE33686
OG0001073	DROME03543, DROME03544, DROME03542	DANRE07147, DANRE07148, DANRE02614
OG0001075	DROME05007, DROME05008	DANRE09111, DANRE09112, DANRE09110, DANRE09113, DANRE09109, DANRE18111, DANRE18112, DANRE18109, DANRE18110, DANRE11682
