Orthogroup	DROME	HUMAN
OG0000775	DROME05200	HUMAN25468, HUMAN07094
OG0000776	DROME20100, DROME20102, DROME20101	HUMAN22855, HUMAN23098, HUMAN29543, HUMAN30264
OG0000777	DROME05836	HUMAN13333
OG0000779	DROME13622	HUMAN29418
OG0000779	DROME20961	HUMAN19017, HUMAN25627, HUMAN25628, HUMAN25626, HUMAN27878
OG0000780	DROME16908	HUMAN08674, HUMAN12283, HUMAN12282
OG0000782	DROME04768, DROME04767, DROME04769, DROME04770, DROME04778, DROME04776, DROME04766, DROME04773, DROME04772, DROME04765, DROME04775, DROME04771, DROME04774, DROME04777	HUMAN14354, HUMAN13919, HUMAN01526, HUMAN09694
OG0000784	DROME16135	HUMAN19259
OG0000787	DROME06230	HUMAN24287, HUMAN27681, HUMAN24285, HUMAN03250, HUMAN22686
OG0000788	DROME11403	HUMAN04411, HUMAN04410, HUMAN27018
OG0000791	DROME16118, DROME16117, DROME16116, DROME16119, DROME16121, DROME16120	HUMAN27291, HUMAN27292, HUMAN06332, HUMAN18232
OG0000792	DROME20865	HUMAN07120, HUMAN07119
OG0000793	DROME20859, DROME20860	HUMAN01813, HUMAN23530, HUMAN23529, HUMAN09808, HUMAN09807, HUMAN09806, HUMAN14239, HUMAN09819, HUMAN09820
OG0000794	DROME04329, DROME04334, DROME04330, DROME04337, DROME04333, DROME04335, DROME04336, DROME04331, DROME04332	HUMAN12200, HUMAN12197, HUMAN12195, HUMAN05033, HUMAN05029
OG0000795	DROME09200	HUMAN30438, HUMAN30437, HUMAN30436
OG0000797	DROME01160, DROME01161, DROME01159	HUMAN23752, HUMAN23754, HUMAN23003, HUMAN23004
OG0000798	DROME10020, DROME10018, DROME10014, DROME10015, DROME10021, DROME10016, DROME10019, DROME10022, DROME10017, DROME10013	HUMAN12996, HUMAN10260
OG0000799	DROME17162	HUMAN03572, HUMAN03573, HUMAN24207, HUMAN24208, HUMAN24205, HUMAN22273, HUMAN22272, HUMAN22274, HUMAN17345, HUMAN17346, HUMAN24206
OG0000801	DROME05596, DROME05595, DROME05594	HUMAN09761, HUMAN13969
OG0000809	DROME15572, DROME15573	HUMAN15029
OG0000810	DROME04963, DROME04962, DROME04964	HUMAN00991, HUMAN00992
OG0000810	DROME08670	HUMAN21423, HUMAN20624, HUMAN20625
OG0000813	DROME18040, DROME18039	HUMAN03259, HUMAN22179
OG0000814	DROME05066, DROME05065	HUMAN09482
OG0000815	DROME01377, DROME01376	HUMAN17849, HUMAN02971
OG0000816	DROME03072, DROME03071, DROME03076, DROME03075	HUMAN04902, HUMAN17010, HUMAN15773
OG0000817	DROME16006	HUMAN13385, HUMAN06596
OG0000817	DROME02008	HUMAN03169
OG0000817	DROME06292	HUMAN27263
OG0000818	DROME03806, DROME03805	HUMAN25966, HUMAN13463, HUMAN15929, HUMAN15930, HUMAN15928
OG0000819	DROME19692	HUMAN04360
OG0000819	DROME00768, DROME00769	HUMAN12285, HUMAN12284
OG0000820	DROME04117, DROME04116, DROME04115	HUMAN06271, HUMAN06272
OG0000822	DROME09748, DROME09747	HUMAN06089, HUMAN06088
OG0000825	DROME11281	HUMAN17393, HUMAN24372
OG0000826	DROME12091	HUMAN18961
OG0000827	DROME17067	HUMAN28623
OG0000828	DROME20305	HUMAN09906, HUMAN09908, HUMAN09907, HUMAN23682, HUMAN23683
OG0000828	DROME19137	HUMAN07354
OG0000829	DROME18116, DROME07642	HUMAN09769, HUMAN09770, HUMAN23704, HUMAN03517, HUMAN27574, HUMAN17189
OG0000833	DROME00525, DROME00524, DROME00526, DROME20451, DROME20452, DROME18499, DROME18498	HUMAN14526, HUMAN14694, HUMAN28569, HUMAN00981, HUMAN14527
OG0000834	DROME13922	HUMAN12572
OG0000835	DROME14049, DROME14051, DROME14048, DROME14057, DROME14058	HUMAN25456
OG0000836	DROME02582, DROME02579, DROME02580, DROME02581	HUMAN09550
OG0000837	DROME05419, DROME18149	HUMAN25283, HUMAN19289
OG0000841	DROME06878, DROME06876, DROME06877, DROME06879	HUMAN11209, HUMAN11208, HUMAN28390, HUMAN28389, HUMAN25529
OG0000842	DROME10888, DROME10889	HUMAN11438, HUMAN28733, HUMAN28739, HUMAN28726, HUMAN17591, HUMAN12703, HUMAN27200
OG0000844	DROME14407, DROME14403, DROME14406, DROME14408, DROME14404, DROME14409	HUMAN00341, HUMAN00340, HUMAN00339, HUMAN21889, HUMAN21890, HUMAN27161, HUMAN27162
OG0000847	DROME16726	HUMAN12189
OG0000847	DROME03898, DROME03895, DROME03896, DROME03897	HUMAN19801, HUMAN10864
OG0000848	DROME00579, DROME00580	HUMAN07569, HUMAN22921, HUMAN23842
OG0000848	DROME19683	HUMAN09682, HUMAN13934
OG0000849	DROME20644, DROME20643, DROME20641, DROME20642, DROME20640, DROME20638, DROME20637, DROME20639	HUMAN01370, HUMAN01371, HUMAN01454, HUMAN04171
OG0000850	DROME12440, DROME20308	HUMAN00998, HUMAN03431
OG0000850	DROME12322	HUMAN03430
OG0000851	DROME20685, DROME20686	HUMAN17389, HUMAN22898
OG0000852	DROME03192, DROME03193, DROME03191	HUMAN01598
OG0000852	DROME08938, DROME08937	HUMAN18978, HUMAN18977, HUMAN13869
OG0000855	DROME19819, DROME20290, DROME16140, DROME01127, DROME11147, DROME22053, DROME22054, DROME22052, DROME20174, DROME16331	HUMAN12462
OG0000857	DROME20946, DROME20950, DROME20948, DROME20947, DROME20949, DROME20951	HUMAN15999, HUMAN24948, HUMAN05809, HUMAN04190
OG0000858	DROME07517, DROME07518	HUMAN19566, HUMAN05690
OG0000859	DROME03370, DROME03371	HUMAN01835, HUMAN09993, HUMAN23491, HUMAN14489
OG0000860	DROME09397, DROME09396, DROME09404, DROME09403, DROME09399, DROME09402, DROME09401, DROME09400, DROME09405, DROME09398	HUMAN14477, HUMAN29300, HUMAN01277
OG0000869	DROME06391	HUMAN23280
OG0000870	DROME20283	HUMAN13265
OG0000871	DROME14585	HUMAN30324
OG0000871	DROME03028	HUMAN03633
OG0000872	DROME09696, DROME09697, DROME09695	HUMAN05052, HUMAN05051, HUMAN16344, HUMAN20384
OG0000874	DROME04338	HUMAN22955, HUMAN04088, HUMAN20636
OG0000875	DROME01940, DROME01939	HUMAN28345
OG0000875	DROME06587	HUMAN18108
OG0000876	DROME08528, DROME08526, DROME08524, DROME08527, DROME08525	HUMAN02798
OG0000878	DROME07549	HUMAN04661, HUMAN04660, HUMAN26944, HUMAN26167
OG0000879	DROME00001, DROME21621, DROME11009	HUMAN21910, HUMAN11932, HUMAN22026, HUMAN22025, HUMAN11931, HUMAN11933, HUMAN06283, HUMAN21911
OG0000880	DROME13991, DROME13992	HUMAN21143, HUMAN21144, HUMAN25036, HUMAN26847
OG0000881	DROME06288, DROME06289	HUMAN24746
OG0000881	DROME20749, DROME20746, DROME20750, DROME20748, DROME20747, DROME20751, DROME20752, DROME20753	HUMAN12291
OG0000882	DROME12593, DROME12592, DROME12589, DROME12588, DROME12591, DROME12590	HUMAN24492
OG0000888	DROME13818	HUMAN01523, HUMAN14144
OG0000888	DROME15657	HUMAN17235
OG0000889	DROME20531, DROME20532	HUMAN16803
OG0000889	DROME20008	HUMAN04560, HUMAN10862, HUMAN13087, HUMAN19799, HUMAN19800
OG0000894	DROME01898, DROME01895, DROME01896, DROME01894, DROME01897	HUMAN22934
OG0000894	DROME08778, DROME08777	HUMAN20156, HUMAN25909
OG0000896	DROME07637, DROME07636	HUMAN02560
OG0000897	DROME09205, DROME09206	HUMAN20369
OG0000897	DROME05934, DROME06642	HUMAN20370
OG0000904	DROME14411, DROME14410	HUMAN03047, HUMAN24362, HUMAN30132, HUMAN03200, HUMAN22497, HUMAN22498
OG0000906	DROME09411	HUMAN24852, HUMAN29427
OG0000907	DROME01472, DROME01473, DROME01474, DROME01471	HUMAN01311, HUMAN28917, HUMAN28918, HUMAN28916
OG0000908	DROME05842, DROME05841	HUMAN03690, HUMAN27510
OG0000908	DROME15683	HUMAN03117
OG0000909	DROME21889, DROME21890, DROME21873, DROME21876, DROME21877, DROME21875	HUMAN25146, HUMAN25145, HUMAN19496, HUMAN00496
OG0000911	DROME15954, DROME15951, DROME15953, DROME15956, DROME15955, DROME15952, DROME15957	HUMAN06653, HUMAN18001, HUMAN18002
OG0000913	DROME01636, DROME01633, DROME01634, DROME01635, DROME10634, DROME10638, DROME10637, DROME10636, DROME10635, DROME10633, DROME05629, DROME10407, DROME10406, DROME08899, DROME10631, DROME10640, DROME10639, DROME21277, DROME21276, DROME21275	HUMAN24104, HUMAN24103, HUMAN24106, HUMAN05337
OG0000914	DROME20954	HUMAN24959, HUMAN26794
OG0000914	DROME06233, DROME06234, DROME06235	HUMAN30514, HUMAN26792, HUMAN26791, HUMAN30512, HUMAN24958, HUMAN30513, HUMAN26793, HUMAN26790
OG0000921	DROME09822, DROME10234, DROME09821, DROME09823	HUMAN02905
OG0000921	DROME01540	HUMAN17556, HUMAN17558, HUMAN17557, HUMAN17559
OG0000921	DROME21958	HUMAN02198
OG0000923	DROME19914	HUMAN17831
OG0000923	DROME04554, DROME04553	HUMAN06654, HUMAN17698
OG0000925	DROME02761	HUMAN23362, HUMAN23363, HUMAN23364
OG0000925	DROME13733, DROME13734	HUMAN30631, HUMAN29752
OG0000926	DROME13962, DROME13964, DROME13963, DROME13961	HUMAN25003
OG0000927	DROME15912, DROME15911, DROME13544, DROME01290	HUMAN21812, HUMAN30637, HUMAN30636, HUMAN29567, HUMAN30015, HUMAN11917, HUMAN21813
OG0000929	DROME02144, DROME02147, DROME02145, DROME02146, DROME02148, DROME02143	HUMAN07498, HUMAN07497, HUMAN25465, HUMAN00572
OG0000931	DROME06107, DROME06103, DROME06106, DROME06105, DROME06104	HUMAN18621
OG0000933	DROME00363	HUMAN18787, HUMAN04834, HUMAN08387, HUMAN18788
OG0000934	DROME18021	HUMAN07465, HUMAN25721, HUMAN25723
OG0000934	DROME12197, DROME12198	HUMAN24974, HUMAN06158
OG0000935	DROME19387	HUMAN14530, HUMAN10106, HUMAN01617, HUMAN01618, HUMAN06391, HUMAN06392, HUMAN06390, HUMAN17822
OG0000944	DROME05002, DROME05004, DROME05003, DROME05001, DROME05005, DROME04999, DROME05000	HUMAN07470, HUMAN27468, HUMAN30061
OG0000945	DROME11635, DROME10522	HUMAN07967, HUMAN07969, HUMAN07968, HUMAN07970, HUMAN11233, HUMAN23148
OG0000946	DROME18472, DROME18473, DROME18474, DROME18476	HUMAN03947, HUMAN07023
OG0000947	DROME14910, DROME14909	HUMAN17713, HUMAN20687
OG0000949	DROME20631	HUMAN29456, HUMAN24815, HUMAN30599, HUMAN19495, HUMAN00495, HUMAN25148, HUMAN25147
OG0000950	DROME15080, DROME15081, DROME15075, DROME15077, DROME15078, DROME15076, DROME15082, DROME15083, DROME15079	HUMAN13056, HUMAN13055, HUMAN07390
OG0000952	DROME18132	HUMAN22571
OG0000953	DROME12838, DROME10330	HUMAN23240, HUMAN28290, HUMAN28289, HUMAN00190
OG0000954	DROME12405, DROME12406, DROME12407	HUMAN10206, HUMAN10205, HUMAN10272
OG0000955	DROME04991, DROME04992, DROME04993, DROME04990	HUMAN28653
OG0000955	DROME09197	HUMAN09439
OG0000955	DROME02414	HUMAN09438
OG0000957	DROME11550, DROME11548, DROME11549	HUMAN14647, HUMAN29143, HUMAN14343, HUMAN23229, HUMAN29142
OG0000958	DROME14600, DROME14604, DROME14602, DROME14603, DROME14601, DROME14605, DROME10611, DROME10609, DROME10610, DROME10608, DROME12027	HUMAN28882, HUMAN05775, HUMAN05774
OG0000960	DROME04151, DROME04150, DROME04154, DROME04153, DROME04158, DROME04156, DROME04161, DROME04149, DROME04152, DROME04155, DROME04157, DROME04160, DROME04159	HUMAN11354, HUMAN28219, HUMAN28220
OG0000963	DROME09182, DROME09184, DROME09183, DROME07082	HUMAN14179, HUMAN14180, HUMAN14181, HUMAN14182, HUMAN23351, HUMAN01011
OG0000964	DROME14012	HUMAN15564, HUMAN15563
OG0000965	DROME10303	HUMAN22507
OG0000965	DROME10622	HUMAN08123
OG0000967	DROME01950, DROME01951, DROME01952	HUMAN03396, HUMAN03397
OG0000968	DROME19457	HUMAN12426, HUMAN19951
OG0000969	DROME17496	HUMAN26507
OG0000972	DROME02149, DROME02155, DROME02156	HUMAN19914, HUMAN05358, HUMAN07389
OG0000972	DROME12808, DROME12809	HUMAN27539
OG0000974	DROME20587, DROME20537, DROME20538	HUMAN24126
OG0000978	DROME08128, DROME08129, DROME08130, DROME08127, DROME08125, DROME08126	HUMAN23161, HUMAN19104, HUMAN11274, HUMAN09230
OG0000979	DROME10162, DROME10163, DROME10160, DROME10161, DROME10164	HUMAN03626, HUMAN03625
OG0000984	DROME12019, DROME07638	HUMAN23607, HUMAN02268, HUMAN02267
OG0000985	DROME16403, DROME16400, DROME16401, DROME16404, DROME16402	HUMAN17532, HUMAN03584, HUMAN03585, HUMAN27498, HUMAN27502, HUMAN23895, HUMAN27499, HUMAN17533
OG0000986	DROME00031, DROME00030, DROME00032	HUMAN17228
OG0000987	DROME05032, DROME05034, DROME05033, DROME05035, DROME05036	HUMAN02812, HUMAN02813, HUMAN06286, HUMAN19599
OG0000988	DROME19158	HUMAN29197, HUMAN29196, HUMAN29296, HUMAN29297, HUMAN02183
OG0000992	DROME02382, DROME02383	HUMAN25363, HUMAN13425, HUMAN05365, HUMAN00480, HUMAN25362, HUMAN00479, HUMAN00478
OG0000994	DROME20689	HUMAN25360
OG0000994	DROME05396	HUMAN17151, HUMAN17152
OG0000997	DROME00173	HUMAN03989
OG0000997	DROME00174	HUMAN03987, HUMAN03986, HUMAN03990, HUMAN03988
OG0000999	DROME05157, DROME05156	HUMAN16037, HUMAN05058, HUMAN20396
OG0001000	DROME14938, DROME14943, DROME14945, DROME14944, DROME14942, DROME14939, DROME14940, DROME14941	HUMAN29732, HUMAN30113, HUMAN25791, HUMAN00567
OG0001001	DROME01963, DROME01964, DROME01966, DROME01965	HUMAN11958
OG0001003	DROME20428, DROME20429	HUMAN07373, HUMAN07372, HUMAN12090
OG0001004	DROME18265, DROME18264	HUMAN14314, HUMAN28506, HUMAN01082, HUMAN14803, HUMAN14804
OG0001005	DROME16898	HUMAN21015
OG0001006	DROME12303	HUMAN10719
OG0001008	DROME03430, DROME03431, DROME03434, DROME03433, DROME03432, DROME03436, DROME03435, DROME03437, DROME03438	HUMAN02324, HUMAN06853, HUMAN06852, HUMAN04267
OG0001013	DROME18675, DROME18672, DROME18676, DROME18674, DROME18673	HUMAN06060, HUMAN06061, HUMAN10491, HUMAN15925, HUMAN13289
OG0001015	DROME02246, DROME04125	HUMAN20176, HUMAN20174, HUMAN26299, HUMAN26298, HUMAN25884, HUMAN25885, HUMAN25882
OG0001016	DROME03793	HUMAN03017
OG0001016	DROME04453	HUMAN27202
OG0001017	DROME18747, DROME18746	HUMAN06335
OG0001017	DROME08120, DROME08121	HUMAN27297
OG0001018	DROME08789	HUMAN19498
OG0001018	DROME19524	HUMAN08887
OG0001019	DROME18178	HUMAN28394, HUMAN11824, HUMAN18576
OG0001022	DROME02393, DROME02395, DROME02392, DROME02397, DROME02396, DROME02398, DROME02391, DROME02394, DROME02390	HUMAN26689, HUMAN07618, HUMAN30205, HUMAN30207, HUMAN30206
OG0001023	DROME07472, DROME07471	HUMAN05807, HUMAN04131, HUMAN24949, HUMAN15956, HUMAN05808
OG0001024	DROME14925	HUMAN26241, HUMAN26240, HUMAN22736, HUMAN22737, HUMAN23893, HUMAN03150, HUMAN26239
OG0001027	DROME20791, DROME20790, DROME20789, DROME21920, DROME21919	HUMAN29295, HUMAN06083
OG0001028	DROME17206, DROME17210, DROME17209, DROME17205, DROME17207, DROME17208	HUMAN14304, HUMAN09715, HUMAN09716, HUMAN28814, HUMAN28812
OG0001029	DROME08324	HUMAN11011, HUMAN08233
OG0001030	DROME15420, DROME15421, DROME15419	HUMAN09016, HUMAN18699
OG0001031	DROME02372	HUMAN03538
OG0001032	DROME10930, DROME10931, DROME10932	HUMAN01331, HUMAN14460, HUMAN14458, HUMAN14461, HUMAN14454, HUMAN29217, HUMAN14453, HUMAN29218, HUMAN29214, HUMAN29215, HUMAN29216
OG0001033	DROME16359	HUMAN22499, HUMAN17164
OG0001033	DROME01958	HUMAN00952, HUMAN28581, HUMAN14253
OG0001034	DROME18698, DROME18697, DROME18692, DROME18699, DROME18696, DROME18690, DROME18691, DROME18695, DROME18700, DROME18694, DROME18693	HUMAN12490, HUMAN02962
OG0001036	DROME21959	HUMAN19198, HUMAN24555, HUMAN24554
OG0001037	DROME07145, DROME07148, DROME07147, DROME07146	HUMAN29275, HUMAN29274, HUMAN01227
OG0001038	DROME06346, DROME06343, DROME06345, DROME06344	HUMAN03489, HUMAN22265, HUMAN22267, HUMAN24196, HUMAN03488
OG0001039	DROME19717, DROME19715, DROME19716, DROME12713	HUMAN19739, HUMAN19738, HUMAN19737
OG0001042	DROME12465, DROME12464, DROME12463, DROME12462	HUMAN29925, HUMAN20525, HUMAN05764
OG0001046	DROME05889	HUMAN10290, HUMAN10289, HUMAN10288, HUMAN20197, HUMAN20196, HUMAN20198, HUMAN20195, HUMAN15923, HUMAN15922, HUMAN13448
OG0001049	DROME15991	HUMAN21566, HUMAN00206
OG0001050	DROME09499, DROME09500	HUMAN25173, HUMAN10022, HUMAN01869
OG0001052	DROME00663, DROME00661, DROME00662	HUMAN03137, HUMAN03136
OG0001052	DROME01922	HUMAN22593
OG0001053	DROME11830	HUMAN12525, HUMAN26150, HUMAN06551, HUMAN17942, HUMAN23827, HUMAN22798, HUMAN03229
OG0001058	DROME00756, DROME00761, DROME00757, DROME00759, DROME00758, DROME00755, DROME00762, DROME00760, DROME00763	HUMAN01956, HUMAN05750
OG0001060	DROME06478, DROME01930	HUMAN20265
OG0001062	DROME12175, DROME12172	HUMAN14494, HUMAN01209, HUMAN01211
OG0001063	DROME16034, DROME16033	HUMAN16934, HUMAN16936, HUMAN16935
OG0001065	DROME13255	HUMAN09272, HUMAN02537
OG0001066	DROME06399	HUMAN01431, HUMAN20904, HUMAN20903, HUMAN01429
OG0001072	DROME08170	HUMAN07095
OG0001073	DROME03543, DROME03544, DROME03542	HUMAN23983, HUMAN30107, HUMAN07711
OG0001075	DROME05007, DROME05008	HUMAN24569, HUMAN16597, HUMAN16596
OG0001076	DROME10433, DROME10436, DROME10429, DROME10434, DROME10430, DROME10435, DROME10431, DROME10432	HUMAN22388, HUMAN07537, HUMAN07536, HUMAN22387
OG0001077	DROME13463, DROME13462	HUMAN02958
OG0001077	DROME14374	HUMAN26035
OG0001078	DROME16039, DROME16040	HUMAN20283, HUMAN24929, HUMAN04434
OG0001079	DROME12134, DROME12135, DROME12136	HUMAN01422, HUMAN26876, HUMAN29846, HUMAN29847
OG0001080	DROME21548, DROME21547	HUMAN15213
OG0001081	DROME00421, DROME00420, DROME00419, DROME02998, DROME02997	HUMAN15960
OG0001082	DROME16087, DROME16088, DROME16090, DROME16089	HUMAN18213, HUMAN06409, HUMAN06410
OG0001083	DROME07895, DROME07890, DROME07893, DROME07892, DROME07896, DROME07887, DROME07888, DROME07889, DROME07891, DROME07885, DROME07886, DROME07894	HUMAN03184, HUMAN03185, HUMAN23866, HUMAN23865, HUMAN27528, HUMAN27527, HUMAN17258, HUMAN17257
OG0001084	DROME15262, DROME15263	HUMAN26028
OG0001085	DROME18407, DROME18408, DROME18409	HUMAN21139, HUMAN29849, HUMAN26851, HUMAN26850, HUMAN25039
OG0001086	DROME20573	HUMAN08606, HUMAN08605
OG0001089	DROME21284, DROME21282, DROME21280, DROME21281, DROME21283	HUMAN05584, HUMAN21288, HUMAN21287
OG0001091	DROME08376, DROME08378, DROME08377	HUMAN17874, HUMAN17873, HUMAN12948, HUMAN26589, HUMAN26587, HUMAN26588, HUMAN17872, HUMAN12947, HUMAN12946, HUMAN12945
OG0001092	DROME19209, DROME19207, DROME19204, DROME19205, DROME19206, DROME19208, DROME19203	HUMAN07557, HUMAN22940
OG0001093	DROME09012, DROME09005, DROME09009, DROME09004, DROME09007, DROME09010, DROME09011, DROME09006, DROME09008	HUMAN26567, HUMAN12954
OG0001094	DROME08185, DROME21556	HUMAN18720, HUMAN08291, HUMAN04909
OG0001101	DROME01099	HUMAN05769
OG0001102	DROME11539	HUMAN18703
OG0001102	DROME20883	HUMAN04710, HUMAN18704, HUMAN04709
OG0001104	DROME04004	HUMAN09442
OG0001105	DROME22092, DROME02326	HUMAN18846
OG0001108	DROME12857, DROME12858, DROME12856, DROME12855	HUMAN06470
OG0001108	DROME21101, DROME21100, DROME21098, DROME21099, DROME21102, DROME18011	HUMAN26420
OG0001109	DROME00590, DROME00591, DROME00592, DROME00589, DROME19273, DROME19275, DROME19274	HUMAN13295, HUMAN13298, HUMAN22148
OG0001111	DROME01145	HUMAN08205, HUMAN08204
OG0001111	DROME15662	HUMAN23671, HUMAN19715
OG0001112	DROME13039, DROME13038, DROME13037, DROME13036	HUMAN30342, HUMAN07785, HUMAN07783, HUMAN18526
OG0001113	DROME18531, DROME18532	HUMAN20232
OG0001113	DROME05388	HUMAN21591
OG0001113	DROME01680	HUMAN13568, HUMAN13567, HUMAN13565, HUMAN13566
OG0001114	DROME00496, DROME16340, DROME16339	HUMAN09738, HUMAN09739, HUMAN01816
OG0001118	DROME14402, DROME14401	HUMAN04168, HUMAN20385
OG0001119	DROME17259, DROME17271, DROME17273, DROME17270, DROME17257, DROME17260, DROME17272, DROME17265, DROME17267, DROME17258, DROME17266, DROME17262, DROME17261, DROME17268, DROME17263, DROME17264, DROME17269	HUMAN25212
OG0001121	DROME11643, DROME11644, DROME11645, DROME11642	HUMAN25819, HUMAN25818, HUMAN25820, HUMAN25821, HUMAN19588
OG0001124	DROME13810	HUMAN13636
OG0001126	DROME07144	HUMAN11886, HUMAN21463, HUMAN11885, HUMAN11887, HUMAN11884
OG0001127	DROME21295, DROME21293, DROME21294, DROME21292	HUMAN18103, HUMAN03016
OG0001128	DROME07099, DROME07102, DROME07101, DROME07098, DROME07100	HUMAN08898, HUMAN08899, HUMAN15801, HUMAN15800, HUMAN02562, HUMAN02561
OG0001129	DROME06610	HUMAN11361, HUMAN28007
OG0001130	DROME08159	HUMAN23634
OG0001131	DROME00544	HUMAN17000, HUMAN08891, HUMAN08890, HUMAN08889
OG0001132	DROME12585, DROME12584, DROME12583, DROME12582	HUMAN28769
OG0001133	DROME02832	HUMAN23355
OG0001135	DROME18153, DROME18152	HUMAN12999, HUMAN12998, HUMAN10157, HUMAN10262, HUMAN10159, HUMAN10160, HUMAN10158, HUMAN10261
OG0001136	DROME15241, DROME15244, DROME15239, DROME15245, DROME15243, DROME15240, DROME15238, DROME15242, DROME15236, DROME15237	HUMAN14242, HUMAN23717, HUMAN09626, HUMAN09622
OG0001137	DROME07212, DROME07220, DROME07223, DROME07218, DROME07213, DROME07221, DROME07215, DROME07214, DROME07216, DROME07226, DROME07219, DROME07222, DROME07224, DROME07227, DROME07229, DROME07217, DROME07228, DROME07225	HUMAN15474
OG0001138	DROME16831, DROME16832, DROME16830, DROME16829	HUMAN06608, HUMAN27335, HUMAN21562
OG0001139	DROME11285, DROME11284, DROME20784	HUMAN29573, HUMAN24969, HUMAN20297, HUMAN20298, HUMAN03896
OG0001140	DROME04492, DROME04491	HUMAN28111, HUMAN00689, HUMAN16613
OG0001141	DROME07353, DROME07352, DROME07355, DROME07354, DROME07356	HUMAN28829
OG0001142	DROME15460, DROME15458, DROME15459	HUMAN04836, HUMAN04835
OG0001143	DROME17973, DROME17969, DROME17968, DROME17972, DROME17970, DROME17971, DROME17975, DROME17976, DROME17974, DROME17978, DROME17977	HUMAN26902, HUMAN09500, HUMAN09501, HUMAN28929, HUMAN01633
OG0001144	DROME08380	HUMAN06501, HUMAN06503, HUMAN17895, HUMAN06504, HUMAN26116
OG0001148	DROME04431, DROME04432	HUMAN20750
OG0001149	DROME20514	HUMAN24814, HUMAN01215
OG0001156	DROME20509, DROME20508, DROME20507, DROME20506, DROME20511, DROME20510	HUMAN06276, HUMAN06274, HUMAN12764, HUMAN26033, HUMAN18478, HUMAN18476
OG0001158	DROME08138, DROME08137	HUMAN19221, HUMAN13723, HUMAN13724
OG0001159	DROME00658	HUMAN16647, HUMAN28079, HUMAN28078
OG0001160	DROME05833, DROME05832, DROME05835, DROME05834	HUMAN07003, HUMAN07004, HUMAN01405
OG0001162	DROME19105, DROME19103, DROME19101, DROME19104, DROME19102, DROME19106, DROME19107	HUMAN05494, HUMAN05495, HUMAN05496, HUMAN05497, HUMAN19367
OG0001163	DROME10630, DROME14555, DROME14557, DROME14693, DROME17901, DROME17899	HUMAN03540, HUMAN22604, HUMAN22605
OG0001164	DROME08761, DROME08760, DROME08762, DROME08763, DROME08759	HUMAN20034, HUMAN20033
OG0001165	DROME20938, DROME07288	HUMAN25194, HUMAN25193, HUMAN25195, HUMAN29763
OG0001167	DROME17311	HUMAN08882, HUMAN08883, HUMAN17001
OG0001168	DROME02336	HUMAN26184, HUMAN26183, HUMAN19115, HUMAN19116, HUMAN11218
OG0001172	DROME12074, DROME12075	HUMAN03030, HUMAN18130
OG0001173	DROME08477, DROME08476, DROME08478, DROME08741	HUMAN01792
OG0001173	DROME11068	HUMAN01793
OG0001174	DROME01257, DROME01258	HUMAN20367, HUMAN20467, HUMAN20469, HUMAN20468, HUMAN20465
OG0001175	DROME10674	HUMAN27761, HUMAN17515
OG0001177	DROME01933, DROME01934, DROME21906	HUMAN13792, HUMAN13793, HUMAN13794, HUMAN26270
OG0001178	DROME18168, DROME18169, DROME18170, DROME18167	HUMAN30630, HUMAN29750
OG0001180	DROME01245, DROME01246	HUMAN22452
OG0001184	DROME03279	HUMAN24892, HUMAN24891
OG0001184	DROME17805	HUMAN04448, HUMAN04447
OG0001185	DROME09235, DROME09236, DROME09242, DROME09234, DROME09239, DROME09241, DROME09240, DROME09237, DROME09238	HUMAN25682, HUMAN25681
OG0001186	DROME11811, DROME11812	HUMAN13742
OG0001186	DROME18932	HUMAN11615
OG0001188	DROME07119, DROME07117, DROME07120, DROME07116, DROME07118	HUMAN04837, HUMAN15459, HUMAN08381, HUMAN16878
OG0001190	DROME21340, DROME21342, DROME21339, DROME21341	HUMAN27353, HUMAN00374
OG0001191	DROME15546, DROME15547, DROME15549, DROME15548	HUMAN27560, HUMAN03181, HUMAN23867
OG0001196	DROME19139	HUMAN15281
OG0001197	DROME14364	HUMAN04807
OG0001197	DROME07563	HUMAN26126, HUMAN17925
OG0001201	DROME20824, DROME20825, DROME20823, DROME20822	HUMAN19000, HUMAN28333
OG0001203	DROME16841	HUMAN16859, HUMAN04776, HUMAN04775, HUMAN08382, HUMAN16858
OG0001204	DROME15252	HUMAN07266, HUMAN13045
OG0001205	DROME09818, DROME09817	HUMAN22954
OG0001208	DROME21826, DROME21829, DROME21823, DROME21824, DROME21830, DROME21827, DROME21819, DROME21821, DROME21825, DROME21822, DROME21820, DROME21828, DROME21813, DROME21818, DROME21814, DROME21817, DROME21815, DROME21816	HUMAN17864, HUMAN26576
OG0001209	DROME03307	HUMAN27649, HUMAN27648
OG0001210	DROME01292	HUMAN18754
OG0001210	DROME21654, DROME21653	HUMAN21606
OG0001211	DROME14817, DROME14816, DROME14814, DROME14815	HUMAN17696, HUMAN17695, HUMAN12935
OG0001212	DROME03019, DROME03020, DROME03017, DROME03018, DROME03022, DROME03021	HUMAN22840
OG0001213	DROME12028	HUMAN03742
OG0001213	DROME15857	HUMAN07278, HUMAN07279
OG0001214	DROME14229, DROME14228, DROME14227, DROME14223, DROME14224, DROME14225, DROME14226	HUMAN02956, HUMAN02957, HUMAN06746, HUMAN06745, HUMAN06748, HUMAN06749
